[00:00:01.667 --> 00:00:03.728]  It's Wednesday the 19th.
[01:40:21.615 --> 01:40:22.935]  These scams are incredible.
[01:40:22.935 --> 01:40:27.997]  We're going to go to Ron, Barbara, Indigo Kid, Ramon, and everybody else.
[01:40:27.997 --> 01:40:29.257]  Kevin, in a moment.
[01:40:29.257 --> 01:40:31.298]  Indigo Kid, then Ron in Hawaii.
[01:40:31.298 --> 01:40:32.638]  You're calling from Colorado.
[01:40:32.638 --> 01:40:34.219]  What do you think the big event is in 2015?
[01:40:36.448 --> 01:40:41.570]  Well, weather modification is something I'm looking at right now quite a bit.
[01:40:41.570 --> 01:40:47.692]  For example, I sent you an article that I've written about how the Colorado flood of 2013 was due to cloud seeding.
[01:40:47.692 --> 01:40:56.335]  There's even a CBS News article out about how cloud seeding is being used by the government to fight the drought that's going on.
[01:40:56.335 --> 01:41:05.419]  Basically, you'll have to read the article, but it's really all about water wars and tactical droughts and how big cities like Los Angeles
[01:41:06.041 --> 01:41:10.564]  Las Vegas are paying for Colorado, for example, to cloud CD year long.
[01:41:11.144 --> 01:41:19.949]  Well that's right, there's massive declassified global, from Africa to the Middle East to Asia to Russia to Europe to the U.S.
[01:41:19.949 --> 01:41:21.610]  to Central and South America.
[01:41:21.610 --> 01:41:25.692]  International, U.N., Department of Energy, private, corporate.
[01:41:25.692 --> 01:41:31.676]  Bill and Melinda Gates get paid billions a year to their private consortium to run a bunch of this over us.
[01:41:31.676 --> 01:41:35.698]  That's declassified, but what they're doing is classified.
[01:41:36.078 --> 01:41:40.041]  Then you tell the average person, they look at you like you've got 14 heads.
[01:41:40.041 --> 01:41:41.462]  That's a great point.
[01:41:41.462 --> 01:41:43.164]  What about weird weather?
[01:41:43.164 --> 01:41:45.426]  What about going into an ice age?
[01:41:45.426 --> 01:41:52.051]  What about all the changes we see going on and then no one's discussing that it's weather warfare?
[01:41:52.051 --> 01:41:53.272]  Doug Hagman, your take on that?
[01:41:54.401 --> 01:41:57.983]  Well, I'll say this to the caller, think bigger.
[01:41:57.983 --> 01:42:02.146]  That's one spoke in the wheel of global tyranny, the weather modification.
[01:42:02.146 --> 01:42:04.327]  However, it's an important one.
[01:42:04.327 --> 01:42:08.690]  Water wars in the West, I understand that, we understand that.
[01:42:08.690 --> 01:42:11.931]  It's about the control, ultimate control over everything.
[01:42:11.931 --> 01:42:17.235]  See, it's now coming to a head, as we can see.
[01:42:17.235 --> 01:42:19.276]  Really, that's my answer.
[01:42:19.276 --> 01:42:22.298]  It's interesting because as we sit here in our studio today,
[01:42:23.438 --> 01:42:33.704]  50 miles from us, people can't even get out of their doors because of the snow up to the top of the doors in western New York.
[01:42:33.704 --> 01:42:38.967]  And we had weather oddities here.
[01:42:38.967 --> 01:42:42.148]  It's all part of the globalist plan.
[01:42:42.148 --> 01:42:44.089]  But see, that's how they cover up the Ebola.
[01:42:44.089 --> 01:42:46.491]  There's obviously Ebola cases, they're covering it up.
[01:42:46.491 --> 01:42:48.712]  There's giant weather modification, they're covering it up.
[01:42:49.693 --> 01:42:52.314]  There's just, who knows what else is going on?
[01:42:52.314 --> 01:42:53.615]  Caller, I appreciate your point.
[01:42:53.615 --> 01:42:56.075]  Anything else?
[01:42:56.075 --> 01:43:02.298]  Um, no, that's it, except for, I think, maybe future false flags involving Asia, like North Korea.
[01:43:02.298 --> 01:43:07.020]  When did you send the article, or send it again to ShowTipsAndInfoWars.com?
[01:43:07.020 --> 01:43:08.620]  I want to see what you talked about.
[01:43:08.620 --> 01:43:10.561]  Thank you so much, Indico Kid.
[01:43:10.561 --> 01:43:12.182]  Let's talk to Ron in Hawaii.
[01:43:12.182 --> 01:43:12.802]  You're on the air.
[01:43:12.802 --> 01:43:13.102]  Go ahead.
[01:43:14.810 --> 01:43:15.831]  Yeah.
[01:43:15.831 --> 01:43:17.332]  I agree with everything these guys say.
[01:43:17.332 --> 01:43:19.854]  They're doing a full blast.
[01:43:19.854 --> 01:43:21.275]  They're not even slowing down at all.
[01:43:21.275 --> 01:43:29.542]  From the bullet to the stage, you know, a thing over there from Missouri.
[01:43:29.542 --> 01:43:33.425]  And over here in Hawaii, they got at least 20,000 Americans that showed up over here.
[01:43:33.425 --> 01:43:35.507]  Hello?
[01:43:35.507 --> 01:43:35.867]  Yes, sir.
[01:43:35.867 --> 01:43:36.448]  You're on the air.
[01:43:36.448 --> 01:43:36.788]  Go ahead.
[01:43:38.818 --> 01:43:40.579]  Well, you're right.
[01:43:40.579 --> 01:43:45.341]  I've been manipulating the marijuana genetically and who knows what they're putting in it.
[01:43:45.341 --> 01:43:46.581]  Another great point.
[01:43:46.581 --> 01:43:47.081]  That's the thing.
[01:43:57.366 --> 01:44:08.531]  When you got seven and a half billion people and you got mainstream media deceiving folks, it doesn't matter if they're discredited because they can still just put out this info to where we don't know what's really going on.
[01:44:08.531 --> 01:44:20.757]  That's why police are being trained that a citizen with a camera is the biggest enemy because that video or audio they get can then discredit what the establishment says.
[01:44:20.757 --> 01:44:24.979]  That's why when I first told people about six, seven years ago that all the new iPhones coming out
[01:44:26.109 --> 01:44:37.077]  Androids would soon have kill switches in them where they hit one button citywide or countywide or in a certain square block areas, whatever area they want.
[01:44:37.077 --> 01:44:39.259]  None of your video cameras will work.
[01:44:39.259 --> 01:44:40.820]  None of your internet will work.
[01:44:40.820 --> 01:44:42.441]  They can shut you off.
[01:44:42.441 --> 01:44:45.104]  This is the type of stuff being built into the grid.
[01:44:45.104 --> 01:44:51.909]  Guys, going to Joe and Doug, what do you think about Obama's call for taking over the internet
[01:44:52.816 --> 01:44:53.897]  To protect it.
[01:44:53.897 --> 01:44:55.558]  I'm for net neutrality.
[01:44:55.558 --> 01:44:58.399]  But Obama's run by the very same corporations that want to get rid of it.
[01:44:58.399 --> 01:45:01.401]  He admits he wants to tax it and control it.
[01:45:01.401 --> 01:45:05.203]  And so by claiming they want to protect the web, that's how they can destroy the web.
[01:45:06.052 --> 01:45:07.413]  Well, exactly.
[01:45:07.413 --> 01:45:10.756]  Let me just speak at one thing that your last caller said.
[01:45:10.756 --> 01:45:17.421]  Alex, if there's nothing else anyone could take away from what we're talking about today, please, everyone, buy a dash cam.
[01:45:17.421 --> 01:45:19.422]  A self-contained dash cam.
[01:45:19.422 --> 01:45:22.004]  Record everything that goes on every time you're in your car.
[01:45:22.004 --> 01:45:23.285]  Okay, back to your question now.
[01:45:23.285 --> 01:45:23.866]  Joe, go ahead.
[01:45:25.666 --> 01:45:26.587]  I don't think so.
[01:45:45.367 --> 01:45:52.295]  To control the content of what is being distributed on the internet because it's like the Wild West.
[01:45:52.295 --> 01:46:07.431]  It's the only thing we have left with any semblance of freedom and non-censorship except for the fact that they're finding ways now and you've been a victim of this and we have too of the search engines from Google to AOL all these different internet
[01:46:07.871 --> 01:46:10.433]  And again, they're wargaming how to fight the people right now.
[01:46:10.433 --> 01:46:12.595]  That's why it's important that everyone out there listening
[01:46:38.354 --> 01:46:51.204]  Get involved immediately in having your own little media operation, putting out what you think, shooting videos, showing folks what you've seen, so that they can't suppress billions of people.
[01:46:51.204 --> 01:46:54.546]  They can't suppress hundreds of millions of people in the U.S.
[01:46:54.546 --> 01:47:04.153]  If we all start putting out our common sense, their attempt at the background noise of fraud and disinfo will basically implode.
[01:47:04.153 --> 01:47:06.615]  Let's go ahead and go to Barbara in Illinois.
[01:47:06.615 --> 01:47:07.416]  Barbara, you're on the air.
[01:47:08.669 --> 01:47:10.590]  Yes, hello.
[01:47:10.590 --> 01:47:17.453]  I feel that there's a rumbling of the people are waking up.
[01:47:17.453 --> 01:47:23.656]  And I think that also the military has not had enough of this president.
[01:47:23.656 --> 01:47:31.540]  And I think somehow I'm the one who thought there'd be a coup, but I also feel there might be even an assassination attempt on the president.
[01:47:32.867 --> 01:47:37.869]  Because I think there's enough anger out there now.
[01:47:37.869 --> 01:47:43.971]  Well by the way, oh my gosh, Obama was unpopular until he was assassinated.
[01:47:43.971 --> 01:47:44.792]  God forbid.
[01:47:45.874 --> 01:48:01.753]  The last thing we would ever want would be for Obama to get assassinated because then he could be turned into a martyr and then they could lionize all the horrible things they've done in his name and then say that you want to kill somebody if you're against Obamacare or against turning your guns in.
[01:48:01.753 --> 01:48:03.435]  In fact, I've been saying this for six years.
[01:48:04.460 --> 01:48:12.025]  The real false flag could be an assassination of Obama, or it could be an attempted assassination.
[01:48:12.025 --> 01:48:25.513]  But don't think that even though he's their Harvard minion and their golden idol, don't think that the globalists wouldn't be above assassinating him to create a martyred deity out of him.
[01:48:25.513 --> 01:48:27.615]  Doug Hagman, Joe Hagman, your take on that statement?
[01:48:28.100 --> 01:48:32.401]  Go back, Alex, go back to the funeral of Nelson Mandela.
[01:48:32.401 --> 01:48:38.062]  Tell us, I mean, that guy, that fake... Sign language interpreter.
[01:48:38.062 --> 01:48:44.724]  Yeah, that guy, okay, was feet from world leaders, including Obama.
[01:48:44.724 --> 01:48:50.865]  Recently, the two jumpers over the fence, one guy getting into the West Wing of the White House.
[01:48:50.865 --> 01:48:52.566]  Explain how that happens
[01:48:53.306 --> 01:48:55.588]  Maybe that's just a message out there.
[01:48:55.588 --> 01:48:56.249]  I don't know.
[01:48:56.249 --> 01:49:05.576]  We were looking at this because, in fact, we were talking to a Secret Service agent who said, you know, it almost looked as if they wanted this to happen.
[01:49:05.576 --> 01:49:16.926]  In fact, the Secret Service agent, President of Protection of Detail, formerly under Bush, W. Bush, is saying that, look, this is also a theater.
[01:49:16.926 --> 01:49:18.888]  Perhaps there is a message being sent.
[01:49:19.969 --> 01:49:23.632]  Keep to our game plan, keep to the script, or you're expendable.
[01:49:23.632 --> 01:49:24.213]  Joe?
[01:49:24.213 --> 01:49:31.759]  Yeah, I pray for the president and his safety because you want to see a Ferguson in every city USA.
[01:49:31.759 --> 01:49:33.160]  That's right.
[01:49:33.160 --> 01:49:34.061]  And that happens.
[01:49:34.061 --> 01:49:35.322]  That's what it will look like.
[01:49:35.822 --> 01:49:36.082]  I don't
[01:49:56.573 --> 01:49:56.753]  Sure.
[01:49:56.753 --> 01:49:58.715]  Well, can we force the Republican leadership...
[01:50:15.015 --> 01:50:17.419]  To rout what the Democrats have done.
[01:50:17.419 --> 01:50:23.368]  I mean, Boehner's coming out saying the President is flagrantly untruth and being untruthful.
[01:50:23.368 --> 01:50:25.471]  Now they're saying they might try to repeal Obamacare.
[01:50:25.471 --> 01:50:26.993]  Well, they better repeal it!
[01:50:26.993 --> 01:50:29.136]  I mean, isn't it up to us holding their feet to the fire?
[01:50:30.154 --> 01:50:34.215]  It is up to us, and that's where, this is why we've got to the point we've gotten to.
[01:50:34.215 --> 01:50:39.117]  I don't believe that any changes came from the midterm that will benefit the country.
[01:50:39.117 --> 01:50:42.038]  I believe we lost regardless of who wins.
[01:50:42.038 --> 01:50:50.081]  And at this point, because of our lack and our grandparents' and their grandparents' lack of holding the politicians accountable, this is why.
[01:50:50.081 --> 01:50:51.822]  We're repealing Obamacare, by the way.
[01:50:51.822 --> 01:50:53.422]  The damage has already been done to it.
[01:50:53.422 --> 01:50:58.144]  Hold on, explain that when we come back, and we'll talk to other folks that are patiently holding like Ramon.
[01:50:59.181 --> 01:51:02.162]  This hour brought to you by InfidelBodyArmor.com.
[01:51:02.162 --> 01:51:05.942]  When it hits the fan, don't be left without the body armor that will save your life.
[01:51:05.942 --> 01:51:09.643]  With prices starting at just $374.99 and ships free.
[01:51:09.643 --> 01:51:12.123]  Get yours at InfidelBodyArmor.com.
[01:51:12.123 --> 01:51:14.004]  Just won't quit.
[01:51:14.004 --> 01:51:16.324]  Hi, Ted Anderson with Midas Resources.
[01:51:16.324 --> 01:51:21.025]  Is it time to convert paper 401ks and IRAs to solid gold and silver yet?
[01:51:21.025 --> 01:51:22.785]  Get our 10 Reasons book free.
[01:51:22.785 --> 01:51:23.105]  Call 800-686-2237.
[01:51:23.105 --> 01:51:23.285]  That's 800-686-2237.
[01:51:29.506 --> 01:51:30.487]  Hey, Boomer!
[01:51:30.487 --> 01:51:33.929]  I learned in school today that 60% of our bodies are made of water.
[01:51:33.929 --> 01:51:35.610]  Good thing we have the Berkey system.
[01:51:35.610 --> 01:51:37.552]  It's the cleanest, best water ever.
[01:51:37.552 --> 01:51:43.395]  Mom says it's because the Berkey filtration system cleans out the bad stuff and leaves only pure, delicious water.
[01:51:43.395 --> 01:51:44.236]  I know, right?
[01:51:44.236 --> 01:51:45.537]  You love it, too!
[01:51:45.537 --> 01:51:46.978]  Yeah, I'm thirsty, too.
[01:51:46.978 --> 01:51:47.998]  Let's go get some!
[01:51:47.998 --> 01:51:49.760]  Get Berkey clean water by calling 877-886-3653.
[01:51:49.760 --> 01:51:50.100]  That's 877-886-3653.
[01:51:50.100 --> 01:51:50.980]  Or visit GoBerkey.com.
[01:51:58.365 --> 01:52:04.670]  When I first got online and I seen the price of the X2 and the DNA Force, I was a little hesitant, but I pulled the trigger on it.
[01:52:04.670 --> 01:52:05.791]  It has changed my life.
[01:52:05.791 --> 01:52:07.892]  I've been taking it for about 24 days now.
[01:52:07.892 --> 01:52:09.394]  Counting the weights, staying in shape.
[01:52:09.394 --> 01:52:11.935]  Infowarslife.com.
[01:52:11.935 --> 01:52:13.417]  You've heard the callers to the show.
[01:52:13.417 --> 01:52:17.380]  Several months back, I started taking your nascent iodine and your super meal.
[01:52:17.380 --> 01:52:19.341]  Prior to this, I was barely walking.
[01:52:19.341 --> 01:52:22.103]  Now, I'm able to function as a human again.
[01:52:22.103 --> 01:52:28.228]  Whether it's survival shield, nascent iodine, or DNA Force, super male vitality, super female vitality,
[01:52:28.368 --> 01:52:31.831]  Lung Cleanse, Fluoride Shields, Oxy Powder.
[01:52:31.831 --> 01:52:39.997]  I believe that all of these products will blow you away like they've done the thousands of other customers that have visited Infowarslife.com.
[01:52:39.997 --> 01:52:41.238]  There's two.
[01:52:41.238 --> 01:52:45.542]  Just amazing what it's able to do to actually detox the body.
[01:52:45.542 --> 01:52:46.342]  It's great stuff.
[01:52:46.342 --> 01:52:50.425]  If I'm going to promote something, it's got to be something I personally use and that I believe in.
[01:52:50.425 --> 01:52:57.151]  Check out Infowarslife.com today and the entire line of groundbreaking, cutting-edge, hardcore products.
[01:52:57.901 --> 01:53:03.203]  Did you know by age 50, half of all men have an enlarged prostate?
[01:53:03.203 --> 01:53:10.146]  This means more urges to urinate, longer bathroom trips, waking at night to urinate, or issues with sex.
[01:53:10.146 --> 01:53:17.630]  If this sounds familiar, call us now, because we're shipping free bottles of Super Beta Prostate to listeners of this station.
[01:53:17.630 --> 01:53:24.293]  Super Beta Prostate is a non-prescription formula, guaranteed to reduce the symptoms of your enlarged prostate.
[01:53:24.293 --> 01:53:25.713]  It's yours, free!
[01:53:25.713 --> 01:53:26.954]  Pay only shipping and handling.
[01:53:27.654 --> 01:53:29.195]  Just call 1-800-852-1820.
[01:53:29.195 --> 01:53:41.804]  In clinical trials, the ingredient in Super Beta Prostate was shown to reduce urges to urinate, improve bladder emptying, reduce waking at night to urinate, and improve quality of life.
[01:53:41.804 --> 01:53:46.026]  This Super Beta Prostate free offer is for listeners of this station.
[01:53:46.026 --> 01:53:47.467]  But it won't last.
[01:53:47.467 --> 01:53:48.408]  Don't wait.
[01:53:48.408 --> 01:53:48.868]  Just call 1-800-852-1820.
[01:53:48.868 --> 01:53:49.148]  That's 1-800-852-1820.
[01:53:49.148 --> 01:53:49.309]  Call 1-800-852-1820.
[01:54:02.817 --> 01:54:04.958]  Watch me!
[01:54:04.958 --> 01:54:06.738]  Watch me!
[01:54:06.738 --> 01:54:08.919]  I got something, baby!
[01:54:08.919 --> 01:54:10.640]  I got it!
[01:54:10.640 --> 01:54:12.221]  Watch me!
[01:54:12.221 --> 01:54:13.982]  I got it!
[01:54:13.982 --> 01:54:14.782]  Hey!
[01:54:14.782 --> 01:54:17.764]  I got something that makes me wanna shout!
[01:54:17.764 --> 01:54:20.525]  I got something that loves me!
[01:54:27.082 --> 01:54:30.644]  You are super bad.
[01:54:30.644 --> 01:54:33.306]  Super good in a super bad way.
[01:54:33.306 --> 01:54:42.732]  Our guest will be with us five minutes to the next hour.
[01:54:42.732 --> 01:54:47.114]  Then I'll continue with calls and other breaking news.
[01:54:47.114 --> 01:54:51.477]  And at the bottom of the hour, reporters join us from Ferguson.
[01:54:51.477 --> 01:54:52.438]  Here's what we're getting at.
[01:54:53.436 --> 01:55:04.620]  Globally, we're in the hands of social engineers that aren't building an economy based on what is higher quality, what is more resources, what is a more enlightened, egalitarian society.
[01:55:04.620 --> 01:55:15.824]  No, it's a destructive agenda 21, make you poor, austerity, dumbed down, death panels, don't take care of the old, kill young babies after they're born.
[01:55:15.824 --> 01:55:19.286]  It's a very ugly world.
[01:55:19.286 --> 01:55:22.547]  Socially engineered and run by eugenicist bean counters.
[01:55:23.837 --> 01:55:25.539]  And I don't think we want to be part of it.
[01:55:25.539 --> 01:55:31.844]  So I'm just here assaulting the fraud, showing who's behind it, indicting them in the court of public opinion.
[01:55:31.844 --> 01:55:33.025]  And it's having a big effect.
[01:55:33.025 --> 01:55:36.388]  You're having a big effect.
[01:55:36.388 --> 01:55:41.512]  Look at how accurate our research and our view of the world is compared to what the establishment's saying.
[01:55:41.512 --> 01:55:43.854]  Because the globalists brag to each other.
[01:55:43.854 --> 01:55:44.675]  They write books.
[01:55:44.675 --> 01:55:45.536]  They're very public.
[01:55:46.837 --> 01:55:57.099]  You don't think I just made all this up 20-something years ago, 22 years ago, 20 years ago on air, and then so much of it came true because I had a crystal ball or I was a good, you know, guesser.
[01:55:57.099 --> 01:55:59.700]  They've all bragged about it, and that's what's frustrating.
[01:55:59.700 --> 01:56:15.644]  I want to go to Ramon and to Kevin and Chris and Joseph and Sledgehammer and everybody else talking to the Hagmans, but any other areas, any other big stories you are looking at, any other angles you guys haven't talked about yet?
[01:56:16.975 --> 01:56:18.657]  Alex, a couple of things.
[01:56:18.657 --> 01:56:24.862]  In terms of the geopolitical world, in terms of what's going on in the Middle East, watch Syria.
[01:56:24.862 --> 01:56:29.005]  The objective to take over Syria, al-Assad, has been prime.
[01:56:29.005 --> 01:56:30.346]  It's not off the table.
[01:56:30.346 --> 01:56:33.709]  That is going to spark additional tensions with Russia.
[01:56:33.709 --> 01:56:43.918]  That, of course, will also, and by the way, the gas prices coming down here, the refined oil product and the crude oil product, is part and parcel to the attempted takedown of Russia.
[01:56:44.378 --> 01:56:54.105]  This, and I know it's hard to believe, but in just a few moments here that we've got, people have to understand that everything that we're seeing happen on the world stage is related and interrelated.
[01:56:54.105 --> 01:57:01.010]  So watch Syria and domestically here, the ultimate objective... Well sure, they admit they're lowering oil prices at OPEC to bankrupt Russia.
[01:57:01.010 --> 01:57:05.053]  I mean, it's just the general public doesn't, you know, read what OPEC's publicly saying.
[01:57:05.053 --> 01:57:07.234]  But yeah, there's an energy war going on.
[01:57:07.234 --> 01:57:11.938]  Aren't we approaching one of those times in history when more happens in five years than happened in the previous hundred?
[01:57:12.618 --> 01:57:15.002]  Yeah, and they call it the tipping point.
[01:57:15.002 --> 01:57:25.157]  And what they're doing now is they're poking the bear, seeing exactly what is the most efficient and effective and fast way for people, for them to push society to the tipping point.
[01:57:25.157 --> 01:57:28.142]  And this is why we're seeing, you know, these Ebola pandemics and
[01:57:28.402 --> 01:57:30.323]  Everything being hyped so much in the mainstream news.
[01:57:30.323 --> 01:57:35.146]  And the reason that you're doing such an effective job, and our show's been growing, is because it's just the truth.
[01:57:35.146 --> 01:57:36.507]  And the truth is popular.
[01:57:36.507 --> 01:57:40.870]  And none of the networks on TV, and barely anybody wants to tell the truth anymore.
[01:57:40.870 --> 01:57:46.814]  But just the truth alone, it has... Yeah, there are a bunch of yes-men and women who just want their paycheck.
[01:57:46.814 --> 01:57:50.737]  But at a certain point, when everything implodes, they've sold their family out.
[01:57:50.737 --> 01:57:51.857]  I mean, it's insane.
[01:57:53.158 --> 01:57:53.879]  It's insane.
[01:57:53.879 --> 01:57:59.486]  I mean, it's not like we're being conquered by, you know, the Romans and we're living in mud huts and we're going to be living better or something.
[01:57:59.486 --> 01:58:00.828]  I'm not saying the Romans were great.
[01:58:00.828 --> 01:58:04.152]  We're being conquered by exterminist globalists.
[01:58:04.152 --> 01:58:07.996]  They might as well be flesh-eating, you know, aliens from Alpha Centauri.
[01:58:07.996 --> 01:58:09.598]  I mean, they're bad news.
[01:58:10.842 --> 01:58:11.923]  Absolutely.
[01:58:11.923 --> 01:58:22.992]  The subtlety that they do, that they've been able to influence and now corrupt and persuade and change the perceptions of the people of this country to start conforming and accepting the things that they would not normally do.
[01:58:22.992 --> 01:58:24.693]  It's been so effective.
[01:58:24.693 --> 01:58:26.514]  Well, yeah, it's like the trusted traveler thing.
[01:58:26.514 --> 01:58:31.198]  You go to a TSA interview and they put you in the system and now you only get searched a little bit.
[01:58:31.198 --> 01:58:35.461]  That's how it always used to be until they staged 9-11, folks.
[01:58:35.461 --> 01:58:35.902]  Stay there.
[01:58:35.902 --> 01:58:37.063]  I want to come back with phone calls, gentlemen.
[01:58:40.169 --> 01:58:42.155]  Back in 60 seconds, or 70 technically.
[01:58:42.155 --> 01:58:43.820]  Going right to your calls, Ramon.
[01:58:50.183 --> 01:58:51.503]  In the near future.
[01:58:51.503 --> 01:58:56.024]  When you realize how fake it all is, the football, the basketball.
[01:58:56.024 --> 01:58:57.244]  Security alert.
[01:58:57.244 --> 01:58:59.245]  This is Homeland Security.
[01:58:59.245 --> 01:59:00.145]  Analysis.
[01:59:00.145 --> 01:59:02.805]  InfoWars building independent media operations.
[01:59:02.805 --> 01:59:07.826]  You let the worst people get controlled and tell us that we are the ones responsible.
[01:59:07.826 --> 01:59:10.427]  Crime directive discredit Alex Jones.
[01:59:10.427 --> 01:59:13.247]  Jones is the wildly popular conspiracy theorist.
[01:59:13.247 --> 01:59:16.508]  A popular conspiracy theory talk show called InfoWars.
[01:59:16.508 --> 01:59:18.668]  Alex Jones is now in an Austin jail.
[01:59:19.148 --> 01:59:20.329]  People are assaulting us.
[01:59:20.329 --> 01:59:23.151]  Targeting of patriots engaged.
[01:59:23.151 --> 01:59:25.113]  They are never going to stop.
[01:59:25.113 --> 01:59:29.176]  They're never going to deviate from their program until we stop them.
[01:59:29.176 --> 01:59:32.779]  Block free iPhone ads at Infowars.com.
[01:59:32.779 --> 01:59:36.102]  Block free podcasts and video feed.
[01:59:36.102 --> 01:59:37.103]  Imperative.
[01:59:37.103 --> 01:59:39.044]  Destroy Britain's latest TV.
[01:59:39.044 --> 01:59:43.828]  You gotta set your eye on the enemy, not worry about what propaganda they put out.
[01:59:43.828 --> 01:59:45.950]  Intellectually, it's begun and you can feel it.
[01:59:51.506 --> 01:59:54.116]  You're listening to The Alex Jones Show.
[02:00:05.034 --> 02:00:09.861]  Big Brother, Mainstream Media, Government Cover-Ups.
[02:00:09.861 --> 02:00:11.443]  You want answers?
[02:00:11.443 --> 02:00:13.005]  Well, so does he.
[02:00:13.005 --> 02:00:17.191]  He's Alex Jones on the GCN Radio Network.
[02:00:17.191 --> 02:00:21.256]  And now, live from Austin, Texas, Alex Jones.
[02:00:24.863 --> 02:00:29.546]  If our guests can do it, I'd like to continue on to about 20 after with them taking phone calls.
[02:00:29.546 --> 02:00:30.806]  I'm going to ask them right here on air.
[02:00:30.806 --> 02:00:32.247]  I forgot to do it during the break.
[02:00:32.247 --> 02:00:35.609]  Joe Hagman and Doug Hagman of hagmanandhagman.com.
[02:00:35.609 --> 02:00:40.412]  Popular internet talk show that millions now listen to in the aggregate every week.
[02:00:40.412 --> 02:00:47.195]  I mean, we had like 5 million listeners 10 years ago and it's 18 million a week now and these guys had a few hundred thousand a few years ago.
[02:00:47.195 --> 02:00:48.456]  Now they have millions.
[02:00:48.456 --> 02:00:50.377]  How will the system deal with that?
[02:00:51.673 --> 02:00:53.914]  Well, with regulations, hate speech laws, you name it.
[02:00:53.914 --> 02:00:54.655]  Go ahead.
[02:00:54.655 --> 02:00:57.297]  No, you know, Alex, interesting point.
[02:00:57.297 --> 02:01:00.959]  Everyone is looking for that that kill switch to the Internet.
[02:01:00.959 --> 02:01:02.680]  It's better now.
[02:01:02.680 --> 02:01:13.127]  In fact, our source this morning, one of the sources this morning from D.C., telecommunications specialist said, you know, they're doubling down on the management of the information.
[02:01:13.127 --> 02:01:19.531]  They found that they could manage us better by through different means as opposed to just
[02:01:19.531 --> 02:01:22.454]  Just shutting down the internet or recreating it.
[02:01:35.305 --> 02:01:35.725]  Exactly.
[02:01:35.725 --> 02:01:36.285]  Absolutely.
[02:01:36.285 --> 02:01:51.809]  They're trying to, as I'm reading one of their own documents, using positive and negative reinforcements, whether laws or incentives, to change the perceptions and norms of people to affect behaviors and outcomes for the way they seek to reinforce and to change society.
[02:01:51.809 --> 02:01:55.170]  Basic psychology being used, psych warfare against us.
[02:01:55.170 --> 02:01:58.771]  Ramon in Florida, thanks for holding.
[02:01:58.771 --> 02:02:00.631]  What's going on, brother and gentlemen?
[02:02:00.631 --> 02:02:02.352]  It's been a while since we've spoken, but
[02:02:03.559 --> 02:02:18.993]  The question you were asking earlier is what's going to be the top story of 2015, and in my opinion it's going to be that some libertarian grassroots candidate is going to come kick the butt out of every other Democratic and Republican operative that the system is going to throw at us.
[02:02:20.374 --> 02:02:25.619]  I agree, and that's why they want to start racial division in the country by hyping it up, hoping that people don't come together for liberty.
[02:02:38.323 --> 02:02:39.204]  Absolutely, man.
[02:02:39.204 --> 02:02:45.987]  Me and my boy Krip for one part have been traveling up and down the East Coast to different libertarian-minded events and freedom events, man.
[02:02:45.987 --> 02:02:49.809]  And everywhere we go in every city, everywhere we've gone, people all feel the same way.
[02:02:49.809 --> 02:02:54.372]  They feel the change and they know something's coming, man.
[02:02:54.372 --> 02:02:55.332]  Very interesting points.
[02:02:55.332 --> 02:02:56.193]  God bless you, Ramone.
[02:02:56.193 --> 02:02:56.633]  Anything else?
[02:02:58.010 --> 02:03:02.312]  Nah, other than the fact that you guys, the Hagmans, all you guys have been doing great work.
[02:03:02.312 --> 02:03:02.973]  You know what I'm saying?
[02:03:02.973 --> 02:03:04.673]  We're out here supporting you and doing our thing.
[02:03:04.673 --> 02:03:07.395]  You know, we got our own show now, the Revolutionary Cuz Show.
[02:03:07.395 --> 02:03:22.042]  We're trying to bring, you know, people from the ghettos of America into this movement because they need somebody to look up to and somebody to show them that it's not just white America or people with, you know, middle, middle incomes, middle, middle class incomes that need to be a part of this movement.
[02:03:22.042 --> 02:03:23.443]  Everybody needs to be a part of it.
[02:03:23.854 --> 02:03:24.474]  Well, that's right.
[02:03:24.474 --> 02:03:29.437]  We need Hispanic leaders that speak Spanish to reach out as well, because everybody wants freedom.
[02:03:29.437 --> 02:03:31.359]  Everybody wants to know how the game is rigged.
[02:03:31.359 --> 02:03:33.720]  Everybody wants the rest of the story.
[02:03:33.720 --> 02:03:34.580]  And it's there.
[02:03:34.580 --> 02:03:37.942]  All these people trying to get careers in media through the dying dinosaur.
[02:03:37.942 --> 02:03:41.605]  I'm telling you folks, if you don't get involved in the COINTELPRO...
[02:03:42.611 --> 02:03:45.974]  Cognitive infiltration, infighting, you'll be successful.
[02:03:45.974 --> 02:04:05.894]  If you go out, start a blog, start an online radio show, focus, get guests on, because you care about freedom, and when the Feds come and attack you through some proxy, if you don't turn around and start fighting with them, and, you know, you're a Fed, go on, do your old show about that, no one wants to hear you do a show about how you're not a Fed, or how you don't work for the CIA, or you're not Bill Hicks.
[02:04:07.235 --> 02:04:11.479]  That's a diversion White House admitted to get you fighting with each other.
[02:04:11.479 --> 02:04:17.145]  Just keep covering issues, keep talking to other people, and that will bring the system down.
[02:04:17.145 --> 02:04:20.269]  Do you guys agree, Hagmans, it's key to never be involved in infighting?
