[00:00:11.113 --> 00:00:13.374]  He never gives up.
[00:25:10.363 --> 00:25:14.144]  Move, bitch, get out the way.
[00:25:14.144 --> 00:25:15.124]  You can get out of the way,
[00:25:16.897 --> 00:25:17.738]  Have a future?
[00:25:17.738 --> 00:25:19.679]  But you won't.
[00:25:19.679 --> 00:25:21.640]  No, you're gonna be destroyed.
[00:25:21.640 --> 00:25:22.281]  I can see that.
[00:25:22.281 --> 00:25:27.804]  So I'm not gonna cry about it.
[00:25:27.804 --> 00:25:29.746]  Something needs to happen.
[00:25:29.746 --> 00:25:32.848]  And it will.
[00:25:32.848 --> 00:25:38.412]  All the sociopaths and arrogant people in your system are like balls and chains.
[00:25:38.412 --> 00:25:40.053]  They'll bring you down.
[00:25:40.053 --> 00:25:45.216]  The hubris of your queen, Hillary, shows us your weakness.
[00:25:45.216 --> 00:25:46.097]  And the cancer you are.
[00:25:47.748 --> 00:25:49.529]  By cancer.
[00:25:49.529 --> 00:25:58.293]  The Soviet program was all done by the globalists, the deep state, the robber barons, even before they got the National Security Act.
[00:25:58.293 --> 00:26:04.116]  Communist China, declassified, put in charge, 1949, by the CIA.
[00:26:04.116 --> 00:26:06.057]  Greatest mass murders in history.
[00:26:06.057 --> 00:26:13.321]  Everything they've done is about social engineering and total control, that once they get total control, then the communism will finally work.
[00:26:17.056 --> 00:26:21.759]  But instead, all you've created is abominations.
[00:26:21.759 --> 00:26:27.101]  And now we have Nikki Haley, a good governor you could say, but when she's up there, I've got her quotes here.
[00:26:27.101 --> 00:26:33.225]  Haley said the threats were not empty and a diplomatic process with North Korea doesn't work.
[00:26:33.225 --> 00:26:39.348]  She will, quote, be perfectly happy to send this over to Defense Secretary Mattis.
[00:26:39.348 --> 00:26:43.871]  The sycophantic way she acts like that guy is God and
[00:26:45.305 --> 00:26:48.828]  He's got a magic wand and just the power tripping.
[00:26:48.828 --> 00:26:51.049]  Just smells of failure.
[00:26:51.049 --> 00:26:53.831]  Just the arrogance.
[00:26:53.831 --> 00:26:58.234]  Always goes before a fall.
[00:26:58.234 --> 00:27:00.736]  He has plenty of military options.
[00:27:00.736 --> 00:27:09.783]  Why don't you say you would not be happy to have to send it over to Mattis for military options?
[00:27:09.783 --> 00:27:10.624]  No, no, no.
[00:27:10.624 --> 00:27:12.345]  You said you'd be perfectly happy.
[00:27:13.476 --> 00:27:16.270]  That, that, nobody, that's not good lady, okay?
[00:27:17.472 --> 00:27:24.494]  And she goes on, but I agree with her getting the part about if we have to hit North Korea, you've got to vaporize it all.
[00:27:24.494 --> 00:27:31.115]  Sorry, DMZ, all military bases, all the leadership centers, because they are an armed camp.
[00:27:31.115 --> 00:27:38.677]  They're going to cause a huge protracted war that we're going to lose hundreds of thousands of troops in and that the globalists might want to suck us into.
[00:27:38.677 --> 00:27:42.558]  But Trump doesn't want to wait for that to happen a few years down the road as the globalists were planning.
[00:27:42.558 --> 00:27:43.558]  He wants to fix it now.
[00:27:43.578 --> 00:27:49.363]  Don't end it now because he knows North Korea was the planned detonator down the road for America's defeat.
[00:27:49.363 --> 00:27:51.505]  That's not going to happen.
[00:27:51.505 --> 00:27:55.869]  Just to have Haley as the instrument of this with her little screw up, but we all screw up.
[00:27:58.956 --> 00:28:06.719]  She says she'd be perfectly happy, this is a quote, to send this over to Defense Secretary Mattis, since he has plenty of military options.
[00:28:06.719 --> 00:28:07.740]  Oh, plenty?
[00:28:07.740 --> 00:28:08.620]  No.
[00:28:08.620 --> 00:28:11.862]  Total destruction is the only option, lady.
[00:28:11.862 --> 00:28:14.603]  Quote, it was not an empty threat.
[00:28:14.603 --> 00:28:17.184]  What we're doing is being responsible.
[00:28:17.184 --> 00:28:23.967]  Where North Korea is being irresponsible and reckless, we're being responsible by trying to use every diplomatic possibility that we can possibly do.
[00:28:23.967 --> 00:28:28.549]  We're pretty much exhausted all the things we can do at the Security Council at this point.
[00:28:30.913 --> 00:28:38.535]  So when we come back, we'll play her again saying, quote, North Korea will be destroyed if we have to hit them.
[00:28:38.535 --> 00:28:40.555]  Well, you have to.
[00:28:40.555 --> 00:28:47.056]  But we're not happy to turn that over to Mattis, like Mattis because he has the name Mad Dog.
[00:28:47.056 --> 00:28:51.097]  He'll magically fix it all with China and Russia involved.
[00:28:51.097 --> 00:28:52.877]  You see, we're not dealing with North Korea.
[00:28:52.877 --> 00:28:53.718]  It's a gambit.
[00:28:53.718 --> 00:28:55.838]  It's a pawn in the larger stratagem.
[00:28:57.970 --> 00:29:06.713]  Hey, did you know that you can now preserve your own food for up to 25 years and still maintain its nutrition and flavor?
[00:29:06.713 --> 00:29:07.253]  That's right.
[00:29:07.253 --> 00:29:12.515]  Now's the time to build your own food storage with Harvest Rites freeze dryers.
[00:29:12.515 --> 00:29:19.197]  Go to infowarsstore.com to learn more and check out this innovative and smart technology that's easy to use.
[00:29:19.197 --> 00:29:26.440]  And let me tell you something, it is perfect for freeze drying fruits, vegetables, meats, dairy products, desserts, and entire meals.
[00:29:26.800 --> 00:29:27.000]  Woo!
[00:29:27.000 --> 00:29:28.041]  That's what I'm talking about.
[00:29:28.041 --> 00:29:36.786]  And when compared to traditional methods of preservation, like canning or dehydrating, you know, like what you get at the grocery store, there is no comparison.
[00:29:36.786 --> 00:29:46.372]  Harvest Right freeze dryers retain 97% of the food's taste, color, and nutritional value, and have a shelf life of up to 25 years.
[00:29:46.372 --> 00:29:49.834]  Now that's what I call the miracle of food preservation.
[00:29:49.834 --> 00:29:53.936]  Harvest Right is truly the world's best, most affordable freeze dryer.
[00:29:53.936 --> 00:29:54.777]  So what are you waiting for?
[00:29:54.997 --> 00:29:59.198]  Check it out right now at InfoWarsStore.com.
[00:29:59.198 --> 00:30:09.780]  We've taken thousands of years of known research and put it together with our own four years of seeking and testing to find the very best systems that God gave us through Mother Nature to detoxify the body.
[00:30:09.780 --> 00:30:14.702]  That's why I'm introducing Z-Shield, toxic metal and chemical defense support.
[00:30:14.702 --> 00:30:15.882]  It's made in the USA.
[00:30:16.442 --> 00:30:16.782]  I think?
[00:30:39.892 --> 00:30:51.615]  Patriots, stay as healthy and as clean and as focused as you can be because we need you, the remnant of America, to reignite those brush fires to the next level and to be healthy and as focused as you can be.
[00:30:51.615 --> 00:30:54.916]  Thanks to your support and your prayers, together, we're changing the world.
[00:30:54.916 --> 00:30:58.117]  Now it's time to change our bodies with Z-Field and Infowarslife.com.
[00:31:00.191 --> 00:31:04.896]  You deserve a deep restful sleep with Knockout by InfoWars Life.
[00:31:04.896 --> 00:31:15.326]  Our organic formula is made from high quality natural ingredients such as valerian root extract, L-tryptophan, lemon balm leaf extract, and melatonin.
[00:31:16.207 --> 00:31:21.009]  Knockout packs a powerful punch to get you through the night and achieve proper sleep.
[00:31:21.009 --> 00:31:29.393]  Millions of people around the world experience daytime drowsiness, but with the rapid speed of life, we need to be able to keep up the pace.
[00:31:29.393 --> 00:31:37.136]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need.
[00:31:37.136 --> 00:31:39.077]  Wake up refreshed and take on the day.
[00:31:39.557 --> 00:31:47.501]  InfoWarsLife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[00:31:47.501 --> 00:31:51.183]  Get the sleep you deserve and experience the power of knockout.
[00:31:51.183 --> 00:31:55.565]  Head on over to InfoWarsLife.com and say goodbye to fatigue.
[00:31:55.565 --> 00:31:56.985]  That's InfoWarsLife.com
[00:31:59.728 --> 00:32:01.209]  Vitamin Mineral Fusion.
[00:32:01.209 --> 00:32:03.910]  Visit Infowarslife.com to secure your chemister.
[00:32:03.910 --> 00:32:11.413]  We have worked for years with our chemists and scientists to create the most powerful and affordable grape-tasting multivitamin formula available.
[00:32:11.413 --> 00:32:21.598]  Vitamin Mineral Fusion Drink Mix at Infowarslife.com is loaded with a full month's supply of essential vitamins, minerals, and amino acids that your body absolutely needs.
[00:32:22.058 --> 00:32:29.882]  In the history of Infowars Life, we've brought out a lot of amazing products like Survival Shield X2, Super Mel Vitality, and so many others.
[00:32:29.882 --> 00:32:40.086]  With its unique delivery system and proprietary manufacturing process designed for maximized effects, this formula is the platinum standard of multivitamin mineral products.
[00:32:40.086 --> 00:32:42.127]  And this part is most important.
[00:32:42.127 --> 00:32:48.950]  The ingredients in vitamin mineral fusion are either plant-derived or of the highest quality lab standard.
[00:32:48.950 --> 00:32:50.391]  That means it's clean.
[00:32:50.391 --> 00:32:51.311]  That means it's pure.
[00:32:51.531 --> 00:32:53.033]  You're listening to the Alex Jones Show!
[00:33:22.876 --> 00:33:27.758]  Defending the Republic from enemies foreign and domestic.
[00:33:27.758 --> 00:33:29.798]  It's Alex Jones.
[00:33:29.798 --> 00:33:33.779]  Battling the cult of the entitled state.
[00:33:33.779 --> 00:33:40.661]  Whether it be the Clintons or Kim Jong-un and his degenerate family history.
[00:33:40.661 --> 00:33:42.882]  A bunch of entitled trash.
[00:33:42.882 --> 00:33:50.304]  A bunch of narcissistic, psychopathic filth that will fall and will not take America and the world with them.
[00:33:52.634 --> 00:33:55.136]  All right, I've got to just blitz through tons of news.
[00:33:55.136 --> 00:34:01.800]  Someone opened the phones up in the second hour, Ann Laura Loomer, who confronted Hillary Clinton again, had the Secret Service go after her.
[00:34:01.800 --> 00:34:04.322]  Hillary was in a toilet paper aisle.
[00:34:04.322 --> 00:34:06.903]  Who would not think of the optics of that?
[00:34:06.903 --> 00:34:08.585]  It's all coming up in the second hour.
[00:34:08.585 --> 00:34:13.388]  We have a lot of HD footage Loomer sent us that she didn't stream out live, that nobody's seen.
[00:34:13.388 --> 00:34:15.909]  Rob Dew came in, put it together in an HD report.
[00:34:15.909 --> 00:34:17.791]  We're going to premiere the start of the next hour.
[00:34:18.691 --> 00:34:24.113]  It is all coming up at InfoWars.com forward slash show.
[00:34:24.113 --> 00:34:31.275]  Because remember, if you're a radio listener, you can also watch InfoWars.com forward slash show.
[00:34:31.275 --> 00:34:41.178]  Remember folks, we're the most hated, most demonized media in the United States, and also in Europe to a great extent, because we've got our finger on the pulse.
[00:34:42.930 --> 00:34:44.911]  The mainstream media reads off teleprompters.
[00:34:44.911 --> 00:34:52.413]  They get talking points from the Ford Foundation and the Rockefeller Foundation and from the State Department.
[00:34:52.413 --> 00:34:57.314]  And they're all just a bunch of pseudo-intellectuals that try to look credible.
[00:34:57.314 --> 00:35:06.456]  They don't know that if North Korea strikes South Korea or Japan, there's a total commitment to plan to hit them with about 150 tactical nuclear weapons.
[00:35:06.456 --> 00:35:07.636]  That's the only plan there is.
[00:35:07.636 --> 00:35:09.637]  I mean, you've got to kill all those armies
[00:35:11.800 --> 00:35:19.454]  We go back to 1953 when MacArthur wanted to drop atomic bombs on 3 million Chinese troops coming across the Yalu River.
[00:35:22.222 --> 00:35:26.326]  And the average trendy, even a CNN host, they don't know all that.
[00:35:26.326 --> 00:35:35.853]  They just go, conspiracy theorist, kook, weirdo, he believes there's Martian bases, never said that, because they're not historians.
[00:35:35.853 --> 00:35:40.557]  They didn't work six hours today before I went on air.
[00:35:40.557 --> 00:35:44.140]  Four hours here before I went on air.
[00:35:44.140 --> 00:35:44.601]  Research it.
[00:35:45.694 --> 00:35:49.155]  They just go, oh Alex Jones is a cool guy.
[00:35:49.155 --> 00:35:50.196]  It doesn't matter.
[00:35:50.196 --> 00:35:53.937]  Our audience is bigger than many of your networks combined and you hate it.
[00:35:53.937 --> 00:35:56.798]  And despite all your censorship, it's failing.
[00:35:56.798 --> 00:36:02.100]  Because you're so discredited while you try to censor us, but build a straw man up of who we are.
[00:36:02.100 --> 00:36:06.181]  Enough of your audience is smart enough to go, they're attacking this guy constantly.
[00:36:06.181 --> 00:36:08.702]  We ought to actually hear what he's really doing.
[00:36:12.239 --> 00:36:22.543]  I don't want to get up here and attack Nikki Haley, but she says stuff routinely that just isn't right.
[00:36:22.543 --> 00:36:31.926]  Like, we'll be happy to run out of diplomatic options and just give this to the Secretary of Defense to have a military option.
[00:36:31.926 --> 00:36:33.906]  You don't talk like that.
[00:36:33.906 --> 00:36:34.907]  Because if we've got to drop
[00:36:36.069 --> 00:36:37.990]  We don't want to be saying we were happy about that.
[00:36:37.990 --> 00:36:39.671]  Not just for optics, but for Mojo.
[00:36:39.671 --> 00:36:41.452]  You don't want to have to do this.
[00:36:41.452 --> 00:36:42.633]  You want the moral high ground.
[00:36:56.212 --> 00:37:07.597]  And you certainly don't want to have to go to nuclear war because the globalists gave North Korea nuclear weapons and thought they'd blackmail the United States into surrender to Communist China through their set piece down the road.
[00:37:07.597 --> 00:37:09.637]  We're breaking with globalist policy.
[00:37:09.637 --> 00:37:10.778]  That's why Trump's real.
[00:37:10.778 --> 00:37:13.119]  But we're not happy about the whole.
[00:37:14.039 --> 00:37:17.861]  That Hillary and Bill Clinton put us in when they gave those systems to North Korea.
[00:37:17.861 --> 00:37:21.642]  It's not something we... I don't have to report you to the principal.
[00:37:21.642 --> 00:37:25.024]  I'm more than happy to send you to the principal to get licks.
[00:37:25.024 --> 00:37:28.945]  This isn't sending some student to the principal to get licks.
[00:37:28.945 --> 00:37:32.407]  We're not happy North Korea's run by a nutcase.
[00:37:32.407 --> 00:37:34.367]  We're not happy he's got nuclear weapons.
[00:37:34.367 --> 00:37:36.288]  We're not happy he's got ICBMs.
[00:37:36.288 --> 00:37:38.249]  We're not happy to go to the military option.
[00:37:38.249 --> 00:37:42.471]  But if we do, total commitment, up front, preemptive strike, destroy the country!
[00:37:43.561 --> 00:37:51.045]  And that isn't acting tough like all you wannabe tough guys that don't do the research, that don't put the hours in!
[00:37:51.045 --> 00:37:54.307]  I'm sick of it!
[00:37:54.307 --> 00:37:55.548]  And I'm angry about it!
[00:37:55.548 --> 00:37:58.369]  I have four children!
[00:37:58.369 --> 00:38:05.073]  If China and North Korea and Russia think that the United States is going to back off from this, they're idiots.
[00:38:07.295 --> 00:38:10.836]  But the people out there that think, oh we're just dealing with North Korea, they're idiots too.
[00:38:10.836 --> 00:38:13.337]  We're dealing with Russia and we're dealing with China.
[00:38:13.337 --> 00:38:14.138]  That's what this is about.
[00:38:14.138 --> 00:38:22.581]  And it's about breaking that deal that Harry Truman made way back then to sell us out to the UN.
[00:38:22.581 --> 00:38:27.243]  And this Frankenstein that's North Korea.
[00:38:27.243 --> 00:38:29.624]  Here's Nikki Haley on the Communist News Network.
[00:38:31.132 --> 00:38:32.093]  Is that what fire and fury meant?
[00:39:02.413 --> 00:39:03.554]  Yeah, that's what fire and fury is.
[00:39:03.554 --> 00:39:05.795]  Because Bash keeps asking, what's that mean?
[00:39:05.795 --> 00:39:06.435]  What's that mean?
[00:39:06.435 --> 00:39:07.956]  It's like, I'm going to knock your lights out.
[00:39:07.956 --> 00:39:08.436]  What's that mean?
[00:39:08.436 --> 00:39:11.839]  I'm going to knock you upside the head.
[00:39:11.839 --> 00:39:14.520]  The media will spit that I'm threatening to punch Dana Bash.
[00:39:14.520 --> 00:39:15.221]  That's not what I'm saying.
[00:39:15.221 --> 00:39:18.803]  I'm saying, I'm going to knock your lights out means I'm going to knock you upside the head.
[00:39:18.803 --> 00:39:20.244]  I'm going to knock you out.
[00:39:20.244 --> 00:39:22.225]  Fire and fury means nuclear weapons.
[00:39:25.111 --> 00:39:27.092]  And they've moved them into place.
[00:39:27.092 --> 00:39:28.453]  People are asking me, how did you know?
[00:39:28.453 --> 00:39:29.493]  Were you given classified info?
[00:39:29.493 --> 00:39:35.736]  How did you know months ago that it'd be tactical nukes in the DMZ and taking out, you know, their main cities and everything?
[00:39:35.736 --> 00:39:37.056]  Because you have to!
[00:39:37.056 --> 00:39:47.641]  They're an armed camp of brainwashed psychopaths that the minute you do anything or respond, all hell's gonna break loose!
[00:39:47.641 --> 00:39:52.984]  So, things are very, very serious, and we have to be very, very focused right now, obviously.
[00:39:54.412 --> 00:39:55.833]  On what's happening.
[00:39:55.833 --> 00:40:03.995]  Now another clip I want to play of the Prime Minister of England talking about the situation and what's been unfolding with the terror attacks.
[00:40:03.995 --> 00:40:13.259]  But everyone's ignoring Europe lets in the UN Refugee Program now says 10 million people the last five years 80 plus percent are military age men.
[00:40:14.246 --> 00:40:16.467]  And then you wonder why there's terror attacks.
[00:40:16.467 --> 00:40:20.008]  You wonder why there's acid attacks every hour or so.
[00:40:20.008 --> 00:40:21.008]  Why there's stabbings.
[00:40:21.008 --> 00:40:22.668]  Why they run over people.
[00:40:22.668 --> 00:40:23.989]  Why there's bombings.
[00:40:23.989 --> 00:40:30.390]  And then they go, oh don't worry, we'll spy on everybody and take your rights and ban any criticism of Islam because that might be stirring them up.
[00:40:30.390 --> 00:40:30.850]  No.
[00:40:30.850 --> 00:40:32.831]  They kill each other in their own countries.
[00:40:32.831 --> 00:40:34.991]  They're not compatible in a civilization.
[00:40:34.991 --> 00:40:40.573]  If they're Islamists that are heretics and want to live in a free country, then I'm all about bringing them here.
[00:40:42.233 --> 00:40:43.673]  My issue isn't their brown skin.
[00:40:43.673 --> 00:40:46.874]  My issue is the ideology of their pink brain.
[00:40:46.874 --> 00:40:48.954]  It's rotten.
[00:40:48.954 --> 00:40:52.095]  So, here's May, who's declared martial law with troops on the street.
[00:40:52.095 --> 00:40:58.496]  It's like leaving your front door open and then sending guards to stand over your children and act like they're the criminals.
[00:40:58.496 --> 00:41:04.017]  They've let in the Islamic threat to then bring in a police state, and I used to think it was just for a police state.
[00:41:04.017 --> 00:41:05.458]  No!
[00:41:05.458 --> 00:41:06.998]  We're not politically involved as Christians.
[00:41:08.120 --> 00:41:09.581]  The Muslims have got all this money.
[00:41:09.581 --> 00:41:11.163]  They bought the governments off.
[00:41:11.163 --> 00:41:13.885]  This is their long-term, thousand-plus year program.
[00:41:13.885 --> 00:41:15.667]  Hell, ask folks in Turkey.
[00:41:15.667 --> 00:41:17.008]  Used to be Constantinople.
[00:41:17.008 --> 00:41:20.010]  Look at the beautiful mosque the Muslims built.
[00:41:20.010 --> 00:41:22.693]  It's the blue church.
[00:41:22.693 --> 00:41:24.074]  It's the same old war, folks.
[00:41:24.074 --> 00:41:24.954]  It's who they are.
[00:41:24.954 --> 00:41:26.055]  They know who they are.
[00:41:26.055 --> 00:41:27.216]  They have an identity.
[00:41:27.216 --> 00:41:27.957]  We don't.
[00:41:27.957 --> 00:41:33.582]  The globalists took it from us before they tried to conquer us, and they're using Islam as their weapon to do it.
[00:41:33.582 --> 00:41:34.603]  Here is the Prime Minister.
[00:41:35.643 --> 00:41:50.587]  The Terrorism Analysis Centre, that's the independent organisation which is responsible for setting the threat level on the basis of available intelligence, has now decided to raise the national threat level from severe to critical.
[00:41:50.587 --> 00:41:55.708]  This means that their assessment is that a further attack may be imminent.
[00:41:56.548 --> 00:42:07.691]  Following JTAC's decision, the police have asked for authorisation from the Secretary of State for Defence to enact part of the first phase of Operation Tempora.
[00:42:07.691 --> 00:42:12.452]  This is a well-established plan to provide military support to the police.
[00:42:12.452 --> 00:42:21.234]  And for this period, military personnel will replace police officers on guard duties at certain protected sites which are not accessible to the public.
[00:42:22.034 --> 00:42:28.938]  The public will see more armed police on the transport network and on our streets, providing extra protection.
[00:42:28.938 --> 00:42:41.064]  Alright, so disarm the public, bring in a bunch of Islamists, let them kill you, totally protect them, and then put troops on the street, and then double the amount of people being arrested for criticizing Islam.
[00:42:41.064 --> 00:42:42.025]  We get your plan.
[00:42:42.025 --> 00:42:46.247]  And she's being criticized for not wanting more open borders to unvetted Muslims.
[00:42:46.247 --> 00:42:46.968]  Just like Trump is.
[00:42:47.748 --> 00:42:49.829]  She's not as good as Trump, but she's a little bit better than what they had.
[00:42:49.829 --> 00:42:54.850]  But again, they put a weak Tory in to get the leftist in very, very soon.
[00:42:54.850 --> 00:42:55.430]  We'll be back.
[00:42:55.430 --> 00:42:58.071]  Stay with us.
[00:42:58.071 --> 00:43:02.792]  As most of you already know, I am a voracious consumer of news and information.
[00:43:02.792 --> 00:43:12.995]  And in the last four or five years, doing more and more research, I came across the fact that the elite establishment is fully aware of the fact that our ancient ancestors, in many cases,
[00:43:12.995 --> 00:43:13.235]  I think?
[00:43:32.132 --> 00:43:32.612]  We're good.
[00:43:57.987 --> 00:43:59.868]  It's not just our water we need to filter.
[00:43:59.868 --> 00:44:01.889]  It's not just our food that needs to be cleaned.
[00:44:01.889 --> 00:44:04.690]  It's the air we're breathing, especially for our children.
[00:44:04.690 --> 00:44:10.873]  The artificial particulates, the chemicals, is absolutely weighing down our immune systems.
[00:44:10.873 --> 00:44:20.058]  The same team based right here in America that brought you the Alexa Pure groundbreaking water filtration systems have now developed Alexa Pure Breathe.
[00:44:20.058 --> 00:44:24.920]  Whether it's your home or office, you owe it to yourself, your co-workers, your family, your children.
[00:44:25.140 --> 00:44:27.582]  Do the best job you can to purify your air.
[00:44:27.582 --> 00:44:35.610]  The elite are masters at poisoning our environment, while themselves doing things that mitigate or avoid most of the toxic effects for themselves.
[00:44:35.610 --> 00:44:36.571]  The general public doesn't.
[00:44:37.791 --> 00:44:41.733]  The Alexa Pure Breeze will be a steal at $300, $400, $500.
[00:44:41.733 --> 00:44:45.315]  One of these systems can keep 800 square feet incredibly clean.
[00:44:45.315 --> 00:44:52.019]  This is a system I'm personally putting in throughout my house, replacing older, more expensive filters that didn't do as good a job.
[00:44:52.019 --> 00:44:56.201]  Find out why this system is so revolutionary today at InfoWarsTore.com.
[00:45:00.268 --> 00:45:01.709]  You developed Living Defense for us.
[00:45:01.709 --> 00:45:03.030]  It took you over a year to do it.
[00:45:03.030 --> 00:45:04.231]  Why is this so good?
[00:45:04.231 --> 00:45:09.516]  Because people are actually waking up to the problem that pretty much scares me the most.
[00:45:09.516 --> 00:45:23.069]  I mean, I try to make sure that I don't put toxins from food and water and beverages in my system, but right now we're dealing with massive parasites, which is anything that's harmful to your body that lives off a host mechanism.
[00:45:23.069 --> 00:45:24.430]  Right now with all the refugees,
[00:45:25.211 --> 00:45:26.853]  Uh, spreading disease around.
[00:45:26.853 --> 00:45:29.355]  We have biological warfare going on everywhere.
[00:45:29.355 --> 00:45:30.717]  These are all parasites.
[00:45:30.717 --> 00:45:31.838]  Tell us about all the stuff that's in it.
[00:45:31.838 --> 00:45:33.159]  There's so many things that are in it.
[00:45:33.159 --> 00:45:37.664]  You have the neem in there, you have the organic clove bud, the organic wormwood.
[00:45:37.664 --> 00:45:40.807]  I recommend doing a parasite cleanse at least twice a year.
[00:45:40.987 --> 00:45:43.990]  Alright, well, I'm glad we've got some back in because I'm going back on it today.
[00:45:43.990 --> 00:45:45.052]  It just came back in yesterday.
[00:45:45.052 --> 00:45:45.873]  Living Defense.
[00:45:45.873 --> 00:45:46.994]  Infowarslife.com.
[00:45:46.994 --> 00:45:48.015]  And folks, you can't lose.
[00:45:48.015 --> 00:45:50.718]  It's full of stuff that's great for your body, period.
[00:45:50.718 --> 00:45:52.640]  And you support the broadcast.
[00:45:52.640 --> 00:45:53.982]  Infowarslife.com.
[00:45:53.982 --> 00:45:56.225]  Thank you, Dr. Group from the Global Healing Center.
[00:45:56.225 --> 00:45:58.187]  Thank you so much for all your work, sir, on this great product.
[00:45:59.767 --> 00:46:03.770]  A new shipment of Bio-True Selenium is now available at Infowarslife.com.
[00:46:03.770 --> 00:46:05.250]  We've been sold out for months.
[00:46:05.250 --> 00:46:10.314]  Our one-of-a-kind Infowarslife Bio-True Selenium formula is now back in stock at Infowarslife.com.
[00:46:10.314 --> 00:46:14.456]  This is the true selenium formula that has rocked the nutraceutical industry to its core.
[00:46:14.456 --> 00:46:18.999]  Nearly every other selenium supplement on the market is produced with synthetic selenium.
[00:46:18.999 --> 00:46:22.261]  But Bio-True Selenium is made from a source of 100% organic mustard seeds.
[00:46:24.122 --> 00:46:27.603]  The effects of the essential trace mineral selenium are well known.
[00:46:27.603 --> 00:46:31.765]  From supporting the thyroid gland and immune system, to DNA production and eyesight.
[00:46:31.765 --> 00:46:34.546]  BioTrue Selenium is also the perfect supercharger.
[00:46:34.546 --> 00:46:36.846]  A survival shield X2 base of iodine.
[00:46:36.846 --> 00:46:39.847]  As both help support a healthy thyroid and many other systems.
[00:46:39.847 --> 00:46:44.749]  Visit InfoWarsLife.com to order your bottle of BioTrue Selenium before we sell it again.
[00:46:44.749 --> 00:46:52.752]  That's InfoWarsLife.com to secure your selenium and other key products that don't only help yourself and your family, but also fund our operation against the globalists.
[00:46:52.752 --> 00:46:52.972]  A 360 win.
[00:46:53.812 --> 00:46:55.873]  We didn't ask for this fight, but we're in this fight.
[00:46:55.873 --> 00:46:57.394]  This is the time to support InfoWars.
[00:46:57.394 --> 00:47:02.137]  That's InfoWarsLive.com.
[00:47:02.137 --> 00:47:04.739]  You're listening to the Alex Jones Show.
[00:47:27.823 --> 00:47:29.527]  You want to stop tyranny?
[00:47:29.527 --> 00:47:31.171]  Well, so does he.
[00:47:31.171 --> 00:47:35.904]  Live from the InfoWars.com studios, it's Alex Jones.
[00:47:42.429 --> 00:47:43.550]  We are back live.
[00:47:43.550 --> 00:47:45.210]  Open phones in the second hour.
[00:47:45.210 --> 00:47:47.111]  Reporter Laura Loomer joining us.
[00:47:47.111 --> 00:47:48.912]  She confronted Hillary for the second time in a week.
[00:47:48.912 --> 00:47:51.954]  She was asking her questions about Benghazi.
[00:47:51.954 --> 00:47:53.894]  Her book's called What Happened.
[00:47:53.894 --> 00:47:55.475]  What happened to you trying to steal the election?
[00:47:55.475 --> 00:47:57.456]  What happened to you faking the polls?
[00:47:57.456 --> 00:48:00.197]  What happened to you getting the questions, the debates beforehand?
[00:48:00.197 --> 00:48:03.799]  What happened to all those witnesses to Mena Arkansas drug dealing getting killed?
[00:48:03.799 --> 00:48:06.320]  You know, just what happened to all of it?
[00:48:06.320 --> 00:48:07.421]  What happened with Anthony Weiner?
[00:48:08.851 --> 00:48:13.721]  What happened with the missile secrets and fissile material for nuclear weapons in North Korea?
[00:48:13.721 --> 00:48:15.164]  Why are you such a traitor?
[00:48:15.164 --> 00:48:18.471]  She goes there and Hillary is in the toilet paper aisle at Costco.
[00:48:20.691 --> 00:48:25.333]  We've got all that exclusive footage coming up when she joins us in the second segment of the next hour.
[00:48:25.333 --> 00:48:29.715]  And then it is your phone calls, 877-789-ALEX.
[00:48:29.715 --> 00:48:31.296]  That's 877-789-2539.
[00:48:31.296 --> 00:48:36.739]  The Sunday number for the last eight, nine years I've done this show is our own number.
[00:48:36.739 --> 00:48:38.320]  We produce it all right out of the house.
[00:48:38.320 --> 00:48:40.281]  During the week, I'm still with GCN.
[00:48:40.281 --> 00:48:41.661]  They have their little phone system up there.
[00:48:41.661 --> 00:48:43.322]  It's a different number, but ours is 877-789-A-L-E-X gets you on the air.
[00:48:49.747 --> 00:48:51.688]  So new reports out.
[00:48:51.688 --> 00:48:56.269]  Jihadists preparing trained derailments and food poisoning in Europe.
[00:48:56.269 --> 00:48:59.089]  RT, the Associated Press and others report.
[00:48:59.089 --> 00:49:01.490]  And what ISIS says they're going to do, they're going to do.
[00:49:01.490 --> 00:49:06.811]  After Obama and Hillary and all them gave them all those weapons and gave them oil fields and gave them all that support.
[00:49:06.811 --> 00:49:07.552]  I mean, that's a fact.
[00:49:07.552 --> 00:49:08.192]  They did that.
[00:49:08.192 --> 00:49:08.592]  That's not...
[00:49:09.272 --> 00:49:10.232]  That's not fantasy.
[00:49:10.232 --> 00:49:12.013]  So more attacks coming, but don't worry.
[00:49:12.013 --> 00:49:17.876]  We'll just bring more Muslims in and visit mosques and have Islam appreciation in all the schools.
[00:49:17.876 --> 00:49:19.757]  That'll make the Muslims stop killing us.
[00:49:19.757 --> 00:49:20.937]  It never did before.
[00:49:20.937 --> 00:49:24.219]  They just take over already half the planet, but it's alright.
[00:49:24.219 --> 00:49:27.620]  They just throw gays off buildings and cut women's genitals off, but J.K.
