[00:00.000 --> 00:06.000]  In this present crisis, government is not the solution to our problem.
[27:52.000 --> 28:02.000]  show him denounce it on Monday, and then show him again denounce it on Tuesday, and show him say, I denounce it, I denounce it, I denounce racism, come together.
[28:02.000 --> 28:10.000]  Love, love, love, I denounce it, come together. But in between, show them going, he won't denounce it, he won't denounce it, he never denounced it, he still hasn't denounced it.
[28:10.000 --> 28:20.000]  And then say, oh, do you remember this? Do you remember when he said 10 years ago, I don't like David Duke just randomly when somebody brought him up?
[28:20.000 --> 28:28.000]  Then he said it before, then he said it on the campaign. Then in one press conference, he said it like four times, and they kept saying three minutes later, you never denounced it.
[28:28.000 --> 28:36.000]  So we need to show people how they did that. Oh, and why won't you denounce rape? Why won't I denounce it? Well, we have denounced it, but we didn't do it.
[28:36.000 --> 28:43.000]  The point is, it's pure dumb, dumb level to put out some moral outrage, so really stupid people in the public.
[28:43.000 --> 28:52.000]  This is really a stupid person test. Consider and feel moral outrage and call in and go, yeah, he never denounced it. How stupid do they feel?
[28:52.000 --> 28:58.000]  Or how stupid are these people? I mean, are these the type of folks that buy powerball lotteries? And I'm not saying that you buy the lotteries for fun, you're bad.
[28:58.000 --> 29:05.000]  But if it's your business model, if it's your business plan to buy lottery tickets, taking you're going to win, is this the same type of useful idiot someone?
[29:05.000 --> 29:13.000]  I assume as much. I mean, I don't understand the type of person. You know what it is, though, Alex? I think it's that people, they don't know.
[29:13.000 --> 29:20.000]  They've never heard Trump say anything. What they do is they walk through the gym or they walk through the cafe or they walk through the restaurant and they just see the television
[29:20.000 --> 29:26.000]  and on the bottom line it says Trump yet to denounce or they have a push notification on their cell phone and it just says Trump racist.
[29:26.000 --> 29:29.000]  They don't actually know the context. They don't know the content.
[29:29.000 --> 29:37.000]  That's it. That's it. That's it. That's it. That's it. That's it. That's it. You just hit it. They've been watching it in hotels and in restaurants where I am with their stuff on TV.
[29:37.000 --> 29:47.000]  It says Trump defends KKK. Trump refuses to stay no or Michael Moore says he is a Nazi. He is a racist and they just see that or they read it in the newspaper headline.
[29:47.000 --> 29:50.000]  They're not paying attention and they believe it.
[30:17.000 --> 30:21.000]  We're hosting this formula and making changes to this formula for over 10 years.
[30:47.000 --> 30:52.000]  You cannot sell something unless it helps somebody and you can't support an organization that didn't fight hard.
[30:52.000 --> 31:18.000]  Look at the response we're getting. We were changing the world together. You are the info work. God bless you all.
[31:22.000 --> 31:37.000]  That's what I'm talking about and when compared to traditional methods of preservation like canning or dehydrating, you know, like what you get at the grocery store, there is no comparison.
[31:37.000 --> 31:47.000]  Harvest right freeze dryers retain 97% of the food's taste, color and nutritional value and have a shelf life of up to 25 years.
[31:47.000 --> 31:55.000]  Now that's what I call the miracle of food preservation. Harvest right is truly the world's best, most affordable freeze dryer.
[31:55.000 --> 32:21.000]  So what are you waiting for? Check it out right now at infoorstore.com.
[32:21.000 --> 32:48.000]  This formula is the platinum standard of multivitamin mineral products. And this part is most important. The ingredients in vitamin mineral fusion are either plant derived or of the highest quality lab standard.
[32:48.000 --> 32:59.000]  That means it's clean. That means it's pure and rest secured. You're finding the tip of the spear in the info war. That's infowarslife.com and vitamin mineral fusion. Take action now before we sell out.
[32:59.000 --> 33:15.000]  The Alex Jones show because there is a war on for your mind.
[33:15.000 --> 33:24.000]  Alright, I'm going to skip the connection network break coming up because I want to play most of Trump's press conference, at least from the point we started taking questions.
[33:24.000 --> 33:41.000]  And then we're going to later, McGreen did put together a compilation of Trump's six minutes long disavowing David Duke, the KKK and then disavowing it again and again and again with time stamps showing how the media poses and says, why have you never?
[33:41.000 --> 33:56.000]  It's been months and months and years and years into him disavowing. And the new stuff where he where he decried Saturday, Monday, Tuesday, they don't care. They keep saying, why won't you disavow? Why won't you disavow?
[33:56.000 --> 34:04.000]  Lying to their viewers lying to you. And it's just like Owen Schreuer said earlier. This is happening is the average person is just reading notifications on their phones.
[34:04.000 --> 34:15.000]  Or they're reading Yahoo News at the restaurant or at the store or they're reading Google. That's why they hate Drudge because he could actually take what Trump really said or they hate him for wars.
[34:15.000 --> 34:24.000]  We can actually have real quotes, real video. There's a war against reality. These people are in a war against reality. This morning I was in a hotel restaurant.
[34:24.000 --> 34:35.000]  I was looking at people on their laptops. And it was headline. I was on Yahoo News. Obama, you know, concerned Trump won't decry racism.
[34:35.000 --> 34:48.000]  And I saw other headlines saying the same thing. And I'd get up to get some more coffee or whatever. And I'd walk by and read what they were reading just to see and they were just all sitting there, not even reading the actual articles.
[34:48.000 --> 34:56.000]  Because you read the articles at the bottom, they'll actually say the truth a lot of times. It's the top and the first few paragraphs are incredible.
[34:56.000 --> 35:04.000]  They're absolutely incredible the way they deceive you. But I know as an audience, you understand that. It's just that it's getting more and more intense.
[35:04.000 --> 35:11.000]  Now, the number one thing folks can do is understand this. We're under globalist attack. They're trying to take our sponsors are trying to shut us down.
[35:11.000 --> 35:21.000]  But because of you, we're still moving forward. And I have committed to you to bring you the very best books, films, water filtration, air filtration, non GMO heirloom seeds, you name it.
[35:21.000 --> 35:30.000]  And we have the biggest special in our history, last month's special and this month's special combined, because folks love specials.
[35:30.000 --> 35:39.000]  And because Buzzfeed tried to shut us down, send us to one of these California labs with the highest standards in the world, California standards, they failed to find any toxins, any metals.
[35:39.000 --> 35:47.000]  So they lied about us and said, oh, look, they should sell their vitamin B12 for less. But the very same site sells the best vitamin B12 out there from the studies.
[35:47.000 --> 35:58.000]  They say it's the best. They didn't know that we private labeled it and had it for $12 less. So it's just we show all that on the Buzzfeed special page, just a devastating victory against these lying failures.
[35:58.000 --> 36:05.000]  And that's what they are. They've chosen failure. They've chosen evil. They've chosen not to be productive. They've chosen to serve lies, serve corruption.
[36:05.000 --> 36:14.000]  That's fine. They've chosen their Lord and Savior. Brainforce Plus, incredible, new tropic people love it, super high powered, very, very good.
[36:14.000 --> 36:21.000]  Survival Shield X2, the good halogen. They take, you know, all these bad halogens, put them in the food, the water, they fill the thyroid and other glands.
[36:21.000 --> 36:31.000]  If you don't have the good, clean iodine in there, then the bad ones go in. If there's a radiation event, you get the bad iodine, the radioactive iodine, having the good iodine blocks that.
[36:31.000 --> 36:38.000]  Buzzfeed lab tested and said, it's not potassium iodide. It's not sodium iodide sold everywhere. It's just iodine.
[36:38.000 --> 36:46.000]  So they had to spin each thing. Yes. You know how hard it is to get the actual pure, deep earth type, get the DEA certifications, have it all.
[36:46.000 --> 36:52.000]  Because it is a major precursor, a lot of things. We have that Survival Shield X2, 55% off.
[36:52.000 --> 37:03.000]  Secret XII, the one they demonized, 55% off. Biotrucelinium, it is 1776. New super blue mouthwash, 11% off, 1776 with colloidal silver.
[37:03.000 --> 37:10.000]  And of course, with iodine. Amazing, true iodine. We call it true. It's our term, because it's true. That's what nascent means.
[37:10.000 --> 37:15.000]  Everything else calls itself that. They're not. They're the potassium or other types.
[37:15.000 --> 37:22.000]  Then they're bound. Then you don't get the absorption. Silver bullet, colloidal silver, 66% off, 30 parts per million.
[37:22.000 --> 37:30.000]  Myco ZX, the antifungal, other equation of the probiotic. Caveman, amazing, turmeric, chaga, bee pollen, concentrated.
[37:30.000 --> 37:37.000]  The equivalent of, I mean, it's like chicken noodle soup squared, the amount of nutrients and how filling and how good it is for your body.
[37:37.000 --> 37:47.000]  Alexa Pure Breeze, the great air filtration, 149.96. That's got to end on Friday. They were telling me, because they are running out of those amazing ion filter,
[37:47.000 --> 37:53.000]  carbon filter, and two other filtration systems in one unit. Some of our units are $400, $800 still. Used to be a thousand.
[37:53.000 --> 38:06.000]  Vitamin real fusion, 33% off. Knockout, sleep aid, 50% off. DNA force, 20% off. They're all available at infowarstore.com, infowarslife.com, or 888-2533-139.
[38:06.000 --> 38:13.000]  And I cannot stress to you enough how vital it is to commit and to support the broadcast. Sign up for auto-ship, cancel anytime.
[38:13.000 --> 38:19.000]  Get an additional 10% off. Free shipping also. Free shipping on all orders. $50 or more.
[38:19.000 --> 38:25.000]  It has been your commitment to get great products, support the infowar that is breaking the back of the globalist.
[38:25.000 --> 38:30.000]  These loser scumbags recognize it. They're hitting us with everything they got. They're hitting Trump.
[38:30.000 --> 38:35.000]  But he was so stalwart. He was so strong up there in the face of all their lies.
[38:35.000 --> 38:39.000]  I've never seen a lawyer. I've never seen me in press conferences, and I do a good job.
[38:39.000 --> 38:49.000]  I've never seen anybody slice people up, not Johnny Cochran, not F. Lee Bailey, not Barack Obama, who's a great public speaker, not Bill Clinton.
[38:49.000 --> 38:55.000]  I have not even Nigel Farage, and he's about as good as it gets. He's better than me.
[38:55.000 --> 39:08.000]  And ladies and gentlemen, he sliced them into minced meat and devastated them with pure truth, with honor, with balance, with love, with reconciliation, with unity.
[39:08.000 --> 39:12.000]  And the mother and the father of the poor lady that died, they recognize that.
[39:12.000 --> 39:18.000]  They're saying, don't use our daughter for this. She died standing up for what she believed in, but they don't care. They're still going to use her.
[39:18.000 --> 39:23.000]  Oh, and I want to start getting to this powerful press conference. We may have to go five minutes to the next hour to get to all of it.
[39:23.000 --> 39:29.000]  But I mean, it's just, I don't want to sit here and just grovel at Trump, but he deserves it.
[39:29.000 --> 39:39.000]  Uphill battle. Entity are coming after his family. Behind the scenes, I know the preachers he prays with, he really is getting, in fact, Gary Haven was going to get into it.
[39:39.000 --> 39:48.000]  He never got into it when he host on Thursday. I want him to spend 20 minutes on some of the top preachers in the country that are personal friends with Trump and their private prayer meetings,
[39:48.000 --> 39:54.000]  because they said, no, they don't care if it gets out, actually. What Trump does behind the scenes, he wants it. He believes it. He knows it.
[39:54.000 --> 40:02.000]  And I separately have had private conversations about God with Trump. I'm not going to get into those, but he's talked about how he was always been a Christian,
[40:02.000 --> 40:09.000]  but was more focused on life as kids, his family. He just loved God. It wasn't like he was a Pharisee having to just sail on the Christian and being all fake.
[40:09.000 --> 40:18.000]  He didn't like those people. But under the attack of the campaign and what he went through and Christians loving him and laying hands on him and things that happen around the country.
[40:18.000 --> 40:26.000]  He said he never felt any energy like it. And now he's becoming a super deep Christian. And who wouldn't under the pressure he's under?
[40:26.000 --> 40:34.000]  And then delivering on the economy. Let me tell you something. I've always been a Christian too. But going through the stuff I've been through, it gets you real close to God.
[40:34.000 --> 40:43.000]  I can feel the Holy Spirit right now. And Trump can feel it. And he's addicted. That's what God gives you when you go through persecution, folks, is you get addicted to the Holy Spirit.
[40:43.000 --> 40:51.000]  It's a good addiction. And Trump has got the Holy Fire of the Holy Spirit. Well, it's called a fire, folks. You start burning once you get it.
[40:51.000 --> 41:00.000]  I mean, you heard Pastor Brown on. I think he's coming back on what's today or tomorrow. Pastor Brown was on fire. We were finishing each other's sentences when we were on.
[41:00.000 --> 41:11.000]  He's an incredible speaker because it's the fire of God. And we were seeing that in Trump, standing against the hyenas, standing against those that want to make us poor, standing against those that are lying,
[41:11.000 --> 41:21.000]  standing against those that want to enslave us so they can control us and dictate our surrender, standing and razor blade sharp, slicing everything they said to pieces perfectly.
[41:21.000 --> 41:29.000]  I mean, I'd give him a 99.9. He barely stumbled for one half second one time as they're screaming at him and hissing and yelling.
[41:29.000 --> 41:40.000]  I mean, he was just so manly. It was so strong. It was so honorable. It's the opposite of looking at a Michael Moore or a Nancy Pelosi that makes me feel dishonored even looking at him.
[41:40.000 --> 41:41.000]  I was Troyer.
[41:41.000 --> 41:47.000]  Well, it was one of those press conferences for me that I couldn't step away from. I couldn't turn away from. I couldn't get my ear off of.
[41:47.000 --> 41:51.000]  I had to hear the whole thing. I actually went back and listened to it again. It was so amazing.
[41:51.000 --> 41:59.000]  And what he's doing with these press conferences is he's providing an opportunity for people who actually want to get involved.
[41:59.000 --> 42:06.000]  People who actually want to be involved with taking this country back. He's giving them the opportunity to say, hey, look, I'm not perfect.
[42:06.000 --> 42:11.000]  I'm not going to be agreeing with you on everything, but we're going to make America first. We're going to come together as Americans.
[42:11.000 --> 42:16.000]  And anybody who wants to be informed knows this. So they're going to get on board and this is going to happen.
[42:16.000 --> 42:22.000]  The problem is we have LARPers out there and we have people who just read the push notifications who don't know anything.
[42:22.000 --> 42:26.000]  They don't know what's going on. You look at the video you covered where they take down the statue in North Carolina.
[42:26.000 --> 42:31.000]  And then what are these people doing? They're kicking the statue. They're spitting on the statue.
[42:31.000 --> 42:39.000]  They're punching the statue, flicking it off, an inanimate object. They've never been slaves. They've never seen slavery in America.
[42:39.000 --> 42:47.000]  They don't even understand true racism. But yet here they are in a park pretending like they've actually done something that actually defeated the slave owner.
[42:47.000 --> 42:55.000]  Look at me. I've defeated the slave owner. I've defeated racism. No, you're kicking a statue. That right there is the mindset of these people.
[42:55.000 --> 43:01.000]  So I don't know how we can get the numbers on our side, but I think we're going to find that they're on our side when we go to the polls.
[43:01.000 --> 43:09.000]  I totally agree. And that's what God always gives us is a choice, especially a great nation like this that was founded as Christian.
[43:09.000 --> 43:14.000]  We're being given a choice to turn back. We're being given a choice at prosperity. We're being given a choice to really come together.
[43:14.000 --> 43:21.000]  We're being given a real loving president who has courage, who loves God and who really wants to bring folks together.
[43:21.000 --> 43:28.000]  And we've got a bunch of frothing evil liars at the front of the Arab Spring, globalism, world government, the breakdown of the family,
[43:28.000 --> 43:36.000]  hissing and screaming, saying, we run your lives, hyping up a bunch of well-meaning young people who think they're Captain America and are getting a chance to go fight a Nazi.
[43:36.000 --> 43:45.000]  When in reality, George Soros finances almost all of it and he is literally, according to MI6, the real character behind the modern-day specter.
[43:45.000 --> 43:54.000]  Okay, I mean, you cannot make this up. So let's start going to the press conference here. This is right after he breaks down five minutes of incredible real economic news.
[43:54.000 --> 44:01.000]  And then they say, why are people leaving the manufacturing board? Well, he answers it. It's true.
[44:01.000 --> 44:06.000]  Merck and Under Armour have been given seven months to just bring something back here.
[44:06.000 --> 44:12.000]  And he's given them all sorts of deals, opportunities, you know, to do this.
[44:12.000 --> 44:16.000]  And our media calls that corrupt. No, that's called free market. That's called nationalism.
[44:16.000 --> 44:21.000]  And then he says, why did you wait so long on the statement? Didn't do that?
[44:21.000 --> 44:28.000]  Again, he talks about gaslighting, how they're brainwashing people, talks about Walmart, says you missed a critical opportunity to bring the country together.
[44:28.000 --> 44:38.000]  This is Walmart with its slave factories. This is just so incredibly sick to see Chelsea Clinton sending out tweets about always be radical, always choose a side, always be aggressive.
[44:38.000 --> 44:44.000]  Basically, don't come together when they're involved in slave factories and stealing people's money and robbing Haitians.
[44:44.000 --> 44:49.000]  I mean, this is just such a sick, evil group. Always remember that. Let's start rolling the press conference.
[44:49.000 --> 44:52.000]  If you have any questions, please feel free to ask.
[44:52.000 --> 44:56.000]  Why do these CEOs are leaving your manufacturing council?
[44:56.000 --> 45:02.000]  Because they're not taking their job seriously as it pertains to this country.
[45:02.000 --> 45:10.000]  We want jobs, manufacturing in this country. If you look at some of those people that you're talking about, they're outside of the country.
[45:10.000 --> 45:19.000]  They're having a lot of their product made outside. If you look at Merck as an example, take a look at where their product is made.
[45:19.000 --> 45:24.000]  It's made outside of our country. We want products made in the country.
[45:24.000 --> 45:32.000]  Now, I have to tell you, some of the folks that will leave, they're leaving out of embarrassment because they make their products outside.
[45:32.000 --> 45:38.000]  And I've been lecturing them, including the gentleman that you're referring to, about you have to bring it back to this country.
[45:38.000 --> 45:40.000]  That's right. Hit pause.
[45:40.000 --> 45:49.000]  Hit pause. Back it up 10 seconds. And it's not like he's just saying that. I read the business pages. I read them online probably 45 minutes a day.
[45:49.000 --> 46:00.000]  It's one of the least areas I do study, but I study it. He's been grilling every day, calling some days 200, 300 companies, having meetings with them a couple of days a week, taking them golfing.
[46:00.000 --> 46:07.000]  The big ones. And he's gotten Chinese and Indian and Russian and Mexican companies to move here.
[46:07.000 --> 46:19.000]  Soft Bank, Japan, Mitsubishi, South Korea. And he just does it saying, listen, don't you want to have an economy long term to keep buying your stuff? You can have 50, 50 or 60, 40 even. You got to start next year.
[46:19.000 --> 46:27.000]  I want 10% of your production in the United States. That's what he tells him. And then he's got these guys on his board. He's going, look, I'm going to get you the tax break breaks everything.
[46:27.000 --> 46:35.000]  What do you have to lose? Bring the factories back. Start something here. Make something here. Make the foam that goes in the shoes. Make the fabric or something.
[46:35.000 --> 46:41.000]  Sew it together here. You're going to do something. And he's like, why won't you do it? Because you're a globalist.
[46:41.000 --> 46:51.000]  So again, he's embarrassed them. They're economically hurting America. They're economically knowing that it's part of globalism to make us poor, to make us dependent as part of a strategic plan.
[46:51.000 --> 47:04.000]  And Trump's calling them out. So then they leave when they're the traders on, oh, look at the race stuff. He didn't decry it enough to get little cheap points when they're the ones that actually screwed you over as part of an organized plan of economic warfare
[47:04.000 --> 47:07.000]  against everyone. Here it is.
[47:07.000 --> 47:19.000]  Outside and I've been lecturing them, including the gentleman that you're referring to about you have to bring it back to this country. You can't do it necessarily in Ireland and all of these other places.
[47:19.000 --> 47:30.000]  You have to bring this work back to this country. That's what I want. I want manufacturing to be back into the United States so that American workers can benefit.
[47:30.000 --> 47:42.000]  Some are saying, oh, he doesn't like Ireland. He singled out Irish. The Irish don't get any of the money. They use this double Irish thing where they mix the money around twice so that the money gets stuck there and stays in banks.
[47:42.000 --> 47:51.000]  Nobody ever gets it with the elites. He's talking about basically offshoring money. But the media spun that that oh, he doesn't want Irish to have jobs. Let's go back to it.
[47:51.000 --> 48:10.000]  I didn't wait long. I didn't wait long. I didn't wait long. I wanted to make sure, unlike most politicians, that what I said was correct. Not make a quick statement. The statement I made on Saturday, the first statement, was a fine statement.
[48:10.000 --> 48:23.000]  But you don't make statements that direct unless you know the fact. It takes a little while to get the facts. You still don't know the facts. And it's a very, very important process to me.
[48:23.000 --> 48:31.000]  And it's a very important statement. So I don't want to go quickly and just make a statement for the sake of making a political statement. I want to know the facts.
[48:31.000 --> 48:49.000]  If you go back to my, in fact, I brought it. I brought it. I brought it. Notice how it's handwritten. As I said on, remember the Saturday, we condemn in the strongest possible terms this egregious display of hatred, bigotry, and violence.
[48:49.000 --> 48:55.000]  It has no place in America. And then I went on from there. Now here's the thing. Excuse me, excuse me.
[48:55.000 --> 49:02.000]  That's what they hate, is that's the president right there. Here's the thing. When I make a statement, I like to be correct. I want the facts.
[49:02.000 --> 49:12.000]  Back it up 10 seconds, please. That's what they hate, because that's, I've talked to folks that are around trouble all the time. He may take a few ideas, but he hand writes stuff out. Rarely he hands it off to them to go type it.
[49:12.000 --> 49:21.000]  He wrote his address to Congress. This hasn't happened in like 50, 60 years, folks. I mean, even Kennedy wasn't writing his own statements. Eisenhower was one of the last people to actually write part of his statements.
[49:21.000 --> 49:32.000]  This guy wrote his statements, and you can see it's written in marker. He sat there, watched it, tried to figure out what was going on, came out a few hours after it, wrote a statement.
[49:32.000 --> 49:40.000]  He tweeted while it was happening, instead we decry all this racism. The point is, he's the president's team. No elite wrote that. That's what the elites want control of the big American power.
[49:40.000 --> 49:47.000]  That's his big sin, is that he wrote it. He did it. He's real. Let's go back to him.
[49:47.000 --> 49:59.000]  Nice and easy. Here's the thing. When I make a statement, I like to be correct. I want the facts. This event just happened. In fact, a lot of the event didn't even happen yet, as we were speaking.
[49:59.000 --> 50:10.000]  This event just happened. Before I make a statement, I need the facts. So I don't want to rush into a statement. So making the statement when I made it was excellent.
[50:10.000 --> 50:28.000]  In fact, the young woman who I hear is a fantastic young woman, and it was on NBC, her mother wrote me and said through, I guess, Twitter, social media, the nicest things, and I very much appreciated that.
[50:28.000 --> 50:36.000]  I hear she was a fine, really actually an incredible young woman, but her mother on Twitter thanked me for what I said.
[50:36.000 --> 50:51.000]  And honestly, if the press were not fake, and if it was honest, the press would have said what I said was very nice. But unlike you and unlike the media, before I make a statement, I like to know the facts.
[50:51.000 --> 51:06.000]  They don't. They don't. How about a couple of... How about a couple of... Say it, what?
[51:06.000 --> 51:22.000]  The CEO of Walmart sent you Mr. Critical Opportunity to help bring the country together. Did you?
[51:22.000 --> 51:36.000]  We have the highest employment numbers we've ever had in the history of our country. We're doing record business. We have the highest levels of enthusiasm. So the head of Walmart, who I know is a very nice guy, was making a political statement.
[51:36.000 --> 51:53.000]  I mean, I do it the same way, and you know why? Because I want to make sure, when I make a statement, that the statement is correct. And there was no way of making a correct statement that...
[51:53.000 --> 52:07.000]  You know what's crazy? If they're able to defeat Trump, we're defeating ourselves. I mean, look how God's giving us all this prosperity, all this incredible stuff, right in our face, everything coming, he wants to unlock all the gene editing, all the technology for live extension,
[52:07.000 --> 52:16.000]  that the globalists and the Democrats and Republicans don't want you under Obamacare to have access to all this advanced live extension. He wants you to have access to all of it.
[52:16.000 --> 52:28.000]  I mean, you know, his actions are incredibly real. And he's just surrounded by scum, surrounded by the swamp, and he's trying to turn the economy on for the people. It's amazing. It's just amazing.
[52:28.000 --> 52:41.000]  And then Walmart is this paragon of, oh, getting a political shot in, decrying the fake headlines that he didn't disavow when they lie and say that constantly. They're saying he didn't disavow on Monday now.
[52:41.000 --> 52:52.000]  They're saying he didn't disavow yesterday. When he said that there were people on both sides that came not looking for trouble, who had rights to assemble in America. What about that? Let's go back to the clip.
[52:52.000 --> 53:05.000]  I didn't know David Duke was there. I wanted to see the facts. And the facts as they started coming out were very well stated. In fact, everybody said his statement was beautiful.
[53:05.000 --> 53:23.000]  You got to understand back when Trump grew up around the same time as my dad. The KKK was so uncool that when I talked about my grandfather standing up to the KKK, my dad went, well, Alex, it wasn't that hard. Everybody hated him. They were all toothless idiots.
[53:23.000 --> 53:36.000]  I mean, okay, yeah, he did, but it's like they were a joke then. The media takes these people, builds them up. Most of them are actors, and it's come out. Most of them are actors. It's totally staged.
[53:36.000 --> 53:52.000]  And the media falls into our trap when they attack me saying, oh, he says they're actors when they've been caught. So many groups out doing this. In fact, put that Charlottesville picture up about the mother and then just a photo of the KKK guys there and look closely at those photos.
[53:52.000 --> 54:04.000]  When I saw those photos, I said, is that a black guy? Because when I saw the KKK guys, it looked like they were partially African American. And that was the weird thing when I've been to these rallies is that it looks like minorities in the KKK office.
[54:04.000 --> 54:19.000]  I mean, I have video of this. This is really like they can't even get real white idiots to go do this. I want to find this guy because, oh, you know, the organizer formerly worked for Obama and worked for Black Lives Matter and worked for Occupy Wall Street and worked for the Democrats.
[54:19.000 --> 54:30.000]  But oh, now he's the leader of it. I mean, see how I'm saying they're always Democrats and just they are. I mean, look at this guy. Look at this guy. And I saw video of him. I saw him. I go, I go, dude, dude, that guy.
[54:30.000 --> 54:43.000]  I mean, that guy does not look like he's, you know, but you know, they let him in the prisons. They let, oh, because they're so lucky I'm being sarcastic. They let people whose mothers are white now.
[54:43.000 --> 54:53.000]  So if your mother is white, you can join the KKK. So you've got these self-hating people who hate their brown side. I mean, I'm proud of my Native American heritage.
[54:53.000 --> 55:03.000]  And then they, I mean, is that a Native American? A lot of the Native Americans, you know, intermarried with blacks. I mean, I don't know. It's just absolutely crazy.
[55:03.000 --> 55:13.000]  But I'm proud of the fact, you know, that I'm not completely Anglo-Saxon or whatever you call it. I'm proud of my Native American roots. But I don't know. Let's just continue here.
[55:13.000 --> 55:20.000]  We're going to go into the next segment with the Trump newscaster. He just destroys them. A real press conference facing down these liars. Here it is.
[55:20.000 --> 55:30.000]  He would have made it sooner. That would have been good. I couldn't have made it sooner because I didn't know all of the facts. Frankly, people still don't know all of the facts.
[55:30.000 --> 55:45.000]  It was very important to me to get the facts out and correctly because if I would have made a fast statement and the first statement was made without knowing much other than what we were seeing.
[55:45.000 --> 55:58.000]  The second statement was made after with knowledge, with great knowledge. There's still things, excuse me, there's still things that people don't know. I want to make a statement with knowledge. I wanted to know the facts.
[55:58.000 --> 56:01.000]  That's something we know now.
[56:01.000 --> 56:05.000]  Was this terrorism and can you tell us how you're feeling about your chief strategist?
[56:05.000 --> 56:12.000]  The driver of the car is a disgrace to himself, his family and this country.
[56:12.000 --> 56:13.000]  He's a loser.
[56:13.000 --> 56:25.000]  You can call it terrorism. You can call it murder. You can call it whatever you want. I would just call it as the fastest one to come up with a good verdict. That's what I'd call it.
[56:25.000 --> 56:35.000]  Because there is a question. Is it murder? Is it terrorism? Then you get into legal semantics. The driver of the car is a murderer.
[56:35.000 --> 56:38.000]  And what he did was a horrible, horrible, inexcusably.
[56:38.000 --> 56:39.000]  Cowardly thing.
[56:39.000 --> 56:43.000]  Can you tell us how you're feeling about your chief strategist, Mr. Bannon? Can you talk about that?
[56:43.000 --> 56:45.000]  I would echo Maggie's question.
[56:45.000 --> 56:48.000]  I never spoke to Mr. Bannon about it.
[56:48.000 --> 56:51.000]  Can you tell us broadly what you're feeling? Do you still have confidence in the state?
[56:51.000 --> 56:52.000]  What would you say?
[56:52.000 --> 56:54.000]  Look, I like Mr. Bannon. He's a friend of mine.
[56:54.000 --> 56:56.000]  Hit pause again.
[56:56.000 --> 57:03.000]  He's in New Jersey. He writes it on the back of a piece of paper, his statement. Basically the same thing he said on Twitter while it was happening.
[57:03.000 --> 57:05.000]  He's the president. He's smart. He's informed.
[57:05.000 --> 57:13.000]  Bannon is doing the whole strategy of the bills and the legislation and the executive orders to turn the economy back on, because Trump agrees with it.
[57:13.000 --> 57:20.000]  In a big office they've got with white boards. That's what he does with Bannon. But Bannon doesn't tell Trump what to do.
[57:20.000 --> 57:23.000]  We're going to go to break here in a moment. Please don't forget.
[57:23.000 --> 57:32.000]  We've taken last month's special and this month's specials and combined them, calling it the BuzzFeed special, because they made me so angry at first, then it was a big joke.
[57:32.000 --> 57:38.000]  When they tested our products and found they were the cleanest out there, California standard, untold, almost no one can do it.
[57:38.000 --> 57:40.000]  Well, you know we're under that scrutiny, obviously, folks.
[57:40.000 --> 57:45.000]  I mean, so, you know, we go to the very best cleanest labs, best companies, get the best of private label.
[57:45.000 --> 57:50.000]  They have the top labeled B12, $35. They sell on their own operation.
[57:50.000 --> 57:57.000]  We sell it for $17.76, normally about $25. So normally it's still discounted $5, $10, but it's discounted almost $13 right now.
[57:57.000 --> 58:03.000]  Secret 12, available at infowarstore.com or call toll-free, triple-A-2-5-3-3-1-3-9.
[58:03.000 --> 58:06.000]  And we've got dozens and dozens of products.
[58:06.000 --> 58:10.000]  Brainforce, 55% off. Take advantage of that. You owe it to yourself and it supports the broadcast.
[58:10.000 --> 58:12.000]  You owe it to yourself to support the broadcast.
[58:12.000 --> 58:15.000]  Where could you fund something more vicious against the new world order with truth?
[58:15.000 --> 58:17.000]  So, savage with the love of victory.
[58:17.000 --> 58:24.000]  Survival Shield X-2, the good halogen. Secret 12, biotrystallinium. Silver Bullet, Myco ZX, caveman.
[58:24.000 --> 58:28.000]  Alexa Pure Pro, 25% off. Alexa Breeze, 25% off.
[58:28.000 --> 58:32.000]  Vita Mineral Fusion, 35% off. Again, 66% off on colloidal silver.
[58:32.000 --> 58:35.000]  Free shipping as well on many of the products.
[58:35.000 --> 58:38.000]  Take action today and rub it in BuzzFeed's dirty, evil face.
[58:38.000 --> 58:42.000]  More of President Trump, victorious, straight A, as it was.
[58:42.000 --> 58:47.000]  Visit GCNLive.com today.
[59:13.000 --> 59:17.000]  It's loaded with good halogen iodine, instead of the bad halogen fluoride.
[59:17.000 --> 59:24.000]  Super Blue contains natural oils and ingredients used since Biblical times to help wipe out bad bacteria and eliminate bad breath.
[59:24.000 --> 59:32.000]  Just some of the ingredients in Super Blue chosen by our dental experts include xylitol, peppermint oil, iodine, nano silver and more.
[59:32.000 --> 59:36.000]  Due to requests from listeners who found that spearmint was a little bit too strong for some of their children,
[59:36.000 --> 59:43.000]  we have created the new Bubble Gum flavored Super Blue that is spearmint free. Learn more about the new Bubble Gum flavored Super Blue toothpaste
[59:43.000 --> 01:00:07.000]  and more at InfowarsLife.com and support the Infowar while you support Healthy Gums and Teeth.
[01:00:13.000 --> 01:00:26.000]  I'm too confident in myself to look down on you for what color you are to feel powerful about myself.
[01:00:26.000 --> 01:00:30.000]  I already feel so successful and good. I want to empower you. I want you to empower me.
