[00:00:00.229 --> 00:00:02.930]  Shot one kill, a Marine Corps Sniper.
[00:22:24.170 --> 00:22:34.155]  When FEMA goes out and issues contracts to buy up, you know, hundreds of thousands of acres out here for relocation centers in case they have to evacuate the cities, and no one says a peep.
[00:22:34.155 --> 00:22:38.437]  And then the Rocky Mountain News says they got incinerators and mass graves ready.
[00:22:39.105 --> 00:22:42.130]  Well, yes, you've got to be able to handle all those infected corpses, Alex.
[00:22:42.130 --> 00:22:43.512]  Don't you know?
[00:22:43.512 --> 00:22:46.136]  The problem is, who created the infections?
[00:22:46.136 --> 00:22:47.237]  And are they really infected?
[00:22:47.237 --> 00:22:48.018]  Well, take England.
[00:22:48.018 --> 00:22:52.786]  It came out the government released foot and mouth months before, got the counties ready.
[00:22:53.582 --> 00:22:58.187]  It turns out the British have carried out almost every bombing in the last 24 years to blame on their enemies.
[00:22:58.187 --> 00:22:59.109]  The Russians do it.
[00:22:59.109 --> 00:23:00.750]  Our government does it.
[00:23:00.750 --> 00:23:07.678]  So I guess the number one thrust is educating folks of who has the motive for the terror and then showing them the evidence of who carried out the terror?
[00:23:07.678 --> 00:23:14.166]  Well, you know, you can take every bit of this and you can compare it to one prime example, and that was the Kennedy assassination.
[00:23:14.847 --> 00:23:16.989]  You can get away with murder if you have a throwdown.
[00:23:16.989 --> 00:23:29.618]  If you've got some guy you can blame it on, and a little bit of background, a legend that's been built, and in a spook world they call it a legend, or legend building, where you can say, gee, this guy's a communist because he was handing out communist leaflets in New Orleans, you know?
[00:23:29.618 --> 00:23:32.520]  So therefore, he is a communist, and the communists killed Kennedy.
[00:23:32.520 --> 00:23:33.941]  In fact, it was probably hooked to Castro.
[00:23:33.941 --> 00:23:35.562]  In fact, we ought to go back and invade Cuba.
[00:23:36.222 --> 00:23:44.028]  So you see, what they do is they set the dominoes up well in advance, they war game it out, and then when they're ready to really push the dominoes over, it's a done deal.
[00:23:44.028 --> 00:23:47.471]  The media jumps in immediately and says, this is what happened.
[00:23:47.471 --> 00:23:49.793]  And everybody goes, ooh, yeah, this is what happened.
[00:23:49.793 --> 00:23:50.574]  What can we do about it?
[00:23:50.574 --> 00:23:51.274]  Well, there's two things.
[00:23:51.274 --> 00:23:54.777]  We'll protect you, number one, and we've got to go attack somebody or arrest somebody, number two.
[00:23:55.277 --> 00:23:57.118]  And that's exactly what Northwoods called for.
[00:23:57.118 --> 00:23:59.778]  We'll talk about Operation Northwoods with Colonel Roberts.
[00:23:59.778 --> 00:24:05.560]  We'll talk about how they pushed the big domino over with 9-1-1, but that was just the firing pin hitting the cap.
[00:24:05.560 --> 00:24:10.041]  Now the bullets left the barrel, and where's it going?
[00:24:10.041 --> 00:24:10.602]  What's going to happen?
[00:24:10.602 --> 00:24:11.622]  What are we going to see next?
[00:24:12.239 --> 00:24:17.341]  And your calls, Lew and others, that are holding 800-259-9231.
[00:24:17.341 --> 00:24:22.764]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[00:24:22.764 --> 00:24:29.106]  Because there's a war on for your mind.
[00:24:29.106 --> 00:24:33.628]  We go out on a growing list of wonderful AM and FM affiliates.
[00:24:33.628 --> 00:24:35.949]  We simulcast at infowars.com and net.
[00:24:38.062 --> 00:24:40.284]  Global shortwave from 11 a.m.
[00:24:40.284 --> 00:24:41.346]  until 2 p.m.
[00:24:41.346 --> 00:24:48.212]  Central Standard Time at 12.172 and 93.20 at night from 9 to midnight Central at 5.085 and 68.90.
[00:24:48.212 --> 00:24:56.440]  We're joined by Colonel Craig Roberts, Robotica DeLue, Frank, Doug, and many others that are patiently holding.
[00:24:56.440 --> 00:25:01.145]  If 9-1-1 was the activation, not the summation,
[00:25:02.606 --> 00:25:15.455]  Of an acceleration of tyranny and enslavement and New World Order control and mobilizing us to be the serf enforcers for the New World Order, what do we see happening down the road?
[00:25:15.455 --> 00:25:21.279]  They've told us a living nightmare of endless terror attacks, endless arrests, endless enslavement.
[00:25:21.279 --> 00:25:25.683]  They've already demonized and created this idea of all these right-wing terror groups that will have to be dealt with.
[00:25:25.683 --> 00:25:27.024]  They're going after our gods.
[00:25:27.024 --> 00:25:28.605]  They're getting rid of our borders.
[00:25:28.605 --> 00:25:30.246]  They're setting up this system
[00:25:31.033 --> 00:25:34.295]  What do you see happening next, Roberts, and how will this go?
[00:25:34.295 --> 00:25:37.497]  How will this develop?
[00:25:37.497 --> 00:25:47.724]  They've still got a few cards to play, and one of them, you know, you have to use terrorism to gain the fear and the obedience of the people.
[00:25:47.724 --> 00:25:51.847]  And they've hit all five of the standard terrorist targets.
[00:25:51.847 --> 00:25:59.632]  The private building, the public building, mass transportation, ground, mass transportation, air, and a large gathering of people, that being the 9-11 attack on the last part.
[00:26:00.713 --> 00:26:04.936]  But they can go back and start hitting those again in different parts of the country.
[00:26:04.936 --> 00:26:09.479]  The thing is, they've been preparing us and preparing us for two more hits that we haven't seen yet.
[00:26:09.479 --> 00:26:12.341]  One is biological, and the other is chemical.
[00:26:12.341 --> 00:26:14.322]  And under chemical, we can throw in nuclear too.
[00:26:14.322 --> 00:26:16.504]  We can talk about backpack nukes and all that sort of thing.
[00:26:16.944 --> 00:26:28.492]  But, I think the biggest threat we have to worry about right now is biological, because chemical is not long term, it's hard to predict, it's hard to control, and it doesn't have that much shock effect compared to biological.
[00:26:28.492 --> 00:26:41.341]  Because biological is frightening in the aspect that we don't know who's vectoring this stuff, where it's going, how it's traveling, if we're going to get it, if a member of our family is going to get it, and it makes everybody want to not travel, they want to stay at home, they want to lock their doors, they want to live in fear.
[00:26:42.046 --> 00:26:51.051]  And as long as you can put this boogeyman over everybody's own house, you gain total control of movement, thought, everything.
[00:26:51.051 --> 00:26:53.993]  Because you can tell the people, don't leave home, don't go anyplace.
[00:26:53.993 --> 00:26:56.014]  We're going to put up roadblocks and checkpoints.
[00:26:56.014 --> 00:26:59.496]  And if we catch you out, we're going to have to put you into quarantine.
[00:26:59.496 --> 00:27:10.083]  Did you read the Gazette News Service report where the FEMA guy in New Jersey said, under a red alert, you're an enemy of the state, you can't leave your house, we're going to take your kids from the schools, the FEMA centers, they
[00:27:11.764 --> 00:27:20.388]  It doesn't surprise me that there are people out there not only that say it but are willing to do it.
[00:27:20.388 --> 00:27:23.410]  And that's the frightening part because it makes you wonder who they're really working for.
[00:27:32.535 --> 00:27:41.201]  Well, once, you know, the federal government, not only here, but in every other government as well, once it gains power in a certain area, it never, ever relinquishes it.
[00:27:41.201 --> 00:27:45.124]  And they've told us this is a new way of life, everything's changed, get used to it.
[00:27:45.124 --> 00:27:47.325]  They were saying that within hours of 9-1-1.
[00:27:48.526 --> 00:27:54.890]  Oh yeah, and once they put laws into effect, they can say, well, this law is going to sunset for a certain time.
[00:27:54.890 --> 00:27:56.871]  Well, the Brady Law sunsetted and it didn't go away.
[00:27:56.871 --> 00:27:59.992]  The Assault Weapons Ban sunsetted.
[00:27:59.992 --> 00:28:03.454]  Patriot Act once sunsetted, but now they're saying they're going to get rid of that sunset.
[00:28:03.454 --> 00:28:06.456]  Yeah, well, they ignore their own boundaries.
[00:28:06.456 --> 00:28:14.000]  Once you start a law or a bureaucracy or an administration or a department, it empire builds on itself.
[00:28:14.000 --> 00:28:16.341]  Talk about Operation Northwoods and let's go to some calls.
[00:28:17.193 --> 00:28:23.117]  Well, I really don't know that much about Northwoods other than what you said, other than the fact that it was typical at that time.
[00:28:23.117 --> 00:28:31.503]  But I think another part of what may have occurred at that particular time as well was a sub-plan called Operation Mandarin.
[00:28:31.503 --> 00:28:44.132]  And you may not have heard about that, but that's what I call it anyway, because that was the assassination of John F. Kennedy, where Oswald was programmed to go to the Texas theater, be picked up in a car out back and taken to Redbird Field, where a plane was waiting for him.
[00:28:44.492 --> 00:28:48.994]  Flown by a Cuban, uh, an anti-Castro Cuban pilot named, last name of Novo.
[00:28:48.994 --> 00:28:51.696]  Uh, the engine was running, this is all documented.
[00:28:51.696 --> 00:29:01.180]  And he was gonna fly him down to Houston, uh, where he was gonna be, uh, transferred over to David Ferry, who was waiting for a phone call, had a twin-engine airplane ready to go to fly him down to Oaxaca, Mexico.
[00:29:01.180 --> 00:29:08.404]  Now in Oaxaca, Mexico, uh, they were probably gonna take him out and put a bullet in his head, bury him in the desert, but they were gonna swear up and down that he defected to Cuba.
[00:29:08.744 --> 00:29:16.735]  Now, once they did that, they could say the President of the United States was assassinated by a communist agent of Fidel Castro, so now we can invade Cuba.
[00:29:16.735 --> 00:29:25.728]  That is identical to some of the Northwoods projects, to where you create the scenario, you tell the people what happened, then you go do what you want, and they say, go get them.
[00:29:26.798 --> 00:29:32.843]  Well, for those who don't know, on InfoWars.com, we have a link to the National Security Archives, Library of Congress.
[00:29:32.843 --> 00:29:40.528]  You can go read the declassified document, 15-16 pages, ABC News and Baltimore Sun, where they say that the U.S.
[00:29:40.528 --> 00:29:45.272]  government was going to hijack jet airliners for the college students and kill them, that the U.S.
[00:29:45.272 --> 00:29:46.633]  government was going to bomb D.C.
[00:29:46.633 --> 00:29:50.116]  and carry out sniper attacks in D.C., and even how to frame Patsy's on page 9.
[00:29:50.116 --> 00:29:54.379]  They called for attacking the Marines at Guantanamo with army dressed up like Cubans.
[00:29:55.203 --> 00:29:57.624]  All of this is a pretext for war.
[00:29:57.624 --> 00:29:59.244]  Now, that plan went to Kennedy.
[00:29:59.244 --> 00:30:03.085]  He said no, and he was assassinated soon thereafter.
[00:30:03.085 --> 00:30:09.007]  So, why did the thing with their little minion, Oswald, fall apart?
[00:30:09.007 --> 00:30:11.148]  He decided not to go to the airport, got a bad feeling?
[00:30:11.148 --> 00:30:15.109]  No, he went to the Texas theater before, but his right head showed up yet.
[00:30:15.109 --> 00:30:16.349]  He got delayed.
[00:30:16.349 --> 00:30:18.730]  And while he was inside, he made one mistake.
[00:30:18.730 --> 00:30:19.470]  He didn't buy a ticket.
[00:30:20.390 --> 00:30:24.653]  He had the money in his pocket, but he thought, well, I'm going to go in the front door and out the back door, and I'm gone.
[00:30:24.653 --> 00:30:25.874]  He's not going to stop and buy a ticket.
[00:30:25.874 --> 00:30:32.158]  Well, when he did that, the ticket taker obviously wasn't in on the deal, and called the police and said, I got a guy that didn't pay, and he's inside.
[00:30:32.158 --> 00:30:35.941]  Well, by now, they're looking for everybody that is suspicious.
[00:30:35.941 --> 00:30:43.106]  So the Dallas Police Department shows up, and they grab onto him before he makes his getaway out the back door.
[00:30:43.106 --> 00:30:49.250]  By then, there was a car waiting out back, but no one showed up, so it drove off because it figured that the plan had been aborted, and it went to plan B.
[00:30:49.910 --> 00:30:55.917]  So he gets into the custody of the Dallas Police Department, and the next thing we know, he's not allowed to talk to anybody.
[00:30:55.917 --> 00:30:57.879]  Except he says, so I'm the Patsy.
[00:30:57.879 --> 00:31:00.302]  And no, I didn't shoot the President.
[00:31:00.302 --> 00:31:03.846]  I think he figured out by then that he was the one that was going to be used for the throwdown.
[00:31:03.846 --> 00:31:08.872]  I also think that maybe there was a secondary deal where he knew he was going to go to Cuba,
[00:31:09.532 --> 00:31:21.639]  Yeah, I'd be blamed for it, and then he was going to defect to Cuba just like he did Russia, and then be another American James Bond trying to subvert Castro, because he was tied into all of the Bay of Pigs guys.
[00:31:21.639 --> 00:31:28.183]  So, you know, once a CIA project gets going, it develops legs on its own, and who knows where it goes from there.
[00:31:28.183 --> 00:31:31.205]  You get too many players in the deal, and they all want to do their own thing.
[00:31:31.605 --> 00:31:38.848]  But I think the whole thing at that point was to be able to divert the attention away from getting rid of Kennedy for several reasons.
[00:31:38.848 --> 00:31:42.229]  And then he was assassinated by their boy, Ruby.
[00:31:42.229 --> 00:31:49.992]  Yeah, but there's a lot of people who don't realize one of the reasons Kennedy was assassinated, of course, was the Federal Reserve, where he wanted to do away with that.
[00:31:49.992 --> 00:31:50.833]  That was the big one.
[00:31:50.833 --> 00:31:53.333]  But there was another one that really irritated the CIA.
[00:31:53.333 --> 00:31:57.075]  Besides telling the CIA he was going to cut it up and throw it a thousand different directions for the winds.
[00:31:57.595 --> 00:32:01.097]  He was going to pull us out of Vietnam, but he wasn't just going to pull us out of Vietnam, Alex.
[00:32:01.097 --> 00:32:03.199]  This is the part everybody leaves out of the story.
[00:32:03.199 --> 00:32:10.163]  He was going to pull us out of Southeast Asia, which meant layoffs, which meant the CIA's cash cow at the Golden Triangle.
[00:32:10.163 --> 00:32:16.627]  You're talking 80 tons of pure heroin a year coming out of that place back in the 1960s, which went up to 800 tons by 1989, by the way.
[00:32:19.308 --> 00:32:34.074]  And it took them 30 years to get those concessions in the Golden Triangle, and they had transferred all the Bay of Pigs players to Ventian layoffs and to, you know, they had Shackley and Clines over there, all the big players in the Bay of Pigs bunch down at J.M.
[00:32:34.074 --> 00:32:34.774]  Wave in Miami.
[00:32:34.774 --> 00:32:40.356]  They had transferred all those guys to Ventian and to places where they were going to... Well, now look at Afghanistan.
[00:32:40.356 --> 00:32:43.857]  Record opium production for your children to inject.
[00:32:43.857 --> 00:32:45.638]  Let's talk to Lou in Colorado.
[00:32:45.638 --> 00:32:46.498]  Lou, you're on the air.
[00:32:46.498 --> 00:32:46.999]  Go ahead.
[00:32:46.999 --> 00:32:48.219]  Yeah, how you doing, Mr. Roberts?
[00:32:48.919 --> 00:32:50.620]  This is one guy that's not a youngster.
[00:32:50.620 --> 00:32:52.341]  I'm 60 years old.
[00:32:52.341 --> 00:32:57.564]  One of the things I want to get from you first is your website.
[00:32:57.564 --> 00:32:59.205]  Riflewarrior.com.
[00:32:59.205 --> 00:32:59.625]  What was that?
[00:32:59.625 --> 00:33:01.106]  Pardon me?
[00:33:01.106 --> 00:33:01.987]  What warrior?
[00:33:01.987 --> 00:33:04.048]  Riflewarrior.com.
[00:33:04.048 --> 00:33:05.049]  Riflewarrior.
[00:33:05.049 --> 00:33:06.069]  Oh, rifle.
[00:33:06.069 --> 00:33:08.591]  Yeah, a warrior, sniper, carries a rifle.
[00:33:08.591 --> 00:33:10.251]  Riflewarrior.com.
[00:33:10.251 --> 00:33:10.932]  Say it again then.
[00:33:11.713 --> 00:33:13.156]  That's what I said, isn't it?
[00:33:24.264 --> 00:33:25.825]  Either one of you.
[00:33:25.825 --> 00:33:27.546]  You guys got a place to stay.
[00:33:27.546 --> 00:33:27.746]  Free.
[00:33:27.746 --> 00:33:28.747]  I appreciate that, sir.
[00:33:28.747 --> 00:33:29.748]  What's on your mind?
[00:33:29.748 --> 00:33:34.070]  Okay, the other thing is I had an article a long time ago that somebody gave me.
[00:33:34.070 --> 00:33:39.534]  It was called Blueprints for Tyranny, written by Daniel Goldberg and Indy Bhattwar.
[00:33:39.534 --> 00:33:46.518]  And it talked about how President Reagan could virtually suspend the Bill of Rights and call out troops in the name of public safety.
[00:33:48.158 --> 00:33:57.007]  There was a part in this article that said COG is a secretive shadow government known only to a handful of officials that is in place and ready to run the country.
[00:33:57.007 --> 00:33:57.948]  Are you familiar with that one?
[00:33:57.948 --> 00:33:58.809]  It's called Continuity in Government.
[00:33:58.809 --> 00:34:01.192]  Whatever name they give it, they announced it last year.
[00:34:01.192 --> 00:34:04.775]  We have the Washington Post admitting a shadow government now runs America.
[00:34:04.775 --> 00:34:06.697]  Well, COG is Continuity in Government.
[00:34:06.697 --> 00:34:09.260]  That's a program that came in under Eisenhower and Truman and all that bunch.
[00:34:10.018 --> 00:34:10.879]  I see.
[00:34:10.879 --> 00:34:17.383]  And so this is all part of the same... Yeah, and they're the ones who build all the underground bases and shelters and stuff.
[00:34:17.383 --> 00:34:21.525]  You know, your name and my name's not on the list to go there if anything happens, but they've got places to go.
[00:34:21.525 --> 00:34:25.888]  And with all this national security anonymity and secrecy, they can do whatever they want.
[00:34:25.888 --> 00:34:26.388]  Right.
[00:34:26.388 --> 00:34:29.931]  And all of that COG stuff came right out of the report from Iron Mountain.
[00:34:29.931 --> 00:34:30.511]  It's out there.
[00:34:30.511 --> 00:34:32.252]  People just want to just do their homework.
[00:34:32.252 --> 00:34:32.973]  Right.
[00:34:32.973 --> 00:34:38.076]  Colonel Roberts, why would they announce early in 2002 that COG was in full control?
[00:34:38.917 --> 00:34:44.439]  I guess they have to when they're telling local officials that there's a new bill to federalize all the cities.
[00:34:44.439 --> 00:34:48.340]  And under that bill, they've already taken over New Orleans without even passing a law.
[00:34:48.340 --> 00:34:50.461]  I mean, they're publicly federalizing cities.
[00:34:50.461 --> 00:34:51.761]  Should that concern people?
[00:34:51.761 --> 00:34:52.422]  Oh, absolutely.
[00:34:52.422 --> 00:34:53.362]  But you know how they did it?
[00:34:53.362 --> 00:34:54.162]  They did it with money.
[00:34:54.162 --> 00:34:55.823]  They got everybody on grant programs.
[00:34:55.823 --> 00:35:00.404]  And they federalized a lot of the operational aspects of the various city governments.
[00:35:00.404 --> 00:35:05.426]  And then they said, OK, now, Mr. Mayor, Mr. City Commissioners, and all you other guys, you now work for us.
[00:35:05.426 --> 00:35:07.587]  It's real easy to do if you've got a big enough checkbook.
[00:35:09.429 --> 00:35:10.470]  So it's now happening.
[00:35:10.470 --> 00:35:11.610]  Anything else, Luke?
[00:35:11.610 --> 00:35:12.230]  No, that's it.
[00:35:12.230 --> 00:35:13.651]  Thanks a lot, fellas, and good work.
[00:35:13.651 --> 00:35:14.412]  Thanks for the call.
[00:35:14.412 --> 00:35:15.972]  Frank, Louisiana, you're on the air.
[00:35:15.972 --> 00:35:17.613]  Go ahead.
[00:35:17.613 --> 00:35:19.634]  Yes, good afternoon.
[00:35:19.634 --> 00:35:27.018]  Colonel Roberts, when the invisible government blew up the building in Oklahoma City, I have two pictures.
[00:35:27.018 --> 00:35:34.281]  One was the picture of John Doe with the cap on, and the other picture I have was a young punk from Germany.
[00:35:34.281 --> 00:35:35.642]  I forgot his name.
[00:35:35.642 --> 00:35:36.002]  Stadmyer?
[00:35:36.002 --> 00:35:36.643]  Stadmyer.
[00:35:37.973 --> 00:35:39.954]  What was the deal with that?
[00:35:39.954 --> 00:35:43.796]  Well, Strassmeyer was an agent that was put here.
[00:35:43.796 --> 00:35:48.398]  He was on loan from the German Army, actually, and was brought over here to infiltrate the right-wing underground.
[00:35:48.398 --> 00:35:51.319]  And he had a hard time doing that because there really wasn't one.
[00:35:51.319 --> 00:35:58.483]  He got as far as Illinois City, and from there, he was used to help be a control agent for Nichols and McVeigh.
[00:35:58.483 --> 00:36:00.183]  Yeah, so they had lots of throwdowns.
[00:36:00.183 --> 00:36:05.386]  Iraqi throwdowns, Army throwdowns, German throwdowns, and went in and went with the McVeigh angle.
[00:36:06.616 --> 00:36:06.937]  Thanks.
[00:36:06.937 --> 00:36:08.499]  Anything else, Frank?
[00:36:08.499 --> 00:36:10.622]  Well, I just wanted to say... Well, just stay there, then.
[00:36:10.622 --> 00:36:13.066]  I'll come back to you after this quick break.
[00:36:13.066 --> 00:36:13.707]  Be right back.
[00:36:13.707 --> 00:36:14.288]  Stay with me, folks.
[00:36:17.298 --> 00:36:24.124]  Thanks for listening to the M2K Talk Archives, and we are listener-supported with the honors system.
[00:36:24.124 --> 00:36:25.765]  We ask that you wait.
[00:36:25.765 --> 00:36:27.646]  Don't donate a dollar at a time.
[00:36:27.646 --> 00:36:33.231]  PayPal charges a 35-cent surcharge on anything of a dollar or less.
[00:36:33.231 --> 00:36:36.754]  Wait till you listen to five or ten, and then donate, please.
[00:36:36.754 --> 00:36:41.558]  We appreciate your voluntary support.
[00:36:41.558 --> 00:36:43.960]  Waging war on corruption.
[00:36:43.960 --> 00:36:46.702]  Alex Jones on the GCM Radio Network.
[00:36:49.153 --> 00:36:51.815]  Well, the police actually got him, but Clinton ordered his release.
[00:36:51.815 --> 00:36:52.295]  Correct, Colonel?
[00:37:18.864 --> 00:37:21.705]  Uh, Strassmeyer, that was hands off.
[00:37:21.705 --> 00:37:31.230]  They were told not to even pick him up, don't even talk to him, and they had orders come in from every place from Oklahoma City Governor's Office to Fort Bragg to Washington to leave this guy alone.
[00:37:31.230 --> 00:37:37.493]  And the next thing we know, he disappears out of the country through Mexico and ends up back in Germany, and the guy that took him was Kurt Lyons.
[00:37:37.993 --> 00:37:44.796]  Which, you know, it shocked me because Curt Lyons was the lawyer that helped defend some of the Waco people and that sort of thing.
[00:37:44.796 --> 00:37:54.981]  Well, maybe he believed what Strassmeier was saying, but the big deal here is that we have all these shadowy characters.
[00:37:54.981 --> 00:38:00.623]  Did they not throw down the Iraqi end of it because the operation was compromised?
[00:38:00.623 --> 00:38:03.765]  Well, the Iraqi end of it right there, if we arrested the Iraqis,
[00:38:04.245 --> 00:38:09.967]  Then we would have to find out who they worked for, and if we found out who they worked for, it might not go the direction that they wanted us to go to.
[00:38:09.967 --> 00:38:23.290]  Because we've got to remember on the incidents that happened on day one, the most important one was stopping all the rescue efforts within an hour of the explosion and pulling everybody out of the area, and then going in and getting records out of the bottom of the building, and then those records drive off and disappear.
[00:38:23.290 --> 00:38:25.611]  And then pulling unexploded bombs out as well.
[00:38:25.931 --> 00:38:32.897]  Well, they got those out as well, and Terence Jeky's suicide, which was actually a homicide, we think it's because he's one of the first officers in the scene.
[00:38:32.897 --> 00:38:39.082]  He saw the additional charges on the columns of the walls that hadn't gone off that were linked together with that cord.
[00:38:39.082 --> 00:38:46.648]  You know, there's so many things that they had to do damage control on immediately after this thing started that it was incredible.
[00:38:46.648 --> 00:38:51.472]  Now, the way that officer was killed is not indicative of people inside the force or
[00:38:52.513 --> 00:38:58.557]  No, this guy was killed by professional hitmen, probably, you know, professional assassins.
[00:38:58.557 --> 00:39:00.058]  He had been tortured.
[00:39:00.058 --> 00:39:01.159]  His wrists had been slashed.
[00:39:01.159 --> 00:39:02.720]  And I'll be, by the way, talking about all this.
[00:39:02.720 --> 00:39:11.966]  I'm bringing the information and medical examiner's documents and the pictures and everything with me to Kansas City for those that can show up on the Yakey case.
[00:39:11.966 --> 00:39:13.908]  Because Yakey was taken out into a field.
[00:39:13.908 --> 00:39:15.089]  He was beaten.
[00:39:15.089 --> 00:39:16.329]  He was tortured.
[00:39:16.329 --> 00:39:18.351]  His wrists and his elbows were slashed.
[00:39:18.351 --> 00:39:20.812]  Both jugular veins were slashed.
[00:39:21.673 --> 00:39:23.534]  Well, it's like Fannie Malick in Arkansas.
[00:39:23.534 --> 00:39:26.317]  People have their arms and legs and heads cut off and they say it's suicide.
[00:39:40.407 --> 00:39:51.111]  Yeah, and what's incredible is the alleged American people, and I haven't figured out who the American people are yet, because they're the ones that we're told wouldn't put up with any of this.
[00:39:51.111 --> 00:39:53.392]  Well, they've been putting up with it for years.
[00:39:53.392 --> 00:39:58.114]  And they put up with it in Arkansas, and now people in Oklahoma City are allowing this thing to pass without raising a cane.
[00:39:58.114 --> 00:40:03.756]  There's a few people like us that are standing around screaming and yelling, but they always try to debunk us or put us off in the corner or ignore us.
[00:40:04.963 --> 00:40:06.364]  Of course, a lot of us have been threatened.
[00:40:06.364 --> 00:40:08.025]  A lot of us have been told to shut up.
[00:40:08.025 --> 00:40:09.146]  My house has been surveilled.
[00:40:09.146 --> 00:40:09.846]  I've been followed.
[00:40:09.846 --> 00:40:10.747]  My phones have been tapped.
[00:40:10.747 --> 00:40:11.207]  I don't care.
[00:40:11.207 --> 00:40:14.489]  My ultimate deal is someday I answer to God.
[00:40:14.489 --> 00:40:16.490]  It's what I do here that counts.
[00:40:16.490 --> 00:40:17.771]  I'm not going to be a coward about it.
[00:40:17.771 --> 00:40:24.155]  If you go to Vietnam and get shot at for what you believe is your country, you're certainly going to fight for the homeland now.
[00:40:24.155 --> 00:40:24.815]  Oh, absolutely.
[00:40:24.815 --> 00:40:26.296]  But the thing about it is,
[00:40:27.131 --> 00:40:29.312]  Our government isn't the United States government anymore.
[00:40:29.312 --> 00:40:33.575]  It's been taken over by criminals in there who are using it for their own personal agenda.
[00:40:33.575 --> 00:40:37.397]  They have to be identified, they have to be pointed out, and they have to be replaced.
[00:40:38.044 --> 00:40:38.805]  It's as simple as that.
[00:40:38.805 --> 00:40:39.526]  One way or the other.
[00:40:39.526 --> 00:40:41.909]  But the problem is that people think by cowering they're safe.
[00:40:41.909 --> 00:40:44.371]  No, these globals don't know how to stop.
[00:40:44.371 --> 00:40:51.760]  No, they want everybody to go into their little boxes and close the doors and they'll deal with you at their own leisure.
[00:40:51.760 --> 00:40:57.747]  Somebody has to man the wall of the Alamo or the enemy's going to be inside the gate by dark.
[00:40:58.167 --> 00:40:59.048]  That's it, folks.
[00:40:59.048 --> 00:41:00.870]  It's our children's future.
[00:41:00.870 --> 00:41:02.532]  It takes a man standing up.
[00:41:02.532 --> 00:41:03.613]  That's it.
[00:41:03.613 --> 00:41:04.334]  I've had a good time.
[00:41:04.334 --> 00:41:05.275]  They can kill me tomorrow.
[00:41:05.275 --> 00:41:06.296]  It doesn't make any difference.
[00:41:06.296 --> 00:41:07.057]  I've had a good life.
[00:41:07.057 --> 00:41:09.160]  But my kids are going to have to live in this world.
[00:41:09.160 --> 00:41:11.623]  I already know what's going on.
[00:41:11.623 --> 00:41:12.604]  I can see down the road.
[00:41:13.104 --> 00:41:16.046]  And I don't want them to have to deal with that, especially when they're not as equipped as we are.
[00:41:16.046 --> 00:41:19.028]  Well, I'm a lot younger than you are, but I've already made that decision.
[00:41:19.028 --> 00:41:22.211]  Standing up against pure evil is something we've got to do.
[00:41:22.211 --> 00:41:25.653]  And you know, before, I'm like, there's no way I can stop myself.
[00:41:25.653 --> 00:41:28.395]  There's no way I can quit what I'm doing, even though I know the cost.
[00:41:28.395 --> 00:41:32.198]  Because if we weren't here fighting, it'd be much worse right now.
[00:41:32.758 --> 00:41:53.470]  Well, I tell people, look, everybody gets fearful, and they say, well, they're so big and there's so many of them, and I say, look, it only took a handful of Spartans at Thermopylae to hold back the whole Persian army and could have done it indefinitely had it not been for one spy that took the Persians around through the mountain passes behind them until they surrounded them.
[00:41:53.470 --> 00:42:00.855]  So it was treachery that did that, but still, it just goes to show that a small group of people can make a big difference if they're willing to stand up and fight against the past.
[00:42:01.952 --> 00:42:11.600]  We're more than a small group, and the globalists only have a few thousand killers, and, uh, you know, they're doing this whole thing through ignorance, and that's why we have so much power.
[00:42:11.600 --> 00:42:14.342]  And our numbers are growing every day, Colonel.
[00:42:14.342 --> 00:42:15.423]  Our numbers are exploding.
[00:42:15.423 --> 00:42:22.589]  We'll come back and talk to Doug and others, and at worst, take your calls at 1-800-259-9231 as we defend the Republic against enemies foreign and domestic.
[00:42:27.084 --> 00:42:30.986]  We're on the march, the empire's on the run.
[00:42:30.986 --> 00:42:33.708]  Alex Jones and the GCN Radio Network.
[00:42:48.257 --> 00:42:48.717]  I don't know.
[00:42:48.717 --> 00:42:50.639]  It's really instinctive for me.
[00:42:50.639 --> 00:42:56.783]  When I found out how truly evil the globalists are, how deep the rabbit hole went, I have been stunned.
[00:42:56.783 --> 00:43:02.988]  And, you know, I do get this cold chill up my backside when I face just how bad it is.
[00:43:02.988 --> 00:43:09.593]  But instinctively, I have no other choice but to expose the New World Order, what they really are and what they're doing.
[00:43:09.593 --> 00:43:15.498]  We cannot give in to this cashless society that can only be dubbed as an anti-Christ beast system.
[00:43:15.498 --> 00:43:15.978]  Literally.
[00:43:17.223 --> 00:43:30.291]  And the horrible things they do, what they put in the vaccines, what they put in the food, what they've been caught doing, what their own public plans are, how they give peace prizes to people like Kofi Annan, who was involved in murdering 800,000 people.
[00:43:30.291 --> 00:43:33.053]  I mean, it's a sick joke!
[00:43:33.053 --> 00:43:40.978]  And we have the forces to educate the people of what's happening, but you've got to get involved in the fight, folks, and that makes us all safer.
[00:43:40.978 --> 00:43:41.838]  The more of us stand up.
[00:43:41.838 --> 00:43:44.760]  Before we go back to Colonel Roberts and all your calls, and there's a lot of them, I know,
[00:43:45.788 --> 00:43:47.410]  Herbal Healer Academy, folks.
