[00:00:03.397 --> 00:00:05.258]  It's Sunday, April 25th.
[00:25:55.700 --> 00:25:56.661]  Get the jab.
[00:25:56.661 --> 00:26:01.864]  I gotta need you to take that jab, though.
[00:26:01.864 --> 00:26:09.268]  Meanwhile, Merck pulls out, pulls the plug on COVID-19 vaccine program after disappointing trial data.
[00:26:09.268 --> 00:26:10.809]  Oops.
[00:26:10.809 --> 00:26:13.170]  Yeah, just another one with disappointing trial data.
[00:26:13.170 --> 00:26:14.211]  Most of them didn't even care.
[00:26:14.211 --> 00:26:17.613]  Most of them had the disappointing trial data and then still rolled it out to market.
[00:26:19.176 --> 00:26:22.018]  MIT study suggests six foot social distancing.
[00:26:22.018 --> 00:26:25.621]  Limited occupancy rates are completely pointless.
[00:26:25.621 --> 00:26:26.642]  You don't say.
[00:26:26.642 --> 00:26:30.505]  Boy, who would have guessed that?
[00:26:30.505 --> 00:26:33.267]  Some schmuck.
[00:26:33.267 --> 00:26:34.988]  They would have thought the whole thing was garbage.
[00:26:34.988 --> 00:26:36.409]  Some schmuck.
[00:26:36.409 --> 00:26:38.611]  Looks like the schmuck was right.
[00:26:38.611 --> 00:26:40.632]  But hey!
[00:26:40.632 --> 00:26:44.215]  Let's check out what's going on.
[00:26:44.215 --> 00:26:45.836]  We've got more side effects here.
[00:26:45.836 --> 00:26:46.597]  Clip five.
[00:26:47.697 --> 00:27:01.884]  If the Krispy Kreme donut, and the Nathan hot dogs, and the White Castle wasn't enough, maybe some herpes will be good for ya!
[00:27:01.884 --> 00:27:06.146]  Then roll clip five.
[00:27:06.146 --> 00:27:09.928]  Herpes infections may be a side effect of the COVID-19 vaccine.
[00:27:09.928 --> 00:27:14.990]  Scientists in Israel are researching six cases in which all patients were giving that Pfizer jab.
[00:27:15.948 --> 00:27:20.350]  And later developed herpes zoster, commonly known as shingles.
[00:27:20.350 --> 00:27:25.991]  The infection starts off as a small rash, but can include a long-lasting burning sensation even after the rash is gone.
[00:27:25.991 --> 00:27:28.012]  But don't worry!
[00:27:28.012 --> 00:27:31.473]  You can still get a Krispy Kreme donut!
[00:27:31.473 --> 00:27:34.594]  And I hear the strippers are really nice, too.
[00:27:34.594 --> 00:27:36.535]  They give you a free lap dance for every jab.
[00:27:39.247 --> 00:27:42.808]  So it's just another side effect and you know they'll continue to promote it.
[00:27:42.808 --> 00:27:47.130]  Joe Biden just put out a tweet saying get vaccinated America.
[00:27:47.130 --> 00:27:48.730]  That's not totalitarian at all.
[00:27:48.730 --> 00:27:49.851]  That's not medical tyranny.
[00:27:49.851 --> 00:27:52.392]  That's not scary at all.
[00:27:52.392 --> 00:27:57.513]  With all the side effects and the death and everything and the virus 99.9% survivable.
[00:27:57.513 --> 00:28:01.315]  Now you have European doctors in Norway that's based on their data
[00:28:03.351 --> 00:28:08.554]  You have less of a risk of having complications from COVID than from the COVID vaccine.
[00:28:08.554 --> 00:28:10.015]  And what did President Trump say?
[00:28:10.015 --> 00:28:14.397]  We can't have a cure that's worse than the disease.
[00:28:14.397 --> 00:28:17.859]  Well, that's lockdowns, that's the shutdown, that's the vaccine.
[00:28:17.859 --> 00:28:22.482]  So, this is the new world order, this is global government, this is medical tyranny.
[00:28:22.482 --> 00:28:27.184]  This is what it's like to be treated like a slave, like a commodity.
[00:28:27.184 --> 00:28:29.766]  And this is just the beginning, they're just getting you used to it.
[00:28:31.881 --> 00:28:35.924]  Laura Loomer joining us on the other side with a big announcement.
[00:28:35.924 --> 00:28:36.924]  You're not going to want to miss it.
[00:28:36.924 --> 00:28:38.826]  Remember, folks, InfoWarsStore.com.
[00:28:38.826 --> 00:28:40.787]  Check it out.
[00:28:40.787 --> 00:28:43.008]  Vezo Beat Complete.
[00:28:43.008 --> 00:28:45.029]  Back in stock.
[00:28:45.029 --> 00:28:47.391]  Blood flow, blood flow, blood flow.
[00:28:47.391 --> 00:28:50.873]  Vezo Beat Complete, ladies and gentlemen.
[00:28:50.873 --> 00:28:55.216]  I think we may be missing one of these bottles of Vezo Beat Complete.
[00:28:55.216 --> 00:28:57.918]  I may pull a Clintons at the White House.
[00:28:57.918 --> 00:28:58.278]  Fine now.
[00:28:59.870 --> 00:29:07.992]  Epic is one of only a handful of domain registrars that promote free speech and freedom of association.
[00:29:07.992 --> 00:29:15.854]  And they know that big tech is buying up almost all the other major companies and engaging in massive censorship and organized crime racketeering.
[00:29:15.854 --> 00:29:18.934]  That's why they've been massively expanding their services.
[00:29:18.934 --> 00:29:27.036]  So whether you have domains or want to register a domain or want help building a website or want servers or any other major service, they've got it all and they're expanding.
[00:29:27.396 --> 00:29:45.326]  And if you go to InfoWarsDomains.com and follow that link, you get all their services at the lowest price and 25% of your sign up for a new domain or a domain you move goes to fund the InfoWars and we get 5% as well for any servers or any other type of services that you get from them.
[00:29:45.606 --> 00:29:52.373]  So it's a win-win as we build a true, open, free internet again because the globalists are destroying what was open and what was free.
[00:29:52.373 --> 00:29:55.397]  So, InfoWarsDomains.com.
[00:29:55.397 --> 00:29:56.818]  The revolution starts there.
[00:29:56.818 --> 00:29:58.620]  InfoWarsDomains.com.
[00:29:58.620 --> 00:30:00.482]  Take action now!
[00:30:00.482 --> 00:30:03.225]  I'm up here working on a Thursday night in mid-April 2021.
[00:30:04.739 --> 00:30:05.839]  And I just want to say something.
[00:30:05.839 --> 00:30:10.620]  I am so blessed and honored to work with this incredible crew that has come together over the years.
[00:30:10.620 --> 00:30:12.021]  It is truly an answer to prayer.
[00:30:12.021 --> 00:30:15.562]  And I am so blessed and thankful for all of you, the listeners of this show.
[00:30:15.562 --> 00:30:18.442]  I want you to know that I love you and I appreciate you.
[00:30:18.442 --> 00:30:21.823]  Whether you are old, whether you are Hispanic, white, black, it doesn't matter.
[00:30:21.823 --> 00:30:23.024]  You got red blood.
[00:30:23.024 --> 00:30:29.165]  And if you love freedom and justice, and if you love our innocent children, we are brothers and sisters together.
[00:30:29.165 --> 00:30:32.786]  And it has just been an incredible experience to work with you over the years.
[00:30:33.486 --> 00:30:37.327]  And as crazy as things are, I want to keep working into the future.
[00:30:37.327 --> 00:30:40.247]  But again, that's really up to you and up to God.
[00:30:40.247 --> 00:30:45.848]  So please, I hope God works through you and puts a message in your heart to support us.
[00:30:45.848 --> 00:30:47.708]  Again, that's up to you and your relationship with God.
[00:30:47.708 --> 00:30:52.149]  I just want to thank you all for the years of support you've given us and what you've done.
[00:30:52.149 --> 00:30:55.790]  And just ask you again to pray to God and ask what God's vision is for you.
[00:30:55.790 --> 00:30:59.230]  And hopefully God will touch your heart to continue to support him for worse.
[00:30:59.230 --> 00:31:00.891]  God bless.
[00:31:00.891 --> 00:31:02.211]  It is a big idea
[00:31:03.411 --> 00:31:07.334]  A new world order.
[00:31:07.334 --> 00:31:12.598]  In the near future, Earth is dominated by a powerful world government.
[00:31:12.598 --> 00:31:15.060]  It's known as the Bilderberg Group.
[00:31:15.060 --> 00:31:17.923]  Could their objective be world domination?
[00:31:17.923 --> 00:31:20.345]  For thousands of years, their dark order grew.
[00:31:21.244 --> 00:31:29.430]  Now as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:31:29.430 --> 00:31:32.072]  The globalists feared this film made 14 years ago.
[00:31:32.072 --> 00:31:34.293]  It is the blueprint for their plan to take over the world.
[00:31:34.293 --> 00:31:35.734]  It is the blueprint for the Great Reset.
[00:31:35.734 --> 00:31:36.815]  It is Endgame.
[00:31:36.815 --> 00:31:38.056]  Blueprint for global enslavement.
[00:31:38.056 --> 00:31:44.060]  Available right now at InfoWarsTore.com with a zero country code, meaning you can make copies of it anywhere in the world.
[00:31:44.060 --> 00:31:47.863]  I strongly suggest you get the film Endgame at InfoWarsTore.com.
[00:31:48.283 --> 00:31:55.869]  I strongly suggest you make copies and share it, and if you take that action, I demand you tell others you've given a copy to that they make copies and share it as well.
[00:31:55.869 --> 00:32:00.874]  That will trigger distribution by proxy, meaning we the people cannot be stopped.
[00:32:00.874 --> 00:32:12.663]  Last week, I had a caller to my radio slash TV transmission, and he said to me, he said, Alex, there's all these facts and all these numbers of vaccines being recalled and people dying from it and people getting sick.
[00:32:12.663 --> 00:32:17.107]  How do I reach out to my friends and family and explain to them and to warn them about the danger?
[00:32:17.998 --> 00:32:21.641]  And I said to him something very profound, because it's so true.
[00:32:21.641 --> 00:32:23.563]  Trust your gut, trust your spirit.
[00:32:23.563 --> 00:32:24.924]  The Bible tells us.
[00:32:24.924 --> 00:32:28.147]  And I said, ask those friends, those family, those neighbors.
[00:32:28.147 --> 00:32:31.010]  Do you feel good about this vaccine?
[00:32:31.010 --> 00:32:33.112]  And his answer was, no, they don't feel good about it.
[00:32:33.112 --> 00:32:34.994]  So go with your gut.
[00:32:34.994 --> 00:32:36.655]  Well, let me ask you again.
[00:32:36.655 --> 00:32:38.697]  How does your gut feel about getting storable food?
[00:32:39.514 --> 00:32:41.676]  How does your gut feel about getting out in the countryside?
[00:32:41.676 --> 00:32:44.959]  How does your gut feel about getting guns and ammo to protect yourself?
[00:32:44.959 --> 00:32:46.600]  Well, I know what your gut's telling you.
[00:32:46.600 --> 00:32:55.988]  We have the best durable food, the highest quality, at the lowest prices you're going to find, 10% off at InfoWarStore.com right now, or PrepareWithAlex.com.
[00:32:55.988 --> 00:32:58.410]  Go with your gut and fund the InfoWar.
[00:32:58.410 --> 00:33:03.895]  InfoWarStore.com.
[00:33:03.895 --> 00:33:06.597]  You're listening to the Alex Jones Show.
[00:33:20.884 --> 00:33:22.024]  Big Brother.
[00:33:22.024 --> 00:33:23.805]  Mainstream media.
[00:33:23.805 --> 00:33:25.686]  Government cover-ups.
[00:33:25.686 --> 00:33:27.406]  You want to stop tyranny?
[00:33:27.406 --> 00:33:29.067]  Well, so does he.
[00:33:29.067 --> 00:33:34.168]  Live from the InfoWars.com studios, it's Alex Jones.
[00:33:34.168 --> 00:33:37.209]  And now, your host, Owen Troyer.
[00:33:43.596 --> 00:33:53.948]  That's right, ladies and gentlemen, and you are tuned in to the most banned news network in the world, InfoWars.
[00:33:53.948 --> 00:33:56.411]  Next year's news today.
[00:33:56.411 --> 00:34:02.738]  That's why it's always important to support us by shopping at InfoWarsStore.com, and that's why it's important to support people like Laura Loomer.
[00:34:03.621 --> 00:34:09.926]  Who are totally banned and deplatformed as well, who joins me now.
[00:34:09.926 --> 00:34:16.491]  Laura, I know that you're up to quite a few things politically and then some local activism there in Florida.
[00:34:16.491 --> 00:34:18.113]  What is the next big thing?
[00:34:18.113 --> 00:34:20.835]  What is the next thing people need to know Laura Loomer is up to?
[00:34:22.709 --> 00:34:23.970]  Thanks for having me on, Owen.
[00:34:23.970 --> 00:34:35.413]  So, as we've discussed on your show over the last couple weeks, as Governor DeSantis proposed his big tech censorship bill, the Florida legislative session ends on Friday.
[00:34:35.413 --> 00:34:45.977]  And so what this means is that the Republican legislature here in Florida has five days to include the amendment in this big tech bill, or else it's just going to be an empty bill and
[00:34:46.577 --> 00:34:59.427]  You know, Governor DeSantis has promised to deliver the most comprehensive and toughest big tech censorship bill in the country is going to fall short because as it currently stands, the bill has no teeth.
[00:34:59.427 --> 00:35:07.052]  And so on Tuesday, I'm going to be having a press conference and a big rally to put pressure on these lawmakers to include the amendments in the bill.
[00:35:07.052 --> 00:35:11.496]  And Michelle Malkin's coming down, Nick Fuentes, Lauren Witski, Vincent James.
[00:35:11.496 --> 00:35:12.717]  And we're hoping to have
[00:35:13.337 --> 00:35:22.580]  You know, hundreds if not thousands of people show up because we need this legislation to be more than just a do-nothing bill.
[00:35:22.580 --> 00:35:24.681]  So, get more into the details here.
[00:35:24.681 --> 00:35:28.122]  What is it that you want to see done that DeSantis isn't doing?
[00:35:28.122 --> 00:35:29.503]  And how does this translate?
[00:35:29.503 --> 00:35:37.866]  I mean, how can people in Florida take justice into their own hands against Big Tech versus other states if you can, you know, get more teeth into this bill?
[00:35:39.122 --> 00:35:53.927]  Right, so when Governor DeSantis went on Tucker Carlson about two months or so ago and he said that he was going to, you know, pass the toughest tech legislation in the country, he said that it was going to effectively prevent big tech from deplatforming political candidates.
[00:35:53.927 --> 00:35:59.729]  Well, if you look at the language within the bill, you'll see that a candidate is defined as a statewide candidate.
[00:36:00.289 --> 00:36:03.010]  Which is a senator or somebody running for a statewide position.
[00:36:03.010 --> 00:36:07.692]  That doesn't include federal positions like my campaign, which is a congressional campaign.
[00:36:07.692 --> 00:36:14.095]  Or if Donald Trump decides to run for president again in 2024, he will not be protected by this legislation.
[00:36:14.095 --> 00:36:19.737]  And so, as it currently stands, Governor DeSantis himself would not be protected by this legislation.
[00:36:19.737 --> 00:36:24.399]  And so, one of the amendments that I've proposed is making it retroactive.
[00:36:25.968 --> 00:36:35.616]  The way it's worded right now is that it would only penalize big tech social media companies $10,000 to $100,000 a day if they de-platform a candidate.
[00:36:35.616 --> 00:36:37.738]  So that is an active action, of course.
[00:36:37.738 --> 00:36:47.346]  That's not going to apply to somebody like myself or somebody like Donald Trump or Governor DeSantis if he is banned or de-platformed by social media prior to announcing his reelection.
[00:36:47.506 --> 00:36:49.408]  Let me ask you this, though.
[00:36:49.408 --> 00:36:59.436]  What if, you know, yes, you're banning everyone on Twitter, but let's say you started a new account, would it then fall into the realm of that saying, hey, no, this is a new account, Laura Loomer, for Congress, they can't ban you now?
[00:37:00.259 --> 00:37:06.405]  You can't have new accounts because what Twitter and Facebook did is they created new policies when I was a candidate.
[00:37:06.405 --> 00:37:12.210]  So their policy was prior to me announcing that if you are a candidate, you will get a verified account.
[00:37:12.210 --> 00:37:14.452]  Then when I filed it was you have to win your primary, right?
[00:37:14.452 --> 00:37:16.453]  Because they thought I wasn't going to win my primary.
[00:37:16.453 --> 00:37:21.418]  Then I won my primary and they changed the policy to basically everybody besides Laura Loomer can have an account.
[00:37:21.778 --> 00:37:34.329]  Then Facebook saw they were going to encounter the same problem and so they created a policy that said if you have been previously banned, it doesn't matter if you're running for office or even if you become an elected official, you are not allowed to have an account.
[00:37:34.329 --> 00:37:39.414]  Okay, so they've already written basically policy to fight back against this.
[00:37:39.414 --> 00:37:40.715]  Yes, they have and they did it in 2019 and 2020.
[00:37:43.772 --> 00:37:53.421]  And so I tried to let DeSantis' team know, and I met with these Florida Republican legislators to tell them, you know, listen, it's not as simple as just creating a new account.
[00:37:53.421 --> 00:37:58.566]  It's not as simple as, oh, okay, this bill is going to penalize tech companies and then candidates are going to be on.
[00:37:58.566 --> 00:38:06.394]  First of all, these companies are worth over $7 trillion, which is more than a quarter of the United States economy, our $21 trillion U.S.
[00:38:06.394 --> 00:38:07.135]  economy, okay?
[00:38:08.130 --> 00:38:14.117]  $100,000 a day or $10,000 a day is like pennies in a bucket for these people.
[00:38:14.117 --> 00:38:14.978]  It's not punitive.
[00:38:14.978 --> 00:38:20.224]  And so the damages need to be upwards of $100 million a day, which is what I've been proposing.
[00:38:20.224 --> 00:38:25.571]  And so I've been calling some of the amendments are to increase the fines and the penalties so that they're actually punitive.
[00:38:26.051 --> 00:38:32.834]  And then another one as well is to make it retroactive so that it applies to candidates who have been previously deplatformed.
[00:38:32.834 --> 00:38:40.958]  And then I'm also calling on the legislation to include penalties for payment processors because it's very surface level, this discussion that these lawmakers are having.
[00:38:41.378 --> 00:38:41.978]  Well, here's my issue.
[00:38:41.978 --> 00:38:43.799]  I feel like nobody's really taking this issue seriously because
[00:39:10.530 --> 00:39:19.735]  We can write bills and stuff, but to me these Republicans are going and they're having conversations and they're probably meeting with lawyers and they're saying, okay, well, what can we do?
[00:39:19.735 --> 00:39:21.096]  Somebody has to take a step.
[00:39:21.096 --> 00:39:22.397]  Somebody has to take a leap.
[00:39:22.397 --> 00:39:27.040]  Like you said, maybe it's a hundred million dollar fine if you censor a political candidate.
[00:39:27.040 --> 00:39:35.164]  I mean, somebody has to make some really large leaps here to push back against big tech censorship because right now they are clearly not threatened.
[00:39:35.164 --> 00:39:36.165]  They lie under oath.
[00:39:36.726 --> 00:39:39.511]  They can censor Donald Trump, the President of the United States.
[00:39:39.511 --> 00:39:44.982]  So to me, they show no fear at all over any politician writing any serious legislation right now.
[00:39:46.531 --> 00:39:47.132]  Exactly.
[00:39:47.132 --> 00:39:51.275]  And that's because a lot of these Republican lawmakers don't know what they're talking about.
[00:39:51.275 --> 00:39:57.179]  And why would Big Tech show fear if the fines are, oh, we're going to censor Big Tech.
[00:39:57.179 --> 00:40:02.283]  We're going to fine Big Tech $100,000 a day if they de-platform candidates.
[00:40:02.283 --> 00:40:09.108]  Well, Big Tech clearly has their lawyers and their legal team, and they see that this doesn't currently apply to de-platformed candidates, right?
[00:40:09.108 --> 00:40:12.090]  And so you're talking about people like myself and Donald Trump.
[00:40:12.090 --> 00:40:14.472]  And then if you're worth trillions of dollars, well,
[00:40:15.152 --> 00:40:17.393]  What's $100,000 a day, you know?
[00:40:17.393 --> 00:40:30.361]  For them, it's almost going to pay off in the long run if they keep people censored and deplatformed by paying a couple million dollars in fines than it would be if they were to allow somebody like myself or Donald Trump to gain access or Governor DeSantis, you know?
[00:40:30.361 --> 00:40:41.067]  So, of course they're not going to be scared because these lawmakers also, they keep on approaching it from a Section 230 standpoint, which is, you know, nonsensical because Section 230 is a federal mandate.
[00:40:43.889 --> 00:40:50.714]  So if Section 230 is a federal law, okay, you can't have state legislation addressing Section 230.
[00:40:50.714 --> 00:40:56.818]  And so the lawmakers need to start approaching the big tech issue as a civil rights issue, not a Section 230 issue.
[00:40:56.818 --> 00:41:02.902]  Because people's civil rights are being violated when they're discriminated against and deplatformed for simply being conservative.
[00:41:02.902 --> 00:41:03.443]  And that's why
[00:41:04.457 --> 00:41:07.479]  You know, about a month and a half ago, I filed to run for Congress again.
[00:41:07.479 --> 00:41:12.241]  You can go to lumer2022.com and support my congressional campaign today.
[00:41:12.241 --> 00:41:23.807]  And one of the things that I want to do, aside from breaking up big tech, is also updating our civil rights laws to include political affiliation as a protected class so that we can protect people from being discriminated against.
[00:41:25.433 --> 00:41:33.781]  Laura, I want to talk about that event coming up again next week on the other side of this break, so sit right there, folks.
[00:41:33.781 --> 00:41:47.375]  Again, Laura Loomer, one of the most banned people out there, just like InfoWars, and we're kind of the mothership to give Laura a platform, to give other banned people a platform like myself, and it's all supported by you shopping at InfoWarsStore.com.
[00:41:47.375 --> 00:41:49.257]  So folks, if you want Laura to keep fighting the good fight,
[00:41:49.717 --> 00:41:55.599]  Support her, support us so we can get her on air and let you know about her new developments and her events.
[00:41:55.599 --> 00:41:56.940]  Go to InfoWarsTore.com.
[00:41:56.940 --> 00:41:59.801]  We still have the t-shirt special happening by the way.
[00:41:59.801 --> 00:42:04.002]  A hot t-shirt right now, Alex Jones was right t-shirt.
[00:42:04.002 --> 00:42:06.103]  The Alex Jones was right t-shirt.
[00:42:06.103 --> 00:42:10.745]  A lot of people are into this right now with the vaccines causing all the crazy side effects and everything.
[00:42:10.745 --> 00:42:13.506]  And that's currently, is that our daily deal right now?
[00:42:13.506 --> 00:42:15.207]  I didn't even know that was our daily deal.
[00:42:15.207 --> 00:42:17.968]  We're selling it at cost right now.
[00:42:17.968 --> 00:42:18.668]  So, uh,
[00:42:20.017 --> 00:42:26.458]  These t-shirts cost us about $10 to purchase and get to the warehouse and have the crew and everything and ship it out.
[00:42:26.458 --> 00:42:31.479]  We're selling this, the daily deal right now at cost, the Alex Jones Was Right t-shirt.
[00:42:31.479 --> 00:42:36.140]  But all t-shirts are $17.76 right now at InfowarsStore.com.
[00:42:36.140 --> 00:42:40.521]  All t-shirts $17.76 right now at InfowarsStore.com.
[00:42:40.521 --> 00:42:43.882]  And then the daily deal is the Alex Jones Was Right t-shirt.
[00:42:43.882 --> 00:42:44.302]  It's a hot
[00:42:45.012 --> 00:42:46.472]  It's a hot ticket right now.
[00:42:46.472 --> 00:42:47.853]  It's selling out.
[00:42:47.853 --> 00:42:53.314]  Get your Alex Jones Was Right t-shirts exclusively at InfowarsStore.com.
[00:42:53.314 --> 00:43:00.635]  We'll be right back on the other side with Laura Loomer.
[00:43:00.635 --> 00:43:03.696]  I one trillion percent believe what I'm saying.
[00:43:03.696 --> 00:43:05.376]  Hell, everybody knows that.
[00:43:05.376 --> 00:43:06.657]  I'll just tell you what I'm really thinking.
[00:43:06.657 --> 00:43:09.037]  People say, Jones, why the hell did you just say that on air?
[00:43:09.037 --> 00:43:10.077]  That's embarrassing.
[00:43:10.077 --> 00:43:12.598]  Well, I'm not going to stop with only the good stuff about me.
[00:43:13.575 --> 00:43:15.036]  But I'll tell you this right now.
[00:43:15.036 --> 00:43:17.518]  You're nuts if you don't get storable food.
[00:43:17.518 --> 00:43:22.522]  And I've got the biggest, best sponsor with the highest quality food at the lowest price you're gonna find.
[00:43:22.522 --> 00:43:26.966]  Can you spend triple or four times it and get like gourmet stuff that tastes even better?
[00:43:26.966 --> 00:43:27.967]  Yeah.
[00:43:27.967 --> 00:43:29.408]  Most of this stuff tastes amazing.
[00:43:29.408 --> 00:43:30.609]  Some of it tastes okay.
[00:43:30.609 --> 00:43:34.092]  The point is it's high quality, it's nutritious, and it lasts a long time.
[00:43:34.092 --> 00:43:36.614]  And compared to other competitors, they can't even get close.
[00:43:37.518 --> 00:43:47.921]  We've got three months, six months, your supplies right now, and I twisted their arm so hard to give you 10% off again, because you're so conditionally buying our super sale.
[00:43:47.921 --> 00:43:49.842]  We're doing it one more time.
[00:43:49.842 --> 00:43:57.564]  Infowarrestore.com, Infowarrestore.com, 10% off the entire catalog of my favorite supply.
[00:43:57.564 --> 00:44:00.605]  Get ready while you still can.
[00:44:00.605 --> 00:44:03.426]  The equation is very simple.
[00:44:03.426 --> 00:44:05.227]  The bank of banks control the media.
[00:44:05.227 --> 00:44:06.307]  They control big pharma.
[00:44:07.043 --> 00:44:13.022]  They control academia, they control the military, industrial complex, they control big tech.
[00:44:14.162 --> 00:44:23.268]  And everywhere that they have been in control in the third world, they have established absolute total despotism and dehumanization.
[00:44:23.268 --> 00:44:31.734]  It is the Western Christian idea of human freedom that ended slavery and that promoted women's rights and so much more that actually threatens them.
[00:44:31.734 --> 00:44:38.519]  So because they can't defeat that empowering ethic, they instead co-opt it, turn it upside down, and use
[00:44:39.359 --> 00:44:47.446]  The idea of equality to actually destroy human freedom and the free market that threatens their monopolies of control.
[00:44:47.446 --> 00:44:51.950]  That's why they target InfoWars, because we understand the keys to defeating them.
[00:44:51.950 --> 00:44:57.314]  But the only way our transmission gets out is if you promote InfoWars at Band.Video.
[00:44:57.314 --> 00:44:58.415]  So we double your efforts.
[00:44:58.415 --> 00:44:59.336]  We're all in this together.
[00:45:00.666 --> 00:45:09.638]  A hundred and seventy years ago, the British royal family financed scientists to develop a plan for scientific dictatorship worldwide.
[00:45:09.638 --> 00:45:14.825]  That grew into the robber barons, and then into the eugenics movement, Hitler, and of course the rest is history.
[00:45:14.825 --> 00:45:15.206]  Our film,
[00:45:15.566 --> 00:45:16.287]  We're good to go.
[00:45:34.682 --> 00:45:41.348]  We're selling it for $14.95 for one copy, as low as $3.95 when you buy them in bulk to share with your friends and family.
[00:45:41.348 --> 00:45:47.333]  And every DVD has a zero country code, meaning you can burn copies of it anywhere in the world.
[00:45:47.333 --> 00:45:48.694]  I'm asking you to.
[00:45:48.694 --> 00:45:49.815]  I'm begging you to.
[00:45:49.815 --> 00:45:55.180]  This film predicted the Great Reset, the New World Order takeover, the fake virus, and so much more.
[00:45:55.180 --> 00:45:57.943]  That's why the film is evergreen and more explosive than ever.
[00:45:57.943 --> 00:46:00.165]  Get it today at InfoWarsStore.com.
[00:46:01.025 --> 00:46:07.670]  In the early 1990s, there was a really funny movie that came out called Wayne's World.
[00:46:07.670 --> 00:46:16.455]  Even before I had access to the show in the mid-1990s, I went and saw that movie and thought, man, that was fun.
[00:46:16.455 --> 00:46:21.559]  In fact, you speak out and have your own ideas, and even if you're a nerd, you're still entertaining because you're real.
[00:46:21.559 --> 00:46:23.360]  Well, what do they say in Wayne's World?
[00:46:25.409 --> 00:46:27.310]  We're not worthy!
[00:46:27.310 --> 00:46:31.290]  Every day when I cover these huge topics, I don't feel worthy to talk to you.
[00:46:31.290 --> 00:46:33.291]  Because these topics are so huge, they're so real.
[00:46:33.291 --> 00:46:34.671]  But I'm trying to tell you the truth.
[00:46:34.671 --> 00:46:36.712]  I'm trying to get it right, and most of the time we do.
[00:46:36.712 --> 00:46:38.372]  The globalists love lying to you.
[00:46:38.372 --> 00:46:39.712]  They love manipulating you.
[00:46:39.712 --> 00:46:42.413]  They enjoy destroying humanity.
[00:46:42.413 --> 00:46:47.034]  They enjoy manipulating ideas and using people's ignorance against them.
[00:46:47.034 --> 00:46:49.354]  That for me is really satanic.
[00:46:49.354 --> 00:46:50.454]  And disgusting.
[00:46:50.454 --> 00:46:52.775]  So you've got to pledge for myself and the whole Infowars crew
[00:46:54.432 --> 00:46:56.294]  We will never join the Globals.
[00:46:56.294 --> 00:46:58.255]  We will never knowingly manipulate you.
[00:46:58.255 --> 00:47:03.379]  Because we know we're all in this together.
[00:47:03.379 --> 00:47:06.161]  You're listening to The Alex Jones Show.
[00:47:06.161 --> 00:47:07.182]  The answer to 1984 is 1776.
[00:47:07.182 --> 00:47:12.426]  You're listening to The Alex Jones Show.
[00:47:22.569 --> 00:47:25.651]  At the time, it got almost no coverage.
[00:47:25.651 --> 00:47:30.133]  But I told listeners and viewers, this is a key seismic moment.
[00:47:30.133 --> 00:47:45.960]  I have been watching what was unfolding in India, in Australia, in South Africa, and areas of Western Europe, where governments were saying, hey, these experimental vaccines are causing major, major health problems.
[00:47:45.960 --> 00:47:47.721]  They're not approved.
[00:47:47.721 --> 00:47:50.502]  We're just rolling it out and testing it on the public in general.
[00:47:51.523 --> 00:47:55.425]  Something is desperately wrong here.
[00:47:55.425 --> 00:48:17.054]  And then Merck, one of the most corrupt, evil big pharma companies out there, with a horrible history of dumping deadly vaccines on the market like Gardasil, pulled out of not one but two of their vaccine programs and announced that they were exiting the COVID-19 vaccine race entirely because you cannot create a
[00:48:19.452 --> 00:48:20.993]  Vaccine for the common cold.
[00:48:20.993 --> 00:48:30.740]  They actually said that they said you should just get herd immunity and that there is no vaccine because of mutations and that this would basically be a fraud.
[00:48:30.740 --> 00:48:37.645]  You can go read the article in Forbes from back in January of this year.
[00:48:37.645 --> 00:48:45.891]  Merck pulls the plug on COVID-19 vaccine program after disappointing trial data.
[00:48:45.891 --> 00:48:47.172]  But when you read their full statement,
[00:48:48.539 --> 00:48:50.161]  It tells you everything you need to know.
[00:48:50.161 --> 00:49:01.091]  So why on this live Sunday show, the Alex Jones broadcast with Owen Schroeder and others, why am I focusing back on something from January?
[00:49:01.091 --> 00:49:11.881]  Because now if you look at the maps put out by the CDC and by the UN of the world, by now they wanted half the population of the planet vaccinated.
[00:49:11.881 --> 00:49:13.463]  And they have enough vaccine to already do that.
[00:49:14.838 --> 00:49:22.441]  But the highest level countries are only at 15% and that of course is the United States because we're so brainwashed.
[00:49:22.441 --> 00:49:37.007]  Japan is at less than 5% and so are most other nations because people know this is experimental, they know that they skipped the animal trials, and they read about all the death and destruction that's taking place.
[00:49:37.007 --> 00:49:43.850]  Remember two months ago when India banned the Pfizer shot and said it's very dangerous, it's killing people,
[00:49:44.932 --> 00:49:48.033]  They're doing unauthorized trials here.
[00:49:48.033 --> 00:49:50.374]  This is criminal.
[00:49:50.374 --> 00:49:56.577]  Remember that they had NewsGuard, owned by Bill Gates, come out and fact-check me and say that it wasn't true.
[00:49:56.577 --> 00:49:58.497]  But of course it was true.
[00:49:58.497 --> 00:50:02.819]  Well now, the other five vaccines have been banned in different parts of the world.
[00:50:02.819 --> 00:50:03.939]  All over the world.
[00:50:03.939 --> 00:50:05.960]  And so think about the victory we've had.
[00:50:05.960 --> 00:50:08.601]  They're trying to act like, oh, everybody loves vaccines.
