[00:00:06.084 --> 00:00:08.286]  Societies don't change.
[00:42:38.623 --> 00:42:39.984]  What am I lying about?
[00:42:39.984 --> 00:42:41.304]  What have we been wrong about?
[00:42:41.304 --> 00:42:47.108]  We told you derivatives 11 years ago would cause the country to go bankrupt by design.
[00:42:47.108 --> 00:42:49.249]  Now it's all admitted.
[00:42:49.249 --> 00:42:51.590]  We told you they lied about WMDs in Iraq.
[00:42:51.590 --> 00:42:52.271]  Now it's admitted.
[00:42:53.359 --> 00:42:57.601]  We told you that the CIA was protecting the Taliban and Al Qaeda and growing the opium.
[00:42:57.601 --> 00:42:58.641]  Now it's admitted.
[00:42:58.641 --> 00:43:02.082]  I mean, what else do you have to see come true that we discuss?
[00:43:02.082 --> 00:43:03.763]  I know what I'm talking about.
[00:43:03.763 --> 00:43:06.204]  You can know what you're talking about.
[00:43:06.204 --> 00:43:15.307]  You can become just as informed as I am if you'll actually start researching history and how the Pentagon has taken over countless nations.
[00:43:15.307 --> 00:43:18.949]  What's the number one danger in history, whether it was Rome 2,000 years ago or Babylon 2,500 years ago?
[00:43:23.717 --> 00:43:28.153]  What was the greatest threat in Alexander the Great's time?
[00:43:28.153 --> 00:43:28.675]  His father.
[00:43:29.810 --> 00:43:31.371]  was killed in a coup d'etat.
[00:43:31.371 --> 00:43:36.716]  He was only a Macedonian king, not one of the full kings from Southern Greece.
[00:43:36.716 --> 00:43:38.698]  They had regional kings at the time.
[00:43:38.698 --> 00:43:54.071]  And his father, at a military inspection, one of the Greeks who supported another rival family, there when he was inspecting thousands of troops, because they were in the middle of a war, threw a javelin through the heart of Alexander the Great's father.
[00:43:54.943 --> 00:44:09.057]  And there was a military coup, but then they fought that off and Alexander got back into control and then realized that he had to go ahead and conquer all of Greece to secure his area because there were rival clans always trying to overthrow Macedonia.
[00:44:09.057 --> 00:44:10.719]  What's the number one threat in the third world?
[00:44:10.719 --> 00:44:14.523]  What are you always hearing about in Africa and poor areas of Asia and Latin America?
[00:44:14.523 --> 00:44:16.625]  Every couple of months you hear about a military coup.
[00:44:16.625 --> 00:44:18.347]  I mean, they're going on constantly.
[00:44:20.950 --> 00:44:30.838]  Because if you've got a group with the weapons, and you've got a group that's in control of the intelligence, and you've got a group that's got the funding, they're going to overthrow your government.
[00:44:30.838 --> 00:44:32.760]  But it's more sophisticated than that here.
[00:44:32.760 --> 00:44:37.464]  You've got this offshore corporate group that's engaged in all these takeovers.
[00:44:37.464 --> 00:44:40.506]  They use our military as their muscle.
[00:44:40.506 --> 00:44:41.807]  They brainwash the troops.
[00:44:43.052 --> 00:44:51.354]  They have gotten their Rhodes Scholars and their Council on Foreign Relations and their Woodrow Wilson School of International Affairs Generals.
[00:44:51.354 --> 00:45:02.337]  Look at where McChrystal and look at where Petraeus, Petraeus and all of these people, I call him Petraeus so much now that's his actual name in my mind.
[00:45:04.298 --> 00:45:04.398]  They
[00:45:21.997 --> 00:45:31.725]  And are put into a higher position of power, and they end up being on the Joint Chiefs of Staff, or the heads of CENTCOM, or NORTHCOM, or SOUTHCOM, or AFRICOM, AFRICOR.
[00:45:31.725 --> 00:45:32.325]  All of this.
[00:45:32.325 --> 00:45:33.386]  This is how they govern.
[00:45:33.386 --> 00:45:34.928]  This is how they control.
[00:45:34.928 --> 00:45:37.790]  And so, they know the American people.
[00:45:37.790 --> 00:45:47.117]  They know the only threat to this global, corporate, illegitimate, criminal, treasonous, treacherous takeover of our country, that is the New World Order, is the American people taking their states back.
[00:45:48.075 --> 00:45:51.219]  And get in control of the federal government that way.
[00:45:51.219 --> 00:45:55.365]  That's why they can't let Arizona fix the problem with the open borders and the crime wave.
[00:45:55.365 --> 00:45:59.010]  That's why they want the states bankrupt under federal control.
[00:45:59.010 --> 00:46:03.456]  That's why they want the states always with unfunded mandates to not be able to pay their bills.
[00:46:03.456 --> 00:46:04.999]  Federally unfunded mandates.
[00:46:07.011 --> 00:46:08.072]  That's the goal!
[00:46:08.072 --> 00:46:10.355]  That's how they took down all these third world countries.
[00:46:10.355 --> 00:46:20.586]  We have the IMF World Bank plans from 2002, how they've done this to countless nations, and how they were planning it in Europe, the United States, England, Australia, New Zealand, Canada.
[00:46:20.586 --> 00:46:21.828]  And now it's happening!
[00:46:21.828 --> 00:46:26.112]  I mean, if I have their actual blueprints, if I have their actual battle plans,
[00:46:27.651 --> 00:46:30.152]  How am I not supposed to come up here and warn you?
[00:46:30.152 --> 00:46:32.313]  I'm not that smart.
[00:46:32.313 --> 00:46:33.434]  I've learned history.
[00:46:33.434 --> 00:46:34.454]  I've studied history.
[00:46:34.454 --> 00:46:37.696]  How governments operate, how elites operate, how they do it.
[00:46:37.696 --> 00:46:48.881]  And the number one threat is any corrupt elite coming in and buying off your government, buying off your military, promising them even more power if they help have a overthrow of the country.
[00:46:50.066 --> 00:46:54.809]  And if you look at England, if you look at Australia, if you look at Canada, look at the United States, it's all the same.
[00:46:54.809 --> 00:46:56.030]  You see the same articles.
[00:46:56.030 --> 00:47:12.322]  Oh, to help with security and to bolster security right now at the G20, or in Toronto, or in Illinois, or in California, oh, we're gonna have army out at checkpoints.
[00:47:12.322 --> 00:47:16.445]  And you see the same stories written the same way everywhere.
[00:47:16.445 --> 00:47:17.726]  And they're shake and bake articles.
[00:47:19.195 --> 00:47:29.347]  No matter how many times you buy the same pancake mix and it says take two eggs and this much milk and stir it up and then put it on the griddle.
[00:47:30.643 --> 00:47:34.904]  These articles are like box pancakes.
[00:47:34.904 --> 00:47:45.388]  It doesn't matter if it's Australia, England, Northern Ireland, the United States, Germany, it's the same report over and over and over and over again.
[00:47:45.388 --> 00:47:48.128]  Just the names are changed, the names of the towns are changed.
[00:47:48.128 --> 00:47:52.690]  This is a strategic, creeping death takeover of our society.
[00:48:00.069 --> 00:48:08.693]  Now I want to go to Joe and John and Redneck and Vic and JG and others here in just a moment.
[00:48:08.693 --> 00:48:20.219]  And we're going to take calls to the bottom of the next hour and then I'm going to cover
[00:48:21.590 --> 00:48:24.633]  Governor's voice grave concern over immigration.
[00:48:24.633 --> 00:48:29.057]  The latest on the immigration developments and the states' rights fight in Arizona.
[00:48:29.057 --> 00:48:30.559]  I'm going to get into the economy.
[00:48:30.559 --> 00:48:32.721]  I'm going to get into LeBron Nation.
[00:48:32.721 --> 00:48:35.744]  Americans hypnotized as country collapses.
[00:48:35.744 --> 00:48:40.749]  Key new article by Paul Watson up on PrisonPlanet.com.
[00:48:42.073 --> 00:48:49.159]  Then I'm going to get into these newscasts from around the country where they openly roll out martial law by stealth.
[00:48:49.159 --> 00:48:51.801]  They're not going to announce martial law overnight.
[00:48:51.801 --> 00:48:55.243]  They're just going to incrementally do it.
[00:48:55.243 --> 00:49:05.672]  You understand that in the late 90s, I interviewed on air Thomas Sanchez, emergency manager, Ale Philip, a chief of police, San Antonio, countless people.
[00:49:06.961 --> 00:49:20.309]  And we would send cameramen, or I would go, and I would have Marines and Army walk up to me, and my cameramen would, with their guns, in Main Street, USA, and say, you turn your camera off.
[00:49:20.309 --> 00:49:25.092]  I've had the Army, with Marines, do it in Belton, Texas.
[00:49:25.092 --> 00:49:32.376]  I've witnessed our camera guys in Brooksville, Florida, this happened to us.
[00:49:33.855 --> 00:49:39.643]  I have got the footage of it happening in Hebron, Maryland, in Swansboro.
[00:49:39.643 --> 00:49:40.945]  The list goes on and on.
[00:49:40.945 --> 00:49:44.249]  You haven't experienced the tyranny until you've been there.
[00:49:44.249 --> 00:49:45.250]  I mean, I tried to cover
[00:49:46.325 --> 00:50:02.857]  Brooksville, Florida and announced I was going to cover an urban warfare takeover drill because people inside the army had told me that this was a practice takeover drill of the airport, the local municipal airport with the local police, a roundup drill.
[00:50:02.857 --> 00:50:04.438]  And I got there and we interviewed people.
[00:50:04.438 --> 00:50:10.502]  This is in police state to the takeover and I'm walking around in neighborhoods in Brooksville, Florida and women come out and go, yeah, are you Alex Jones?
[00:50:10.502 --> 00:50:13.905]  The army came and knocked on my door and said, don't talk to you.
[00:50:14.912 --> 00:50:21.156]  That you are a dangerous kook.
[00:50:21.156 --> 00:50:26.519]  And then, I'm sitting there trying to videotape through the municipal airport fence at night, totally legal.
[00:50:27.438 --> 00:50:33.642]  And they have a special forces guy jump out of the bushes and start trying to light fires, blaming me for it.
[00:50:33.642 --> 00:50:35.783]  And I've got to start stomping them out.
[00:50:35.783 --> 00:50:39.506]  And I've got to physically begin restraining the person from doing it.
[00:50:39.506 --> 00:50:42.547]  I mean, these people are jumping out with lighters.
[00:50:42.547 --> 00:50:45.809]  Troops in plain clothes, jumping out with lighters, lighting fires.
[00:50:45.809 --> 00:50:47.871]  These are terrorists, ladies and gentlemen.
[00:50:47.871 --> 00:50:51.373]  They have been trained to engage in black ops against the American people.
[00:50:53.476 --> 00:50:55.119]  Because they're going to take your pension funds.
[00:50:55.119 --> 00:50:56.481]  They're going to loot this country.
[00:50:56.481 --> 00:50:58.524]  We're being militarily conquered.
[00:50:58.524 --> 00:50:59.205]  We'll be right back.
[00:50:59.205 --> 00:50:59.605]  Stay with us.
[00:51:02.580 --> 00:51:07.183]  We all know that the Berkey water purification systems are the most trusted name in water filtration.
[00:51:07.183 --> 00:51:14.989]  As an authorized Berkey dealer for over four years and serving thousands of satisfied customers, the Berkey Guy offers amazing specials for Berkey water systems.
[00:51:14.989 --> 00:51:29.780]  The revolutionary Berkey light systems include a set of self-sterilizing and re-cleanable black purification elements that purify water by removing chlorine, pathogenic bacteria, cysts and parasites to non-detectable levels and removes harmful chemicals such as herbicides and pesticides.
[00:51:30.080 --> 00:51:39.605]  Order the Berkey Light System today, complete with two black Berkey elements for only $209, and the Berkey Guy will include three Sport Berkey water bottles and ship everything to you free of charge.
[00:51:39.605 --> 00:51:40.285]  That's right!
[00:51:40.285 --> 00:51:46.548]  Three Sport Berkey water bottles and free shipping, an $87 value, yours free, but only for a limited time.
[00:51:46.548 --> 00:51:48.249]  Just call the Berkey Guy at 1-877-886-3653 now to order.
[00:51:48.249 --> 00:51:49.950]  That's 1-877-886-3653, or order online now at GoBerkey.com.
[00:51:49.950 --> 00:51:50.831]  That's GoBerkey.com today!
[00:52:02.082 --> 00:52:07.045]  The question is, where should the American people draw their line in the sand?
[00:52:07.045 --> 00:52:08.045]  What have we got?
[00:52:08.045 --> 00:52:10.486]  A republic or a monarchy?
[00:52:10.486 --> 00:52:11.507]  A republic.
[00:52:11.507 --> 00:52:14.148]  It's based on a constitution which protects minority rights.
[00:52:14.148 --> 00:52:16.409]  Not democracy, not mob rule.
[00:52:16.409 --> 00:52:18.430]  Two wolves and a sheep voting on what's for dinner.
[00:52:18.430 --> 00:52:24.013]  So they think they own our land, they think they own our water, children, our education, our money.
[00:52:24.013 --> 00:52:27.655]  We have to define who we are and what we will tolerate.
[00:52:28.015 --> 00:52:31.718]  Somebody's going to ask you what you did during the Patriot Uprising.
[00:52:31.718 --> 00:52:32.979]  You're being warned.
[00:52:32.979 --> 00:52:34.000]  We have the facts.
[00:52:34.000 --> 00:52:35.161]  We have the Constitution.
[00:52:35.161 --> 00:52:36.081]  We have the Bill of Rights.
[00:52:36.081 --> 00:52:36.962]  We have common law.
[00:52:36.962 --> 00:52:39.484]  Knowledge is power, ladies and gentlemen.
[00:52:39.484 --> 00:52:42.426]  And I'm so excited to be able to offer you Don't Tread on Me.
[00:52:42.426 --> 00:52:43.267]  Rise of the Republic.
[00:52:43.387 --> 00:52:48.329]  Tyranny is upon us, but liberty and the sleeping giant that is the American people is rising.
[00:52:48.329 --> 00:52:49.830]  A new tool in the Info War.
[00:52:49.830 --> 00:52:50.910]  Don't tread on me.
[00:52:50.910 --> 00:52:57.773]  Order it at InfoWars.com or PrisonPlanet.com or call toll free 888-253-3139 and support independent patriotic liberty films.
[00:53:01.994 --> 00:53:11.219]  Global meltdowns, massive unemployment, endless wars, a new currency crisis, financially and morally bankrupt, a great and terrible storm is approaching.
[00:53:11.219 --> 00:53:14.781]  So what's the best way to get ready to get prepared for hard times ahead?
[00:53:14.781 --> 00:53:24.367]  Introducing Off The Grid News, a weekly newsletter for independent patriots who want practical advice on how to survive and prosper in an increasingly dangerous world.
[00:53:24.367 --> 00:53:29.610]  It's the best way to get a black belt in emergency preparedness, survival skills, and off-the-grid living.
[00:53:29.910 --> 00:53:45.363]  Off The Grid News is fiercely independent, all about self-reliance and packed with helpful information on survival gardening, food preparation, alternative energy, herbal medicines, privacy and security, as well as God, gold and guns, with absolutely no apologies.
[00:53:45.363 --> 00:53:49.987]  And the best part, this $100 a year service is now free of charge for our listeners.
[00:53:49.987 --> 00:53:54.171]  That's right, free for our listeners who sign up at OffTheGridNews.com.
[00:53:54.171 --> 00:53:56.353]  That's OffTheGridNews.com.
[00:53:56.353 --> 00:53:57.314]  You can sign up free.
[00:53:57.674 --> 00:54:00.535]  You look like an angel.
[00:54:00.535 --> 00:54:06.158]  Walk like an angel.
[00:54:06.158 --> 00:54:07.759]  Talk like an angel.
[00:54:21.647 --> 00:54:27.850]  All right, we're going to your phone calls here in a moment, but I just want to make it clear.
[00:54:27.850 --> 00:54:31.591]  A lot of people say, I don't care if they have military checkpoints.
[00:54:31.591 --> 00:54:32.992]  I don't care if they search my car.
[00:54:32.992 --> 00:54:35.713]  I have nothing to hide.
[00:54:35.713 --> 00:54:43.337]  Ladies and gentlemen, I see reports every week where police pull somebody over with guns in their trunk, even in places like Texas, and they're not illegal.
[00:54:43.337 --> 00:54:45.638]  And the cops just go ahead and arrest you and take the guns.
[00:54:45.638 --> 00:54:48.739]  You never even get them back, even when you sue them.
[00:54:50.037 --> 00:54:52.478]  Remember Katrina?
[00:54:52.478 --> 00:54:56.760]  Remember what happened there?
[00:54:56.760 --> 00:55:06.185]  The establishment hasn't had a 20 plus year secret program to merge the police and the military and to train them to work together against the people for nothing.
[00:55:07.796 --> 00:55:13.581]  The globalists took over this society a long time ago, and they said, why don't we just use the US as an engine for global domination?
[00:55:13.581 --> 00:55:16.904]  They said, well, why don't we just start robbing the people blind?
[00:55:16.904 --> 00:55:18.305]  Well, they'll get angry.
[00:55:18.305 --> 00:55:19.046]  They'll get upset.
[00:55:19.046 --> 00:55:20.827]  They could take the states back.
[00:55:20.827 --> 00:55:23.410]  We'll just get the states in debt.
[00:55:23.410 --> 00:55:24.851]  Buy them off.
[00:55:24.851 --> 00:55:27.393]  We'll federalize local police by stealth.
[00:55:28.567 --> 00:55:32.269]  And then we'll stage terror attacks as a pretext to clamp down on the public.
[00:55:32.269 --> 00:55:34.851]  And the public will be told we're doing this for their safety.
[00:55:34.851 --> 00:55:35.712]  Okay.
[00:55:35.712 --> 00:55:36.232]  Let's do it.
[00:55:36.232 --> 00:55:38.213]  Just as long as we don't get caught.
[00:55:38.213 --> 00:55:39.914]  Just as long as we're in control.
[00:55:39.914 --> 00:55:40.675]  We're in control.
[00:55:40.675 --> 00:55:41.815]  Let's do it.
[00:55:41.815 --> 00:55:45.198]  Hell, look how many countries we've overthrown using this army.
[00:55:45.198 --> 00:55:47.879]  We'll do it here in the U.S.
[00:55:47.879 --> 00:55:53.323]  That's the new world order in a nutshell.
[00:55:53.323 --> 00:55:55.144]  And none of us are safe, my friends.
[00:55:57.159 --> 00:55:58.179]  None of us are safe.
[00:55:58.179 --> 00:56:00.860]  It is time to wake up to these realities.
[00:56:00.860 --> 00:56:07.661]  It's time to wake up to these facts now and understand just how serious, just how serious this really is.
[00:56:07.661 --> 00:56:14.982]  I want to tell you about one of the sponsors that made today's broadcast possible.
[00:56:14.982 --> 00:56:16.383]  It's efoodsdirect.com.
[00:56:16.383 --> 00:56:22.384]  They have wonderful non-GMO, non-hybrid food.
[00:56:24.011 --> 00:56:32.115]  And they have a bunch of different great food lines there, and it's all freshly made, the highest quality, and because they're the biggest outfit in the country, they also have the best prices.
[00:56:32.115 --> 00:56:36.938]  They're Patriots, efoodsdirect.com, and until July 14th, that's another two days.
[00:56:38.285 --> 00:56:39.506]  Two and a half days.
[00:56:39.506 --> 00:56:43.788]  You can get free shipping anywhere in the United States at efoodsdirect.com.
[00:56:43.788 --> 00:56:46.010]  So check out their high quality storable food today.
[00:56:46.010 --> 00:56:46.750]  efoodsdirect.com or 800-409-5633.
[00:56:46.750 --> 00:56:46.830]  800-409-5633.
[00:56:46.830 --> 00:56:47.591]  That's efoodsdirect.com.
[00:56:55.035 --> 00:57:01.440]  And at the same time, don't forget that I have the online video bookstore shopping cart.
[00:57:01.440 --> 00:57:05.002]  We also have the ball caps, the t-shirts, a lot of specials right now.
[00:57:05.002 --> 00:57:11.167]  In fact, we just keep making the deals better and better because our main mission is to get these videos out to everyone.
[00:57:11.167 --> 00:57:16.991]  We've got specials where you can get the film New World Order for free when you order it with one of my other documentaries.
[00:57:16.991 --> 00:57:23.335]  We have a limited time special where you can get Endgame, Blueprint for Global Enslavement, free when you order it with other films.
[00:57:24.116 --> 00:57:32.581]  We have specials where you get two t-shirts, you get a free ball cap with Don't Tread on Me or Infowars.com or Come and Take It.
[00:57:32.581 --> 00:57:41.806]  We also have these new 4GB hard drives, little memory sticks that are very affordably priced with Infowars.com printed on them.
[00:57:42.466 --> 00:57:44.968]  Those are all available at InfoWars.com.
[00:57:44.968 --> 00:57:51.154]  We have two different shopping carts to choose from, but the shopping carts have the same specials but two different ways to order.
[00:57:51.154 --> 00:57:53.956]  We have a Yahoo cart and then our own InfoWars store.
[00:57:53.956 --> 00:57:56.578]  All available at InfoWars.com.
[00:57:56.578 --> 00:57:59.881]  Everything that's on the website you can also call and get.
[00:57:59.881 --> 00:58:02.784]  You can ask about different combos and specials and free deals.
[00:58:02.784 --> 00:58:03.945]  We have all orders.
[00:58:03.945 --> 00:58:08.609]  Get a free Citizen Rulebook and InfoWars.com and PresentPundit.com bumper stickers.
[00:58:09.329 --> 00:58:12.230]  That's all available at Infowars.com or 888-253-3139.
[00:58:12.230 --> 00:58:12.591]  888-253-3139.
[00:58:12.591 --> 00:58:20.294]  Or write to me, PO Box 19549.
[00:58:20.294 --> 00:58:25.257]  That's PO Box 19549, Austin, Texas, 78760.
[00:58:25.257 --> 00:58:27.638]  And I want to thank all of you for your support.
[00:58:27.638 --> 00:58:34.421]  It is your order of the books, videos, t-shirts, and materials that funds all of this and the important work we're doing.
[00:58:34.421 --> 00:58:37.503]  So when you also get the materials, you have a powerful tool to wake others up.
[00:58:38.343 --> 00:58:40.026]  Yeah, but also to support our operations.
[00:58:40.026 --> 00:58:43.811]  We'll be right back.
[00:58:43.811 --> 00:58:46.435]  Thank you for listening to GCN.
[00:58:46.435 --> 00:58:49.600]  Be sure to visit GCNlive.com today.
[00:58:51.567 --> 00:58:52.308]  Listen up, folks.
[00:58:52.308 --> 00:58:53.248]  This is important.
[00:58:53.248 --> 00:58:54.369]  Alex Jones here.
[00:58:54.369 --> 00:59:02.716]  Now you can get free shipping on the storable, easy-to-fix, delicious food from efoodsdirect.com from July 4th through July 14th.
[00:59:02.716 --> 00:59:08.540]  We have looming evacuations in the southeast, unemployment insurance running out, and predictions of huge inflation.
[00:59:08.540 --> 00:59:10.542]  So we all need to get as much food as we can.
[00:59:10.862 --> 00:59:14.025]  Every one of you needs to buy as much storable food as possible.
[00:59:14.025 --> 00:59:19.210]  This is the perfect time to do just that with eFoodsDirect and take advantage of their free shipping special.
[00:59:19.210 --> 00:59:29.360]  When you order from eFoodsDirect.com from July 4th through July 14th, every dollar you spend will buy the food and eFoodsDirect will pay for the shipping in the continental United States.
[00:59:29.360 --> 00:59:33.845]  This is Alex Jones wishing you and your family true independence this 4th of July.
[00:59:34.065 --> 00:59:39.430]  With great food and free shipping through July 14th from efoodsdirect.com.
[00:59:39.430 --> 00:59:44.554]  You can order on the website efoodsdirect.com or simply call 800-409-5633.
[00:59:44.554 --> 00:59:54.622]  That's 800-409-5633 or on the web at efoodsdirect.com forward slash ship free.
[00:59:54.622 --> 00:59:57.024]  Waging war on corruption.
[00:59:57.024 --> 00:59:59.787]  Alex Jones on the GCM Radio Network.
[01:00:06.621 --> 01:00:11.463]  Big Brother, Mainstream Media, Government Cover-Ups.
[01:00:11.463 --> 01:00:13.044]  You want answers?
[01:00:13.044 --> 01:00:14.605]  Well, so does he.
[01:00:14.605 --> 01:00:18.786]  He's Alex Jones on the GCN Radio Network.
[01:00:18.786 --> 01:00:23.489]  And now, live from Austin, Texas, Alex Jones.
[01:00:23.489 --> 01:00:27.210]  It's hour number two on this Monday, the 12th day of July, 2010.
[01:00:30.040 --> 01:00:33.424]  And we are going to be going to your phone calls momentarily here.
[01:00:33.424 --> 01:00:44.315]  At the bottom of the hour, I'm going to start going over a ton of economic news, police state news, land grabbing news, but also a lot of great people are starting to counter all of this.
[01:00:44.315 --> 01:00:48.499]  But right now, let's go to your phone calls.
[01:00:48.499 --> 01:00:51.883]  Let's go ahead and speak to Joe in Texas.
[01:00:51.883 --> 01:00:52.544]  Joe, welcome.
[01:00:53.660 --> 01:00:54.921]  Hello Alex, are you sir?
[01:00:54.921 --> 01:00:56.161]  Good!
[01:00:56.161 --> 01:01:00.384]  Uh, Alex, I, uh, this is Gunsmith up in Hill, your fellow Hill Country member.
[01:01:00.384 --> 01:01:10.109]  I, I wanted to, you know, the Bible says in two witnesses confirmation, and because of you, uh, I use a lot of discernment.
[01:01:10.109 --> 01:01:14.592]  Um, my sister has bought some property up here in Hill Country, lives in Beaumont.
[01:01:14.592 --> 01:01:20.415]  The reason I called Alex is she had a DirecTV installation installed.
[01:01:21.312 --> 01:01:28.474]  And the man who installed it just got back, had been back for three months from Iraq, had done three years.
[01:01:28.474 --> 01:01:30.675]  Communication specialist.
[01:01:30.675 --> 01:01:34.235]  The man told me, we were talking, we were sharing horror stories.
[01:01:34.235 --> 01:01:39.977]  I was telling him about Central and South America, Manuel Noriega, all of that.
[01:01:39.977 --> 01:01:47.099]  He was telling me that he was, that Iraq is under martial law.
[01:01:47.099 --> 01:01:47.639]  His words.
[01:01:48.467 --> 01:01:52.330]  He also said that two of his friends were in this stop-loss thing.
[01:01:52.330 --> 01:01:56.773]  They got back and they turned around and sent them to Afghanistan.
[01:01:56.773 --> 01:02:04.958]  A man that spent three years with him in Iraq is now back and is in the National Guard Reserve.
[01:02:04.958 --> 01:02:05.819]  He called him.
[01:02:05.819 --> 01:02:08.901]  He quoted to me this three days ago.
[01:02:08.901 --> 01:02:17.367]  I'm sorry, it was on Thursday, Alex, last week, that his friend stated to him, they are gearing up for
[01:02:18.702 --> 01:02:24.024]  Uh, Marshall Law and from Texas City to Florida.
[01:02:24.024 --> 01:02:26.685]  They already have the tents.
[01:02:26.685 --> 01:02:31.547]  Confirming what you said about putting these tents in stadiums.
[01:02:31.547 --> 01:02:38.810]  His words that they are talking about evacuation from the coastline, 50 miles inland.
[01:02:38.810 --> 01:02:40.891]  They are geared up for it.
[01:02:40.891 --> 01:02:41.831]  His friend's words.
[01:02:42.492 --> 01:02:43.613]  Yeah, I think so.
[01:03:07.136 --> 01:03:17.658]  His friend stated to him in the service, the man's name is Greg, I have his home phone number, really nice man, said that they do have tents in place to put in stadiums.
[01:03:29.981 --> 01:03:30.662]  As a drill.
[01:03:47.922 --> 01:03:51.608]  After I take this round of calls, come on in, Du.
[01:03:51.608 --> 01:03:55.533]  Du, what sports stadium was that they had the civil unrest in Chicago?
[01:03:55.533 --> 01:03:56.414]  Toyota Park.
[01:03:56.414 --> 01:03:57.135]  Toyota Park.
[01:03:57.135 --> 01:03:57.656]  Yeah.
[01:03:57.656 --> 01:04:00.761]  And also doing stuff at a giant, Soldier Field.
[01:04:00.761 --> 01:04:01.401]  Soldier Field.
[01:04:01.401 --> 01:04:03.665]  Was another one, but Toyota Park was where we were at and filmed.
[01:04:03.945 --> 01:04:05.266]  Yeah, thank you.
[01:04:05.266 --> 01:04:06.506]  And I mean, they just admit this.
[01:04:06.506 --> 01:04:11.548]  So, I mean, I've been there and I've read all the press releases by the military.
[01:04:11.548 --> 01:04:15.470]  They train with foreign troops to take your families, take your kids.
[01:04:15.470 --> 01:04:17.311]  They put the women in one area, the men in another.
[01:04:17.311 --> 01:04:18.131]  They take your kids.
[01:04:18.131 --> 01:04:19.952]  The CPS has their way with them.
[01:04:19.952 --> 01:04:21.393]  The military just... And folks,
[01:04:22.338 --> 01:04:24.220]  And we're so trained to worship the military.
[01:04:24.220 --> 01:04:26.802]  The military, it's like Nazi Germany.
[01:04:26.802 --> 01:04:32.167]  The German soldiers, by and large, weren't bad, but their leader, Adolf A. Louis Hitler, was bad.
[01:04:32.167 --> 01:04:35.090]  I'm sure the Russian army wasn't bad, but Stalin was bad.
[01:04:35.090 --> 01:04:40.034]  And, I mean, I'm sorry, a Russian soldier tries to take, I mean, what else did he say?
[01:04:40.034 --> 01:04:43.097]  I mean, did he say his friend was concerned about this joke?
[01:04:43.097 --> 01:04:44.879]  He said, Alex, that it's
[01:04:45.279 --> 01:04:46.661]  Stay there, stay there Joe.
[01:04:46.661 --> 01:04:49.885]  I'm going to come back to you because I want to break this down.
[01:05:02.950 --> 01:05:09.392]  The Fall of America and the Western World is an all-new 10-hour documentary and survival guide rolled into one.
[01:05:09.392 --> 01:05:14.653]  In this film, you will see the reasons why our government is failing and what you can do to prepare.
[01:05:14.653 --> 01:05:28.197]  Featuring Dr. Paul Craig Roberts, Joseph Farah, David Icke, Naomi Wolf, G. Edward Griffin, Doug McIntyre, Mark Crispin Miller, Mickey Z, Doug Casey, David McIlvaney, and myself, Alex Jones.
[01:05:28.977 --> 01:05:34.001]  Protect yourself and get the tools you need to protect your family from these difficult times.
[01:05:34.001 --> 01:05:44.228]  The Fall of America and the Western World at www.thefallofamerica.net or click on the banners at infowars.com and prisonplanet.com.
[01:05:44.228 --> 01:05:49.371]  Again, that website's www.thefallofamerica.net or call 800-655-1577.
[01:05:49.371 --> 01:05:51.673]  Prepare yourself and the ones you love today.
[01:05:51.673 --> 01:05:52.193]  fallofamerica.net
[01:06:03.322 --> 01:06:07.283]  Hi folks, this is Alex Jones and I want to tell you about the Silver Lungs Generator.
[01:06:07.283 --> 01:06:16.145]  Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs.
[01:06:16.145 --> 01:06:20.766]  The respiratory system is the first line of defense for airborne pathogens and viruses.
[01:06:20.766 --> 01:06:31.588]  The Silver Lungs Generator infuses the respiratory system with your self-produced nano-silver solutions and also delivers the silver nanoparticles instantly into the bloodstream.
[01:06:32.228 --> 01:06:41.730]  With continued legislation threatening the sale of nano silver products, you can now produce pure and endless loyal silver with the Silver Lungs Generator.
[01:06:41.730 --> 01:06:47.172]  Very easy to follow step-by-step instructions are provided, making production fast and simple.
[01:06:47.172 --> 01:06:54.653]  Go to www.SilverLungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator.
[01:06:54.653 --> 01:06:57.394]  That's www.SilverLungs.com.
[01:07:01.235 --> 01:07:05.697]  Alex Jones here with urgent information concerning TrendsResearch.com.
[01:07:05.697 --> 01:07:13.180]  The Trends Journal distills the voluminous ongoing research of the Trends Research Institute into a concise, readily accessible form.
[01:07:13.180 --> 01:07:16.622]  By tracking 300 separately defined domestic and international trends,
[01:07:17.222 --> 01:07:21.744]  The Trends Journal establishes the connections that others fail to see or misinterpret.
[01:07:21.744 --> 01:07:29.606]  Gerald Salente's Trends Journal allows you to anticipate change, recognize the implications, and take protective strategies.
[01:07:29.606 --> 01:07:34.328]  Individual readers from every walk of life can put the Trends Journal Trends Forecast
[01:07:34.628 --> 01:07:37.389]  And Trends Analysis to Practical Use.
[01:07:37.389 --> 01:07:40.190]  Extra information to keep you well informed throughout the year.
[01:07:40.190 --> 01:07:47.712]  When any current event of major social, economic or political significance occurs, Trends Journal notifies its subscribers of their implications.
[01:07:47.712 --> 01:07:51.973]  When you subscribe to the Trends Journal, you'll also receive Trends Alerts.
