[00:00.000 --> 00:22.120]  information wars tomorrow's news today and at the moment in most parts of the
[01:12:06.360 --> 01:12:07.560]  of my company.
[01:12:07.560 --> 01:12:08.560]  And I saw the writing on the wall.
[01:12:08.560 --> 01:12:09.560]  I got the heck out of there.
[01:12:09.560 --> 01:12:14.680]  As happy as I could be to leave at Equal Health Alliance, I never thought that it would amount
[01:12:14.680 --> 01:12:15.680]  to anything.
[01:12:15.680 --> 01:12:20.600]  Well, fast forward to the fall of 2019 and that's when I learned myself about the emerging
[01:12:20.600 --> 01:12:23.600]  infectious disease outbreak in Wuhan, China.
[01:12:23.600 --> 01:12:29.360]  I actually found out about it in mid-December of 2019 from picking up some chatter and that's
[01:12:29.360 --> 01:12:32.600]  one of the technologies that I developed for the Department of Defense was actually using
[01:12:32.600 --> 01:12:37.680]  natural language processing technology to detect these emerging threats when people
[01:12:37.680 --> 01:12:41.520]  are tweeting or sending information over the pipeline or over networks.
[01:12:41.520 --> 01:12:46.480]  So I always had my finger on the pulse of these events in order to look for information.
[01:12:46.480 --> 01:12:50.640]  So, you know, when people start talking about there's some crazy disease event going on in
[01:12:50.640 --> 01:12:52.120]  China, I go to validate that.
[01:12:52.120 --> 01:12:56.200]  And one way that I did that, this is actually an analyst technique that I learned.
[01:12:56.200 --> 01:13:02.400]  You can go look for what's called particulate matter data 2.5 and what that represents,
[01:13:02.400 --> 01:13:06.280]  if you see a little in a plume dispersion model, if you see clusters of this or you
[01:13:06.280 --> 01:13:09.520]  see a high concentration of it, you can then overlay it with the city's infrastructure
[01:13:09.520 --> 01:13:10.520]  and that's what I did.
[01:13:10.520 --> 01:13:14.080]  And it looked like the crematoriums in Wuhan were operating in overdrive.
[01:13:14.080 --> 01:13:15.640]  Well, this is super exciting.
[01:13:15.640 --> 01:13:19.040]  You know, like this is what people like me get really excited about.
[01:13:19.040 --> 01:13:22.400]  And you know, I start calling up friends, coworkers, colleagues and, you know, sounding
[01:13:22.400 --> 01:13:26.840]  alarm like, hey, why isn't the U.S. government doing anything about this?
[01:13:26.840 --> 01:13:27.840]  And nobody really had a good answer.
[01:13:27.840 --> 01:13:32.600]  Then over the next two weeks, it starts to pick up on other public forums where epidemiologists
[01:13:32.600 --> 01:13:37.120]  share information that there's an outbreak happening and then trickles into the U.S.
[01:13:37.120 --> 01:13:40.040]  government about the first week of January and they start releasing some communications
[01:13:40.040 --> 01:13:41.040]  on it.
[01:13:41.040 --> 01:13:48.240]  And that everything the U.S. government tells us in early January 2020 is a lie.
[01:13:48.240 --> 01:13:53.200]  And I quickly put it together and I'm like, holy crap, at EcoTheLiance we are doing all
[01:13:53.200 --> 01:13:56.120]  this gain-of-function work at the Wuhan Institute of Virology.
[01:13:56.120 --> 01:14:01.640]  I actually reviewed the understanding the risk of back coronavirus emergence proposal
[01:14:01.640 --> 01:14:03.080]  when I worked at EcoHealth.
[01:14:03.080 --> 01:14:07.560]  You know, another interesting thing that happened while I worked at EcoHealth was that we actually
[01:14:07.560 --> 01:14:14.280]  pitched the humanized mouse gain-of-function work to make medical countermeasures, vaccines
[01:14:14.280 --> 01:14:18.600]  for lack of a better term, for these coronaviruses to Incutel.
[01:14:18.600 --> 01:14:23.680]  And Incutel is probably not known by your audience, but that is the venture capital
[01:14:23.680 --> 01:14:28.480]  arm of the CIA and Department of Defense to some extent.
[01:14:28.480 --> 01:14:29.480]  And I have all these documents.
[01:14:29.480 --> 01:14:32.280]  I actually just released all these documents on Twitter today.
[01:14:32.280 --> 01:14:37.880]  If you go to AGHUFF, AGHUFF on Twitter, you can go download all these documents yourself.
[01:14:37.880 --> 01:14:40.080]  So this was the big gift that I'm giving to everyone.
[01:14:40.080 --> 01:14:45.120]  I have the original unredacted documents that prove everything I'm saying.
[01:14:45.120 --> 01:14:47.680]  I mean, a lot of people came on and called me crazy.
[01:14:47.680 --> 01:14:50.920]  Senator Gary Peters actually his office, he was staffed and I was crazy and I was lying,
[01:14:50.920 --> 01:14:51.920]  whatever thing.
[01:14:51.920 --> 01:14:56.000]  But everything I said from day one is proven to be true.
[01:14:56.000 --> 01:15:02.760]  And through 2020 to 2021, other independent scientists like people from Drastic and around
[01:15:02.760 --> 01:15:07.440]  the world are investigating this and they're plugging in missing pieces of the story.
[01:15:07.440 --> 01:15:13.640]  So when I come forward as a whistleblower in 2021, the US government really clamps down
[01:15:13.640 --> 01:15:14.640]  hard.
[01:15:14.640 --> 01:15:15.640]  I mean, they start hacking into my devices.
[01:15:15.640 --> 01:15:16.640]  They break into my house.
[01:15:16.640 --> 01:15:21.120]  I find out they're actually working with the Michigan State Police, they taze my dog of
[01:15:21.120 --> 01:15:22.120]  all things.
[01:15:22.120 --> 01:15:28.640]  I mean, just insanity and it was really strange for me personally to go from developing and
[01:15:28.640 --> 01:15:32.720]  working on these kind of technologies for the US government to then having him used
[01:15:32.720 --> 01:15:33.720]  against me.
[01:15:33.720 --> 01:15:39.280]  I mean, I received the Edward Snowden treatment only for telling the truth.
[01:15:39.280 --> 01:15:40.280]  Amazing.
[01:15:40.280 --> 01:15:41.840]  Stay right there.
[01:15:41.840 --> 01:15:42.840]  I'm going to come back.
[01:15:42.840 --> 01:15:43.840]  A lot of people are joining us.
[01:15:43.840 --> 01:15:46.600]  Minute to minute, I'm going to reintroduce you.
[01:15:46.600 --> 01:15:47.600]  This is just incredible.
[01:15:47.600 --> 01:15:51.680]  I mean, I've been wanting to get you on as a guest and I've been wanting to read the book.
[01:15:51.680 --> 01:15:55.800]  I know it's just not coming out and I remember all the big things you broke from behind the
[01:15:55.800 --> 01:15:56.800]  scenes.
[01:15:56.800 --> 01:15:57.800]  No wonder they came after you.
[01:15:57.800 --> 01:15:59.560]  Now you're going public.
[01:15:59.560 --> 01:16:05.560]  December 2022 is here and we are proud and very excited to announce that free shipping
[01:16:05.560 --> 01:16:08.440]  is back at infowarstore.com.
[01:16:08.440 --> 01:16:09.440]  That's right.
[01:16:09.440 --> 01:16:15.400]  Free shipping on all orders of $50 or more, but we've signed a new deal with a big national
[01:16:15.400 --> 01:16:21.280]  shipping company and they're able to cut our regular shipping cost by up to 50%.
[01:16:21.280 --> 01:16:25.800]  So that means even on orders that are below $50, you're going to be paying way lower than
[01:16:25.800 --> 01:16:27.560]  you were previously.
[01:16:27.560 --> 01:16:28.560]  This is a game changer.
[01:16:28.560 --> 01:16:30.480]  We're so excited about it.
[01:16:30.480 --> 01:16:32.360]  Our listeners have really asked for free shipping again.
[01:16:32.360 --> 01:16:36.680]  We couldn't afford it before, but by moving to a bigger national distributor, we're able
[01:16:36.680 --> 01:16:37.680]  to do it.
[01:16:37.680 --> 01:16:42.760]  So now your orders will be shipped even faster, the same great customer service and more.
[01:16:42.760 --> 01:16:48.800]  So get huge discounts and free shipping on so many great items at infowarstore.com right
[01:16:48.800 --> 01:16:49.800]  now.
[01:16:49.800 --> 01:16:53.240]  We thank you all for your support, but now there's no excuse to boost your immune system,
[01:16:53.240 --> 01:16:59.440]  lead a healthier life, and keep infowarstores on the air at infowarstore.com.
[01:16:59.440 --> 01:17:06.360]  Until about 150 years ago, cultures all over the world believe that people got sick and
[01:17:06.360 --> 01:17:10.960]  died in many cases in the winter because of something called vapors.
[01:17:10.960 --> 01:17:15.400]  They associated these poisonous vapors with cold weather.
[01:17:15.400 --> 01:17:20.240]  Of course it wasn't the cold weather or catching a chill that killed people, what was killing
[01:17:20.240 --> 01:17:23.800]  people was a lack of vitamin D3.
[01:17:23.800 --> 01:17:30.600]  You see the sun via your skin helps your body produce vitamin D3, but if you're not getting
[01:17:30.600 --> 01:17:35.680]  enough sun, you will not produce vitamin D3, and then it's very easy for viruses and other
[01:17:35.680 --> 01:17:38.520]  things to start replicating and taking your body over.
[01:17:38.520 --> 01:17:42.440]  So now it's more important than ever because the winter's here to take high quality vitamin
[01:17:42.440 --> 01:17:47.240]  D3 and we have the best with our vitamin D3 gummies with calcium for better upload in
[01:17:47.240 --> 01:17:53.440]  your body for 50% off at infowarstore.com with promo code 1776.
[01:17:53.440 --> 01:17:59.640]  Don't wait, support the info war and your immune system with vitamin D3 gummies at infowarstore.com.
[01:17:59.640 --> 01:18:06.400]  Until about 150 years ago, cultures all over the world believe that people got sick and
[01:18:06.400 --> 01:18:10.960]  died in many cases in the winter because of something called vapors.
[01:18:10.960 --> 01:18:15.400]  They associated these poisonous vapors with cold weather.
[01:18:15.400 --> 01:18:20.240]  Of course it wasn't the cold weather or catching a chill that killed people, what was killing
[01:18:20.240 --> 01:18:23.840]  people was a lack of vitamin D3.
[01:18:23.840 --> 01:18:30.640]  You see the sun via your skin helps your body produce vitamin D3, but if you're not getting
[01:18:30.640 --> 01:18:35.720]  enough sun, you will not produce vitamin D3, and then it's very easy for viruses and other
[01:18:35.720 --> 01:18:38.520]  things to start replicating and taking your body over.
[01:18:38.520 --> 01:18:42.480]  So now it's more important than ever because the winter's here to take high quality vitamin
[01:18:42.480 --> 01:18:47.240]  D3 and we have the best with our vitamin D3 gummies with calcium for better upload in
[01:18:47.240 --> 01:18:53.440]  your body for 50% off at infowarstore.com with promo code 1776.
[01:18:53.440 --> 01:18:59.480]  Don't wait, support the info war and your immune system with vitamin D3 gummies at infowarstore.com.
[01:18:59.480 --> 01:19:05.360]  Once a tragedy reaches a level of national significance, American citizens should be
[01:19:05.360 --> 01:19:10.720]  allowed to basically question that event in any way that they deemed fit.
[01:19:10.720 --> 01:19:14.560]  The First Amendment is unique in the world, that's what they want to take away, your ability
[01:19:14.560 --> 01:19:15.560]  to speak freely.
[01:19:15.560 --> 01:19:36.600]  So they're going to go from Mike Lindell next, or they're going to go from Steve Bannon,
[01:19:36.600 --> 01:19:51.780]  Steve Bannon, Steve Bannon.
[01:19:51.780 --> 01:19:58.780]  1776, the promo code, the destination is infoworkstore.com, and I thank you all for your support.
[01:19:58.780 --> 01:20:24.780]  Leading of frontal assault on the lies of the New World Order, it's Alex Jones.
[01:20:24.780 --> 01:20:41.780]  Ladies and gentlemen, this guest is huge. This guest is so important, and he's a very humble person, combat veteran who joined up in September 11th, went on to earn degrees in psychology and security technologies and geographic information systems,
[01:20:41.780 --> 01:20:54.780]  and the doctor of environmental health science and the emerging infectious diseases, specifically track Ph.D. at the University of Minnesota after graduation. He then continues education at MIT in complex modeling and analysis.
[01:20:54.780 --> 01:21:07.780]  He also worked in research, felt the Department of Homeland Security, Center for Excellence, a senior member of the technical staff at the Sanadena National Laboratories, and as an executive, the vice president at EcoHealth Alliance.
[01:21:07.780 --> 01:21:16.780]  And it just goes on, I'm not going to read the rest of his bio, or we'd burn the whole hour. He's the big whistleblower that was quietly exposing the crematoriums.
[01:21:16.780 --> 01:21:28.780]  At first said, hey, we got a virus that's out. And then it all dawned on him later, wait, I used to be the vice president just a little bit before at EcoHealth Alliance.
[01:21:28.780 --> 01:21:40.780]  Obviously a CIA cut out, they're trying to recruit him, hey, we work with the CIA, and all the intel and gathering intel on these so-called virus research labs are really dual use.
[01:21:40.780 --> 01:21:50.780]  And then he begins to expose it, and they come after him. Well, now he's written a book, and now he's going public, and he is taking the world by storm.
[01:21:50.780 --> 01:22:04.780]  The truth about Wuhan, I can't wait to get it from the great people at Sky Horse. The truth about Wuhan, how I uncovered the biggest lie in history, Dr. Andrew G. Huff, former EcoHealth Alliance vice president and senior scientist.
[01:22:04.780 --> 01:22:12.780]  So you've given us some background, you're getting up to the harassment point, but just condensing it down, then we'll walk through a lot of the key points in the book.
[01:22:12.780 --> 01:22:20.780]  I've got some talking points here, some questions, just to boil down for people. They've only got five minutes to hear what's happening.
[01:22:20.780 --> 01:22:28.780]  I want to take this out later and post it so they get the big picture, because you really are the insider that can, I think, testify in Congress with Senator Paul.
[01:22:28.780 --> 01:22:34.780]  I mean, I think you could bring this whole House of Cards down. No wonder they've been harassing you.
[01:22:34.780 --> 01:22:42.780]  You're absolutely right. And the fine thing here is I actually delivered all my documents to the House Intelligence Committee, various members of the Senate.
[01:22:42.780 --> 01:22:52.780]  Attorney Tom Renz and I actually published a report that's all based off my information, my documents, and a recorded deposition that I did under oath with penalty of perjury.
[01:22:52.780 --> 01:22:58.780]  I've actually released a number of sworn statements as well, so everything I'm telling you is factual.
[01:22:58.780 --> 01:23:11.780]  And I challenge the other side, Dr. Anthony Fauci, Dr. Peter Dasek, Dr. Barrick, to go out and testify under oath with penalty of perjury and try to negate the things that I've been saying.
[01:23:11.780 --> 01:23:19.780]  And frankly, they can't do it. Dr. Anthony Fauci all of a sudden has a case of amnesia during those last deposition.
[01:23:19.780 --> 01:23:30.780]  He's telling everyone that, well, I don't really know this Dr. Ralph Barrick guy. I don't know if they got into Dr. Dasek, but I mean, do you know how ridiculous it is that the leader of NIAID,
[01:23:30.780 --> 01:23:36.780]  the guy who funds all the gain of function work, doesn't know who their best world famous virologist is and he can't remember who he is?
[01:23:36.780 --> 01:23:44.780]  I mean, this is the insanity of what we're dealing with. And we're really dealing with a big problem in our country. It's the Uniparty.
[01:23:44.780 --> 01:23:52.780]  Democrats and Republicans do not want to touch this. It's toxic. And a big reason why they don't want to do that is, here's another fact.
[01:23:52.780 --> 01:24:02.780]  The SARS-CoV-2 agent and the mRNA medical countermeasure, the vaccine as they call it, it's not a vaccine, were co-developed.
[01:24:02.780 --> 01:24:10.780]  That's in the book. It was patented by Ralph Barrick, Moderna and a number other of U.S. government scientists.
[01:24:10.780 --> 01:24:16.780]  So you have to ask yourself, you know, when the hell is this insanity going to stop? I mean, we have to do something about it.
[01:24:16.780 --> 01:24:23.780]  That's why I wrote the book. And, you know, I realized the side-up that's been going on against the American people is this.
[01:24:23.780 --> 01:24:33.780]  They try to confuse this whole discussion about the origin of SARS-CoV-2 or COVID by talking about this detailed minutiae of virology.
[01:24:33.780 --> 01:24:40.780]  So I actually became friends with Robert F. Kennedy, Jr. He called me up and it was a really interesting conversation.
[01:24:40.780 --> 01:24:45.780]  He said, you know, I heard that you're from the Alliance. You're working in all these places.
[01:24:45.780 --> 01:24:51.780]  I hear that you're getting harassed by the CIA. My family and I have really interesting history with the CIA.
[01:24:51.780 --> 01:24:56.780]  And it blew my mind. And so he sent me an autographed copy. He was both telling me to read it.
[01:24:56.780 --> 01:25:04.780]  And, you know, he covers everything so well there. I realized they've been bogging everyone down with the detailed technical minutiae of virology.
[01:25:04.780 --> 01:25:09.780]  So nobody can understand it. I mean, people at my level can barely understand a lot of the technical detail.
[01:25:09.780 --> 01:25:12.780]  It actually takes me some time to read through these virology papers.
[01:25:12.780 --> 01:25:22.780]  So what I do in this book is I break it down in layman terms so that a high school student can understand what has happened here.
[01:25:22.780 --> 01:25:29.780]  And I firmly believe if we can make every American understand and, you know, I'm an educator, I love teaching, I want everyone to be able to understand,
[01:25:29.780 --> 01:25:35.780]  then we can prevent this from ever happening again. And that's really my goal here.
[01:25:35.780 --> 01:25:42.780]  It's just incredible. And you've got so much courage. But what I get from this at first, you were just trying to be helpful.
[01:25:42.780 --> 01:25:48.780]  And then they came after you and describe some of that harassment for folks that don't know what this is like.
[01:25:48.780 --> 01:25:55.780]  Yeah, it was really strange. I mean, so the first thing that happens is the military-grade quadrocopter drones are hovering around my house.
[01:25:55.780 --> 01:26:01.780]  And I get really freaked out about this. I mean, I live in a remote area and my driveway is a mile long.
[01:26:01.780 --> 01:26:05.780]  I live in the upper peninsula of Michigan. It's one of the most remote areas of Lower 48.
[01:26:05.780 --> 01:26:09.780]  Everyone, you know, speculates that I moved here to run from the deep state.
[01:26:09.780 --> 01:26:12.780]  And the reality is I'm still connected to a lot of people in the deep state.
[01:26:12.780 --> 01:26:15.780]  I mean, I worked with these people for a year. Some of them are great scientists.
[01:26:15.780 --> 01:26:19.780]  Not all the bureaucrats are bad. Some are terrible, obviously.
[01:26:19.780 --> 01:26:26.780]  So that starts happening. And, you know, I go to law enforcement. We call up the local Sheriff's Department of State Police.
[01:26:26.780 --> 01:26:32.780]  And they verify seeing all these weird drones out here. People out hunting in my neighbor see all these drones.
[01:26:32.780 --> 01:26:37.780]  And it just continues to escalate. Then I start getting followed by teams of people.
[01:26:37.780 --> 01:26:45.780]  Where I go, complex tailing operations, 5 to 10 vehicles. And, you know, there's a crazy moment that happens and it's in the book.
[01:26:45.780 --> 01:26:51.780]  I think it's around December 12th is a specific date. The U.S. government hovers a Coast Guard helicopter over my house.
[01:26:51.780 --> 01:26:58.780]  I snap a picture of it and I started laughing because at first I thought maybe I'm like, this is, you know, contractors, you know, hired by the Chinese.
[01:26:58.780 --> 01:27:04.780]  What happens in these situations is that the U.S. government will sometimes work with foreign intelligence agencies to conduct illegal domestic operations.
[01:27:04.780 --> 01:27:09.780]  This is well documented. But no, it's actually the U.S. government doing these things.
[01:27:09.780 --> 01:27:16.780]  And, you know, I started experiencing hacks on my devices. My wife, every, we started experiencing these hacks probably at a rate of every two weeks.
[01:27:16.780 --> 01:27:23.780]  So I'm spending a fair amount of time just trying to keep a computer, you know, a network operational and devices operational.
[01:27:23.780 --> 01:27:27.780]  They try to delete and wipe all my Equal Health Alliance records, which I just posted on Twitter.
[01:27:27.780 --> 01:27:30.780]  I saved it for this big moment so I could release those today.
[01:27:30.780 --> 01:27:36.780]  So your audience should go check those out and download those if they want to see the original, the ties to the Rockefeller Foundation, the Google Foundation,
[01:27:36.780 --> 01:27:40.780]  Welcome Trust. I mean, it's just some really damn stuff.
[01:27:40.780 --> 01:27:42.780]  Metabiotta, which has ties to Hunter Biden.
[01:27:42.780 --> 01:27:46.780]  And please, everybody on radio, tell people your Twitter address.
[01:27:46.780 --> 01:27:49.780]  A.G. H.U.F.F. A.G. Huff.
[01:27:49.780 --> 01:27:55.780]  A.G. Huff. There it is. And let's scroll through that and show viewers. This is incredible. Please continue.
[01:27:55.780 --> 01:28:03.780]  So, you know, it continues to escalate. So I finally realized that my only way out of this because I actually really feared for my life.
[01:28:03.780 --> 01:28:06.780]  I didn't know whether or not they were going to try to put a hit on me.
[01:28:06.780 --> 01:28:11.780]  It's just hard to know because you can't figure it out. So I'm contacted or approached by a number of people.
[01:28:11.780 --> 01:28:17.780]  Some are probably intelligence assets. Actually, some of them I identify, you know, so I can trace some of this back to the FBI,
[01:28:17.780 --> 01:28:20.780]  the Defense Intelligence Agency, the Department of Homeland Security.
[01:28:20.780 --> 01:28:26.780]  I mean, I'll have a little bit soup of agencies they went to and they actually partnered up with the Michigan State Police.
[01:28:26.780 --> 01:28:33.780]  Fast forwarding through the story, that harassment just continued to escalate. They actually backdoored my security system on my house
[01:28:33.780 --> 01:28:37.780]  and I figured out how they did it. It was a close system. I put it in after all this harassment started happening.
[01:28:37.780 --> 01:28:40.780]  They dumped, they did some real petty stuff. They dumped acid in my wood boiler.
[01:28:40.780 --> 01:28:44.780]  I had a new high efficiency wood boiler installed. They dumped acid in the tank.
[01:28:44.780 --> 01:28:48.780]  Stay there. This is incredible. And then let's come back and talk about what it is you discovered
[01:28:48.780 --> 01:28:52.780]  and how you've reverse engineered what really happened. This is incredible.
[01:28:52.780 --> 01:29:18.780]  We've got to get you back again, too. Wow, because we need to really promote this. This is huge. We'll be right back.
[01:29:22.780 --> 01:29:37.780]  We've got to get you back.
[01:29:37.780 --> 01:29:54.780]  On all orders, $50 or more at infowarstore.com and up to 60% off at checkout with promo code 1776 and we've got the signed and unsigned copies of the Great Reset War for the World book as well, which make perfect stocking stuffers.
[01:29:54.780 --> 01:29:58.780]  Don't wait. Take action at infowarstore.com today.
[01:29:58.780 --> 01:30:07.780]  December 2022 is here and we are proud and very excited to announce that free shipping is back at infowarstore.com.
[01:30:07.780 --> 01:30:20.780]  That's right. Free shipping on all orders of $50 or more, but we've signed a new deal with a big national shipping company and they're able to cut our regular shipping cost by up to 50%.
[01:30:20.780 --> 01:30:29.780]  So that means even on orders that are below $50, you're going to be paying way lower than you were previously. This is a game changer. We're so excited about it.
[01:30:29.780 --> 01:30:36.780]  Our listeners have really asked for free shipping again. We couldn't afford it before, but by moving to a bigger national distributor, we're able to do it.
[01:30:36.780 --> 01:30:41.780]  So now your orders will be shipped even faster, the same great customer service and more.
[01:30:41.780 --> 01:30:52.780]  So get huge discounts and free shipping on so many great items at infowarstore.com right now. I want to thank you all for your support, but now there's no excuse to boost your immune system.
[01:30:52.780 --> 01:30:58.780]  Lead a healthier life and keep invoices on the air, infowarstore.com.
[01:30:58.780 --> 01:31:05.780]  I'm Dr. Peter McCullough and it's an absolute pleasure to introduce to you the Wellness Company.
[01:31:05.780 --> 01:31:16.780]  An alternative healthcare system for this COVID and post-COVID world where trust has been lost in doctors and healthcare systems.
[01:31:16.780 --> 01:31:40.780]  This new online virtual platform is nationwide providing uncensored content, virtual appointments, laboratory testing, diagnostics, prescriptions, treatment packages specifically for COVID, post-COVID, vaccine injury syndromes and all the usual things that are seen in primary care.
[01:31:40.780 --> 01:31:49.780]  And then we have an entire array of holistic products, an online store, media and health advice.
[01:31:49.780 --> 01:32:17.780]  Come see the Wellness Company and go to onlinehealthnow.com as a conduit to the Wellness Company.
[01:32:17.780 --> 01:32:24.780]  This drop can show signs such as fatigue, low energy, low sex drive and muscle loss.
[01:32:24.780 --> 01:32:30.780]  Alpha Power is packed with some of the most potent and clinically tested ingredients on the market.
[01:32:30.780 --> 01:32:49.780]  The secret is in the synergistic blend of ancient ingredients that have been concentrated into their most potent forms including uricoma longifolia originally from Malaysia, makaroo from Peru, horny goatweed from China and tribulus from India.
[01:32:49.780 --> 01:32:53.780]  Reach your alpha male potential with Alpha Power.
[01:32:53.780 --> 01:32:59.780]  Head to infowarslife.com and secure your bottle today.
[01:32:59.780 --> 01:33:09.780]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[01:33:09.780 --> 01:33:22.780]  From the front lines of the information war, it's Alex Jones.
[01:33:22.780 --> 01:33:32.780]  Well, we have the former vice president and the head of their operations, Dr. Andrew Huffman.
[01:33:32.780 --> 01:33:41.780]  This is the whistleblower of whistleblowers and so much the intel we got the last two and a half years came from him, but he was behind the scenes and went through incredible harassment now.
[01:33:41.780 --> 01:33:55.780]  He's got a book that is now out. The truth about Wuhan from Sky Horse destined to be a bestseller. How I uncovered the biggest lie in history, Dr. Andrew G Huff, former eco health alliance vice president and senior scientists.
[01:33:55.780 --> 01:34:06.780]  This is the guy that sent the document reports to the Senate committees. This is the guy that got massively harassed for it.
[01:34:06.780 --> 01:34:13.780]  And now he is standing tall, fighting harder than ever. So you were finishing up with the harassment, then let's get into what they don't want us to know.
[01:34:13.780 --> 01:34:20.780]  How you reverse engineered this, working in these labs, what you know they really did and where this is all going, Dr.
[01:34:20.780 --> 01:34:25.780]  Well, I didn't reverse an engineer anything and that's that's the whole stupidity of this situation.
[01:34:25.780 --> 01:34:30.780]  And this is what the book looks like for the people who want to buy it. Nice and shiny.
[01:34:30.780 --> 01:34:41.780]  You know, and it's sad that it got to this point. So the there are a number of peer reviewed publications that came out recently that look at this from like a Bayesian or statistical approach,
[01:34:41.780 --> 01:34:53.780]  which say what's the probability of this occurring in nature. And there is no chance as highly improbable as one in the billions that this would this could emerge from nature.
[01:34:53.780 --> 01:35:00.780]  Now, if you go back, then you look at some of the other publications that came out over the past year really since, you know, they started clamping down on me.
[01:35:00.780 --> 01:35:08.780]  So the funny part here is if they were to let me come forward a year ago, this story wouldn't have been as big because other scientists who did some great work,
[01:35:08.780 --> 01:35:21.780]  prove that certain aspects of the genetics of the SARS-CoV-2 virus had been patented by the likes of Moderna, NIH, and Dr. Ralph Beric.
[01:35:21.780 --> 01:35:28.780]  So think about this. They go out and they surveil and they look at scientists, look at the disease that's circulating the planet.
[01:35:28.780 --> 01:35:33.780]  Okay, after the emerges, and then they look at the genetics of it using something called BLAST.
[01:35:33.780 --> 01:35:42.780]  And then they find perfect matches to specific sequences that have also been patented back in 2015, 2014.
[01:35:42.780 --> 01:35:51.780]  And that tells you everything right there. It shows that the agent, SARS-CoV-2, and the medical countermeasure, the vaccine were co-developed together.
[01:35:51.780 --> 01:35:58.780]  And that's typically what happens in bio weapons programs. I get that question a lot. So they're like, you know, people ask me, is this a bio weapon?
[01:35:58.780 --> 01:36:06.780]  Well, not in the traditional sense. So when you want to use a bio weapon, if you're a state-sponsored actor or military, you want to use it to knock out, debilitate your enemy.
[01:36:06.780 --> 01:36:17.780]  And, you know, if this is a bio weapon, it's not a very good one, but it could be used for a new type of asymmetrical warfare, where it could be used to stoke fear, like in terrorism, or economically.
[01:36:17.780 --> 01:36:18.780]  I don't believe that...
[01:36:18.780 --> 01:36:22.780]  It could be used as the pretext for lockdowns and the great reset.
[01:36:22.780 --> 01:36:29.780]  Exactly. And why that's so interesting is that, you know, people come to me like, oh, this is all a big part of the master plan.
[01:36:29.780 --> 01:36:37.780]  Well, maybe some people had this as part of their master plan, but I don't think all the players were on board, and that's why they have this event 201.
[01:36:37.780 --> 01:36:49.780]  You know, one thing I talk about in the book is that the epidemiology of this disease is clear. This infectious disease emerged in late August or early September of 2019.
[01:36:49.780 --> 01:36:54.780]  That was months before the US government told everyone what was going on here.
[01:36:54.780 --> 01:36:59.780]  And I didn't do that work. Other scientists did that work, but I went and looked at it. It's excellent.
[01:36:59.780 --> 01:37:06.780]  And it was replicated in other people independently to different studies, which were correlated or validated the other people's work.
[01:37:06.780 --> 01:37:11.780]  So this is all rock solid scientists that had been done by science, by the global community.
[01:37:11.780 --> 01:37:14.780]  So, you know, a lot of scientists, you know, we weren't all bad, so almost really did the right thing.
[01:37:14.780 --> 01:37:24.780]  So give us the bottom line then. I mean, obviously it was made of a composite, a chimeric virus of a bunch of already patented strains. They've been lying about it.
[01:37:24.780 --> 01:37:31.780]  Senator Paul's on it. He's got your information. What do we need to know about this and where this is going?
[01:37:31.780 --> 01:37:37.780]  Well, I don't know where it's going. Hopefully, you know, I'm sending, you know, hopefully what happens is we're sending Dr. Anthony Fauci to prison.
[01:37:37.780 --> 01:37:50.780]  Hopefully we send Dr. Ralph Barrett to prison. I hope we send Dr. Dasek to prison, because that's where they all deserve to be. I mean, this is the biggest scam travesty that's ever happened to humanity.
[01:37:50.780 --> 01:37:56.780]  And I can understand why the Chinese government, the Communist Party, the US government tried to cover this up, because it's terrible.
[01:37:56.780 --> 01:38:05.780]  But if you want to have these key people making stupid decisions, one after another, just to fuel their own greed, we wouldn't have millions of deaths around the planet.
[01:38:05.780 --> 01:38:18.780]  We want to have these lockdowns. And the fact that our governments then go along with these globalist type people like the World Economic Foundation, Klaus Schwab, these maniacs, I mean, it's just insane.
[01:38:18.780 --> 01:38:26.780]  The whole premise of our freedoms being restricted and taken away to prevent this disease from spreading was ridiculous.
[01:38:26.780 --> 01:38:34.780]  And this is why I signed the Great Barrington Declaration early on. You know, I actually helped work on some of the national pandemic preparedness plans for different agencies.
[01:38:34.780 --> 01:38:41.780]  And they talked about lockdowns. We actually modeled and simulated these to see when you use them. And actually, it does make sense when they first came on site, we need to lock down for two weeks.
[01:38:41.780 --> 01:38:49.780]  That was actually part of the plan. But when they said we need to lock down for another 30 days, we need to lock down for another 60 days, we need to keep extending these emergency relief acts.
[01:38:49.780 --> 01:38:59.780]  It's all nonsense. And really what they've done is they've created a whole biomedical military industrial complex around this gain of function work, which is nonsense.
[01:38:59.780 --> 01:39:10.780]  And the medical countermeasure of a vaccine that doesn't work. And to explain this to your audience how I've come along and how I evolved, when this first came out, I was pro mRNA jabs.
[01:39:10.780 --> 01:39:17.780]  I said, everyone should go and get this. I trust the government. And then I started to see the histopathology data, the pathology reports coming out.
[01:39:17.780 --> 01:39:22.780]  And then that added with the fact that I read the clinical trial reports of the tests that they conducted.
[01:39:22.780 --> 01:39:30.780]  And it was clear that the jabs were not preventing transmission. In fact, they were causing the new variance to emerge.
[01:39:30.780 --> 01:39:36.780]  The more you jab people, the more variance you get. Then you get to the point where you realize, okay, well, this is having no impact.
