[00:00.000 --> 00:10.000]  Live from Austin, Texas broadcasting worldwide it's Alex Jones
[36:55.000 --> 36:59.000]  I've got a lot of family scarred watching their best buddies die
[36:59.000 --> 37:06.000]  I've had family that served one family member served eight tours off and on in Iraq and Afghanistan
[37:06.000 --> 37:12.000]  and if the IEDs don't get you the deadly spiders will they got spiders that are worse than black widows
[37:12.000 --> 37:18.000]  I mean it's crazy I'm not saying there isn't a Muslim extremist Muslim issue
[37:18.000 --> 37:22.000]  the point is is that our government the State Department and others look at Benghazi
[37:22.000 --> 37:28.000]  have been arming Taliban arming al Qaeda and letting them attack countries that are neutral
[37:28.000 --> 37:32.000]  or that aren't attacking the West to try to destabilize the Middle East
[37:32.000 --> 37:37.000]  all because Saudi Arabia is running al Qaeda and wants to take over
[37:37.000 --> 37:43.000]  meanwhile Iran is back in the news Iranian commander we have targets within America
[37:43.000 --> 37:48.000]  that's out of the daily caller directly from press TV with the Iranian commander saying
[37:48.000 --> 37:53.000]  they have sleeper cells in the West and can attack America and says we are strategically ignorant
[37:53.000 --> 38:00.000]  let me tell this top general something the people running America go to sleep every night
[38:00.000 --> 38:05.000]  this is one of their joint Jesus staff hoping some crazy jihadi does something
[38:05.000 --> 38:11.000]  that's why the FBI even in the New York Times had to admit out of a hundred stop terror attacks
[38:11.000 --> 38:16.000]  ninety plus of them were completely staged mentally ill people that the FBI went out
[38:16.000 --> 38:21.000]  and found and commanded they didn't go stop a group by infiltrating it
[38:21.000 --> 38:25.000]  they went and found them and created it so they can justify their jobs
[38:25.000 --> 38:31.000]  now the FBI doesn't even investigate white collar crime they said two weeks ago they fight terror
[38:31.000 --> 38:35.000]  that's because the countries run by white collar criminals they don't want them dealing with that
[38:35.000 --> 38:39.000]  they want them dealing with the terrorist and it's all a big excuse for a power grab
[38:39.000 --> 38:47.000]  so I talked in the last segment about the bad that there's the headline
[38:47.000 --> 38:54.000]  FBI drops law enforcement as primary mission and that was in the Associated Press a few weeks ago
[38:54.000 --> 39:00.000]  so the NFL's parasitic and tax exempt and gets taxpayer money to run security
[39:00.000 --> 39:07.000]  and gets taxpayer money to run PSAs you name it I mean it is a total joke
[39:07.000 --> 39:11.000]  I mean they'll take an old lady's house if she doesn't pay property taxes
[39:11.000 --> 39:15.000]  or if I don't pay the income taxes they'll come arrest me and there's no due process
[39:15.000 --> 39:19.000]  but these billionaires are tax exempt just like formula one
[39:19.000 --> 39:25.000]  because they pay the lobbyists and write the laws and it's wrong and it's a fraud and I'm sick of it
[39:25.000 --> 39:29.000]  false dreams most kids will never get to be professional sports
[39:29.000 --> 39:34.000]  police state promo to sell the police state to the NFL all the anti-gun stuff the Obamacare stuff
[39:34.000 --> 39:39.000]  makes the government out to be the heroes taking our rights the corruption the underage prostitutes
[39:39.000 --> 39:44.000]  the diversion from all the real world the fact that men are supposed to use sports like brain areas
[39:44.000 --> 39:49.000]  areas of the brain meant for strategy and war gaming you're supposed to learn how government works
[39:49.000 --> 39:53.000]  and how life works now business works and get into that and be competitive in business
[39:53.000 --> 39:59.000]  and be a trailblazer and our heroes are supposed to be adventurers and scientists
[39:59.000 --> 40:05.000]  and firefighters that go into burning buildings not sports people this is sick folks
[40:05.000 --> 40:08.000]  and authoritarians know that
[40:08.000 --> 40:13.000]  male soap opera arrested development again people only talk about sports nothing else
[40:13.000 --> 40:18.000]  use to suppress real male activities takes over than an area in the brain meant for planning
[40:18.000 --> 40:22.000]  and survival and war planning now let's get into the good
[40:22.000 --> 40:28.000]  sure government and social engineers and collectivist and leftist have tried to co-op sports
[40:28.000 --> 40:33.000]  for their anti-liberating message but they want to get rid of it they're banning sports
[40:33.000 --> 40:40.000]  in elementary all over the country wrestling dodgeball tag running don't run at recess
[40:40.000 --> 40:46.000]  don't run at sports ban football show overall they're already trying to get rid of football itself
[40:46.000 --> 40:51.000]  down the road when they're done using it so overall it's got some positive aspects to it
[40:51.000 --> 40:56.000]  in the way it used to be I'm not saying sports isn't incredibly healthy and good to get your
[40:56.000 --> 41:00.000]  kidneys going notice they're attacking they want metrosexual they hate the image of alpha male
[41:00.000 --> 41:05.000]  so NFL the rest of it very healthy from that perspective but they know we have a hunger for it
[41:05.000 --> 41:09.000]  so they piggyback and trojan horse all their disinfo on the top of it
[41:09.000 --> 41:14.000]  no guts no glory it shows you go 110% or don't play in the game of life same thing for business
[41:14.000 --> 41:20.000]  parenting all of it 110% it's easier to go all out than go halfway or 90% it's hard to go slow
[41:20.000 --> 41:25.000]  at least for me I I mean the secret is just get into it have fun learn that from my dad
[41:25.000 --> 41:29.000]  he's got a lot of fun doing this or cleaning the garage out or painting the house he'd
[41:29.000 --> 41:34.000]  have fun doing that's the secret said oh this is horrible this is terrible good you can
[41:34.000 --> 41:39.000]  admire that and admire the human spirit and say humans aren't junk look at what we can
[41:39.000 --> 41:43.000]  athletically do the globalist always telling us humans are bad at reading humans you know
[41:43.000 --> 41:48.000]  the too many of us blah blah blah work hard you get ahead number three sports good for
[41:48.000 --> 41:53.000]  kids and adults to play I'm all for sports if you're in it or you're watching your family
[41:53.000 --> 41:56.000]  they're trying to get rid of that with common core getting rid of a pluses and stuff because
[41:56.000 --> 42:00.000]  it hurts other people's feelings note there can't be winners and losers you got to know
[42:00.000 --> 42:05.000]  how to lose to know how to win folks so I'm all about winners and losers and that competition
[42:05.000 --> 42:09.000]  that's what makes us all great because being in the arena at least you're not those timid
[42:09.000 --> 42:13.000]  souls who were never in the arena that's how you learn how to win the best thing ever
[42:13.000 --> 42:17.000]  happened to me was being bullied a lot hundreds of times when I was in fifth sixth seventh
[42:17.000 --> 42:22.000]  eighth grade I turned into an absolutely badass let's continue here keeping competition
[42:22.000 --> 42:26.000]  alive as I just said they want to get rid of competition in the general public to make
[42:26.000 --> 42:30.000]  us all a bunch of corporate drones football especially is good to keep competition going
[42:30.000 --> 42:35.000]  I already mentioned schools banning sports and dodgeball teach the sportsman like conduct
[42:35.000 --> 42:40.000]  a lot of good stuff about it there you go if you know what's good about it it's good and
[42:40.000 --> 42:44.000]  demands that out of sports it's healthy but we just turn it over to Obama and the globalist
[42:44.000 --> 42:50.000]  to have anti-gun ads but not allow pro-gun ads and to push Obamacare and to push Obama
[42:50.000 --> 42:55.000]  I mean give me a break you got a boycott it at least speak out against it or you've turned
[42:55.000 --> 43:21.000]  it all over to the bad guys we'll be right back
[43:21.000 --> 43:36.000]  this
[43:36.000 --> 43:41.000]  FullWarsHealth.com. The site is literally packed with audio and video featuring top
[43:41.000 --> 43:45.800]  health professionals who don't bow down to big pharma. The fight against the New World
[43:45.800 --> 43:49.800]  Order starts with you and you can't stand against the machine of your sick, tired and
[43:49.800 --> 43:54.600]  obese when you visit FullWarsHealth.com. Be sure and check out the catalog with nearly
[43:54.600 --> 43:59.720]  400 life-changing products and get free shipping when you sign up for auto-ship.
[43:59.720 --> 44:04.680]  The facts are in. The studies are legion, sodium fluoride and other toxic members of
[44:04.680 --> 44:09.720]  the fluoride family are devastating the health and cognitive ability of the American people.
[44:09.720 --> 44:15.920]  So why are the social engineers adding it to the water? Simple. Dumb down the host population
[44:15.920 --> 44:20.720]  that the parasitic technocracy is feeding on. We may not have been able to get fluoride
[44:20.720 --> 44:25.240]  out of the water supply yet, but we can help to get it out of our bodies. I am extremely
[44:25.240 --> 44:31.240]  excited to announce the exclusive InfoWarsLife fluoride shield formulation. Using six of the
[44:31.240 --> 44:36.720]  best documented ingredients from around the world to help the body remove not just toxic
[44:36.720 --> 44:41.680]  fluoride residues from the body, but a whole host of toxic substances. Let's take a stand
[44:41.680 --> 44:46.520]  against the globalist by blocking their poisons with fluoride shield. I use fluoride shield
[44:46.520 --> 44:52.440]  every day. Secure your fluoride shield and other pioneering formulations at InfoWarsLife.com
[44:52.440 --> 44:57.600]  today. Let's start cleansing our bodies now and support the InfoWars at the same time.
[44:57.600 --> 45:02.400]  It's InfoWarsLife.com. Alex Jones here to tell you about how you can help spread liberty
[45:02.400 --> 45:07.440]  worldwide while also enjoying what I have found to be the best tasting 100% organic
[45:07.440 --> 45:11.800]  coffee on the planet. For more than a decade, my favorite coffee has come from the high
[45:11.800 --> 45:16.480]  mountains of southern Mexico where the Chiapas farmers grow their unique shade-grown Arabica
[45:16.480 --> 45:22.480]  beans. We have now managed to secure the sought-after beans in a highly customized blend. Discover
[45:22.480 --> 45:29.560]  and try a bag of the Patriot Blend 100% organic coffee at InfoWarsLife.com. This coffee gives
[45:29.560 --> 45:34.640]  you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other
[45:34.640 --> 45:39.160]  coffees give me personally. Hands down, this is my favorite coffee and it's taken us years
[45:39.160 --> 45:44.640]  to secure connections directly to the Chiapas Mexican farmers. Drop by the site today, order
[45:44.640 --> 45:48.600]  a bag or two, and I don't think you're going to be disappointed. Available in original
[45:48.600 --> 45:52.960]  or with our immune support Infusion Blend. You will be supporting a free press all the
[45:52.960 --> 45:59.680]  while enjoying a truly great tasting cup of my favorite coffee. Available at InfoWarsLife.com.
[45:59.680 --> 46:04.960]  Alex Jones here with a message to fellow freedom lovers. The prognosis for the entire planetary
[46:04.960 --> 46:10.600]  economic system runs from bad to worse. The globalist model is to shut down societies
[46:10.600 --> 46:15.400]  and starve patriots out until they acquiesce to the global takeover. That's why we've
[46:15.400 --> 46:21.360]  assembled the most vital and important preparedness items at InfoWarsLife.com. These are items
[46:21.360 --> 46:26.360]  that I did research on, that I personally use. You've got the life straw so you can
[46:26.360 --> 46:31.520]  turn fetid water into safe water anywhere you go. The K-Tor hand crank generator to
[46:31.520 --> 46:36.280]  charge up key equipment during power outages or out in the field. Strategic relocation
[46:36.280 --> 46:41.240]  third edition by Joel Scousum. When disaster strikes by Matthew Stein, they're a safe
[46:41.240 --> 46:45.880]  use by Homeland Security to protect yourself during any radiological event. Hand crank
[46:45.880 --> 46:51.200]  shortwave AMFM radios. Everything that we've researched and found to be the best is available
[46:51.200 --> 46:56.760]  at InfoWarsShop.com and your purchase makes our InfoWars possible. We're getting prepared.
[46:56.760 --> 47:00.760]  Are you InfoWarsShop.com?
[47:00.760 --> 47:12.640]  Coast to coast, direct from Austin. You're listening to the Alex Jones Broadcasting Network.
[47:12.640 --> 47:23.560]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[47:23.560 --> 47:28.840]  Here's my issue with professional sports. It's been hijacked by social engineers and
[47:28.840 --> 47:34.360]  people think they can only be number one on the field or by rooting for somebody on the
[47:34.360 --> 47:41.840]  field. Ladies and gentlemen, I came from nowhere on local access TV 18 years ago. And this
[47:41.840 --> 47:48.440]  broadcast is now a worldwide phenomenon. I now do weekly slots on the Howard Stern show,
[47:48.440 --> 47:52.760]  you name it. I mentioned that just to show how we're reaching out across the board, reaching
[47:52.760 --> 47:59.800]  more than 17 million people a week now. DrudgeReport.com, the mightiest website in the world, mightiest
[47:59.800 --> 48:04.800]  news site, links to us almost every two or three days. It's incredible and it's all because
[48:04.800 --> 48:09.920]  I'm dedicated. I do my research and I know what I'm talking about. I want to open the
[48:09.920 --> 48:19.480]  next hour up to your phone calls to have a discussion about sports and about propaganda
[48:19.480 --> 48:28.040]  in general. But bottom line folks, crank it up. Nobody rides for free. Don't ever think
[48:28.040 --> 48:31.960]  you're going to be a spectator your whole life and buy into something and that's going
[48:31.960 --> 48:36.480]  to make you successful. I can't tell you, almost everybody I know in Austin who's young
[48:36.480 --> 48:42.120]  is waiting to be a movie star or a rock star or a sports star and they're being used and
[48:42.120 --> 48:49.160]  fed on and they're working through the system when there's not even a slot for every thousand
[48:49.160 --> 48:55.240]  of them. When meanwhile the whole world's going on, elites always push sports and Hollywood
[48:55.240 --> 49:03.200]  and fads and diversions because they don't want you on the field of real life knowing
[49:03.200 --> 49:08.400]  how government works, knowing how lobbyists work, being involved, knowing how judges work,
[49:08.400 --> 49:13.760]  knowing how business works, knowing how talk radio works, knowing how media works. You
[49:13.760 --> 49:19.720]  start learning about that instead of football stats and baseball stats and basketball stats
[49:19.720 --> 49:24.600]  then it's over for the fractional reserve bankers. It's over for the new world order.
[49:24.600 --> 49:31.080]  You've got to pay to play. Bottom line ladies and gentlemen, you've got to pay into the
[49:31.080 --> 49:35.840]  research to be informed but instead, oh the average sports fan, look at that guy, he knows
[49:35.840 --> 49:41.520]  the ten bill of rights, look at that guy, he knows what a pump and dump is, look at that
[49:41.520 --> 49:46.320]  guy, oh my goodness, he's got a bunch of guns and knows how to use them. Oh, it's so kooky
[49:46.320 --> 49:51.280]  to have guns and know how to defend your family. It's so kooky. I'm supposed to just wear
[49:51.280 --> 49:56.120]  a jersey. They do a lot of video shoots for TV shows, Ventura show, Discovery shows, History
[49:56.120 --> 49:59.240]  Channel shows I've done and they'll fly me out to Vegas because they do shoots there
[49:59.240 --> 50:03.160]  because it's so inexpensive and I'm just watch these like big obese men, not that I'm in
[50:03.160 --> 50:06.800]  the best shape ever but I'm getting in better shape and I watch them waddling around these
[50:06.800 --> 50:10.360]  jerseys getting drunk and playing games all day and all they walk up and talk to you is
[50:10.360 --> 50:14.960]  about sports and I'm like, I'm waiting to go do a video shoot at a rocket base out in
[50:14.960 --> 50:19.600]  the mountains at an hour with a former Navy Seal and Governor of Minnesota. I don't say
[50:19.600 --> 50:23.120]  that to them but they're like, what do you think about the game coming up, where you
[50:23.120 --> 50:30.760]  got a bet on? And I'm just like, I don't know. It's like the knowledge they think is only
[50:30.760 --> 50:36.480]  about that. That's why I'm angry. Look, I'm not even against gay people folks but quite
[50:36.480 --> 50:42.400]  frankly, I am sick and tired of not being able to turn on a sitcom, a drama, a movie,
[50:42.400 --> 50:47.240]  a kid's show and not have it crammed down my throat. I mean, it makes me like, man,
[50:47.240 --> 50:56.400]  I am sick of this. I'm tired of your agendas in my life, Obama. Obama cares a screw job
[50:56.400 --> 51:00.720]  written by offshore corporations on record. Everybody's, the unions are going public.
[51:00.720 --> 51:04.760]  Everybody's finding out it doubles and triples everything, kicks sick kids off their coverage.
[51:04.760 --> 51:11.760]  It was in the bill. Where's team Democrat apologizing for that? By the way, they've
[51:11.760 --> 51:15.760]  co-opped the Republicans. The Republicans will never run anybody against a Democrat presidential
[51:15.760 --> 51:20.440]  candidate. The game is rigged. You know, I am into sports. I'm into knowing how heavy
[51:20.440 --> 51:24.400]  weight boxing's been rigged for 30 plus years. And by the way, you know why it's unpopular,
[51:24.400 --> 51:29.240]  it doesn't make a fraction of the money. People know it's rigged. So I'm here to tell you,
[51:29.240 --> 51:34.920]  like, let's get this week that the guy that wrote the best selling book on about the,
[51:34.920 --> 51:41.920]  we sell it to fixes in proving the NFL baseball basketball, especially is, is rigged. And it
[51:41.920 --> 51:47.320]  doesn't mean most of it's rigged, but in top games in playoffs with key players. Oh, you,
[51:47.320 --> 51:51.560]  you better believe when somebody just drops the ball for no reason or somebody does something
[51:51.560 --> 51:56.080]  that doesn't make sense at a key point. There's hundreds of millions being bet on that with
[51:56.080 --> 52:01.840]  the mafia folks and it's rigged. That's another issue of why I'm sick of professional sports.
[52:01.840 --> 52:08.520]  I'd rather watch people in real, you know, security cam fistfights. There's millions
[52:08.520 --> 52:13.080]  of thousands of those videos, probably hundreds of thousands of them. I'd rather go watch,
[52:13.080 --> 52:16.840]  I'd rather go play putt, butt golf with my buddies and bet 10 bucks than sit there and
[52:16.840 --> 52:21.280]  watch someone else play a sport. I'd rather go play golf and get my butt kicked with my
[52:21.280 --> 52:27.040]  buddies than go watch someone play golf. I'm sick of watching everyone. I want to live.
[52:27.040 --> 52:33.160]  I want to do it. I want to be on the field. I want you to be on the field. Get on the
[52:33.160 --> 52:37.240]  field right now. Give me your take on professional sports. Put down the Jack Daniels and give
[52:37.240 --> 52:43.800]  us a call. Your calls are coming up in the next hour. 877-789-2539 is the Sunday show.
[52:43.800 --> 52:50.000]  We produce the entire show here Sundays. And if the American people started getting one
[52:50.000 --> 52:56.240]  tent the focus they have on liberty and freedom and prosperity and our basic rights and realizing
[52:56.240 --> 53:01.120]  those are being stolen from us. If we started taking it personal, like Peyton Manning would
[53:01.120 --> 53:08.360]  take it personal if one of his receivers ran the wrong route. I mean, when I watch Obama
[53:08.360 --> 53:13.680]  do something unconstitutional and become a dictator on guns, borders, Obamacare, military
[53:13.680 --> 53:20.680]  actions, I get upset 100 times what Peyton Manning would get upset if one of his wide
[53:20.680 --> 53:28.040]  receivers ran the wrong route. That's my part of the brain that cares about my freedom
[53:28.040 --> 53:36.520]  that my forebears killed a lot of people for and died for. My forebears, 16, 20 Mayflower,
[53:36.520 --> 53:42.440]  1775 involved in that. Texas Revolution, you name it, whole nine yards. I mean, if I got
[53:42.440 --> 53:46.800]  into my family in the Texas Revolution, it's sick. But see, I'm not going to live on their
[53:46.800 --> 53:55.400]  laurels. I'm here doing this now, you notice. Okay? You understand that? I'm not going to
[53:55.400 --> 53:58.960]  just sit there and look back on my ancestors and say, I've got incredible ancestors. I
[53:58.960 --> 54:03.400]  won't even get into it. It sounds like I'm bragging. I'm going to make history now in
[54:03.400 --> 54:08.160]  the game of life. You understand that? And I take this all real serious to the point
[54:08.160 --> 54:13.120]  that if I get so focused and so angry and so upset, I spin out like a NASCAR pushing
[54:13.120 --> 54:18.520]  too many RPMs. But at least I'm trying, folks. And that's what matters in the final equation.
[54:18.520 --> 54:26.080]  Here's the toll-free number to join us. 877-789-ALEX. 877-789-2539. We're talking about sports
[54:26.080 --> 54:31.440]  being propaganda vehicles. Why is it a propaganda vehicle? Because it's human competition. It's
[54:31.440 --> 54:38.000]  so good. It's so natural. It's so wholesome. It's something that's in us to compete. But
[54:38.000 --> 54:42.560]  out of your child, the bully starts a fight with them and they punch them back. The person
[54:42.560 --> 54:46.880]  that fights back now gets in more trouble first in England now here because the government
[54:46.880 --> 54:51.920]  doesn't want you to be strong. Feminism says, don't have women with guns. Let them hide
[54:51.920 --> 54:59.040]  behind 10 locks and get raped. No, my real feminism is teaching my daughters how to shoot.
[54:59.040 --> 55:03.720]  That's what it's all about in this life, ladies and gentlemen, is this system wants us domesticated
[55:03.720 --> 55:09.360]  on a couch, watching other men. Oh, and cops, they can be men. They can be alpha males,
[55:09.360 --> 55:14.560]  but we can't and protect ourselves. See, only specialized government people can. That's
[55:14.560 --> 55:21.640]  what I'm getting angry at. What did Vince Lombardi, you know, icon of the NFL say? Winners never
[55:21.640 --> 55:27.240]  quit and quitters never win. Am I getting that quote right? And that's what it comes
[55:27.240 --> 55:30.800]  down to. Well, I'm not quitting for America. I'm not quitting for sovereignty. I'm not
[55:30.800 --> 55:37.400]  quitting on humanity deciding we're all jokes. Winning is not something. It's an all time
[55:37.400 --> 55:42.680]  thing. You don't win once in a while. You don't do things once in a while. You do them
[55:42.680 --> 55:49.160]  right all the time. Winning is a habit. Unfortunately, so is losing. That's right. So I'm going
[55:49.160 --> 55:53.720]  to be on the radio tonight on coast to coast AM for two hours. Then I'm going to be up
[55:53.720 --> 55:57.840]  in the morning at AM with my personal trainer working out. And then I'm going to be on the
[55:57.840 --> 56:01.360]  radio for three hours tomorrow. And then I'm going to be with my family. And when I'm my
[56:01.360 --> 56:05.600]  kids go to sleep, I'm going to be back researching and finding out what I'm talking about the
[56:05.600 --> 56:11.680]  next day. And all you losers want to tell me I'm weird because I know how the world works
[56:11.680 --> 56:15.280]  and I'm weird because I know how to predict things and I'm weird because I'm informed.
[56:15.280 --> 56:19.760]  Ask yourself how it became a conspiracy theory to say keep your government small and on a
[56:19.760 --> 56:25.040]  short leash because like fire, it's a dangerous servant and a fearful master. It's not weird
[56:25.040 --> 56:31.760]  to quote George Washington. It's not weird to know what made us free. It's not weird
[56:31.760 --> 56:37.720]  to know who our enemies are. People like George Soros. I'm on a team of Liberty lovers worldwide
[56:37.720 --> 56:45.200]  who want the spirit of 1776 on a planetary scale versus the spirit of 1984. And I'm taking
[56:45.200 --> 56:50.800]  action and I believe in you. And that's what this is all about. So let's get that straight.
[56:50.800 --> 56:54.040]  I don't know what it is about sports broadcasters when I go on their shows or see them in the
[56:54.040 --> 56:57.400]  street. They're the ones that always make the joke at me and look at me like I'm a pile
[56:57.400 --> 57:01.800]  of crap because I don't know all the sports scores. Hey, sorry, buddy. I'm busy conquering
[57:01.800 --> 57:06.360]  the world for freedom. I'm too busy making world history. I'm too busy taking action.
[57:06.360 --> 57:12.000]  I'm too busy being informed. And if your candy butt knew about all that stuff, you might
[57:12.000 --> 57:17.200]  be more successful. I'm sorry as a little man, you want to look at me in the real game
[57:17.200 --> 57:21.840]  of life and say I'm a failure. The truth is my world's bigger than sports. The truth
[57:21.840 --> 57:26.120]  is my world's bigger than what the government tells me I should watch and what I should
[57:26.120 --> 57:31.120]  do. I read Obamacare Bill. I told you what it was going to do. And now it's all come
[57:31.120 --> 57:35.320]  true like we told you because I didn't know the football plays and I didn't know what
[57:35.320 --> 57:40.440]  color the jerseys were. I knew what was happening on the real game grid on this planet in deep
[57:40.440 --> 57:45.360]  space orbiting that star. We'll be back with the second hour. Tell your friends to tune
[57:45.360 --> 57:54.400]  in. It's Super Bowl 48. In the last 50 years, iodine has been phased out of our staple foods
[57:54.400 --> 58:00.680]  and replaced with the halogen bromine, a practice now banned in nations around the world. Guess
[58:00.680 --> 58:06.560]  what else is in the halogen family? Fluoride. Ladies and gentlemen, Alex Jones here in 1924.
[58:06.560 --> 58:12.080]  The federal government did the right thing and encouraged salt producers to add iodine.
[58:12.080 --> 58:17.920]  It's the good halogen on the periodic table and the results are on record. Reports documented
[58:17.920 --> 58:24.640]  a 15-point IQ increase in areas that had previously been deficient in iodine. Bottom line, iodine
[58:24.640 --> 58:31.040]  is important. Unbound, clean, in a glycerin base, nascent iodine was the answer for myself
[58:31.040 --> 58:37.520]  and my family. You will find Survival Shield nascent iodine exclusively at InfowarsLife.com.
[58:37.520 --> 58:43.320]  InfowarsLife Survival Shield nascent iodine isn't just for emergencies. I take it every
[58:43.320 --> 58:51.920]  day. That's InfowarsLife.com or call toll-free 888-253-3139. Introducing Pro 1. All of your
[58:51.920 --> 58:57.480]  filtration in one system, portable on the go. No more do you have two or three filters
[58:57.480 --> 59:02.200]  to just reduce sodium fluoride. You have a system that cuts out the sodium fluoride
[59:02.200 --> 59:08.400]  and up to 95% of hydrofluorosilic acid. Advanced manufacturing technology combines silver
[59:08.400 --> 59:14.240]  impregnated white ceramic with new aqua medics advanced media for removal of fluoride and
[59:14.240 --> 59:19.080]  other heavy metals all in one filter element. It is the only one that does it and out of
[59:19.080 --> 59:24.720]  the gates. We have it discounted at 10% off with promo code water. This is the only system
[59:24.720 --> 59:32.880]  that in one unit helps reduce or remove pesticides, herbicides, chloramides, ammonia, and chlorine,
[59:32.880 --> 59:37.320]  hydrofluorosilic acid, the most common form of fluoride not covered by other fluoride
[59:37.320 --> 59:43.160]  filter brands, and sodium hexafluorosilicate. Get your Pro Pure with the new Pro 1 filters
[59:43.160 --> 01:00:01.640]  today at infowarstore.com or by calling 888-253-3139.
[01:00:01.640 --> 01:00:08.360]  From his central Texas command center deep behind enemy lines, the information war continues.
[01:00:08.360 --> 01:00:15.360]  It's Alex Jones and the GCN Radio Network.
[01:00:15.360 --> 01:00:21.360]  Well, I went into a full bore rant earlier. I want to reconquer the world for liberty
[01:00:21.360 --> 01:00:25.360]  from the parasites, those that want to deceive and bring humanity down. I want to empower
[01:00:25.360 --> 01:00:29.680]  humanity. Got a bunch of news coming up as well at the bottom of the hour, but right
[01:00:29.680 --> 01:00:33.600]  now let's go to your phone calls. Timothy in Virginia, you're on the air. My brother,
[01:00:33.600 --> 01:00:34.600]  go ahead.
[01:00:34.600 --> 01:00:40.320]  Hey, Alex. Hey, Alex. I just want to know, do you think it's possible for people to be
[01:00:40.320 --> 01:00:45.320]  able to still follow sports and then also know what's going on in the world around them
[01:00:45.320 --> 01:00:46.820]  to know about Goldberg?
[01:00:46.820 --> 01:00:50.840]  Absolutely. Absolutely. Look, look, look. If you're already informed and involved in
[01:00:50.840 --> 01:00:56.480]  doing something for liberty and you want R&R, everybody needs R&R. All work and no play
[01:00:56.480 --> 01:01:00.680]  makes Jack a dull boy. That's why I've always boycotted it for years and I've been boycotting
[01:01:00.680 --> 01:01:03.800]  because all the anti-gun stuff, but I'm going to go to Super Bowl Party tonight. That way
[01:01:03.800 --> 01:01:08.240]  I can report on it properly tomorrow and see if there's another fake power outage or whatever,
[01:01:08.240 --> 01:01:13.640]  you know, like they had last year. But it's just that you're conscious that there's messages
[01:01:13.640 --> 01:01:18.440]  of manipulation. I'm talking about the general public that if you tell them they're being
[01:01:18.440 --> 01:01:20.560]  propagandized, they laugh at you.
[01:01:20.560 --> 01:01:25.920]  Oh, yeah. No, I've got friends that they're just, they're not like people say awake about
[01:01:25.920 --> 01:01:31.400]  what's going on around them. They're just drinking their fluoride sodas and eating their GMO
[01:01:31.400 --> 01:01:35.960]  food and watching the sports and not knowing even, even really what's going on with the
[01:01:35.960 --> 01:01:40.000]  sports they're watching. At the same time, I'm looking at them like they're crazy. Look
[01:01:40.000 --> 01:01:45.480]  at me like I'm the one that's got two heads. I mean, it's just crazy world we live in.
[01:01:45.480 --> 01:01:51.040]  Who do you think is going to win the Broncos or the Seahawks?
[01:01:51.040 --> 01:01:55.480]  Well, the corporate interest. They're going to be the ones that actually win the owners.
[01:01:55.480 --> 01:01:59.360]  I mean, and that's really what it is. I mean, that was the trick question. Absolutely. I
[01:01:59.360 --> 01:02:06.120]  know the winner and it's really the corporate bosses. That's right. The tax exempt.
[01:02:06.120 --> 01:02:11.760]  Police state. That's just going to win. I mean, really, that's all it really comes down
[01:02:11.760 --> 01:02:17.040]  to is it's not the teams that win the cities lose. And that's one thing that's bothered
[01:02:17.040 --> 01:02:18.040]  me.
[01:02:18.040 --> 01:02:22.560]  And they win every time. I mean, it's like, if all the cities said no to Formula One,
[01:02:22.560 --> 01:02:26.440]  they would still build a track. They would pay for it. And instead of making, you know,
[01:02:26.440 --> 01:02:30.720]  over the next decade, two billion off the local track, they'd only make a billion.
[01:02:30.720 --> 01:02:37.160]  Yeah, they're just they're really just they're they're raping cities and the raising taxes.
[01:02:37.160 --> 01:02:41.920]  Like you mentioned, Jerry Jones and their and they're staying down there in Dallas.
[01:02:41.920 --> 01:02:46.440]  And what they moved it to the next city, they moved it from Arlington over there, wherever
[01:02:46.440 --> 01:02:50.760]  they are now. And that's happened all the time, trying to bring a, you know, talk about
[01:02:50.760 --> 01:02:55.560]  sports, trying to bring a football state into LA and taxes are sky high in California. I
[01:02:55.560 --> 01:03:00.480]  mean, people are leaving California, trying to bring more football stadiums out there.
[01:03:00.480 --> 01:03:07.600]  I mean, look what they speaking about stadiums, you still you have Minnesota, they're trying
[01:03:07.600 --> 01:03:11.320]  to build a stadium there. They're taking money to start from those people's pockets to build
[01:03:11.320 --> 01:03:16.440]  another stadium. What's wrong with stadium there already had? I mean, I just I don't
[01:03:16.440 --> 01:03:17.440]  understand.
[01:03:17.440 --> 01:03:21.000]  No, it's all a boondoggle. It's all a scam. And they've set the precedent to get away
[01:03:21.000 --> 01:03:25.360]  with it over and over again. But I've seen the statistics. Not one of these stadiums
[01:03:25.360 --> 01:03:30.760]  was in the last 30 years was ever paid for by the owners. And it's just all a big disgusting
[01:03:30.760 --> 01:03:36.360]  mafia who now we're going to have anti gun messages and pro-Obamacare. I mean, I'm done
[01:03:36.360 --> 01:03:39.680]  with it. I'm sick of it. Great points. Good to hear from you. We're going to go to break
[01:03:39.680 --> 01:03:48.040]  and go to Michael, Andrew Scott, Corey, Brad, Hunter, Julio, Jeff, Ron, Jerry and others.
[01:03:48.040 --> 01:03:53.080]  Your calls are coming up. And just have your point ready. I'm going to go to the next person.
[01:03:53.080 --> 01:03:58.360]  But yeah, no, no, new listeners tune in every minute. I should come in at the start of the
