[00:00:03.860 --> 00:00:05.200]  We're live!
[00:27:59.642 --> 00:28:25.991]  Pedophile movement and the left pushing that not just here but all over the world including government spy agencies involved pushing the LGBTQP operation and then of course we also have a lot of news on the economy and something I talked about a few years ago when Biden got in because I watched the policy changes and I watched the legislation they passed that Republicans by the way went along with many of them
[00:28:27.930 --> 00:28:42.281]  To hire 86,000 new IRS agents, and specifically in the legislation, it said to target people depositing in a year's period $600 or more.
[00:28:42.281 --> 00:28:49.446]  Well, now we've got the numbers after the policy went into effect the last year and a half, and guess who the IRS was targeting?
[00:28:49.446 --> 00:28:51.227]  The poorest Americans.
[00:28:51.227 --> 00:28:52.708]  This is truly evil.
[00:28:52.708 --> 00:28:53.709]  We'll be right back.
[00:28:53.709 --> 00:28:55.130]  InfoWars.com.
[00:28:55.130 --> 00:28:56.091]  Tomorrow's news today.
[00:28:59.437 --> 00:29:04.218]  Taping this important announcement on the afternoon of Thursday, January 5th, 2023.
[00:29:04.218 --> 00:29:12.820]  And that means you've only got four days to act if you want to get Vitaminal Fusion and DNA Force Plus both at 50% off.
[00:29:12.820 --> 00:29:17.222]  Next Monday, the products are going back to full price because they're close to selling out.
[00:29:17.222 --> 00:29:19.482]  We won't have more back in stock for months.
[00:29:19.482 --> 00:29:22.383]  Everybody should be on Vitaminal Fusion and DNA Force Plus.
[00:29:22.803 --> 00:29:26.986]  Just look at DNA Force Plus with the PQQ and the CoQ10 and so much more.
[00:29:26.986 --> 00:29:35.391]  Documented to clean out your cells, your mitochondria, take your immune system to the next level, and even have your telomeres, that's your DNA, last longer.
[00:29:35.391 --> 00:29:38.973]  This is the opposite of what the Globulus are doing with their poison shots.
[00:29:38.973 --> 00:29:42.275]  This is actually giving your body the tools it needs to regenerate.
[00:29:42.695 --> 00:29:47.241]  Get DNA Force Plus and Vitaminal Fusion for a limited time for 50% off.
[00:29:47.241 --> 00:29:52.207]  You've got until next Monday and your purchase supports the broadcast.
[00:29:52.207 --> 00:29:53.148]  Keep us on air.
[00:29:53.148 --> 00:29:57.032]  Please take action now for your own wellness and your own health and keep us on air.
[00:29:57.032 --> 00:29:58.334]  Info or store.com.
[00:30:00.350 --> 00:30:07.278]  The powerful combination of both vitamin C and zinc are great stepping stones to leading a healthier life.
[00:30:07.278 --> 00:30:13.185]  InfoWars has made it easier to make sure you are getting enough in your system with a supplement that contains both.
[00:30:13.185 --> 00:30:19.533]  This InfoWars Life Offering Vitamin C Plus Zinc with Rose Hips should be your next purchase from the InfoWars store.
[00:30:19.853 --> 00:30:27.079]  The rose hips contained within are a part of the rose flower just below the petals that contain the rose plant seeds.
[00:30:27.079 --> 00:30:37.348]  Natural chemicals found in the hips may even be helpful for a variety of health conditions, including those with osteoarthritis and for those with pain after surgery, studies have shown.
[00:30:37.768 --> 00:30:46.776]  As for vitamin C and zinc themselves, you probably already know that they play an important role in nutrition, immune defense, and the maintenance of your everyday health.
[00:30:46.776 --> 00:30:53.362]  It has been reported that intake of both is often inadequate, even in affluent populations like here in America.
[00:30:53.362 --> 00:30:59.567]  So next time you visit, be sure to check it out at InfoWarsStore.com, where we promise our rose hips don't lie.
[00:30:59.827 --> 00:31:01.489]  You want to beat the New World Order?
[00:31:01.489 --> 00:31:03.351]  You want to stop their globalist agenda?
[00:31:03.351 --> 00:31:11.439]  Well, so do I. And I've been the most effective individual in the fight against the globalists, and I've got their number, and I know how to bring them down.
[00:31:11.439 --> 00:31:15.583]  But ladies and gentlemen, I can't do it without your support.
[00:31:15.583 --> 00:31:18.246]  And the good news is, we're only under about $200,000 a month.
[00:31:20.128 --> 00:31:24.791]  The bad news is the enemy is intensifying their attacks on every front, but I'm not going to back down.
[00:31:24.791 --> 00:31:26.813]  And I'll never give up, but I could give out.
[00:31:26.813 --> 00:31:28.634]  So please, keep me on the field.
[00:31:28.634 --> 00:31:33.837]  Keep me on the front lines against the enemy, while getting great products at the same time that will empower you and your family.
[00:31:33.837 --> 00:31:38.600]  InfoWarsTore.com with the best supplements and more, or just make a straight donation.
[00:31:38.600 --> 00:31:45.025]  Big red banner at the top of InfoWarsTore.com, and that way all the money goes towards the fight, not part of it going towards product cost.
[00:31:45.285 --> 00:31:46.786]  But I thank you all for your support.
[00:31:46.786 --> 00:31:51.209]  Please commit now to go to InfoWareStore.com and get great products and make donations.
[00:31:51.209 --> 00:31:52.170]  I thank you for your support.
[00:31:52.170 --> 00:31:53.371]  Now take action!
[00:31:53.371 --> 00:31:56.133]  The globalists are counting on you not taking action!
[00:32:00.612 --> 00:32:04.535]  Ladies and gentlemen, a very exciting development has just taken place.
[00:32:04.535 --> 00:32:13.421]  I want to encourage you all to go to InfoWarsTore.com and check it out for yourself because it is a very strong, high-quality formula.
[00:32:13.421 --> 00:32:18.484]  Down-and-out sleep support, liquid, it's very fast-acting, take it under the tongue.
[00:32:18.484 --> 00:32:26.749]  It's got a very good dose of melatonin, passionflower, valerian root extract, lemon balm, and German chamomile.
[00:32:26.749 --> 00:32:30.292]  All of these compounds are documented on record to help give you deeper,
[00:32:30.832 --> 00:32:37.216]  Cleaner, healthier sleep, and that is one of the biggest game changers out there with all the stress we have in this world.
[00:32:37.216 --> 00:32:40.298]  And we've got some other great sleep aids as well, and they're excellent.
[00:32:40.298 --> 00:32:41.699]  They're all different formulas.
[00:32:41.699 --> 00:32:45.801]  But this one is particularly the strongest one we have.
[00:32:45.801 --> 00:32:51.084]  So Down and Out, sold out for more than five months, is now back available at InfoWarstore.com.
[00:32:51.084 --> 00:32:58.869]  So get better, deeper rest, boost your immune system, and support the InfoWar with Down and Out Sleep Support at InfoWarstore.
[00:33:01.914 --> 00:33:13.057]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones!
[00:33:13.057 --> 00:33:20.860]  Waging war on corruption, it's Alex Jones, coming to you live from the front lines of the Infowar.
[00:33:28.424 --> 00:33:30.126]  All right, I'm gonna have to move fast.
[00:33:30.126 --> 00:33:32.548]  I've got more than 40 articles and documents here.
[00:33:32.548 --> 00:33:39.315]  I want to show TV viewers, and I want to mention to radio listeners, a lot of this information is on Infowars.com.
[00:33:39.315 --> 00:33:48.425]  So if you're a radio listener, you can just write down what I say, and just search engine it, and you will be able to find it, even on places like Google.
[00:33:48.425 --> 00:33:50.787]  But I'd use DuckDuckGo or even Bing.
[00:33:52.128 --> 00:33:54.929]  Microsoft owns, it's a lot better than Google.
[00:33:54.929 --> 00:34:03.074]  Google is a broken search engine by design, but you can still get some information if you have the exact correct search term.
[00:34:03.074 --> 00:34:06.135]  So let's go over this.
[00:34:06.135 --> 00:34:08.937]  So a bunch of big smoking guns today.
[00:34:08.937 --> 00:34:10.598]  Smoking gun number one.
[00:34:11.690 --> 00:34:16.551]  COVID infection rates higher among vaccinated Australian government data shows.
[00:34:16.551 --> 00:34:34.395]  Now it's the exact same numbers, basically the same numbers in every country that rolled out these experimental mRNA shots that China and Russia and a bunch of other countries refused to take or even let in the nation because they're not vaccines.
[00:34:34.395 --> 00:34:37.896]  We have all statistics and numbers on that, we're going to go over it.
[00:34:37.896 --> 00:34:41.037]  Then we've got this article on InfoWars.com by Jamie White
[00:34:41.952 --> 00:34:47.894]  He wrote yesterday that I'm going to have moved back to the top or into the live show feed article.
[00:34:47.894 --> 00:34:56.657]  Covid PsyOp exposed network of doctors who pushed masking lockdowns on Twitter during pandemic don't exist.
[00:34:56.657 --> 00:35:02.819]  Now, this is something that has been pointed out by several newspapers that have now discovered it.
[00:35:02.819 --> 00:35:04.520]  But they're asking who's doing it.
[00:35:04.520 --> 00:35:06.120]  Well, we went and tracked it back.
[00:35:06.120 --> 00:35:07.201]  We know who's behind it.
[00:35:08.021 --> 00:35:11.104]  In fact, they told us almost three years ago who was doing it.
[00:35:11.104 --> 00:35:24.237]  Intelligence agencies and our own Defense Department in unison with the Defense Departments of the Ministries of Defense of Israel, New Zealand, Australia, the EU, Canada.
[00:35:24.237 --> 00:35:25.198]  The list goes on and on.
[00:35:25.198 --> 00:35:28.422]  I'm going to show you the actual documents, but if you go to
[00:35:29.468 --> 00:35:35.211]  Jamie White's article, it's just full of dozens of links and screenshots of the prior admissions.
[00:35:35.211 --> 00:35:42.874]  So when we say this is government-sponsored brainwashing and disinformation, it's not our opinion, it's a fact.
[00:35:42.874 --> 00:35:45.515]  COVID PSYOP exposed.
[00:35:45.515 --> 00:35:53.298]  Network of doctors who pushed masking lockdowns on Twitter during pandemic don't exist.
[00:35:53.298 --> 00:35:56.920]  Think about that.
[00:35:56.920 --> 00:35:58.761]  Now, let's get into the actual documents.
[00:35:59.875 --> 00:36:03.697]  This is out of the Times of London.
[00:36:03.697 --> 00:36:06.938]  This is from a year and a half ago.
[00:36:06.938 --> 00:36:13.200]  Army spies to take on anti-vax militants.
[00:36:13.200 --> 00:36:15.041]  And headlines, London Telegraph.
[00:36:15.041 --> 00:36:25.766]  Government used fear, mind control to brainwash public into masking, social distancing, lockdowns and shots.
[00:36:25.766 --> 00:36:26.486]  Gotta go read.
[00:36:27.836 --> 00:36:39.519]  His article about it, because it links to so many of the examples of what you call crisis actors, completely fake people, posting fake videos, reading scripts.
[00:36:39.519 --> 00:36:40.819]  But I'm an ER doctor!
[00:36:40.819 --> 00:36:41.779]  I'm a heart surgeon!
[00:36:41.779 --> 00:36:44.000]  I'm a... These shots are totally safe!
[00:36:44.000 --> 00:36:45.680]  Oh!
[00:36:45.680 --> 00:36:47.601]  On and on and on and on.
[00:36:49.705 --> 00:36:51.706]  All run by big corporate PR firms.
[00:36:51.706 --> 00:36:53.848]  You know who else was involved in this?
[00:36:53.848 --> 00:37:00.832]  Sam Bateman Freed and his company put hundreds of millions of dollars the last three years into all of this.
[00:37:00.832 --> 00:37:04.994]  So we could spend an entire hour just on that.
[00:37:04.994 --> 00:37:07.756]  But talk about smoking gun.
[00:37:07.756 --> 00:37:08.676]  That's what this is.
[00:37:08.676 --> 00:37:12.819]  It's a military industrial complex information warfare operation.
[00:37:13.746 --> 00:37:18.409]  You see Dr. Robert Malone, the inventor of mRNA, going out giving speeches everywhere, making that point.
[00:37:18.409 --> 00:37:21.672]  I'm glad he's bringing this up because it is a really big deal.
[00:37:21.672 --> 00:37:24.834]  Of course, you got it here almost three years ago.
[00:37:24.834 --> 00:37:29.537]  In late January, you got the whole story before it happened about what was going to happen.
[00:37:29.537 --> 00:37:32.299]  People go back and watch those shows and they go, is this even real?
[00:37:32.299 --> 00:37:34.461]  How the hell did he know all this?
[00:37:34.461 --> 00:37:37.203]  Because I'm studying what they're doing.
[00:37:37.203 --> 00:37:38.944]  And they put it in the legislation.
[00:37:40.250 --> 00:37:47.313]  They had it in legislation 12 years ago, 13 years ago, and UN plans for everything we just watched the last three years.
[00:37:47.313 --> 00:37:51.695]  They've been drilling and preparing and getting ready.
[00:37:51.695 --> 00:37:54.556]  Adam Carolla went on Fox and made a great point.
[00:37:54.556 --> 00:38:07.621]  He's not ready to give amnesty to the people that suppressed nutraceuticals, that suppressed therapeutics, that locked our kids down and hurt them so bad, and knew the masks didn't work, but lied to the public and pushed these poison shots that erase your immune system.
[00:38:09.028 --> 00:38:09.669]  No.
[00:38:09.669 --> 00:38:10.750]  We're not giving them amnesty.
[00:38:10.750 --> 00:38:12.231]  They committed crimes against humanity.
[00:38:12.231 --> 00:38:13.933]  Plus, they're not stopping.
[00:38:13.933 --> 00:38:17.497]  They're still pushing more lockdowns and more forced injections.
[00:38:17.497 --> 00:38:22.902]  The Congress passed the new defense authorization saying you can't make troops take an experimental shot, cutting the funding.
[00:38:22.902 --> 00:38:24.063]  That's what Congress is supposed to do.
[00:38:24.063 --> 00:38:25.685]  It's their most effective power.
[00:38:25.685 --> 00:38:29.168]  Power the purse string.
[00:38:29.168 --> 00:38:29.929]  And guess what happened?
[00:38:33.715 --> 00:38:36.556]  The Navy said, we don't care what Congress says.
[00:38:36.556 --> 00:38:43.458]  Well, they should have their commissions removed, those admirals following Biden's criminal orders.
[00:38:43.458 --> 00:38:48.260]  But here's Adam Carolla saying he's not ready to grant pandemic amnesty to journalists and experts.
[00:38:49.517 --> 00:38:51.118]  They have no reverse gear.
[00:38:51.118 --> 00:38:53.439]  They don't know how to just sort of back off.
[00:38:53.439 --> 00:38:58.641]  A lot of them like to reconstruct history and go, what's wrong with having a difference of opinion?
[00:38:58.641 --> 00:39:02.983]  No, you're trying to cancel people who thought differently than you.
[00:39:02.983 --> 00:39:10.066]  I sent a tweet out two and a half years ago that said this is killing old people and sick people and the rest of you.
[00:39:10.646 --> 00:39:11.627]  Got played.
[00:39:11.627 --> 00:39:13.808]  And who's getting played next time?
[00:39:13.808 --> 00:39:16.170]  And I was pilloried for that.
[00:39:16.170 --> 00:39:19.552]  And I had some celebrity friends call me and say, take the tweet down.
[00:39:19.552 --> 00:39:23.455]  And I said, no, I'm not taking it down because I'm right.
[00:39:23.455 --> 00:39:29.479]  The people that attacked everyone who turned out to be right need to be punished at this point.
[00:39:29.479 --> 00:39:33.462]  I'm not talking about setting the grandma's Winnebago on fire.
[00:39:33.462 --> 00:39:34.423]  I'm talking about
[00:39:35.063 --> 00:39:40.488]  Called out in the public square and told they were wrong repeatedly.
[00:39:40.488 --> 00:39:41.989]  They want to turn the page.
[00:39:41.989 --> 00:39:53.459]  They want to shut down schools, ruin kids, get people deplatformed, fired, disgraced amongst other colleagues, and now, oops, we were wrong, we'll turn the other cheek and turn the page.
[00:39:53.459 --> 00:39:55.540]  No, that's not how life works.
[00:39:55.540 --> 00:39:59.824]  You were wrong, you bet on the Super Bowl, you bet big, and you lost.
[00:39:59.824 --> 00:40:00.645]  Now it's time to pay.
[00:40:01.752 --> 00:40:18.755]  You know, I like Adam Carolla a lot, but here's where he falls down, and here's where people like Jordan Peterson do as well, because driving to Big Bend, eight hours, driving back eight hours, I listen to a bunch of podcasts, and I listen to Adam Carolla, and I listen to Jordan Peterson.
[00:40:18.755 --> 00:40:30.698]  And Jordan Peterson, I'll talk about this next hour, he would go through all the evidence of cutting energy off doesn't work and kills people, and all the communism doesn't work, and the shots don't work, but
[00:40:31.860 --> 00:40:34.544]  They just don't know better.
[00:40:34.544 --> 00:40:35.485]  They're just stupid.
[00:40:35.485 --> 00:40:37.488]  They just don't understand.
[00:40:37.488 --> 00:40:38.509]  No.
[00:40:38.509 --> 00:40:41.413]  They developed and created the virus.
[00:40:41.413 --> 00:40:46.760]  They made the vaccine, the so-called vaccine, before they ever released the virus, on the record.
[00:40:46.760 --> 00:40:48.262]  I'll cover it next hour and show the evidence.
[00:40:49.304 --> 00:40:57.807]  And then they suppressed everyone about the Origin Day 1 and Therapeutics Day 1 and what the so-called vaccines would do Day 1.
[00:40:57.807 --> 00:41:09.872]  They've already done rat studies with weaponized, gain-of-function coronaviruses at Chapel Hill, North Carolina, at the University of Texas, Galveston, and all over the place.
[00:41:09.872 --> 00:41:12.132]  I mean, we have all the damn documents.
[00:41:12.132 --> 00:41:18.315]  We have the vice president of EcoHealth Alliance as a whistleblower.
[00:41:18.315 --> 00:41:18.895]  We have everything.
[00:41:20.544 --> 00:41:34.245]  I said I'd get into the speaker shenanigans and fiasco next segment, but I'll do that start of the next hour, because I want to finish up with this, and then I'll get back into what I was talking about.
[00:41:35.766 --> 00:41:37.547]  With the whole origin of it and how they suppressed it.
[00:41:37.547 --> 00:41:40.810]  But the whole thing was completely organized.
[00:41:40.810 --> 00:41:42.491]  We have their emails from whistleblowers.
[00:41:42.491 --> 00:41:44.152]  We have their whole plan.
[00:41:44.152 --> 00:41:47.994]  And so this idea that, oh, they just don't believe capitalism works.
[00:41:47.994 --> 00:41:56.860]  No, they're ultra-rich, powerful elites that want to get rid of competition and get rid of the middle class and make us all poor to control us with social engineering.
[00:41:56.860 --> 00:42:00.163]  They're going to the technocracy that's worse than communism.
[00:42:00.163 --> 00:42:02.885]  The social credit score, the universal basic income.
[00:42:02.885 --> 00:42:04.666]  That's the plan they've announced.
[00:42:05.888 --> 00:42:14.113]  And I listen to all the so-called top intellectuals, and none of them talk about the premeditated scientific takeover, except Klaus Schwab!
[00:42:14.113 --> 00:42:32.823]  He writes books, Harari writes books, they implement all their plans, we're living under it, what they say they're gonna do, they do, they're in control, and they won't be stopped until we have opposition that says, no, this is on purpose, Adam Carolla.
[00:42:34.298 --> 00:42:38.062]  They didn't bet on the Super Bowl and mess up and just hope this was going to work.
[00:42:38.062 --> 00:42:39.564]  They tested it on rats.
[00:42:39.564 --> 00:42:45.249]  They knew the same vaccine in rats caused heart attacks and infertility and death.
[00:42:45.249 --> 00:42:47.672]  And the rats lived half as long on average.
[00:42:47.672 --> 00:42:52.257]  But I'll show you new national statistics out showing it's killing you when we come back.
[00:42:59.744 --> 00:43:04.248]  Taping this important announcement on the afternoon of Thursday, January 5th, 2023.
[00:43:04.248 --> 00:43:13.137]  And that means you've only got four days to act if you want to get Vitaminal Fusion and DNA Force Plus both at 50% off.
[00:43:13.137 --> 00:43:17.541]  Next Monday, the products are going back to full price because they're close to selling out.
[00:43:17.541 --> 00:43:19.223]  We won't have more back in stock for months.
[00:43:19.784 --> 00:43:23.108]  Everybody should be on Vitaminal Infusion and DNA Force Plus.
[00:43:23.108 --> 00:43:27.294]  Just look at DNA Force Plus with the PQQ and the CoQ10 and so much more.
[00:43:27.294 --> 00:43:35.326]  Document it to clean out your cells, your mitochondria, take your immune system to the next level, and even have your telomeres, that's your DNA, last longer.
[00:43:35.686 --> 00:43:39.269]  This is the opposite of what the Globos are doing with their poison shots.
[00:43:39.269 --> 00:43:43.011]  This is actually giving your body the tools it needs to regenerate.
[00:43:43.011 --> 00:43:48.194]  Get DNA Force Plus and Vitaminal Fusion for a limited time for 50% off.
[00:43:48.194 --> 00:43:52.517]  You've got until next Monday and your purchase supports the broadcast.
[00:43:52.517 --> 00:43:53.438]  Keep us on air.
[00:43:53.438 --> 00:43:57.341]  Please take action now for your own wellness and your own health and to keep us on air.
[00:43:57.341 --> 00:43:58.641]  Infowarstore.com
[00:44:01.021 --> 00:44:04.963]  Ladies and gentlemen, a very exciting development has just taken place.
[00:44:04.963 --> 00:44:13.828]  I want to encourage you all to go to InfoWarsTore.com and check it out for yourself because it is a very strong, high quality formula.
[00:44:13.828 --> 00:44:18.890]  Gallon out sleep support, liquid, it's very fast acting, take it under the tongue.
[00:44:18.890 --> 00:44:27.175]  It's got a very good dose of melatonin, passion flower, valerian root extract, lemon balm, and German chamomile.
[00:44:27.175 --> 00:44:29.336]  All of these compounds are documented on record
[00:44:29.796 --> 00:44:30.437]  We're good to go.
[00:45:01.057 --> 00:45:04.998]  Ladies and gentlemen, a very exciting development has just taken place.
[00:45:04.998 --> 00:45:13.861]  I want to encourage you all to go to InfoWareStore.com and check it out for yourself because it is a very strong, high quality formula.
[00:45:13.861 --> 00:45:18.463]  Gallon out sleep support, liquid, it's very fast acting, take it under the tongue.
[00:45:18.923 --> 00:45:27.213]  It's got a very good dose of melatonin, passionflower, valerian root extract, lemon balm, and German chamomile.
[00:45:27.213 --> 00:45:33.581]  All of these compounds are documented on record to help give you deeper, cleaner, healthier sleep.
[00:45:33.581 --> 00:45:37.766]  And that is one of the biggest game changers out there with all the stress we have in this world.
[00:45:38.126 --> 00:45:40.749]  And we've got some other great sleep aids as well, and they're excellent.
[00:45:40.749 --> 00:45:42.150]  They're all different formulas.
[00:45:42.150 --> 00:45:46.254]  But this one is particularly the strongest one we have.
[00:45:46.254 --> 00:45:51.539]  So, Down and Out, sold out for more than five months, is now back available at InfoWareStore.com.
[00:45:51.539 --> 00:45:59.327]  So get better, deeper rest, boost your immune system, and support the InfoWare with Down and Out Sleep Support at InfoWareStore.
[00:46:00.353 --> 00:46:10.495]  Climb to the top of the food chain with Alpha Power by Infowars Life for those who want to increase testosterone and energy levels.
[00:46:10.495 --> 00:46:18.537]  Most men know that testosterone levels begin to decline starting around 30 at a rate of about 1-2% per year.
[00:46:18.537 --> 00:46:24.778]  This drop can show signs such as fatigue, low energy, low sex drive and muscle loss.
[00:46:25.698 --> 00:46:31.539]  Alpha Power is packed with some of the most potent and clinically tested ingredients on the market.
[00:46:31.539 --> 00:46:49.804]  The secret is in the synergistic blend of ancient ingredients that have been concentrated into their most potent forms, including uricoma longifolia, originally from Malaysia, maca root from Peru, horny goatweed from China, and tribulus from India.
[00:46:50.644 --> 00:46:54.765]  Reach your alpha male potential with alpha power.
[00:46:54.765 --> 00:47:01.146]  Head to InfoWarsLife.com and secure your bottle today.
[00:47:01.146 --> 00:47:11.808]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[00:47:11.808 --> 00:47:12.528]  Another one!
[00:47:23.877 --> 00:47:29.879]  All over the world, top scientists are coming out exposing the death being caused by these frankenshots.
[00:47:29.879 --> 00:47:38.363]  But more importantly, parents and family members and children are coming out and telling the world what's happened to their loved ones.
[00:47:38.363 --> 00:47:40.303]  You are receiving this transmission.
[00:47:40.303 --> 00:47:42.824]  You are the resistance.
[00:47:42.824 --> 00:47:48.927]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:47:48.927 --> 00:47:51.808]  What's happening to their family members when they take these poison shots?
[00:47:53.740 --> 00:47:56.161]  My adult son is 25 years old.
[00:47:56.161 --> 00:48:00.802]  He was a bodybuilder and a professional living in New York.
[00:48:00.802 --> 00:48:03.942]  Makes me look like I never stepped foot in a gym in my life.
[00:48:03.942 --> 00:48:05.423]  Now he is disabled.
[00:48:05.423 --> 00:48:07.183]  He cannot drive himself.
[00:48:07.183 --> 00:48:12.224]  After I finish this meeting with you all today, I have to take him to his cardiology appointment.
[00:48:12.224 --> 00:48:14.385]  He's been hospitalized four times.
[00:48:14.385 --> 00:48:16.585]  He has myocarditis and POTS.
[00:48:16.585 --> 00:48:17.706]  He can no longer work.
[00:48:17.706 --> 00:48:19.726]  He can no longer support himself.
[00:48:19.726 --> 00:48:23.427]  And I have to carry him on my insurance, not to mention care for him
[00:48:24.128 --> 00:48:37.482]  I've not been a religious person, but I'm absolutely clear in my mind, the only people, the kind of planning and thinking it takes to have done what has happened, are people who would worship Satan.
[00:48:38.160 --> 00:48:39.361]  They're not normal people.
[00:48:39.361 --> 00:48:43.164]  They've jabbed, I don't know, four billion, six billion poor souls.
[00:48:43.164 --> 00:48:45.766]  Something like one in a thousand people have died.
[00:48:45.766 --> 00:48:47.907]  We don't know how many more will die.
[00:48:47.907 --> 00:48:52.710]  But we're into double figures of millions who've definitely been killed as a consequence of this policy.
[00:48:52.710 --> 00:48:58.114]  And that tells you that the people who are doing this are ruthless, I'd say diabolical.
[00:48:58.114 --> 00:48:59.095]  We're beyond good and right, OK?
[00:48:59.095 --> 00:49:00.516]  We're in the good versus evil.
[00:49:07.438 --> 00:49:12.726]  They knew exactly what they were doing, so they suppressed all the reports of the adverse reactions.
[00:49:12.726 --> 00:49:14.108]  Day one, they knew what was coming.
[00:49:14.108 --> 00:49:19.176]  They'd already tested it on rats and pigs.
[00:49:19.176 --> 00:49:21.941]  They knew exactly what was about to happen.
[00:49:24.295 --> 00:49:40.500]  Premeditated, organized surveillance of what you were saying and doing, including medical professionals and scientists, to suppress them to see if they could get away with permanent lockdowns and forced injections that don't just attack your cardiovascular system, but also your fertility.
[00:49:40.500 --> 00:49:42.020]  Let's plunge back into it.
[00:49:42.020 --> 00:49:45.922]  Fauci responds to alleged upcoming Fauci files.
[00:49:45.922 --> 00:49:47.642]  Says disinformation is the enemy.
[00:49:47.642 --> 00:49:48.822]  Get the clip ready.
[00:49:48.822 --> 00:49:53.564]  He then goes on, the full interview is on Infowars.com on CBS News, and says,
[00:49:54.810 --> 00:49:58.152]  There's no heart attacks or myocarditis that it's disinformation.
[00:49:58.152 --> 00:50:00.254]  It's very rare.
[00:50:00.254 --> 00:50:01.795]  No, I'm going to show you the statistics.
[00:50:01.795 --> 00:50:07.078]  It's off the charts everywhere these frankenshots are given.
[00:50:07.078 --> 00:50:15.344]  And we said a year before they started the injections that this was going to happen because they were mRNA and they tested these before on rats.
[00:50:15.344 --> 00:50:18.286]  Absolutely insane that by
[00:50:20.245 --> 00:50:25.132]  Early 2000, we were warning of what was about to unfold, because we tracked them.
[00:50:25.132 --> 00:50:27.975]  We tracked the globalists and what they'd studied, what they'd done.
[00:50:27.975 --> 00:50:35.465]  And that's how Dr. Michael Yidan, in December of 2000, along with Wolfgang Wudarg, the chief advisor to the EU Medical Board,
[00:50:36.326 --> 00:50:43.468]  Filed an emergency lawsuit in 2020 in Germany with the EU saying, do not give this.
[00:50:43.468 --> 00:50:45.028]  It's going to cause heart attacks.
[00:50:45.028 --> 00:50:50.850]  It's going to cause myocarditis, blood clots, infertility, and of course, lowering immune system.
[00:50:50.850 --> 00:50:53.951]  I'll show you documents in a moment on that front.
[00:50:53.951 --> 00:50:55.031]  How do they know?
[00:50:55.031 --> 00:50:59.472]  Well, EDA had been the head of the vaccine program for 24 years at Pfizer.
[00:50:59.472 --> 00:51:00.913]  He was their damn vice president.
[00:51:01.920 --> 00:51:03.442]  Over the vaccine program.
[00:51:03.442 --> 00:51:07.386]  The director of their worldwide vaccine program.
[00:51:07.386 --> 00:51:11.230]  He's the world expert!
[00:51:11.230 --> 00:51:15.434]  The damn inventor of it said it would happen before they did it.
[00:51:15.434 --> 00:51:16.756]  They've had the technology 25 years.
[00:51:18.868 --> 00:51:21.270]  When they want to use it to help you, it works.
[00:51:21.270 --> 00:51:25.374]  It does incredible things, except a small percentage always have organ failure.
[00:51:25.374 --> 00:51:27.777]  About 2-3% depending on the study.
[00:51:27.777 --> 00:51:29.278]  They've done a bunch of it in humans.
[00:51:29.278 --> 00:51:37.546]  They did a couple of them late last year in New York, and everyone that did it died.
[00:51:37.546 --> 00:51:38.867]  Normally, it's a lower statistic.
[00:51:38.867 --> 00:51:41.170]  This time, it was total death.
[00:51:42.256 --> 00:51:43.957]  It was cancer cures.
[00:51:43.957 --> 00:51:51.899]  And now they say they've got an mRNA for cancer, an mRNA for the flu, an mRNA for depression, an mRNA... It goes on and on.
[00:51:51.899 --> 00:52:01.162]  But remember, in October, before Yidan, the CDC put on their website what they were predicting as adverse reactions.
[00:52:01.162 --> 00:52:04.402]  Blood clots, myocarditis, heart attacks.
[00:52:04.402 --> 00:52:05.303]  But it doesn't matter.
[00:52:05.303 --> 00:52:08.924]  Fauci goes on TV and says it's all conspiracy theories.
[00:52:08.924 --> 00:52:09.304]  Here he is.
[00:52:10.808 --> 00:52:23.630]  Yet again, another conspiracy theory, complete nonsense, is going to have some people make a decision for themselves and their family not to get vaccinated, which may cost them their lives.
[00:52:23.630 --> 00:52:25.851]  So that's the thing that's so horrible about it.
[00:52:25.851 --> 00:52:38.093]  And if you want to go out spouting nonsense, conspiracy theories and spreading it all around, fine, except if it results in a person suffering and perhaps dying.
[00:52:39.972 --> 00:52:44.876]  Evidence, myocarditis, was related to vaccines.
[00:52:44.876 --> 00:52:47.118]  It is a heart issue.
[00:52:47.118 --> 00:52:48.299]  I'm not a doctor, you are.
[00:52:48.299 --> 00:52:51.742]  That's a shred of evidence.
[00:52:51.742 --> 00:52:54.584]  A very small shred, right.
[00:52:54.584 --> 00:52:56.726]  And explain how then this can get conflated.
[00:52:56.726 --> 00:52:57.787]  Of course.
[00:52:57.787 --> 00:53:04.753]  In a very, very rare case, some of the mRNA vaccines can cause a self-limiting
[00:53:05.874 --> 00:53:14.747]  Almost invariably benign inflammatory response in the heart which generally resolves in a very short period of time.
[00:53:14.747 --> 00:53:17.290]  It is very, very rare.
[00:53:17.290 --> 00:53:21.276]  When you compare that with the negative effects on the heart
[00:53:21.997 --> 00:53:34.360]  by myocarditis or pericarditis, which is inflammation of either the heart muscle or the covering of the heart and heart failure and heart medical problems.
[00:53:34.360 --> 00:53:43.202]  Overwhelmingly, COVID itself causes that in a... Okay, so let's just go ahead and stop right there.
