[00:00:26.212 --> 00:00:27.513]  It's Sunday, August 25th.
[00:26:16.303 --> 00:26:18.204]  They know they have no popularity.
[00:26:18.204 --> 00:26:27.226]  You don't think Democrats see Donald Trump's rallies with 30,000 people and then see their rallies with 30 and think, oh crap.
[00:26:27.226 --> 00:26:27.966]  Oh yeah.
[00:26:27.966 --> 00:26:28.786]  But they're total frauds.
[00:26:28.786 --> 00:26:30.027]  They'll never let you on.
[00:26:30.027 --> 00:26:35.948]  So, but, you know, we don't even mention the fact that you've still got all these investigations going on to the spying illegally that Obama did.
[00:26:37.432 --> 00:26:43.856]  You're about to have antitrust investigations opened into Google.
[00:26:43.856 --> 00:26:51.422]  The guests that were on the Alex Jones Show just this week are probably going to be testifying in front of Congress before the end of the year.
[00:26:51.422 --> 00:26:58.787]  Now, we've got just over a year before the 2020 election, and the Democrats
[00:27:00.669 --> 00:27:12.135]  Have about six months, maybe seven or eight, to really figure out who their candidate is going to be, and they are lost in the wilderness without a map.
[00:27:12.135 --> 00:27:14.136]  But don't worry, folks.
[00:27:14.136 --> 00:27:20.379]  Fox News is going to be there to hire April Ryan and tell you that Trump is losing to Biden in the polls.
[00:27:20.379 --> 00:27:22.080]  It's like the most popular president I've ever seen.
[00:27:22.080 --> 00:27:23.241]  It's not even close.
[00:27:23.241 --> 00:27:24.902]  Now, when we come back,
[00:27:26.079 --> 00:27:29.243]  I'm going to be joined in studio by Sargon of Akkad.
[00:27:29.243 --> 00:27:33.427]  This is another one of the most banned individuals out there.
[00:27:33.427 --> 00:27:37.912]  And I think he may just be down to one platform now, and I think it's Subscribestar.
[00:27:37.912 --> 00:27:40.495]  So we're going to be interviewing him live in studio.
[00:27:40.495 --> 00:27:41.456]  We'll talk about the censorship.
[00:27:41.456 --> 00:27:44.899]  We'll talk about the issues that he sees around the world.
[00:27:44.899 --> 00:27:45.300]  But again,
[00:27:46.826 --> 00:28:02.605]  We don't play commercials in our breaks and I happen to love it because when I'm tuned in and I'm on vacation and I'm kind of out of touch from my normal routine, I'm not only getting the live Alex Jones Show or the live David Knight Show or the live War Room that I usually host.
[00:28:02.605 --> 00:28:05.468]  We had great stand-in hosts this week when I was on vacation.
[00:28:05.468 --> 00:28:06.689]  During the breaks, I'm getting
[00:28:07.705 --> 00:28:10.026]  New breaking bombshell reports.
[00:28:10.026 --> 00:28:11.626]  I'm hearing from the Google whistleblowers.
[00:28:11.626 --> 00:28:12.946]  I'm hearing from people on Congress.
[00:28:12.946 --> 00:28:18.608]  So, at InfoWars.com slash show, the live shows are pretty much just all content now.
[00:28:18.608 --> 00:28:19.428]  Almost no commercials.
[00:28:19.428 --> 00:28:29.190]  So, I have to tell you about the great supplements in InfoWarsStore.com right now before I run out of time in the next 30 seconds because we get censored like you wouldn't believe on the internet.
[00:28:29.190 --> 00:28:31.491]  In fact, a lot of people I talk to literally don't believe it.
[00:28:32.648 --> 00:28:38.811]  The brand new Super Silver Skin Cream at InfoWarsStore.com.
[00:28:38.811 --> 00:28:41.192]  Two different sizes.
[00:28:41.192 --> 00:28:43.513]  Check it out for yourself, the ingredients.
[00:28:43.513 --> 00:28:47.175]  Research it for yourself and you will find out why.
[00:28:47.175 --> 00:28:53.818]  The crew here and the people behind this are so excited about Super Silver Skin Cream at InfoWarsStore.com.
[00:28:53.818 --> 00:28:57.280]  Another brand new exclusive product only at InfoWarsStore.com.
[00:29:01.164 --> 00:29:04.605]  It's just heavy, heavy, heavy.
[00:29:04.605 --> 00:29:07.767]  Make no mistake, it's... We're not in Kansas anymore.
[00:29:07.767 --> 00:29:10.628]  We're not in Kansas anymore.
[00:29:10.628 --> 00:29:17.370]  If you have a corrupt media, you don't have a democracy.
[00:29:17.370 --> 00:29:20.411]  I don't think we've seen division like this in America since Vietnam.
[00:29:20.411 --> 00:29:21.592]  It's a form of fascism.
[00:29:22.657 --> 00:29:26.239]  The High Court will examine free speech rights and social media.
[00:29:26.239 --> 00:29:37.563]  Multiple online platforms have now taken down content associated with Alex Jones and InfoWars.
[00:29:37.563 --> 00:29:49.188]  First they come for Alex Jones, everyone else like Domino's would fall.
[00:29:49.188 --> 00:29:50.429]  We're not in Kansas anymore.
[00:29:53.078 --> 00:29:54.459]  You can't watch this.
[00:29:54.459 --> 00:29:59.483]  The movie available now at InfoWarsStore.com.
[00:29:59.483 --> 00:30:07.568]  Our powerful line of fluoride free products is the perfect gift for yourself or others who are exploring a healthier, happier lifestyle.
[00:30:07.568 --> 00:30:13.172]  With options ranging from toothpaste to oral spray, it's easy to find the perfect option for you.
[00:30:13.172 --> 00:30:19.336]  Super Blue Toothpaste is the fan favorite fluoride free toothpaste that every info warrior loves.
[00:30:19.336 --> 00:30:21.398]  Powered by iodine and nano silver,
[00:30:21.678 --> 00:30:26.682]  It's designed to deliver a powerful clean while supporting good oral health and fresh breath.
[00:30:26.682 --> 00:30:28.824]  Available in two refreshing flavors.
[00:30:28.824 --> 00:30:33.688]  Enjoy a minty fresh flavor made with peppermint oil or try our bubblegum flavor.
[00:30:33.688 --> 00:30:39.333]  Super Blue Immune Gargle is the only option for on-the-go immune system support like no other.
[00:30:39.333 --> 00:30:46.039]  With the scientifically proven patented ingredient Silver Soul in three different sizes, you can take it wherever you go.
[00:30:46.039 --> 00:30:47.480]  Support good oral health with
[00:30:47.560 --> 00:30:50.021]  These are one-of-a-kind super blue products.
[00:30:50.021 --> 00:30:53.203]  Don't miss out on revolutionizing your morning routine.
[00:30:53.203 --> 00:30:58.687]  Head to Infowarsstore.com and get our line of super blue products today.
[00:30:58.687 --> 00:31:11.874]  Thomas Jefferson predicted over 240 years ago that when our Republic was in trouble in the future, it'd be the farmers that were close to the ground, close to reality, who actually worked for a living, that would end up saving the nation.
[00:31:11.874 --> 00:31:14.796]  And today, the Communist Chinese have banned all U.S.
[00:31:14.796 --> 00:31:15.817]  farming goods a week ago.
[00:31:16.537 --> 00:31:25.381]  And we've seen massive increases in polls, support for the President, and what he's doing in this trade war, once China put pressure on our farmers.
[00:31:25.381 --> 00:31:26.441]  That's beautiful.
[00:31:26.441 --> 00:31:28.322]  Americans aren't going to be bullied.
[00:31:28.322 --> 00:31:29.923]  And we aren't going to back down.
[00:31:29.923 --> 00:31:37.526]  So to the Joaquin Cruises and the Hillary Clintons of the world that want to intimidate people and tell us to back down, we're never going to give up.
[00:31:37.526 --> 00:31:39.847]  And all you've done is awaken the human spirit.
[00:31:39.847 --> 00:31:44.028]  And the human spirit lives at InfoWars.com and NewsWars.com.
[00:31:44.028 --> 00:31:44.949]  And I'm asking listeners,
[00:31:45.749 --> 00:31:49.862]  Whatever you do, spread those links because we are the light in the dark of the night.
[00:31:49.862 --> 00:31:50.965]  We are the resistance.
[00:31:50.965 --> 00:31:51.607]  We are 1776 Worldwide.
[00:31:59.189 --> 00:32:05.712]  Looking for a way to support Alex Jones and the InfoWars crew while staying up to date on all our products?
[00:32:05.712 --> 00:32:08.193]  Then our newsletter is for you!
[00:32:08.193 --> 00:32:11.215]  Now more than ever, InfoWars need your help.
[00:32:11.215 --> 00:32:18.718]  Head over to InfoWarsStore.com, scroll down the page, and sign up to receive up-to-date, exclusive daily deals.
[00:32:18.718 --> 00:32:26.582]  The InfoWars Store newsletter is your number one way to support the InfoWars team while keeping up with the latest savings and specials.
[00:32:27.082 --> 00:32:39.841]  Join your fellow info warriors in getting access to brand new formulas, daily deals and exclusive sales with T-shirts, survival gear, movies, books, supplements and more.
[00:32:39.841 --> 00:32:42.344]  It's easier than ever to support the resistance.
[00:32:42.965 --> 00:32:45.887]  Now you can stay up to date with just one click.
[00:32:45.887 --> 00:32:48.449]  Sign up for the InfoWars Store newsletter today.
[00:32:48.449 --> 00:32:54.414]  Head to InfoWarsStore.com and start receiving subscriber-only sales and offers now.
[00:32:54.414 --> 00:32:57.816]  And stay current with everything the InfoWars Store has to offer.
[00:32:57.816 --> 00:33:03.861]  You're listening to the Alex Jones Show.
[00:33:12.643 --> 00:33:14.004]  We wouldn't do that to you.
[00:33:14.004 --> 00:33:19.348]  We wouldn't give you fluoridated water.
[00:33:19.348 --> 00:33:21.029]  You want to stop tyranny?
[00:33:21.029 --> 00:33:22.750]  Well, so does he.
[00:33:22.750 --> 00:33:24.691]  It's Alex Jones.
[00:33:24.691 --> 00:33:28.273]  And now, your host, Owen Troyer.
[00:33:28.273 --> 00:33:34.798]  Sargon of Akkad is in studio with me, and we were just talking during the break, and I liked what you were talking about.
[00:33:34.798 --> 00:33:36.719]  We were kind of having some fun.
[00:33:36.719 --> 00:33:40.762]  You were saying, think about all the quote-unquote conspiracy theories
[00:33:41.742 --> 00:33:44.423]  Of that they claim they try to link to Alex Jones.
[00:33:44.423 --> 00:33:45.844]  Think of all of them that have come true.
[00:33:45.844 --> 00:33:49.106]  And you were just saying, you were, hey guys, can I get some water?
[00:33:49.106 --> 00:33:52.207]  So we brought you a bottled water here and you said, hey, there's no fluoride in this.
[00:33:52.207 --> 00:33:53.688]  I said, no, we're not going to fluoridate.
[00:33:53.688 --> 00:33:55.028]  We're not going to give you fluoridated water.
[00:33:55.028 --> 00:33:56.169]  There's one of them.
[00:33:56.943 --> 00:33:57.564]  That's true.
[00:33:57.564 --> 00:33:59.105]  That is actually one.
[00:33:59.105 --> 00:34:00.766]  The Daily Beast was reporting on it the other day.
[00:34:00.766 --> 00:34:03.369]  So you know it's legit?
[00:34:03.369 --> 00:34:03.909]  I mean, yeah.
[00:34:03.909 --> 00:34:09.714]  Well, I mean, there was a study done, and they were just reporting on the study, but it seems that it's legit.
[00:34:09.714 --> 00:34:19.043]  It appears there is evidence for it, that for pregnant women, if they drink fluoridated water, the IQ of their children turns out to be lower.
[00:34:19.703 --> 00:34:23.486]  Um, and Alex Jones said they're putting fluoride in the water to dumb people down.
[00:34:23.486 --> 00:34:26.909]  I mean, I don't know how he knows, but that came true too.
[00:34:26.909 --> 00:34:33.034]  Let's see what you guys, will you guys do a control F search in this story and see if they mention Alex Jones or Infowars?
[00:34:33.034 --> 00:34:34.375]  I would bet they don't.
[00:34:34.375 --> 00:34:34.455]  Oh!
[00:34:37.097 --> 00:34:37.918]  Hold on, read this.
[00:34:37.918 --> 00:34:38.178]  Read this.
[00:34:38.178 --> 00:34:38.798]  Can you see that?
[00:34:38.798 --> 00:34:39.358]  Yeah, I can.
[00:34:39.358 --> 00:34:48.243]  Infowars founder Alex Jones has frequently railed against fluoride in hyperbolic terms, and his site sells anti-fluoride products.
[00:34:48.243 --> 00:34:51.805]  Yeah, it's true though!
[00:34:51.805 --> 00:35:00.430]  So they write one story insulting us because we sell water filters, and then the next day they have to say, well, Alex Jones was right, you don't want the fluoride.
[00:35:01.933 --> 00:35:06.661]  The thing is, I actually just posted this on my Facebook page, because Forbes was mocking Alex Jones.
[00:35:06.661 --> 00:35:08.724]  They've got like 10 craziest conspiracy theories.
[00:35:08.724 --> 00:35:11.128]  It's like the fluoride in the water makes you dumb, and it's like, well...
[00:35:12.529 --> 00:35:14.630]  I mean, you know... Hold on, guys.
[00:35:14.630 --> 00:35:15.650]  Find that story and print it.
[00:35:15.650 --> 00:35:18.431]  Let's go down that list because... So that was one of the stories?
[00:35:18.431 --> 00:35:19.852]  That was one of them, yeah.
[00:35:19.852 --> 00:35:20.772]  And it's true?
[00:35:20.772 --> 00:35:21.433]  It's true.
[00:35:21.433 --> 00:35:23.954]  And, uh, the Epstein Island.
[00:35:23.954 --> 00:35:25.374]  That's... That was one of them too?
[00:35:25.374 --> 00:35:25.794]  Yeah, yeah.
[00:35:25.794 --> 00:35:28.295]  So let's actually get that whole... Joe Rogan was going there.
[00:35:28.295 --> 00:35:28.716]  Wow, okay.
[00:35:28.716 --> 00:35:31.557]  Sargon of Akkad, you know, you've been censored as well.
[00:35:31.557 --> 00:35:34.578]  I mean... I don't know if you want to get into the censorship.
[00:35:34.578 --> 00:35:37.959]  I don't know if you want to get into just the craziness of all the times.
[00:35:37.959 --> 00:35:40.620]  But to me, that's kind of... It's almost the same.
[00:35:40.620 --> 00:35:41.981]  It's kind of the same vein because...
[00:35:43.444 --> 00:35:46.708]  We knew the world was kind of going crazy a while ago.
[00:35:46.708 --> 00:35:49.711]  Mainstream news and everything is finally starting to catch up.
[00:35:49.711 --> 00:35:52.294]  The fluoride in the water, the Epstein Island.
[00:35:52.294 --> 00:36:05.388]  So how do you kind of analyze this where just everyday people who are starting to have this awakening, this renaissance, are getting activated and getting politically active and active with free speech and active in changing their own lives.
[00:36:05.948 --> 00:36:10.630]  And then you see the social media centers kind of trying to stop that from happening.
[00:36:10.630 --> 00:36:15.372]  How would you characterize this time in human history?
[00:36:15.372 --> 00:36:21.074]  Extremely divided along partisan lines is the thing that jumps to mind first.
[00:36:21.074 --> 00:36:29.217]  The problem is that Silicon Valley is a very, very left-wing place and they have a particular ethical agenda.
[00:36:29.217 --> 00:36:32.658]  And you can hear this in people like Tim Cook from Apple who sounds like a preacher.
[00:36:33.178 --> 00:36:35.580]  It sounds like he's preaching a new kind of secular religion.
[00:36:35.580 --> 00:36:41.523]  And I'm an atheist, so... Kind of like a... almost like a Jim Jones cult or something.
[00:36:41.523 --> 00:36:43.224]  On a much larger scale, yeah.
[00:36:43.224 --> 00:36:45.446]  But, um, yeah, so it's...
[00:36:46.798 --> 00:36:47.658]  They all know each other.
[00:36:47.658 --> 00:36:48.618]  They all talk to each other.
[00:36:48.618 --> 00:36:51.559]  And we know this because Jack Conte from Patreon said it.
[00:36:51.559 --> 00:36:58.501]  He just went on Rubin's Show and said, oh yeah, all the tech giant CEOs all hang out and they talk to each other, etc, etc.
[00:36:58.501 --> 00:37:00.001]  They all basically follow the same agenda.
[00:37:00.001 --> 00:37:07.303]  And the reason that I've even come here is because you guys got just nailed off almost every platform in almost the same day.
[00:37:07.303 --> 00:37:09.303]  It was like a period of one or two days.
[00:37:09.303 --> 00:37:12.604]  And that was just, I mean, it just screams collusion, doesn't it?
[00:37:13.044 --> 00:37:16.507]  It just screams that someone phones someone else up and goes, yeah, let's just get rid of this guy.
[00:37:16.507 --> 00:37:17.208]  He's a real pain.
[00:37:17.208 --> 00:37:28.477]  And then it was Jack Dorsey on Twitter who was taking loads of flack from left-wing media and pundits and whatnot on Twitter, because Twitter was Alex Jones's last Silicon Valley platform.
[00:37:28.477 --> 00:37:30.798]  And he was like, well, he hasn't done anything wrong.
[00:37:30.798 --> 00:37:32.600]  And then in the next few days, that was it.
[00:37:32.600 --> 00:37:33.741]  He was gone as well.
[00:37:33.741 --> 00:37:38.585]  Again, it really looks like it's down to the amount of pressure being put on them to actually take these actions.
[00:37:39.726 --> 00:37:44.070]  And then you've got Dr. Robert Epstein, who's been a critic of Google for quite some time.
[00:37:44.070 --> 00:37:44.871]  He'd done a study.
[00:37:44.871 --> 00:37:46.293]  And a Democrat voter.
[00:37:46.293 --> 00:37:50.117]  And a Democrat voter, and a friend of Hillary's as well, a personal friend of Hillary's.
[00:37:50.117 --> 00:37:56.784]  And he, in his Senate hearings, Ted Cruz, I'm sure you saw it, he said, look, I vote Democrat, I just think this is wrong.
[00:37:56.784 --> 00:38:01.609]  It's definitely, definitely manipulating the algorithms to shift votes towards Hillary Clinton and away from Trump.
[00:38:02.409 --> 00:38:09.551]  And this is a really powerful force, and I think that people don't really understand just how much influence Silicon Valley really has.
[00:38:09.551 --> 00:38:20.234]  I mean, it's like a form of kind of cultural imperialism, where California is effectively trying to manipulate the culture of the entire English-speaking world from a very, very small place.
[00:38:20.234 --> 00:38:23.834]  Because all of these Silicon Valley tech giants, they're in Silicon Valley.
[00:38:23.834 --> 00:38:26.795]  It's like a few hundred square miles in San Francisco.
[00:38:26.795 --> 00:38:28.756]  It's a very, very concentrated
[00:38:31.316 --> 00:38:32.177]  Area of land.
[00:38:32.177 --> 00:38:35.519]  And it's not just the CEOs as well.
[00:38:35.519 --> 00:38:37.720]  It's also the people who fill the institutions.
[00:38:37.720 --> 00:38:40.321]  The people on the Trust and Safety Councils and things like this.
[00:38:40.321 --> 00:38:46.244]  Because they're all in the same area, they all kind of end up having the same culture, the same sort of mores.
[00:38:46.244 --> 00:38:47.425]  You can tell by their accents.
[00:38:47.425 --> 00:38:50.986]  They've all got the same sort of valley girl accent almost.
[00:38:50.986 --> 00:38:54.148]  The sort of soft-spoken California beta accent, you know.
[00:38:55.208 --> 00:38:57.450]  But the people, they move between the companies.
[00:38:57.450 --> 00:39:00.291]  You know, they'll get employed by different companies.
[00:39:00.291 --> 00:39:03.874]  And so it creates a very kind of homogenous culture.
[00:39:03.874 --> 00:39:05.975]  And then you get people from the inside.
[00:39:05.975 --> 00:39:09.397]  I mean, like the Project Veritas stuff, where they've just had Google insiders coming out.
[00:39:09.397 --> 00:39:10.557]  And this has been going on for ages.
[00:39:10.557 --> 00:39:11.318]  Look at James Damore.
[00:39:12.079 --> 00:39:21.510]  Well, they come out and say, well look, we're actually genuinely feeling oppressed in these tech giants because we're conservatives and we can't speak out about any of this and we think they're doing things wrong.
[00:39:21.510 --> 00:39:23.592]  I mean, Facebook has a conservative union?
[00:39:23.592 --> 00:39:27.317]  I mean, how bad does it have to be to get conservatives to unionize?
[00:39:27.317 --> 00:39:29.439]  Well, and think about it too, it's almost...
[00:39:30.632 --> 00:39:38.617]  The people that come out and blow the whistle, regardless of their politics, they're at least trying to keep a straight line to keep things fair.
[00:39:38.617 --> 00:39:43.520]  They say it's the Manhattan Project of AI, really.
[00:39:43.520 --> 00:39:44.861]  They just want to keep things square.
[00:39:44.861 --> 00:39:50.645]  Well, they're all getting booted or put on leave now because they just say, hey, look, this is what's going on.
[00:39:50.645 --> 00:39:51.486]  We want it to be transparent.
[00:39:51.486 --> 00:39:51.966]  We want it to be fair.
[00:39:51.966 --> 00:39:52.967]  Well, they're all gone.
[00:39:52.967 --> 00:39:56.028]  So you know they're just going to probably replace these people with ideologues.
[00:39:56.028 --> 00:39:57.750]  Well, it's not necessarily that.
[00:39:59.011 --> 00:40:00.232]  I don't want to just call them ideologues.
[00:40:00.232 --> 00:40:06.578]  I don't know the people that we're talking about, but they will end up replacing them from people in the local area because they have to work in those businesses.
[00:40:06.578 --> 00:40:11.183]  So they have to come to that place and they'll end up becoming kind of subsumed in that culture.
[00:40:11.183 --> 00:40:15.246]  So it's just one of those things where it's not a conspiracy.
[00:40:15.246 --> 00:40:19.811]  It's just a kind of natural tendency to shift in that direction because
[00:40:20.391 --> 00:40:25.218]  The culture is so much towards the left and it's hostile to the right.
[00:40:25.218 --> 00:40:30.565]  It's not tolerant in any way shape or form and that's what the conservatives in Silicon Valley are speaking out about.
[00:40:30.565 --> 00:40:33.809]  Because if you look at the quote-unquote, I guess you could say...
[00:40:35.146 --> 00:40:40.688]  Liberals or leftists that have had the banning happen to them, like the Krasenstein brothers.
[00:40:40.688 --> 00:40:47.469]  Well, they got caught running these massive bot, you know, ad campaigns or bot networks, or at least that's how the story goes.
[00:40:47.469 --> 00:40:50.670]  I mean, I don't really trust any of this news, quite frankly.
[00:40:50.670 --> 00:40:53.151]  But you also had, you know, Louis Farrakhan.
[00:40:53.151 --> 00:40:57.392]  He's made statements that I think that they would say, I guess, violate their code of conduct.
[00:40:57.392 --> 00:40:58.792]  But so do a bunch of people.
[00:40:58.792 --> 00:40:59.013]  Yeah.
[00:40:59.013 --> 00:41:01.093]  And it's just a pick and choose type of thing.
[00:41:01.093 --> 00:41:03.734]  So it's like, hey, they gave us some scalps, like, oh, no, no, no, we're fair.
[00:41:04.554 --> 00:41:08.596]  Anybody that's looking at this from a neutral perspective knows that the bias is real.
[00:41:08.596 --> 00:41:15.278]  Yeah, and a lot of the bias as well is also towards... I suppose you could almost describe it as a class bias.
[00:41:15.278 --> 00:41:24.162]  Because you get independent left-wing commentators like David Pakman who also get their channels demonetized, their videos demonetized and deranked and things like this.
[00:41:24.642 --> 00:41:31.947]  But then, if you look at any of the search results on YouTube, or if you just let the YouTube algorithm play you videos now, go through videos.
[00:41:31.947 --> 00:41:38.432]  After the first couple, you'll find yourself on CNN or MSNBC, and it'll just give you a continual loop of the mainstream media.
[00:41:38.432 --> 00:41:40.954]  It won't give you the alternative commentators it used to give you.
[00:41:41.494 --> 00:41:54.765]  And that's because of an active campaign by people like Carlos Maza at Vox and various other, you know, just large influential, just media commentators and pundits on Twitter, mostly, pressuring YouTube.
[00:41:54.765 --> 00:41:57.567]  And Susan Wojcicki and Sundar Pichai are just...
[00:41:58.568 --> 00:42:00.109]  I guess they just agree.
[00:42:00.109 --> 00:42:00.870]  They just agree.
[00:42:00.870 --> 00:42:04.453]  And that's Facebook and Google with those two.
[00:42:04.453 --> 00:42:06.054]  YouTube and Google.
[00:42:06.054 --> 00:42:07.355]  YouTube, thank you, thank you.
[00:42:07.355 --> 00:42:10.017]  Facebook, I forget that lady's name.
[00:42:10.017 --> 00:42:11.138]  She is cold, though.
[00:42:11.138 --> 00:42:12.299]  I mean, she is no joke.
[00:42:12.299 --> 00:42:12.939]  I forget her name.
[00:42:12.939 --> 00:42:14.320]  Sheryl Sandberg, I think is it?
[00:42:14.320 --> 00:42:16.022]  Oh, yeah, yeah.
[00:42:16.022 --> 00:42:20.685]  And when do these people get called up to task for the perjury that they blatantly engaged in?
[00:42:20.685 --> 00:42:21.246]  Now we know it!
[00:42:22.150 --> 00:42:22.871]  I don't know.
[00:42:22.871 --> 00:42:24.592]  I don't know how they're going to be held accountable.
[00:42:24.592 --> 00:42:32.417]  I know, I mean, I actually, I've been coming to appreciate Ted Cruz a lot more because he's been very firm on this recently and he's not letting it go.
[00:42:32.417 --> 00:42:36.299]  And so I think that's going to have to be the way forward.
[00:42:36.299 --> 00:42:37.380]  I mean, I don't see what else can be done.
[00:42:37.680 --> 00:42:43.484]  And you know, one of the reasons, too, what you mentioned, like a YouTube search result will start showing you MSNBC or, you know, CNN.
[00:42:43.484 --> 00:42:48.767]  I think some of that has to do with the fact they know they're getting crushed by an average YouTuber out there.
[00:42:48.767 --> 00:42:52.850]  So CNN is here, like, crapping its britches, like, well, how are we going to compete with these guys?
[00:42:52.850 --> 00:42:55.812]  We got to we got to tramp them out of the Internet, trample them down.
[00:42:55.812 --> 00:42:57.393]  And so independent users lose.
[00:42:58.922 --> 00:43:00.943]  Robert Barnes, what has Big Tech become?
[00:43:00.943 --> 00:43:02.944]  Big Tech are big babies that have become big bullies.
[00:43:02.944 --> 00:43:09.446]  And the way they did so is because they faced no consequence, social, economic, political, or legal, for their illicit activities over two decades.
[00:43:09.446 --> 00:43:21.532]  And because of that, that's why the courts, the judges, the juries, the members of the independent free press that care about this, the ordinary members of the public and the audience that care about this, have to bring real social, political, economic consequence to their course of conduct.
[00:43:21.532 --> 00:43:24.613]  Otherwise, they will never change, and they will become the Big Tech oligarchs
[00:43:24.793 --> 00:43:27.274]  And then the whopper of telling us the whole time it's not happening.
[00:43:54.722 --> 00:43:56.642]  What you just saw isn't what you just saw.
[00:43:56.642 --> 00:43:59.363]  Even it is what you just saw.
[00:43:59.363 --> 00:44:16.027]  I talk about this on the air, and I know it sinks into people, but I've decided that we're gonna kind of reboot all our supplements, in that if you go back five, six years ago, before all the censorship and attacks and fake lawsuits, the rest of it, I would talk about how great the products are and how they were the best and why they were, and I'd have doctors on and experts to explain why they were so good.
[00:44:16.027 --> 00:44:23.429]  And instead, the last few years, I'm like, hey, we need to really support us, or they'll shut us down, and the biggest thing people like to buy is supplements, because they know how great they are and how wonderful they were.
[00:44:23.809 --> 00:44:25.551]  And the left always has headlines everywhere.
[00:44:25.551 --> 00:44:29.794]  Jones sells unapproved supplements that he claims are supplements.
[00:44:29.794 --> 00:44:37.741]  No, under federal law since 1996, you can't say that a supplement has been through the FDA because they have no jurisdiction and won't look at it.
[00:44:37.741 --> 00:44:40.463]  But then they say you've got to say it's not approved by them.
[00:44:40.463 --> 00:44:45.367]  And all drugs are is the system trying to tweak what's in Mother Nature and manipulate it and do different things.
[00:44:45.367 --> 00:44:46.548]  And a lot of drugs work great.
[00:44:46.548 --> 00:44:47.369]  They have side effects.
[00:44:47.529 --> 00:44:52.112]  Not with Mother Nature, but Big Pharma doesn't want you knowing about God's medicine chest.
[00:44:52.112 --> 00:45:00.117]  Infowarsstore.com or 888-253-3139.
[00:45:00.117 --> 00:45:07.522]  What you have witnessed is the biggest development in free speech in the Western world's history.
[00:45:07.522 --> 00:45:11.804]  This is a digital, AI-enforced gag order.
[00:45:11.804 --> 00:45:15.507]  Not to say the name Alex Jones or Infowars.com.
[00:45:21.155 --> 00:45:22.855]  This is Nazi Germany level.
[00:45:22.855 --> 00:45:24.076]  This is racketeering.
[00:45:24.076 --> 00:45:25.196]  This is cartels.
[00:45:25.196 --> 00:45:27.616]  Mr. President, we need your help.
[00:45:27.616 --> 00:45:29.476]  We need it now.
[00:45:29.476 --> 00:45:31.177]  You can take on Big Ted.
[00:45:31.177 --> 00:45:40.118]  They saw Infowars as a dominant, independent, anti-war, pro-human, pro-sovereign, pro-family, populist organization.
[00:45:40.118 --> 00:45:48.160]  So they thought, first they come for Alex Jones, then when people say, okay, take him off the air, everyone else like dominoes would fall.
[00:45:48.160 --> 00:45:49.020]  The way to fight back
[00:45:49.620 --> 00:46:02.004]  Without your support, we won't be here.
[00:46:02.004 --> 00:46:05.485]  And I couldn't thank you all enough for the fact that you've kept us in the game.
[00:46:05.485 --> 00:46:07.025]  I mean, I want to stay in this game.
[00:46:07.025 --> 00:46:08.326]  I want to take the globalist on.
[00:46:08.326 --> 00:46:10.306]  Total transparency is our whole operation.
[00:46:10.306 --> 00:46:15.108]  If I bring in $35 million, half of that's the cost of the products, because we don't mark stuff up that much.
[00:46:15.148 --> 00:46:18.411]  I don't care if I'm not making money, but you need to buy the products.
[00:46:18.411 --> 00:46:26.859]  We got coffee, we got fish oil, we got turmeric, we got great toothpaste, we've got great things like DNA Force Plus, but Ultimate Krill Oil has been sold out for four months.
[00:46:26.859 --> 00:46:29.461]  For whatever reason, this became the most popular fish oil.
[00:46:29.461 --> 00:46:35.167]  It's totally full of the bottle, and it is the strongest, purest krill oil, and it cost us three times more
[00:46:35.387 --> 00:46:40.071]  Because we have it put through the expensive laboratory process to remove mercury.
[00:46:40.071 --> 00:46:45.875]  Any type of krill oil you get that doesn't give you fish burps, which I don't like but gives you all the great benefits, isn't real.
[00:46:45.875 --> 00:46:48.137]  It's been boiled, it's been ruined, it's been homogenized.
[00:46:48.137 --> 00:46:49.058]  This is not real.
[00:46:49.058 --> 00:46:53.681]  This, ladies and gentlemen, is the highest quality krill oil you're gonna find anywhere.
[00:46:53.681 --> 00:46:55.262]  Real krill oil, folks, is red.
[00:46:55.262 --> 00:46:56.864]  It's not yellow, it's not milky.
[00:46:56.864 --> 00:47:02.248]  This is nothing but krill oil.
[00:47:02.248 --> 00:47:04.870]  You're listening to the Alex Jones Show.
[00:47:18.823 --> 00:47:26.267]  Welcome back to the Alex Jones Show.
[00:47:26.267 --> 00:47:31.629]  Owen Schroer sitting in Sargon of Akkad in studio with us.
[00:47:31.629 --> 00:47:39.493]  We've been talking about all the censorship and how Google and Twitter and Facebook and YouTube are trying to rig elections with it and we now kind of
[00:47:40.313 --> 00:47:45.938]  Pivot into how it's the mainstream news demonizing these people that get censored to make it justified.
[00:47:45.938 --> 00:47:46.979]  But of course it's not true.
[00:47:46.979 --> 00:47:53.604]  Trump supporters are not white supremacists, they're not racist bigots, homophobes, xenophobes, all the things that they say about us.
[00:47:53.604 --> 00:47:59.349]  That's just what they say so that when they ban everybody from YouTube or Twitter or Facebook, oh, it's justified.
[00:47:59.349 --> 00:48:01.971]  Look what the mainstream news said about them.
[00:48:01.971 --> 00:48:06.135]  But obviously, it's not really working.
[00:48:06.135 --> 00:48:07.135]  And I think what it is,
