[00:01.000 --> 00:05.000]  You're listening to the Alex Jones show.
[01:07:52.000 --> 01:07:56.000]  Dropped by the site today, order a bag or two and I don't think you're going to be disappointed.
[01:07:56.000 --> 01:08:00.000]  Available in original or with our immune support infusion blend.
[01:08:00.000 --> 01:08:06.000]  Be supporting a free press all the while enjoying a truly great tasting cup of my favorite coffee.
[01:08:06.000 --> 01:08:09.000]  Available at infowarslife.com.
[01:08:21.000 --> 01:08:29.000]  The world is a dangerous place, not because of evil, but because of those who look on and do nothing.
[01:08:29.000 --> 01:08:35.000]  Through the front lines of the information war, it's Alex Jones.
[01:08:38.000 --> 01:08:47.000]  When you study the patterns of history and the signatures of renaissance versus the signatures of degradation,
[01:08:47.000 --> 01:08:54.000]  entropy and collapse, history does repeat it also rhymes, as it's been said by many historians.
[01:08:54.000 --> 01:09:04.000]  And complacency and decadence is the number one hallmark of the most brutal collapses into the underworld
[01:09:04.000 --> 01:09:19.000]  or into the Golgothic Hades-like systems of the French Revolution or Communist China or Soviet Russia
[01:09:19.000 --> 01:09:26.000]  or so-called socialist Venezuela today, because it's not about what you produce and do or what you stand for.
[01:09:26.000 --> 01:09:34.000]  It's about the fact that you are dishonorable and will work in those dishonorable groups to engage in predatory activities against your fellow citizens.
[01:09:34.000 --> 01:09:40.000]  And we're sitting here, myself included, very complacent.
[01:09:40.000 --> 01:09:45.000]  I should be calling Congress panicking. I should be running down the street handing out flyers.
[01:09:45.000 --> 01:09:50.000]  I should have aircraft flying saying, coup against the president planned.
[01:09:50.000 --> 01:09:53.000]  But instead, I'm like, yeah, they're planning a coup in all these publications.
[01:09:53.000 --> 01:10:02.000]  And they have former deputy defense secretary in the news making the rounds, making the case for a military intervention against the president.
[01:10:02.000 --> 01:10:04.000]  I told you about that before it was in the news.
[01:10:04.000 --> 01:10:11.000]  Then it was in the major publications that they're planning a COG overthrow of the president.
[01:10:11.000 --> 01:10:22.000]  And now they've got the Aspen Institute of high-level kind of Bilderberg public event, Davos type event out west in Colorado,
[01:10:22.000 --> 01:10:27.000]  with Clapper, the former head of national security.
[01:10:27.000 --> 01:10:29.000]  That's over the 17 agencies.
[01:10:29.000 --> 01:10:38.000]  And then you've got the former head of the CIA who told the president better watch his mouth running around saying, oh, it's very reasonable by partisan.
[01:10:38.000 --> 01:10:44.000]  It's just like you change a tire on your car and you'll pay your bills or wipe your nose or brush your teeth in the morning.
[01:10:44.000 --> 01:10:46.000]  It's very routine.
[01:10:46.000 --> 01:10:51.000]  We need to just remove the president with a coup if he removes Mueller,
[01:10:51.000 --> 01:10:57.000]  who's on the biggest fishing expedition of his life, of our lives.
[01:10:57.000 --> 01:11:04.000]  With all these Democrats, two of them which Trump fired, they give 99.8% of their money to Hillary.
[01:11:04.000 --> 01:11:06.000]  That's all over the news.
[01:11:06.000 --> 01:11:18.000]  And now it's to his whole family, all his businesses, all of the people in his campaign, they're using illegal NSA data to take non-events,
[01:11:18.000 --> 01:11:25.000]  like them looking for dirt on Hillary, and to make it these big, huge, evil things or senator sessions, talking to the Russian ambassador a few times,
[01:11:25.000 --> 01:11:32.000]  which he admitted to, which he's supposed to do on the Foreign Relations Committee.
[01:11:32.000 --> 01:11:41.000]  Close, he said, I've never met with him. Then turns out she met with him 30 plus times, photographed with him more than 10 times in the same year, 2016.
[01:11:41.000 --> 01:11:47.000]  Everybody knows it's the Russians have been up the Democrats' behinds.
[01:11:47.000 --> 01:11:49.000]  It's not the Republicans.
[01:11:49.000 --> 01:11:58.000]  And it is kind of payback from the Democrats from 50 years ago when the Republicans went after them for being in bed with the Russians when they were communist.
[01:11:58.000 --> 01:12:03.000]  So it's just absolutely wild to see this going on.
[01:12:03.000 --> 01:12:21.000]  And now you've got Brennan, former CIA director, and me, Clapper, nodding his head in the green, with Wolf Blitzer sitting there who's a foreign intelligence operative.
[01:12:21.000 --> 01:12:25.000]  He literally admitted, he admittedly worked for Israeli intelligence.
[01:12:25.000 --> 01:12:26.000]  You think he still doesn't do it?
[01:12:26.000 --> 01:12:28.000]  I'm not against Israel.
[01:12:28.000 --> 01:12:37.000]  But imagine if Israeli TV hosts were CIA and everybody knew it, and then you're not supposed to talk about it because you're bashing Americans if you go, oh, that guy's a CIA guy.
[01:12:37.000 --> 01:12:48.000]  It's just what we put up with with the pope in our business and the Saudi Arabians and the Chai comms and the EU and the bureaucrats and like, get out of our lives, New World Order.
[01:12:48.000 --> 01:12:50.000]  So all of this is now happening.
[01:12:50.000 --> 01:12:51.000]  This is all admitted.
[01:12:51.000 --> 01:12:53.000]  What do we do to raise the alarm?
[01:12:53.000 --> 01:12:55.000]  What do we do to get attention?
[01:12:55.000 --> 01:12:57.000]  I'm going to tell the business owner something.
[01:12:57.000 --> 01:13:01.000]  We have a lot of great AM and FM affiliates that pick up our broadcast.
[01:13:01.000 --> 01:13:05.000]  And it gets writings, but a lot of the big sponsors, obviously, you're scared.
[01:13:05.000 --> 01:13:08.000]  If you keep continuing to be scared, we're going to lose everything.
[01:13:08.000 --> 01:13:11.000]  We got here because of people being scared and being politically correct.
[01:13:11.000 --> 01:13:20.000]  And they can always move the goalpost and make political correctness more and more and more until you can't use the words mother and father on entrance papers for your kids.
[01:13:20.000 --> 01:13:28.000]  Your kids call themselves purple penguins and don't call themselves he or she's you allow cult like brainwashing to go on because you don't want to hurt any feelings.
[01:13:28.000 --> 01:13:32.000]  You want to go home and watch TV.
[01:13:32.000 --> 01:13:34.000]  You want to go home and plug yourself into the matrix.
[01:13:34.000 --> 01:13:36.000]  Why'd you even have kids?
[01:13:36.000 --> 01:13:42.000]  We need people to get aggressive in the face of this and we need folks to.
[01:13:42.000 --> 01:13:54.000]  If you're business owners, don't wait for orders from headquarters. You should be putting billboards up everywhere about the plan to have a coup against Trump, the plan to overthrow America, the plan to take our guns, the plan.
[01:13:54.000 --> 01:13:55.000]  We're kicking their butt.
[01:13:55.000 --> 01:14:03.000]  That's going to cause them to have a all or nothing battle the bulge attack, a counter attack on us that you're now seeing them organize.
[01:14:03.000 --> 01:14:06.000]  And so, you notice Newsweek said, I'm calling for a violent coup.
[01:14:06.000 --> 01:14:07.000]  I want a civil war.
[01:14:07.000 --> 01:14:18.000]  Now, I said they want a violent coup. They want a civil war. Trump and his Justice Department must move against the criminal preparations that are totally illegal.
[01:14:18.000 --> 01:14:29.000]  According to so many federal laws, it makes my head spin to overthrow an elected president to try to shut down the press, to have the CIA admittedly in Congress saying they want to shut down the independent media.
[01:14:29.000 --> 01:14:40.000]  All of this is illegal and all of it's out of control and the Russian and Chinese ties of the Democrats and the illegal servers and the stealing the Haitian money and the 12 million she got in Morocco from the king.
[01:14:40.000 --> 01:14:46.000]  We have to move against them on every front politically exposing them as the criminals.
[01:14:46.000 --> 01:14:53.000]  They're trying to normalize military coup right now to try to do it, to try to get their people to follow the order to do it.
[01:14:53.000 --> 01:14:59.000]  Guaranteed they've already been given orders to try to get a coup going and these rogue agencies, it had to happen.
[01:14:59.000 --> 01:15:06.000]  But they're trying to organize it and they're trying to work with outside groups and we're so wide open, ladies and gentlemen, they might get away with it.
[01:15:06.000 --> 01:15:11.000]  So I'm here to tell you, Trump needs to come out and address the nation. He needs to point this out.
[01:15:11.000 --> 01:15:22.000]  And then we need to see indictments of these people. We need to see Brennan and Clapper indicted for sedition, indicted for treason, indicted for multinational espionage.
[01:15:22.000 --> 01:15:29.000]  This corporate fraud is so big they come in and take over your whole government and then try to get rid of your free press, get rid of your president.
[01:15:29.000 --> 01:15:32.000]  They can keep selling the country out.
[01:15:32.000 --> 01:15:40.000]  So again, we need everybody to understand this is hardcore. This is real. This is happening and the danger is not spreading the word.
[01:15:40.000 --> 01:15:47.000]  They want to just calmly start talking about, yeah, the cops deserve to get shot. Yeah, we need to burn down the cities.
[01:15:47.000 --> 01:15:57.000]  You know, yeah, we need to, you know, kill some of these governors. Yeah, Trump needs to die. We need to have the military overthrow him. Yeah, you know, he's a Russian. Yeah.
[01:15:57.000 --> 01:16:06.000]  It's time for us bipartisan lead to just kind of, it's no big deal. Hey, everybody be calm when this happens and we don't the country torn apart.
[01:16:06.000 --> 01:16:15.000]  They're trying to get the talking points out for when they drop a 2000 pound bomb on Trump.
[01:16:15.000 --> 01:16:22.000]  Turn the air defenses off and have one of their crazies. They've already got picked out going there. I'm telling you, folks, the sky's the limit.
[01:16:22.000 --> 01:16:28.000]  I bet they got pilots ready to get in war hogs right now somewhere in Virginia.
[01:16:28.000 --> 01:16:34.000]  You understand the president needs to go in a bunker. He needs to declare this is going on. We're already in a civil war.
[01:16:34.000 --> 01:16:42.000]  They admit it. And here's Clapper and here's Brennan on the stage calling for coup. Here it is.
[01:16:42.000 --> 01:16:51.000]  But this is where the work of Robert Mueller is critical to our future as a country because I, you know, in some respects, we're a government and a nation in crisis right now.
[01:16:51.000 --> 01:17:00.000]  You have confidence in this special counsel. Absolutely. You both worked with him for a long time when he was head of the FBI. Absolutely. That was an inspired choice.
[01:17:00.000 --> 01:17:08.000]  They don't come any better. And nobody better than Bob Mueller, who is a straight shooter and will not be intimidated by any anything.
[01:17:08.000 --> 01:17:17.000]  If he's fired by Mr. Trump, or he's tempted to be fired by Mr. Trump, I hope, I really hope that our members of Congress or elected representatives are going to stand up and say enough is enough
[01:17:17.000 --> 01:17:24.000]  and stop making apologies and excuses for things that are happening that really flout, I think, our system of laws and government here.
[01:17:24.000 --> 01:17:26.000]  Well, when you say enough is enough.
[01:17:26.000 --> 01:17:38.000]  Well, isn't that if he's fired? And he's the president of the United States. He could tell Rosenstein to fire him if he wants. But if he's fired, what would you want Congress to do?
[01:17:38.000 --> 01:17:48.000]  Well, first of all, I think it's the obligation of some executive branch officials to refuse to carry out some of these orders that, again, are inconsistent with what this country is all about.
[01:17:48.000 --> 01:18:02.000]  But I would just hope that this is not going to be a partisan issue, that Republicans and Democrats are going to see that the future of this country is at stake, and there needs to be some things done for the good of the future.
[01:18:02.000 --> 01:18:20.000]  So he wants an executive branch coup, and he's saying we've got McCain, we've got other people on board, the Republican leadership, to then call out the Freedom Caucus and the American Restoration Groups. And notice, he tries to sell it like it's a good thing.
[01:18:20.000 --> 01:18:28.000]  They're the ones illegally spying on the Trump campaign and illegally fixing the polls and illegally fixing the questions for Hillary.
[01:18:28.000 --> 01:18:33.000]  They've all been caught. They're discredited. They have no evidence that this were made up Russia crap.
[01:18:33.000 --> 01:18:37.000]  Other than that, Trump's trying to find dirt on Hillary. Good. That's what we need.
[01:18:37.000 --> 01:18:43.000]  Trump said, give us the WikiLeaks emails if you got them. He said that on the stage. It's not hiding it.
[01:18:43.000 --> 01:18:49.000]  When we come back, Owen Schreuer's riding shotgun with us. I want to open the phones up as well, but this is a big deal.
[01:18:49.000 --> 01:18:58.000]  Please don't forget, we need your support and prayers now more than ever. Thank you for standing with us in this battle for the Republic. We have the initiative. We have the moral high ground.
[01:18:58.000 --> 01:19:06.000]  We're beginning to win, but the enemy is now counter striking. We need your prayers today. The president needs your prayers around the clock. Please lift us up in prayer.
[01:19:06.000 --> 01:19:13.000]  We don't believe in it. We depend on it. We know it. It's beyond believing it. We know it. It's in my bones. It's in my gut.
[01:19:13.000 --> 01:19:21.000]  And we also have big sales. These are the biggest sales ever of super female vitality. I just wanted to do it. 57% off.
[01:19:21.000 --> 01:19:30.000]  So that is a loss leader, almost a loss leader. Super male is about to be sold out. It's specials over. It's a regular full price of super female works great for men as well.
[01:19:30.000 --> 01:19:36.000]  Women, you really should try it will be those stamina energy and the more debilitated you've been or you'll feel it.
[01:19:36.000 --> 01:19:50.000]  Five star reviews are in the thousands info wars life.com or triple a two five three three one three nine silver bullet coital silver 66% off caveman and both flavors chocolate and strawberry 25% off.
[01:19:50.000 --> 01:20:06.000]  Michael ZX a giant 46% off the amazing system and go after not just the bad bacteria but the fungus and stuff in your guts DNA for 20% off big sales on water filters, air purifiers and more. They're all about to end. They have to end and free shipping ends in a couple days.
[01:20:06.000 --> 01:20:21.000]  That's a no brainer. A big Berkey water filter is the one you need. Period. You need a water filter that removes chlorine, fluoride, pharmaceuticals, BPA and other endocrine disruptors, pesticides, bacteria, viruses and much more. Right.
[01:20:21.000 --> 01:20:48.000]  You want to save money in a place that gives you growth, control and certainty without stock market risk or tax risk and you want guarantees and you want it all tax free. That's a tall order.
[01:20:48.000 --> 01:21:03.000]  But you can get all of that with properly designed participating whole life insurance. Most people think life insurance pays after you're dead. That's true. But you can have tax free access to use your life insurance while you're alive. Get the free book to find out how.
[01:21:03.000 --> 01:21:29.000]  Call 702-660-7000.
[01:21:34.000 --> 01:21:48.000]  Are you one of the 15 million men who suffer from an enlarged prostate? If your life revolves around finding the closest bathroom, if you're tired of waking up many times a night to urinate, then you need to know about prostate miracle.
[01:21:48.000 --> 01:22:06.000]  Prostate miracle contains beta cytosterol, which is 3000 times stronger than salt bow metal. To claim your $10 Patriot discount, go to prostatemiracle.com and enter promo code PATRIOT or call 877-965-2140. That's 877-965-2140.
[01:22:06.000 --> 01:22:22.000]  It's been said, any society is only three missed meals away from chaos. Those times may be near. Think about it, our country faces multiple terrorist threats and aggressions from Russia and North Korea. Social unrest and violent marches yet again may lead to looting of stores and city shutdowns.
[01:22:22.000 --> 01:22:37.000]  And a crumbling infrastructure leaves our power grid vulnerable to long-term allergies from a single cyber attack. When the chaos from any one of these threats arises, the government knows it can't provide during a widespread national emergency. That's why you need your own plan for self-reliance.
[01:22:37.000 --> 01:22:57.000]  That's where my Patriot supply comes in. Get a 4-week survival food supply for only $99. That includes breakfast, lunches and dinners. Order online at preparewithgcn.com. 99 bucks for 4 weeks of survival food that tastes like homemade cooking and lasts up to 25 years from my Patriot supply.
[01:22:57.000 --> 01:23:05.000]  Get your kits today at preparewithgcn.com. Free shipping is included. Prepare with gcn.com.
[01:23:05.000 --> 01:23:17.000]  Are you one of the 15 million men who suffer from an enlarged prostate? If your life revolves around finding the closest bathroom, if you're tired of waking up many times a night to urinate, then you need to know about prostate miracle.
[01:23:17.000 --> 01:23:35.000]  Prostate miracle contains beta cytosterone which is 3,000 times stronger than salpone metal. To claim your $10 Patriot discount, go to prostatemiracle.com and enter promo code PATRIOT or call 877-965-2140. That's 877-965-2140.
[01:23:47.000 --> 01:23:56.000]  It's fully functional, off-the-grid, mobile survival bug outhouse that's well equipped and custom built to outlast any other RV or trailer. Bold statement, you bit.
[01:23:56.000 --> 01:24:19.000]  See him now at survivalistcamps.com. That's survivalistcamps.com. Trust your family survival to survivalistcamps.com.
[01:24:19.000 --> 01:24:43.000]  These are the times the tribe men and women's souls, my friend. Thank you for joining us. We are at a historic crossroads. The Democratic Party is openly calling for martial law, a shutdown of free press, and the former CIA director Brennan on a stage with Wolf Blitzer and of course the former head of national intelligence as well.
[01:24:43.000 --> 01:25:02.000]  They're calling for a coup against President Trump. President Trump must go public about this. President Trump must, via the Justice Department, move against incredible criminal activity like this.
[01:25:02.000 --> 01:25:18.000]  Now, they're also spinning this, trying to say, oh, if he removes Mueller, then we have a right to do this. No, the president has the right to do that. If Congress wants to try to impeach him, they can.
[01:25:18.000 --> 01:25:43.000]  It's the separation of powers, but the bureaucracy, Democrats that have appointed FBI directors, law firms that are giving themselves tens of millions of dollars to run this witch hunt were 99.8% of the people that are donating money to political parties are giving it to the Democrats and Hillary and Mueller's law firm.
[01:25:43.000 --> 01:26:00.000]  Total conflict of interest. Two of the people on this new witch hunt, special investigators, special counsel group, were fired by Trump, working for the federal government as U.S. attorneys. This is a joke.
[01:26:00.000 --> 01:26:09.000]  This is a joke. Again, it's like a man divorcing his wife and he's the judge, the family law judge that sits on his own case.
[01:26:09.000 --> 01:26:20.000]  And Trump's going, what are you doing? Now they've expanded it to all his finances, all his companies, all his family, all his associates, everybody in his campaign to try to find something.
[01:26:20.000 --> 01:26:28.000]  And they're using illegal spying to get it. It's so un-American. President Trump must move against the globalist.
[01:26:28.000 --> 01:26:47.000]  President Trump constitutionally must expose this for the public and then have an attorney general that will execute the Constitution faithfully and will go after a multinational coup of private interest and bureaucrats who think they're going to publicly organize a military coup.
[01:26:47.000 --> 01:26:54.000]  That's the killing of the president. Is the president supposed to just sit there and wait till they kill him? That's the question I'm asking.
[01:26:54.000 --> 01:27:01.000]  Is he just going to sit there while they organize a violent overthrow and the shutdown of the free press? Are we going to sit here and take it?
[01:27:01.000 --> 01:27:14.000]  We've got to do it. Pastor Rodney Howard Brown from South Africa who's been on before, by the way, and who has a huge ministry and is a major evangelical who's friends with Trump and led that prayer meeting two weeks ago with Trump.
[01:27:14.000 --> 01:27:21.000]  He met with a senior Republican congressman who said the plan for violent overthrow is imminent. They're organizing it now.
[01:27:21.000 --> 01:27:34.000]  Well, hell, you just saw earlier I played the clip. Brennan up there with Clapper on TV saying we're organizing a bipartisan overthrow of the president.
[01:27:34.000 --> 01:27:40.000]  He said, we're taking action. We're moving in this direction. We're taking the steps.
[01:27:40.000 --> 01:27:54.000]  You go, why would they tell you about a coup? They've got to get everybody sold on it in the bureaucracy. That's what's letting you know they took the safety off. They got the switches ready. They're turning the nuclear keys.
[01:27:54.000 --> 01:28:03.000]  You think we can all just sit here and put up with this? You think you're going to be safe with these people? You think they're just going to stop there? They're going to loot everything. They're monsters.
[01:28:03.000 --> 01:28:12.000]  And they're trying to tell Republicans, go along with this. We'll leave you in power. They're not going to leave anybody in power. They want a one party system because they've been rejected.
[01:28:12.000 --> 01:28:15.000]  And they admit that's what they want.
[01:28:15.000 --> 01:28:21.000]  Owen Troyer, how epic is this moment we're facing? And what do you think the president should do specifically?
[01:28:21.000 --> 01:28:28.000]  Well, earlier you were saying, what do we do to raise the alarm? How do we get the American public to realize what's going on?
[01:28:28.000 --> 01:28:37.000]  And I think that President Trump has realized that now he needs an attorney general that's going to do that. He needs an attorney general that's going to be vocal.
[01:28:37.000 --> 01:28:43.000]  He needs an attorney general that's going to come out and say, hey, look at all these violent Democrats calling for a coup against Trump.
[01:28:43.000 --> 01:28:51.000]  Look at Bernie Sanders calling the Republicans an extremist party. And then Steve Scalise and four other people get shot at a baseball practice.
[01:28:51.000 --> 01:29:00.000]  Look at them saying openly they want a coup against Trump. Look at them saying openly they don't want to engage with Trump in making America great again.
[01:29:00.000 --> 01:29:07.000]  He's not getting that. Nobody's saying that for him. He's not getting that public support from anyone in Congress, from anyone in his administration.
[01:29:07.000 --> 01:29:11.000]  He's got Scaramucci now that seems to be doing it this week coming out.
[01:29:11.000 --> 01:29:18.000]  But I think that that's what Trump needs to do right now to try to get that into the mainstream. Get that rhetoric. Get what you're talking about out there.
[01:29:18.000 --> 01:29:22.000]  I agree because look, InfoWars is his main support base. They know that's why they're attacking us.
[01:29:22.000 --> 01:29:26.000]  Because the American people, we're not scared. We're not going to be slaves to the globalists. We're done.
[01:29:26.000 --> 01:29:34.000]  But all those cowards in Washington are trying to hedge their bets. And he's just got to get real people around him that aren't playing ball with the globalists.
[01:29:34.000 --> 01:29:39.000]  Because look, I'd compromise to get the country going. They're not going to compromise. They're never going to stop.
[01:29:39.000 --> 01:29:47.000]  Well, Scaramucci says he's going to fire everybody that leaks. So I think Trump needs to fire anybody who's not willing to get behind him 100%.
[01:29:47.000 --> 01:29:54.000]  That's right. I want to talk specifically to military law enforcement and others, people in other countries that have lived under coups, you name it.
[01:29:54.000 --> 01:30:01.000]  When we come back, 800-25-99231, first-time callers, 800-25-99231.
[01:30:01.000 --> 01:30:19.000]  We hold these truths to be self-evident that all men are created equal, that they are endowed by their creator with certain unalienable rights, that among these are life, liberty, and the pursuit of happiness.
[01:30:19.000 --> 01:30:36.000]  That to secure these rights, governments are instituted among men, deriving their just powers from the consent of the governed. That whenever any form of government becomes destructive of these ends, it is the right of the people to alter or to abolish it and to institute new government.
[01:30:36.000 --> 01:30:44.000]  Independence isn't a day. It's a mindset, an attitude that says, I will not be your dependent. I will not be your slave.
[01:30:44.000 --> 01:30:50.000]  Independence and slavery is a chain that is forged link by link with gradual infringements.
[01:30:50.000 --> 01:31:00.000]  When you trade your liberty for safety, to that extent, you become their slave. Slaves are never safe. You won't get rich by being a slave.
[01:31:00.000 --> 01:31:04.000]  Guard your liberty, regard with suspicion anyone who tries to take it.
[01:31:04.000 --> 01:31:15.000]  For Infowars.com, I'm David Knight.
[01:31:35.000 --> 01:31:43.000]  We carefully select pure and simple ingredients to create formulas that are certified USDA made with organic.
[01:31:43.000 --> 01:31:48.000]  Our mission is to offer you everyday organic household products to enhance your life.
[01:31:48.000 --> 01:31:53.000]  Truly feel the difference by going organic natural without compromising on quality.
[01:31:53.000 --> 01:32:00.000]  Feel good about using Emmerich's Essentials. Start saving money and stop exposing yourself and your family to toxic ingredients.
[01:32:00.000 --> 01:32:05.000]  Infowarsstore.com and learn more about the new Emmerich's Essentials line of organic products.
[01:32:05.000 --> 01:32:30.000]  That's Infowarsstore.com.
[01:32:35.000 --> 01:32:58.000]  I personally encounter this onslaught with Anthroplex. Anthroplex is designed with known organic concentrated herbs to create the basic foundation to normal metabolic activity inside the human body.
[01:32:58.000 --> 01:33:08.000]  Discover why Anthroplex has turned so many heads today. It's time for us to take our bodies back into our own hands and it starts at infowarslife.com with Anthroplex.
[01:33:29.000 --> 01:33:35.000]  The conspiracy du jour, Hillary Clinton is harboring a secret medical condition.
[01:33:35.000 --> 01:33:37.000]  You just had to keep digging, didn't you, Alex?
[01:33:37.000 --> 01:33:40.000]  I heard it on Alex Jones, so I know the truth.
[01:33:40.000 --> 01:33:51.000]  Google is being accused of hiding negative stories about Hillary and her campaign by changing its algorithm to bury stories like the Clinton's body count stories that's according to website Infowars.
[01:33:51.000 --> 01:33:53.000]  And this really, this is so disgusting.
[01:33:53.000 --> 01:34:00.000]  The juice of these pickles is on you, Alex Jones.
[01:34:00.000 --> 01:34:03.000]  It goes right from Alex Jones and it shows up in Donald Trump's mouth.
[01:34:03.000 --> 01:34:06.000]  Hillary Clinton created ISIS with Obama.
[01:34:06.000 --> 01:34:12.000]  The very fringe of the conspiracy movement like Alex Jones are being kind of incorporated into the campaign.
[01:34:12.000 --> 01:34:14.000]  If Trump gets elected, he's going to be Secretary of Defense.
[01:34:14.000 --> 01:34:16.000]  I think that Alex Jones is a lunatic.
[01:34:16.000 --> 01:34:19.000]  Move, bitch! Get out of the way!
[01:34:19.000 --> 01:34:24.000]  Bill Clinton is a rapist. Infowars.com.
[01:34:24.000 --> 01:34:28.000]  Bill Clinton is a rapist. Infowars.com. Infowars.com. Bill Clinton is a rapist.
[01:34:28.000 --> 01:34:31.000]  The New World Order sends its regards.
[01:34:34.000 --> 01:34:41.000]  If you are receiving this transmission, you are the Resistance. It's Alex Jones.
[01:34:41.000 --> 01:34:50.000]  All right, so here in America, we're at a turning point tonight with forces now forming an alliance to try and remove President Trump from office.
[01:34:50.000 --> 01:34:51.000]  It's that serious.
[01:34:51.000 --> 01:34:57.000]  This is not a diversionary tactic. This stuff is real here. This coup, this silent coup that is taking place is real.
[01:34:57.000 --> 01:35:05.000]  A soft coup is underway right here in the United States of America in an attempt to overturn November's election results
[01:35:05.000 --> 01:35:16.000]  and forcibly remove a duly elected president from office. Sinister forces quickly aligning in what is becoming now, in my mind, a clear and present danger.
[01:35:16.000 --> 01:35:25.000]  As I got to go into the Congress and spend three hours from 9.30 in the evening to 12.30 a.m. with one of the senior ranking members of Congress,
[01:35:25.000 --> 01:35:32.000]  and he told me, and of course this is what I said on CBN, but they cut it out, but I'm going to go public with this because we have to.
[01:35:32.000 --> 01:35:39.000]  He said, there is a plot on Capitol Hill to take the president out. I said, you mean by impeachment or by endowment?
[01:35:39.000 --> 01:35:41.000]  He said, no, to take him out.
[01:35:41.000 --> 01:35:47.000]  This is an effort to subvert the administration of President Donald Trump. It is nothing less.
[01:35:47.000 --> 01:35:57.000]  It is an effort by the deep state to roll over a duly elected president and a legitimate government and to break the will of the American people.
[01:35:57.000 --> 01:36:04.000]  You can read between the lines. I said, look, I said that's not going to happen. He said, well, really, there's nothing we can do to stop it.
[01:36:04.000 --> 01:36:10.000]  I said, we are going to stop it because we are going to mobilize the body of Christ to pray.
[01:36:10.000 --> 01:36:15.000]  And the best description of it is by Barry Castleman in his blog where he said, this is a coup d'etat.
[01:36:15.000 --> 01:36:22.000]  He said 14 million citizens in private ballots picked Donald Trump, 20 TV executives have decided to destroy him.
[01:36:22.000 --> 01:36:28.000]  This is no longer about Republicans and Democrats, conservatives and liberals.
[01:36:28.000 --> 01:36:39.000]  This is about a full on assault by the left, the Democratic Party, to absolutely carry out a coup d'etat against President Trump.
[01:36:39.000 --> 01:36:59.000]  Now, I'm going to play for you. That's the last few months. Rush Limbaugh, Sean Hannity, former Speaker of the House, Newt Gennrich, senior pastors, Trump's pastor, basically, meeting at the White House, the senior member of Congress.
[01:36:59.000 --> 01:37:03.000]  This is just last week, breaking this week.
[01:37:03.000 --> 01:37:12.000]  And CBN is afraid to run it. And I understand.
[01:37:12.000 --> 01:37:14.000]  This is real.
[01:37:14.000 --> 01:37:20.000]  He has to understand they're in publications that government reads trying to get it ready.
[01:37:20.000 --> 01:37:22.000]  And again, they're not just going to kill Trump.
[01:37:22.000 --> 01:37:25.000]  And believe me, they're going to kill him if they try.
[01:37:25.000 --> 01:37:30.000]  They're not going to let him haul him before a court in chains, turn him into a superhero.
[01:37:30.000 --> 01:37:35.000]  He's going to be a big enough martyr already.
[01:37:35.000 --> 01:37:41.000]  They're going to try to politically destroy him, then kill him, then bring out horrible lies about him so he can't defend himself.
[01:37:41.000 --> 01:37:43.000]  They're going to go after all the opposition.
[01:37:43.000 --> 01:37:45.000]  You notice Ron Paul's starting to back Trump.
[01:37:45.000 --> 01:37:47.000]  He knows how much trouble Trump's in.
[01:37:47.000 --> 01:37:51.000]  He says, quote, Trump's backs against the wall when he was on last week and said he's doing a good job.
[01:37:51.000 --> 01:38:00.000]  Ron Paul says he gets up. In fact, I never played that clip last week. We pull that up. He wakes up every morning and thanks God, Donald Trump is president, or we'd already be in giant wars.
[01:38:00.000 --> 01:38:02.000]  That's the fact.
[01:38:02.000 --> 01:38:05.000]  That's Ron Paul.
[01:38:05.000 --> 01:38:08.000]  Those are good guys. They understand now.
[01:38:08.000 --> 01:38:11.000]  You notice the polls now weren't supporting Trump.
[01:38:11.000 --> 01:38:13.000]  Now they are because they understand folks.
[01:38:13.000 --> 01:38:17.000]  He's the figurehead and they're putting everything they can to take him down.
[01:38:17.000 --> 01:38:23.000]  If they get Trump, if they get Trump, they're going to get Ron Paul.
[01:38:23.000 --> 01:38:25.000]  They're going to get Rand Paul. They're going to get me.
[01:38:25.000 --> 01:38:30.000]  They're going to get Matt drugs. They're going to get Sean Hannity. They're going to get Rush Limbaugh.
[01:38:30.000 --> 01:38:32.000]  Now is Rush Limbaugh perfect? No.
[01:38:32.000 --> 01:38:34.000]  Is Hannity perfect? No. Am I perfect? No.
[01:38:34.000 --> 01:38:36.000]  We're not out to get the country.
[01:38:36.000 --> 01:38:41.000]  We believe in prosperity. We believe in open religious freedom. We're Christians.
[01:38:41.000 --> 01:38:43.000]  We believe in America.
[01:38:43.000 --> 01:38:45.000]  We're not selling out to radical Islam.
[01:38:45.000 --> 01:38:49.000]  We're not trying to sexualize kids. We're just decent people.
[01:38:49.000 --> 01:38:53.000]  Does that mean Republicans don't walk the deep end sometimes? Absolutely.
[01:38:53.000 --> 01:38:56.000]  Does it mean the Republican establishment is horrible? Absolutely.
[01:38:56.000 --> 01:38:58.000]  Did it mean Limbaugh has been too easy on them? Yes.
[01:38:58.000 --> 01:39:00.000]  But all that's over, folks.
[01:39:00.000 --> 01:39:03.000]  The Republican establishment knows their days are number two.
[01:39:03.000 --> 01:39:06.000]  That's why they're combined in this evil combination,
[01:39:06.000 --> 01:39:09.000]  this trifecta of MSM, foreign corporations,
[01:39:09.000 --> 01:39:14.000]  and the political class in this country that want to stay in control.
