[00:00:03.752 --> 00:00:04.893]  He just signed it!
[00:59:04.943 --> 00:59:08.387]  HomeGain.com will help you find a realtor to buy or sell a home.
[00:59:08.607 --> 00:59:11.049]  It's so easy, and best of all, it's free!
[00:59:11.049 --> 00:59:19.335]  At HomeGain.com you can compare realtors anonymously, receive customized proposals, see consumer reviews, then select the best realtor for you.
[00:59:19.335 --> 00:59:25.179]  Go to HomeGain.com and get an instant home value estimate, view comparable homes, and check out street views.
[00:59:25.179 --> 00:59:34.826]  HomeGain.com has an A-plus rating with the Better Business Bureau and contains a wealth of information, like their Home Improvement Tool that helps you determine which home improvements to make to increase your home's value.
[00:59:35.086 --> 00:59:38.248]  See the top 12 home improvements right now at HomeGain.com.
[00:59:38.248 --> 00:59:41.209]  That's H-O-M-E-G-A-I-N dot com.
[00:59:41.209 --> 00:59:53.535]  Look for Max, the Orange Home Gain Gorilla, to help you find a realtor or with any other real estate needs you might have at HomeGain.com, your real estate connection.
[00:59:53.535 --> 00:59:55.936]  Waging war on corruption.
[00:59:55.936 --> 00:59:58.698]  Alex Jones on the GCM Radio Network.
[01:00:05.339 --> 01:00:10.163]  Big Brother, Mainstream Media, Government Cover-Ups.
[01:00:10.163 --> 01:00:11.765]  You want answers?
[01:00:11.765 --> 01:00:12.666]  Well, so does he.
[01:00:12.666 --> 01:00:17.510]  He's Alex Jones on the GCN Radio Network.
[01:00:17.510 --> 01:00:22.515]  And now, live from Austin, Texas, Alex Jones.
[01:00:22.515 --> 01:00:28.761]  Mike Adams, the Health Ranger, joins us from an alternative medicine view of the healthcare bill.
[01:00:30.814 --> 01:00:37.637]  He calls it a health care dictatorship, a crime against America, forcing you in to the corrupt medical system.
[01:00:37.637 --> 01:00:39.938]  The big insurance companies wrote the bill.
[01:00:39.938 --> 01:00:43.959]  We're going to go over that from Businessweek and other publications.
[01:00:43.959 --> 01:00:52.723]  Then in 30 minutes when he leaves us, wide open phones, your response to the health care bill and how we're going to defeat it.
[01:00:52.723 --> 01:00:54.483]  You're looking for the Republicans to defeat it.
[01:00:54.483 --> 01:00:55.844]  Don't hold your breath.
[01:00:55.844 --> 01:00:57.124]  That is coming up.
[01:00:57.124 --> 01:00:58.545]  Mike Adams, good to have you here with us.
[01:01:00.250 --> 01:01:01.291]  Great show, Alex.
[01:01:01.291 --> 01:01:02.591]  Great show.
[01:01:02.591 --> 01:01:05.273]  Important topic, and it is a healthcare dictatorship.
[01:01:05.273 --> 01:01:07.854]  Where do you want to start on this?
[01:01:07.854 --> 01:01:11.336]  Well, I mean, you can talk about areas of the bill you have problems with.
[01:01:11.336 --> 01:01:14.697]  McCain trying to ban vitamins and minerals in the U.S.
[01:01:14.697 --> 01:01:17.058]  Canada has announced they're doing it.
[01:01:17.058 --> 01:01:19.960]  People need to realize this stuff is really happening.
[01:01:19.960 --> 01:01:23.362]  But no, I mean, just whatever you think is most important.
[01:01:23.362 --> 01:01:25.983]  It's a big area to cover, but just dive right in, Mike.
[01:01:26.459 --> 01:01:29.961]  Well, yesterday, I was in the office of Dr. Julian Whitaker.
[01:01:29.961 --> 01:01:33.462]  He runs the largest alternative medicine clinic in North America.
[01:01:33.462 --> 01:01:36.704]  He's one of the pioneers of health freedom.
[01:01:36.704 --> 01:01:38.225]  And he and I were talking about this.
[01:01:38.225 --> 01:01:40.166]  He was absolutely fuming.
[01:01:40.166 --> 01:01:42.507]  He just couldn't believe that this had happened.
[01:01:43.107 --> 01:01:46.869]  In America, this is supposed to be a free country where people have free choice.
[01:01:46.869 --> 01:01:49.150]  But now we are all locked in.
[01:01:49.150 --> 01:01:51.991]  We're locked in into a monopoly system.
[01:01:51.991 --> 01:01:53.792]  A system that's broken, Alex.
[01:01:53.792 --> 01:01:55.413]  I mean, it doesn't even work.
[01:01:55.413 --> 01:01:59.815]  All these drugs and surgeries and medications and vaccines.
[01:01:59.815 --> 01:02:01.556]  This is what we're being forced into?
[01:02:01.556 --> 01:02:02.916]  Without a choice?
[01:02:02.916 --> 01:02:04.137]  Being penalized?
[01:02:04.137 --> 01:02:05.257]  Well, that's the key.
[01:02:05.257 --> 01:02:10.640]  They penalize any surgery or any medicine or anything the government
[01:02:11.574 --> 01:02:13.355]  I don't know.
[01:02:32.500 --> 01:02:40.466]  Well, this is the conclusion we came to, that the medical system, the monopoly, cannot afford to let Americans have a free choice.
[01:02:40.466 --> 01:02:53.335]  Because if they did, if people chose supplements, if people chose vitamin D and sunlight and even tanning beds, actually they help your body create vitamin D. It's been scientifically proven in clinical trials by Dr. Michael Hollick.
[01:02:53.915 --> 01:03:04.280]  They cannot let people have that free choice, because the cancer industry would lose money, the pharmaceutical industry would lose money, and they would lose patients out to natural medicine.
[01:03:04.280 --> 01:03:20.949]  We have, I wrote this in the article you mentioned, we have a vitamin D deficiency epidemic in America, and any real healthcare reform, Alex, should start with nutrition, so that we can prevent disease, and prevent these costs, and prevent our nation from going bankrupt from healthcare costs.
[01:03:22.008 --> 01:03:38.710]  When we come back, we'll talk about that and break it down, but they know that you need moderate sun and that literally hundreds of major studies show that most cancer is generated because you do have this deficiency of the vitamin that the sunlight interacts with the skin and creates.
[01:03:39.150 --> 01:03:42.131]  They know sodium fluoride in the water is giving people cancer.
[01:03:42.131 --> 01:03:47.593]  They know GMO food is massively increasing stomach, intestine, and colon cancer.
[01:03:47.593 --> 01:03:50.154]  The government doesn't want you to be healthy and happy.
[01:03:50.154 --> 01:03:54.756]  They're poisoning people by design and pushing Ritalin and Prozac on the population.
[01:03:54.756 --> 01:03:55.216]  Yeah.
[01:03:55.216 --> 01:03:56.076]  Yeah, that's right.
[01:03:56.076 --> 01:04:00.078]  And now they're making it even more difficult to get out of that.
[01:04:00.078 --> 01:04:03.719]  And with McCain and his effort that I call Pharmageddon,
[01:04:04.455 --> 01:04:17.908]  He's trying to just censor supplements and make sure that people can't even get therapeutic doses of basic vitamins like vitamin C, things that we know help prevent disease.
[01:04:17.908 --> 01:04:21.671]  I'm surprised, Alex, at how bad this is getting now in America.
[01:04:21.671 --> 01:04:24.314]  It scares me, too.
[01:04:24.314 --> 01:04:26.636]  Mike, we're going to go to break and I'm going to come in with a minute or two.
[01:04:26.636 --> 01:04:28.838]  We'll bomb up from his signing.
[01:04:30.323 --> 01:04:32.245]  And it's unconstitutional.
[01:04:32.245 --> 01:04:32.965]  It's criminal.
[01:04:32.965 --> 01:04:34.587]  It's government control over our lives.
[01:04:34.587 --> 01:04:35.848]  We know the government is corrupt.
[01:04:35.848 --> 01:04:37.389]  We know they lie continually.
[01:04:37.389 --> 01:04:39.130]  We know they don't have our best interest at heart.
[01:04:39.130 --> 01:04:41.632]  We know the big banks and insurance companies wrote this.
[01:04:41.632 --> 01:04:44.955]  We know it goes after alternative care and medicine.
[01:04:44.955 --> 01:04:49.278]  It is just so unbelievable the magnitude of this.
[01:04:49.278 --> 01:04:49.799]  My head
[01:04:51.112 --> 01:04:51.973]  It is spinning.
[01:04:51.973 --> 01:05:00.721]  It literally is spinning right now, attempting to cover and break all of this evil down, but from an alternative medicine and vitamin and nutrients view.
[01:05:00.721 --> 01:05:01.202]  Stay with us.
[01:05:01.202 --> 01:05:04.225]  Hello, this is Alex Jones with some important questions.
[01:05:04.225 --> 01:05:09.570]  If you're going into a battle and they give you a rifle and a sidearm, how much ammunition do you want?
[01:05:09.570 --> 01:05:11.612]  My answer would be all I can get.
[01:05:11.612 --> 01:05:14.495]  In the battle for freedom and the lives of your loved ones,
[01:05:14.835 --> 01:05:16.577]  Food is your only ammunition.
[01:05:16.577 --> 01:05:17.778]  How much do you want?
[01:05:17.778 --> 01:05:18.899]  When do you want it?
[01:05:18.899 --> 01:05:20.780]  Now or after the battle starts?
[01:05:20.780 --> 01:05:21.861]  When will you need it?
[01:05:21.861 --> 01:05:24.063]  Can you buy it without proper identification?
[01:05:24.063 --> 01:05:25.404]  Will there be any food?
[01:05:25.404 --> 01:05:26.926]  Will it make your children sick?
[01:05:26.926 --> 01:05:32.211]  If there's a quarantine and you can't feed yourself, will you go to the gathering center and be immunized?
[01:05:32.211 --> 01:05:35.794]  You wipe out all these problems if you have a good food supply.
[01:05:35.794 --> 01:05:39.257]  Food is your ammunition to fight for your freedom and your life.
[01:05:39.597 --> 01:05:40.818]  How much will you need?
[01:05:40.818 --> 01:05:41.719]  We don't know.
[01:05:41.719 --> 01:05:42.821]  How much do you want?
[01:05:42.821 --> 01:05:43.762]  All you can get.
[01:05:43.762 --> 01:05:44.843]  I'm Alex Jones.
[01:05:44.843 --> 01:05:47.906]  I want all of you good guys to live to fight another day.
[01:05:47.906 --> 01:05:50.109]  Call 1-800-409-5633 or check it out on the web at efoodsdirect.com.
[01:05:50.109 --> 01:05:51.110]  Again, that number 1-800-409-5633.
[01:06:00.725 --> 01:06:07.330]  When you're out on the road, the last place you want to be is on the road.
[01:06:07.330 --> 01:06:12.474]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[01:06:12.474 --> 01:06:21.200]  There's a place down in Tennessee where they make blue diamond gusset jeans.
[01:06:21.200 --> 01:06:25.263]  They sew pride in every stitch.
[01:06:25.263 --> 01:06:27.245]  Guarantee you'll love the way they fit.
[01:06:29.571 --> 01:06:34.292]  They put a Diamond Gusset in the crotch, where you need it most.
[01:06:34.292 --> 01:06:38.113]  Blue Diamond Gussets, got it.
[01:06:38.113 --> 01:06:39.353]  Others don't.
[01:06:39.353 --> 01:06:41.494]  We turn jeans inside out.
[01:06:41.494 --> 01:06:43.294]  Diamond Gusset Jeans.
[01:06:43.294 --> 01:06:46.175]  Made in the USA with unparalleled quality.
[01:06:46.175 --> 01:06:52.796]  Our Defender Motorcycle Jeans combine Gusset comfort with Kevlar protection, so you can ride all day with confidence.
[01:06:52.796 --> 01:06:55.497]  Order yours at gusset.com.
[01:06:55.497 --> 01:06:57.858]  Diamond Gusset Jeans, got it.
[01:06:57.858 --> 01:06:58.738]  Others don't.
[01:07:01.900 --> 01:07:08.582]  Why is drinking pure high alkaline pH water the most important factor in maintaining high energy and vibrant health?
[01:07:08.582 --> 01:07:14.984]  Because alkalizing water helps your body rid itself of acidic waste and increases the oxygen content of your body.
[01:07:14.984 --> 01:07:21.306]  Disease organisms like bacteria, viruses, and cancer cannot survive in an alkaline high pH environment.
[01:07:21.306 --> 01:07:26.208]  AlkaVision Plasma pH Drops combine a unique formula of the most alkaline minerals.
[01:07:26.688 --> 01:07:34.879]  Using AlkaVision pH Drops is the best way to make your water alkaline to help you get rid of acid and regain your health and energy.
[01:07:34.879 --> 01:07:39.485]  Simply put 10 drops in the water you drink to raise the pH to an alkaline level.
[01:07:39.485 --> 01:07:43.210]  Most experts agree that the water you drink should be at a pH level of 8 or higher.
[01:07:44.131 --> 01:07:45.452]  After almost a century of trying.
[01:07:45.452 --> 01:07:46.833]  Today, after over a year of debate.
[01:08:14.343 --> 01:08:27.046]  Today, after all the votes have been tallied, health insurance reform becomes law in the United States of America.
[01:08:27.046 --> 01:08:41.810]  Today.
[01:08:41.810 --> 01:08:43.291]  He hates America so much.
[01:08:46.095 --> 01:08:51.036]  It is fitting that Congress passed this historic legislation this week.
[01:08:51.036 --> 01:08:51.777]  What a criminal.
[01:08:51.777 --> 01:08:58.619]  For as we mark the turning of spring, we also mark the receiving of winter.
[01:08:58.619 --> 01:09:03.120]  In a few moments, when I sign this bill, all of the overheated rhetoric
[01:09:03.735 --> 01:09:04.235]  We're good.
[01:09:43.747 --> 01:09:46.590]  We are back live, ladies and gentlemen.
[01:09:46.590 --> 01:09:49.812]  Mike Adams, who runs Natural News, is our guest.
[01:09:49.812 --> 01:09:58.919]  One of the preeminent experts on all the attempts by the UN, Codex Alimentarius, John McCain, and the White House to restrict vitamins, minerals, and alternative care.
[01:09:58.919 --> 01:10:00.460]  That is in this bill.
[01:10:00.460 --> 01:10:02.862]  But even mainline surgeries, mainline tests,
[01:10:03.382 --> 01:10:20.956]  Taxes on your health funds, forcing everyone to buy health care, just an absolute rape with armed IRS agents, 16,500 to 20,000 new IRS agents to be involved, looking in your bank accounts, looking at your medical records.
[01:10:20.956 --> 01:10:24.138]  The IRS now controls what medical care you get.
[01:10:24.138 --> 01:10:28.101]  That's not rhetoric, that is the legislation.
[01:10:28.101 --> 01:10:33.025]  Mike Adams, continue getting into what this bill does to alternative care, not just mainline care.
[01:10:33.746 --> 01:10:37.347]  Well, this bill is devastating to alternative care, Alex, because
[01:10:37.828 --> 01:10:47.355]  It excludes it, so it doesn't have any provisions for covering chiropractic care, for example, or acupuncture, or even nutritional medicine.
[01:10:47.355 --> 01:10:51.678]  It doesn't do anything to help Americans take care of their own health.
[01:10:51.678 --> 01:10:57.722]  All it really accomplishes is trapping Americans in a system of disease and sickness and bankruptcy.
[01:10:57.722 --> 01:11:02.285]  This is the same system that is bankrupting states right now, states like California.
[01:11:02.285 --> 01:11:05.608]  This is the same system that's bankrupting families and corporations.
[01:11:06.048 --> 01:11:11.032]  I mean, half the reason we're losing so many jobs to overseas companies is because our U.S.
[01:11:11.032 --> 01:11:15.735]  corporations can't afford the healthcare because it's really sick care.
[01:11:15.735 --> 01:11:17.116]  It's disease care.
[01:11:17.116 --> 01:11:21.359]  And now with this new legislation, it's going to become even less affordable.
[01:11:21.359 --> 01:11:30.906]  I mean, what, an 8% payroll tax on companies that can't or don't provide a system of health insurance that the government wants?
[01:11:30.906 --> 01:11:33.068]  You know, so more jobs are going to go overseas.
[01:11:33.675 --> 01:11:38.476]  This just, this is more of a job loss in America.
[01:11:38.476 --> 01:11:49.459]  This is going to harm our economy even more and it's going to cost, believe me, tens of trillions of dollars in lost economic productivity and extra costs over the next decade.
[01:11:49.459 --> 01:11:54.301]  Tens of trillions of dollars.
[01:11:54.301 --> 01:11:57.922]  Well, break down specifically why you're so concerned about this.
[01:11:59.517 --> 01:12:02.799]  Well, look, our system does not work as it is.
[01:12:02.799 --> 01:12:05.141]  Look, I'm all for reform, Alex.
[01:12:05.141 --> 01:12:06.602]  We need real reform.
[01:12:06.602 --> 01:12:10.265]  We need a system that helps Americans be healthy, like you.
[01:12:10.265 --> 01:12:12.806]  We have compassion for our fellow Americans.
[01:12:12.806 --> 01:12:14.928]  We want people to have less suffering.
[01:12:14.928 --> 01:12:26.456]  We want people to be healthier, more productive, so they live longer and they can earn more money because their brains are working well, they have good cognitive function, and they're actually paying more taxes into the tax base.
[01:12:26.966 --> 01:12:32.750]  To help fund those things that do need to be funded, but that's not what's happening.
[01:12:32.750 --> 01:12:36.493]  In this bill, it is enforcing sick care.
[01:12:36.493 --> 01:12:42.877]  It is taxing people who have chosen to take care of their health and try to stay outside the system.
[01:12:42.877 --> 01:12:44.959]  For example, I don't have health insurance Alex.
[01:12:45.629 --> 01:12:50.030]  And many Americans who are taking care of their health have chosen not to have health insurance.
[01:12:50.030 --> 01:12:51.251]  Well, that's another great point.
[01:12:51.251 --> 01:12:58.673]  I mean, let's say you're 35, 40 years old, you're in great shape, you've got a savings account, you don't want to have to go buy health insurance.
[01:12:58.673 --> 01:13:08.156]  That's why the insurance company lobbies wrote the bill and then they played this propaganda piece about how they were against the bill in the media so they wouldn't get the heat on
[01:13:08.456 --> 01:13:08.716]  I think?
[01:13:38.630 --> 01:13:43.174]  People like Christian scientists who don't believe in mainline healthcare get healthcare.
[01:13:43.174 --> 01:13:50.179]  How are they going to make people who are scared of hospitals, who've almost died in them, of infections and the wrong drugs?
[01:13:50.179 --> 01:13:51.761]  I mean, I'm scared of hospitals.
[01:13:51.761 --> 01:13:54.203]  How are they going to make you go?
[01:13:54.203 --> 01:13:55.864]  I mean, this is just total tyranny!
[01:13:56.144 --> 01:14:02.992]  Well, it is, and this is the difference between conventional medicine versus alternative medicine or holistic medicine.
[01:14:02.992 --> 01:14:10.601]  In the world of alternative and holistic medicine, we believe in free choice, that everybody should have their choice, all parents.
[01:14:10.601 --> 01:14:16.227]  They can choose vaccines if they want, but they should also have the right to choose no vaccine for their children.
[01:14:16.988 --> 01:14:22.690]  But conventional medicine, that is pharmaceutical medicine, does not believe in your right to choose anything.
[01:14:22.690 --> 01:14:26.672]  They believe that if you disagree with them, you should be arrested at gunpoint.
[01:14:26.672 --> 01:14:30.033]  You should have your children taken away from you by Child Protective Services.
[01:14:30.033 --> 01:14:39.397]  You should be forced to have a chemotherapy injection in your veins by a court order because you disagree with their scientists who are all paid off by Big Pharma in the first place.
[01:14:40.086 --> 01:14:45.469]  I mean, this is the key philosophical difference between conventional medicine and natural medicine.
[01:14:45.469 --> 01:14:51.473]  And that's why the entire natural medicine community is just up in arms over this legislation right now.
[01:14:51.473 --> 01:14:54.655]  This is a medical dictatorship that we're now facing.
[01:15:00.598 --> 01:15:02.198]  Well, we're not joking about this.
[01:15:02.198 --> 01:15:03.959]  This is not rhetoric.
[01:15:03.959 --> 01:15:05.119]  You were on hold earlier.
[01:15:05.119 --> 01:15:12.301]  Did you hear me read over 16 of the taxes, and that's only the beginning, that are in this bill?
[01:15:12.301 --> 01:15:19.323]  Excise tax on high-cost employer-sponsored health coverage, but then the big labor unions are exempt.
[01:15:19.323 --> 01:15:24.205]  40% tax if people want to get a nice health care plan where there's no deductible.
[01:15:24.205 --> 01:15:28.826]  You spend $8,500 a year, and the IRS can arbitrarily change this.
[01:15:31.306 --> 01:15:35.668]  Then, for your whole family, then they're going to give you a 40% tax.
[01:15:35.668 --> 01:15:37.849]  So they're saying you can't have too good a care.
[01:15:37.849 --> 01:15:39.329]  That's totally unconstitutional.
[01:15:39.329 --> 01:15:41.630]  Well, it's completely unaffordable.
[01:15:41.630 --> 01:15:44.772]  I mean, I don't know how American families are supposed to be able to pay for this.
[01:15:44.772 --> 01:15:59.558]  And frankly, the only reason that many people can afford to buy organic produce or to buy health foods or nutritional supplements, the things that are keeping them healthy, the only reason that they can afford that is because they're not putting their money into health insurance.
[01:16:00.360 --> 01:16:12.588]  You know, $1,000 a month that you're not spending on health insurance goes a long way towards buying healthy food that keep you healthy and keep you out of the hospital and keep you from getting the flu in the first place.
[01:16:12.588 --> 01:16:16.991]  So now they're going to take away this discretionary income from people.
[01:16:16.991 --> 01:16:25.136]  They're going to leave people stuck in a cycle where the only thing they can afford is processed, genetically modified, corn-made processed
[01:16:27.413 --> 01:16:33.959]  Well, that's another point.
[01:16:33.959 --> 01:16:35.500]  We talked about it briefly earlier.
[01:16:35.500 --> 01:16:40.765]  The government knows they're putting hundreds of dangerous chemicals under the name of sodium fluoride in the water.
[01:16:40.765 --> 01:16:41.866]  They know it's hurting people.
[01:16:41.866 --> 01:16:44.848]  They know the vaccines are hurting people.
[01:16:44.848 --> 01:16:46.069]  They know that
[01:16:49.457 --> 01:16:52.077]  That they want to reduce our population.
[01:16:52.077 --> 01:16:53.618]  They've stated we're living too long.
[01:16:53.618 --> 01:17:02.039]  Tom Daschle, who originally wrote the bill, wrote in his book that old people have a duty to die and that Europeans understand this.
[01:17:02.039 --> 01:17:05.140]  Once they get us all collectivized, now they can play us off.
[01:17:05.140 --> 01:17:06.400]  Old against young.
[01:17:06.400 --> 01:17:07.860]  Young against old.
[01:17:07.860 --> 01:17:11.461]  Alternative medicine against mainline traditional medicine.
[01:17:11.461 --> 01:17:15.582]  They can now regulate how much salt you use, how much meat you eat.
[01:17:15.582 --> 01:17:17.002]  They're openly saying now
[01:17:18.106 --> 01:17:30.918]  That they're going to have comparative care, and under that term the government is going to decide what tests you get, what medical procedures you get, and that they're going to, quote, save health care costs by cutting Medicare and Medicaid.
[01:17:30.918 --> 01:17:33.861]  So all this does is cut the quality of Medicare and Medicaid.
[01:17:35.410 --> 01:17:47.158]  And then put more people on Medicare and Medicaid who can't afford insurance, but then those that are right on the line who are making $20,000, $30,000 a year, they are forced to buy overpriced health insurance.
[01:17:47.158 --> 01:17:49.600]  I mean, this is outrageous!
[01:17:49.600 --> 01:17:57.005]  And this is why the physicians don't like this either, because the physicians know that Medicare and Medicaid are the worst payers.
[01:17:57.991 --> 01:17:59.212]  They pay late.
[01:17:59.212 --> 01:18:01.352]  They discount what they pay doctors.
[01:18:01.352 --> 01:18:08.955]  More and more clinics are refusing to even take Medicare and Medicaid because it just doesn't make sense for the doctors and the health providers.
[01:18:08.955 --> 01:18:12.857]  So you're going to end up with a situation here, Alex, where you have all these Americans now
[01:18:13.417 --> 01:18:17.901]  Forced to be put on Medicare or Medicaid and they're not going to be able to find a doctor.
[01:18:17.901 --> 01:18:22.946]  And they're going to be treated the way our veterans have been treated too often in our veterans hospitals.
[01:18:22.946 --> 01:18:36.618]  And this makes me very angry that our veterans of World War II and Vietnam and more recent actions, they are treated like third world citizens almost in our own hospitals by our own government.
[01:18:36.618 --> 01:18:38.299]  They're not given the medical care.
[01:18:38.299 --> 01:18:40.281]  I saw a patient with my own eyes
[01:18:40.785 --> 01:18:42.425]  Mike, how do we defeat this?
[01:18:42.425 --> 01:18:44.066]  How do we turn this around?
[01:19:07.034 --> 01:19:10.136]  I don't have all the answers, but this isn't just about healthcare.
[01:19:10.136 --> 01:19:14.919]  This is about the shift towards fascism.
[01:19:14.919 --> 01:19:20.623]  This healthcare legislation is just a symptom, I think, of a bigger problem.
[01:19:20.623 --> 01:19:24.566]  In my opinion, we've got to get back to taking back our freedoms.
[01:19:24.566 --> 01:19:26.887]  You know, peacefully, democratically.
[01:19:26.887 --> 01:19:29.769]  I'm not the kind of person who advocates violence.
[01:19:30.410 --> 01:19:36.656]  But I think that we do have to stand up and have the courage to take back the freedoms that we are supposed to be guaranteed in this country.
[01:19:36.656 --> 01:19:44.123]  And those freedoms include freedom of religion, freedom of speech, and obviously the freedom to choose whatever system of healthcare that we want to choose.
[01:19:46.738 --> 01:19:47.659]  Mike Adams, stay there.
[01:19:47.659 --> 01:19:51.665]  We're going to come back and get into some more facets of this legislation.
[01:19:51.665 --> 01:19:54.229]  And I've got my own ideas of how to defeat it.
[01:19:54.229 --> 01:19:56.373]  And coming up, your phone calls toll free at 1-800-259-9231.
[01:19:56.373 --> 01:19:58.195]  We're talking about the health care bill.
[01:20:01.894 --> 01:20:06.496]  We all know that the Berkey water purification systems are the most trusted name of water filtration.
[01:20:06.496 --> 01:20:14.279]  As an authorized Berkey dealer for over four years and serving thousands of satisfied customers, the Berkey Guy offers amazing specials for Berkey water systems.
[01:20:14.279 --> 01:20:29.086]  The revolutionary Berkey light systems include a set of self-sterilizing and re-cleanable black purification elements that purify water by removing chlorine, pathogenic bacteria, cysts, and parasites to non-detectable levels and removes harmful chemicals such as herbicides and pesticides.
[01:20:29.386 --> 01:20:38.914]  Order the Berkey Light System today, complete with two black Berkey elements for only $209, and the Berkey Guy will include three Sport Berkey water bottles and ship everything to you free of charge.
[01:20:38.914 --> 01:20:45.860]  That's right, three Sport Berkey water bottles and free shipping, an $87 value, yours free, but only for a limited time.
[01:20:45.860 --> 01:20:47.561]  Just call the Berkey Guy at 1-877-886-3653 now to order.
[01:20:47.561 --> 01:20:49.262]  That's 1-877-886-3653, or order online now at GoBerkey.com.
[01:20:49.262 --> 01:20:50.143]  That's GoBerkey.com today!
[01:21:01.409 --> 01:21:06.735]  One major world crisis away from having a totalitarian type of system.
[01:21:06.735 --> 01:21:09.518]  The main event is the wholesale destruction of the world economy.
[01:21:09.518 --> 01:21:13.842]  The push for every nation on the globe to identify and number all of its citizens.
[01:21:14.867 --> 01:21:19.371]  Friends, I hope that you will order Shadow Government from InfoWars.com.
[01:21:19.371 --> 01:21:24.395]  We also have some specials where you can get some of our other films half price when you order Shadow Government.
[01:21:24.395 --> 01:21:27.497]  A new level in production quality and in information.
[01:21:27.497 --> 01:21:35.603]  It exposes how a cashless society, surveillance beast grid of total control is being put into place.
[01:21:35.603 --> 01:21:37.485]  This film needs to be seen.
[01:21:37.485 --> 01:21:38.626]  Everybody needs to get it.
[01:21:38.626 --> 01:21:39.827]  So order yours today.
[01:21:39.827 --> 01:21:43.790]  Show it to your friends, your family, your church, your neighbors, your boss, your employees.
[01:21:45.234 --> 01:21:46.837]  Shadow Government, ladies and gentlemen.
[01:21:46.837 --> 01:21:49.321]  Get your copy at InfoWars.com today.
[01:21:49.321 --> 01:21:50.322]  Shadow Government.
[01:21:50.322 --> 01:21:52.586]  It gives Big Brother a black eye.
[01:21:52.586 --> 01:21:55.851]  Available at InfoWars.com or by calling toll-free 888-253-3139.
[01:22:01.300 --> 01:22:04.802]  Jim Newcomer with Midas Resources, talking today about change.
[01:22:04.802 --> 01:22:10.225]  Not the change we were promised by President Obama, but the reality that we must face in these changing economic times.
[01:22:10.225 --> 01:22:15.587]  With our national debt currently exceeding $12.5 trillion, and our unfunded liabilities totaling over $107 trillion,
[01:22:16.988 --> 01:22:17.829]  The value of the U.S.
[01:22:17.829 --> 01:22:19.930]  dollar continues its slide into oblivion.
[01:22:19.930 --> 01:22:24.634]  There's still time to ensure your financial security with precious metals, but you need to act today.
[01:22:24.634 --> 01:22:33.541]  Call me, Jim Newcomer, at 800-686-2237, extension 104, and we can explore how Midas Resources can help you secure your financial future.
[01:22:33.781 --> 01:22:42.266]  With our government continuing to find new ways to spend our money at the expense of our children and grandchildren, there's still time to acquire a true hedge against inflation with precious metals.
[01:22:42.266 --> 01:22:54.753]  Call me, Jim Newcomer, at 800-686-2237, extension 104, and we'll discuss how you can take physical possession or convert your IRA into precious metals before it's too late.
[01:22:54.753 --> 01:23:00.636]  800-686-2237, extension 104, and make the commitment today to retain the security you worked a lifetime to establish.
[01:23:02.099 --> 01:23:05.640]  Hounded by debt collectors with phone calls and letters?
[01:23:05.640 --> 01:23:07.941]  Thinking of calling a debt relief company?
[01:23:07.941 --> 01:23:08.801]  Don't!
[01:23:08.801 --> 01:23:12.242]  Greedy lawyers and debt companies charge thousands.
[01:23:12.242 --> 01:23:19.364]  Why pay, when you can get their solution absolutely free with New York Times best-selling author Herb K.'
[01:23:19.344 --> 01:23:21.325]  's number one debt secret.
[01:23:21.325 --> 01:23:25.406]  The how-to on stopping the calls without paying the debt companies.
[01:23:25.406 --> 01:23:28.107]  Yes, free for a very limited time.
[01:23:28.527 --> 01:23:35.913]  Here's Herb K. Don't get ripped off by credit repair companies when I can give you the information you need to do it yourself for free.
[01:23:35.913 --> 01:23:37.113]  Herb K was right.
[01:23:37.113 --> 01:23:40.316]  His free information helped me stop the calls and settle my debt.
[01:23:40.316 --> 01:23:41.737]  What have you got to lose?
[01:23:41.737 --> 01:23:43.018]  Stop the calls now.
[01:23:43.018 --> 01:23:45.019]  Get out of debt and have more money.
[01:23:45.019 --> 01:23:48.262]  Get Herb K's number one debt secret absolutely free now.
[01:23:48.262 --> 01:23:48.922]  Call 800-822-1291.
[01:23:48.922 --> 01:23:49.362]  That's 800-822-1291.
[01:23:57.268 --> 01:24:10.873]  Riders on the storm Riders on the storm Into this house we're born Into this world we're thrown Like a dog without a bone
[01:24:30.817 --> 01:24:32.799]  We are back live, ladies and gentlemen.
[01:24:32.799 --> 01:24:37.243]  Thank you for joining us.
[01:24:37.243 --> 01:24:39.486]  Obama has now signed the House bill.
[01:24:40.560 --> 01:24:45.241]  The Senate is supposedly going to make more changes and then it'll just be law.
[01:24:45.241 --> 01:24:49.983]  And then Obama says he'll slap an executive order on it barring federal money for abortion.
[01:24:49.983 --> 01:24:52.604]  That's another red herring as Ron Paul has spoken about.
[01:24:52.604 --> 01:25:04.227]  They send the money to the hospitals or Planned Parenthood and then they use the federal money on one issue and then move that other money they would have spent on abortions or on the other issue over to abortions.
[01:25:04.227 --> 01:25:06.508]  And congressional law trumps executive order.
[01:25:07.538 --> 01:25:08.779]  Going back to Mike Adams.
[01:25:08.779 --> 01:25:13.282]  Mike, in the few minutes we've got left with you, then we're coming back with calls.
[01:25:13.282 --> 01:25:15.564]  People are in denial out there.
