[00:00.000 --> 00:09.000]  media. Government cover-ups. You want answers? Well, so does he. He's Alex Jones on the GCN
[41:56.000 --> 42:02.000]  One of the CIA rendition flights, same plane, CIA-owned, crashed in Yucatan Peninsula.
[42:02.000 --> 42:09.000]  Nothing on our press all over the foreign press with the CIA pilot, killed the people on board, filled with pure cocaine.
[42:09.000 --> 42:12.000]  Now, should we decriminalize drugs A and B?
[42:12.000 --> 42:18.000]  The experts I've had on here believe that over 85% of all narcotics is brought in and licensed by the government.
[42:18.000 --> 42:26.000]  Well, I think absolutely we should decriminalize it because of the fact that when I was in Mexico, the Virginia Tech thing happened.
[42:26.000 --> 42:32.000]  And the headlines in Mexico said USA 33, Mexico 20.
[42:32.000 --> 42:38.000]  Because that day there were 20 people killed and the war on drugs on the border, only differences, theirs happens every day.
[42:38.000 --> 42:42.000]  And now it's spread all the way up into Indiana, up into Dallas.
[42:42.000 --> 42:47.000]  Quote, military, our government trained or now, quote, helping the Mexican drug cartels?
[42:47.000 --> 42:50.000]  I don't know anything about that.
[42:50.000 --> 42:53.000]  Oh, yeah, that was finally in the Houston Chronicle.
[42:53.000 --> 43:00.000]  Just a side issue, what do you, I know he's your buddy, and I know you've been in some films with him, like Running Man and Predator.
[43:00.000 --> 43:07.000]  And I know you're a loyal person, but Schwarzenegger, you talk about big government, gun control on a lot of these issues.
[43:07.000 --> 43:10.000]  What do you think of the job Schwarzenegger's done as governor?
[43:10.000 --> 43:15.000]  Well, remember this, Arnold is not a true Republican.
[43:15.000 --> 43:19.000]  Arnold is very liberal on the social issues, much like I am.
[43:19.000 --> 43:24.000]  I don't care about gay marriage, it's none of my business, things of that nature.
[43:24.000 --> 43:28.000]  And remember, Arnold's also a populist.
[43:28.000 --> 43:32.000]  He tried the hard-line Republican position in California and he got hammered.
[43:32.000 --> 43:36.000]  His popularity went down the toilet, so he made a turn.
[43:36.000 --> 43:41.000]  And now he's doing things that apparently the Californians are more popular with.
[43:41.000 --> 43:43.000]  But what about gun control?
[43:43.000 --> 43:45.000]  Arnold is not a dummy.
[43:45.000 --> 43:48.000]  You know, Arnold knows where his bread gets buttered, depending on what he's doing.
[43:48.000 --> 43:52.000]  Yeah, but you could do that too. You could go with how the bread's buttered and probably be president.
[43:52.000 --> 43:59.000]  I mean, there is a difference here. You're not for gun control. You're not for drug criminalization. Arnold is.
[43:59.000 --> 44:02.000]  Well, I don't think Arnold's for drug criminalization.
[44:02.000 --> 44:06.000]  Is he? Because he's not bothering the pot shops out there for the medical stuff.
[44:06.000 --> 44:11.000]  He lets the feds come in and go after him. He hasn't been trying to repeal these drug laws.
[44:11.000 --> 44:14.000]  But the point is he can't stop the feds anyway.
[44:14.000 --> 44:23.000]  Federal jurisdiction takes priority over state. Otherwise, if I was governor, I could stop our National Guard people from going to Iraq.
[44:23.000 --> 44:25.000]  You don't have the power.
[44:25.000 --> 44:27.000]  When's the last time you talked to Arnold? Has he read your book?
[44:27.000 --> 44:31.000]  I have never talked to him since he took office.
[44:31.000 --> 44:36.000]  Well, I know that he said that he modeled a lot of his campaign off the fact that he saw that you could win.
[44:36.000 --> 44:39.000]  That may be true, but I haven't spoken to him at all.
[44:39.000 --> 44:46.000]  I stopped by one time when I was giving a speech in Sacramento, and he had already gone home, you know, back to LA.
[44:46.000 --> 44:51.000]  And so he wasn't in that day. I just left a note for him and gave him my best regards.
[44:51.000 --> 44:54.000]  And I haven't talked or heard from him since.
[44:54.000 --> 45:01.000]  Jesse, talking about the police state all over the country now, they don't just do breathalyzers.
[45:01.000 --> 45:07.000]  They're taking blood at checkpoints from Illinois to Texas, from Arizona to New York State.
[45:07.000 --> 45:13.000]  They're now having, quote, federalization drills where they get tens of thousands of police in three, four state areas
[45:13.000 --> 45:18.000]  to randomly search pedestrians now, not just cars set up checkpoints.
[45:18.000 --> 45:20.000]  What's your take on that?
[45:20.000 --> 45:23.000]  Well, if it's true, we're in tough shape.
[45:23.000 --> 45:27.000]  The only thing I can comment on is what goes on in my life.
[45:27.000 --> 45:34.000]  And I am concerned because when I crossed the bloater this year, inside the bloater was a second immigration checkpoint.
[45:34.000 --> 45:41.000]  Well, according to the Constitution of the United States, once I show at the border that I'm a U.S. citizen,
[45:41.000 --> 45:48.000]  I should not be required to be asked any type of identification as I travel throughout the continental United States.
[45:48.000 --> 45:53.000]  And now they're building those deeper and deeper over a hundred miles in, and they're going after citizens.
[45:53.000 --> 45:59.000]  Oh, yeah. Everybody, like the car in front of me, I saw the people showing passports, and they were from California.
[45:59.000 --> 46:04.000]  Well, for some reason, they waived me through because I turned to my wife and I go,
[46:04.000 --> 46:07.000]  I am not, I'm going to see if the Constitution protects me.
[46:07.000 --> 46:11.000]  I will not show these people anything, even though they're immigration.
[46:11.000 --> 46:12.000]  What happened?
[46:12.000 --> 46:15.000]  I'm a U.S. citizen. If it's a state trooper, that's different.
[46:15.000 --> 46:18.000]  You're on a highway that you show your driver's license.
[46:18.000 --> 46:22.000]  But as a U.S. citizen, I am not required to show anything.
[46:22.000 --> 46:23.000]  What happened?
[46:23.000 --> 46:24.000]  What happened?
[46:24.000 --> 46:27.000]  As I travel throughout the country, the Constitution guarantees me that.
[46:27.000 --> 46:31.000]  Governor, what happened when you did that?
[46:31.000 --> 46:34.000]  For some reason, they always waived me through.
[46:34.000 --> 46:38.000]  Every time they don't question or do anything, I get waived through.
[46:38.000 --> 46:43.000]  So I don't get a chance to really turn them down because they never asked me for anything.
[46:43.000 --> 46:47.000]  But it is racial profiling because I happen to have blue eyes.
[46:47.000 --> 46:50.000]  That might be part of the reason I'm waived through.
[46:50.000 --> 46:52.000]  Unbelievable.
[46:52.000 --> 46:56.000]  Governor, we have a little bit of issue with the line. Can you hear me?
[46:56.000 --> 46:57.000]  Sure.
[46:57.000 --> 47:00.000]  Okay, good. We went to back up there. I'm in Texas there in Minnesota.
[47:00.000 --> 47:04.000]  This only happens. We got a huge guest on with us.
[47:04.000 --> 47:11.000]  Governor, in closing with three or four minutes, we've got left other points, other key issues that you want to impart.
[47:11.000 --> 47:15.000]  Anything else on 9-11? Anything else you want to talk about with the future of this republic?
[47:15.000 --> 47:21.000]  Well, you know, the main thing I want to talk about is the fact that we better wake up and we better pay attention
[47:21.000 --> 47:26.000]  and not to believe everything that the status quo tells you
[47:26.000 --> 47:32.000]  because they're not necessarily talking the truth and I'm finding that out more and more and more.
[47:32.000 --> 47:36.000]  And I personally have no trust in the government anymore
[47:36.000 --> 47:40.000]  because they've been so deceitful to me on everything, it seems.
[47:40.000 --> 47:42.000]  And that we've got to change.
[47:42.000 --> 47:45.000]  And I think the other thing I'd like to bring out is this.
[47:45.000 --> 47:51.000]  Having lived outside of the United States now for three years in a row for half a year,
[47:51.000 --> 47:57.000]  my belief is that you're not a world power by carrying a crub and beating everyone up.
[47:57.000 --> 48:02.000]  And our status throughout the world has dropped dramatically now.
[48:02.000 --> 48:08.000]  The most popular t-shirt you see in Mexico amongst young people now is a photo of George Bush
[48:08.000 --> 48:11.000]  and it says, Weapon of Mass Destruction.
[48:11.000 --> 48:16.000]  And I really don't think it should be part of as the United States
[48:16.000 --> 48:18.000]  and it's time for us to change direction.
[48:18.000 --> 48:24.000]  So when Obama says about talking to our enemies, I see nothing wrong with that
[48:24.000 --> 48:27.000]  because it should be the last option.
[48:27.000 --> 48:31.000]  Where should never be the first option is what we've made it today.
[48:31.000 --> 48:34.000]  Well, you're right, Governor. Our name has been destroyed
[48:34.000 --> 48:38.000]  and the so-called conservatives that still support the war,
[48:38.000 --> 48:41.000]  against the will of the people, only 30% support the war still,
[48:41.000 --> 48:44.000]  and B, they have bankrupted us.
[48:44.000 --> 48:48.000]  The dollars being devalued, inflation is in double digits.
[48:48.000 --> 48:54.000]  The fellow reserves denying it, but oil just went to 130 a barrel today.
[48:54.000 --> 48:55.000]  130 a barrel.
[48:55.000 --> 48:57.000]  Did I tell you my take on oil?
[48:57.000 --> 48:58.000]  No, sir.
[48:58.000 --> 49:00.000]  I think this is what's happening on oil.
[49:00.000 --> 49:05.000]  I think they're driving the price up to battle the environmentalists.
[49:05.000 --> 49:08.000]  I think they want to get drilling in Alaska.
[49:08.000 --> 49:10.000]  They want to get offshore drilling.
[49:10.000 --> 49:13.000]  This is a ploy by the oil companies, in my opinion,
[49:13.000 --> 49:18.000]  to drive the price up to where the American people say it's $5 a gallon.
[49:18.000 --> 49:20.000]  I don't care about the environment drill.
[49:20.000 --> 49:22.000]  I've got to have my gas.
[49:22.000 --> 49:26.000]  Well, that's a part of it, I think, but largely the dollar has been devalued.
[49:26.000 --> 49:28.000]  Oil is dollar denominated.
[49:28.000 --> 49:32.000]  And so if the dollar's been devalued by more than half, oil's going to double.
[49:32.000 --> 49:35.000]  Yeah, down that end too, very good point.
[49:35.000 --> 49:37.000]  Very good point.
[49:37.000 --> 49:41.000]  I noticed that in Minnesota, because we had some of our local guys at work,
[49:41.000 --> 49:44.000]  the network came out and shot some video of you talking,
[49:44.000 --> 49:47.000]  and you wouldn't address the press, but you would address them.
[49:47.000 --> 49:49.000]  Why were you not talking to the mainstream press?
[49:49.000 --> 49:54.000]  Well, I talked to the mainstream press, except not the Minnesota mainstream press.
[49:54.000 --> 49:58.000]  I've made it my personal vendetta that I never speak to them again,
[49:58.000 --> 50:01.000]  because when I was in office, they attacked my children.
[50:01.000 --> 50:06.000]  And so the only way I can fight back is to not talk to them, not make them money.
[50:06.000 --> 50:11.000]  And so I speak to the open press in Boston, I speak to them in LA,
[50:11.000 --> 50:15.000]  anywhere else, but I will not speak to the Minnesota media,
[50:15.000 --> 50:18.000]  because it's my personal vendetta against them.
[50:18.000 --> 50:22.000]  And, you know, us Navy SEALs, we don't get mad, we get even.
[50:22.000 --> 50:24.000]  That's our thing.
[50:24.000 --> 50:29.000]  And so my only way of getting even with them is to not speak to them.
[50:29.000 --> 50:34.000]  That's why I did speak to your people, but on purpose, I do not speak to them.
[50:34.000 --> 50:39.000]  And it is because they attack my kids, my son refuses to live in Minnesota now.
[50:39.000 --> 50:43.000]  Governor Ventura, I want to say one more word to you during the break and then let you go.
[50:43.000 --> 50:45.000]  I really appreciate you spending time with us.
[50:45.000 --> 50:48.000]  The book is on the best seller list, we need to make it even bigger.
[50:48.000 --> 50:51.000]  It is Don't Stop the Revolution Without Me, Governor Jesse Ventura.
[50:51.000 --> 51:01.000]  We'll be right back.
[51:23.000 --> 51:29.000]  We've got the most well researched and documented titles, all available at prisonplanet.com.
[51:29.000 --> 51:34.000]  Or if you'd like, you can give the info or store a call at 888-253-3139.
[51:34.000 --> 51:40.000]  Or you can view more than a thousand titles in super high quality right now at prisonplanet.tv.
[51:40.000 --> 51:42.000]  Knowledge is power.
[51:42.000 --> 51:46.000]  And the information you need to effectively wake up your fellow man and fight the New World Order
[51:46.000 --> 51:51.000]  is available right now at truthnews.us and prisonplanet.tv.
[51:51.000 --> 51:54.000]  Join the info war today.
[51:54.000 --> 51:59.000]  Another untold story here it comes.
[51:59.000 --> 52:04.000]  Another untold story here it comes.
[52:04.000 --> 52:09.000]  Another untold story that you have not been told from.
[52:09.000 --> 52:15.000]  Another untoldstory.com.
[52:15.000 --> 52:20.000]  This story comes from some of the darkest, earliest hours of America's forgotten history
[52:20.000 --> 52:26.000]  at a place called Valley Forge where General George Washington and his army barely hung on.
[52:26.000 --> 52:32.000]  There were enemies without and enemies within and Michael Whitman was an enemy within.
[52:32.000 --> 52:38.000]  He was, as one history book tells, caught and tried as a turncoat collaborator
[52:38.000 --> 52:43.000]  giving invaluable assistance on numerous occasions to the British.
[52:43.000 --> 52:47.000]  He was found guilty of spying and sentenced to hanging.
[52:47.000 --> 52:52.000]  But on the eve of his execution, an old white haired man named Peter Miller
[52:52.000 --> 52:57.000]  who had done many favors for Washington's army was allowed to see the general.
[52:57.000 --> 53:01.000]  And when he did he requested a favor of the general.
[53:01.000 --> 53:05.000]  Pardon the treacherous spy, Michael Whitman.
[53:05.000 --> 53:08.000]  The untold story in all of this is why.
[53:08.000 --> 53:16.000]  Why was the pardon requested and why did General Washington do what he did that night?
[53:16.000 --> 53:22.000]  That's the untold story and to learn of it go to anotheruntoldstory.com.
[53:22.000 --> 53:27.000]  Another untoldstory.com and there you'll find it tied into a story
[53:27.000 --> 53:32.000]  that the greatest storyteller ever told and you need to hear.
[53:32.000 --> 53:39.000]  For another untold story go to anotheruntoldstory.com.
[53:39.000 --> 53:42.000]  Another untoldstory.com.
[53:42.000 --> 53:46.000]  Another untoldstory.com.
[53:46.000 --> 53:51.000]  Another untoldstory.com.
[53:54.000 --> 53:57.000]  And coming up, the unmasking of bottled waters.
[53:57.000 --> 54:03.000]  Consumers react to word that many of their pricey favorites come straight from the tap.
[54:03.000 --> 54:07.000]  Do us have access to some of the cleanest tap water in the world?
[54:07.000 --> 54:10.000]  Nevertheless, many people have come to depend on bottled water.
[54:10.000 --> 54:13.000]  So much so, it's become a multi-billion dollar industry.
[54:13.000 --> 54:20.000]  Sure, it's convenient, but many also believe they're paying for water from naturally pure sources.
[54:20.000 --> 54:24.000]  As Rob Marciano reports, that's often not the case.
[54:24.000 --> 54:30.000]  Don't let that scenic logo fool you, this water is not bottled from a mountain stream.
[54:30.000 --> 54:38.000]  Now PepsiCo plans to spell it out for consumers, adding the words public water source to the label of its Aquafina brand.
[54:38.000 --> 54:43.000]  And in case you didn't know, Aquafina is actually just purified tap water.
[54:43.000 --> 54:49.000]  That would make me never want to buy Aquafina again knowing that it was bottled public water.
[54:49.000 --> 54:54.000]  Just tap water in a bottle, that's what am I paying for? Wow.
[54:54.000 --> 54:56.000]  How does that make you feel?
[54:56.000 --> 54:59.000]  Like I've been bamboozled and poo-wing all this time.
[54:59.000 --> 55:02.000]  In a statement on Friday, PepsiCo said, quote,
[55:02.000 --> 55:08.000]  if this helps clarify the fact that water originates from public sources, then it's a reasonable thing to do.
[55:08.000 --> 55:14.000]  Coca-Cola's Dessani does the same thing, purifies and bottles public drinking water.
[55:14.000 --> 55:20.000]  An environmental group found at least 25% of bottled water is actually just tap water.
[55:20.000 --> 55:23.000]  Sometimes purified, sometimes not.
[55:23.000 --> 55:30.000]  We are now exposing an underbelly truth that is a big percentage of bottled water in this country is tap water.
[55:30.000 --> 55:35.000]  San Francisco's mayor banned city workers from buying bottled water, citing environmental concerns,
[55:35.000 --> 55:38.000]  and saving the city half a million dollars a year.
[55:38.000 --> 55:41.000]  And let's face it, it's expensive.
[55:41.000 --> 55:45.000]  People like Fiji can cost 8 bucks a bottle or more at high-end hotels.
[55:45.000 --> 55:50.000]  Ironic that droughts have led to water shortages on the island that exports it.
[55:50.000 --> 55:56.000]  In total, Americans snapped up 11 billion dollars worth of bottled water last year.
[55:56.000 --> 56:00.000]  All in a country that has some of the cleanest public water in the world.
[56:00.000 --> 56:04.000]  Spring water, artesian well water, purified tap water.
[56:04.000 --> 56:08.000]  Not too long ago, it would have seemed a little wacky to sell bottled water,
[56:08.000 --> 56:11.000]  but now it's become part of our culture.
[56:11.000 --> 56:15.000]  And sales of these bottles rank second only to carbonated soft drinks.
[56:15.000 --> 56:21.000]  So in this saturated market, it's increasingly important for you to know exactly what you're paying for.
[56:21.000 --> 56:24.000]  Rob Marciano, CNN, Douglasville, Georgia.
[56:24.000 --> 56:28.000]  That's the incredible propaganda they're putting out.
[56:28.000 --> 56:32.000]  Those tap waters are filtered in reverse osmosis.
[56:32.000 --> 56:34.000]  They are filtered several times.
[56:34.000 --> 56:38.000]  Now it's filtered and they are much better than tap water.
[56:38.000 --> 56:41.000]  They've cut out the chlorine, they've cut out some of the fluoride.
[56:41.000 --> 56:46.000]  The best thing to do is get an expensive filtration system and filter your water.
[56:46.000 --> 56:50.000]  But if you've got a choice, well, everybody knows tap water tastes like crap.
[56:50.000 --> 56:52.000]  And so that's why people go out and get bottled water.
[56:52.000 --> 57:00.000]  Obviously an Evian or a Pellegrino had a famous, you know, multi-thousand-year-old springs in the case of Pellegrino.
[57:00.000 --> 57:02.000]  The Romans were getting it out of there.
[57:02.000 --> 57:07.000]  It's really delicious artesian water that's got all these great minerals in it.
[57:07.000 --> 57:09.000]  Oh, you don't want that.
[57:09.000 --> 57:12.000]  You don't want Fiji volcanic water.
[57:12.000 --> 57:15.000]  No, you want tap water.
[57:15.000 --> 57:17.000]  The government loves you.
[57:17.000 --> 57:30.000]  Total lies about how clean it is and how great it is and how wonderful it is with hundreds of drugs and herbicides and pesticides and mercury and lead and arsenic and just absolutely hellish things in it.
[57:30.000 --> 57:32.000]  Let me give you a news tip.
[57:32.000 --> 57:35.000]  Fish and turtles, if you put them in tap water, will die.
[57:35.000 --> 57:38.000]  You put an aquatic turtle in tap water, it dies in a few days.
[57:38.000 --> 57:40.000]  You put a fish in it, they die.
[57:40.000 --> 57:42.000]  You put frogs in it, they die.
[57:42.000 --> 57:44.000]  You shouldn't be drinking it.
[57:44.000 --> 57:47.000]  Your skin, also the largest organ, absorbs it.
[57:47.000 --> 57:49.000]  Hey, what an amazing Ventura interview.
[57:49.000 --> 57:51.000]  And of course, I've got to get rid of ISD in lines.
[57:51.000 --> 57:55.000]  Some idiot phone company guy happens about once a month, always wins.
[57:55.000 --> 57:57.000]  Charlie Sheen's on.
[57:57.000 --> 58:01.000]  It even happened right before I had Charlton Heston on.
[58:01.000 --> 58:08.000]  The phone company comes in and hooks into our lines and hello, hello, you couldn't hear it on the network.
[58:08.000 --> 58:14.000]  But on the internet and coding we've got for prismplanet.tv members, because that was live on the web.
[58:14.000 --> 58:16.000]  And what we had put on the web today, it's going to be on there.
[58:16.000 --> 58:20.000]  Hello, hello, hello.
[58:20.000 --> 58:25.000]  This is great technology to be, of course, we went to Skype after that happened.
[58:25.000 --> 58:28.000]  It's great technology to be here in Austin, there in Minnesota.
[58:28.000 --> 58:32.000]  But man, I mean, the phone company, I've just had enough of these idiots.
[58:32.000 --> 58:38.000]  Thank you for listening to GCN.
[58:38.000 --> 58:43.000]  Be sure to visit GCNLive.com today.
[58:43.000 --> 58:48.000]  It is a big idea, a new world order.
[58:48.000 --> 58:53.000]  In the near future, Earth is dominated by a powerful world government.
[58:53.000 --> 58:56.000]  It's known as the Builder Bird.
[58:56.000 --> 58:59.000]  Could their objective be world domination?
[58:59.000 --> 59:02.000]  For thousands of years, their dark order grew.
[59:02.000 --> 59:12.000]  Now as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[59:12.000 --> 59:18.000]  For the first time in history, the elite's plan for world government is blown wide open.
[59:18.000 --> 59:22.000]  You will learn the secret that drives the entire New World Order agenda.
[59:22.000 --> 59:25.000]  Builder Bird is making great progress for the world government.
[59:25.000 --> 59:28.000]  Most people have no idea, they're not after money, they have all the money they need.
[59:28.000 --> 59:30.000]  They're after power, that's their affidavit.
[59:30.000 --> 59:35.000]  Order in-game on DVD at prisonplanet.com or infowars.com
[59:35.000 --> 59:39.000]  or watch it online right now at prisonplanet.tv.
[59:39.000 --> 59:53.000]  Blue Prep for Global Inslating. You have been warned.
[1:00:12.000 --> 1:00:19.000]  Well, we're on the heels of an amazing Jesse Ventura interview, 50 minutes long.
[1:00:19.000 --> 1:00:24.000]  We've got to get a transcript of that, we've got to get it out of the press to make sure they bite on it.
[1:00:24.000 --> 1:00:27.000]  More 9-11 truth, more people waking up.
[1:00:27.000 --> 1:00:31.000]  I meant to ask him about a challenge to the media, but that's basically what he was saying.
[1:00:31.000 --> 1:00:35.000]  He was challenging the media to cover him on the facts and to not just say,
[1:00:35.000 --> 1:00:40.000]  I'm a First Amendment right to question the official story, I meant to have Jim Tucker on at 40 after,
[1:00:40.000 --> 1:00:46.000]  but I, to get into the Builder Bird situation, but then I forgot about that because we had Ventura on
[1:00:46.000 --> 1:00:49.000]  and we've got a bunch of other big guests today.
[1:00:49.000 --> 1:00:51.000]  Do we have Tucker or is he unable to do it now?
[1:00:51.000 --> 1:00:53.000]  Oh, we have Jim Tucker.
[1:00:53.000 --> 1:00:58.000]  Jim, I apologize in between technical difficulties with the idiot phone company
[1:00:58.000 --> 1:01:02.000]  and everything else, I got lost in the fog of war.
[1:01:02.000 --> 1:01:05.000]  I want to hold you for this three-minute segment, about five minutes on the other side,
[1:01:05.000 --> 1:01:08.000]  and we're going to get to gun confiscation in Pennsylvania.
[1:01:08.000 --> 1:01:13.000]  But yes, ladies and gentlemen, you heard me right, with an eye witness to all this.
[1:01:13.000 --> 1:01:22.000]  But right now, let's go ahead and go to Jim Tucker, Jim Tucker, AmericanFreePress.net, formerly the spotlight.
[1:01:22.000 --> 1:01:30.000]  We heard that they were, that really a week and a half ago that Builder Bird met in Athens, outside Athens, Greece.
[1:01:30.000 --> 1:01:32.000]  You said you didn't believe that.
[1:01:32.000 --> 1:01:34.000]  Greek paper reported it.
[1:01:34.000 --> 1:01:35.000]  BuilderBerg.org reported it.
[1:01:35.000 --> 1:01:36.000]  Tony Gosling.
[1:01:36.000 --> 1:01:40.000]  Then we had the major Dutch news report.
[1:01:40.000 --> 1:01:45.000]  They were going to be meeting the fifth through the eighth in Chantilly as they met a few years ago in Virginia.
[1:01:45.000 --> 1:01:48.000]  Tell us what you think's really happening, Jim Tucker.
[1:01:48.000 --> 1:01:49.000]  Well, this one is right.
[1:01:49.000 --> 1:01:51.000]  It's a Chantilly.
[1:01:51.000 --> 1:01:59.000]  Yes, somebody gave us that Dutch email too, and I called the Dutch embassy.
[1:01:59.000 --> 1:02:06.000]  Well, in fact, the number they provided called got me into the Netherlands, but they transferred me back still to a charge on the phone.
[1:02:06.000 --> 1:02:07.000]  That's it.
[1:02:07.000 --> 1:02:08.000]  I'm going to Virginia.
[1:02:08.000 --> 1:02:09.000]  The United States.
[1:02:09.000 --> 1:02:11.000]  And they confirmed yes.
[1:02:11.000 --> 1:02:14.000]  I asked the question twice to make sure I got it right.
[1:02:14.000 --> 1:02:16.000]  Yes, they will be at Chantilly.
[1:02:16.000 --> 1:02:18.000]  And of course, it will be the Westfields Marriott.
[1:02:18.000 --> 1:02:22.000]  They didn't have the specific address in Chantilly.
[1:02:22.000 --> 1:02:28.000]  Because where they met before, the only place they can meet in Chantilly was where they met several years ago, Westfields.
[1:02:28.000 --> 1:02:30.000]  And Westfields is all booked up.
[1:02:30.000 --> 1:02:36.000]  And also, a man who for 20 years has helped inside Bilderberg, pinned them down,
[1:02:36.000 --> 1:02:48.000]  gave it further confirmation that we'll be at the Westfields Marriott Conference Center, 14750.
[1:02:48.000 --> 1:02:53.000]  We'll have this on our website, Conference Drive, Conference Center Drive, Chantilly, Virginia.
[1:02:53.000 --> 1:02:55.000]  They've got their telephone number.
[1:02:55.000 --> 1:02:58.000]  So this isn't even out yet. This is huge breaking news.
[1:02:58.000 --> 1:03:02.000]  Hey, wait a minute. I thought probably everybody had internet this stuff by now.
[1:03:02.000 --> 1:03:05.000]  Well, no, we knew that it might be, but now you're pinning it down.
[1:03:05.000 --> 1:03:08.000]  Well done, Jim Tucker.
[1:03:08.000 --> 1:03:10.000]  Yeah, I'll be checking.
[1:03:10.000 --> 1:03:15.000]  I'll be out there on Wednesday, June the 4th, checking into the Hilton in Herman, Virginia.
[1:03:15.000 --> 1:03:19.000]  From experience, I know that's the closest motel nearby.
[1:03:19.000 --> 1:03:25.000]  And cheapest if you consider $270 a night for the cheapest room.
[1:03:25.000 --> 1:03:35.000]  Oh man, this is going to be spook central. Jim, isn't it unusual that they would have it in Canada, in North America, then in Istanbul?
[1:03:35.000 --> 1:03:41.000]  Because usually they go, as you said, four years in Europe and then one year in the Americas.
[1:03:41.000 --> 1:03:43.000]  Isn't this unusual?
[1:03:43.000 --> 1:03:51.000]  It surprised me, really, because they're here two years ago and they're routine in some like three years in Europe and one year somewhere in North America.
[1:03:51.000 --> 1:03:55.000]  Canada are the United States and that had been their drill.
[1:03:55.000 --> 1:04:03.000]  And for a while we thought possibly Japan because for no other reason that the G8 is meeting in Japan for the first time ever,
[1:04:03.000 --> 1:04:08.000]  which makes no sense because the G8 has a state or all from Europe and North America.
[1:04:08.000 --> 1:04:11.000]  Canada, the United States and the European countries.
[1:04:11.000 --> 1:04:19.000]  But their meeting in, of course, that's public information was no effort at all to be told where the G8 is going to meet.
[1:04:19.000 --> 1:04:21.000]  It's going to be that island in Japan.
[1:04:21.000 --> 1:04:31.000]  But nevertheless, Bilderberg is that gently and we certainly hope a lot of readers will turn out because, well, in Europe, as you know from experience,
[1:04:31.000 --> 1:04:35.000]  there's a lot of broadcasters and newspaper men.
[1:04:35.000 --> 1:04:41.000]  Yeah, we have more of a news blackout here in Land of the Coward, Home of the Slaves. Stay there, Land of the Disinfo.
[1:04:41.000 --> 1:04:44.000]  Stay there, Jim Tucker. Final segment with you after this quick three minute break.
[1:04:44.000 --> 1:05:09.000]  Major breaking news. Jim Tucker confirms it's in Virginia.
[1:05:09.000 --> 1:05:15.000]  Family members receive answers to their questions and the true perpetrators of the horrendous crime are brought to justice.
[1:05:15.000 --> 1:05:23.000]  Loose Change Final Cut is the ultimate 9-11 expose from hijackers being trained at U.S. military bases to bombs in the buildings.
[1:05:23.000 --> 1:05:27.000]  Loose Change Final Cut is the one 9-11 film everyone must see.
[1:05:27.000 --> 1:05:34.000]  Secure your copy of Loose Change Final Cut today at infowars.com or prisonplanet.com while you're visiting the online video store.
[1:05:34.000 --> 1:05:42.000]  Be sure to check out the huge discounts on films like Endgame, Blueprint for Global Enslavement, America, Freedom to Fascism and hundreds of other titles.
[1:05:42.000 --> 1:05:51.000]  We're in a no holds bar information war. Truth is our weapon and prisonplanet.com has the tools you need to take the fight back to Big Brother.
[1:05:51.000 --> 1:06:00.000]  More than 700 chemicals have been found in our drinking water and did you know that you have greater exposure to these chemicals while taking hot showers than when drinking the water?
[1:06:00.000 --> 1:06:05.000]  That's because many chemicals are inhaled when they evaporate and others are absorbed into the skin.
[1:06:05.000 --> 1:06:17.000]  The KDF Dual Media Shower Filter works with both hot and cold water and is designed to reduce chlorine, lead, mercury and iron and it inhibits the growth of bacteria, mold, algae and fungus.
[1:06:17.000 --> 1:06:23.000]  The KDF Dual Media Shower Filter typically lasts 10,000 gallons or one year whichever comes first.
[1:06:23.000 --> 1:06:30.000]  These chemicals, restaurants and water treatment facilities use this media to reduce chlorine, iron, heavy metals and bacteria. What about you?
[1:06:30.000 --> 1:06:36.000]  Order your KDF Shower Filter normally $49 for a special price of only $39.99 with free shipping.
[1:06:36.000 --> 1:06:42.000]  Call the Berkey Guy and order now by calling 1-877-886-3653.
[1:06:42.000 --> 1:06:50.000]  That's 1-877-886-3653 or simply click on the banner at GCNLive.com to order online now.
[1:06:50.000 --> 1:06:59.000]  Heart disease is on the rise, clogged arteries, high blood pressure and high cholesterol levels may not be fully detected by you, but the symptoms are there.
[1:06:59.000 --> 1:07:08.000]  Loss of energy, blood sugar, spikes and drops, poor circulation and irregular heartbeat are just a few of these that can alert you that something is wrong.
[1:07:08.000 --> 1:07:14.000]  Here how heart and body extract is making a difference in thousands of people's lives across America.
[1:07:14.000 --> 1:07:18.000]  My blood pressure has normalized, my diabetes has totally improved.
[1:07:18.000 --> 1:07:23.000]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[1:07:23.000 --> 1:07:25.000]  I recommend heart and body extract to everyone.
[1:07:25.000 --> 1:07:33.000]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[1:07:33.000 --> 1:07:56.000]  Order your two month supply today by calling 866-295-5305 or order online hbextract.com.
[1:07:56.000 --> 1:08:01.000]  Big Brother, mainstream media, government cover-ups.
[1:08:01.000 --> 1:08:03.000]  Well, so does he.
[1:08:03.000 --> 1:08:07.000]  He's Alex Jones on the GCN Radio Network.
[1:08:07.000 --> 1:08:16.000]  And now, live from Austin, Texas, Alex Jones.
