[00:00:23.784 --> 00:00:25.925]  43 days left.
[00:55:41.374 --> 00:55:44.675]  And I think our destruction will be an example to many, many others.
[00:55:44.675 --> 00:55:47.817]  But we are in a real battle for our lives here.
[00:55:47.817 --> 00:55:49.777]  James Woods has been banned now.
[00:55:49.777 --> 00:55:50.698]  Everybody's getting banned.
[00:55:50.698 --> 00:55:52.078]  This is total evil.
[00:55:52.078 --> 00:55:53.379]  But just very briefly, Roger...
[00:55:54.748 --> 00:55:58.150]  I think this signals Trump taking the gloves off.
[00:55:58.150 --> 00:56:00.931]  Him saying he'll declassify this stuff, which is still going to get declassified.
[00:56:00.931 --> 00:56:05.373]  It's just being reviewed by the Inspector General there at the Justice Department.
[00:56:05.373 --> 00:56:08.315]  I think Trump has really turned the corner, and I sense victory.
[00:56:08.315 --> 00:56:15.198]  And you see them caving in right now, and Rosenstein caving in, because Trump is finally acting like the President when it comes to standing up to the deep state.
[00:56:16.831 --> 00:56:19.293]  I think you're again, you're right, Alex.
[00:56:19.293 --> 00:56:23.137]  I think that if Rosenstein didn't resign today, he's going to get fired.
[00:56:23.137 --> 00:56:24.538]  It may not be today.
[00:56:24.538 --> 00:56:27.981]  Maybe it's two weeks from now, but I think his number is up.
[00:56:27.981 --> 00:56:33.185]  What's funny is seeing the NBC's and the others trying to say, oh, no, he was only joking.
[00:56:33.185 --> 00:56:35.267]  No, he was not joking.
[00:56:35.267 --> 00:56:41.352]  He talked about wearing a wire to entrap the president of the United States to remove him under the 25th
[00:56:41.852 --> 00:56:46.174]  But you were the first person 20 months ago to predict what was already going on, and now it's all confirmed.
[00:56:46.174 --> 00:56:59.460]  Because they're all a bunch of yes-men cowards, of the deep state, carrying out crimes for the Bushes and the Clintons for 20 years, and they believe they own this country and the people, and they all thought they'd bring Trump down, but now it's blown up in their face, and now the real battle's been joined.
[00:56:59.460 --> 00:57:02.262]  But I think Trump is now in the maximum physical danger, Roger.
[00:57:04.237 --> 00:57:10.965]  I agree once again, and let's face it, the silencing of Infowars was always part of their plan.
[00:57:10.965 --> 00:57:19.275]  Shutting Alex Jones up, getting him off of social media, shutting him down is a key part of their takedown plan for the president.
[00:57:19.275 --> 00:57:20.756]  That's the real canary in the coal mine.
[00:57:20.756 --> 00:57:22.257]  God bless you, Roger Stone.
[00:57:22.257 --> 00:57:26.740]  Coming up, James O'Keefe with more, then Mike Adams, then Matt Bracken.
[00:57:26.740 --> 00:57:33.064]  InfoWars.com, NewsWars.com, Tomorrow's News Today, the most banned broadcast in the world.
[00:57:33.064 --> 00:57:35.726]  Share the link, InfoWars.com forward slash show.
[00:57:35.726 --> 00:57:41.970]  Share the videos, download them, re-upload them, and tell folks about local stations you're watching and listening to.
[00:57:41.970 --> 00:57:46.853]  And while you still can get the Android app at InfoWars.com forward slash app, it's free.
[00:57:46.853 --> 00:57:47.894]  And tell folks about the app.
[00:57:49.389 --> 00:57:52.935]  We're bringing back one of the biggest fan favorite formulas we've ever
[00:57:58.442 --> 00:58:05.027]  Info Wars Life is proud to bring you a powerhouse bone broth formula to help push you to your limits.
[00:58:05.027 --> 00:58:14.114]  This incredible formula will help you get the most out of your workout with the power of ultra-high quality bone broth, one of the most popular health treats on the planet.
[00:58:14.114 --> 00:58:25.923]  Built with more than 7 different superfoods and crucial compounds, Ultimate Bone Broth will help support your healthy muscles, digestion, tendons and ligaments, while also supporting your body's fight against free radicals.
[00:58:26.523 --> 00:58:38.476]  This incredible chicken bone broth formula contains time-tested ingredients such as turmeric root, chaga mushroom, goji berry powder, bee pollen, and alfalfa herb powder to support your body.
[00:58:38.476 --> 00:58:42.219]  It's time to experience what Ultimate Bone Broth can do for you.
[00:58:42.219 --> 00:58:47.505]  Get a bottle of the all-new version of a fan-favorite product today at infowarstore.com.
[00:58:50.472 --> 00:58:52.834]  We all know the importance of fish oils.
[00:58:52.834 --> 00:58:59.418]  While we are sure to provide them for ourselves, it's just as important to make sure your kids get their EPA and DHA too.
[00:58:59.418 --> 00:59:07.243]  Honor Roll is a powerful DHA fish oil formula for your child, built from the ground up to support your child's development.
[00:59:07.243 --> 00:59:16.329]  This formula uses wild anchovy fish oil, ultra-purified krill oil, and wild salmon fish oil with vitamins to boost your child's mind and body.
[00:59:16.889 --> 00:59:28.876]  With this fish oil formula, you can support your child's optimal heart, joint, cognitive, and brain health while providing DHA, which has been shown to be essential for your child's brain growth spurts.
[00:59:28.876 --> 00:59:38.722]  Built on powerful ingredients with 580 milligrams of high DHA omega-3s, this formula is highly refined to eliminate nearly all heavy metals.
[00:59:38.722 --> 00:59:43.044]  If you're looking for a formula to help your child grow, look no further.
[00:59:43.044 --> 00:59:43.965]  Try Honor Roll.
[00:59:44.605 --> 00:59:47.207]  From InfoWarsLife at InfoWarsStore.com
[01:00:07.273 --> 01:00:10.822]  Crashing through the lies and disinformation.
[01:00:10.822 --> 01:00:14.952]  It's Alex Jones on the GCN Radio Network.
[01:00:16.790 --> 01:00:29.220]  Well, Bloomberg, AP, everyone reported an hour ago that Rosenstein resigned on Friday, was summoned to the White House, and then we began hearing 30 minutes later that, well, he hadn't really resigned or it wasn't being accepted.
[01:00:29.220 --> 01:00:31.822]  Well, now Rosenstein has not resigned, still U.S.
[01:00:31.822 --> 01:00:32.742]  Deputy Attorney General.
[01:00:32.742 --> 01:00:36.745]  There's a Reuters headline, there's AP on screen breaking White House.
[01:00:36.745 --> 01:00:42.670]  Trump, Rosenstein spoke Monday, will meet Thursday at White House amid uncertainty about Deputy AG's fate.
[01:00:44.341 --> 01:00:47.964]  So it looks like they tried to get the president to jump the gun to get rid of him.
[01:00:47.964 --> 01:00:50.305]  They reportedly told Kelly he was resigning.
[01:00:50.305 --> 01:00:54.529]  Now the media tried to spin it that Trump's getting rid of him to say that he's purging the Mueller probe.
[01:00:54.529 --> 01:00:57.951]  The Mueller probe has fallen flat on its face.
[01:00:57.951 --> 01:01:01.494]  And what, gotten people convicted of not paying taxes 15 years ago?
[01:01:01.494 --> 01:01:06.077]  Or raided people over payments to girlfriends decades ago?
[01:01:06.077 --> 01:01:07.298]  It is incredible.
[01:01:07.298 --> 01:01:09.420]  What we have is a permanent deep state.
[01:01:10.220 --> 01:01:23.329]  Obama signed all these executive orders for the CIA, Defense Department, FBI, and Justice Department, we're going to James O'Keefe here in about 10 seconds, to basically be the resistance and stay behind.
[01:01:23.329 --> 01:01:25.611]  But it's not just in words they're doing it.
[01:01:25.611 --> 01:01:28.433]  Obama moved in down the street from the White House.
[01:01:28.433 --> 01:01:34.377]  Hillary and others and Brennan are saying, hold on, don't follow what the President says.
[01:01:34.377 --> 01:01:34.958]  Resist him.
[01:01:35.939 --> 01:01:40.282]  And so they basically have a parallel government operating, a rogue government.
[01:01:40.282 --> 01:01:48.987]  And we've known this for a long time, and now we know Rosenstein and others want to use the 25th Amendment to remove the president, which even CNN calls a political apocalypse.
[01:01:48.987 --> 01:01:52.310]  Well, James O'Keefe joins us for this segment and the next Project Veritas.
[01:01:53.072 --> 01:01:54.993]  With some of their biggest bombshells yet.
[01:01:54.993 --> 01:02:00.316]  He can only do two segments, so after he leaves, I'm going to play the boil-downs that he's going to be talking about here.
[01:02:00.316 --> 01:02:03.978]  Or we're live now, cut him in later into post when we re-upload this to the web.
[01:02:03.978 --> 01:02:11.802]  But this is a big deal, and your investigation couldn't come at a better time, just like you exposed election fraud in 2016 and other big issues.
[01:02:11.802 --> 01:02:20.406]  So, how does your investigation, before we get into the details of the next segment, fit in really perfectly?
[01:02:20.406 --> 01:02:21.247]  But I want you to elaborate.
[01:02:22.575 --> 01:02:30.183]  On this whole rogue deep state, now out in the open and Democrats cheering it on MSNBC saying, rogue state killed Trump!
[01:02:30.183 --> 01:02:32.606]  I mean this really looks like they've jumped the shark, James.
[01:02:34.079 --> 01:02:37.463]  Well, Alex, it's great to be with you here and I do have some breaking news.
[01:02:37.463 --> 01:02:39.705]  This happened like minutes ago.
[01:02:39.705 --> 01:02:42.248]  I got a statement from the Justice Department.
[01:02:42.248 --> 01:02:49.636]  Sarah Flores, Director of Public Affairs, says, quote, Allison Raybar is no longer an employee at the Justice Department.
[01:02:49.636 --> 01:02:51.498]  That was at midnight last night.
[01:02:52.999 --> 01:02:57.563]  Two individuals we caught on tape no longer have jobs in the federal government.
[01:02:57.563 --> 01:03:05.091]  So when people talk about draining the swamp, Project Veritas actually, to some small way, has actually drained part of the swamp.
[01:03:05.091 --> 01:03:07.533]  The communist at GAO, self-described communist,
[01:03:09.114 --> 01:03:25.590]  Is out of a job, and now Alison Raybar is out of a job at the Justice Department, Alex, after these four individuals we caught on tape talking about resisting, resisting the Trump administration, resisting the will of the people, talking about how they can't get fired for anything!
[01:03:26.150 --> 01:03:32.114]  Is what Alison Raybar said, resisting inside the Justice Department, saying she has colleagues doing so.
[01:03:32.114 --> 01:03:34.836]  So Alex, this is about the separation of powers.
[01:03:34.836 --> 01:03:37.177]  It's about equal justice under the law.
[01:03:37.177 --> 01:03:42.801]  It's about subverting the will of the people and replacing the Constitution with political whim.
[01:03:42.801 --> 01:03:54.569]  This is about a lot of things, but of all the things it's about, it personifies, it puts a face to the name of who these deep state bureaucratic operators, who they are.
[01:03:54.569 --> 01:03:55.169]  Well, that's right.
[01:03:57.032 --> 01:04:06.686]  Again, you've got them on tape talking about doxing people, going to their homes, how they work inside the government to sabotage the Trump agenda.
[01:04:06.686 --> 01:04:11.293]  I mean, these people are frightening in just how arrogant they are.
[01:04:12.594 --> 01:04:14.355]  Very arrogant, a lot of hubris.
[01:04:14.355 --> 01:04:20.938]  In fact, the State Department official, Alex, said, you know, it's impossible to fire a federal employee.
[01:04:20.938 --> 01:04:31.923]  And the face this guy makes, I'm assuming you're going to pull that video up here shortly, the amount of arrogance, the greed, and they're using the rules of our government, a.k.a.
[01:04:31.923 --> 01:04:36.925]  you can't get fired, civil service reform is not happening, so no one can ever get fired.
[01:04:37.345 --> 01:04:39.206]  These guys probably didn't get fired.
[01:04:39.206 --> 01:04:45.511]  They probably resigned after, you know, after being put in a room and interrogated by their leadership.
[01:04:45.511 --> 01:04:48.653]  You can't get fired for anything being a federal government employee.
[01:04:48.653 --> 01:04:51.555]  So let's come back and talk about how we drain the swamp with James O'Keefe.
[01:04:51.555 --> 01:04:58.159]  I want the next shoe to drop is straight ahead with James O'Keefe back in 60 seconds.
[01:04:58.159 --> 01:05:00.981]  I want to plow into all of this.
[01:05:00.981 --> 01:05:05.705]  I'm going to spend a few minutes here first, just encouraging listeners to understand that
[01:05:07.276 --> 01:05:18.126]  When you buy t-shirts, or water filtration systems, or books, or videos, or other material from InfoWarsTore.com, you are funding the revolution.
[01:05:18.126 --> 01:05:20.247]  I mean, I cannot say it any clearer.
[01:05:20.247 --> 01:05:24.251]  And so it is essential that you purchase the products at InfoWarsTore.com.
[01:05:24.251 --> 01:05:25.452]  I want to thank everybody that has, but
[01:05:25.692 --> 01:05:31.476]  We've got the best fluoride-free toothpaste with colloidal silver and with high-quality atomic iodine in it.
[01:05:31.476 --> 01:05:33.878]  You cannot beat that for children and adults.
[01:05:33.878 --> 01:05:36.519]  We've got the best mouthwash designed by Dr. Jones.
[01:05:36.519 --> 01:05:37.460]  That's my dad.
[01:05:37.460 --> 01:05:39.301]  The colloidal silver and iodine as well.
[01:05:39.301 --> 01:05:41.803]  Infowarslife.com or 888-253-3139.
[01:05:41.803 --> 01:05:50.989]  And your purchase of the products stands with us, stands with America, stands with Trump, stands against the globalists and their satanic pedophile armies.
[01:05:50.989 --> 01:05:55.432]  And that's who they are, and they know we know who they are, and they're coming back against us, so we need your support.
[01:06:02.359 --> 01:06:08.945]  You are listening to an InfoWars.com Frontline Report.
[01:06:08.945 --> 01:06:12.869]  If you are receiving this transmission, you are the Resistance.
[01:06:20.453 --> 01:06:29.597]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[01:06:29.597 --> 01:06:34.839]  And I point that out because we have the deep state, we have the bureaucracy out of control.
[01:06:34.839 --> 01:06:38.021]  And it believes it runs things, not the Congress, not the President.
[01:06:38.021 --> 01:06:46.585]  And now we see on display Rod Rosenstein and these text messages, and we're going to have 25th Amendment, and we're going to ignore the President, and we're going to do whatever we want.
[01:06:47.225 --> 01:06:51.709]  And then you have James O'Keefe with all these undercover videos at ProjectVeritas.com.
[01:06:51.709 --> 01:06:53.030]  They're up on Infowars.com.
[01:06:53.030 --> 01:06:54.812]  He's with us for this segment.
[01:06:54.812 --> 01:06:59.736]  When we come back next segment, I'm going to play some of the highlights of this, but he's breaking it down.
[01:06:59.736 --> 01:07:04.120]  Again, perfect timing with Trump battling the deep state and rogue government.
[01:07:05.171 --> 01:07:08.254]  Literally saying they're taking their orders from Hillary and Obama.
[01:07:08.254 --> 01:07:12.238]  They call her Madam President still.
[01:07:12.238 --> 01:07:16.683]  Just the arrogance, the attitude, the videos you have of them saying, we're never going to get fired.
[01:07:16.683 --> 01:07:18.925]  We're part of the Socialist and Communist Party.
[01:07:18.925 --> 01:07:20.747]  We're going to take over America.
[01:07:20.747 --> 01:07:23.050]  And then you look at how wimpy they are, but...
[01:07:23.690 --> 01:07:33.954]  Still, they're in charge, they live off our tax money, and so it's the arrogance, it's the chicken-neckness, it's the stupidness of them, but then it makes me feel stupid.
[01:07:33.954 --> 01:07:37.055]  How do we ever let this much scum run our lives, James O'Keefe?
[01:07:37.802 --> 01:07:54.030]  Well, Alex, you know, this is why maybe we need civil service reform, because the Deep State is not just the director of the Intelligence Agency and Rosenstein and whoever else, it's also millions of foot soldiers, thousands and thousands of these people that we've caught on tape.
[01:07:54.030 --> 01:08:06.356]  This is just a small cross-sampling of them, and yes, if you look at these tapes, what's remarkable is, I mean, the guy that we released Thursday, this self-described communist inside a government auditor's office,
[01:08:06.936 --> 01:08:27.500]  He says, what I do is explicitly prohibited, I'm hungover, I don't even go to work, I spend my time, this is what he says on the tape, I spend my time electing democratic socialists, and I lied on my forms to the federal government, but nothing will ever happen to me, because there's no oversight, nobody will care, it's impossible to get fired.
[01:08:27.500 --> 01:08:30.681]  There he is right there, Nate Subramanian, auditor at GAO.
[01:08:31.181 --> 01:08:34.724]  So it's just, these are what they call the Democratic Socialists of America.
[01:08:34.724 --> 01:08:36.345]  A lot of them are federal employees.
[01:08:36.345 --> 01:08:38.367]  This is not a conspiracy theory.
[01:08:38.367 --> 01:08:39.528]  This is videotape.
[01:08:39.528 --> 01:08:46.293]  And by the way, the man you're looking at right there, that man right there, he has been shown the door at GAO.
[01:08:46.293 --> 01:08:51.197]  While they can't, may not be able to, quote, fire him, they have removed him from the building.
[01:08:51.197 --> 01:08:52.958]  This is like a Greek tragedy.
[01:08:52.958 --> 01:08:57.422]  They can't fire the people, so they just have to, like, take them away from their computer systems.
[01:08:57.963 --> 01:09:07.624]  So this is just a few of many, many things dropping at Project Veritas, but we're getting the results, we're drawing blood, and we're getting some serious reactions.
[01:09:09.696 --> 01:09:30.932]  You know, isn't this a form of racketeering and organized crime that you've got the Democratic Socialists of America hooked in with Sanders, all of them, and they've got thousands of people just in that one cult or syndicate, in my view, operating in government, obviously being directed, because you've got all these videos at different offices, different agencies, they're all saying the exact same things.
[01:09:30.932 --> 01:09:34.595]  They're getting programmed by a central big brain.
[01:09:36.149 --> 01:09:38.812]  Yeah, well Alex, there is a conspiracy law.
[01:09:38.812 --> 01:09:43.637]  I don't have it in front of me, but we sent it out to our mailing list.
[01:09:43.637 --> 01:09:46.900]  There is a conspiracy to defraud the U.S.
[01:09:46.900 --> 01:09:47.321]  government.
[01:09:47.321 --> 01:09:48.262]  It's a federal felony.
[01:09:48.903 --> 01:09:50.344]  And it carries time in prison.
[01:09:50.344 --> 01:09:59.692]  And our lawyers have informed us that these democratic socialist federal workers, these deep state people, could be in violation of that federal statute.
[01:09:59.692 --> 01:10:01.693]  And don't take my word for it.
[01:10:01.693 --> 01:10:07.578]  The State Department, Mike Pompeo, the Secretary of State, has reacted to these videos.
[01:10:08.158 --> 01:10:13.960]  So has the Justice Department, so is Health and Human Services, and so is the Government Accountability Office.
[01:10:13.960 --> 01:10:15.861]  Everyone's taking this very seriously.
[01:10:15.861 --> 01:10:22.343]  To get two federal workers to effectively lose their jobs is a very big deal in this country.
[01:10:22.343 --> 01:10:24.104]  And you did it in just... It's very hard to do.
[01:10:24.104 --> 01:10:25.144]  And you did it just in one week.
[01:10:26.405 --> 01:10:27.306]  In three days.
[01:10:27.306 --> 01:10:29.589]  We got a couple more coming here.
[01:10:29.589 --> 01:10:36.980]  We have the Kavanaugh distraction happening over the last two and a half weeks, which is making our jobs difficult to break through the news cycle.
[01:10:36.980 --> 01:10:40.485]  But we are getting the reactions from government and obviously there's more to come.
[01:10:43.504 --> 01:10:51.631]  You broke news last year and this year at New York Times, YouTube, Google, where they say Alex Jones is our number one enemy.
[01:10:51.631 --> 01:10:54.473]  And I bring myself up because now they're taking our PayPal away.
[01:10:54.473 --> 01:10:57.176]  That's gone in eight business days.
[01:10:57.176 --> 01:11:01.800]  They're saying they want, they have Democrats in congressional hearings saying they want me off the air.
[01:11:01.800 --> 01:11:05.303]  Now James Woods has been taken off Twitter, suspended.
[01:11:05.303 --> 01:11:08.746]  They're persecuting everyone I know that's a libertarian, a Christian, a patriot.
[01:11:09.446 --> 01:11:15.533]  People I know that are just Christians and just share Bible verses are being kicked off Twitter, who've been on for years.
[01:11:15.533 --> 01:11:23.301]  There is a giant purge going on and it really is cartels in a conspiracy against our free speech.
[01:11:23.301 --> 01:11:30.629]  And again, this ties into this arrogance of government, the bureaucracies, the Democrats in Congress, and big tech.
[01:11:31.778 --> 01:11:37.028]  And Hollywood all ganged up on America, but still America's coming back from the dead.
[01:11:37.028 --> 01:11:41.296]  Can you speak to other investigations just into the big tech situations?
[01:11:41.296 --> 01:11:44.382]  Are the presidents now really paying attention to that and what do you think should be done?
[01:11:45.296 --> 01:11:51.217]  Well, I saw the executive order or the discussion of the executive order from Trump, and I think that's interesting.
[01:11:51.217 --> 01:11:55.638]  I don't know what the solutions are, whether it's anti-trust legislation or an executive order.
[01:11:55.638 --> 01:12:00.999]  Alex, in previous segments with you, I've said that we just need to expose it.
[01:12:00.999 --> 01:12:02.139]  We need to illuminate it.
[01:12:02.139 --> 01:12:04.659]  We need to outrage people.
[01:12:04.659 --> 01:12:13.761]  I am concerned that they're doing this in public now, and maybe we don't need the hidden camera exposés in general, but I still think
[01:12:14.341 --> 01:12:22.323]  That the engineers, to get the engineers to admit, like we did with those Twitter engineers, to admit how they ban you and why they ban you.
[01:12:22.323 --> 01:12:30.045]  I know James Woods was removed and the thinking was because, you know, he's influencing an election.
[01:12:30.045 --> 01:12:33.366]  I mean... That's what citizens do!
[01:12:33.366 --> 01:12:34.286]  That's what citizens do!
[01:12:34.286 --> 01:12:37.967]  They're trying some campaign finance law saying we can't have political views.
[01:12:38.666 --> 01:12:52.257]  But if we get them to admit Alex in the way that Project Veritas often does, the motivations more explicitly and inflammatory... They just said, we hate veterans, we hate Alex Jones, we hate the American flag, on video!
[01:12:52.257 --> 01:12:59.883]  Or just that we cannot allow Republicans to win office, therefore we have to remove... By the way, that's not a conspiracy.
[01:12:59.883 --> 01:13:00.804]  You have it on video.
[01:13:00.804 --> 01:13:03.446]  We're foreshadowing to what we have coming out.
[01:13:03.446 --> 01:13:04.948]  We have sources on the inside.
[01:13:04.948 --> 01:13:07.490]  The difference is, I don't want to release documentation
[01:13:08.110 --> 01:13:08.791]  We're good to go.
[01:13:24.020 --> 01:13:28.424]  And there he is dancing with typical arrogance of a Project Veritas target.
[01:13:28.424 --> 01:13:33.708]  So, we have to get the visual confirmation because the media holds us to a higher standard.
[01:13:33.708 --> 01:13:36.730]  They will not believe me if I just report what a source told me.
[01:13:36.730 --> 01:13:37.891]  I have to actually catch the source.
[01:13:37.891 --> 01:13:41.294]  Oh, and they always say you selectively edit even though you put out hours of it.
[01:13:41.294 --> 01:13:42.215]  But they know they're liars.
[01:13:42.675 --> 01:13:54.043]  Bob Woodward, who wrote the book Fear, takes his quotes from anonymous sources who relay other quotes from other anonymous sources months after the incidents in question, and then he puts that information in quotation marks.
[01:13:54.043 --> 01:13:57.165]  If that is not selective editing, then what is?
[01:13:57.165 --> 01:14:02.568]  I mean, it's a absurd standard they hold us to, Alex, but we have to live up to that standard.
[01:14:02.568 --> 01:14:03.689]  We have to.
[01:14:03.689 --> 01:14:08.312]  We have to show the American people the reality of what these people are saying and doing.
[01:14:08.312 --> 01:14:10.594]  The deep state stuff is drawing blood.
[01:14:10.594 --> 01:14:12.155]  The deep state stuff is effective.
[01:14:12.635 --> 01:14:21.738]  And I've had multiple reporters, Alex, from Washington Post, New York Times, privately email me and say, how the heck did you get these guys to talk?
[01:14:21.738 --> 01:14:26.919]  So they're quietly impressed by the things that we're exposing.
[01:14:26.919 --> 01:14:29.700]  I just wish that they would do their jobs.
[01:14:29.700 --> 01:14:35.021]  Well, there's no doubt they've whipped themselves in government and in media into a criminal frenzy when Hillary lost.
[01:14:35.021 --> 01:14:37.822]  And I think they're going to lose in this midterm coming up.
[01:14:37.822 --> 01:14:39.802]  If they do lose, what do you expect them to do?
[01:14:39.802 --> 01:14:40.723]  I don't think they're going to give up.
[01:14:40.723 --> 01:14:41.583]  I think they're going to get even crazier.
[01:14:42.742 --> 01:14:50.088]  I think that there is, as everyone's talking about on Twitter right now, I think there's these cabal in New York, Los Angeles, and D.C.
[01:14:50.088 --> 01:14:51.269]  and they're all talking to each other.
[01:14:51.269 --> 01:15:02.499]  But if you go to anywhere outside of these major cities and talk to private citizens and women suburban voters, which I travel constantly, I interact with these people as you do, people are outraged.
[01:15:02.999 --> 01:15:10.887]  By the crap, and the character assassination, and the innuendo, and just the lack of truth in media.
[01:15:10.887 --> 01:15:16.633]  Oh, CNN's been holding town halls and panicking when all the women say Kavanaugh's innocent, even liberals.
[01:15:16.633 --> 01:15:18.295]  People are just fed up, it's so obvious.
[01:15:19.093 --> 01:15:24.938]  People are fed up by a lot and our country is entering a strange, strange territory.
[01:15:24.938 --> 01:15:27.961]  It's an inflection point in American history for sure.
[01:15:27.961 --> 01:15:32.866]  Sometimes my point is that it just takes those small visual examples.
[01:15:33.967 --> 01:15:51.437]  reality for people to say wait a second is that how these people behave they think they can't get fired for anything my tax dollars at work I mean we've got some big things coming Alex not not just on the deep state here maybe tomorrow we have to see what happens with these Kavanaugh hearings because the media is so close.
[01:15:51.437 --> 01:15:56.040]  I can't wait please join us when you do we'll all be watching at projectveritas.com thank you James O'Keefe
[01:15:57.475 --> 01:15:59.356]  Healthcare reform is confusing.
[01:15:59.356 --> 01:16:07.960]  But whether it's finding an affordable insurance plan, keeping your doctor, or being able to afford needed prescriptions, navigating the healthcare system has become a challenge.
[01:16:07.960 --> 01:16:11.642]  Control your own healthcare costs and choices with Liberty HealthShare.
[01:16:11.642 --> 01:16:13.603]  Liberty HealthShare is not insurance.
[01:16:13.603 --> 01:16:19.646]  It is an association of self-pay patients who unite with like-minded people to share the cost of each other's medical needs.
[01:16:19.646 --> 01:16:21.147]  Neighbor helping neighbor.
[01:16:21.147 --> 01:16:23.708]  Learn more now by going to libertyoncall.org.
[01:16:23.708 --> 01:16:25.589]  That's libertyoncall.org.
[01:16:27.043 --> 01:16:29.905]  Ever wonder how Bitcoin and Ethereum were created?
[01:16:29.905 --> 01:16:34.828]  Vercell Media has helped hundreds of companies and individuals make their own cryptocurrency.
[01:16:34.828 --> 01:16:40.391]  Decentralized blockchain solutions are making the world more transparent and giving power back to the people.
[01:16:40.391 --> 01:16:48.636]  Vercell Media has helped companies raise tens of millions in the past year alone, structuring and marketing ICOs to the thirsty crypto public worldwide.
[01:16:48.636 --> 01:16:51.098]  Don't miss the cryptocurrency revolution.
[01:16:51.098 --> 01:16:53.139]  Visit vercellmedia.com.
[01:16:53.139 --> 01:16:55.781]  V-E-R-C-E-L media dot com.
[01:16:57.276 --> 01:16:58.477]  Hear that?
[01:16:58.477 --> 01:17:03.861]  That's the sound of a house being trashed while a gang of thieves ransack the place.
[01:17:03.861 --> 01:17:06.764]  And what they don't steal will be destroyed.
[01:17:06.764 --> 01:17:10.346]  This year, resolve not to be the next victim of a break-in.
[01:17:10.346 --> 01:17:17.912]  Go to Faketv.com and discover a device that creates the illusion someone inside is watching TV, even when you're miles away.
[01:17:17.912 --> 01:17:22.516]  Security is a mindset, and Faketv should be part of your security solution.
[01:17:22.516 --> 01:17:24.958]  Be vigilant, but not fearful.
[01:17:24.958 --> 01:17:26.119]  Faketv.com
[01:17:27.040 --> 01:17:33.725]  I'm David Hall, founder of Diamond Gusset, where we're proud of our 100% grown and sewn American-made jeans.
[01:17:33.725 --> 01:17:41.570]  Whether you're out for dinner, working on the farm, or on the road, Diamond Gusset Jeans offers a full spectrum of styles and sizes for any occasion.
[01:17:41.570 --> 01:17:44.212]  To find yours, visit gusset.com.
[01:17:44.212 --> 01:17:47.314]  That's G-U-S-S-E-T dot com.
[01:17:47.314 --> 01:17:53.179]  Our loyal customers enable us to continue sponsoring Liberty Media outlets like the one you're listening to.
[01:17:53.179 --> 01:17:56.341]  In Liberty, David Hall, Diamond Gusset Jeans Company.
[01:17:59.048 --> 01:18:03.750]  You deserve a deep restful sleep with Knockout by InfoWars Life.
[01:18:03.750 --> 01:18:14.175]  Our organic formula is made from high quality natural ingredients such as valerian root extract, L-tryptophan, lemon balm leaf extract, and melatonin.
[01:18:15.075 --> 01:18:19.878]  Knockout packs a powerful punch to get you through the night and achieve proper sleep.
[01:18:19.878 --> 01:18:28.264]  Millions of people around the world experience daytime drowsiness, but with the rapid speed of life, we need to be able to keep up the pace.
[01:18:28.264 --> 01:18:36.009]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need.
[01:18:36.009 --> 01:18:37.951]  Wake up refreshed and take on the day.
[01:18:38.431 --> 01:18:46.358]  InfoWarsLife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[01:18:46.358 --> 01:18:50.061]  Get the sleep you deserve and experience the power of knockout.
[01:18:50.061 --> 01:18:54.425]  Head on over to InfoWarsLife.com and say goodbye to fatigue.
[01:18:54.425 --> 01:18:58.228]  That's InfoWarsLife.com.
[01:18:58.228 --> 01:19:02.092]  Words cannot describe how big the stakes are for the future of humanity right now.
[01:19:03.470 --> 01:19:12.154]  InfoWars is being openly targeted by the Democratic Party, leftist CIA operatives, the corrupt Justice Department, and the entire Soros crime syndicate.
[01:19:12.154 --> 01:19:14.115]  People say, why would you start a fight with them?
[01:19:14.115 --> 01:19:17.576]  Because they were already dominating and running America into the ground.
[01:19:17.576 --> 01:19:20.197]  And I knew we had no future if we didn't do this.
[01:19:20.197 --> 01:19:21.758]  So we've already had incredible success.
[01:19:22.478 --> 01:19:34.915]  But if you will simply realize how epic this is, and understand how real this fight is and why we've been made the main target, and if you financially support us, and if you spread the word about our articles and videos, InfoWars.com,
[01:19:36.061 --> 01:19:39.783]  We won't just continue to stand up against these brutal scumbags.
[01:19:39.783 --> 01:19:40.964]  We'll win.
[01:19:40.964 --> 01:19:43.285]  We have huge sales at InfoWarsStore.com right now.
[01:19:43.285 --> 01:19:51.009]  And we're still able to operate the shopping cart and get stuff shipped out to you, despite the fact that we're trying to block our commerce and your right to the market.
[01:19:51.009 --> 01:19:54.710]  But if you don't stand up and support us financially, Soros the Globalist may win.
[01:19:54.710 --> 01:19:55.931]  This is InfoWars Darkness Hour.
[01:19:55.931 --> 01:19:56.952]  We need your support.
[01:19:56.952 --> 01:20:00.734]  I'm counting on you.
[01:20:00.734 --> 01:20:03.315]  You're listening to the Alex Jones Show.
[01:20:20.029 --> 01:20:23.611]  Live, raw, and unfiltered.
[01:20:23.611 --> 01:20:26.252]  It's the Alex Jones Show!
