[00:00.000 --> 00:04.000]  President Bush is speaking today about the new financial rescue package.
[29:14.000 --> 29:21.000]  from the humidity in the air using reverse osmosis and a five-stage carbon and UV light filtration system
[29:21.000 --> 29:24.000]  which produces great tasting water at an unbeatable price.
[29:24.000 --> 29:28.000]  Finally, drinking water that you control, I use one every day.
[29:28.000 --> 29:34.000]  They could buy to expensive water delivery services and storing five gallon bottles of water in your home.
[29:34.000 --> 29:40.000]  The AkolaBlue 28 is shipped right to your home, ready to make close to seven gallons a day right out of the box.
[29:40.000 --> 29:46.000]  They have a 30-day money-back guarantee. Call AkolaBlue right now at 866-585-4044.
[29:46.000 --> 29:53.000]  That's 866-585-4044. Or visit AkolaBlue at ECOLOBLUE.com today.
[29:53.000 --> 30:02.000]  The stock market is crazy. The cam trails are spraying us with the chemicals.
[30:02.000 --> 30:07.000]  It's time to think about what is important. Most forget just how important life is.
[30:07.000 --> 30:14.000]  Life change tea removes toxins, chemicals, parasites and bacteria that store up in your body.
[30:14.000 --> 30:22.000]  It cleanses you and gives you results in hours. And one of the wonderful side effects from this product is you lose weight.
[30:22.000 --> 30:28.000]  That's right. You lose weight. And on top of that, there's a 45-day money-back guarantee.
[30:28.000 --> 30:36.000]  So why wait? Call now. Operators are standing by. 928-308-0408. I'll say it again.
[30:36.000 --> 30:46.000]  928-308-0408. Or order online at GetTheTea.com. That's GetTheTea.com.
[30:46.000 --> 30:53.000]  And remember, stock market may crash, but you don't have to go with it.
[31:16.000 --> 31:26.000]  If you want to prepare now, go to beforeitstoolate.us. That's beforeitstoolate.us.
[31:26.000 --> 31:36.000]  Or call 1-800-753-1981. That's 1-800-753-1981. Or you can put your head in the sand and be just another sheeple in the corporate control flock.
[31:36.000 --> 31:40.000]  But remember, those who don't learn from history are bound to repeat it.
[31:40.000 --> 31:46.000]  And you don't have to go with it. You don't have to go with it.
[32:11.000 --> 32:20.000]  The Model A has power and accuracy that exceeds anything else that's available at any price even for top professionals.
[32:20.000 --> 32:28.000]  Use it just 5 minutes as part of your daily hygiene to give you the edge against any past, present, or future pathogen with 99% reliability.
[32:28.000 --> 32:31.000]  Use it to gain control of the most serious forms of disease.
[32:31.000 --> 32:38.000]  The Model A comes with everything you need to get started along with unlimited customer service and a lifetime replacement warranty.
[32:38.000 --> 32:47.000]  Act now because the future is here today. Call 888-891-1122. That's 888-891-1122.
[32:47.000 --> 33:10.000]  Or visit JWLabs.com. That's JWLabs.com today.
[33:18.000 --> 33:32.000]  And then of course the Banker bailout bill gives the private banks dictatorial power to snatch up other financial institutions to sell any government property to nationalize the country.
[33:32.000 --> 33:36.000]  Same thing the central banks do every day in third world countries.
[33:36.000 --> 33:41.000]  We have a loaded phone lines. Here's the toll free number. You can call in after you hear somebody hang up.
[33:41.000 --> 33:52.000]  877-590-5525. 877-590-KLBJ for the namesake station that we bring you this show from.
[33:52.000 --> 33:59.000]  Also, if you have family listening on the internet, not just on AM and FM affiliates across the country, or say you're listening on shortwave or satellite,
[33:59.000 --> 34:05.000]  call your friends and family. Most people have computers. Tell them tune in at the streams at infowars.com.
[34:05.000 --> 34:13.000]  Many of our affiliates like News Radio 590-KLBJ, they have a great stream.
[34:13.000 --> 34:18.000]  In fact, I would say it's even better than the streams we have at infowars for this Sunday show because it comes right out of the studio.
[34:18.000 --> 34:20.000]  And that's at 590-KLBJ.com.
[34:20.000 --> 34:27.000]  Okay, I am going to go ahead and go to your phone calls.
[34:27.000 --> 34:31.000]  And we're going to go to these in order.
[34:31.000 --> 34:36.000]  I hope they're about the Marshall Law and the bailout and everything that's happening, but we'll entertain.
[34:36.000 --> 34:40.000]  We don't screen your calls, whatever you're calling about. That is fine.
[34:40.000 --> 34:43.000]  Greg in New Jersey, you're on the air.
[34:43.000 --> 34:44.000]  Hey, Alex, how are you doing?
[34:44.000 --> 34:45.000]  Good.
[34:45.000 --> 34:48.000]  You know, it's funny. You talk about, actually, it's not funny.
[34:48.000 --> 34:54.000]  But when you try to tell people that the Federal Reserve is not part of the government, they look at you like you have three heads.
[34:54.000 --> 35:01.000]  And you tell them, I use your phrase, it's about a federal express. And they just don't get it that it's a private banking cartel.
[35:01.000 --> 35:06.000]  It's like, you know, I make your videos at this and that, I put them on the prison planet and all this stuff.
[35:06.000 --> 35:10.000]  And it's like, and you send them the link, you send them this and they go, I don't believe it.
[35:10.000 --> 35:11.000]  I mean, I don't know how.
[35:11.000 --> 35:15.000]  Well, that's been in the past. I mean, more and more people are really listening.
[35:15.000 --> 35:19.000]  But look, 5% won the Revolutionary War against the British Empire.
[35:19.000 --> 35:21.000]  We have a lot more than 5% of the country now.
[35:21.000 --> 35:29.000]  I mean, I mean, I've been on thousands of radio talk shows, even where the talk show host is attacking me and almost every caller calls in and agrees with me.
[35:29.000 --> 35:36.000]  It's not about left and right. It's about the elites controlling both parties and using the country as their private cash machine that they're looting.
[35:36.000 --> 35:40.000]  There are certainly a lot of people, I'd say 35, 40% that will never wake up to anything.
[35:40.000 --> 35:44.000]  They're in the left, they're in the controlled right, but they don't matter.
[35:44.000 --> 35:49.000]  And they're going to get hurt worse and worse by believing the lies and they're finally going to wake up.
[35:49.000 --> 35:54.000]  Well, I got my fingers crossed because like, for example, like, I mean, something, this is a major and then something minor.
[35:54.000 --> 36:02.000]  Like you had those people in Missouri at the Obama Truth Squad where they had prosecutors and law officers saying that they were going to forcefully go after anybody who...
[36:02.000 --> 36:09.000]  No, they said anybody that violates the state laws and what they say about Obama in any ads, we are going to aggressively prosecute him.
[36:09.000 --> 36:16.000]  And then even listeners of this show were in denial about it when it was in scores of Missouri newspapers.
[36:16.000 --> 36:22.000]  It was on Missouri TV, it had the prosecutors themselves saying it.
[36:22.000 --> 36:26.000]  Again, it's hard to believe the army says they want martial law or are ready for martial law.
[36:26.000 --> 36:30.000]  It's hard to believe they're trying to intimidate the First Amendment.
[36:30.000 --> 36:35.000]  And no, our criticism of Barack Obama's campaign trying to intimidate people doesn't mean we're from a cane.
[36:35.000 --> 36:39.000]  This is a stage deal. The point is we're against anybody that does stuff like that.
[36:39.000 --> 36:43.000]  Okay, so don't put me in one of your controlled left-right groups out there, folks.
[36:43.000 --> 36:50.000]  We're here as constitutionalists. Ryan in Las Vegas, Nevada, you're on the air.
[36:50.000 --> 36:52.000]  How are you doing, Alex? Good, sir.
[36:52.000 --> 37:01.000]  I just want to say all my friends are all waiting for a certain day for this to pop off, for a hydrogen bomb to be dropped and martial law to be called in.
[37:01.000 --> 37:04.000]  But the New World Order, we're living it every day.
[37:04.000 --> 37:10.000]  Yeah, this is a financial terrorism. This is a financial 9-11 that we're witnessing.
[37:10.000 --> 37:17.000]  And I'm going to cover that next hour, the facts of how it's been orchestrated by a global group of private bankers.
[37:17.000 --> 37:19.000]  Yeah, and I just want to ask you something.
[37:19.000 --> 37:28.000]  Of course, you got of the part of the elitist, you got the dominant bloodlines, international bankers, and the worldwide intelligence agencies.
[37:28.000 --> 37:37.000]  I wanted to ask you what you're pending on the Jesuit order control of Vatican, like how that fits into the, like, all CNI, like, on the bricks.
[37:37.000 --> 37:41.000]  Like, what, you know, I'm like...
[37:41.000 --> 37:43.000]  Sure, let me comment on that.
[37:43.000 --> 37:53.000]  I don't get into bashing Jews, bashing Catholics, bashing Protestants, bashing Chinese, because that's divide and conquer.
[37:53.000 --> 37:57.000]  The New World Order has a global system. They love to play us off against each other.
[37:57.000 --> 38:10.000]  Am I upset by the corrupt bad things the Israeli government does, where they admit in Harassah's Jerusalem Post that the Israeli government has staged terror attacks before as a pretext to take the liberties of Israelis living in Israel?
[38:10.000 --> 38:16.000]  And they arrest a lot of people in Israel who criticize the government's secret nuclear program.
[38:16.000 --> 38:18.000]  They don't have a lot of free speech there.
[38:18.000 --> 38:21.000]  But it doesn't mean I'm against Israel or the Jewish people themselves.
[38:21.000 --> 38:30.000]  Just like I'm against the Catholic Church covering up all of the pedophilia for 30, 40 years, and then now look at what's come out.
[38:30.000 --> 38:32.000]  I'm fully against that.
[38:32.000 --> 38:38.000]  And I'm against Pat Robertson coming out and saying, I want a global warming tax, global warming's real.
[38:38.000 --> 38:42.000]  You know, again, I myself grew up a Protestant.
[38:42.000 --> 38:52.000]  But that doesn't mean then that that when I bash Pastor Hague down in San Antonio, who basically said Jesus isn't the Messiah.
[38:52.000 --> 38:55.000]  We've got to worship Israel.
[38:55.000 --> 38:58.000]  He rejoices when Palestinians are killed.
[38:58.000 --> 39:00.000]  That doesn't mean all Protestants are bad.
[39:00.000 --> 39:03.000]  It's bad people in these movements.
[39:03.000 --> 39:08.000]  But certainly the Jesuit order has been involved in all sorts of intrigue and corruption.
[39:08.000 --> 39:18.000]  Anything big and institutional and old, statistically, historically, power corrupts absolute power, corrupts absolutely, is going to be involved in all sorts of bad things.
[39:18.000 --> 39:27.000]  And that's why we as a people have to keep government small, keep institutions small, not trust anyone in a high position of power.
[39:27.000 --> 39:29.000]  That doesn't mean dislike them or hate them, any of these groups.
[39:29.000 --> 39:33.000]  It means keep an eye on what's going on.
[39:33.000 --> 39:41.000]  But I don't like to get into all this religious fighting, folks, you know, I don't get up here and bash Muslims either, even though I think there's all there's some bad Muslim sex.
[39:41.000 --> 39:49.000]  Some of the Wahhabist out of Saudi Arabia who belong to the Sunnis, you know, are involved in some really bad things to women and other people.
[39:49.000 --> 39:51.000]  And I don't agree with them.
[39:51.000 --> 39:57.000]  And so I speak out against that, but it doesn't mean I'm bashing Muslims themselves very diverse group.
[39:57.000 --> 40:01.000]  Okay, let's go ahead and talk to DeWayne in central Austin.
[40:01.000 --> 40:02.000]  You're on the air.
[40:02.000 --> 40:03.000]  Go ahead.
[40:03.000 --> 40:04.000]  Hey, how are you doing, Alex?
[40:04.000 --> 40:05.000]  Good, sir.
[40:05.000 --> 40:10.000]  Hey, number one, everything, I've been listening to you.
[40:10.000 --> 40:17.000]  I actually debated you back when I was in college and visited UT with the YCT way back.
[40:17.000 --> 40:24.000]  Young conservatives of Texas and the low recon quista Aztecs came up and grabbed the cake and were throwing it around everywhere.
[40:24.000 --> 40:25.000]  Yeah, back in the days.
[40:25.000 --> 40:29.000]  But the thing is, I noticed you changed and I have observed a lot of this stuff.
[40:29.000 --> 40:36.000]  And I said, man, the things that you say are actually coming true and we have seen the follow-up.
[40:36.000 --> 40:37.000]  Wait a minute.
[40:37.000 --> 40:39.000]  Are you that big black guy that came up and grabbed the microphone away from me?
[40:39.000 --> 40:41.000]  No, I didn't grab a microphone from you.
[40:41.000 --> 40:42.000]  Well, no, but I gave it to you.
[40:42.000 --> 40:43.000]  You came up and said, give me the microphone.
[40:43.000 --> 40:45.000]  I said, okay, go ahead.
[40:45.000 --> 40:46.000]  Was that you?
[40:46.000 --> 40:47.000]  Nah, nah, nah, nah.
[40:47.000 --> 40:48.000]  I didn't do that.
[40:48.000 --> 40:51.000]  But I mean, if you were there at that event, you saw that happen.
[40:51.000 --> 40:52.000]  Yeah.
[40:52.000 --> 40:56.000]  I mean, I mean, a guy did start kind of grabbing at it and I said, okay, here, you can have it.
[40:56.000 --> 40:57.000]  Yeah.
[40:57.000 --> 40:59.000]  Because I wanted to show free speech.
[40:59.000 --> 41:00.000]  Yeah.
[41:00.000 --> 41:02.000]  You didn't, you didn't witness that if you were there.
[41:02.000 --> 41:03.000]  No, I was at a different one.
[41:03.000 --> 41:05.000]  It might have happened at a different time.
[41:05.000 --> 41:06.000]  I was there a few times.
[41:06.000 --> 41:07.000]  Yeah.
[41:07.000 --> 41:11.000]  But the only thing I'm just saying is this is the follow-up to 9-11.
[41:11.000 --> 41:17.000]  And there are people here who want a Star Trek world, a one-world government where everybody
[41:17.000 --> 41:19.000]  is processed through the system.
[41:19.000 --> 41:24.000]  Well, speaking of Star Trek, you know, their symbol is the United Nations symbol put over
[41:24.000 --> 41:25.000]  a Starfield.
[41:25.000 --> 41:28.000]  So, and there is a UN running the planet in that show.
[41:28.000 --> 41:31.000]  That's called predictive programming where the media tells you what they're going to
[41:31.000 --> 41:34.000]  do later with these archetypal television shows.
[41:34.000 --> 41:37.000]  And a lot of these people, I'm just going to put it like this quick because I want to
[41:37.000 --> 41:38.000]  take up your time.
[41:38.000 --> 41:43.000]  They're saying that a lot of educated people back, one of the candidates, Obama, these
[41:43.000 --> 41:45.000]  folks don't question anything.
[41:45.000 --> 41:47.000]  They think it's good to have a world government.
[41:47.000 --> 41:50.000]  They think it's good to do what they tell you to do.
[41:50.000 --> 41:54.000]  And I'm just saying that, I know you're not backing one candidate over the other.
[41:54.000 --> 42:01.000]  But the thing is, I think the powers that be are backing one guy a thousand percent over
[42:01.000 --> 42:02.000]  the other guy.
[42:02.000 --> 42:04.000]  Well, listen, I hear you.
[42:04.000 --> 42:08.000]  It is true, and I've looked at the numbers from the elections commission.
[42:08.000 --> 42:15.000]  Obama has gotten three times the contributions from Wall Street that McCain has.
[42:15.000 --> 42:17.000]  And that is a fact.
[42:17.000 --> 42:20.000]  But again, either way, the New World Order wins.
[42:20.000 --> 42:22.000]  That's why I'm not even weighing in on this.
[42:22.000 --> 42:24.000]  This country is in a lot of trouble.
[42:24.000 --> 42:26.000]  I think I've got time to take one more call, Donna.
[42:26.000 --> 42:27.000]  We don't.
[42:27.000 --> 42:28.000]  We've got to break here.
[42:28.000 --> 42:35.000]  When we come back, I'm going to try to hurry through your calls, and I go to Ted, Dan,
[42:35.000 --> 42:39.000]  Yvonne, David, Paula, and others.
[42:39.000 --> 42:45.000]  877-590-5525 is the toll-free number to join us.
[42:45.000 --> 42:50.000]  Again, don't forget the premier alternative news websites on the web, prisonplanet.com,
[42:50.000 --> 42:51.000]  infowars.com.
[42:51.000 --> 42:52.000]  We'll see you next time.
[42:52.000 --> 43:19.000]  It is now time to reign in evil and bring them to justice.
[43:19.000 --> 43:23.000]  They are called Illuminati, elite proponents of the New World Order.
[43:23.000 --> 43:26.000]  They oppose everything that is God and truth.
[43:26.000 --> 43:31.000]  They are of the line that was disinherited 2,000 years ago, everything they have built
[43:31.000 --> 43:35.000]  over the centuries, the wealth they have accumulated, the power they have established,
[43:35.000 --> 43:39.000]  the poisoning of the masses, the destruction of the earth and mankind.
[43:39.000 --> 43:43.000]  We will undo through the authority that has now been delegated to us.
[43:43.000 --> 43:47.000]  Visit our website at unveilingthem.com.
[43:47.000 --> 43:52.000]  The message of his kingdom.
[43:52.000 --> 43:54.000]  Benjamin Franklin once said,
[43:54.000 --> 43:59.000]  Anyone willing to trade liberty for security deserves neither liberty nor security.
[43:59.000 --> 44:02.000]  Now, Mercer Films brings you Uncivil Liberties,
[44:02.000 --> 44:04.000]  a political thriller ripped from today's headlines,
[44:04.000 --> 44:08.000]  domestic spying, wiretapping, government chipping and more.
[44:08.000 --> 44:12.000]  People should look one another in the eye before they go killing for causes.
[44:12.000 --> 44:17.000]  Uncivil Liberties, the movie that will transport you to a society where the government monitors
[44:17.000 --> 44:20.000]  the moves of every citizen in the name of national security.
[44:20.000 --> 44:23.000]  The whole country is on a bus, the crazy driver.
[44:23.000 --> 44:27.000]  If the passengers can't get hold of the wheel, we're all going to go over the cliff.
[44:27.000 --> 44:33.000]  Go to UncivilLiberties.com to receive your full-length feature on DVD for only $13.95.
[44:33.000 --> 44:39.000]  That's UncivilLiberties.com to view the movie trailer, read reviews and purchase the DVD.
[44:39.000 --> 44:42.000]  The enemy of my enemy is my ally.
[44:42.000 --> 44:49.000]  UncivilLiberties.com, because in this world, liberty is all that we have and we must take it back.
[44:49.000 --> 44:53.000]  Purchase a copy today at UncivilLiberties.com.
[44:53.000 --> 44:57.000]  Hello, this is Tom with hempusa.org.
[44:57.000 --> 45:00.000]  Most of you have been hearing my ads for the past few months,
[45:00.000 --> 45:05.000]  and it's no secret that the economy is failing and prices are rising in all sectors.
[45:05.000 --> 45:10.000]  If you've been thinking of a nutrient-dense daily food source and a storable food for yourself and family,
[45:10.000 --> 45:12.000]  the time to act is now.
[45:12.000 --> 45:19.000]  At hempusa.org, we still believe that food will be your greatest asset in these trying times ahead.
[45:19.000 --> 45:26.000]  Please call 1-908-691-2608 and see what our powder seeds and oil can do for you.
[45:26.000 --> 45:29.000]  Beware, be smart and be ready.
[45:29.000 --> 45:35.000]  Call 908-691-2608 or visit us at hempusa.org.
[45:35.000 --> 45:41.000]  Families need this high quality natural food source for its low price and long storage shelf life.
[45:41.000 --> 45:45.000]  This incredible food source should be a staple part of your diet every day.
[45:45.000 --> 46:00.000]  Call 908-691-2608 or visit us at hempusa.org today.
[46:16.000 --> 46:18.000]  Autoimmune diseases, chronic fatigue and more.
[46:18.000 --> 46:24.000]  Unfortunately, traditional detoxifying isn't able to clear the body of these harmful and potentially deadly toxins.
[46:24.000 --> 46:27.000]  That's why there's PuraClear from Ripple Creek.
[46:27.000 --> 46:32.000]  PuraClear contains a proprietary blend of ingredients including a cilantro extract and alphalipoic acid,
[46:32.000 --> 46:36.000]  among other ingredients formulated specifically to promote body cleansing.
[46:36.000 --> 46:41.000]  PuraClear also has ingredients selected to promote improved circulation to enhance activity
[46:41.000 --> 46:45.000]  so that heavy metals may be more effectively captured and removed from the body.
[46:45.000 --> 47:13.000]  Order PuraClear now by calling Ripple Creek at 203-331-0363 or go to RippleCreek.com.
[47:13.000 --> 47:15.000]  A New World Order.
[47:15.000 --> 47:18.000]  What did George Bush Sr. call for?
[47:18.000 --> 47:22.000]  What is almost every president and leaders of Europe been calling for,
[47:22.000 --> 47:27.000]  including Gordon Brown on a daily basis in Sarkozy of France and Merkel of Germany?
[47:27.000 --> 47:30.000]  A New World Order.
[47:30.000 --> 47:32.000]  A New World Order.
[47:32.000 --> 47:34.000]  A New World Order.
[47:34.000 --> 47:37.000]  A New World Order.
[47:37.000 --> 47:42.000]  What did you...
[47:42.000 --> 47:46.000]  What did the Trilateral Commission documents that are public in the mid-70s say?
[47:46.000 --> 47:51.000]  They said they would get everybody extended in credit through the private banking system
[47:51.000 --> 47:55.000]  and implode it and set up a world banking system with world government powers.
[47:55.000 --> 48:00.000]  And in England and in all across the planet, in Japan, in the United States,
[48:00.000 --> 48:09.000]  governmental powers are being handed over to basically do whatever they want.
[48:09.000 --> 48:11.000]  They're being given governmental power.
[48:11.000 --> 48:13.000]  They are becoming the government.
[48:13.000 --> 48:16.000]  It is a corporate takeover of countries.
[48:16.000 --> 48:19.000]  The bankers inflate your currency, buy real assets with it.
[48:19.000 --> 48:21.000]  Then they bankrupt everything.
[48:21.000 --> 48:23.000]  If they've already moved the assets to where it's safe,
[48:23.000 --> 48:26.000]  then they bankrupt the dummy corporations, the front banks,
[48:26.000 --> 48:31.000]  and then convince you you've got to prop it up or the economy will fall
[48:31.000 --> 48:37.000]  and really all they're doing is fully devaluing the currency while they continue to buy real assets with it.
[48:37.000 --> 48:41.000]  On the Drudge Report, it says banks modifying large numbers of mortgages developing.
[48:41.000 --> 48:46.000]  I know a lot of Austin realtors, some of which are very successful and sell multimillion-dollar homes.
[48:46.000 --> 48:49.000]  They told me starting about two years ago they would just have people at the very end of closing say,
[48:49.000 --> 48:53.000]  oh, we're not going to do this deal, by the way, unless you sign this form saying
[48:53.000 --> 48:56.000]  we can modify the mortgage however we want in the future.
[48:56.000 --> 49:00.000]  And the families were so happy with their houses selling or buying, they would sign it.
[49:00.000 --> 49:03.000]  Well, now they're going to use that.
[49:03.000 --> 49:09.000]  Ah, a sharecropper contract that says they can do whatever they want.
[49:09.000 --> 49:12.000]  And there's going to be bailout after bailout after bailout.
[49:12.000 --> 49:14.000]  They're saying they need more now.
[49:14.000 --> 49:18.000]  And they're saying, oh, it isn't 800 and something billion, first 700 and 800 in a few days.
[49:18.000 --> 49:24.000]  It's really five trillion in the fine print as Bloomberg reported a week ago.
[49:24.000 --> 49:28.000]  Five trillion and they're going to devalue your currency.
[49:28.000 --> 49:33.000]  They're going to issue all that liquidity and it's going to devalue your savings.
[49:33.000 --> 49:36.000]  But it doesn't matter, does it?
[49:36.000 --> 49:43.000]  Let's go ahead and talk to Evian, I believe, in Nashville, Tennessee.
[49:43.000 --> 49:45.000]  You're on the air.
[49:45.000 --> 49:47.000]  Hey, how are you doing?
[49:47.000 --> 49:49.000]  I'm doing very well, sir.
[49:49.000 --> 49:52.000]  I have to put out a call right now because we have a debate here on Tuesday.
[49:52.000 --> 49:58.000]  And they've got Nashville locked down right now as far as the martial law game is concerned, up and around Belmont.
[49:58.000 --> 50:02.000]  They've got it all chained up and it's going to be very interesting because they are private debates.
[50:02.000 --> 50:06.000]  And your average American citizen cannot show up at these debates.
[50:06.000 --> 50:09.000]  So I implore everybody in the Southeast if you can make it.
[50:09.000 --> 50:11.000]  Who's having private debates?
[50:11.000 --> 50:14.000]  The debate to Belmont, they were issued tickets.
[50:14.000 --> 50:17.000]  They called out, I believe, a very sketchy scenario.
[50:17.000 --> 50:22.000]  But they called out, they give you to a private organization.
[50:22.000 --> 50:24.000]  I don't know if they called landlines or cell phones.
[50:24.000 --> 50:27.000]  Are you talking about a presidential debate?
[50:27.000 --> 50:28.000]  What's that, brother?
[50:28.000 --> 50:29.000]  I don't know what you're talking about.
[50:29.000 --> 50:30.000]  What debate, sir?
[50:30.000 --> 50:31.000]  The presidential debate.
[50:31.000 --> 50:32.000]  Yeah, okay.
[50:32.000 --> 50:34.000]  And of course they call them town halls, but they're not.
[50:34.000 --> 50:39.000]  They make people sign a contract saying they won't make any noise, won't do anything.
[50:39.000 --> 50:44.000]  But not just in debates, in these fake town halls, if it's a Republican event,
[50:44.000 --> 50:47.000]  they go around looking for bumper stickers that are Democratic,
[50:47.000 --> 50:50.000]  then they'll arrest you and throw you out off the name you sign inside.
[50:50.000 --> 50:54.000]  Or if it's a Democratic event, they go around looking for the Republicans.
[50:54.000 --> 50:57.000]  Vice versa.
[50:57.000 --> 50:58.000]  Indeed.
[50:58.000 --> 51:01.000]  I implore anybody who can come down, please come down to Nashville on Tuesday
[51:01.000 --> 51:03.000]  and just engage because you can't get in.
[51:03.000 --> 51:05.000]  So you may as well just stand outside and engage.
[51:05.000 --> 51:06.000]  Absolutely.
[51:06.000 --> 51:07.000]  Good to hear from you.
[51:07.000 --> 51:10.000]  Does anybody want to talk about the bailout, the banker takeover bill?
[51:10.000 --> 51:12.000]  Let's talk to Dan in Connecticut.
[51:12.000 --> 51:13.000]  You're on the air, Dan.
[51:13.000 --> 51:14.000]  Oh, excellent.
[51:14.000 --> 51:17.000]  I did want to talk about the bailout bill.
[51:17.000 --> 51:18.000]  You're on the air.
[51:18.000 --> 51:19.000]  Yeah, excellent.
[51:19.000 --> 51:25.000]  Well, the good news is a lot of people around here have figured out that it's not only a
[51:25.000 --> 51:29.000]  bad idea, but that it's not going to work.
[51:29.000 --> 51:32.000]  Well, it's not, but see, it's like the war on drugs.
[51:32.000 --> 51:34.000]  We have triple the heroin, double the cocaine.
[51:34.000 --> 51:36.000]  We had just 12 years ago.
[51:36.000 --> 51:41.000]  We've gone from 300,000 people in prison to 4 million in prison and more than 10 million
[51:41.000 --> 51:42.000]  in the system.
[51:42.000 --> 51:44.000]  There's police spying on everyone here.
[51:44.000 --> 51:46.000]  The children are trained to spy on their parents.
[51:46.000 --> 51:48.000]  It's meant to militarize.
[51:48.000 --> 51:52.000]  How did the British in the US, let me just tell you, how did the British in the United
[51:52.000 --> 51:55.000]  States and others bring down China 150 years ago?
[51:55.000 --> 51:56.000]  They brought in opium.
[51:56.000 --> 51:57.000]  They got control of the gangs.
[51:57.000 --> 52:01.000]  They got control of the police over 20 years and they broke the country in 10 parts.
[52:01.000 --> 52:03.000]  It's the same thing here.
[52:03.000 --> 52:07.000]  That's why the government ships the heroin and cocaine in so that they then have the
[52:07.000 --> 52:09.000]  pretext of the same thing with the bailout.
[52:09.000 --> 52:11.000]  You're told it's been to save the economy.
[52:11.000 --> 52:14.000]  It's actually meant to destroy the economy.
[52:14.000 --> 52:15.000]  Totally humorous.
[52:15.000 --> 52:19.000]  We basically signed a promise to repay the banks so we can borrow the money they create
[52:19.000 --> 52:22.000]  out of thin air to give it right back to them.
[52:22.000 --> 52:28.000]  I mean, well, I can't say it doesn't get any funnier than that because I'm pretty sure
[52:28.000 --> 52:30.000]  it'll come up with something even funnier.
[52:30.000 --> 52:37.000]  Well, to put it simply, all of these bad mortgages could have been paid off for less than 100
[52:37.000 --> 52:38.000]  billion.
[52:38.000 --> 52:41.000]  Again, this isn't my opinion, I told everybody two and a half years ago it would all start
[52:41.000 --> 52:42.000]  with the subprime mortgages.
[52:42.000 --> 52:45.000]  That way they get to blame it on the American people.
[52:45.000 --> 52:49.000]  Know what happened is the banks took credit card debt, they took housing loans, they took
[52:49.000 --> 52:54.000]  hundreds of other instruments and then they took those debts and called them assets and
[52:54.000 --> 53:00.000]  sold them into the world market into over a thousand trillion.
[53:00.000 --> 53:07.000]  Now, again, while the money was still worth something before they had devalued it, they
[53:07.000 --> 53:08.000]  bought real assets.
[53:08.000 --> 53:10.000]  Now, they leave us holding the bag.
[53:10.000 --> 53:11.000]  Go ahead.
[53:11.000 --> 53:14.000]  Well, there's some other good news.
[53:14.000 --> 53:19.000]  Basically, we've had a lot of people around where I am run for office, myself included,
[53:19.000 --> 53:25.000]  and we actually got a lot of people to write letters to the editor about the Federal Reserve.
[53:25.000 --> 53:30.000]  It's been really amazing, like the amount of people we got woken up out here.
[53:30.000 --> 53:36.000]  Hopefully, 2010, 2012, we can, assuming that things are the way they are.
[53:36.000 --> 53:41.000]  And assuming you can remove the touchscreen electronic voting machines that have been proven
[53:41.000 --> 53:42.000]  to be a fraud, good to hear from you.
[53:42.000 --> 53:46.000]  I'm going to break down the entire financial situation when we come back in the next hour
[53:46.000 --> 53:48.000]  in detail and continue to take calls as well.
[53:48.000 --> 53:50.000]  Ted, in Austin, you're on the air.
[53:50.000 --> 53:51.000]  Go ahead.
[53:51.000 --> 53:53.000]  Hey, Alex, I'm calling in about the bailout.
[53:53.000 --> 53:54.000]  Yes, sir.
[53:54.000 --> 53:59.000]  And we all know that Fannie Mae is kind of at the heart of the housing bubble which led
[53:59.000 --> 54:00.000]  to the bailout.
[54:00.000 --> 54:02.000]  Well, that's the excuse.
[54:02.000 --> 54:05.000]  It's actually a small part of it.
[54:05.000 --> 54:09.000]  Have you looked at the investigation that's going on with Barney Frank right now about
[54:09.000 --> 54:13.000]  how he was in the homosexual relationship with Herb Moses?
[54:13.000 --> 54:19.000]  He was executive at Fannie Mae for 10 years.
[54:19.000 --> 54:20.000]  Yeah, look, look, look.
[54:20.000 --> 54:24.000]  They're getting ready to pin this on Barney Frank, who I'm no fan of.
[54:24.000 --> 54:29.000]  Barney Frank just got control of the banking committee two years ago.
[54:29.000 --> 54:38.000]  Barney Frank, I mean, it's like they had the Enron scam and hundreds of billions of dollars
[54:38.000 --> 54:43.000]  were stolen and all those other big corporate scams in 2000, 2001, 2002.
[54:43.000 --> 54:48.000]  And so they go and they grab Martha Stewart who basically stole a stick of bubble gum
[54:48.000 --> 54:53.000]  if she did anything while the real bank robbers engaged in things thousands of times bigger.
[54:53.000 --> 54:58.000]  And they used her because the American people have no idea of the scales of wealth thinking
[54:58.000 --> 55:03.000]  that 14 million impropriety of selling her stock when she knew it was going down was bad
[55:03.000 --> 55:05.000]  compared to all the real crime.
[55:05.000 --> 55:08.000]  So they're setting him up as a Patsy.
[55:08.000 --> 55:11.000]  Barney Frank should get in trouble.
[55:11.000 --> 55:14.000]  I'm going to let you finish your point and then I'm going to explain what Barney Frank
[55:14.000 --> 55:15.000]  should really get in trouble for.
[55:15.000 --> 55:18.000]  I was going to say that they're using a method Patsy.
[55:18.000 --> 55:24.000]  If you do a little research, I think the thing about him having the gay prostitute in his apartment
[55:24.000 --> 55:29.000]  underage, it's all going to come out and just like you said, he's going to be used as a Patsy.
[55:29.000 --> 55:31.000]  So I just wanted you to comment all that if you could.
