[00:00:25.865 --> 00:00:26.705]  The year is 2020.
[00:25:42.712 --> 00:25:43.912]  We're all Americans.
[00:25:43.912 --> 00:25:44.733]  We race, color, and creed.
[00:25:44.733 --> 00:25:47.175]  We care about freedom, and that's what it all comes down to.
[00:25:47.175 --> 00:25:49.296]  So here's the video of what happened.
[00:25:49.296 --> 00:25:52.338]  I'm trying to find our own video, which we don't have, of what happened right at the first.
[00:25:52.338 --> 00:25:54.160]  You can see they charge into us.
[00:25:54.160 --> 00:25:54.720]  We stop.
[00:25:54.720 --> 00:25:55.320]  We turn around.
[00:25:55.320 --> 00:25:56.001]  We leave.
[00:25:56.001 --> 00:25:56.962]  We're friends with those folks.
[00:25:56.962 --> 00:25:59.523]  Not sure who they are exactly, but everything's great.
[00:25:59.523 --> 00:26:00.044]  Here's that footage.
[00:26:00.484 --> 00:26:02.385]  Maybe I just got a little enthusiastic, but we're gonna do it!
[00:26:02.385 --> 00:26:03.205]  So go to TrumpMarch.com!
[00:26:03.205 --> 00:26:04.325]  We're not allowed to be here!
[00:26:04.325 --> 00:26:05.406]  We're not allowed to be here!
[00:26:05.406 --> 00:26:06.466]  We're not allowed to be here!
[00:26:06.466 --> 00:26:07.546]  We're not allowed to be here!
[00:26:07.546 --> 00:26:08.486]  We're not allowed to be here!
[00:26:08.486 --> 00:26:09.327]  We're not allowed to be here!
[00:26:09.327 --> 00:26:10.307]  We're not allowed to be here!
[00:26:10.307 --> 00:26:11.387]  We're not allowed to be here!
[00:26:11.387 --> 00:26:12.668]  We're not allowed to be here!
[00:26:12.668 --> 00:26:13.748]  We're not allowed to be here!
[00:26:13.748 --> 00:26:14.888]  We're not allowed to be here!
[00:26:14.888 --> 00:26:16.129]  We're not allowed to be here!
[00:26:16.129 --> 00:26:17.009]  We're not allowed to be here!
[00:26:17.009 --> 00:26:18.089]  We're not allowed to be here!
[00:26:18.089 --> 00:26:19.210]  We're not allowed to be here!
[00:26:19.210 --> 00:26:20.470]  We're not allowed to be here!
[00:26:20.470 --> 00:26:21.670]  We're not allowed to be here!
[00:26:21.670 --> 00:26:22.631]  We're not allowed to be here!
[00:26:22.631 --> 00:26:23.531]  We're not allowed to be here!
[00:26:23.531 --> 00:26:24.611]  We're not allowed to be here!
[00:26:24.611 --> 00:26:25.652]  We're not allowed to be here!
[00:26:25.652 --> 00:26:26.472]  We're not allowed to be here!
[00:26:26.472 --> 00:26:28.192]  We're not allowed to be here!
[00:26:28.192 --> 00:26:29.253]  We're not allowed to be here!
[00:26:29.253 --> 00:26:30.013]  We're not allowed to be here!
[00:26:30.233 --> 00:26:33.014]  I don't know what's going on.
[00:26:58.360 --> 00:26:58.720]  Alex Jones!
[00:26:58.720 --> 00:26:59.621]  Alex Jones!
[00:26:59.621 --> 00:27:00.321]  Alex Jones!
[00:27:00.321 --> 00:27:00.561]  Alex Jones!
[00:27:15.774 --> 00:27:19.698]  Okay, so there's what actually happened at that event, not what some folks have been spinning.
[00:27:19.698 --> 00:27:21.681]  Let's move on to the really important news.
[00:27:21.681 --> 00:27:29.829]  Hunter Biden subpoenaed, over Burisma, two dozen other entities as part of four criminal investigations.
[00:27:29.829 --> 00:27:30.530]  Communist China,
[00:27:31.445 --> 00:27:40.232]  The Ukrainians, the Russians, it's all being investigated, but it's being investigated by the same Justice Department that never does anything.
[00:27:40.232 --> 00:27:47.057]  And then if Joe Biden is able to insert himself into power, we've got a really, really serious problem.
[00:27:47.057 --> 00:27:54.784]  Because then they'll get even more of their people into the Justice Department and more of their swamp creatures into the depths of these lairs to be able to basically be above the law.
[00:27:55.629 --> 00:28:02.293]  If you think the Clintons and the Bushes and Obama were corrupt, Joe Biden doesn't even know what planet he's on.
[00:28:02.293 --> 00:28:10.657]  And so the lobbyists of special interest that are going to overrun Washington is a real national security crisis and a threat to the entire world.
[00:28:10.657 --> 00:28:13.219]  Now, let's get back to fake news.
[00:28:13.219 --> 00:28:18.342]  Hate to make ourselves the center of the news, but it's a great case point of the propaganda and disinfo.
[00:28:18.342 --> 00:28:24.045]  I gave that Jericho speech that you just saw last segment, where I said, Joe Biden's a reanimated corpse.
[00:28:25.330 --> 00:28:32.572]  And he's not going to be our president one way or the other, whether he doesn't get in now or whether we remove him with impeachment for being a globalist shycom agent.
[00:28:32.572 --> 00:28:37.554]  The media spun that, that I was saying that I want to kill Joe Biden.
[00:28:37.554 --> 00:28:40.554]  The last thing I want is to kill Joe Biden.
[00:28:40.554 --> 00:28:41.675]  That would turn him into a martyr.
[00:28:42.435 --> 00:28:44.418]  Turn a horrible monster into a martyr.
[00:28:44.418 --> 00:28:46.680]  We want to kill the ideas he's pushing.
[00:28:46.680 --> 00:28:51.866]  We want to kill his agenda of bankrupting America and turning off our plants and cutting off our oil.
[00:28:51.866 --> 00:28:55.090]  We want to kill the New World Order idea of tyranny.
[00:28:55.090 --> 00:28:57.914]  We don't want to hurt the puppet of it all and then...
[00:28:59.824 --> 00:29:03.887]  The Wall Street Dictionary has a very simple definition of terrorism.
[00:29:03.887 --> 00:29:06.269]  Other dictionaries have similar ones.
[00:29:06.269 --> 00:29:13.894]  Terrorism is the threat of force, or actually carrying out force, for a political or financial reason.
[00:29:13.894 --> 00:29:17.797]  It's basically scaring the hell out of people until you submit to them.
[00:29:17.797 --> 00:29:21.279]  That's exactly what all this overblown COVID-19 garbage is.
[00:29:21.279 --> 00:29:23.701]  You see the headlines from CNN, ABC News.
[00:29:23.701 --> 00:29:26.082]  Doctors say it's worse than they ever thought.
[00:29:26.082 --> 00:29:27.904]  COVID more devastating than they could ever imagine.
[00:29:28.644 --> 00:29:34.909]  They told us that two and a half million people would be dead just eight months ago, within three months.
[00:29:34.909 --> 00:29:35.849]  Okay?
[00:29:35.849 --> 00:29:40.432]  It's a quarter million if you count all of the people that died of other things.
[00:29:40.432 --> 00:29:42.714]  We're talking 96% had comorbidity.
[00:29:42.714 --> 00:29:43.535]  These are real numbers.
[00:29:43.535 --> 00:29:44.816]  These are real facts.
[00:29:44.816 --> 00:29:50.099]  This is the chicken little event where we all run in our houses, never come out, and are taught we're not essential.
[00:29:50.099 --> 00:29:52.201]  All the big box stores and Amazon take over the planet.
[00:29:52.701 --> 00:29:53.481]  Rebuke it.
[00:29:53.481 --> 00:29:54.661]  Stand up against it.
[00:29:54.661 --> 00:29:56.402]  This is slavery.
[00:29:56.402 --> 00:30:00.983]  It is not something you can put up with and survive.
[00:30:00.983 --> 00:30:06.704]  If you think 2020 has been an insane and dangerous year, just wait until you see the year 2021.
[00:30:06.704 --> 00:30:09.184]  I'm Alex Jones.
[00:30:09.184 --> 00:30:12.625]  I started InfoWars, but I couldn't have done any of this without you.
[00:30:12.625 --> 00:30:20.106]  And now InfoWars is more important than ever because the general population of the planet is waking up to the fact that we've done our research and we've been dead on.
[00:30:20.646 --> 00:30:31.597]  That's why it's so important for those of you out there that have supported the broadcast and the websites and the films and all the rest of the information we put out to realize how important your work has been and to redouble your efforts.
[00:30:31.597 --> 00:30:33.079]  So, absolutely, and I thank you.
[00:30:33.079 --> 00:30:36.001]  Also, as Christmas is almost here, don't wait.
[00:30:36.001 --> 00:30:38.584]  Do your shopping at InfoWareStore.com.
[00:30:38.584 --> 00:30:41.307]  Get amazing new suiticals that boost your immune system.
[00:30:41.787 --> 00:30:45.651]  And make your life so much better overall for adults and children.
[00:30:45.651 --> 00:30:56.861]  Get great water filtration, air filtration that enriches your life, books, films, t-shirts, survival gear, storable food, locket pockets, privacy pouches, and so much more at infowarestore.com.
[00:30:56.861 --> 00:30:59.103]  And again, thank you all for your support, and Merry Christmas.
[00:30:59.103 --> 00:30:59.444]  God bless.
[00:31:11.311 --> 00:31:15.614]  Now it's easier than ever to have Band.Video on your iPhone.
[00:31:15.614 --> 00:31:19.097]  Simply go to Band.Video with your Safari browser.
[00:31:19.097 --> 00:31:22.379]  Then you click the Share button at the bottom of the screen.
[00:31:22.379 --> 00:31:25.922]  When the menu comes up, you simply click Add to Home Screen.
[00:31:25.922 --> 00:31:28.164]  It will then ask you to name the app.
[00:31:28.164 --> 00:31:29.585]  I suggest Band.Video.
[00:31:30.245 --> 00:31:35.708]  You will now have BAN.VIDEO app on your home screen, despite the fact that Tim Cook tried to stop it.
[00:31:35.708 --> 00:31:44.193]  The globalists think you're lazy, but by taking a little bit of action, you can override them, have the app, and then tell others about it so they can get the app.
[00:31:44.193 --> 00:31:50.897]  So it's up to you whether you want to defy big tech and click the share buttons below on your email, on Facebook, on Twitter, on YouTube.
[00:31:50.897 --> 00:31:53.719]  However you want, be sure and share BAN.VIDEO.
[00:32:00.437 --> 00:32:08.020]  Most of the world submitted to the unconstitutional criminal lockdowns directed by the Communist Chinese and the United Nations.
[00:32:08.020 --> 00:32:18.563]  And now because the slaves have proven themselves to be subservient, the worst Australian models of complete lockdowns where you can't even leave your house for months and months are being announced.
[00:32:18.563 --> 00:32:28.306]  And in Germany, the police are using giant armored tanks with water cannons to blast men, women, and children that protest the fact that Merkel, the dictator, has put them under her control.
[00:32:28.886 --> 00:32:32.150]  That's right, she's been rigging elections for years and years.
[00:32:32.150 --> 00:32:35.073]  And the same thing is coming here to the United States.
[00:32:35.073 --> 00:32:36.615]  This is world government.
[00:32:36.615 --> 00:32:41.320]  In Philadelphia, they've announced four people or more seen together will be arrested.
[00:32:41.320 --> 00:32:43.322]  They're announcing that Christmas is canceled.
[00:32:43.322 --> 00:32:45.765]  This is what the communist takeover looks like.
[00:32:45.765 --> 00:32:49.669]  To bankrupt you, to take rid of all your due process, and absolutely
[00:32:50.029 --> 00:32:53.153]  Transform the world into a prison planet.
[00:32:53.153 --> 00:32:55.236]  How long have we warned you about this?
[00:32:55.236 --> 00:32:56.518]  But you can fight back.
[00:32:56.518 --> 00:32:58.601]  America is the last bastion.
[00:32:58.601 --> 00:33:03.307]  Stop submitting!
[00:33:03.307 --> 00:33:05.931]  You're listening to the Alex Jones Show.
[00:33:21.607 --> 00:33:26.489]  Defending the Republic from enemies foreign and domestic.
[00:33:26.489 --> 00:33:30.570]  It's Alex Jones.
[00:33:30.570 --> 00:33:37.112]  So I've seen all these surrogates of Barack Obama and Hillary Clinton and their minion, their front man, the senile.
[00:33:38.795 --> 00:33:46.022]  Empty suit Joe Biden saying that they wanted to kill Trump, that they want to destroy America, that they don't want our borders to even exist.
[00:33:46.022 --> 00:33:46.802]  They hate our military.
[00:33:46.802 --> 00:33:47.383]  They hate the police.
[00:33:47.383 --> 00:33:51.306]  They hate everything because they want full control over society.
[00:33:51.306 --> 00:33:54.429]  Look at the latest article on Infowars.com.
[00:33:54.429 --> 00:33:55.590]  Unity and healing.
[00:33:55.590 --> 00:33:59.974]  Joe Biden posts pictures of dogs tearing up Trump doll.
[00:33:59.974 --> 00:34:01.476]  And sure, you can say that's funny.
[00:34:01.476 --> 00:34:03.878]  It actually is.
[00:34:03.878 --> 00:34:04.919]  But imagine if.
[00:34:06.215 --> 00:34:12.082]  Trump posted images of Hillary being torn up by dogs.
[00:34:12.082 --> 00:34:14.284]  It would be the end of the world.
[00:34:14.284 --> 00:34:21.853]  And that's the thing about these people, is that the rules they want you to play by, they don't play by.
[00:34:21.853 --> 00:34:25.818]  And they consistently get away with whatever they want, whenever they want.
[00:34:26.906 --> 00:34:42.737]  And when I try to explain to viewers and listeners how much danger all of us are in society by letting Joe Biden get into office through fraud, it's really unlimited how dangerous it is.
[00:34:42.737 --> 00:34:46.119]  The globalists I've coined a term are dystopics.
[00:34:48.464 --> 00:34:57.946]  They believe in creating a dystopic future as a system of management and control, because it's hard to build a good society, and you're going to make mistakes.
[00:34:57.946 --> 00:35:08.489]  But if you artificially try to enslave and oppress people, authoritarianism, and try to actually build a dystopia on purpose, then you're a dystopic.
[00:35:08.489 --> 00:35:10.969]  And that's what this group is.
[00:35:10.969 --> 00:35:17.011]  And that's why you can never project onto them enough evil, because that's who they are.
[00:35:17.867 --> 00:35:21.248]  You can never imagine any depths to them.
[00:35:21.248 --> 00:35:27.410]  That's what the Bible calls hell, a bottomless pit, because there's no bottom to who these individuals are.
[00:35:27.410 --> 00:35:34.773]  We project our goodness, our decency, wanting to work with people, wanting to treat others like we want to be treated, onto them, and that's not how it works.
[00:35:34.773 --> 00:35:36.273]  Here's an example.
[00:35:36.273 --> 00:35:37.073]  I've been here in D.C.
[00:35:37.073 --> 00:35:45.716]  for three days, and I have talked to hundreds of people that have told me in restaurants and in hotels, hey, put your mask on.
[00:35:45.716 --> 00:35:47.337]  And I say, hey, listen, I know you're told to do that,
[00:35:48.729 --> 00:35:55.734]  But did you know that the new vaccine, MRNA vaccine, has HIV in it?
[00:35:55.734 --> 00:35:58.857]  And that's why it's giving positive HIV tests?
[00:35:58.857 --> 00:36:00.558]  And they look at me and say, that's crazy.
[00:36:00.558 --> 00:36:03.340]  And I pull my phone out and I show them the Sydney Morning Herald.
[00:36:04.261 --> 00:36:11.506]  And I explained that it has HIV in it, and the HIV delivery system, and I've gotten a few people brought to tears.
[00:36:11.506 --> 00:36:12.427]  Because you know what?
[00:36:12.427 --> 00:36:14.088]  They should be brought to tears.
[00:36:14.088 --> 00:36:15.930]  You see those children?
[00:36:15.930 --> 00:36:19.372]  A lot of these parents are virtue signallers.
[00:36:19.372 --> 00:36:27.118]  And even though they're recommending in the UK children not have the COVID shot, the left, as a sacrament of their subservience to the system,
[00:36:28.499 --> 00:36:33.863]  Are making two-year-old children wear masks and are saying we're going to inject our kids with more vaccines.
[00:36:33.863 --> 00:36:51.754]  And when they have convulsions or they become brain damaged, they love it because it is a symbol like human sacrifice where people will sacrifice their kids throughout history to the system and a symbol of how cuck they are and how they want to live completely and totally under the Stockholm Syndrome.
[00:36:51.754 --> 00:36:56.658]  And here's an example how the globalists are these dystopians that want to create a dystopic system.
[00:36:57.398 --> 00:37:00.079]  So again, they are the dystopians.
[00:37:00.079 --> 00:37:14.101]  They know full well that almost everyone that gets sick from COVID, which is a real virus but very, very weak, have a vitamin and mineral deficiency of zinc, vitamin D3, and C. If you have those, any virus will kill you.
[00:37:14.101 --> 00:37:23.343]  There's another major study out that 80% of people that have been hospitalized from COVID that are actually sick have a vitamin D deficiency in their blood test.
[00:37:23.343 --> 00:37:23.543]  Again,
[00:37:24.735 --> 00:37:26.195]  But that's buried news.
[00:37:26.195 --> 00:37:35.578]  And when all these medical doctors and all these scientists came out in the last 10 months and said, get your vitamin D3, get your zinc, get your C, the media said, that's BS.
[00:37:35.578 --> 00:37:37.979]  There's no treatment for COVID.
[00:37:37.979 --> 00:37:43.701]  Well, that's like saying there's no treatment for dying of thirst and malnutrition.
[00:37:43.701 --> 00:37:44.481]  Yes, there is.
[00:37:44.481 --> 00:37:47.862]  Drink water and you won't die of thirst.
[00:37:47.862 --> 00:37:49.823]  You won't die of dehydration.
[00:37:50.922 --> 00:37:54.507]  It's like saying there's no cure for not drowning in a pool.
[00:37:54.507 --> 00:38:02.157]  Well, if you're being held under in 10 feet of water by bowling balls tied to your legs, you're dying from lack of oxygen.
[00:38:02.157 --> 00:38:05.161]  So again, this very system has had the FBI raid
[00:38:06.497 --> 00:38:19.168]  Medical doctors' facilities in Michigan and other areas because people had COVID and they wanted to come in and get an alternative treatment that was a cocktail of vitamin D3, vitamin C, zinc, and other things directly in their blood.
[00:38:19.168 --> 00:38:22.391]  Those places are all over the country and all the world because they work.
[00:38:22.391 --> 00:38:24.753]  I'm not a big medical guy, but I go in and get IVs sometimes.
[00:38:24.753 --> 00:38:30.898]  They make me feel wonderful with the same stuff, and I'm not doing it for COVID, but we have free will in this country.
[00:38:30.898 --> 00:38:33.661]  But why would the dystopics tell you
[00:38:35.037 --> 00:38:43.643]  Nothing can save you, nothing can help you, and then lie to you about, if you're malnourished, any regular virus will kill you.
[00:38:43.643 --> 00:38:50.889]  Because they want to make the world a hellish place, and then only they have the solutions that give them more power and more control.
[00:38:52.253 --> 00:38:53.454]  I'll be on the radio tomorrow.
[00:38:53.454 --> 00:38:55.475]  Harrison Smith's going to take over here in a few minutes.
[00:38:55.475 --> 00:38:59.698]  But the big news I just wanted to announce is they're trying to suppress the Great Awakening.
[00:38:59.698 --> 00:39:01.260]  Trump wanted a landslide.
[00:39:01.260 --> 00:39:07.824]  So as depressing as all this criminal theft is, they're being forced to do it, the power structure, because they've been repudiated.
[00:39:07.824 --> 00:39:09.265]  They've been rejected.
[00:39:09.265 --> 00:39:13.589]  And the whole world is turning against their globalist system right now.
[00:39:13.589 --> 00:39:15.710]  So don't get jejected.
[00:39:15.710 --> 00:39:16.351]  Realize that
[00:39:17.071 --> 00:39:20.814]  The fight against the New World Order has just begun.
[00:39:20.814 --> 00:39:31.224]  And everything the system does is to make you a victim and to make you give in to the system instead of you getting the knowledge and the information to overcome it and become aware of how you can defeat this system.
[00:39:32.113 --> 00:39:32.633]  I want to be clear.
[00:39:32.633 --> 00:39:36.196]  It doesn't mean just because I have all this advice, I always follow around perfect.
[00:39:36.196 --> 00:39:38.797]  All of this is part of a process of life.
[00:39:38.797 --> 00:39:43.520]  But the first thing you've got to realize is the globalists are bad news.
[00:39:43.520 --> 00:39:45.141]  They're out to get you.
[00:39:45.141 --> 00:39:47.282]  Communist China is their model.
[00:39:47.282 --> 00:39:50.785]  And if you submit to them, things are only going to get worse.
[00:39:50.785 --> 00:39:52.366]  Now, there's so many other points I can go over.
[00:39:53.226 --> 00:40:00.192]  And we've got a whole other hour plus coming up with Harrison Smith, and then we've got Sunday Live continuing into Overdrive, 6 to 8 p.m.
[00:40:00.192 --> 00:40:00.913]  Central.
[00:40:00.913 --> 00:40:05.357]  But Owen Troyer blew his voice out giving all these big speeches, but I'm making him get over here.
[00:40:05.357 --> 00:40:08.540]  He's been whispering in my ear during the breaks telling me some key points I haven't been making.
[00:40:10.444 --> 00:40:11.986]  Yeah, I probably sound like hell.
[00:40:11.986 --> 00:40:14.589]  Someday I'll probably eventually sound like Alex over there.
[00:40:14.589 --> 00:40:22.558]  But, you know, losing my voice for a week or a couple days or, you know, extending a little voice trauma for even the rest of my life is barely a sacrifice.
[00:40:22.558 --> 00:40:30.247]  You know, I was just over at the Korean War Memorial and my grandfather fought in the Korean War.
[00:40:30.247 --> 00:40:30.627]  And so,
[00:40:31.308 --> 00:40:36.511]  You know, many great men, better than us, better than we can even imagine, put everything on the line for this country.
[00:40:36.511 --> 00:40:43.834]  So, for me to be yelling for a week straight and having all these rallies and, you know, dealing with the voice issues, you know, it's a small price to pay.
[00:40:43.834 --> 00:40:45.955]  It's a small price to pay for freedom.
[00:40:45.955 --> 00:40:48.857]  It's a small price to pay to live in America, which is all I want.
[00:40:49.457 --> 00:40:57.021]  I just want to live in a free country, and I hope I'd be blessed if my voice is the only thing I have to sacrifice.
[00:40:57.021 --> 00:41:00.824]  Because many men before me had to sacrifice much, much more.
[00:41:00.824 --> 00:41:07.268]  In fact, many made the ultimate sacrifice, and we know what that is, and we honor that with all the great war memorials that we see out here.
[00:41:07.268 --> 00:41:11.110]  So more people, though, are stepping up and putting their lives on the line.
[00:41:11.110 --> 00:41:15.372]  More people are realizing that if they don't step up and fight now, they're going to have nothing left to fight for.
[00:41:16.713 --> 00:41:18.014]  The next great fight for America.
[00:41:18.014 --> 00:41:20.956]  This is the next great historical battle for the future of America.
[00:41:20.956 --> 00:41:22.677]  Call it the Great American Renaissance.
[00:41:22.677 --> 00:41:24.478]  Call it the Great American Awakening.
[00:41:24.478 --> 00:41:25.939]  The World Awakening.
[00:41:25.939 --> 00:41:26.819]  1776 worldwide.
[00:41:26.819 --> 00:41:28.020]  American Revolution 2.0.
[00:41:28.020 --> 00:41:29.121]  But we're in it.
[00:41:29.121 --> 00:41:30.702]  It's an honor to be in it with you.
[00:41:30.702 --> 00:41:32.103]  And you know Infowars.
[00:41:32.103 --> 00:41:33.764]  It's going to put it all on the line.
[00:41:33.764 --> 00:41:35.485]  Victory or death.
[00:41:35.485 --> 00:41:37.406]  Liberty or death.
[00:41:37.406 --> 00:41:37.967]  Thank you, Owen.
[00:41:37.967 --> 00:41:38.867]  Great points.
[00:41:38.867 --> 00:41:39.848]  I'm going to say this in closing.
[00:41:39.848 --> 00:41:41.269]  I'm going to hand it off to Harrison Smith.
[00:41:42.009 --> 00:41:43.110]  We're not giving in.
[00:41:43.110 --> 00:41:44.472]  We're not backing down.
[00:41:44.472 --> 00:41:48.256]  Because giving in and backing down only makes things worse for the future.
[00:41:48.256 --> 00:41:49.437]  Joe Biden's illegitimate.
[00:41:49.437 --> 00:41:50.779]  The UN's illegitimate.
[00:41:50.779 --> 00:41:53.201]  Xi Jinping and the Communist Chinese are illegitimate.
[00:41:53.201 --> 00:42:02.632]  This whole satanic leftist system and the universities and the big banks are all criminal, parasitic frauds, domesticating you and dumbing you down to control you.
[00:42:02.632 --> 00:42:03.633]  That's why they've got to be opposed.
[00:42:04.033 --> 00:42:05.194]  So I want to thank you all for your support.
[00:42:05.194 --> 00:42:11.078]  I want to tell you, we can't finance this and fight this hard without your support, so do your Christmas shopping at InfoWarsTore.com.
[00:42:11.078 --> 00:42:22.607]  Get great products, get all of our moon boosting systems, and so much more, like DNA Force Plus, X2, X3, Rastegard, Winter Sun, and so much more at InfoWarsTore.com.
[00:42:22.607 --> 00:42:24.168]  We're going to go to break.
[00:42:24.168 --> 00:42:25.329]  Harrison Smith's coming up.
[00:42:25.329 --> 00:42:30.473]  He's got more highlights of the big marches and events, and a lot of the gigantic breaking news.
[00:42:30.473 --> 00:42:31.194]  Stay with us.
[00:42:31.194 --> 00:42:32.495]  The revolution is televised.
[00:42:35.806 --> 00:42:38.828]  And I want to salute you all!
[00:42:38.828 --> 00:42:45.573]  I want to salute you all for your indefensibility against masculinity!
[00:42:45.573 --> 00:42:47.094]  I salute you!
[00:42:47.094 --> 00:42:50.697]  President Trump won by a landslide.
[00:42:50.697 --> 00:42:59.063]  The pedophile Joe Biden is a globalist operative in America, and the world is not accepting
[00:42:59.793 --> 00:43:04.875]  I've got some really exciting good news, and I've also got some bad news.
[00:43:04.875 --> 00:43:11.958]  InfoWars is getting the highest traffic we have ever gotten since the election in 2016.
[00:43:11.958 --> 00:43:24.802]  Despite all the bans, all of the system trying to censor us and suppress us, you with your word of mouth have overridden that, and they are so scared of InfoWars.com and Banned.Video, and they're so scared of you being able to communicate and share the truth.
[00:43:26.423 --> 00:43:29.924]  We're bringing in the same amount of money we brought in last December right now.
[00:43:29.924 --> 00:43:33.645]  This is our most important month to be able to fund ourselves into next year.
[00:43:33.645 --> 00:43:35.265]  And I understand the economy's shut down.
[00:43:35.265 --> 00:43:37.046]  I understand there's not as much money as there used to be.
[00:43:37.046 --> 00:43:38.546]  They're trying to kill Trump's recovery.
[00:43:38.546 --> 00:43:40.727]  But InfoWars really needs your support.
[00:43:40.727 --> 00:43:53.230]  You just buy great items through your Christmas shopping at InfoWarsStore.com with huge sales, amazing products, and then you know you're funding the InfoWar and not funding Amazon and Jeff Bezos and the globalists that are openly trying to destroy small businesses.
[00:43:53.610 --> 00:43:58.827]  Continue to fund the Second American Revolution while getting great products at the same time at InfoWareStore.com.
[00:43:58.827 --> 00:43:59.108]  Thank you.
[00:44:00.612 --> 00:44:01.032]  The U.S.
[00:44:01.032 --> 00:44:11.359]  Postal Service tells InfoWars that as long as you get your order in by December 18th, and we're able to ship it out by that date, you will get it anywhere in the United States before Christmas.
[00:44:11.359 --> 00:44:12.519]  But listen, don't wait.
[00:44:12.519 --> 00:44:14.861]  Do your shopping at InfoWarsStore.com.
[00:44:14.861 --> 00:44:17.902]  Get great products and fund the InfoWars.
[00:44:17.902 --> 00:44:22.085]  Now at the most critical time, not just in InfoWars history, but this country's history.
[00:44:22.085 --> 00:44:23.566]  You have invested in InfoWars.
[00:44:23.906 --> 00:44:33.010]  You've prayed for us, you've spread the word, you've bought the products, and you've gotten the benefits of the information warfare, of the truth, in the fight against the globalists.
[00:44:33.010 --> 00:44:41.433]  But now is the time to redouble all our efforts in praying for a Great Awakening, which is starting to happen, and spreading the word about it, fullwars.com, newswars.com.
[00:44:42.213 --> 00:44:43.694]  You must guard your humanity.
[00:44:43.694 --> 00:44:46.517]  You must guard your children's humanity.
[00:44:46.517 --> 00:44:49.139]  You must guard the very genetic code of the planet.
[00:44:49.139 --> 00:44:51.601]  The globalists have set themselves up as the guardians of this world.
[00:45:12.717 --> 00:45:16.940]  They are the ones that are overriding every genetic system and poison the planet.
[00:45:16.940 --> 00:45:24.344]  They are the ones that are now engaged in genetic takeover of every human on Earth through the GMO crops.
[00:45:24.344 --> 00:45:31.329]  And now they've moved on to their main target, humanity, with the mRNA vaccines, which are not vaccines.
[00:45:31.329 --> 00:45:35.572]  They are recombinant DNA from aborted, cloned fetuses.
[00:45:36.838 --> 00:45:42.384]  We're then inserted into your genome to take over your body's systems.
[00:45:42.384 --> 00:45:49.450]  Go read the actual inserts for the mRNA vaccines and then remember you've been warned.
[00:45:49.450 --> 00:45:51.472]  This is the equivalent of an alien takeover.
[00:45:52.315 --> 00:45:58.500]  Whether it's interdimensional, whether it's little green men, the globalists are acting like another species that's overtaking us and overriding us.
[00:45:58.500 --> 00:45:59.961]  It's all the same in the end.
[00:45:59.961 --> 00:46:13.711]  The Pope came out yesterday and announced a global government corporate alliance to redistribute wealth and create a planetary universal income, which, of course, the United Nations and global corporations will control through the apps on your phone and finally a chip under your skin.
[00:46:13.931 --> 00:46:15.953]  It's all now completely official.
[00:46:15.953 --> 00:46:19.837]  Part of the UN Great Reset of the Davos Group.
[00:46:19.837 --> 00:46:26.324]  And Klaus Schwab, all officially written about in hundreds of books by Schwab and Rockefeller Foundation, all the rest of them.
[00:46:26.324 --> 00:46:28.666]  Agenda 21, Agenda 2030, it's here.
[00:46:28.666 --> 00:46:34.032]  And only gets worse, like being fed into a wood chipper, or a meat grinder, until you reject it all.
[00:46:35.859 --> 00:46:42.162]  And the rejection starts with realizing it's a spiritual battle, good versus evil, and stopping abortion.
[00:46:42.162 --> 00:46:44.343]  We must start valuing human life again.
[00:46:44.343 --> 00:46:51.247]  We must start saying that we are not expendable, that we are not disposable, that we are essential.
[00:46:51.247 --> 00:46:54.008]  Until we do that, we are all slaves.
[00:46:54.008 --> 00:46:57.390]  We must stand up and declare our basic God-given human rights now.
[00:47:03.317 --> 00:47:19.067]  You're listening to the Alex Jones Show.
[00:47:19.067 --> 00:47:27.352]  There's a big discussion as Americans, as patriots, as populists, as Christians, as parents, and just as humans we have to have.
[00:47:27.352 --> 00:47:31.094]  What do we do politically to make sure
[00:47:31.801 --> 00:47:36.683]  That the Trumpian revolution that we created and we pushed to populism continues.
[00:47:36.683 --> 00:47:41.226]  Is the Republican Party betraying President Trump by not backing him further?
[00:47:41.226 --> 00:47:42.666]  Has the Supreme Court done it?
[00:47:42.666 --> 00:47:43.687]  Absolutely.
[00:47:43.687 --> 00:47:49.690]  We're about to show you a viral clip of Nick Fuentes yesterday speaking to over 100,000 people.
[00:47:49.690 --> 00:47:57.333]  And the video has over 5 million views, just one version, because it resonates with people that we need to destroy the GOP.
[00:47:57.333 --> 00:47:59.294]  Now, I'm not disagreeing with Nick Fuentes.
[00:47:59.294 --> 00:48:00.095]  I get his position.
[00:48:00.775 --> 00:48:07.159]  I understand we need to destroy the establishment GOP, but what about take over the GOP?
[00:48:07.159 --> 00:48:10.140]  What about continue what we did with Trump?
[00:48:10.140 --> 00:48:12.822]  We forced their counter-establishment revolution.
[00:48:12.822 --> 00:48:14.223]  Now we fully take it over.
[00:48:14.223 --> 00:48:18.965]  I think we should take over the GOP, not destroy the GOP.
[00:48:18.965 --> 00:48:20.866]  I think we should take over the Democratic Party if we could.
[00:48:20.866 --> 00:48:21.407]  That'd be easier.
[00:48:21.407 --> 00:48:22.647]  We probably can't.
[00:48:22.647 --> 00:48:23.608]  It's destroying America.
