[00:00.000 --> 00:01.000]  I'm great.
[29:17.520 --> 29:23.640]  be some pears or some oranges or some kind of squash we want, but if it doesn't say Made
[29:23.640 --> 29:28.960]  in America, we don't get it, grown in America.
[29:28.960 --> 29:33.880]  Now I buy a lot of foreign batteries and appliances because you can't find them there American
[29:33.880 --> 29:34.880]  made.
[29:34.880 --> 29:35.880]  It's almost impossible.
[29:35.880 --> 29:43.640]  But when it comes to food, did you know 2006 was the first year, remember seeing this number
[29:43.640 --> 29:48.440]  last year that that was going to be the year it flipped over, then I was reminded listening
[29:48.440 --> 29:55.720]  to Derry Brownfield this morning, and I tuned in and they were talking about how this is
[29:55.720 --> 30:01.560]  the first year that we import more food than we export.
[30:01.560 --> 30:04.280]  It's shameful.
[30:04.280 --> 30:13.880]  The bread basket of the world could feed the whole world, and they did this to us.
[30:13.880 --> 30:19.000]  I got a bunch of news, tons of clips, big guests coming up in the second hour.
[30:19.000 --> 30:22.560]  I'm Alex Jones, your host, and I'm honored to be your host.
[30:22.560 --> 30:26.760]  Thank you for tuning in.
[30:26.760 --> 30:28.040]  We're on the march.
[30:28.040 --> 30:48.920]  The
[30:48.920 --> 30:52.040]  for generic drugs was over 71%.
[30:52.040 --> 30:56.360]  Rxdrugcard.com is the only major discount prescription drug plant that offers a price
[30:56.360 --> 31:00.880]  lookup page, so you can get an idea of your discounted price before you enroll.
[31:00.880 --> 31:04.600]  Rxdrugcard.com is for anyone who pays for their own prescriptions.
[31:04.600 --> 31:08.880]  There are no age restrictions, all prescriptions are covered, and 95% of all pharmacies in
[31:08.880 --> 31:13.800]  the U.S. participate, including Walmart, Walgreens, CVS Pharmacy, and many more.
[31:13.800 --> 31:18.520]  With Rxdrugcard.com, you will save immediately, with no messy forms or paperwork.
[31:18.520 --> 31:24.760]  Membership fees start at only $4.50 per month, and include a 30-day unconditional money-back guarantee.
[31:24.760 --> 31:31.640]  Visit us at www.rxdrugcard.com, or call us at 888-216-2461.
[31:31.640 --> 31:34.600]  That's 888-216-2461.
[31:34.600 --> 31:35.400]  Do it today!
[31:35.960 --> 31:37.880]  The statistics are heart-wrenching.
[31:37.880 --> 31:42.600]  According to the CWC, of the 43 million people who have served in the major wars, from the
[31:42.600 --> 31:46.840]  Revolutionary War to the Gulf War, 3 million never made it home alive.
[31:46.840 --> 31:51.080]  Most likely, each one of us can say we either knew someone who served, or know a great soul
[31:51.080 --> 31:52.920]  who is currently serving our country.
[31:52.920 --> 31:56.760]  Now there is a unique way to pay tribute to the courageous men and women who spend their
[31:56.760 --> 32:00.680]  lives protecting our freedom, and to those who have lost their lives doing so.
[32:00.680 --> 32:04.840]  Davis Products is offering high-quality, solid-cast aluminum memorial markers,
[32:04.840 --> 32:06.280]  prior American flag.
[32:06.280 --> 32:10.520]  Each memorial marker is specifically designed to represent one of 15 wars.
[32:10.520 --> 32:15.000]  All markers include a 3 eighths inch pointed and threaded aluminum rod, painted and highlighted
[32:15.000 --> 32:17.000]  for an appearance that is unforgettable.
[32:17.000 --> 32:20.040]  What better way to pay homage to our enlisted loved ones?
[32:20.040 --> 32:27.320]  Davis Products memorial markers are only $9 a piece, and can be ordered by calling 814-827-4946.
[32:27.320 --> 32:30.440]  That's 814-827-4946.
[32:30.440 --> 32:32.760]  Or visit davis-products.com.
[32:32.760 --> 32:34.920]  That's davis-products.com.
[32:35.800 --> 32:38.280]  Attention, attention everyone!
[32:38.280 --> 32:40.840]  A brand new invention just released.
[32:40.840 --> 32:45.560]  It's called RIST Ease, the new patented portable ergonomic wrist support.
[32:46.200 --> 32:51.240]  RIST Ease comforts your wrists from the sometimes painful tasks of typing, writing,
[32:51.240 --> 32:53.480]  using a mouse or adding machine.
[32:53.480 --> 32:57.640]  Unlike most conventional wrist pads that are either attached to a mouse pad,
[32:57.640 --> 33:04.120]  or lay flat in front of your keyboard, RIST Ease is totally portable and ideal for laptop users
[33:04.120 --> 33:06.840]  and technicians who are constantly on the go.
[33:06.840 --> 33:11.320]  RIST Ease is perfect for children doing homework or playing video games.
[33:11.320 --> 33:17.160]  RIST Ease provides the proper comfort and support for all ages, and RIST Ease provides
[33:17.160 --> 33:21.720]  comfort for victims of carpal tunnel syndrome and other repetitive injuries.
[33:21.720 --> 33:25.160]  You can order RIST Ease now at RIST Ease.com.
[33:25.160 --> 33:31.880]  That's RIST Ease, W-R-I-S-T-E-A-S-E, RIST Ease.com.
[33:31.880 --> 33:37.880]  Once again, RIST EASE.com.
[34:01.880 --> 34:21.880]  Welcome back.
[34:25.080 --> 34:30.840]  Coming up in the next hour, we've got Robert Wattata, father of Lieutenant Wattata,
[34:30.840 --> 34:33.480]  who's been court-martialed for refusing to be part of the criminal war.
[34:34.120 --> 34:37.880]  You know, for all you good old boys that think it's manly to go over there and kill some Arabs
[34:37.880 --> 34:46.440]  and Persians, though you have trouble geographically finding a region with your ignorance,
[34:47.800 --> 34:53.000]  the very people running this war, the very people that have got our boys and now our girls,
[34:53.000 --> 34:56.920]  although they're dying, are the ones dismantling our border.
[34:56.920 --> 34:58.920]  Can you not compute that?
[34:58.920 --> 35:03.720]  This is a war for global corporations to seize oil and for weapons sales.
[35:05.080 --> 35:10.680]  This has nothing to do with our security and sovereignty.
[35:10.680 --> 35:16.200]  In fact, the Pentagon is quite cavalier about that fact, and the P-2OG memorandums
[35:16.200 --> 35:22.760]  and funding operation is covered by AP, UPI, Toronto Star, London Guardian.
[35:22.760 --> 35:26.280]  They say that the invasion will actually stimulate attacks
[35:26.280 --> 35:31.160]  and increase the number of, quote, terrorists, which is good because then that allows
[35:32.280 --> 35:34.840]  a spreading, widening conflict.
[35:36.920 --> 35:39.560]  And when this has come out on talk radio, the neocons go,
[35:39.560 --> 35:42.520]  we'll see, we're smoking out the terrorist.
[35:43.720 --> 35:47.720]  That's like somebody shooting your mother in the head to make you become a terrorist.
[35:48.840 --> 35:54.520]  It isn't good to go out and hurt people so that they will then come back and fight you
[35:54.520 --> 35:56.440]  and then you call them terrorists.
[35:56.440 --> 35:59.480]  No, no, no, this is meant to make a new end to me.
[35:59.480 --> 36:04.520]  Like the Soviets, our government publicly, along with the British government,
[36:04.520 --> 36:10.360]  funded linen and Trotsky and their $25 million train of gold
[36:10.360 --> 36:13.800]  when they were about to collapse right before the October Revolution,
[36:13.800 --> 36:16.840]  when the White Russians were kicking their behinds.
[36:18.520 --> 36:23.800]  The British funded that thing with New York money to bring down an empire
[36:23.800 --> 36:26.840]  and then they put those thugs in there as oligarchs
[36:26.840 --> 36:29.240]  to feed on the people the whole time telling them,
[36:29.240 --> 36:33.080]  oh, we're taking your farms and we're taking your lands and we're taking your companies.
[36:33.080 --> 36:35.480]  We're taking everything you've got for the people.
[36:36.600 --> 36:37.800]  They tell them another one.
[36:39.400 --> 36:41.640]  I mean, this is how they operate.
[36:44.840 --> 36:48.680]  They will work with anybody, communist, fascist, they don't care,
[36:48.680 --> 36:53.960]  as long as it's centralized and the Council on Foreign Relations publication
[36:53.960 --> 36:59.880]  admits that every few months, foreign affairs, David Rockefeller's written this,
[36:59.880 --> 37:05.560]  many others have written this, Carol Quigley, I'm not going to lie to you.
[37:06.280 --> 37:09.320]  It's a, depending on which version of it it is,
[37:09.320 --> 37:14.120]  it's between 990-something pages and 1100-something pages long.
[37:14.760 --> 37:17.640]  And I probably read 400 pages, some of the key chapters,
[37:17.640 --> 37:23.080]  because I was given a footnoted copy, I guess that would have been 1996,
[37:23.080 --> 37:29.080]  when it finally went back in the print, of Tragedy and Hope by Quigley.
[37:29.080 --> 37:31.880]  So I didn't read the 1100 pages.
[37:34.680 --> 37:37.560]  And I, but I did read about half of it.
[37:37.560 --> 37:44.280]  I remember I read large portions and you ought to go read it.
[37:44.280 --> 37:46.360]  How to sell that book, that's a good idea.
[37:46.360 --> 37:48.120]  That's expensive though.
[37:49.000 --> 37:51.640]  And it's huge, it's like a Bible.
[37:52.200 --> 37:55.800]  And man, this guy worked for the New World Order,
[37:55.800 --> 37:59.400]  he was the head of the political science at Georgetown,
[37:59.400 --> 38:02.040]  one of the most elite universities in the country for politics.
[38:03.400 --> 38:06.600]  And he said, I was allowed into the secret records of the New World Order,
[38:07.480 --> 38:13.320]  because I've been a member, but I was allowed to study their long-term strategic 100-plus-year plan.
[38:13.320 --> 38:18.280]  And we fund Communists and Fascists, and we're here to bring in one world government,
[38:18.920 --> 38:22.040]  and we're here to totally enslave the people, because that's what's best for them.
[38:22.680 --> 38:25.720]  And we'll just type in Carol Quigley quotes,
[38:25.720 --> 38:27.560]  you can read us quotes all over the web for free,
[38:27.560 --> 38:29.640]  but don't believe it when you read it on the web,
[38:30.360 --> 38:32.360]  though the quotes I've all seen are accurate.
[38:32.360 --> 38:34.920]  I want you to trot on down the library,
[38:35.800 --> 38:39.000]  and I want you to go in there and I want you to open up the page numbers it says,
[38:39.000 --> 38:40.920]  and I want you to read him saying it.
[38:40.920 --> 38:43.880]  Like, when I say that on page 400 of something,
[38:43.880 --> 38:46.520]  David Rockefeller, three years ago, wrote that,
[38:46.520 --> 38:49.240]  yeah, he's bringing in world government, destroying America,
[38:49.240 --> 38:51.160]  and so what? He's proud of it.
[38:52.280 --> 38:55.000]  I want you to go actually read the book.
[38:57.560 --> 39:00.040]  I'll tell you, I'm chilled to my bones right now,
[39:00.760 --> 39:02.600]  and tomorrow we'll be playing some clips of this.
[39:03.320 --> 39:05.800]  Aaron Russo, an interview I did with him this weekend,
[39:05.800 --> 39:08.280]  an amazing individual, really respecting
[39:08.280 --> 39:15.960]  went totally further than he's ever gone with his meetings with Nick Rockefeller,
[39:15.960 --> 39:17.320]  who was a close family friend.
[39:17.320 --> 39:18.840]  He's got photos of himself with him.
[39:20.040 --> 39:22.600]  Nick Rockefeller approached him
[39:25.560 --> 39:30.200]  when he was running for governor in Nevada and was getting 30 plus percent of the polls.
[39:30.200 --> 39:31.880]  He did get 30 percent at the polls,
[39:33.240 --> 39:36.920]  and they came to them and he'd already made a couple big movies with Eddie Murphy and
[39:36.920 --> 39:41.080]  Bette Medler and had a clothing line,
[39:41.080 --> 39:44.680]  and a lawyer got in touch with him and said,
[39:44.680 --> 39:47.800]  Nick Rockefeller is also a big lawyer, would like to meet with you.
[39:47.800 --> 39:49.000]  You've already heard part of this on there.
[39:49.000 --> 39:52.520]  He's told the story, and he got to know Nick for,
[39:52.520 --> 39:53.560]  I don't know, three or four years.
[39:53.560 --> 39:58.280]  They were friends, and Nick was openly recruiting him
[39:58.280 --> 40:01.000]  and trying to get him to join the council on foreign relations
[40:01.000 --> 40:04.120]  and saying, who cares about these slaves that they wouldn't help you?
[40:04.120 --> 40:06.520]  They're dumb anyways, and that's exactly how
[40:06.520 --> 40:07.240]  these leaders talk.
[40:07.240 --> 40:08.040]  I've talked to some of them.
[40:08.040 --> 40:11.960]  Not as high up as a Rockefeller, but pretty high level.
[40:13.880 --> 40:17.720]  And you know, you just need to join us.
[40:17.720 --> 40:21.800]  And he told him 11 months before 9-11.
[40:21.800 --> 40:24.600]  This is when he stopped being friends with Nick when 9-11 happened.
[40:25.240 --> 40:28.040]  He told him, he said, you're going to see a big attack,
[40:29.080 --> 40:31.640]  and you're going to see an invasion of Afghanistan and Iraq,
[40:31.640 --> 40:33.160]  and it's going to be so funny.
[40:33.160 --> 40:36.040]  They're going to be looking at all the caves for the imaginary bin Laden.
[40:36.040 --> 40:37.160]  It's going to be so funny.
[40:37.160 --> 40:41.320]  Oh, they're so stupid, and everything's going to change.
[40:41.320 --> 40:43.880]  We're going to have a national ID card, police state,
[40:43.880 --> 40:45.880]  and then we're going to have even more events,
[40:45.880 --> 40:47.640]  and everybody's going to be forced to take a chip.
[40:48.760 --> 40:51.880]  But he said, don't worry, because our chips are going to say,
[40:51.880 --> 40:53.160]  kiss my hind end.
[40:55.000 --> 40:57.320]  Basically, all of them say, leave us alone to the police.
[40:59.320 --> 41:00.600]  And that's what they're already saying.
[41:00.600 --> 41:03.320]  And of course, year after 9-11, Governor Ridge of Homeland Security,
[41:03.320 --> 41:07.800]  I saw him on C-SPAN say, your ID card will give you four different levels,
[41:07.800 --> 41:09.560]  green, yellow, orange, and red.
[41:10.920 --> 41:12.680]  Bad credit gets you a yellow, folks,
[41:12.680 --> 41:14.760]  and then they claim you don't have any bill of rights
[41:14.760 --> 41:18.040]  in the constitutional due processes.
[41:19.800 --> 41:20.840]  And he went on and on.
[41:20.840 --> 41:22.840]  I just, it totally blew me away.
[41:26.360 --> 41:29.400]  Oh, and population reduction, how they're going to get rid of 80% of us.
[41:29.400 --> 41:31.080]  Of course, they write that in the newspaper.
[41:31.080 --> 41:36.120]  It's not like it's a secret, but just to know what slime these people are.
[41:38.120 --> 41:40.520]  And by the way, they're behind the national vaccine programs.
[41:40.520 --> 41:42.920]  They're behind all the goodies in your vaccines.
[41:43.720 --> 41:46.600]  I mean, how you could trust a government run by you,
[41:46.600 --> 41:50.520]  Genesis, who openly funded Hitler, and who, I mean,
[41:50.520 --> 41:53.080]  Bill and the Linda Gates running around,
[41:53.080 --> 41:55.160]  because they love the little African children.
[41:55.160 --> 41:57.640]  They give them all these lovely things.
[41:57.640 --> 42:00.120]  They give them all these loving shots.
[42:04.200 --> 42:06.920]  But meanwhile, they're also involved in funding
[42:06.920 --> 42:09.400]  population reduction organizations and groups.
[42:09.400 --> 42:11.160]  I mean, can you put two and two together?
[42:11.960 --> 42:14.280]  But see, oh, that's too horrible to believe.
[42:14.280 --> 42:15.640]  Okay, then fine.
[42:16.920 --> 42:20.120]  But that's just, I just cannot believe
[42:20.120 --> 42:23.160]  how bad these people are right out in the open.
[42:23.160 --> 42:28.200]  And by the way, they didn't call you a police officer
[42:28.200 --> 42:30.520]  and tell you not to give your three-year-old a shot, did they?
[42:32.040 --> 42:34.360]  They didn't tell you Marine Corps captain
[42:34.360 --> 42:37.160]  not to give your child a shot or for your wife not to take one.
[42:38.680 --> 42:40.760]  Let's say there's a state rep listening right now
[42:40.760 --> 42:42.440]  and say Wisconsin or Texas.
[42:43.000 --> 42:44.280]  You think you're a member of the elite?
[42:44.280 --> 42:46.360]  Nobody gave you a call and warned you, did they?
[42:48.440 --> 42:51.320]  You're not getting visits from the Rockefellers, are you?
[42:51.320 --> 42:53.000]  No, you're not, because you're not an elitist.
[42:53.000 --> 42:53.320]  Okay?
[42:55.640 --> 42:57.240]  And you're not somebody who's threatening them,
[42:57.240 --> 42:59.240]  so you're never going to get a visit from them.
[42:59.240 --> 43:00.680]  I've had the visits, folks.
[43:02.600 --> 43:05.320]  I've had the visits where here we'll give you a million plus
[43:05.320 --> 43:08.680]  if you come join us and be the new Rush Limbaugh.
[43:08.680 --> 43:11.720]  But we're going to control what you say in no more new world order.
[43:11.720 --> 43:12.520]  And I said, you know what?
[43:12.520 --> 43:13.560]  You just take a hike.
[43:15.400 --> 43:17.960]  And I'm not even proud of myself for doing that years ago.
[43:19.080 --> 43:19.880]  For saying no.
[43:20.600 --> 43:21.720]  That's what you're supposed to do.
[43:21.720 --> 43:22.920]  That's normal.
[43:22.920 --> 43:23.960]  Keep my soul.
[43:23.960 --> 43:25.400]  I wasn't even tempted.
[43:27.400 --> 43:28.600]  Not for five minutes.
[43:30.600 --> 43:31.880]  Not for 10 seconds.
[43:36.280 --> 43:39.640]  And to the average person who just will do anything for worldliness,
[43:39.640 --> 43:42.280]  oh, that's such a, oh, that's so honorable.
[43:42.280 --> 43:43.080]  That's so good.
[43:45.320 --> 43:47.000]  So you can have some more shekels,
[43:47.000 --> 43:52.360]  some more symbols of rank and power.
[43:55.160 --> 43:55.800]  Oh, man.
[43:57.720 --> 43:59.480]  You know, that's one thing all these bootlickers
[43:59.480 --> 44:01.480]  and social climbers don't know either.
[44:01.480 --> 44:04.120]  They would sell their mother out for a stick of bubblegum
[44:04.840 --> 44:06.120]  for some rank.
[44:07.320 --> 44:10.360]  But they don't even know that Alan Greenspan
[44:10.360 --> 44:12.600]  was anti-New World Order for 30 years
[44:12.600 --> 44:16.200]  and wrote books against the New World Order.
[44:16.840 --> 44:17.880]  I own some of them.
[44:19.560 --> 44:21.960]  And that they actually came and paid him off
[44:21.960 --> 44:24.520]  and made him the head of it just to shut up.
[44:26.120 --> 44:26.840]  That's another thing.
[44:26.840 --> 44:28.920]  These people who would sell out for a piece of bubblegum,
[44:28.920 --> 44:29.880]  they don't know.
[44:29.880 --> 44:33.480]  If you held out, you'd get a lot more down the line.
[44:33.480 --> 44:42.280]  That's another little interesting point to all of this.
[44:44.520 --> 44:46.520]  First they offer you money, then they beat you up,
[44:46.520 --> 44:48.760]  and I guess then next they frame you or kill you.
[44:49.640 --> 44:50.120]  Whatever.
[44:51.240 --> 44:55.800]  All I know is I'm not going along with these people.
[44:55.800 --> 44:58.280]  And I'm telling the police and everybody else listening,
[44:58.280 --> 44:59.560]  this stuff is real.
[44:59.560 --> 44:59.880]  Okay.
[44:59.880 --> 45:02.520]  I mean, you actually, when you really fight this stuff,
[45:02.520 --> 45:06.760]  you get approached by the evil.
[45:08.120 --> 45:09.880]  It's almost like in the old movies
[45:09.880 --> 45:12.040]  where the poof of smoke and the devil's there
[45:12.040 --> 45:13.960]  and he's going, hey, I got a deal for you.
[45:18.840 --> 45:19.160]  All right.
[45:19.160 --> 45:20.040]  Let's play Lou Dobbs.
[45:20.040 --> 45:21.800]  This is absolutely amazing.
[45:21.800 --> 45:22.600]  Then I got O'Reilly.
[45:22.600 --> 45:26.360]  I want to analyze his incredible, not even incredible eyes.
[45:26.360 --> 45:29.960]  It's just so base is what's so effective about it.
[45:29.960 --> 45:33.160]  It's so easy and just mindless.
[45:33.160 --> 45:34.600]  But that's what good propaganda is.
[45:34.600 --> 45:38.280]  It's just real simple and that's what simple minds want.
[45:39.880 --> 45:42.120]  Very effective to his lending audience.
[45:42.120 --> 45:44.920]  But here's Lou Dobbs going further than ever,
[45:44.920 --> 45:48.840]  talking about the traitorous activities of our government
[45:50.120 --> 45:51.080]  in the New World Order.
[45:51.080 --> 45:51.640]  Here it is.
[45:52.440 --> 45:55.720]  Tonight a proposal for an expanded so-called free trade zone
[45:55.720 --> 45:59.320]  from Alaska to the tip of South America.
[45:59.320 --> 46:02.120]  It's a plan from the business elites, the political elites,
[46:02.120 --> 46:05.640]  that will cost more American jobs, cost American sovereignty,
[46:05.640 --> 46:09.400]  but it would fulfill the president's father's vision.
[46:09.960 --> 46:11.000]  Bill Tucker reports.
[46:13.160 --> 46:14.360]  It's not a new idea.
[46:14.360 --> 46:17.240]  President Bush talked about it back in 1991.
[46:17.240 --> 46:21.000]  It is a big idea, a new world order,
[46:21.800 --> 46:26.680]  where diverse nations are drawn together in common cause.
[46:26.680 --> 46:29.480]  Now former United States trade ambassador Robert Zollick
[46:29.480 --> 46:32.440]  is talking about it again with renewed vigor.
[46:32.440 --> 46:34.920]  This time a new world order with business
[46:34.920 --> 46:37.640]  at the helm of trade and economic policy.
[46:37.640 --> 46:40.280]  Advocating what he calls the association
[46:40.280 --> 46:42.360]  of American free trade agreements,
[46:42.360 --> 46:45.320]  a separate non-government entity which would include
[46:45.320 --> 46:48.280]  North, Central and South America.
[46:48.280 --> 46:52.200]  What Zollick is really proposing here is a stealth trade agenda.
[46:52.200 --> 46:53.720]  It's not a national agenda.
[46:53.720 --> 46:55.640]  He's proposing to set up what's essentially
[46:55.640 --> 46:58.600]  a private organization to try to achieve
[46:58.600 --> 47:00.200]  what he couldn't get done
[47:00.200 --> 47:02.680]  when he was the U.S. trade representative.
[47:02.680 --> 47:04.840]  And this is a business agenda.
[47:04.840 --> 47:06.600]  It's an agenda that goes hand in hand
[47:06.600 --> 47:10.280]  with the United States, Mexico and Canada working quietly
[47:10.280 --> 47:13.160]  and behind the scenes to promote a common market
[47:13.160 --> 47:14.680]  with common deregulation
[47:14.680 --> 47:17.480]  for the benefit of multinational corporations.
[47:17.480 --> 47:20.840]  It's an agenda that so far has resulted in an increase
[47:20.840 --> 47:23.960]  in U.S. corporate profits of 45 percent
[47:23.960 --> 47:26.120]  while wages of American workers have risen
[47:26.120 --> 47:28.840]  only 3 percent in the last five years.
[47:28.840 --> 47:32.440]  The main danger raised by Zollick's proposal
[47:32.440 --> 47:36.440]  is that the future of American international economic policy
[47:36.440 --> 47:39.720]  which affects not only our nation's prosperity
[47:39.720 --> 47:41.560]  but its national security
[47:41.560 --> 47:45.320]  will be set not by the American people
[47:45.320 --> 47:47.480]  and their elected representatives
[47:47.480 --> 47:49.800]  but by a small corporate elite
[47:49.800 --> 47:51.880]  that is accountable to no one but itself.
[47:51.880 --> 47:55.880]  Effectively surrendering the sovereignty of the United States.
[47:57.640 --> 47:59.800]  And as justification for trusting those
[47:59.800 --> 48:01.000]  who would have the authority,
[48:01.000 --> 48:02.760]  the argument is made that free trade
[48:02.760 --> 48:04.760]  promotes democracy and the welfare of the people.
[48:05.480 --> 48:07.720]  But, Lou, one has to look no further than China
[48:07.720 --> 48:09.880]  to see whether that, in fact, is true.
[48:09.880 --> 48:12.040]  You know, it's talking about Zollick's proposal.
[48:12.040 --> 48:13.480]  It's not Zollick's proposal.
[48:13.480 --> 48:15.160]  It's Daddy's proposal.
[48:15.160 --> 48:16.600]  And people better understand
[48:16.600 --> 48:18.360]  that they mean exactly what they're saying.
[48:18.360 --> 48:20.440]  It's a new world order they're trying to create
[48:20.440 --> 48:23.480]  and they're trying to do so not only
[48:23.480 --> 48:26.600]  without approval or consent of the government in this country
[48:27.320 --> 48:29.320]  but despite the popular will.
[48:30.360 --> 48:31.800]  This is a straightforward assault
[48:31.800 --> 48:33.800]  by the elitists in this country.
[48:33.800 --> 48:35.320]  And I appreciate it, Bill.
[48:35.320 --> 48:36.120]  Thanks very much, Bill.
[48:37.640 --> 48:39.480]  But it's the opposite of free market.
[48:39.480 --> 48:41.640]  You see, they keep saying it's about business.
[48:41.640 --> 48:42.840]  No, this isn't business.
[48:42.840 --> 48:43.880]  This is war.
[48:44.760 --> 48:48.120]  This is global corporations bigger than most countries
[48:48.120 --> 48:51.160]  getting together, coming in and rewriting our trade laws
[48:51.880 --> 48:55.880]  so that any competition inside the nations is shut down.
[48:57.080 --> 48:58.600]  It's centrifugal.
[48:58.600 --> 49:02.840]  It's all there to consolidate wealth by hooker by crook.
[49:03.640 --> 49:06.440]  Then they say it's not Zollick's, it's Daddy.
[49:06.440 --> 49:08.440]  It's Daddy Bush as a public.
[49:08.440 --> 49:10.040]  It's not Daddy Bush.
[49:10.040 --> 49:12.840]  It's Daddy Rockefeller who's in partnership
[49:12.840 --> 49:14.360]  with Daddy Rothschild.
[49:14.360 --> 49:16.360]  And remember how they told you
[49:16.360 --> 49:19.560]  Nassau and Gatt would be so wonderful for the economy?
[49:19.560 --> 49:20.760]  Is the economy good today?
[49:20.760 --> 49:21.400]  No, it's not.
[49:22.360 --> 49:24.520]  We're taught what we've gone from a nation,
[49:24.520 --> 49:27.640]  the most wealthy nation in the world, to a nation of debtors.
[49:27.640 --> 49:29.800]  A nation that grew its own food to a nation
[49:29.800 --> 49:32.920]  that doesn't grow its own food now, the majority of it.
[49:32.920 --> 49:35.800]  A nation that had the highest test scores to a nation
[49:35.800 --> 49:39.000]  that has the lowest test scores in the industrialized world
[49:39.000 --> 49:41.160]  and the highest disease levels.
[49:41.160 --> 49:45.320]  The highest disease levels and just the highest crime levels.
[49:45.320 --> 49:49.080]  And everything, folks, they started waging war
[49:49.080 --> 49:51.400]  on the farmer 30, 40 years ago
[49:51.400 --> 49:53.160]  and they've destroyed the family farm.
[49:53.160 --> 49:55.240]  80 plus percent of them are shut down.
[49:55.240 --> 49:57.720]  They started waging war on the family.
[49:57.720 --> 50:00.280]  We had 10% illegitimacy 50 years ago.
[50:00.280 --> 50:01.240]  It's now over 50%.
[50:02.040 --> 50:03.320]  What they want, they get.
[50:04.120 --> 50:05.560]  Education is not a failure.
[50:05.560 --> 50:07.400]  They wanted to die on everybody down.
[50:07.400 --> 50:08.760]  They did a good job.
[50:08.760 --> 50:11.320]  The war on drugs has been a huge success.
[50:11.320 --> 50:13.000]  More drugs, more people in prison.
[50:13.880 --> 50:17.480]  I mean, once you just shift slightly your view on things,
[50:17.480 --> 50:19.160]  you can then, from an angle,
[50:20.200 --> 50:23.880]  you can then see both sides of it and it's as clear as day.
[50:25.880 --> 50:27.880]  And under this North American Union,
[50:27.880 --> 50:29.880]  you have no property rights.
[50:29.880 --> 50:31.880]  Why do you think they just have the Supreme Court rule?
[50:31.880 --> 50:33.240]  You don't have any property rights.
[50:33.240 --> 50:35.000]  And by the way, they don't even have to pay you
[50:35.000 --> 50:36.520]  for the land they take.
[50:36.520 --> 50:41.000]  It says in the ruling that private companies
[50:41.000 --> 50:44.600]  and individuals can quote lobby, city, county,
[50:44.600 --> 50:49.640]  and state officials to take your land for their project.
[50:50.920 --> 50:55.240]  Supreme Court rulings, saying they can bribe.
[50:57.960 --> 50:59.960]  Saying they can bribe.
[50:59.960 --> 51:07.960]  Thinking about that, they're building bribery into the law.
[51:09.960 --> 51:12.760]  And they're training police and military across the country
[51:12.760 --> 51:15.960]  to come for us and we take you off your land when you refuse.
[51:17.160 --> 51:17.960]  Baby, baby.
[51:19.960 --> 51:21.960]  I mean, I don't know what to say.
[51:21.960 --> 51:25.960]  The good news is that they're building bribery into the law.
[51:25.960 --> 51:27.960]  I mean, I don't know what to say.
[51:27.960 --> 51:31.960]  But the good news is they can't hide this much longer.
[51:31.960 --> 51:33.960]  This is so big, the battle is about to be joined.
[51:37.960 --> 51:39.960]  It's here after a year in production
[51:39.960 --> 51:41.960]  and traveling the distant lands.
[51:41.960 --> 51:43.960]  My new film, Terror Storm, is complete.
[51:43.960 --> 51:45.960]  Shocking, declassified government documents
[51:45.960 --> 51:48.960]  prove that Western governments are orchestrating terror attacks
[51:48.960 --> 51:51.960]  against their own populations as a pretext to enslave them.
[51:51.960 --> 51:54.960]  Terror Storm proves that not only was 9-11,
[51:54.960 --> 51:57.960]  an inside job, but the attacks of 7-7 in London
[51:57.960 --> 51:59.960]  were carried out by British intelligence.
[51:59.960 --> 52:02.960]  Terror Storm Chronicles, the lies that took us to war in Iran,
[52:02.960 --> 52:05.960]  the White House program to disseminate fake news,
[52:05.960 --> 52:08.960]  NSA spying, secret police torture,
[52:08.960 --> 52:11.960]  the latest 9-11 information, and much, much more.
[52:11.960 --> 52:13.960]  Terror Storm is the definitive guide
[52:13.960 --> 52:15.960]  to the history of government-sponsored terrorism.
[52:15.960 --> 52:17.960]  It's an anthology of government crimes.
[52:17.960 --> 52:19.960]  Terror Storm is a film that everyone
[52:19.960 --> 52:22.960]  who wants to be truly informed must see.
[52:22.960 --> 52:24.960]  Get your copy today at Infowars.com
[52:24.960 --> 52:26.960]  or PrisonPlanet.com
[52:26.960 --> 52:30.960]  or by calling toll-free 1-888-2533139
[52:30.960 --> 52:34.960]  or watch it right now online at PrisonPlanet.tv.
[52:35.960 --> 52:38.960]  The Berkey Security Pack is your one-stop solution
[52:38.960 --> 52:40.960]  for unexpected emergencies.
[52:40.960 --> 52:43.960]  It provides you with purified water, light, power,
[52:43.960 --> 52:45.960]  and communications ability.
[52:45.960 --> 52:47.960]  The security pack includes a Berkey light water purifier
[52:47.960 --> 52:50.960]  and LED base, two Berkey sport filtration bottles,
[52:50.960 --> 52:52.960]  the Berkey battery adapter,
[52:52.960 --> 52:54.960]  the Berkey MP solar charger,
[52:54.960 --> 52:58.960]  as well as a backup set of two black Berkey purification elements.
[52:58.960 --> 53:01.960]  The Berkey Security Pack is important every day
[53:01.960 --> 53:03.960]  and a must during emergencies
[53:03.960 --> 53:05.960]  because it provides purified water,
[53:05.960 --> 53:07.960]  long-term low-energy lighting,
[53:07.960 --> 53:10.960]  backup battery power for your Berkey LEDs,
[53:10.960 --> 53:13.960]  free long-term solar power for communications devices
