[00:00.000 --> 00:30.000]  Infowars, the most band network in the world
[42:52.000 --> 43:01.000]  So In-Q-Tel is and I was aware of this before and I was actually unsure if my boss, Peter Dasik, knew what he was getting into.
[43:01.000 --> 43:09.000]  Like I had my sense of Peter was that he was a great writer. I loved working with him, actually, when I was a new employee.
[43:09.000 --> 43:17.000]  He has great strategy, great prose. Sometimes I thought he was too much of an opportunist and didn't understand quite what he was getting into at times.
[43:17.000 --> 43:20.000]  But that could be inaccurate. It's just my perception.
[43:20.000 --> 43:24.000]  So anyways, he comes and asked me to help him put together this In-Q-Tel report.
[43:24.000 --> 43:29.000]  In-Q-Tel is the venture capital firm for the CIA and then also sort of the DOD at times.
[43:29.000 --> 43:38.000]  Most famously, In-Q-Tel invested into Google Maps or Google Earth, which was a huge success.
[43:38.000 --> 43:55.000]  In that proposal, we actually present the using predict to go out and collect coronavirus samples to then do humanized mice or mouse gain-of-function work to make medical countermeasures.
[43:55.000 --> 43:58.000]  And this is in 2015 when we assembled this and it's presented.
[43:58.000 --> 44:06.000]  This is also verified by In-Q-Tel's quarterly earnings report to the investors that this presentation takes place.
[44:06.000 --> 44:21.000]  And there's also another, I guess, document or what's a good way of phrasing this, announcement newsletter to their stakeholders that Peter Dasik was presenting this work to them.
[44:21.000 --> 44:28.000]  So it did, in fact, take place. Whether or not Eagle Health received the investment, publicly, to my knowledge, they did not.
[44:28.000 --> 44:34.000]  But In-Q-Tel also invests into companies discreetly and sometimes does not announce it.
[44:34.000 --> 44:40.000]  Sure. And Dr. Huff, we've got about 35 minutes left or 30 minutes left and you've got to go.
[44:40.000 --> 44:44.000]  You're telling an incredible historical story and it's so important. I know there's a lot more to tell.
[44:44.000 --> 44:47.000]  So maybe at some point you can just boil it down for people.
[44:47.000 --> 44:51.000]  And next time we can have you on for two hours if you've got it. Or we can go two hours, but I know you don't have the time.
[44:51.000 --> 44:57.000]  Because people need to understand. But basically, because I've already read articles about your book, haven't read the book yet, I've got it ordered.
[44:57.000 --> 45:03.000]  But you start to figure out that really this is like a bio weapons front or what was it really?
[45:03.000 --> 45:07.000]  Sure. We can stretch the time a little bit if we need to and I can talk a little fast.
[45:07.000 --> 45:12.000]  No, no, no, no. You're doing great. I just want you to know, just continue. Please take your time.
[45:13.000 --> 45:18.000]  So Eco-Health Alliance, I really believe it was two things. Let me fast forward through this.
[45:18.000 --> 45:23.000]  So the important thing to know is I leave Eco-Health Alliance as being a top performing employee.
[45:23.000 --> 45:28.000]  But Peter Daskin and I have a terrible following up. And actually the CFO dies in the process.
[45:28.000 --> 45:34.000]  You can't make this up. I think it caused the poor guy to have a heart attack because I got so much stress during a meeting.
[45:34.000 --> 45:42.000]  But that aside, I leave Eco-Health Alliance and to me it sort of looks like it's one giant intelligence collection operation.
[45:42.000 --> 45:51.000]  And that also having some kind of tie to the pharmaceutical industry. That's my opinion in 2016 when I leave.
[45:51.000 --> 46:03.000]  I couldn't quite figure it out. You fast forward to COVID, COVID's emergence and the facts as they were portrayed to us, which turned out to be lies from the US government.
[46:03.000 --> 46:13.000]  And all the other documents that I have in my possession, there's two weird things, two things that I'm fairly certain about Eco-Health Alliance.
[46:13.000 --> 46:26.000]  One, it's in this gain of function game where they're going out and collecting rare or unique viruses to edit and splice together for gain of function to develop medical countermeasures.
[46:26.000 --> 46:31.000]  This is being financed heavily by the National Security State, the Biomedical Security State.
[46:31.000 --> 46:38.000]  Interestingly, Dr. Robert Malone and Senator Ron Johnson's roundtable this week said the same thing.
[46:38.000 --> 46:45.000]  And I haven't asked Dr. Malone about that yet. We have spoken, but he has a different take on it and I'd like to know what he thinks.
[46:45.000 --> 46:58.000]  The second side is that I like to explain to people is that the Senate, especially people like Senator Rand Paul, keep accusing NIH of being responsible for this gain of function work.
[46:58.000 --> 47:06.000]  Well, actually, the gain of function work begins under the USAID PREDICT program before NIH has even given them a dime.
[47:06.000 --> 47:11.000]  So these plans happen before NIH is involved.
[47:11.000 --> 47:18.000]  That's right. It's coming right out of the Defense Department. And if you expand on that, because I've studied it in depth and had a lot of other experts on, correct me if I'm wrong from your own perspective,
[47:18.000 --> 47:30.000]  basically what they do in biowarfare is they cover up biowarfare labs saying that they are treatment preparation for emerging bio threats or natural emergencies.
[47:30.000 --> 47:35.000]  But really, they create the new bioweapon and then they create the so-called vaccine to counter it,
[47:35.000 --> 47:44.000]  which then for big corporations and the military industrial complex is a giant moneymaker and a power center where they can actually create the new pathogens,
[47:44.000 --> 47:52.000]  but also have the cure, which they can also use societally for total control to take control and basically take us off of a carbon based system,
[47:52.000 --> 47:58.000]  which is in the Operation Lockstep Rockefeller Foundation 2001 2011.
[47:58.000 --> 48:10.000]  And the reason I know all this is you can go read their white papers and the U.N. talking about Disease X in the last five years and their predictive program and getting everybody ready for what's coming and talking about how they're going to use this to take over society,
[48:10.000 --> 48:21.000]  have total digital surveillance, a world vaccine ID system that's then used as the central bank digital currency platform that then implements the global social credit score,
[48:21.000 --> 48:29.000]  the carbon taxes and the universal basic income, but it's all based on the viral threat bringing out an acceptance of the QR code world ID.
[48:29.000 --> 48:38.000]  Well, Alex, it's hard for me to challenge you sometimes because you've been right more times than you've been wrong over the past few years.
[48:38.000 --> 48:51.000]  I used to be a huge skeptic of yours and I have sort of come to the other side based on your accuracy and I guess visionary perception towards the world state, if you want to call it that.
[48:51.000 --> 49:07.000]  The Rockefeller Foundation did fund Eco-Health Alliance. The point that I was about to make, though, is that the Chinese did not need $600,000 of U.S. funding to do this gain of function work.
[49:07.000 --> 49:19.000]  And when you step back and you look at it, why would the Chinese allow Westerners into their bioweapons laboratory to presumably snoop around and see what was going on?
[49:19.000 --> 49:28.000]  So how this all starts, this relationship with the Wuhan Institute of Virology, is that in the contract of the understanding the back coronavirus emergency risk proposal,
[49:28.000 --> 49:34.000]  and this is what Rand Paul was talking about, this is the point I was getting to, they say that, hey, for $600,000, we can do this work with the Chinese.
[49:35.000 --> 49:41.000]  And that's why the Chinese want to do this work with us. Well, no, I mean, it's completely asinine. The Chinese do not need $600,000 of our money.
[49:41.000 --> 49:47.000]  They don't need $5 million of money. They don't need $10 million of our money because they loaned it to us.
[49:47.000 --> 49:59.000]  So what did the Chinese have to gain here from this? And the one thing that they had to gain and the thing that they wanted was the advanced biotechnology from Dr. Ralph Baric's laboratory at the University of North Carolina.
[49:59.000 --> 50:03.000]  Also the technology from Dr. Ian Lipkin's laboratory at the University of Columbia.
[50:03.000 --> 50:15.000]  So the thing that happens underneath this PREDICT program and this back coronavirus emergency proposal is that we actually train and give this advanced biotechnology to the Chinese.
[50:15.000 --> 50:21.000]  And without doing that, we wouldn't have SARS-CoV-2. I mean, that's so critical.
[50:21.000 --> 50:24.000]  And so you have to ask yourself, well, why would the U.S. government do this?
[50:25.000 --> 50:29.000]  Why would we not stamp some kind of expert control on this? Because you did the state departments all over this.
[50:29.000 --> 50:44.000]  Well, I firmly believe that the reason why we are doing this is so that we could actually collect intelligence on the Wuhan Institute of Virology's bio weapons program in exchange for the advanced biotechnology.
[50:44.000 --> 50:50.000]  I can't figure out for any other reason on the planet why we do this.
[50:50.000 --> 50:54.000]  Sure. And we know the Chinese put spies in our universities and research labs as well.
[50:54.000 --> 51:00.000]  And you talked to the earlier of you how you'd also gone and seen what was going on with the Ukrainian labs and all the rest of these.
[51:00.000 --> 51:11.000]  So give us before you get into now what you know and the points you make in the book exposing this whole thing and these key bullet points that you've sent us that I think are dead on.
[51:12.000 --> 51:37.000]  Just a thirty five thousand foot boil down of why you went public and basically what you said since, because I think you obviously agree with Senator Paul and others that we've got to stop this, because even if they didn't release this on purpose, which I think the evidence, the motive, the timing, the preprogramming, the media rollouts says they did to bring in this whole new great reset.
[51:37.000 --> 51:49.000]  But regardless, with these labs everywhere, it's only a matter of time before more of this gets out. And it was obviously manmade. We know that from, as you said, the scans, the virus, all these other procedures scientists have said it's conclusive for over two years.
[51:49.000 --> 51:53.000]  So, you know, to me, this is the sort of Damocles hanging over all our heads.
[51:54.000 --> 52:07.000]  Yeah. So the thirty five thousand foot view here is that there is a lot of old, deep money tied into the the the scientific model of health care, which has been adopted.
[52:07.000 --> 52:19.000]  The clinical trial system has been completely corrupted via other whistleblowers like Brooke Jackson coming out and stating that she was a witness to the fraud that took place in these clinical trials.
[52:19.000 --> 52:29.000]  If you go look at the MRNA clinical trial reports themselves, they've, you know, they were the most harmful damning parts out of the clinical trial results and they won't give it to us from Pfizer.
[52:29.000 --> 52:39.000]  So, I mean, you have to ask yourself what's going on here. Now you have the epidemiology data from the SARS-CoV-2 jabs, which were co-developed with the agent.
[52:39.000 --> 52:43.000]  So that's the other thing I didn't bring up. So I have the proof of that in the book.
[52:43.000 --> 52:46.000]  So the the agent and the jabs were co-developed together.
[52:46.000 --> 52:59.000]  You step back, you look at it. We've created this huge biomedical industrial complex where the wealthiest people in the country have massive or the world, I should say, have massive financial incentive to keep on pushing this.
[52:59.000 --> 53:10.000]  And it's really weird when you think about this, because if you look at what are the biggest problems facing the planet right now, the number one problem, in my opinion, is the energy crisis.
[53:10.000 --> 53:15.000]  We've hit peak oil. There's more out there, but it's getting more expensive to extract.
[53:15.000 --> 53:28.000]  And I feel like this gain of function work, this work of pushing out the jabs is also a distraction to serve as a limiting factor on natural resources on the planet.
[53:28.000 --> 53:32.000]  We do have finite natural resources. We could argue about climate change.
[53:32.000 --> 53:38.000]  I'm not a climate change denier, but on the other hand, I know that if a volcano erupts tomorrow, we could be thrown into a mini ice age.
[53:38.000 --> 53:49.000]  I'm very, very practical about these things. But what they stand to gain, the people who are in power and control from these from the draconian lockdowns.
[53:49.000 --> 53:57.000]  From the restriction of our liberties, from pushing ineffective, harmful drugs onto patients.
[53:57.000 --> 54:03.000]  I mean, that part just it's mind boggling to me at first to show how objective about this.
[54:03.000 --> 54:06.000]  When the first came out, I'm like, well, let's trust the government on the mRNA jabs.
[54:06.000 --> 54:11.000]  And then, you know, four months into it, I'm like, well, these don't prevent transmission.
[54:11.000 --> 54:14.000]  It's actually causing new they're causing new variants to emerge.
[54:14.000 --> 54:19.000]  And it looks like it's harming some people. And then another four months after that, I went completely to the camp.
[54:19.000 --> 54:23.000]  I'm like, these things are completely ineffective. They don't work. They look like they're harming people.
[54:23.000 --> 54:28.000]  Why are we giving these to people? Why are we mandating that people receive this?
[54:28.000 --> 54:36.000]  And it's hard not to go to the to the basically to your your point that you just said that this is some kind of top down driven control to to harm us all.
[54:36.000 --> 54:45.000]  And I think that is a fair, fair point to make if a fair, logical point to make or argument to make, because I can't really make sense of it otherwise.
[54:45.000 --> 54:54.000]  And then, doctor, if we add it to the equation, Bill Gates and Melinda, when they first actually started their foundation 30 years ago,
[54:54.000 --> 54:57.000]  it was called the World Population Control Foundation.
[54:57.000 --> 55:01.000]  And about twenty five years ago, they changed the name just the Bill and Melinda Gates Foundation.
[55:01.000 --> 55:06.000]  They give each other awards and they're all calling for depopulation and same as too many people.
[55:06.000 --> 55:15.000]  But now they really are funding all these deadly pathogens and then funding shots that don't even make it safe and are linked to all these serious health problems.
[55:15.000 --> 55:21.000]  Just really interesting when they're calling for death panels and euthanasia and abortion and depopulation.
[55:21.000 --> 55:25.000]  But they really love us, though, and want to give us shots to keep us safe.
[55:25.000 --> 55:29.000]  And they're connected to the actual pathogen and the funding of its creation.
[55:29.000 --> 55:32.000]  And then the cover up of that through mainstream media and big tech.
[55:32.000 --> 55:36.000]  You have those equations, Doc, that that kind of bumps it up to not a probability.
[55:36.000 --> 55:44.000]  But it looks if I was a criminologist, it would look to me like that's our prime suspects.
[55:44.000 --> 55:50.000]  Well, it is quite the fact pattern. I think that's the term they'd use in law. It does seem to add up.
[55:50.000 --> 55:55.000]  Wow. So maybe we should get into the so-called pandemic and then the shots.
[55:55.000 --> 55:59.000]  And you were trying to allude to you start to go public. You start to try to talk.
[55:59.000 --> 56:03.000]  You give reports to Congress and it's just incredible what happened to you.
[56:03.000 --> 56:06.000]  I've had some similar things happen, not quite as dramatic or as compressed.
[56:06.000 --> 56:12.000]  But over the years, you know, I've I've seen them try to make me go crazy or make me sound crazy.
[56:12.000 --> 56:17.000]  But you've been able to document actually what happened to you. And we can see why they were panicking.
[56:17.000 --> 56:22.000]  Here's the former chief scientist and major whistleblower with a great pedigree and a great record.
[56:22.000 --> 56:26.000]  A top secret security clearance coming out day one and warning of this stuff.
[56:26.000 --> 56:31.000]  And you, of course, been vindicated now. Yeah, it doesn't feel very vindicating.
[56:31.000 --> 56:36.000]  I mean, the book selling always helps helps me, I guess, personally or financially.
[56:36.000 --> 56:39.000]  But I never did this for the money. I was just trying to get the truth out.
[56:39.000 --> 56:50.000]  And it was an interesting period. So in 2020, I spent most of that that that that year trying to convince my friends, colleagues, peers, professionals that this is a lab leak.
[56:50.000 --> 56:56.000]  And I think I convinced most of them that it was without even having to go into the documents or the information that I was sitting on.
[56:56.000 --> 57:03.000]  I intentionally did not point to that information, just trying to make arguments based on the data that everyone had access to.
[57:03.000 --> 57:10.000]  Well, in the summer of 2020 and then all the way through 2021,
[57:10.000 --> 57:18.000]  I started leaking information to and not really leaking, but providing information to famous journalists like Miranda Devine, the New York Post,
[57:18.000 --> 57:29.000]  Jan Jeklik from Epoch Times, Dr. Brett Weinstein with his podcast and Alex Berenson and all of these organizations run publications.
[57:29.000 --> 57:42.000]  I also speak with Catherine Eban from Vanity Fair. I later find out just a few weeks ago or a month ago that they were paid to run interference by FTX via ProPublica.
[57:42.000 --> 57:47.000]  So it just you can't make this stuff up. But I was trying to do the right thing as getting the information out there.
[57:47.000 --> 57:59.000]  And in late fall of 2021 or maybe early fall, something like around November 1st, people start flying very high end drones around my house.
[57:59.000 --> 58:06.000]  And really, it's it freaks me out at first. And then after, you know, a few days that you realize, you know, well, they're just trying to screw with me.
[58:06.000 --> 58:12.000]  And and but then it escalated. They started breaking into my house. They dumped acid into my wood boiler.
[58:13.000 --> 58:18.000]  So I live in a rural area and I try to heat our house off wood so we have this high efficiency wood boiler.
[58:18.000 --> 58:23.000]  So they start doing things like this and it's costing me financially. They start tampering with my cars during one of the break ins.
[58:23.000 --> 58:31.000]  They tase my dog. And I've actually posted photographic evidence of all this to prove to Twitter they shot a hole through my mailbox.
[58:31.000 --> 58:37.000]  So they opened up the door, you know, in a rural area. It's not so so strange to have your mailbox shop, but they actually open up the door and they shoot.
[58:37.000 --> 58:43.000]  It appears to be a nine millimeter bullet through the back of it. And if I had to guess, it's probably a government issue.
[58:43.000 --> 58:52.000]  And this just really progresses. So they start then proceeding to follow me around everywhere. Simultaneously, what else is happening?
[58:52.000 --> 58:58.000]  I had been put in contact with FBI agents that I used to work with. One is agent Jody Stanley.
[58:58.000 --> 59:03.000]  She's the weapons of mass destruction coordinator for the state of Michigan for the FBI.
[59:03.000 --> 59:09.000]  And I went to the local FBI office when this starts happening and I report this to agent John Fortunato.
[59:09.000 --> 59:16.000]  He tells me not to tell anyone that the FBI is helping me. So simultaneously, I don't necessarily trust them.
[59:16.000 --> 59:23.000]  I hired a private investigator then to basically verify everything that they were telling me.
[59:23.000 --> 59:28.000]  So one of the things that the local FBI asked me to do is, hey, get when you get the license plates,
[59:28.000 --> 59:33.000]  these people are following you, send them to us and we'll see if they're bad guys or not. We'll track them down.
[59:33.000 --> 59:38.000]  Well, through that process, I started writing the plates through a private investigator and the FBI simultaneously.
[59:38.000 --> 59:45.000]  And the private investigator tells me that one of the vehicles is an undercover law enforcement vehicle.
[59:45.000 --> 59:52.000]  And the FBI agent tells me it's nothing. So that's about four or five weeks into this whole deal.
[59:52.000 --> 01:00:01.000]  So I'm trying to figure out what's going on. December 12th comes the U.S. Coast Guard hovers a helicopter over my house.
[01:00:01.000 --> 01:00:09.000]  I mean, it's just sort of funny because it doesn't harm anything. Like I used to actually be on helicopters in the military.
[01:00:09.000 --> 01:00:13.000]  Actually, I spent quite a bit of time on Blackhawks. So, you know, I think this is funny.
[01:00:13.000 --> 01:00:18.000]  But I mean, this is the extent that they're going trying to harass me and intimidate me.
[01:00:18.000 --> 01:00:26.000]  Then they start to escalate a little bit more. They start pointing what's called a long range acoustic device at my house from the highway.
[01:00:26.000 --> 01:00:31.000]  And I have a mile long driveway, which is winding to get there. So I can't see from my house from point B.
[01:00:31.000 --> 01:00:37.000]  But my wife is a witness to this. My neighbors and my former two year old son has to live through this as well.
[01:00:37.000 --> 01:00:43.000]  And this is actually a long range acoustic device is a crowd disturbance technology.
[01:00:43.000 --> 01:00:50.000]  It's actually also used in prisons and the military. We actually use these two for riot control. Is that an L-rad?
[01:00:50.000 --> 01:00:54.000]  Yeah, an L-rad. Yep. So they're pointing this at my house and it's just annoying.
[01:00:54.000 --> 01:01:00.000]  I mean, they're not like it's not so loud or it's deafening, but it's just enough to, you know, sort of irritate you continuously.
[01:01:00.000 --> 01:01:08.000]  So this goes that goes on for a while. And I'm reporting this, though, because my attorney Tom Renz comes into my life and I report all this to the FBI.
[01:01:08.000 --> 01:01:13.000]  I just keep reporting it to the FBI. And eventually the FBI doesn't want to do anything.
[01:01:13.000 --> 01:01:20.000]  They don't want to investigate anything that I'm telling them. And simultaneously, I also reported this because a former top secret clearance holder.
[01:01:20.000 --> 01:01:27.000]  I'm required to report any of these activities to the Department of Energy, which granted me my clearance.
[01:01:27.000 --> 01:01:37.000]  Then also Sandia National Laboratories to counterintelligence, because they sort of watch people like me the rest of our lives in case someone, the Chinese or someone tries to espionage us.
[01:01:37.000 --> 01:01:41.000]  Anyway, so I go through all the right channels and do everything by the book. I report it.
[01:01:41.000 --> 01:01:49.000]  The FBI tells Sandia that they're investigating these activities towards me and I later find out that that's a lie.
[01:01:49.000 --> 01:01:52.000]  They didn't investigate anything. Actually, they're the ones who are doing it.
[01:01:52.000 --> 01:01:56.000]  I later find out with the Michigan State Police and I can get to that.
[01:01:56.000 --> 01:02:03.000]  By the way, we now know the FBI has been harassing conservatives, nationalist, populist, surveilling members of Congress,
[01:02:03.000 --> 01:02:09.000]  telling the big tech who to censor, not just Twitter, all of it, by the way, directed by a stay behind network.
[01:02:09.000 --> 01:02:16.000]  Obama left in with three million dollars of funding in the Defense Authorization Act in 2016 for 2017.
[01:02:16.000 --> 01:02:23.000]  And it was a multi-year funding. And so we even know the years of funding that this has been going on.
[01:02:23.000 --> 01:02:28.000]  And now since Biden's got in, they slammed on the accelerator and it's far worse than it's ever been.
[01:02:28.000 --> 01:02:35.000]  It is just total turning inward the whole national security military industrial complex on the people.
[01:02:35.000 --> 01:02:42.000]  So first it was aimed at the Russians in the Cold War. Then it was aimed after 9-11 at radical Islam.
[01:02:42.000 --> 01:02:47.000]  And then now it's been swung right back around against the American people.
[01:02:47.000 --> 01:02:53.000]  Yes, it has. And I've been on the receiving end of it. And the one thing I can tell you is that they're still more scared of us.
[01:02:53.000 --> 01:02:58.000]  They're sort of, it's sort of a gang-stocking style tactic that they use.
[01:02:58.000 --> 01:03:04.000]  And it's much akin to an old FBI program. I think it's called COINTELPRO.
[01:03:04.000 --> 01:03:06.000]  COINTELPRO. Absolutely. Harassment.
[01:03:06.000 --> 01:03:08.000]  Yeah. So that's very much what they're doing.
[01:03:08.000 --> 01:03:12.000]  I actually had the FBI agent that ran the COINTELPRO program for four years on.
[01:03:12.000 --> 01:03:15.000]  He was tapped through the director of the FBI, but he was seen as too conservative.
[01:03:15.000 --> 01:03:19.000]  And that was Ted Gunderson. He told me about this 25 years ago, the COINTELPRO.
[01:03:19.000 --> 01:03:25.000]  He actually, he ran it against Martin Luther King. And he was on my show about a week before he died of cancer via hospital bed.
[01:03:25.000 --> 01:03:29.000]  And he apologized to Martin Luther King for it. And then a couple years later, the documents were actually released.
[01:03:29.000 --> 01:03:33.000]  And there it was. Ted Gunderson.
[01:03:33.000 --> 01:03:41.000]  Well, I don't know if I'll ever have that same kind of vindication, but the peak of this is, so I have 180 acres.
[01:03:41.000 --> 01:03:47.000]  I have swamp on almost four sides. The only way to get my house is an old railroad grid up to my house on the hilltop.
[01:03:47.000 --> 01:03:53.000]  Very thick swamp, heavy forest where I live. And I look out the door and I find a guy,
[01:03:53.000 --> 01:04:00.000]  see an armed guy sitting up on a bridge on the outside of my house, probably about 100 meters west of my house, armed.
[01:04:00.000 --> 01:04:04.000]  So I called the sheriff's department immediately where I live.
[01:04:04.000 --> 01:04:09.000]  It's the law enforcement responsibilities are split between the sheriff's department and the state police.
[01:04:09.000 --> 01:04:13.000]  And I arm myself and I'm going to go stop this person.
[01:04:13.000 --> 01:04:18.000]  So I run out the door after this person, after my after we call the sheriff's department,
[01:04:18.000 --> 01:04:22.000]  what my wife and I and this person turns and starts running to the swamp.
[01:04:22.000 --> 01:04:27.000]  And actually, I was trying to flank the person to begin with. So he ran right where I wanted him to.
[01:04:27.000 --> 01:04:31.000]  And they had created a path. So humans are when they're scared or startled.
[01:04:31.000 --> 01:04:36.000]  They they're creatures of habit and they'll go where they're comfortable. And that's exactly what what he did.
[01:04:36.000 --> 01:04:41.000]  He went into the swamp. He turned at me with a firearm and I proceeded to fire at him.
[01:04:41.000 --> 01:04:47.000]  But it was I was at a distance of probably 60, 60 or 50 meters.
[01:04:47.000 --> 01:04:53.000]  And it's heavy. It's middle of summer and it's heavy vegetation.
[01:04:53.000 --> 01:04:57.000]  The I continued to fire into the swamp where I think this person is.
[01:04:57.000 --> 01:05:05.000]  And then someone across the other side of my swamp, which is probably half mile, three quarters of miles, start shooting back in my direction.
[01:05:05.000 --> 01:05:09.000]  So I began receiving incoming fire from across the swamp.
[01:05:09.000 --> 01:05:13.000]  So I'm having to lay suppression fire in two different directions.
[01:05:13.000 --> 01:05:21.000]  I'm sort of having a good old infantry Iraq kind of flashback here in a way in terms of what what the experience is like.
[01:05:21.000 --> 01:05:27.000]  I actually sort of felt like I was back in the military again. Very strange on your own property.
[01:05:27.000 --> 01:05:33.000]  So while I have this person pinned down with gunfire, he deploys a tactical rescue beacon.
[01:05:33.000 --> 01:05:36.000]  I haven't seen a tactical rescue beacon used since I was in the military.
[01:05:36.000 --> 01:05:43.000]  So I made it very clear that this was state sponsored after this person. I could probably identify them.
[01:05:43.000 --> 01:05:49.000]  And I run back to the house after about 30 minutes of this engagement, asked my wife and she hears all this craziness going on.
[01:05:49.000 --> 01:05:55.000]  She says, what's going on? I'm like, I'm in a firefight with these guys. And she can't directly see because it's just far enough outside of her view.
[01:05:55.000 --> 01:06:00.000]  And call back to the sheriff's department and ask where the hell are these people?
[01:06:00.000 --> 01:06:09.000]  She's doing that. I reload, I go back out and I determined that the person is maneuvering east through my swamp to get to my my driveway so they can exit.
[01:06:09.000 --> 01:06:22.000]  I quickly move over to that location and I looked on my driveway and there are rescue vehicles on the state highway waiting to presumably extract or pick this person up.
[01:06:22.000 --> 01:06:29.000]  After about 20 more minutes of this same kind of activity going on, there are two law enforcement vehicles.
[01:06:29.000 --> 01:06:36.000]  I hear sirens coming and I'm like, oh, thank God. So I actually lay my firearms down on the dirt because I don't want them to respond and shoot me.
[01:06:36.000 --> 01:06:42.000]  And they do probably about 120 miles right past my driveway. And I'm in disbelief.
[01:06:42.000 --> 01:06:47.000]  And I know this. I have this person pinned down the swamp. Could be wounded. Maybe if there's more than one.
[01:06:48.000 --> 01:06:53.000]  So were they pulling up trying to stop them or just being told to move on?
[01:06:53.000 --> 01:06:56.000]  Well, no, they were pulling up and stopping at the end of my driveway.
[01:06:56.000 --> 01:07:01.000]  And so one vehicle was like a late models GMC pickup with heavily tinted windows looking down my driveway.
[01:07:01.000 --> 01:07:05.000]  So there you are seeing law enforcement basically picking up the shooter.
[01:07:05.000 --> 01:07:14.000]  Yep. So the police go, the police cars, the market cars go by flying past my driveway, though, and I can't believe it.
[01:07:14.000 --> 01:07:21.000]  So I lecture the person out in the swamp. I basically say this is the most unpatriotic bullshit that I've ever experienced in my life.
[01:07:21.000 --> 01:07:25.000]  I can't believe you're doing this to me. I've done nothing wrong. I'm telling the truth.
[01:07:25.000 --> 01:07:29.000]  No one's leaked classified information to me. I haven't leaked any classified information.
[01:07:29.000 --> 01:07:36.000]  And even my piece and I went back up to the house and not just wait forever for this guy to come on the swamp, go back, call the sheriff's department again.
[01:07:36.000 --> 01:07:42.000]  And then the the dispatch and the dispatch tells us that they were diverted for a car accident.
[01:07:42.000 --> 01:07:49.000]  So I don't know in what world where a car accident takes priority over a gunfight in law enforcement's mind.
[01:07:49.000 --> 01:07:54.000]  But that's what happened. And so accelerating through this, though, suddenly they start leaving you alone.
[01:07:55.000 --> 01:08:02.000]  Yeah, so well, that moment right there, they quit trespassing on my property. So thank you, Second Amendment and American rights.
[01:08:02.000 --> 01:08:05.000]  It saved my butt. My family's.
[01:08:05.000 --> 01:08:11.000]  I wonder who gave them the orders, especially go to a veteran's house and run around in the woods with guns and be doing all this.
[01:08:11.000 --> 01:08:15.000]  It sounds insane. I mean, it's just it. But it shows they're totally politicized.
[01:08:15.000 --> 01:08:20.000]  We have the vice president bailing out rioters that burn, try to burn down federal buildings.
[01:08:20.000 --> 01:08:26.000]  I mean, the vice president bails out rioters. I mean, these people are communist.
[01:08:26.000 --> 01:08:36.000]  Yeah, well, in the lower. So I wonder, I ask myself the question and it depends on the people that they're sending out to my house to do these things.
[01:08:36.000 --> 01:08:41.000]  I don't think they are the smartest people in the world. I also think they're low on the ladder.
[01:08:41.000 --> 01:08:44.000]  I agree that they're just following orders. Correct.
[01:08:44.000 --> 01:08:50.000]  And then you have the mid-level management that want their next promotion and they believe everything that their superiors tell them.
[01:08:50.000 --> 01:08:58.000]  And I think this has been very enlightening for the local law enforcement in my communities because all the harassment pretty much stopped when two things happened.
[01:08:58.000 --> 01:09:06.000]  When I finished my book and sent it off to the publishers, the harassment stopped. Tom Renz files a billion dollar lawsuit against these people.
[01:09:06.000 --> 01:09:10.000]  And I figured out early on that they were trying to make me look crazy.
[01:09:10.000 --> 01:09:24.000]  So just by a twist of fate, a psychologist that I saw in 2006, after I had actually pretty bad PTSD, after I came back from Iraq, had been promoted to the Iron Mountain VA as the head of counseling.
[01:09:24.000 --> 01:09:30.000]  He's actually one of the best PTSD counselors in the country, if not the world. His name is Dr. Thad Strom.
[01:09:30.000 --> 01:09:37.000]  And I tell him the story that, like I told you guys tonight, was going on. And, you know, he knew me for years and I hadn't seen him for years.
[01:09:37.000 --> 01:09:42.000]  And he's like, Andrew, I believe everything you're saying. He's like, I will gladly write this letter.
[01:09:42.000 --> 01:09:55.000]  So it was the ultimate trump card to put back against the government because here I have one of their best clinicians in this field writing a letter to say that I'm not crazy because I foresaw that that's what they were trying to do.
[01:09:55.000 --> 01:10:05.000]  Which is exactly what when they, in 77, they admitted in the Senate Frank Church committee hearings about COINTELPRO that it was designed in the manuals to make people sound crazy.
[01:10:05.000 --> 01:10:16.000]  Yes, absolutely. And that's what they're trying to do. And it became a big joke to me. I started laughing at it. Once I had it all figured out, it was just annoying to have your house broken into repeatedly and, you know, and have my device.
[01:10:16.000 --> 01:10:22.000]  They call it bumping you. So let's let's expand. You're getting bumped a bunch. Now, let's condense the 50 minutes we have left.
[01:10:22.000 --> 01:10:31.000]  And I want to ask you back again, but I want to do this commercial free. Now, let's talk about who the real villains are, what needs to happen to stop the gain of function, what you think Congress should do.
[01:10:32.000 --> 01:10:42.000]  I think they should have hearings because we don't control the Senate. The Republicans should have them in the House immediately. I know Paul can call witnesses. You need to be in the Senate as well. Who else do you think should testify?
[01:10:42.000 --> 01:10:52.000]  What do we do here? Because Fauci has been caught lying. They've been caught cooking this up. It's a clear and present danger. It's dangerous as nuclear weapons. It needs to stop.
[01:10:52.000 --> 01:10:58.000]  And the poor fools coming and harassing you and your wife and tasing your dog need to really realize they're on the wrong side.
[01:10:58.000 --> 01:11:05.000]  And we have a runaway Justice Department, a runaway CIA at the top, and they're bringing in more and more woke ideologues.
