[00:00.000 --> 00:06.000]  Please welcome to the program, the always interesting dynamic, Donald Trump. Donald!
[48:17.000 --> 48:27.000]  This isn't powering women, this isn't slaving them and then she's completely triggered by men who are dressed like women who have stolen her identity.
[48:27.000 --> 48:36.000]  And so she begins to hiss like a king cobra that has been injected directly in these three world cortex with PCP.
[48:36.000 --> 48:55.000]  So we can joke all day long about everyone always wanted to find out what happened to Batboy who supposedly in weekly world news got found in Central Park and did Batboy actually cause the coronavirus outbreak.
[48:55.000 --> 49:06.000]  But that's a joke. This is serious. This is what happens to women in San Francisco under the brainwashing where women give up their femininity.
[49:06.000 --> 49:13.000]  They're supposed to. You don't see any starlets anymore in Hollywood, any of it, and then men become the new glamour with wigs on.
[49:13.000 --> 49:17.000]  Now I've got to say that the Trump drag queens do actually look like women.
[49:17.000 --> 49:26.000]  The leftist ones, I'm like Harrier, Fatter, Bigger, you know, another thing is Fat Dudes or anything, but come on man, Fat Dudes and Clown make up coming after our kids.
[49:26.000 --> 49:33.000]  They have a name for that. That's still, it's all still hideous though. Let's go ahead and that's just my opinion.
[49:33.000 --> 49:37.000]  I'm allowed to think that dudes and dresses are creepy. I've never done it on air.
[49:37.000 --> 49:48.000]  I've done a lot of comedy. You would get huge views. I just kind of like the police academy though. They got their dressed up on the stake out going after the hookers and you know, the sergeants got a beard, he's got a wig on.
[49:48.000 --> 49:57.000]  There is some comedic value to it, but except I'm not trying to go to drag queen story time or anything. Let's go ahead and play this video unedited so you can see it for yourself.
[49:57.000 --> 50:10.000]  And again, radio listeners, you're lucky you don't have to see this. This is Bat Boy freaking out.
[50:10.000 --> 50:20.000]  We joke about it. This is what leftists do everywhere. This is like standard now. It's like a two year old tantrumming.
[50:20.000 --> 50:27.000]  They want to run the campuses. They want to run your wife. They want to access to your children.
[50:50.000 --> 51:15.000]  So this is what happens when kryptonite is discovered. Leftists come out to protest the Trump drag queen event and they just don't know what to do.
[51:15.000 --> 51:38.000]  It's like the left endorsing Islam and it wants to kill gay people. They don't know what to do.
[51:38.000 --> 51:45.000]  This is the mass mental illness. Of course, you know, there's piles of poop everywhere. This is San Francisco.
[51:45.000 --> 52:11.000]  Maybe buzzard begging for food. We can make jokes about this, but this is the spirit of these people.
[52:11.000 --> 52:30.000]  It's like Nosferatu. This is what they've done to women. Look what they've done to these people.
[52:30.000 --> 52:45.000]  She probably started up normal in the Midwest. Parents, Senator College, turn into this.
[52:45.000 --> 53:00.000]  Okay, that's enough. All right, I'll give the number out. The phones are loaded. We'll start the next hour and get very, very serious, but I'll be honest.
[53:00.000 --> 53:08.000]  Sometimes I got to screw around a little bit. So that's a very disturbing video, actually. Michael Bloomberg saying black people commit more crimes than white people.
[53:08.000 --> 53:18.000]  That audio is coming up so much more in the second hour, but I will go directly to your phone calls. The good news is the age of celebrities debt.
[53:18.000 --> 53:30.000]  But the age of bat boy is really a woman has just begun. I shouldn't laugh. God help us.
[53:30.000 --> 53:34.000]  I mean, you go to these Democrat events like a good third of them are like that.
[53:34.000 --> 53:43.000]  So you think it's funny when you're watching it on TV, but when you you're like, there's armies of these people. What the hell happened to them?
[53:43.000 --> 53:55.000]  How do you end up getting your head shaving going? I mean, how do you end up being a dude and having long fingernails and a blonde wig on?
[53:55.000 --> 54:00.000]  I don't know what happened to these people. All I know is thank God I'm not with them.
[54:00.000 --> 54:06.000]  And I'm not trying to put anybody down. It makes me feel weak that there's all these people like this.
[54:06.000 --> 54:08.000]  Let me just stop there.
[54:08.000 --> 54:13.000]  I had our office manager in force manager Tim Frosier come over and talk to me earlier.
[54:13.000 --> 54:21.000]  He said, hey, listen, in about a week or two, if you keep super silver tooth whitening toothpaste at 50% off, it's going to sell out.
[54:21.000 --> 54:24.000]  We don't get more for about a month and a half.
[54:24.000 --> 54:32.000]  We should go back to basically full price plus it has the patented nano silver in it that's been proven to take out this whole virus family and the rest of it.
[54:32.000 --> 54:36.000]  And I said, you know what, we're just going to sell out of it at 50% off.
[54:36.000 --> 54:44.000]  And I said, but don't worry. We also have the nano silver in super blue for adults and children.
[54:44.000 --> 54:50.000]  And he goes, yeah, that's selling out to probably in about two weeks and that's not coming in for two months.
[54:50.000 --> 54:57.000]  Unless we're talking about the children's, which we do have plenty of naturally bubblegum flavor.
[54:57.000 --> 55:02.000]  It has the nano silver. It has the iodine. It has the tea tree oil has it all.
[55:02.000 --> 55:07.000]  This has the whitening of the so good, but this is really good as a frontline of defense.
[55:07.000 --> 55:14.000]  And despite the fact that it's selling out, I'm going to keep it at 50% off until these products sell out.
[55:14.000 --> 55:21.000]  And, you know, I told you, like last week, I said, oh, the 16 ounce immune gargle of nano silver, it's about to sell out.
[55:21.000 --> 55:24.000]  It did. It was already sold out by the time I was saying, I didn't know it.
[55:24.000 --> 55:29.000]  The one ounce will sell out by Wednesday or Thursday.
[55:29.000 --> 55:35.000]  The three ounce will sell out by next week and it's the greatest deal you're going to find out there on this nano silver.
[55:35.000 --> 55:41.000]  This is the patent and stuff I could show you help me to show you from Homeland Security right here.
[55:41.000 --> 55:50.000]  This is from 13 years ago, Texas A&M Health Science Center with the U.S. Department of Homeland Security.
[55:50.000 --> 55:59.000]  Tom Ridge, the Department of the Army headquarters finding it in their own test that it was taking out the SARS that is the Corona family.
[55:59.000 --> 56:08.000]  And that is from American biotech labs out of Colorado that allows us to private label their products.
[56:08.000 --> 56:13.000]  Some of these are proprietary products. So those are selling out as well.
[56:13.000 --> 56:20.000]  The nano silver is in the super blue and it is in the super silver whitening.
[56:20.000 --> 56:25.000]  I'm going to keep the toothpaste at 50% off till it shows out, but it is selling out.
[56:25.000 --> 56:30.000]  I need to reorder the 16 ounce, the three ounce, the one ounce.
[56:30.000 --> 56:39.000]  So starting Thursday morning, these are going to go back to full price because I was going to just keep it 40% off till it's sold out.
[56:39.000 --> 56:41.000]  They're like, hey, you need the money to buy more of it dummy.
[56:41.000 --> 56:43.000]  I'm like, oh, actually, do we have the money for that?
[56:43.000 --> 56:46.000]  They're like, no, because we're making 25% of that cell rate.
[56:46.000 --> 56:50.000]  So you've got to go back to full price or we can't buy more dumb dumb.
[56:50.000 --> 56:54.000]  And I told them to finally explain things to me and they did and I understand it.
[56:54.000 --> 57:02.000]  So in fact, you know what? I'm going back to regular price tomorrow because they're right.
[57:02.000 --> 57:07.000]  We need to be able to sell the last few thousand bottles of each to buy more of it, which actually makes sense.
[57:07.000 --> 57:14.000]  So m4store.com, if you want 40% off on the immune gargles that are left and if you want 50% off the toothpaste,
[57:14.000 --> 57:17.000]  the immune gargle sale will end tomorrow.
[57:17.000 --> 57:21.000]  So by Thursday, yeah, it'll be the regular price.
[57:21.000 --> 57:24.000]  But I'm going to honor that commitment on the toothpaste.
[57:24.000 --> 57:30.000]  I'm about to tie 50% off because we've got that coming and I've already paid for more of it to come, so it's coming.
[57:30.000 --> 57:34.000]  m4store.com or AAA-233-139.
[57:34.000 --> 57:36.000]  Also, we've got the highest quality swarble foods ready to ship.
[57:36.000 --> 57:38.000]  Most folks don't.
[57:38.000 --> 57:45.000]  We've got the four week, the three month, all of it right now powered by my Patriot and Ready Hour at m4store.com.
[57:45.000 --> 57:48.000]  But get your orders in now to guarantee delivery.
[57:48.000 --> 57:51.000]  The demand for food has not let up.
[57:51.000 --> 57:53.000]  We are selling record amounts of it.
[57:53.000 --> 57:58.000]  Everybody else is basically already sold out or they have a giant wait list.
[57:58.000 --> 58:04.000]  Our suppliers have it in-house, mistaken seven to ten days to deliver because, again, they have to package it.
[58:04.000 --> 58:06.000]  They're running 24 hours a day.
[58:06.000 --> 58:11.000]  But in a few days, they're telling me it may go to a longer wait if you haven't gotten your order in.
[58:11.000 --> 58:12.000]  So I wouldn't crash tonight.
[58:12.000 --> 58:14.000]  We wanted this virus to be peering out.
[58:14.000 --> 58:18.000]  We wanted it to just be hype. Looks like it is really, really bad and is man-made.
[58:18.000 --> 58:21.000]  And so that's why we're seeing the huge freak out.
[58:21.000 --> 58:24.000]  So get your storable food at m4store.com.
[58:24.000 --> 58:25.000]  That helps fund our operation.
[58:25.000 --> 58:26.000]  It's insurance.
[58:26.000 --> 58:28.000]  You can eat a total 360 win.
[58:28.000 --> 58:32.000]  Again, get your food and actually get it delivered at m4store.com.
[58:32.000 --> 58:33.000]  Get your order in.
[58:33.000 --> 58:34.000]  It's locked in.
[58:34.000 --> 58:38.000]  Guaranteed seven to ten days in m4store.com.
[58:38.000 --> 58:40.000]  And regardless, it funds the operation.
[58:40.000 --> 58:42.000]  We also have the immune guard with 40% off.
[58:42.000 --> 58:47.000]  We are going to sell out of that, but I'm just keeping it at that sales price m4store.com.
[59:13.000 --> 59:18.000]  They began studying this effect in published trials.
[59:18.000 --> 59:23.000]  And decades later, we now have the fruit of this research, a fast-acting, chewable tablet
[59:23.000 --> 59:26.000]  that helps alleviate seasonal distress symptoms.
[59:26.000 --> 59:28.000]  Pollen block is natural and effective.
[59:28.000 --> 59:30.000]  It is not an antihistamine.
[59:30.000 --> 59:35.000]  In fact, current research has found that it actually acts by blocking the activity of tryptase,
[59:35.000 --> 59:40.000]  which is an enzyme that amplifies immune and inflammatory responses in the body.
[59:40.000 --> 59:43.000]  Go outside and enjoy the air you breathe.
[59:43.000 --> 59:48.000]  Head to infowarslife.com and grab a pack of our pollen block chewable tablets.
[59:51.000 --> 59:55.000]  You're listening to the Alex Jones show.
[59:59.000 --> 1:00:02.000]  Waging war on corruption.
[1:00:02.000 --> 1:00:08.000]  It's Alex Jones coming to you live from the front lines of the info war.
[1:00:08.000 --> 1:00:14.000]  You know, the Satanists sell the worship of the devil.
[1:00:14.000 --> 1:00:20.000]  Like those bumper stickers you see on the backs of cars, like the devil cheerleader.
[1:00:20.000 --> 1:00:24.000]  Big old juicy curves, looks like Marilyn Monroe.
[1:00:24.000 --> 1:00:27.000]  What's got that devil tail?
[1:00:27.000 --> 1:00:30.000]  You associate that with the devil.
[1:00:30.000 --> 1:00:34.000]  The devil's locust eating your crops down, starving children.
[1:00:34.000 --> 1:00:38.000]  Bones sticking out, your ribs showing.
[1:00:38.000 --> 1:00:43.000]  God gave us women and men and families and life and pleasure and enjoyment.
[1:00:43.000 --> 1:00:47.000]  God gave us ice cold beer and cheese enchiladas.
[1:00:47.000 --> 1:00:50.000]  And look it up in the night sky, not Satan.
[1:00:50.000 --> 1:01:04.000]  And God gave us fish fights and smelling the newly cut grass in the spring.
[1:01:04.000 --> 1:01:11.000]  And you look at people under the devil's control in San Francisco and other areas and man, they're rabid.
[1:01:11.000 --> 1:01:14.000]  It's like they've had their souls sucked out.
[1:01:14.000 --> 1:01:21.000]  There was an old Cronenberg film back in, I guess, 1980, 81, wherever it was called rabid.
[1:01:21.000 --> 1:01:24.000]  Old zombie movie, but you look at how the left behaves.
[1:01:24.000 --> 1:01:27.000]  We can joke about it, and I joke about it too.
[1:01:27.000 --> 1:01:30.000]  Because it's better than crying about it, but they're rabid.
[1:01:30.000 --> 1:01:34.000]  Here's that old trailer of rabid put to the future.
[1:01:34.000 --> 1:01:36.000]  What?
[1:01:42.000 --> 1:01:47.000]  Therapists in the U.S. say they are seeing increasing numbers of patients with what they call
[1:01:47.000 --> 1:01:49.000]  Donald Trump anxiety disorder.
[1:01:49.000 --> 1:01:51.000]  Trump anxiety disorder.
[1:01:51.000 --> 1:01:53.000]  Trump derangement syndrome.
[1:01:56.000 --> 1:01:59.000]  Trump derangement syndrome is clinically real.
[1:01:59.000 --> 1:02:06.000]  It doesn't merely affect individuals, but entire political parties rendering them unrecognizable.
[1:02:06.000 --> 1:02:10.000]  One minute, they're perfectly normal. The next, rabid.
[1:02:14.000 --> 1:02:17.000]  The veneer of civilization is evaporating quickly.
[1:02:17.000 --> 1:02:20.000]  Families and culture are collapsing.
[1:02:20.000 --> 1:02:25.000]  And godless leftists are behaving just like zombies of modern law.
[1:02:25.000 --> 1:02:30.000]  You can't trust your mother.
[1:02:30.000 --> 1:02:31.000]  Get the hell out of here!
[1:02:31.000 --> 1:02:32.000]  Get the fuck out of here!
[1:02:32.000 --> 1:02:34.000]  Your best friend.
[1:02:34.000 --> 1:02:36.000]  I'll get that camera out of my face.
[1:02:36.000 --> 1:02:38.000]  The labor next door.
[1:02:38.000 --> 1:02:43.000]  Psychologist Dr. Stuart Bassman says for his clients, it started the morning after the election.
[1:02:43.000 --> 1:02:48.000]  Doctors are seeing patients suffering from Trump anxiety disorder.
[1:02:48.000 --> 1:02:54.000]  A number of people are manifesting what I would call post-traumatic stress disorder.
[1:02:54.000 --> 1:03:00.000]  An overpowering fear that President Trump represents the end of the world.
[1:03:04.000 --> 1:03:07.000]  Pray, it doesn't happen to you.
[1:03:07.000 --> 1:03:09.000]  We're not dead!
[1:03:09.000 --> 1:03:15.000]  Revit.
[1:03:18.000 --> 1:03:21.000]  White males.
[1:03:31.000 --> 1:03:34.000]  The full answer is gone with this one.
[1:03:34.000 --> 1:03:39.000]  All right, so we're going to go to break in T-minus one minute, 18 seconds.
[1:03:39.000 --> 1:03:49.000]  When I come back, Patrick in Britain, Brian in Kansas, Thomas in Arkansas, Teddy in Indiana, Gabrielle in California, Scott in Vermont,
[1:03:49.000 --> 1:04:01.000]  Annabelle in Washington, Keon in St. Louis, Missouri, Randall in Florida, Rex in Florida, and Angeline in Pennsylvania.
[1:04:01.000 --> 1:04:06.000]  We're going in, through, and beyond.
[1:04:06.000 --> 1:04:08.000]  We're not supposed to exist.
[1:04:08.000 --> 1:04:10.000]  We're not supposed to be on air.
[1:04:10.000 --> 1:04:15.000]  We're not supposed to be here discussing all of this together, but we are.
[1:04:15.000 --> 1:04:18.000]  And it's that simple college of people.
[1:04:18.000 --> 1:04:21.000]  They're a race, color, and creed being able to speak to each other.
[1:04:21.000 --> 1:04:31.000]  It's that town square that the system wants to end so they can just give us the delivered corporate knowledge.
[1:04:31.000 --> 1:04:34.000]  But guess what?
[1:04:34.000 --> 1:04:42.000]  When the rubber meets the road, when the rubber meets the road, when the bullet hits the bone,
[1:04:42.000 --> 1:04:52.000]  when all the jokes have been pulled aside, it's human activity that rules this planet and it always will be.
[1:04:52.000 --> 1:05:15.000]  It's 2 AM.
[1:05:15.000 --> 1:05:25.000]  We have sold out of the 16 ounce immune gargle that has the nano silver that's patented and documented and even admitted in documents we've shown
[1:05:25.000 --> 1:05:27.000]  to go after this whole Corona SARS family.
[1:05:27.000 --> 1:05:28.000]  A virus.
[1:05:28.000 --> 1:05:30.000]  We're almost sold out of the one ounce spray bottles.
[1:05:30.000 --> 1:05:35.000]  That'll be sold out a couple days and we're about a week and a half or so of the super silver three ounce bottles.
[1:05:35.000 --> 1:05:36.000]  Great to have, period.
[1:05:36.000 --> 1:05:37.000]  Really good for your gums.
[1:05:37.000 --> 1:05:38.000]  Really great for your teeth.
[1:05:38.000 --> 1:05:40.000]  We also have the super silver in our whitening toothpaste.
[1:05:40.000 --> 1:05:45.000]  Again, we're the only folks allowed to private label or make our own products with this top nanotech company based here in the U.S.
[1:05:45.000 --> 1:05:49.000]  that's in all these homeless security documents and everything because we get the best stuff.
[1:05:49.000 --> 1:05:50.000]  There's a lot of patriots.
[1:05:50.000 --> 1:05:52.000]  There's not just bad guys coming after us.
[1:05:52.000 --> 1:05:55.000]  There's a flip side of all the good guys and good gals.
[1:05:55.000 --> 1:05:57.000]  It's very exciting.
[1:05:57.000 --> 1:05:58.000]  You've got it.
[1:05:58.000 --> 1:06:02.000]  That gas mask is coming to you.
[1:06:02.000 --> 1:06:05.000]  There's nothing more uncool than Hollywood.
[1:06:05.000 --> 1:06:07.000]  On corruption.
[1:06:07.000 --> 1:06:18.000]  Alex Jones coming to you live from the front lines of the info war.
[1:06:18.000 --> 1:06:21.000]  There's nothing more uncool than CNN.
[1:06:21.000 --> 1:06:23.000]  And we all know that.
[1:06:23.000 --> 1:06:26.000]  I'm not just making a statement here like I'm gone.
[1:06:26.000 --> 1:06:30.000]  I'm pointing out, hey, the screen behind me is blue.
[1:06:30.000 --> 1:06:31.000]  A little accent of pink.
[1:06:31.000 --> 1:06:34.000]  I'm wearing a brown shirt.
[1:06:34.000 --> 1:06:38.000]  If I wasn't, you'd say, you think I'm dumb?
[1:06:38.000 --> 1:06:40.000]  You got it.
[1:06:40.000 --> 1:06:41.000]  You're not dumb.
[1:06:41.000 --> 1:06:44.000]  You're smart.
[1:06:44.000 --> 1:06:45.000]  You understand.
[1:06:45.000 --> 1:06:47.000]  It's like electricity.
[1:06:47.000 --> 1:06:53.000]  People think of info wars as the top of the pyramid in this fight.
[1:06:53.000 --> 1:06:55.000]  We're not the top of the pyramid.
[1:06:55.000 --> 1:06:58.000]  We are the pyramid.
[1:06:58.000 --> 1:06:59.000]  Just like you.
[1:06:59.000 --> 1:07:01.000]  We're the top.
[1:07:01.000 --> 1:07:02.000]  We're the middle.
[1:07:02.000 --> 1:07:04.000]  We're the bottom.
[1:07:04.000 --> 1:07:05.000]  We're the outside.
[1:07:05.000 --> 1:07:06.000]  We're deep inside.
[1:07:06.000 --> 1:07:08.000]  We're everything.
[1:07:08.000 --> 1:07:11.000]  I love that line in 1984.
[1:07:11.000 --> 1:07:13.000]  They're taking Winston in.
[1:07:13.000 --> 1:07:16.000]  Ministry of Truth.
[1:07:16.000 --> 1:07:20.000]  The door opens and O'Brien walks in.
[1:07:20.000 --> 1:07:24.000]  And he says they got you.
[1:07:24.000 --> 1:07:27.000]  He says they got me a long time ago.
[1:07:27.000 --> 1:07:32.000]  You got it.
[1:07:32.000 --> 1:07:34.000]  Let's cruise fast.
[1:07:34.000 --> 1:07:38.000]  They did that in five seconds to pull that up.
[1:07:38.000 --> 1:07:40.000]  No, I'm not saying I'm the secret police.
[1:07:40.000 --> 1:07:41.000]  I'm the establishment.
[1:07:41.000 --> 1:07:43.000]  No.
[1:07:43.000 --> 1:07:45.000]  The opposite.
[1:07:45.000 --> 1:07:52.000]  I'm saying that we built this country on this planet.
[1:07:52.000 --> 1:07:56.000]  And people always say, look at how we're influencing things.
[1:07:56.000 --> 1:07:57.000]  People are listening to us.
[1:07:57.000 --> 1:08:01.000]  Yeah, of course they are.
[1:08:01.000 --> 1:08:07.000]  Because the fact that we're on air resisting, that itself is a revolutionary act.
[1:08:07.000 --> 1:08:14.000]  The fact that this even exists and is here is in defiance to everything the system wants.
[1:08:14.000 --> 1:08:18.000]  When I tell you that you're the info war and that your action, your word of mouth,
[1:08:18.000 --> 1:08:23.000]  your prayer, your financial support is incredible, it is.
[1:08:23.000 --> 1:08:29.000]  Because I don't ever push propaganda and disinformation.
[1:08:29.000 --> 1:08:34.000]  All right, I'm going to go to your phone calls.
[1:08:34.000 --> 1:08:36.000]  But I do have a clip I want to play.
[1:08:36.000 --> 1:08:40.000]  I think Senator Tom Cotton from when I've been in Senate committees watching him speak,
[1:08:40.000 --> 1:08:43.000]  when I've seen on C-SPAN, means well.
[1:08:43.000 --> 1:08:47.000]  And I understand the science of vaccines is real.
[1:08:47.000 --> 1:08:51.000]  I mean, you can take something artificially that's been attenuated.
[1:08:51.000 --> 1:08:55.000]  In a way, there is a smaller amount of it and learn how to defeat it.
[1:08:55.000 --> 1:08:58.000]  Like that's how the universe works.
[1:08:58.000 --> 1:09:02.000]  You get confronted with an obstacle and you learn how to overcome it.
[1:09:02.000 --> 1:09:04.000]  But there's so many side effects and so many other issues.
[1:09:04.000 --> 1:09:06.000]  Don't lie to people about it.
[1:09:06.000 --> 1:09:09.000]  So he's come out and said, we need a vaccine for the coronavirus.
[1:09:09.000 --> 1:09:13.000]  Well, yeah, it's killing a bunch of people and you find a vaccine for it.
[1:09:13.000 --> 1:09:15.000]  Give it to me.
[1:09:15.000 --> 1:09:19.000]  The problem is there's this whole background of secret testing with vaccines
[1:09:19.000 --> 1:09:23.000]  and vaccines having other tainted additives in it.
[1:09:23.000 --> 1:09:26.000]  And then when we talk about it, we're not supposed to be able to.
[1:09:26.000 --> 1:09:30.000]  Well, the Chinese or heroes questioning Xi Jinping, the news tells us.
[1:09:30.000 --> 1:09:32.000]  And Senator Cotton tells us.
[1:09:32.000 --> 1:09:36.000]  So that said, before I go to your calls, he's come out on national television.
[1:09:36.000 --> 1:09:37.000]  We'll play the clip right now.
[1:09:37.000 --> 1:09:42.000]  Senator Cotton demands Beijing prove coronavirus isn't a bio weapon.
[1:09:42.000 --> 1:09:45.000]  Last week he said that, but now he said it again.
[1:09:45.000 --> 1:09:52.000]  Well, we've got major institutes in Switzerland and in India and in Brazil
[1:09:52.000 --> 1:09:54.000]  and others that have now scanned the virus.
[1:09:54.000 --> 1:09:58.000]  And they said, man, this thing is a joke.
[1:09:58.000 --> 1:10:04.000]  What's that Johnny Cash song where he works at the plant,
[1:10:04.000 --> 1:10:06.000]  the Ford plant, the Chevy plant.
[1:10:06.000 --> 1:10:09.000]  He I got it one piece of a time.
[1:10:09.000 --> 1:10:11.000]  I didn't cost me a dime.
[1:10:11.000 --> 1:10:18.000]  What's the Johnny Cash song about stealing the car parts that that'll get Johnny Cash song about stealing car parts.
[1:10:18.000 --> 1:10:23.000]  The point is, is that when the car rolls out, it's all these different pieces of different cars.
[1:10:23.000 --> 1:10:26.000]  This damn thing is as funny as $3 bill.
[1:10:26.000 --> 1:10:28.000]  So what does that mean?
[1:10:28.000 --> 1:10:31.000]  Because I'd love to see a government response that's a bunch of hype so I could ignore it.
[1:10:31.000 --> 1:10:35.000]  That's usually our default is this is a bunch of hype like SARS.
[1:10:35.000 --> 1:10:39.000]  They're running around really freaked out like chickens with their heads cut off.
[1:10:39.000 --> 1:10:45.000]  And then you look at this man made, you go, OK, why would your man made something that doesn't work?
[1:10:45.000 --> 1:10:48.000]  So it looks bad.
[1:10:48.000 --> 1:10:50.000]  Yeah, one piece of the time is the name of the song.
[1:10:50.000 --> 1:10:54.000]  Maybe we can come back the next segment with Johnny Cash one piece of the time.
[1:10:54.000 --> 1:10:59.000]  This virus is a whole bunch of pieces.
[1:10:59.000 --> 1:11:00.000]  Well, what is that car?
[1:11:00.000 --> 1:11:08.000]  Well, it's a 51 52 53 54 55 56 57 59 automobile.
[1:11:08.000 --> 1:11:13.000]  I mean, this damn thing, I got it one piece of time.
[1:11:13.000 --> 1:11:15.000]  It didn't cost me a dime.
[1:11:15.000 --> 1:11:17.000]  So we're going to talk about all that right now.
[1:11:17.000 --> 1:11:20.000]  But let's play Senator Cotton.
[1:11:20.000 --> 1:11:25.000]  Another Arkansasian like Johnny Cash talking about this thing right now.
[1:11:25.000 --> 1:11:26.000]  Here it is.
[1:11:26.000 --> 1:11:34.000]  Although as you suggest, I'm afraid that the coronavirus could actually be the single biggest threat to both global and U.S. growth in this year.
[1:11:34.000 --> 1:11:40.000]  Senator, I just want to go back to the comments from the Chinese ambassador to the United States over the weekend.
[1:11:40.000 --> 1:11:41.000]  He said it's very harmful.
[1:11:41.000 --> 1:11:45.000]  It's very dangerous to stir up suspicion rumors and spread them among the people for one thing.
[1:11:45.000 --> 1:11:46.000]  This creates panic.
[1:11:46.000 --> 1:11:53.000]  Another thing is that it will fan up racial discrimination, xenophobia and all these things that will really harm our joint efforts to combat the virus.
[1:11:53.000 --> 1:11:57.000]  Obviously on the Intelligence Committee, you know more about what's happening.
[1:11:57.000 --> 1:12:01.000]  How how firm are you in your concerns about this?
[1:12:01.000 --> 1:12:04.000]  So I have two responses to the Chinese ambassador.
[1:12:04.000 --> 1:12:19.000]  One, the thing that really is harmful that really spreads fear is China lying about the origins of this disease and about the number of people who have it and excluding American and other western scientists from China to try to get to the bottom of it.
[1:12:19.000 --> 1:12:27.000]  Second, in terms of the claims of racism, the Chinese people are the first and the worst victims of the Chinese Communist Party.
[1:12:27.000 --> 1:12:38.000]  We should all hold them in our prayers and hope that we can get a vaccine because they are the people who are most harmed by the Chinese government's incompetence and duplicity.
[1:12:38.000 --> 1:12:50.000]  By the way, I'm really glad that the producer came in and gave me this text or this tweet.
[1:12:50.000 --> 1:12:58.000]  Because I got a few phone calls the last few days, you can probably imagine. We're pretty close to Roger Stone, as you can probably imagine.
[1:12:58.000 --> 1:13:09.000]  And they've said they want nine years in jail for Roger.
[1:13:09.000 --> 1:13:13.000]  In fact, guys, can you pull from Yes Face Stack? I never got to it.
[1:13:13.000 --> 1:13:21.000]  The judge wanted me arrested and the prosecutors wanted me arrested because I was going to talk about it yesterday and I got so busy with calls I didn't get to it.
[1:13:21.000 --> 1:13:31.000]  Then I had some phone calls last night this morning and there it is, seven to nine year prison sentence for Roger Stone.
[1:13:31.000 --> 1:13:40.000]  Trump's now calling that excessive. In fact, guys, I forgot, I actually sent some text messages to you guys overnight.
[1:13:40.000 --> 1:13:50.000]  At 5 a.m. when I woke up, I need Trump's tweets about this because Trump put a bunch of tweets out as well about this.
[1:13:50.000 --> 1:14:03.000]  So what I'm going to do is I'm going to take calls, but I want those Trump tweets and then I want to get those articles together with what the prosecutors said about myself and Roger.
[1:14:03.000 --> 1:14:10.000]  But they're saying he deserves more jail time than bank robbers for something he didn't even do.
[1:14:10.000 --> 1:14:20.000]  And then they're saying because I talked about he should be pardoned that that's breaking a gag order and so he deserves even more time in prison.
[1:14:20.000 --> 1:14:28.000]  But I do have exclusive information about Roger Stone and what the White House is planning to do.
[1:14:28.000 --> 1:14:34.000]  And here's the thing, I'm not going to go off half cocked right now and cover this.
[1:14:34.000 --> 1:14:42.000]  I'm glad they reminded me about this. So I just need Trump's tweets I sent this morning about Roger and how it's wrong.
[1:14:42.000 --> 1:14:47.000]  Now it's excessive and how it's out of control and who he was linking to.
[1:14:47.000 --> 1:14:58.000]  I need that whole stack of news that we printed yesterday or Sunday and I didn't cover Monday either where they're attacking me and the rest of because this is a big story.
[1:14:58.000 --> 1:15:08.000]  It's bigger than Roger Stone. The fact that they could demonize him and then say your associates said you should be pardoned.
[1:15:08.000 --> 1:15:15.000]  So now your jail sentence will be longer. It's just absolutely insane.
[1:15:15.000 --> 1:15:22.000]  Yeah, no, I know about the Chuck Ross tweet guys. It's hell. I'm going to rebroadcast my afternoon. It's not a big deal.
[1:15:22.000 --> 1:15:25.000]  It's it's it's it's Trump tweets last night about it.
[1:15:25.000 --> 1:15:30.000]  So we'll see if we're able to do that. We'll see what happens.
[1:15:30.000 --> 1:15:33.000]  And if I can get your shoes.
[1:15:33.000 --> 1:15:39.000]  Stack of news on that that they could tell maybe I just won't cover it. Maybe that's maybe I'm not supposed to cover it.
[1:15:39.000 --> 1:15:41.000]  Maybe that's what's supposed to happen here.
[1:15:41.000 --> 1:15:48.000]  I just don't cover it like give up give up give up give up give up.
[1:15:48.000 --> 1:15:55.000]  You're not going to get the tweets. You're not going to get the articles. You're not going to cover it.
[1:15:55.000 --> 1:16:01.000]  Finally, there's a way for you to get into the blockchain. The hottest financial sector without all the speculation.
[1:16:01.000 --> 1:16:11.000]  No, enjoy a 27% annualized payment each month without the ups and downs of Bitcoin seen on programs broadcast on Fox Business News.
[1:16:11.000 --> 1:16:17.000]  Blockchain data centers offer an equipment leasing program in the explosive digital asset marketplace inspired by entrepreneurs who sold picks and shovels during the gold rush.
[1:16:17.000 --> 1:16:22.000]  The money is in the mining equipment used to manufacture dozens of critical digital assets.
[1:16:22.000 --> 1:16:33.000]  Non-security IPO or note, blockchain data centers have a proven turnkey equipment sale leaseback program with a 27% annualized lease payment deposited into your bank account each month.
[1:16:33.000 --> 1:16:43.000]  Don't miss this one. Stake your claim today. Call 800-600-3388. That's 800-600-3388. These valuable lease contracts won't last long.
[1:16:43.000 --> 1:16:48.000]  Call now 800-600-3388. 800-600-3388.
[1:16:48.000 --> 1:16:55.000]  Equipment offer poses a financial risk to owners consult with financial professionals before purchasing not an offer to buy or sell a security which requires an offering document.
[1:16:55.000 --> 1:17:03.000]  I'm here with Scott Yousiam, founder of OMG Tax. Tell us how your company helps our listeners out there who have a problem with the IRS.
