[00:00.000 --> 00:26.000]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[42:35.000 --> 42:39.000]  Meanwhile, YouTube, you can find videos of people shooting each other and setting people on fire.
[42:39.000 --> 42:44.000]  That's okay with YouTube, but if you question the narrative, you will be targeted for termination.
[42:44.000 --> 42:47.000]  We'll be back with a special message from Alex Jones.
[42:47.000 --> 42:51.000]  You're listening to the Alex Jones show. Stay with us right after this break.
[43:17.000 --> 43:23.000]  Much like a cellular engine overhaul, because when your mitochondria don't run at 100% efficiency,
[43:23.000 --> 43:26.000]  then they start producing reactive oxygen species.
[43:26.000 --> 43:31.000]  Top scientists agree that aging is most likely caused by cellular damage,
[43:31.000 --> 43:34.000]  resulting from these reactive oxygen species.
[43:34.000 --> 43:39.000]  The antioxidants found in cell force are some of the most powerful available on the market.
[43:39.000 --> 43:45.000]  The stronger the antioxidant, the better its ability to scavenge for these reactive oxygen species
[43:45.000 --> 43:47.000]  and other free radicals.
[43:47.000 --> 43:52.000]  Boost, protect, and adapt with cell force from Infowars Life.
[43:52.000 --> 44:16.000]  Head to infowarslife.com or call 1-888-253-3139.
[44:22.000 --> 44:30.000]  Without the crash, Rain Force Plus is the next generation of advanced neural activation and new tropics.
[44:30.000 --> 44:38.000]  And now we've added a brand new ingredient called Black Pepper Fruit Extract that gives you an added kick.
[44:38.000 --> 44:45.000]  Other ingredients include vitamin B12 and neurological tonic and cognitive enhancers
[44:45.000 --> 44:51.000]  that will allow you to flip the switch and supercharge your state of mind.
[44:51.000 --> 44:54.000]  It's the real deal, Brain Force Plus.
[44:54.000 --> 45:00.000]  Secure your bottle right now at infowarsstore.com.
[45:00.000 --> 45:04.000]  Let's talk to Victor in Florida. Victor, you're calling? Go ahead.
[45:04.000 --> 45:10.000]  Yes, hi Alex. First, I just want to mention, if people just go and try the products,
[45:10.000 --> 45:12.000]  they will be ordering all the time.
[45:12.000 --> 45:17.000]  I've ordered several of the products over and over because it's amazing.
[45:17.000 --> 45:21.000]  In particular, silver bullet, as soon as I start to feel like I get a little sick,
[45:21.000 --> 45:28.000]  maybe like a little raffiness in my throat, I drop some silver bullet and I'll still feel a little sick,
[45:28.000 --> 45:33.000]  but it won't last as long. And I just ordered the body, the alpha power, and the pollen block.
[45:33.000 --> 45:37.000]  Well, let me just say something, Victor. It's people like you that then fund the whole operation
[45:37.000 --> 45:42.000]  because a very small percentage of people buy products and a very small percentage of them buy a lot of the products.
[45:42.000 --> 45:47.000]  So thank you, but when you mention the silver bullet, colloidal silver, it's got thousands of reviews,
[45:47.000 --> 45:52.000]  a 98% review. It is our highest reviewed product because it is from the top lab in the country,
[45:52.000 --> 45:55.000]  discounted high quality colloidal silver. It's not a silver bullet,
[45:55.000 --> 45:58.000]  but it's the closest thing you're going to find to a silver bullet.
[46:00.000 --> 46:05.000]  Maximize your potential and take your body back with super male vitality.
[46:05.000 --> 46:11.000]  We're breaking the conditioning and fighting back against the globalist's war on male vitality.
[46:11.000 --> 46:17.000]  Our ultimate non-GMO formula is sourced from powerful organic herbs that have been gathered from around the world
[46:17.000 --> 46:20.000]  and then concentrated for maximum potency.
[46:20.000 --> 46:27.000]  Super male vitality was developed to activate your body's natural processes instead of using synthetic chemicals.
[46:27.000 --> 46:31.000]  InfoWarsLife wants to bring you the highest quality products.
[46:31.000 --> 46:37.000]  Our unique combination of ingredients is designed to assist the body in regulating proper balance
[46:37.000 --> 46:41.000]  and creating superior vitality in males.
[46:41.000 --> 46:45.000]  Support your body and mind and take yourself to the next level.
[46:45.000 --> 46:48.000]  Boost your vitality and energize your life.
[46:48.000 --> 46:50.000]  Take control of your body.
[46:50.000 --> 46:55.000]  Grab a bottle of super male vitality today at infowarslife.com.
[46:55.000 --> 46:58.000]  That's infowarslife.com.
[46:58.000 --> 47:03.000]  You're listening to the Alex Jones show.
[47:13.000 --> 47:19.000]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[47:19.000 --> 47:33.000]  The American people and the people of the world are witnessing the globalist attempt to shut down free speech,
[47:33.000 --> 47:40.000]  not just in the U.S. but in any other country that still has pockets of basic freedom of expression left.
[47:40.000 --> 47:52.000]  And all I can say is, shame on the so-called leftist intelligentsia in the United States, in Europe, in the U.K., in Australia, New Zealand, Canada,
[47:52.000 --> 48:04.000]  for doing like leftists do in every other country in history since the leftist ideology was founded by the Jacobins in the 1700s in France.
[48:04.000 --> 48:12.000]  And that has set up a total and absolute tyranny over everyone coming into power, claiming they want to bring liberty,
[48:12.000 --> 48:16.000]  but always bringing abject slavery and oppression.
[48:16.000 --> 48:22.000]  Now, that said, we have seen incredible things happen the last month.
[48:22.000 --> 48:30.000]  We've seen CNN try to ban and try to block the publishing of a book on writing and working on Neil Strauss and openly admitting they are.
[48:30.000 --> 48:36.000]  We've seen CNN go after our sponsors, try to have our YouTube channel kicked off, they've been quarterbacking it.
[48:36.000 --> 48:46.000]  We've seen thousands and thousands of articles saying things about enforcers that are true to set the precedent to ban us from the Internet.
[48:46.000 --> 48:52.000]  And we see Apple now moving into communist China saying they're going to adopt their rules of censorship worldwide.
[48:52.000 --> 48:55.000]  These are very, very dangerous times.
[48:55.000 --> 49:04.000]  And now we've seen all these fake fraudulent EEOC complaints, we've seen all the fake lawsuits, it goes on and on,
[49:04.000 --> 49:12.000]  with a new crowning one just yesterday filed by the reported creator of Pepe the Frog.
[49:12.000 --> 49:16.000]  This individual has sued Mike Cernovich, he's now suing me.
[49:16.000 --> 49:25.000]  Mike Cernovich created a meme with a frog dancing behind Hillary Clinton in one of the debates.
[49:25.000 --> 49:31.000]  Now, that's total fair use, that's total freedom of speech, it's political speech, it's totally protected.
[49:31.000 --> 49:34.000]  He could have had Bugs Bunny dancing around behind him.
[49:34.000 --> 49:36.000]  It's free speech, it's political speech.
[49:36.000 --> 49:40.000]  I've talked to the lawyers, I've been in the media 20-something years, I know what's going on.
[49:40.000 --> 49:46.000]  It's not real, but it doesn't matter because then they can just have big press releases with the lawsuits
[49:46.000 --> 49:52.000]  saying Pepe the Frog is not associated with white supremacists like Mike Cernovich and Alex Jones
[49:52.000 --> 49:55.000]  when we're not white supremacists, anybody that knows us knows that.
[49:55.000 --> 50:01.000]  But it's a way to run the headline everywhere and then mention the merchandise of the frog that the individual sells.
[50:01.000 --> 50:06.000]  I mean, does he think Warner Brothers is going to come after him for the dancing frog?
[50:06.000 --> 50:11.000]  They've had since the 50s, hello my baby, hello my darling, hello my ragtime girl.
[50:11.000 --> 50:13.000]  Remember that guy, Saturday morning cartoons, the frog?
[50:13.000 --> 50:15.000]  Looks a lot like Pepe to me.
[50:15.000 --> 50:19.000]  The point is, oh, Kermit the Frog, did you steal it from Kermit?
[50:19.000 --> 50:23.000]  Reportedly the guy doesn't want Gab using the image of a frog.
[50:23.000 --> 50:25.000]  It's incredible.
[50:25.000 --> 50:27.000]  But that's what modern leftists do.
[50:27.000 --> 50:32.000]  They destroy free speech, they destroy communication, they destroy the free flow of ideas.
[50:32.000 --> 50:34.000]  It's what they do.
[50:34.000 --> 50:36.000]  So this individual went one further though.
[50:36.000 --> 50:43.000]  He followed the lawsuit on us saying we create and sell a poster with Pepe the Frog on it.
[50:43.000 --> 50:48.000]  And what it is, is a bunch of symbols and individuals from the 2016 campaign
[50:48.000 --> 50:53.000]  that an artist that sells his work online created who contacted us and said,
[50:53.000 --> 50:54.000]  do you want to sell some of these?
[50:54.000 --> 50:56.000]  It's been an okay seller, not a big seller.
[50:56.000 --> 50:59.000]  In fact, we weren't planning to reorder it because it's from 2016.
[50:59.000 --> 51:05.000]  So the last ones that we have are available right now at infowarstore.com
[51:05.000 --> 51:07.000]  and I'm going to sign the last 100.
[51:07.000 --> 51:11.000]  And not because this guy's suing me, it's not been that good of a seller.
[51:11.000 --> 51:15.000]  It's not been, I don't want to run it down, but it's, I want to call it a dud
[51:15.000 --> 51:16.000]  but it hadn't been that big a seller.
[51:16.000 --> 51:18.000]  I'll leave it at that.
[51:18.000 --> 51:23.000]  So imagine you buy a thousand books from somebody
[51:23.000 --> 51:26.000]  and then somebody else later claims that you violated their trademark
[51:26.000 --> 51:29.000]  because they're saying that somebody plagiarized them
[51:29.000 --> 51:31.000]  and they're saying you're the plagiarer
[51:31.000 --> 51:33.000]  because you're selling somebody else's book.
[51:33.000 --> 51:39.000]  It hasn't even been adjudicated in court that indeed the guy that made these posters
[51:39.000 --> 51:41.000]  violated this other person's trademark
[51:41.000 --> 51:46.000]  because he put an image of a frog in a larger montage, which is totally protected.
[51:46.000 --> 51:48.000]  It hasn't even been proven.
[51:48.000 --> 51:55.000]  So then you go after me and put in the news that we are promoting Pepe as a white supremacist
[51:55.000 --> 51:59.000]  because we're the alt-right when we're the new right, by the way.
[51:59.000 --> 52:01.000]  We put that out two years ago.
[52:01.000 --> 52:03.000]  It's just next level garbage.
[52:03.000 --> 52:07.000]  But see then, folks know if they sue me, they'll get a bunch of PR
[52:07.000 --> 52:10.000]  and they'll get a bunch of coverage and they can put into the PR
[52:10.000 --> 52:13.000]  whatever disinformation and defamation they want.
[52:13.000 --> 52:14.000]  It's a formula.
[52:14.000 --> 52:17.000]  We figured this out earlier last year.
[52:17.000 --> 52:18.000]  So here's the thing.
[52:18.000 --> 52:22.000]  I'm not a litigious person, but I have to start suing people
[52:22.000 --> 52:24.000]  that file false complaints or do this.
[52:24.000 --> 52:29.000]  And so when I get back from vacation, these individuals rack themselves up
[52:29.000 --> 52:34.000]  for another group to be put on the list for what we're launching in the next month.
[52:34.000 --> 52:38.000]  And I'm not a litigious person, but we've got to stand up for the free speech.
[52:38.000 --> 52:40.000]  We know the formula that's being used for the Democrats and their lawyers
[52:40.000 --> 52:44.000]  and we've got to stand up because they're not going to stop as long as we lay down.
[52:44.000 --> 52:46.000]  This is just like authoritarian throughout history.
[52:46.000 --> 52:53.000]  King George, Hitler, the Soviet Union, this is really serious and it's for all the marbles.
[52:53.000 --> 52:58.000]  And so we have to take action, but that takes money, not just to defend but go on the offense.
[52:58.000 --> 53:01.000]  But once we've gotten rulings against a couple of these groups,
[53:01.000 --> 53:04.000]  and I've got the lawyers lined up, God, I've got them lined up around the block ready.
[53:04.000 --> 53:09.000]  A lot of top names ready to even go pro bono, but I got to pay for flying people around.
[53:09.000 --> 53:10.000]  I got to pay for transcripts.
[53:10.000 --> 53:15.000]  I got to pay for the people that sit there and take the transcript, the court reporters.
[53:15.000 --> 53:17.000]  I mean, there's going to be court costs involved.
[53:17.000 --> 53:19.000]  So it won't be in these suits, millions.
[53:19.000 --> 53:24.000]  There's going to be hundreds of thousands per prosecuting this over several years with each case.
[53:24.000 --> 53:28.000]  So I'm looking at about a half million to carry out at least two of these suits right now.
[53:28.000 --> 53:32.000]  So please think about InfoWarsStore.com, InfoWarsLife.com.
[53:32.000 --> 53:35.000]  And with the biggest sales we've ever had, 30 to 80% extended through this week,
[53:35.000 --> 53:36.000]  but a lot of stuff is selling out.
[53:36.000 --> 53:39.000]  So some of the sales are dropping off as the products sell out,
[53:39.000 --> 53:43.000]  but great supplements, great air filtration, great water filtration, great books, great videos.
[53:43.000 --> 53:44.000]  You name it.
[53:44.000 --> 53:47.000]  And think about Mike Adams who's hosting today.
[53:47.000 --> 53:49.000]  Mike has sites as big as InfoWars.
[53:49.000 --> 53:52.000]  He's one of the top health guys in the world.
[53:52.000 --> 53:54.000]  His site's from the top five.
[53:54.000 --> 53:55.000]  He's been sued.
[53:55.000 --> 53:56.000]  He's been attacked.
[53:56.000 --> 54:00.000]  He had his YouTube channel with nothing but health news on it banned last week.
[54:00.000 --> 54:01.000]  I haven't talked to him in a few days.
[54:01.000 --> 54:04.000]  I don't know if it's been restored, but that happened to thousands of people.
[54:04.000 --> 54:05.000]  That really happened.
[54:05.000 --> 54:08.000]  But right now the Washington Post is running around saying none of that happened,
[54:08.000 --> 54:10.000]  and that we just made it all up.
[54:10.000 --> 54:13.000]  And that we're these great evil geniuses that know how to fool people.
[54:13.000 --> 54:15.000]  And boy, we hoaxed everybody.
[54:15.000 --> 54:17.000]  No, we have all the articles.
[54:17.000 --> 54:18.000]  We have all the statements.
[54:18.000 --> 54:19.000]  We have it all.
[54:19.000 --> 54:20.000]  We have our sites shut down over and over again.
[54:20.000 --> 54:24.000]  And then they turn them back on and they go, oh, look, they're crying wolf.
[54:24.000 --> 54:25.000]  And this is why they're doing that.
[54:25.000 --> 54:26.000]  Here's the key.
[54:26.000 --> 54:27.000]  We'll go back to Mike Adams.
[54:27.000 --> 54:32.000]  Here's the key because it's tyrannical to shut people's speech down.
[54:32.000 --> 54:35.000]  Americans still have instincts and memories of freedom of speech.
[54:35.000 --> 54:39.000]  And it's so villainous that it turns whoever they're censoring into heroes.
[54:39.000 --> 54:41.000]  So that's why they want to have their take and eat at two.
[54:41.000 --> 54:45.000]  And they think you have no memory, no attention span.
[54:45.000 --> 54:50.000]  And so they're going to sit there and try to ban everybody and then unban us until you get tired of hearing about it.
[54:50.000 --> 54:53.000]  And then the next time they ban us, everybody just moves along.
[54:53.000 --> 54:58.000]  They're counting on you getting tired and going away so they can steal your birthright and steal your speech.
[54:58.000 --> 55:00.000]  Thank you all for your support.
[55:00.000 --> 55:03.000]  We are going on the offense because the best defense is a good offense.
[55:03.000 --> 55:12.000]  It's infowarstore.com, infowarslife.com, or AAA-253-3139, but without you we cannot stand against this, ladies and gentlemen.
[55:12.000 --> 55:14.000]  And so thank you all for your support.
[55:14.000 --> 55:15.000]  We're doing this together.
[55:15.000 --> 55:18.000]  We're going to win, but it's very, very, very, very serious.
[55:18.000 --> 55:24.000]  And again, it's all totally anti-American attacks on free speech to shut down their political opposition,
[55:24.000 --> 55:30.000]  to label us things we aren't Nazis and people that say no kids died and say that we're making fun of people.
[55:30.000 --> 55:34.000]  And just all these lies, they want to delete our channels so we can't even respond.
[55:34.000 --> 55:35.000]  All right, I'm going to stop breaking in here.
[55:35.000 --> 55:37.000]  Back to Mike Adams on the live transmission.
[55:37.000 --> 55:40.000]  Please spread the live video links wherever you're watching.
[55:40.000 --> 55:41.000]  Tell folks about our local affiliates.
[55:41.000 --> 55:42.000]  Support them.
[55:42.000 --> 55:43.000]  Become sponsors.
[55:43.000 --> 55:44.000]  This is an information war.
[55:44.000 --> 55:50.000]  And it takes people giving time and energy, but also spreading articles and videos and financial support to win.
[55:50.000 --> 55:54.000]  But you're all behind us because you understand it's your future just as much as ours.
[55:54.000 --> 55:55.000]  We're in this together.
[55:55.000 --> 55:59.000]  So please, I thank you all and I salute you for what you've done.
[55:59.000 --> 56:00.000]  Don't thank me.
[56:00.000 --> 56:03.000]  I'm thanking you because we're all in this together.
[56:03.000 --> 56:05.000]  What's unique about what Alex just described.
[56:05.000 --> 56:08.000]  I mean, this is a playbook that has happened throughout history.
[56:08.000 --> 56:15.000]  The totalitarian takeover attempt of all information sources of taking away people's Second Amendment rights.
[56:15.000 --> 56:17.000]  Well, I mean, just firearms in other countries.
[56:17.000 --> 56:19.000]  You wouldn't call it Second Amendment in those other nations.
[56:19.000 --> 56:24.000]  But this idea of just taking over countries and installing totalitarian regimes.
[56:24.000 --> 56:28.000]  This is the radical left wing, communist, Marxist playbook.
[56:28.000 --> 56:32.000]  But what's different today is that Infowars is here.
[56:32.000 --> 56:36.000]  What's different is that people are willing to stand up and fight back.
[56:36.000 --> 56:40.000]  And with your support, that is effective.
[56:40.000 --> 56:45.000]  I mean, think about why are they targeting Infowars because Infowars is influential.
[56:45.000 --> 56:54.000]  You know, I was thinking just last night about there are multi-billionaires in Wall Street who don't have anywhere near the influence of Alice Jones.
[56:54.000 --> 56:59.000]  Alice Jones isn't a billionaire, but he's got the reach that is beyond multi-billionaires.
[56:59.000 --> 57:03.000]  But he needs your support in order to win this fight.
[57:03.000 --> 57:07.000]  You know, right now, store sales are the currency of freedom.
[57:07.000 --> 57:11.000]  So definitely go to Infowarsstore.com, definitely support this fight.
[57:11.000 --> 57:19.000]  We are lucky to have someone like Alice Jones standing up with the courage to not be bullied, to not be lied about, to fight back and tell the truth.
[57:19.000 --> 57:24.000]  We are lucky to be part of this epic fight for human history, human civilization.
[57:24.000 --> 57:26.000]  Everything is at stake right now.
[57:26.000 --> 57:33.000]  So support this fight, Infowarsstore.com, and just support us by sharing all of our content myself as well.
[57:33.000 --> 57:37.000]  You know, I'm under attack. Alex is under attack. Jim Hoft is under attack.
[57:37.000 --> 57:40.000]  He's coming up in the next hour, by the way. We're all under attack.
[57:40.000 --> 57:42.000]  This is real. This is happening.
[57:42.000 --> 57:49.000]  Join the Infowar and free our minds once and for all.
[57:49.000 --> 57:52.000]  Mike in Arizona, you're on the air worldwide. Go ahead.
[57:52.000 --> 57:54.000]  Oh, Alex, you can rent any day of the week.
[57:54.000 --> 58:04.000]  Thank you, sir, for doing what you do and being a patriot and doing your best to save America and encouraging us as fellow patriots to do that in our local areas as well.
[58:04.000 --> 58:11.000]  And as a longtime Infowars listener, I want to say thanks for the awesome brain force, Anthroplex.
[58:11.000 --> 58:13.000]  My girlfriend would like to say thanks for the Anthroplex.
[58:13.000 --> 58:14.000]  Thank you.
[58:14.000 --> 58:19.000]  I use the Biotru Selenium, the super blue toothpaste for you folks who aren't big normal toothpaste fans.
[58:19.000 --> 58:24.000]  The super blue is awesome. And thank you so much, Alex, for the Infowars Life products.
[58:24.000 --> 58:30.000]  They are quality. I can't wait to get some more. And thank you so much for doing that for us to keep us healthy.
[58:30.000 --> 58:31.000]  Absolutely.
[58:31.000 --> 58:39.000]  Because then we could all, as educated patriots, help our other countrymen and women understand that there's bigger problems going on.
[58:39.000 --> 58:44.000]  And if we can get our houses in order and be good to each other and ourselves, we can take our country back.
[58:50.000 --> 58:54.000]  You know, I've got some talking points here about Caveman from infowarslife.com.
[58:54.000 --> 58:58.000]  But instead of going with those talking points, let me just give you what I've experienced personally.
[58:58.000 --> 59:03.000]  From all the wives, tales and every culture, we know that the bones have the essence.
[59:03.000 --> 59:06.000]  We know chicken noodle soup is great for people that are sick.
[59:06.000 --> 59:10.000]  Again, in every culture, this has been reported because it works.
[59:10.000 --> 59:14.000]  And there's no way to quantify how strong this is.
[59:14.000 --> 59:23.000]  But the amount of bone protein and the amount of marrow and the amount of concentrated life force that is in this is incredible.
[59:23.000 --> 59:31.000]  Ladies and gentlemen, whether it's for your joints, whether it's for your arteries and your veins, whether it's for your brain, whether it's for energy.
[59:31.000 --> 59:38.000]  This, ladies and gentlemen, is the strongest, most concentrated bone broth formula out there.
[59:38.000 --> 59:40.000]  And it's amazing.
[59:40.000 --> 59:44.000]  Find out for yourself today at infowarsstore.com, what it could do for your family.
[59:44.000 --> 59:46.000]  And again, I want to thank you all for your support.
[59:46.000 --> 01:00:01.000]  And for funding the Information War in 2018.
[01:00:16.000 --> 01:00:25.000]  From the front lines of the Information War, it's Alex Jones.
[01:00:25.000 --> 01:00:27.000]  You're listening to the Alex Jones show.
[01:00:27.000 --> 01:00:29.000]  This is Mike Adams, the health ranger filling in today.
[01:00:29.000 --> 01:00:32.000]  We've got an exciting second hour coming up for you.
[01:00:32.000 --> 01:00:37.000]  We'll be interviewing Jim Hoff from the Gateway Pundit, who has also been targeted with extreme censorship.
[01:00:37.000 --> 01:00:45.000]  And in this short segment here, I want to bring your attention to the fact that everyone who is associated with infowars is being attacked and bullied
[01:00:45.000 --> 01:00:46.000]  and censored.
[01:00:46.000 --> 01:00:51.000]  And Paul Joseph Watson, of course, is one of those people now being bullied and attacked by CNN,
[01:00:51.000 --> 01:00:54.000]  which has become the fake news bully network, really.
[01:00:54.000 --> 01:00:57.000]  Maybe it should be BNN for bully news network.
[01:00:57.000 --> 01:01:00.000]  But Paul has a really good segment here.
[01:01:00.000 --> 01:01:02.000]  I want to give you a listen to a couple of minutes of it.
[01:01:02.000 --> 01:01:05.000]  So go ahead and roll that segment. We'll come back in.
[01:01:05.000 --> 01:01:08.000]  Yours truly has come under attack from CNN.
[01:01:08.000 --> 01:01:12.000]  They say, wait for it, they say I'm not mainstream.
[01:01:12.000 --> 01:01:18.000]  I appeared on Breitbart Radio and CNN's senior media reporter responded with this.
[01:01:18.000 --> 01:01:21.000]  I'm old enough to remember when Breitbart was trying to go mainstream.
[01:01:21.000 --> 01:01:22.000]  Guess they gave up.
[01:01:22.000 --> 01:01:25.000]  What exactly is mainstream these days?
[01:01:25.000 --> 01:01:28.000]  I mean, I know I come out with some edgy opinions from time to time,
[01:01:28.000 --> 01:01:32.000]  but I could never compete with CNN as saying something offensive.
[01:01:32.000 --> 01:01:36.000]  Then there's heaping praise on somebody who represents a brutal dictatorship
[01:01:36.000 --> 01:01:40.000]  that incarcerates tortures and executes hundreds of thousands of political dissidents.
[01:01:40.000 --> 01:01:41.000]  That's pretty edgy.
[01:01:41.000 --> 01:01:44.000]  Is that what constitutes being mainstream now?
[01:01:44.000 --> 01:01:49.000]  Genuflecting in front of a despotic regime that starves its own population to death.
[01:01:49.000 --> 01:01:51.000]  So mainstream.
[01:01:51.000 --> 01:01:53.000]  Now, correct me if I'm wrong, but last time I checked,
[01:01:53.000 --> 01:01:58.000]  I don't think infowars or Breitbart were thawning over a country that has no independent media
[01:01:58.000 --> 01:02:01.000]  functioning civil society or religious freedom.
[01:02:01.000 --> 01:02:03.000]  That's CNN's job.
[01:02:03.000 --> 01:02:10.000]  So mainstream.
[01:02:10.000 --> 01:02:13.000]  Maybe I'd be more mainstream if I encouraged cock-holdry.
[01:02:13.000 --> 01:02:15.000]  Apparently that's mainstream now too.
[01:02:15.000 --> 01:02:18.000]  But you know, when your prime time shows get less viewers
[01:02:18.000 --> 01:02:21.000]  than decades-old reruns of yogi bear cartoons,
[01:02:21.000 --> 01:02:23.000]  I guess you gotta spice it up a bit.
[01:02:23.000 --> 01:02:27.000]  Nah, I went on to heap praise on one of the world's leading conspiracy theorists
[01:02:27.000 --> 01:02:30.000]  describing him as a smart guy and someone who is wildly popular.
[01:02:30.000 --> 01:02:32.000]  Second half of that, I'm not gonna argue with,
[01:02:32.000 --> 01:02:35.000]  but calling me one of the world's leading conspiracy theorists.
[01:02:35.000 --> 01:02:37.000]  Don't know if you've noticed,
[01:02:37.000 --> 01:02:41.000]  but in virtually every video I've made about big events for the past three years,
[01:02:41.000 --> 01:02:43.000]  I've debunked conspiracy theories.
[01:02:43.000 --> 01:02:47.000]  Here, here, here, here, here, here, here.
[01:02:47.000 --> 01:02:50.000]  Did I believe in some pretty out-there conspiracy theories?
[01:02:50.000 --> 01:02:51.000]  Let's bring it back in 10 seconds.
[01:02:51.000 --> 01:02:52.000]  Yeah, then I grew up.
[01:02:52.000 --> 01:02:57.000]  See, there's quite a big difference between my conspiracy theories and those pushed by CNN.
[01:02:57.000 --> 01:03:02.000]  I didn't help promote the conspiracy theory that Saddam Hussein had weapons of mass destruction.
[01:03:02.000 --> 01:03:06.000]  Conspiracy theory that led to hundreds of thousands of dead people.
[01:03:06.000 --> 01:03:08.000]  That's Paul Joseph Watson there.
[01:03:08.000 --> 01:03:10.000]  I had to cut it off there because of the time limitations.
[01:03:10.000 --> 01:03:13.000]  If you see me looking up that way, I'm just looking at the show clock.
[01:03:13.000 --> 01:03:16.000]  I don't have it all memorized here because I don't do this every day.
[01:03:16.000 --> 01:03:18.000]  But Paul Joseph Watson makes excellent points there.
[01:03:18.000 --> 01:03:22.000]  I really recommend that you watch that video at infowars.com.
[01:03:22.000 --> 01:03:25.000]  And the thing is, they can't stand someone like Paul Joseph Watson,
[01:03:25.000 --> 01:03:31.000]  or they can't stand someone like me or Jim Hoft who we're going to talk to in just a few minutes here.
[01:03:31.000 --> 01:03:35.000]  Because, I mean, right there, Paul Joseph Watson, he's being a little satirical.
[01:03:35.000 --> 01:03:37.000]  He's funny. We all do a little bit of humor on the side.
[01:03:37.000 --> 01:03:42.000]  But when it comes down to it, we are the ones who have the logic, the reason, the historical facts
[01:03:42.000 --> 01:03:47.000]  that can counter the delusional nonsense of the left.
[01:03:47.000 --> 01:03:50.000]  The left wants you to believe in things that absolutely are not true.
[01:03:50.000 --> 01:03:54.000]  They want to make sure that things that are true, you think they're conspiracy theories
[01:03:54.000 --> 01:03:58.000]  and then they want you to believe falsehoods as if they were facts.
[01:03:58.000 --> 01:04:02.000]  That's the twisting that they do, and so they cannot have dissenting voices.
[01:04:02.000 --> 01:04:07.000]  Like Paul Joseph Watson, who is, frankly, he's a YouTube superstar, right?
[01:04:07.000 --> 01:04:12.000]  I mean, he's got really millions of followers across all social media plus video platforms.
[01:04:12.000 --> 01:04:17.000]  He's a superstar for pointing out the hypocrisy and the contradictions of the left.
[01:04:17.000 --> 01:04:19.000]  And that's why info wars is popular.
[01:04:19.000 --> 01:04:25.000]  Do you realize that info wars, if it were not suppressed, it would be, by far,
[01:04:25.000 --> 01:04:29.000]  the largest media organization in America? No joke.
[01:04:29.000 --> 01:04:33.000]  And it's probably right up there, you know, in the top few right now,
[01:04:33.000 --> 01:04:35.000]  even with all the censorship that's going on.
[01:04:35.000 --> 01:04:38.000]  We're going to come back with Jim Hoff from the Gateway Pundit.
[01:04:38.000 --> 01:04:40.000]  A fascinating interview coming right up.
[01:04:40.000 --> 01:04:42.000]  This is Mike Adams here on the Alex Jones show.
[01:04:42.000 --> 01:04:49.000]  Thank you for joining us. Stay with us. We'll be right back after this break.
[01:05:12.000 --> 01:05:16.000]  Mike has been used for thousands of years and is one of the most studied herbals today.
[01:05:16.000 --> 01:05:20.000]  It is well known in traditional medicine for its soothing properties.
[01:05:20.000 --> 01:05:25.000]  Our pure turmeric extract plus peppering from black pepper makes for optimal absorption
[01:05:25.000 --> 01:05:31.000]  to help boost and support your flexibility, mobility, joint function, immune system, and so much more.
[01:05:31.000 --> 01:05:36.000]  Regular turmeric root from the store only contains one to five percent of active ingredients.
[01:05:36.000 --> 01:05:41.000]  But our turmeric root extract contains over 95 percent of the active ingredients.
[01:05:41.000 --> 01:05:47.000]  Bodies combines turmeric with organic herbs such as spearmint, sage, lemon balm, and thyme
[01:05:47.000 --> 01:05:50.000]  to work synergistically for full body support.
[01:05:50.000 --> 01:06:12.000]  Try bodies today at infowarslife.com or call us at 1-88-253-3139.
[01:06:21.000 --> 01:06:23.000]  You're listening to the Alex Jones show.
[01:06:23.000 --> 01:06:26.000]  This is Mike Adams, the health ranger of naturalnews.com.
[01:06:26.000 --> 01:06:28.000]  Filling in today, thank you for joining us.
[01:06:28.000 --> 01:06:35.000]  Just to tell you how popular Infowars is, my phone has been blowing up with text from everybody who knows me
[01:06:35.000 --> 01:06:38.000]  who's like, oh, you're hosting the Alex Jones show.
[01:06:38.000 --> 01:06:40.000]  Yeah, thanks for watching.
[01:06:40.000 --> 01:06:44.000]  But it just goes to show you how effective and how popular Infowars has become.
[01:06:44.000 --> 01:06:48.000]  Now, coming up, we're going to be joined by Jim Hoff from the Gateway Pundit.
[01:06:48.000 --> 01:06:51.000]  Jim has also been targeted by extreme censorship.
[01:06:51.000 --> 01:06:56.000]  And he's documented in many of the cases of censorship of conservative websites.
[01:06:56.000 --> 01:06:57.000]  And he's got a lot to offer.
[01:06:57.000 --> 01:06:59.000]  We're going to be talking to him shortly.
[01:06:59.000 --> 01:07:00.000]  But first, some headlines.
[01:07:00.000 --> 01:07:08.000]  NRA membership is surging now in the wake of the gun control agenda push following the Parkland shooting.
[01:07:08.000 --> 01:07:10.000]  So once again, it's backfiring.
[01:07:10.000 --> 01:07:13.000]  People are now recognizing that their guns are...
[01:07:13.000 --> 01:07:15.000]  There's an attempt to confiscate your guns.
[01:07:15.000 --> 01:07:18.000]  That's another thing that the left-wing media says, oh, that's not true.
[01:07:18.000 --> 01:07:19.000]  It's not real.
