[00:03.000 --> 00:10.800]  Crashing through the lies and disinformation it's Alex Jones on the GCN radio network
[40:15.660 --> 40:17.660]  But almost like a stress reliever
[40:17.820 --> 40:19.820]  Or a way to break the ice
[40:19.980 --> 40:24.540]  He will sit there and a lot of times actually deprecate himself as well
[40:24.540 --> 40:26.540]  You know call himself retarded
[40:27.340 --> 40:29.340]  Call himself names
[40:29.500 --> 40:34.540]  I'm not defending any of this, but we've all known high powered people that have to focus all the time
[40:35.180 --> 40:37.580]  That sometimes we're letting off steam act pretty stupid
[40:38.300 --> 40:39.980]  I don't personally do it
[40:39.980 --> 40:41.580]  in those ways
[40:41.580 --> 40:45.180]  But I do act silly sometimes, but I'm not even getting into all of that
[40:45.660 --> 40:48.460]  The point is is that they would have already released this tape
[40:49.500 --> 40:51.500]  If it was real
[40:51.500 --> 40:56.220]  Previously during the election, if it is quote real
[40:56.860 --> 40:59.260]  The word is it's so heavily edited
[41:00.300 --> 41:02.300]  with jump cuts
[41:02.300 --> 41:06.220]  That it's just like when people take stuff I've said and edit it together and take it out of context
[41:07.100 --> 41:09.340]  Now if he did ever use the n-word
[41:10.460 --> 41:16.140]  Even in any context, it's not right because people can then use it and basically twist it
[41:17.340 --> 41:18.700]  but
[41:18.700 --> 41:20.700]  It's used as a power word
[41:20.700 --> 41:26.140]  But frankly growing up where I heard it used was by black folks. I was always offended by it personally
[41:26.940 --> 41:28.300]  just because
[41:28.300 --> 41:30.300]  I was basically brought up that
[41:31.020 --> 41:34.380]  Putting people down for what groups are part of is what losers do
[41:35.100 --> 41:37.100]  But regardless of that
[41:38.460 --> 41:44.060]  Trump is trying to cut the taxes. He's trying to bring jobs back. He's already bringing jobs back to Detroit
[41:44.380 --> 41:47.100]  Who does that help? It helps everybody particularly it helps black people
[41:47.740 --> 41:49.740]  Trump's trying to cut prescription drug costs
[41:49.740 --> 41:56.700]  Trump's already bringing back hundreds of billions of dollars jobs. Trump is actually focusing on these communities. See Obama
[41:57.180 --> 42:00.220]  Didn't care because he knew he had the black communities
[42:00.780 --> 42:02.780]  With trump. He's actually trying to work
[42:03.020 --> 42:09.340]  To go out and empower these communities and actually deliver and actually take these communities away from the democratic party
[42:09.580 --> 42:15.580]  By making them prosperous and successful. That's steven bannon's plan. That's trump's plan. That's the real plan
[42:15.580 --> 42:19.020]  And that's why the media is invoking race so much
[42:19.900 --> 42:21.740]  is because
[42:21.740 --> 42:23.740]  That they want that to be the new
[42:24.460 --> 42:26.460]  national identity
[42:26.460 --> 42:28.060]  They want that to be
[42:28.060 --> 42:33.420]  What you have as a pastime is obsessing over what color you are which on martin lucer king day
[42:34.220 --> 42:36.220]  We should have all asked ourselves
[42:36.540 --> 42:42.540]  How have we turned things upside down the very people the claim they love martin lucer king all day in the control media
[42:43.260 --> 42:45.260]  They're the very ones
[42:45.260 --> 42:48.940]  That are doing the opposite of he said he said we should be in a color-blind society
[42:49.260 --> 42:55.100]  And judge people off of the character of their deeds and what to actually stand for not off of what group they're in
[42:55.500 --> 43:01.580]  So this is clear divide and conquer and again this nation is majority minority in most areas
[43:01.660 --> 43:05.020]  It'll soon be a hundred percent, you know, uh in every state
[43:05.500 --> 43:12.300]  Uh, the minorities are the quote majority. Okay, it'll soon be in every state all 50
[43:12.300 --> 43:20.540]  They don't want you to have the birthright of the second amendment and private property and family values and free association
[43:21.020 --> 43:23.020]  They want to invoke race
[43:23.020 --> 43:25.020]  And then tie it to everything good
[43:25.500 --> 43:30.460]  Everything successful and everything independent to totally and completely
[43:31.100 --> 43:36.540]  Dominate and control your life. I know I've talked about this a lot, but let me get back to the big issue here
[43:36.540 --> 43:45.100]  This is part of a concerted effort and I've been telling you it was coming that in the days leading up to trump's inauguration
[43:45.740 --> 43:50.940]  That we would hear about all this supposed new dirt that was about to come out that we would hear for calls for impeachment
[43:51.260 --> 43:53.100]  And now you're seeing it happen
[43:53.100 --> 43:58.380]  And then you see all the massive funding for the race-based groups like black lives matter and other sorrows groups
[43:58.860 --> 44:00.140]  converging
[44:00.140 --> 44:01.740]  on dc
[44:01.740 --> 44:08.060]  And people meeting in dc restaurants have been caught on tape openly talking about putting acid gas into
[44:08.700 --> 44:11.660]  Air conditioning systems and and and and assaulting people
[44:12.380 --> 44:16.220]  This is all part of the preparation for a triggering event
[44:16.620 --> 44:22.700]  That's going to be race-based in the next few days and it could be this mbc tape edited made up
[44:23.340 --> 44:25.100]  Who knows I mean
[44:25.100 --> 44:28.300]  Look, I mean, I wouldn't saw star wars of the new movie
[44:29.580 --> 44:30.940]  Rogue one
[44:30.940 --> 44:34.220]  And princess leo was back in it governor tarkin was back in it
[44:34.860 --> 44:40.460]  They're coming out reportedly with movies with john wane where he returns and basically stars the whole movie himself
[44:41.420 --> 44:45.100]  They can edit and do whatever they want. I'm not saying that's happening here
[44:45.660 --> 44:49.980]  I'm saying they would have already released this. It was so damning and the word is
[44:50.860 --> 44:56.220]  Not from our source but from others that have talked about this supposed tape is again. It's second long edited together
[44:56.220 --> 45:02.620]  Jump cuts that they're scared to release because they know it's edited out of context, but but let's just move on from that
[45:04.380 --> 45:05.980]  Trump
[45:05.980 --> 45:09.100]  If this comes out and they've twisted or they're demonizing him
[45:09.660 --> 45:15.260]  These are just own the whole deal and say that people sit around they joke around they try to be shocking
[45:15.740 --> 45:19.820]  You know, it's wrong that he did it, but that he was already making up
[45:19.820 --> 45:26.140]  For things like that and and things that have happened in the past that other people have done that's wrong
[45:26.300 --> 45:31.820]  But really trying to focus on truly empowering all the communities in this country and bringing people together
[45:32.220 --> 45:36.860]  And then he should come out and talk about the fact that 51 of black people are more
[45:37.340 --> 45:41.980]  On average never get out of the womb in this country and that we should work to make sure that that genocide
[45:42.540 --> 45:48.220]  Created by Margaret Sanger and pushed by the leftist is stopped and then he should go on a tour
[45:48.220 --> 45:50.220]  Of black churches
[45:50.780 --> 45:52.620]  And go up there
[45:52.620 --> 45:56.460]  With the folks and pray with them and hug everybody and have national unity
[45:57.100 --> 46:03.420]  That's what we need is to come together against the globalist and realize that they're out to get us all and that's my final point
[46:04.700 --> 46:06.300]  Ladies and gentlemen
[46:06.300 --> 46:09.100]  They are growing humans that are part animal
[46:09.820 --> 46:13.820]  In cows and in other large mammals that they're harvesting their organs
[46:13.820 --> 46:20.380]  Humanoids have been created. They don't have any rights. They are put to horrible experimentation. We talk about animal rights
[46:20.380 --> 46:24.460]  Fine. What about human rights or what about clone rights or what about chimera rights?
[46:24.780 --> 46:30.380]  And what about the globalist funding islamists is taking over and killing hundreds of thousands of people all over the middle east in africa
[46:31.020 --> 46:34.780]  What about all the horrible things obama's done funding the muslim brotherhood?
[46:35.260 --> 46:38.940]  What about all the major wars they've been finding as you're trying to start a war with russia?
[46:38.940 --> 46:45.820]  What about all the genetic engineering and the and the gmo and the glyphosates that have caused hundreds of millions of women worldwide?
[46:46.140 --> 46:48.140]  for a portally get breast cancer
[46:48.700 --> 46:54.940]  These are the real holocausts that are going on and instead all we ever obsess over is what the media tells us to get obsessed over
[46:55.260 --> 47:00.380]  And these big foe issues they bring up that we're all completely sick and tired of
[47:01.180 --> 47:02.860]  but quite frankly
[47:02.860 --> 47:04.860]  I can say that I've
[47:05.180 --> 47:07.180]  Never done anything consciously
[47:07.180 --> 47:11.580]  Racist in in fact. I am so sick and tired of
[47:12.540 --> 47:14.540]  Of having every major
[47:15.100 --> 47:16.780]  issue out there
[47:16.780 --> 47:18.780]  Basically poison this cornucopia
[47:19.500 --> 47:21.500]  of of of
[47:21.580 --> 47:23.020]  disinformation
[47:23.020 --> 47:25.020]  And we're all under attack
[47:25.660 --> 47:30.540]  That's what i'm trying to get across to people does that mean that there aren't racist white people absolutely
[47:30.540 --> 47:32.380]  I mean there aren't racist white people absolutely
[47:32.380 --> 47:39.260]  But the point is at the end of the day, we're all being manipulated against each other by the globalists who are scientific about this
[47:39.260 --> 47:40.780]  And that is the ultimate
[47:40.780 --> 47:46.300]  Anti-human agenda being carried out by these psychopaths and it is a billion times bigger
[47:47.100 --> 47:52.780]  Than the kkk or the new black pamphlet party or any of these mindless idiot groups. That's what i'm getting at
[47:53.100 --> 47:55.980]  So i'm not here as an apology for this tape that may exist or
[47:56.620 --> 48:00.300]  May not exist. I think it probably doesn't or it's totally edited. They would have released already as I said
[48:00.300 --> 48:01.500]  But
[48:01.500 --> 48:03.500]  I'm only raising this
[48:03.740 --> 48:05.580]  as an example
[48:05.580 --> 48:11.020]  Of how far we've fallen and how we get distracted like a bull with a red cape getting distracted
[48:11.260 --> 48:16.860]  By all these side issues by the big globalist media that we know is the enemy that we know is lying to us
[48:17.180 --> 48:23.580]  That we know is is it is constantly playing us off against each other and lying to the public and getting us into these giant wars
[48:23.580 --> 48:29.500]  To bring down other sovereign nations and put radical jihadists in control. We know the new world order is the enemy
[48:30.300 --> 48:37.180]  And now they're openly trying to overturn the people's will with trump and building towards something completely
[48:38.060 --> 48:39.660]  organized
[48:39.660 --> 48:47.100]  Where we can't even get prescription drug costs cut because racism is invoked even though it doesn't even make sense to invoke it or
[48:48.060 --> 48:52.460]  John lewis comes out and criticizes trump calling on russian spy and trump says hey
[48:52.460 --> 48:56.300]  That's not very nice. Why don't you work with me? They turn that into racism
[48:57.820 --> 49:02.540]  Criticizing someone who's criticized you on that issue is not racism
[49:03.020 --> 49:06.780]  But again, this is an assault on logic an assault on common sense
[49:06.780 --> 49:11.100]  And we all just have to stop letting it have such power over us
[49:11.100 --> 49:13.100]  That's the real control of racism
[49:13.660 --> 49:18.460]  Is the fact that it makes everybody paranoid about each other and makes everybody act weird and be uncomfortable
[49:18.460 --> 49:23.660]  The real issue in this country anyone I'd call racism. It's the fact that we've all been made uncomfortable
[49:24.220 --> 49:27.660]  And and now all this balkanization is worse than any time in my life
[49:28.220 --> 49:30.700]  And it's very very sad because we're all being targeted
[49:31.260 --> 49:36.460]  With the glyphosates and the fluoride and the GMOs and the electromagnetic radiation all this other crap
[49:37.340 --> 49:41.820]  And then meanwhile if we don't come together we have no chance of ever coming out of this now
[49:41.820 --> 49:47.500]  Coming up today. I'm going to be back in studio at the time you're hearing this. I'm landing in Austin, Texas
[49:48.700 --> 49:53.180]  And we're going to have a huge announcement at 130 central. I'm just going to leave it at that
[49:53.740 --> 49:57.100]  I'm not going to even tell you who's coming up or what we're going to be breaking down
[49:57.260 --> 50:04.300]  Other than the fact that the press is now being targeted and and high level supporters and boosters of trump are being targeted for death
[50:05.100 --> 50:07.340]  Okay, so uh again
[50:07.340 --> 50:12.220]  I've been on a work occasion. I am now back
[50:13.020 --> 50:17.820]  Uh, and I'm going to be going to dc tomorrow and I'll be the middle of that. So please pray for us
[50:18.380 --> 50:21.580]  And please pray for this country and please pray for justice and people to come together
[50:22.300 --> 50:27.180]  Soros admits he's flooding dc with his operative. So it's going to be extremely extremely dangerous, obviously
[50:27.180 --> 50:29.180]  But this is something we've got to do
[50:29.180 --> 50:33.500]  And I want to keep everybody that is coming to dc to stand up for the first amendment in our electoral process
[50:33.500 --> 50:38.140]  Uh, now back to david knight in austin texas. I'm Alex Jones and fours dot com
[51:00.140 --> 51:02.140]  There was a mighty nation
[51:02.140 --> 51:06.780]  Christopher followed up create charlie daniels. He's always loved america
[51:07.020 --> 51:11.660]  He's always offended the second amendment. Let me let me just read a little thing here from agenda 21
[51:11.740 --> 51:16.860]  The american system of justice must be changed to conform to the rest of the world individual rights
[51:17.100 --> 51:21.420]  We'll have to take a backseat to the collective. Well, you know, the next one's gonna be on you
[51:21.660 --> 51:23.740]  It's gonna be coming if you're good. Oh, yeah
[51:24.060 --> 51:26.620]  I'll take it ain't gonna sit well down my way at all
[51:27.100 --> 51:31.500]  It ain't gonna sit well. Do you ever wonder what happened to america? It's time to ride, boss
[51:31.500 --> 51:34.460]  We need a thousand power beers when I was a boy
[51:34.700 --> 51:38.860]  It was okay to be proud of the flag heritage mom and apple pie
[51:39.500 --> 51:41.500]  And beef was for supper
[51:42.220 --> 51:50.300]  revelation dawn of global government theatrical screenings on demand dvds now available star in alex jones charlie daniels
[51:50.460 --> 51:52.460]  Special ops general jerry boykin
[51:52.700 --> 51:55.740]  You want to shed some tears over the red white and blue?
[51:55.740 --> 52:03.100]  Revelation the movie dot info. Let's fix it hunters anglers campers and survivalists get back to nature
[52:03.340 --> 52:10.140]  Expand your horizons with the highest quality most versatile unique slingshots and slingbows on the market at slingbow.com
[52:10.380 --> 52:14.060]  Slingbow products are compact and models start from just 1798
[52:14.300 --> 52:17.100]  They're perfect for your bug out bag or storing in your vehicle
[52:17.260 --> 52:22.700]  Give yourself and your loved ones the excitement and tradition of slingbow a new frontier in archery
[52:22.700 --> 52:28.460]  And truly modern twist on this primitive survival tool feel the thrill only at slingbow.com
[52:29.420 --> 52:34.060]  Had it been the sweet paris air permeating the night the intoxicating way her beauty had overtaken him
[52:34.540 --> 52:38.540]  Whatever the case back then jordan dunlevy is still in love with the memory of lauren the woman
[52:38.540 --> 52:45.980]  He'd lost so many years before in bookster on the sen the journey of a conspiracy analyst author c l hendeman ties conspiracy theories
[52:46.140 --> 52:51.100]  mystery irony and romance into the stimulating novel that masterfully interweaves the past with the present
[52:51.100 --> 52:58.700]  Available on amazon and kindle and at bookstore on the sen dot com. That's s e i n e dot com bookstore on the sen dot com
[52:59.180 --> 53:02.380]  Water is the single most important thing your body needs
[53:02.540 --> 53:07.020]  So you want to be sure it's the best for you and your family since 2005
[53:07.420 --> 53:14.540]  Thousands have depended on burky purified water the burky guy provides the lowest price filtration systems in every size
[53:14.540 --> 53:23.900]  For incredibly delicious water now and in an emergency get to go burky dot com. We're call 877-886-3653
[53:24.140 --> 53:28.380]  877-886-3653 go burky dot com
[53:28.780 --> 53:34.460]  Are you prepared to bug out infidel body armor and an army ranger have produced a high speed dvd and book to show
[53:34.460 --> 53:38.460]  You how to drive in combat patrol and how to survive in combat skills
[53:38.460 --> 53:45.740]  You'll need when it hits the van go to driven dvd.com driven dvd.com advertising your business with gcn
[53:45.900 --> 53:52.700]  Is simple effective and more affordable than you might think visit advertise dot gcn live dot com for more info
[53:52.860 --> 53:57.900]  Take your business to the next level that advertise dot gcn live dot com
[54:00.700 --> 54:02.700]  No one knows what it's like
[54:03.740 --> 54:05.740]  to be the bad man
[54:05.740 --> 54:07.740]  to
[54:07.740 --> 54:09.740]  be the sad man
[54:11.500 --> 54:13.500]  behind blue eyes
[54:13.500 --> 54:18.460]  Welcome back to the alex joneshow. I'm david knight in studio january the 17th 2017
[54:19.260 --> 54:23.500]  As you just heard alex jones, he's going to be coming in at the last half hour of the show
[54:23.980 --> 54:28.620]  There's a huge announcement concerning attacks of a lethal nature. That's all i know about it
[54:28.700 --> 54:30.300]  So you'll be able to
[54:30.300 --> 54:36.860]  Hear that as it's introduced. So it's something that he's kept quite close to the chest, but he's going to be breaking that
[54:37.740 --> 54:39.740]  At the bottom of the show
[54:39.740 --> 54:46.620]  Before i get back to the news i just want to remind you that our special make our bodies great again our 2017 initiative to improve your health
[54:47.100 --> 54:50.140]  Help you to do that by offering some discounts on some of the
[54:50.940 --> 54:55.580]  Best sellers that we have at info wars life. It's about to end. It's going to end this week
[54:55.820 --> 54:58.700]  It's going to end with the inauguration at the end of the week
[54:58.700 --> 55:02.860]  We have brain force 30 off super male vitality 30 off
[55:03.500 --> 55:09.660]  Survival shield x2. That's our nascent iodine. That's 30 off also secret 12 our vitamin b12 formulation
[55:09.660 --> 55:17.340]  That's 20 off liver shield knockout and prosa guard all 20 off as well at info wars life.com
[55:17.340 --> 55:23.260]  So see discounts there from 20 to 30 off and again these sales will be ending at the end of the week
[55:24.380 --> 55:26.380]  I was talking about the opposition
[55:26.380 --> 55:29.660]  To donald trump that's coming from paul ryan for example
[55:30.460 --> 55:32.460]  You know, he has proposed
[55:33.100 --> 55:38.380]  As an ethics rule that and this would just be executive branch officials
[55:38.860 --> 55:45.900]  This is not what the what the house representatives or senate would do but that executive branch officials people working for him
[55:46.460 --> 55:52.140]  Would not be able to become lobbyists for five years currently right now. They have a ban in place of one year
[55:52.140 --> 55:54.140]  So he would extend that from one year to five years
[55:54.140 --> 55:57.020]  He would also say if you're going to come in and work at my cabinet
[55:57.500 --> 55:59.500]  As a senior executive official
[55:59.820 --> 56:03.660]  You're not ever going to be able to lobby on the behalf of a foreign government
[56:04.300 --> 56:07.660]  And paul ryan thinks that's a dangerous idea dangerous idea
[56:08.380 --> 56:10.380]  I mean, we've just seen the situation
[56:10.940 --> 56:14.060]  We ported that at just before we went to the bottom of the hour
[56:14.380 --> 56:18.940]  How as we look at paul ryan and others they say the hill said
[56:19.260 --> 56:22.540]  What are they going to do because we got another infrastructure bill coming up this year?
[56:22.540 --> 56:26.780]  And last year paul ryan led the fight to strike by american
[56:27.500 --> 56:31.100]  Out of the infrastructure bill last year. So we got another one coming up this year
[56:31.100 --> 56:35.340]  So we contacted him the hill contacted him and paul ryan said no comment
[56:35.980 --> 56:37.980]  They had no comment from his office
[56:38.460 --> 56:39.980]  And we also know
[56:39.980 --> 56:43.100]  That the guy that he replaced the guy that helped him to get his position john bainer
[56:43.820 --> 56:50.300]  Had left in october 2015 in march of 2016 five months later when they're doing this bill this infrastructure bill
[56:50.300 --> 56:52.860]  Where they stripped out the by-american clause last year
[56:53.660 --> 56:55.100]  that
[56:55.100 --> 56:56.540]  his
[56:56.540 --> 56:59.260]  Company that he went to work for a lobbyist company there
[57:00.060 --> 57:04.220]  And washington dc was representing foreign steel concerns
[57:04.940 --> 57:07.740]  And saying we want to get this by-american stuff out of there
[57:08.140 --> 57:13.260]  See that's the swamp that we're talking about and of course, Nancy Pelosi is a big part of that as well
[57:13.740 --> 57:15.740]  Nancy Pelosi and her insider trading
[57:16.220 --> 57:19.740]  They create this they get caught in the middle of the market
[57:19.740 --> 57:22.860]  They get caught on it. They say there's no controlling legal authority here. There's not a problem
[57:22.860 --> 57:26.700]  So we create the stock act we wait till you don't pay any attention and the six months later boom
[57:27.180 --> 57:28.540]  We got it
[57:28.540 --> 57:30.540]  So it has absolutely no effect
[57:30.780 --> 57:32.700]  Nancy Pelosi, Elizabeth Warren
[57:32.700 --> 57:39.580]  They're all involved in these types of ethics insider trading. Nancy Pelosi's family has made a fortune of that kind of insider trading
[57:40.140 --> 57:45.500]  And of course paul ryan is part of that swamp as well a big part of that swamp. And so when you look at the new york times article
[57:46.140 --> 57:48.140]  angst simmers in washington
[57:48.140 --> 57:52.860]  As a trump presidency nears understand what they're concerned about is protecting their financial
[57:53.420 --> 57:57.100]  Situation they want to make sure they're going to be high-paid lobbyists that they're going to stay there forever
[57:57.340 --> 58:00.940]  They're going to hammer donald trump and say you're here for the money. Aren't you?
[58:01.740 --> 58:04.620]  Everything that he does are going to say you got a conflict of interest you own this hotel
[58:04.620 --> 58:07.820]  That's a conflict of interest you got somebody that's from a foreign government staying in your hotel
[58:07.820 --> 58:13.100]  That's a conflict of interest and that's what donald trump was originally going to talk about now the press conference
[58:13.100 --> 58:18.860]  But then they dumped that dirt on him the dirty dossier. He has a plan to deal with that
[58:19.260 --> 58:25.420]  But it really is about them being concerned that the trump organization isn't going to just enact a hiring freeze
[58:25.500 --> 58:30.140]  Which would be something that would benefit all americans, but he's actually going to do spending cuts
[58:30.780 --> 58:34.540]  Which would even benefit us more but not the washington dc crowd
[58:35.100 --> 58:39.660]  They're worried that there's going to be some actual cuts of workers. They will listen to me right back
[58:39.660 --> 58:42.620]  You are listening to gcn
[58:43.900 --> 58:45.900]  Visit gcnlive.com today
[58:49.740 --> 58:52.780]  Not a group you develop living defense for us. It took you over a year to do it
[58:53.020 --> 58:59.420]  Why is this so good because people are actually waking up to the problem that pretty much scares me the most
[58:59.500 --> 59:04.700]  I mean, I try to make sure that I don't put toxins from food and water and beverages in my system
[59:04.700 --> 59:12.940]  But right now we're dealing with massive parasites, which is anything that's harmful to your body that lives off a host mechanism
[59:13.020 --> 59:15.020]  Right now with all the refugees
[59:15.260 --> 59:20.620]  Spreading disease around we have biological warfare going on everywhere. These are all parasites
[59:20.700 --> 59:24.300]  Tell us about all this episode. There's so many things that are in it. You have the neem in there
[59:24.380 --> 59:27.340]  You have the organic clove bud the organic wormwood
[59:27.580 --> 59:31.100]  I recommend doing a parasite cleanse at least twice a year. All right
[59:31.100 --> 59:37.340]  Well, I'm glad we've got some back in because I'm going back on it today. It just came back in yesterday living defense infowarslife.com and folks
[59:37.340 --> 59:40.060]  You can't lose it's full of stuff that's great for your body period
[59:40.540 --> 59:45.900]  And uh, you support the broadcast infowarslife.com. Thank you doctor group from the global healing center
[59:46.140 --> 59:48.220]  Thank you so much for all your work sir on this great product
[59:52.220 --> 59:54.860]  You're listening to the alex jones show
[59:54.860 --> 59:56.860]  No
[1:00:10.140 --> 1:00:15.980]  Resistance to tyrants is obedience to god it's alex jones
[1:00:15.980 --> 1:00:26.700]  Welcome back to the alex jones show i'm david knight and our next segment. We're going to be talking to james o' keith of project veritas
[1:00:27.500 --> 1:00:31.660]  Talking to us about this undercover investigation. They're conducting in terms of these people
[1:00:32.460 --> 1:00:40.460]  Who are in some of them? It's now come out. There's ads are being run it run in 20 different states across the country saying we'll pay you $2,500
[1:00:41.500 --> 1:00:43.500]  be a protester
[1:00:43.500 --> 1:00:48.220]  A grassroots protester no no no you're not a grassroots protester if they're paying you that kind of money
[1:00:48.780 --> 1:00:52.300]  Um $50 an hour. They're saying they're going to pay these people to do that
[1:00:52.380 --> 1:00:54.380]  But they did an undercover investigation
[1:00:54.780 --> 1:01:00.780]  They got video of people talking about how they wanted to infiltrate the deplorable one of the inauguration balls
[1:01:01.260 --> 1:01:06.140]  And release butyric acid. So we're going to talk to him about that about his upcoming part two
[1:01:07.100 --> 1:01:10.860]  Of that report, but I want to finish with what I was talking about in terms of the
[1:01:10.860 --> 1:01:16.220]  The pushback from the washington establishment, you know in this new york times article
[1:01:16.860 --> 1:01:22.860]  They talk about high powered lobbyists who are wearing their clients will turn up in a twitter feed civil servants who say they know
[1:01:23.340 --> 1:01:26.700]  That trump knows nothing about running a bureaucracy. So we have to defer to them
[1:01:26.860 --> 1:01:31.740]  You know, we're now this Byzantine empire where the bureaucrats run our country now. They do they do
[1:01:31.820 --> 1:01:35.660]  I mean look at what the epa in particular is doing, but of course there's been a massive
[1:01:35.660 --> 1:01:42.540]  Amount of regulations I reported on this yesterday. There's been I think it's 87 rules that were passed by congress in 2015
[1:01:42.540 --> 1:01:46.460]  But 3,400 rules see if they call it a rule
[1:01:47.340 --> 1:01:49.020]  They can do anything they want
[1:01:49.020 --> 1:01:52.940]  The prohibitions against excessive fines excessive punishment that doesn't apply
[1:01:53.180 --> 1:01:58.300]  So in the end we've seen that happen with the epa particularly coming after that remember that one farmer that had an eight acre
[1:01:58.940 --> 1:02:02.060]  uh plot in montana and he built a stock pond
[1:02:02.620 --> 1:02:04.620]  for his animals and for the kids to play in
[1:02:04.620 --> 1:02:10.540]  And the epa came after him with tens of thousands of dollars of fines per day and then tried to garnish his wages
[1:02:10.540 --> 1:02:15.740]  He was a welder so the prohibitions against unreasonable fines don't apply you got the fAA saying hey
[1:02:15.740 --> 1:02:19.580]  We're gonna put massive fines against you if you don't register your toy drone
[1:02:20.380 --> 1:02:25.100]  And these people do whatever they wish you don't have the presumption of innocence either because they say it's a civil regulation
[1:02:25.100 --> 1:02:27.100]  Not a criminal offense in most cases
[1:02:27.580 --> 1:02:32.060]  So that is something that's very dangerous. These people are saying hey, you know, we're really concerned about this and
[1:02:32.060 --> 1:02:37.180]  Even the new york times points out this region is one of the largest and wealthiest economies
[1:02:37.740 --> 1:02:41.660]  In the world and that's pointed out by the brookings institution. They know that very well
[1:02:42.300 --> 1:02:44.860]  These people like the elites at davos
[1:02:45.660 --> 1:02:49.340]  have been pigs feeding at the trough at our expense
[1:02:50.300 --> 1:02:52.060]  And that's why people are angry
[1:02:52.060 --> 1:02:56.060]  You know, you have this dichotomy that's going on here a lot of people. Oh, look at the stock market. Look how great it's going
[1:02:56.140 --> 1:02:57.420]  well, of course
[1:02:57.420 --> 1:03:02.780]  Most of this stock market that you see that you're going to see uh, barack obama take credit for in a few years
[1:03:02.780 --> 1:03:05.180]  He said look at the stock market when I left office
[1:03:05.340 --> 1:03:09.420]  The most of the stock market run up that you've seen this year has come
[1:03:10.140 --> 1:03:15.100]  Post election in terms of people anticipating that trump is going to cut taxes cut regulation
[1:03:15.500 --> 1:03:19.820]  Cut the chains that obama and the bureaucracy have forged upon us
[1:03:20.780 --> 1:03:23.980]  And so that's a response to what people are anticipating happening
[1:03:23.980 --> 1:03:27.740]  But these people look at it and they say wait a minute. You might actually cut federal workers
[1:03:27.740 --> 1:03:29.740]  You might actually cut our budget
[1:03:29.980 --> 1:03:33.580]  Just like davos is looking at this and in spite of the fact that they've accumulated
[1:03:34.220 --> 1:03:37.740]  gross amounts of wealth just in the last years we reported yesterday
[1:03:38.940 --> 1:03:44.060]  In the last year they had 62 people that had as much money as
[1:03:44.780 --> 1:03:50.460]  Half of the world and that changed just in the last year to only eight only eight and three of those eight
[1:03:50.460 --> 1:03:56.620]  Run major media organizations here in the united states the new york times washington post bloomberg
[1:03:57.420 --> 1:03:59.420]  three of those eight guys who have
[1:03:59.500 --> 1:04:02.060]  Uh wealth equivalent to half of the world's population
[1:04:02.140 --> 1:04:05.500]  So that's the kind of concentration that we're seeing and it truly is
[1:04:06.060 --> 1:04:10.300]  In this respect in terms of sovereignty when you talk about who gets to make the decisions
[1:04:11.260 --> 1:04:17.900]  About your life. That is a zero sum game. You can grow the economy and everybody we can we can cut regulation and taxes
[1:04:17.900 --> 1:04:21.820]  And everybody can get wealthier and we don't have to worry that somebody over here is making more money than us
[1:04:21.820 --> 1:04:25.420]  But when you see this kind of concentration of wealth that is coming
[1:04:26.060 --> 1:04:31.020]  From the kind of regulations that cut the rungs off of the ladders for people who want to start a small business
[1:04:31.660 --> 1:04:36.060]  And that's why small business is so optimistic at the same time and you can see this article
[1:04:36.140 --> 1:04:38.140]  We'll probably talk about this later in the broadcast
[1:04:38.460 --> 1:04:42.540]  Uh on dredge report as robots take jobs europeans mull free money for all
[1:04:42.540 --> 1:04:46.460]  It's what I talked about and have been talking about talked about that yesterday universal basic income
[1:04:46.460 --> 1:04:48.460]  They want to put you all on
[1:04:49.020 --> 1:04:50.220]  welfare
[1:04:50.220 --> 1:04:56.380]  It's a soft kill. It's a pacification. It's what they did to the indians on the reservation. That's agenda 21
[1:04:56.460 --> 1:05:01.340]  That's a that's the template for agenda 21. Stay with us. We'll be right back with jane's inauguration around the corner
[1:05:01.420 --> 1:05:05.180]  Here's what we know about the fascists who are trying to obstruct donald trump's inauguration
[1:05:05.260 --> 1:05:10.620]  Hundreds of thousands will be there to protest the inauguration of trump marching and chanting in the streets over fake news
[1:05:10.700 --> 1:05:15.820]  But it has gotten darker advertisements to pay trump protesters cropping up in dozens of us cities
[1:05:15.820 --> 1:05:21.260]  People like rosie mcdonald calling for martial law charles schumer threatening trump with the intelligence community
[1:05:21.340 --> 1:05:25.420]  michael moore marching in the women's march against trump pushing anti-trunk false narratives
[1:05:25.500 --> 1:05:32.540]  We know about the fake dossiers and now more is emerging as radical leftists are planning violent protests plans for planting and discharging
[1:05:32.620 --> 1:05:39.500]  acidic chemicals into ventilation systems disrupt j20 is mobilizing thousands and planning on blocking streets and transit in response
[1:05:39.500 --> 1:05:44.140]  There will be unprecedented security. We fully support the first amendment in the exercise thereof
[1:05:44.140 --> 1:05:47.740]  But people plotting illegal activities need to be brought into custody now
[1:05:47.820 --> 1:05:52.940]  Perhaps even arrested to deter these fascists from illegally disrupting the peaceful transition of power
[1:05:53.020 --> 1:05:58.780]  But something tells me that's not going to happen. This is oan shroyer and info wars will see you at the inauguration
