[00:00:17.611 --> 00:00:21.974]  Hindsight is 2020, and the enemy is very cunning.
[00:37:28.116 --> 00:37:32.178]  If you venerate and glorify it, then it's on the front cover of Time Magazine.
[00:37:32.725 --> 00:37:34.346]  Well, they call it the Great Reset.
[00:37:34.346 --> 00:37:35.266]  And Paul, let's be clear.
[00:37:35.266 --> 00:37:43.589]  It's because in March and April, you and I and Greg Reese and all of our other reporters and people, David Knight, we were all covering it.
[00:37:43.589 --> 00:37:45.330]  We would get millions of views.
[00:37:45.330 --> 00:37:51.092]  Even on videos people re-uploaded, they would ban them, saying it was disinfo, because we were actually quoting their white papers.
[00:37:51.092 --> 00:37:53.193]  They just hadn't done the public rollout yet.
[00:37:53.193 --> 00:37:54.894]  They didn't want us to make their own announcement.
[00:37:54.894 --> 00:37:55.274]  Now they are.
[00:37:56.917 --> 00:38:00.778]  Exactly, and then when you go on the Time Magazine website, they make it clear what it's all about.
[00:38:00.778 --> 00:38:06.079]  A better economy is possible, but we need to reimagine capitalism to do it.
[00:38:06.079 --> 00:38:11.500]  That means destroying capitalism, especially when it comes to small businesses.
[00:38:11.500 --> 00:38:22.943]  Introducing universal basic income, so nobody has the personal autonomy, nobody has the incentive to build businesses, to build independent wealth, to challenge
[00:38:23.303 --> 00:38:23.623]  I agree.
[00:38:23.623 --> 00:38:25.124]  What would you call their system?
[00:38:25.124 --> 00:38:25.544]  Neo-feudalism?
[00:38:25.544 --> 00:38:26.404]  A technocracy?
[00:38:26.404 --> 00:38:31.686]  It's a form of corporate crony fascism that uses communism and socialism as the ground floor control mechanism?
[00:38:45.291 --> 00:38:47.692]  The term is global neo-feudalism.
[00:38:47.692 --> 00:38:49.772]  That's the term that everybody's using.
[00:38:49.772 --> 00:38:54.573]  In fact, there's another good article called The Great Reset for Dummies that sums it up.
[00:38:54.573 --> 00:39:09.057]  The desired end result is a giant, joyless, highly controlled global conveyor of everything and everybody, where privacy is tremendously expensive, dissent is unthinkable, and spiritual submission is mandatory.
[00:39:09.057 --> 00:39:12.878]  This is really good versus evil, and that's the point of the Archbishop.
[00:39:12.878 --> 00:39:14.678]  By the way, this is not some obscure guy.
[00:39:15.492 --> 00:39:29.144]  This was a guy who was instrumental in exposing the Vatican sex abuse and financial corruption within the Catholic Church, challenging Pope Francis, calling out Pope Francis, saying he's a water carrier for the globalists.
[00:39:29.144 --> 00:39:35.270]  And he's outright saying that this Great Reset Agenda is a battle between good and evil.
[00:39:35.270 --> 00:39:36.571]  And again, what is it?
[00:39:36.571 --> 00:39:42.096]  It's the expectation that people's living standards, their wealth, has to be lowered
[00:39:42.898 --> 00:39:49.506]  And that's going to be achieved by this universal basic income, so there's no financial incentive for people to... Alright, PJW, stay there.
[00:39:49.506 --> 00:39:52.069]  Let's get more into this and how we fight back straight ahead.
[00:39:53.402 --> 00:40:00.027]  It's time to show them what a real alpha male looks like with one of our most powerful products ever made, Alpha Power.
[00:40:00.027 --> 00:40:03.469]  As you age, your body can lose testosterone over time.
[00:40:03.469 --> 00:40:12.395]  With the incredible ingredients in this formula, we can help you beat the test of time and assist in restoring that lost energy and mood that comes with time and age.
[00:40:12.395 --> 00:40:20.601]  Alpha Power's incredible ingredients can help you boost your sports performance or enhance your day-to-day life with ease while encouraging hormonal balance.
[00:40:21.141 --> 00:40:26.562]  Perfect by itself or with super male vitality in the True Alpha Male Pack.
[00:40:26.562 --> 00:40:33.783]  Alpha Power can help boost performance, help maintain normal testosterone levels, support healthy cholesterol and more.
[00:40:33.783 --> 00:40:37.484]  Let Alpha Power help bring you to the peak of your optimal health.
[00:40:37.484 --> 00:40:40.525]  Don't fall short on energy in the fight against tyranny.
[00:40:40.525 --> 00:40:44.585]  Show the world what a True Alpha Male looks like today with Alpha Power.
[00:40:44.585 --> 00:40:47.066]  Head to InfoWarsStore.com today.
[00:40:53.945 --> 00:40:59.129]  Throughout history, there have been two basic forms of civilizations, and different mixes of the two.
[00:40:59.129 --> 00:41:02.172]  One is born of renaissance, the other is born of conquest.
[00:41:02.172 --> 00:41:11.239]  One bases its power on having strong, enlightened, focused people with an ethos, and a culture, and ingenuity, art, and skill, and strength.
[00:41:11.239 --> 00:41:16.623]  The other is based on the massive number of slaves it controls, with a tiny elite above it.
[00:41:17.584 --> 00:41:25.670]  America is transferring out of a system based on the ethos of liberty and freedom into one of total mass high-tech slavery.
[00:41:25.670 --> 00:41:29.312]  That's why the globalists tell us America was founded on slavery when it wasn't.
[00:41:29.312 --> 00:41:34.135]  They point out one of our evils so they can invert the fact that they are truly the slave masters.
[00:41:34.135 --> 00:41:36.537]  A global permanent lockdown is here.
[00:41:36.537 --> 00:41:39.279]  It's already causing millions and millions to starve to death.
[00:41:39.279 --> 00:41:40.860]  When they're done, billions will starve to death.
[00:41:41.440 --> 00:41:49.282]  Even the former head of the Ministry of Defense in England and a top general have come out and said the COVID lockdown is going to trigger a giant new world war.
[00:41:49.282 --> 00:41:50.082]  That's the facts.
[00:41:50.082 --> 00:41:54.003]  This is the Bill Gates New World Order weapon.
[00:41:54.003 --> 00:41:59.324]  DNA Force Plus, if you did one thing for your immune system, it would be get all the essential things.
[00:41:59.324 --> 00:42:01.664]  And that's the clean iodine, X2 or X3.
[00:42:01.664 --> 00:42:03.285]  That's the bio-true selenium.
[00:42:03.285 --> 00:42:05.245]  That is the vitamin D3.
[00:42:05.245 --> 00:42:06.665]  That is the C. That is the zinc.
[00:42:06.665 --> 00:42:08.306]  There's 13 vitamins and minerals that are essential.
[00:42:08.306 --> 00:42:08.926]  Without them, you die.
[00:42:08.926 --> 00:42:10.366]  And studies show you really need the other ones, too.
[00:42:10.666 --> 00:42:11.246]  But DNA Force
[00:42:40.606 --> 00:42:42.067]  Election 2020 is here, and whether Trump wins or loses,
[00:42:58.132 --> 00:43:09.317]  We have all won by exposing the communist Chinese, by exposing the globalists, by exposing the pedophile rings, by exposing the fact this is really a fight between good versus evil.
[00:43:09.317 --> 00:43:13.899]  Now I'm personally a Christian and I believe in God and I know God's real and I've experienced it in my life.
[00:43:13.899 --> 00:43:19.141]  But even if you don't believe in God, it's important to recognize that there is good in this world, there is evil.
[00:43:19.141 --> 00:43:22.403]  And there are people out there that want to do you harm because they enjoy doing bad.
[00:43:23.343 --> 00:43:33.230]  And what I see happening across the spectrum of different political views is people finally get that, they finally understand that they're not being naive anymore.
[00:43:33.230 --> 00:43:39.855]  Don't ever project your decency and your goodness onto other people until they've proven what they stand for.
[00:43:39.875 --> 00:43:41.316]  You're listening to the Alex Jones Show!
[00:44:11.311 --> 00:44:13.172]  The answer to 1984 is 1776.
[00:44:13.172 --> 00:44:24.258]  You're listening to the Alex Jones Show.
[00:44:24.258 --> 00:44:27.961]  And we predicted everything that's unfolding.
[00:44:27.961 --> 00:44:29.681]  Not because I was that smart.
[00:44:29.681 --> 00:44:33.904]  Because I happened to get into reading history and then government documents because they were so interesting.
[00:44:35.711 --> 00:44:43.877]  We had books laying around the house about World War II, World War I, Rome, ancient China, Japan, ancient Europe, ancient Mesoamerica.
[00:44:43.877 --> 00:44:50.462]  That's where I read books like The Secret Wartime Report, The Mind of Adolf Hitler.
[00:44:50.462 --> 00:44:52.243]  I read that when I was about 10.
[00:44:52.243 --> 00:44:55.706]  Little thin paperback book, wouldn't be classified to the 70s.
[00:44:55.706 --> 00:44:57.828]  And I was hooked on it right then.
[00:44:57.828 --> 00:45:03.212]  And so I was getting a PhD level education on how the world really worked and actually reading
[00:45:04.258 --> 00:45:04.458]  I think?
[00:45:20.528 --> 00:45:23.091]  Again, explain to people how important this is.
[00:45:23.091 --> 00:45:33.762]  Why the globalists want this Great Reset, this consolidation, the fact that they're going ahead with it, and the fact that they're now even hiding it in plain view is to inoculate people's minds because it's their weak spot.
[00:45:33.762 --> 00:45:37.085]  We expose this, that's why they censor us, they will be defeated.
[00:45:37.085 --> 00:45:39.647]  But now they're to the point of actually admitting their plan.
[00:45:39.647 --> 00:45:40.949]  Why are they doing that?
[00:45:40.949 --> 00:45:43.972]  Break down what it's like living in London under lockdown too and where all this is going.
[00:45:46.087 --> 00:45:59.711]  Well, one of the reasons they want it, Alex, is because they believe there's a finite amount of resources and they believe that if they allow too much economic freedom, too much mobility, people will build up centres of economic power and challenge them as the elite.
[00:45:59.711 --> 00:46:12.015]  So they want to commodify human beings and keep them temped down in this state of, you know, low expectations of low economic growth and low quality of life.
[00:46:12.015 --> 00:46:14.396]  And the origin of the term lockdown
[00:46:15.365 --> 00:46:23.891]  Where it originated from was this idea of rounding up unruly prisoners and putting them back behind bars.
[00:46:23.891 --> 00:46:44.647]  And this is in the Spectator, this week's edition, says the earliest known use of lockdown, because people think this is kind of a more archaic term, it's relatively modern, the earliest known use of the term lockdown in its current sense was a 1973 story in the Fresno Bee, the California newspaper, referring to prisoners
[00:46:45.011 --> 00:46:49.674]  being kept in their cells after a knife attack.
[00:46:49.674 --> 00:46:51.996]  And the keywords there are after a knife attack.
[00:46:51.996 --> 00:46:57.519]  Again, it's this idea of the prisoners have become too unruly, got a little bit too much freedom.
[00:46:57.519 --> 00:47:02.503]  There's a little bit too much backlash against their old world order that was failing.
[00:47:02.503 --> 00:47:04.844]  Of course, they meant to get it in place by 2000.
[00:47:04.844 --> 00:47:08.827]  Now they need a new excuse and the new excuse is COVID.
[00:47:08.827 --> 00:47:14.351]  And here in the UK, they just announced a new lockdown that took effect on Thursday again.
[00:47:15.049 --> 00:47:16.129]  The pubs are closed.
[00:47:16.129 --> 00:47:18.410]  All the non-essential shops are closed.
[00:47:18.410 --> 00:47:28.133]  Oh, but the big box stores, the Asdas, which is owned by Walmart, all the Tescos, you know, global transnational corporations, they stay open and they make record profits.
[00:47:28.133 --> 00:47:30.614]  Everybody else's business goes bust.
[00:47:30.614 --> 00:47:32.655]  They introduced it on the basis of
[00:47:33.510 --> 00:47:36.614]  Infections are rising, so we need a new lockdown.
[00:47:36.614 --> 00:47:45.844]  The reason infections were rising was because they were ramping up tests to the tune of 100 to 1 compared to what they were during the initial lockdown.
[00:47:45.844 --> 00:47:54.174]  So they come out in these government briefings and say, we've got this prognostication, this prediction, which by the way has turned out to be completely exaggerated once again,
[00:47:55.434 --> 00:48:00.356]  The 4,000 people a day are going to die if we don't have this lockdown.
[00:48:00.356 --> 00:48:11.401]  Then what happens, and this happened during the first lockdown, the cases and the deaths already begin to decline before they announce the lockdown because we're starting to get herd immunity.
[00:48:11.401 --> 00:48:12.001]  Then when the
[00:48:12.701 --> 00:48:17.666]  Deaths and the cases are way below 4,000 deaths a day.
[00:48:17.666 --> 00:48:21.849]  At the end of this one month lockdown, they come out and say, oh look, we were right.
[00:48:21.849 --> 00:48:23.411]  Lockdown worked.
[00:48:23.411 --> 00:48:25.553]  Therefore, we need to do it over and over again.
[00:48:25.553 --> 00:48:30.938]  By the way, that's what all the famous epidemiologists and scientists, almost to a man and woman, are saying what you're saying.
[00:48:30.938 --> 00:48:36.342]  And so when they show on CNN or Sky TV, look, here we are a year ago, and now it's this super high level.
[00:48:36.963 --> 00:48:37.943]  Yeah, but where are the deaths?
[00:48:37.943 --> 00:48:47.305]  The deaths aren't there, proving again that this is an overblown absolute hoax of a virus that's so deadly you have to get tested even though you have it.
[00:48:47.305 --> 00:48:52.066]  Yeah, and they always over-exaggerate the deaths and the infections with fake models.
[00:48:52.066 --> 00:49:01.767]  By the way, all these models are created by the same scientists from the IPCC who said that the North Pole would be ice-free like 10 years ago.
[00:49:01.767 --> 00:49:05.608]  It's the exact same people who have proven liars time and time again.
[00:49:06.168 --> 00:49:07.959]  So we have these crippling lockdowns.
[00:49:08.573 --> 00:49:13.315]  And, in fact, now top scientists are coming out and saying what we said months ago.
[00:49:13.315 --> 00:49:14.895]  There's a headline out of the Telegraph.
[00:49:14.895 --> 00:49:16.996]  Covid data exaggerating risk.
[00:49:16.996 --> 00:49:23.298]  Medics and academics tell Boris Johnson official data is exaggerating the risk posed by Covid-19.
[00:49:23.298 --> 00:49:26.079]  They released that after the election, of course, Alex.
[00:49:26.079 --> 00:49:28.740]  Now we have a vaccine, right?
[00:49:28.740 --> 00:49:36.302]  And the top biotech at one of these management firms has now admitted, and this is a big story, which I'm going to write up as soon as I get off,
[00:49:36.966 --> 00:49:48.210]  The test for this vaccine, which by the way won't be introduced until next winter because they want nearly a year's worth more of lockdowns just to really impose that great reset.
[00:49:48.210 --> 00:49:53.912]  The top biotech experts are now saying they had enough test cases weeks and weeks ago.
[00:49:53.912 --> 00:49:56.894]  They could have announced this new vaccine beforehand.
[00:49:56.894 --> 00:49:58.434]  Trump would have taken the credit.
[00:49:58.434 --> 00:50:03.136]  They deliberately delayed announcing the vaccine until after the election.
[00:50:03.456 --> 00:50:04.897]  That's not me saying that.
[00:50:04.897 --> 00:50:06.518]  That's top biotech expert.
[00:50:06.518 --> 00:50:10.761]  And by the way, now Cuomo and all of them are saying, don't take it, it's dangerous, because this is a classic vaccine.
[00:50:10.761 --> 00:50:14.864]  I'm not saying take it, but Trump did it, so if you want it, you're in fear to end the lockdown.
[00:50:14.864 --> 00:50:16.806]  It's the excuse to end the Great Reset.
[00:50:16.806 --> 00:50:18.407]  That's why Trump checkmated him.
[00:50:18.407 --> 00:50:19.908]  But they're saying, no, don't take it now.
[00:50:19.908 --> 00:50:23.510]  You've got to take Bill Gates's mRNA vaccine.
[00:50:23.510 --> 00:50:25.232]  100 times more dangerous next year.
[00:50:25.232 --> 00:50:26.873]  So they're completely transparent now.
[00:50:28.223 --> 00:50:41.996]  Yeah, and it's also an effort to give Joe Biden legitimacy, even though he hasn't officially won the presidency, just as it was, you know, when they faked the news article saying, oh, London's celebrating Joe Biden's presidency with fireworks.
[00:50:41.996 --> 00:50:43.738]  Yeah, it's called Bonfire Night.
[00:50:43.738 --> 00:50:45.279]  We have it every year.
[00:50:45.279 --> 00:50:47.681]  It spreads out across an entire weekend.
[00:50:47.681 --> 00:50:49.123]  It's Guy Fawkes Night.
[00:50:49.123 --> 00:50:51.585]  It's not people celebrating Joe Biden.
[00:50:51.585 --> 00:50:53.387]  So they overtly faked
[00:50:53.827 --> 00:51:01.674]  News articles claiming that, again, to give Biden fake legitimacy, just like they're doing with this Covid vaccine, giving him credit for it.
[00:51:01.674 --> 00:51:11.021]  Now he's calling for the nationwide mask mandate, which is what CNN, military officials, top health experts, again linked to the global elite, have said.
[00:51:11.021 --> 00:51:12.482]  The new normal is this.
[00:51:12.482 --> 00:51:14.564]  You're never getting back to the old normal.
[00:51:14.564 --> 00:51:16.726]  It's lockdowns, it's masks, it's
[00:51:17.267 --> 00:51:22.949]  We say jump, you say how high, and that's integrally what the Great Reset is all about.
[00:51:22.949 --> 00:51:31.712]  And by the way, people are in such fear that I ran into a lady a few weeks ago that I know, nice lady, and she's been wearing a mask for months, and I said, are you always going to wear that?
[00:51:31.712 --> 00:51:34.753]  Because Bill Gates said he wants you to wear it for 10 years.
[00:51:34.753 --> 00:51:37.074]  And she started crying.
[00:51:37.074 --> 00:51:39.355]  And she said, don't be mean to me.
[00:51:39.355 --> 00:51:41.556]  And I said, I'm just talking to you nicely.
[00:51:42.506 --> 00:51:49.249]  But people are so emotional about this, because when they wear the mask, they hate the mask, but they think it's a fear.
[00:51:49.249 --> 00:51:50.869]  And so it's all just psychological warfare.
[00:51:50.869 --> 00:51:55.411]  And all these psychiatrists, all these psychologists, all these major medical firms are saying it's all a lie.
[00:51:55.411 --> 00:51:56.512]  They get censored.
[00:51:56.512 --> 00:51:58.232]  It's not mainline science saying this.
[00:51:58.232 --> 00:51:59.433]  This is a damn cult, man.
[00:51:59.433 --> 00:52:01.854]  They have really Stockholm Syndrome, Paul.
[00:52:01.854 --> 00:52:03.034]  How do we get out of this?
[00:52:03.034 --> 00:52:04.475]  How do we reverse this?
[00:52:04.475 --> 00:52:06.836]  How do we stop this globalist takeover?
[00:52:08.464 --> 00:52:15.232]  Well, the only thing to do is mass civil disobedience, which is what's happening in Manchester, in London, and it's happening in Germany, many major cities.
[00:52:15.232 --> 00:52:17.375]  It's growing, it's growing, and it's growing.
[00:52:17.375 --> 00:52:19.317]  They're not going to stop here.
[00:52:19.317 --> 00:52:24.683]  The World Economic Forum has already announced they want this, what they call, Common Pass.
[00:52:24.683 --> 00:52:27.707]  And they show screenshots from the app where it says, you know,
[00:52:28.129 --> 00:52:33.193]  Seventh of November, COVID PCR test, then that's going to be the vaccine added in.
[00:52:33.193 --> 00:52:49.864]  You're not only going to not be able to travel on airlines if you don't have this vaccine, Uber already has a thing, we had an article about this months ago, where if you refuse to wear a mask and then the driver reports you, you're not allowed to get another Uber until you take a selfie and submit.
[00:52:49.864 --> 00:52:51.305]  That's right, they're already creating
[00:52:51.445 --> 00:52:54.146]  They're already arresting people not wearing them on planes.
[00:52:54.146 --> 00:52:56.508]  They're already creating the no-fly list, the no-drive list.
[00:52:56.508 --> 00:52:57.828]  This is big tech.
[00:52:57.828 --> 00:52:59.689]  Is it just going to censor your online, folks?
[00:52:59.689 --> 00:53:02.211]  They're going to enforce the medical tyranny over you.
[00:53:02.211 --> 00:53:05.533]  That's what top scientists are saying.
[00:53:05.533 --> 00:53:12.476]  Yeah, and it's the other factor is I don't know how long we've got in this segment, Alex, but it's about property ownership.
[00:53:12.476 --> 00:53:17.619]  Karl Schwab, the WEF globalist, which we wrote about earlier today,
[00:53:18.376 --> 00:53:21.711]  Wrote a book called COVID-19 The Great Reset.
[00:53:21.711 --> 00:53:22.856]  They're not hiding this.
[00:53:22.856 --> 00:53:23.659]  They're proud of it.
[00:53:24.246 --> 00:53:30.230]  And this is based off the World Economic Forum's plan from 2016 which said, quote, Welcome to the year 2030.
[00:53:30.230 --> 00:53:31.571]  I don't own a car.
[00:53:31.571 --> 00:53:32.832]  I don't own a house.
[00:53:32.832 --> 00:53:36.714]  I don't have any... I don't own any appliances or any clothes.
[00:53:36.714 --> 00:53:45.060]  It's global feudalist communism on the basis of solving wealth inequality when in actual fact it's complete and total slavery.
[00:53:45.060 --> 00:53:45.780]  They get all the money.
[00:53:45.780 --> 00:53:46.841]  They get all the power.
[00:53:46.841 --> 00:53:48.322]  Amazon grows and grows and grows.
[00:53:48.322 --> 00:53:49.423]  Walmart grows.
[00:53:49.423 --> 00:53:50.904]  Your small business goes bust.
[00:53:51.534 --> 00:53:56.040]  Misery shared equally, which of course is the definition of communism.
[00:53:56.040 --> 00:54:06.934]  And then they have groups that they pay to riot, who say white people are racist, then they bring in the third world, white people are racist, so white people are supposed to sign on to now being feudal slaves, and we're all slaves together.
[00:54:07.495 --> 00:54:09.817]  But meanwhile, Jeff Bezos and all of them are exempt.
[00:54:09.817 --> 00:54:10.498]  What a nightmare.
[00:54:10.498 --> 00:54:13.821]  And Trump was starting to figure this out, starting to fight it.
[00:54:13.821 --> 00:54:15.143]  And as the world... Paul, stay there.
[00:54:15.143 --> 00:54:15.703]  One more segment.
[00:54:15.703 --> 00:54:24.392]  What is it like, though, you've been working with me 18, 19 years, do your own thing over at summit.news, an amazing job, but you still correspond with us and still collaborate.
[00:54:24.392 --> 00:54:26.334]  What is it like to know how right we were
[00:54:27.034 --> 00:54:33.123]  And how insane it is, and to know what the next steps are, and that we're the only real institution fighting it.
[00:54:33.123 --> 00:54:34.325]  There's just a handful of us.
[00:54:34.325 --> 00:54:39.192]  It's an incredible time to be alive, where everything we warned of is now manifesting exactly as we said.
[00:54:39.192 --> 00:54:40.394]  Hour number two, straight ahead.
[00:54:40.394 --> 00:54:40.795]  Stay with us.
[00:54:43.854 --> 00:54:46.135]  Talk about tomorrow's news today.
[00:54:46.135 --> 00:54:49.297]  This is all very transparent when you war game it out.
[00:54:49.297 --> 00:54:54.960]  Six months ago, InfoWars predicted that the mail-in ballots would be used to steal the election from Trump.
[00:54:54.960 --> 00:55:03.004]  They would simply pause the voting at night and then have an unlimited number that they had in reserve to bring forward in battleground states to secure the victory.
[00:55:03.004 --> 00:55:04.124]  And now that happened.
[00:55:04.124 --> 00:55:09.147]  Now what else did I predict a few months ago and again last week and again last night, all on record?
[00:55:09.147 --> 00:55:11.268]  That when Joe Biden was president-elect,
[00:55:12.128 --> 00:55:13.989]  Via fraud, Trump would challenge it.
[00:55:13.989 --> 00:55:29.813]  But Biden's next move would be to form his own COVID task force, say that Trump is inept and has killed 267,000 Americans, which isn't true, and demand Trump's removal via the 25th Amendment if he doesn't let Joe Biden's new COVID task force give all the new orders.
[00:55:29.813 --> 00:55:34.435]  They'll tell Trump that if he backs down and follows their orders and steps down, they won't blame him for COVID.
[00:55:34.435 --> 00:55:36.135]  But if he doesn't, they're going to blame him for COVID.
[00:55:36.135 --> 00:55:38.976]  But then if he does do what they say, he's still going to blame them anyways.
[00:55:38.976 --> 00:55:41.177]  Plus, this is meant for martial law to destroy the economy.
[00:55:41.418 --> 00:55:42.028]  I warned you all.
[00:55:44.850 --> 00:55:50.013]  I get asked all the time by listeners and by the media, what am I most proud of when it comes to the show?
[00:55:50.013 --> 00:56:07.604]  And it's the fact that InfoWars, more than 25 years ago, doing basic research with what the Club of Rome and the CFR and others were actually saying, developed the hypothesis that communist China had been set up to take our jobs and transfer them to China and then make us economically destitute and position us into debt.
[00:56:07.604 --> 00:56:08.865]  Well, now China owns the debt.
[00:56:08.865 --> 00:56:11.627]  Now China owns Hollywood, all the one-sided trading deals.
[00:56:12.347 --> 00:56:16.990]  It turns out our analysis was absolutely dead on, but again, it wasn't that hard.
[00:56:16.990 --> 00:56:22.633]  The CFR and others admitted what they were doing, but still, others didn't want to focus on that issue.
[00:56:22.633 --> 00:56:27.136]  We did, and you focused on it by supporting us and InfoWars.
[00:56:27.136 --> 00:56:38.203]  So when you go to InfoWarsStore.com and get all the great supplements, books, t-shirts, films, water filtration, air filtration, all of it, you're funding the organization that literally helped make up the world of what's really happening.
[00:56:38.203 --> 00:56:40.004]  So that's a big accomplishment for all of you.
[00:56:40.004 --> 00:56:41.025]  I want to thank you for your support.
[00:56:46.747 --> 00:56:50.030]  You're listening to The Alex Jones Show.
[00:56:50.030 --> 00:56:57.116]  Oh baby, I'm gonna teach you what love's all about tonight.
[00:56:57.116 --> 00:56:58.798]  Trust me, baby.
[00:56:58.798 --> 00:57:00.019]  Trust me, honey.
[00:57:00.019 --> 00:57:02.281]  Everything's gonna be alright.
[00:57:18.163 --> 00:57:30.730]  All right, final segment with Paul Watson.
[00:57:30.730 --> 00:57:33.732]  He's going to take over in the fourth hour.
[00:57:33.732 --> 00:57:39.335]  He will be uninterrupted to go into this incredible stuff that Sargeant Bishop put out that is dead on Veritas.
[00:57:39.335 --> 00:57:42.937]  The great reset, how to fight back against the election and more.
[00:57:42.937 --> 00:57:44.718]  Roger Stone's coming up next segment with Paul.
[00:57:45.794 --> 00:57:51.838]  Not tooting our horn, but man, this is surreal that there were almost no institutions covering this.
[00:57:51.838 --> 00:57:54.580]  You get massive resistance.
[00:57:54.580 --> 00:57:55.060]  We did it.
[00:57:55.060 --> 00:58:00.003]  You've been with InfoWars working, not doing your own thing at Summit.News, but collaborating with us for 19 years.
[00:58:00.003 --> 00:58:01.464]  Isn't it 19 years now, Paul?
[00:58:01.464 --> 00:58:06.607]  And to just see everything unfolding, is it surreal for you?
[00:58:06.607 --> 00:58:07.948]  It's very otherworldly for me.
[00:58:10.029 --> 00:58:11.211]  I mean, it's surreal.
[00:58:11.211 --> 00:58:18.359]  It's kind of affirming in a sense, but then it's also bizarre in the sense that that's why they did the deplatforming.
[00:58:18.359 --> 00:58:23.745]  That's why you literally have Wikipedia controlled by this tranche of left-wing zealots.
[00:58:24.812 --> 00:58:32.697]  They do the fact-checking, and so if you go on Wikipedia, look on the Great Reset, I imagine it's just a wild conspiracy theory, even as they're admitting it.
[00:58:32.697 --> 00:58:35.659]  It's that notion of the fact they're laying it all out.
[00:58:35.659 --> 00:58:41.102]  They're calling it the fourth industrial revolution, but if we talk about it and criticize it, then it doesn't exist.
[00:58:41.102 --> 00:58:43.143]  One more point though, Alex, on that.
[00:58:43.143 --> 00:58:49.587]  This Karl Schwab World Economic Forum, who by the way is invested in all the vaccine manufacturing, just by coincidence,
[00:58:50.271 --> 00:59:00.119]  In his book, The Great Reset, which doesn't exist simultaneously because we're talking about it, he says, many of us are pondering when things will return to normal.
[00:59:00.119 --> 00:59:02.281]  The short response is, never.
[00:59:02.281 --> 00:59:05.523]  Now, if you listen to this guy talk, he sounds like Dr. Strangelove.
[00:59:05.523 --> 00:59:06.704]  I'll put it in one of my videos.
[00:59:06.704 --> 00:59:10.627]  All of us will have to hide it in the pit with the belly buttons.
[00:59:10.627 --> 00:59:10.928]  But then,
[00:59:12.086 --> 00:59:21.773]  Key paragraph or sentence in his book, he says, quote, unlike certain past epidemics, COVID-19 doesn't pose a new existential threat.
[00:59:21.773 --> 00:59:27.137]  So therein he's knowingly acknowledging that they exaggerated the threat to seize the power.
[00:59:27.137 --> 00:59:29.138]  Now, what does that remind you of?
[00:59:29.138 --> 00:59:36.704]  Bearing in mind, these same people behind the Great Reset were behind the global warming hysteria agenda.
[00:59:36.704 --> 00:59:39.606]  1993, the Club of Rome, its co-founder Alexander King,
[00:59:40.168 --> 00:59:42.149]  Wrote the first global revolution.
[00:59:42.995 --> 00:59:46.717]  Stating, quote, the common enemy of humanity is man.
[00:59:46.717 --> 00:59:53.942]  In searching for a new enemy to unite us, we came up with the idea that pollution, the threat of global warming, famine and the like, would fit the bill.
[00:59:53.942 --> 00:59:58.565]  So they're continuing that same theme, the common enemy of man is man.
[00:59:58.565 --> 01:00:06.370]  We're all super spreaders, we're all infected, and the technocratic global elite needs to save us from our own downfall.
[01:00:06.370 --> 01:00:10.512]  And it's all the same people that were behind it back in the late 80s, early 90s,
[01:00:11.593 --> 01:00:13.919]  ...behind it now and their sons and daughters.
[01:00:13.919 --> 01:00:14.901]  It's the same elite.
[01:00:15.993 --> 01:00:17.713]  And what you're saying is not speculation.
[01:00:17.713 --> 01:00:18.474]  You've read the book.
[01:00:18.474 --> 01:00:19.834]  They put this out four years ago.
[01:00:19.834 --> 01:00:22.654]  They said, our global warming scam isn't working.
[01:00:22.654 --> 01:00:23.395]  We need something new.
[01:00:23.395 --> 01:00:25.515]  And they said, something like a virus.
[01:00:25.515 --> 01:00:26.995]  That'll create a global government.
[01:00:26.995 --> 01:00:29.316]  That'll teach us that humans are obsolete.
[01:00:29.316 --> 01:00:31.056]  That'll cut the carbon footprint.
[01:00:31.056 --> 01:00:34.017]  And then that allows the AI takeover, because we can't leave our house.
[01:00:34.017 --> 01:00:35.637]  The robots have to bring things to us.
[01:00:35.637 --> 01:00:43.839]  But really, we're all just being made obsolete in the post-human world, which even Newsweek and Associated Press and Reuters and NBC News and the Wall Street Journal
[01:00:44.119 --> 01:00:47.044]  Write articles about dreaming about the post-human future.
[01:00:47.044 --> 01:00:47.705]  That's what this is.
[01:00:49.025 --> 01:00:57.932]  Right, and the AI takeover is facilitated by the public humiliation, by the cancel culture, which feeds into the social credit score.
[01:00:57.932 --> 01:01:06.239]  So it's not just, if you're a good citizen and you're behaving, if you're friends with someone who's violated a lockdown law, then you get punished.
[01:01:06.239 --> 01:01:11.063]  So it's about merging the public humiliation cancel culture into the social credit score.
[01:01:11.063 --> 01:01:14.586]  That's right, if somebody doesn't wear a mask inside your house, you're all in trouble.
[01:01:14.586 --> 01:01:17.348]  So it's about getting us all to be robots to enforce on each other.
[01:01:18.300 --> 01:01:21.362]  Exactly, the prisoners guarding the other prisoners.
[01:01:21.362 --> 01:01:25.225]  Headline, Hitachi develops fish bubble to enforce social distancing.
[01:01:25.225 --> 01:01:30.429]  You set off an alert if you get too near to another person, you lose two points on your social credit score.
[01:01:30.429 --> 01:01:34.012]  Now you can't buy a train ticket, now you can't fly, now you can't go and see your family.
