[00:00:08.604 --> 00:00:10.165]  It's all a PSYOP.
[00:47:05.510 --> 00:47:14.294]  But inside of that, they're going to have missions to take over courthouses and capitals, and have nighttime raids, and snatch and grabs, and to take out the states.
[00:47:15.054 --> 00:47:16.716]  Well, a mission just ended with the U.S.
[00:47:16.716 --> 00:47:20.840]  Army soldiers from the 202 Military Intelligence Battalion in Salt Lake City, Utah.
[00:47:20.840 --> 00:47:26.205]  They were conducting scenario-based surveillance, either dismounted, walking, or mounted driving.
[00:47:26.205 --> 00:47:30.729]  Dressed in civilian clothes, walking through the seats doing the surveillance spy.
[00:47:31.850 --> 00:47:46.760]  My dad's uncle just died two years ago and I mean he was an army officer and after that got recruited to the CIA and all he told my dad was, he's dead now, but my dad knew about it, was that he basically was a hitman for the CIA.
[00:47:46.760 --> 00:47:48.601]  That's who they recruit is army officers.
[00:47:48.601 --> 00:47:51.363]  But they just sit here and act like this has never been going on.
[00:47:51.363 --> 00:47:53.465]  They just play stupid Joe and I'm sick of it.
[00:47:53.465 --> 00:47:58.708]  But now they're not training army officers to say take out Russian spies in Chicago.
[00:47:58.708 --> 00:48:00.870]  The kind of stuff that my dad's uncle would do.
[00:48:01.850 --> 00:48:04.872]  They're training to take on the Tea Party with hit teams.
[00:48:04.872 --> 00:48:06.092]  And that's illegal.
[00:48:06.092 --> 00:48:07.093]  We're gonna talk about it.
[00:48:07.093 --> 00:48:07.973]  Well, they know we're right.
[00:48:07.973 --> 00:48:10.555]  That's why they keep calling us conspiracy groups.
[00:48:10.555 --> 00:48:22.661]  Because years ago when we talked about the phones spying on you, but the phones having the backdoor to the NSA, when we said that the TVs were listening to you, when we said all this was going on, they said we were crazy, they said we're conspiracy theorists, and now it's all come out.
[00:48:22.661 --> 00:48:26.363]  It's just like, unless Snopes writes about it or if it's on Fox, it's not true.
[00:48:26.363 --> 00:48:28.565]  But we all know now that that's what's going on.
[00:48:28.565 --> 00:48:30.806]  When Michael Hastings got hit, his car blew up.
[00:48:31.266 --> 00:48:33.228]  We said that there was... He said, I'm running, they're coming at me.
[00:48:33.228 --> 00:48:34.989]  You talked to his friends, and they killed him.
[00:48:34.989 --> 00:48:38.913]  And we said it's possible that a car could be hacked, taken over, and something like that could happen.
[00:48:38.913 --> 00:48:39.914]  No, you guys are crazy.
[00:48:39.914 --> 00:48:41.135]  You're out of your mind.
[00:48:41.135 --> 00:48:43.317]  Now it's all over mainstream media, and it's okay.
[00:48:43.317 --> 00:48:48.622]  Now they kind of forget the fact that they bashed us the entire time, and now we're kind of like, okay, they let us back in.
[00:48:49.002 --> 00:48:53.866]  And then now we come out talking about this, but wonder how they're going to feel in about five years when they're all locked up.
[00:48:53.866 --> 00:48:56.187]  Well, Hastings became a total patriot.
[00:48:56.187 --> 00:49:01.911]  His wife's obviously a high-level spy working at the National Security Council in the actual Star Chamber.
[00:49:01.911 --> 00:49:05.834]  And Hastings, as you said, was in a lot of battles with you, wasn't scared at all compared to other media.
[00:49:05.834 --> 00:49:08.596]  He was the bravest journalist I'd ever seen in combat.
[00:49:08.596 --> 00:49:11.018]  And that's why he got all those powerful reports.
[00:49:11.018 --> 00:49:18.443]  He went on TV and said, evil's taken over, Republicans and Democrats are run, the nation's going under tyranny, we have to declare war on this, and they killed him.
[00:49:21.124 --> 00:49:26.288]  I mean- And they could kill us tomorrow, and don't say that we crashed the car, folks, or that we killed ourselves.
[00:49:26.288 --> 00:49:27.328]  It's not true.
[00:49:27.328 --> 00:49:30.110]  And we're not whining, we're not worried about it, we're doing the right thing here.
[00:49:30.110 --> 00:49:35.774]  There's no way we could just back down from this, but to watch them sit there and deny this is going on.
[00:49:35.774 --> 00:49:37.075]  They've got a problem, Joe.
[00:49:37.075 --> 00:49:39.137]  You talk to the military, I talk to the military.
[00:49:39.137 --> 00:49:40.918]  Almost all of them are awake to what's going on.
[00:49:41.078 --> 00:49:42.719]  Oh yeah, it's not the soldiers you have to worry about.
[00:49:42.719 --> 00:49:44.440]  It's not the lower enlisted guys.
[00:49:44.440 --> 00:49:50.722]  It's the ones who've been in there for years and years, who are basically politicians at this point, working at the Pentagon, things like that.
[00:49:50.722 --> 00:49:51.823]  Those are the ones you have to worry about.
[00:49:51.823 --> 00:49:57.446]  It's not your everyday private to Sergeant First Class, Master Sergeant type ranks you've got to worry about.
[00:49:57.446 --> 00:49:59.847]  These are the guys who are just basically trying to make a living.
[00:49:59.847 --> 00:50:06.710]  They want to get out, do their time, take care of their family, go out, go home, go shoot guns, have a barbecue, you know, just live the American life.
[00:50:07.370 --> 00:50:08.251]  They're not out there.
[00:50:08.251 --> 00:50:11.293]  And now they've been listed as the number one enemy when they have the takeover.
[00:50:11.293 --> 00:50:16.677]  The Pentagon can't get around the hundreds of documents saying that they're going to target the vets.
[00:50:16.677 --> 00:50:17.498]  Well, it's another thing, too.
[00:50:17.498 --> 00:50:29.827]  A lot of my friends who are wanting to get out are now scared to get out and are willing to re-enlist for another 10 years or so to finish off their, to get their retirement because they know that the VA is so bad, they know that they're not going to be taken care of, that they have depression problems.
[00:50:29.827 --> 00:50:34.670]  They know that they've had problems with drug addiction when it comes to Percocets and things like that.
[00:50:34.670 --> 00:50:35.551]  These are problems created by...
[00:50:35.811 --> 00:50:36.191]  What are you doing?
[00:50:36.191 --> 00:50:39.375]  Are you finally getting any medical treatment for all your shrapnel and stuff now?
[00:50:39.375 --> 00:50:40.876]  No, I just don't even worry about it.
[00:50:40.876 --> 00:50:42.178]  I just stopped going to the VA.
[00:50:42.178 --> 00:50:43.999]  At this point in time, it really doesn't matter.
[00:50:43.999 --> 00:50:46.862]  I just, I leave it alone and I don't take anything.
[00:50:46.862 --> 00:50:49.225]  Are you still coughing up blood?
[00:50:49.225 --> 00:50:57.994]  That hasn't happened in a while, but I mean, I've kind of calmed down a lot of the stuff and started looking at a lot of the intake of what I was drinking or eating to kind of cut back on that to minimize it.
[00:50:57.994 --> 00:50:58.374]  Good job.
[00:50:58.374 --> 00:50:58.955]  We're gonna be right back.
[00:50:59.983 --> 00:51:02.844]  This hour of GCN, brought to you by Lissig.
[00:51:02.844 --> 00:51:08.227]  The highest quality smokeless cigarettes, e-liquids, e-cig refills, car chargers and starter kits.
[00:51:08.227 --> 00:51:10.008]  Kick some ash with Lissig.
[00:51:10.008 --> 00:51:14.851]  Call 870-525-1440 or visit Lissig.com.
[00:51:14.851 --> 00:51:17.212]  Hi, Ted Anderson with Midas Resources.
[00:51:17.212 --> 00:51:21.894]  Is it time to convert paper 401ks and IRAs to solid gold and silver yet?
[00:51:21.894 --> 00:51:23.675]  Get our 10 Reasons book free.
[00:51:23.675 --> 00:51:23.975]  Call 800-686-2237.
[00:51:23.975 --> 00:51:24.155]  That's 800-686-2237.
[00:51:29.998 --> 00:51:31.159]  It's happening again.
[00:51:31.159 --> 00:51:34.780]  The Feds are trying to ban your freedom to own body armor.
[00:51:34.780 --> 00:51:38.202]  In January, a newly introduced bill, H.R.
[00:51:38.202 --> 00:51:42.264]  378, will take away your right to buy level 3 and higher body armor.
[00:51:42.264 --> 00:51:47.766]  Katie Armor offers the most affordable level 3 body armor packages on the market today.
[00:51:47.766 --> 00:51:48.867]  Protect yourself.
[00:51:48.867 --> 00:51:52.128]  Buy your body armor now before it's too late.
[00:51:52.128 --> 00:51:53.669]  Go to katiarmor.com.
[00:51:53.669 --> 00:51:55.570]  That's k-a-t-i-armor.com.
[00:51:55.570 --> 00:51:56.570]  Come and take it.
[00:51:59.278 --> 00:52:00.239]  Hey, how you doing, Alex?
[00:52:00.239 --> 00:52:00.799]  Good, brother.
[00:52:00.799 --> 00:52:02.761]  Just recently started using your products.
[00:52:02.761 --> 00:52:04.482]  Everything you said about them is correct.
[00:52:04.482 --> 00:52:08.505]  Me and my wife both use a lot of them, and it's made a lot of changes in our lives here.
[00:52:08.505 --> 00:52:11.128]  Well, thank you, brother, because it also funds our operation.
[00:52:11.128 --> 00:52:13.550]  But doing that, I know I've got to have the highest quality.
[00:52:13.550 --> 00:52:21.516]  Super Mel Vitality was developed to activate your body's own natural processes instead of using synthetic chemicals.
[00:52:21.756 --> 00:52:24.960]  We do the super male and the super female vitality.
[00:52:24.960 --> 00:52:26.502]  Big changes, a lot of energy.
[00:52:26.502 --> 00:52:29.425]  We've gotten off of the cheap energy drinks, energy shots.
[00:52:29.425 --> 00:52:31.187]  Saving a ton of money there.
[00:52:31.187 --> 00:52:36.613]  Sourced from powerful organic herbs harvested around the planet and then concentrated
[00:52:36.613 --> 00:52:37.373]  We're good to go.
[00:52:59.002 --> 00:53:00.403]  Hey, sorry I'm running late.
[00:53:00.403 --> 00:53:02.544]  I had to stop and get my vitamins for the month.
[00:53:02.544 --> 00:53:05.865]  I got mine in the mail yesterday from DiscountNutritionShop.com.
[00:53:05.865 --> 00:53:08.126]  So I'm here, totally on time.
[00:53:08.126 --> 00:53:10.227]  DiscountNutritionShop.com?
[00:53:10.227 --> 00:53:12.788]  Yup, they're a lifesaver in more ways than one.
[00:53:12.788 --> 00:53:14.909]  They have all the nutritional supplements you need.
[00:53:14.909 --> 00:53:16.130]  The major brands you know.
[00:53:16.130 --> 00:53:18.011]  Plus you can save up to 10%.
[00:53:18.011 --> 00:53:18.811]  Write down this number.
[00:53:18.811 --> 00:53:19.111]  888-908-4548.
[00:53:19.111 --> 00:53:19.211]  Huh?
[00:53:19.211 --> 00:53:19.271]  888-908-4548.
[00:53:19.271 --> 00:53:20.892]  Or just go to DiscountNutritionShop.com.
[00:53:28.407 --> 00:53:35.592]  There are hundreds of silver products on the market today, but there's nothing like the astonishing health benefits of the multi-patented One Silver Solution.
[00:53:35.592 --> 00:53:40.915]  Boost your immune system at a great price with our silver solution liquid in regular and extra strength.
[00:53:40.915 --> 00:53:46.159]  Our silver soap, made with all natural organic ingredients, leaves your skin clean and refreshed.
[00:53:46.159 --> 00:53:49.181]  Call 844-USE-SILVER for your free catalog.
[00:53:49.181 --> 00:53:49.661]  844-USE-SILVER.
[00:53:49.661 --> 00:53:51.763]  Or go to onesilversolution.com.
[00:53:51.763 --> 00:53:52.743]  Onesilversolution.com.
[00:53:52.743 --> 00:53:54.445]  There is only One Silver Solution.
[00:54:12.009 --> 00:54:15.053]  I was a prisoner of doubt.
[00:54:15.053 --> 00:54:20.099]  Well, there is no doubt that the globalists have accelerated their takeover.
[00:54:21.605 --> 00:54:23.345]  300% last year?
[00:54:23.345 --> 00:54:25.806]  That's my real guesstimate, 300%.
[00:54:25.806 --> 00:54:46.270]  All hell is breaking loose, and the real psyop here is they're putting the military and the police in unconstitutional missions that are going to demonize them with the people, and then the globalists don't get the blame and sit there and deny it's going on, or then offer reforms that actually give them even more power over the police and military.
[00:54:47.682 --> 00:54:52.805]  So we owe it to the military to not let them be used in this treasonous way.
[00:54:52.805 --> 00:54:53.565]  And again, I'll say it.
[00:54:53.565 --> 00:54:55.026]  The most await group is the military.
[00:54:55.026 --> 00:54:56.206]  Next is the police.
[00:54:56.206 --> 00:54:58.568]  And the police have some of the biggest problems out there.
[00:54:58.568 --> 00:54:59.868]  But that's how the world works.
[00:54:59.868 --> 00:55:00.829]  It's usually a paradox.
[00:55:00.829 --> 00:55:04.971]  Like America is the world's hope or the world's damnation.
[00:55:04.971 --> 00:55:09.153]  The military and the police are our hope or our damnation.
[00:55:09.153 --> 00:55:10.254]  That's how it works.
[00:55:10.254 --> 00:55:12.595]  You are the hope, listeners, or our damnation.
[00:55:14.232 --> 00:55:15.293]  You are the resistance.
[00:55:15.293 --> 00:55:16.455]  You are the answer.
[00:55:16.455 --> 00:55:17.436]  America is great.
[00:55:17.436 --> 00:55:19.218]  America has been special.
[00:55:19.218 --> 00:55:22.002]  America was given providence.
[00:55:22.002 --> 00:55:24.425]  George Washington and our founders were amazing.
[00:55:24.425 --> 00:55:25.867]  They did change the world.
[00:55:25.867 --> 00:55:28.490]  Do we just let the globalists usurp that?
[00:55:28.490 --> 00:55:30.472]  And use a bunch of fancy propaganda on us?
[00:55:30.472 --> 00:55:31.353]  Look around you!
[00:55:32.421 --> 00:55:36.503]  Tyranny is accelerating and they're going to target everyone.
[00:55:36.503 --> 00:55:42.285]  They put tyrannies in place to rob populations, to make you poor, to conquer you.
[00:55:42.285 --> 00:55:45.627]  Globalists want to conquer nations and enslave.
[00:55:45.627 --> 00:55:49.009]  Our founders wanted wealth and power and prestige.
[00:55:49.009 --> 00:55:50.889]  They believed in humanity.
[00:55:50.889 --> 00:55:54.151]  It's a renaissance economy or a conquering economy.
[00:55:55.387 --> 00:55:56.950]  We've become an empire.
[00:55:56.950 --> 00:56:02.800]  And now the empire is in trouble and it's looking to enslave us domestically.
[00:56:02.800 --> 00:56:06.407]  Because the empire is meant to fall into the larger global government empire.
[00:56:07.947 --> 00:56:13.370]  And they're telling those in the American empire, set up this police state, purge your people, and you'll run the empire.
[00:56:13.370 --> 00:56:15.792]  But in truth, they're going to be set up in the end as well.
[00:56:15.792 --> 00:56:18.774]  David Rockefeller and Brzezinski have written books!
[00:56:18.774 --> 00:56:21.395]  It's a plan to triple cross!
[00:56:21.395 --> 00:56:25.598]  So I know a lot of military brass, others that go, yeah, we're an empire, big deal, the world's rough.
[00:56:25.598 --> 00:56:28.319]  Yeah, we do evil stuff, but be glad it's us, not somebody else.
[00:56:28.319 --> 00:56:31.101]  We're gonna run it here from the top, and it'll be alright, Jones.
[00:56:31.101 --> 00:56:32.642]  Why do you think he's still alive?
[00:56:32.642 --> 00:56:34.103]  You ought to really join us.
[00:56:34.103 --> 00:56:37.025]  I've been told this by famous, you name it, you've heard some of them on the show.
[00:56:37.825 --> 00:56:44.490]  And, but off record, trying to get me to join them, and I'm just like, look long term, this is going to end up screwing everybody.
[00:56:44.490 --> 00:56:47.213]  Getting rid of due process is like the ring of Mordor.
[00:56:47.213 --> 00:56:49.034]  It will bite you in the butt every time.
[00:56:49.034 --> 00:56:51.296]  I will not be part of this.
[00:56:51.296 --> 00:56:56.800]  Joe Biggs, again, what do you make of the massive rollout of TSA on the streets?
[00:56:56.800 --> 00:57:00.043]  Military popping up everywhere, TSA popping up.
[00:57:00.043 --> 00:57:01.764]  What do you think they're building towards, Joe?
[00:57:01.764 --> 00:57:03.806]  Why do you think they're accelerating the power grab?
[00:57:04.315 --> 00:57:05.639]  What was it like with the 10-33 program?
[00:57:05.639 --> 00:57:07.966]  They're bringing all this military gear in, dumping it off.
[00:57:09.306 --> 00:57:13.327]  And do I really think that they want these police departments and fire departments to really use them?
[00:57:13.327 --> 00:57:18.608]  No, it's almost like the mentality when you're back in garrison in the army.
[00:57:18.608 --> 00:57:26.550]  You let the privates take care of the equipment and when it's time to go train and actually do an exercise, or to actually use it in combat, then you get to go play with the toy.
[00:57:26.550 --> 00:57:31.251]  The government's dumping off all this stuff strategically, placing it all across- Letting locals pay for the upkeep.
[00:57:31.251 --> 00:57:33.872]  Yes, let them pay for the upkeep, let them do the maintenance.
[00:57:34.432 --> 00:57:49.543]  All that makes sure everything's fine, and when it's time that they want to come in, they take it over, they will use it, they will be the ones running up and down the street, driving the MRAPs, and they'll be essentially pushing the police aside, making them do smaller tasks, but the government will be the ones who run in and- The police will be like interns.
[00:57:49.543 --> 00:57:49.683]  Yeah.
[00:57:50.862 --> 00:57:57.728]  They're the ones who are doing the stuff now, the no-knock raids, all this, feeling like, hey, I'm gonna, you know, this is gonna pay off one day.
[00:57:57.728 --> 00:57:59.169]  But it's not going to.
[00:57:59.169 --> 00:58:01.171]  You know, all this stuff that they're doing right now is horrible.
[00:58:01.171 --> 00:58:03.233]  No-knock raids are the worst thing ever.
[00:58:03.233 --> 00:58:05.535]  And then on top of that, you start adding these MRAPs to it.
[00:58:05.535 --> 00:58:07.417]  You're rolling up, you're scaring the hell out of people.
[00:58:07.417 --> 00:58:10.340]  They're expanding and quadrupling the size of SWAT teams.
[00:58:10.340 --> 00:58:16.225]  I mean, they're doing warrant service now just on marijuana stuff with armored vehicles and middle-of-the-night stuff.
[00:58:16.225 --> 00:58:17.106]  It's a terror force.
[00:58:17.586 --> 00:58:18.427]  Yeah, exactly.
[00:58:18.427 --> 00:58:23.009]  I mean, you've got to think, most people have some kind of firearm at their home.
[00:58:23.009 --> 00:58:26.591]  And what's anyone's reaction going to be when they hear a busting down of their door?
[00:58:26.591 --> 00:58:27.932]  To shoot!
[00:58:27.932 --> 00:58:32.315]  And then they use that against, they go, well, this guy, this suspect shot a cop in the face.
[00:58:32.315 --> 00:58:35.136]  Yeah, during a no-knock raid.
[00:58:35.136 --> 00:58:38.559]  Because you're not a criminal, you're not expecting to be hit by a death squad.
[00:58:38.559 --> 00:58:40.340]  We'll be back, stay with us.
[00:58:40.340 --> 00:58:43.962]  I mean, there's a need for small SWAT teams, but they're just turning them into huge
[00:58:45.235 --> 00:58:46.622]  It's a takeover.
[00:58:46.622 --> 00:58:47.647]  It's Rand Corporation.
[00:58:47.647 --> 00:58:47.948]  Set it.
[00:58:47.948 --> 00:58:48.350]  We'll be back.
[00:58:49.952 --> 00:58:53.434]  When cells become toxic, they die early and aging sets in.
[00:58:53.434 --> 00:59:01.679]  No one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[00:59:01.679 --> 00:59:07.103]  Just one of the key compounds, BioPQQ, is backed by major clinical studies.
[00:59:07.103 --> 00:59:09.624]  You want the best that's out there at the lowest price anywhere?
[00:59:09.624 --> 00:59:11.726]  We now have the synergistic solution.
[00:59:11.726 --> 00:59:15.928]  Secure your DNA force today at InfoWarsLife.com or call toll-free 888-253-3139.
[00:59:19.918 --> 00:59:24.519]  The average person's life is filled with unexpected challenges.
[00:59:24.519 --> 00:59:30.901]  Unlock the energy it takes to defeat these daily beasts with super male or super female vitality.
[00:59:30.901 --> 00:59:40.284]  Specifically designed to assist the body in regulating proper hormone balance to create superior vitality in males and females.
[00:59:40.284 --> 00:59:45.126]  Supercharge and conquer your world at Infowarslife.com or call 1-888-253-3139.
[00:59:52.069 --> 01:00:06.157]  You're listening to the Alex Jones Show.
[01:00:06.157 --> 01:00:07.458]  Big Brother.
[01:00:07.458 --> 01:00:09.239]  Mainstream media.
[01:00:09.239 --> 01:00:11.000]  Government cover-ups.
[01:00:11.000 --> 01:00:12.581]  You want answers?
[01:00:12.581 --> 01:00:13.461]  Well, so does he.
[01:00:13.461 --> 01:00:14.662]  It's Alex Jones, folks!
[01:00:14.662 --> 01:00:17.704]  He's Alex Jones on the GCN Radio Network.
[01:00:18.300 --> 01:00:24.064]  And now, live from Austin, Texas, Alex Jones.
[01:00:24.064 --> 01:00:33.551]  Coming up, Texas City pushes back against Sharia law, and the Islamists were protesting it.
[01:00:33.551 --> 01:00:37.134]  Rand Paul says he's the only one that can beat Hillary Clinton.
[01:00:37.134 --> 01:00:39.295]  I do think overall he's a better candidate than Ted Cruz.
[01:00:39.295 --> 01:00:43.959]  Man, Ted Cruz is really, I like what he's saying.
[01:00:43.959 --> 01:00:46.721]  Monsanto hit with fine for genetically contaminated wheat supply.
[01:00:47.321 --> 01:00:48.822]  We're going to look at this new article out.
[01:00:48.822 --> 01:00:51.244]  It's on DrugsReport.com, unindependent.
[01:00:51.244 --> 01:00:53.685]  Angelina Jolie has ovaries removed.
[01:00:53.685 --> 01:00:58.308]  I know my children will never have to say mom died of ovarian cancer.
[01:00:58.308 --> 01:01:00.410]  They're telling you everybody's getting cancer because of genetics.
[01:01:00.410 --> 01:01:05.033]  No, you're predisposed when you go into certain toxins to then trigger the cancer.
[01:01:06.555 --> 01:01:14.722]  And we've got Dr. Joel Wallach joining us to talk about his best-selling book that we sell, TheInfoWarStore.com, Epigenetics, and more today.
[01:01:14.722 --> 01:01:16.844]  But, Joel, I've been ranting here.
[01:01:16.844 --> 01:01:22.828]  What is it like for you to go from being in Stars and Stripes or Army Times, you know, as a hero,
[01:01:24.029 --> 01:01:28.432]  Uh, and then now they're saying, we don't even know he was in the military, you know, basically implying that.
[01:01:28.432 --> 01:01:37.318]  Uh, and then basically saying we're liars and anti-military because we don't want the military being used for domestic takeovers, which they admit they've gotten rid of Posse Comitatus.
[01:01:37.318 --> 01:01:39.319]  I mean, this is hiding in plain view.
[01:01:39.319 --> 01:01:41.701]  Your buddy calls up and says, yeah, we're running a PSYOP.
[01:01:41.701 --> 01:01:42.521]  Stay out of it, Joe.
[01:01:42.521 --> 01:01:44.222]  I mean, there's this arrogance.
[01:01:44.222 --> 01:01:46.484]  It's just, I mean, folks, this is serious.
[01:01:46.484 --> 01:01:47.785]  This is not about protecting us.
[01:01:48.470 --> 01:01:54.932]  Yeah, he was saying that, he said, stop putting out your propaganda videos, it's going to ruin our psy-op.
[01:01:54.932 --> 01:01:57.072]  Just plain and simple, right there.
[01:01:57.072 --> 01:02:00.693]  Comes out, I'm like, alright, why do you keep attacking me on it?
[01:02:00.693 --> 01:02:01.714]  So he keeps hitting me.
[01:02:01.714 --> 01:02:04.655]  Now we have the Army Times, we have all these people.
[01:02:04.655 --> 01:02:06.955]  If it was nothing, they wouldn't talk about it.
[01:02:06.955 --> 01:02:08.416]  If it's something that's nothing, what happens?
[01:02:08.416 --> 01:02:10.076]  People just sweep it under the rug and move on.
[01:02:10.076 --> 01:02:15.698]  That's how you know we're over the target, we're talking about this in a manner that is
[01:02:16.872 --> 01:02:19.133]  Got so calm and everyone just so uptight.
[01:02:19.133 --> 01:02:21.514]  They're like, all right, these guys know about this.
[01:02:21.514 --> 01:02:22.314]  People are going to wake up.
[01:02:22.314 --> 01:02:23.594]  People are going to find out what's going on.
[01:02:23.594 --> 01:02:26.275]  All right, let's just start ramping up the propaganda against them.
[01:02:26.275 --> 01:02:27.415]  Let's call them conspiracy theorists.
[01:02:27.415 --> 01:02:28.416]  Let's call them crazy.
[01:02:28.416 --> 01:02:30.176]  Let's say that, you know, they weren't in the military.
[01:02:30.176 --> 01:02:30.816]  Let's do all this.
[01:02:30.816 --> 01:02:32.217]  There's going to be more attacks.
[01:02:32.217 --> 01:02:32.697]  But guess what?
[01:02:32.697 --> 01:02:38.579]  There's so many military people out there I know each and every day who have our backs and who will stand up and do the right thing.
[01:02:39.119 --> 01:02:42.222]  That's right, and the more they lie, the more they lose credibility.
[01:02:42.222 --> 01:02:47.966]  I mean, the military knows that there's unprecedented riot training and gun confiscation training going on.
[01:02:47.966 --> 01:02:48.727]  It's all over the news.
[01:02:48.727 --> 01:02:49.828]  There's cities all over Texas.
[01:02:49.828 --> 01:02:52.710]  They just say we're full of it because we say it's a bad idea.
[01:02:52.710 --> 01:03:01.377]  There's cities all over Texas right now popping up on their websites, like San Angelo today, for instance, came out saying that they will accept the SOCOM's
[01:03:02.942 --> 01:03:03.942]  I don't know.
[01:03:20.689 --> 01:03:26.335]  He said they came to us, it's in preparation for a domestic takeover, and to see who will go along with it.
[01:03:26.335 --> 01:03:29.338]  And then I was told by the police chief of San Antonio on video.
[01:03:29.338 --> 01:03:31.681]  It's not like they've been trying this forever, Joe.
[01:03:31.681 --> 01:03:33.383]  The good news is we're holding it back.
[01:03:33.383 --> 01:03:34.164]  Yeah.
[01:03:34.164 --> 01:03:34.604]  Go ahead.
[01:03:34.604 --> 01:03:38.849]  Just west of Abilene, they came out, there's a city, can't remember what it's called, like Howard County, something like that.
[01:03:39.605 --> 01:03:44.510]  Where they said they've already accepted the invitation as well, and there's going to be a lot of airborne operations going on.
[01:03:44.510 --> 01:03:48.514]  So troops jumping out of planes like Red Dawn, coming in, landing in your backyard.
[01:03:48.514 --> 01:03:51.858]  That's going to scare the living hell out of people, knowing that this is going on.
[01:03:51.858 --> 01:03:53.499]  Why can't you do this on your own base?
[01:03:53.499 --> 01:03:55.702]  We have installations that are built for training.
[01:03:55.702 --> 01:03:58.585]  They have Fort Hood that's like a 10th of Texas.
[01:03:58.585 --> 01:04:00.326]  But that's how you know it's a PSYOP.
[01:04:01.067 --> 01:04:01.387]  Why?
[01:04:01.387 --> 01:04:07.033]  We have so much money we've dumped into these training facilities all over America on these giant bases.
[01:04:07.033 --> 01:04:10.737]  If we're not going to use them, what's the point?
[01:04:10.737 --> 01:04:11.637]  Why do we need to bring this?
[01:04:11.637 --> 01:04:16.262]  Well, they admit it's for a PSYOP to identify, they say in the document, who will work with them.
[01:04:16.262 --> 01:04:20.666]  I mean, are you going to be working with the Abilene or the San Angelo police in Afghanistan?
[01:04:20.666 --> 01:04:20.886]  No!
[01:04:21.889 --> 01:04:23.290]  I mean, this is out of control.
[01:04:23.290 --> 01:04:24.571]  I mean, I can't stand it.
[01:04:24.571 --> 01:04:29.954]  The Austin SWAT team got secretly trained a few years ago at Fort Hood to quote, take out terrorists.
[01:04:29.954 --> 01:04:32.035]  And then we learned part of the training was Tea Party.
[01:04:32.035 --> 01:04:35.778]  The military is training the police to kill real Americans.
[01:04:35.778 --> 01:04:37.919]  It's treason.
[01:04:37.919 --> 01:04:39.900]  It is treason, Joe.
[01:04:39.900 --> 01:04:40.961]  It's just sickening.
[01:04:40.961 --> 01:04:44.243]  But plus, Joe, you were in Afghanistan and Iraq.
[01:04:44.243 --> 01:04:46.405]  I mean, can you imagine you guys
[01:04:47.435 --> 01:04:50.277]  Because they wouldn't actually let you win because it was really just a big money making operation.
[01:04:50.277 --> 01:04:54.139]  Can you imagine actually having to fight the American people?
[01:04:54.139 --> 01:04:56.080]  That would be the hardest battle ever.
[01:04:57.079 --> 01:05:00.321]  There's a lot of true patriots out there who are not going to back down.
[01:05:27.402 --> 01:05:28.369]  Just won't quit.
[01:05:29.778 --> 01:05:33.300]  When cells become toxic, they die early and aging sets in.
[01:05:33.300 --> 01:05:41.543]  No one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[01:05:41.543 --> 01:05:46.965]  Just one of the key compounds, BioPQQ, is backed by major clinical studies.
[01:05:46.965 --> 01:05:49.486]  You want the best that's out there at the lowest price anywhere?
[01:05:49.486 --> 01:05:51.607]  We now have the synergistic solution.
[01:05:51.607 --> 01:05:55.789]  Secure your DNA force today at InfoWarsLife.com or call toll-free 888-253-3139.
[01:05:59.568 --> 01:06:00.529]  Hey, how you doing, Al?
[01:06:00.529 --> 01:06:01.089]  Good, brother.
[01:06:01.089 --> 01:06:02.830]  Just recently started using your products.
[01:06:02.830 --> 01:06:04.751]  Everything you said about them is correct.
[01:06:04.751 --> 01:06:08.793]  Me and my wife both use a lot of them, and it's made a lot of changes in our lives here.
[01:06:08.793 --> 01:06:11.394]  Well, thank you, brother, because it also funds our operation.
[01:06:11.394 --> 01:06:13.836]  But doing that, I know I've got to have the highest quality.
[01:06:13.836 --> 01:06:21.680]  Super Mill Vitality was developed to activate your body's own natural processes instead of using synthetic chemicals.
[01:06:21.880 --> 01:06:25.124]  We do the super male and the super female vitality.
[01:06:25.124 --> 01:06:26.786]  Big changes, a lot of energy.
[01:06:26.786 --> 01:06:29.829]  We've gotten off the cheap energy drinks, energy shots.
[01:06:29.829 --> 01:06:31.471]  Saving a ton of money there.
[01:06:31.471 --> 01:06:36.817]  Sourced from powerful organic herbs, harvested around the planet, and then concentrated
[01:06:36.817 --> 01:06:58.264]  Concentrated or maximum potency they want to stunned and dumbed down and energy drinks and stuff just cover that up for a while But then burn you out in my experience where a stuff that gets your glands naturally going goes right to the source So it's pretty exciting and I love it visit InfoWarsLife.com today to secure your super male vitality and other powerful products from InfoWarsLife
[01:06:59.631 --> 01:07:09.118]  Infowarslife and Infowarslife.com is extremely excited to announce our latest release, Winter Sun, a revolutionary type of vitamin D3.
[01:07:09.118 --> 01:07:13.801]  Winter Sun is a premium quality vitamin D3 nutritional supplement.
[01:07:13.801 --> 01:07:18.605]  It is produced by extracting oil from healthy nutrient-dense plants known as lichens.
[01:07:18.605 --> 01:07:21.647]  Every batch is analyzed for purity and D3 content.
