[00:00:00.169 --> 00:00:06.674]  Communications Radio Network.
[00:44:31.320 --> 00:44:32.760]  Yeah, they're very capable.
[00:44:33.221 --> 00:44:37.303]  If they weren't capable of doing it, they would have gotten rid of Selective Service.
[00:44:37.663 --> 00:44:40.347]  Which is something I've tried to do for 20 years.
[00:44:40.427 --> 00:44:41.048]  Get rid of it.
[00:44:41.228 --> 00:44:41.929]  We don't have a draft.
[00:44:41.949 --> 00:44:42.470]  We don't need it.
[00:44:42.490 --> 00:44:43.171]  We don't want it.
[00:44:43.191 --> 00:44:46.816]  We know they've reactivated the draft board, so they're clearly lurking around.
[00:44:47.697 --> 00:44:50.521]  It's there because they believe that they own us.
[00:44:52.771 --> 00:44:53.431]  Yeah, I think
[00:45:12.481 --> 00:45:13.382]  But the state is not God.
[00:45:13.442 --> 00:45:14.682]  Congressman, let's go to calls.
[00:45:14.722 --> 00:45:16.443]  Mark just hung up from Atlanta.
[00:45:16.463 --> 00:45:17.984]  We'll go to Richard in Texas.
[00:45:18.004 --> 00:45:22.326]  Richard, you're on the air with Congressman Ron Paul, making a run for it for President.
[00:45:34.918 --> 00:45:36.099]  Thank God for you, Ron.
[00:45:36.139 --> 00:45:37.420]  I'm sure glad you're doing this.
[00:45:37.440 --> 00:45:38.981]  You're our only viable hope.
[00:45:39.081 --> 00:45:50.891]  And just wanted to ask you quickly if you could give a brief overview on how you would see the dismantling of the Federal Reserve and, you know, sort of the impact of that.
[00:45:51.051 --> 00:45:56.155]  It's obviously one of the deepest evils that kind of ride over all these issues that we're facing.
[00:45:56.275 --> 00:45:56.616]  Thank you.
[00:45:57.416 --> 00:46:05.660]  Well, even I, who can't stand the Fed and we shouldn't have it, it's unconstitutional and we need to get rid of it, I would not say tomorrow you should close down the Federal Reserve.
[00:46:05.700 --> 00:46:07.581]  It would be very, very chaotic.
[00:46:07.861 --> 00:46:10.502]  The first thing we need to do is legalize competition.
[00:46:10.602 --> 00:46:12.443]  That is, legalize the Constitution.
[00:46:12.883 --> 00:46:19.766]  That gold and silver should be legal tender in competition with the monopoly money, which is the Federal Reserve note.
[00:46:20.470 --> 00:46:31.475]  Which means that you take off all taxes and regulations, no sales taxes or income tax on any types of gold transactions to make it money.
[00:46:32.175 --> 00:46:34.437]  And this would be one step in the right direction.
[00:46:34.457 --> 00:46:40.059]  By the way, you've introduced legislation to shut down the Fed, and then in that, you walk through the process.
[00:46:40.279 --> 00:46:40.599]  Right.
[00:46:40.839 --> 00:46:43.101]  And the other thing is,
[00:46:44.361 --> 00:46:50.824]  Without closing the door immediately, then the next step would be to deny the Federal Reserve the power to monetize debt.
[00:46:51.204 --> 00:46:54.945]  To take a treasury bill and then literally create money out of thin air.
[00:46:55.285 --> 00:46:59.507]  And this would immediately put restraints on the politicians.
[00:46:59.847 --> 00:47:04.949]  Politicians like the Federal Reserve because that means they can spend... That would kill their whole magic trick system.
[00:47:04.989 --> 00:47:11.672]  Yeah, they would consider that the Federal Reserve would be, you know, a check clearing house and nothing more.
[00:47:12.110 --> 00:47:18.756]  But the whole gimmick is that they want the power to create money out of thin air and fool the people and deceive the people.
[00:47:18.817 --> 00:47:21.419]  So how long to get the heroin addict congressman off?
[00:47:21.619 --> 00:47:24.642]  I mean, how long would it take then to wean us off this system?
[00:47:24.662 --> 00:47:25.843]  Well, it depends on the conditions.
[00:47:25.903 --> 00:47:31.649]  If you started today, it could take a while and it would be tedious and it'd be hard to get people to support it.
[00:47:32.410 --> 00:47:39.375]  I think we're going to have the financial crisis, and then they will be forced to do it, and maybe we could even do it more dramatically than I propose.
[00:47:39.756 --> 00:47:51.424]  My suggestion is under today's conditions, but if you have total collapse of the financial system and rejection of the dollar, you have to restore confidence, and therefore, you have to make the money worth something.
[00:47:51.444 --> 00:47:57.729]  It has to have some value to it again, or they will not believe you if you just say, oh, well, we'll quit printing the money.
[00:47:58.550 --> 00:48:00.111]  Eventually, the people will lose trust in
[00:48:00.231 --> 00:48:03.193]  Now we know what their real plan is, but they're not ready for it.
[00:48:03.213 --> 00:48:04.574]  That's why we're trying to sure it up for now.
[00:48:04.874 --> 00:48:10.959]  Let it implode, then come out with a national ID card slash credit card system, which goes cashless, and they're shooting for 2011.
[00:48:10.999 --> 00:48:19.204]  Yeah, those plans are being laid too, and I've heard debates on that, where, why mess around with cash anymore?
[00:48:20.725 --> 00:48:23.306]  Well, I mean, my point is, we've got to have you in there as President.
[00:48:23.326 --> 00:48:34.731]  We've got to, bottom line, raise awareness of the real political financial paradigm so that they can't stage things again and then act like they're the saviors when they're the progenitors of the mess we're in.
[00:48:34.971 --> 00:48:37.912]  Let's talk to Eric in Washington.
[00:48:37.952 --> 00:48:38.992]  Go ahead, you're on the air, Eric.
[00:48:39.813 --> 00:48:40.793]  Oh, hey, Alex.
[00:48:40.873 --> 00:48:41.553]  A great show.
[00:48:41.613 --> 00:48:46.675]  I'm so humbled just to be here and talk face-to-face with the future President of the United States.
[00:48:47.736 --> 00:48:48.176]  Thank you.
[00:48:48.817 --> 00:48:51.740]  What I want to ask though is that I really love your style Ron Paul.
[00:48:51.760 --> 00:48:54.162]  I saw you on the Bill Maher Show.
[00:48:54.362 --> 00:49:00.467]  You were a little meek there, but you speak softly, but you carry a big stick, and I really appreciate that.
[00:49:00.507 --> 00:49:02.729]  Well he absolutely mopped the floor with Bill Maher.
[00:49:03.510 --> 00:49:12.437]  Oh yeah, rhetorically yeah, he had nothing against you, but Bill Maher's really snide, his cynicism can really cut through, and the sleepers, they're not going to know what's going on.
[00:49:15.042 --> 00:49:20.805]  I'm doing my part, just getting one-on-one with my friends and tell them about you and your campaign.
[00:49:21.345 --> 00:49:25.827]  What I really want from you though is the guarantee that you're going to be the man for the job.
[00:49:27.153 --> 00:49:29.534]  Well, I don't know what you mean by the guarantee.
[00:49:29.614 --> 00:49:34.555]  I can guarantee that I'm going to be out there fighting this battle and delivering a message and doing my very best.
[00:49:35.315 --> 00:49:39.116]  And I never know what the results will absolutely be.
[00:49:39.176 --> 00:49:40.616]  I don't have control of the future.
[00:49:41.216 --> 00:49:48.938]  Within his constitutional restraints, as I've heard him say it, within the Constitution, he can do everything he can to reduce government and restore the Constitution to the Republic, correct?
[00:49:49.658 --> 00:49:51.059]  That's absolutely the case.
[00:49:51.119 --> 00:49:54.140]  I didn't know whether he meant in the campaign or after the election.
[00:49:54.480 --> 00:49:54.880]  So, no.
[00:49:57.030 --> 00:50:04.937]  After the election, there's a lot you can do, just like the first thing I mentioned was you're the Commander-in-Chief, and you can do a lot to reduce the spending overseas.
[00:50:05.297 --> 00:50:16.547]  And then there's no reason, even though I don't believe in changing government through the executive order, I don't think there'd be any reason why you can't repeal executive orders that have been so detrimental to us.
[00:50:16.607 --> 00:50:22.832]  I mean, I would think that would be very legitimate for a constitutional president to get rid of the laws that the president wrote himself.
[00:50:22.892 --> 00:50:23.172]  Sure.
[00:50:23.613 --> 00:50:24.614]  Does that answer your question?
[00:50:25.334 --> 00:50:29.057]  Uh, yeah, too, and also is that this political game is really tricky.
[00:50:29.377 --> 00:50:32.459]  You know, there's voter fraud and there's media propaganda.
[00:50:32.839 --> 00:50:36.922]  What are you going to do to bring it to the front line if there is, you know, a dispute in the votes?
[00:50:37.422 --> 00:50:41.125]  Or if you don't win the primary, are you just going to go independent and bring it forth even more?
[00:50:41.926 --> 00:50:43.927]  Well, I haven't thought about that.
[00:50:43.987 --> 00:50:49.930]  I think about, matter of fact, leaving here within an hour to go to Iowa and campaign, but I think you're right.
[00:50:50.210 --> 00:50:58.975]  I did have one election stolen from me, and that's something you have to be alert to, and it's a little bit more complicated and sophisticated now, but it's very rare.
[00:50:59.115 --> 00:50:59.715]  We've got to break.
[00:50:59.735 --> 00:51:00.076]  Stay there.
[00:51:00.096 --> 00:51:00.676]  Final segment.
[00:51:04.978 --> 00:51:10.481]  It's here, after a year in production and traveling to distant lands, my new film Terror Storm is complete.
[00:51:10.841 --> 00:51:18.484]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[00:51:19.173 --> 00:51:26.215]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[00:51:26.616 --> 00:51:38.019]  Terror Storm chronicles the lies that took us to war in Iran, the White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[00:51:38.360 --> 00:51:41.901]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[00:51:42.301 --> 00:51:44.262]  It's an anthology of government crimes.
[00:51:44.582 --> 00:51:48.443]  Terror Storm is a film that everyone who wants to be truly informed must see.
[00:51:49.024 --> 00:51:56.498]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[00:52:03.416 --> 00:52:07.900]  Through the years of providing water filters to America, you've come to us and we've listened.
[00:52:08.240 --> 00:52:12.324]  You asked us to make the water level visible to eliminate the guesswork when refilling the water.
[00:52:12.624 --> 00:52:13.165]  We listened.
[00:52:13.485 --> 00:52:18.450]  You asked for an elevated base so the system could be used in places beside on the edge of a counter.
[00:52:18.730 --> 00:52:19.211]  We listened.
[00:52:19.591 --> 00:52:22.612]  You asked us to develop a filter that was made in the USA.
[00:52:23.052 --> 00:52:23.592]  We listened.
[00:52:24.052 --> 00:52:28.113]  You asked us to include an emergency light for camping and during power outages.
[00:52:28.494 --> 00:52:28.994]  We listened.
[00:52:29.314 --> 00:52:34.575]  After 9-11, you asked us to develop a filter that was more powerful in removing chemical agents.
[00:52:34.975 --> 00:52:36.336]  Again, we listened.
[00:52:36.696 --> 00:52:38.276]  Introducing the Berkey Light.
[00:52:38.456 --> 00:52:44.018]  The gravity filter requested by America, designed by Americans, and made in America.
[00:52:44.478 --> 00:52:47.519]  Get the Berkey Light, the American Water Purifier, only $279.
[00:52:47.979 --> 00:52:52.040]  Call New Millennium, 888-803-4438.
[00:52:52.100 --> 00:52:54.441]  That's 888-803-4438.
[00:52:54.861 --> 00:52:58.122]  Or order on the web at berkeywater.com.
[00:52:58.282 --> 00:52:59.543]  Not yet available in Iowa.
[00:53:00.303 --> 00:53:06.965]  Thus says Yahweh, if you will not keep my commandments by violating my covenant, I will bring upon you sudden terror.
[00:53:10.834 --> 00:53:13.975]  Just as prophesied, the judgments upon America have begun.
[00:53:14.236 --> 00:53:17.917]  Yes, the terror attacks of 9-11 opened Revelation's first seal.
[00:53:18.177 --> 00:53:26.121]  In the name of peace and safety, the Rider King has mounted his white horse, waging wars and rumors of war, conquering the Middle East for treasures of oil.
[00:53:26.521 --> 00:53:29.262]  Get to Witness Ministries' next shocking revelation.
[00:53:29.522 --> 00:53:32.744]  The Rider of the White Horse, George W. Bush in Prophecy.
[00:53:33.104 --> 00:53:35.905]  Visit the website, twowitnessministries.com.
[00:53:36.185 --> 00:53:40.587]  King George II beats the war drums for his next invasion, Iran and Syria.
[00:53:40.927 --> 00:53:44.008]  More nations are to follow, including the draft of your children.
[00:53:44.268 --> 00:53:53.192]  With a $25 love offering to Two Witness Ministries, get the book, The Rider of the White Horse, at Box 2453, Abilene, Texas, 79604.
[00:53:54.292 --> 00:53:58.314]  Unless she repents, America will not survive the Red Horse of World War III.
[00:54:07.302 --> 00:54:08.785]  Welcome back, ladies and gentlemen.
[00:54:08.945 --> 00:54:11.670]  All right, I'm going to blitz through your calls for the congressman.
[00:54:12.531 --> 00:54:14.114]  Let's talk to Todd in Kentucky.
[00:54:14.154 --> 00:54:15.997]  You're on the air with Congressman Ron Paul.
[00:54:16.558 --> 00:54:17.159]  Yes.
[00:54:17.219 --> 00:54:19.342]  Thank you, Congressman Ron Paul, for running.
[00:54:19.382 --> 00:54:20.384]  We really appreciate it.
[00:54:20.444 --> 00:54:21.606]  My question to you is,
[00:54:22.492 --> 00:54:28.558]  Is that what kind of resistance is your staff finding when you try and get on to like Lou Dobbs and O'Reilly?
[00:54:28.578 --> 00:54:30.179]  Well, Lou Dobbs is at it twice.
[00:54:30.600 --> 00:54:32.321]  Yeah, matter of fact, I was scheduled, I did.
[00:54:32.742 --> 00:54:33.963]  You were scheduled last night.
[00:54:33.983 --> 00:54:35.844]  Yeah, but it was a legitimate bump.
[00:54:35.864 --> 00:54:42.230]  They wanted to do more on Imus and they promised me even more time and I think it'll be beginning of next week sometime that I will be on his show again.
[00:54:42.350 --> 00:54:44.032]  CNN's been very nice.
[00:54:44.472 --> 00:54:47.856]  I think Fox, they had to have a lot of
[00:54:48.836 --> 00:54:50.737]  Let's not criticize the wrong people.
[00:54:50.757 --> 00:54:52.658]  CNN's been doing a good job.
[00:54:52.678 --> 00:54:53.158]  Let's encourage more.
[00:54:53.178 --> 00:54:54.099]  But Fox, MSNBC, we need to get him on there.
[00:55:00.501 --> 00:55:07.708]  Yeah, we need to, because obviously every time they mention the candidates, they always skip over Mr. Paul.
[00:55:07.928 --> 00:55:11.511]  We need to make sure, exactly, they are censoring our congressman comments.
[00:55:11.911 --> 00:55:20.579]  You know, the one show that I would like to get on, because I know he's very sympathetic to our views, even though he's a liberal, and that is Chris Matthews.
[00:55:20.639 --> 00:55:25.223]  Many of our things, like on the war, he's been sympathetic, but I haven't been invited to be on his show.
[00:55:25.263 --> 00:55:26.665]  We need to get you on Meet the Press.
[00:55:27.345 --> 00:55:34.733]  Well, that won't come right soon, but I'd have to perk up even more in the polls, but that should be our goal.
[00:55:35.034 --> 00:55:36.155]  Well, you can perk up.
[00:55:36.195 --> 00:55:38.137]  If they give you the coverage, you'll perk up.
[00:55:45.191 --> 00:55:54.538]  The congressmen and senators, I respect you the way you talk about them, but basically, in my opinion, humble opinion, they're nothing but crooks and traitors to their country.
[00:55:54.558 --> 00:55:55.399]  A lot of them certainly are.
[00:55:55.419 --> 00:55:56.800]  And that's really all they really are.
[00:55:57.000 --> 00:55:57.421]  Sure.
[00:55:57.441 --> 00:55:59.422]  Congressman, when is that CNN debate coming up?
[00:56:00.463 --> 00:56:01.624]  Uh, the CNN?
[00:56:01.764 --> 00:56:03.946]  Well, you mean Lou Dobbs?
[00:56:04.466 --> 00:56:06.408]  No, I mean, I always thought it was going to be a presidential debate.
[00:56:06.428 --> 00:56:10.491]  Yeah, there's a presidential debate, and I think it's the 4th of May.
[00:56:10.531 --> 00:56:11.572]  It's in California.
[00:56:11.592 --> 00:56:12.732]  It's at the Ronald Reagan Library.
[00:56:12.752 --> 00:56:13.013]  There are 10.
[00:56:13.812 --> 00:56:18.695]  So all the candidates have responded, and that's going to be carried on MSNBC.
[00:56:19.055 --> 00:56:21.416]  So that should be a good opportunity for us.
[00:56:21.676 --> 00:56:22.196]  Absolutely.
[00:56:22.216 --> 00:56:23.457]  That'll be a big breakout point.
[00:56:23.897 --> 00:56:25.678]  Let's talk to Gabe in South Dakota.
[00:56:25.718 --> 00:56:26.439]  Let's get a few more in.
[00:56:26.479 --> 00:56:26.979]  Gabe, go ahead.
[00:56:27.931 --> 00:56:28.612]  Oh, hey guys.
[00:56:29.593 --> 00:56:31.494]  I listen to the Jones Report every day.
[00:56:31.574 --> 00:56:34.657]  I support Alex Jones and I support Ron Paul for president.
[00:56:36.278 --> 00:56:38.820]  And I want to ask Ron a question.
[00:56:39.380 --> 00:56:48.788]  I think what this situation needs also besides you running for president is we need to, like we did with Defend Rosie, create an online petition for citizen's arrest.
[00:56:50.084 --> 00:56:51.465]  Of our government.
[00:56:51.625 --> 00:56:54.067]  We need 51% of the public to sign it.
[00:56:54.467 --> 00:56:56.429]  We need to outlaw secrecy in the government.
[00:56:56.829 --> 00:57:00.792]  Anyone who's part of a secret society, we need to try them in a jury trial.
[00:57:01.232 --> 00:57:03.914]  We need to arrest the 9-11 perpetrator suspects.
[00:57:04.815 --> 00:57:07.337]  And I think they can all await trial at a freedom camp.
[00:57:08.475 --> 00:57:12.519]  Well, we've got to be careful about taking the government back because revolution can be dangerous.
[00:57:12.839 --> 00:57:13.800]  I want a restoration.
[00:57:14.120 --> 00:57:15.721]  It can go into tyranny itself.
[00:57:15.961 --> 00:57:16.622]  Thank you for the call.
[00:57:16.662 --> 00:57:17.923]  Congressman, you want to comment on that?
[00:57:17.943 --> 00:57:19.224]  Yeah, just very carefully.
[00:57:19.264 --> 00:57:23.047]  That was a lot of things I'd have to accomplish rather quickly.
[00:57:23.900 --> 00:57:32.090]  I think the one important point was that governments have no right to be secret, except under these very, very rare national security reasons.
[00:57:32.130 --> 00:57:35.554]  But we have too much government secrecy in the purpose of the government.
[00:57:35.914 --> 00:57:39.018]  My purpose as president would be to protect your privacy.
[00:57:39.518 --> 00:57:40.738]  Not the government's secrecy.
[00:57:40.778 --> 00:57:42.659]  They have it backwards now.
[00:57:43.019 --> 00:57:52.701]  Our privacy means nothing to them, whether it's medical privacy, financial privacy, you know, the national ID card, the whole work, and yet government becomes more secret every day.
[00:57:52.721 --> 00:57:57.401]  Did you hear about this big law professor who gave a speech critical of Bush and now they put him on the no-fly list?
[00:57:57.862 --> 00:57:58.762]  I saw that.
[00:57:58.782 --> 00:58:01.322]  That was a scary story when I read that.
[00:58:01.522 --> 00:58:05.183]  I'll tell you, you know, that should wake everybody up.
[00:58:05.903 --> 00:58:09.985]  Congressman, the website is RonPaul2008.com.
[00:58:10.005 --> 00:58:11.065]  1-800-RonPaul.
[00:58:11.085 --> 00:58:12.365]  1-800-RonPaul.
[00:58:12.425 --> 00:58:13.686]  Call, donate, support him.
[00:58:14.406 --> 00:58:18.167]  Volunteers, find out how you get yard signs, how you get out there.
[00:58:18.187 --> 00:58:19.428]  Call the media, tell them to cover him.
[00:58:19.748 --> 00:58:20.728]  That's how we do this.
[00:58:21.488 --> 00:58:24.750]  And he's already raised a lot of money for just launching his campaign.
[00:58:24.790 --> 00:58:25.590]  Let's increase that.
[00:58:26.130 --> 00:58:30.191]  Congressman, Godspeed to you and safe travels for you and your staff.
[00:58:30.271 --> 00:58:33.272]  And I want to thank your family for supporting you in this as well.
[00:58:33.313 --> 00:58:34.593]  We really appreciate what you're doing.
[00:58:35.073 --> 00:58:35.613]  Thank you, Alex.
[00:58:35.674 --> 00:58:36.914]  Good to be with you.
[00:58:37.054 --> 00:58:37.475]  Take care.
[00:58:37.515 --> 00:58:39.696]  There goes the man who could become the next president.
[00:58:39.736 --> 00:58:40.356]  We'll be right back.
[00:58:40.816 --> 00:58:49.361]  If you would like a copy of this show, go to GCNlive.com and reserve it today.
[00:58:49.381 --> 00:58:51.783]  Or call toll-free 877-376-45.
[00:58:52.363 --> 00:58:56.986]  The Berkey Security Pack is your one-stop solution for unexpected emergencies.
[00:58:57.186 --> 00:59:01.608]  It provides you with purified water, light, power, and communications ability.
[00:59:01.808 --> 00:59:02.949]  The Security Pack includes...
[00:59:08.720 --> 00:59:09.360]  Big Brother.
[00:59:10.041 --> 00:59:11.061]  Mainstream media.
[00:59:11.802 --> 00:59:12.902]  Government cover-ups.
[00:59:13.563 --> 00:59:14.363]  You want answers?
[00:59:15.123 --> 00:59:16.044]  Well, so does he.
[00:59:16.704 --> 00:59:20.326]  He's Alex Jones on the GCN Radio Network.
[00:59:20.887 --> 00:59:24.989]  And now, live from Austin, Texas, Alex Jones.
[00:59:25.929 --> 00:59:29.491]  You know, I don't really brag here on the show about the effect we have.
[00:59:29.911 --> 00:59:31.793]  I talk about the effect you have, the listeners.
[00:59:32.493 --> 00:59:34.334]  And I've been told that by Ron Paul's staff.
[00:59:35.649 --> 00:59:40.071]  That the most support, and we're talking about over half of it, is from this show.
[00:59:41.492 --> 00:59:42.892]  This show, this network.
[00:59:43.273 --> 00:59:46.414]  It's not when he goes on Lou Dobbs to, you know, three million people.
[00:59:47.334 --> 00:59:50.636]  It's not when he, uh, you know, goes and gives these speeches.
[00:59:52.771 --> 01:00:00.399]  But I tell you, in my own town where I live, it's like I'm dirt or something in the local media, and the local people in this community, and everybody likes to dish me.
[01:00:00.419 --> 01:00:00.819]  And you know what?
[01:00:00.859 --> 01:00:01.260]  I don't care.
[01:00:01.300 --> 01:00:01.620]  I love it.
[01:00:01.920 --> 01:00:04.203]  Because I don't have a big image of myself.
[01:00:04.243 --> 01:00:05.023]  In fact, I'm humbled.
[01:00:05.404 --> 01:00:06.104]  I'm freaked out.
[01:00:06.565 --> 01:00:11.510]  Every night, when I go to bed, it's when I get really humble, and I just think, God, I've got a responsibility.
[01:00:11.830 --> 01:00:13.131]  And frankly, I don't do a very good job.
[01:00:13.332 --> 01:00:13.832]  But you know what?
[01:00:14.052 --> 01:00:15.474]  I'm doing the best job out there.
[01:00:16.184 --> 01:00:18.005]  Now that really shows how pathetic we all are.
[01:00:18.325 --> 01:00:18.725]  You know what?
[01:00:18.945 --> 01:00:20.385]  I've got guts and guts is enough.
[01:00:20.766 --> 01:00:22.206]  And you've got guts and guts is enough.
[01:00:22.246 --> 01:00:23.386]  And we don't have to do a perfect job.
[01:00:23.406 --> 01:00:24.627]  We don't have to have all the answers.
[01:00:24.967 --> 01:00:26.728]  We've just got to put one foot in front of the other.
[01:00:27.128 --> 01:00:34.710]  And when somebody comes in here saying we're their slaves and we've got to be their slaves and we've got to lick their boots, we've got to have the will to stand up and just start pounding.
[01:00:35.591 --> 01:00:37.151]  I mean, it's a fight, ladies and gentlemen.
[01:00:37.251 --> 01:00:39.992]  And all I hear is, well, how's he going to do it?
[01:00:40.012 --> 01:00:40.932]  Well, he can't win.
[01:00:40.952 --> 01:00:41.813]  Well, there's no way.
[01:00:42.193 --> 01:00:43.913]  Regardless, we're doing the right thing here.
[01:00:44.534 --> 01:00:44.814]  Okay?
[01:00:44.854 --> 01:00:45.654]  And we are going to win.
[01:00:46.463 --> 01:00:47.523]  Look how far we've come.
[01:00:47.803 --> 01:00:49.024]  Frankly, we don't have a choice.
[01:00:49.844 --> 01:00:51.704]  They would have already carried out more terror attacks.
[01:00:52.005 --> 01:00:53.745]  You heard him hinting at government-sponsored terror.
[01:00:53.785 --> 01:00:55.826]  He didn't want to come right out and say it, because they'll use that against him.
[01:00:56.606 --> 01:00:59.046]  But I said, oh yeah, something might be staged to go into Iran.
[01:00:59.086 --> 01:01:00.767]  He goes, yeah, yeah, that's what they'll do.
[01:01:01.387 --> 01:01:04.048]  He goes, you see them getting ready with the national draft.
[01:01:04.068 --> 01:01:05.188]  You know, they're not stopping.
[01:01:05.528 --> 01:01:07.069]  They haven't gotten rid of Selective Service.
[01:01:07.909 --> 01:01:09.469]  I mean, he knows, ladies and gentlemen.
[01:01:10.229 --> 01:01:15.611]  He talked about Gulf of Tonkin, or he talked about Mossadegh staged terror when he was on Bill Maher.
[01:01:16.821 --> 01:01:19.786]  Ron Paul is the man, and frankly, he knows it.
[01:01:20.387 --> 01:01:23.832]  He knows that if he actually won, they would deep-sex him, but he's ready.
[01:01:24.173 --> 01:01:26.657]  I mean, that's what leadership is all about, ladies and gentlemen.
[01:01:26.677 --> 01:01:27.258]  He's a grandpa.
[01:01:29.039 --> 01:01:29.999]  I'm not a grandpa.
[01:01:30.019 --> 01:01:34.302]  It's a lot easier when you get that old, frankly, to be willing to sacrifice yourself.
[01:01:34.662 --> 01:01:36.724]  A lot of you are young and you go, well, I've got to party.
[01:01:36.764 --> 01:01:37.684]  I've got to have a good time.
[01:01:37.745 --> 01:01:38.245]  I'm young.
[01:01:38.285 --> 01:01:40.166]  I deserve a... And then you're retired.
[01:01:40.186 --> 01:01:41.707]  Well, I deserve to retire now.
[01:01:41.787 --> 01:01:43.648]  I deserve to not worry about all that.
[01:01:44.049 --> 01:01:45.049]  You're not even living.
[01:01:45.109 --> 01:01:51.734]  You think you're satisfied doing a lot of golf courses or women or good food or deep sea fishing.
[01:01:52.392 --> 01:01:56.814]  You know, no amount of whatever you men out there are into is going to satisfy you.
[01:01:57.335 --> 01:02:01.997]  I'm telling you right now, there's nothing more satisfying than fighting corruption and fighting tyranny.
[01:02:02.317 --> 01:02:04.678]  Michael Rivera is coming up here in just a few minutes from Hawaii.
[01:02:04.978 --> 01:02:08.380]  Right now, I'm sorry we didn't get to all your calls, but the Congressman was raring to go.
[01:02:08.400 --> 01:02:10.721]  We've got the Sumner, got him on here for you so you can talk to him.
[01:02:11.061 --> 01:02:12.562]  Jeffrey in New Orleans and then others.
[01:02:12.582 --> 01:02:13.182]  Go ahead, Jeffrey.
[01:02:13.202 --> 01:02:18.045]  Okay, he's gone.
[01:02:18.085 --> 01:02:19.025]  Who's up next after him?
[01:02:20.666 --> 01:02:22.007]  Avery, where are you calling this from?
[01:02:22.586 --> 01:02:22.986]  Virginia.
[01:02:23.306 --> 01:02:23.586]  Welcome.
[01:02:23.606 --> 01:02:24.026]  You're on the air.
[01:02:24.046 --> 01:02:25.707]  Sorry you couldn't talk to the Congressman, but you're on the air.
[01:02:26.227 --> 01:02:27.147]  Hey, no problem, Bob.
[01:02:28.167 --> 01:02:29.167]  Yeah, you do a great job, Alex.
[01:02:29.187 --> 01:02:31.128]  Appreciate all your work, man.
[01:02:33.628 --> 01:02:45.030]  I have been kind of on the fence with Congressman Paul, because I'm still not clear on the full-blown libertarian monetary position.
[01:02:45.610 --> 01:02:49.431]  I mean, you can probably explain this to me, because I haven't heard it explained well yet.
[01:02:50.109 --> 01:03:07.538]  And the things that you point out about the corporations, the big pharma, big agra, the military industrial complex, I don't understand how the libertarian can promote a free market system when the elites and the monopolies don't play fair.
[01:03:08.399 --> 01:03:12.661]  And without, what kind of a check and balance do you have against
[01:03:16.380 --> 01:03:18.682]  Well, I wish I would have gotten you on with him, and you know what?
[01:03:18.702 --> 01:03:21.844]  I promise you, if memory serves, I'll try.
[01:03:21.864 --> 01:03:23.706]  Next time he's on, I will bring that up.
[01:03:24.106 --> 01:03:25.567]  Number one, I've watched videos about it.
[01:03:25.607 --> 01:03:34.995]  I've read a couple books, a few pamphlets, a lot of papers, out of the Louis von Mises Institute, and I've studied the school of economics out of Austria, the Austrian school.
[01:03:35.575 --> 01:03:36.556]  There's really two schools.
[01:03:36.576 --> 01:03:37.737]  They get confused sometimes.
[01:03:40.854 --> 01:03:43.956]  You just kind of glanced over it.
[01:03:44.796 --> 01:03:45.156]  You know what?
[01:03:45.196 --> 01:03:45.957]  I appreciate your call.
[01:03:45.997 --> 01:03:48.758]  I'll try to briefly give you my take on it on the other side.
[01:03:49.578 --> 01:03:54.621]  And then we will go to Mike Rivera and continue with your calls throughout this hour.
[01:03:55.421 --> 01:03:58.343]  Our guest will be with us on the other side.
[01:03:58.383 --> 01:03:59.963]  He's got the website WhatReallyHappened.com
[01:04:07.316 --> 01:04:12.780]  It's here, after a year in production and traveling to distant lands, my new film Terror Storm is complete.
[01:04:13.160 --> 01:04:20.805]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[01:04:21.494 --> 01:04:28.536]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[01:04:28.937 --> 01:04:40.360]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[01:04:40.680 --> 01:04:44.302]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[01:04:44.622 --> 01:04:46.562]  It's an anthology of government crimes.
[01:04:46.903 --> 01:04:50.744]  Terror Storm is a film that everyone who wants to be truly informed must see.
[01:04:51.324 --> 01:04:58.668]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[01:05:05.100 --> 01:05:14.147]  Now you can upgrade your existing gravity filter to remove chemicals such as triamethylenes, atrazine, benzene, chlorine, chloroform, and NTVE to below detectable limits.
