[00:00:08.599 --> 00:00:09.860]  Monday through Friday from 11 a.m.
[00:27:45.012 --> 00:27:46.413]  You can get it at Amazon.com.
[00:27:46.413 --> 00:27:47.133]  Bookstores everywhere.
[00:27:47.133 --> 00:27:47.914]  The End of America.
[00:27:49.344 --> 00:28:03.635]  And Naomi, I'm going to send you a lot of these documents and news articles and video clips for yourself today, so you can burrow deeply into the whole Nazi angle, but also send you all the martial law info, but it looks like you already know more than I do on that.
[00:28:03.635 --> 00:28:06.117]  Naomi, continue with the other four steps.
[00:28:06.117 --> 00:28:06.597]  Yes, sir.
[00:28:06.597 --> 00:28:10.360]  Well, first of all, this is just something I want to say about democracy.
[00:28:10.360 --> 00:28:12.842]  In a living democracy, this is exactly what should be happening.
[00:28:14.083 --> 00:28:14.884]  We're good to go.
[00:28:30.310 --> 00:28:30.830]  I think so.
[00:28:48.362 --> 00:28:49.022]  We're good to go.
[00:29:11.736 --> 00:29:14.097]  Then you get restricting the press.
[00:29:14.097 --> 00:29:18.619]  You see things like Greg Palast, the author, being investigated by Homeland Security.
[00:29:18.619 --> 00:29:20.179]  Oh, they put out an arrest warrant!
[00:29:20.179 --> 00:29:23.100]  They put out an arrest warrant until ABC got on it.
[00:29:23.100 --> 00:29:28.122]  They were trying to arrest... Oh yeah, whenever he went and filmed the camps down in Louisiana.
[00:29:28.122 --> 00:29:29.583]  Oh yeah, that was in the news.
[00:29:29.583 --> 00:29:34.705]  Homeland Security said he had exposed key infrastructure until the press got on it and they dropped it.
[00:29:34.705 --> 00:29:35.365]  Right.
[00:29:35.365 --> 00:29:38.386]  Well, that's super scary because, you know, at this point, you know,
[00:29:39.148 --> 00:29:52.001]  One or two or three, there can be an outcry, but when the state starts to issue arrests for journalists and you hear of 30 or 40 or 50, that's one of those tipping points where it's very difficult to push back.
[00:29:52.001 --> 00:29:56.205]  What I'm trying to stress is that democracy doesn't close down overnight.
[00:29:56.205 --> 00:29:58.727]  It closes down in a series of these tipping points.
[00:29:58.727 --> 00:30:01.990]  So for me personally, when I read, and this is step number eight,
[00:30:02.964 --> 00:30:04.444]  We're good to go.
[00:30:29.290 --> 00:30:38.734]  The publisher of Investia in the 30s was charged with treason by Stalin in the 3rd Moscow show trial and was executed for treason.
[00:30:38.734 --> 00:30:40.835]  And then the last two, the last two, we got one minute.
[00:30:40.835 --> 00:30:41.835]  Okay, okay.
[00:30:41.835 --> 00:30:52.559]  The last two are that you, uh, okay, recast espionage, restrict the press, um, you subvert the rule of law, and you make it easier to declare martial law.
[00:30:52.559 --> 00:30:54.400]  So that's where you get things like signing statements.
[00:30:54.713 --> 00:30:57.596]  You know, the White House basically saying, I don't care that you're Congress.
[00:30:57.596 --> 00:30:59.978]  I don't care that there are two other branches of government.
[00:30:59.978 --> 00:31:04.822]  And you get things like the Defense Authorization Act, which we've discussed, that make it easier to declare martial law.
[00:31:04.822 --> 00:31:08.885]  You try to purge the civil service, as Goebbels did in 1933.
[00:31:08.885 --> 00:31:13.489]  And Naomi, in closing, and if you can hold over, that's fine.
[00:31:13.489 --> 00:31:15.671]  If you can't, I know you probably got to go.
[00:31:15.671 --> 00:31:16.472]  The problem is...
