[00:00:00.750 --> 00:00:04.333]  WCAX-TV.
[00:40:33.578 --> 00:40:37.361]  Then I have to go right back again because they get dry so quickly.
[00:40:37.361 --> 00:40:40.002]  Listen, haven't you heard about CalX ointment?
[00:40:40.002 --> 00:40:43.865]  I use it regularly on my heels and they stay looking great.
[00:40:43.865 --> 00:40:46.667]  And my feet feel as good as they look.
[00:40:46.667 --> 00:40:47.767]  What's the name again?
[00:40:47.767 --> 00:40:49.168]  Wait, I'm getting my pen out.
[00:40:49.168 --> 00:40:50.329]  It's CalX.
[00:40:50.329 --> 00:40:51.289]  C-A-L-L-E-X.
[00:40:52.831 --> 00:40:54.712]  What makes Cal-X ointment so different?
[00:40:54.712 --> 00:41:04.055]  It's got these natural enzymes that quickly exfoliate dry, cracked feet and leave your feet feeling soft and smooth, just like a baby's bottom.
[00:41:04.055 --> 00:41:08.837]  For soft, silky feet that look great in sandals, use enzyme-rich, moisturizing Cal-X ointment.
[00:41:08.837 --> 00:41:18.661]  It's diabetic-friendly and found in the foot care section of Walgreens, Long's, Snyder's Drug, Bilo, Car Drug, H-E-B grocery stores, medicine shop pharmacies, and Rite Aid.
[00:41:18.661 --> 00:41:19.821]  Hey, there's a drug store!
[00:41:19.821 --> 00:41:20.742]  I'll be right back.
[00:41:20.742 --> 00:41:21.682]  I'm getting some Cal-X.
[00:41:29.085 --> 00:41:33.926]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:41:33.926 --> 00:41:35.507]  You want answers?
[00:41:35.507 --> 00:41:36.407]  Well, so does he.
[00:41:36.407 --> 00:41:41.248]  He's Alex Jones on the GCN Radio Network.
[00:41:41.248 --> 00:41:46.489]  And now, live from Austin, Texas, Alex Jones.
[00:41:46.489 --> 00:41:50.751]  Alright, we have the web address of the live webcam.
[00:41:50.751 --> 00:41:52.311]  And it's working well, I'm told.
[00:41:53.206 --> 00:42:01.568]  But if we give it out on air, or if you spread it all over the web thinking it's your little secret, you give it to one person, they give it to another, it will go down.
[00:42:01.568 --> 00:42:03.588]  Do not watch it!
[00:42:03.588 --> 00:42:04.508]  Okay?
[00:42:04.508 --> 00:42:12.269]  Or if we've got IT people that know how to grab the signal, that's the only way you should be looking at it, to grab it and put it out on your server or boost it.
[00:42:12.269 --> 00:42:20.651]  But if we go after that source, I guarantee you, everybody uses these free services and you get more than a hundred people on those webcams, they go down.
[00:42:21.593 --> 00:42:27.316]  They had one that could take, what was it, a couple thousand for the RNC.
[00:42:27.316 --> 00:42:30.658]  You probably got 10 seconds out of every 30 seconds.
[00:42:30.658 --> 00:42:31.959]  We need this.
[00:42:31.959 --> 00:42:34.320]  Imagine at Waco if they would have had that.
[00:42:34.320 --> 00:42:36.602]  And now we've got the responsibility.
[00:42:36.602 --> 00:42:39.443]  When something like this happens, we can't go look at it.
[00:42:39.443 --> 00:42:40.684]  Now I've got cameras set up.
[00:42:40.684 --> 00:42:43.285]  They're in there starting to videotape it right now.
[00:42:43.285 --> 00:42:45.787]  But we can go to Fred Smart.
[00:42:46.684 --> 00:42:48.205]  Who's there watching the video blog?
[00:42:48.205 --> 00:42:49.485]  I'm going to shut up, Fred.
[00:42:49.485 --> 00:42:54.267]  Tell me what you're seeing, what's happening right now on the video cam feed.
[00:42:54.267 --> 00:42:55.007]  They are smart.
[00:42:55.007 --> 00:42:58.108]  They're in there with some type of wireless shell phone.
[00:42:58.108 --> 00:43:01.070]  Now, the feds will learn of this and start jamming it, too.
[00:43:01.070 --> 00:43:03.931]  So it's also a catch-24 that we announce that, but whatever.
[00:43:03.931 --> 00:43:04.431]  It's war.
[00:43:04.431 --> 00:43:06.432]  We're not going to get it all right.
[00:43:06.432 --> 00:43:08.612]  I caught myself before we gave the address out, though.
[00:43:08.612 --> 00:43:10.053]  Tell us right now, what are you seeing?
[00:43:10.513 --> 00:43:16.216]  Yeah, Tim, my internet's down, Alex, for some reason, so Tim... Oh, so that was Tim I was talking to.
[00:43:16.216 --> 00:43:17.437]  I heard Tim in the background was watching.
[00:43:17.437 --> 00:43:18.317]  Yeah, go ahead, Tim.
[00:43:18.317 --> 00:43:19.198]  Are you looking at it?
[00:43:19.198 --> 00:43:20.579]  Tim, Tim, what are you watching?
[00:43:20.579 --> 00:43:25.221]  Well, actually, actually, and I've tried to explain it several times.
[00:43:25.221 --> 00:43:30.904]  What this is is the actual news feed for the Plainfield Wire.
[00:43:30.904 --> 00:43:35.187]  And I just emailed the link to Aaron for him to look at.
[00:43:35.187 --> 00:43:38.989]  This is the comprehensive news feed for Plainfield, New Hampshire.
[00:43:39.620 --> 00:43:41.461]  It has three stories now up.
[00:43:41.461 --> 00:43:44.041]  The latest one was about four minutes ago.
[00:43:44.041 --> 00:43:46.322]  It's about Swat Team's armored vehicle.
[00:43:46.322 --> 00:43:49.303]  I totally misunderstood in all the chat.
[00:43:49.303 --> 00:43:51.224]  I thought it was a live webcam.
[00:43:51.224 --> 00:43:52.964]  Well, somebody said live webcam.
[00:43:52.964 --> 00:43:57.025]  Alex, it's not a live news feed.
[00:43:57.025 --> 00:43:59.586]  It is a recording of their broadcast.
[00:43:59.586 --> 00:44:00.066]  I understand.
[00:44:00.066 --> 00:44:00.606]  Thank you.
[00:44:00.606 --> 00:44:01.207]  I understand now.
[00:44:01.207 --> 00:44:04.888]  I was told earlier by the other person it was a live feed out of there.
[00:44:04.888 --> 00:44:05.488]  I misunderstood.
[00:44:06.655 --> 00:44:08.156]  Okay, okay.
[00:44:08.156 --> 00:44:09.137]  I'm sorry Alex.
[00:44:09.137 --> 00:44:11.178]  Hey, this isn't about sorry and anything.
[00:44:11.178 --> 00:44:13.739]  We're all frothing here because we don't want him to get killed.
[00:44:13.739 --> 00:44:22.723]  And I guess I was hoping that I heard somebody say live webcam out of there and I hoped, oh great, they're not dead, there's a live webcam.
[00:44:22.723 --> 00:44:29.827]  I'm just hoping here and that's what we do when we care about people and don't want fellow patriots to be overrun by a bunch of criminals.
[00:44:29.827 --> 00:44:31.568]  But thank you sir for that information.
[00:44:31.568 --> 00:44:32.749]  Who else are we talking to there?
[00:44:32.749 --> 00:44:33.589]  Who is that Mr. Smart?
[00:44:34.683 --> 00:44:36.645]  Tim from Chicago.
[00:44:36.645 --> 00:44:39.026]  Okay, so we had Tim on earlier.
[00:44:39.026 --> 00:44:40.687]  Okay, Tim, you got the floor.
[00:44:40.687 --> 00:44:41.808]  What do you think's going on here?
[00:44:41.808 --> 00:44:43.890]  What do you think we should do?
[00:44:43.890 --> 00:44:58.960]  Well, I co-hosted with Fred and Elaine on their program, and they were talking yesterday when we were on air, they were talking about these various things that we've already spoken about happening.
[00:44:58.960 --> 00:45:00.201]  It's obviously
[00:45:01.542 --> 00:45:02.103]  No, no.
[00:45:15.049 --> 00:45:25.940]  So, since they're doing the perimeter, it looks like they want to have a big national spectacle.
[00:45:25.940 --> 00:45:29.264]  Maybe they want patriots to start the war now.
[00:45:29.264 --> 00:45:32.007]  Maybe this is how Bush wants to trigger his martial law.
[00:45:35.405 --> 00:45:38.887]  Military Commissions Act.
[00:45:38.887 --> 00:45:40.608]  Military Commissions Act.
[00:45:40.608 --> 00:45:44.191]  This is exactly what they said for insurrection or resistance.
[00:45:44.191 --> 00:45:51.335]  It's all in the subsections and the fact that they didn't do just a quickness.
[00:45:51.335 --> 00:45:56.379]  You know, Alex, at a certain point, at what point is the line crossed?
[00:45:56.379 --> 00:45:59.781]  You know, as Patriots, we've always been drawing lines in the sand.
[00:45:59.781 --> 00:46:02.963]  And I've said for years, we need to have a line in the concrete.
[00:46:03.928 --> 00:46:10.194]  Instead of in the stand, because the stand keeps getting erased, and we step back another, we draw another line, we step back, we draw another line.
[00:46:10.194 --> 00:46:11.815]  Where does the line get drawn?
[00:46:11.815 --> 00:46:12.756]  You yourself said it.
[00:46:12.756 --> 00:46:16.239]  Maybe this is the Alamo, for our generation.
[00:46:16.239 --> 00:46:17.260]  We don't know.
[00:46:17.260 --> 00:46:24.787]  But the fact is, the feds are always pushing, pushing, pushing, and we're always retreating, retreating, retreating.
[00:46:24.787 --> 00:46:28.671]  If it's the time to make the stand, then it is time to make the stand.
[00:46:30.077 --> 00:46:36.704]  And people are going to have to decide on which side they want to be, just like when the Declaration of Independence was signed.
[00:46:36.704 --> 00:46:37.985]  Which side are you going to be on?
[00:46:37.985 --> 00:46:44.132]  Are you going to be for liberty and freedom, or are you going to be on the side of the oppressive super state?
[00:46:44.132 --> 00:46:45.053]  Well, there's no doubt.
[00:46:45.053 --> 00:46:47.135]  I mean, when I state the question,
[00:46:48.186 --> 00:46:53.488]  We're here to analyze and flesh this out and look at every angle of it.
[00:46:53.488 --> 00:46:59.171]  I'm making the statement, are the Feds trying to start and incite a fight?
[00:46:59.171 --> 00:47:04.193]  They know people have said they're going to get violent if Ed and Elaine Brown are killed or assaulted.
[00:47:04.193 --> 00:47:06.674]  So my question is, why would the Feds then
[00:47:08.013 --> 00:47:14.995]  Want to incite this and want to activate this now on this bizarre date of the start of the Six-Day War.
[00:47:14.995 --> 00:47:16.116]  I think that is an interesting point.
[00:47:16.116 --> 00:47:21.257]  Well, it's real simple because, I mean, if you strategize the whole thing out, what if it doesn't do this?
[00:47:21.257 --> 00:47:26.319]  And then people individually start to take out federal officials around the country.
[00:47:26.969 --> 00:47:36.135]  Okay, they're going to declare martial law, and then underneath that, they're going to do house-to-house searches for weaponry.
[00:47:36.135 --> 00:47:47.902]  Which is exactly what Bush has gotten all set up and declared himself dictator back on the 9th of last month, and they funded it, they got it all set up, and this is exactly what they want.
[00:47:47.902 --> 00:47:54.766]  But the bottom line is, I want the police and military to know, you're set up, if this does activate, if this powder keg gets set off,
[00:47:55.246 --> 00:47:56.987]  You are meant to be wiped out.
[00:47:56.987 --> 00:48:04.732]  We've seen the globalist plans, we've gotten all the pieces, to later bring in the Mexican and Dutch and Czech Republic troops.
[00:48:04.732 --> 00:48:09.836]  Those are public plans, mainstream news, to quote deal with American terrorists.
[00:48:09.836 --> 00:48:17.161]  You are just as hated as we are by the New World Order, and I just can't believe they can find goons that will go do these type of criminal actions.
[00:48:17.161 --> 00:48:24.806]  And I mean, from what we're seeing now... Oh, Alex, they've been raising these goons for the last 30 years in the public school.
[00:48:25.876 --> 00:48:39.950]  And creating an economy where people have no choice but to go to work for the army and get trained in whatever the army is training people to do, to think, to follow orders, not to think for themselves.
[00:48:39.950 --> 00:48:41.812]  That's exactly what's been going on.
[00:48:41.812 --> 00:48:44.295]  So it's no problem them getting the manpower.
[00:48:44.295 --> 00:48:46.197]  The problem is, or the question is,
[00:48:46.954 --> 00:48:49.917]  Is this a workable strategy on their behalf?
[00:48:49.917 --> 00:48:51.379]  And I say no.
[00:48:51.379 --> 00:49:04.453]  I say that just like in Iraq, getting brought down in an insurgency, if they were to create that situation here in this country right now, we've got two million firearms in the hands of the people.
[00:49:07.461 --> 00:49:13.185]  Sir, there's 400 million firearms of new manufacture, that means the last 85 years.
[00:49:13.185 --> 00:49:16.347]  There's 160 million gun owners and if 1% is willing to fight, that's 1,600,000 American combatants against the New World Order terror forces.
[00:49:29.984 --> 00:49:31.505]  Alex, you win on the math.
[00:49:31.505 --> 00:49:32.145]  That's fine.
[00:49:32.145 --> 00:49:33.226]  However many.
[00:49:33.226 --> 00:49:34.106]  It's the strategy.
[00:49:34.106 --> 00:49:37.908]  If they really think that... Well, here's the point.
[00:49:37.908 --> 00:49:39.189]  I wasn't trying to win on math.
[00:49:39.189 --> 00:49:41.050]  Listen, we've got to go to break here in just a moment.
[00:49:41.050 --> 00:49:42.531]  Sir, I want to put you on hold.
[00:49:42.531 --> 00:49:45.792]  I want to go back and restate all this stuff.
[00:49:45.792 --> 00:49:48.514]  Because it's... This is all very serious.
[00:49:48.514 --> 00:49:49.794]  This is about Ed and Elaine Brown.
[00:49:49.794 --> 00:49:53.336]  Let me just re-announce this news for everybody out there.
[00:49:53.336 --> 00:49:56.538]  Police assembled by Brown's home.
[00:49:56.538 --> 00:49:58.739]  It has been confirmed by the union leader.
[00:49:59.540 --> 00:50:00.842]  And it looks like they can handle the bandwidth.
[00:50:00.842 --> 00:50:03.446]  Go up there, John, and grab all those audio files, please.
[00:50:03.446 --> 00:50:07.772]  And we're also going to air a Fox News piece that we got about 20 minutes ago coming up in the next segment.
[00:50:07.772 --> 00:50:10.016]  I appreciate both of our guests that are friends with Ed Brown.
[00:50:10.908 --> 00:50:11.588]  I don't know.
[00:50:32.705 --> 00:50:43.449]  The Union Leader clips we're getting and we're asking people to go there and try to observe what's happening and to see specifically what type of military forces, that's what this all is.
[00:50:43.449 --> 00:50:47.670]  It's military, trained police and forces arrayed against the people.
[00:50:47.670 --> 00:50:52.092]  And you notice the Revolutionary War started in New Hampshire.
[00:50:52.092 --> 00:50:58.454]  It started in New Hampshire, ladies and gentlemen, and in Massachusetts.
[00:50:58.454 --> 00:51:00.815]  So this is just classic
[00:51:01.861 --> 00:51:07.504]  New world order, launching their attack, and they know this has been a big national issue.
[00:51:07.504 --> 00:51:10.086]  They've waited six plus months to do this.
[00:51:10.086 --> 00:51:12.267]  They have, uh, this is terrible.
[00:51:12.267 --> 00:51:18.590]  Union leader correspondent was kept away from the Browns compound by state police, who would not say why.
[00:51:18.590 --> 00:51:19.931]  That is confirmed.
[00:51:19.931 --> 00:51:22.752]  Susan Williams, who lives a mile or so away from the Browns.
[00:51:22.752 --> 00:51:24.753]  Let's try to get her on the horn.
[00:51:24.753 --> 00:51:30.357]  Call information for Susan Williams, uh, John, I know you're doing ten things, and, uh, in, uh, Plainfield.
[00:51:30.357 --> 00:51:31.057]  Let's try to get her on.
[00:51:32.216 --> 00:51:50.562]  Susan Williams, who lives a mile or so away from the Browns, on Center of Town Road, said she saw police officers, SWAT team members, and firetruck, ambulance, helicopter, and at least one armored vehicle assembled in a field across from her driveway at the Browns' home.
[00:51:50.562 --> 00:51:58.145]  The Browns answered a telephone call from the Associated Press saying, this is the Lord's House, this is Sister Elaine and Brother Edward.
[00:52:01.494 --> 00:52:05.977]  They said nothing was out of the ordinary at the house.
[00:52:05.977 --> 00:52:08.519]  That, it sounds like the Feds have taken it over.
[00:52:08.519 --> 00:52:11.021]  That sounds like psychological warfare at the Browns' home.
[00:52:11.021 --> 00:52:17.305]  The Browns answered a telephone call from the AP by saying, this is the Lord's house, this is Sister Elaine and Brother Edward.
[00:52:17.305 --> 00:52:19.366]  They don't talk like that.
[00:52:19.366 --> 00:52:21.968]  I know them both, talked to them both, interviewed them both.
[00:52:21.968 --> 00:52:24.270]  That's just pure bull.
[00:52:24.270 --> 00:52:26.191]  I mean, that is, oh, there's nothing wrong here!
[00:52:26.191 --> 00:52:27.092]  Again.
[00:52:28.130 --> 00:52:28.771]  Lying.
[00:52:28.771 --> 00:52:30.453]  Military tactics.
[00:52:30.453 --> 00:52:31.895]  This is horrible, ladies and gentlemen.
[00:52:31.895 --> 00:52:33.437]  Let's pray for them right now.
[00:52:33.437 --> 00:52:35.380]  God, please protect them if that's your will.
[00:52:35.380 --> 00:52:36.901]  Please help them.
[00:52:36.901 --> 00:52:38.483]  Please.
[00:52:38.483 --> 00:52:39.144]  Please.
[00:52:39.144 --> 00:52:39.525]  Please.
[00:52:39.525 --> 00:52:40.286]  This is horrible.
[00:52:44.346 --> 00:52:45.708]  The War on Terrorism.
[00:52:45.708 --> 00:52:48.752]  Will it be fought overseas, or will it affect us here at home?
[00:52:48.752 --> 00:52:53.338]  If you are like most folks, you want to be prepared, but can't afford an underground shelter.
[00:52:53.338 --> 00:52:54.480]  So what do you do?
[00:52:54.480 --> 00:52:59.066]  Did you know that you can use your home as a shelter against fallout and biological or chemical attacks?
[00:52:59.526 --> 00:53:02.147]  With a little know-how, it's not that difficult.
[00:53:02.147 --> 00:53:16.894]  Sheltering in Place, Surviving Acts of Terrorism from Biological, Chemical, and Radioactive Fallout, developed by Wayne LeBaron, a health physicist who has served as a specialist in environmental health, communicable diseases, and has worked as a nuclear specialist for the U.S.
[00:53:16.894 --> 00:53:23.938]  government, gives you easy-to-follow video instructions, and walks you step-by-step through the process of preparing your home as a shelter.
[00:53:24.298 --> 00:53:29.139]  Get this critical video every American needs for only $29 plus shipping.
[00:53:29.139 --> 00:53:31.280]  Order by calling New Millennium today at 888-803-4438.
[00:53:31.280 --> 00:53:31.720]  That's 888-803-4438.
[00:53:31.720 --> 00:53:33.821]  Or order on the web at Berkeywater.com.
[00:53:33.821 --> 00:53:37.742]  Hi, this is Tom Andrew with Midas Resources, your source for gold and silver.
[00:53:48.183 --> 00:53:53.346]  Friday, June 1st, gold closed up $10 per ounce and silver closed up $0.32 per ounce.
[00:53:53.346 --> 00:53:58.050]  Significant daily gains in precious metals are not uncommon during volatile times.
[00:53:58.050 --> 00:54:00.551]  Don't get caught on the wrong side of this market.
[00:54:00.551 --> 00:54:07.696]  Call me today at 1-800-606-1294 to lock in prices as well as your future buying power.
[00:54:07.696 --> 00:54:07.996]  That's 1-800-606-1294.
[00:54:11.408 --> 00:54:18.613]  Precious metals has always preserved purchasing power during times of confiscatory taxation and rampant inflation.
[00:54:18.613 --> 00:54:25.838]  Former Fed Chairman Alan Greenspan predicts a recession of alarming magnitude due to increasing budget and trade deficits.
[00:54:25.838 --> 00:54:32.362]  Listen folks, the current economic system is like a game of financial musical chairs.
[00:54:32.362 --> 00:54:33.803]  1-800-606-1294.
[00:54:33.803 --> 00:54:37.505]  Don't get caught standing without precious metals when the music stops.
[00:54:37.505 --> 00:54:38.266]  Call me now at 1-800-606-1294.
[00:54:43.155 --> 00:54:44.436]  I'm Dr. Bill Deagle, M.D.
[00:54:44.436 --> 00:54:46.858]  of the Nutramedical Report here on Genesis.
[00:54:46.858 --> 00:54:49.881]  Allicin, a natural antibiotic from Allomax Nutraceuticals U.S.
[00:54:49.881 --> 00:54:50.642]  is a real thing.
[00:54:50.642 --> 00:54:57.648]  This amazing molecule is a stabilized antimicrobial antipathogenic killer for fresh, never before available garlic.
[00:54:57.648 --> 00:55:08.518]  Allicin molecule is biologically active against all bacterial pathogens, viruses, fungi, parasites, TB, and it kills fleshy bacteria, MRSA, Acinetobacter infections that ravage our everyday health.
[00:55:08.658 --> 00:55:17.508]  Taken daily, it removes these stealth pathogens, clearing our bodies of disease activators that cause chronic health issues and means a much higher level of wellness for you and your family.
[00:55:17.508 --> 00:55:29.701]  Order today for fighting disease, turning on your immune system, activating infection-fighting properties against sinus, lung, bowel, skin, Lyme disease, nail fungus, colds, flu, ringworm, gum disease, diarrhea, athlete's foot, and cholesterol.
[00:55:29.901 --> 00:55:33.644]  Secure online ordering is available at Nutramedical.com or call 888-212-8871.
[00:55:33.644 --> 00:55:37.226]  That number again, 888-212-8871 for the most powerful natural antimicrobial available.
[00:55:42.296 --> 00:55:47.258]  We at The Bible Says want to alert the world to the topic of the Mark of the Beast.
[00:55:47.258 --> 00:55:50.499]  Soon, it will be upon us as an overwhelming surprise.
[00:55:50.499 --> 00:55:53.440]  The world is pressing toward a forced one-world religion.
[00:55:53.440 --> 00:55:58.643]  The real issue behind this is the union of church and state nullifying our First Amendment.
[00:55:58.643 --> 00:56:04.305]  Americans will have to give up their peculiar beliefs and accept what the new world religious leaders prescribe.
[00:56:04.305 --> 00:56:07.266]  In 2005, President Bush signed the REAL ID Act.
[00:56:07.466 --> 00:56:08.106]  We're good to go.
[00:56:30.880 --> 00:56:36.083]  For a better understanding of this very important topic and to receive your three free books and a free DVD, call 1-888-211-1715.
[00:56:36.083 --> 00:56:36.483]  That's 1-888-211-1715.
[00:56:36.483 --> 00:56:38.284]  No matter how hard you try, you can't stop us now.
[00:56:38.284 --> 00:56:40.545]  No matter how hard you try, you can't stop us now.
[00:56:59.128 --> 00:56:59.589]  We're good.
[00:57:17.885 --> 00:57:19.587]  Watch out to the Middle Ages.
[00:57:19.587 --> 00:57:21.608]  Planted Earths kept going through changes.
[00:57:21.608 --> 00:57:25.772]  And in the Renaissance came, the times continue to change.
[00:57:25.772 --> 00:57:29.315]  Nothing stayed the same, but they were always renegades.
[00:57:29.315 --> 00:57:34.559]  Like Chief Simba, John Payne, Martin Luther King, Malcolm X, they were renegades.
[00:57:36.127 --> 00:57:37.407]  Welcome back, ladies and gentlemen.
[00:57:37.407 --> 00:57:39.388]  Pastor Butch Paw, Genesis Reporter.
[00:57:39.388 --> 00:57:41.268]  Again, none of this is totally confirmed.
[00:57:41.268 --> 00:57:48.210]  We know local news is reporting, WCAX-TV, that they are evacuating homes.
[00:57:48.210 --> 00:57:53.711]  State and federal authorities have converged on the home of a New Hampshire couple involved in an attack standoff.
[00:57:53.711 --> 00:57:57.192]  And there is a man named Drew Raines, who I know has been reporting in the past.
[00:57:57.192 --> 00:57:58.473]  He's reported to Butch in the past.
[00:57:58.473 --> 00:57:59.473]  This is unconfirmed.
[00:58:00.177 --> 00:58:03.864]  We pray this is not the case, but we cannot hold this back from you.
[00:58:03.864 --> 00:58:05.287]  Butch, tell them what the report is.
[00:58:05.287 --> 00:58:07.732]  The report is the House is on fire, Alex.
[00:58:07.732 --> 00:58:08.974]  That's the report I have received.
[00:58:08.974 --> 00:58:09.856]  I cannot confirm it.
[00:58:09.856 --> 00:58:11.800]  That's the report I received that the House is on fire.
[00:58:12.781 --> 00:58:14.743]  I don't know the extent of this.
[00:58:14.743 --> 00:58:17.365]  I'm just so angry now that it's hard to concentrate.
[00:58:17.365 --> 00:58:25.732]  But these people... As a former black ops officer in the army in Vietnam and in other countries, what is it like for you to see your country turn into this?
[00:58:25.732 --> 00:58:37.562]  Well, being an Air Force sergeant, knowing what I did in Vietnam, what I saw over there, and what I thought I was doing was right, this makes me so angry that I don't get to say it very easily.
[00:58:37.562 --> 00:58:39.243]  These people are patriots.
[00:58:39.602 --> 00:58:42.764]  They're fine people standing for the truth, and we're watching them being taken down right now.
[00:58:42.764 --> 00:58:47.606]  If the people do not stand up now, America is damned to hell.
[00:58:47.606 --> 00:58:49.687]  I'm a pastor, I'm saying it as clear as I can say it.
[00:58:49.687 --> 00:58:52.968]  If we do not stand up now, America is damned, and rightfully so.
[00:58:52.968 --> 00:58:58.051]  And so should every person in this nation be damned if we don't stand up right now.
[00:58:58.051 --> 00:58:59.912]  Well, we were talking earlier in the break, and you said it's the same.
[00:58:59.912 --> 00:59:01.412]  Damned if you do, damned if you don't.
[00:59:01.412 --> 00:59:02.533]  Exactly.
[00:59:02.533 --> 00:59:03.513]  It's time to stand.
[00:59:03.513 --> 00:59:05.634]  There is no other time.
[00:59:05.634 --> 00:59:08.916]  We're watching innocent people being taken down one at a time, two or three at a time,
[00:59:12.343 --> 00:59:15.944]  Well now you said live free or die.
[00:59:15.944 --> 00:59:22.768]  You said during the break, and this is the live free or die state, New Hampshire where this is happening, I think they picked it for a reason.
[00:59:22.768 --> 00:59:27.230]  You, during the break I was saying, well don't you think the feds want us?
[00:59:29.571 --> 00:59:34.655]  And the Feds want to start it now because we're growing, we're rising, so we're not getting any stronger.
[00:59:34.655 --> 00:59:38.138]  But I'm not saying people shouldn't really stand up against this.
[00:59:38.138 --> 00:59:42.681]  My only point is that it's clear they're trying to have a provocation.
[00:59:42.681 --> 00:59:45.083]  Of course, and I understand that, and I do understand that.
[00:59:45.083 --> 00:59:50.967]  But we can't let in some people taken out while we're trying to build an army.
[00:59:50.967 --> 00:59:53.889]  If we don't pin the first, we're going to have a hard time pinning the 10th, the 20th, the 30th.
[00:59:54.742 --> 00:59:55.443]  It has to be now.
[00:59:55.443 --> 00:59:56.383]  It can't be longer.
[00:59:56.383 --> 00:59:57.744]  We can't wait any longer in the future.
[00:59:57.744 --> 00:59:58.725]  It must be starting now.
[00:59:58.725 --> 01:00:03.007]  If it's for you being attacked, we'd have to do the same thing for you or for me or anybody else.
[01:00:03.007 --> 01:00:04.128]  We cannot... Well, they're smart.
[01:00:04.128 --> 01:00:05.489]  They go after the little guys first.
[01:00:05.489 --> 01:00:05.929]  Sure.
[01:00:05.929 --> 01:00:06.430]  Absolutely.
[01:00:06.430 --> 01:00:07.690]  And then test.
[01:00:07.690 --> 01:00:10.112]  This is obviously a testing of the waters.
[01:00:10.112 --> 01:00:12.874]  Pastor Butch, I mean, we're here.
[01:00:12.874 --> 01:00:14.395]  We see this going on.
[01:00:14.395 --> 01:00:15.615]  We know they have evacuated.
[01:00:15.615 --> 01:00:16.616]  They're blocking the press.
[01:00:16.616 --> 01:00:18.397]  They say they're moving in now.
[01:00:18.397 --> 01:00:19.998]  That means it was probably an hour ago.
[01:00:19.998 --> 01:00:21.039]  That coincides.
[01:00:21.039 --> 01:00:24.101]  Who is this Drew Rains fella, and what specifically did he tell you?
[01:00:24.361 --> 01:00:36.170]  Well, this was a gentleman called, a call method, Drew Range had called him actually, and Drew Range, I understand, is a reporter, kind of a on-the-scene type guy like you and I. I don't know if he's there right now.
[01:00:36.170 --> 01:00:41.334]  Okay, well we need people to call in because so far the rumor we've been told has turned out to be true.
[01:00:41.334 --> 01:00:43.876]  I pray this one isn't the case.
[01:00:43.876 --> 01:00:46.398]  But let me just read this news article for everybody out there.
[01:00:48.032 --> 01:00:50.455]  Converge on Edna Lane Brown's home.
[01:00:50.455 --> 01:00:55.721]  State and federal authorities have converged on the home of a New Hampshire couple involved in a tax standoff.
[01:00:55.721 --> 01:01:01.507]  People are being kept several miles away from the center town road in Plainfield where Edna Lane Brown lived.
[01:01:02.498 --> 01:01:03.620]  You hear that, ladies and gentlemen?
[01:01:03.620 --> 01:01:05.683]  They are being kept several miles away.
[01:01:05.683 --> 01:01:07.546]  Look, we just need to call all the local reporters.
[01:01:07.546 --> 01:01:08.427]  You call, John.
[01:01:08.427 --> 01:01:09.669]  My people are calling.
[01:01:09.669 --> 01:01:12.273]  Everybody call and ask, is there smoke?
[01:01:12.273 --> 01:01:16.319]  Alex, this is a tactical raid.
[01:01:16.319 --> 01:01:17.501]  The same thing happened in Waco.
[01:01:17.501 --> 01:01:18.322]  The press held back.
[01:01:18.769 --> 01:01:21.230]  The same thing has happened in hundreds of cases.
[01:01:21.230 --> 01:01:22.031]  The press has held back.
[01:01:22.031 --> 01:01:22.711]  And that's what they do.
[01:01:22.711 --> 01:01:25.013]  They don't even want to engage them in a firefight.
[01:01:25.013 --> 01:01:29.295]  They generally do burn people out with incendiary weapons.
[01:01:29.295 --> 01:01:29.955]  It goes on.
[01:01:29.955 --> 01:01:35.178]  It says neighbors, including some who have been evacuated, reported police SWAT teams a helicopter.
[01:01:35.178 --> 01:01:36.159]  They'll use helicopters.
[01:01:36.159 --> 01:01:38.260]  They tried to burn out Ruby Ridge with a helicopter.
[01:01:38.260 --> 01:01:41.142]  And at least one armored vehicle converged on a field near the home.
[01:01:41.922 --> 01:01:47.167]  This morning, authorities have not said if they were moving in to arrest the fugitives.
[01:01:47.167 --> 01:01:48.788]  If they burned them out, my God.
[01:01:48.788 --> 01:01:49.709]  Fugitives?
[01:01:49.709 --> 01:01:51.391]  Fugitives from what?
[01:01:51.391 --> 01:01:53.493]  The Browns have been barricaded.
[01:01:53.493 --> 01:02:00.279]  When CPS tries to take your child, and you don't let them, and you leave out the back door, they announce it's a kidnapping on the news.
[01:02:00.279 --> 01:02:01.880]  99% of the time, I hear an Amber Alert.
[01:02:01.880 --> 01:02:05.583]  It's some parents who the CPS tried to take their child, so they left.
[01:02:05.583 --> 01:02:07.405]  And it's fugitives, fugitives!
[01:02:08.025 --> 01:02:12.867]  The Browns have been barricaded inside their home for several months after being convicted of tax evasion.
[01:02:12.867 --> 01:02:17.929]  They did not even attend their sentencing hearing in which they were sentenced to five years in prison.
[01:02:17.929 --> 01:02:18.730]  You know what?
[01:02:18.730 --> 01:02:29.354]  The tree of liberty is watered by the blood of patriots and tyrants, and I'm telling you, if they burned them out, if they storm troopered them, it's only going to increase the power of the patriot movement.
