[00:00:00.109 --> 00:00:04.853]  Kidding, talk radio.
[00:45:02.052 --> 00:45:10.597]  That was keeping the dollar somewhat afloat, because even though the dollar had been massively devalued, we hadn't seen the major inflationary trends.
[00:45:10.617 --> 00:45:17.261]  It was still massive, but nothing like the ultra-massive stuff we're seeing now, because you were able to still put it into overvalued real estate.
[00:45:17.741 --> 00:45:21.083]  But, see, that wasn't completely fiat like the Federal Reserve, no.
[00:45:22.524 --> 00:45:23.625]  Or like stocks.
[00:45:24.796 --> 00:45:39.061]  And so they're trying to get you out of real assets, and they've done a pretty good job of that because now when they pop the real estate bubble, which is now imploding, then they're going to try to artificially destroy that value and then pick it up for pennies on the dollar.
[00:45:41.742 --> 00:45:43.183]  But that's only a small part of it.
[00:45:43.203 --> 00:45:45.884]  The federal government has massively increased the debt ceiling.
[00:45:46.821 --> 00:45:51.485]  Meaning they're going to issue more treasury bonds and treasury notes and different types of U.S.
[00:45:51.525 --> 00:46:05.416]  government securities, meaning that they're going to raise the debt ceiling and let the big central bankers issue even more debt, which then we have to pay interest on the national debt for.
[00:46:05.576 --> 00:46:06.817]  It's a really sick system.
[00:46:07.018 --> 00:46:09.700]  The bankers credit out of nothing, they now get to
[00:46:11.363 --> 00:46:27.954]  Again, there's so many angles to this, but bottom line, two months ago they stopped letting the brokerage houses, they stopped letting the big companies that bundled up and sold the millions of housing loans in the Ponzi scheme, they're not buying those loans.
[00:46:31.934 --> 00:46:35.595]  And so that creates the credit crunch because the money isn't flowing through.
[00:46:35.855 --> 00:46:44.437]  Then the very central banks that did that stand around acting like they're bailing the economy out when they've already stolen trillions of dollars.
[00:46:44.757 --> 00:46:49.119]  Then they pump in four hundred and something billion back into
[00:46:52.202 --> 00:47:01.965]  Some of these smaller banks, which actually have to pay those back as loans later, and those very loans, that very money, is backed up by the taxpayers.
[00:47:02.705 --> 00:47:14.448]  So basically, it's just a total fiat scheme with paper that these handful of families get to issue to everybody, and then they orchestrate the implosion of the economy, pose as the saviors, and consolidate all the wealth.
[00:47:17.788 --> 00:47:24.069]  And the Financial Times of London put that pretty simply yesterday, but I was trying to get into more of the facets and more of the details of it.
[00:47:29.590 --> 00:47:37.351]  But when you're standing around with a know-it-all liberal or conservative, you know, yuppie type, and they're going, just thank God for Greenspan coming in when he did.
[00:47:37.371 --> 00:47:39.772]  I don't like that Bernanke.
[00:47:40.912 --> 00:47:46.993]  They're all lockstep together, just slap that yuppie verbally upside the head and go, you idiot!
[00:47:48.217 --> 00:48:00.105]  Who do you think gets real assets and gets to gobble up all these mortgage brokerage firms and gets to gobble up all these hedge funds with hundreds of billions apiece of loans in them?
[00:48:01.927 --> 00:48:16.837]  They literally, the big central banks are just creating a credit crisis so they get to gobble it all up and then it gets backed up by the government which is backed up by us and then the bankers sell it as if it's something you demanded a lower interest rate
[00:48:20.683 --> 00:48:26.987]  So that it spurs more lending, which then only drives the dollar down even further.
[00:48:27.427 --> 00:48:35.712]  And at the end of the day, this diabolical plan is carried out, and the general public is thanking Alan Greenspan and talking about how wonderful he is.
[00:48:42.496 --> 00:48:48.199]  Meanwhile, their traitorous, un-American, hateful thing... I mean, it's one thing if they're going to have a fiat system.
[00:48:49.071 --> 00:48:50.112]  And they were good guys.
[00:48:50.192 --> 00:48:50.993]  It'd be dangerous.
[00:48:51.053 --> 00:48:51.874]  It'd be volatile.
[00:48:51.954 --> 00:48:52.675]  It'd be corrupt.
[00:48:52.715 --> 00:48:54.276]  It would destroy our value.
[00:48:54.296 --> 00:48:56.418]  It would destroy your savings.
[00:48:56.478 --> 00:48:58.861]  It's a horrible hidden tax.
[00:49:00.788 --> 00:49:10.776]  But it'd be one thing if they tried to keep it going, and tried to ease it in, and, and, and, uh, but no, they're up there screaming, the dollar's gonna plunge, the economy's gonna fall apart.
[00:49:11.096 --> 00:49:17.221]  They're up there trying to kill the economy so they can consolidate, while out of the other side of their mouth saying they're saving it.
[00:49:17.241 --> 00:49:19.043]  I mean, that is so sick!
[00:49:19.383 --> 00:49:23.827]  It's just like they carry out 9-11, and we've got to sit there and watch them pose as saviors.
[00:49:27.670 --> 00:49:28.751]  It just gets too rich.
[00:49:29.841 --> 00:49:32.422]  Fears of dollar collapse as Saudis take fright.
[00:49:33.282 --> 00:49:37.244]  London Telegraph, Saudi Arabia has refused to cut interest rates and locked up with the U.S.
[00:49:37.264 --> 00:49:47.507]  Federal Reserve for the first time, signaling the oil-rich Gulf Kingdom is prepared to break the dollar currency peg in a move that risks setting off a stampede out of the dollar across the Middle East.
[00:49:47.547 --> 00:49:52.029]  Now, neocons put out this info that we've got to attack Iran because they've dumped the dollar.
[00:49:52.269 --> 00:49:53.249]  They did that years ago.
[00:49:53.349 --> 00:49:55.150]  Iran is nothing compared to Saudi Arabia.
[00:49:56.051 --> 00:50:02.857]  And, but again, they're going to blame all this, as they're doing, on the Iranians, when it's our good buddies, the Sauds, that are doing it.
[00:50:03.217 --> 00:50:06.740]  Why do you think Dick Cheney is moving to Saudi Arabia and getting another house in Dubai?
[00:50:07.040 --> 00:50:08.241]  They're all leaving, folks!
[00:50:08.882 --> 00:50:10.904]  I mean, almost every corporation is leaving now.
[00:50:11.504 --> 00:50:12.665]  You thought they were leaving before.
[00:50:12.705 --> 00:50:18.190]  They are in full stampede flight right now.
[00:50:21.041 --> 00:50:21.702]  But it doesn't matter.
[00:50:21.742 --> 00:50:23.623]  They talk about how they love America.
[00:50:23.923 --> 00:50:25.225]  That's all that matters.
[00:50:25.245 --> 00:50:27.787]  As long as they just say that, the yuppies fall down.
[00:50:29.268 --> 00:50:29.969]  And worship them.
[00:50:30.169 --> 00:50:35.994]  This is a very dangerous situation for the dollar, said Hans Redeker, currency chief at BNP.
[00:50:38.916 --> 00:50:45.642]  Saudi Arabia has 800 billion, 400 billion pounds in their future generation fund.
[00:50:46.249 --> 00:50:47.370]  We'll be right back folks.
[00:50:47.930 --> 00:50:49.171]  It's all happening right now.
[00:50:49.271 --> 00:50:51.352]  Greenspan said dump the dollar on Sunday.
[00:50:51.853 --> 00:50:54.574]  The Saudis followed suit on Wednesday.
[00:50:55.335 --> 00:50:56.396]  We're getting hit hard.
[00:50:56.416 --> 00:50:57.536]  The U.S.
[00:50:57.596 --> 00:50:58.417]  is going down!
[00:51:04.600 --> 00:51:07.783]  It's here, after a year in production and traveling to distant lands.
[00:51:08.123 --> 00:51:10.085]  My new film, Terror Storm, is complete.
[00:51:10.445 --> 00:51:18.111]  Shocking declassified government documents prove that Western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[00:51:18.792 --> 00:51:25.837]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[00:51:26.237 --> 00:51:33.163]  Terror Storm chronicles the lies that took us to war in Iran, the White House program to disseminate fake news, NSA spying,
[00:51:33.610 --> 00:51:37.652]  Secret police torture, the latest 9-11 information, and much, much more.
[00:51:37.953 --> 00:51:41.475]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[00:51:41.915 --> 00:51:43.856]  It's an anthology of government crimes.
[00:51:44.176 --> 00:51:48.119]  Terror Storm is a film that everyone who wants to be truly informed must see.
[00:51:48.639 --> 00:51:55.503]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv.
[00:52:02.069 --> 00:52:11.134]  Now, you can upgrade your existing gravity filter to remove chemicals such as trimethylenes, atrazine, benzene, chlorine, chloroform, and NTVE to below detectable limits.
[00:52:11.394 --> 00:52:22.619]  Black Ferkey elements are so powerful, they remove pathogenic bacteria, cysts and parasites to non-detectable levels, and transform water, even raw, stagnant pond water, into delicious, crystal-clear drinking water.
[00:52:22.960 --> 00:52:27.722]  Nitrates, nitrites, radon-222, unwanted heavy metals like lead, mercury, and aluminum,
[00:52:28.002 --> 00:52:28.282]  I'm good.
[00:52:47.090 --> 00:52:49.851]  Have you ever thought about what's in your shampoo, soap, or detergent?
[00:52:49.911 --> 00:52:53.173]  How about chlorides, dyes, ethanol, sulfates, sodium, formaldehydes, and more?
[00:52:53.193 --> 00:52:57.355]  Even fragrance can indicate the presence of some 4,000 separate ingredients, most of which are synthetic.
[00:52:57.375 --> 00:52:58.176]  Hi, this is Alex Jones.
[00:53:16.605 --> 00:53:25.432]  I was shocked when I discovered I could be inhaling these additives that can lead to coughing, wheezing, and shortness of breath, headaches, nausea, irritation of the skin, and mucous membranes.
[00:53:25.932 --> 00:53:27.553]  Now compare a Calben Pure Soap.
[00:53:27.773 --> 00:53:36.600]  All natural, earth friendly, no harsh chemicals, no animal testing, they're safe, and you save 85% of the money you're spending on cleaning products now.
[00:53:37.000 --> 00:53:39.102]  Start saving over $1,000 a year for your family of four.
[00:53:40.823 --> 00:53:41.603]  Keep it natural.
[00:53:41.884 --> 00:53:50.047]  Call Calvin Pure Soap for a free catalog at 1-800-340-7091 or log on to 5starsoap.com.
[00:53:50.308 --> 00:53:54.449]  Try Calvin Pure Soaps and I'll bet you'll never use any other cleaning products again.
[00:53:54.469 --> 00:53:55.430]  Call 1-800-340-7091 for all your cleaning needs.
[00:54:16.838 --> 00:54:20.702]  Alright, I've explained this with too much detail.
[00:54:20.762 --> 00:54:22.163]  Let me just break it down simply.
[00:54:22.524 --> 00:54:24.786]  The central banks took over the United States in 1913.
[00:54:24.846 --> 00:54:26.327]  They set up state police.
[00:54:26.707 --> 00:54:28.029]  They federalized everything.
[00:54:28.889 --> 00:54:31.772]  They set up a globalist system to destroy any
[00:54:35.912 --> 00:54:42.876]  Independence of a nation by getting our infrastructure completely moved offshore, our jobs moved offshore, our high-tech jobs.
[00:54:42.896 --> 00:54:44.817]  They told us, oh, you'll have a service economy.
[00:54:45.098 --> 00:54:47.419]  Don't worry, you've still got the world reserve currency.
[00:54:47.860 --> 00:54:53.103]  Then we used our worthless dollars that got us more in debt, because to create them creates debt, folks.
[00:54:53.483 --> 00:54:54.224]  It's a black hole.
[00:54:54.244 --> 00:54:59.187]  It's designed to do this, to buy Chinese slave goods that don't work half the time and are covered in poison paint.
[00:55:00.448 --> 00:55:03.190]  The very bankers that got us fully in their clutches
[00:55:04.309 --> 00:55:07.111]  Came out on the weekend and announced the dollar was going to die.
[00:55:08.232 --> 00:55:10.393]  And Venezuela dumped the dollar yesterday.
[00:55:10.413 --> 00:55:13.815]  Saudi Arabia is not pegging itself.
[00:55:14.275 --> 00:55:16.677]  It's oil reserved for the dollar.
[00:55:17.337 --> 00:55:18.478]  That's the only thing that backed it up.
[00:55:18.598 --> 00:55:24.282]  Folks, I mean, this is... It doesn't matter, folks, on Neocon Radio.
[00:55:24.302 --> 00:55:26.143]  They're just going to talk about Nuke and Iran all day.
[00:55:27.902 --> 00:55:30.805]  And they even say, well, it's about getting our dollar back up.
[00:55:30.825 --> 00:55:31.966]  They even tell them that lie.
[00:55:32.286 --> 00:55:33.727]  It's the Saudis doing this.
[00:55:34.047 --> 00:55:36.549]  It's Alan Greenspan that announced it was going to go down.
[00:55:36.850 --> 00:55:39.792]  It's them doing it, not the Iranians!
[00:55:41.053 --> 00:55:45.657]  The enemy is here, inside the country, running things out of New York and D.C.
[00:55:46.217 --> 00:55:48.279]  What does it take for you people to understand that?
[00:55:50.948 --> 00:55:51.749]  You don't care, though.
[00:55:51.769 --> 00:55:54.191]  You just want to stick George W. stickers on your car.
[00:55:54.231 --> 00:55:56.132]  You want to stick Hillary Clinton stickers on your car.
[00:55:56.632 --> 00:56:01.496]  You want to drive around and feel official and powerful and just believe the stuff you read in the newspaper and see on TV.
[00:56:02.277 --> 00:56:03.958]  If you'd wake up, we could turn it around.
[00:56:05.079 --> 00:56:06.840]  Let me give you the news flash again calmly.
[00:56:09.122 --> 00:56:17.769]  Alan Greenspan came out over the weekend on Sunday and said that the dollar would probably be replaced in the midterm
[00:56:18.772 --> 00:56:20.933]  By the Euro.
[00:56:21.434 --> 00:56:25.116]  It started a huge slide on top of the slide we've had in the last seven years.
[00:56:26.277 --> 00:56:28.398]  It accelerated its downward spiral.
[00:56:29.599 --> 00:56:30.339]  Exponentially.
[00:56:31.580 --> 00:56:37.604]  Then, today, the Saudis dumped the dollar, and it's pegging it to the petrodollar.
[00:56:38.744 --> 00:56:42.707]  The Venezuelans, the biggest oil producers in the Western Hemisphere, dumped.
[00:56:43.524 --> 00:56:47.909]  The elite have more oil than in Saudi Arabia and Alaska and they won't let it be pumped.
[00:56:47.969 --> 00:56:49.671]  It has nothing to do with the environmentalists.
[00:56:49.871 --> 00:56:53.015]  We have oil company documents on it, you idiots!
[00:56:53.535 --> 00:56:54.917]  I'm talking to neocons out there.
[00:56:56.821 --> 00:56:59.102]  We are completely being sold out and destroyed.
[00:56:59.122 --> 00:57:00.223]  The New World Order hated us!
[00:57:00.743 --> 00:57:04.885]  Just like the New World Order brought down Russia because they didn't like the Tsars because they were sovereign.
[00:57:05.145 --> 00:57:08.767]  We're being brought down, folks, and they're putting in a bunch of commissariats over us.
[00:57:09.347 --> 00:57:11.889]  Like Chertoff and the new Homeland Security Chief.
[00:57:12.309 --> 00:57:17.691]  I mean, these guys are scary, folks, and their families literally ran the Red Purges in Russia.
[00:57:17.731 --> 00:57:19.892]  You couldn't make this stuff up.
[00:57:19.953 --> 00:57:20.733]  The Red Terror.
[00:57:26.152 --> 00:57:30.717]  You cannot make it up how much trouble this society and this country is in.
[00:57:35.001 --> 00:57:35.741]  It's simple!
[00:57:37.083 --> 00:57:42.488]  Our own government came out and the central banks that own this country came out and said, we're a bad investment.
[00:57:44.370 --> 00:57:47.673]  They'd already been trying to hint and push and get the economy to implode.
[00:57:48.314 --> 00:57:49.495]  They'd been doing everything they could.
[00:57:51.411 --> 00:58:01.456]  Basically, it's the equivalent of Greenspan shooting us five times in the chest if the country was a person, and then putting a Band-Aid on a bruised knuckle, or a bug bite.
[00:58:02.697 --> 00:58:12.421]  He comes in and shoots us five times in the heart, and blood's spraying out, and he smiles and says, but I take care of you, and sticks a Band-Aid on, and the media hails it.
[00:58:12.781 --> 00:58:15.183]  That's how absurd this is!
[00:58:16.083 --> 00:58:17.744]  Thanks a lot, New World Order.
[00:58:18.960 --> 00:58:21.281]  And the public can't even understand.
[00:58:21.601 --> 00:58:26.084]  The general public hearing this for the first time doesn't even know what I'm talking about.
[00:58:27.164 --> 00:58:27.264]  Ugh.
[00:58:28.245 --> 00:58:28.365]  Ugh.
[00:58:29.826 --> 00:58:29.926]  Ugh.
[00:58:30.266 --> 00:58:31.807]  Just see them do this to our country.
[00:58:33.467 --> 00:58:37.069]  All we had was that stupid dollar, folks, and they're taking that away from us.
[00:58:37.089 --> 00:58:38.950]  Do you know what this means?
[00:58:41.892 --> 00:58:46.114]  Order a copy of this show for your friends and family at GCNlive.com or call 877-300-7645.
[00:58:53.593 --> 00:58:58.097]  Hello, folks.
[00:58:58.317 --> 00:58:58.957]  Big Brother.
[00:58:59.618 --> 00:59:00.698]  Mainstream media.
[00:59:01.399 --> 00:59:02.540]  Government cover-ups.
[00:59:03.160 --> 00:59:03.981]  You want answers?
[00:59:04.741 --> 00:59:06.643]  Well, so does he.
[00:59:06.663 --> 00:59:09.965]  He's Alex Jones on the GCN Radio Network.
[00:59:10.485 --> 00:59:14.568]  And now, live from Austin, Texas, Alex Jones.
[00:59:21.898 --> 00:59:28.022]  Second hour, it is Friday, the 21st of September 2007.
[00:59:28.322 --> 00:59:35.586]  Uh, this Mio Khan, he's written editorials and blurbs and is a minion of Rush Limbaugh.
[00:59:35.666 --> 00:59:37.107]  He is a fake conservative.
[00:59:37.587 --> 00:59:39.308]  He has said I should be arrested for treason.
[00:59:41.011 --> 00:59:48.354]  You know, I set him up a few days ago for the show, and I wanted to have him on for a long time, but I've got so many other guests coming up, the economy's in so much trouble, I'm not going to spend too much time with him.
[00:59:48.374 --> 00:59:54.375]  I'm really just going to let him sit there and speak his mind, so you just get an idea of who we're dealing with, because there's a lot of these people.
[00:59:54.696 --> 01:00:09.120]  I'd say about 10% of the country literally think open borders is conservative, they think world government's conservative, they think none of it exists, they think tripling the size of the federal government's conservative, they think Bush is good, they think gun control's good,
[01:00:10.118 --> 01:00:12.580]  And they think I'm a treasonous trader.
[01:00:13.641 --> 01:00:16.123]  So, he's coming up on the show with us.
[01:00:18.265 --> 01:00:20.006]  Right now, let me just get into this.
[01:00:20.026 --> 01:00:21.867]  We'll get more into this with Walter Berrien later.
[01:00:22.288 --> 01:00:36.279]  One of the big aspects of destroying the dollar is that it allows foreign corporations and the Fortune 100 to come in, because the last couple of years they've positioned themselves into the Euro, into other currencies, a basket of currencies.
[01:00:37.208 --> 01:00:37.868]  We're good to go.
[01:00:55.134 --> 01:01:00.899]  The country 20 years ago passed the line of being more foreign-owned than owned by Americans.
[01:01:01.079 --> 01:01:03.822]  Well, now there's almost nothing American.
[01:01:04.302 --> 01:01:07.525]  All these companies have got no-bid contracts because they're American.
[01:01:07.545 --> 01:01:09.907]  You know, like Halliburton and the rest of it have moved to Dubai.
[01:01:10.187 --> 01:01:11.388]  They've moved to Saudi Arabia.
[01:01:11.969 --> 01:01:12.349]  It's gone.
[01:01:13.323 --> 01:01:15.444]  Most of the movie theater changed.
[01:01:15.764 --> 01:01:20.106]  Hollywood is owned by the Arabs and the Israelis for some reason.
[01:01:20.966 --> 01:01:28.929]  But the actual financing, I've looked into it, is mainly Saudi and Jordanian and the folks from Dubai and Qatar and a few other places.
[01:01:29.610 --> 01:01:30.630]  And then British, of course.
[01:01:31.530 --> 01:01:35.212]  And what was left was defense industries and stock markets.
[01:01:36.124 --> 01:01:46.487]  And I knew the Arabs owned the majority of some stock markets, but I was reading the Financial Times of London and learned that the majority of world stock markets are now owned by the Arabs.
[01:01:46.507 --> 01:01:52.569]  But as if it wasn't enough that two Middle Eastern countries own 49%
[01:01:58.352 --> 01:02:00.053]  Of the London Stock Exchange.
[01:02:00.253 --> 01:02:02.693]  Now they're about to bid and own the majority.
[01:02:02.733 --> 01:02:03.613]  And that's just two countries.
[01:02:03.653 --> 01:02:07.774]  If you add them all together, the Arabs own it almost outright.
[01:02:08.275 --> 01:02:08.915]  70 plus percent.
[01:02:09.735 --> 01:02:11.415]  And the same thing with Dow Jones.
[01:02:12.316 --> 01:02:14.036]  Because Arabs own Fox.
[01:02:15.256 --> 01:02:16.557]  You see, you didn't know that, did you?
[01:02:16.597 --> 01:02:20.898]  You didn't know that Arabs... Murdoch's only got a minority stock now.
[01:02:22.638 --> 01:02:25.559]  But the way the agreements were set, he still has board control.
[01:02:26.124 --> 01:02:29.247]  But Saudis own more than he does.
[01:02:29.807 --> 01:02:34.972]  But there's one Saudi with 14% last year.
[01:02:35.212 --> 01:02:36.713]  So the point is, they just own everything.
[01:02:37.374 --> 01:02:38.434]  They control the whole deal.
[01:02:38.715 --> 01:02:40.116]  Now it's defense stocks, though.
[01:02:41.337 --> 01:02:42.658]  And they're going to destroy their neighbors.
[01:02:42.898 --> 01:02:44.620]  You think Israel hates the Iranians?
[01:02:44.780 --> 01:02:47.582]  Oh, nothing like the Wahhabi-Assadis.
[01:02:47.682 --> 01:02:49.324]  They hate those Shiites so much.
[01:02:50.985 --> 01:02:53.307]  Al-Qaeda is based in Saudi.
[01:02:54.182 --> 01:03:01.649]  Bush announced three months ago that he's using Al-Qaeda to attack Iran, but then on the news they say Iran's behind Al-Qaeda!
[01:03:02.510 --> 01:03:04.332]  I mean, you couldn't make that stuff up!
[01:03:05.053 --> 01:03:06.674]  No movie could be that ridiculous.
[01:03:06.714 --> 01:03:07.435]  No one would believe it.
[01:03:07.495 --> 01:03:08.916]  No book could be that crazy.
[01:03:09.617 --> 01:03:10.237]  No fiction.
[01:03:11.839 --> 01:03:12.880]  So crude oil went above 84.
[01:03:12.980 --> 01:03:13.521]  Gold went to 735.
[01:03:13.861 --> 01:03:15.362]  It's going up right now.
[01:03:21.704 --> 01:03:23.405]  I mean, I've got a stack of news here.
[01:03:23.686 --> 01:03:26.208]  LSE Fresh Bidding War.
[01:03:26.228 --> 01:03:34.154]  50% of London Stock Exchange is now in the hands of two rival gulf states battling for the region's leader in the global consolidation of exchanges.
[01:03:35.275 --> 01:03:37.937]  Carlisle sells stake to Dubai.
[01:03:38.257 --> 01:03:40.619]  The Bin Laden is already the second biggest shareholder.
[01:03:44.682 --> 01:03:46.484]  Man, you couldn't make this stuff up!
[01:03:47.244 --> 01:03:48.105]  It's fire sale!
[01:03:48.886 --> 01:03:50.706]  You can basically announce this conference gone.
[01:03:50.987 --> 01:03:51.667]  We'll be right back.
[01:03:54.227 --> 01:03:59.189]  Now you can bring Berkey purification power anywhere with the Sport Berkey filtration bottle.
[01:03:59.509 --> 01:04:01.729]  Ideal for sporting games, camping, or boating.
[01:04:01.809 --> 01:04:04.930]  Our Sport Berkey is small enough to store in your glove box.
[01:04:04.970 --> 01:04:09.271]  So it's ideal backup for unexpected emergencies like blackouts, floods, or earthquakes.
[01:04:09.611 --> 01:04:12.632]  It's simply the best personal water filtration system available.
[01:04:12.932 --> 01:04:16.353]  So effective you can drink raw, untreated water from lakes, rivers, and streams.
[01:04:16.693 --> 01:04:26.062]  Unlike other sport bottles, the Sport Berkey's patented filter formulation is so powerful it removes cysts, parasites, harmful bacteria, and chemicals like herbicides and pesticides.
[01:04:26.302 --> 01:04:29.805]  It even reduces radon-222, lead, and other heavy metals.
[01:04:30.045 --> 01:04:37.152]  This lightweight, rugged 22-ounce filter is small enough to go everywhere, so take one to work and keep another in your glove box for emergencies.
[01:04:37.392 --> 01:04:38.773]  Get the Berkey Sport for only $39.00.
[01:04:39.854 --> 01:04:45.300]  Get two for $70.00 by calling New Millennium at 888-803-4438.
[01:04:45.580 --> 01:04:46.961]  Order your Berkey Sport today.
[01:04:47.181 --> 01:04:49.764]  That's toll-free, 888-803-4438, or order on the web at berkeywater.com.
[01:04:56.505 --> 01:05:01.967]  It's here, after a year in production and traveling to distant lands, my new film Terror Storm is complete.
[01:05:02.348 --> 01:05:09.991]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[01:05:10.686 --> 01:05:17.731]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[01:05:18.131 --> 01:05:29.559]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[01:05:29.880 --> 01:05:33.802]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[01:05:33.842 --> 01:05:35.784]  It's an anthology of government crimes.
[01:05:36.104 --> 01:05:39.947]  Terror Storm is a film that everyone who wants to be truly informed must see.
[01:05:40.538 --> 01:05:47.990]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[01:05:53.453 --> 01:05:54.494]  Hey, Jack Blood here.
[01:05:54.734 --> 01:06:00.720]  I think that if we could see the germs and potential biohazards all around us in our daily surroundings, we would turn into Howard Hughes.
[01:06:01.020 --> 01:06:05.245]  We try not to think about it primarily because we might think there's nothing we can do about it.
[01:06:05.545 --> 01:06:06.286]  Not so fast.
[01:06:06.386 --> 01:06:07.647]  Now there is a solution.
[01:06:07.847 --> 01:06:11.991]  I'm talking about Hazurid Complete Protection Kit, available now at Hazurid.com.
[01:06:13.092 --> 01:06:21.795]  This is the single solution that is tame enough to safely conquer everyday household and business cleaning chores, yet strong enough to decontaminate biological hazards.
[01:06:22.015 --> 01:06:26.517]  Hazurid fights infectious disease and unsurpassed odor, mold, and allergens.
[01:06:26.597 --> 01:06:31.139]  This is an amazing, state-of-the-art disinfectant with a no-questions-asked guarantee.
[01:06:31.279 --> 01:06:35.200]  Safe for kids and pets, and indispensable for your home, car, or business.
[01:06:35.280 --> 01:06:37.281]  Wherever you go, take Hazurid with you.
[01:06:37.461 --> 01:06:39.322]  Call them now to order 800-675-0323.
[01:06:40.743 --> 01:06:43.424]  That's 800-675-0323.
[01:06:43.744 --> 01:06:47.926]  Or go to the web, www.hazarid.com.
[01:06:48.186 --> 01:06:50.888]  H-A-Z-A-R-I-D, hazarid.com.
[01:06:51.108 --> 01:06:52.168]  Tell them Jack Blood sent you.
[01:06:54.049 --> 01:06:56.270]  He's the T-Rex of political talk.
[01:06:56.831 --> 01:06:59.612]  Alex Jones on the GCN Radio Network.
[01:07:24.309 --> 01:07:28.893]  Okay, there's so many of these clips that we're going to be playing them a little bit later in the hour.
[01:07:30.494 --> 01:07:33.776]  One of the clips, Gordon Bloyer, is just kind of like
[01:07:34.776 --> 01:07:40.919]  The archetypal example of a Rush Limbaugh type fake conservative says that I should be arrested for treason.
[01:07:41.160 --> 01:07:42.100]  And we have that clip.
[01:07:42.540 --> 01:07:45.242]  We have another where he said Keith Oberman should be arrested for treason.
[01:07:45.782 --> 01:07:48.003]  And he challenges the President to arrest Keith Oberman.
[01:07:48.023 --> 01:07:50.665]  I mean, you can't make this type of stuff up, as I keep saying.
[01:07:51.805 --> 01:07:56.148]  And then he's got some other clips saying similar things, and he's written similar things.
[01:07:56.768 --> 01:08:02.031]  And this is what that beatnik Michael Weiner Savage, who wrote, you know,
[01:08:03.884 --> 01:08:04.765]  I'm not even going to get into it.
[01:08:05.125 --> 01:08:06.826]  Love novels, we'll just leave it at that.
[01:08:07.346 --> 01:08:09.767]  Back in the 60's, has to say.
[01:08:10.367 --> 01:08:18.711]  And these commissariats have always wanted to be able to take over the country, so what they do is they pose as conservatives to be able to do that.
[01:08:19.768 --> 01:08:21.629]  And I don't even think Gordon Bloyer's a bad guy.
[01:08:21.669 --> 01:08:27.714]  I mean, he did photography for Ronald Reagan and George Bush Sr., been on some trips with him, and, you know, writes a million articles for him.
[01:08:28.014 --> 01:08:29.795]  I really think he's the type that believes all this.
[01:08:29.835 --> 01:08:39.041]  In fact, during the break I said, let me guess, there's no North American Union, no plan for one, there's no Council on Foreign Relations, and he said, yes, it doesn't exist.
[01:08:39.802 --> 01:08:41.323]  I mean, I was just talking to him.
[01:08:41.423 --> 01:08:42.704]  I said, he said, it doesn't exist!
[01:08:43.328 --> 01:08:46.031]  It doesn't matter if they openly write books saying, in the U.S.
[01:08:46.151 --> 01:08:48.473]  It doesn't matter if we've got Dick Cheney.
[01:08:48.493 --> 01:08:56.179]  In fact, get that clip queued up where Dick Cheney says, you know, I'm secretly the former head of the CFR, but I didn't tell my constituents that.
[01:08:56.440 --> 01:08:57.581]  And they laugh on C-SPAN.
[01:08:57.601 --> 01:09:07.069]  I mean, it's a big joke, but see, Bloyer, when we posted that video a few years ago of Cheney saying that, there were actual posts saying it was fake.
[01:09:07.329 --> 01:09:10.352]  They said, oh no, Dick Cheney, he fights the CFR.
[01:09:10.896 --> 01:09:12.737]  But see, Boyer's a different type of animal.
[01:09:12.797 --> 01:09:16.818]  He's the old-line Limbaugh type, with the Cook detector, who just says it doesn't exist.
[01:09:17.278 --> 01:09:18.739]  Gordon, it's good to have you on with us.
[01:09:19.279 --> 01:09:21.340]  Oh, I'm nice to talk to you, Mr. Challenge Only.
[01:09:21.400 --> 01:09:22.700]  I didn't say it didn't exist.
[01:09:22.820 --> 01:09:25.041]  It doesn't, it doesn't, not doing what you say it's doing.
[01:09:25.241 --> 01:09:26.102]  CFR exists.
[01:09:26.642 --> 01:09:28.062]  So does the Trilateral Commission.
[01:09:28.082 --> 01:09:29.683]  So does the Bilderberg Group.
[01:09:30.103 --> 01:09:31.665]  But they don't do what you say they do.
[01:09:31.965 --> 01:09:33.026]  Well, wait a minute, wait a minute.
[01:09:33.066 --> 01:09:34.247]  I said to you word for word.
[01:09:34.327 --> 01:09:37.030]  I said, so there's no North American Union, no CFR.
[01:09:37.130 --> 01:09:38.551]  Yeah, I just understood you.
