[00:00:04.182 --> 00:00:07.665]  Prepare yourself for a talk radio interview.
[00:22:42.884 --> 00:22:44.886]  Breaking news right here when we get back.
[00:23:01.292 --> 00:23:04.433]  We understand that decisions related to health can be overwhelming.
[00:23:04.673 --> 00:23:11.494]  That is why at ResearchedHerbs.com we take pride in offering you herbs whose safety and effectiveness have been proven time and time again.
[00:23:11.934 --> 00:23:25.276]  For example, did you know that LIV52, the top-selling natural herbal supplement for liver diseases since 1930, is backed by over 300 research studies and clinical trials and prescribed by more than 200,000 health professionals worldwide?
[00:23:25.596 --> 00:23:28.997]  In fact, the effectiveness of all the herbs featured on ResearchedHerbs.com
[00:23:29.757 --> 00:23:37.900]  Including those for cholesterol, blood pressure, diabetes, arthritis, cirrhosis, and hepatitis, among others, is extremely well documented.
[00:23:38.341 --> 00:23:45.203]  Our website, ResearchedHerbs.com, was created to empower you with the information and answers you need to make the right health decisions.
[00:23:45.584 --> 00:23:47.945]  Researched and proven herbs at great prices.
[00:23:48.105 --> 00:23:51.466]  Visit us online at ResearchedHerbs.com or call 1-800-845-3841 for more information.
[00:23:51.486 --> 00:23:51.706]  That's 1-800-845-3841.
[00:24:02.603 --> 00:24:03.625]  The War on Terrorism.
[00:24:03.965 --> 00:24:06.749]  Will it be fought overseas or will it affect us here at home?
[00:24:07.030 --> 00:24:11.176]  If you are like most folks, you want to be prepared, but can't afford an underground shelter.
[00:24:11.616 --> 00:24:12.438]  So what do you do?
[00:24:12.758 --> 00:24:17.325]  Did you know that you can use your home as a shelter against fallout and biological or chemical attacks?
[00:24:17.805 --> 00:24:19.926]  With a little know-how, it's not that difficult.
[00:24:20.406 --> 00:24:35.112]  Sheltering in Place, Surviving Acts of Terrorism from Biological, Chemical, and Radioactive Fallout, developed by Wayne LeBaron, a health physicist who has served as a specialist in environmental health, communicable diseases, and has worked as a nuclear specialist for the U.S.
[00:24:35.152 --> 00:24:42.215]  government, gives you easy-to-follow video instructions, and walks you step-by-step through the process of preparing your home as a shelter.
[00:24:42.555 --> 00:24:46.962]  Get this critical video every American needs for only $29 plus shipping.
[00:24:47.402 --> 00:24:49.185]  Order by calling New Millennium today at 888-803-4438.
[00:24:49.205 --> 00:24:49.425]  That's 888-803-4438.
[00:24:49.445 --> 00:24:50.967]  Or order on the web at Berkeywater.com.
[00:25:00.956 --> 00:25:02.637]  Government is best, which governs least.
[00:25:02.837 --> 00:25:04.078]  Wake up and smell the fascism.
[00:25:04.318 --> 00:25:07.139]  Being in government means never having to say you're sorry.
[00:25:07.520 --> 00:25:10.281]  What part of unconstitutional do you not understand, George?
[00:25:10.821 --> 00:25:17.545]  In today's world full of tyranny and injustice, sometimes it seems the only thing we still have is our freedom of speech.
[00:25:18.105 --> 00:25:25.770]  Exercise your freedom of speech by purchasing your choice of hundreds of different Liberty Stickers, from humorous to serious, at LibertyStickers.com.
[00:25:26.710 --> 00:25:27.691]  LibertyStickers.com
[00:25:41.547 --> 00:25:42.027]  We're good to go.
[00:26:01.914 --> 00:26:06.036]  Did you ever wonder how an opera singer that hits a high note is able to shatter a wine glass?
[00:26:06.277 --> 00:26:08.018]  Well, the glass has a natural resonance.
[00:26:08.298 --> 00:26:14.581]  If the resonant frequency force making the glass vibrate is big enough, the size of the vibration will become so large that the glass shatters.
[00:26:14.862 --> 00:26:20.985]  Using this similar principle, Royal Raymond Rife discovered that disease organisms can be destroyed using different resonant frequencies.
[00:26:21.245 --> 00:26:27.269]  The BioSolutions Frequency Instrument uses the same technology for relief or elimination of pain and disease conditions
[00:26:27.549 --> 00:26:33.953]  With no side effects, the 2006 Biosolutions Plus is the easiest to operate frequency instrument ever developed.
[00:26:34.113 --> 00:26:37.635]  It's easy reference guide will allow you to begin using the instrument within minutes.
[00:26:37.955 --> 00:26:41.658]  Simple step-by-step instructions using pictures are easy to follow.
[00:26:41.838 --> 00:26:44.379]  Customer satisfaction is guaranteed or your money back.
[00:26:44.519 --> 00:26:45.560]  Don't just treat symptoms.
[00:26:45.740 --> 00:26:48.363]  You're listening to GCN, the Genesis Communications Radio Network.
[00:27:20.884 --> 00:27:28.708]  You know, it is mildly serious compared to some of the other bioweapons type releases that have happened.
[00:27:28.948 --> 00:27:31.129]  But the point is, it wasn't even reported.
[00:27:31.149 --> 00:27:34.271]  The Austin, Texas based
[00:27:35.197 --> 00:27:54.532]  Sunshine Project, it's done a lot of documents released, found out that the Texas A&M University failed to report in a timely manner to federal authorities that a biology student was stricken with a dangerous Rucilla pathogen in its college station laboratory for bioweapons agents research on February 9th, 2006.
[00:27:54.692 --> 00:27:59.176]  And by the way, they're doing bioweapons research and they got students in there, it's not level 4.
[00:27:59.992 --> 00:28:10.780]  The University made its disclosure this April 10th, 14 months later, and only after insistent prodding by the Sunshine Project, an Austin, Texas-based arms control watchdog organization.
[00:28:11.080 --> 00:28:16.804]  Under federal law, such incidents are supposed to be reported within seven days in the Centers for Disease Control and Prevention.
[00:28:17.185 --> 00:28:25.871]  The student was seriously ill for several months with Rassilis, and it goes on to talk about how many people it kills a year, and it talks about how similar
[00:28:27.862 --> 00:28:34.066]  Infections broke out in a Seattle lab in 2004 at the Texas A&M.
[00:28:34.426 --> 00:28:45.212]  Professor David McMurray, inventor of the Mac, according to Sunshine, in the case of the stricken student, is the third report of a serious illness in connection with the chamber's use.
[00:28:45.292 --> 00:28:46.973]  So this is another chamber.
[00:28:49.154 --> 00:28:57.019]  This Mac chamber, same type that this got out, and it lists some other examples of where the chamber has not contained the pathogens
[00:28:57.825 --> 00:29:00.147]  Just go read it if you want all the details.
[00:29:00.228 --> 00:29:05.012]  And then, of course, Congressman Ron Paul interviewed him for a full hour earlier this week.
[00:29:05.032 --> 00:29:08.155]  The interview is up on PrisonPlanet.com for you to listen to.
[00:29:09.116 --> 00:29:11.819]  And he just out of the gate said, every indicator is.
[00:29:11.879 --> 00:29:15.683]  And again, he's a veteran, a medical doctor, the most conservative voting record in Congress.
[00:29:16.583 --> 00:29:21.148]  And he has done the analysis and says that they are clearly setting up FEMA camps.
[00:29:21.607 --> 00:29:25.628]  Concentration camps, and that the government clearly wants to set up a dictatorship.
[00:29:26.329 --> 00:29:28.689]  And again, when Bush leaves office, it doesn't matter.
[00:29:28.729 --> 00:29:29.630]  Hillary will try it.
[00:29:30.370 --> 00:29:31.930]  They work for the same people.
[00:29:32.871 --> 00:29:37.452]  And he got into the North American Union, the possibility of a draft after a staged terror attack.
[00:29:38.233 --> 00:29:40.553]  I mean, just Ron Paul just blew my socks off.
[00:29:41.894 --> 00:29:45.175]  By the way, Zbigniew Brzezinski, again, I need to mention this, February 1st,
[00:29:46.667 --> 00:29:59.271]  Testified, he's the former Trilateral Commission founder, is the founder and former National Security Advisor, saying that the government may stage events as a pretext to go to war with Iran.
[00:29:59.291 --> 00:30:01.611]  He said that before the Senate Committee.
[00:30:02.792 --> 00:30:06.313]  Absolutely amazing to have things of that magnitude coming out.
[00:30:06.333 --> 00:30:15.195]  Alright, I see that we got calls from Vancouver, calls from New Jersey, Indiana, New York, New York, Atlanta, and many, many other states.
[00:30:16.681 --> 00:30:24.667]  And so, what I'm going to do is, I'm just going to mention some of the other news I've got, and then we're going to kind of go through some of your phone calls and get back into that news.
[00:30:26.208 --> 00:30:29.270]  I really want to cover this first.
[00:30:30.150 --> 00:30:38.136]  So as soon as I get a chance, this is a headline, six-year-old under arrest, and they've got it as young as three-year-olds, being arrested.
[00:30:38.969 --> 00:30:40.911]  It's a new policy nationally.
[00:30:41.131 --> 00:30:45.634]  Again, these policies are just written up federally and then it's advised down at the state level.
[00:30:46.235 --> 00:30:52.380]  And if your child throws a temper tantrum, doesn't have to hit anybody, just yell and scream, you will be charged as a felon.
[00:30:54.541 --> 00:31:07.792]  That's right, when a six-year-old, Desiree Watson, threw a tantrum in her kindergarten class a couple weeks ago, she could not have known that the full force of law would be brought down on her and that she would be carted off by the police as a felon.
[00:31:08.385 --> 00:31:11.507]  And as the police chief sang, she was screaming and yelling.
[00:31:12.367 --> 00:31:14.648]  And he said, uh, that is what we had to do.
[00:31:15.469 --> 00:31:19.011]  And it, uh, goes on to say that she's being criminally charged.
[00:31:20.531 --> 00:31:24.053]  But the illegal aliens don't have to have any ID to get bank accounts.
[00:31:25.194 --> 00:31:26.655]  Just, seriously, you didn't hear about that?
[00:31:28.269 --> 00:31:31.331]  A professor who criticized Bush added to terror no fly list.
[00:31:31.671 --> 00:31:39.015]  He's a prominent Marine Corps colonel and he holds the same chair at Princeton that President Woodrow Wilson had.
[00:31:39.496 --> 00:31:45.980]  He is actually a conservative and he criticized that Alberto Gonzales and others have said that they're above the law.
[00:31:46.000 --> 00:31:47.681]  It was pretty mild speech.
[00:31:47.721 --> 00:31:48.941]  He just read some of their memos.
[00:31:49.001 --> 00:31:49.922]  This is dangerous.
[00:31:50.778 --> 00:31:55.301]  And he's harassed and ransacked and on the no-fly list now.
[00:31:55.481 --> 00:31:57.603]  And the White House admits they put senators on this.
[00:31:57.643 --> 00:31:58.323]  You criticize them.
[00:31:58.643 --> 00:31:59.784]  And again, that's your free country.
[00:31:59.884 --> 00:32:00.685]  The border's wide open.
[00:32:00.885 --> 00:32:03.246]  But I got to do that.
[00:32:03.346 --> 00:32:05.928]  I mean, I know if it was a liberal, you'd be all for him not having any rights.
[00:32:06.548 --> 00:32:07.889]  After some of the neocons listening.
[00:32:08.550 --> 00:32:09.810]  But I mean, this is conservative.
[00:32:09.830 --> 00:32:10.831]  But he criticized God.
[00:32:11.512 --> 00:32:13.093]  And so he's evil now.
[00:32:14.013 --> 00:32:14.914]  I said I'd get to this later.
[00:32:14.934 --> 00:32:15.634]  I'm getting to it now.
[00:32:15.694 --> 00:32:16.455]  I'll cover more of it.
[00:32:16.955 --> 00:32:19.817]  Ordinary customers flagged as terrorists.
[00:32:20.259 --> 00:32:21.081]  Washington Post.
[00:32:21.783 --> 00:32:22.885]  We'll get into that for you.
[00:32:23.406 --> 00:32:25.270]  Experts say scans should be embraced.
[00:32:25.291 --> 00:32:26.553]  Scanning to buy and sell your thumb.
[00:32:27.525 --> 00:32:28.186]  Here's another one.
[00:32:28.506 --> 00:32:31.408]  AP, TB, patient locked up, maybe for life.
[00:32:31.808 --> 00:32:33.870]  But the illegal aliens again are brought in and aren't searched.
[00:32:33.930 --> 00:32:38.013]  And the TB kids in the schools where it's spreading, they're not going to be checked.
[00:32:38.033 --> 00:32:38.533]  Can't do that.
[00:32:38.813 --> 00:32:40.214]  But if you get it, we're locking you up for life.
[00:32:41.035 --> 00:32:44.117]  Also, Round Rock student protesters reach settlement.
[00:32:44.457 --> 00:32:50.602]  But see, if they're illegal aliens walking out of class and breaking the law and blocking highways, that's just fine.
[00:32:51.266 --> 00:32:51.986]  That's just fine.
[00:32:52.026 --> 00:32:53.607]  Again, this is just stuff this week.
[00:32:53.667 --> 00:33:00.971]  I mean, this is... I had a huge stack in my car of the last few days of news I covered on the radio, and I'm just going through it, going, like, what am I going to cover Sunday?
[00:33:00.991 --> 00:33:06.493]  I want to kind of condense all this, kind of a week in review as the week starts, kind of an end of the week, kickoff of the new week.
[00:33:06.673 --> 00:33:08.734]  I'm going to go over this later.
[00:33:09.455 --> 00:33:10.135]  I'm going to go over that.
[00:33:11.536 --> 00:33:13.337]  Let's take a call or two before I've got to go to break here.
[00:33:13.857 --> 00:33:15.678]  Who has been holding the longest?
[00:33:15.718 --> 00:33:18.739]  Let's talk to Jeff in Vancouver, Canada.
[00:33:19.139 --> 00:33:20.480]  You are on the air, Jeff.
[00:33:21.297 --> 00:33:22.137]  Hey Alex, how's it going?
[00:33:22.177 --> 00:33:22.538]  Good, sir.
[00:33:23.018 --> 00:33:24.358]  I got a quick story here for you.
[00:33:24.378 --> 00:33:25.319]  I won't take too long.
[00:33:25.399 --> 00:33:38.904]  I went to a drugstore today to buy some things and I saw this sign here, which I have, and it says, Dear Customer, effective May 1st, London Drugs will be asking ID from any customer purchasing tobacco products regardless of age.
[00:33:39.264 --> 00:33:43.886]  Uh-huh, and see, they had, three years ago, they had a series of big conventions with the corporates.
[00:33:43.926 --> 00:33:46.967]  The feds came and said, we're getting ready for a national ID card.
[00:33:47.848 --> 00:33:49.269]  And we want you to condition everyone.
[00:33:49.329 --> 00:33:50.129]  They had an agreement.
[00:33:50.370 --> 00:33:57.135]  And I've told, if you heard me on the air talk about, I've seen 80 year old women who are literally having trouble walking with canes, buying their six pack of beer.
[00:33:57.496 --> 00:33:58.657]  That's probably keeping them alive.
[00:33:59.177 --> 00:34:00.838]  And no, I'm sorry.
[00:34:01.039 --> 00:34:01.979]  You're going to show your ID.
[00:34:02.039 --> 00:34:04.902]  It's mindless devotion because they're going to have a national.
[00:34:05.102 --> 00:34:05.742]  Canada's the same.
[00:34:05.782 --> 00:34:06.403]  Same policies.
[00:34:06.663 --> 00:34:08.405]  You know, in England, it's safe start.
[00:34:08.645 --> 00:34:09.486]  We're secure start.
[00:34:09.526 --> 00:34:11.127]  In Australia, it's head start here.
[00:34:11.447 --> 00:34:12.528]  It's something start up there.
[00:34:12.608 --> 00:34:13.489]  All the same programs.
[00:34:13.749 --> 00:34:14.570]  All the same names.
[00:34:14.590 --> 00:34:18.233]  Again, we don't run anything, but now we're learning we don't, and we're going to get our country back.
[00:34:18.953 --> 00:34:19.894]  So tell me what happened.
[00:34:19.914 --> 00:34:26.259]  You go into the store, and the store is saying, and back when I did use tobacco products, when I started that a few years ago, I'd go back and forth.
[00:34:26.580 --> 00:34:29.142]  I just walked up and told them, hey, I'm not buying from you anymore.
[00:34:30.003 --> 00:34:30.723]  Yeah, exactly.
[00:34:31.063 --> 00:34:36.268]  Well, what happened was I gave them my license, and I was like, so are you going to cart 80-year-old men too?
[00:34:36.328 --> 00:34:38.930]  And the manager was like, well, we'll probably use at discretion.
[00:34:39.343 --> 00:34:42.605]  And he takes my license and starts punching the numbers into the computer.
[00:34:42.645 --> 00:34:43.886]  And I was like, hold on a second.
[00:34:43.906 --> 00:34:45.087]  I said you could look at my ID.
[00:34:45.167 --> 00:34:47.148]  I didn't say you could copy down my information.
[00:34:47.548 --> 00:34:51.050]  He's like, oh, well, we just punched the number into the computer and it tells us if you're old enough.
[00:34:51.070 --> 00:34:52.872]  And I was like, well, can't you just look at the card?
[00:34:53.152 --> 00:34:54.092]  Look, look, let me stop you.
[00:34:54.132 --> 00:34:55.913]  See, you're two years behind.
[00:34:56.834 --> 00:35:02.037]  Some places in Canada or in England, you're more ahead of us on some police estate things.
[00:35:02.057 --> 00:35:03.218]  But other areas, we're more ahead.
[00:35:04.199 --> 00:35:06.020]  First, they're going to type in your age to see.
[00:35:06.918 --> 00:35:10.379]  OK, and then next, do you have a strip on the back of your card?
[00:35:11.040 --> 00:35:13.761]  It's got an identification number at the top.
[00:35:14.021 --> 00:35:15.961]  OK, well see, you're going to be getting new IDs then.
[00:35:16.301 --> 00:35:17.942]  Now they just swipe them.
[00:35:17.962 --> 00:35:21.623]  And a couple years ago, down the street from my house, there's a Diamond Shamrock, now a Valero.
[00:35:22.744 --> 00:35:29.026]  And a listener, it was a fan, it was a manager over there, he doesn't work there now, a veteran, a nice fella.
[00:35:29.822 --> 00:35:33.623]  And the point is, our old veterans have to work at Valero's to make money.
[00:35:33.883 --> 00:35:37.284]  But he's there, and I watch him swipe some old man's card.
[00:35:37.724 --> 00:35:40.065]  And as he walked out, he goes, come back here, I'll show you.
[00:35:40.525 --> 00:35:43.786]  He looks at me, he goes, these cameras are wired into the corporate, but I don't care, I'm quitting soon.
[00:35:44.026 --> 00:35:44.286]  Look.
[00:35:44.506 --> 00:35:47.527]  And he goes, swipes, he swipes my card, and all my data comes up.
[00:35:47.827 --> 00:35:50.688]  He goes, look there, see it shows you've got warrants.
[00:35:50.848 --> 00:35:51.848]  He goes, what is this for?
[00:35:52.148 --> 00:35:53.949]  And I said, well, you know, you're going to have to swipe it.
[00:35:55.190 --> 00:36:00.994]  I told everybody, because I saw federal documents ten years ago, have you heard about how you can pay for gas with your driver's license?
[00:36:01.355 --> 00:36:02.115]  Have you heard about that?
[00:36:02.295 --> 00:36:04.217]  Yeah, pretty soon you'll just be able to use your cell phone.
[00:36:04.257 --> 00:36:06.579]  And then remember about eight months ago, that was a scam.
[00:36:06.819 --> 00:36:14.505]  People in the US and Canada, from New York to Texas, were paying for gas with their ID cards, and no one knew why the driver's license could buy it.
[00:36:14.685 --> 00:36:23.392]  Because it's already set up, you're going to use that to buy and sell, and there's going to be a national sales tax on top of it, pushed by phony conservatives, but they're also going to keep the income tax,
[00:36:23.812 --> 00:36:25.993]  And again, I know you're laughing at me, Neocon scum.
[00:36:26.093 --> 00:36:27.433]  I know you're listening, driving around laughing.
[00:36:27.594 --> 00:36:29.534]  Just wait until it happens, because you don't research.
[00:36:29.794 --> 00:36:34.936]  So in a couple of years, when it happens, you'll go, my God, I pushed that for fair tax, and I was wrong.
[00:36:35.297 --> 00:36:36.697]  Good to hear from you up in Canada.
[00:36:37.317 --> 00:36:38.158]  Oh, I shouldn't have hung up on him.
[00:36:38.178 --> 00:36:43.980]  I should have asked him what happened, and he'd grab his car back and leave there and buy his succulent cigarettes somewhere else.
[00:36:44.600 --> 00:36:46.181]  We'll be right back with more of your calls.
[00:36:46.201 --> 00:36:47.461]  I'm going to rampage through your calls.
[00:36:47.481 --> 00:36:48.782]  We'll go through like seven of them or so.
[00:36:48.982 --> 00:36:50.222]  Then I'll get back into the news.
[00:36:50.442 --> 00:36:51.743]  Then we'll go live to the rally.
[00:36:52.973 --> 00:36:57.397]  From downtown Austin.
[00:37:00.865 --> 00:37:03.868]  More than 700 chemicals have been found in our drinking water.
[00:37:04.188 --> 00:37:09.112]  And did you know that you can have greater exposure to these chemicals by taking hot showers than when you drink the water?
[00:37:09.352 --> 00:37:13.715]  That's because many chemicals are inhaled when they evaporate, and others are absorbed through the skin.
[00:37:14.016 --> 00:37:22.923]  The KDF shower filter is designed to reduce chlorine, lead, mercury, and iron, and it inhibits the growth of bacteria, mold, algae, and fungus in your shower.
[00:37:23.143 --> 00:37:26.746]  The media is non-toxic, environmentally sound, and is recyclable.
[00:37:27.026 --> 00:37:32.072]  The KDF shower filter will typically last 10,000 gallons or one year, whichever comes first.
[00:37:32.353 --> 00:37:39.061]  Hospitals, restaurants, and water treatment facilities use this media to reduce chlorine, iron, heavy metals, and bacteria.
[00:37:39.562 --> 00:37:40.223]  What about you?
[00:37:40.863 --> 00:37:46.208]  Order your KDF shower filter, normally $49, for our special price of only $35, a $14 savings.
[00:37:46.228 --> 00:37:47.309]  Call now to order at 1-888-803-4438.
[00:37:47.449 --> 00:37:49.351]  Order today and save $14 by calling 1-888-803-4438.
[00:38:04.295 --> 00:38:06.099]  Hi, Steve Schenck, Fearless Task Force.
[00:38:06.599 --> 00:38:08.383]  Sure, you've got a mortgage and credit cards.
[00:38:08.683 --> 00:38:11.829]  Your debt creation is probably the smartest thing you've ever done.
[00:38:11.849 --> 00:38:13.913]  How would it be to find $75,000, $150,000, $200,000 or more you never knew you had?
[00:38:17.268 --> 00:38:21.711]  Now the task force has strategies to make these debts into virtual savings accounts.
[00:38:22.251 --> 00:38:24.593]  Ben Franklin said, a penny saved is a penny earned.
[00:38:25.213 --> 00:38:33.679]  By doing nothing more than you're doing right now, because you've used your credit, the right strategies can make the debt part of your financial life the smartest thing you've ever done.
[00:38:34.179 --> 00:38:36.901]  Oh, by the way, your strategies cost you nothing out of pocket.
[00:38:37.561 --> 00:38:40.343]  Go ahead and check out the debt elimination scans if you'd like to.
[00:38:40.863 --> 00:38:45.326]  You wouldn't take money from a loan shark, so you may not want to give your money to a debt shark,
[00:38:46.061 --> 00:38:49.784]  For an understanding of what a financial genius you truly are, call 800-409-5633.
[00:38:52.405 --> 00:38:54.747]  On the web, MyDebtFreePath.com.
[00:38:54.767 --> 00:38:55.487]  800-409-5633.
[00:38:55.527 --> 00:39:04.353]  Automakers in the oil industry are in a fuel fight.
[00:39:04.714 --> 00:39:07.696]  Automakers claim gasoline quality doesn't measure up.
[00:39:07.996 --> 00:39:10.037]  Is your vehicle performing like it should?
[00:39:10.378 --> 00:39:14.620]  Now, there's SFR Green, performance technologies for a clean planet.
[00:39:16.921 --> 00:39:19.863]  Are your Federal Reserve notes looking for a safe haven?
[00:39:19.883 --> 00:39:21.404]  Mine found it in precious metals.
[00:39:21.444 --> 00:39:24.246]  Not paper promises, but actual gold in my possession.
[00:39:41.485 --> 00:39:42.165]  It is liquid.
[00:39:42.505 --> 00:39:43.166]  It is private.
[00:39:43.526 --> 00:39:44.286]  It owes no one.
[00:39:44.306 --> 00:39:45.686]  It cannot go bankrupt.
[00:39:46.066 --> 00:39:47.927]  And it maintains its purchasing power.
[00:39:48.727 --> 00:39:50.928]  Find your answer at Midas Resources.
[00:39:51.308 --> 00:39:51.548]  That's 1-800-686-2237.
[00:39:51.568 --> 00:39:52.028]  The answer is at 1-800-686-2237.
[00:40:01.432 --> 00:40:02.433]  How are you doing today?
[00:40:02.633 --> 00:40:03.114]  Why ask?
[00:40:03.174 --> 00:40:09.358]  Because if you have health challenges, then reading our free e-booklet about the most amazing discovery of our time is crucial.
[00:40:09.598 --> 00:40:14.082]  The booklet is about an amazing fruit from Southeast Asia they call Mangosteen.
[00:40:14.362 --> 00:40:20.087]  It's a centuries-old medicinal fruit whose time has come, and it has amassed 40 years of published research.
[00:40:20.347 --> 00:40:25.431]  We have information and testimonials from all over the world about the health potential of this amazing fruit.
[00:40:25.671 --> 00:40:31.075]  The powerful botanical has contributed to the well-being of millions of people the world over with health concerns.
[00:40:31.235 --> 00:40:32.136]  Just like yours.
[00:40:32.496 --> 00:40:35.698]  You can have this 22-page e-booklet absolutely free.
[00:40:35.858 --> 00:40:40.041]  We'll also offer you a website with links to actual testimonials and product information.
[00:40:40.241 --> 00:40:42.423]  Could this fruit help you in your quest for total health?
[00:40:42.703 --> 00:40:50.489]  Find out why mangosteen is known as the queen of all fruit and why it's fast becoming the best-selling wellness product ever brought to the market.
[00:40:50.849 --> 00:40:52.330]  Your health is in your hands.
[00:40:52.630 --> 00:40:53.811]  Do something about it today.
[00:40:54.131 --> 00:40:54.291]  Call 800-658-0597.
[00:40:54.311 --> 00:40:54.612]  Again, that's 800-658-0597.
[00:41:02.688 --> 00:41:06.050]  Thank you for listening to GCN.
[00:41:06.070 --> 00:41:10.934]  Visit GCNlive.com today.
[00:41:11.034 --> 00:41:12.455]  Raging for the truth.
[00:41:12.935 --> 00:41:14.276]  Exposing corruption.
[00:41:15.017 --> 00:41:18.199]  Dismantling a false left-right paradigm.
[00:41:18.679 --> 00:41:20.260]  He's Alex Jones.
[00:41:21.501 --> 00:41:25.284]  There's a march that's going to start in about 15 minutes.
[00:41:25.304 --> 00:41:29.967]  Everybody needs to meet up at the University of Texas Tower, Project for a New American Citizen.
[00:41:30.732 --> 00:41:34.717]  The UT group exposing 9-11 as an inside job at the War on Terror as a fraud.
[00:41:35.398 --> 00:41:41.506]  I spoke yesterday at their conference they had that was a big success and also today at a roundtable panel discussion.
[00:41:42.381 --> 00:41:47.543]  And it ends in 15 minutes or so with a lot of people rallying down there.
[00:41:47.583 --> 00:41:50.804]  We're going to, the last 15 or 20 minutes or so, have some people call in from that.
[00:41:50.824 --> 00:42:03.128]  We're going to call them and have them on the air there as they engage in the First Amendment and expose the fact that the military industrial complex is staging terror attacks as a pretext for control and to scare the population to utter and complete submission.
[00:42:03.708 --> 00:42:06.189]  Right now, let's go ahead and go back to your calls.
[00:42:06.229 --> 00:42:09.470]  Let's talk to Mark in Atlanta.
[00:42:09.570 --> 00:42:10.490]  Mark, you're on the air.
[00:42:10.530 --> 00:42:10.870]  Welcome.
[00:42:13.209 --> 00:42:14.350]  Hey, what's on your mind?
[00:42:15.190 --> 00:42:16.051]  Yeah, yeah, there we go.
[00:42:16.191 --> 00:42:18.272]  Yeah, I've been eagerly awaiting to speak with you.
[00:42:18.332 --> 00:42:37.884]  Newsmax, on the 8th of this month, they send out regular things about what kind of articles they're running, and this one, basically, I think his name was Ziegler in KFI Los Angeles, was pointing out that pro-war talk show hosts are losing market share, and at the same time, anti-war talk show hosts
[00:42:38.439 --> 00:42:50.449]  Our gaming market share... Yeah, I mean, I thought these phony neocons thought that they could shovel anything in conservative's faces, and because we hate Hillary Clinton, we would listen to it.
[00:42:50.869 --> 00:43:02.459]  And real conservatives and real constitutionalist libertarians of a conservative stripe are deserting, and know that Bush is anti-gun, pro-open border, pro-New World Order, so is Hillary, they're all scum,
[00:43:03.059 --> 00:43:10.823]  And the people are waking up, and yeah, these national talk show hosts, this is a national show now, that are sitting there pumping out propaganda.
[00:43:10.883 --> 00:43:11.903]  It isn't working anymore.
[00:43:12.443 --> 00:43:15.585]  I mean, I've heard national talk show hosts still say the CFR doesn't exist.
[00:43:15.825 --> 00:43:17.165]  There's no North American Union.
[00:43:17.586 --> 00:43:20.687]  I mean, that's like saying, again, that there aren't fish in the blue ocean.
[00:43:21.767 --> 00:43:24.469]  Yeah, well, tell you what, I'll be concise.
[00:43:25.109 --> 00:43:26.149]  But let me stop you.
[00:43:26.430 --> 00:43:28.070]  You can look at three or four rating services.
[00:43:28.090 --> 00:43:29.611]  They all show about the exact same numbers.
[00:43:29.791 --> 00:43:31.132]  Alexa, run by
[00:43:32.385 --> 00:43:34.086]  Because it has the most cookies out there on the web.
[00:43:34.426 --> 00:43:42.089]  I've found, and a lot of industry people have told me, in national advertising, that Alexa, Alex with an A at the end, is the most accurate.
[00:43:42.509 --> 00:43:53.734]  I don't want to put names out here and bash people or anything, but guess whose website has fallen from in the top thousand down to like 20,000 in the last year?
[00:43:55.628 --> 00:43:59.150]  I take it he's a neocon.
[00:43:59.190 --> 00:44:00.791]  No, he's the biggest thing on talk radio.
[00:44:01.092 --> 00:44:07.535]  No, my website is 50 plus thousand places ahead of O'Reilly.
[00:44:08.916 --> 00:44:10.237]  But listen, I appreciate your call.
[00:44:10.677 --> 00:44:12.558]  Very interesting information, sir.
[00:44:12.739 --> 00:44:14.420]  Look, they're legends in their own mind.
[00:44:15.620 --> 00:44:18.562]  And corporate America still hasn't figured out how blown they are.
[00:44:18.942 --> 00:44:20.984]  How late it is in the game for them.
[00:44:21.664 --> 00:44:23.205]  They're just now starting to figure that out.
[00:44:26.414 --> 00:44:30.536]  You have to add into those ratings that China and India are now really getting on the Internet.
[00:44:30.776 --> 00:44:36.478]  So about half of their losses in Internet ratings are because of that.
[00:44:36.518 --> 00:44:38.839]  The other half is there is a huge exodus away from them.
[00:44:39.060 --> 00:44:42.841]  And I've actually been reading the big corporate reports where they've been studying all this.
[00:44:43.341 --> 00:44:53.126]  I mean, the think tanks are putting it out, but I don't think the big bosses have figured out just how serious... Well, that just gets off into media theory and marketing and just everything else.
[00:44:54.667 --> 00:45:02.174]  Despite the fact that the internet, like 40% more people have gone last year, it's exponential now worldwide.
[00:45:02.575 --> 00:45:10.242]  Well, presentplanet.com is now reaching more people in its reach, but it's dropped from like 5,000 six months ago in the web ratings.
[00:45:10.262 --> 00:45:11.363]  Give you an idea, Drudge is like 600 now.
[00:45:12.484 --> 00:45:15.146]  He's dropped from like 100 and something.
[00:45:15.906 --> 00:45:17.807]  But Grudge is still reaching more people than ever.
[00:45:18.167 --> 00:45:18.668]  He's gone up to 500.
[00:45:18.988 --> 00:45:21.769]  Well, see, I didn't go up to 20,000 like a Limbaugh did.
[00:45:22.089 --> 00:45:23.210]  I just went to 9,000.
[00:45:23.250 --> 00:45:27.853]  Now we're fighting back, going upstream, even as the audience gets bigger, reaching more people.
[00:45:28.013 --> 00:45:30.314]  And that's a website run by two people, ladies and gentlemen.
[00:45:30.834 --> 00:45:32.995]  You see, that's the alternative media.
[00:45:33.236 --> 00:45:35.337]  And I'm just one person here in that.
