[00:00:02.891 --> 00:00:07.133]  It is Friday, the 21st day of December, 2007.
[00:27:17.803 --> 00:27:22.724]  I don't care how trusted the source is, because you know, a lot of things can happen over the years.
[00:27:22.724 --> 00:27:29.086]  I always try to at least get two, and possibly three, and even four, verifications from other sources.
[00:27:29.086 --> 00:27:33.047]  If I can't, I'm very, very careful in revealing this information.
[00:27:33.047 --> 00:27:38.589]  Now, what I said about Rob Paul last week came from two different people who don't know each other, but these individuals
[00:27:39.412 --> 00:27:42.515]  Have other sources who, let's say, are within the neocon.
[00:27:42.515 --> 00:27:52.564]  Again, I have to be very, very careful how I phrase this, because I don't want any of the people out there listening to have any idea or notion who my sources may be.
[00:27:52.564 --> 00:27:53.625]  So again, let's see.
[00:27:53.625 --> 00:27:58.369]  I got an email a couple of days ago from one... Wait a minute, you were about to go further than last week.
[00:27:58.369 --> 00:27:59.931]  You said neocon camp?
[00:28:01.377 --> 00:28:03.258]  Well, I did say that.
[00:28:03.258 --> 00:28:05.078]  You know, I'd like to say it was a slip of the tongue.
[00:28:05.078 --> 00:28:05.598]  It wasn't.
[00:28:05.598 --> 00:28:07.119]  It was within the neocon camp.
[00:28:07.119 --> 00:28:17.262]  Again, there are... Specifically now, intelligence sources... Well, the neocon camp is pretty big, so that's safe to say, that now it's coming from neocons.
[00:28:17.262 --> 00:28:17.482]  Okay.
[00:28:18.212 --> 00:28:19.433]  It is coming from the archives.
[00:28:19.433 --> 00:28:21.834]  Now, this is a message from one of my sources.
[00:28:21.834 --> 00:28:35.142]  He says, now, he says, Daniel, emblazoned across the cover of Time Magazine, he's talking about the Robert F. Kennedy assassination, a polka dot cartoon face of Senator Robert Kennedy two weeks before he was assassinated.
[00:28:35.142 --> 00:28:46.028]  Was Kennedy's polka dotted face a subliminal trigger image to the zombie shooter Saran Saran and or a signal to his handler, the mysterious woman in the polka dotted dress?
[00:28:46.678 --> 00:28:53.405]  Was Kennedy's polka-dotted face a subliminal trigger image telling Saran to follow and obey the woman in the dress?
[00:28:53.405 --> 00:29:07.859]  Now, click, he sends me two images, he says, click on the second link below, scroll 80% down the page and you will see a photo from television news footage never released before of that woman in a polka-dotted dress standing alongside Saran Saran.
[00:29:08.940 --> 00:29:17.786]  And he talks about, again, I haven't seen this on CNN because I don't have a television, but he says that there was a Paul is dead, Paul is dead, Paul is dead television banner.
[00:29:17.786 --> 00:29:20.567]  Yeah, yeah, stay there, that's what I wanted to bring up to you next.
[00:29:20.567 --> 00:29:24.110]  They scrolled under him, Paul is dead, Paul is dead, Paul is dead.
[00:29:24.110 --> 00:29:28.993]  Stay there, Daniel Eskalon.
[00:29:28.993 --> 00:29:32.915]  We're on the march, the empire's on the run.
[00:29:32.915 --> 00:29:35.597]  Alex Jones and the GCN Radio Network.
[00:29:38.675 --> 00:29:40.616]  Do you need an easier way to stay in touch?
[00:29:40.616 --> 00:29:42.497]  A two-way radio may be for you.
[00:29:42.497 --> 00:29:46.720]  Two-way radios provide short-range communication with no recurring service charges.
[00:29:46.720 --> 00:29:49.942]  Perfect for outdoor activities like camping, hunting, and skiing.
[00:29:49.942 --> 00:29:53.924]  Great for amusement parks, cruises, or just keeping up with the kids around the neighborhood.
[00:29:53.924 --> 00:29:56.425]  Two-way radios can also make your business more efficient.
[00:29:56.425 --> 00:30:02.829]  Cut costs while increasing productivity in doctor and dental offices, restaurants, retail, warehouses, construction, and more.
[00:30:02.829 --> 00:30:08.012]  TWRadios.com is the Internet's leading two-way radio provider, with same-day shipping on
[00:30:08.032 --> 00:30:08.432]  I think so.
[00:30:38.532 --> 00:30:42.933]  The holidays are here, and that means extra food and extra weight gain.
[00:30:42.933 --> 00:30:45.674]  Why not make your New Year's resolution to eat healthier?
[00:30:45.674 --> 00:30:50.435]  And the easiest and most delicious way to start is with your new Excalibur Dehydrator.
[00:30:50.435 --> 00:30:54.736]  The Excalibur Dehydrator makes eating healthy not only easy, but fun.
[00:30:54.736 --> 00:30:58.397]  You can use it with your favorite fruits, vegetables, fish, and meat.
[00:30:58.397 --> 00:31:04.078]  And the Excalibur Dehydrator cuts out the unnecessary salt, fat, and preservatives found in most grocery store foods.
[00:31:04.278 --> 00:31:10.263]  You can also use the Excalibur Dehydrator to make your own herbs and spices in the comfort of your own kitchen.
[00:31:10.263 --> 00:31:12.665]  It's so easy your whole family can use it!
[00:31:12.665 --> 00:31:16.808]  Oh, and don't forget, the Excalibur Dehydrator makes the perfect Christmas gift.
[00:31:16.808 --> 00:31:24.874]  For a limited time, receive the book, Preserve It Naturally, filled with delicious, amazingly easy recipes for $25 value, free with your order!
[00:31:25.094 --> 00:31:25.555]  Just call 1-800-875-4254.
[00:31:25.555 --> 00:31:26.035]  That's 1-800-875-4254.
[00:31:26.035 --> 00:31:26.555]  Or go to drying123.com.
[00:31:26.555 --> 00:31:27.096]  That's drying123.com.
[00:31:39.625 --> 00:31:43.287]  Attention GCN listeners who suffer from excruciating joint pain.
[00:31:43.287 --> 00:31:50.570]  If you're interested in suppressed but amazingly effective traditional arthritis remedies, this will be the single most important message you'll ever hear.
[00:31:50.570 --> 00:32:03.297]  Recently, a scientist who specializes in ancient medicine has discovered a 3,000-year-old arthritis remedy that has been proven in studies not only to relieve joint pain and inflammation, but also to build damaged cartilage as well.
[00:32:03.297 --> 00:32:05.938]  And the amazing thing is just how fast it works.
[00:32:06.278 --> 00:32:12.701]  Now, because the rules governing nutritional supplements in this country, no health or healing claims can be made for this ancient remedy.
[00:32:12.701 --> 00:32:18.103]  However, it is still legal to own it, and right now, a small amount is available to my listeners.
[00:32:18.103 --> 00:32:26.567]  Keep in mind, shipments get filled on a first-come, first-served basis, so it's important that you take immediate action by going to 321relief.com.
[00:32:26.567 --> 00:32:27.427]  And the best part?
[00:32:27.427 --> 00:32:29.428]  My listeners pay absolutely nothing today.
[00:32:29.688 --> 00:32:35.031]  Simply go to 321relief.com or call 815-259-4552 for details.
[00:32:35.031 --> 00:32:44.456]  Let's not waste any more time.
[00:32:44.456 --> 00:32:48.558]  Let's go right back to Daniel Estelan, then to your calls.
[00:32:48.558 --> 00:32:50.239]  Daniel?
[00:32:50.239 --> 00:32:53.101]  Yes.
[00:32:53.101 --> 00:32:58.864]  When Ron Paul was live on Glenn Beck for a full hour, they scrolled underneath him
[00:32:59.688 --> 00:33:04.673]  Mike Huckabee says, Paul is dead, Paul is dead, Paul is dead.
[00:33:04.673 --> 00:33:14.302]  And earlier in the day, he'd been on there and they'd been talking about how Huckabee had subliminal images behind him with the cross on the TV ad, which clearly was there.
[00:33:14.302 --> 00:33:14.783]  So what?
[00:33:14.783 --> 00:33:16.324]  Most advertising does that.
[00:33:16.324 --> 00:33:22.971]  The point is, in a discussion about subliminal, now they scroll that under Paul, clearly meaning to tie it to Paul.
[00:33:24.344 --> 00:33:25.684]  Right, well this is what this man is saying.
[00:33:25.684 --> 00:33:37.766]  He's saying that the CNN's Paul is Dead, Paul is Dead, Paul is Dead television banner, calculatedly placed right below the head of Canada, Ron Paul, is likewise a possible cue to Manchurian candidates.
[00:33:37.766 --> 00:33:52.049]  And we had better start blowing the whistle right now by publicizing this highly cued assassination of Robert F. Kennedy and by publicizing the countless other assassinations of political spoilers of the power elite's machinery of totalitarianism.
[00:33:52.836 --> 00:33:54.437]  I don't know what to think.
[00:33:54.437 --> 00:34:00.838]  I don't have any proof other than what I just said.
[00:34:00.838 --> 00:34:10.301]  But you're thinking and you're saying, and this particular Secret Service source, now did they send you an image of the woman in the polka dot dress that's never been seen before?
[00:34:10.301 --> 00:34:11.862]  That's right.
[00:34:13.385 --> 00:34:18.048]  Well, you're welcome to erase the text he sent you if you'd like to email that over.
[00:34:18.048 --> 00:34:19.509]  I will do that.
[00:34:19.509 --> 00:34:25.093]  Send it to Aaron at InfoWars.com 2 A's now if you can and in the article
[00:34:26.030 --> 00:34:28.791]  Paul Watson's going to do about this interview this evening.
[00:34:28.791 --> 00:34:32.932]  We'll get it posted up there with full accreditation for you giving it to us, Daniel.
[00:34:32.932 --> 00:34:38.414]  Now, expanding on that, you always cover science, you cover facts, you cover sources.
[00:34:38.414 --> 00:34:41.935]  You talk about, hey, they're not going to war in 2002.
[00:34:41.935 --> 00:34:44.536]  They're going in March of 2003.
[00:34:44.536 --> 00:34:45.896]  The Bilderberg has given the order.
[00:34:45.896 --> 00:34:49.717]  You were right when the news all set up in 2002.
[00:34:49.717 --> 00:34:52.378]  You were right about them not going into Iran, at least not yet.
[00:34:52.378 --> 00:34:54.879]  You've been right about so many other things with these sources.
[00:34:55.539 --> 00:34:57.261]  Not this time around.
[00:34:57.261 --> 00:34:59.382]  I need to ask permission to give any kind of an answer.
[00:35:24.821 --> 00:35:26.742]  And you haven't been contacted back yet by him?
[00:35:26.742 --> 00:35:27.343]  I have not.
[00:35:27.343 --> 00:35:31.445]  So as soon as I do, because again, trust is very, very important with these people.
[00:35:31.445 --> 00:35:40.990]  So anything I do, especially this type of information, has to be cleared with them first, because a lot of that stuff can easily be traced back to them if I'm not very, very careful.
[00:35:40.990 --> 00:35:41.691]  No, I understand.
[00:35:41.691 --> 00:35:43.532]  That's very important for your sources.
[00:35:43.532 --> 00:35:48.094]  But now we've got a bigger piece of the puzzle with the neocons, the ones that are discussing this.
[00:35:48.094 --> 00:35:49.055]  Surprise, surprise.
[00:35:50.030 --> 00:35:54.572]  But expanding out to Manchurian candidates, this is declassified.
[00:35:54.572 --> 00:35:59.695]  This came out in the 77 hearings in Congress.
[00:35:59.695 --> 00:36:04.297]  Jolly and West was McVeigh's doctor, who just died last year by the way.
[00:36:04.297 --> 00:36:05.018]  McVeigh's doctor.
[00:36:05.018 --> 00:36:13.142]  He was the head of MKUltra from the time they picked McVeigh up, stumbling around the side of the street saying, I got a chip in my hind end, foaming at the mouth.
[00:36:13.683 --> 00:36:15.126]  Saying, help me, help me.
[00:36:15.126 --> 00:36:19.555]  To the time they executed him, Jolion West was by his side.
[00:36:19.555 --> 00:36:21.299]  And we do see these candidates.
[00:36:21.299 --> 00:36:22.140]  Sirhan, Sirhan!
[00:36:23.047 --> 00:36:25.148]  Was out of his mind on drugs.
[00:36:25.148 --> 00:36:28.190]  His gun didn't even shoot in the direction of Bobby Kennedy.
[00:36:28.190 --> 00:36:38.517]  The LA coroner, and this is on record, said that he was shot repeatedly in the back at point-blank range with huge powder burns when Sirhan Sirhan was shooting from the front.
[00:36:38.517 --> 00:36:46.282]  So I don't think, I mean now with the Bourne ultimatum and things, people now are figuring out there really is mind control, but can you comment on that?
[00:36:47.293 --> 00:36:49.996]  Well, I think again, Alex, it comes down to television.
[00:36:49.996 --> 00:36:58.503]  We've been led to believe for so long that this magic tube everybody has in their living room, this oblong thing called a television set, you know, is the great hypnotist.
[00:36:58.503 --> 00:37:03.228]  It's also, you know, it tells us what to think, how to live, how to smell, how to walk.
[00:37:03.228 --> 00:37:12.096]  And again, when someone like you or someone like me tell people what we think and what actually is the truth based on so many hard-earned and confirmed facts,
[00:37:12.594 --> 00:37:21.240]  These people laugh in your face because 62% of Americans know whatever it is that they know, they get it from their television set.
[00:37:21.240 --> 00:37:25.784]  And the TV has become your traveling circus and the Bible all wrapped in one.
[00:37:27.754 --> 00:37:29.975]  Well, unfortunately, I have to agree with you.
[00:37:29.975 --> 00:37:33.515]  You know, I heard you on Coast to Coast about a month ago when I was on with you.
[00:37:33.515 --> 00:37:36.956]  Before I came on, you read a Lord Milner quote from 1901.
[00:37:36.956 --> 00:37:40.857]  I had dug that quote up my shelf, and I just thought of it.
[00:37:40.857 --> 00:37:42.078]  I don't have it in front of me.
[00:37:42.078 --> 00:37:45.118]  Daniel, do you have the quote that you read about?
[00:37:45.118 --> 00:37:46.499]  I'm looking for it right now.
[00:37:46.499 --> 00:37:47.599]  If you just wait one second.
[00:37:48.363 --> 00:37:50.485]  I think I can actually dig it up.
[00:38:05.507 --> 00:38:13.698]  Uh, as I say in the book, the Bilbo Group actually is the natural extrapolation of Britain's Coefficient Club founded in 1902.
[00:38:13.698 --> 00:38:20.586]  Now, Lord Alfred Milner, he was of course the man behind the round table, spoke of his vision for the future during a 1903 meeting
[00:38:22.604 --> 00:38:26.368]  That's over half a century before the Bilderbergers were actually founded.
[00:38:26.368 --> 00:38:27.209]  Now that's what he said.
[00:38:27.209 --> 00:38:33.555]  That's one of the key members, one of the key secret societies of the late 19th century, early 20th century.
[00:38:33.555 --> 00:38:38.660]  Now if we don't believe him, which is again, in a court of law, if we're building a criminal case,
[00:38:39.073 --> 00:38:40.874]  You know, this will be first source evidence.
[00:38:40.874 --> 00:38:41.994]  This is what he said.
[00:38:41.994 --> 00:38:48.836]  We must have an aristocracy, not of privilege, but of understanding and purpose, or mankind will fail.
[00:38:48.836 --> 00:38:53.478]  And here, my peculiar difficulty with democracy comes in.
[00:38:53.478 --> 00:39:04.962]  If humanity at large is capable of that high education and those creative freedoms our hope demands, much more must its better and more vigorous types be so capable.
[00:39:05.740 --> 00:39:29.350]  He said, we need constructive imagination working within the vast complex of powerful people, clever people, enterprising people, influential people, amongst whom power is diffused today, to produce that self-conscious, highly selective, open-minded, devoted, aristocratic culture, which seems to be to be the next necessary phase
[00:39:29.907 --> 00:39:58.677]  I see human progress, he said, not as the spontaneous product of crowds of raw minds, basically the great unwashed Alex, swayed by the elementary needs, but as a natural but elaborate result of intricate human interdependencies of human energy and curiosity liberated and acting at leisure of human passions and motives modified and redirected by literature and art.
[00:39:59.102 --> 00:40:10.313]  Meaning that we, the great unwashed, are in no way should be trusted with the reins of power and democracy, which again goes back to everything you and I have been talking about for so, so long.
[00:40:10.313 --> 00:40:21.364]  Every member of, be it the Republicans, the Democrats, the Independents, all of them belong to one of the three secret societies, the Bilderbergers, the CFR, the Trilateral Commission.
[00:40:21.364 --> 00:40:23.506]  Some of them are also members of the Skull and Bones.
[00:40:24.255 --> 00:40:25.655]  Democracy doesn't exist.
[00:40:25.655 --> 00:40:26.556]  It's an illusion.
[00:40:26.556 --> 00:40:42.460]  We are made to believe that we're actually voting liberally and free, where in fact we are being made to vote for one of the two candidates pre-selected by the men behind the curtain who run things from behind the curtain in our name.
[00:40:42.460 --> 00:40:43.261]  Well, amen to that.
[00:40:43.261 --> 00:40:47.522]  We're about to go to calls for those that have been patiently holding, but Daniel,
[00:40:49.005 --> 00:41:10.556]  When you read the books written by these people, the Georgetown professors, the heads of the roundtable groups, the people who literally have guided the formation of our planet today, and then you hear them say they want to reduce our numbers forcibly and have horrible forced abortion and the rest of it, and then like you said, the general public is still snickering and laughing mindlessly,
[00:41:12.101 --> 00:41:12.961]  It's very frustrating.
[00:41:12.961 --> 00:41:25.130]  What would you say to somebody driving along in their car right now who says there's no elite, there's no power, they think they run their own life, they think that there's never any tyranny in history, everything's wonderful.
[00:41:25.130 --> 00:41:28.512]  I mean, what would you say to them or would you just move on?
[00:41:28.512 --> 00:41:30.353]  Alex, I wouldn't waste my time.
[00:41:30.353 --> 00:41:31.514]  Think of this as a Titanic.
[00:41:31.514 --> 00:41:33.896]  Now we're in a Titanic and you and I know what's going to happen.
[00:41:34.266 --> 00:41:39.390]  We know that this big boat is going to hit an iceberg, and it's going to sink, and a lot of people are going to die.
[00:41:39.390 --> 00:41:52.959]  Now, are we going to waste our time trying to convince all these people, or most of these people, who will just take you for a fool, or are we going to concentrate our energies on the few souls out there who are willing to listen and willing to take the appropriate actions?
[00:41:52.959 --> 00:41:57.743]  If we waste our energies on all these other fools out there, we're going to sink with them.
[00:41:57.743 --> 00:41:59.084]  We can't do this.
[00:41:59.084 --> 00:42:00.625]  There's just not enough time.
[00:42:00.625 --> 00:42:02.326]  Well, I agree with you, Daniel, but here's the deal.
[00:42:03.653 --> 00:42:05.136]  I mean, I'm not that smart.
[00:42:05.136 --> 00:42:08.123]  I don't think of myself as some grand intellect.
[00:42:08.123 --> 00:42:13.173]  I mean, I think you're a pretty smart guy, but I don't understand how everybody can't see this.
[00:42:13.173 --> 00:42:14.275]  I mean, this is obvious.
[00:42:15.379 --> 00:42:21.722]  Well, it took me a long time also to understand this Alex, because again, I think it's actually much simpler than that.
[00:42:21.722 --> 00:42:28.826]  If you believe that what we're saying is true, then your entire life has been a lie.
[00:42:28.826 --> 00:42:37.630]  You've been living a lie all your life, and the older you are, the more difficult it is for people to admit that what they've actually lived through their entire life, be it the First World War,
[00:42:38.092 --> 00:42:53.882]  The second world war, any armed conflict in history, to actually admit that it has been manipulated viciously and cynically from behind the curtain by the most powerful men and a few women in the world and obviously benefit their own benefit.
[00:42:53.882 --> 00:43:07.311]  It takes a lot of intelligence and a lot of wisdom from an individual to actually admit that they might have been wrong and when they do this I think they will open themselves up to another opportunity to actually live out
[00:43:07.839 --> 00:43:20.789]  There are fantasies of freedom, but the only way we can do this, if we actually open our eyes and realize that the world does not run the way it is, and that there is another reality behind the reality which we have been led to believe is real.
[00:43:20.789 --> 00:43:21.609]  Well, I'm into that.
[00:43:21.609 --> 00:43:26.373]  You know, in closing, before we do go to the calls, you know, there's two ways to see this.
[00:43:26.373 --> 00:43:30.156]  I mean, they clearly put the Paul is dead, Paul is dead, Paul is dead under him.
[00:43:30.156 --> 00:43:32.778]  They can try to spin it and say, well, Huckabee was talking about the Beatles.
[00:43:33.559 --> 00:43:34.360]  It doesn't matter.
[00:43:34.360 --> 00:43:36.841]  Separately, these guys are in a big battle together right now.
[00:43:36.841 --> 00:43:39.923]  Then when Paul is on, when he's on screen, they show it.
[00:43:39.923 --> 00:43:42.944]  It's clearly put up there for some reason.
[00:43:42.944 --> 00:43:49.468]  Could it also be the neocons, who Beck is chief among them, in one of their top minions?
[00:43:49.468 --> 00:43:56.412]  Could this also be a threat to Paul and a kind of veiled threat to everyone else?
[00:43:56.412 --> 00:43:57.353]  It might very well be.
[00:43:57.353 --> 00:44:00.795]  Again, I have to caution the people out there.
[00:44:00.795 --> 00:44:03.076]  There's no physical proof
[00:44:03.795 --> 00:44:13.380]  That there are plans being put together by these people, there's just some idle talk for now, and a trial balloon being sent by some small group within a small group within the neocons.
[00:44:13.380 --> 00:44:16.382]  Sure, they're just discussing what would happen.
[00:44:16.382 --> 00:44:22.645]  Exactly, but again, there's no physical evidence or proof, so again, they are playing mind games, needless to say.
[00:44:22.645 --> 00:44:25.446]  They are worried that Ron Paul is gaining momentum.
[00:44:25.446 --> 00:44:30.429]  Again, you have to realize that the Giuliani, the goon of this world, he's not going anywhere, because again,
[00:44:30.939 --> 00:44:40.626]  The way the financial situation in the United States is, the bankers need their own man, and that man, I said it two months ago, is a guy by the name of Bloomberg.
[00:44:40.626 --> 00:44:46.851]  And I think last week, Forbes Magazine, and you guys picked it up, talked about, you know, Bloomberg being an independent candidate.
[00:44:46.851 --> 00:44:47.551]  Yeah, that's right.
[00:44:47.551 --> 00:44:57.539]  In fact, you've been saying that for a year, that it's Bloomberg, and I was kind of not laughing at you, but I said, well, I don't, and now it looks like he's getting ready, positioning himself to spend a billion bucks and run for president.
[00:44:57.819 --> 00:45:04.502]  Not only is he positioning himself, but for example, Richard Cohen, he's a columnist for the Washington Post.
[00:45:04.502 --> 00:45:06.123]  The Washington Post, of course, is Bill Oberg.
[00:45:06.123 --> 00:45:18.268]  In a November 13th article, he said, what animates the hope of Bloomberg candidacies is the utter failure of the current political establishment to deal with the immense problems facing us.
[00:45:18.268 --> 00:45:20.469]  Of course, he's talking about the Wall Street and, of course, Giuliani.
[00:45:20.469 --> 00:45:26.912]  Well, there's also another report out there now that Bloomberg's gearing up to go after Paul.
[00:45:26.912 --> 00:45:27.172]  Go ahead.
[00:45:29.598 --> 00:45:30.838]  I don't have any information on that.
[00:45:30.838 --> 00:45:42.864]  What I do have is that, again, the Giuliani certainly doesn't have the financial smarts to deliver what the financiers, the bankers who run the world, hope presidential candidate Bloomberg can give them, which is, again, the financial smarts.
[00:45:43.231 --> 00:45:46.173]  It's all about money, Alex, and money makes its own rules.
[00:45:46.173 --> 00:45:51.297]  And the first rule of money is get the right guy in who can make things happen the way you want them to.
[00:45:51.297 --> 00:45:52.658]  So, wait a minute, let's get this straight.
[00:45:52.658 --> 00:45:58.281]  You're hearing from Bilderberg sources that they are positioning Bloomberg?
[00:45:58.281 --> 00:46:10.670]  No, I'm not hearing from the sources, but again, it's just a personal hunch that Michael Bloomberg, again, from all the things that I've seen and the small idle chatter that I've heard from people, bits and pieces here and there,
[00:46:11.070 --> 00:46:14.631]  It would be too difficult to put it together in a succinct way in 30 seconds.
[00:46:14.631 --> 00:46:16.831]  But again, it's a hunch I've had for a long time.
[00:46:16.831 --> 00:46:22.653]  It's not Giuliani, you know, as a shoo-in candidate, as they call him, to challenge, you know, and beat Hillary Clinton.
[00:46:22.653 --> 00:46:31.455]  It's all part of this, you know, orchestrated big thing, because sooner or later they will discredit Giuliani because he has so... and again, they can do the same thing to Hillary Clinton.
[00:46:31.455 --> 00:46:32.255]  Well, he's the son of a mob boss.
[00:46:32.255 --> 00:46:34.296]  Let's jam some calls in.
[00:46:34.296 --> 00:46:37.376]  Adam in Canada, then Kevin, Gordon, Chris, and Lucas.
[00:46:37.376 --> 00:46:38.577]  We're going to get to all of you.
[00:46:38.577 --> 00:46:40.477]  Adam, you're on the air with Daniel Estlin.
[00:46:41.960 --> 00:46:42.520]  Hello?
[00:46:42.520 --> 00:46:43.681]  Yes, sir, go ahead.
[00:46:43.681 --> 00:46:55.945]  Yes, October 27th of this year, I was abducted at gunpoint, threatened with extradition after an attack took place in the United States, which basically had eight guns pointed at my head.
[00:46:55.945 --> 00:46:58.746]  I was put into a 12-hour interrogation, no food, no water.
[00:46:58.746 --> 00:47:02.088]  This is in Winnipeg, Canada.
[00:47:02.088 --> 00:47:05.389]  And I was threatened with basically extradition to the U.S.
[00:47:05.389 --> 00:47:10.791]  over a website that I put up exposing judicial corruption and tyranny after having men attack them aboard a U.S.
[00:47:10.791 --> 00:47:11.051]  vessel.
[00:47:11.770 --> 00:47:16.333]  I remember, sir, we've actually interviewed you.
[00:47:16.333 --> 00:47:20.076]  Do you have a question or comment for Daniel?
[00:47:20.076 --> 00:47:21.537]  A question or comment from Daniel?
[00:47:21.537 --> 00:47:24.139]  Yeah, or I can probably have you on as a mini-guest again sometime.
[00:47:24.139 --> 00:47:30.204]  Listen, Adam, I appreciate your call, but we've covered it on the show and we're taking calls for Daniel right now.
[00:47:30.204 --> 00:47:34.987]  Kevin in New York, you're on the air, go ahead.
[00:47:34.987 --> 00:47:35.528]  Hello?
[00:47:35.528 --> 00:47:36.929]  Yes, Kevin, go ahead.
[00:47:36.929 --> 00:47:39.310]  Hi, my name is Kevin Kale, I'm 15 years old.
[00:47:40.629 --> 00:47:45.521]  I was just wondering what would happen if, what should we do if Ron Paul doesn't get elected?
[00:47:47.711 --> 00:47:54.054]  Well, number one, he is just a manifestation of the disgust with the controlled left-right system.
[00:47:54.054 --> 00:48:02.078]  And we're going to use all those meet-up groups and the organizations that have been built to continue on with other aspects of liberty.
[00:48:02.078 --> 00:48:08.301]  I mean, he's only a symptom, a good symptom, of the disgust and the awakening that's happening.
[00:48:08.301 --> 00:48:10.042]  So we're not betting everything on him.
[00:48:10.042 --> 00:48:12.143]  It isn't just about a presidential candidate.
[00:48:12.143 --> 00:48:14.765]  He's only one dog we've got in this fight.
[00:48:14.765 --> 00:48:16.005]  Daniel Estelin?
[00:48:16.005 --> 00:48:16.846]  Oh, absolutely, Eric.
[00:48:16.846 --> 00:48:17.306]  You just said it.
[00:48:19.711 --> 00:48:20.352]  That's it, Kevin.
[00:48:20.352 --> 00:48:21.293]  Anything else?
[00:48:21.293 --> 00:48:23.475]  Yeah.
[00:48:23.475 --> 00:48:24.617]  No, that's all.
[00:48:24.617 --> 00:48:25.558]  Thank you.
[00:48:25.558 --> 00:48:26.219]  Thank you, Kevin.
[00:48:26.219 --> 00:48:28.121]  I appreciate your call.
[00:48:28.121 --> 00:48:31.585]  I mean, do you want to elaborate on what this Ron Paul revolution means to you?
[00:48:31.585 --> 00:48:34.388]  I mean, as an indicator of people waking up, Daniel?
[00:48:35.149 --> 00:49:04.715]  Well, it's actually quite curious, Alex, that, you know, from a European perspective, again, I live in Spain, there's been not one news item in Spain, and again, you have two important media sources, one of them, of course, is the Bilderberg Group source, such as Grupo Prisa, there's not been one article on Ron Paul, there's been quite a few articles on Hillary Clinton, on Guglielmi, on a few others as well, John Edwards, of course, he's a Bilderberg as well, but there's not been one article or even one mention of Ron Paul's name in the Spanish press.
[00:49:05.071 --> 00:49:15.637]  Which is quite remarkable, again, thinking of how much Ron Paul, the character himself, you know, the person has galvanized in the United States, this movement for the alternative candidate.
[00:49:15.637 --> 00:49:25.483]  So again, I think it's indicative in many ways how, not only in the United States, but also in Europe, there's a lot of skepticism about outside sources.
[00:49:25.483 --> 00:49:26.044]  Why?
[00:49:26.044 --> 00:49:30.967]  Because people believe that the ones who actually are in front of us, the Hillary Clinton, the
[00:49:32.398 --> 00:49:44.507]  Are your best candidates, because we've been made to believe by the mainstream press, if suddenly you realize that tomorrow everybody starts talking about Ron Paul, suddenly people's interests will awaken to Ron Paul's candidacy, and it's not happening.
[00:49:44.507 --> 00:49:44.747]  Absolutely.
[00:49:44.747 --> 00:49:47.429]  Gordon in California, you're on the air, go ahead.
[00:49:47.429 --> 00:49:58.577]  Yeah, I just read Kathy O'Brien's book, in which she talks about being a Manchurian candidate, and also she talks about being mutilated, and you can see a video of her on YouTube, where she actually confirms that she was mutilated.
[00:49:59.068 --> 00:50:10.531]  I'm wondering, is that a true story, and if that's true, since the Clintons are running against basically Ron Paul and Huckabee, I don't see how they couldn't use some kind of dirty trick to ensure their win.
[00:50:10.531 --> 00:50:11.471]  Well, sir, I know this.
[00:50:11.471 --> 00:50:13.032]  Mind control is real.
[00:50:13.032 --> 00:50:16.073]  I don't know about those two's particular story.
[00:50:16.073 --> 00:50:19.734]  You're talking about the stuff that the Gorilla News Network put out?
[00:50:19.734 --> 00:50:21.254]  Yeah, in her book also.
[00:50:21.254 --> 00:50:23.115]  Yeah, I mean, I'm not saying they're liars.
[00:50:23.115 --> 00:50:24.515]  I just can't confirm their story.
[00:50:25.100 --> 00:50:26.961]  Can I confirm stuff like that goes on?
[00:50:26.961 --> 00:50:28.042]  Yes.
[00:50:28.042 --> 00:50:28.602]  Okay.
[00:50:28.602 --> 00:50:29.963]  Thanks for the call.
[00:50:29.963 --> 00:50:31.204]  Chris, Lucas, and others.
[00:50:31.204 --> 00:50:31.785]  Straight ahead.
[00:50:31.785 --> 00:50:34.646]  Final segment with Daniel Estelin.
[00:50:34.646 --> 00:50:39.049]  Right here on the GCN Radio Network.
[00:50:39.049 --> 00:50:41.531]  It is a big idea.
[00:50:41.531 --> 00:50:43.272]  A new world order.
[00:50:43.272 --> 00:50:48.115]  In the near future, Earth is dominated by a powerful world government.
[00:50:48.115 --> 00:50:51.077]  It's known as the Bilderberg Group.
[00:50:51.077 --> 00:50:53.199]  Isn't their objective being world domination?
[00:50:53.777 --> 00:50:56.963]  For thousands of years, their dark order grew.
[00:50:56.963 --> 00:51:04.318]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:51:07.310 --> 00:51:12.753]  For the first time in history, the elite's plan for world government is blown wide open.
[00:51:12.753 --> 00:51:16.636]  You will learn the secret that drives the entire New World Order agenda.
[00:51:16.636 --> 00:51:19.198]  Bill of Rights is making great progress toward a world government.
[00:51:19.198 --> 00:51:20.358]  Most people have no idea.
[00:51:20.358 --> 00:51:21.139]  They're not after money.
[00:51:21.139 --> 00:51:22.440]  They have all the money they need.
[00:51:22.440 --> 00:51:23.400]  They're after power.
[00:51:23.400 --> 00:51:24.561]  That's their aphrodisiac.
[00:51:24.561 --> 00:51:29.304]  Order Endgame on DVD at PrisonPlanet.com or InfoWars.com.
