[00:00:01.751 --> 00:00:02.471]  Free.
[00:53:01.757 --> 00:53:04.719]  Yeah, and it's cheap entertainment for the kids!
[00:53:04.719 --> 00:53:07.381]  Bottled water costs around 75 cents a bottle.
[00:53:07.381 --> 00:53:12.045]  And using our Berkey Sport Bottles, it costs us less than two and a half cents per refill.
[00:53:12.045 --> 00:53:12.365]  Honey!
[00:53:13.180 --> 00:53:14.821]  You're terrific!
[00:53:14.821 --> 00:53:16.422]  Oh, honey, so are you!
[00:53:16.422 --> 00:53:20.104]  You're the one that bought the family our Sport Berkey Water Bottles!
[00:53:20.104 --> 00:53:21.385]  Now, can we stop?
[00:53:21.385 --> 00:53:22.425]  I need to go, too.
[00:53:22.425 --> 00:53:26.928]  Get your Berkey Sport Purification Bottle for only $39 by calling New Millennium at 888-803-4438.
[00:53:26.928 --> 00:53:27.268]  That's 888-803-4438.
[00:53:27.268 --> 00:53:28.849]  Or order on the web at berkeywater.com.
[00:53:35.473 --> 00:53:41.416]  Hey ladies, if you love to shop, then visit HerbalHealer.com to browse through their online catalog.
[00:53:41.416 --> 00:53:47.018]  You'll find thousands of effective, alternative, and natural products for you and the whole family.
[00:53:47.018 --> 00:53:52.701]  Besides the amazing products you'll find, this shopping is guilt-free because you're investing in your health and your
[00:53:52.961 --> 00:53:54.282]  Your health is priceless.
[00:54:12.756 --> 00:54:14.137]  Relax after a long day.
[00:54:14.137 --> 00:54:17.461]  Want to learn more for yourself and to help others in the future?
[00:54:17.461 --> 00:54:19.983]  Join the Herbal Healer Correspondent Program.
[00:54:19.983 --> 00:54:23.046]  You can work at your own pace from the comfort of your own home.
[00:54:23.046 --> 00:54:27.190]  This accredited, exciting program can help you gain skills and knowledge.
[00:54:27.190 --> 00:54:29.732]  Can you believe you can find all this at one stop?
[00:54:29.732 --> 00:54:34.217]  HerbalHealer.com Celebrating 18 years of dedication.
[00:54:39.788 --> 00:54:48.076]  Alright, Kevin Smith and Aaron Dykes were unable to give us a report ten minutes ago because they had ICE agents around them telling them to turn their cameras off.
[00:54:48.076 --> 00:54:49.538]  We have video of this.
[00:54:49.538 --> 00:54:51.560]  I just heard the ICE agent.
[00:54:51.560 --> 00:54:53.762]  They came across the street.
[00:54:53.762 --> 00:54:56.545]  Well, is it government or private prison property?
[00:54:56.545 --> 00:54:57.907]  We're telling them to turn their cameras off.
[00:54:57.907 --> 00:54:59.849]  Of course, we didn't turn our cameras off.
[00:55:01.952 --> 00:55:02.933]  It's a Catch-22.
[00:55:02.933 --> 00:55:05.635]  I would be out there with them right now, but then we couldn't do this live on air.
[00:55:05.635 --> 00:55:10.619]  And it has the added, we like to do this when we're on air, so they won't try anything on our people.
[00:55:10.619 --> 00:55:13.541]  There have been several protests out there the last few weeks.
[00:55:13.541 --> 00:55:16.643]  Counterpunch reported there was scheduled to be one today, but no one was out there.
[00:55:16.643 --> 00:55:21.667]  We've seen video and photos of big protests by big, 50-60 people out there in the last few weeks.
[00:55:21.667 --> 00:55:24.529]  For those who don't know, it's a Homeland Security grant, $368 million.
[00:55:27.739 --> 00:55:29.340]  to build FEMA camps in the U.S.
[00:55:29.340 --> 00:55:31.842]  for illegal aliens and U.S.
[00:55:31.842 --> 00:55:33.423]  citizens in times of emergency.
[00:55:46.545 --> 00:55:48.766]  And strip them of citizenship instantaneously.
[00:55:48.766 --> 00:55:59.330]  And under the John Warner Defense Authorization Act of 07, now law, the President is in control of the entire country under official martial law.
[00:55:59.330 --> 00:56:05.972]  And can abolish all the governors and put any national or state guard under their control to deal with insurrection or U.S.
[00:56:05.972 --> 00:56:06.593]  citizens.
[00:56:06.593 --> 00:56:07.773]  And it lists it all.
[00:56:07.773 --> 00:56:08.894]  You've got to go read it for yourself.
[00:56:08.894 --> 00:56:11.695]  We've read it here on air.
[00:56:11.695 --> 00:56:15.116]  And they have, other than Mexicans, as they call them,
[00:56:16.724 --> 00:56:20.228]  At this facility, they have a playground for the children one hour a day.
[00:56:20.228 --> 00:56:22.510]  They split the men, women, and children up.
[00:56:22.510 --> 00:56:28.016]  And we told you they would have a few shows for the public of putting illegal aliens in these.
[00:56:28.016 --> 00:56:31.079]  And they don't get due process, which is wrong.
[00:56:31.079 --> 00:56:34.723]  And just holding them there instead of shipping them back to their country of origin, which is what should happen.
[00:56:35.926 --> 00:56:46.012]  And then it'll cause a bunch of grief and upsetness, and then the buildings are set up and built for citizens, but then the majority of the public is sold because, oh, it's just for the Jews.
[00:56:46.012 --> 00:56:48.413]  It's just for the Communists, just like Nazi Germany.
[00:56:48.413 --> 00:56:51.535]  Kevin Smith, joining us from Taylor, Texas, north of Austin.
[00:56:51.535 --> 00:56:54.537]  Kevin, fill us in on what happened to you.
[00:56:54.537 --> 00:56:57.078]  Well, we got here to cover this supposed protest.
[00:56:57.078 --> 00:57:03.822]  We don't see any hide or hair of the protest, but the correctional facility was pretty quick to respond to us pulling up.
[00:57:04.384 --> 00:57:15.852]  And as you were doing the intro, we had another officer come across and get our information, who we were with, and she just took that information and walked right back into the facility, so I guess they're gonna go run some checks right now.
[00:57:15.852 --> 00:57:18.754]  So while I was just talking for two minutes, they're already on you?
[00:57:18.754 --> 00:57:19.875]  Yeah, they came back across.
[00:57:19.875 --> 00:57:27.641]  Now, we are off their property now, we are back across the street filming the facility, but we did have Mr. Parker come out and he did confirm
[00:57:28.092 --> 00:57:30.093]  This is a private corporation.
[00:57:30.093 --> 00:57:32.375]  The thrust of this facility is immigration.
[00:57:32.375 --> 00:57:33.416]  Now, let's be clear.
[00:57:33.416 --> 00:57:42.061]  Greg Pallas, two months ago, in Louisiana, filmed one of these by the mobile plant, and they issued a warrant for his arrest in violation of infrastructure security.
[00:57:42.061 --> 00:57:44.763]  This is pretty dangerous what you guys are doing right now.
[00:57:44.763 --> 00:57:45.944]  Well, they're going in there.
[00:57:45.944 --> 00:57:51.368]  They're circling the wagons right now and trying to figure something out, but we just had an ICE agent drive by.
[00:57:51.368 --> 00:57:54.650]  So, again, this is a private-public partnership.
[00:57:54.650 --> 00:57:57.772]  So, all these vans in the parking lot say Homeland Security.
[00:57:58.508 --> 00:58:04.493]  And, but it is a private corporation, CCI, and it is only for immigration here.
[00:58:04.493 --> 00:58:09.878]  We haven't gone around the backside and seen the playground yet, but we'll do that before we leave.
[00:58:09.878 --> 00:58:18.406]  But, brand new facility, very modern, government plates on the vehicles that say Homeland Security on them.
[00:58:18.406 --> 00:58:21.528]  So, I don't know what, just what do you need from me right now, Alex?
[00:58:21.528 --> 00:58:22.489]  I don't know what else to tell you.
[00:58:22.489 --> 00:58:24.251]  We're just waiting on the cops probably at this point.
[00:58:26.005 --> 00:58:27.366]  I want you to do this.
[00:58:27.366 --> 00:58:43.055]  I want you to get in the car and I want you to go around off property and get footage of the playground of the FEMA buildings and then I want you to go back to the front and I want listeners in Taylor, we've got a lot of them, to go out of the facility.
[00:58:43.055 --> 00:58:47.618]  Give folks the exact location for people that want to support you as observers.
[00:58:48.564 --> 00:58:54.745]  This is right off of 79 and 95 in downtown Taylor.
[00:58:54.745 --> 00:58:57.126]  It's on 1001 Well Street.
[00:58:57.126 --> 00:59:00.766]  And if you know something about Taylor, it's a big rail freight city.
[00:59:00.766 --> 00:59:04.687]  So right at the front door of this facility is a major rail freight yard.
[00:59:04.687 --> 00:59:08.688]  Now, I just heard them telling you to turn the camera off five minutes ago during the break.
[00:59:08.688 --> 00:59:10.208]  Actually, stay where you're at.
[00:59:10.208 --> 00:59:14.769]  Let's see if we can smoke them out of their holes, get them to come up and violate the First Amendment right in front of everybody.
[00:59:15.825 --> 00:59:26.093]  This broadcast is available on MP3 CD format at GCNlive.com or call toll free 877-300-7645.
[00:59:26.093 --> 00:59:31.216]  Black Berkey purification elements are more powerful than any gravity filter element on the market.
[00:59:31.216 --> 00:59:38.682]  These awesome elements are used in Berkey purification systems and they can also be used to upgrade most other gravity filtration systems.
[00:59:38.682 --> 00:59:42.605]  They can purify raw, untreated water by removing pathogenic bacteria.
[00:59:42.805 --> 00:59:43.385]  We're good to go!
[01:00:12.785 --> 01:00:13.826]  Waging war on corruption.
[01:00:13.826 --> 01:00:15.146]  Alex Jones on the GCN Radio Network.
[01:00:38.192 --> 01:00:39.493]  Big Brother.
[01:00:39.493 --> 01:00:41.254]  Mainstream media.
[01:00:41.254 --> 01:00:43.016]  Government cover-ups.
[01:00:43.016 --> 01:00:44.597]  You want answers?
[01:00:44.597 --> 01:00:46.158]  Well, so does he.
[01:00:46.158 --> 01:00:50.342]  He's Alex Jones on the GCN Radio Network.
[01:00:50.342 --> 01:00:57.308]  And now, live from Austin, Texas, Alex Jones.
[01:00:57.308 --> 01:01:02.852]  The Associated Press, the Austin American-Statesman, the LA Times, the Counterpunch, as well as Infowars.com,
[01:01:04.059 --> 01:01:13.588]  Have all reported on the Taylor Don Huddo Concentration Camp in Taylor, Texas.
[01:01:14.446 --> 01:01:22.374]  Where they are holding people, they're not allowed to see their lawyers, they're not allowed due process, they're other than Mexicans, supposed people on immigration violations.
[01:01:22.374 --> 01:01:25.737]  They're holding children, whole families, they're not giving them due process.
[01:01:25.737 --> 01:01:29.981]  But these camps were built, and admittedly built, for illegal aliens and U.S.
[01:01:29.981 --> 01:01:30.862]  citizens.
[01:01:30.862 --> 01:01:33.404]  They're FEMA run on private installations.
[01:01:33.404 --> 01:01:34.945]  Texas admittedly has two of these.
[01:01:34.945 --> 01:01:39.550]  Greg Pallast, American of the BBC, was doing a story for ABC Nightly News,
[01:01:40.050 --> 01:01:40.651]  We're good to go.
[01:02:01.505 --> 01:02:03.447]  North of Austin in Taylor, Texas.
[01:02:03.447 --> 01:02:08.491]  Kevin Smith, relay to listeners exactly what you're witnessing right now and exactly what they said to you.
[01:02:08.491 --> 01:02:11.133]  I heard some of it during the break 10 minutes ago.
[01:02:11.133 --> 01:02:13.636]  The break at 51 after.
[01:02:13.636 --> 01:02:15.197]  You were on the phone.
[01:02:15.197 --> 01:02:16.898]  I was listening while you were talking to them.
[01:02:16.898 --> 01:02:19.581]  Too bad that we weren't on air when that happened.
[01:02:19.581 --> 01:02:22.743]  But recap what you witnessed.
[01:02:22.743 --> 01:02:28.068]  Well I think what you heard was actually the ICE agent that came up in a white panel van
[01:02:28.718 --> 01:02:36.323]  And he said, you know, turn that off, get that out of my face, and Aaron basically just dropped the camera down, but he didn't turn it off, so it kept rolling.
[01:02:36.323 --> 01:02:39.626]  They come getting your face in America.
[01:02:39.626 --> 01:02:40.766]  We're on the street, too.
[01:02:40.766 --> 01:02:41.007]  Yeah.
[01:02:41.007 --> 01:02:41.967]  We weren't on the property.
[01:02:41.967 --> 01:02:53.515]  That's right, and that's what, I mean, it's just like in Road to Tyranny, when I have regular Army walk up in Belton, Texas, and say, turn our cameras off, and I told them to take a hike.
[01:02:53.515 --> 01:02:56.037]  Well, while I was talking to you, also, one of the
[01:02:57.122 --> 01:02:59.684]  Guards came right back up to me and took our information.
[01:02:59.684 --> 01:03:01.365]  Wanted to know again who we were with.
[01:03:01.365 --> 01:03:04.667]  They wrote it down on a pad and they went back inside and they haven't come back out since then.
[01:03:04.667 --> 01:03:06.528]  But you know, that's not even their jurisdiction.
[01:03:06.528 --> 01:03:09.069]  They're not allowed to come out off their property and ask.
[01:03:09.069 --> 01:03:11.211]  In fact, I don't even know if you should tell them anything, Kevin.
[01:03:11.211 --> 01:03:13.432]  Just say you're national media.
[01:03:13.432 --> 01:03:14.993]  You know, I always kind of operate.
[01:03:14.993 --> 01:03:16.113]  We're not doing anything wrong.
[01:03:16.113 --> 01:03:17.094]  We operate in the light of day.
[01:03:17.094 --> 01:03:18.355]  No, I understand that, Kevin.
[01:03:18.355 --> 01:03:19.135]  I understand that.
[01:03:19.135 --> 01:03:20.116]  I understand that, but just...
[01:03:20.936 --> 01:03:22.917]  Well, let me tell you about this place.
[01:03:22.917 --> 01:03:28.219]  Of course, we've got the flags that have masks for Gerald Ford, but this is a brand new facility.
[01:03:28.219 --> 01:03:35.261]  The barbed wire is facing, and the Constantino wire is facing in, I'd say, you know, 12, 15 foot fence around it.
[01:03:35.261 --> 01:03:42.444]  There seems to be a detached, it looks like a solitary confinement box that we're looking at right now.
[01:03:42.444 --> 01:03:45.065]  You know, of course, the double gates to let you in.
[01:03:46.145 --> 01:03:50.126]  Uh, there seems to be a greenhouse in the background, but we'll go around the side of the building and look.
[01:03:50.126 --> 01:03:57.888]  But there are these massive, long, custom vans that, uh, I don't know how to really describe them.
[01:03:57.888 --> 01:04:02.490]  They're almost, they cross between like a large shuttle bus and a small 18-wheeler.
[01:04:02.490 --> 01:04:04.630]  And we'll get some footage of that for you guys, too.
[01:04:04.630 --> 01:04:09.012]  But, uh, lots of brand new equipment here, uh, no doubt about it.
[01:04:09.012 --> 01:04:12.933]  And, uh, they seem to be, uh, big employers around here right now.
[01:04:12.933 --> 01:04:13.333]  We've seen a
[01:04:14.110 --> 01:04:18.998]  A constant stream of contractors, plumbers, electricians coming in and out of the building.
[01:04:19.545 --> 01:04:28.247]  Right now, and there was some question that we were filming people's faces earlier, and that may not be allowed, and they may want to review what we've seen, but that's... Excuse me!
[01:04:28.247 --> 01:04:29.327]  That's not going to happen.
[01:04:29.327 --> 01:04:30.708]  Hey, Kevin, let me just give you a news flash.
[01:04:30.708 --> 01:04:32.228]  You work for me.
[01:04:32.228 --> 01:04:41.270]  You're there, this is the United States, and they're telling you you're not allowed to... Oh, they're secret agents at the FEMA camp, and you're not supposed to... See, folks?
[01:04:41.270 --> 01:04:41.530]  See?
[01:04:41.530 --> 01:04:42.810]  I mean, this illustrates everything.
[01:04:42.810 --> 01:04:45.431]  I want you to get in the car right now, Kevin,
[01:04:45.951 --> 01:04:52.054]  And I want you to go around and get footage at the back and show that playground we've already got photos of for the children.
[01:04:52.054 --> 01:04:59.618]  And then I want you to get away from that location and then prepare for further orders after that off air, okay?
[01:04:59.618 --> 01:05:00.278]  You got it!
[01:05:00.278 --> 01:05:02.339]  I want you to get in the car right now.
[01:05:02.339 --> 01:05:07.542]  I'm not going to let those goons get my $6,000 and $5,000 cameras.
[01:05:07.542 --> 01:05:10.924]  We've already had trips before at Gunpoint one time in San Antonio.
[01:05:10.924 --> 01:05:13.065]  Take our camera, take our footage of Delta Force.
[01:05:14.167 --> 01:05:17.508]  It's nothing like having a big M.P.
[01:05:17.508 --> 01:05:18.329]  Black M.P.
[01:05:18.329 --> 01:05:19.209]  pointed gun at you.
[01:05:19.209 --> 01:05:20.550]  Mike Hanson got to enjoy that.
[01:05:20.550 --> 01:05:23.031]  Alright, we'll be right back.
[01:05:23.031 --> 01:05:25.431]  Kevin, stay on your cell phone.
[01:05:25.431 --> 01:05:27.472]  And I want you to get into the car right now.
[01:05:27.472 --> 01:05:29.573]  And I want you to move out of there.
[01:05:29.573 --> 01:05:31.374]  Alright, we'll be right back.
[01:05:31.374 --> 01:05:31.774]  Stay with us.
[01:05:36.926 --> 01:05:42.750]  It's here, after a year in production and traveling to distant lands, my new film Terror Storm is complete.
[01:05:42.750 --> 01:05:50.395]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[01:05:51.078 --> 01:05:58.522]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[01:05:58.522 --> 01:06:10.267]  Terror Storm chronicles the lies that took us to war in Iran, the White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[01:06:10.267 --> 01:06:14.229]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[01:06:14.229 --> 01:06:16.490]  It's an anthology of government crimes.
[01:06:16.490 --> 01:06:20.332]  Terror Storm is a film that everyone who wants to be truly informed must see.
[01:06:20.933 --> 01:06:28.263]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[01:06:33.490 --> 01:06:42.013]  More than 700 chemicals have been found in our drinking water, and did you know that you can have greater exposure to these chemicals by taking hot showers than when you drink the water?
[01:06:42.013 --> 01:06:46.655]  That's because many chemicals are inhaled when they evaporate, and others are absorbed through the skin.
[01:06:46.655 --> 01:06:55.778]  The KDF shower filter is designed to reduce chlorine, lead, mercury, and iron, and it inhibits the growth of bacteria, mold, algae, and fungus in your shower.
[01:06:55.778 --> 01:06:59.379]  The media is non-toxic, environmentally sound, and is recyclable.
[01:06:59.679 --> 01:07:05.005]  The KDF shower filter will typically last 10,000 gallons or one year, whichever comes first.
[01:07:05.005 --> 01:07:11.712]  Hospitals, restaurants, and water treatment facilities use this media to reduce chlorine, iron, heavy metals, and bacteria.
[01:07:12.225 --> 01:07:13.526]  What about you?
[01:07:13.526 --> 01:07:18.931]  Order your KDF shower filter, normally $49, for our special price of only $35, a $14 savings.
[01:07:18.931 --> 01:07:20.112]  Call now to order at 1-888-803-4438.
[01:07:20.112 --> 01:07:21.993]  Order today and save $14 by calling 1-888-803-4438.
[01:07:35.276 --> 01:07:39.640]  Did you ever wonder how an opera singer that hits a high note is able to shatter a wine glass?
[01:07:39.640 --> 01:07:41.662]  Well, the glass has a natural resonance.
[01:07:41.662 --> 01:07:48.228]  If the resonant frequency force making the glass vibrate is big enough, the size of the vibration will become so large that the glass shatters.
[01:07:48.228 --> 01:07:54.613]  Using this similar principle, Royal Raymond Rife discovered that disease organisms can be destroyed using different resonant frequencies.
[01:07:54.613 --> 01:08:00.639]  The BioSolutions Frequency Instrument uses the same technology for relief or elimination of pain and disease conditions.
[01:08:00.919 --> 01:08:02.401]  With no side effects.
[01:08:02.401 --> 01:08:07.467]  The 2006 Biosolutions Plus is the easiest to operate frequency instrument ever developed.
[01:08:07.467 --> 01:08:11.312]  It's easy reference guide will allow you to begin using the instrument within minutes.
[01:08:11.312 --> 01:08:15.217]  Simple step-by-step instructions using pictures are easy to follow.
[01:08:15.217 --> 01:08:17.881]  Customer satisfaction is guaranteed or your money back.
[01:08:17.881 --> 01:08:18.942]  Don't just treat symptoms.
[01:08:19.202 --> 01:08:25.024]  Alright, the national media admits that there is a Homeland Security private FEMA camp just north of Austin in Taylor, Texas.
[01:08:51.147 --> 01:08:53.750]  This is in the metro area of Austin.
[01:08:53.750 --> 01:08:59.938]  I've got Aaron Dykes on camera and Kevin Smith reporting from the location.
[01:08:59.938 --> 01:09:02.762]  He's told me a lot more off-air.
[01:09:02.762 --> 01:09:06.867]  They've been told by three separate groups to turn their cameras off.
[01:09:06.867 --> 01:09:09.831]  This is off their property, off the prison property, on private property.
[01:09:12.455 --> 01:09:13.595]  Across the street.
[01:09:13.595 --> 01:09:19.698]  They've also heard loud discussions, which we got on tape, saying that they may try to get our tapes and review them.
[01:09:19.698 --> 01:09:22.439]  And this is the U.S., you understand?
[01:09:22.439 --> 01:09:26.540]  We'll videotape what we want to out there at your little FEMA camp.
[01:09:26.540 --> 01:09:30.621]  I've been outside prisons before and had them say, you know, turn your camera off, get out of here.
[01:09:30.621 --> 01:09:33.102]  Because they're used to shoving prisoners around.
[01:09:33.102 --> 01:09:37.844]  Now, in the new America, everybody's a prisoner, and so, you know, these jail guards get to have their fun with people.
[01:09:38.952 --> 01:09:49.099]  Uh, but I want you to know, national TV's been out there, the state's one's been out there, everybody's been out there, and if you discriminate against us, I will sue you.
[01:09:49.099 --> 01:09:53.302]  And you may, uh, beat the rap, but you're not gonna beat the ride.
[01:09:53.302 --> 01:09:55.244]  I mean, I will nuisance lawsuit people.
[01:09:55.244 --> 01:09:57.065]  I don't care about money.
[01:09:57.065 --> 01:09:58.546]  You see, that's what's dangerous about us.
[01:09:58.546 --> 01:10:00.847]  We'll just sue you.
[01:10:00.847 --> 01:10:07.312]  Kinda like we sued, uh, the city, and their operatives here, and one of them just was convicted and sent to prison for fraud.
[01:10:08.306 --> 01:10:16.394]  We sued them for something else but we knew fraud was going on and in the disclosures and in the fleshing them out people went to jail.
[01:10:16.394 --> 01:10:18.336]  Others are on their way to jail.
[01:10:18.336 --> 01:10:21.159]  So just don't violate my rights and don't try it.
[01:10:21.159 --> 01:10:28.506]  And don't you dare do anything to my employees or I'll sue you and your company seven ways to Sunday.
[01:10:28.506 --> 01:10:29.748]  You understand?
[01:10:29.748 --> 01:10:32.090]  You twits up there running that FEMA camp
[01:10:33.081 --> 01:10:36.503]  Want to try to razz my people and get their cameras taken?
[01:10:36.503 --> 01:10:45.069]  You call the Taylor PD, and you have them go out there, and you have the Taylor PD, that probably knows more about the Constitution, try to trump something up.
[01:10:45.069 --> 01:10:52.934]  And if they violate any of our constitutional rights, that our forefathers fought and died for, I'll sue them into oblivion.
[01:10:52.934 --> 01:10:55.536]  You understand?
[01:10:55.536 --> 01:10:58.478]  I'll go drop ten, twenty, thirty thousand dollars on it.
[01:10:58.478 --> 01:11:00.419]  I'll get mean lawyers.
[01:11:00.419 --> 01:11:01.560]  That's what we do.
[01:11:01.560 --> 01:11:02.561]  Don't mess with us.
[01:11:03.743 --> 01:11:10.327]  Trying to get the news for the people, you punks!
[01:11:10.327 --> 01:11:13.709]  Kevin's going to be calling in from another location around the FEMA camp.
[01:11:13.709 --> 01:11:19.892]  And again, as the Houston Chronicle reported, as Rex 84 ought to get that queued up.
[01:11:19.892 --> 01:11:21.994]  But two of my people are gone that will be doing that here at the office.
[01:11:21.994 --> 01:11:24.095]  It's in my film, The Takeover.
[01:11:24.095 --> 01:11:31.219]  It's in my film, America's Shored by Design, the Senate Hearings, where they admit FEMA camps.
[01:11:31.219 --> 01:11:32.840]  FEMA camps.
[01:11:34.269 --> 01:11:39.192]  That they would first sell it in the name of putting illegal aliens in them, but they would also put U.S.
[01:11:39.192 --> 01:11:40.473]  citizens in them.
[01:11:40.473 --> 01:11:46.317]  And now the Houston Chronicle reported last year that's exactly what they're doing.
[01:11:46.317 --> 01:11:48.178]  And they're putting other than Mexicans in there.
[01:11:48.178 --> 01:11:56.263]  They've got people in there, and the descriptions of it, the children separated from their parents in one area, the women in another, the men in another.
[01:11:56.263 --> 01:11:58.765]  Well, you saw the Marines trying to do it in my film, Police Day 2000.
[01:12:02.102 --> 01:12:13.411]  We've gone from 1.3 million in the prison system a decade ago to over 7 million in the system, 4 million plus behind bars.
[01:12:13.411 --> 01:12:14.972]  And, you know, you gotta love it.
[01:12:14.972 --> 01:12:21.677]  The government, the federal government is putting in emergency command centers everywhere, tracking our cell phones, face scanning cameras everywhere.
[01:12:21.677 --> 01:12:24.239]  Many towns run every plate that drives through their town.
[01:12:24.239 --> 01:12:27.081]  They got cameras on us, but they don't want cameras on them.
[01:12:28.012 --> 01:12:29.693]  Hey, it's called the First Amendment.
[01:12:29.693 --> 01:12:31.073]  What's it going to be next?
[01:12:31.073 --> 01:12:32.373]  They've got free speech zones now.
[01:12:32.373 --> 01:12:35.674]  Will it be First Amendment zones for news gathering?
[01:12:35.674 --> 01:12:39.476]  I've had so many police over the years march up and tell me to turn cameras off.
[01:12:39.476 --> 01:12:47.378]  And if you're not up, involved, disrupting what they're doing, I mean, you'll be 50 yards away on a highway overpass, on a sidewalk, videotaping them at a checkpoint.
[01:12:47.378 --> 01:12:49.199]  They'll run over and say, turn your cameras off.
[01:12:49.199 --> 01:12:49.979]  Well, you've seen the footage.
[01:12:49.979 --> 01:12:51.320]  And I say, no!
[01:12:51.320 --> 01:12:52.420]  First Amendment.
[01:12:52.420 --> 01:12:53.460]  Well, I'm going to arrest you.
[01:12:53.460 --> 01:12:54.180]  You go ahead.
[01:12:54.180 --> 01:12:55.001]  I want your name.
[01:12:55.001 --> 01:12:55.761]  I'm going to sue you.
[01:12:58.149 --> 01:12:59.490]  And they know when you're telling the truth.
[01:12:59.490 --> 01:13:01.672]  This is all at an animal instinct level, folks.
[01:13:01.672 --> 01:13:03.553]  They know I'm telling the truth.
[01:13:03.553 --> 01:13:05.154]  They know I mean it.
[01:13:05.154 --> 01:13:08.116]  I mean what I say.
[01:13:08.116 --> 01:13:10.858]  And I said what I meant.
[01:13:10.858 --> 01:13:15.442]  An elephant's faithful 100%.
[01:13:15.442 --> 01:13:17.783]  Little line from Horton.
[01:13:17.783 --> 01:13:20.845]  Had a... egg or whatever the story is.
[01:13:20.845 --> 01:13:21.766]  Alright, I'm gonna shut up.
[01:13:21.766 --> 01:13:22.707]  I'm really mad right now.
[01:13:23.829 --> 01:13:30.011]  Meanwhile, on the heels of this, half of our infantry by the end of this decade will be illegal alien foreigners.
[01:13:30.011 --> 01:13:31.891]  Michael Rivero joining us from Hawaii.
[01:13:31.891 --> 01:13:35.492]  He'll be starting his own talk show here soon on the GCN Radio Network.
[01:13:35.492 --> 01:13:39.213]  Michael, I'll tell you, every time you're on the show, it's some huge news day.
[01:13:39.213 --> 01:13:40.294]  How you doing?
[01:13:40.294 --> 01:13:45.615]  Well, I don't think it has anything to do with me, but man, my phone is smoking from listening to you.
[01:13:45.615 --> 01:13:48.896]  You've got me convinced that I'm not going to mess with Texas here.
[01:13:50.552 --> 01:13:54.414]  I know you've been covering the FEMA camps and how they built them and what they're doing.
[01:13:54.414 --> 01:13:55.734]  You want to comment on it?
[01:13:55.734 --> 01:13:57.915]  Yeah, this has been going on for a lot of years.
[01:13:57.915 --> 01:14:08.598]  We've seen maps of these camps that are being set up, whether they're called detention centers or transition points or the various euphemisms that are used to sort of conceal what they are.
[01:14:08.598 --> 01:14:11.739]  But functionally, what they are, they are concentration camps.
[01:14:11.739 --> 01:14:13.080]  They are large areas where
[01:14:13.636 --> 01:14:18.197]  Uh, that are designed to hold large numbers of people, uh, and keep them under control.
[01:14:18.197 --> 01:14:32.080]  Uh, they don't even come up to the standards, uh, that are set supposedly for civilian prisons, but they are located strategically all across the United States at various, uh, uh, uh, rail transit, uh, points, uh, where various railroads come together.
[01:14:32.080 --> 01:14:33.580]  You will usually find one.
[01:14:33.580 --> 01:14:34.960]  That's what Kevin was just saying.
[01:14:34.960 --> 01:14:37.641]  There's a huge railroad going right into the camp.
[01:14:37.641 --> 01:14:38.541]  Yeah, absolutely.
[01:14:40.846 --> 01:14:46.508]  Railroad is still the most efficient way to transport large masses of people on land.
[01:14:46.508 --> 01:14:50.650]  So yes, anytime anybody has built any concentration camps, Germany did exactly the same.
[01:14:50.650 --> 01:14:58.174]  They were always located near major rail centers, they always had their own railroad sidings that went right into the camps.
[01:14:58.174 --> 01:15:05.818]  And yes, it is very clearly set up for mass detentions, and clearly plans are being laid
[01:15:06.437 --> 01:15:17.850]  For the government, if it feels it necessary to simply arrest large numbers of people, throw them in these camps without warrant, without judicial review... Well, that's word for word, Michael Rivera of whatreallyhappened.com.
[01:15:17.850 --> 01:15:25.298]  That's word for word in the John Warner Defense Authorization Act of 2007 that, frankly, is even worse than the Military Commissions Act.
[01:15:25.894 --> 01:15:31.219]  Yeah, and the wording actually goes back to a lot of what are so-called the FEMA executive orders.
[01:15:31.219 --> 01:15:38.826]  Some of these go back actually to Nixon's administration and Gerald Ford, who has just, you know, being buried as we speak.
[01:15:38.826 --> 01:15:51.018]  But basically, it is a wartime declaration of being able to simply grab people and get them out of the way during any period that the government can declare a national emergency of some kind.
[01:15:51.773 --> 01:15:53.774]  And clearly as we see the U.S.
[01:15:53.774 --> 01:16:04.959]  government continuing to move towards another war in Iran against the very obvious will of the American people, somewhere down the road there is going to be a crisis of some kind and clearly the U.S.
[01:16:04.959 --> 01:16:06.600]  government is preparing
[01:16:07.017 --> 01:16:14.643]  To simply come down very hard on the American people at the point where the American people no longer want to follow along with what the government is doing.
[01:16:14.643 --> 01:16:20.748]  Well, they have been gearing the entire society for crisis response, building FEMA centers in every major city.
[01:16:20.748 --> 01:16:25.872]  In 99, we went and videotaped, before it was even on local Fox News, we put it in my film, The Takeover, when they reported on it.
