[00:00:00.109 --> 00:00:01.590]  A really good idea.
[00:40:20.312 --> 00:40:21.572]  My little pea brain...
[00:40:22.719 --> 00:40:34.611]  I can behold the New World Order beast system, but I sure can't articulate it fully to you.
[00:40:34.611 --> 00:40:34.911]  I can't.
[00:40:37.029 --> 00:41:02.050]  I mean, when I get up on air and I say, here's Google in a hundred plus page press release, bragging that they're going to use the microphones and cameras built standard on almost all new computers, on most old ones, to listen to every word you say in your house, and use keyword computers to file all that, and build a digital psychological algorithm on you, a profile, they're going to sell that data to anybody who wants it.
[00:41:05.413 --> 00:41:16.806]  I mean, that's so bad, I should begin, a normal response would be to freak out and run down the street screaming, saying, there's cameras and microphones hidden in all your houses.
[00:41:16.806 --> 00:41:26.817]  I mean, imagine, if you were changing a light bulb, and you just came across a camera.
[00:41:29.605 --> 00:41:35.929]  A little camera, and you found the wire and it went up in the ceiling, and it was hooked up to a battery pack and a wireless transmitter in your attic.
[00:41:35.929 --> 00:41:40.933]  You'd freak out, you'd call the police, you'd go nuts.
[00:41:40.933 --> 00:41:45.996]  It's like these women, uh, who, it just happened in, what, Florida, but every few weeks it's in the news.
[00:41:45.996 --> 00:41:55.403]  They're in a tanning salon, they're at a gym, uh, they're at some kind of day spa, and, uh, they're, you know, getting dressed, getting undressed, it's all on tape.
[00:41:58.180 --> 00:42:08.209]  And they get real mad and they run out screaming and call the police and the cops come and, man, it's a big deal and we're all upset and it's big national news!
[00:42:08.209 --> 00:42:13.253]  But Google announces that they're doing it.
[00:42:13.253 --> 00:42:16.997]  And then they list other companies.
[00:42:16.997 --> 00:42:21.560]  You know, I'm the type of weirdo, I read the whole hundred and something page press release.
[00:42:21.560 --> 00:42:23.062]  And then I went and read accompanying documents.
[00:42:25.029 --> 00:42:39.161]  And I found out about three other companies that are doing it, but Google brags that their system using your microphone and camera, without asking you by the way, to track everything you're doing, works much better than other systems.
[00:42:39.161 --> 00:42:47.968]  They list some Japanese system, some German system, and we wrote an article about it and posted links to it.
[00:42:47.968 --> 00:42:49.550]  And millions of people read that story.
[00:42:49.550 --> 00:42:51.932]  That story went big.
[00:42:51.932 --> 00:42:53.193]  Last time I checked it was like
[00:42:54.088 --> 00:42:58.789]  Four million people on PrisonPlanet.com had clicked through on that story, but it had been copied everywhere.
[00:42:58.789 --> 00:43:02.590]  That's where it gets real readership, is on hundreds of blogs and other sites.
[00:43:02.590 --> 00:43:10.993]  And I mean, it must have been over ten big technology publications wrote about our story, and none of them denied it.
[00:43:10.993 --> 00:43:18.775]  A few said, this is terrible, but most of them just said, well, what's the big deal?
[00:43:18.775 --> 00:43:18.955]  See?
[00:43:20.752 --> 00:43:26.056]  So, if you... See, you're all been brainwashed, and myself included.
[00:43:26.056 --> 00:43:27.217]  We're all brainwashed, folks.
[00:43:27.217 --> 00:43:33.622]  I mean, why... What is the conditioning that if some big corporation does this to us, then, well, that's alright.
[00:43:33.622 --> 00:43:39.927]  It's alright for them to be watching me and listening to me, without asking.
[00:43:39.927 --> 00:43:48.353]  But then, if somebody did it to you at work, or somebody did it to you in the bathroom, then it's a terrible thing.
[00:43:51.756 --> 00:43:58.582]  I guess to a certain point, I mean, it's okay for there to be cameras in the bathrooms all over the country now.
[00:43:58.582 --> 00:43:59.924]  Hundreds of reports.
[00:43:59.924 --> 00:44:02.226]  Hundreds and hundreds of school districts I've seen doing it.
[00:44:02.226 --> 00:44:04.247]  I mean, in the stalls.
[00:44:04.247 --> 00:44:07.250]  And they'll defend it.
[00:44:07.250 --> 00:44:09.292]  And then I guess if it's the authorities, it's okay.
[00:44:09.292 --> 00:44:15.718]  See, if it's Google, or it's the authorities, the officials, our masters, then it's alright.
[00:44:19.224 --> 00:44:27.146]  I mean, to me, that is a big deal for them to announce they're doing that.
[00:44:27.146 --> 00:44:31.408]  And we already told you they were, but now it's announced.
[00:44:31.408 --> 00:44:34.609]  That's a big deal to us.
[00:44:34.609 --> 00:44:45.072]  When DARPA told the Baltimore Sun that they were developing systems for different wavelength broadcasting towers to control the moods of large cities,
[00:44:45.894 --> 00:44:49.075]  We thought it was something you might want to be concerned about.
[00:44:49.075 --> 00:44:53.635]  I mean, I think that's pretty wild.
[00:44:53.635 --> 00:44:57.196]  That's run down the street screaming weird.
[00:44:57.196 --> 00:44:59.917]  That's a real response.
[00:44:59.917 --> 00:45:00.637]  Oh my gosh!
[00:45:00.637 --> 00:45:03.257]  They're putting up systems to control our brains!
[00:45:03.257 --> 00:45:04.677]  Mind control!
[00:45:04.677 --> 00:45:06.158]  You know, fight back everyone!
[00:45:06.158 --> 00:45:07.018]  Let's get together!
[00:45:07.018 --> 00:45:07.458]  Rally!
[00:45:07.458 --> 00:45:09.998]  Pull down the tower before they turn them on!
[00:45:09.998 --> 00:45:11.659]  Officer, help me!
[00:45:11.659 --> 00:45:13.319]  That officer'd gun you down in a minute.
[00:45:15.638 --> 00:45:17.439]  What happened to us along the way, folks?
[00:45:17.439 --> 00:45:32.829]  There's been major brainwashing through television, and then people who are brainwashed didn't mimic it in the real world, and so then there's peer pressure.
[00:45:32.829 --> 00:45:44.236]  I mean, when the major newspapers, like the Chicago Tribune, have two different reports admitting that Dyncor and Halliburton run giant child kidnapping and woman kidnapping rings,
[00:45:45.234 --> 00:45:56.219]  And that they have full-time lobbyists on Capitol Hill lobbying Congress to not order the Pentagon to enforce the laws when they do this on base.
[00:45:56.219 --> 00:46:03.462]  And it says it all in black and white, and it's a minor footnote, and I'm the bad person for covering it on air.
[00:46:03.462 --> 00:46:04.422]  I'm the extremist.
[00:46:04.422 --> 00:46:08.444]  I shouldn't be so upset.
[00:46:08.444 --> 00:46:11.085]  So again, I'm upset by them destroying the value of the dollar.
[00:46:13.188 --> 00:46:22.895]  I'm upset about destroying our borders and Mexican troops routinely overrunning and killing police and shooting people.
[00:46:22.895 --> 00:46:31.680]  I am upset about millions and millions of brain-damaged autistic children from Mercury and the vaccines.
[00:46:31.680 --> 00:46:32.701]  No debating it.
[00:46:32.701 --> 00:46:33.722]  No doubting it.
[00:46:33.722 --> 00:46:35.403]  Hundreds of scientific studies and reports.
[00:46:37.643 --> 00:46:55.771]  I am upset about hundreds of big things, and you bet I get up here on air and I don't spend my time talking about Britney Spears, and I don't spend my time talking about Paris Hilton, and I don't spend my time up here talking about Nancy Pelosi or, you know, who's going to run for president.
[00:46:55.771 --> 00:46:57.392]  My answer is, who cares?
[00:46:57.392 --> 00:46:58.352]  They're all going to be puppets.
[00:46:58.352 --> 00:47:02.494]  They're all going to be selected out of a controlled group to begin with, so it doesn't matter.
[00:47:04.241 --> 00:47:04.941]  I mean, you bet.
[00:47:04.941 --> 00:47:10.624]  I get up here and I talk about what I think is the most important thing.
[00:47:10.624 --> 00:47:14.847]  Period!
[00:47:14.847 --> 00:47:19.709]  That's what I do.
[00:47:19.709 --> 00:47:25.672]  And I don't sit up here and go, well, let me do a popularity contest or, you know, if I have what view, what will be the most popular?
[00:47:25.672 --> 00:47:26.773]  That's what most talk show hosts do.
[00:47:26.773 --> 00:47:29.114]  They go, what will be the most popular on talk radio?
[00:47:29.114 --> 00:47:30.315]  What will get me on the most stations?
[00:47:31.152 --> 00:47:38.313]  Being pro-nuke the Middle East, pro-war, pro-George Bush, pro-North American Union.
[00:47:38.313 --> 00:47:42.074]  But it's not just what's popular with the people.
[00:47:42.074 --> 00:47:48.755]  They also got to do what's popular with the big networks that own them.
[00:47:48.755 --> 00:47:58.337]  And that's... pitch unpopular things and say the North American Union's good.
[00:47:58.337 --> 00:47:59.797]  I mean, I've got the transcripts now.
[00:48:00.552 --> 00:48:07.074]  Where that little snake, Michael Medved, who said I should be arrested, he said that years ago.
[00:48:07.074 --> 00:48:09.855]  I should be arrested.
[00:48:09.855 --> 00:48:12.056]  Got a tape of it.
[00:48:12.056 --> 00:48:13.536]  In fact, it's in the computer up there at the network.
[00:48:13.536 --> 00:48:17.517]  We could probably dig it out from two years ago and play it.
[00:48:17.517 --> 00:48:23.299]  Well, he's now saying, Dr. Jerome, of course he's a liar!
[00:48:23.299 --> 00:48:26.600]  Now, of course he wants to go to war with the Middle East, and of course he's, you know,
[00:48:28.214 --> 00:48:34.659]  But he's starting to wake up, but at least he knows the North American Union is real and gets the actual documents.
[00:48:34.659 --> 00:48:43.546]  And so now all the big national hosts, including Medved, are attacking him and calling him a liar.
[00:48:43.546 --> 00:48:46.268]  They give no evidence, no facts.
[00:48:46.268 --> 00:48:48.309]  Well, that's like Lars Larson.
[00:48:48.309 --> 00:48:56.015]  I was on his show for an hour and I couldn't believe the guy was defending the North American Union.
[00:48:56.015 --> 00:48:56.876]  That's what they do.
[00:48:59.716 --> 00:49:02.997]  Now, all those years, Limbaugh said the kook detector test.
[00:49:02.997 --> 00:49:07.318]  There's no CFR, there's no world government, there's no plan for the UN takeover.
[00:49:07.318 --> 00:49:09.179]  If you say it, you're a kook.
[00:49:09.179 --> 00:49:14.280]  Now, okay, well, yeah, there's a North American Union, but it's okay.
[00:49:14.280 --> 00:49:19.721]  They're there to pacify conservatives.
[00:49:19.721 --> 00:49:28.984]  And... Most of the attacks that I've received have been so ridiculous
[00:49:29.924 --> 00:49:33.126]  I'm so baseless, I never respond to them.
[00:49:33.126 --> 00:49:34.146]  Well, that's not accurate.
[00:49:34.146 --> 00:49:35.687]  I don't respond to them most times.
[00:49:35.687 --> 00:49:37.588]  They're fielded at me.
[00:49:37.588 --> 00:49:43.691]  Because, you know, for somebody who finds some accusation about me, it's always brand new for them.
[00:49:43.691 --> 00:49:49.014]  They email me and say, you need to answer for this right now.
[00:49:49.014 --> 00:49:52.696]  Well, I've answered for it fifty times.
[00:49:52.696 --> 00:49:57.098]  But the fifty times I answered for it was probably one out of a hundred times that I was challenged.
[00:49:58.687 --> 00:50:07.790]  If I spent my life answering for all the baloney that's thrown at me, we would never talk about real issues here.
[00:50:07.790 --> 00:50:13.291]  You would hear a show that was all about me.
[00:50:13.291 --> 00:50:20.373]  You need to answer for that Order of Death flag you had, that Illuminati flag, on your TV show.
[00:50:20.373 --> 00:50:27.215]  No, it's Liberty Militia, Liberty or Death, the New Hampshire slogan.
[00:50:28.012 --> 00:50:29.013]  Don't tread on me.
[00:50:29.013 --> 00:50:31.214]  I mean, I need to answer for it?
[00:50:31.214 --> 00:50:33.455]  Hell, now that people are out there saying that, it'll never end.
[00:50:33.455 --> 00:50:40.960]  Twenty years from now, I'll have somebody saddle up to me at a bus stop and go, you need to answer for that death flag!
[00:50:40.960 --> 00:50:45.483]  Well, you need to answer for America being a police state.
[00:50:45.483 --> 00:50:51.486]  Didn't you go do something about it, or are you just ninny and nitpick all day?
[00:50:51.486 --> 00:50:55.849]  The most insane thing that has no basis in reality, but that's what the feds do,
[00:50:57.012 --> 00:51:07.076]  And this does come from the feds, no doubt, is that this show and this network is owned by Disney and ABC.
[00:51:07.076 --> 00:51:15.220]  No connection to reality, a total and complete lie.
[00:51:15.220 --> 00:51:18.421]  And they'll sit there with straight faces and say it.
[00:51:23.661 --> 00:51:26.585]  Because, see, they don't want you to know something's legitimate.
[00:51:26.585 --> 00:51:29.229]  They don't want you to focus on fighting the new war.
[00:51:29.229 --> 00:51:33.054]  They want you to focus on not believing the messenger.
[00:51:33.054 --> 00:51:34.697]  Don't believe me, just check out the facts!
[00:51:35.905 --> 00:51:44.311]  For years you've been hearing about Herbal Healer Academy and how it's remained the leader in effective alternative and natural medicine and education.
[00:51:44.311 --> 00:51:47.853]  But how can they continue to hold that title for years on end?
[00:51:47.853 --> 00:51:51.296]  The answer is high quality and huge selection.
[00:51:51.296 --> 00:51:56.519]  Just visit HerbalHealer.com and shop online or request a free catalog.
[00:51:56.519 --> 00:51:58.861]  You're bound to find the alternative you're looking for.
[00:51:59.601 --> 00:52:04.802]  Did you know that Herbal Healer carries the latest, safest and effective weight loss products?
[00:52:04.802 --> 00:52:10.984]  You can also count on Herbal Healer for the largest selection of safe and natural supplements just for children.
[00:52:10.984 --> 00:52:12.604]  And don't forget your pets.
[00:52:12.604 --> 00:52:18.725]  Herbal Healer even has natural mineral supplements for all your animals, including horses, cows and birds.
[00:52:18.725 --> 00:52:25.067]  Take a peek at their online calendar and you're sure to find everything you need and maybe something you didn't realize you needed.
[00:52:25.627 --> 00:52:30.990]  Visit HerbalHealer.com and don't forget to sign up for the free Herbal Healer newsletter.
[00:52:30.990 --> 00:52:32.631]  HerbalHealer.com.
[00:52:32.631 --> 00:52:38.614]  Working with the power of nature.
[00:52:38.614 --> 00:52:39.315]  It's here.
[00:52:39.315 --> 00:52:44.478]  After a year in production and traveling to distant lands, my new film Terror Storm is complete.
[00:52:44.478 --> 00:52:52.122]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[00:52:52.805 --> 00:53:00.248]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[00:53:00.248 --> 00:53:11.992]  Terror Storm chronicles the lies that took us to war in Iran, the White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[00:53:11.992 --> 00:53:15.953]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[00:53:15.953 --> 00:53:18.214]  It's an anthology of government crimes.
[00:53:18.214 --> 00:53:22.055]  Terror Storm is a film that everyone who wants to be truly informed must see.
[00:53:22.655 --> 00:53:29.644]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[00:53:35.715 --> 00:53:41.080]  Nuclear reactors provide economical energy, but would you be prepared during an accident?
[00:53:41.080 --> 00:53:49.427]  During nuclear disasters, great amounts of radioactive iodine are released into the atmosphere, which are then readily absorbed into the body.
[00:53:49.427 --> 00:53:56.493]  Medical course potassium iodate gives you virtually complete protection from the most feared consequence of a nuclear accident.
[00:53:56.653 --> 00:53:58.014]  Radioactive poisoning.
[00:53:58.014 --> 00:54:04.097]  Potassium iodate can protect against radioactive poisoning by filling the thyroid with good iodine.
[00:54:04.097 --> 00:54:09.299]  This shields the thyroid and prevents it from absorbing the harmful radioactive iodine.
[00:54:09.299 --> 00:54:18.443]  Potassium iodate is better than the iodide form because it is not as likely to cause upset stomachs in children, the elderly, the sick, and pets.
[00:54:18.443 --> 00:54:23.306]  Order the official potassium iodate for only $24 and save $5 by calling New Millennium at
[00:54:25.947 --> 00:54:28.053]  Call now and get free shipping.
[00:54:28.053 --> 00:54:28.373]  That's 888-803-4438.
[00:54:56.140 --> 00:55:04.023]  No, it makes the feds really mad that we won't discredit ourselves here on the show with racism.
[00:55:04.023 --> 00:55:09.946]  It makes them really mad that there's nothing to burn us with, there's no skeletons in the closet.
[00:55:09.946 --> 00:55:14.848]  And it really upsets them that they can't get a handle on me and what I do.
[00:55:14.848 --> 00:55:18.830]  And so they just make up mindless information.
[00:55:18.830 --> 00:55:21.011]  And the only reason I'm bringing this up today is because
[00:55:22.276 --> 00:55:26.397]  Every day of every week of every year, it's always the same.
[00:55:26.397 --> 00:55:28.377]  You need to answer for this!
[00:55:28.377 --> 00:55:31.238]  You need to answer for that!
[00:55:31.238 --> 00:55:36.579]  And I just can't believe how it's always so stupid!
[00:55:36.579 --> 00:55:41.660]  I mean, so ridiculous!
[00:55:41.660 --> 00:55:46.541]  And it's like serialized comic books, the lies that are told about me.
[00:55:46.541 --> 00:55:48.421]  And that shows you we're having an effect
[00:55:49.091 --> 00:55:51.492]  It shows you that the enemy is upset.
[00:55:51.492 --> 00:55:56.595]  We are over the target and we are getting the flag.
[00:55:56.595 --> 00:56:01.818]  And it's on days when I'm tired and I don't want to come into a radio show or I don't want to stay up late at night and work.
[00:56:01.818 --> 00:56:06.561]  It is actually sick.
[00:56:06.561 --> 00:56:12.724]  Because I should come in here and work extra hard for my family and my country and that's a large part of it.
[00:56:14.542 --> 00:56:22.849]  But one of the main reasons I do is because I don't want to let the bastards grind me down, as they say.
[00:56:22.849 --> 00:56:25.150]  And I'm not going to.
[00:56:25.150 --> 00:56:28.133]  I'm not going to back off, ever.
[00:56:28.133 --> 00:56:33.317]  And the more attacks I receive, the more I'm going to do.
[00:56:33.317 --> 00:56:39.742]  And God willing, and this is what I've seen in the past, I'll be here moving forward, fighting the New World Order.
[00:56:39.742 --> 00:56:43.705]  You know, as the COINTELPRO outfits, and I see them come and go, lose their funding.
[00:56:44.401 --> 00:56:48.744]  And just go off into oblivion, or as they get exposed.
[00:56:48.744 --> 00:56:49.824]  So that's the good news.
[00:56:49.824 --> 00:56:53.066]  I've been kind of a space case today.
[00:56:53.066 --> 00:56:54.788]  I've got all this news here in front of me.
[00:56:54.788 --> 00:56:57.069]  They shut down part of downtown today.
[00:56:57.069 --> 00:56:58.950]  They were saying it might be terrorists.
[00:56:58.950 --> 00:57:00.451]  Oh my gosh.
[00:57:00.451 --> 00:57:07.495]  Police officers got sick and had to go to the hospital.
[00:57:07.495 --> 00:57:10.077]  Several dozen pigeons died downtown.
[00:57:12.808 --> 00:57:16.612]  From the Capitol down to First Street.
[00:57:16.612 --> 00:57:20.877]  So I don't know, what is that, 600 yards or so?
[00:57:20.877 --> 00:57:34.411]  And they closed Congress and a few side streets from 3 in the morning until supposedly in the next hour or so, they're going to be opening Congress back up.
[00:57:38.486 --> 00:57:41.567]  And I don't know the truth about what happened down there.
[00:57:41.567 --> 00:57:46.169]  I know that neocons instantly were covering it.
[00:57:46.169 --> 00:57:48.330]  And that makes my suspicion level go up.
[00:57:48.330 --> 00:57:51.791]  But again, it's a very complex issue.
[00:57:51.791 --> 00:57:54.372]  I tend to believe somebody just poisoned a bunch of pigeons.
[00:57:54.372 --> 00:57:59.754]  And as of last break, the news locally is saying the same thing.
[00:57:59.754 --> 00:58:04.916]  That now they think somebody poisoned the pigeons, but they're testing them.
[00:58:04.916 --> 00:58:07.217]  And you're like, Alex, they're talking about attacking Iran!
[00:58:08.237 --> 00:58:10.178]  Why are you talking about dead pigeons?
[00:58:10.178 --> 00:58:14.179]  Well, I mean, this goes to the hysteria.
[00:58:14.179 --> 00:58:20.521]  You got a better chance of being struck by lightning than you do of dying from a terrorist attack.
[00:58:20.521 --> 00:58:25.083]  And that's what they average 9-11 in.
[00:58:25.083 --> 00:58:35.006]  It's literally like having a relationship with the Tooth Fairy if you don't average the 3,000 dead on 9-11 in.
[00:58:35.006 --> 00:58:35.686]  It isn't real.
[00:58:35.686 --> 00:58:36.707]  It's a fairy tale about 9-11.
[00:58:40.265 --> 00:58:43.487]  But you'd think it was just a pandemic epidemic.
[00:58:43.487 --> 00:58:49.532]  With as much hype as they've got going, people start jumping at shadows.
[00:58:49.532 --> 00:58:52.654]  So, I know we've got loaded phones here.
[00:58:52.654 --> 00:58:54.356]  I just, I haven't given the number out yet.
[00:58:54.356 --> 00:58:55.597]  1-800-259-9231.
[00:58:55.597 --> 00:58:55.737]  800-259-9231.
[00:58:55.737 --> 00:59:01.821]  I've written some notes here about this pigeon thing, and it's important because it's going to open up into a bunch of other issues.
[00:59:07.552 --> 00:59:10.917]  I'll do that at the bottom of the next hour, then we'll get into Israel.
[00:59:10.917 --> 00:59:13.241]  But before we do that, we'll take your phone calls.
[00:59:13.241 --> 00:59:15.304]  Stay with us.
[00:59:15.304 --> 00:59:20.211]  This broadcast is available on MP3 CD format at GCNlive.com or call toll free 877-300-7645.
[00:59:26.323 --> 00:59:34.826]  Hello folks, Alex Jones here introducing Prudent Places USA, an interactive CD book that is your premier resource for hard-to-find information.
[00:59:34.826 --> 00:59:44.889]  Find out about everything from job migration to evacuation information, such as major bridges in disrepair and FEMA evacuation time studies for coastal cities.
[00:59:45.349 --> 00:59:51.434]  Zero in on man-made disaster zones, environmental areas of concern, and natural disaster zones.
[00:59:51.434 --> 00:59:56.097]  Find out everything from where to get water in an emergency to geographic income levels.
[00:59:56.097 --> 00:59:59.600]  Housing pricing on the 30,000 plus counties in the U.S.
[00:59:59.600 --> 01:00:06.365]  Full-color photographs, 550 high-resolution full-color maps, and detailed information and analysis that you need.
[01:00:06.365 --> 01:00:11.709]  Order Prudent Places USA now for only $29 plus shipping by calling New Millennium at
[01:00:12.390 --> 01:00:14.852]  Waging war on corruption.
[01:00:14.852 --> 01:00:17.314]  Alex Jones on the GCM Radio Network.
[01:00:37.299 --> 01:00:42.143]  Big Brother, Mainstream Media, Government Cover-Ups.
[01:00:42.143 --> 01:00:43.724]  You want answers?
[01:00:43.724 --> 01:00:45.285]  Well, so does he.
[01:00:45.285 --> 01:00:49.469]  He's Alex Jones on the GCN Radio Network.
[01:00:49.469 --> 01:00:59.156]  And now, live from Austin, Texas, Alex Jones.
[01:00:59.156 --> 01:01:04.461]  Coming up in half an hour, I'll walk through a mass mind control program
[01:01:05.436 --> 01:01:08.779]  That we can clearly identify and demonstrate.
[01:01:08.779 --> 01:01:23.511]  And a doorway into this larger system is the fact that part of downtown Austin was shut down today, and it's still shut down, last time I checked, because of a bunch of dead pigeons.
[01:01:25.234 --> 01:01:34.019]  And whereas people will just poison pigeons in the past, and that was the end of it, now it causes hysteria because every cop is a wannabe Jack Bauer.
[01:01:34.019 --> 01:01:49.248]  And since terrorism doesn't exist in the real world, outside of government ops, and that is the blue, blue moon, just any excuse to run around in hysteria and fear, cops flopping around sick, collapsing, having to go to the hospital,
[01:01:50.511 --> 01:01:51.331]  Psychosomatic.
[01:01:51.331 --> 01:01:53.092]  They're mental patients, folks.
[01:01:53.092 --> 01:01:55.853]  And that's because they buy in.
[01:01:55.853 --> 01:02:05.715]  And we had two separate PSYOPs that they admitted were PSYOPs in 2000.
[01:02:05.715 --> 01:02:08.616]  Here in Austin.
[01:02:08.616 --> 01:02:10.997]  And I'll tell you about those.
[01:02:10.997 --> 01:02:14.118]  And you know what, Mike Hanson, I know you're busy.
[01:02:14.118 --> 01:02:17.539]  But you've got the master three-quarter inch old tapes.
[01:02:17.539 --> 01:02:18.919]  You're coming to the TV show tonight.
[01:02:20.925 --> 01:02:23.427]  I want you to do whatever you have to.
[01:02:23.427 --> 01:02:28.731]  I want you... This is how I communicate with people now, is over the radio.
[01:02:28.731 --> 01:02:34.835]  I want you to go into your storage area, and I want you... I've asked this before.
[01:02:34.835 --> 01:02:42.721]  I want you to dig out the TV show we did when they did the two fake attacks.
[01:02:42.721 --> 01:02:48.825]  The fake nuclear spill, which we have on video, we did a report on, and the fake bio-attack downtown.
[01:02:50.168 --> 01:02:55.151]  And they also had the fake attack at the DPS.
[01:02:55.151 --> 01:02:58.153]  And then I bluffed them into admitting it was fake on the news.
[01:02:58.153 --> 01:03:01.356]  The local news was involved in it, of course.
[01:03:01.356 --> 01:03:02.677]  I forgot there were three of them.
[01:03:02.677 --> 01:03:05.438]  See, that's another problem.
[01:03:05.438 --> 01:03:13.264]  I'm sitting here, thinking about 30 minutes from now, wanting to cogently go over all the evidence of this, and I... I can't!
[01:03:13.264 --> 01:03:16.786]  I mean, there's too much!
[01:03:16.786 --> 01:03:17.827]  And it's terrorism.
[01:03:20.197 --> 01:03:26.381]  The uh... I'm just totally disgusted.
[01:03:26.381 --> 01:03:27.341]  And then I'm frustrated.
[01:03:27.341 --> 01:03:31.884]  I printed an article here.
[01:03:31.884 --> 01:03:40.629]  There were like ten different articles or more in Texas about the uh... military being involved.
[01:03:40.629 --> 01:03:42.711]  This anti-terrorist squad.
[01:03:42.711 --> 01:03:46.353]  Same guys we've seen running checkpoints long before 9-11 that told us to turn our cameras off.
[01:03:48.019 --> 01:03:52.060]  And their group was listed there, and it didn't print.
[01:03:52.060 --> 01:03:54.420]  See, I print everything.
[01:03:54.420 --> 01:03:59.801]  Because I can't just sit here on the internet and skip around on a web page because I never can find it all.
[01:03:59.801 --> 01:04:05.762]  I printed to have a hard copy of it, and that didn't print.
[01:04:05.762 --> 01:04:10.983]  But it listed that group running around.
[01:04:10.983 --> 01:04:13.744]  It's just a total joke!
[01:04:13.744 --> 01:04:15.604]  That's why they have drills.
[01:04:16.471 --> 01:04:22.096]  To then create the fear and create the perception that it's real.
[01:04:22.096 --> 01:04:24.437]  And that it's a real threat.
[01:04:24.437 --> 01:04:30.362]  So they can then make changes in our liberties and freedoms.
[01:04:30.362 --> 01:04:31.483]  It is a matrix, folks.
[01:04:31.483 --> 01:04:34.586]  We live in a matrix.
[01:04:34.586 --> 01:04:37.448]  And every time they announce the nuclear spill,
[01:04:38.556 --> 01:04:43.060]  Or every time they announced that they'd stopped an Arab downtown.
[01:04:43.060 --> 01:04:45.041]  Turned out it was fake, it was a drill.
[01:04:45.041 --> 01:04:48.884]  Cops all over started collapsing.
[01:04:48.884 --> 01:04:50.345]  I mean, give me a break.
[01:04:50.345 --> 01:04:53.408]  Psychosomatic, folks.
[01:04:53.408 --> 01:04:55.309]  Psychosomatic.
[01:04:55.309 --> 01:04:56.710]  And every one of them watches 24.
[01:04:56.710 --> 01:05:01.674]  Every one of them watches these anti-terror shows.
[01:05:01.674 --> 01:05:05.597]  And that's a mass psychosis.
[01:05:05.597 --> 01:05:07.979]  And God help us.
[01:05:08.909 --> 01:05:13.072]  God help us.
[01:05:13.072 --> 01:05:16.875]  Dead pigeons, the police are collapsing.
[01:05:16.875 --> 01:05:17.936]  Oh, don't worry though.
[01:05:17.936 --> 01:05:23.040]  A time's coming when your loving federal masters are gonna release something.
[01:05:23.040 --> 01:05:26.943]  Hell, they already launched an anthrax attack on us back in 2001.
[01:05:26.943 --> 01:05:27.583]  That's just a dry run.
[01:05:33.394 --> 01:05:38.659]  Now, you can bring Berkey Purification Power anywhere with the Sport Berkey Filtration Bottle.
[01:05:38.659 --> 01:05:48.769]  Ideal for sporting games, camping, or boating, our Sport Berkey is small enough to store in your glove box, so it's ideal backup for unexpected emergencies like blackouts, floods, or earthquakes.
[01:05:48.769 --> 01:05:52.112]  It's simply the best personal water filtration system available.
[01:05:52.112 --> 01:05:55.536]  So effective, you can drink raw, untreated water from lakes, rivers, and streams.
[01:05:55.856 --> 01:06:05.459]  Unlike other sport bottles, the Sport Berkey's patented filter formulation is so powerful it removes cysts, parasites, harmful bacteria, and chemicals like herbicides and pesticides.
[01:06:05.459 --> 01:06:09.200]  It even reduces radon-222, lead, and other heavy metals.
[01:06:09.200 --> 01:06:16.562]  This lightweight, rugged 22-ounce filter is small enough to go everywhere, so take one to work and keep another in your glove box for emergencies.
[01:06:16.562 --> 01:06:19.003]  Get the Berkey Sport for only $39.
[01:06:19.003 --> 01:06:21.864]  Get two for $70 by calling New Millennium at 888-803-4438.
[01:06:24.725 --> 01:06:26.327]  Order your Berkey Sport today!
[01:06:26.327 --> 01:06:28.930]  That's toll free, 888-803-4438 or order on the web at Berkeywater.com
[01:06:32.774 --> 01:06:33.554]  It's a fact.
[01:06:33.554 --> 01:06:38.437]  You can legally eliminate credit card debt, which has been fraudulently created by the banks.
[01:06:38.437 --> 01:06:43.919]  Since its creation in 1913, the Federal Reserve has not been held responsible for its own debt.
[01:06:43.919 --> 01:06:47.381]  So why should you, the hard-working American, be harassed for yours?
[01:06:47.381 --> 01:06:54.484]  There's a double standard when it comes to being responsible for debt, and unlike the Federal Reserve, the people of this country can't print more money when needed.
[01:06:54.844 --> 01:07:02.469]  Day of Jubilee has created a successful program designed for people that want to stop harassing calls and threatening letters from bill collectors.
[01:07:02.469 --> 01:07:04.770]  We also do credit restoration.
[01:07:04.770 --> 01:07:11.314]  Join the thousands of Americans who now breathe a sigh of relief because they have legally eliminated their credit card debt.
[01:07:11.314 --> 01:07:15.076]  Instead of living each day in fear, it's time to turn your life around.
[01:07:15.436 --> 01:07:18.059]  Call Day of Jubilee open 9 a.m.
[01:07:18.059 --> 01:07:18.940]  to 5 p.m.
[01:07:18.940 --> 01:07:20.181]  Central Standard Time at 920-293-8024.
[01:07:20.181 --> 01:07:20.442]  That's 920-293-8024.
