[00:00:00.049 --> 00:00:00.329]  Hello Alex.
[00:27:36.532 --> 00:27:44.174]  Entire species will be lost, crops will be obliterated, floods and famine will sweep across the planet, and western economies will slide into depression.
[00:27:44.714 --> 00:27:57.643]  Tonight, Channel 4 will broadcast the Great Global Warming Swindle, which suggests the whole subject has been such a political hot potato that other explanations for climate change are not being properly examined.
[00:27:57.643 --> 00:28:11.133]  And it goes on, certainly there have been many sweeping predictions of global ruin, few more emphatic than the report from Sir Nicholas Stern in the Economics of Climate Change, which states that with an air of
[00:28:12.029 --> 00:28:13.570]  Challengable conviction.
[00:28:13.570 --> 00:28:15.370]  The scientific evidence is now overwhelming.
[00:28:15.370 --> 00:28:21.253]  Climate change presents very serious global risk and it demands an urgent global response.
[00:28:21.253 --> 00:28:33.998]  His study commissioned by the government in July 2005 and published amid much Whitehall hype in 2006 seemed to carry all the more weight because Stern is one of the most senior civil servants in Britain, the head of the government's economic service.
[00:28:35.453 --> 00:28:43.565]  His conclusions appeared to be based on powerful scientific authorities, since his team of 20 or so officials had drawn a wide range of published papers and data.
[00:28:43.565 --> 00:28:50.855]  Tony Blair has described it as the most important document produced during his 10 years as Prime Minister, and urged that the stern blueprint
[00:28:52.054 --> 00:28:55.558]  With its calls for more regulation and taxation be adopted in full.
[00:28:55.558 --> 00:29:07.391]  The disaster is not set to happen in some science fiction future, but in our lifetime, said Blair, who went on to claim that the world faces nothing more serious, more urgent, and more demanding of its leadership than climate change.
[00:29:07.391 --> 00:29:12.517]  All this has helped put the Stern Report at the very forefront of the debate, the central theme of it,
[00:29:13.271 --> 00:29:21.493]  ...is that there is a near universal consensus of opinion with scientific community about the dangers of climate change, but this is not true.
[00:29:21.493 --> 00:29:23.213]  This article goes on for four more pages.
[00:29:23.213 --> 00:29:24.693]  You need to go read it.
[00:29:24.693 --> 00:29:29.514]  There is no such unanimity among scientists.
[00:29:29.514 --> 00:29:38.876]  Throughout the 550 pages of the document, Stern continually strikes a confident note as if there were no dispute about the issues completely divorced from scientific reality.
[00:29:39.844 --> 00:29:44.165]  Yet this self-assured stance is completely divorced from scientific reality.
[00:29:44.165 --> 00:29:52.008]  It is an inconvenient truth for Stern and his political allies that there is, in fact, precious little evidence to back up his sweeping claims.
[00:29:52.008 --> 00:29:59.950]  In a revealing recent comment, Stern admitted that when he was appointed by the government, he had an idea what the greenhouse effect was, but wasn't really sure.
[00:29:59.950 --> 00:30:04.872]  This lack of understanding of science shines through every chapter of his report.
[00:30:04.872 --> 00:30:05.572]  He is guilty of
[00:30:06.605 --> 00:30:21.197]  Leading the data, of distorting the evidence to suit his political master's dogma, of throwing numbers about with reckless abandon, of promoting alarmism in a place of rational discussion, and of reinventing climate history.
[00:30:21.197 --> 00:30:23.720]  There are fundamental misconceptions throughout the document.
[00:30:23.720 --> 00:30:33.608]  He seems to think the climate prediction is a mature science stretching back to the 19th century, hence the confident tone, science stretching back to the early century, hence the confident tone of his pronouncements.
[00:30:34.884 --> 00:30:42.466]  But in reality, climate prediction is relatively modern science, which has emerged only in recent decades, thanks partly to the emergence of computers.
[00:30:42.466 --> 00:30:49.247]  And it just goes on and on through the bad information, and we don't have time to cover it all.
[00:30:49.247 --> 00:30:51.167]  But let's be clear about this.
[00:30:51.167 --> 00:30:54.648]  Let's say man-made global warming is real.
[00:30:54.648 --> 00:30:58.089]  Let's set it aside and agree with the hoax.
[00:30:58.089 --> 00:30:58.249]  Okay?
[00:30:58.249 --> 00:30:59.109]  I'm not debating you.
[00:30:59.882 --> 00:31:02.164]  Those of you out there listening are freaking out right now.
[00:31:02.164 --> 00:31:03.565]  I'm not debating you.
[00:31:03.565 --> 00:31:06.288]  Let's say it's real.
[00:31:06.288 --> 00:31:16.957]  What does a global tax, and by global it's only on industrialized nations, but they're from New Zealand to England to the United States and Canada.
[00:31:16.957 --> 00:31:19.419]  Less than 20 countries will be under it.
[00:31:19.419 --> 00:31:24.964]  China, India, Mexico, they're not under it.
[00:31:24.964 --> 00:31:26.325]  160 plus countries are not under it.
[00:31:27.854 --> 00:31:52.022]  How does a global tax paid into the IMF and World Bank and United Nations and served out to expand more global enforcement, more laws, and quote, strengthening global laws for the environment, so if you shovel sand off your garden on your beachfront beach house, you get five months in jail and a million dollar fine.
[00:31:54.409 --> 00:31:57.852]  How does that do anything?
[00:31:57.852 --> 00:31:59.133]  It does nothing.
[00:31:59.133 --> 00:32:02.836]  It will not curb or reduce the greenhouse gases.
[00:32:02.836 --> 00:32:11.124]  And I will tell you again, this documentary only looks at the sun and solar radiation and cosmic radiation.
[00:32:11.124 --> 00:32:17.649]  And it looks at ice core samples and proves itself conclusively.
[00:32:17.649 --> 00:32:21.913]  But you add into this that CO2 that plants can
[00:32:22.902 --> 00:32:32.412]  Successfully double, and if there's enough water, more than triple their carbon dioxide uptake, and then do you know what they do?
[00:32:32.412 --> 00:32:45.665]  They then put out oxygen, and major studies show that humans live longer, do better, have less cancer, as well as all of their animal life, from animal-based plankton right up to your Savannah lion.
[00:32:47.885 --> 00:33:04.435]  That they've done ice core samples, the earth has had much higher oxygen in the past, displacing and having an increased saturation above other gases that we do not use.
[00:33:04.435 --> 00:33:07.416]  We use oxygen.
[00:33:07.416 --> 00:33:12.079]  It's a symbiotic relationship between animal and plant life.
[00:33:12.079 --> 00:33:16.882]  When new carbon dioxide is emitted,
[00:33:18.644 --> 00:33:23.429]  When levels go up, plants grow faster and are healthier.
[00:33:23.429 --> 00:33:25.691]  More oxygen is put out by the plants.
[00:33:25.691 --> 00:33:27.592]  They breathe carbon dioxide.
[00:33:27.592 --> 00:33:30.055]  They expel oxygen.
[00:33:30.055 --> 00:33:31.396]  It's the main chain of life.
[00:33:32.731 --> 00:33:34.351]  That's better for us.
[00:33:34.351 --> 00:33:42.613]  The Earth actually has a low oxygen level compared to what it had 15,000 years ago from the ice samples.
[00:33:42.613 --> 00:33:45.294]  There's less oxygen now.
[00:33:45.294 --> 00:33:47.274]  We want more CO2.
[00:33:47.274 --> 00:33:52.495]  The plankton in the sea
[00:33:56.883 --> 00:33:58.404]  What's the plankton called?
[00:33:58.404 --> 00:34:02.985]  Photoplankton does better when there's more carbon dioxide.
[00:34:02.985 --> 00:34:07.627]  It increases the amount of food chain life above it.
[00:34:07.627 --> 00:34:14.450]  From the krell, shrimp, right up to the blue whale.
[00:34:14.450 --> 00:34:19.051]  I mean, when you start studying science, it's so simple.
[00:34:19.051 --> 00:34:20.472]  Because we have the data.
[00:34:20.472 --> 00:34:24.893]  I mean, it's like when they said, oh, we've got to ban
[00:34:27.330 --> 00:34:28.691]  Carbons.
[00:34:28.691 --> 00:34:33.514]  We've got to ban CO2.
[00:34:33.514 --> 00:34:35.275]  Because it's eating the ozone layer.
[00:34:35.275 --> 00:34:40.659]  And now they found that there's always holes in the ozone layer during certain parts of the year on the poles.
[00:34:40.659 --> 00:34:45.302]  And that it wildly shifts.
[00:34:45.302 --> 00:34:52.087]  But again, they tell you that ozone is being produced in the atmosphere, destroying it,
[00:34:53.388 --> 00:35:04.998]  When ozone drops to the ground and doesn't get into the atmosphere at those levels, and that it basically breaks down in a matter of minutes with other compounds, and is good for the environment.
[00:35:04.998 --> 00:35:18.730]  But see Dow Chemical and DuPont's two separate patents on Freon were running out, and so they made the entire world, with the West starting first, we're the suckers, the marks.
[00:35:19.955 --> 00:35:20.756]  We're good to go.
[00:35:41.085 --> 00:35:43.569]  It just makes my head spin sometimes.
[00:35:43.569 --> 00:35:53.442]  They're so mad they can't get the Kyoto Protocol, they're so mad they can't force this into place, that they have got Sports Illustrated, and that's it, folks.
[00:35:53.442 --> 00:35:58.188]  When the good old boys read Sports Illustrated saying it, we're going to be called communists because we're against it.
[00:35:58.900 --> 00:36:01.901]  Just like we're communists because we're against gun control.
[00:36:01.901 --> 00:36:04.502]  Just like we're communists because we're against open borders.
[00:36:04.502 --> 00:36:10.483]  Just like we're communists who need to be put in FEMA camps because we don't think Bush is a conservative and he's destroying our country.
[00:36:10.483 --> 00:36:18.105]  The guys that read Sports Illustrated, most of them, folks, that type will do whatever it tells them.
[00:36:18.105 --> 00:36:23.427]  I mean, if they told them to run, jump off a cliff, it's manly to do, they'd do it.
[00:36:23.427 --> 00:36:27.288]  Okay, you want to be schmucks, you're going to get a big fat tax on top of everything else.
[00:36:28.889 --> 00:36:29.890]  And you want to be conned?
[00:36:29.890 --> 00:36:31.512]  You want to be aced?
[00:36:31.512 --> 00:36:32.533]  You want to be scammed?
[00:36:32.533 --> 00:36:36.257]  I mean, they got the National Football League on board.
[00:36:36.257 --> 00:36:38.720]  They've got all the big corporations on board.
[00:36:38.720 --> 00:36:42.283]  And we got the four-year documents out of SPP last year.
[00:36:42.283 --> 00:36:46.728]  And it says they got to get all the corporations together to push a carbon tax.
[00:36:46.728 --> 00:36:49.030]  It has nothing to do with climate change.
