[00:00:00.069 --> 00:00:00.429]  Five.
[00:24:03.013 --> 00:24:14.280]  Now you can enjoy the most delicious, freshest, and healthiest drinking water anytime, even while traveling, during outdoor sporting activities, and in hospital filtration environments such as local or national emergencies.
[00:24:14.500 --> 00:24:20.944]  The revolutionary Berkey Light removes pathogenic bacteria, cysts, parasites, and harmful or unwanted chemicals.
[00:24:21.184 --> 00:24:21.785]  We're good to go!
[00:24:45.802 --> 00:24:48.344]  Get the Berkey Light Purifier for only $279.
[00:24:48.384 --> 00:24:48.944]  Call New Millennium 888-803-4438.
[00:24:48.964 --> 00:24:49.264]  That's 888-803-4438.
[00:24:49.284 --> 00:24:51.026]  Or order on the web at berkeywater.com.
[00:24:51.046 --> 00:24:51.966]  Not yet available in Iowa.
[00:25:01.149 --> 00:25:02.870]  Hello friends, Alex Jones here.
[00:25:03.090 --> 00:25:06.792]  I want you to imagine waking up one morning to find out you've been murderized.
[00:25:07.113 --> 00:25:09.334]  An intruder has taken your personal possessions.
[00:25:09.834 --> 00:25:16.058]  Credit card numbers, social security cards, banking information, and more, all in the hands of a total stranger.
[00:25:16.198 --> 00:25:21.121]  What's worse is, you realize he got it through your front door, because you left it unlocked.
[00:25:21.301 --> 00:25:30.266]  Every time you walk away from your computer, leaving your internet connection on, you are virtually inviting hackers, criminals, and Big Brother to access your personal information.
[00:25:30.646 --> 00:25:36.671]  Put a stop to this right now with the Net7 Network Security Switch from Net7 Technologies.
[00:25:36.911 --> 00:25:39.993]  Turn your internet on and off with one simple switch.
[00:25:40.093 --> 00:25:43.196]  There's no software to load, and it's so easy to install.
[00:25:43.536 --> 00:25:48.620]  Right now, you can order your Net7 Security Switch from Net7 Technologies for only $39.95.
[00:25:49.441 --> 00:25:52.543]  For a limited time, receive free shipping with your order.
[00:25:52.963 --> 00:25:54.925]  Visit net7tech.com.
[00:25:55.085 --> 00:26:00.149]  That's net, the number 7, tech, dot com, and start protecting yourself today.
[00:26:02.699 --> 00:26:06.843]  Did you ever wonder how an opera singer that hits a high note is able to shatter a wine glass?
[00:26:07.063 --> 00:26:08.825]  Well, the glass has a natural resonance.
[00:26:09.085 --> 00:26:15.371]  If the resonant frequency force making the glass vibrate is big enough, the size of the vibration will become so large that the glass shatters.
[00:26:15.671 --> 00:26:21.797]  Using this similar principle, Royal Raymond Rife discovered that diseased organisms can be destroyed using different resonant frequencies.
[00:26:22.037 --> 00:26:23.899]  The BioSolutions Frequency Instrument
[00:26:24.159 --> 00:26:24.580]  I think so.
[00:26:46.982 --> 00:26:49.164]  Are you tired of searching for great talk radio?
[00:26:49.204 --> 00:26:50.065]  Well, search no more.
[00:26:50.125 --> 00:26:51.346]  We are the GCN Radio Network.
[00:27:16.597 --> 00:27:18.578]  Alright, welcome back ladies and gentlemen.
[00:27:18.718 --> 00:27:20.579]  We're going to go to your calls here just momentarily.
[00:27:20.639 --> 00:27:22.460]  Finishing up with a weather control.
[00:27:22.480 --> 00:27:27.823]  Weather control and modification was patented back in the 30's.
[00:27:29.304 --> 00:27:38.949]  It is a multi-billion dollar industry, that's the above board industry, with just dozens and dozens, I haven't counted them all up, big companies.
[00:27:39.529 --> 00:27:43.952]  Some of them with fleets of more than 50 airplanes that the big ski slopes and
[00:27:45.188 --> 00:27:48.629]  Farmers and different people in agriculture all hire.
[00:27:49.369 --> 00:27:55.650]  Take the ski slubs up in Canada or Colorado, they're not having enough rain, they'll call them in to seed the clouds and it works like a charm.
[00:27:55.690 --> 00:27:57.210]  That's old technologies.
[00:27:58.291 --> 00:28:14.454]  And last year, really two years ago after we broke a lot of this with Ben Livingston, the father of weather weapons, and again you can build hurricanes, build storms, or knock them out, then Kay Bailey Hutchinson did move to set up a weather control board in the U.S.
[00:28:14.554 --> 00:28:14.894]  Senate.
[00:28:15.914 --> 00:28:19.696]  And that legislation just basically languished and went nowhere.
[00:28:19.796 --> 00:28:21.897]  But this is not science fiction.
[00:28:22.037 --> 00:28:22.297]  It is 2007.
[00:28:22.857 --> 00:28:34.843]  And the patented, admitted stuff, patented in the thirties, federal government certified that it worked in the mid-sixties, Stanford Research Institute as well.
[00:28:36.354 --> 00:28:44.158]  When Katrina or Rita are coming in, they can no problem go out and knock it down, knock it down easily with 60s technology.
[00:28:45.078 --> 00:28:49.140]  And again, these are the documents, the studies into a tropical depression.
[00:28:50.401 --> 00:28:52.261]  Just into a big rainstorm.
[00:28:53.402 --> 00:28:59.285]  Whereas you might get a little bit of flooding, but you're certainly not going to have 175 mile an hour winds and things of that nature.
[00:28:59.305 --> 00:29:02.306]  And you'll be able to turn it and control it and manipulate it.
[00:29:03.427 --> 00:29:08.171]  But the government never wanted the public to know this because I'm here to tell you they already are using it.
[00:29:08.291 --> 00:29:12.334]  I remember it was in the San Antonio Express News and one other South Texas paper.
[00:29:13.295 --> 00:29:19.060]  About eight years ago they had those really bad floods and a bunch of people died in South Texas and it was a little blurb.
[00:29:19.500 --> 00:29:29.048]  Oh, the Navy was doing weather modification tests in some thunderstorms and some local meteorologists believe they may have triggered this.
[00:29:29.768 --> 00:29:31.970]  See, they like to keep it on the low down.
[00:29:32.563 --> 00:29:36.186]  There's a lot of evidence showing that these hurricanes are being steered.
[00:29:36.566 --> 00:29:38.207]  These hurricanes are being controlled.
[00:29:39.288 --> 00:29:53.419]  And now the Chinese are using successfully to water their crops and to also clear the air for different air shows and other events or to cause rain ahead of events.
[00:29:54.560 --> 00:29:56.722]  This is out of the Associated Press.
[00:29:56.862 --> 00:29:59.024]  China to force rain ahead of Olympics.
[00:30:00.228 --> 00:30:07.052]  Chances of showers during the 2008 Beijing Olympics, 50 percent, but Chinese meteorologists have a plan to bring sunshine.
[00:30:07.472 --> 00:30:14.316]  The meteorologists say they can force rain in the days before the Olympics through a process known as cloud seeding to clean the air and ensure clear skies.
[00:30:14.716 --> 00:30:20.659]  China has been tinkering with artificial rain making for decades, but whether it works is a matter of debate among scientists.
[00:30:21.220 --> 00:30:23.321]  You mean scientists that aren't in weather modification.
[00:30:24.501 --> 00:30:26.583]  This is certified, ladies and gentlemen.
[00:30:27.003 --> 00:30:29.144]  During the dry season in Vietnam, it doesn't rain any.
[00:30:30.897 --> 00:30:47.764]  And Ben Livingston would go in, in the late 60's, leading small squadrons of aircraft, and find, in fact he took photos of this, I've seen now, we shot video of it, classified photos taken out of jets, of a tiny little cloud.
[00:30:48.244 --> 00:30:53.646]  And then Livingston goes in and starts spraying it, and over the next hour builds it into a giant thunderstorm.
[00:30:54.500 --> 00:30:57.121]  And then combines that with other clouds he made.
[00:30:57.161 --> 00:31:00.762]  I mean, literally, it would rain 10 feet on the Ho Chi Minh Trail.
[00:31:02.102 --> 00:31:03.762]  If they can do that, they can knock him out.
[00:31:03.782 --> 00:31:04.523]  And he proved that.
[00:31:04.923 --> 00:31:06.123]  I've already said enough about it.
[00:31:06.703 --> 00:31:09.704]  But, oh, to save us from global warming, they've got to do it.
[00:31:12.064 --> 00:31:14.085]  On the subject of global warming, I've got other news.
[00:31:14.145 --> 00:31:17.926]  Financial Times here reporting industry caught in carbon smoke screen.
[00:31:18.466 --> 00:31:21.947]  And then, of course, it turns out the oil companies are really behind the whole global warming hoax.
[00:31:22.583 --> 00:31:26.126]  You tell some bleeding-heart, sandal-wearing, hippie, dreadlock liberal that.
[00:31:26.506 --> 00:31:28.547]  Nothing against your sandals and dreadlocks.
[00:31:28.787 --> 00:31:30.789]  You think that's your identity, so you know it all.
[00:31:31.770 --> 00:31:33.431]  No one else cares about the earth but you.
[00:31:33.451 --> 00:31:34.752]  You have to outwardly show it.
[00:31:35.892 --> 00:31:46.360]  You tell them that they're being funded by big banks and by big oil to actually create a global tax on the people, which is then paid by governments directly into corporate welfare.
[00:31:46.620 --> 00:31:49.202]  See, the phony conservatives don't understand this.
[00:31:50.516 --> 00:31:54.577]  You think that governments bad and corporations are good?
[00:31:54.917 --> 00:31:57.458]  No, corporations are the government and they're bad.
[00:31:57.758 --> 00:32:02.740]  I mean the really big ones, not the corner store that's a corporation or your corporation.
[00:32:04.020 --> 00:32:10.682]  But yes, it's a giant private tax, by the way, that you'll be paying directly into the private IMF and World Bank.
[00:32:10.742 --> 00:32:12.263]  I did a big story up on that.
[00:32:12.763 --> 00:32:14.904]  There's another story we did for PrisonPlanet.com.
[00:32:14.944 --> 00:32:18.585]  Sick and tired of being lectured by global warming hypocrites,
[00:32:20.197 --> 00:32:23.319]  And John Travolta and Sheryl Crow and all of them.
[00:32:23.339 --> 00:32:29.984]  You know, John Travolta's got like, what, 11 jets and uses thousands of times what the average person does in CO2.
[00:32:30.224 --> 00:32:31.384]  But again, it's not a problem.
[00:32:32.025 --> 00:32:35.147]  CO2 is not a pollutant.
[00:32:35.675 --> 00:32:49.086]  It's what plants breathe, and when they breathe more CO2, they put out more oxygen, and all the major studies show all mammals, and all animal life for that matter, likes higher oxygen, and plants grow faster and more healthy with more carbon dioxide.
[00:32:49.506 --> 00:32:50.507]  Symbiotic!
[00:32:50.767 --> 00:32:56.872]  There's life on the planet because of these two gases combined with water and solar radiation, i.e.
[00:32:56.952 --> 00:32:57.192]  heat.
[00:32:58.325 --> 00:33:06.407]  But again, they know the general public can't find Iraq on a map, doesn't know how many continents there are, doesn't know who the Vice President is, doesn't know the difference between Shiite and Sunni.
[00:33:07.287 --> 00:33:09.228]  And so you tell them, the sky's falling, folks.
[00:33:09.308 --> 00:33:12.008]  They will ask how high to jump when you tell them.
[00:33:13.849 --> 00:33:16.009]  Oh my God, I just want to get through all this news.
[00:33:16.049 --> 00:33:16.469]  But you know what?
[00:33:16.489 --> 00:33:19.190]  I promised to go to your call, so we are now going to do it.
[00:33:20.230 --> 00:33:25.192]  Let's go ahead and take a call from John in Maine.
[00:33:25.352 --> 00:33:26.352]  John, you're on the air.
[00:33:26.432 --> 00:33:26.772]  Welcome.
[00:33:28.297 --> 00:33:28.899]  Hello, Alex?
[00:33:29.019 --> 00:33:30.302]  Yes, sir.
[00:33:30.362 --> 00:33:35.955]  Yeah, I just had a question as to the encounter with the We Are Change group.
[00:33:36.436 --> 00:33:37.419]  That was two weeks ago?
[00:33:38.132 --> 00:33:42.255]  Yes, but I just broke the news, and by broke the news, we just saw it.
[00:33:42.696 --> 00:33:44.597]  Friday wrote a story about it, now it's big news.
[00:33:45.318 --> 00:33:49.922]  New York police report bomb to frame activists as terrorists.
[00:33:50.302 --> 00:33:54.946]  By the time the government finds out, you'll be in the whole 30 days, the detective told them.
[00:33:55.346 --> 00:33:57.088]  It's absolutely incredible footage.
[00:33:57.108 --> 00:33:57.588]  Have you seen it?
[00:33:57.608 --> 00:33:58.969]  We're going to be airing the audio next hour.
[00:33:59.590 --> 00:34:00.330]  Yes, I have.
[00:34:00.430 --> 00:34:04.754]  I saw it on the Prison Planet link, the YouTube that was on Prison Planet.
[00:34:05.692 --> 00:34:09.054]  I, I, so those were actually New York detectives?
[00:34:09.775 --> 00:34:10.535]  Yes, they were.
[00:34:10.555 --> 00:34:15.658]  Reportedly, what they said is that they were Port Authority detectives.
[00:34:16.859 --> 00:34:23.023]  Oh, okay, because I was just wondering because, um... That's another division, and there's two different branches of the New York Police.
[00:34:24.384 --> 00:34:29.047]  Okay, because I was under the impression that their identity wasn't certain.
[00:34:29.107 --> 00:34:30.648]  I noticed, like, between
[00:34:32.543 --> 00:34:36.044]  Two minutes and fourteen seconds through two minutes and sixteen seconds.
[00:34:37.365 --> 00:34:43.566]  The guy, the one that had actually called in the false bomb threat, raised his hand in front of the video camera and there was a ring.
[00:34:43.806 --> 00:34:49.308]  So I didn't know if that might be any indication or clue as to what group he was with, but just an observation.
[00:34:49.328 --> 00:34:56.029]  Well for those that just joined us, why don't you in a minute recap and explain from your point of view what this video shows.
[00:34:59.201 --> 00:35:11.675]  What it shows is that, you know, there were these two bullies that, you know, approached the We Are Change guys who were just peacefully protesting.
[00:35:11.695 --> 00:35:17.622]  9-11 traitors who are just standing there with a sign saying 9-11 is an inside job on the public sidewalk.
[00:35:18.126 --> 00:35:23.133]  Yeah, and then they started intimidating him, and as, um... I think you got a bomb!
[00:35:23.334 --> 00:35:25.016]  Look, he's got a bomb there!
[00:35:25.497 --> 00:35:27.099]  Oh, you're going to jail!
[00:35:27.339 --> 00:35:30.203]  Doesn't matter that you're not a terrorist, we're gonna put you in the jail!
[00:35:31.753 --> 00:35:32.313]  Oh, yeah.
[00:35:32.353 --> 00:35:33.693]  I mean, that was unbelievable.
[00:35:33.713 --> 00:35:38.454]  Yeah, he did even make that Looney Tunes noise at the end, like Elmer Fudd or whoever that is.
[00:35:38.554 --> 00:35:41.215]  I mean, it was just so ignorant.
[00:35:41.295 --> 00:35:42.915]  Oh, these guys, let me tell you, they don't know.
[00:35:42.935 --> 00:35:46.696]  They literally could be paying millions a year playing top gangsters in Hollywood.
[00:35:46.716 --> 00:35:48.436]  I mean, these guys are right out of Central Casting.
[00:35:49.457 --> 00:35:49.737]  Yeah.
[00:35:49.817 --> 00:35:54.578]  They make the lead of Sopranos look like a farmer from Ohio.
[00:35:55.078 --> 00:35:55.958]  Oh, absolutely.
[00:35:56.906 --> 00:35:57.486]  Absolutely.
[00:35:57.566 --> 00:36:03.827]  I mean, folks, cops, on tape, going, hey, so look, he's got a bomb, everybody!
[00:36:03.847 --> 00:36:06.488]  Oh, what are we going to do about it?
[00:36:06.988 --> 00:36:13.549]  Larry Silverstein don't like you being here with that sign, so we're going to put you in jail for being a terrorist.
[00:36:14.469 --> 00:36:16.490]  And they're doing this on videotape.
[00:36:17.550 --> 00:36:24.311]  I mean, I guess frame-ups now will just be done, and maybe cops will start pulling wads of cocaine out and putting it right in your jacket in front of everyone.
[00:36:25.077 --> 00:36:27.079]  That's just how it is, you know.
[00:36:27.599 --> 00:36:31.802]  Anything else you'd like to add there, John and Maine?
[00:36:31.822 --> 00:36:32.783]  Say what?
[00:36:32.903 --> 00:36:34.625]  I'm gonna put you on hold.
[00:36:34.945 --> 00:36:35.565]  Hold on a minute.
[00:36:39.525 --> 00:36:45.629]  I'm gonna put you on hold, and when we get back, we'll see if you'd like to go to a FEMA count.
[00:36:45.929 --> 00:36:50.672]  Instead of calling it Police Precinct 125, we'll start calling it the Family.
[00:36:51.072 --> 00:36:53.053]  You know, the Family 127.
[00:36:53.093 --> 00:36:55.595]  We'll be right back.
[00:37:01.511 --> 00:37:02.512]  How are you feeling today?
[00:37:02.732 --> 00:37:03.212]  Why ask?
[00:37:03.252 --> 00:37:09.437]  Because if you have health challenges, then reading our free e-booklet about the most amazing discovery of our time is crucial.
[00:37:09.697 --> 00:37:14.160]  The booklet is about an amazing fruit from Southeast Asia they call Mangosteen.
[00:37:14.461 --> 00:37:20.125]  It's a centuries-old medicinal fruit whose time has come, and it has amassed 40 years of published research.
[00:37:20.425 --> 00:37:25.509]  We have information and testimonials from all over the world about the health potential of this amazing fruit.
[00:37:25.749 --> 00:37:32.253]  The powerful botanical has contributed to the well-being of millions of people the world over with health concerns just like yours.
[00:37:32.594 --> 00:37:35.756]  You can have this 22-page e-booklet absolutely free.
[00:37:35.956 --> 00:37:40.079]  We'll also offer you a website with links to actual testimonials and product information.
[00:37:40.319 --> 00:37:42.501]  Could this fruit help you in your quest for total health?
[00:37:42.801 --> 00:37:50.566]  Find out why mangosteen is known as the queen of all fruit, and why it's fast becoming the best-selling wellness product ever brought to the market.
[00:37:50.926 --> 00:37:52.427]  Your health is in your hands.
[00:37:52.707 --> 00:37:53.888]  Do something about it today.
[00:37:54.208 --> 00:37:54.369]  Call 800-658-0597.
[00:37:54.389 --> 00:37:54.689]  Again, that's 800-658-0597.
[00:38:05.743 --> 00:38:07.847]  Hi, Steve Shank, Fearless Task Force.
[00:38:08.067 --> 00:38:09.851]  Sure, you've got a mortgage and credit cards.
[00:38:10.151 --> 00:38:13.297]  Your debt creation is probably the smartest thing you've ever done.
[00:38:13.758 --> 00:38:15.381]  How would it be to find $75,000, $150,000, $200,000 or more you never knew you had?
[00:38:18.735 --> 00:38:23.158]  Now the task force has strategies to make these debts into virtual savings accounts.
[00:38:23.718 --> 00:38:26.020]  Ben Franklin said, a penny saved is a penny earned.
[00:38:26.680 --> 00:38:35.126]  By doing nothing more than you're doing right now, because you've used your credit, the right strategies can make the debt part of your financial life the smartest thing you've ever done.
[00:38:35.666 --> 00:38:38.368]  Oh, by the way, your strategies cost you nothing out of pocket.
[00:38:39.029 --> 00:38:41.811]  Go ahead and check out the debt elimination scams if you'd like to.
[00:38:42.331 --> 00:38:46.794]  You wouldn't take money from a loan shark, so you may not want to give your money to a debt shark.
[00:38:47.529 --> 00:38:51.073]  For an understanding of what a financial genius you truly are, call 800-409-5633.
[00:38:51.153 --> 00:38:52.054]  On the web, MyDebtFreePath.com.
[00:38:52.074 --> 00:38:52.114]  800-409-5633.
[00:39:01.135 --> 00:39:06.439]  Hello folks, this is Alex Jones introducing you to the incredible Berkey Solar Charger.
[00:39:06.639 --> 00:39:08.720]  Your source for free solar electricity.
[00:39:08.960 --> 00:39:16.085]  This portable system is the size of a book when folded and small enough to fit into a briefcase, handbag, or glove compartment.
[00:39:16.205 --> 00:39:26.732]  The Berkey Solar Charger has been designed to power the Berkey lights, LED lamps, as well as other applications such as mobile phones, radios, digital cameras, and PDAs when electricity
[00:39:26.772 --> 00:39:27.212]  I think so.
[00:39:54.776 --> 00:39:56.337]  And tell them Alex Jones sent you.
[00:39:56.598 --> 00:40:00.060]  That's toll free, 888-803-4438.
[00:40:00.140 --> 00:40:05.805]  The disciples asked Jesus in Matthew 24, What shall be the signs of thy coming, and the end of the world?
[00:40:06.145 --> 00:40:08.007]  You shall hear of wars, and rumors of wars.
[00:40:08.207 --> 00:40:11.249]  For nation shall rise against nation, and kingdom against kingdom.
[00:40:11.449 --> 00:40:14.592]  And there shall be famines, disease, and earthquakes in many places.
[00:40:14.892 --> 00:40:16.753]  We are living in this time of Earth's history.
[00:40:17.014 --> 00:40:20.717]  Many people are trying to understand the climactic world events in light of human wisdom.
[00:40:20.997 --> 00:40:23.639]  But without the wisdom of God, this is impossible.
[00:40:23.979 --> 00:40:28.525]  Second Peter says, we have a more sure word of prophecy, and you do well if you take heed.
[00:40:28.765 --> 00:40:33.050]  But first know this, that no prophecy of the scripture is of any private interpretation.
[00:40:33.451 --> 00:40:37.796]  The Bible says, would like you to receive this new offer, packet B, the unholy alliance.
[00:40:38.096 --> 00:40:40.119]  These materials document the global leaders.
[00:40:40.319 --> 00:40:41.819]  Thank you for listening to GCN.
[00:40:41.859 --> 00:40:42.680]  Visit GCNlive.com today.
[00:41:14.963 --> 00:41:17.466]  Crushing through the lies and disinformation.
[00:41:20.170 --> 00:41:21.311]  It's Alex Jones.
[00:41:23.354 --> 00:41:30.804]  Yes, coming up in the next hour, I'm going to illustrate how much trouble the First Amendment in this country is in.
[00:41:33.075 --> 00:41:40.704]  With some past cases and some things that have happened in the last few days, but we have the audio from the video that's up on PrisonPlanet.com and JonesReport.com.
[00:41:41.144 --> 00:41:45.029]  New York police report bomb to frame activists as terrorists.
[00:41:45.049 --> 00:41:47.872]  They just walk up and say, turn your cameras off, stop protesting.
[00:41:47.892 --> 00:41:49.134]  They say no, we're allowed to.
[00:41:49.824 --> 00:41:51.625]  And so they go, I'm going to say you have a bomb.
[00:41:51.885 --> 00:41:52.806]  And the guy goes, but I don't.
[00:41:52.846 --> 00:41:54.667]  He goes, doesn't matter that you don't have one.
[00:41:54.747 --> 00:41:57.029]  I'm going to say you have one and you're going to go to jail.
[00:41:57.129 --> 00:42:00.111]  I mean, he's the cop and he's a plainclothes.
[00:42:00.171 --> 00:42:03.893]  And later the uniformed cops show up and they're commanding them.
[00:42:04.634 --> 00:42:07.156]  And he just, I mean, it's just openly framing people.
[00:42:07.216 --> 00:42:11.999]  I mean, now it'll just be, I guess, open framing in America.
[00:42:13.052 --> 00:42:13.934]  So that's coming up.
[00:42:14.636 --> 00:42:15.698]  And it dovetails with this.
[00:42:15.799 --> 00:42:19.788]  Box of condoms leads to evacuation, Associated Press, Sunday.
[00:42:20.249 --> 00:42:20.750]  And it says...
[00:42:22.069 --> 00:42:30.796]  Ankeny, Iowa says several classrooms at Des Moines Area Community College were evacuated after college officials became nervous about a suspicious package that had been delivered.
[00:42:31.216 --> 00:42:39.022]  The evil UPS package, it turned out, ladies and gentlemen, was filled with 500 condoms for the, I guess, the health department there at the college.
[00:42:39.483 --> 00:42:41.924]  But that just shows the ninnying fear everywhere.
[00:42:41.944 --> 00:42:48.990]  And by the way, federal law, 10 years, $100,000 fine for reporting a false bomb, knowingly.
[00:42:49.648 --> 00:42:52.770]  Or false terrorist event, or the threat of a terrorist event.
[00:42:52.790 --> 00:42:55.172]  We have links to the federal law and New York's even more.
[00:42:55.472 --> 00:42:58.074]  But it doesn't matter, see, because they're the good guys.
[00:42:58.574 --> 00:43:01.636]  Hey, you're going to be in the hole, doesn't that make you innocent?
[00:43:01.916 --> 00:43:04.218]  See, they're the good guys, so they can do whatever they want.
[00:43:04.238 --> 00:43:10.222]  Because the good guys torture people on 24, and on NYPD Blue, and LA Law, and all those shows.
[00:43:10.242 --> 00:43:11.643]  You're being conditioned, America.
[00:43:11.883 --> 00:43:15.245]  And the cops go home and watch that and think it's normal to do that.
[00:43:15.265 --> 00:43:17.967]  And then they go out and do that, and they end up going to prison.
[00:43:18.207 --> 00:43:19.328]  Because that's illegal!
[00:43:21.138 --> 00:43:26.702]  I mean, we have up-close video with the guy's face as he's sitting there doing this.
[00:43:27.022 --> 00:43:32.206]  Finish up quickly, because I've got a lot of callers I want to get to here, John and Maine, but go ahead and finish up what you were saying.
[00:43:32.226 --> 00:43:48.277]  Yeah, I was just saying it was absolutely unbelievable, and the guys from We Are Change, or You Are Change, they were being so respectful, and then the thugs were, you know, accusing the guy.
[00:43:48.357 --> 00:43:50.499]  Don't talk bad about the family!
[00:43:51.112 --> 00:43:55.394]  Yeah, we run things and take care of everybody here in the neighborhood.
[00:43:55.994 --> 00:43:56.434]  Alright?
[00:43:56.995 --> 00:43:57.515]  Alright?
[00:43:58.255 --> 00:43:59.936]  Okay, good to hear from you.
[00:44:00.236 --> 00:44:01.957]  You need to go to a FEMA camp.
[00:44:02.217 --> 00:44:06.219]  You need to support your president a little bit more there, alright?
[00:44:07.179 --> 00:44:09.000]  By the way, I didn't even know this until about a month ago.
[00:44:09.020 --> 00:44:13.822]  I was interviewing a Village Voice reporter and I found out all these mainstream articles from the 80s and 90s.
[00:44:14.082 --> 00:44:17.084]  Did you know Rudolph Giuliani's father was a mob capo?
[00:44:18.487 --> 00:44:20.048]  I mean, an admitted capo!
[00:44:20.468 --> 00:44:26.470]  And the rest of his family, his uncles and people, were top, top, top mobsters in New York.
[00:44:27.111 --> 00:44:31.613]  And I reported this on my show, and I got emails from New York going, That's how you get things done!
[00:44:31.873 --> 00:44:34.034]  What are you, against Italians?
[00:44:34.574 --> 00:44:36.495]  Uh, no, I'm against the Mafia.
[00:44:36.755 --> 00:44:41.657]  Whether it's the German mob, or the Mexican mob, or the Italian Mafia.
[00:44:42.177 --> 00:44:42.817]  Okay?
[00:44:43.438 --> 00:44:46.259]  I mean, it just absolutely makes my head spin.
[00:44:47.173 --> 00:44:52.558]  It makes, I, it just gets, I, it's... His daddy was a mob boss!
[00:44:55.000 --> 00:44:58.102]  Bush's grandfather was the top Nazi agent in the U.S.
[00:44:58.162 --> 00:44:59.223]  Mainstream news!
[00:44:59.563 --> 00:45:02.286]  I mean, the more I learn, it's just, it's all in newspapers.
[00:45:02.726 --> 00:45:04.567]  Just the general public doesn't know about it.
[00:45:05.268 --> 00:45:08.491]  Okay, let's go ahead and talk to Matt in Virginia.
[00:45:08.851 --> 00:45:12.454]  Let's see if he's going to disrespect his family today.
[00:45:12.814 --> 00:45:13.375]  Go ahead, sir.
[00:45:14.185 --> 00:45:18.828]  You know, that's an amazing video, and Luke's work with Brzezinski, was that his video too?
[00:45:19.408 --> 00:45:29.174]  Yes, and I'm so honored that a few months ago he called me, he called back the other day and he said, listen, I gotta get press passes now, but I'm honored that Luke is officially with the Infowars.com team, one of our reporters.
[00:45:30.194 --> 00:45:31.655]  Yeah, he's done amazing work.
[00:45:31.675 --> 00:45:32.836]  That's just absolutely amazing.
[00:45:32.856 --> 00:45:39.681]  For those that didn't see it, tell them about this big new Brzezinski, founder of the Trilateral Commission, former National Security Advisor, founder of Al-Qaeda.
[00:45:39.721 --> 00:45:40.742]  He wrote a book bragging about it.
[00:45:41.042 --> 00:45:42.223]  Our government founded Al-Qaeda.
[00:45:42.483 --> 00:45:45.185]  Luke, a few weeks ago, confronted the founder of Al-Qaeda in New York.
[00:45:45.565 --> 00:45:47.147]  Yeah, if you haven't seen it, check it out.
[00:45:47.707 --> 00:45:48.367]  Well, that's it.
[00:45:48.408 --> 00:45:49.188]  They write it in books.
[00:45:49.208 --> 00:45:51.930]  They write it all the time, but they know Americans don't read.
[00:45:52.410 --> 00:45:54.352]  So, you know, it works in their advantage.
[00:45:54.372 --> 00:45:56.574]  And Brzezinski just said, sit down and shut up.
[00:45:56.654 --> 00:45:57.734]  Yeah, that's disgusting.
[00:45:57.774 --> 00:45:58.455]  He's disgusting.
[00:45:59.498 --> 00:46:01.259]  By the way, this is Matt Kazee from Blacksburg.
[00:46:01.759 --> 00:46:05.280]  Oh my gosh, Matt is one of my listeners.
[00:46:05.300 --> 00:46:06.460]  He's a 9-11 truther too.
[00:46:06.741 --> 00:46:07.841]  He lives on the campus.
[00:46:08.121 --> 00:46:18.445]  His buddy shot the cell phone video with the gunshots going off and he broke down how it was obviously an inside job and all the weird Marine Corps training and things on the base.
[00:46:19.385 --> 00:46:21.746]  Tell folks why as a local you have suspicions.
[00:46:22.106 --> 00:46:27.688]  Oh, and you reported that, and we also talked to him, police and emergency workers reported they were told to stand down by the feds.
[00:46:27.708 --> 00:46:28.008]  Go ahead.
[00:46:28.430 --> 00:46:35.616]  Well, you know, I have some... Here's why it really, uh, stinks, is, uh, you know, forget the murder thing for a second.
[00:46:35.636 --> 00:46:42.282]  Sure, they cancel classes when somebody shot somebody three miles away, but the week before, the bomb threats, the Monday before, they cancel classes.
[00:46:42.562 --> 00:46:44.063]  Friday the 13th, bomb threats.
[00:46:44.363 --> 00:46:45.344]  They cancel classes.
[00:46:45.664 --> 00:46:49.548]  Monday the 16th, bomb threats, and two dead in the dorm, and they don't cancel.
[00:46:50.008 --> 00:46:55.813]  Now, get this, this is the reason... First off, I wanted to thank you, Alex, for having a forum where you don't screen calls,
[00:46:56.269 --> 00:46:58.291]  It's so rare to see that in talk radio.
[00:46:58.331 --> 00:47:03.594]  I mean, I tried for three weeks to get onto the Glenn Beck program, and, you know, it's nearly impossible.
[00:47:03.614 --> 00:47:04.695]  He's part of the family.
[00:47:04.715 --> 00:47:06.176]  He knows who he's working with.
[00:47:06.316 --> 00:47:10.900]  As to why do you think he has his finger going, shhh, as his main picture, he wants people to shut up.
[00:47:11.320 --> 00:47:17.484]  But I wanted to thank you for your kind words to me, on and off air, towards me and my family and friends.
[00:47:17.625 --> 00:47:23.629]  And, you know, people who are skeptical of Alex Jones, they don't know Alex, and they don't take the time to get to know him.
[00:47:24.290 --> 00:47:34.033]  But I wanted to bring to your attention a petition that has started to support President Steger's decision, or at least to support him and the police chief.
[00:47:35.053 --> 00:47:36.393]  Now, let's be clear.
[00:47:36.474 --> 00:47:39.074]  Columbine, they stood down for four hours and fifteen minutes.
[00:47:39.114 --> 00:47:40.055]  That was a black op.
[00:47:40.455 --> 00:47:41.695]  Hundreds of articles have been written.
[00:47:41.735 --> 00:47:43.576]  If you don't know about it, just go research it.
[00:47:44.316 --> 00:47:48.017]  Type Columbine, government op, and all the stuff will pop up for you.
[00:47:48.257 --> 00:47:49.637]  Spend the next ten years learning about it.
