[00:00:00.229 --> 00:00:00.670]  Oh, what?
[00:26:08.245 --> 00:26:14.609]  As the world's biggest debtor nation, we are borrowing in excess of 80% of the world's net savings.
[00:26:14.689 --> 00:26:19.112]  That's $2 billion per day to finance the biggest deficit in history.
[00:26:19.332 --> 00:26:23.714]  Our creditors are becoming increasingly concerned that the debt can never be repaid.
[00:26:23.855 --> 00:26:26.456]  Japan and China, two of the largest holders of U.S.
[00:26:26.476 --> 00:26:29.257]  debt, are looking to greatly reduce their exposure to dollars.
[00:26:29.718 --> 00:26:32.259]  In fact, China has privately hinted that a U.S.
[00:26:32.299 --> 00:26:36.541]  attack on Iran could result in China's dumping massive amounts of U.S.
[00:26:36.601 --> 00:26:37.442]  Treasury bonds.
[00:26:37.722 --> 00:26:42.365]  To find out more about this, call for a free report on the coming dollar collapse.
[00:26:42.525 --> 00:26:44.166]  Call Whitehurst International at 1-888-892-6238.
[00:26:44.186 --> 00:26:46.368]  That's 1-888-8XANADU or 1-888-8XANADU and ask for George.
[00:26:46.468 --> 00:26:47.368]  You are listening to GCN.
[00:26:47.428 --> 00:26:48.249]  Visit GCNlive.com today.
[00:27:07.628 --> 00:27:09.249]  Dillberg is making great progress.
[00:27:19.055 --> 00:27:19.936]  Welcome back.
[00:27:19.956 --> 00:27:22.857]  Your calls are coming up here in just a moment.
[00:27:22.937 --> 00:27:24.178]  On this 25th day of November 2007.
[00:27:38.547 --> 00:27:41.508]  Hillary Clinton is nothing but a pawn, a puppet, a nobody.
[00:27:42.628 --> 00:27:43.548]  So was the President.
[00:27:46.349 --> 00:28:00.953]  The Fortune 100 are bigger than most countries on Earth, their GDPs, and together they are many times greater than the United States.
[00:28:02.593 --> 00:28:03.613]  Who lobbies for you?
[00:28:03.673 --> 00:28:04.534]  Who speaks for you?
[00:28:05.114 --> 00:28:06.114]  Who stands up for you?
[00:28:07.404 --> 00:28:17.550]  The establishment for at least 100 years has knowingly used psychological warfare programs, this is published, against you.
[00:28:17.590 --> 00:28:21.192]  Over 100 years ago, the American Banking Association said you were too smart.
[00:28:21.552 --> 00:28:22.813]  That Americans were too educated.
[00:28:22.833 --> 00:28:24.554]  The smartest, most educated people in the world.
[00:28:24.574 --> 00:28:27.875]  They said they were going to buy up and control education and change it.
[00:28:28.196 --> 00:28:28.976]  And dumb you down.
[00:28:29.797 --> 00:28:30.457]  Dumb us down.
[00:28:31.596 --> 00:28:36.240]  And they did that all so they could more easily control our population.
[00:28:36.540 --> 00:28:41.343]  We were the big prize, the big rich nation, 4% of the world with more than half the wealth.
[00:28:43.065 --> 00:28:56.535]  And when your military is already 20% foreigner, and many of them aggravated felons, that's textbook tyranny, when they're now saying mercenaries are going to domestically operate against the American people,
[00:28:57.876 --> 00:29:07.559]  When they openly shipped in more than forty billion dollars in one shipment, there have been many others since, in hundred and thousand dollar bills on pallets.
[00:29:07.919 --> 00:29:18.742]  Remember, three years ago I told you, in fact before the war, four years ago I told you they were going to pay off the troops and train them and prepare them to transfer over into the new mercenary armies.
[00:29:20.542 --> 00:29:23.383]  And I told you that a private, on average,
[00:29:24.560 --> 00:29:30.285]  One year into the war, it was being given more than $30,000 in cash to corrupt them.
[00:29:30.325 --> 00:29:44.979]  Then they would go to the different green zones, there's not just one, there's one official one in Baghdad, and spend their money on the prostitutes brought in by the big companies, the liquor, the drugs, the gambling, and then that money just goes right back to them.
[00:29:46.540 --> 00:29:52.506]  And that was meant to corrupt the troops and prepare them to later transfer over and be mercenaries.
[00:29:52.526 --> 00:29:53.247]  And that's what's happening.
[00:29:53.267 --> 00:29:56.591]  They're getting out and they're joining the different mercenary groups.
[00:29:56.991 --> 00:29:58.353]  And there are more than 30 of them.
[00:29:58.553 --> 00:30:02.377]  Blackwater being the biggest armed group, Halliburton having armed subsidiaries.
[00:30:02.397 --> 00:30:05.680]  And that's what they've done.
[00:30:05.720 --> 00:30:08.663]  They primed the pump and gave them a taste and prepared them
[00:30:10.024 --> 00:30:14.627]  And are now openly saying no more Bill of Rights or Constitution in the U.S.
[00:30:14.687 --> 00:30:19.771]  and going, yeah, we are going to use the Patriot Act against the American people in non-terror related cases.
[00:30:20.011 --> 00:30:25.094]  Yeah, we're going to use no more warrants for wiretaps and spying on you and tracking your cell phones.
[00:30:25.134 --> 00:30:25.915]  I told you that in 96.
[00:30:26.075 --> 00:30:27.096]  I saw the federal plan.
[00:30:27.796 --> 00:30:28.897]  This isn't about Bush.
[00:30:28.917 --> 00:30:29.898]  This isn't about Hillary.
[00:30:29.918 --> 00:30:30.678]  They're just puppets.
[00:30:30.978 --> 00:30:34.401]  This system moves forward against us all.
[00:30:35.141 --> 00:30:37.123]  And it's happening all over the planet.
[00:30:37.403 --> 00:30:38.964]  I mean, I read here today
[00:30:39.947 --> 00:30:42.969]  You can have a protest with 20 people, a protest with 500 people.
[00:30:43.429 --> 00:30:53.414]  They send police out in the same black uniforms, the same black armor, the same billy clubs to beat the demonstrations, and they say no demonstrations allowed.
[00:30:53.855 --> 00:30:58.837]  If you want to have one, you can have one at the edge of town at a soccer field.
[00:30:59.798 --> 00:31:01.419]  It's a free-speak zone.
[00:31:01.559 --> 00:31:02.539]  Same term.
[00:31:04.660 --> 00:31:07.242]  In fact, here is the Associated Press today.
[00:31:08.878 --> 00:31:14.000]  25th of November, riot police arrest 150, a new anti-Putin demonstration.
[00:31:14.500 --> 00:31:19.741]  Russian riot police Sunday detained opposition leaders and more than 150 other protesters in St.
[00:31:19.781 --> 00:31:25.423]  Petersburg as they broke up a segment demonstration against President Vladimir Putin in the last two days.
[00:31:26.203 --> 00:31:34.645]  It says the demonstrations were protesting against the police state, the destruction of liberties, the fact that Putin's refusing to stand down.
[00:31:35.266 --> 00:31:36.586]  It goes on and on.
[00:31:39.548 --> 00:31:51.755]  And it goes on to say that they had refused, the 40s had refused to authorize a march, giving permission only for a stationary demonstration in a different square on the edge of town.
[00:31:51.775 --> 00:31:57.699]  See, the same thing they do in Russia that's universally decried as total police state, they're now doing here.
[00:31:57.819 --> 00:31:59.740]  Same black uniforms, same outfits.
[00:32:00.520 --> 00:32:04.743]  This is a global government, global corporations, that are not free market.
[00:32:04.983 --> 00:32:18.111]  Powerful men, dominant men, who get together and say, hey, we're bigger than countries, let's set up a new global system that doesn't have the checks and balances in it, and let's take over the planet, and let's not allow anyone to demonstrate against us.
[00:32:19.872 --> 00:32:23.955]  The British Ministry of Defense 10-year prospectus put out four months ago,
[00:32:25.291 --> 00:32:31.373]  In its entirety, openly talked about how the government's here to suppress and dominate the public for the global corporations.
[00:32:31.813 --> 00:32:38.354]  The head of the Naval War College, Thomas Barnett, gets up on C-SPAN and admits our military works for the big central banks.
[00:32:39.314 --> 00:32:43.195]  I mean, it's out in the open, but normal people don't watch C-SPAN.
[00:32:44.356 --> 00:32:46.516]  You're watching 15 college bowl games.
[00:32:47.796 --> 00:32:49.917]  And yeah, they're fun, they're neat to watch, it's great.
[00:32:50.603 --> 00:32:52.864]  To slurp beer and eat pizza and stumble around.
[00:32:53.144 --> 00:32:55.804]  But you can't do that when this stuff is going on.
[00:32:56.525 --> 00:32:59.446]  You're an expert on male soap operas that are football.
[00:32:59.466 --> 00:33:04.227]  You know, who's getting fired, what coach is getting fired, who's being hired, who's getting drafted.
[00:33:04.247 --> 00:33:05.887]  It's male soap operas.
[00:33:06.387 --> 00:33:08.188]  And I'm not saying I'm not into it.
[00:33:09.848 --> 00:33:15.250]  But the point is, I don't have time to be into that because so many serious things are happening.
[00:33:17.600 --> 00:33:19.142]  Let's go ahead and take some phone calls.
[00:33:19.202 --> 00:33:21.204]  Let me see who's been holding here the longest.
[00:33:22.325 --> 00:33:27.109]  There's a North American Union article I see, according to Matt in Boston, who's first up.
[00:33:27.410 --> 00:33:28.891]  You're on the air worldwide, sir.
[00:33:28.951 --> 00:33:29.271]  Welcome.
[00:33:30.212 --> 00:33:30.593]  Hey, Alex.
[00:33:30.613 --> 00:33:31.133]  How's it going?
[00:33:31.153 --> 00:33:31.454]  Good, sir.
[00:33:32.334 --> 00:33:36.198]  Yeah, there was just this article in the Boston World Today entitled, The Amaro Conspiracy.
[00:33:37.506 --> 00:33:41.627]  Well, it's basically a hit piece about the people who believe in the North American Union.
[00:33:41.707 --> 00:33:43.348]  It just calls us all conspiracy theorists.
[00:33:43.368 --> 00:33:43.888]  Yeah, I've seen it.
[00:33:43.928 --> 00:34:05.534]  There's been a flotilla, literally hundreds the last couple months, and they always say, we're nuts, it doesn't exist, though Judicial Watch sued and got the North American Union documents from September last year, and then Bush made a bunch public from the meeting two months ago in Ottawa, and it says North American Union, it says carbon taxes, it says merging our militaries, it says it all.
[00:34:06.320 --> 00:34:22.741]  Yeah, well it was an interesting article because it mentioned that there is an SVP, that the Council on Foreign Relations published a report called Building a North American Community, but it says people who actually put the connected dots are conspiracy theorists for some reason.
[00:34:24.245 --> 00:34:27.187]  And they're counting on you to just read headlines.
[00:34:27.627 --> 00:34:31.509]  They're counting on you to just, you know, just basically believe what they're saying.
[00:34:31.830 --> 00:34:32.250]  I'm not.
[00:34:32.470 --> 00:34:36.152]  I'm counting on you to go to PrisonPlanet.com.
[00:34:36.172 --> 00:34:38.634]  We have links to the CFR's own prospectus.
[00:34:38.954 --> 00:34:42.616]  We have links to the SPP documents that Judicial Watch had to sue to get.
[00:34:43.196 --> 00:34:45.057]  They're the folks that almost brought Clinton down, by the way.
[00:34:45.077 --> 00:34:46.078]  They're not some liberals.
[00:34:46.678 --> 00:34:48.779]  And it's all there.
[00:34:49.040 --> 00:34:51.321]  My film, Endgame, shows all these documents.
[00:34:52.862 --> 00:34:56.984]  Well, I just thought it was a pretty interesting article, and I just want to say thank you for all you do, Alex.
[00:34:57.604 --> 00:34:58.404]  Thank you, my friend.
[00:34:58.424 --> 00:35:09.889]  Yeah, I would tell people in 96 that I'd read in industry publications that all cell phones were to be GPS-tracked off a triangulation with the cell towers, and that they were going to do all this because I had official government documents.
[00:35:10.606 --> 00:35:11.967]  And then now it's common news.
[00:35:12.067 --> 00:35:18.171]  Or I told you, hey, they're going to claim there's no Fourth Amendment to track Al-Qaeda, but then they're going to say, by the way, it's for all crime.
[00:35:18.591 --> 00:35:19.992]  That's in the Washington Post today.
[00:35:20.052 --> 00:35:26.756]  It says in just regular cases they're not getting warrants now citing the Patriot Act and other federal rulings.
[00:35:26.836 --> 00:35:27.736]  Just no Fourth Amendment.
[00:35:29.397 --> 00:35:31.118]  Again, we're just going over the facts here.
[00:35:31.999 --> 00:35:37.522]  Now let us go ahead and speak to Jason in Columbus, Ohio.
[00:35:37.582 --> 00:35:38.243]  You're on the air.
[00:35:38.303 --> 00:35:38.603]  Welcome.
[00:35:39.770 --> 00:35:40.831]  Thank you very much, Alex.
[00:35:40.891 --> 00:35:43.774]  Words can't express what an honor it is to actually speak with you.
[00:35:43.834 --> 00:35:44.875]  It's an honor to speak to you, sir.
[00:35:45.376 --> 00:35:45.916]  Thank you, sir.
[00:35:46.537 --> 00:35:50.601]  We went and saw the quote-unquote patriot Glenn Beck last night.
[00:35:51.461 --> 00:35:53.824]  The fake conservative there to neutralize the American people?
[00:35:53.864 --> 00:35:54.064]  Yes.
[00:35:54.364 --> 00:35:58.328]  Who says that Ron Paul supporters are terrorists and that the Army should be used against us on CNN?
[00:35:58.368 --> 00:35:58.829]  What did he say?
[00:35:59.429 --> 00:35:59.889]  Absolutely.
[00:35:59.949 --> 00:36:05.193]  Well, I went up and had a person behind me with a camera ask him why he hadn't had Ron Paul on the show.
[00:36:05.673 --> 00:36:09.235]  He said he would absolutely love to have Ron Paul on the show and extend him the entire hour.
[00:36:09.935 --> 00:36:14.778]  And we caught that on video, him saying that he would give Ron Paul the... Stay there!
[00:36:14.838 --> 00:36:16.219]  I want to hear what else happened, okay?
[00:36:16.239 --> 00:36:16.800]  Don't hang up.
[00:36:17.200 --> 00:36:21.622]  We're going to come back to you right after this break, Jason in Columbus, Ohio.
[00:36:21.663 --> 00:36:27.046]  Then we'll go to John, Rasheen, Jedi, Martin, and many others.
[00:36:27.786 --> 00:36:32.433]  I'm Alex Jones, dedicated to defending the Republic from enemies foreign and domestic.
[00:36:32.793 --> 00:36:39.022]  The websites are TruthNews.us, Infowars.com, and PrisonPlanet.com.
[00:36:39.502 --> 00:36:41.185]  We'll be back after these quick messages.
[00:36:41.625 --> 00:36:44.970]  The second hour has got an interview with Ron Paul, I did, and a lot more.
[00:36:55.333 --> 00:36:57.975]  Introducing the most efficient gravity filter.
[00:36:58.175 --> 00:37:01.717]  Do you know where the 78 potentially active volcanoes in the U.S.
[00:37:01.777 --> 00:37:02.277]  are located?
[00:37:02.498 --> 00:37:05.880]  And do you know the locations of the top 300 prime terrorist targets?
[00:37:06.120 --> 00:37:10.803]  You can find these answers and more in the new interactive CD book, Prudent Places USA.
[00:37:11.103 --> 00:37:16.106]  With the more than 50 interactive parameters, you can pinpoint natural and man-made disaster areas.
[00:37:16.346 --> 00:37:16.926]  We're good to go!
[00:37:35.012 --> 00:37:35.633]  Hi, neighbor.
[00:38:00.712 --> 00:38:02.412]  We all know that knowledge is power.
[00:38:02.853 --> 00:38:05.953]  We've tried to give you knowledge to help you prepare for rough times.
[00:38:06.573 --> 00:38:11.255]  There's the worldwide famine and our country's dependence on often dangerous food imports.
[00:38:11.895 --> 00:38:13.875]  You know about genetically poisoned food.
[00:38:14.395 --> 00:38:19.997]  Two-thirds of the food is disappearing with the bees along with huge crop failures from all-time record water shortages.
[00:38:20.697 --> 00:38:24.358]  You know they're turning food into fuel with corn ethanol plants.
[00:38:25.325 --> 00:38:29.047]  If we do not control our food, food will be used to control us.
[00:38:29.547 --> 00:38:34.709]  Food control has been the plan historically in every enslaved population and is the plan for America.
[00:38:35.389 --> 00:38:43.633]  The only value of the knowledge you have to take control of your food is if you choose to get a supply while you still have the freedom to choose.
[00:38:44.093 --> 00:38:45.354]  Call 800-409-5633 on the web efoodsdirect.com.
[00:38:45.394 --> 00:38:45.694]  Call 800-409-5633.
[00:38:58.002 --> 00:38:58.643]  It's a fact.
[00:38:58.863 --> 00:39:06.328]  Since the creation of the Federal Reserve in 1913, all banks in these United States create money out of thin air for every single loan they issue.
[00:39:06.448 --> 00:39:15.335]  With never-ending late fees, over-the-limit fees, and higher and higher interest rates, it has become mathematically impossible to repay all debt, making all of us slaves to our creditors.
[00:39:15.595 --> 00:39:26.143]  The Federal Debt Relief System has created a successful, attorney-backed program to legally eliminate credit card debt, personal loans, lines of credit, and other unsecured debts which have been fraudulently created by the banks.
[00:39:26.403 --> 00:39:32.466]  We can terminate your unsecure debt within 18 months with a much lower monthly payment, ending with nothing on your credit report.
[00:39:32.666 --> 00:39:37.689]  Join the thousands of Americans who now breathe with a sigh of relief because they have legally eliminated their debt.
[00:39:37.869 --> 00:39:42.371]  Instead of living each day in fear and frustration, it's time to take action and turn your life around.
[00:39:42.531 --> 00:39:44.332]  Call the Federal Debt Relief System at 877-943-8600.
[00:39:44.372 --> 00:39:44.652]  That's 877-943-8600.
[00:39:44.672 --> 00:39:45.192]  Or visit FDRS.org.
[00:39:45.272 --> 00:39:47.053]  Find out how you can break the cycle of debt slavery.
[00:39:56.859 --> 00:40:04.525]  This is George Whitehurst Barry with the Genesis Communications Network.
[00:40:04.986 --> 00:40:07.408]  Welcome to our new program, Crash!
[00:40:07.728 --> 00:40:08.389]  Are you ready?
[00:40:08.709 --> 00:40:14.834]  In the coming weeks, we will focus on alternative economics, as well as alternative health and survival topics.
[00:40:15.194 --> 00:40:18.597]  We are now in the largest debt bubble in U.S.
[00:40:18.657 --> 00:40:19.078]  history.
[00:40:19.458 --> 00:40:22.641]  A subset of the debt bubble is the real estate bubble.
[00:40:23.221 --> 00:40:30.168]  And I believe we are in the beginning stages of what could be the biggest real estate crash in our nation's history.
[00:40:30.468 --> 00:40:35.493]  For crash updates, visit our website at hereinonline.com.
[00:40:35.933 --> 00:40:42.740]  That's H-E-A-R-I-T-O-N-L-I-N-E dot com.
[00:40:43.420 --> 00:40:52.043]  Here at Online.com, that's H-E-A-R-I-T-O-N-L-I-N-E dot com.
[00:40:52.163 --> 00:41:00.126]  You're listening to GPN, the Genesis Communications Radio Network.
[00:41:10.763 --> 00:41:13.445]  Yeah, next hour we'll be interviewing Ron Paul.
[00:41:13.886 --> 00:41:16.328]  Ask him about Glenn Beck and others.
[00:41:16.408 --> 00:41:18.850]  It's a White House talking point that's now come out in the news.
[00:41:19.190 --> 00:41:26.896]  To say that those that are anti-war, or those that support Ron Paul, who are libertarians, are working with the, quote, Islamic fascists.
[00:41:27.777 --> 00:41:28.738]  Just unbelievable.
[00:41:28.918 --> 00:41:30.219]  We warned you they would do this.
[00:41:30.579 --> 00:41:31.260]  They're now doing it.
[00:41:31.400 --> 00:41:34.843]  And we were just now talking to Jason
[00:41:36.023 --> 00:41:42.749]  Absolutely.
[00:41:43.309 --> 00:41:48.794]  Two really big important points.
[00:41:48.874 --> 00:41:56.480]  The first one is that we caught him on video inviting Ron Paul on his show at Ron Paul's convenience and said that he would give him the entire hour.
[00:41:57.100 --> 00:41:59.342]  He almost made it seem like Ron Paul was dodging him.
[00:42:00.041 --> 00:42:01.282]  Well, we all know that's not the case.
[00:42:02.302 --> 00:42:04.363]  And we were actually able to catch that on video.
[00:42:04.703 --> 00:42:07.365]  I think he said it because he did not know that he was being videotaped.
[00:42:07.745 --> 00:42:08.585]  What else did he say?
[00:42:09.666 --> 00:42:14.228]  That's really about all that he said, as we got ushered out, of course, really quickly.
[00:42:14.888 --> 00:42:22.352]  The other real important point is, is all of the people that look like they were Secret Service all were over the place.
[00:42:23.152 --> 00:42:27.654]  I got there at 8 o'clock in the morning, about 12 hours before the actual book signing.
[00:42:27.714 --> 00:42:29.075]  Black SUV in the parking lot.
[00:42:29.395 --> 00:42:31.195]  Well, it's been admitted that even the show that
[00:42:58.070 --> 00:43:05.274]  They do on HBO that's been attacking patriots, has gotten different mercenary groups to protect them.
[00:43:05.514 --> 00:43:06.774]  And again, this is the new system.
[00:43:06.794 --> 00:43:10.976]  The whole apparatus of anti-terror is for the American people.
[00:43:11.757 --> 00:43:15.098]  We don't want their North American Union, their open borders, their gun control.
[00:43:15.398 --> 00:43:16.879]  The Supreme Court about to hear that.
[00:43:17.559 --> 00:43:18.500]  That's what this is all about.
[00:43:18.540 --> 00:43:21.922]  So I need you, sir, to go ahead and upload that video to YouTube as soon as possible.
[00:43:22.342 --> 00:43:22.822]  It has been up.
[00:43:23.262 --> 00:43:23.602]  I'm sorry.
[00:43:23.622 --> 00:43:24.803]  Okay, what's the name of the video?
[00:43:25.503 --> 00:43:31.646]  The name of the video, it's my actual... I sent it to you late last night to your email address at Prison Plana.
[00:43:31.966 --> 00:43:33.227]  That's fine, but it's up on YouTube.
[00:43:33.247 --> 00:43:34.948]  Just give me the tag.
[00:43:36.148 --> 00:43:40.231]  The tag is... I'm sorry, I'm gonna sound like an idiot.
[00:43:40.411 --> 00:43:41.011]  What's the tag?
[00:43:42.191 --> 00:43:44.593]  Glenn Beck wants Ron Paul for the full hour.
[00:43:44.993 --> 00:43:46.934]  Okay, Glenn Beck wants Ron Paul for the full hour.
[00:43:46.994 --> 00:43:48.094]  Guys, put that in YouTube.
[00:43:48.134 --> 00:43:49.095]  Was it YouTube or Google?
[00:43:49.954 --> 00:43:50.415]  In YouTube.
[00:43:50.435 --> 00:43:51.136]  Oh, absolutely.
[00:43:51.156 --> 00:43:52.577]  My full name is Jason Hick, H-I-C-K.
[00:44:05.479 --> 00:44:09.401]  Okay, we are going to do a story on this then once we see your video.
[00:44:10.061 --> 00:44:11.422]  And that is just amazing.
[00:44:11.502 --> 00:44:15.204]  So they definitely had security there watching out.
[00:44:15.484 --> 00:44:16.184]  Oh no!
[00:44:16.544 --> 00:44:26.049]  Because Glenn Beck, the little precious propagandist, is out on tour and we've got to watch the American people, not the 30 million illegal aliens calling for the end of the U.S.
[00:44:26.089 --> 00:44:26.629]  running around.
[00:44:27.149 --> 00:44:31.710]  Not for the fact that our dollars are plunging by design with the Federal Reserve's policies.
[00:44:32.211 --> 00:44:34.951]  Not the fact that we're hated worldwide because of all these illegal wars.
[00:44:35.271 --> 00:44:37.192]  It's the American people we've got to watch.
[00:44:37.232 --> 00:44:38.252]  What did you say to these guys?
[00:44:39.573 --> 00:44:43.514]  Well, I acted like I didn't know what they were talking about because I didn't want to get thrown out.
[00:44:44.354 --> 00:44:46.555]  So I just really played stupid and acted like I didn't know.
[00:44:46.595 --> 00:44:50.656]  So now they've gotten to the point of having to question everyone at these events.
[00:44:51.522 --> 00:44:51.742]  Yes.
[00:44:52.362 --> 00:44:54.183]  I know that we were not the only people that approached.
[00:44:54.523 --> 00:44:58.405]  One other quick point, Cody Deeds was there with We Are Change Ohio.
[00:44:59.066 --> 00:45:03.127]  He made a great video of him actually confronting Glenn Beckwith.
[00:45:03.167 --> 00:45:03.648]  Oh good!
[00:45:03.808 --> 00:45:04.748]  What's the name of that video?
[00:45:05.268 --> 00:45:07.630]  That is on WeAreChange.org.
[00:45:07.750 --> 00:45:08.750]  Oh good.
[00:45:08.810 --> 00:45:10.911]  The We Are Change guys are doing such a great job.
[00:45:10.991 --> 00:45:12.872]  I can't even keep track of everything they're doing.
[00:45:13.892 --> 00:45:32.279]  Again, ladies and gentlemen, in a clip coming up, you're going to hear Fox News saying, a Code Pink lady stood up last week to Hillary, as well as a Code Pink male member, and said, hey, you said you were against the war, we sent Democrats to Congress, but the war continues, and they drug them out, and Fox News said, you know,
[00:45:32.819 --> 00:45:34.200]  These people can't keep doing this.
[00:45:34.240 --> 00:45:37.602]  They can't think they can do this without being tasered or beaten to a pulp.
[00:45:37.902 --> 00:45:39.022]  They need to be tasered.
[00:45:39.303 --> 00:45:43.825]  In our new higher security with terrorism, we need to taser them and beat them.
[00:45:44.491 --> 00:45:45.351]  See, just like Russia.
[00:45:46.051 --> 00:45:48.032]  Oh, the American people are getting active.
[00:45:48.372 --> 00:45:50.313]  They're confronting Republicans and Democrats.
[00:45:50.333 --> 00:45:51.953]  They're saying they don't want a new world order.
[00:45:52.353 --> 00:45:54.014]  They're saying they don't want more wars.
[00:45:54.294 --> 00:45:56.334]  They're saying they don't want a North American Union.
[00:45:56.794 --> 00:45:58.215]  Oh, they're bad!
[00:45:58.795 --> 00:46:01.056]  The problem is, 80 plus percent don't want the war.
[00:46:01.076 --> 00:46:03.516]  91 percent in Gallup polls don't want open borders.
[00:46:03.536 --> 00:46:06.097]  70 plus percent are pro-Second Amendment.
[00:46:06.901 --> 00:46:10.522]  So, this whole system is about going after the American people.
[00:46:10.982 --> 00:46:12.243]  Folks, I want to see this video.
[00:46:13.583 --> 00:46:17.245]  To Amanda and to Trey in there, go to wearechange.org right now.
[00:46:17.285 --> 00:46:19.545]  Let's see that video.
[00:46:20.006 --> 00:46:22.506]  Let's track exactly what's happening.
[00:46:22.546 --> 00:46:24.787]  We may even air it, because I'm authorized to air all that stuff.
[00:46:24.807 --> 00:46:25.828]  I'm in affiliation with them.
[00:46:26.148 --> 00:46:27.428]  I don't give them orders from headquarters.
[00:46:27.448 --> 00:46:28.268]  They just do whatever they want.
[00:46:28.308 --> 00:46:29.749]  We're all just out there fighting for freedom.
[00:46:30.229 --> 00:46:30.790]  We're good to go.
[00:46:47.956 --> 00:46:49.277]  I mean, we've done nothing violent.
[00:46:49.317 --> 00:46:50.137]  We've done nothing.
[00:46:50.197 --> 00:46:53.218]  We're just here exposing the New World Order.
[00:46:53.258 --> 00:46:58.940]  But see, now they're using that whole anti-terrorist system they built up because they're losing the debate.
[00:46:59.000 --> 00:46:59.900]  They're losing the fight.
[00:46:59.920 --> 00:47:06.403]  In fact, on the Fox News pieces we've seen with O'Reilly and the others and Glenn Beck and others, they keep saying, no one believes us.
[00:47:06.443 --> 00:47:08.523]  Congress only has an 11% approval rating.
[00:47:08.763 --> 00:47:10.124]  The people don't trust us anymore.
[00:47:10.644 --> 00:47:13.528]  And it's these Ron Paul people that are trying to destroy America!
[00:47:14.329 --> 00:47:14.870]  They're trying!
[00:47:15.050 --> 00:47:18.414]  No, no, we're the ones trying to save what's left of it!
[00:47:19.575 --> 00:47:26.384]  We're not the Republican and Democratic parties going after the Second Amendment, going after the borders, going after the dollar, going after everything!
[00:47:27.666 --> 00:47:29.488]  So I'm just absolutely blown away right now.
[00:47:30.168 --> 00:47:32.190]  Let's talk to Rasheem in New York City.
[00:47:32.230 --> 00:47:32.931]  You're on the air.
[00:47:32.971 --> 00:47:33.672]  Welcome, Rasheem.
[00:47:34.052 --> 00:47:35.433]  Yes, good afternoon, Mr. Jones.
[00:47:35.633 --> 00:47:35.893]  Hi.
[00:47:36.234 --> 00:47:38.836]  You know, it's a pleasure meeting you out here back on September 9th.
[00:47:38.896 --> 00:47:40.117]  I got a chance to see Endgame.
[00:47:40.458 --> 00:47:41.058]  Great movie, man.
[00:47:41.298 --> 00:47:41.659]  Thank you.
[00:47:42.059 --> 00:47:44.621]  All right, listen, you know, I have some good news for everybody.
[00:47:44.741 --> 00:47:50.767]  I've been working on it on Wall Street now for the last four years, and people are starting to wake up to the money system.
[00:47:51.427 --> 00:47:53.829]  People, you know, I have a lot of friends that are traders.
[00:47:53.949 --> 00:47:59.274]  Myself, personally, I'm an IT person, so I'll get... Now they know the Federal Reserve is private, devaluing the dollar by design, or what do they know?
[00:47:59.854 --> 00:48:05.719]  They're starting to understand that the Fed is very bad for open markets, which is a start.
[00:48:05.939 --> 00:48:13.045]  I mean, you couldn't convince the average trader that that was the case, but now they're starting to see that inflating the dollar... Well, see, that's the thing.
[00:48:13.085 --> 00:48:16.108]  When they implode America, they know everybody's going to wake up.
[00:48:16.428 --> 00:48:19.971]  That's why they set up the oppressive police state apparatus first.
[00:48:20.431 --> 00:48:20.972]  Absolutely.
[00:48:21.332 --> 00:48:21.772]  Absolutely.
[00:48:21.872 --> 00:48:30.919]  And living here in Police State New York, I can tell you first hand that, you know, this is going to be... Wireless wiretaps, random searches on the streets, nothing to do with terrorism.
[00:48:31.140 --> 00:48:31.700]  Absolutely.
[00:48:31.780 --> 00:48:34.022]  But I just had to say that to start off with.
[00:48:34.102 --> 00:48:34.562]  Second off...
[00:48:35.883 --> 00:48:41.125]  I don't think people understand how much Ron Paul has affected the GEO political spectrum.
[00:48:41.565 --> 00:48:47.867]  No one has talked about monetary policy, running for president... No one has talked about the North American Union.
[00:48:47.927 --> 00:48:50.068]  No one has ever talked about the New World Order.
[00:48:50.228 --> 00:48:52.469]  Finally, and he's hit the zeitgeist, folks.
[00:48:52.489 --> 00:48:53.569]  It's exploding globally.
[00:48:53.829 --> 00:48:54.689]  People are looking.
[00:48:54.709 --> 00:48:55.850]  There's a mass awakening.
[00:48:56.050 --> 00:48:57.010]  What does Glenn Beck do?
[00:48:57.050 --> 00:49:00.051]  He says, we're all terrorists and we're going to do something violent.
[00:49:00.251 --> 00:49:02.192]  Meanwhile, they have goons running around at events.
[00:49:02.572 --> 00:49:03.033]  Absolutely.
[00:49:03.393 --> 00:49:14.465]  And to Jason's defense, I don't think Ron Paul should go on Glenn Beck because it'll just be another O'Reilly type interview where he doesn't get to talk and it'll just be a waste of his time.
[00:49:14.505 --> 00:49:17.048]  Don't give Glenn Beck any type of publicity.
[00:49:17.088 --> 00:49:17.889]  He's a scumbag.
[00:49:17.909 --> 00:49:18.550]  We all know it.
[00:49:18.950 --> 00:49:19.671]  Just move on.
[00:49:19.731 --> 00:49:20.352]  He's nobody.
[00:49:21.443 --> 00:49:26.026]  Well, he'll say he's against the NAU, North American Union, but then promote people that are for it.
[00:49:26.546 --> 00:49:27.727]  And then say we're terrorists.
[00:49:27.767 --> 00:49:28.948]  I mean, how dare them?
