[00:00:00.129 --> 00:00:05.450]  Television, but I had once or twice actually seen the television show because it's very popular.
[00:25:52.413 --> 00:26:03.541]  But when it comes to the people who come from the institutions, that people who worked inside the system who are coming out publicly saying 9-11 was an inside job, how can they ignore those opinions?
[00:26:03.541 --> 00:26:04.601]  I just don't understand that.
[00:26:04.601 --> 00:26:09.865]  Well, Operation Mockingbird, number one, because
[00:26:11.278 --> 00:26:18.048]  Going back to the 50s, we have the CIA documents where they brag about how they already controlled almost all the major newspapers.
[00:26:18.048 --> 00:26:22.354]  All you've got to do is have the editor of the New York Times, the editor of the Washington Post,
[00:26:23.415 --> 00:26:25.757]  Or the sub-editors at those key papers.
[00:26:25.757 --> 00:26:27.298]  You'll have a whole nest of them.
[00:26:27.298 --> 00:26:28.839]  Key people inside CNN.
[00:26:28.839 --> 00:26:30.461]  I mean, at Fox, it's open.
[00:26:30.461 --> 00:26:39.367]  You've got, on the Board of Directors, Viet Dinh, who wrote the first Patriot Act and contributed to torture memos.
[00:26:39.367 --> 00:26:41.008]  I mean, at Fox, it's just open.
[00:26:41.008 --> 00:26:46.673]  You've got Tony Snow with the revolving door as the White House Press Secretary, former Fox contributor.
[00:26:46.673 --> 00:26:48.534]  He co-hosts the Rush Limbaugh program.
[00:26:50.347 --> 00:26:57.594]  You've got fellow travelers with the elite system on the left and the right who are all controlled by the same private corporate structures.
[00:26:57.594 --> 00:26:59.236]  Then you've got CIA.
[00:26:59.236 --> 00:27:01.438]  Then you've got thousands of top reporters.
[00:27:02.443 --> 00:27:03.043]  We're good to go.
[00:27:21.992 --> 00:27:31.094]  After he got out of the military from the Defense Department in a CIA contract to go around talking about how martial law is coming, but you know that's what we have to have.
[00:27:31.094 --> 00:27:31.814]  It's too bad.
[00:27:31.814 --> 00:27:33.154]  I mean, that's chilling, folks.
[00:27:33.154 --> 00:27:36.575]  They paid him to go out and say that on all these TV shows.
[00:27:36.575 --> 00:27:38.596]  And at the time, I said, that guy's a spook.
[00:27:38.596 --> 00:27:43.137]  I mean, I saw him on the cover of Cigar Aficionado, you know, wearing CIA cufflinks.
[00:27:43.137 --> 00:27:44.777]  I mean, it's a big joke to these people.
[00:27:45.457 --> 00:27:47.659]  And they think it's all real funny.
[00:27:47.659 --> 00:27:50.902]  And then you've got others who just don't even really consciously think about it.
[00:27:50.902 --> 00:28:05.674]  Hey, Armstrong Williams, we want you to take $240-something thousand dollars just to go say as a black conservative that you're for Head Start, which is really just a big government program to CPS the kids.
[00:28:05.674 --> 00:28:08.576]  Sounds good, you know, to help the kids, but still it's big government.
[00:28:08.576 --> 00:28:09.457]  Why is Bush doing it?
[00:28:09.457 --> 00:28:11.278]  Well, it's corporate welfare.
[00:28:11.278 --> 00:28:11.759]  It's control.
[00:28:12.379 --> 00:28:15.642]  But the point is, that's the lighter end of it.
[00:28:15.642 --> 00:28:21.788]  I mean, $1.8 billion just in fake news for the prescription drug program.
[00:28:21.788 --> 00:28:26.572]  I added up, just propaganda, in the first four years of his administration, the contracts we can find.
[00:28:26.572 --> 00:28:28.574]  Almost $25 billion in fake news.
[00:28:29.114 --> 00:28:30.815]  Brother, that's how they're doing it.
[00:28:30.815 --> 00:28:40.243]  But when a star comes out, they know that they can't contain that, even in the alternative media or in some of the B-tier and C-tier tabloids.
[00:28:40.243 --> 00:28:52.592]  So they go ahead and try to use that as kind of a cultural zeitgeist to demonize it, because they know there's a subconscious envy and general hatred in the public, a love-hate relationship of anyone who's celebrity.
[00:28:53.112 --> 00:28:53.733]  No, I don't think so.
[00:29:15.109 --> 00:29:19.531]  And then of course the big corporate chiefs, a lot of them may have an editor under them who's CIA.
[00:29:19.531 --> 00:29:30.857]  They're not CIA, they're members of the CFR, where they all just get on the same... because they have so many intersecting agendas in their empires that they have to get together and basically try to steer everything.
[00:29:30.857 --> 00:29:33.279]  I mean, that's kind of a nutshell.
[00:29:33.279 --> 00:29:33.899]  Give me your take.
[00:29:34.739 --> 00:29:47.294]  You know, to be honest, the reason why I asked you, Alex, is because I really am having a hard time understanding, and it's hard for me to conceive how, you know, without the inside knowledge that you have, as I said, of the way that the inner workings of the media
[00:29:48.594 --> 00:29:48.895]  Thank you.
[00:30:12.484 --> 00:30:15.905]  The American free press needs to be absolutely ashamed of themselves.
[00:30:15.905 --> 00:30:34.669]  The fact that they can just ignore these things, or if they do address them, address them in such an obviously biased and twisted way, really just, this is, to me, this is an eye-opener, because I really, I was aware of the manufacturer of consent, borrowing a title from Noam Chomsky, I know you're not a big fan of his, and I'm starting to have serious questions about him myself now.
[00:30:35.354 --> 00:30:42.784]  Well no, I mean I read two of his books, I watched one of his videos, I read a lot of his papers.
[00:30:42.784 --> 00:30:46.108]  I mean if somebody tells me 95% truth but then gives me
[00:30:48.340 --> 00:30:50.041]  False solutions?
[00:30:50.041 --> 00:30:51.702]  You know, the UN is going to save us.
[00:30:51.702 --> 00:30:55.825]  Well, I'm sure there are good people at the UN who mean well at the mid-level and the low-level.
[00:30:55.825 --> 00:30:56.846]  It's like the Red Cross.
[00:30:56.846 --> 00:30:59.187]  I'm not against the Red Cross itself.
[00:30:59.187 --> 00:31:00.288]  There are good people in it.
[00:31:00.288 --> 00:31:10.254]  The leadership is corrupt and knowingly collected blood with AIDS and hepatitis in it and knowingly sold it for blood products, you know, and knowingly steals a lot of the money for themselves.
[00:31:11.983 --> 00:31:14.810]  Noam Chomsky puts out a lot of good info.
[00:31:14.810 --> 00:31:17.296]  It's just that when it comes to 9-11, I've got a clip of him.
[00:31:17.296 --> 00:31:18.398]  He said, so what?
[00:31:18.398 --> 00:31:19.601]  Even if it's true, so what?
[00:31:20.228 --> 00:31:21.829]  Well, what is he talking about?
[00:31:21.829 --> 00:31:22.329]  I saw that.
[00:31:22.329 --> 00:31:23.470]  That was a jaw-dropper.
[00:31:23.470 --> 00:31:28.534]  I couldn't believe he said that, because I had read a number of his books.
[00:31:28.534 --> 00:31:33.677]  I had seen his most famous documentary, Manufacturing Consent, and some others.
[00:31:33.677 --> 00:31:38.921]  And once I started doing my own 9-11 research, immediately I was like, oh, I wonder what Noam Chomsky has to say about this.
[00:31:38.921 --> 00:31:45.365]  He's probably going to have something scintillating, something penetrating to say about it, and to hear him say that it doesn't matter.
[00:31:45.365 --> 00:31:46.626]  I mean, I was like, what?
[00:31:46.626 --> 00:31:48.047]  Does he really mean that?
[00:31:48.826 --> 00:31:50.027]  Who does this guy work for?
[00:31:50.027 --> 00:31:52.870]  Whose book am I reading?
[00:31:52.870 --> 00:31:56.574]  He knows 9-11 truth threatens the entire structure.
[00:31:56.574 --> 00:32:04.162]  And you see the left, a lot of these guys that are elitist but they delude themselves so they can sleep with themselves at night so they can get rest.
[00:32:04.162 --> 00:32:05.243]  So they don't feel guilty.
[00:32:05.743 --> 00:32:18.754]  Well, yeah, there is always an elite, but we need a loving, guided, you know, kind of Plato elite that understands, and then they just argue over who's going to run the power levers, you see.
[00:32:21.149 --> 00:32:28.212]  Well, you know, I think that's one of the reasons why it's really important that we have people like you doing the work you're doing.
[00:32:28.212 --> 00:32:36.736]  Other people that you often mention on your show, Gary Franchi at Lone Lantern, Mark Dice with his resistance radio, Aaron Russo coming out and making these very important films.
[00:32:36.736 --> 00:32:47.061]  I mean, it really is important that people, as you've said a number of times, stop waiting for orders from headquarters and just join this leaderless resistance of spreading the truth.
[00:32:47.061 --> 00:32:50.142]  I mean, 9-11 is a watershed issue for so many reasons.
[00:32:50.803 --> 00:32:55.047]  Not the least of which is the larger issues towards which it points.
[00:32:55.047 --> 00:32:59.150]  And it's a perfect, you know, they really left themselves overexposed here.
[00:32:59.150 --> 00:33:01.372]  They really, really did with this particular thing.
[00:33:01.372 --> 00:33:03.414]  I think their hubris got the best of them.
[00:33:03.414 --> 00:33:07.377]  And we now, you know, it's that proverbial soft spot on the belly of the dragon.
[00:33:07.677 --> 00:33:18.104]  We have to take this opportunity to reveal this horrific truth so that we can then go forward and dismantle all these other horrific truths of which this is but the most obvious precursor.
[00:33:18.104 --> 00:33:23.428]  I totally agree, but there's also a converse or the reverse of that or I guess the mirror image of that.
[00:33:23.428 --> 00:33:26.310]  Not only use 9-11 to break up on all the other truths,
[00:33:26.850 --> 00:33:42.885]  But if you go, okay, did the government let black men die of, and the evidence shows gave them syphilis when they didn't have enough test subjects, and then allowed them to spread it to literally hundreds of thousands with the Tuskegee experiment over 45 years in Tuskegee, Alabama and surrounding states?
[00:33:42.885 --> 00:33:47.449]  Did the government radiate tens of thousands of American children in nuclear testing?
[00:33:47.449 --> 00:33:51.112]  Did they know Agent Orange would do this and they still used it?
[00:33:51.112 --> 00:33:52.854]  Did they, in Operation
[00:33:53.775 --> 00:34:00.078]  Gladio and Gulf of Tonkin and with the USS Liberty and Ajax and Iran.
[00:34:00.078 --> 00:34:03.459]  Did our government stage attacks or claim attacks happen that didn't happen?
[00:34:03.459 --> 00:34:08.241]  You see, there's so many admissions in history where this has already gone on.
[00:34:08.241 --> 00:34:10.161]  That's what I do with my film Terror Storm.
[00:34:10.161 --> 00:34:18.425]  I don't know if you've seen that film, but we start out, Daniel, showing the admitted examples.
[00:34:18.425 --> 00:34:19.385]  What did you think of Terror Storm?
[00:34:19.785 --> 00:34:21.025]  I thought it was fantastic.
[00:34:21.025 --> 00:34:34.189]  I mean, you know, and one of the reasons why it's so important is that it gives you, it shows the precedent setting either events or plans that have been made but were not actually carried out, as in the case with Operation Northwood.
[00:34:34.189 --> 00:34:43.572]  It just speaks to, you know, the types of minds that we are dealing with, the kind of things that they will either do or that they will entertain doing in order to advance an agenda.
[00:34:43.572 --> 00:34:46.312]  And it does not stop short of murdering civilians.
[00:34:46.312 --> 00:34:48.813]  It does not stop short of attacking soft targets.
[00:34:49.233 --> 00:35:03.588]  You know, as you say, firefighters carrying dead children in their arms, as in the case of the Oklahoma City bombing, is something that does get the public really, really upset and willing to do almost anything to protect what they perceive to be security.
[00:35:03.588 --> 00:35:05.010]  So you've looked at Oklahoma.
[00:35:05.010 --> 00:35:06.031]  What's your view on that?
[00:35:06.727 --> 00:35:19.935]  Um, you know, I don't want to... I actually have not done even a tenth of the research on the Oklahoma City bombing as I have done on 9-11, so I'm afraid I can't really speak with any real, you know, with a very informed opinion on that.
[00:35:19.935 --> 00:35:21.496]  But you've got questions.
[00:35:21.496 --> 00:35:23.137]  Oh, serious questions.
[00:35:23.137 --> 00:35:23.977]  Serious questions.
[00:35:23.977 --> 00:35:25.018]  I mean, starting with the...
[00:35:25.838 --> 00:35:38.082]  Following the pattern that I, uh, the path that I took with 9-11, I started in the Oklahoma City bombing, uh, my research regarding that with, um, just the physical inconsistencies, the physical evidence.
[00:35:38.082 --> 00:35:46.705]  You know, how does a truck filled with fertilizer, uh, you know, create the kind of damage that you saw there in the wreckage of the Oklahoma City bombing?
[00:35:46.705 --> 00:35:53.267]  Uh, what about, uh, I don't remember the woman, her name, but you mentioned that there was a woman who worked in the building who saw these guys dressed up in, you know, uh,
[00:35:54.028 --> 00:35:56.972]  I don't know, hazmat suits or something with sticks of grey butter?
[00:35:56.972 --> 00:35:59.434]  Yeah, Jane Graham.
[00:35:59.434 --> 00:36:05.321]  You know, again, I haven't done a lot of research into that, but it sounds just as suspicious in many of the very same ways.
[00:36:05.321 --> 00:36:09.626]  You can see the same fingerprints all over that job as we find all over the 9-11.
[00:36:09.626 --> 00:36:13.591]  Well, I mean, the point I made yesterday is really elementary, but it needs to be made again.
[00:36:14.509 --> 00:36:23.912]  I mean, a lot of us don't consciously think about the different mindset of the military leadership, and that's definitely the type of MO, the type of individuals we're talking about.
[00:36:23.912 --> 00:36:33.816]  I mean, they'll send 10-20,000 troops into a battle, into a position that's untenable or undefended, just to suck in the enemy to attack them.
[00:36:34.455 --> 00:36:36.938]  I mean, that's just a 101.
[00:36:36.938 --> 00:36:38.399]  No guilt goes into it.
[00:36:38.399 --> 00:36:40.461]  No thought goes into it.
[00:36:40.461 --> 00:36:41.783]  No remorse goes into it.
[00:36:41.783 --> 00:36:42.984]  It's a no-brainer.
[00:36:42.984 --> 00:36:44.185]  It's military tactics.
[00:36:44.185 --> 00:36:47.048]  It's what you do in big battle settings.
[00:36:47.048 --> 00:36:49.851]  And so, for that same mindset, those same individuals,
[00:36:50.331 --> 00:36:50.571]  Yeah, yeah.
[00:37:13.180 --> 00:37:17.463]  Wow, it's just such a, you know, it really is, even at this point for me, such a hard pill to swallow.
[00:37:17.463 --> 00:37:26.831]  But, you know, no matter how much my, uh, there's a certain part of me that reacts against this daunting knowledge, uh, I cannot ignore.
[00:37:26.831 --> 00:37:41.222]  Well, that's number one because your subconscious, and the same with me, I'm not saying you're afraid, but your subconscious senses the danger, and you, like, pull back from the flame, uh, that the only way to defeat this flame is to grab it and smother it, and it's gonna hurt at first, but we're gonna be consumed by it if we don't, so we've got to just grapple with it.
[00:37:41.582 --> 00:37:43.925]  And then secondarily, you wouldn't behave like that.
[00:37:43.925 --> 00:37:45.486]  That isn't in your code.
[00:37:45.486 --> 00:37:47.288]  That isn't in your heart and soul.
[00:37:47.288 --> 00:37:48.850]  And so it's just so alien.
[00:37:48.850 --> 00:37:57.499]  But I mean, it's alien to think that Ted Bundy would convince young women to get in the car with him so he could go tie them down and bite chunks out of them for five hours before he raped them and killed them.
[00:37:58.024 --> 00:37:59.225]  Exactly, exactly.
[00:37:59.225 --> 00:38:06.672]  You know, it's really hard to believe that there are people out there in the world like that, and you don't want to believe that they have their hands on the reins of power of your country.
[00:38:06.672 --> 00:38:09.955]  But that is the horrible reality to which we are waking up.
[00:38:09.955 --> 00:38:13.339]  But for them, it isn't the, you know, the enjoyment of, I guess, biting the chunks out.
[00:38:13.339 --> 00:38:15.521]  I mean, certainly some of them have that same mindset.
[00:38:15.521 --> 00:38:17.002]  It's just cold-blooded.
[00:38:17.002 --> 00:38:18.664]  You know, we always sacrifice people.
[00:38:18.664 --> 00:38:20.005]  There's too many of them anyways, you know.
[00:38:20.643 --> 00:38:22.144]  Yeah, exactly.
[00:38:22.144 --> 00:38:23.906]  According to some people.
[00:38:23.906 --> 00:38:25.006]  Well, that's their whole religion.
[00:38:25.006 --> 00:38:28.469]  I mean, when you study Prince Bernhard and Philip and all this scum.
[00:38:28.469 --> 00:38:29.570]  Let's take a quick call here.
[00:38:29.570 --> 00:38:31.051]  Let's talk to George.
[00:38:31.051 --> 00:38:33.833]  George, where are you calling us from today?
[00:38:33.833 --> 00:38:34.854]  From Indiana.
[00:38:34.854 --> 00:38:35.174]  Welcome.
[00:38:35.174 --> 00:38:37.076]  You're on the air with our guest.
[00:38:37.076 --> 00:38:38.036]  Go ahead.
[00:38:38.036 --> 00:38:39.658]  Thank you, Alex.
[00:38:39.658 --> 00:38:44.581]  Three things on 9-11 I was wondering, or two things on 9-11 and then a comment.
[00:38:44.581 --> 00:38:47.243]  Did they ever have any more information on the stolen 9-11 steal?
[00:38:50.624 --> 00:39:02.213]  Well, I mean, they cut it all up, put GPS trackers on it, wouldn't let the people stop to even have lunch when they took it to the ships, and most of it was taken to China, some to South Korea.
[00:39:02.213 --> 00:39:11.901]  But now they found some in warehouses the government kept for some reason, and we've been able to get samples from those, and that shows that the explosive compounds in there are thermate.
[00:39:11.901 --> 00:39:13.523]  Do you want to comment on that, Daniel?
[00:39:14.311 --> 00:39:16.654]  I don't know much about it.
[00:39:16.654 --> 00:39:18.195]  Actually, it's new information to me.
[00:39:18.195 --> 00:39:22.660]  The fact that they've actually found samples that were kept certainly fits the MO of criminals.
[00:39:22.660 --> 00:39:23.901]  You know, they just can't help themselves.
[00:39:23.901 --> 00:39:26.885]  They have to keep some trinket of their, you know... Trophy.
[00:39:26.885 --> 00:39:29.487]  Yeah, some kind of trophy from the murder.
[00:39:31.437 --> 00:39:39.786]  Yeah, you know, Alex, have those samples that have been found actually, have we been, for example, has Professor Stephen Jones been given access to those samples?
[00:39:39.786 --> 00:39:41.388]  Well, let me be clear.
[00:39:41.388 --> 00:39:42.709]  Yeah, there were several sites.
[00:39:42.709 --> 00:39:44.511]  There's over 20 of them in the country.
[00:39:44.511 --> 00:39:46.493]  One, I'll just tell you, is in Michigan.
[00:39:46.493 --> 00:39:48.035]  Another's in New Jersey.
[00:39:48.035 --> 00:39:48.956]  Another's in New York.
[00:39:48.956 --> 00:39:50.898]  He's gotten lots of other samples, and some of them
[00:39:51.258 --> 00:39:51.759]  Sure, sure, sure.
[00:40:11.804 --> 00:40:28.955]  I know doing an autopsy now might be difficult to see if there was thermite or thermate left in a body, but they could resume a dog and do an autopsy on that dog and see if there's thermite in the lung of that dog that had to breathe it.
[00:40:28.955 --> 00:40:30.696]  I'm in court order for that.
[00:40:30.856 --> 00:40:36.018]  There were femur bones blown 100, 200 yards plus.
[00:40:36.018 --> 00:40:37.378]  They found thousands of body parts.
[00:40:37.378 --> 00:40:39.439]  They just found more last week, the week before that.
[00:40:39.439 --> 00:40:42.080]  I mean, bones were being blasted out of bodies.
[00:40:42.080 --> 00:40:43.861]  These explosions were so big.
[00:40:43.861 --> 00:40:47.522]  Again, if a building collapses, number one, it wouldn't fly out hundreds of yards.
[00:40:47.522 --> 00:40:51.364]  Number two, it wouldn't all be burned to a crisp.
[00:40:51.364 --> 00:40:54.185]  And so all there was was little bitty body parts, a few pieces that got
[00:40:55.689 --> 00:40:59.731]  Excuse me, even talking about this for family members that listen, you know, blown across the street.
[00:40:59.731 --> 00:41:00.972]  I mean, it's just like Oklahoma City.
[00:41:00.972 --> 00:41:10.917]  You got a truck bomb that supposedly blows into the building, but the building blows out and blows chunks of it the opposite direction of the truck bomb's main blast on top of buildings across the street.
[00:41:10.917 --> 00:41:15.599]  I mean, it's just, it's just, it's so sloppy how they do this, but again, they count on us
[00:41:16.545 --> 00:41:17.806]  Just buying into all of it.
[00:41:17.806 --> 00:41:18.587]  Thanks for the call.
[00:41:18.587 --> 00:41:22.489]  Rory, you're up next, and we can keep our guests another five minutes into the next segment.
[00:41:22.489 --> 00:41:24.311]  We'll take a few more calls, then let him go.
[00:41:24.311 --> 00:41:26.572]  I've got to get him up again in the near future.
[00:41:26.572 --> 00:41:31.436]  I know he is a very busy individual, and Daniel Sanjata is his name.
[00:41:31.436 --> 00:41:37.060]  You can check out his TV program right there on the FX Channel on cable.
[00:41:37.060 --> 00:41:38.501]  It's called Rescue Me.
[00:41:38.501 --> 00:41:39.442]  We'll be right back.
[00:41:46.892 --> 00:41:52.719]  It's here, after a year in production and traveling to distant lands, my new film Terror Storm is complete.
[00:41:52.719 --> 00:42:00.347]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[00:42:01.047 --> 00:42:08.490]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[00:42:08.490 --> 00:42:20.234]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[00:42:20.234 --> 00:42:24.196]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[00:42:24.196 --> 00:42:26.456]  It's an anthology of government crimes.
[00:42:26.456 --> 00:42:30.298]  Terror Storm is a film that everyone who wants to be truly informed must see.
[00:42:30.898 --> 00:42:37.883]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[00:42:43.698 --> 00:42:44.619]  Terrorism.
[00:42:44.619 --> 00:42:45.460]  Terrorism.
[00:42:45.460 --> 00:42:51.785]  Chemical attacks, dirty bombs, fallout, biological attack, anthrax, and to top it all off, duct tape and plastic.
[00:42:51.785 --> 00:42:53.626]  Alarming words for our time.
[00:42:53.626 --> 00:42:56.488]  But how do you protect your family during such a crisis?
[00:42:56.488 --> 00:43:11.100]  The video sheltering in place surviving acts of terrorism from biological, chemical, and radioactive fallout was developed by Wayne LeBaron, a health physicist who has served as a specialist in environmental health, communicable diseases, and has worked as a nuclear specialist for the U.S.
[00:43:11.100 --> 00:43:11.601]  government.
[00:43:11.601 --> 00:43:13.322]  Anyone can follow the simple instructions.
[00:43:13.542 --> 00:43:19.806]  Yes, it's presented by a housewife as they walk you step-by-step through the process of preparing your home as a shelter.
[00:43:19.806 --> 00:43:24.550]  If you're not the type who waits till it's too late, then you need the video Sheltering in Place.
[00:43:24.550 --> 00:43:30.053]  Get the critical information you need now for only $29 plus shipping by calling New Millennium at 888-803-4438.
[00:43:30.053 --> 00:43:31.334]  And tell them Alex Jones sent you.
[00:43:31.334 --> 00:43:31.935]  That's 888-803-4438.
[00:43:31.935 --> 00:43:33.616]  Or order on the web at murkywater.com.
[00:43:43.334 --> 00:43:45.276]  Hello friends, Alex Jones here.
[00:43:45.276 --> 00:43:49.299]  I want you to imagine waking up one morning to find out you've been burglarized.
[00:43:49.299 --> 00:43:52.021]  An intruder has taken your personal possessions.
[00:43:52.021 --> 00:43:58.386]  Credit card numbers, social security cards, banking information, and more, all in the hands of a total stranger.
[00:43:58.386 --> 00:44:03.290]  What's worse is, you realize he got it through your front door because you left it unlocked.
[00:44:03.490 --> 00:44:12.833]  Every time you walk away from your computer, leaving your internet connection on, you are virtually inviting hackers, criminals, and Big Brother to access your personal information.
[00:44:12.833 --> 00:44:19.095]  Put a stop to this right now with the Net7 Network Security Switch from Net7 Technologies.
[00:44:19.095 --> 00:44:22.136]  Turn your internet on and off with one simple switch.
[00:44:22.276 --> 00:44:25.717]  There's no software to load, and it's so easy to install.
[00:44:25.717 --> 00:44:32.219]  Right now, you can order your NET7 security switch from NET7 Technologies for only $39.95.
[00:44:32.219 --> 00:44:35.139]  For a limited time, receive free shipping with your order.
[00:44:35.139 --> 00:44:37.260]  Visit net7tech.com.
[00:44:37.260 --> 00:44:44.242]  That's NET, the number 7, tech.com, and start protecting yourself today.
[00:44:44.242 --> 00:44:49.823]  He's the T-Rex of political talk, Alex Jones, on the GCN Radio Network.
[00:45:05.883 --> 00:45:11.167]  Well, hopefully, next time I'm up in New York, I'll get a chance to meet Daniel Sanjata in person.
[00:45:11.167 --> 00:45:15.590]  Just, you can tell what a personable and intelligent fella he is.
[00:45:15.590 --> 00:45:18.171]  And why he's got all the girls swooning over him.
[00:45:18.171 --> 00:45:21.093]  One of the People Magazine, one of the best-looking people in America.
[00:45:21.093 --> 00:45:22.434]  I just thought I'd throw that out there.
[00:45:22.434 --> 00:45:25.216]  Talk about total pop, ladies and gentlemen.
[00:45:25.216 --> 00:45:30.059]  But you can... Daniel, before we take a few final calls, how do folks tune into your television show?
[00:45:30.752 --> 00:45:36.596]  Our show, again, I just want to say, and I know you know this, Alex, I didn't really come on the show to necessarily plug Rescue Me.
[00:45:36.596 --> 00:45:37.777]  Well, why not?
[00:45:37.777 --> 00:45:50.306]  Well, I mean, it's... The show, when we come back on the air, I believe it's Tuesday nights at 9 or 10, and sometimes, you know, listings change, so I would, I guess, tell your viewers to, I guess, check their local listings or what have you.
[00:45:50.874 --> 00:46:08.284]  But, you know, I think that it has, in terms of most of what's on television, I think that there's an inherent social relevance to Rescue Me's premise, and I would love to see them address this directly, although, you know, as FX is a subsidiary of Fox, I don't know if that will happen necessarily.
[00:46:08.284 --> 00:46:11.466]  And you're Rocco on the show, for those who don't know.
[00:46:11.466 --> 00:46:12.546]  Yeah, Franco, Franco.
[00:46:12.546 --> 00:46:13.987]  Franco, I was going for memory.
[00:46:13.987 --> 00:46:14.687]  It's okay.
[00:46:14.687 --> 00:46:17.329]  Yeah, I don't watch a lot of TV myself.
[00:46:17.884 --> 00:46:20.185]  But yeah, that's when our show comes on.
[00:46:20.185 --> 00:46:28.010]  And, you know, I just hope that the fact that we're representing these guys on television will lend some, maybe draw somebody's attention.
[00:46:28.010 --> 00:46:41.959]  And if they hear me say something about 9-11 being an inside job, I really hope they'll do their own research, that they'll go to InfoWars.com, that they'll pick up a copy of Terror Storm, or 9-11 Mysteries, or any of the great documentaries that have been made exposing the inside job that 9-11 obviously was.
[00:46:43.461 --> 00:46:45.825]  Well, fantastic, and I totally agree with you.
[00:46:45.825 --> 00:46:46.747]  One last question.
[00:46:46.747 --> 00:46:48.189]  I should ask this before.
[00:46:48.189 --> 00:46:49.251]  When did you wake up to 9-11?
[00:46:50.461 --> 00:46:51.861]  You know, it didn't happen immediately.
[00:46:51.861 --> 00:47:02.304]  You know, my best friend, Joey, he actually, on the day, was like, that looked like an inside... He didn't say it looked like an inside job, but he said, these buildings look like those things were brought down by controlled demolition.
[00:47:02.304 --> 00:47:04.465]  He said it from the very beginning, and I was like, no.
[00:47:04.465 --> 00:47:13.307]  I mean, I kind of thought that it was just... I had known... I knew at that point about America's horrific history in terms of our foreign military and economic policy, and I kind of looked at it
[00:47:13.867 --> 00:47:16.731]  Uh, as chickens coming home to roost in a certain sense.
[00:47:16.731 --> 00:47:19.794]  Uh, even the targets made sense from that perspective.
[00:47:19.794 --> 00:47:24.320]  But over time, you know, I would hear a little bit of this, I'd hear a little bit of that.
[00:47:24.320 --> 00:47:27.844]  And I started, you know, the concern started welling up within me.
[00:47:27.844 --> 00:47:32.389]  And I don't remember the exact moment, but it was something about Charlie Sheen having come out publicly.
[00:47:34.211 --> 00:47:38.814]  And then, you know, it's kind of a confluence of circumstances and coincidences.
[00:47:38.814 --> 00:47:43.777]  I also remember you appearing in one of my favorite films by Richard Linklater, Waking Life.
[00:47:43.777 --> 00:47:52.203]  I didn't even know who you were when I saw the film, but in hindsight, when I was putting all these pieces together, I was like, oh, that was Alex Jones.
[00:47:52.203 --> 00:47:56.686]  And then I, you know, listened to the radio that you conducted with Charlie, and it kind of took off from there for me.
[00:47:56.686 --> 00:47:58.127]  I started then doing my own research.
[00:48:01.163 --> 00:48:21.284]  Well, what you're telling us dovetails, fits perfectly with the paradigm I've seen, and it was the time Charlie came along, it was what, 9-11 Truth had already grown to, and people really resonated with his courage because of his baggage and other things, knowing that he had a lot to lose doing this, and it really did trigger a chain reaction
[00:48:21.940 --> 00:48:23.421]  And then it was his idea to have the conference.
[00:48:23.421 --> 00:48:24.981]  That got put on C-SPAN four times.
[00:48:24.981 --> 00:48:27.282]  Built up a big audience by the fourth showing.
[00:48:27.282 --> 00:48:29.223]  All the other things that happened.
[00:48:29.223 --> 00:48:34.485]  And that's now caused Rosie and Ebersole and so many others to go public.
[00:48:34.485 --> 00:48:35.625]  And me.
[00:48:35.625 --> 00:48:37.946]  And Brolin and yourself.
[00:48:37.946 --> 00:48:42.548]  And then now all these pilots and all these CIA people and all these other folks.
[00:48:42.548 --> 00:48:45.369]  There is a mass exodus out of the lie into the truth.
[00:48:45.829 --> 00:48:51.573]  And again, sir, I think you're actually early on in the avalanche that we're going to be seeing.
[00:48:51.573 --> 00:48:56.556]  It looks like an avalanche now, but I assure you, if things continue, it's going to be even bigger.
[00:48:56.556 --> 00:49:01.779]  So, Daniel, I really want to thank you for coming on with us, and I look forward to talking to you again in the near future.
[00:49:01.779 --> 00:49:02.240]  Absolutely.
[00:49:02.240 --> 00:49:04.801]  Thank you for having me, Alex, and God bless you for all the work you're doing.
[00:49:04.801 --> 00:49:05.422]  Be well.
[00:49:05.422 --> 00:49:06.062]  God bless you.
[00:49:06.062 --> 00:49:11.405]  I'm going to put you on hold here and give you a phone number here in a second for William Rodriguez, because he would like to talk to you.
[00:49:11.405 --> 00:49:12.166]  Again, thank you, Daniel.
[00:49:13.203 --> 00:49:15.447]  Daniel Sanjato spent an hour with us.
[00:49:15.447 --> 00:49:16.369]  We appreciate it.
[00:49:16.369 --> 00:49:18.172]  All right, I promise I'll get your calls out of the way.
[00:49:18.172 --> 00:49:19.153]  Been holding a while.
[00:49:19.153 --> 00:49:21.337]  We start the next hour, then I'll cover tons of news.
[00:49:21.337 --> 00:49:21.737]  Stay with me.
