[00:00:00.169 --> 00:00:02.090]  ...until 45 after.
[00:29:57.079 --> 00:29:58.981]  And, Jim, can you describe why that is?
[00:29:58.981 --> 00:30:04.025]  A lot of times you say they won't help you at first, but then they see how rude and mean the Bilderbergs are.
[00:30:04.025 --> 00:30:04.946]  They do.
[00:30:04.946 --> 00:30:09.410]  In fact, how many witnesses have told you that they're not allowed to look the Bilderberg members in the eyes?
[00:30:10.878 --> 00:30:12.198]  Several times.
[00:30:12.198 --> 00:30:14.779]  I'm sure they have the same drill now.
[00:30:14.779 --> 00:30:19.601]  Stafford Hotel just told you, never look the Bilderberg guy in the eye.
[00:30:19.601 --> 00:30:22.381]  You do not speak to him unless he speaks to you.
[00:30:22.381 --> 00:30:26.843]  If Rockefeller says, good morning, you're able to say, good morning, Mr. Rockefeller.
[00:30:26.843 --> 00:30:29.023]  Otherwise, keep your mouth shut.
[00:30:29.023 --> 00:30:35.725]  All those petty little instructions.
[00:30:35.725 --> 00:30:38.746]  As far as these sources coming forward, they have for a lot of years since
[00:30:40.043 --> 00:31:02.482]  I was in Montreal, Alaska, about 15 or 20 years ago, and the first evening I was staying at a, I went to a little shabby restaurant bar across the gravel road from the Billeberg, a huge resort, where I found, I learned that, in all advance, the hotel staff would be meeting.
[00:31:05.191 --> 00:31:05.791]  We're good to go.
[00:31:34.116 --> 00:31:45.706]  The next evening he came in speaking fluent English, and he said, they're trying to expeditive deleted my country and yours too, we'll help you all we can.
[00:31:45.706 --> 00:31:54.494]  They came in loaded with documents that they put in their pockets and started throwing in trashcans, or the girls put them in their purses of the trashcan.
[00:31:54.494 --> 00:32:01.059]  They became our eyes and ears, eavesdropping as they served the meals and so forth, and
[00:32:02.947 --> 00:32:04.168]  A ton of information.
[00:32:04.168 --> 00:32:16.394]  Well, this is why good is always going to win, because the people see them openly saying, we're going to bring down Europe, we're going to unify the Americas, we're going to take people's liberties, we're going to seize the infrastructure.
[00:32:16.394 --> 00:32:20.936]  And we know, now from the SPP and other documents, that's what they're doing.
[00:32:20.936 --> 00:32:26.199]  And so people that wouldn't help you always are ready, because they see this great evil.
[00:32:26.199 --> 00:32:29.480]  Jim, I've just got one or two questions for you, and I'm going to let you go, but you were trying to make a point.
[00:32:29.480 --> 00:32:29.841]  Go ahead.
[00:32:29.841 --> 00:32:32.642]  No, I'm just waiting for your question.
[00:32:33.374 --> 00:32:42.019]  Jim, I know you want to be careful here because you said back on Monday that you thought it was going to be the classic hotel, but you said that could have been disinfo.
[00:32:42.019 --> 00:32:51.264]  Now you say it looks like it's disinfo because it's in the local paper, but you're seeing the classic Bilderberg police and military and black sedans going in and out.
[00:32:51.984 --> 00:32:54.645]  I mean, it's kicking off.
[00:32:54.645 --> 00:32:57.665]  You know, you've got sources all over the city.
[00:32:57.665 --> 00:32:59.845]  If it is another location, you're surely going to find it.
[00:32:59.845 --> 00:33:05.506]  But would you say you're 95, 98% sure now that it is the Ritz Hotel?
[00:33:05.506 --> 00:33:09.387]  I'd say a good 95%.
[00:33:09.387 --> 00:33:13.848]  Where is that located in Istanbul, geographically?
[00:33:13.848 --> 00:33:18.209]  Let's say the middle of the city is the center of the face of a clock.
[00:33:18.209 --> 00:33:19.709]  Where are you on the face of the clock?
[00:33:20.600 --> 00:33:47.307]  I think it's mostly, well my mental map of this city is not very good, but I think it's on the edge of the city, it's on a hill, all by itself, high on a hill, very tall building, high on a hill, and they can put, as they have, put cops all around that hill to keep anybody from jumping over a fence to the rear and coming up from behind, and of course to the main entrances and so forth.
[00:33:50.060 --> 00:33:52.263]  I would put it on the edge of the city, I think.
[00:33:52.263 --> 00:33:58.753]  I'm not even sure about the way these cab drivers turkey around the city getting to a place.
[00:33:58.753 --> 00:34:02.258]  It can be totally geographically disoriented.
[00:34:02.258 --> 00:34:05.824]  But it is a snob hill, which fits their pattern.
[00:34:06.830 --> 00:34:08.011]  Absolutely.
[00:34:08.011 --> 00:34:21.017]  Jim, in closing, I want to thank you for reporting for us here at the GCN Radio Network, and I also want to thank the film crew for their fine work, and I'm glad all's
[00:34:22.057 --> 00:34:22.778]  Fair and loving, Warren.
[00:34:22.778 --> 00:34:26.262]  I'm glad that we worked everything out here in the final equation.
[00:34:26.262 --> 00:34:27.683]  We're able to get you on.
[00:34:27.683 --> 00:34:30.747]  I want to welcome them if you want to do it again tomorrow.
[00:34:30.747 --> 00:34:34.010]  I know you've agreed off-air to do another interview at the start of the show tomorrow.
[00:34:34.010 --> 00:34:37.314]  7 o'clock Istanbul PM your time, Jim.
[00:34:37.314 --> 00:34:41.779]  I would like to have you again on the show for just about 10-15 minutes to give us a report.
[00:34:42.780 --> 00:34:43.422]  Yes, we are.
[00:34:55.265 --> 00:34:59.207]  You know, their own stories to tell, so we can pool everything here together.
[00:34:59.207 --> 00:35:05.990]  And I would love, you know, after you're done being on with this 10-15 minutes at the start tomorrow, to hand the phone over to them.
[00:35:05.990 --> 00:35:12.513]  And again, it's AmericanFreePress.net is the revered paper that you write for.
[00:35:12.513 --> 00:35:24.038]  And my last question is, sir, and then we'll let you get back to your evening of collating information and pooling with other reporters, when will we see some reports in American Free Press about what you've gleaned there?
[00:35:25.206 --> 00:35:26.388]  In the very next edition.
[00:35:26.388 --> 00:35:32.216]  The complete story and the list will be in the very next edition.
[00:35:32.216 --> 00:35:37.523]  But I also know a lot of times you do some filings that are put out on the web as well.
[00:35:37.523 --> 00:35:40.287]  Well, they take my stuff and put it on the web.
[00:35:40.287 --> 00:35:41.569]  I'm not very high tech.
[00:35:42.907 --> 00:35:54.072]  Well, I just want to tell American Free Press, we're going to write an article today about what you're doing, and they're welcome to use the PrisonPlanet.com article with your interview.
[00:35:54.072 --> 00:36:03.196]  We may even do a transcript of some of the key areas, so just tell American Free Press, anything they want off PrisonPlanet.com concerning Bilderberg is theirs.
[00:36:03.196 --> 00:36:04.337]  Oh, that's Prison Planet.
[00:36:05.484 --> 00:36:07.245]  Yes, PrisonPlanet.com.
[00:36:07.245 --> 00:36:07.966]  I'll contact him.
[00:36:07.966 --> 00:36:11.027]  It's just some of my writers are going to do a story about this interview.
[00:36:11.027 --> 00:36:11.668]  I'm just letting you know.
[00:36:11.668 --> 00:36:12.729]  You're welcome to use that.
[00:36:12.729 --> 00:36:13.569]  Jim, let me talk to you.
[00:36:13.569 --> 00:36:15.730]  Jim, I'm going to let you go.
[00:36:15.730 --> 00:36:18.932]  We've got a break, but Jim will be back with us tomorrow.
[00:36:18.932 --> 00:36:19.593]  Stay right there, Jim.
[00:36:19.593 --> 00:36:21.194]  I know you've got a question for me.
[00:36:21.194 --> 00:36:22.655]  We'll talk during this break.
[00:36:22.655 --> 00:36:24.396]  We'll be right back, ladies and gentlemen.
[00:36:24.396 --> 00:36:26.777]  That was Jim Tucker from Istanbul.
[00:36:26.777 --> 00:36:27.618]  I'm Alex Jones.
