[00:00:00.289 --> 00:00:01.570]  GCN Radio Network.
[00:45:10.958 --> 00:45:11.719]  And they've done this.
[00:45:11.759 --> 00:45:12.439]  They announced it.
[00:45:12.499 --> 00:45:13.680]  They were going to do it five years ago.
[00:45:14.220 --> 00:45:14.840]  And they did it.
[00:45:16.116 --> 00:45:39.330]  And they've done it to us now, and when they finally announce how bad it is, it's going to be all over TV, and I'll be at the local restaurant, or I'll be walking down the street, or I'll be at the bank, and I'll have to hear know-it-alls in their prep outfits repeating what they heard on Hardball, or repeating what Kramer said, or repeating what O'Reilly said about why it happened, and boy, I hope they send those fund managers to jail.
[00:45:39.390 --> 00:45:40.371]  They caused it all.
[00:45:45.956 --> 00:45:49.497]  It's a mixture of feeling sorry for him and also wanting to slap him upside the head.
[00:45:50.538 --> 00:45:52.258]  Because this stuff wasn't hard to figure out.
[00:45:56.380 --> 00:45:57.500]  Alright, I'm done talking about it.
[00:45:57.560 --> 00:46:00.761]  I've got a world stock slide on fresh U.S.
[00:46:00.781 --> 00:46:01.682]  credit concerns.
[00:46:03.302 --> 00:46:04.503]  This is out of AP.
[00:46:06.574 --> 00:46:14.578]  Global equities turned sharply lower Thursday, led by heavy falls to leading European stock markets as worries resurfaced about a weak U.S.
[00:46:14.598 --> 00:46:16.159]  subprime mortgage sector.
[00:46:16.179 --> 00:46:19.421]  It's not that, it's now jumbo loans and standard loans.
[00:46:20.482 --> 00:46:21.482]  That's over $400,000 loan.
[00:46:24.564 --> 00:46:29.887]  Nearing the halfway stage, London's FTSE 100 index of leading blue chip shares slid 1.6%.
[00:46:33.251 --> 00:46:35.872]  Frankfurt's DAX 30 shed 1.46.
[00:46:36.072 --> 00:46:44.676]  The BNP died 3.17.
[00:46:45.357 --> 00:46:45.917]  82.74 in Paris.
[00:46:48.898 --> 00:46:53.921]  Bank of England Governor Marvin King said the credit problems being experienced in the U.S.
[00:46:53.941 --> 00:46:55.982]  did not amount to an international crisis.
[00:46:59.644 --> 00:47:00.784]  Yeah, just a crisis here.
[00:47:01.685 --> 00:47:02.205]  But then, uh,
[00:47:03.823 --> 00:47:08.205]  The biggest bank in France clamped down today.
[00:47:11.366 --> 00:47:14.287]  Later I'm going to get into modern living to blame for cancer epidemic.
[00:47:14.347 --> 00:47:15.247]  That's the headline.
[00:47:15.327 --> 00:47:19.349]  Homeowner arrested after the burglar he confronted fell out a window.
[00:47:20.329 --> 00:47:21.410]  We're going to go over that right now.
[00:47:21.430 --> 00:47:22.970]  Let's just get to your calls as promised here.
[00:47:22.990 --> 00:47:25.151]  Oh my gosh.
[00:47:25.891 --> 00:47:28.092]  Get all my call lists screwed up here as usual.
[00:47:29.233 --> 00:47:30.113]  Who's up first here?
[00:47:31.534 --> 00:47:33.836]  Will in Texas, you're on the air, go ahead.
[00:47:34.756 --> 00:47:37.578]  Hi Alex, first time caller, been with you since 1999.
[00:47:38.699 --> 00:47:43.202]  Ever since I first, you know, saw America destroyed by design.
[00:47:44.662 --> 00:47:48.905]  I wanted to share with you and the listeners a story that just happened to me yesterday.
[00:47:50.506 --> 00:47:58.031]  Generally as a rule, I sit here, I have two different websites that I've been working on and... Okay, what happened to you?
[00:47:58.908 --> 00:48:06.591]  Well, I went to go try and get a job as more or less an exercise in exerting my constitutional rights.
[00:48:07.471 --> 00:48:08.891]  And I ran smack dab.
[00:48:08.971 --> 00:48:19.835]  I mean, I want people to understand how easy it is to run into one of these new world order groupies that are implanted in our society all around us.
[00:48:20.295 --> 00:48:22.316]  It's not just the people in Washington.
[00:48:22.436 --> 00:48:26.097]  It's not just, you know, Bush and company.
[00:48:27.179 --> 00:48:29.442]  You can run into these people anywhere you go.
[00:48:29.703 --> 00:48:30.344]  Are you kidding?
[00:48:30.845 --> 00:48:33.850]  The biggest graduate program they've got at A&M now.
[00:48:35.250 --> 00:48:39.993]  is for running spying databases on US citizens.
[00:48:40.053 --> 00:48:44.215]  I mean, type in Patriot Act compliance, and there are thousands of businesses.
[00:48:44.315 --> 00:48:46.115]  Everyone's having to comply.
[00:48:46.135 --> 00:48:47.336]  They're all reporting on you.
[00:48:47.356 --> 00:48:48.577]  Talk about no Fourth Amendment.
[00:48:48.797 --> 00:48:50.818]  Talk about Bush spying domestically.
[00:48:51.698 --> 00:48:54.940]  From your prescriptions to your banking, it all goes directly to the government.
[00:48:55.280 --> 00:48:55.900]  Exactly.
[00:48:55.920 --> 00:48:58.421]  So what happens?
[00:48:58.681 --> 00:49:01.443]  An illegal alien doesn't have to have an ID, but you had to.
[00:49:01.483 --> 00:49:01.803]  What happens?
[00:49:02.799 --> 00:49:05.500]  Well, um, that's exactly the point.
[00:49:06.141 --> 00:49:14.785]  Um, I'm working on my first documentary project myself and, um, it's going to be called How to Use Your Constitutional Rights to Create a Mexican.
[00:49:16.005 --> 00:49:21.288]  And, um, this story that I'm about to tell you is going to be up on my website, uh, by the end of the day today.
[00:49:21.368 --> 00:49:23.149]  Okay, just go ahead and plug it.
[00:49:23.189 --> 00:49:25.069]  Just go ahead and plug it.
[00:49:25.189 --> 00:49:30.432]  Alright, uh, well, basically what happened was is I went to a, uh,
[00:49:31.353 --> 00:49:34.314]  I don't want to name the exact automobile dealership.
[00:49:34.334 --> 00:49:35.755]  We're almost out of time, brother.
[00:49:35.775 --> 00:49:37.075]  I just want you to get your story out.
[00:49:37.475 --> 00:49:37.735]  Right.
[00:49:38.275 --> 00:49:53.620]  Well, I ran smack dab into this manager and what I decided I was going to do in any job that I apply for here was that I was not going to use any kind of social slavery number in obtaining this job.
[00:49:54.701 --> 00:49:58.602]  And I decided that I was going to give a complete resume.
[00:49:59.244 --> 00:50:00.424]  Well, I didn't see any while I was there.
[00:50:00.505 --> 00:50:04.646]  It was a well-to-do kind of automobile dealership that's just about a block from my house.
[00:50:22.449 --> 00:50:24.510]  When I went in, I put in my application.
[00:50:24.570 --> 00:50:25.610]  I filled it out completely.
[00:50:25.630 --> 00:50:31.453]  I didn't put down any social security number or anything or any kind of driver's license.
[00:50:31.473 --> 00:50:32.173]  And what did he do?
[00:50:32.193 --> 00:50:33.213]  What happened?
[00:50:33.233 --> 00:50:36.575]  First thing he says in the interview is, well, we have something in common.
[00:50:36.615 --> 00:50:37.535]  We were in the army.
[00:50:38.235 --> 00:50:40.376]  And we started reminiscing a little bit about Fort Hood.
[00:50:40.416 --> 00:50:46.619]  And then this guy goes off into going off with the CIA to South Africa to kill little babies back in the early 80s.
[00:50:48.630 --> 00:50:55.576]  Well, look, I'm going to be able to give you 60 seconds on the other side to finish your story and plug the website if you want, because I've got to move on to a bunch of other callers as interesting as this is, Will.
[00:50:56.156 --> 00:50:56.737]  We'll be right back.
[00:51:05.209 --> 00:51:08.330]  It's here, after a year in production and traveling to distant lands.
[00:51:08.730 --> 00:51:10.651]  My new film, Terror Storm, is complete.
[00:51:11.051 --> 00:51:18.713]  Shocking declassified government documents prove that Western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[00:51:19.373 --> 00:51:26.435]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[00:51:26.835 --> 00:51:29.776]  Terror Storm chronicles the lies that took us to war in Iran.
[00:51:30.156 --> 00:51:32.477]  A White House program to disseminate fake news.
[00:51:32.897 --> 00:51:33.717]  NSA spying.
[00:51:34.204 --> 00:51:38.227]  Secret police torture, the latest 9-11 information, and much, much more.
[00:51:38.547 --> 00:51:42.070]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[00:51:42.530 --> 00:51:44.231]  It's an anthology of government crimes.
[00:51:44.791 --> 00:51:48.734]  Terror Storm is a film that everyone who wants to be truly informed must see.
[00:51:49.235 --> 00:51:56.240]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll-free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv.
[00:52:01.977 --> 00:52:04.839]  Are terrorist cells or prime terror targets located near you?
[00:52:05.199 --> 00:52:08.101]  Where are military bases and hazardous waste sites located?
[00:52:08.301 --> 00:52:14.505]  How do you find the best area for solar, average rainfall, fish contamination advisories, and major transportation routes?
[00:52:14.885 --> 00:52:22.210]  In the new interactive CD book, Prudent Places USA, you will find the information you want with over 50 interactive parameters that you control.
[00:52:22.390 --> 00:52:26.453]  Find everything from housing prices and taxes to brewing environmental catastrophes.
[00:52:26.733 --> 00:52:32.276]  Locate billion-dollar disaster-prone areas, the safest cities, ideal solar locations, and much, much more.
[00:52:32.476 --> 00:52:45.602]  Complete with over 3 gigabytes of detailed information on each of the 3,000-plus counties in the U.S., including 550 high-resolution, full-color maps and full-color photographs, as well as detailed information and analysis that you need.
[00:52:45.782 --> 00:52:49.604]  Get this hard-to-find information by ordering Food and Places U.S.A.
[00:52:49.804 --> 00:52:54.406]  now for only $29, plus shipping and handling, by calling New Millennium at 888-
[00:52:55.746 --> 00:52:59.847]  803-4438 or order on the web at Berkeywater.com.
[00:53:01.287 --> 00:53:06.788]  Why continue suffering from pain, illness and disease when natural health and wellness therapies are within your reach?
[00:53:07.209 --> 00:53:11.449]  Hundreds of people report improved health and wellness using Rife Frequency Technology.
[00:53:11.870 --> 00:53:18.731]  In the 1920s, research scientist Royal Raymond Rife discovered that disease organisms can be destroyed using resonant frequencies.
[00:53:19.171 --> 00:53:25.878]  The BioSolutions Frequency Instrument uses the same technology for relief or elimination of pain and disease conditions.
[00:53:26.198 --> 00:53:27.820]  There are no reported side effects.
[00:53:28.100 --> 00:53:31.304]  Join others in discovering a return to natural health and wellness.
[00:53:31.564 --> 00:53:34.027]  Don't just treat symptoms, eliminate the cause.
[00:53:34.327 --> 00:53:41.074]  BioSolutions has over 550 pre-programmed auto-sequences for various health conditions and is very easy to use.
[00:53:41.494 --> 00:53:44.175]  Customer satisfaction is guaranteed or your money back.
[00:53:44.435 --> 00:53:47.817]  For more information, call BioSolutions toll free at 866-885-6625.
[00:53:47.857 --> 00:53:48.217]  That's 866-885-6625.
[00:53:48.237 --> 00:53:50.038]  Once again, that's 866-885-6625 for BioSolutions.
[00:54:09.917 --> 00:54:13.539]  I tell ya, I'm playing almost exclusively hillbilly music.
[00:54:13.759 --> 00:54:17.880]  In 1814 we took a little trip along the Colonel's Jackson down to mighty Mississippi.
[00:54:17.900 --> 00:54:22.922]  We took a little bacon and we took a little beans and we caught the bloody British in a town in New Orleans.
[00:54:23.322 --> 00:54:25.823]  We fired our guns and the British kept a coming.
[00:54:26.043 --> 00:54:28.464]  There wasn't by as many as there was a while ago.
[00:54:28.744 --> 00:54:31.185]  We fired once more and they forget to run it.
[00:54:31.465 --> 00:54:33.866]  Oh, down the Mississippi to the Gulf of Mexico.
[00:54:33.966 --> 00:54:39.348]  We looked down a river and we see the British come.
[00:54:39.468 --> 00:54:42.069]  And there must have been a hundred of them beating on the drum.
[00:54:42.109 --> 00:54:44.790]  They stepped so high and they made their bugles ring.
[00:54:44.810 --> 00:54:47.451]  We stood beside our cotton bales and didn't say a thing.
[00:54:47.571 --> 00:54:50.472]  We fired our guns and the British kept for coming.
[00:54:50.512 --> 00:54:52.893]  There wasn't as many as there was a while ago.
[00:54:53.013 --> 00:54:55.694]  We fired once more and they began to run.
[00:54:55.775 --> 00:54:58.195]  Oh, down the Mississippi to the Gulf of Mexico.
[00:55:00.754 --> 00:55:02.034]  Welcome back.
[00:55:02.074 --> 00:55:04.415]  That was a key American development.
[00:55:04.475 --> 00:55:08.856]  The British and the French and others began firing at each other at a great distance.
[00:55:08.896 --> 00:55:10.536]  Your aim, the power of the round,
[00:55:27.521 --> 00:55:31.782]  Didn't have as much effect, but if you wait until they got up close, devastating effect.
[00:55:33.443 --> 00:55:34.983]  Now I'm getting off into war history.
[00:55:35.023 --> 00:55:36.143]  I really shouldn't be doing that.
[00:55:36.704 --> 00:55:38.004]  Okay, well this is all very interesting.
[00:55:38.024 --> 00:55:39.004]  I want to read your story.
[00:55:39.604 --> 00:55:40.505]  What's the website?
[00:55:40.525 --> 00:55:41.645]  Because you've been alluding to it.
[00:55:42.605 --> 00:55:44.386]  Just go ahead and get the plug out and finish your story.
[00:55:44.806 --> 00:55:45.406]  Yes, sir.
[00:55:45.706 --> 00:55:52.348]  It's fortworth911truth.com and it will be posted up there on the main page with a link to the full article.
[00:55:52.828 --> 00:55:53.648]  Fantastic.
[00:55:53.949 --> 00:55:55.469]  Now in 60 seconds, finish the story.
[00:55:56.198 --> 00:56:21.384]  Okay, well, uh, in short, uh, this guy told me that, uh, it started going into his detailed military history after we reminisced about Fort Hood a little bit, and he, and, you know, told me all about how he had gone off to South Africa in the early 80s with the CIA, and, uh, I told him, yeah, that was a really terrible time over there with apartheid still going on and everything, and them necklacing people and putting tires around their necks and, and setting them on fire and stuff.
[00:56:21.904 --> 00:56:23.725]  Well, that was the communists that did that.
[00:56:24.540 --> 00:56:30.965]  Yeah, but anyway, he just didn't even hear what I said.
[00:56:30.985 --> 00:56:37.930]  He started going off about going over there and killing little babies, and he got this glassy look in his eye.
[00:56:38.831 --> 00:56:41.293]  He said killing, but he said, I like to kill babies.
[00:56:41.974 --> 00:56:43.655]  Well, he said killing children.
[00:56:44.456 --> 00:56:48.299]  So I was just disgusted and revolted immediately.
[00:56:49.920 --> 00:56:52.622]  And eventually, throughout the course of this interview, me telling him,
[00:56:53.454 --> 00:56:58.938]  Uh, trying to inform him about certain things under the law and constitutional rights in the process of this interview.
[00:56:59.318 --> 00:57:05.542]  He eventually got so agitated by the end of the interview, he was practically coming over the desk at me, leaning up over the desk.
[00:57:05.602 --> 00:57:07.383]  I thought he was going to come over the desk at me.
[00:57:07.683 --> 00:57:10.184]  Listen, I hear you and I appreciate your call, uh, sir.
[00:57:10.565 --> 00:57:12.406]  Look, I mean, that's just part of the course.
[00:57:12.866 --> 00:57:20.671]  People get damaged by the things they do and they either repent of it or they get to where they like it more and just turn themselves over to it and habitualize it and it's over.
[00:57:21.667 --> 00:57:22.968]  And that's a lot of our cops.
[00:57:23.208 --> 00:57:28.971]  They've been running checkpoints and taking people to Abu Ghraib in Iraq, and they're coming back to be our gods, be our rulers.
[00:57:29.652 --> 00:57:31.573]  From freedom to fascism, I think they call it.
[00:57:32.693 --> 00:57:33.414]  Thank you, Will.
[00:57:33.674 --> 00:57:34.514]  I wasn't trying to be rude there.
[00:57:34.534 --> 00:57:35.695]  I just wanted to get your story out.
[00:57:36.435 --> 00:57:38.116]  Let's talk to Anthony in Arizona.
[00:57:38.156 --> 00:57:38.797]  Go ahead, Anthony.
[00:57:39.557 --> 00:57:40.198]  Hey, Alex.
[00:57:40.318 --> 00:57:42.379]  I'm a long-time listener, first-time caller.
[00:57:43.378 --> 00:57:47.281]  Um, I've known about this conspiracy to undermine the U.S.
[00:57:47.562 --> 00:57:51.425]  government and Constitution all the way back in when I was in high school.
[00:57:51.625 --> 00:57:52.866]  Well, it's coming to a head now.
[00:57:53.606 --> 00:57:58.090]  Well, you're right about that, and I just want to encourage you for what you're doing because
[00:57:58.880 --> 00:58:07.611]  To me, you're the only one really out there that's really putting it out on the line, and a lot of people, you know, there's a segment of people out there that think that you're not, but you are.
[00:58:08.332 --> 00:58:10.094]  And I just want to congratulate you on that.
[00:58:10.114 --> 00:58:17.143]  Well, you've got to watch most of these patriot groups, and when I say most, probably 50-60%, all they do is nanny about the other patriot groups.
[00:58:17.583 --> 00:58:22.265]  That's because a lot of them are COINTELPRO or they've picked up the propaganda of COINTELPRO and NINI.
[00:58:22.725 --> 00:58:31.969]  If you notice, we spend about 5% of our time NINI-ing here in minding and sewing, circling and whining and all these losers wonder why they're not effective fighting the New World Order.
[00:58:32.249 --> 00:58:37.091]  It's because they spend their time NINI-ing on the telephone and NINI-ing on websites.
[00:58:37.472 --> 00:58:39.072]  We spend our time fighting the New World Order.
[00:58:39.312 --> 00:58:40.593]  Stay there Anthony, I'll let you finish up.
[00:58:43.047 --> 00:58:47.722]  Copies of the preceding broadcast are available at GCNlive.com or call toll-free 877-376-45.
[00:58:52.490 --> 00:58:57.115]  The Berkey Security Pack is your one-stop solution for unexpected emergencies.
[00:58:57.315 --> 00:59:01.759]  It provides you with purified water, light, power, and communications ability.
[00:59:01.939 --> 00:59:15.972]  The Security Pack includes a Berkey Light Water Purifier, an LED Base, two Berkey Sport Filtration Bottles, the Berkey Battery Adapter, the Berkey MP Solar Charger, as well as a backup set of two Black Berkey Purification Elements.
[00:59:16.172 --> 00:59:35.384]  The Berkey Security Pack is important every day and a must during emergencies because it provides purified water, long-term low-energy lighting, backup battery power for your Berkey LEDs, free long-term solar power for communications devices such as radios, walkie-talkies, and cell phones, as well as power for small applications.
[00:59:35.604 --> 00:59:39.207]  Get the one-stop solution for your emergency and everyday needs.
[00:59:39.367 --> 00:59:42.008]  The Berkey Security Pack, a retail value of $518 for only $399.
[00:59:44.870 --> 00:59:46.371]  By calling New Millennium at 888-803-4438.
[00:59:46.391 --> 00:59:47.391]  Not yet available in Iowa.
[01:00:00.649 --> 01:00:04.872]  Big Brother, Mainstream Media, Government Cover-Ups.
[01:00:05.493 --> 01:00:06.313]  You want answers?
[01:00:07.074 --> 01:00:08.034]  Well, so does he.
[01:00:08.655 --> 01:00:12.317]  He's Alex Jones on the GCN Radio Network.
[01:00:12.818 --> 01:00:16.961]  And now, live from Austin, Texas, Alex Jones.
[01:00:21.524 --> 01:00:29.390]  Retired FBI agent, Section Chief, Ted Gonderson, gonna be joining us.
[01:00:30.347 --> 01:00:31.788]  Coming up here in about 10-15 minutes.
[01:00:33.049 --> 01:00:34.631]  A ton of world news to be covering.
[01:00:34.651 --> 01:00:35.171]  Stay with us.
[01:00:35.231 --> 01:00:36.432]  It's all important information.
[01:00:36.952 --> 01:00:37.973]  Anthony in Arizona.
[01:00:38.013 --> 01:00:38.474]  Go ahead, sir.
[01:00:38.494 --> 01:00:40.095]  You got some points you want to make.
[01:00:40.115 --> 01:00:40.395]  Okay.
[01:00:40.836 --> 01:00:45.159]  The reason why I was calling, like I said, I've known about the conspiracy all the way back in high school.
[01:00:45.239 --> 01:00:54.466]  And the book that actually got me, awoke me from, you know, from my sleep was a book written by an attorney in Michigan.
[01:00:55.347 --> 01:00:59.871]  Her name is Constance Cumby, and she wrote a book called The Hidden Dangers of the Rainbow.
[01:01:00.763 --> 01:01:04.787]  And I don't think it's... it's still in print, but you can get it on, you know, if you go on Google.
[01:01:04.887 --> 01:01:05.508]  No, no, I've read it.
[01:01:05.548 --> 01:01:10.353]  It's all about how the New Age is really a Pentagon movement to bring in all the darker cultism.
[01:01:10.994 --> 01:01:16.579]  Well, what it is, it's actually... it's actually the deep organizations behind everything that you see going on right now.
[01:01:16.740 --> 01:01:17.540]  No, it's a good book.
[01:01:17.560 --> 01:01:19.783]  I read it about... I probably read that 12 years ago.
[01:01:20.450 --> 01:01:38.335]  Yeah, it's a fantastic book because it outlines exactly what they want to do as far as comparison to what the concentration camps that we have now presently with FEMA, the detention centers, because in it she quotes Barbara, was it Barbara Marks Hubbard?
[01:01:39.108 --> 01:01:54.813]  Yeah, and they advised Delta Force and the Earth First Battalion, and by the way, that's a Pentagon term, they created all that, not the mainline group Earth First, but the Earth First Battalion, and about how they're the pale horse of the beast, how they're going to bring mass slaughter for Gaia, mm-hmm.
[01:01:55.333 --> 01:02:03.056]  Correct, and now when you see what this group... By the way, I have the military training manuals, where they taught them how they were going to do all this for Lucifer, but go ahead.
[01:02:03.736 --> 01:02:11.458]  Well, what I'm trying to say is, now you see the global warming thing coming into effect, and all the propaganda mechanisms going into play, and then you say, you know what?
[01:02:11.478 --> 01:02:13.278]  This lady was onto something back then.
[01:02:13.878 --> 01:02:16.859]  And this conspiracy is now out in the open.
[01:02:17.199 --> 01:02:19.340]  A lot of your listeners don't know this.
[01:02:19.520 --> 01:02:23.881]  Well, most of them do, but I'm telling you, a lot of people in America are still blind to it.
[01:02:23.901 --> 01:02:29.982]  You've got the President at a press conference hinting that something big might happen in August.
[01:02:31.143 --> 01:02:32.843]  Now, you know, what does everybody
[01:02:33.598 --> 01:02:43.860]  You know, you sit there and you listen to this, and then you say to yourself, either there is a war on terror, and there really are terrorists that threaten our way of life, or there isn't.
[01:02:43.900 --> 01:02:44.860]  This is a design.
[01:02:44.920 --> 01:02:51.081]  This is a perfect design, where these people are systematically plugging an agenda.
[01:02:52.001 --> 01:03:00.963]  And when you put on your website yesterday all the abuses going on since the Patriot Act, on down to the Military Commissions Act, you see a design.
[01:03:01.559 --> 01:03:03.860]  People need to wake up!
[01:03:04.100 --> 01:03:05.601]  It ain't a game anymore!
[01:03:06.241 --> 01:03:13.824]  Well, they're going to find out, and that's why we're going to beat the enemy, because if they do go ahead and go ahead with it, then all the people who didn't listen will remember.
[01:03:14.564 --> 01:03:16.065]  And see, that's what we're doing right now.
[01:03:16.085 --> 01:03:24.608]  We're putting in stopgap measures, kind of like emergency landmines in the Info War, where a lot of this stuff isn't going to sprout until the heat gets up.
[01:03:25.189 --> 01:03:28.830]  And I appreciate your call, sir, and I know, I mean, let me tell you, I'm freaked out.
[01:03:29.410 --> 01:03:31.191]  I mean, they're not... These people,
[01:03:32.222 --> 01:03:33.863]  Look, I don't say it for hyperbole.
[01:03:35.104 --> 01:03:36.724]  I don't say it for a game.
[01:03:38.886 --> 01:03:41.607]  Look, people ask why I fight them so hard, why I'm so bold.
[01:03:42.267 --> 01:03:43.668]  Because they've sworn to kill us.
[01:03:43.708 --> 01:03:45.309]  I mean, you've got to fight back against them.
[01:03:47.730 --> 01:04:01.518]  Believe me, people, I wish this wasn't true or I'd be deep sea fishing three or four times a year and scuba diving and hanging out and camping out and have a telescope out looking at the stars at night and I'd be barbecuing and marinating stuff and
[01:04:02.361 --> 01:04:04.202]  You know, doing stuff, farting around, folks.
[01:04:04.223 --> 01:04:05.023]  That's what I like doing.
[01:04:05.443 --> 01:04:05.824]  I don't.
[01:04:05.844 --> 01:04:08.546]  I mean, I work 16, 17 hours a day.
[01:04:09.387 --> 01:04:11.348]  I went home last night and collapsed at 7 o'clock.
[01:04:11.388 --> 01:04:12.069]  I'm just burnt out.
[01:04:12.089 --> 01:04:12.869]  I can't do it anymore.
[01:04:13.630 --> 01:04:16.752]  I gotta get this endgame done, and then you're gonna not see me work as much for a while.
[01:04:16.772 --> 01:04:22.777]  Still look like more than most, but... I, uh... I mean, this is down to the wire.
[01:04:22.817 --> 01:04:28.661]  These people, who are in control right now, their daddies, their mommies, their grandpappies, killed 200 million people.
[01:04:29.944 --> 01:04:32.085]  And folks, I got them all in books bragging about it.
[01:04:32.145 --> 01:04:32.765]  They like it.
[01:04:33.345 --> 01:04:35.706]  They respect each other because they've killed.
[01:04:36.346 --> 01:04:38.787]  Kissinger's respected because he killed a lot of people.
[01:04:39.988 --> 01:04:41.608]  Zbigniew Brzezinski is respected.
[01:04:42.449 --> 01:04:44.490]  I mean, that's why they respect these guys.
[01:04:45.030 --> 01:04:48.711]  Because they have pulled the strings for mass death.
[01:04:49.632 --> 01:04:51.992]  To them, this is like a laurel.
[01:04:52.012 --> 01:04:53.333]  We'll be right back.
[01:04:59.366 --> 01:05:01.187]  It's here, after a year in production.
[01:05:02.147 --> 01:05:04.228]  Do you know the truth about cancer treatments?
[01:05:04.848 --> 01:05:13.771]  Do you realize that with all presently accepted methods, you are not correctly attacking the cancer, and you are mostly fighting to survive the treatment?
[01:05:14.211 --> 01:05:21.413]  Do you realize that mutilating surgery, burning, and the poisoning of your entire system are totally unnecessary?
[01:05:22.148 --> 01:05:27.629]  But now, it's cancer's turn to die with LaceMedInc's patented methodology.
[01:05:28.129 --> 01:05:38.951]  Without cutting, bleeding, drugs, or damaging radiation, we can destroy skin cancer and breast tumors of any size without adverse side effects at our physician's office.
[01:05:39.711 --> 01:05:41.792]  Laser technology at its best.
[01:05:42.272 --> 01:05:43.952]  For more information, call 702-953-0267 or visit
[01:05:49.434 --> 01:05:50.456]  We're good.
[01:06:01.016 --> 01:06:04.197]  Introducing the most efficient gravity filter available.
[01:06:04.237 --> 01:06:08.258]  You know, if you were to throw 100 ball bearings at a magnet, most would bounce off.
[01:06:08.398 --> 01:06:10.959]  But, if you placed them on the magnet, all would stick.
[01:06:11.019 --> 01:06:13.359]  The same principle applies in water filtration.
[01:06:13.539 --> 01:06:21.982]  Most filtration systems force water through the filter at 60 to 90 PSI, causing water molecules to race through the filter in less than a second.
[01:06:22.042 --> 01:06:23.362]  The Berkeley light is different.
[01:06:23.502 --> 01:06:27.483]  Water molecules take 5 to 10 minutes to pass through the torturous path
[01:06:27.483 --> 01:06:28.123]  We're good to go!
[01:06:48.232 --> 01:06:48.633]  Hey Emily!
[01:06:48.713 --> 01:06:49.253]  Wow, you look great!
[01:07:03.166 --> 01:07:03.967]  I feel great.
[01:07:04.227 --> 01:07:06.108]  I've been using MediCleanse Cold and Cleanse.
[01:07:06.528 --> 01:07:06.828]  Really?
[01:07:07.049 --> 01:07:07.469]  What is it?
[01:07:07.609 --> 01:07:08.049]  How does it work?
[01:07:08.209 --> 01:07:15.154]  Well, MediCleanse is a natural fiber therapy with ground flaxseed, psyllium, and bentonite clay that eliminates toxins from the body.
[01:07:15.454 --> 01:07:17.735]  MediCleanse is easy to use without being intrusive.
[01:07:18.096 --> 01:07:23.219]  You take two tablespoons of MediCleanse powder, mix with water or juice, drink, and it does all the work for you.
[01:07:23.759 --> 01:07:24.220]  That's it?
[01:07:24.460 --> 01:07:26.022]  Well, it sounds so easy and convenient.
[01:07:26.342 --> 01:07:27.063]  It is easy.
[01:07:27.343 --> 01:07:34.010]  Plus, the FDA says flaxseed works to prevent cancer and helps with menopause, weight loss, irritable bowel syndrome, and constipation.
[01:07:34.270 --> 01:07:35.632]  It helps with all of those ailments?
[01:07:35.812 --> 01:07:36.593]  That's amazing!
[01:07:36.933 --> 01:07:42.299]  And, the bentonite clay and MediCleanse eliminates viruses and pesticides in the intestinal tract.
[01:07:42.539 --> 01:07:42.860]  Wow!
[01:07:43.020 --> 01:07:44.101]  Where can I buy MediCleanse?
[01:07:44.541 --> 01:07:47.543]  A one-month supply is available online at MediCleanse.com.
[01:07:47.644 --> 01:07:51.506]  That's M-E-T-A-C-L-E-A-N-S-E dot com.
[01:07:51.747 --> 01:07:53.248]  Or call 1-800-317-9547.
[01:07:53.988 --> 01:08:03.415]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[01:08:04.036 --> 01:08:07.018]  It's Alex Jones and the GCN Radio Network.
[01:08:09.619 --> 01:08:11.099]  Hey, thanks Alex.
[01:08:11.179 --> 01:08:13.500]  I would just like to say two things.
[01:08:13.540 --> 01:08:16.740]  First off, I'm 15 years old.
[01:08:35.456 --> 01:08:37.057]  And we're going to defeat this New World Order.
[01:08:37.858 --> 01:08:45.263]  And I'd just like to give a plug out to my website here, youthfor911truth.co.nr.
[01:08:46.163 --> 01:08:51.327]  And another thing I want to mention is a protest that will be on at 9-11 in Austin, Texas.
[01:08:51.407 --> 01:08:55.389]  It will be from noon to dark, and it's at the Texas State Capitol.
[01:08:55.429 --> 01:08:58.832]  So if you can't make it in New York, you can make it in Austin.
[01:08:58.912 --> 01:09:00.153]  Now, did you organize that?
[01:09:00.953 --> 01:09:02.414]  No, I did not, but a friend of mine did.
[01:09:02.894 --> 01:09:05.176]  Well, just tell him that the Nassara Act isn't real.
[01:09:06.090 --> 01:09:06.470]  All right.
[01:09:06.690 --> 01:09:13.232]  Somebody emailed me this banner and it was on 9-11 blogger and it says the Nassara Act.
[01:09:13.552 --> 01:09:15.612]  I've been hearing about that for 15 years.
[01:09:15.652 --> 01:09:21.113]  There is no secret national reorganization of patriots in the government to save us.
[01:09:21.173 --> 01:09:21.853]  It isn't real.
[01:09:22.754 --> 01:09:23.034]  All right.
[01:09:23.214 --> 01:09:28.255]  And it's just one of those things that floats around that I've always got to go out and explain.
