[00:00:00.529 --> 00:00:06.872]  Listening to GCN.
[00:42:24.140 --> 00:42:26.643]  That's the formula on O'Reilly, also on Glenn Beck.
[00:42:27.953 --> 00:42:32.618]  We're going to show you blurred out porn actresses doing horrible things.
[00:42:32.678 --> 00:42:33.579]  Isn't it terrible?
[00:42:33.619 --> 00:42:34.820]  It should all be banned.
[00:42:35.300 --> 00:42:36.982]  They have no intention of restricting it.
[00:42:37.402 --> 00:42:39.104]  And the next traitors in America.
[00:42:39.324 --> 00:42:40.185]  It's a formula.
[00:42:41.346 --> 00:42:42.828]  Every one of those stinking shows.
[00:42:44.069 --> 00:42:47.332]  I have to watch them and sit there and analyze it and I just can't even handle it.
[00:42:48.153 --> 00:42:49.374]  How they manipulate you.
[00:42:51.609 --> 00:42:52.329]  But I digress.
[00:42:52.630 --> 00:42:54.490]  He starts then saying her ratings have plunged.
[00:42:54.510 --> 00:42:54.870]  Well, guess what?
[00:42:54.890 --> 00:42:58.592]  I went and pulled the Nielsen ratings for it last night when I saw that.
[00:42:59.112 --> 00:43:02.313]  The show, for the last two years, is trending upwards.
[00:43:02.453 --> 00:43:05.534]  So, you've got a graph here of jagged peaks going straight up.
[00:43:06.015 --> 00:43:07.575]  The show is still going straight up.
[00:43:07.855 --> 00:43:14.738]  But in the last two months, there was a slight dip, because you go up, then you have a slight down, then it goes back up again, on that growth trend.
[00:43:15.998 --> 00:43:17.499]  He lied and said her ratings are down.
[00:43:18.650 --> 00:43:21.653]  No, the ratings are going crazy with this type of talk.
[00:43:22.493 --> 00:43:23.134]  You liar.
[00:43:23.774 --> 00:43:24.435]  You liar.
[00:43:24.935 --> 00:43:27.477]  You liar.
[00:43:27.677 --> 00:43:28.898]  You are a loser.
[00:43:28.998 --> 00:43:30.760]  You sniveling punk.
[00:43:32.121 --> 00:43:33.282]  You are a loser.
[00:43:33.382 --> 00:43:35.063]  Your bull isn't selling.
[00:43:35.384 --> 00:43:35.824]  Okay?
[00:43:36.905 --> 00:43:39.507]  Let's go back to... Start the clip over, I'm sorry.
[00:43:41.380 --> 00:43:46.201]  They're fed propaganda, and if you want to know what's happening in the world, go outside of the U.S.
[00:43:46.242 --> 00:43:48.722]  media, because it's owned by four corporations.
[00:43:48.862 --> 00:43:49.903]  One of them is this one.
[00:43:50.323 --> 00:43:51.043]  And you know what?
[00:43:51.083 --> 00:43:56.505]  Go outside of the country to find out what's going on in our own country, because it's frightening.
[00:43:56.525 --> 00:43:57.805]  It's frightening!
[00:43:58.085 --> 00:43:59.446]  You know, she's at it again.
[00:43:59.486 --> 00:44:01.406]  Well, Rosie O'Donnell says the U.S.
[00:44:01.486 --> 00:44:03.767]  media is feeding the American people propaganda.
[00:44:04.387 --> 00:44:14.571]  She has no problem serving up her own brand of crazy on her blog, writing today that the British troops were taken hostage by Iran and it was their own fault.
[00:44:15.052 --> 00:44:17.793]  The British did it on purpose into Iranian waters as U.S.
[00:44:17.833 --> 00:44:19.713]  military builds up on the Iranian border.
[00:44:20.054 --> 00:44:22.515]  We will be in Iran before the summer is planned.
[00:44:22.595 --> 00:44:23.395]  She's kooky.
[00:44:23.635 --> 00:44:30.618]  And for the first time today, she took her 9-11 conspiracy theories from the blogosphere to national television.
[00:44:32.559 --> 00:44:33.139]  I do believe
[00:44:33.963 --> 00:44:36.846]  That blog she did yesterday quotes Terror Storm.
[00:44:37.186 --> 00:44:39.508]  She quotes False Flag Terror from Terror Storm.
[00:44:40.128 --> 00:44:41.329]  The exact voiceover.
[00:44:41.650 --> 00:44:46.794]  She quotes me, and then below it, she then says we'll be there by summer.
[00:44:47.895 --> 00:44:53.460]  We should give us a link to Terror Storm, Rosie, but I guess you don't want to totally show folks whose side you're on at this time.
[00:44:55.761 --> 00:44:56.402]  Again, I love it.
[00:44:56.422 --> 00:44:58.203]  She's defecting over to the good guys.
[00:44:58.744 --> 00:45:00.626]  This is exactly what we're talking about.
[00:45:00.666 --> 00:45:00.946]  Here it is.
[00:45:01.719 --> 00:45:05.042]  I do believe that it is the first time in history that fire has ever melted steel.
[00:45:05.543 --> 00:45:11.528]  I do believe that it defies physics for the World Trade Center Tower 7, Building 7, which collapsed in on itself.
[00:45:11.908 --> 00:45:15.591]  It is impossible for a building to fall the way it fell without explosives being involved.
[00:45:15.912 --> 00:45:17.073]  World Trade Center 7.
[00:45:17.273 --> 00:45:20.115]  World Trader 1 and 2 got hit by planes.
[00:45:20.135 --> 00:45:24.459]  7, miraculously the first time in history, steel was melted by fire.
[00:45:24.699 --> 00:45:26.401]  It is physically impossible.
[00:45:27.694 --> 00:45:28.955]  So is Rosie crazy?
[00:45:28.995 --> 00:45:31.216]  That's a rhetorical question, by the way, Mom.
[00:45:31.616 --> 00:45:36.838]  And when will Barbara Walters and ABC finally decide enough's enough?
[00:45:37.258 --> 00:45:38.099]  Here's Steve Adubato.
[00:45:38.119 --> 00:45:41.280]  He's an MSNBC media analyst and still with us, Danny Bonaduce.
[00:45:41.580 --> 00:45:45.102]  You know, we joke about this, but Steve Adubato, you talk about propaganda.
[00:45:45.222 --> 00:45:47.283]  I think Rosie's dangerous, and I'll tell you why.
[00:45:47.703 --> 00:45:51.905]  Because people that watch this show, and millions watch this show, this is what they've heard over the past couple weeks.
[00:45:51.925 --> 00:45:53.926]  First of all, see, they're all jealous.
[00:45:54.526 --> 00:45:56.607]  Scarborough barely has a million watching.
[00:45:56.647 --> 00:45:57.207]  Most nights it's 800,000.
[00:45:57.567 --> 00:46:00.668]  Folks, you understand this show has more listeners than that.
[00:46:00.708 --> 00:46:02.689]  That's why these guys all try to go get talk shows.
[00:46:03.109 --> 00:46:06.810]  See, O'Reilly was this big arrogant guy three years ago with three million viewers a night.
[00:46:07.170 --> 00:46:08.671]  Number one on cable television.
[00:46:08.711 --> 00:46:11.011]  Well, that isn't hard with 500 channels, Mac.
[00:46:12.192 --> 00:46:12.612]  And so...
[00:46:13.673 --> 00:46:15.114]  Believe me, I study media trends.
[00:46:15.214 --> 00:46:16.294]  It's what I went to school for.
[00:46:16.314 --> 00:46:18.095]  You can go check these numbers.
[00:46:18.815 --> 00:46:20.856]  3 million maximum in his history.
[00:46:21.296 --> 00:46:27.238]  Then he finds out that people on 10-15 big radio stations, small syndicated shows, have millions an hour.
[00:46:27.598 --> 00:46:32.600]  So he scurries off to do the O'Reilly Factor on the radio, which I wouldn't call it a failure.
[00:46:32.640 --> 00:46:33.520]  It's been called a failure.
[00:46:33.840 --> 00:46:38.262]  I mean, you know, he's only on like 100-something stations, but still, that totally dwarfs
[00:46:38.955 --> 00:46:39.815]  Uh, his TV show.
[00:46:40.356 --> 00:46:43.017]  But see, it has the prestige of TV.
[00:46:43.677 --> 00:46:47.799]  Even with advertisers, you can get a lot more money for television, uh, per viewer.
[00:46:48.159 --> 00:46:49.819]  It's sometimes like ten times.
[00:46:50.440 --> 00:46:52.280]  Uh, it doesn't fit reality.
[00:46:52.761 --> 00:46:54.621]  But, again, it's all about hoaxes.
[00:46:54.701 --> 00:47:01.504]  It's all about, so you got this jealous loser, this little, little bug-eyed creature.
[00:47:02.658 --> 00:47:04.059]  He actually doesn't have a bug out.
[00:47:04.079 --> 00:47:05.100]  He has little lizard eyes.
[00:47:05.580 --> 00:47:06.500]  A little creature.
[00:47:07.541 --> 00:47:11.644]  Scarborough, who left the Congress for interesting reasons.
[00:47:13.885 --> 00:47:14.986]  Just go look it up, folks.
[00:47:15.046 --> 00:47:16.507]  I'm just going to leave it at that for you.
[00:47:17.967 --> 00:47:19.368]  He's there, just jealous.
[00:47:19.388 --> 00:47:21.710]  You're jealous, you're jealous, you're jealous.
[00:47:22.350 --> 00:47:23.691]  And don't worry, she'll probably get fired.
[00:47:24.131 --> 00:47:24.752]  She knows that.
[00:47:24.772 --> 00:47:27.673]  A couple days ago on her blog, she said she didn't know how long she'll be there.
[00:47:27.954 --> 00:47:29.935]  She's got to talk to her family to see if she'll even be there.
[00:47:30.415 --> 00:47:31.135]  What she's going to do.
[00:47:31.155 --> 00:47:31.876]  I mean, she knows.
[00:47:32.931 --> 00:47:35.359]  She knows the price she'll pay, but it doesn't matter.
[00:47:35.379 --> 00:47:38.711]  At least she's not a cowardly twit like you.
[00:47:38.751 --> 00:47:39.454]  Let's go back to it.
[00:47:40.615 --> 00:47:43.296]  The British troops that have been kidnapped.
[00:47:43.316 --> 00:47:44.936]  They're in the middle of a hostage crisis.
[00:47:45.417 --> 00:47:48.017]  Rosie sides with the Iranians over the British troops.
[00:47:48.057 --> 00:47:49.078]  Says it's their own fault.
[00:47:49.118 --> 00:47:50.158]  They did it on purpose.
[00:47:50.598 --> 00:47:52.379]  Khalid Sheikh Mohammed... Stop right there.
[00:47:52.819 --> 00:47:53.799]  She did not say that.
[00:47:54.039 --> 00:47:56.980]  She said we've been lied to so much in the past about WMDs.
[00:47:57.220 --> 00:48:00.382]  Then she led into that and said, you know, this stuff's happened before.
[00:48:00.482 --> 00:48:01.282]  False flags.
[00:48:01.962 --> 00:48:03.162]  You know, they're there.
[00:48:03.222 --> 00:48:05.583]  They're saying, admit you were in our waters.
[00:48:05.603 --> 00:48:06.363]  We'll release them.
[00:48:06.504 --> 00:48:07.684]  And now it's come out.
[00:48:08.084 --> 00:48:08.885]  Mainstream news.
[00:48:09.266 --> 00:48:11.528]  British manufactured Gulf maritime border map.
[00:48:11.548 --> 00:48:13.951]  There's like 15 mainstream articles we saw on this.
[00:48:14.953 --> 00:48:15.693]  Called it an article.
[00:48:16.054 --> 00:48:19.979]  No such agreed-upon border between Iran and Iraq exists.
[00:48:20.279 --> 00:48:22.542]  Measurement shows ship was near Iranian coast.
[00:48:23.476 --> 00:48:31.261]  And it says, it's claimed that the HMS Cornwall, that had all the media there to film them leaving, because they were ordered to go into the waters, was within Iraqi territorial waters.
[00:48:31.541 --> 00:48:42.908]  The British government and the media have covered up the fact that there is no agreed-upon Iranian-Iraq-Iran maritime border, as other bizarre coincidences and dubious circumstances surrounding the hostage crisis begin to emerge.
[00:48:43.928 --> 00:48:48.751]  Now, we told you this is how the war would start.
[00:48:49.671 --> 00:48:50.191]  Remember?
[00:48:50.672 --> 00:48:54.314]  We said they're going to stick all these carrier fleets in there, British fleets in there.
[00:48:54.934 --> 00:49:01.799]  They've got British aircraft carriers, two major nuclear aircraft carriers, support carriers, Coronata-class.
[00:49:02.599 --> 00:49:03.800]  I call it Coronata-class.
[00:49:03.880 --> 00:49:08.823]  It's the Marine Troop Carrier, Coronata, that type of mini-carrier.
[00:49:08.843 --> 00:49:09.543]  They're gigantic.
[00:49:10.004 --> 00:49:11.024]  They're just swarming.
[00:49:11.044 --> 00:49:12.365]  There's like five fleets in there.
[00:49:12.665 --> 00:49:14.707]  French aircraft carrier is about to arrive.
[00:49:14.747 --> 00:49:16.828]  Their one mega-carrier, which is huge.
[00:49:18.127 --> 00:49:19.888]  I mean, it's party time, baby!
[00:49:20.349 --> 00:49:27.393]  And then they keep sending... I mean, we said they're gonna stick the ships in there, and they're gonna capture trips, or a patrol boat's gonna get sunk.
[00:49:27.453 --> 00:49:29.355]  I wish I had the staff to go dig all these predictions up.
[00:49:29.815 --> 00:49:31.196]  It isn't hard, though.
[00:49:31.336 --> 00:49:31.416]  It's 101.
[00:49:31.736 --> 00:49:33.858]  They've been doing the same tricks for hundreds of years.
[00:49:34.534 --> 00:49:38.416]  The British are always pulling false flags at sea to get Britain into war.
[00:49:38.956 --> 00:49:39.877]  It's their favorite trick.
[00:49:39.997 --> 00:49:47.100]  We did it with the Maine, and Gulf of Tonkin, and of course USS Liberty, but that blew up in their face because the Israelis couldn't get the ship to the bottom.
[00:49:47.360 --> 00:49:50.081]  The President's on the line going, I want that GD ship on the bottom.
[00:49:50.302 --> 00:49:54.764]  To the admirals on the line, telling them to turn back planes to help the ship.
[00:49:55.084 --> 00:50:01.467]  But Captain McGonagall kept the ship afloat with his guts tied in with ropes around his waist.
[00:50:03.683 --> 00:50:05.305]  Thank God those men kept that ship up.
[00:50:05.345 --> 00:50:07.347]  We'd already been in World War III back in the 60s.
[00:50:08.368 --> 00:50:09.890]  So, it just never ends.
[00:50:11.031 --> 00:50:12.112]  It just never ends.
[00:50:12.932 --> 00:50:16.035]  And right on time, and now she sides with Khalid Sheikh Mohammed.
[00:50:16.496 --> 00:50:18.338]  Everybody said you can't believe that.
[00:50:18.598 --> 00:50:20.920]  Republicans said you can't believe stuff under torture.
[00:50:21.200 --> 00:50:22.422]  Secret arrest, four years.
[00:50:22.722 --> 00:50:23.763]  But see how they frame it?
[00:50:24.283 --> 00:50:27.707]  We come back, I'll try to shut up and play Gary Bonaduce saying she should be hung.
[00:50:29.289 --> 00:50:30.209]  She should be killed.
[00:50:30.329 --> 00:50:32.090]  Now they're calling for killing people.
[00:50:32.110 --> 00:50:33.310]  We're doing an article on this.
[00:50:33.670 --> 00:50:35.390]  It's going up on PrisonPlanet.com.
[00:50:35.570 --> 00:50:38.851]  They're calling for our arrest, our murder, on a daily basis.
[00:50:38.871 --> 00:50:40.791]  We've got to get some of the emails where they threaten to kill us.
[00:50:41.291 --> 00:50:42.932]  These are the un-American trash.
[00:50:43.352 --> 00:50:46.372]  They think that they want to kill us, okay?
[00:50:46.632 --> 00:50:47.773]  They will man the camps.
[00:50:47.793 --> 00:50:49.813]  You understand, they've got a group of people.
[00:50:50.313 --> 00:50:53.674]  It'll be the only jobs they can get anyways, who will man the camps.
[00:50:53.734 --> 00:50:55.114]  And when they come for us, we've got to fight them.
[00:50:55.854 --> 00:50:57.795]  When these neocons come for us, we've got to fight them.
[00:50:57.815 --> 00:50:58.995]  They are traitors to America.
[00:51:05.328 --> 00:51:05.869]  It's here.
[00:51:06.049 --> 00:51:10.836]  After a year in production and traveling to distant lands, my new film Terror Storm is complete.
[00:51:11.197 --> 00:51:18.848]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[00:51:19.528 --> 00:51:26.569]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[00:51:26.989 --> 00:51:38.411]  Terror Storm chronicles the lies that took us to war in Iran, the White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[00:51:38.711 --> 00:51:42.412]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[00:51:42.672 --> 00:51:44.632]  It's an anthology of government crimes.
[00:51:44.932 --> 00:51:48.793]  Terror Storm is a film that everyone who wants to be truly informed must see.
[00:51:49.393 --> 00:51:56.839]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[00:52:02.052 --> 00:52:07.274]  Nuclear reactors provide economical energy, but would you be prepared during an accident?
[00:52:07.414 --> 00:52:15.517]  During nuclear disasters, great amounts of radioactive iodine are released into the atmosphere, which are then readily absorbed into the body.
[00:52:15.777 --> 00:52:22.820]  Medical course potassium iodate gives you virtually complete protection from the most feared consequence of a nuclear accident.
[00:52:23.780 --> 00:52:30.266]  Potassium iodate can protect against radioactive poisoning by filling the thyroid with good iodine.
[00:52:30.446 --> 00:52:35.531]  This shields the thyroid and prevents it from absorbing the harmful radioactive iodine.
[00:52:35.651 --> 00:52:44.538]  Potassium iodate is better than the iodide form because it is not as likely to cause upset stomachs in children, the elderly, the sick, and pets.
[00:52:44.799 --> 00:52:48.642]  Order the official potassium iodate for only $24 and save $5 by calling
[00:52:55.036 --> 00:52:56.621]  Call now and get free shipping.
[00:52:56.842 --> 00:52:57.183]  That's 888-803-4438.
[00:53:02.774 --> 00:53:05.356]  Hey folks, Alex Jones here with an important question.
[00:53:05.497 --> 00:53:07.658]  When was the last time you used pure soap?
[00:53:07.959 --> 00:53:18.048]  I mean the hard to find kind that's all natural and not full of corrosive toxins and chemicals and detergents that just dry out your skin and have been connected to very serious health problems?
[00:53:18.348 --> 00:53:20.730]  Let me tell you something about the Cal Bend Pure Soap Company.
[00:53:20.870 --> 00:53:24.934]  There's a 100% unconditional guarantee on all their wonderful products.
[00:53:25.154 --> 00:53:31.277]  They're all natural, they're triple concentrated, they're factory direct, factory owned and operated since 1947.
[00:53:31.717 --> 00:53:35.779]  Earth friendly, pure soaps for bathing, laundry and kitchen.
[00:53:35.960 --> 00:53:39.301]  Try Pure Soap once and I'll guarantee you'll never use anything else.
[00:53:39.621 --> 00:53:44.544]  Now for the first time, Calvin Pure Soap is available, factory direct to you and your family.
[00:53:44.784 --> 00:53:48.485]  Save up to 85% off supermarket and retail store prices.
[00:53:48.645 --> 00:53:51.166]  Call today for a Calbin Soap catalog at 1-800-340-7091.
[00:53:51.186 --> 00:53:52.966]  That's 1-800-340-7091 or on the web at CalbinPureSoap.com.
[00:54:15.527 --> 00:54:16.308]  It's really simple.
[00:54:18.469 --> 00:54:20.010]  America's always had a lot of pride.
[00:54:20.050 --> 00:54:21.231]  We beat the British Empire.
[00:54:21.271 --> 00:54:22.212]  We were the good guys.
[00:54:24.573 --> 00:54:29.477]  And then we whooped up on a bunch of Latin American countries and became an empire.
[00:54:30.037 --> 00:54:30.898]  Attacked Spain.
[00:54:30.958 --> 00:54:31.778]  Staged an event.
[00:54:32.959 --> 00:54:34.520]  It was always the same story at sea.
[00:54:35.601 --> 00:54:36.822]  Took all their coaling stations.
[00:54:36.882 --> 00:54:39.003]  Took scores of islands from them.
[00:54:39.203 --> 00:54:40.184]  Took areas of Cuba.
[00:54:42.088 --> 00:54:43.808]  And then World War I rolled around.
[00:54:44.068 --> 00:54:47.369]  That was British Empire aggression against the Austrian-Hungarian Empire.
[00:54:48.229 --> 00:54:50.110]  That led to World War II, and the U.S.
[00:54:50.190 --> 00:54:51.370]  and British financed Hitler.
[00:54:51.830 --> 00:54:52.691]  That's history.
[00:54:53.331 --> 00:54:54.571]  And we were the good guys in that.
[00:54:55.531 --> 00:55:00.692]  The good guys that then gave half of Europe to Stalins, who could kill most of their populations.
[00:55:00.772 --> 00:55:02.393]  But, you know, that's what the good guys do.
[00:55:04.233 --> 00:55:05.454]  And I'm not defending Hitler.
[00:55:05.494 --> 00:55:07.314]  The point is, government itself is evil, see?
[00:55:08.146 --> 00:55:10.667]  Get rid of Hitler and become Hitler, but we all just feel good.
[00:55:11.047 --> 00:55:19.811]  And then there's lots of cars and refrigerators, and with all the wartime machinery, and the government starts telling people, the government did this for you, the government's going to keep you safe.
[00:55:20.251 --> 00:55:23.012]  Duck and cover, the terrorists are about to attack you any minute.
[00:55:23.232 --> 00:55:29.475]  The evil Soviets, which we were financing the whole time, private bankers running it all, now admit it.
[00:55:29.755 --> 00:55:35.317]  Those former CIA section chiefs write books about, yeah, we ran the Soviets and the Chinese, and it's all staged.
[00:55:35.337 --> 00:55:35.937]  Ha ha ha!
[00:55:36.097 --> 00:55:37.338]  But the public will never read this.
[00:55:37.378 --> 00:55:37.778]  Ha ha ha!
[00:55:38.433 --> 00:55:39.313]  I mean, it's sick!
[00:55:41.054 --> 00:55:42.435]  And now we're the good guys.
[00:55:43.436 --> 00:55:51.640]  After attacking Iran over and over and over again, blowing up their jet airliners, blowing up their battleships on purpose in ADA, trying to start a war with them.
[00:55:52.780 --> 00:55:53.961]  All the things that have happened.
[00:55:54.201 --> 00:56:04.006]  And now it turns out that the British, yeah, the British rewrote the lines and now suddenly claim that it's Iraqi waters into what was known to be Iranian for hundreds of years.
[00:56:04.961 --> 00:56:10.746]  And so they can tell the public with a straight face, this was Iraqi water, which Iraqi means New World Order water.
[00:56:11.066 --> 00:56:12.567]  They always use the Iraqis too.
[00:56:12.767 --> 00:56:14.668]  Why, the Iraqi government agrees with us.
[00:56:15.249 --> 00:56:17.471]  The Iraqi government is a puppet dictatorship.
[00:56:17.631 --> 00:56:20.213]  If you think that election was real, I got a bridge I want to sell you.
[00:56:20.733 --> 00:56:23.775]  But here comes Bonaduce, we'll try to get it in with him saying killer.
[00:56:24.136 --> 00:56:28.039]  Here they are now, let's kill Rosie O'Donnell is what Bonaduce is saying.
[00:56:28.459 --> 00:56:29.760]  And they're not playing games, folks.
[00:56:29.800 --> 00:56:32.022]  They want to get to this point, because we're going to expose them.
[00:56:32.382 --> 00:56:33.102]  They've got to.
[00:56:33.183 --> 00:56:33.543]  Here it is.
[00:56:34.508 --> 00:56:40.370]  The guy that killed 3,000 Americans on September 11th, she says he was an innocent man who was framed by the U.S.
[00:56:40.390 --> 00:56:40.750]  government.
[00:56:41.070 --> 00:56:48.152]  And then of course our favorite, she says it again, 9-11 was an inside job, American government responsible for 3,000 deaths.
[00:56:48.912 --> 00:56:51.013]  Steve, this is not a joke anymore.
[00:56:51.173 --> 00:56:52.093]  This is serious.
[00:56:52.193 --> 00:56:54.333]  Barbara Walters has no credibility left.
[00:56:54.774 --> 00:57:00.175]  ABC News needs to talk to Disney and say, get her off the air.
[00:57:00.635 --> 00:57:01.995]  This is an embarrassment to us.
[00:57:02.056 --> 00:57:02.636]  Don't they?
[00:57:02.656 --> 00:57:03.716]  Do you agree with me there?
[00:57:04.236 --> 00:57:05.436]  Joe, here's what I agree with.
[00:57:05.456 --> 00:57:14.059]  By the way, you just laid out a real case for her being fired, but I'm not a broadcaster who's going to advocate the firing of another broadcaster because it just doesn't seem right to me, but I'll say this.
[00:57:14.519 --> 00:57:19.900]  Barbara Walters has a stone-cold responsibility to that show, which she owns half of.
[00:57:20.340 --> 00:57:30.943]  ABC has a responsibility, not for me to say get rid of her, but at what point, at what point does Rosie O'Donnell say another, not just outrageous thing, because it's her right to be an idiot on the air.
[00:57:31.403 --> 00:57:32.503]  That's the American way.
[00:57:32.543 --> 00:57:33.604]  That's what free speech is.
[00:57:33.664 --> 00:57:39.326]  But they have a responsibility to make her be accountable because she is on a major American network.
[00:57:39.626 --> 00:57:41.047]  She's not just blogging anymore.
[00:57:41.327 --> 00:57:53.471]  And those 3,000 people who died in 9-11, they, their families, and all of us deserve better from ABC and from Barbara Walters than allowing her to say those things without any evidence to back it up.
[00:57:53.771 --> 00:57:55.072]  It's outrageous, embarrassing.
[00:57:55.272 --> 00:57:56.012]  She has a right to be...
[00:57:56.872 --> 00:57:57.613]  See, there they go.
[00:57:57.973 --> 00:58:00.134]  They always wrap themselves in the dead troops.
[00:58:00.274 --> 00:58:02.235]  Wrap themselves in the dead of 9-11.
[00:58:03.956 --> 00:58:08.059]  When it's the criminal group that runs our government that carried out the attacks.
[00:58:09.980 --> 00:58:12.241]  They wrap themselves continually in this.
[00:58:12.341 --> 00:58:12.881]  Keep rolling.
[00:58:14.762 --> 00:58:15.103]  You know what?
[00:58:15.123 --> 00:58:17.424]  We'll just come back in the next five minutes and play the rest of it.
[00:58:18.304 --> 00:58:19.525]  Then we've got a guest coming on.
[00:58:21.046 --> 00:58:22.427]  We'll have open phones for that guest.
[00:58:22.447 --> 00:58:24.268]  We're going to shift gears into a whole other subject.
[00:58:25.328 --> 00:58:27.489]  But a big show lined up for you today.
[00:58:27.509 --> 00:58:37.095]  And we have a really special guest about the International Banking System and the New World Order from an inside perspective in the third hour.
[00:58:37.115 --> 00:58:39.416]  So we'll tell you about that surprise guest as well later.
[00:58:39.916 --> 00:58:41.497]  PrisonPlanet.com is the website.
[00:58:43.298 --> 00:58:47.541]  Order a copy of this show for your friends and family at GCNLive.com or call 877-300-7645.
[00:58:52.748 --> 00:58:55.930]  Introducing the most efficient gravity filter available.
[00:58:55.970 --> 00:59:00.013]  You know, if you were to throw 100 ball bearings at a magnet, most would bounce off.
[00:59:00.134 --> 00:59:02.695]  But, if you placed them on the magnet, all would stick.
[00:59:02.756 --> 00:59:05.097]  The same principle applies in water filtration.
[00:59:05.277 --> 00:59:13.724]  Most filtration systems force water through the filter at 60 to 90 PSI, causing water molecules to race through the filter in less than a second.
[00:59:13.784 --> 00:59:15.085]  The Brookie Light is different.
[00:59:15.245 --> 00:59:19.388]  Water molecules take 5 to 10 minutes to pass through the torturous path
[00:59:19.548 --> 00:59:19.748]  I think?
[00:59:39.667 --> 00:59:45.192]  Let's get the Advanced Berkey Light Purifier for only $279 by calling New Millennium.
[00:59:45.212 --> 00:59:49.895]  888-803-4438 or order on the web at berkeywater.com.
[00:59:50.036 --> 00:59:51.357]  Not yet available in Iowa.
[00:59:55.680 --> 00:59:57.582]  Waging war on corruption.
[00:59:59.383 --> 01:00:00.544]  This is a GPM.
[01:00:06.494 --> 01:00:10.716]  Big Brother, Mainstream Media, Government Cover-Ups.
[01:00:11.336 --> 01:00:12.156]  You want answers?
[01:00:12.897 --> 01:00:13.757]  Well, so does he.
[01:00:14.477 --> 01:00:17.419]  He's Alex Jones on the GC Network.
[01:00:17.779 --> 01:00:21.861]  And now, live from Austin, Texas, Alex Jones.
[01:00:41.920 --> 01:00:44.561]  Alright, we've got a major report coming out tonight.
[01:00:44.681 --> 01:00:45.841]  This from Steve Watson.
[01:00:46.162 --> 01:00:51.044]  And Steve, of course, has a Master's Degree in Political Science and International Affairs.
[01:00:51.664 --> 01:00:56.767]  We're really lucky and blessed to have him on the staff at PrisonPlanet.com and InfoWars.net.
[01:00:58.999 --> 01:00:59.680]  This just in.
[01:00:59.740 --> 01:01:01.882]  Tell Alex we've got a major report coming tonight.
[01:01:02.582 --> 01:01:03.963]  Iran war underway.
[01:01:04.124 --> 01:01:04.384]  U.S.
[01:01:04.424 --> 01:01:08.327]  and Britain funding right-wing terrorists for regime change.
[01:01:11.130 --> 01:01:13.752]  And yes, the war is ongoing right now in Iran.
[01:01:14.153 --> 01:01:17.215]  They're being attacked and bombed and shot in their nation every day.
[01:01:17.616 --> 01:01:18.997]  And they lay there and take it, folks.
[01:01:20.318 --> 01:01:21.339]  After all they've been through.
[01:01:23.032 --> 01:01:25.593]  And please don't call saying I'm siding with the Iranians.
[01:01:26.114 --> 01:01:27.154]  Our country's gone.
[01:01:27.194 --> 01:01:28.795]  It's been hijacked by the new world order.
[01:01:29.135 --> 01:01:32.197]  We're being used to expand their empire.
[01:01:34.919 --> 01:01:39.481]  And by saying this is not our government, again, that takes a lot of the blame off the American people.
[01:01:40.462 --> 01:01:43.163]  Some people get mad at me for saying that and say, no, America is evil.
[01:01:44.104 --> 01:01:44.484]  And I don't know.
[01:01:44.504 --> 01:01:45.765]  We've had 50 million abortions.
[01:01:45.805 --> 01:01:46.385]  Maybe we are.
[01:01:47.906 --> 01:01:49.807]  Have the Iranians killed 50 million babies?
[01:01:49.827 --> 01:01:51.968]  Well, that's different.
[01:01:53.820 --> 01:01:57.667]  Let's go ahead and go back to Danny Bonaduce.
[01:01:57.687 --> 01:02:02.135]  He's now the big expert on Scarborough Country calling for the death of Rosie O'Donnell for just questioning 9-11.
[01:02:02.155 --> 01:02:02.436]  Here it is.
[01:02:03.931 --> 01:02:05.792]  But there's a responsibility to deal with her.
[01:02:06.273 --> 01:02:08.654]  I think she should go, but it's their job to do it.
[01:02:08.754 --> 01:02:12.257]  And by the way, 600,000 new viewers from now to last year, right?
[01:02:12.277 --> 01:02:12.757]  The increase?
[01:02:13.117 --> 01:02:14.578]  That's what's given Rosie the power.
[01:02:14.939 --> 01:02:17.040]  Shame on Barbara Walters for giving in to that.
[01:02:17.420 --> 01:02:21.904]  It is just not worth it to have this type of hatred spewed on TV every day of the morning.
[01:02:21.924 --> 01:02:22.104]  I agree.
[01:02:22.364 --> 01:02:23.845]  Danny Bonaduce, you know what?
[01:02:23.865 --> 01:02:25.346]  You know about show business.
[01:02:25.466 --> 01:02:27.087]  We all know about show business.
[01:02:28.962 --> 01:02:37.374]  But at what point does ABC and especially Barbara Walters have a responsibility to say, I'm just not going to let you spew hatred on my show anymore?
[01:02:38.391 --> 01:02:40.792]  Well, the answer to the question is in the question.
[01:02:40.832 --> 01:02:45.513]  Barbara Walters, why doesn't she, as executive producer, fire Rosie O'Donnell?
