[00:00:00.149 --> 00:00:01.009]  Dead on.
[00:24:22.563 --> 00:24:30.308]  They've got this really bad name, there's talk of them being disbanded, because of Waco and Ruby Ridge, and then BOOM!
[00:24:30.308 --> 00:24:45.577]  9.02 a.m., 1995, a supposed truck bomb blows up out front and knocks out giant columns in the back of the building, the furthest away from the truck, but doesn't knock columns up over that are right up against the truck bomb.
[00:24:46.118 --> 00:24:55.105]  And there's videotape of these that the former head of Air Force Weapons Development, General Benton K. Barton, that's a three-star general, by the way, did analysis of it.
[00:24:55.105 --> 00:25:00.028]  You could see the columns blown off at 45 degree angles, perfect blast points.
[00:25:00.028 --> 00:25:01.589]  Okay, they were even blackened.
[00:25:01.589 --> 00:25:04.211]  So you've got the columns blown out at the back.
[00:25:04.211 --> 00:25:11.717]  You've got pieces of rubble blown across the street, big chunks of columns blown across the street, up on top of four-story buildings.
[00:25:12.572 --> 00:25:16.414]  Okay, we have video and photos of that in the film I made in 1997.
[00:25:16.414 --> 00:25:22.616]  Then in my film, The Road to Tyranny I made in 2002, we cover the First World Trade Center, Oklahoma City, and 9-11.
[00:25:22.616 --> 00:25:27.619]  And we spent 45 minutes in that three-hour film just on OKC with police surveillance tape.
[00:25:27.619 --> 00:25:28.959]  Oh yes, we got it.
[00:25:28.959 --> 00:25:30.840]  And newscasts as they're removing the bombs.
[00:25:30.840 --> 00:25:33.821]  But again, the problem is there's too much evidence here.
[00:25:33.821 --> 00:25:37.943]  Go to Google Video, type in Road to Tyranny, you can watch it for free tonight.
[00:25:37.943 --> 00:25:39.044]  After the show, that's your homework.
[00:25:40.686 --> 00:25:43.511]  And there's nothing more riveting than reality, is there?
[00:25:43.511 --> 00:25:46.877]  My hair on the back of my neck stands up every time I talk about this.
[00:25:46.877 --> 00:25:47.037]  So...
[00:25:48.539 --> 00:25:49.679]  This bomb goes off.
[00:25:49.679 --> 00:25:55.060]  Immediately, police start going, you know, the BATF in 30 seconds was in full bomb gear.
[00:25:55.060 --> 00:25:58.881]  The first firemen to arrive, the first police, some of them were just down the block.
[00:25:58.881 --> 00:26:03.162]  Some of them were there a minute after, and there's BATF with their bomb truck in full bomb gear.
[00:26:03.162 --> 00:26:05.302]  Some of it takes 20-30 minutes to put on.
[00:26:05.302 --> 00:26:08.043]  Running around, they run up to the local doctor, the local coroner.
[00:26:08.043 --> 00:26:10.423]  They say, bandage us up, we were on the 9th floor.
[00:26:10.423 --> 00:26:12.164]  The doctor says, you're not hurt, you're making that up.
[00:26:12.164 --> 00:26:12.904]  What are you talking about?
[00:26:12.904 --> 00:26:13.984]  How'd you get dressed so quick?
[00:26:14.631 --> 00:26:28.262]  That Terence Yankee, Cop of the Year, big, strong, handsome black guy, looks like an NFL linebacker, runs in, saves like 20-something people, almost breaks his back doing it, carrying him out on his shoulders.
[00:26:28.262 --> 00:26:33.206]  He sees him running around day one, he sees him in the bomb gear, he was just right down the street, Cop of the Year.
[00:26:33.826 --> 00:26:39.768]  He blows the whistle, is on the phone to his partner the night he died because the chief was telling him to get off the case.
[00:26:39.768 --> 00:26:42.929]  He's going to the storage shed they had because they've been told to hand over all their evidence.
[00:26:42.929 --> 00:26:46.630]  He said, I'm getting followed by a couple FBI feds.
[00:26:46.630 --> 00:26:47.290]  I gotta go.
[00:26:47.290 --> 00:26:49.071]  It looks like they're going to pull me over.
[00:26:49.071 --> 00:27:00.134]  He's found right off the road, about a couple hundred feet, tortured, tied to a tree with all these stab wounds and burn marks and his throat slit and shot twice in the back of the head.
[00:27:00.134 --> 00:27:00.695]  Cop of the year.
[00:27:00.695 --> 00:27:01.495]  These are cop killers.
[00:27:02.465 --> 00:27:07.007]  And again, he may have thought they were FBI, but we know there were special forces troops involved.
[00:27:07.007 --> 00:27:09.768]  Men associated with special forces, I should say.
[00:27:09.768 --> 00:27:13.749]  And so, that happened.
[00:27:13.749 --> 00:27:21.552]  In any black op, whether it's the Kennedy assassination or any of these events, they get lots of criminal groups and government groups involved.
[00:27:21.552 --> 00:27:27.254]  So there's layers of patsies, layers of distractions, different fallback groups.
[00:27:27.254 --> 00:27:31.896]  So let me tell you who we know, from videotape, police reports, surveillance cameras, everything.
[00:27:32.759 --> 00:27:35.181]  There were Iraqis involved.
[00:27:35.181 --> 00:27:36.362]  Okay?
[00:27:36.362 --> 00:27:39.265]  There were white supremacists involved.
[00:27:39.265 --> 00:27:42.728]  And there was the FBI and the BATF involved.
[00:27:42.728 --> 00:27:43.068]  Okay?
[00:27:43.068 --> 00:27:44.009]  Now, how did this work?
[00:27:44.009 --> 00:27:46.511]  And it's all in the deposition.
[00:27:46.511 --> 00:27:47.552]  It's all in the filing.
[00:27:47.552 --> 00:27:52.276]  Go read it up on PrisonPlanet.com right now with all the massive reportage.
[00:27:52.276 --> 00:27:56.060]  How did this happen?
[00:27:56.060 --> 00:27:59.663]  When you're going to carry out a knob, you can either provocateur one,
[00:28:01.989 --> 00:28:07.498]  Or you can simply carry it out yourself and then blame some innocent patsy you set up.
[00:28:07.498 --> 00:28:16.611]  Or you can do a combo of the two where there's a real attack that's going to be launched by the private corporation hired by the government to do it or by a government agency, a subgroup in that agency.
[00:28:16.611 --> 00:28:17.473]  You can do it that way.
[00:28:18.762 --> 00:28:31.427]  Or, the most common type is you go find people, and it may take years, and you recruit them, and you train them, and you lead them as a Klan leader, a Black Panther leader, a, you know, whatever quote radical group leader it is.
[00:28:31.427 --> 00:28:32.428]  We see this over and over again.
[00:28:32.428 --> 00:28:35.289]  We saw it in Miami, we saw it in Canada last year.
[00:28:36.454 --> 00:28:40.497]  Where they go find street kids, give them $100,000 over a year, give them video cameras.
[00:28:40.497 --> 00:28:42.659]  I mean, the FBI creates the group.
[00:28:42.659 --> 00:28:44.060]  The FBI created, you know, the Klan group in 98.
[00:28:44.060 --> 00:28:47.462]  Tried to give them the bomb a chemical plant outside Dallas.
[00:28:47.462 --> 00:28:50.465]  Bomb Stereo War, we talked about it last week, Texas Monthly.
[00:28:50.465 --> 00:28:58.551]  The major news report out of the Orlando Sentinel about the FBI leading the Nazi group in Orlando, March, behind the major groups, create fear.
[00:28:59.685 --> 00:29:00.625]  There's a lot of evidence here.
[00:29:00.625 --> 00:29:02.206]  Let's walk through it when we get back.
[00:29:02.206 --> 00:29:07.988]  We'll tell you what happened in Oklahoma City, the different groups they had to create a smoke screen around it.
[00:29:07.988 --> 00:29:09.169]  Alright?
[00:29:09.169 --> 00:29:11.810]  And then we'll get to your phone calls.
[00:29:11.810 --> 00:29:13.291]  We'll go through the affidavit.
[00:29:13.291 --> 00:29:14.311]  We'll go through the filing.
[00:29:14.311 --> 00:29:16.712]  We'll go through the latest news on this.
[00:29:16.712 --> 00:29:19.213]  This is huge, breaking news.
[00:29:19.213 --> 00:29:20.533]  We'll be right back.
[00:29:20.533 --> 00:29:21.054]  Stay with us.
[00:29:21.054 --> 00:29:21.794]  I'm Alex Jones.
[00:29:33.422 --> 00:29:38.124]  According to the American Diabetes Association, more than 18 million people in the U.S.
[00:29:38.124 --> 00:29:39.164]  have diabetes.
[00:29:39.164 --> 00:29:46.267]  Most people with diabetes have risk factors such as obesity, high blood pressure, and cholesterol, which increase their risk for heart disease.
[00:29:46.267 --> 00:29:50.989]  For example, more than 65% of people with diabetes die from heart disease or stroke.
[00:29:50.989 --> 00:29:53.970]  Finding out you or your loved ones have diabetes can be scary.
[00:29:53.970 --> 00:30:00.412]  This is why, as your trusted online partner in health, we are committed to bringing you products that help you make informed decisions about
[00:30:00.452 --> 00:30:00.832]  We're good to go!
[00:30:27.631 --> 00:30:27.952]  That's 1-800-845-3841.
[00:30:32.988 --> 00:30:36.129]  My friend laughed at me when I said I could order in French.
[00:30:36.129 --> 00:30:47.911]  But when the waiter came, I just smiled and said, Millions of people everywhere are learning new languages faster than they thought possible with Rosetta Stone software.
[00:30:47.911 --> 00:30:50.051]  And we guarantee that you can too.
[00:30:50.051 --> 00:30:53.672]  To prove it, we want you to try our amazing software free.
[00:30:53.672 --> 00:30:57.773]  Just request a free demo CD-ROM and see how fast you can learn a language.
[00:30:57.773 --> 00:30:59.673]  For your free CD-ROM, call 1-800-441-3955.
[00:31:02.654 --> 00:31:05.435]  Discover the secret to learning languages that U.S.
[00:31:05.435 --> 00:31:08.676]  diplomats, NASA, and the Peace Corps have known for years.
[00:31:08.676 --> 00:31:14.119]  And best of all, there's no tedious translation, no useless memorization, and no boring drills.
[00:31:14.119 --> 00:31:18.881]  If my friends were impressed by that, just wait till we go to Chinatown next week.
[00:31:18.881 --> 00:31:23.883]  Experience the fastest way to learn any of 28 languages guaranteed.
[00:31:23.883 --> 00:31:26.204]  Request your free CD-ROM by calling 1-800-441-3955.
[00:31:26.204 --> 00:31:26.404]  That's 1-800-441-3955.
[00:31:32.566 --> 00:31:37.831]  The disciples asked Jesus in Matthew 24, What shall be the signs of thy coming and the end of the world?
[00:31:37.831 --> 00:31:39.913]  You shall hear of wars and rumors of wars.
[00:31:39.913 --> 00:31:43.136]  For nation shall rise against nation, and kingdom against kingdom.
[00:31:43.136 --> 00:31:46.579]  And there shall be famines, disease, and earthquakes in many places.
[00:31:46.579 --> 00:31:48.421]  We are living in this time of Earth's history.
[00:31:48.681 --> 00:31:52.662]  Many people are trying to understand the climactic world events in light of human wisdom.
[00:31:52.662 --> 00:31:55.943]  But without the wisdom of God, this is impossible.
[00:31:55.943 --> 00:32:00.444]  2 Peter says, We have a more sure word of prophecy, and you do well if you take heed.
[00:32:00.444 --> 00:32:05.145]  But first know this, that no prophecy of the Scripture is of any private interpretation.
[00:32:05.145 --> 00:32:07.665]  The Bible says, Would like you to receive this new offer.
[00:32:07.665 --> 00:32:09.786]  Packet B, the unholy alliance.
[00:32:09.786 --> 00:32:11.806]  These materials document the global leaders.
[00:32:11.886 --> 00:32:12.126]  We're good.
[00:32:32.518 --> 00:32:35.499]  Attention, this is an urgent GCN News Bulletin.
[00:32:35.499 --> 00:32:37.799]  Do you desperately need to get out of debt fast?
[00:32:37.799 --> 00:32:40.760]  Would you like to make some of your debts disappear completely?
[00:32:40.760 --> 00:32:45.241]  If so, and you're a GCN listener, there's a very real chance that you'll now be able to do it.
[00:32:45.241 --> 00:32:45.841]  Here's why.
[00:32:45.841 --> 00:32:52.763]  A new manual has just been published that reveals how you can get out of debt in 90 minutes without any loans or bankruptcy whatsoever.
[00:32:52.763 --> 00:32:59.104]  The insider secrets revealed allow you to get out of debt so fast and so completely that it makes some people feel like they're cheating, but they're not.
[00:32:59.104 --> 00:32:59.384]  Why?
[00:32:59.384 --> 00:33:03.328]  The secrets taught in the manual are 100% legal and 100% ethical.
[00:33:03.328 --> 00:33:08.033]  It's just that bankers, debt collectors, and credit card companies don't want you to know about these loopholes.
[00:33:08.033 --> 00:33:15.201]  Learn how to finally teach those financial vultures some humility by beating them at their own game, and above all, learn how to bail out for a soft landing.
[00:33:15.661 --> 00:33:18.342]  Get control, get relief, get some sleep!
[00:33:18.342 --> 00:33:19.383]  Go to www.outand90.com.
[00:33:19.383 --> 00:33:20.424]  That's www.outand90.com.
[00:33:20.424 --> 00:33:21.124]  Or call 877-327-0365.
[00:33:21.124 --> 00:33:21.384]  That's 877-327-0365.
[00:33:21.384 --> 00:33:24.786]  You're listening to GCN, the Genesis Communications Radio Network.
[00:33:45.461 --> 00:33:50.668]  Crushing through the lies and disinformation.
[00:33:50.668 --> 00:33:53.632]  It's Alex Jones.
[00:33:53.632 --> 00:33:55.034]  And risking my life.
[00:33:55.034 --> 00:33:58.158]  A lot of people have died to bring you the information you're getting.
[00:33:58.158 --> 00:33:59.300]  A lot of people have gone to prison.
[00:34:00.166 --> 00:34:04.411]  Carol Howell, FBI informant, who they recruited, no criminal record.
[00:34:04.411 --> 00:34:08.575]  She went public just a few weeks before and said they're about to bomb the Alfred P. Murrow building.
[00:34:08.575 --> 00:34:13.240]  They pulled her off the case and threatened her to shut up, and when she wouldn't, they tried to indict her.
[00:34:13.240 --> 00:34:15.703]  She was found not guilty of the stuff they trumped up.
[00:34:15.703 --> 00:34:16.844]  That's the problem here.
[00:34:16.844 --> 00:34:18.285]  There's too much evidence.
[00:34:18.285 --> 00:34:20.588]  For those that just joined us, Terry Nichols says
[00:34:21.949 --> 00:34:25.732]  Alfred P. Murrah building bombing was FBI-opped out of the Desert News.
[00:34:25.732 --> 00:34:27.933]  Salt Lake City Tribune with its federal lawsuit was filed.
[00:34:27.933 --> 00:34:30.435]  McVeigh had high-level help from FBI.
[00:34:30.435 --> 00:34:31.896]  We're walking through that.
[00:34:31.896 --> 00:34:38.620]  I now have the, at least partially unsealed, I have the part that's been unsealed, filing the federal lawsuit.
[00:34:38.620 --> 00:34:50.468]  The particular document, the exhibits with the names of the FBI agents and others have been sealed, but not before the Desert News reported who Terry Nichols says was the handler of Timothy McVeigh.
[00:34:51.631 --> 00:34:58.259]  And Larry Nichols, and that was Larry Potts, former head of FBI counterterrorism.
[00:34:59.028 --> 00:35:04.409]  Oh yes, we'll be going over all of that this evening, and I know we've got lots of phone calls.
[00:35:04.409 --> 00:35:12.390]  If you want to talk about this subject, I'll go to other calls on other subjects, but you won't be on with us long because I need to stay focused.
[00:35:12.390 --> 00:35:15.011]  The toll-free number to join us is 877-590-5525, 877-590-5525, or locally here in Central Texas, 836-0590.
[00:35:15.011 --> 00:35:17.551]  We're listening to our home-based mothership affiliate, KLBJ 590.
[00:35:17.551 --> 00:35:17.751]  KLBJ 590 AM.
[00:35:29.978 --> 00:35:33.300]  Again, I've got to move quickly here because there's so much.
[00:35:33.300 --> 00:35:35.081]  The government wants to set up a police state.
[00:35:35.081 --> 00:35:36.001]  They want more funds.
[00:35:36.001 --> 00:35:37.462]  These agencies want more funds.
[00:35:37.462 --> 00:35:41.564]  The global corporations that have gotten control of this nation want to secure their control over us.
[00:35:41.564 --> 00:35:45.647]  They need to carry out terror attacks or provocateur them or to allow them to take place.
[00:35:45.647 --> 00:35:46.407]  They do different things.
[00:35:46.407 --> 00:35:54.091]  It's a grab bag to convince the public to willingly relinquish their liberty in the name of some so-called security.
[00:35:54.091 --> 00:35:57.033]  You give up liberty, you get tyranny, not security.
[00:35:58.195 --> 00:36:03.660]  And so the bomb goes off and it kills 168 people, including a bunch of children in a daycare center.
[00:36:03.660 --> 00:36:06.022]  I don't have to remind you of all of this.
[00:36:06.022 --> 00:36:09.265]  And then it starts coming out day one that there were bombs inside the building.
[00:36:09.265 --> 00:36:11.167]  Newscasts, police start talking about it.
[00:36:11.167 --> 00:36:12.829]  They start dying.
[00:36:12.829 --> 00:36:13.850]  Firemen start talking.
[00:36:13.850 --> 00:36:15.331]  They start dying.
[00:36:15.331 --> 00:36:17.553]  I mean, we're talking about medical examiners start talking.
[00:36:17.553 --> 00:36:18.434]  They start dying.
[00:36:18.434 --> 00:36:21.657]  We're talking about gunshots to the back of the head, ladies and gentlemen.
[00:36:22.392 --> 00:36:24.435]  And then you ask, well, why didn't McVeigh speak up?
[00:36:24.435 --> 00:36:29.901]  McVeigh was totally drugged up, totally handled, and again, that's a whole other show of evidence.
[00:36:29.901 --> 00:36:34.968]  But we now have a filed federal lawsuit
[00:36:35.932 --> 00:36:41.213]  With the filing and sworn affidavit of Larry Nichols, who has nothing to gain from this.
[00:36:41.213 --> 00:36:43.734]  Life in prison for being associated with this.
[00:36:43.734 --> 00:36:45.054]  Clearly a patsy day one.
[00:36:45.054 --> 00:36:46.574]  We've always known this.
[00:36:46.574 --> 00:36:48.515]  Now let's go into how black ops work.
[00:36:48.515 --> 00:36:55.236]  The criminal elements of the government can either carry it out, or they can do their favorite thing, but it's harder and provocateur.
[00:36:55.236 --> 00:36:57.056]  Now here's an example that's not debatable.
[00:36:57.056 --> 00:37:00.937]  New York Times, CBS News, that's in road to tyranny as well.
[00:37:00.937 --> 00:37:03.078]  The evidence I'm giving you was hidden in plain view.
[00:37:03.078 --> 00:37:04.158]  No one ever got in trouble for it.
[00:37:04.927 --> 00:37:16.870]  In the first World Trade Center attack of 1993, the FBI created the group, cooked the bomb, trained the drivers, and by the grace of God, they didn't park it up against the main column like they were supposed to.
[00:37:16.870 --> 00:37:26.093]  A few days before, Ahmad Salam, the CIA-funded agent, an Egyptian intelligence agent, had been brought over to build it.
[00:37:26.093 --> 00:37:28.514]  He said, I thought it was a sting, we've got to go bust them.
[00:37:28.514 --> 00:37:30.514]  The FBI said, no, it goes forward.
[00:37:30.514 --> 00:37:32.215]  He rightfully thought they were setting him up.
[00:37:33.915 --> 00:37:41.098]  He went in and recorded the head of the FBI in New York and others saying it's going to go forward, leave it alone, you can't stop this, we'll protect you.
[00:37:41.098 --> 00:37:42.058]  So, he went, what?
[00:37:42.058 --> 00:37:43.079]  You funded me?
[00:37:43.079 --> 00:37:44.699]  You gave me over a million dollars?
[00:37:44.699 --> 00:37:49.381]  I went and built this bomb, did this, and now you're going to let it happen?
[00:37:49.381 --> 00:37:52.122]  That's a case of pure provocateur.
[00:37:52.122 --> 00:37:52.683]  Okay?
[00:37:52.683 --> 00:37:58.945]  Now, in the case of Oklahoma City, they learned not to trust the people that they trained to do it, to carry it out.
[00:37:58.945 --> 00:38:02.106]  Again, Patsy's thinking they were being led by some Islamicist.
[00:38:02.106 --> 00:38:03.227]  Some Islamofascist.
[00:38:04.682 --> 00:38:09.743]  In Oklahoma City, you have the Ryder truck that detonates outside and leaves this one-foot crater.
[00:38:09.743 --> 00:38:11.163]  They later claimed it was a 20-foot crater.
[00:38:11.163 --> 00:38:11.783]  We have the video.
[00:38:11.783 --> 00:38:12.424]  It wasn't.
[00:38:12.424 --> 00:38:15.064]  You have bombs inside blowing the building clearly out.
[00:38:15.064 --> 00:38:18.325]  So you have the diversionary blast outside, the real blast inside.
[00:38:18.325 --> 00:38:19.905]  Three of the bombs don't go off, at least.
[00:38:19.905 --> 00:38:23.506]  We have video of them being removed and the governor announcing they found more bombs.
[00:38:23.506 --> 00:38:26.326]  Because most of the BATF and police that were there were not part of it.
[00:38:26.326 --> 00:38:29.547]  They were there finding bombs and taking them out and saying, look, we got them off the columns.
[00:38:29.967 --> 00:38:31.448]  You know, there were bombs inside.
[00:38:31.448 --> 00:38:35.889]  And then the FBI and Clinton and Janet Reno said, no, no, no, no, no.
[00:38:35.889 --> 00:38:38.050]  You don't understand.
[00:38:38.050 --> 00:38:55.315]  Then state police, hours after McVeigh's driving erratically, running off the road, he's got a big yellow car with no license plate, can't be missed, they pull him over, he's drooling and saying, I've got a chip, I've got a chip, clearly out of his mind, drugged or something, under some type of mind control.
[00:38:56.195 --> 00:39:02.999]  Then, you've got these three Arabs, these three Iraqis, we even know their names, it's in the film, it's been in the news.
[00:39:02.999 --> 00:39:12.966]  One of them was Al-Husseini Hussein, who we've got Oklahoma City Police surveillance video him weeks before the bombing, sneaking around, they knew what he was involved in.
[00:39:12.966 --> 00:39:18.469]  They catch him trying to fly out of the country with blue jogging suits, wires, you name it.
[00:39:20.126 --> 00:39:22.767]  The Clinton Justice Department orders them be released.
[00:39:22.767 --> 00:39:26.529]  Then we start hearing reports that McVeigh had been staying in Elohim City with these Nazis.
[00:39:26.529 --> 00:39:29.330]  It turns out federal informants have got video of all this.
[00:39:29.330 --> 00:39:30.931]  They're told shut up and forget about it.
[00:39:30.931 --> 00:39:33.312]  Everybody's told forget about John Doe number two.
[00:39:33.312 --> 00:39:46.518]  Then we learn there's 12 surveillance cameras from the Methodist Church, from a bank, from a YMCA, from the federal building itself, across the street, showing McVeigh get out of the Ryder truck with this dark-complected, dark-haired man.
[00:39:47.715 --> 00:39:49.377]  Who he believes is one of the Iraqis.
[00:39:49.377 --> 00:39:52.599]  Going down the street, other cars, everybody breaks up and drives off.
[00:39:52.599 --> 00:39:56.282]  The Feds declare national security on that and seal it.
[00:39:56.282 --> 00:40:05.089]  Valiant FBI agents go public in the LA Times, the Washington Post, we have those articles in the films, and they say, listen, we've seen the surveillance before it got sealed.
[00:40:05.089 --> 00:40:06.950]  It shows Iraqis.
[00:40:06.950 --> 00:40:11.614]  Congressman Dana Roybacher goes on MSNBC and CNN in the last few weeks.
[00:40:13.391 --> 00:40:18.557]  There's a connection to the Philippines, and Bojinka, and to Ramsey Yusuf, and it's Iraq!
[00:40:18.557 --> 00:40:20.258]  Oh my gosh, it's Iran!
[00:40:20.258 --> 00:40:23.321]  See how far back they planted all of this?
[00:40:23.321 --> 00:40:31.390]  And it's in the signed depositions that, there's two of them, it's not just Nichols, it's one of the other individuals in there as well, that's gone to prison over this.
[00:40:32.817 --> 00:40:45.426]  They admit that Rohrabacher went in and interviewed him a few months ago, but said, I don't want to talk about anything but your trip to the Philippines, I don't want to talk about anything but Arabs, and there was an FBI agent there not letting Nichols tell him everything he knew.
[00:40:45.426 --> 00:40:53.432]  That's all sworn to in here, and Rohrabacher, the congressman, the neocon, who poses as the good guy, admittedly went and interviewed him.
[00:40:54.807 --> 00:41:10.098]  So, we've got white supremacists involved, we've got McVeigh going to every major gun show in the country, every major militia compound in the country, and it says to create a history, to create a ledger, to create a story, to create a connection between him and the militia movement so the bombing could be blamed on him.
[00:41:10.098 --> 00:41:16.943]  Then, in the affidavit, Larry Potts reportedly calls up this FBI top agent, calls up McVeigh and says,
[00:41:18.050 --> 00:41:21.432]  The bombing isn't going to be in Omaha or Dallas now, it's going to be in Oklahoma City.
[00:41:21.432 --> 00:41:29.196]  McVeigh blows up and says, I was recruited out of the military into a secret assassination black ops squad, which we already knew.
[00:41:29.196 --> 00:41:36.779]  We've got video of him at bases two years after he was supposedly out of the military, that by the way we broke, up on PrisonPlanet.com, and we've been on this story.
[00:41:36.779 --> 00:41:38.300]  And again, that's a whole other discussion there.
[00:41:41.633 --> 00:41:48.196]  So, you've got Andrei Strassmayer, who turns out to be a German intelligence agent, posing as a national Nazi, who's connected to McVeigh.
[00:41:48.196 --> 00:41:49.497]  You've got all this going on.
[00:41:49.497 --> 00:41:50.658]  Perfect black-off.
[00:41:50.658 --> 00:41:59.582]  You've got Arabs involved, you've got white supremacists, you've got FBI with a special forces operative, McVeigh going out, doing all this.
[00:41:59.582 --> 00:42:00.823]  Clearly set up.
[00:42:00.823 --> 00:42:07.206]  And then you learn what was originally in the sealed documents inside the Denver trial.
[00:42:08.118 --> 00:42:09.860]  Of McVeigh and Nichols.
[00:42:09.860 --> 00:42:14.143]  You learn what we've gotten from police and others who investigated this.
[00:42:14.143 --> 00:42:16.065]  That Nichols was completely set up.
[00:42:16.065 --> 00:42:17.587]  That he was on the periphery.
[00:42:17.587 --> 00:42:23.191]  That all he did was help rob a facility of some gel explosives at a mining outfit.
[00:42:23.191 --> 00:42:26.975]  That his family was threatened the entire time to do all of this.
[00:42:27.998 --> 00:42:35.887]  You then learn that they told him to rob this individual Roger Moore of guns, which it turns out was a federal informant.
[00:42:35.887 --> 00:42:44.017]  They were creating a history, again a ledger, and then when he got there, Moore knew it was all staged and quote, part of the FBI script.
[00:42:44.017 --> 00:42:48.082]  So those guns could later be found at Nichols' home.
[00:42:50.143 --> 00:42:53.525]  And McVeigh gave them a small box of explosives and said, keep these.
[00:42:53.525 --> 00:42:59.848]  So it was clear that McVeigh was planning to set up Nichols, and they ended up burning their own operative, just like Lee Harvey Oswald, who was Special Forces.
[00:42:59.848 --> 00:43:03.290]  By the way, we now have his CIA control number.
[00:43:03.290 --> 00:43:05.611]  Only black operators are even gonna understand what I'm talking about.
[00:43:05.611 --> 00:43:08.733]  This is so complex.
[00:43:08.733 --> 00:43:12.594]  And I bet you are listening, aren't you, you black operators?
[00:43:12.594 --> 00:43:14.876]  Well, I'm already in it, so I'm gonna go all the way.
[00:43:14.876 --> 00:43:17.457]  When we get back, I'll continue to try to break all this down.
[00:43:18.115 --> 00:43:22.271]  And explain what the Arabs were really doing, what the white supremacists were doing.
[00:43:22.271 --> 00:43:23.536]  We really carried out the bombing.
[00:43:23.536 --> 00:43:23.937]  Stay with us.
[00:43:33.066 --> 00:43:41.449]  For years, you've been hearing about Herbal Healer Academy and how it's remained the leader in effective alternative and natural medicine and education.
[00:43:41.449 --> 00:43:45.010]  But how can they continue to hold that title for years on end?
[00:43:45.010 --> 00:43:48.431]  The answer is high quality and huge selection.
[00:43:48.431 --> 00:43:53.673]  Just visit HerbalHealer.com and shop online or request a free catalog.
[00:43:53.673 --> 00:43:56.014]  You're bound to find the alternative you're looking for.
[00:43:56.754 --> 00:44:01.940]  Did you know that Herbal Healer carries the latest, safest, and effective weight loss products?
[00:44:01.940 --> 00:44:08.146]  You can also count on Herbal Healer for the largest selection of safe and natural supplements just for children.
[00:44:08.146 --> 00:44:09.768]  And don't forget your pets.
[00:44:09.768 --> 00:44:15.434]  Herbal Healer even has natural mineral supplements for all your animals, including horses, cows, and birds.
[00:44:15.874 --> 00:44:22.757]  Take a peek at their online calendar and you're sure to find everything you need and maybe something you didn't realize you needed.
[00:44:22.757 --> 00:44:28.119]  Visit HerbalHealer.com and don't forget to sign up for the free Herbal Healer newsletter.
[00:44:28.119 --> 00:44:32.520]  HerbalHealer.com, working with the power of nature.
[00:44:32.520 --> 00:44:39.143]  The ideology powering the Democrats and Republicans is not liberalism or conservatism, but globalism.
[00:44:39.143 --> 00:44:42.484]  Globalists are concerned with what's good for big business and the American empire.
[00:44:45.304 --> 00:44:48.985]  The only antidote to the poison of globalism is nationalism.
[00:44:48.985 --> 00:44:51.226]  Start reading The Nationalist Times each month.
[00:44:51.226 --> 00:44:56.908]  The Nationalist Times promotes a common sense, intelligent, and passionate alternative to the reigning party line.
[00:44:56.908 --> 00:45:05.910]  Published monthly since 1985, The Nationalist Times is a 20-page newspaper featuring outstanding writers and columnists who don't believe in taboos or sacred cows.
[00:45:05.910 --> 00:45:09.311]  Be one of the many thousands of loyal readers of The Nationalist Times.
[00:45:09.311 --> 00:45:11.132]  Subscribe now to The Nationalist Times
[00:45:11.192 --> 00:45:11.753]  Hey, it's me.
[00:45:11.753 --> 00:45:13.034]  I got something, man, I want you to look at.
[00:45:39.875 --> 00:45:40.555]  What?
[00:45:40.555 --> 00:45:41.715]  What is it now?
[00:45:41.715 --> 00:45:44.716]  It's called OneYearToRetire.net.
[00:45:44.716 --> 00:45:47.657]  When you get home, I want you to go to OneYearToRetire.net.
[00:45:47.657 --> 00:45:49.337]  Come on, you gotta be kidding.
[00:45:49.337 --> 00:45:50.657]  One year to retire?
[00:45:50.657 --> 00:45:53.718]  When are you gonna get it through your head that there is no quick fix?
[00:45:53.718 --> 00:45:54.978]  No free lunch?
[00:45:54.978 --> 00:45:55.598]  I know.
[00:45:55.598 --> 00:45:56.499]  I agree with you.
[00:45:56.499 --> 00:45:58.019]  This isn't like that.
[00:45:58.019 --> 00:46:01.660]  It's an ingenious system that's designed to help you retire in one year.
[00:46:01.660 --> 00:46:07.081]  I was skeptical too, but the system is free, and when I looked at it, I was sure it would work.
[00:46:07.748 --> 00:46:08.669]  What have you got to lose?
[00:46:08.669 --> 00:46:09.589]  It's free.
[00:46:09.589 --> 00:46:15.173]  Well... All you have to do is go to OneYearToRetire.net and get a free system.
[00:46:15.173 --> 00:46:16.374]  It only takes a minute.
[00:46:16.374 --> 00:46:19.216]  You've got nothing to lose and everything to gain.
[00:46:19.216 --> 00:46:21.638]  Go to OneYearToRetire.net.
[00:46:21.638 --> 00:46:24.380]  That's OneYearToRetire.net.
[00:46:24.380 --> 00:46:24.900]  Or call 888-200-0265.
[00:46:24.900 --> 00:46:25.080]  That's 888-200-0265.
[00:46:32.737 --> 00:46:35.839]  Are you concerned about the high cost of prescription drugs?
[00:46:35.839 --> 00:46:42.343]  Since January of 2006, RxDrugCard.com members have saved an average of $33 per prescription filled.
[00:46:42.343 --> 00:46:44.685]  That's over 46% savings!
[00:46:44.685 --> 00:46:46.966]  The average savings for generic drugs was over 71%.
