[00:00:00.309 --> 00:00:02.631]  Find out right now.
[00:39:13.594 --> 00:39:15.055]  It might be too expensive.
[00:39:15.055 --> 00:39:15.675]  I don't know.
[00:39:15.675 --> 00:39:27.382]  One of the things we have to keep in mind about depleted uranium, and any of these nefarious substances, including weapons of mass destruction, chemical weapons, non-lethal weapons which are being used in Iraq currently,
[00:39:28.428 --> 00:39:35.993]  As we remember in Fallujah just a year or two ago, napalm being used on citizens and children.
[00:39:35.993 --> 00:39:45.499]  Of course, this was also used in the war last summer, the genocidal war against Beirut and Lebanon by Israel, a total and abject failure.
[00:39:45.499 --> 00:39:50.122]  Again, more so empowering Hezbollah or Hamas than anything else.
[00:39:50.122 --> 00:39:56.425]  But we have to remember about this, and I know people are going to be upset when I say this, but this is really the truth.
[00:39:56.425 --> 00:39:57.126]  This is war.
[00:39:58.288 --> 00:40:14.704]  So if anybody's listening to this broadcast and maybe now you're wondering, well you're probably pretty sure at this point that you made a mistake in initially supporting the war, the war on terror, George Bush's war or domination of the Middle East, remember that this is what you're supporting.
[00:40:15.422 --> 00:40:20.443]  If there's anybody out there that still thinks, and we've got a clip from Kurt Nimmo's website.
[00:40:20.443 --> 00:40:22.763]  It's kind of a jaywalking thing.
[00:40:22.763 --> 00:40:23.443]  People don't know.
[00:40:23.443 --> 00:40:27.904]  I think one of the things is, name a country that starts with U. Nobody could think of one.
[00:40:27.904 --> 00:40:28.964]  They live in one.
[00:40:28.964 --> 00:40:31.545]  But, I mean, this is the type of people we deal with.
[00:40:31.545 --> 00:40:37.346]  If you're one of those people, you know one of these people, make sure that they understand that this is what war is.
[00:40:37.346 --> 00:40:38.846]  War isn't pretty.
[00:40:38.846 --> 00:40:42.246]  War kills people, kills little children.
[00:40:42.246 --> 00:40:44.967]  War promotes genocide and eugenics, among other things.
[00:40:45.882 --> 00:40:48.505]  And war is an ugly, ugly business.
[00:40:48.505 --> 00:40:54.111]  Now, I remember when I hosted an event with Scott Ritter, who was the former UNSCOM weapons inspector.
[00:40:54.111 --> 00:40:59.377]  He's, of course, the one that noted from the very beginning that they wouldn't find weapons of mass destruction in Iraq.
[00:40:59.377 --> 00:41:01.219]  He was there looking for them.
[00:41:01.219 --> 00:41:06.165]  And this is how we knew, I guess, ahead of Tim Russert and the rest of the media shills that this would be
[00:41:07.499 --> 00:41:14.925]  A folly to go in there and of course using weapons of mass destruction as a pretext to go in would most certainly be proven wrong.
[00:41:14.925 --> 00:41:25.693]  But going back to an event I did with Scott Ritter and I asked him the question about depleted uranium and he agreed it is a deadly substance that needs to be eradicated but almost excused it saying look we're in war.
[00:41:26.405 --> 00:41:35.298]  And when I'm in war, I want to use every possible method I can to stay alive and to keep my brothers and sisters alive who are fighting next to me.
[00:41:35.298 --> 00:41:37.562]  And if it's depleted uranium, I'll think about it later.
[00:41:38.334 --> 00:41:47.384]  And that was a very telling statement, and you could be mad at me for saying it, or mad at Scott Ritter for bringing up that point, but I think that is the point that needs to be made.
[00:41:47.384 --> 00:41:50.067]  This is what war is.
[00:41:50.067 --> 00:41:51.768]  War is depleted uranium.
[00:41:51.768 --> 00:41:53.230]  War is genocide.
[00:41:53.230 --> 00:41:57.695]  War is the torturing of children in front of their parents to extract information.
[00:41:59.264 --> 00:42:27.098]  among many other things so it is so important to understand that before we go headlong into the next war and certainly that day will come let's remember exactly what war is this is the result of it not to mention the inflated profits in war profiteering by the usual suspects who continue to get more power as they play one of us against another one of us as they promote the clash of civilizations or culture clashes
[00:42:29.755 --> 00:42:32.017]  We're going to take your calls here in just a bit.
[00:42:32.017 --> 00:42:34.498]  I got a lot more information about depleted uranium.
[00:42:34.498 --> 00:42:36.740]  I'll leave it up to you to do your own research.
[00:42:36.740 --> 00:42:42.244]  Please, if you've not heard of DU, please go out and research it and please help us try to do something about this.
[00:42:42.244 --> 00:42:45.807]  If you really and truly support the troops, you'll do that.
[00:42:45.807 --> 00:42:49.009]  In a related story, and this just happened here last week,
[00:42:50.180 --> 00:42:54.742]  The court backs the EPA chief in the 9-11 toxins case.
[00:42:54.742 --> 00:43:15.632]  A federal appellate court has decided that it was not a conscious, shocking deal for the head of the Environmental Protection Agency, the EPA, to have reassured New Yorkers that their air near Ground Zero was safe following the September 11, 2001 terrorist attacks, even if the air was toxic.
[00:43:15.632 --> 00:43:16.572]  Again, let me repeat,
[00:43:17.876 --> 00:43:23.282]  This is what the federal appellate court ruled this week, last week.
[00:43:23.282 --> 00:43:36.837]  That even if the air at Ground Zero was toxic, that it wasn't, quote-unquote, conscience-shocking for the head of the EPA to have reassured New Yorkers to go back to work and to go out and go shopping.
[00:43:38.999 --> 00:43:43.040]  That was a decision, I believe from last Friday, by the 2nd U.S.
[00:43:43.040 --> 00:43:51.282]  Circuit Court of Appeals, throwing out lawsuits against the former leader of the EPA, Christine Todd Whitman.
[00:43:51.282 --> 00:44:02.664]  The panel of three judges reasoned that the government's interest in returning New York to normalcy following the attack should protect it from the lawsuits, alleging, no, telling
[00:44:03.655 --> 00:44:06.677]  That the government made false statements about air quality.
[00:44:06.677 --> 00:44:09.899]  Again, they're not saying that the government didn't make false statements.
[00:44:09.899 --> 00:44:13.481]  They just believe that this was perfectly in order.
[00:44:13.481 --> 00:44:24.067]  The court did not make any factual findings as to the quality of the air, or as to whether the EPA had intentionally misled the public, which they did.
[00:44:24.067 --> 00:44:27.909]  And let's not forget that Hitlery Clinton was involved in this, which Ms.
[00:44:27.909 --> 00:44:29.430]  Whitman has denied in doing.
[00:44:30.270 --> 00:44:34.633]  Of course, don't expect them to admit it anytime soon, especially when they have the U.S.
[00:44:34.633 --> 00:44:37.475]  Appellate Court of Appeals on their side.
[00:44:37.475 --> 00:44:38.495]  This is their ruling.
[00:44:38.495 --> 00:44:59.769]  Quote, when great harm is likely to befall someone no matter what the government official does, the allocation of risk may be a burden on the conscience of the one who must take such decisions, but does not shock the contemporary conscience.
[00:45:00.615 --> 00:45:03.057]  How's that for Orwellian, folks?
[00:45:03.057 --> 00:45:21.568]  The Circuit Chief's Judge Dennis Jacobs wrote, quote, These principles apply, notwithstanding the great service rendered by those who repaired New York, the heroism of those who entered the site when it was unstable and on fire, and the serious health consequences that are plausibly alleged.
[00:45:21.568 --> 00:45:23.930]  Again, this is the ruling.
[00:45:24.918 --> 00:45:40.242]  That it wouldn't have mattered because the government couldn't have cleaned up the air, they couldn't have evacuated and shut down New York, so encouraging people to go out and to breathe the air was not conscience-shocking, quote-unquote.
[00:45:40.242 --> 00:45:46.504]  Whether a government official's actions are conscience-shocking, again they use this, I guess this is a legal term, I've never heard of it,
[00:45:47.729 --> 00:45:54.413]  They say it's a legal standard that decides whether an official is liable in certain types of lawsuits.
[00:45:54.413 --> 00:46:16.267]  This could, by the way, set the stage for further information coming out, because it's very possible, with the evidence that we have, with the emotions involved in this, with the critical mass that 9-11 Truth is becoming, it is very possible that you might see an actual confession
[00:46:17.139 --> 00:46:21.200]  Like the one Kerry is alleged to have given here at Book People in Austin, Texas.
[00:46:21.200 --> 00:46:25.061]  That yes, we admit we pulled the buildings to save life and property.
[00:46:25.061 --> 00:46:30.803]  But that's not conscience-shocking because we couldn't do anything else and of course we were only trying to protect the people.
[00:46:30.803 --> 00:46:34.243]  So I don't know if this sets a precedent or a standard for something like that.
[00:46:34.243 --> 00:46:35.724]  It certainly seems to.
[00:46:35.724 --> 00:46:44.026]  If nothing else, it sets a standard that the people who are dying as a result from, and as the Firefighters Union says,
[00:46:44.858 --> 00:46:57.222]  sending in rescue workers, not to rescue people, not to find the remains of the loved ones and the victims of 9-11, but to find the gold from the Nova Scotia Bank, which Rudy Giuliani ordered them to find.
[00:46:57.222 --> 00:47:05.965]  Of course, again, as the Firefighters Union has stated, as soon as they found that gold, all rescue efforts were called off immediately.
[00:47:05.965 --> 00:47:11.467]  So that's why they sent them in, and certainly I'm sure this wasn't entered into this particular trial.
[00:47:12.202 --> 00:47:23.352]  Again, whether a government official's actions are conscience-shocking, quote-unquote, is a legal standard that decides whether an official is liable in certain types of lawsuits.
[00:47:23.352 --> 00:47:33.882]  I always thought that if you accepted there were lies, lies to get these people working down there, and that those lies were inherently conscience-shocking,
[00:47:36.511 --> 00:47:37.913]  That there would be a case.
[00:47:37.913 --> 00:47:43.479]  So said the lawyer who brought the case, Steven Riegel of Whiteson Luxembourg PC.
[00:47:43.479 --> 00:47:45.381]  Hmm.
[00:47:45.381 --> 00:47:52.429]  Lawsuit was a class action suit on behalf of those who searched for the survivors and cleaned up Ground Zero following the attacks.
[00:47:52.429 --> 00:47:55.372]  The men now suffer respiratory ailments, to put it lightly.
[00:47:56.036 --> 00:47:58.738]  A spokesman for the Justice Department declined to comment.
[00:47:58.738 --> 00:48:07.083]  The court's holding in the case suggests that it will also dismiss a similar suit brought on behalf of the residents near the World Trade Center.
[00:48:07.083 --> 00:48:17.689]  The ruling yesterday is unlikely to have a result on another class action suit on behalf of the workers at Ground Zero, which was brought under a different legal theory, and good for them.
[00:48:17.689 --> 00:48:20.251]  Apparently, they might escape this ruling.
[00:48:20.251 --> 00:48:24.794]  The panel also included judges Rina Raggi and Robert Sack.
[00:48:25.835 --> 00:48:35.998]  In a related story, I guess we can head this up with, could Tom Cruise be the next 9-11 truther?
[00:48:35.998 --> 00:48:42.300]  Because this is exactly what Tom Cruise is doing right now, and maybe why he's been attacked for quite some time, among other things.
[00:48:42.300 --> 00:48:48.582]  Of course, he's come out against the psychiatric control industry and prescription drugs, among other things.
[00:48:48.582 --> 00:48:51.523]  But will he be the next 9-11 celebrity truther?
[00:48:51.523 --> 00:48:53.164]  Tom Cruise's latest efforts
[00:48:53.840 --> 00:48:59.682]  Isn't for the big screen, it's for the New York Police, Firefighters and Paramedics of September 11th.
[00:48:59.682 --> 00:49:10.526]  Cruz appeared last Thursday at a private dinner in Manhattan to raise money for the New York Rescue Workers Detoxification Project, a program he co-founded in 2002 with his wife Katie Holmes.
[00:49:14.358 --> 00:49:33.574]  The program based in principles developed by L. Ron Hubbard, they'll have to throw that in the news store to try to discredit it, offers free treatment to emergency workers who suffer breathing difficulties and other health problems stemming from exposure to toxins at ground zero after September 11, 2001.
[00:49:33.574 --> 00:49:39.219]  Nearly six years later, many are still paying a price for their heroic service at the World Trade Center.
[00:49:39.219 --> 00:49:41.281]  This is a profound injustice
[00:49:42.356 --> 00:49:48.954]  Said the 44 year old actor in a statement to the Associated Press, this project has demonstrated that recovery is not only possible...
[00:49:49.767 --> 00:49:51.347]  But an inconvertible fact.
[00:49:51.347 --> 00:49:58.449]  The program has treated 785 workers since its inception, said the director Jim Woodworth.
[00:49:58.449 --> 00:50:05.510]  Each worker is given vitamins and nutritional counseling and participates in the daily exercise and sauna sessions.
[00:50:05.510 --> 00:50:08.150]  The program takes about 30 days to complete, he said.
[00:50:08.150 --> 00:50:15.832]  The thing is, they're of course writing in here that this is some kooky Scientology program, when really all this is
[00:50:16.798 --> 00:50:26.605]  All this really breaks down to is a big and well-known detoxification program which was adopted by the Scientologists.
[00:50:26.605 --> 00:50:32.769]  So of course you understand we're not promoting Scientology by saying something nice about Tom Cruise.
[00:50:32.769 --> 00:50:35.091]  I suppose this particular effort makes him gay.
[00:50:35.091 --> 00:50:35.451]  I don't know.
[00:50:36.624 --> 00:50:52.758]  But I do know that there are detoxification procedures, some of them which are time-consuming and very expensive, which can be used in order to help these people better than just slapping a court ruling and saying that it wasn't shocking enough to the conscience.
[00:50:52.758 --> 00:50:55.340]  I don't know how that helps the people recover.
[00:50:55.340 --> 00:51:00.505]  I do know that detoxification in this case, if it doesn't help, certainly isn't going to hurt.
[00:51:03.903 --> 00:51:09.905]  So I'd like to support that effort, and also I think I'm going to send Tom Cruise some enter food.
[00:51:09.905 --> 00:51:13.426]  The website for this is, I believe, NYDetox.org.
[00:51:13.426 --> 00:51:17.528]  You can find out more about the New York Rescue Workers Detoxification Program.
[00:51:17.528 --> 00:51:21.609]  We'll come right back and take your calls, cover more news and information you're not getting anywhere else.
[00:51:21.609 --> 00:51:22.850]  This is the Alex Jones Show.
[00:51:22.850 --> 00:51:26.051]  I'm Jack Blood, sitting in for Alex Jones, Infowars.com, PrisonPlanet.com.
[00:51:39.443 --> 00:51:45.287]  It's here, after a year in production and traveling to distant lands, my new film Terror Storm is complete.
[00:51:45.287 --> 00:51:52.892]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[00:51:53.624 --> 00:52:01.070]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[00:52:01.070 --> 00:52:12.818]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[00:52:12.818 --> 00:52:16.781]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[00:52:16.781 --> 00:52:19.043]  It's an anthology of government crimes.
[00:52:19.043 --> 00:52:22.866]  Terror Storm is a film that everyone who wants to be truly informed must see.
[00:52:23.470 --> 00:52:30.922]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[00:52:36.713 --> 00:52:45.263]  Hello folks, Alex Jones here introducing Prudent Places USA, an interactive CD book that is your premier resource for hard-to-find information.
[00:52:45.263 --> 00:52:55.335]  Find out about everything from job migration to evacuation information, such as major bridges in disrepair and FEMA evacuation time studies for coastal cities.
[00:52:55.795 --> 00:53:01.860]  Zero in on man-made disaster zones, environmental areas of concern, and natural disaster zones.
[00:53:01.860 --> 00:53:12.768]  Find out everything from where to get water in an emergency, the geographic income levels, housing prices, complete with over 3 gigabytes of detailed information on the 3,000 plus counties in the U.S.
[00:53:12.768 --> 00:53:13.729]  Full color photograph.
[00:53:13.789 --> 00:53:14.250]  I think so.
[00:53:36.423 --> 00:53:38.365]  Hello friends, Alex Jones here.
[00:53:38.365 --> 00:53:42.409]  I want you to imagine waking up one morning to find out you've been burglarized.
[00:53:42.409 --> 00:53:45.131]  An intruder has taken your personal possessions.
[00:53:45.131 --> 00:53:51.497]  Credit card numbers, social security cards, banking information, and more, all in the hands of a total stranger.
[00:53:51.497 --> 00:53:56.382]  What's worse is, you realize he got it through your front door, because you left it unlocked.
[00:53:56.582 --> 00:54:05.925]  Every time you walk away from your computer, leaving your internet connection on, you are virtually inviting hackers, criminals, and Big Brother to access your personal information.
[00:54:05.925 --> 00:54:12.206]  Put a stop to this right now with the Net7 Network Security Switch from Net7 Technologies.
[00:54:12.206 --> 00:54:15.227]  Turn your internet on and off with one simple switch.
[00:54:15.367 --> 00:54:18.829]  There's no software to load, and it's so easy to install.
[00:54:18.829 --> 00:54:24.712]  Right now, you can order your NET7 security switch from NET7 Technologies for only $39.95.
[00:54:24.712 --> 00:54:28.233]  For a limited time, receive free shipping with your order.
[00:54:28.233 --> 00:54:30.354]  Visit net7tech.com.
[00:54:30.354 --> 00:54:35.417]  That's NET, the number 7, tech.com, and start protecting yourself today.
[00:54:52.290 --> 00:54:53.170]  Thanks again.
[00:55:25.260 --> 00:55:50.893]  Wake up boys, there's a light at the window I can hear someone knocking on the door
[00:55:52.702 --> 00:56:06.490]  Thanks again for joining us today, folks.
[00:56:06.490 --> 00:56:09.591]  I think our ISDN line just cut out for a minute, but we are back.
[00:56:09.591 --> 00:56:11.532]  Jack Blood, again, sitting in for Alex Jones.
[00:56:11.532 --> 00:56:12.793]  We're going to go to your calls here.
[00:56:12.793 --> 00:56:14.394]  We've got about 10 minutes to take your calls.
[00:56:14.394 --> 00:56:17.075]  We have a guest that we'll have up for about 10-15 minutes.
[00:56:17.075 --> 00:56:18.036]  Go back to your calls.
[00:56:18.917 --> 00:56:25.926]  And cover a lot of news breaking that you're not hearing anywhere else but on the GCN radio network on the program today.
[00:56:25.926 --> 00:56:27.809]  Alex was scheduled to join us here.
[00:56:27.809 --> 00:56:29.732]  I'm sure he will be very soon.
[00:56:29.732 --> 00:56:31.334]  We'll look forward to that.
[00:56:31.334 --> 00:56:34.999]  Just real quick here, if you have not seen Terror Storm, you have not
[00:56:35.359 --> 00:56:45.126]  Purchase Terror Storm or the Alex Jones films which have really set new standards for documentary filmmaking and DIY filmmaking across this world.
[00:56:45.126 --> 00:56:46.207]  You need to do that now.
[00:56:46.207 --> 00:56:54.874]  That supports the effort in order to continue building the network, continue building on the work that Alex has done such a great job at.
[00:56:55.414 --> 00:56:57.374]  There's actually a deal right now.
[00:56:57.374 --> 00:57:01.595]  You can get both Freedom to Fascism and Terror Storm for a reduced price.
[00:57:01.595 --> 00:57:03.696]  These are two films you want everybody to see.
[00:57:03.696 --> 00:57:07.276]  Terror Storm documents the history of false flag terrorism.
[00:57:07.276 --> 00:57:09.277]  Goes into 9-11 information.
[00:57:09.277 --> 00:57:11.197]  A very, very important film.
[00:57:11.197 --> 00:57:15.078]  Breaking and smashing records for downloads all across the internet.
[00:57:15.078 --> 00:57:20.819]  If you haven't seen this or if you haven't purchased the actual edition of it, please do so.
[00:57:20.819 --> 00:57:21.579]  Make copies.
[00:57:21.579 --> 00:57:22.060]  Get them out.
[00:57:22.060 --> 00:57:24.280]  Make sure everybody receives copies of Terror Storm.
[00:57:24.580 --> 00:57:25.683]  And from freedom to fascism.
[00:57:25.683 --> 00:57:30.894]  You can get them now by going to InfoWars.com InfoWars.com or you can simply call toll-free 888-253-3139
[00:57:34.682 --> 00:57:35.962]  Yes, good morning.
[00:57:35.962 --> 00:57:37.623]  I wanted to tell you that last Thursday night,
[00:58:01.926 --> 00:58:07.254]  Here in Chicago, I went to a place where William Gonzales was telling his story.
[00:58:07.254 --> 00:58:08.656]  Sure.
[00:58:08.656 --> 00:58:17.590]  And he almost didn't get to the theater in time because... ...away from him.
[00:58:18.226 --> 00:58:21.088]  Now this is one of the last men out.
[00:58:21.088 --> 00:58:23.109]  One of the 9-11 heroes.
[00:58:23.109 --> 00:58:26.530]  Decorated by President Bush as a hero for 9-11.
[00:58:26.530 --> 00:58:32.794]  Recruited by the Republican Party to be a big candidate, which he turned down because he wanted to talk about what he talked about.
[00:58:32.794 --> 00:58:34.074]  Okay, so he was detained.
[00:58:34.074 --> 00:58:34.895]  I hadn't heard that.
[00:58:34.895 --> 00:58:36.956]  He's being treated like a terrorist now.
[00:58:38.543 --> 00:58:39.863]  Did he make it to the event?
[00:58:39.863 --> 00:58:43.284]  He got there in time.
[00:58:43.284 --> 00:58:52.927]  I read on thelonelantern.org that he has to go back with his lawyer and get his passport again.
[00:58:52.927 --> 00:58:56.148]  He says that he has quite often been hassled.
[00:58:56.607 --> 00:58:59.229]  At the airport, they keep questioning him.
[00:58:59.229 --> 00:59:00.090]  Where are you going?
[00:59:00.090 --> 00:59:00.930]  What are you doing?
[00:59:00.930 --> 00:59:05.374]  And he says, I've told you... But that hasn't stopped him from telling the truth around the world.
[00:59:05.374 --> 00:59:08.336]  And this is, I'm sure, precisely why this has happened.
[00:59:08.336 --> 00:59:09.397]  Thank you for that update, Rose.
[00:59:09.397 --> 00:59:10.377]  You're more than welcome to hang.
[00:59:10.377 --> 00:59:12.439]  We'll also go to Phil, Charles, Richard, and Lucas.
[00:59:12.439 --> 00:59:16.062]  Stay tuned.
[00:59:16.062 --> 00:59:20.305]  Order a copy of this show for your friends and family at GCNlive.com or call 877-300-7645.
[00:59:26.562 --> 00:59:35.073]  Hello folks, Alex Jones here introducing Prudent Places USA, an interactive CD book that is your premier resource for hard-to-find information.
[00:59:35.073 --> 00:59:45.145]  Find out about everything from job migration to evacuation information, such as major bridges in disrepair and FEMA evacuation time studies for coastal cities.
[00:59:45.625 --> 00:59:51.669]  Zero in on man-made disaster zones, environmental areas of concern, and natural disaster zones.
[00:59:51.669 --> 00:59:56.333]  Find out everything from where to get water in an emergency to geographic income levels.
[00:59:56.333 --> 00:59:57.233]  Housing on the 3,000 plus...
[00:59:59.389 --> 01:00:06.133]  Full-color photographs, 550 high-resolution full-color maps, and detailed information and analysis that you need.
[01:00:06.133 --> 01:00:12.037]  Order Prudent Places USA now for only $29 plus shipping by calling New Millennium at 888-803-4438.
[01:00:12.037 --> 01:00:13.498]  And tell them Alex Jones sent you.
[01:00:13.498 --> 01:00:15.219]  That's 888-803-4438 or order online at murkywater.com.
[01:00:25.396 --> 01:00:27.797]  Waging war on corruption.
[01:00:27.797 --> 01:00:37.079]  Alex Jones on the GCN Radio Network.
[01:00:37.079 --> 01:00:38.379]  Big Brother.
[01:00:38.379 --> 01:00:40.160]  Mainstream media.
[01:00:40.160 --> 01:00:41.920]  Government cover-ups.
[01:00:41.920 --> 01:00:43.480]  You want answers?
[01:00:43.480 --> 01:00:45.421]  Well, so does he.
[01:00:45.421 --> 01:00:49.222]  He's Alex Jones on the GCN Radio Network.
[01:00:49.222 --> 01:00:53.283]  And now, live from Austin, Texas, Alex Jones.
[01:00:55.467 --> 01:00:59.829]  You want answers, so do I. I'm Jack Blood, filling in for Alex Jones.
[01:00:59.829 --> 01:01:05.232]  Alex Jones getting to the answers by asking the right questions.
[01:01:05.232 --> 01:01:07.093]  And moving us to the right debate.
[01:01:07.093 --> 01:01:12.295]  That's extremely important, and that's the job we've been doing, though, these many years.
[01:01:12.295 --> 01:01:15.977]  I really believe 9-11 truth, truth action in general.
[01:01:17.165 --> 01:01:21.467]  A new paradigm is being built and we are heading towards critical mass.
[01:01:21.467 --> 01:01:26.649]  We are the proverbial truth snowball rolling down the hill getting bigger and bigger all the time.
[01:01:26.649 --> 01:01:31.552]  Get out of the way or you'll be run over by truth action in 9-11 truth.
[01:01:33.117 --> 01:01:34.477]  We're going to go to a few more calls here.
[01:01:34.477 --> 01:01:41.680]  I have a quick interview to do, and then we'll go back to your calls and continue to cover news today, this Monday, the 23rd of April, 2007.
[01:01:41.680 --> 01:01:43.041]  Let's go to Phil in Detroit.
[01:01:43.041 --> 01:01:44.061]  Phil, thank you for holding.
[01:01:44.061 --> 01:01:45.521]  You're on the Alex Jones Show.
[01:01:45.521 --> 01:01:45.782]  Hi.
[01:01:45.782 --> 01:01:48.683]  What was the name that you used there?
[01:01:48.683 --> 01:01:49.703]  Conscience what?
[01:01:50.678 --> 01:01:56.523]  The judge used... Yeah, uh, conscience shock, I believe was the appropriate term.
[01:01:56.523 --> 01:01:58.685]  Conscience shocking.
[01:01:58.685 --> 01:02:00.106]  It's not conscience shocking.
[01:02:00.106 --> 01:02:04.450]  Yes, that's correct, so therefore it's not a crime if it's not conscience shocking.
[01:02:04.450 --> 01:02:05.792]  Orwellian, isn't it?
[01:02:05.792 --> 01:02:11.757]  Well, I mean, honestly, I mean, you know, when they nuke Washington because the people have come to drag these
[01:02:12.529 --> 01:02:18.611]  Criminals out in the street and hang them, is that going to be not-conscience-shocking, I guess?
[01:02:18.611 --> 01:02:22.253]  I mean, it's a semantical game, isn't it?
[01:02:22.253 --> 01:02:24.074]  What does shocking mean to the courts?
[01:02:24.074 --> 01:02:25.674]  What does a conscience mean to the courts?
[01:02:25.674 --> 01:02:29.016]  They don't have a conscience, so how could they even comment on this?
[01:02:29.016 --> 01:02:31.096]  This is Orwellian beyond belief.
[01:02:31.096 --> 01:02:36.699]  I mean, you can't even read a story like that without having to get out your decoder book and figure out what they're really saying.
[01:02:36.699 --> 01:02:41.741]  You know, my box of cornflakes never came with rain.
[01:02:42.859 --> 01:02:57.129]  Well, it is a total crime and it is a slap in the face to the rescue workers, the people, the residents that lived in that area that were told to go out and go shopping when the government knew that there was toxic dust floating around everywhere, okay?
[01:02:57.129 --> 01:02:58.710]  So, it is a slap in the face.
[01:02:58.710 --> 01:03:10.117]  So, not only does our government not support the troops by littering depleted uranium everywhere, but they don't support the victims of 9-11 by doing this and trying to whitewash this and cover it up.
[01:03:10.117 --> 01:03:11.518]  Again, the court doesn't have a conscience.
[01:03:11.518 --> 01:03:12.719]  They have no right to comment on it.
[01:03:12.999 --> 01:03:18.240]  Of course they didn't plant explosives in the building because of the asbestos problem.
[01:03:18.240 --> 01:03:26.002]  I wouldn't have had anything to do with that motivation.
[01:03:26.002 --> 01:03:29.102]  We really have to get these criminals tried.
[01:03:29.102 --> 01:03:32.623]  The problem is that we're fighting against liars.
[01:03:32.623 --> 01:03:37.804]  And when you fight against liars, they use lies the way we would try to use truth.
[01:03:38.798 --> 01:03:43.361]  And, unfortunately, it looks like... The lie will set you free?
[01:03:43.361 --> 01:03:46.522]  The best way to fight lies is with lies.
[01:03:46.522 --> 01:03:51.625]  There are other lies that can be added to their lies that make their lies useless.
[01:03:51.625 --> 01:03:53.846]  I completely disagree with that, Phil.
[01:03:53.846 --> 01:03:57.568]  I don't know how you want to flesh that out, but I think the best way to fight lies is with truth.
[01:03:57.568 --> 01:03:59.710]  You know, just remember, they don't lie.
[01:03:59.710 --> 01:04:00.850]  They misspeak.
[01:04:00.850 --> 01:04:02.071]  They're not informed.
[01:04:02.071 --> 01:04:03.051]  They forget.
[01:04:03.051 --> 01:04:04.032]  Someone else did it.
[01:04:05.485 --> 01:04:09.249]  I know, but that can take forever, that process.
[01:04:09.249 --> 01:04:14.434]  In order to keep the 9-11 truth movement out there and to keep the truth... But it's working, Bill.
[01:04:14.434 --> 01:04:16.036]  Using the truth is working.
[01:04:16.036 --> 01:04:17.378]  Look around you.
[01:04:17.378 --> 01:04:25.947]  Of course, but sometimes you have to, I think, be a little bit creative in the way in which you go about publicizing the truth.
[01:04:26.616 --> 01:04:30.698]  And using their propaganda machines to our advantage.
[01:04:30.698 --> 01:04:32.498]  Well, here's what Rumsfeld said about that.
[01:04:32.498 --> 01:04:37.740]  Sometimes the truth is so precious, it has to be accompanied by a bodyguard of lies.
[01:04:37.740 --> 01:04:39.001]  That's a direct quote from Rummy.
[01:04:42.099 --> 01:04:43.340]  So maybe you agree with Rummy.
[01:04:43.340 --> 01:04:43.680]  I don't know.
[01:04:43.680 --> 01:04:56.946]  I mean, I happen to think that standing up, being bold, being personally responsible, being a good example for your friends, your neighbor, your family, your co-workers, and people on the street, and fighting the good fight on a truth level.
[01:04:56.946 --> 01:05:08.651]  Of course, as Bill Cooper used to say, there are many truths, so we can get into all that, but at the end of the day, we have to be the ones who are honest, who are truthful, who are doing our best to cut through the bodyguard of lies.
[01:05:09.432 --> 01:05:12.155]  And expose these criminals for who they really are.
[01:05:12.155 --> 01:05:15.220]  Liars, criminals, murderers, and eugenics.
[01:05:15.220 --> 01:05:16.461]  We'll come right back after this, folks.
[01:05:16.461 --> 01:05:16.882]  Stay tuned.
[01:05:33.149 --> 01:05:38.414]  Now, you can bring Berkey Purification Power anywhere with the Sport Berkey Filtration Bottle.
[01:05:38.414 --> 01:05:48.543]  Ideal for sporting games, camping, or boating, our Sport Berkey is small enough to store in your glove box, so it's ideal backup for unexpected emergencies like blackouts, floods, or earthquakes.
[01:05:48.543 --> 01:05:51.866]  It's simply the best personal water filtration system available.
[01:05:51.866 --> 01:05:55.309]  So effective, you can drink raw, untreated water from lakes, rivers, and streams.
[01:05:55.629 --> 01:06:05.236]  Unlike other sport bottles, the Sport Berkey's patented filter formulation is so powerful it removes cysts, parasites, harmful bacteria, and chemicals like herbicides and pesticides.
[01:06:05.236 --> 01:06:08.979]  It even reduces radon-222, lead, and other heavy metals.
[01:06:08.979 --> 01:06:16.345]  This lightweight, rugged 22-ounce filter is small enough to go everywhere, so take one to work and keep another in your glove box for emergencies.
[01:06:16.345 --> 01:06:17.766]  Get the Berkey Sport for only $39.
[01:06:17.766 --> 01:06:19.487]  Get two for $70 by calling New Millennium at 888-803-4438.
[01:06:24.491 --> 01:06:26.112]  Order your Berkey Sport today.
[01:06:26.112 --> 01:06:35.436]  That's toll-free, 888-803-4438, or order on the web at berkeywater.com.
[01:06:35.436 --> 01:06:38.958]  It's here, after a year in production and traveling to distant lands.
[01:06:38.958 --> 01:06:41.279]  My new film, Terror Storm, is complete.
