[00:00:00.710 --> 00:00:03.131]  Best-selling, written six best-sellers.
[00:23:13.969 --> 00:23:16.249]  And now that control's increasing with the Faith-Based Initiative.
[00:23:16.269 --> 00:23:16.789]  You bet.
[00:23:16.809 --> 00:23:17.650]  Let's take some calls.
[00:23:17.750 --> 00:23:22.231]  Fred in South Dakota, you're on with Alex Jones and our guest, Michael Hagan, best-selling author.
[00:23:22.271 --> 00:23:22.611]  Go ahead.
[00:23:23.531 --> 00:23:24.292]  Hello there, Alex.
[00:23:24.552 --> 00:23:25.372]  Yes, Fred, welcome.
[00:23:25.392 --> 00:23:26.132]  It's a lovely day.
[00:23:26.152 --> 00:23:34.354]  Uh, I'd like to ask your guest a few, uh, brutally honest questions, and understand these are questions from the heart, even though they're brutally honest.
[00:23:35.415 --> 00:23:40.676]  Mr. Hagan, as a member of the Bar Association, and at one time a prosecuting attorney,
[00:23:41.824 --> 00:23:50.027]  Uh, you cannot deny, I don't believe, that there was a private franchise, there still is, private franchise on a heritage called our laws.
[00:23:50.747 --> 00:23:54.308]  Nobody understands them except a gilded few.
[00:23:55.028 --> 00:24:02.291]  And as a prosecuting attorney, when these people came in with their IRS personnel, with their loaded weapons,
[00:24:03.038 --> 00:24:08.641]  How come you didn't have your state police and your sheriffs and then arrest them at the border?
[00:24:08.862 --> 00:24:10.122]  Let me say one thing.
[00:24:10.262 --> 00:24:12.284]  I am no longer a member of the bar.
[00:24:12.324 --> 00:24:13.024]  I realize that.
[00:24:13.464 --> 00:24:14.005]  I quit.
[00:24:14.225 --> 00:24:15.065]  I got out of it.
[00:24:15.225 --> 00:24:16.646]  It's corrupt beyond belief.
[00:24:17.066 --> 00:24:18.087]  Well, it's a franchise.
[00:24:18.107 --> 00:24:18.788]  You know what I said.
[00:24:18.828 --> 00:24:19.708]  Yes, it is.
[00:24:20.248 --> 00:24:29.354]  And, you know, the laws today are so complex because the lawyers don't want the populace to understand how simple it really is.
[00:24:30.114 --> 00:24:30.874]  Yes, exactly.
[00:24:31.354 --> 00:24:32.094]  It's a job.
[00:24:32.175 --> 00:24:34.395]  It's like security.
[00:24:35.175 --> 00:24:37.756]  Most of Congress are lawyers.
[00:24:38.476 --> 00:24:47.438]  We just simply abrogated our authority or our desire to go outside, carry a weapon, take care of our own thing, and hired a few people to do that for us.
[00:24:47.558 --> 00:24:53.259]  And then they decided, hey, like Praetorian Guard didn't roam, let's just go ahead and take over and make ourselves king.
[00:24:54.140 --> 00:24:56.640]  When I went to law school, I was proud.
[00:24:57.120 --> 00:24:59.661]  I didn't realize at that point
[00:25:00.450 --> 00:25:01.531]  How corrupt our system is.
[00:25:02.751 --> 00:25:11.016]  Well, there was a federal judge, the article was about a month ago, came out and said the country's gone, the laws are gone, there is no justice, this thing's a fraud.
[00:25:11.176 --> 00:25:11.576]  It's true.
[00:25:11.776 --> 00:25:12.977]  That is absolutely true.
[00:25:13.057 --> 00:25:15.498]  There is justice if you have money to pay for it.
[00:25:15.898 --> 00:25:18.379]  What you're saying is... Or if you've got a lawyer who's family.
[00:25:18.680 --> 00:25:19.860]  You didn't know that you didn't know.
[00:25:20.961 --> 00:25:21.961]  Well, think about it.
[00:25:22.161 --> 00:25:28.405]  Why is it that the average person doesn't have access to statutes and rules and regulations and
[00:25:29.546 --> 00:25:32.548]  Also, people say, I got rights, but they don't know what the Bill of Rights is.
[00:25:32.588 --> 00:25:33.609]  It wasn't taught in school.
[00:25:33.809 --> 00:25:34.049]  No.
[00:25:34.289 --> 00:25:39.072]  And then, all of our laws are based upon precedent, our court cases.
[00:25:39.473 --> 00:25:45.136]  Well, I used to train police officers, and I used to get mad if they couldn't tell me what the Ninth Amendment was.
[00:25:45.256 --> 00:25:45.517]  Yeah.
[00:25:46.457 --> 00:25:47.278]  That's what I trained.
[00:25:47.298 --> 00:25:48.098]  That's what I produced.
[00:25:48.579 --> 00:25:52.181]  Most lawyers cannot even tell you what the amendments are.
[00:25:53.277 --> 00:25:53.818]  I don't think so.
[00:26:02.704 --> 00:26:10.071]  The fine-tuning that continues daily under what's called precedent, law-setting precedent, you know, the law changes.
[00:26:10.091 --> 00:26:23.022]  Yeah, well, I mean, what they're saying now is, well, in World War II, we executed nine Nazis secretly, so now if anyone commits a terrorist act, we can execute citizens, but then they expand the definition of terrorist.
[00:26:23.402 --> 00:26:26.625]  Any action that endangers human life is a violation of any federal or state law.
[00:26:27.525 --> 00:26:29.246]  And that's not good enough in Patriot Act 1.
[00:26:29.286 --> 00:26:34.268]  Patriot Act 2, which they're already implementing despite they haven't passed it, says any reason you don't have to commit a crime.
[00:26:34.748 --> 00:26:36.609]  Michael, I've read the bill twice.
[00:26:36.889 --> 00:26:40.310]  It says you don't have to commit a crime to fall in as a terrorist.
[00:26:40.491 --> 00:26:41.091]  That's true.
[00:26:42.011 --> 00:26:43.832]  And the subsection says they can execute you.
[00:26:43.872 --> 00:26:44.752]  Thanks for the call, Fred.
[00:26:45.112 --> 00:26:47.313]  Comments on the Patriot Act.
[00:26:47.373 --> 00:26:50.535]  I mean, this thing is... Hitler didn't have the nerve to put this down on paper, Michael.
[00:26:50.555 --> 00:26:56.237]  No, and it's scary that the majority of the people in the country seem to be behind it.
[00:26:57.515 --> 00:27:00.796]  Well, they just hear in the newspaper that, oh, it's a new security thing for your safety.
[00:27:01.036 --> 00:27:01.276]  Yeah.
[00:27:01.797 --> 00:27:03.057]  Anything for safety today.
[00:27:03.437 --> 00:27:09.859]  You know, we have more laws on the books today than ever, and we have less security than we've ever had.
[00:27:10.019 --> 00:27:12.460]  Hey, the bigger the drug war gets, the more drugs on the street.
[00:27:12.580 --> 00:27:13.040]  That's right.
[00:27:13.100 --> 00:27:14.821]  The more school funding, the dumber the kids.
[00:27:14.881 --> 00:27:16.141]  Mike, go ahead.
[00:27:16.402 --> 00:27:17.142]  Well, one thing.
[00:27:17.482 --> 00:27:19.943]  You stated in the beginning about wars.
[00:27:20.443 --> 00:27:21.323]  In the last 3,421 years,
[00:27:24.136 --> 00:27:29.019]  We've only had 248 years when there wasn't a war somewhere in the world.
[00:27:30.040 --> 00:27:37.885]  But the globalists call it, and Quigley talks about this in his book, perpetual war for perpetual peace.
[00:27:38.846 --> 00:27:39.426]  Think about that.
[00:27:39.827 --> 00:27:41.208]  Well, that's 1984 talk.
[00:27:41.348 --> 00:27:41.588]  Yeah.
[00:27:42.048 --> 00:27:45.290]  Because you're creating, number one, you're liquidating people.
[00:27:46.431 --> 00:27:48.893]  You are creating work.
[00:27:49.293 --> 00:27:49.613]  Debt.
[00:27:50.374 --> 00:27:50.654]  Debt.
[00:27:51.503 --> 00:27:53.204]  And, you know, and control.
[00:27:53.464 --> 00:27:54.765]  And a unifying distraction.
[00:27:54.985 --> 00:27:56.085]  And a unifying distraction.
[00:27:56.285 --> 00:27:57.706]  Let's talk to Mike in Tennessee.
[00:27:58.086 --> 00:27:58.987]  Mike, you're on the air.
[00:27:59.027 --> 00:27:59.327]  Welcome.
[00:27:59.347 --> 00:27:59.867]  Go ahead, sir.
[00:28:00.708 --> 00:28:03.389]  Hey, greetings in the name of our Savior, Lord Jesus Christ.
[00:28:04.149 --> 00:28:05.870]  I've got a question on the pension plan.
[00:28:06.310 --> 00:28:11.333]  I don't doubt what y'all are saying, and I'd like to see if you could provide me some documentation where I can go research it.
[00:28:11.393 --> 00:28:12.013]  I'll go back.
[00:28:12.574 --> 00:28:15.255]  What's the best thing to do to protect your pension plan?
[00:28:16.237 --> 00:28:17.117]  I can't do anything at all.
[00:28:17.137 --> 00:28:18.498]  I think your cell's cutting out a little.
[00:28:18.538 --> 00:28:18.898]  I'm sorry.
[00:28:18.918 --> 00:28:20.498]  I forgot that you told me you were on the cell, Mike.
[00:28:20.598 --> 00:28:21.218]  Say it again.
[00:28:21.238 --> 00:28:22.699]  What's your question or comment?
[00:28:23.359 --> 00:28:24.359]  Okay.
[00:28:24.479 --> 00:28:28.060]  Quickly, I was just wanting to know, can we do to protect our pension plan?
[00:28:28.120 --> 00:28:37.022]  I work for a foreign company, and other than quitting my job and getting my 401 cashed out, is there any other alternative?
[00:28:38.289 --> 00:28:40.530]  What can he do to protect his pension fund?
[00:28:40.730 --> 00:28:42.031]  He works for a foreign company.
[00:28:42.091 --> 00:28:43.291]  Is it oil security?
[00:28:43.811 --> 00:28:45.332]  Give us a vague idea there, Mike.
[00:28:45.492 --> 00:28:48.213]  You can tell us the name of the company.
[00:28:48.953 --> 00:28:55.956]  There is a new regulation that allows you to shift your 401k into a plan that you can control.
[00:28:56.576 --> 00:28:58.617]  Midas Resources has that information.
[00:28:58.637 --> 00:29:01.478]  I would call them and get... You know, that's a good point.
[00:29:01.518 --> 00:29:02.978]  Ted gives that out for free at 800-686-2237.
[00:29:07.555 --> 00:29:10.057]  And you can move it into something you can control personally.
[00:29:10.097 --> 00:29:12.418]  Yeah, they changed that one about two years ago, Michael?
[00:29:12.899 --> 00:29:14.920]  Uh, actually about six months ago.
[00:29:15.520 --> 00:29:17.722]  Okay, well then I guess it was another regulatory change, then.
[00:29:17.742 --> 00:29:17.962]  Right.
[00:29:20.804 --> 00:29:25.147]  Now, it's not so the globalists can move their money around, because I don't see a lot of people taking advantage of that new system.
[00:29:25.627 --> 00:29:31.291]  You know, it's a loophole, and it's something that people should take advantage of.
[00:29:31.791 --> 00:29:37.175]  Periodically, these guys test the waters to see how frightened people are.
[00:29:37.907 --> 00:29:42.668]  So they'll pass legislation like this to see if people are panicking out of the system or not.
[00:29:43.148 --> 00:29:44.708]  So far, nobody seems to care.
[00:29:45.608 --> 00:29:47.609]  All right, so they know they really got him.
[00:29:48.229 --> 00:29:49.169]  Thanks for the call, Mike.
[00:29:49.629 --> 00:29:52.950]  Let's talk to Marie in Pennsylvania.
[00:29:52.970 --> 00:29:54.470]  You're on the air with Michael Hagar, our guest.
[00:29:54.510 --> 00:29:55.070]  Go ahead, Marie.
[00:29:55.610 --> 00:29:55.970]  Hello.
[00:29:56.290 --> 00:29:58.811]  I'm having a terrible time picking up this station today.
[00:29:58.891 --> 00:30:00.531]  I just picked up about 20 minutes ago.
[00:30:00.871 --> 00:30:01.211]  Okay.
[00:30:01.271 --> 00:30:02.672]  I've been trying all morning.
[00:30:02.772 --> 00:30:03.472]  Okay.
[00:30:03.792 --> 00:30:04.292]  Last night,
[00:30:06.006 --> 00:30:16.755]  Our local Green Party, with the backing of the Berkeley community here, has put forth a resolution to City Council to not enforce the Patriot Bill.
[00:30:17.996 --> 00:30:27.684]  And we were supposed to go over it and pass it last night, and we were told that it was on the docket.
[00:30:28.564 --> 00:30:29.104]  I don't
[00:30:44.950 --> 00:30:47.472]  The other two pages.
[00:30:47.973 --> 00:30:52.517]  Hundreds of cities, and now a lot of conservative cities as well, are opposing the Patriot Act.
[00:30:52.537 --> 00:30:59.142]  And that's good to have it bipartisan, because then when a Democrat gets in, the Democrats will still oppose anybody violating the Bill of Rights.
[00:30:59.542 --> 00:31:00.443]  That's a good thing.
[00:31:01.544 --> 00:31:06.809]  But I hope your town in Pennsylvania will pass it and just keep the pressure on them.
[00:31:07.329 --> 00:31:11.973]  Well, then we will go to Cassie and finally to the state.
[00:31:12.885 --> 00:31:13.886]  Yeah, that's smart.
[00:31:14.547 --> 00:31:18.171]  Michael Hagan, that's exciting that people are trying to take control locally.
[00:31:18.251 --> 00:31:23.736]  Isn't that a key place to kick the feds out and publicly announce that this is not our legitimate government?
[00:31:23.956 --> 00:31:24.717]  That's right.
[00:31:24.997 --> 00:31:27.960]  Everything has to be at the local level.
[00:31:29.042 --> 00:31:30.283]  You know, the feds actually
[00:31:31.056 --> 00:31:35.581]  Only control that strip of land there that we call Washington, D.C.
[00:31:35.601 --> 00:31:36.041]  That's it.
[00:31:36.281 --> 00:31:40.265]  But through their federal funding, they're contractually in control right now.
[00:31:40.605 --> 00:31:43.068]  They're racing to maintain their control.
[00:31:43.108 --> 00:31:45.911]  Is that because the system's in danger of rattling apart?
[00:31:46.151 --> 00:31:50.695]  They've got to be very careful during this transition into total slavery where they could lose control?
[00:31:51.276 --> 00:31:52.397]  They're worried about it, you bet.
[00:31:53.477 --> 00:31:58.224]  And it scares me sometimes, Alex, that people like yourself, you know, will they?
[00:31:58.605 --> 00:32:03.853]  They've tried to take control of the airwaves, but there's enough pressure that keeps them from doing it.
[00:32:04.554 --> 00:32:06.195]  But it is the local level.
[00:32:06.335 --> 00:32:09.698]  If people get involved, we can take our country back.
[00:32:09.778 --> 00:32:12.079]  But we are locked in a death struggle with these people.
[00:32:12.560 --> 00:32:13.761]  Somebody's got to win.
[00:32:13.781 --> 00:32:15.242]  I mean, they're not going to stop.
[00:32:15.522 --> 00:32:16.302]  We're not going to stop.
[00:32:16.363 --> 00:32:18.984]  Even if you try to stop, they're going to keep feeding on you.
[00:32:19.024 --> 00:32:20.245]  You've got to get hardcore.
[00:32:21.026 --> 00:32:22.767]  As Heges said, radical.
[00:32:23.408 --> 00:32:26.430]  I mean, what did Barry Goldwater say?
[00:32:26.650 --> 00:32:29.732]  Extremism and defensive liberty is no vice.
[00:32:30.272 --> 00:32:32.254]  The globalists are radical scum.
[00:32:32.874 --> 00:32:39.518]  Erratically raping you and your family, you've got to radically stand up and tell them, you know, stop Namby-pambing around.
[00:32:39.558 --> 00:32:40.499]  You see what I'm saying, Michael?
[00:32:40.779 --> 00:32:42.520]  Oh yeah, but remember one thing now.
[00:32:43.361 --> 00:32:48.324]  The Great Depression of the 30s was caused by the banking industry.
[00:32:49.344 --> 00:32:51.445]  They got everybody deeply in debt and pulled the plug.
[00:32:51.905 --> 00:32:53.325]  And they shrunk the money supply.
[00:32:53.905 --> 00:32:56.166]  And then the banks foreclosed on everything.
[00:32:56.306 --> 00:32:57.347]  And what happened?
[00:32:57.387 --> 00:32:59.407]  Roosevelt stepped up with his new deal.
[00:32:59.507 --> 00:33:03.088]  They're going to pose as our saviors as they fit the change titer.
[00:33:03.408 --> 00:33:04.809]  Just like Roosevelt did.
[00:33:05.749 --> 00:33:07.290]  And we got more legislation.
[00:33:07.710 --> 00:33:09.392]  We got Social Security and all this.
[00:33:09.492 --> 00:33:13.614]  But today, people don't realize, you don't own anything in Social Security.
[00:33:13.634 --> 00:33:15.596]  It can be cut off tomorrow.
[00:33:15.616 --> 00:33:17.817]  Yeah, it's the next phase of total enslavement.
[00:33:18.158 --> 00:33:19.899]  Stay there, we'll talk to Casey when we get back.
[00:33:37.639 --> 00:33:44.166]  Thanks for listening to the M2K Talk Archives, and we are listener-supported with the Honors System.
[00:33:44.466 --> 00:33:45.768]  We ask that you wait.
[00:33:46.108 --> 00:33:47.930]  Don't donate a dollar at a time.
[00:33:47.990 --> 00:33:53.116]  PayPal charges a 35-cent surcharge on anything of a dollar or less.
[00:33:53.576 --> 00:33:56.619]  Wait till you listen to five or ten, and then donate, please.
[00:33:57.100 --> 00:33:59.382]  We appreciate your voluntary support.
[00:34:11.867 --> 00:34:14.069]  We're live Monday through Friday from 11 a.m.
[00:34:14.189 --> 00:34:15.731]  until 2 p.m.
[00:34:15.791 --> 00:34:17.913]  Central Standard Time, back from 9 to midnight.
[00:34:18.714 --> 00:34:22.037]  Right here on this network, and then a rebroadcast of the daytime show from 1 a.m.
[00:34:22.057 --> 00:34:22.678]  to 4 a.m.
[00:34:22.818 --> 00:34:24.900]  I'm Alex Jones, your host.
[00:34:24.920 --> 00:34:27.843]  We're joined by economist, best-selling author Michael Haga.
[00:34:28.463 --> 00:34:31.486]  We'll tell you about some of the titles of some of his books that are out there in print here in a second.
[00:34:31.867 --> 00:34:34.149]  One last caller, Casey in Texas, you're on the air.
[00:34:34.189 --> 00:34:34.910]  Go ahead, Casey.
[00:34:36.795 --> 00:34:47.141]  I'm a high school student right now, a senior actually, and I just took my economics class last semester, and I was taught all the trash about the Federal Reserve and everything.
[00:34:47.681 --> 00:34:51.823]  I remember my teacher telling us about how it just is and stuff, and he wouldn't let us fight.
[00:34:51.863 --> 00:34:53.524]  There was no way we could really question it.
[00:34:53.564 --> 00:34:55.125]  We were taught things that didn't make sense.
[00:34:56.924 --> 00:34:57.924]  It just is.
[00:34:58.124 --> 00:35:04.890]  It's like the world is flat and the sea monsters are out there at the edge and the world is the center of the universe.
[00:35:05.290 --> 00:35:06.511]  It just is.
[00:35:06.631 --> 00:35:07.972]  Don't ask.
[00:35:08.032 --> 00:35:12.495]  It's like a literal false reality of just mindless, drooling sports fans.
[00:35:13.897 --> 00:35:16.619]  Mr. Hagan, any comments to what this high school student is saying?
[00:35:19.801 --> 00:35:25.866]  We have fault your teacher or your professor so badly because they were taught the same thing.
[00:35:26.957 --> 00:35:29.840]  When I first got into all of this, I was amazed.
[00:35:29.860 --> 00:35:30.640]  I didn't believe it.
[00:35:30.660 --> 00:35:32.041]  I thought this was crazy stuff.
[00:35:32.602 --> 00:35:33.883]  Because we're not taught this.
[00:35:34.083 --> 00:35:38.986]  Economists today are simply taught what I call econometrics.
[00:35:39.306 --> 00:35:40.287]  Computer-aided.
[00:35:42.509 --> 00:35:45.071]  You punch in numbers, garbage in, garbage out.
[00:35:45.111 --> 00:35:47.052]  That's what economics is today.
[00:35:48.513 --> 00:35:53.237]  Historical economics, which is what I went into,
[00:35:54.296 --> 00:35:57.178]  Absolutely.
[00:35:57.298 --> 00:36:06.483]  I mean, they're getting rid of history itself.
[00:36:06.503 --> 00:36:13.987]  The average person just has no understanding of what all this means, of political systems.
[00:36:14.748 --> 00:36:19.730]  It's just literally, they're dumbing us down to a level where people don't even know how to look at the world and make decisions.
[00:36:20.111 --> 00:36:20.651]  No, they don't.
[00:36:21.363 --> 00:36:22.724]  And think about it.
[00:36:22.904 --> 00:36:27.688]  If you want to control people, that's what you want to do.
[00:36:27.768 --> 00:36:30.150]  You want them to understand very little.
[00:36:31.173 --> 00:36:32.974]  And actually no, even less.
[00:36:33.314 --> 00:36:38.497]  Yeah, it's like Ingsoc in 1984, they just start making the language smaller and smaller.
[00:36:40.819 --> 00:36:43.080]  I mean, I'm not even that smart.
[00:36:43.100 --> 00:36:51.085]  This is all common sense, just ancient feudalism with high-tech manipulation for the same old strongman, same old Machiavelli and tactics, 500 years old.
[00:36:51.665 --> 00:36:53.166]  And you try to explain it and they go, what?
[00:36:53.206 --> 00:36:54.927]  The government did something wrong once?
[00:36:55.167 --> 00:36:56.268]  Well, it's perfect!
[00:36:56.668 --> 00:36:57.649]  That's impossible!
[00:36:58.429 --> 00:37:00.191]  No, actually it's the other way around.
[00:37:00.391 --> 00:37:02.973]  Uh, thanks for the, uh, anything else, Casey?
[00:37:03.854 --> 00:37:05.455]  Actually, I was just, I was gonna comment.
[00:37:05.495 --> 00:37:15.744]  I was just now watching the, uh, A&E biography over, uh, the Porsche, guy who designed the Porsche, talked about Henry Ford and his fascination with the Nazis and everything.
[00:37:15.884 --> 00:37:16.184]  Oh, yeah.
[00:37:16.424 --> 00:37:24.251]  And, uh, something struck me, thinking about George Bush and his, uh, uh, hydrogen car, how that's very similar to,
[00:37:25.481 --> 00:37:28.704]  Well, if you look at World War II, we funded most of our major corporations
[00:37:47.783 --> 00:37:48.444]  Funded Hitler.
[00:37:48.724 --> 00:37:49.465]  Well, it just came out.
[00:37:49.485 --> 00:37:50.767]  Weren't allowed to bomb all the places.
[00:37:51.027 --> 00:37:53.290]  Michael Hager, the one big book you recommend for folks?
[00:37:53.971 --> 00:37:56.814]  Um, After the Crash, Life in the New Great Depression.
[00:37:57.154 --> 00:38:01.940]  Alright, and that's online, or, uh, and, After the Crash, Life in the Great Depression, and in many bookstores.
[00:38:02.240 --> 00:38:04.043]  Michael Hager, I look forward to having you back on again.
[00:38:04.063 --> 00:38:04.964]  Thanks, Alex.
[00:38:05.184 --> 00:38:06.686]  Thanks for coming on, so short notice.
[00:38:07.206 --> 00:38:08.247]  Have them back on in a few weeks.
[00:38:08.507 --> 00:38:09.067]  I'm out of time.
[00:38:09.107 --> 00:38:10.088]  Back tonight at 9 midnight.
[00:38:10.128 --> 00:38:11.389]  Got about 30 seconds left.
[00:38:11.829 --> 00:38:13.530]  Go to Infowars.com.
[00:38:13.911 --> 00:38:15.372]  Go to PrisonPlanet.com.
[00:38:15.532 --> 00:38:16.392]  Get my videos.
[00:38:16.432 --> 00:38:17.273]  What's stopping you?
[00:38:17.453 --> 00:38:18.574]  Support the broadcast.
[00:38:18.874 --> 00:38:21.015]  Call toll free to get my book or my films.
[00:38:21.055 --> 00:38:21.676]  They're excellent.
[00:38:21.696 --> 00:38:21.756]  1-888-253-3139.
[00:38:28.520 --> 00:38:30.642]  Start waking people up to real threat freedom.
[00:38:30.662 --> 00:38:32.164]  1-888-253-3139.
[00:38:32.724 --> 00:38:36.167]  Make the call.
[00:38:36.187 --> 00:38:37.689]  1-888-253-3139.
[00:38:37.969 --> 00:38:42.213]  Or infowars.com or net.
[00:38:42.453 --> 00:38:43.494]  Back tonight, 9 to midnight.
[00:38:43.534 --> 00:38:44.855]  Back tomorrow, 11 to 2 central.
[00:38:45.175 --> 00:38:46.076]  Be sure and join me.
[00:38:46.096 --> 00:38:47.177]  God bless you all.
[00:38:47.638 --> 00:38:53.423]  Did you know that each year over 400,000 men in the United States alone undergo prostate surgery?
[00:38:53.583 --> 00:38:54.504]  Or that among cancerous...
