[00:00:00.049 --> 00:00:00.449]  The 8.
[00:45:51.278 --> 00:46:06.311]  And the gold standard and its relationship to the Constitution and for 30 years now we've been off the gold standard completely and therefore the politicians can spend without restraint and the Federal Reserve just prints the money.
[00:46:06.331 --> 00:46:12.357]  Now this works for a while and some benefit at the expense of others but eventually then
[00:46:12.990 --> 00:46:22.598]  You have the collapse of the financial system, and I'm anticipating that the dollar is going to get a lot weaker, and we're going to have a lot of inflation, and we're going to have high interest rates.
[00:46:23.018 --> 00:46:27.982]  It's going to play havoc, not just with our domestic economy, but the world economy.
[00:46:28.563 --> 00:46:38.511]  So then, even those who have benefited on the short run by manipulating the currency and getting these benefits, I think they eventually suffer, too.
[00:46:39.327 --> 00:46:42.570]  And nobody knows exactly what will come of it.
[00:46:43.130 --> 00:46:44.771]  You know, strange things could happen.
[00:46:44.791 --> 00:46:48.354]  Maybe our side will actually be able to get our message out.
[00:46:48.834 --> 00:46:56.360]  But it's now that we have to get our message out on why we believe in limited government, the Constitution, sound money, and a foreign policy that makes sense.
[00:46:56.380 --> 00:47:07.308]  Because in the midst of chaos, you're liable or more likely to have some radical extremist who rides in the white horse and says, we're going to take care of you.
[00:47:07.859 --> 00:47:16.746]  Yeah, it'll be the Democrats, and then suddenly they won't dislike the Patriot Act and Homeland Security, which the Hillary's have voted for.
[00:47:17.807 --> 00:47:18.487]  That's another thing.
[00:47:18.547 --> 00:47:20.208]  Look at the real liberal Democrats.
[00:47:20.248 --> 00:47:21.749]  They're all voting with Bush right now.
[00:47:22.050 --> 00:47:29.815]  That's right, and you know, when they interviewed Kerry and I guess Edwards the other day had some flimsy explanations.
[00:47:30.236 --> 00:47:32.557]  Oh yes, we have to change that Patriot Act.
[00:47:32.578 --> 00:47:36.020]  You know, they're starting to sense what we knew and what we've been listening to.
[00:47:36.120 --> 00:47:37.141]  Oh yeah, we have to change it.
[00:47:37.557 --> 00:47:39.742]  But the question is, why did you vote for the thing?
[00:47:40.142 --> 00:47:40.483]  You know?
[00:47:40.503 --> 00:47:41.646]  Well, it's like Bob Barr.
[00:47:41.686 --> 00:47:44.071]  He votes for it and later says it's the most evil thing ever.
[00:47:44.692 --> 00:47:45.033]  Yeah.
[00:47:45.333 --> 00:47:48.560]  I mean, it's okay to change your mind and improve your ways, but...
[00:47:49.690 --> 00:47:54.634]  If you already know it and you're suspicious, that's pretty bad when you vote for this stuff.
[00:47:54.975 --> 00:47:58.657]  Congressman, I really appreciate you coming on the show, and if you need to go, I understand.
[00:47:58.777 --> 00:48:00.459]  Can you stay another five minutes?
[00:48:00.799 --> 00:48:02.400]  I can do five more minutes.
[00:48:02.440 --> 00:48:03.661]  We've got a three-minute break.
[00:48:03.681 --> 00:48:08.045]  We'll come back for just a couple minutes after that, and I've just got a couple of other key questions here.
[00:48:08.065 --> 00:48:10.927]  I've got a whole list of them, but I'm going to pare it down to just a couple.
[00:48:10.947 --> 00:48:15.470]  We'll be right back with Congressman Ron Paul, and you need to go to Infowars.com.
[00:48:16.994 --> 00:48:19.855]  And you need to read his neocon speech.
[00:48:19.875 --> 00:48:25.116]  You want to read his other speeches that are very powerful and informative that he writes every week.
[00:48:25.796 --> 00:48:27.497]  We'll give you his website when we get back.
[00:48:27.517 --> 00:48:30.578]  Stay with us.
[00:48:32.198 --> 00:48:35.059]  What really happened September 11th and who stands to gain?
[00:48:35.803 --> 00:48:37.084]  Alex Jones here, America.
[00:48:37.284 --> 00:48:43.047]  We answer these vital questions and much, much more in my newest and most explosive documentary yet, 9-1-1, The Road to Tyranny.
[00:48:43.307 --> 00:48:48.570]  In two hours and 24 minutes, we point a searing light of truth on the history of problem-reaction solution.
[00:48:48.870 --> 00:48:53.012]  Brace yourselves as the new world order program for world domination is blown wide open.
[00:48:53.192 --> 00:48:56.974]  A nightmarish post-September 11th world, where the military and the police are merged.
[00:48:57.234 --> 00:49:01.857]  Witnesses populations beg for national ID cards, and yes, even implantable microchips.
[00:49:01.937 --> 00:49:08.202]  Troops on the streets, foreign NATO aircraft in the skies, psychotic UN population control plans, and much, much more.
[00:49:08.242 --> 00:49:10.104]  This is one film you cannot afford to miss.
[00:49:10.564 --> 00:49:12.646]  Order 9-1-1 The Road to Tyranny today.
[00:49:12.726 --> 00:49:17.009]  Call toll-free 1-888-2533-139.
[00:49:17.089 --> 00:49:18.370]  That's 1-888-2533-139.
[00:49:18.610 --> 00:49:24.275]  Or order online at infowars.com or infowars.net.
[00:49:24.375 --> 00:49:26.377]  You see, Big Brother's afraid of this documentary.
[00:49:26.617 --> 00:49:28.118]  Order today and spread the word.
[00:49:28.298 --> 00:49:30.360]  America's future depends on the truth getting out.
[00:49:31.013 --> 00:49:37.415]  The illuminated Berkey base allows most gravity filters to be used in the center of the table by raising the spigot level.
[00:49:37.575 --> 00:49:43.916]  Made of durable Lexan polymer, the same material used for bulletproof glass, it has eight LED lamps.
[00:49:44.216 --> 00:49:52.978]  Incredibly, the low-energy LEDs will last for more than 11 years of continuous use and are bright enough to be spotted for over a mile in the dark.
[00:49:53.198 --> 00:50:00.400]  The LED lamps are powered by an AC adapter and during emergencies, the rechargeable batteries will operate them all night long.
[00:50:00.720 --> 00:50:05.646]  When the LEDs are switched off, the AC adapter automatically recharges the batteries.
[00:50:05.866 --> 00:50:11.392]  The Berkey Base is available in gorgeous cobalt blue or practical bright white LEDs.
[00:50:11.732 --> 00:50:14.896]  Ideal as an emergency light, flashlight, or nightlight.
[00:50:15.236 --> 00:50:20.822]  Get the illuminated Berkey Base for only $69 or get both white and blue for only $125.
[00:50:21.863 --> 00:50:25.586]  By calling New Millennium at 888-803-4438.
[00:50:25.786 --> 00:50:29.909]  That's toll free, 888-803-4438.
[00:50:31.070 --> 00:50:35.353]  Every cell of the body has a receptor site for our master hormone called growth hormone.
[00:50:35.773 --> 00:50:38.855]  The role of growth hormone is to instruct the cells to repair.
[00:50:39.236 --> 00:50:44.279]  This hormone is in the highest concentrations in the body between the ages of infancy and your early twenties.
[00:50:44.679 --> 00:50:48.082]  Hence, this is the major reason why the body repairs so well when young.
[00:50:48.642 --> 00:50:51.765]  This is why the incidence of disease is so much lower when young.
[00:50:52.185 --> 00:50:53.987]  This is why you're skinnier when young.
[00:50:54.507 --> 00:50:57.129]  Looking and feeling young is a direct result of your chemistry.
[00:50:57.569 --> 00:51:01.132]  Science brings us closer to the threshold of eternal youth every day.
[00:51:01.753 --> 00:51:04.515]  Cocoon GH is a sublingual form of growth hormone.
[00:51:04.895 --> 00:51:06.697]  When used twice a day, people report
[00:51:07.217 --> 00:51:07.838]  Deep sleep.
[00:51:08.078 --> 00:51:09.899]  Improved mood, memory and energy.
[00:51:10.299 --> 00:51:11.400]  Losses of body fat.
[00:51:11.740 --> 00:51:13.422]  Improved strength and sex drive.
[00:51:13.942 --> 00:51:15.083]  Reduction of joint pains.
[00:51:15.383 --> 00:51:16.984]  Improved blood sugar and more.
[00:51:17.264 --> 00:51:19.266]  Improve your chemistry and improve your life.
[00:51:19.466 --> 00:51:20.807]  Satisfaction guaranteed.
[00:51:20.927 --> 00:51:21.227]  Call 800-814-5031.
[00:51:21.247 --> 00:51:21.287]  800-814-5031.
[00:51:21.307 --> 00:51:21.347]  800-814-5031.
[00:51:36.468 --> 00:51:38.631]  We'll come back and take calls and get into all the other news.
[00:51:38.651 --> 00:51:40.614]  There's a website that has a lot of his great speeches, thelibertycommittee.org.
[00:51:40.694 --> 00:51:42.156]  We have a link to that on infowars.com as well.
[00:51:54.437 --> 00:51:56.238]  We're talking to Congressman Ron Paul right now.
[00:51:56.358 --> 00:52:03.662]  Congressman, the Caps 2 system, color coding, you got bad credit, you know, you go down to yellow code, now you don't have any rights.
[00:52:03.962 --> 00:52:09.385]  Now they're talking about putting it in the factories, in the businesses, continuity of government, continuity of industry.
[00:52:09.966 --> 00:52:13.648]  I've seen Ridge on C-SPAN saying we'll all have ID cards to have jobs.
[00:52:14.328 --> 00:52:16.629]  I mean, they're talking about an Orwellian system.
[00:52:16.649 --> 00:52:19.630]  The cell phones now track us with little tracker chips.
[00:52:20.471 --> 00:52:22.011]  And now they want more of this.
[00:52:22.191 --> 00:52:24.693]  How do we stop this flood of Big Brother?
[00:52:25.993 --> 00:52:28.874]  Well, you know, there's no one easy answer for that.
[00:52:29.535 --> 00:52:30.635]  Everybody has a job.
[00:52:30.675 --> 00:52:31.535]  You have your job.
[00:52:31.615 --> 00:52:32.616]  I have my job.
[00:52:33.156 --> 00:52:37.038]  The most important thing we do is call attention to it to alert the people.
[00:52:37.658 --> 00:52:39.979]  And that's where our toughest job is because
[00:52:40.583 --> 00:52:47.586]  The government and those in charge tend to have much more clout when it comes to the control of the mass media.
[00:52:47.606 --> 00:52:52.149]  If you notice, they talk about liberal media and some say it's a conservative media.
[00:52:52.529 --> 00:52:55.610]  It really isn't either as much as it's an establishment media.
[00:52:55.650 --> 00:53:09.277]  How many major national talk shows and how many networks would ever really take on the IRS or the Federal Reserve System or be opposed to internationalism and war?
[00:53:10.393 --> 00:53:13.156]  I mean, they don't touch us because they control that.
[00:53:13.617 --> 00:53:23.088]  It's up to us as individuals and that's why this network, whether it's shortwave radios or internet, we are reaching a lot of people.
[00:53:23.990 --> 00:53:29.155]  We've got a lot of AM and FM affiliates as well.
[00:53:29.215 --> 00:53:30.816]  This is the last question.
[00:53:31.316 --> 00:53:33.178]  Electronic voting machines, Congressman.
[00:53:33.198 --> 00:53:42.866]  There's been massive news articles, but again it hasn't made it on the nightly TV news, where they've caught these companies with back doors, wireless software that no one was told about.
[00:53:43.286 --> 00:53:45.447]  Very easy to go in and change the votes.
[00:53:45.707 --> 00:53:50.168]  They've caught industry leaders in meetings talking about manipulating things.
[00:53:50.848 --> 00:53:55.469]  Your comments about the touchscreen systems that are in question right now.
[00:53:55.889 --> 00:54:06.251]  Well they had an old-fashioned one like that once many years ago and I lost an election in 1976 by 300 votes and we found evidence of the machines being rigged in the Harris County area.
[00:54:11.826 --> 00:54:18.594]  So now there should be a paper trail for voting, there should be a card, there should be something, otherwise it's just inviting trouble.
[00:54:18.614 --> 00:54:29.667]  Well that's it, and I really hope that you will investigate that at blackboxvoting.com with a corporate investigator, Bev Harris, or infowars.com, we have a large
[00:54:30.809 --> 00:54:36.554]  Vote Fraud, PrisonPlanet.com, Vote Fraud section with mainstream news that you may not have seen from papers around the country.
[00:54:36.574 --> 00:54:41.437]  I mean, they've caught these execs doing, well, stealing elections, and I think you need to see that, Congressman.
[00:54:41.477 --> 00:54:43.359]  That sounds interesting.
[00:54:43.499 --> 00:54:47.101]  Well, God bless you, and have a good weekend, sir.
[00:54:47.302 --> 00:54:47.742]  Thank you.
[00:54:47.782 --> 00:54:48.342]  Good to be with you.
[00:54:48.382 --> 00:54:48.743]  Take care.
[00:54:48.783 --> 00:54:49.183]  Bye-bye.
[00:54:50.164 --> 00:54:58.230]  And I could talk to that guy for several hours, but I mean, you heard him talking about the fortunate events of Pearl Harbor, how they, quote, needed another fortunate event.
[00:54:59.080 --> 00:55:06.105]  On the order of Pearl Harbor, this is the neocon saying we want to get the people to enter into evil, to have our Trotskyite views.
[00:55:06.125 --> 00:55:07.526]  I mean, Ron Paul said all this.
[00:55:07.886 --> 00:55:11.149]  He took their quotes and they called him up to say, you better watch it, buddy.
[00:55:11.349 --> 00:55:12.589]  You better watch what you're doing.
[00:55:12.610 --> 00:55:19.194]  Just like Lionel Chetwin, the guy that made this made-for-TV propaganda about Bush, walked into that bathroom in LA and said, you're Alex Jones.
[00:55:19.214 --> 00:55:20.115]  We're going to get you.
[00:55:20.135 --> 00:55:21.916]  I'm sick of these people.
[00:55:23.109 --> 00:55:32.218]  If you want to get the truth out, if you want to circumvent the mainstream media, get 9-1-1, The Road to Tyranny, Masters of Terror, Police State, Three Total Enslavement, The New Book, Order Out of Chaos, do not wait!
[00:55:33.346 --> 00:55:35.928]  Let's tell the truth for those who were murdered by this government.
[00:55:36.349 --> 00:55:40.993]  Go to Infowars.com or PrisonPlanet.com and get them for call toll free 1-888-253-3139.
[00:55:41.033 --> 00:55:43.555]  That's 888-253-3139 or PrisonPlanet.com or Infowars.com.
[00:55:54.765 --> 00:55:55.566]  Take action.
[00:55:55.586 --> 00:56:01.510]  This is some of the most hardcore, focused, documented information put together in a riveting fashion.
[00:56:01.750 --> 00:56:02.591]  Get Road to Tyranny.
[00:56:02.611 --> 00:56:03.531]  Get Masters of Terror.
[00:56:03.751 --> 00:56:07.514]  Get Order Out of Chaos.
[00:56:07.534 --> 00:56:13.778]  888-253-3139 or InfoWars.com or PrisonPlanet.com.
[00:56:14.459 --> 00:56:16.420]  We'll be right back with a second hour.
[00:56:16.500 --> 00:56:17.461]  Keep it locked in!
[00:56:21.627 --> 00:56:23.289]  Hello folks, this is Alex Jones.
[00:56:23.609 --> 00:56:29.356]  You know that Berkey water filters have become the standard of excellence by which all other water filtration systems are measured.
[00:56:29.596 --> 00:56:32.559]  The Berkey Light gives you the freshest, cleanest water possible from water.
[00:56:36.423 --> 00:56:39.587]  This is the Genesis Communications Radio Network.
[00:56:47.199 --> 00:56:47.839]  Big Brother.
[00:56:48.500 --> 00:56:49.560]  Mainstream media.
[00:56:50.281 --> 00:56:51.362]  Government cover-ups.
[00:56:52.042 --> 00:56:52.842]  You want answers?
[00:56:53.603 --> 00:56:54.483]  Well, so does he.
[00:56:54.503 --> 00:56:59.106]  He's Alex Jones on the GCN Radio Network.
[00:56:59.366 --> 00:57:03.449]  And now, live from Austin, Texas, Alex Jones.
[00:57:05.690 --> 00:57:08.011]  Alright, your calls are coming up here in a few minutes.
[00:57:08.091 --> 00:57:08.732]  It's September 11, 2003.
[00:57:08.792 --> 00:57:10.053]  Your chance to
[00:57:13.599 --> 00:57:19.346]  Chime in on the developments, the destruction of America that's been taking place in the last two years.
[00:57:20.227 --> 00:57:27.094]  Your chance to respond to the Bush-crying-on-TV-last-night-wall-to-wall propaganda.
[00:57:27.134 --> 00:57:28.856]  Bush saying, Bin Laden's gonna be back.
[00:57:29.197 --> 00:57:29.937]  He's gonna get you.
[00:57:29.957 --> 00:57:31.539]  You better pass Patriot Act 2.
[00:57:31.920 --> 00:57:34.582]  And then suddenly a new Bin Laden tape an hour later appears on TV.
[00:57:35.655 --> 00:57:45.117]  They tried to time it like that earlier this year, right before the war, when Colin Powell testified before Congress and said, Ben Laden's on TV right now, saying he's working with Saddam.
[00:57:45.157 --> 00:57:48.437]  And then, of course, it hadn't come out yet, and he was kind of caught in the headlights.
[00:57:48.497 --> 00:58:01.040]  But they just moved on, moved on along, you know, like NORAD standing down for over an hour, and the CIA running a drill that morning of flying planes into buildings in those two cities and ordering NORAD to stand down.
[00:58:01.080 --> 00:58:02.980]  They just move on, just move on along.
[00:58:04.275 --> 00:58:08.520]  I want to read the speech of another minister.
[00:58:08.560 --> 00:58:10.142]  We just had Congressman Ron Paul on.
[00:58:10.162 --> 00:58:12.204]  This one was Michael Mecher.
[00:58:13.225 --> 00:58:15.087]  This war on terrorism is bogus.
[00:58:15.287 --> 00:58:16.869]  The 9-1-1 attacks gave the U.S.
[00:58:16.909 --> 00:58:20.493]  an ideal pretext to use force to secure its global domination.
[00:58:22.035 --> 00:58:25.739]  I want to read over this article and talk about the good points and the false points that are in it.
[00:58:26.434 --> 00:58:31.677]  And take your calls as well, and just get into a plethora of other reports here.
[00:58:32.218 --> 00:58:35.380]  It's your chance to respond to just the breakneck propaganda.
[00:58:36.260 --> 00:58:42.184]  And boy, I'm sure the globalists are going to launch another terror attack now with Bush's approval rating dropping, which is a gauge for the globalists.
[00:58:42.244 --> 00:58:47.928]  Bush doesn't run anything, but when his approval rating starts dropping, that's a gauge for the globalists that people aren't buying the propaganda.
[00:58:48.548 --> 00:58:50.789]  David in New York, then Bob in New York and others.
[00:58:50.809 --> 00:58:51.430]  Go ahead, David.
[00:58:51.930 --> 00:58:52.370]  Hi, Alex.
[00:58:52.731 --> 00:58:53.071]  Welcome.
[00:58:53.502 --> 00:58:56.463]  Hi, uh, I just want to thank you for all the good work that you've done so far.
[00:58:57.123 --> 00:59:03.805]  And, uh, well, basically, if you talked to me before September 11th, I would have thought you were absolutely mad.
[00:59:03.845 --> 00:59:20.691]  But then after, after that, how, you know, how I got into it was because, um, basically the, you know, the authorities, um, they're insulting my intelligence, like with these, the magic passport that flew out of the air and, and, uh, you know, these stories about these,
[00:59:21.397 --> 00:59:41.943]  The so-called hijackers in bars and, you know, uh... They go in bars, leave Koran, say I'm gonna fly planes into buildings tomorrow, leave their business card, get drunk, and all their houses and cars and credit cards are paid for by the FBI and the CIA orders the embassy to give them passports back into the U.S.
[00:59:42.443 --> 00:59:48.705]  and then the people of the FBI and CIA that give them the passports get record cash bonuses?
[00:59:50.086 --> 00:59:51.046]  And also, like, uh,
[00:59:51.798 --> 00:59:59.546]  And since then I've been reading like crazy and also I found one of the best books on the New World Order.
[01:00:01.008 --> 01:00:04.591]  It's by G. Edward Griffin, The Creature from Jekyll Island.
[01:00:04.611 --> 01:00:06.213]  Yeah, the network offers that.
[01:00:07.274 --> 01:00:09.737]  I was reading it and I couldn't believe it.
[01:00:10.433 --> 01:00:12.794]  On the news it says $87 billion.
[01:00:12.854 --> 01:00:16.937]  Bush wants to spend another $87 billion.
[01:00:16.997 --> 01:00:19.858]  Almost all of that goes right into Halliburton and his pockets.
[01:00:20.259 --> 01:00:21.479]  But $87 billion is nothing.
[01:00:21.739 --> 01:00:31.845]  We have a $43.2 trillion deficit according to the Wall Street Journal and the Dallas Morning News.
[01:00:32.685 --> 01:00:33.526]  The Patriots said that
[01:00:34.116 --> 01:00:34.396]  I think so.
[01:00:55.968 --> 01:01:02.171]  And then the red and blue other denominations, and they're going to devalue the other currency, call it in, to kill the dollar.
[01:01:02.191 --> 01:01:02.991]  This is all being done.
[01:01:03.251 --> 01:01:06.893]  They didn't invade Iraq because Saddam was buying dinars, folks.
[01:01:07.633 --> 01:01:14.477]  This is Europe destroying America, using Bush and the Democrats as the technicians to do it.
[01:01:14.737 --> 01:01:15.877]  They're wrecking crews.
[01:01:16.197 --> 01:01:18.238]  And America is the muscle for the globalists.
[01:01:18.538 --> 01:01:24.121]  In the ultimate problem-reaction-solution paradigm, we're taking the blame for a New World Order offensive.
[01:01:24.815 --> 01:01:27.399]  We're just a throwaway, wind-up toy.
[01:01:28.180 --> 01:01:28.861]  Thanks for the call.
[01:01:29.602 --> 01:01:40.198]  And folks, I want you to chime in on what you think the biggest smoking gun or red flag of government involvement in September 11th and other terror events is, what the most disgusting piece of government propaganda you've seen is.
[01:01:42.634 --> 01:01:46.976]  Alex Jones here, announcing the release of my new film, Police State 3 Total Enslavement.
[01:01:47.176 --> 01:01:51.598]  Police State 3 details the architecture, goals, and operations of the New World Order.
[01:01:51.738 --> 01:01:56.140]  There is a chance to use this disaster for the New World Order.
[01:01:56.180 --> 01:01:57.501]  The New World Order.
[01:01:59.302 --> 01:02:03.503]  The film documents dozens of confirmed cases of government-sponsored terrorism worldwide.
[01:02:03.583 --> 01:02:10.506]  We rip the Sinister Patriot Act legislation 1 and 2 apart, piece by piece, and reveal the arrogance of what Ashcroft has to say about your liberty.
[01:02:10.646 --> 01:02:12.687]  You will lose your liberty.
[01:02:13.007 --> 01:02:23.131]  Homeland Security, executive orders, forced vaccinations, the new prison economy, the Total Information Society, the Pan-American Union, federal gun grabs, government-run white slavery rings, and much, much more.
[01:02:23.631 --> 01:02:29.033]  If you want to understand what the New World Order really is, then my new two and a half hour video, Police Day 3, is for you!
[01:02:29.493 --> 01:02:32.114]  Visit InfoWars.com or PrisonPlanet.com to order.
[01:02:32.134 --> 01:02:32.714]  Or call toll free 1-888-253-3139.
[01:02:32.754 --> 01:02:33.274]  That's 888-253-3139.
[01:02:33.294 --> 01:02:34.555]  Order today and spread the word!
[01:02:42.037 --> 01:02:43.158]  Are you a diabetic?
[01:02:43.218 --> 01:02:44.558]  Do you know someone who is?
[01:02:44.618 --> 01:02:48.240]  Well, here's some great news that can save you time and money.
[01:02:48.520 --> 01:02:54.542]  If you're required to test your blood sugar, Medicare and Medicaid may pay for your diabetes testing supplies.
[01:02:54.802 --> 01:02:58.904]  And if that's of interest to you, you need to know about R-Tex Medical.
[01:02:59.204 --> 01:03:03.386]  We'll ship your diabetes supplies right to your door at no cost to you.
[01:03:03.846 --> 01:03:10.549]  And we work with Medicare and Medicaid and even most private insurances to determine your maximum coverage benefits.
[01:03:10.769 --> 01:03:13.770]  Call now to confirm your eligibility.
[01:03:13.790 --> 01:03:14.351]  800-419-2335.
[01:03:15.531 --> 01:03:23.975]  Again, we are Artex Medical, and our commitment to you is to save you time, money, and hassles on receiving your diabetes testing supplies.
[01:03:24.275 --> 01:03:26.796]  There are no membership fees, no shipping costs.
[01:03:27.096 --> 01:03:30.218]  We even file all the insurance claims, so call 24 hours a day.
[01:03:30.238 --> 01:03:30.278]  800-419-2335.
[01:03:30.298 --> 01:03:30.338]  800-419-2335.
[01:03:30.358 --> 01:03:30.398]  800-419-2335.
[01:03:40.382 --> 01:03:52.968]  The Berkey Light's unique design combines the age-old process of microporous filtration coupled with modern state-of-the-art technology and the highest quality materials, bringing you the finest water filter available anywhere.
[01:03:53.128 --> 01:04:00.631]  The revolutionary Berkey Light, with its exclusive black Berkey filter elements, remove pathogenic bacteria, cysts, and parasites to non-detectable levels.
[01:04:00.971 --> 01:04:04.136]  Farm full or unwanted chemicals are reduced to below detectable levels.
[01:04:04.377 --> 01:04:10.165]  And it reduces nitrates and unhealthy minerals like lead and mercury while leaving the nutritional minerals your body needs.
[01:04:10.426 --> 01:04:16.575]  Made of durable lexan, the material used in making bulletproof glass, the system is durable, rugged, and yet attractive.
[01:04:16.915 --> 01:04:20.817]  The Berkey Light is transparent, so there is no guesswork when refilling the system.
[01:04:20.857 --> 01:04:22.758]  The water level is always visible.
[01:04:22.938 --> 01:04:28.882]  The rechargeable LED lighting system is beautiful as a night light and as necessary in emergency situations.
[01:04:29.122 --> 01:04:33.064]  Get the Berkey Light, the transparent water filter, for only $259 by calling New Millennium at 888-803-4438.
[01:04:33.084 --> 01:04:33.664]  That's toll free, 888-803-4438.
[01:04:42.466 --> 01:04:47.508]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[01:04:47.869 --> 01:04:50.210]  Because there's a war on for your mind.
[01:04:53.331 --> 01:04:57.713]  Alright my friends, back live now into the second hour of this September 11th.
[01:04:59.614 --> 01:05:05.417]  Remembrance of the murder of the American people and others to empower the new world order so they can murder more of us.
[01:05:07.429 --> 01:05:16.438]  Let me read what the Environment Minister, over their nuclear power plants and the rest of it, had to say back on September 6th.
[01:05:16.498 --> 01:05:17.739]  We should have talked more about this.
[01:05:18.159 --> 01:05:20.021]  The war on terrorism is bogus.
[01:05:21.582 --> 01:05:24.405]  The 9-1-1 attacks gave the U.S.
[01:05:24.966 --> 01:05:29.370]  an ideal pretext to use force to secure its global domination.
[01:05:30.731 --> 01:05:31.612]  Now here's the problem.
[01:05:33.743 --> 01:05:34.163]  The U.S.
[01:05:34.223 --> 01:05:34.984]  isn't doing anything.
[01:05:35.024 --> 01:05:40.228]  It's being used as an attack dog by Europe to carry out its takeover of the world.
[01:05:41.209 --> 01:05:44.732]  The private banks owned by Europe then go in and control the third world countries.
[01:05:45.052 --> 01:05:47.394]  They run up American flags and we get the blame.
[01:05:47.414 --> 01:05:48.514]  Then the U.N.
[01:05:48.535 --> 01:05:55.480]  and the IMF and the World Bank and NATO come out looking good and then are used in the next phase of the New World Order takeover.
[01:05:56.880 --> 01:05:57.881]  This is the London Guardian.
[01:05:58.282 --> 01:05:59.943]  The 9-1-1 attacks gave the U.S.
[01:05:59.983 --> 01:06:03.327]  an ideal pretext to use force to secure its global domination.
[01:06:03.847 --> 01:06:07.531]  You mean the 9-1-1 attacks gave the New World Order an ideal pretext.
[01:06:07.551 --> 01:06:19.143]  You just heard veteran, doctor, most conservative member of Congress for his voting record, Ron Paul, say there's a world government, there's a world government crowd that is out in the open.
[01:06:20.106 --> 01:06:20.586]  Okay?
[01:06:21.046 --> 01:06:31.490]  So when Limbaugh and Hannity say it doesn't exist, they're trying to neutralize you because they, to use their own faulty semantics, are the left-wing Incos.
[01:06:31.951 --> 01:06:32.711]  Literally.
[01:06:33.291 --> 01:06:36.332]  Published by neocon publishers.
[01:06:37.713 --> 01:06:40.494]  Massive attention has now been given, and rightly so.
[01:06:40.554 --> 01:06:42.454]  This is the minister.
[01:06:43.695 --> 01:06:46.136]  By the way, the German intelligence slash
[01:06:47.924 --> 01:06:51.686]  Technology Minister said only the US government can carry out 9-1-1.
[01:06:51.746 --> 01:06:52.386]  Yeah, no kidding.
[01:06:53.166 --> 01:06:56.528]  I mean, you've just got to be a little kid to not understand what happened, folks.
[01:06:56.548 --> 01:07:01.029]  You've got to be an idiot, a coward, who makes a decision not to stand up against this.
[01:07:01.049 --> 01:07:01.770]  Let me read the article.
[01:07:03.150 --> 01:07:08.052]  Massive attention has now been given, and rightly so, to the reasons why Britain went to war against Iraq.
[01:07:08.172 --> 01:07:11.634]  But far too little attention has focused on why the US went to war
[01:07:12.999 --> 01:07:15.540]  And that throws light on British motives too.
[01:07:15.880 --> 01:07:27.766]  The conventional explanation is that after the Twin Towers were hit, retaliation against Al Qaeda bases in Afghanistan was a national first step in launching a global war against terrorism.
[01:07:27.786 --> 01:07:34.289]  Of course, they don't tell you there were 40,000 US troops and 18,000 British troops mashing into Tajikistan and Uzbekistan.
[01:07:34.569 --> 01:07:36.370]  Bush had launch orders on his desk.
[01:07:37.435 --> 01:07:40.316]  Then, because Saddam Hussein was alleged by the U.S.
[01:07:40.356 --> 01:07:40.716]  and U.K.
[01:07:40.757 --> 01:07:44.698]  governments to retain weapons of mass destruction, the war could be extended to Iraq as well.
[01:07:44.758 --> 01:07:47.880]  However, the theory does not fit all the facts.
[01:07:48.200 --> 01:07:50.981]  The truth may be a great deal murkier.
[01:07:51.641 --> 01:07:55.343]  We now know that a blueprint for the creation of a Pax America
[01:07:56.525 --> 01:07:57.866]  That's a Roman term.
[01:07:58.326 --> 01:08:09.655]  Was drawn up for Dick Cheney, now Vice President, Donald Rumsfeld, Defense Secretary, Paul Wolfowitz, Rumsfeld's Deputy, Jeb Bush, Bush's younger brother, and Louis Libby, Cheney's Chief of Staff.
[01:08:09.735 --> 01:08:21.163]  The document entitled, Rebuilding America's Defenses, that means destroying America, empowering the New World Order, doublespeak, was written in September 2000 by the neoconservative think tank, Project for a New American Century, or PNAC.
[01:08:21.877 --> 01:08:28.781]  The plan shows Bush's cabinet intended to take military control of the Gulf region, whether or not Saddam Hussein was in power.
[01:08:29.621 --> 01:08:41.668]  That's right, it says, quote, while the unresolved conflict with Iraq provides an immediate justification, the need for a substantial American force presence in the Gulf transcends the issue of the regime of Saddam Hussein.
[01:08:42.828 --> 01:08:46.930]  They went on in the same document to say he provided a convenient pretext for an invasion.
[01:08:47.731 --> 01:08:51.413]  The PENAC blueprint supports an earlier document attributed to Wolfowitz and Libby
[01:08:52.634 --> 01:08:53.354]  Which said the U.S.
[01:08:53.414 --> 01:09:02.059]  must discourage advanced industrial nations from challenging our leadership or even aspiring to a larger regional or global role.
[01:09:02.740 --> 01:09:07.522]  And when you hear, we, we, we, that means the private banks that own America using us as muscle.
[01:09:08.022 --> 01:09:09.984]  Under this globalism, you're going to lose your job.
[01:09:10.024 --> 01:09:14.266]  They say the high-tech outsourcing is going to be seven times worse to India.
[01:09:14.426 --> 01:09:15.046]  Just India.
[01:09:15.366 --> 01:09:16.227]  Seven times worse.
[01:09:16.507 --> 01:09:19.769]  They say Mexico is going to get five times doubled what it is now.
[01:09:21.445 --> 01:09:22.065]  It continues.
[01:09:22.165 --> 01:09:23.986]  So, this means total enslavement for you.
