[00:00:00.089 --> 00:00:01.070]  Again, I'm Alex Jones.
[00:25:48.974 --> 00:26:04.647]  Tex, when you open the Austin American Statesman up and you read, Mossad give an okay to kill Americans inside the US, and they signed a deal with the EU a month ago, Reuters reported, to allow extradition of Americans under EU law, which is basically criticizing the government or
[00:26:05.740 --> 00:26:07.261]  You know, hate speech, thought crime.
[00:26:07.801 --> 00:26:22.949]  When you see all this happening, when you see all the documents and the articles, all mainstream going, yeah, we'll use foreign troops here in America, we're tied down in the war on terror, and now our troops are overseas, and the CFRs on TV saying brace for massive attacks, we're going to shut all your cities down.
[00:26:23.849 --> 00:26:33.874]  They're really setting a huge takeover up, so I guess to reorganize society, how do we resist this, and what's your forecast for the next six months to a year?
[00:26:34.374 --> 00:26:35.435]  And how do we back them off?
[00:26:39.046 --> 00:26:46.271]  We, as Americans, have always been 100% for our Constitutional Bill of Rights.
[00:26:47.072 --> 00:26:52.776]  And we cannot allow those things to be sacrificed to the altar of this so-called war on terrorism.
[00:26:53.657 --> 00:27:04.225]  For example, right now, there would be outrage today, and all the media would be building it up if Saddam Hussein went on TV and said, we hold the right, we reserve the right,
[00:27:04.770 --> 00:27:08.631]  To send in secret assassination teams to kill Americans who don't agree with us?
[00:27:09.731 --> 00:27:11.151]  I mean, that would be outrageous!
[00:27:11.331 --> 00:27:15.832]  And we would say that would be a pretext of war, and George Bush would be pounding the table.
[00:27:16.312 --> 00:27:22.633]  But Israel's Ariel Sharon president says it, and they come out and flat out say, this is what we're going to do.
[00:27:23.113 --> 00:27:27.914]  We reserve the right, and we will be going into America killing people that we don't agree with.
[00:27:28.514 --> 00:27:29.914]  Well, come on now!
[00:27:30.034 --> 00:27:32.755]  I mean, you see, where is the outrage?
[00:27:33.234 --> 00:27:56.845]  It seems that when people call for torture, when we actually are torturing people, such as we're doing in Guantanamo Bay, when we're arresting Americans and saying they have no due right, if they involve themselves as they're accused, and again, it's only allegations, you know, in any way, if they have terrorism, they forfeit their right to be an American.
[00:27:57.426 --> 00:27:57.866]  Do what?
[00:27:58.709 --> 00:28:01.312]  No, they don't forfeit their right if they're found guilty.
[00:28:01.632 --> 00:28:05.216]  Yeah, you've got the proof, give them a jury, the jury will execute them.
[00:28:05.457 --> 00:28:14.467]  But of course they don't have the proof, that's why they want to, they insist that they can arrest the Tex Morrises, the Alex Jones, the John Smiths out there listening to us.
[00:28:14.907 --> 00:28:17.911]  The government is saying we can arrest you on suspicion.
[00:28:18.929 --> 00:28:23.694]  And indefinitely, forever and ever, keep you locked up in a prison cell.
[00:28:23.714 --> 00:28:25.676]  And not even tell anyone that we grabbed you, by the way.
[00:28:25.776 --> 00:28:27.258]  Yeah, we will not allow you a lawyer.
[00:28:27.298 --> 00:28:29.100]  We will not allow you one phone call.
[00:28:29.360 --> 00:28:30.902]  We won't even tell people we've got you.
[00:28:31.102 --> 00:28:32.764]  This is what the stuff, American...
[00:28:33.464 --> 00:28:34.344]  Dictators did.
[00:28:34.705 --> 00:28:35.825]  You know, with the disappeared.
[00:28:36.145 --> 00:28:37.086]  They just picked them up!
[00:28:37.466 --> 00:28:40.167]  And then they repeated it and said, we don't know where your relative is.
[00:28:40.187 --> 00:28:43.129]  Your brother, your sister, your father, your mom.
[00:28:43.149 --> 00:28:43.909]  We don't know where they're at.
[00:28:43.969 --> 00:28:44.910]  Sorry, get out of here.
[00:28:45.130 --> 00:28:55.675]  A few months ago I was in the cleaners bringing some clothes in and I saw a state police, Texas State Police Highway Patrol major, old guy, and he said, Alex, you're absolutely right.
[00:28:55.715 --> 00:28:56.836]  A lot of us were waking up.
[00:28:57.196 --> 00:28:59.637]  We were brought up that this is the stuff that happened in Russia.
[00:29:00.338 --> 00:29:03.159]  The Patriot Act, Homeland Security, enemy combatant.
[00:29:04.124 --> 00:29:05.705]  Do you think it's blowing up in their face?
[00:29:05.745 --> 00:29:08.969]  Because if they thought they had the power now to move against you and I, they would.
[00:29:09.489 --> 00:29:14.314]  Right now it's just, oh, the guy with the big beard, the Islamic, you know, he's different than us, he doesn't have rights.
[00:29:15.235 --> 00:29:18.719]  Do you think we have a chance if we really speak out against this to back them off?
[00:29:18.799 --> 00:29:20.280]  I mean, I think it's blowing up in their face.
[00:29:21.001 --> 00:29:26.367]  Well, it may be blowing up in their face, but I think we're in a great period of peril and danger.
[00:29:27.434 --> 00:29:29.915]  I believe the precedent actually was set for this.
[00:29:30.375 --> 00:29:32.916]  There are so many former militia types.
[00:29:32.996 --> 00:29:46.239]  Now, neither you nor I have ever been a member of a militia, but I have, you know, since the Timothy McVeigh so-called bombing of Oklahoma City, so many of those people were arrested for trumped-up charges.
[00:29:47.379 --> 00:29:53.881]  You know, they would plant an FBI informant in the office of the Republic of Texas
[00:29:54.594 --> 00:29:57.497]  And he would go in there and work their computer system.
[00:29:57.517 --> 00:29:58.878]  He would say, I'm a computer pro.
[00:29:59.358 --> 00:30:02.181]  And he would volunteer to be their web man.
[00:30:02.601 --> 00:30:06.945]  Then he would go in there and send filthy letters threatening Janet Reno.
[00:30:07.826 --> 00:30:14.211]  And then he would go and claim that the head of the President of the Republic of Texas Militia Group is the one that did it.
[00:30:14.592 --> 00:30:16.173]  And they would put these people in prison.
[00:30:16.633 --> 00:30:20.437]  The FBI, no doubt, is planning weapons.
[00:30:21.832 --> 00:30:25.858]  Uh, on the property of these militia people, such as Mr. Lampley was one of them.
[00:30:26.665 --> 00:30:28.687]  Uh, and they're, they sent them to prison.
[00:30:28.927 --> 00:30:29.688]  Pipe bombs?
[00:30:29.968 --> 00:30:36.553]  Pipe bombs, and then they go in and they find just normal things that are in your garage that you use to fix your lawnmower with.
[00:30:36.573 --> 00:30:44.039]  Yeah, I have video of them beating somebody up on the side of the highway, wasn't even in a militia, holding up jumper cables and saying, look, pipe bombs.
[00:30:44.099 --> 00:30:44.820]  I mean, it's ridiculous.
[00:30:44.880 --> 00:30:45.400]  Pipe bombs.
[00:30:45.740 --> 00:30:48.222]  Yeah, so this is the whole thing.
[00:30:48.383 --> 00:30:49.443]  Everything is nebulous.
[00:30:49.483 --> 00:30:54.928]  The laws are no longer there to protect us, and I believe they have already, every
[00:30:55.501 --> 00:30:56.482]  Top militia leader.
[00:30:56.722 --> 00:31:00.465]  Now I wasn't for a lot of these guys and some of them were nuts, but so what?
[00:31:00.505 --> 00:31:01.786]  America is a land of nuts!
[00:31:02.273 --> 00:31:06.556]  Hey, San Francisco, if we're going to put them in prison, let's go to San Francisco.
[00:31:06.576 --> 00:31:07.477]  There's probably 500,000.
[00:31:07.517 --> 00:31:12.241]  Well, the problem is a lot of them got infiltrated and were foolish and were suckered into all this.
[00:31:12.721 --> 00:31:14.723]  Tex, how do we get past the fear factor?
[00:31:14.743 --> 00:31:16.604]  Because I'm boldly fighting, you're boldly fighting.
[00:31:17.004 --> 00:31:18.866]  I see them feeding on liberals, conservatives.
[00:31:19.186 --> 00:31:21.568]  This system feeds on people indiscriminately.
[00:31:21.948 --> 00:31:23.569]  Aren't we safer fighting this?
[00:31:23.729 --> 00:31:25.311]  Aren't we safer speaking out against this?
[00:31:26.051 --> 00:31:28.173]  You're always safer telling the truth.
[00:31:28.753 --> 00:31:31.055]  You know, this is no different
[00:31:32.892 --> 00:31:40.054]  Then the person who knows some horrible crime has been committed and she or he goes to the press for protection.
[00:31:40.814 --> 00:31:47.415]  Only when the truth gets out to the public at large can the whistleblower be protected.
[00:31:47.455 --> 00:31:53.417]  Now, every American who loves our Constitution and our way of life is, in fact, a whistleblower.
[00:31:53.837 --> 00:31:58.618]  We're blowing the whistle now, and we've got to do it more and more and get it in public.
[00:31:58.658 --> 00:31:59.538]  Now, I will say this.
[00:32:01.092 --> 00:32:03.894]  The real key to me is to be a Christian.
[00:32:04.814 --> 00:32:06.015]  Is to trust God.
[00:32:06.455 --> 00:32:10.257]  If you will trust God, then fear will melt away.
[00:32:11.037 --> 00:32:13.018]  Because God will take away the fear.
[00:32:13.318 --> 00:32:18.021]  You know, in the book of Revelation, there is a list of those who will not enter the kingdom of heaven.
[00:32:18.881 --> 00:32:20.282]  And you know, it's horrible people.
[00:32:20.402 --> 00:32:21.402]  Murderers, you know.
[00:32:22.483 --> 00:32:24.524]  People just who commit terrible abominations.
[00:32:25.302 --> 00:32:27.944]  Who defraud others and such.
[00:32:27.984 --> 00:32:30.666]  The big long list of their prostitutes, etc.
[00:32:31.607 --> 00:32:33.448]  But, did you know what leaves the list?
[00:32:35.209 --> 00:32:35.810]  The fearful.
[00:32:36.350 --> 00:32:38.252]  The fearful will not enter the Kingdom of Heaven.
[00:32:38.352 --> 00:32:49.300]  Well, Tex, at your home you said that, you know to me personally, you said that the Bible says that fear of God is the beginning of wisdom, so the converse is fear of the devil is the beginning of ignorance.
[00:32:49.640 --> 00:32:50.220]  There you go!
[00:32:50.260 --> 00:32:52.502]  You get real stupid when you start fearing
[00:32:53.435 --> 00:33:00.901]  I don't think we should fear at all, but the boldness is what causes them to step back and say, uh-oh.
[00:33:01.961 --> 00:33:08.606]  You know, in my newsletter, I was talking about Gulag USA this month, and I mentioned there's an old French witticism.
[00:33:09.267 --> 00:33:12.949]  It goes this way, quote, this animal is very wicked.
[00:33:13.469 --> 00:33:15.691]  When you attack it, it defends itself.
[00:33:16.532 --> 00:33:22.596]  Well, you see, you know, I mean, to the federal rogue government that we have,
[00:33:23.411 --> 00:33:27.672]  To the New World Order conspiracy elite, we're very wicked animals.
[00:33:27.712 --> 00:33:30.453]  Why, when they attack us, we defend ourselves.
[00:33:30.973 --> 00:33:32.713]  And we should defend ourselves.
[00:33:33.073 --> 00:33:37.734]  God never said, lay down and let them kill you and your family, rape your wife.
[00:33:37.814 --> 00:33:38.815]  He never said that.
[00:33:39.675 --> 00:33:47.496]  So we do defend ourselves, but we're not proactive to the extent of trying to harm them.
[00:33:48.037 --> 00:33:49.737]  In other words, let them
[00:33:50.603 --> 00:33:51.664]  Make the first move.
[00:33:51.724 --> 00:33:53.685]  Meanwhile, we will tell the truth about them.
[00:33:54.045 --> 00:33:55.607]  But remember what Lennon said.
[00:33:56.387 --> 00:33:57.008]  He was right.
[00:33:57.148 --> 00:34:01.451]  And I think George Bush, all of the elitists know this.
[00:34:02.011 --> 00:34:04.092]  Words are more lethal than bullets.
[00:34:04.473 --> 00:34:11.518]  So therefore, our weapons, Alex, can be more effective than their lies.
[00:34:11.598 --> 00:34:16.161]  Well, Tex, hence the name of my website, InfoWars.com.
[00:34:16.681 --> 00:34:17.562]  Ah, that's true.
[00:34:18.217 --> 00:34:26.624]  Tex, before we go to Scott, and Diane, and Roger, and Daniel, and Roy, and that's all the time we'll have for those five callers is all we can take.
[00:34:27.124 --> 00:34:30.727]  How do folks get your new incredible film, Gulag America?
[00:34:31.547 --> 00:34:33.909]  Well, of course, we have a 1-800 telephone number.
[00:34:33.949 --> 00:34:35.210]  People can call to order it.
[00:34:35.710 --> 00:34:39.894]  It's 82 minutes and link, $25, and please add $3 shipping.
[00:34:39.914 --> 00:34:45.358]  We have a total of $28, but let me give out our 1-800 number, but I want to assure people
[00:34:45.922 --> 00:34:53.026]  That if they would simply like a free copy of our newsletter that tells about concentration camps, they don't have to buy anything.
[00:34:53.066 --> 00:34:54.607]  We'll be delighted to send it to them free.
[00:34:54.967 --> 00:34:59.429]  Just ask for the Power Proceed newsletter that exposes the concentration camps.
[00:35:00.070 --> 00:35:07.254]  Or, of course, if they would like the video, but nobody's gonna, you know, pressure them into buying anything, and we're delighted to give them the free newsletter.
[00:35:07.594 --> 00:35:08.834]  Simply call us toll-free 1-800-234-9673.
[00:35:08.854 --> 00:35:08.914]  1-800-234-9673.
[00:35:14.104 --> 00:35:15.205]  2-3-4-9-6-7-3.
[00:35:17.566 --> 00:35:19.307]  And show it to your friends and family.
[00:35:19.407 --> 00:35:21.088]  Show it to your church, because I've seen it.
[00:35:21.108 --> 00:35:29.232]  We've aired some clips on local television a few weeks ago, and I'm not carrying it yet, so folks get it from TexMars, but I will be carrying his video.
[00:35:29.252 --> 00:35:29.672]  800-234-9673.
[00:35:29.692 --> 00:35:32.214]  And in other incredible books, like Circle of Intrigue,
[00:35:39.537 --> 00:35:41.938]  They've got info on everything.
[00:35:42.498 --> 00:35:44.598]  On Skull and Bones, on Bohemian Grove.
[00:35:45.058 --> 00:35:46.019]  Just give them a call.
[00:35:46.039 --> 00:35:46.639]  800-234-9673.
[00:35:46.659 --> 00:35:50.420]  Tex, what about websites?
[00:35:50.440 --> 00:35:51.160]  You've got a lot of them.
[00:35:51.740 --> 00:35:52.400]  Sure.
[00:35:52.480 --> 00:35:54.300]  Conspiracyworld.com.
[00:35:55.101 --> 00:35:58.341]  By the way, we have a new video out on Planet X. Just incredible.
[00:35:58.781 --> 00:35:59.762]  A dark red star.
[00:36:00.222 --> 00:36:03.522]  And you know, you and I had a discussion on that when we were in Dallas last year.
[00:36:04.162 --> 00:36:05.443]  And you were mentioning the CIA.
[00:36:07.502 --> 00:36:09.202]  Uh, let's just say connection there.
[00:36:09.603 --> 00:36:14.744]  And I think that was very, very insightful of you, and it made me sort of dig a little bit to look into that.
[00:36:15.204 --> 00:36:16.784]  So, uh, I'm gonna send you a copy of the video.
[00:36:16.804 --> 00:36:19.945]  You might be interested as well, because I think you were onto something there.
[00:36:20.345 --> 00:36:27.066]  Planet X. But, uh, we have conspiracyworld.com, and then we also have powerofprophecy.com.
[00:36:27.426 --> 00:36:32.027]  They have all of our videos and things, and we have many, many free articles they can, uh, get.
[00:36:32.107 --> 00:36:36.128]  And then we have a link to another great site called infowars.com as well.
[00:36:37.003 --> 00:36:44.309]  We've been linking over on PrisonPlanet.com, our new website, to your sites as well, and we're running some of your powerful articles.
[00:36:44.349 --> 00:37:00.461]  Tex, when we get back, we'll go to these phone calls, and before you leave us, I do want to hear about, because I've seen the evidence, but the listeners need to see it, hear it, with, and that's in your new film, Jim Jones in a CIA mind control camp, and what really happened there with that.
[00:37:00.541 --> 00:37:02.042]  So, that is really exciting.
[00:37:02.703 --> 00:37:05.625]  Tex Mars, stay right there, we'll be back after this quick break.
[00:37:06.696 --> 00:37:17.181]  Folks, it is so important to educate others, your friends, your family, so that you have a support group that isn't totally ignorant as stuff intensifies, as things get worse and worse.
[00:37:17.561 --> 00:37:19.182]  We've been here for years telling you this.
[00:37:19.202 --> 00:37:23.643]  It's happened exactly as we said it would because we're not making this stuff up.
[00:37:23.704 --> 00:37:26.265]  We're tracking and tracing and studying the globalists.
[00:37:26.305 --> 00:37:26.785]  We'll be right back.
[00:37:28.550 --> 00:37:31.391]  Thanks for listening to the M2K Talk Archives.
[00:37:31.871 --> 00:37:35.032]  And we are listener supported with the honors system.
[00:37:35.353 --> 00:37:36.613]  We ask that you wait.
[00:37:38.294 --> 00:37:40.815]  Don't worry, this show is documented.
[00:37:41.315 --> 00:37:44.116]  Alex Jones on the GCN Radio Network.
[00:37:44.196 --> 00:37:46.697]  That's right folks, don't worry.
[00:37:46.717 --> 00:37:47.637]  We're doing the right thing.
[00:37:47.657 --> 00:37:49.238]  We're standing up for our families.
[00:37:49.778 --> 00:37:55.260]  We've got loaded phones here for Tex Marsh, just an icon in the fight against the new world order.
[00:37:55.945 --> 00:38:00.687]  Probably done more than anybody out there, with the help of all of his listeners, that have taken action.
[00:38:01.627 --> 00:38:07.549]  And later we'll tell folks how they can tune in to his worldwide broadcast, and he's agreed to stay with us into the next segment for a while.
[00:38:07.969 --> 00:38:12.951]  Tex, I'm not bragging on myself, but I wanted to get your response to this, because it really upset me.
[00:38:12.971 --> 00:38:16.152]  My wife, after it happened, said, why are you so upset, Friday night?
[00:38:16.672 --> 00:38:18.393]  And I said, because nobody took action.
[00:38:18.713 --> 00:38:22.274]  We were at La Madeline in North Austin, having dinner,
[00:38:23.401 --> 00:38:38.372]  And I went to the bathroom and I heard yelling and screaming and I came out and everyone was standing around, this is like a minute into it, as a woman was choking and turning blue and they were all yelling, call 9-1-1, call 9-1-1.
[00:38:38.693 --> 00:38:46.058]  Now 20 years ago, or in a truck stop today, somebody would have jumped up, grabbed her, done the Heimlich Maneuver, which I did, and the food came out and she survived.
[00:38:47.559 --> 00:38:55.623]  This mentality of being spectators, not really being alive, not being down in the arena, like the old parable goes, how does this fit in?
[00:38:55.643 --> 00:39:05.908]  You know, we hear the stories of somebody being shot or stabbed in the road for three hours before somebody calls the police, or a woman being raped in a parking lot in front of thousands of people and no one does anything.
[00:39:06.968 --> 00:39:11.090]  How have we become such neutralized spectators, Tex?
[00:39:11.591 --> 00:39:14.092]  There's no doubt television has played the biggest role in this.
[00:39:15.133 --> 00:39:18.155]  It is a hypnotic, mind-controlled drug.
[00:39:18.836 --> 00:39:28.223]  It's electronic, of course, but there's many, many ways of subliminal seduction and zombie-like inducement there.
[00:39:28.983 --> 00:39:30.864]  You know, you're so right about it.
[00:39:30.904 --> 00:39:44.334]  I know myself, as much as I keep track of this, with the Internet, with so many correspondences you and I have, and watching television and trying to figure out what's lie and what's true, and as much research as we do,
[00:39:45.631 --> 00:39:47.393]  Still, we have to really watch our stuff.
[00:39:47.473 --> 00:39:51.616]  I was in Beaumont, Texas, the last two days.
[00:39:52.397 --> 00:39:56.741]  And, you know, Beaumont is the twelfth largest port in the United States.
[00:39:57.701 --> 00:39:59.643]  And they had huge cargo ships.
[00:40:00.183 --> 00:40:09.491]  And they had a thing like, oh, block after block after block of fan-colored, you know, repainted military equipment.
[00:40:10.272 --> 00:40:13.094]  Even entire semi-trucks.
[00:40:14.397 --> 00:40:22.502]  Going into the whole of these incredible cargo ships that were like, you know, unlike anything that I had seen in 30 years.
[00:40:23.943 --> 00:40:31.007]  But, you know, armored personnel carriers, tanks, jeeps, all headed for the Middle East.
[00:40:31.288 --> 00:40:31.708]  All headed.
[00:40:31.968 --> 00:40:34.409]  I mean, they are going to do it, Alex.
[00:40:34.449 --> 00:40:37.952]  And they're going to blow stuff up and say, see, we told you we're saving you.
[00:40:37.992 --> 00:40:38.852]  Let's take some calls.
[00:40:39.432 --> 00:40:41.554]  Scott in Florida been holding for about an hour.
[00:40:41.574 --> 00:40:43.075]  You're on the air with Tex Mars.
[00:40:43.115 --> 00:40:43.475]  Go ahead.
[00:40:44.375 --> 00:40:45.075]  How are you doing, Alex?
[00:40:45.195 --> 00:40:45.555]  Good, sir.
[00:40:45.575 --> 00:40:45.935]  Go ahead.
[00:40:47.176 --> 00:40:51.256]  Tex, didn't you put out a movie, the Clinton Chronicles, years ago?
[00:40:52.257 --> 00:40:52.817]  No, I didn't.
[00:40:53.117 --> 00:40:57.898]  I know that those are the Matricianas, but it was pretty powerful, and they put out a book as well.
[00:40:57.978 --> 00:40:58.938]  Jeremiah Films.
[00:40:59.378 --> 00:41:03.019]  Yeah, we did offer that through our ministry, though.
[00:41:03.579 --> 00:41:09.880]  Well, I've seen that back in the Clinton days, about the concentration camps back then, briefly.
[00:41:10.833 --> 00:41:13.675]  My question is to you since you made a new movie and I plan to get it.
[00:41:13.855 --> 00:41:16.536]  I listen to your show once a week.
[00:41:17.857 --> 00:41:26.621]  I've noticed in Florida that they've shut down three prisons last year that had a bunch of telecommunications equipment sent to it and then they all of a sudden shut them down.
[00:41:26.641 --> 00:41:30.603]  Do you think these might be interment camps?
[00:41:30.623 --> 00:41:31.563]  Well, I know they are.
[00:41:31.643 --> 00:41:33.104]  They admit that's what they're doing.
[00:41:33.124 --> 00:41:33.904]  Go ahead, Tex.
[00:41:34.565 --> 00:41:37.486]  Yes, Alex is right, Scott, and you are too.
[00:41:38.686 --> 00:41:39.547]  We've been able to
[00:41:40.303 --> 00:41:51.953]  Uh, determined that in at least 28 states now, former military installations have been converted either to federal prisons or to, let's just call them, internment camps in waiting.
[00:41:52.413 --> 00:41:54.015]  You know, complete with the guard towers.
[00:41:54.175 --> 00:41:57.377]  They call them emergency relocation centers in the federal budget.
[00:41:57.638 --> 00:41:57.878]  Correct.
[00:41:57.918 --> 00:41:58.438]  There you go.
[00:41:58.498 --> 00:42:01.841]  And of course, this is the strange anomaly here.
[00:42:01.861 --> 00:42:07.846]  They're saying we need to have internment camps because of the illegal alien problem.
[00:42:07.866 --> 00:42:08.967]  But on the other hand, they're saying
[00:42:09.483 --> 00:42:14.808]  Really, the way to solve the illegal alien problem is just give them all amnesty and we won't have an illegal.
[00:42:15.028 --> 00:42:16.309]  Yeah, Pan American Union.
[00:42:16.590 --> 00:42:24.337]  So why, you know, on one hand we're telling Vicente Fox we're going to give all of your illegals in America total amnesty.
[00:42:24.657 --> 00:42:30.803]  On the other hand, they're saying we need billions of dollars to build internment camps for illegal aliens.
[00:42:31.183 --> 00:42:34.166]  So something is really haywire and of course we know what it is.
[00:42:34.574 --> 00:42:43.957]  Well, they talk about they need more money for prisons, but yet they shut them down, and I know for a fact they've just built a brand new one by Wackenhut with nobody even in it, but yet they want to crowd the prisons.
[00:42:43.977 --> 00:42:50.999]  Wackenhut is deeply involved in the camps, and if you haven't seen my films, we have the mainstream news articles.
[00:42:51.379 --> 00:42:55.581]  They admit they're building camps for Americans, okay?
[00:42:55.601 --> 00:42:57.721]  Fort Dix, New Jersey is an infamous place.
[00:42:58.221 --> 00:42:59.922]  There was one of the largest
[00:43:01.686 --> 00:43:12.090]  The military installations in America, and now they've made a federal prison out of it, but there are only a few hundred prisoners, but the head of that prison camp says, we have the capacity for up to 20,000.
[00:43:12.190 --> 00:43:18.612]  The old German prisoner of war camp out in Bastrop is busy again.
[00:43:18.632 --> 00:43:19.612]  Thanks for the call.
[00:43:20.052 --> 00:43:22.493]  More calls coming up with Tex Mars, I'm Alex Jones.
[00:43:24.918 --> 00:43:30.203]  Join Alex live on the air, toll free at 1-800-259-9231.
[00:43:30.663 --> 00:43:34.627]  Or email the Info Warrior at alex.infowars.com.
[00:43:34.847 --> 00:43:39.171]  Alright, we got Professor Tex Meyers on.
[00:43:39.191 --> 00:43:40.652]  A lot of callers to get to.
[00:43:40.713 --> 00:43:45.377]  I appreciate everybody being patient with Diane and Daniel, Ronnie and others.
[00:43:46.781 --> 00:43:53.564]  We'll talk about Jim Jones a little bit and the CIA and the camp there and then of course the drugging of the soldiers.
[00:43:53.624 --> 00:43:56.006]  Not just the pilots but drugs that make them aggressive.
[00:43:56.726 --> 00:44:00.968]  And we saw the Special Forces troops at Fort Bragg from one unit killing four of their wives.
[00:44:00.988 --> 00:44:02.049]  How does that all tie together?
[00:44:02.809 --> 00:44:04.910]  Let's talk to Diane in South Carolina.
[00:44:04.930 --> 00:44:06.371]  You're on the air with Tex Mars.
[00:44:06.431 --> 00:44:06.771]  Go ahead.
[00:44:07.383 --> 00:44:08.563]  It's such a pleasure, gentlemen.
[00:44:08.623 --> 00:44:12.925]  Tex, I've been with you since Living Truth Ministries, and I'm still with you with Power Prophecy.
[00:44:13.085 --> 00:44:14.045]  Oh, great!
[00:44:14.245 --> 00:44:17.566]  So much of your books are just so ahead of its time.
[00:44:18.106 --> 00:44:26.028]  We've got the duck in the noose, you know, the CIA under-talk here that people are picking up.
[00:44:26.368 --> 00:44:32.650]  What is going on right now also has satanic overtones, whether it be the kidnapping of the children of people
[00:44:33.200 --> 00:44:38.523]  Are these people literally in the underground camps of these CIA mental control people?
[00:44:38.543 --> 00:44:39.443]  Well, let me just say this.
[00:44:39.783 --> 00:44:46.367]  On Infowars.com right now, it's not just Scott Ritter connected to going after teenage girls.
[00:44:46.427 --> 00:44:52.630]  That's horrible, but it's nothing compared to the current guy who runs a website of how to kidnap women.
[00:44:52.670 --> 00:44:53.670]  Just brutal stuff.
[00:44:53.690 --> 00:44:55.872]  He's the head U.S.
[00:44:57.733 --> 00:44:58.853]  person on the U.N.
[00:44:58.893 --> 00:45:00.254]  inspection team under Hans Blix.
[00:45:01.288 --> 00:45:08.432]  Then we have a huge archive of the UN, where the CIA and DynCorp got caught in a lawsuit, two suits, they lost them.
[00:45:09.773 --> 00:45:15.536]  Kidnapping 200,000 women and children and taking them out of Bosnia alone in 2000.
[00:45:17.077 --> 00:45:23.841]  White slavery tied in with Saudi Arabia, Israel... And you know a lot of people don't want to believe this stuff, y'all.
[00:45:23.921 --> 00:45:25.582]  It's ridiculous, yeah.
[00:45:25.682 --> 00:45:27.283]  Tex, any comments to what she just said?
[00:45:27.961 --> 00:45:30.263]  Well, this is the saddest thing.
[00:45:30.563 --> 00:45:32.944]  I think I get more angry at this over any of it.
[00:45:32.984 --> 00:45:36.607]  You mentioned you getting angry, Alex and Diane.
[00:45:36.707 --> 00:45:42.190]  I'll tell you, what happened with Elizabeth Smart, with Jean Bonnet, Ramsey.
[00:45:42.210 --> 00:45:44.912]  Jean Bonnet, the name is even significant there, isn't it?
[00:45:45.192 --> 00:45:47.454]  Sure, and Lacey Peterson, this case.
[00:45:47.874 --> 00:45:56.660]  All of these things, there is no doubt in my mind, and I'm not saying in every high visibility case, but in many, many of these cases,
[00:45:57.085 --> 00:46:03.606]  We do have secret, satanic, gay sex rings in particular.
[00:46:04.866 --> 00:46:06.407]  It is a horrible thing.
[00:46:06.447 --> 00:46:10.487]  You're going to find, in the Van Damme case, I don't think we got all the facts there.
[00:46:11.128 --> 00:46:13.308]  The father, of course, was homosexual.
[00:46:14.468 --> 00:46:25.110]  In the Elizabeth Smart case, the father and the uncles and others, it is alleged evidently, and there's much evidence, that they were into homosexual, satanic parties.
[00:46:25.666 --> 00:46:27.507]  The Dick Condit congressman case.
[00:46:27.927 --> 00:46:30.827]  In fact, he was part of a satanic underworld.
[00:46:30.867 --> 00:46:38.230]  Now, that actually came out in Fox News, a quote, secret satanic sex ring, and notice he's the congressman from Bohemian Grove.
[00:46:38.890 --> 00:46:40.670]  Absolutely, in the Modesto area.
[00:46:41.551 --> 00:46:42.711]  Incredible.
[00:46:43.211 --> 00:46:48.713]  Even the name there, Saras, California, has relationship to the ancient goddess.
[00:46:48.733 --> 00:46:53.634]  They had the sex satanic rituals back in the days of the mystery religion.
[00:46:53.934 --> 00:47:02.738]  Well, Ted, how does this relate to your new thing coming out, the Planet X, quote, quote, maybe the deception of the aliens that are supposedly going to be coming forth?
[00:47:03.118 --> 00:47:04.718]  I mean, it has everything to do with it.
[00:47:04.738 --> 00:47:07.359]  It has everything to do with Bible prophecy.
[00:47:07.379 --> 00:47:15.743]  And we have this whole UFO, Planet X theology being put out by the mainstream media, and people are latching on to it when it's totally bogus.
[00:47:16.023 --> 00:47:23.666]  It's totally bogus, and the interesting thing is the secret doctrine, as it's called, of Helena Blavatsky, and theosophy, and all these
[00:47:24.102 --> 00:47:31.267]  New Age organizations, I have found that all of their money at these satanic rings, remember Dr. Michael Aquino was a U.S.
[00:47:31.567 --> 00:47:40.553]  Army Lieutenant Colonel, and he ran his temple of fet while he was an Army officer.
[00:47:40.713 --> 00:47:44.615]  All of these things are being debarred by our military and our rogue government.
[00:47:44.816 --> 00:47:48.358]  Out of the Presidio, which is run by Mikhail Gorbachev in San Francisco.
[00:47:49.650 --> 00:47:51.192]  That's right.
[00:47:52.052 --> 00:47:54.835]  These people are true believers, are they not?
[00:47:55.615 --> 00:47:56.936]  They're true believers.
[00:47:57.457 --> 00:48:11.088]  And, of course, for years we've thought about the CIA and its Child Finders cult, where they get little kids and pass them off and ship them over to Saudi Arabia and something for the sheikhs.
[00:48:11.669 --> 00:48:12.709]  We need a
[00:48:14.171 --> 00:48:18.175]  An all-out housecleaning of evil wickedness from America.
[00:48:18.195 --> 00:48:25.362]  Well, they just formally announced in the Reuters two weeks ago, yeah, Israel kidnaps women, the Mossad has slave robbers, but it's no big deal.
[00:48:25.482 --> 00:48:26.803]  Oh, Saudi Arabia does it.
[00:48:27.023 --> 00:48:28.224]  I mean, I'm saying their name, Tex.
[00:48:28.244 --> 00:48:28.965]  This was in the news.
