[00:00:12.412 --> 00:00:18.074]  He aligns himself with the truth, and it's time for you to choose a side.
[00:46:58.157 --> 00:46:59.578]  But a couple more things quickly.
[00:46:59.578 --> 00:47:03.161]  I will have the Russia story filed in about a half an hour.
[00:47:03.821 --> 00:47:10.324]  And it's going to be additional ammunition for Donald Trump when he's going to deal with Putin.
[00:47:10.324 --> 00:47:13.466]  It could be game-changing in the deal with Putin.
[00:47:13.466 --> 00:47:18.809]  And lastly, I'm here in Nashville with a company called Certainty One.
[00:47:18.809 --> 00:47:22.110]  S-E-R-T-I-N-T-Y.
[00:47:22.110 --> 00:47:24.411]  Certainty O-N-E One.
[00:47:24.411 --> 00:47:26.432]  They've developed smart data.
[00:47:26.432 --> 00:47:33.156]  It's a cyber security ability to have even if a firewall is penetrated,
[00:47:34.729 --> 00:47:43.053]  The data is useless to the guys hacking it, because it has internal nano-engines in it that make it such that it can't be read.
[00:47:43.053 --> 00:47:45.414]  It's a scrambler!
[00:47:45.414 --> 00:47:57.760]  About 20 minutes ago, I emailed this information into the White House, because Donald Trump is about to issue an executive memorandum on cyber security, fulfilling another campaign promise.
[00:47:58.400 --> 00:48:09.748]  And we're going to be able to give to Donald Trump through Alex Jones and we're going to form a partnership here with Certainty One because this is a paradigm shift.
[00:48:09.748 --> 00:48:16.093]  This technology, I was working with this technology several months before I joined you, Alex.
[00:48:16.733 --> 00:48:22.238]  Sure, and we also know that Trump had to give up his cell phone a few weeks ago, which is a huge issue.
[00:48:22.238 --> 00:48:25.701]  They're trying to isolate him more and more, but it's just amazing.
[00:48:25.701 --> 00:48:34.308]  So I look forward to looking at that more and teaming up all this with you, Dr. Corsi, and a little bit of time we have left here just adding a caveat to all this.
[00:48:35.233 --> 00:48:37.897]  Let's look at the new Supreme Court nominee.
[00:48:37.897 --> 00:48:39.559]  I think he'll be confirmed.
[00:48:39.559 --> 00:48:43.384]  He was unanimously confirmed to the circuit court previously in 2006.
[00:48:43.384 --> 00:48:51.334]  But I think that Judge Neil Gorsuch is an excellent choice being an acolyte of Antonin Scalia.
[00:48:51.935 --> 00:49:01.842]  It's also a brilliant move because Donald Trump has nominated someone who's, you know, just stellar in his background and his qualifications.
[00:49:01.842 --> 00:49:10.467]  The Democrats are going to look like they are, you know, off on the hard left about ready to fall off the cliff if they oppose this nominee.
[00:49:10.467 --> 00:49:15.891]  They're going to look insane opposing this nominee because he stands for fundamental things.
[00:49:16.585 --> 00:49:22.029]  Okay, and I know this came in breaking from your high-level source that
[00:49:34.560 --> 00:49:38.041]  Trump is going to be nominated for a peace prize and you said, can I go with that?
[00:49:38.041 --> 00:49:39.001]  They said, sure.
[00:49:39.001 --> 00:49:42.403]  They're like, hey, yeah, we're involved, but it's not just all us.
[00:49:42.403 --> 00:49:43.463]  This is a big group effort.
[00:49:43.463 --> 00:49:47.164]  But the word is Israel's getting the info that this is going to be coming out soon.
[00:49:47.164 --> 00:49:49.765]  In fact, I want to let you actually get on the phone.
[00:49:49.765 --> 00:49:50.925]  I'll call you back during the break.
[00:49:50.925 --> 00:49:56.207]  If you can, Dr. Corsi, write us a quick blurb on more of the details so we can get this out first.
[00:49:56.207 --> 00:49:59.168]  But thank you for giving it to us raw as it came in as raw intelligence.
[00:49:59.631 --> 00:50:12.687]  And you also got the back story and that we know, as I can confirm it with the text messages I've received, that the Israel has been very instrumental in orchestrating and putting this together.
[00:50:12.687 --> 00:50:13.528]  Very, very exciting.
[00:50:13.528 --> 00:50:14.549]  Thank you, Dr. Corsi.
[00:50:14.549 --> 00:50:18.975]  We'll talk to you soon at InfoWars.com, new head of our Washington Bureau of Reforming.
[00:50:19.636 --> 00:50:20.196]  Thank you.
[00:50:20.196 --> 00:50:21.337]  It's great to be with you, Alex.
[00:50:21.337 --> 00:50:21.597]  Thank you.
[00:50:32.864 --> 00:50:35.246]  Trump is going to deliver on lower taxes.
[00:50:35.246 --> 00:50:36.907]  Trump is going to deliver on securing our border.
[00:50:36.907 --> 00:50:48.795]  Trump is going to deliver on defending the Second Amendment and families and private property and counterbalancing all the globalism we've seen by putting at least four, let's say he's even in just four years, a whole bunch of them are set to retire.
[00:50:48.795 --> 00:50:52.117]  It could be five or six if he gets that second term.
[00:50:52.117 --> 00:50:53.558]  We've got to have Trump 2020.
[00:50:53.558 --> 00:50:55.940]  We're going to skip this break, guys.
[00:50:57.629 --> 00:50:59.051]  Skip that break.
[00:50:59.051 --> 00:51:10.541]  Now, InfoWars.com, again, is a critical website, and I cannot stress to viewers and listeners enough here that I'm going to put everything that comes in, in 2017.
[00:51:10.541 --> 00:51:11.602]  Everything.
[00:51:15.234 --> 00:51:22.216]  Into forming the Washington Bureau and into augmenting our crew and teams that we can deploy around the country.
[00:51:22.216 --> 00:51:32.858]  A camera person, a researcher, a news anchor, more investigative journalists, more writers, but also take care of the great crew we have that have been here.
[00:51:32.858 --> 00:51:39.460]  Some people going back 16 years like Paul Watson and Rob Jacobson that's been here now 12, 13 years.
[00:51:39.460 --> 00:51:40.960]  Those are our longest employees.
[00:51:40.960 --> 00:51:43.081]  Rob Duke, 10 years, things like that.
[00:51:43.081 --> 00:51:44.101]  We have an amazing team.
[00:51:45.342 --> 00:51:48.224]  And I just want to thank God here openly on air.
[00:51:48.224 --> 00:51:50.545]  Call it a prayer, whatever you want, just musing aloud.
[00:51:50.545 --> 00:51:56.549]  Thank you, God, because I'll be driving home sometimes at night or I'll be driving to the grocery store.
[00:51:56.549 --> 00:51:58.311]  I'll be walking to the grocery store.
[00:51:58.311 --> 00:52:07.717]  I just look at all the milk and honey around us and all the opportunity and our poorest people are better off than some of the richest people in history before us in more primitive times.
[00:52:08.746 --> 00:52:28.618]  And the fact that we are really being delivered from corruption and evil right now, and that Trump really is delivering on everything he said he would do, and that we had better really work hard and maximize this breathing period, this rest period that we've got.
[00:52:28.618 --> 00:52:33.301]  Because this is only a rest period in between rounds.
[00:52:33.301 --> 00:52:37.163]  And believe me, I studied history, but I also understand things at a metaphysical level.
[00:52:38.612 --> 00:52:44.896]  If you think we've seen some big nasty stuff come down, get ready for some really big stuff to come.
[00:52:44.896 --> 00:52:49.038]  The enemy is going to accelerate their operations.
[00:52:49.038 --> 00:52:57.784]  We're dealing with very arrogant, mentally ill pedophiles, mainly at the top, who are vampirically draining the energy of children.
[00:52:57.784 --> 00:52:59.505]  That's what the raping of the children is about.
[00:52:59.505 --> 00:53:00.806]  It's not even really sexual.
[00:53:00.806 --> 00:53:02.267]  It's a vampiric, satanic act.
[00:53:03.863 --> 00:53:09.664]  And that's why every culture that falls always has pedophiles on top of it who also sacrifice children.
[00:53:09.664 --> 00:53:23.688]  The media always makes jokes about this when I talk about it because they know the general public that at least reads, you know, Vice's publications and, you know, other dumbed down kind of trendy stuff, don't know that every culture sacrificed children in one period or not.
[00:53:23.688 --> 00:53:29.729]  And those cultures always collapse within a few generations of the child sacrifice beginning.
[00:53:31.297 --> 00:53:48.042]  And whatever dark gods, whatever demonic entities they're inter-dimensionally communicating with, and that's what they believe they're doing, that demand the innocents being destroyed, once an elite gets in place that's being
[00:53:49.352 --> 00:53:57.139]  Given this type of dark power, you always see only an anticipation of the persecution until the world basically collapses.
[00:53:57.139 --> 00:54:06.968]  Now they believe, though, that this maximum evil will grow to a level never before seen because they're going to be able to use computers and technology to prop up evil systems that have collapsed before.
[00:54:06.968 --> 00:54:11.733]  So they believe that the prime evil or the maximum evil
[00:54:13.539 --> 00:54:17.102]  is about to be brought upon the world.
[00:54:17.102 --> 00:54:28.390]  And so what you see with Trump and the rest of it is only a small manifestation of the potential resistance spiritually that we have against this force.
[00:54:28.390 --> 00:54:31.672]  And again, the enemies of humanity are the enemies of God.
[00:54:33.536 --> 00:54:35.037]  And they think they can defeat us.
[00:54:35.037 --> 00:54:45.282]  That's why we have to go back to God for our strength and just thank God for the wonderful things, the wholesome things, the good things that are happening right now.
[00:54:45.282 --> 00:54:53.306]  And Donald Trump isn't perfect, but he's talked about how he's changed a lot too the last few years and really his awakening has accelerated.
[00:54:53.306 --> 00:54:55.247]  So it's a very, very important time to be alive.
[00:54:55.247 --> 00:55:00.110]  Also just want to ask listeners to think about supporting the broadcast.
[00:55:00.110 --> 00:55:00.630]  It's essential.
[00:55:02.023 --> 00:55:05.586]  We, right now, really won't have the money in the next year to do all these things.
[00:55:05.586 --> 00:55:15.735]  I'm just going to believe in it, and believe in God, and believe in you, and work harder promoing our products and bringing great products to you so we can fund this operation.
[00:55:15.735 --> 00:55:20.539]  But everybody needs the supplements, the nutraceuticals at mfulmorestore.com.
[00:55:20.539 --> 00:55:21.921]  Everybody needs the water filter.
[00:55:21.921 --> 00:55:23.242]  Says it's from Alexa Pure.
[00:55:23.242 --> 00:55:24.823]  They're 25% off right now.
[00:55:24.823 --> 00:55:26.665]  That's going to end this weekend.
[00:55:26.665 --> 00:55:28.767]  25% off on the Alexa Breeze, Alexa Pure Breeze.
[00:55:30.120 --> 00:55:36.343]  Air filtration systems, 10% off on the Secret 12 Mythical Model when it's back in.
[00:55:36.343 --> 00:55:41.546]  Talk about great energy, it works wonderful with the best-selling Brain Force.
[00:55:41.546 --> 00:55:44.447]  Brain Force is now our best-seller, even more than the iodine.
[00:55:45.612 --> 00:55:50.716]  Because people try it, and they just can't believe the clean, strong clarity and focus you get with it.
[00:55:50.716 --> 00:55:58.663]  But you mix it with a squirt of true organic methylcobalamin and acetamylcobalamin, or however you pronounce it, that helps you upload it better.
[00:55:58.663 --> 00:56:00.544]  It's the next best thing to shots.
[00:56:00.544 --> 00:56:02.646]  It's the same stuff people inject they get from doctors.
[00:56:02.646 --> 00:56:03.487]  Don't do that, folks.
[00:56:03.487 --> 00:56:05.068]  It's not certified for that.
[00:56:05.068 --> 00:56:08.191]  But it is the same stuff absorbed right into the body.
[00:56:08.191 --> 00:56:11.233]  So we have that taken under the tongue, and we have brain force go right together.
[00:56:12.154 --> 00:56:16.197]  We also, again, are going to have to retire, even though folks have asked me not to.
[00:56:16.197 --> 00:56:18.719]  Trump's My President shirt is going to be gone soon.
[00:56:18.719 --> 00:56:21.140]  Hillary 2017 for President is important.
[00:56:21.140 --> 00:56:23.122]  Deport Soros on the back.
[00:56:23.122 --> 00:56:23.842]  And so much more.
[00:56:23.842 --> 00:56:25.983]  A lot of new shirts, by the way, I haven't really talked about.
[00:56:25.983 --> 00:56:27.084]  There's a Republic.
[00:56:28.787 --> 00:56:29.087]  I don't
[00:56:52.858 --> 00:56:53.258]  I think so.
[00:57:09.844 --> 00:57:12.747]  By Roger Stone with a signed nameplate.
[00:57:12.747 --> 00:57:13.608]  So those are available.
[00:57:13.608 --> 00:57:15.269]  This is the first day that's shipping out.
[00:57:15.269 --> 00:57:17.431]  He'll be hosting the fourth hour today.
[00:57:17.431 --> 00:57:25.379]  We should probably get Stone on a little bit earlier today to kind of segue into him hosting the fourth hour and a lot of other big announcements to make as well.
[00:57:25.379 --> 00:57:27.041]  But it is critical.
[00:57:27.041 --> 00:57:28.142]  It is beyond essential.
[00:57:30.106 --> 00:57:36.288]  That when we put up stories that expose that illegals really are voting or that people are voting in dead people's names.
[00:57:36.288 --> 00:57:39.009]  We've got a big investigative report coming out Friday on that.
[00:57:39.009 --> 00:57:46.391]  It's essential that you continue to get those articles and stories out because just because we're starting to win and turn the tide doesn't mean we're going to win the war.
[00:57:46.391 --> 00:57:48.552]  I cannot stress enough that in my gut
[00:57:49.448 --> 00:57:55.451]  But also, intellectually, I know, we've got to turn the heat up to the next level.
[00:57:55.451 --> 00:58:03.054]  We've got to go and dominate the horror media, the Decepticon media, the fake news media, because they're trying to shut us down.
[00:58:03.054 --> 00:58:04.375]  We're not trying to shut them down.
[00:58:04.375 --> 00:58:06.676]  We're going to dominate them with the truth.
[00:58:06.676 --> 00:58:08.937]  But to do that, it's going to take major capital.
[00:58:08.937 --> 00:58:12.179]  So thank you for the support.
[00:58:12.179 --> 00:58:16.581]  I pledge to all of you that I will only be more focused, more serious,
[00:58:17.888 --> 00:58:24.893]  More humble, but also more vicious in my attacks against the globalists and my total commitment against the New World Order.
[00:58:24.893 --> 00:58:30.236]  And all these cynical globalists and, you know, garbage folks that just want to divide humanity.
[00:58:30.236 --> 00:58:31.897]  So I want to salute you all and thank you for your support.
[00:58:31.897 --> 00:58:37.861]  Whether it's spreading articles, spreading links to our videos, or purchasing products at infowarstore.com, you have made the M4 what it is.
[00:58:37.861 --> 00:58:40.503]  You are the InfoWar.
[00:58:40.503 --> 00:58:42.024]  You are listening to GCN.
[00:58:42.024 --> 00:58:45.106]  Visit GCNlive.com today.
[00:58:50.091 --> 00:58:57.556]  I am very proud to announce the introduction of the highest quality InfoWars Biome Defense Probiotic.
[00:58:57.556 --> 00:59:10.784]  We wanted to come out with the largest spectrum of high quality known probiotics that have been proven to improve overall digestion and health and detoxification in the body.
[00:59:11.724 --> 00:59:23.609]  Biome Defense is an exclusive blend of 50 billion live and active cultures from over 23 different probiotic strains that are known to support digestion and intestinal function.
[00:59:23.609 --> 00:59:29.571]  Our researchers are confident that we have been able to develop what will be the leading probiotic on the market.
[00:59:30.331 --> 00:59:39.338]  Secure your biome defense in ultra-strength or regular strength at InfoWarsLife.com today and get started supporting your digestive system naturally.
[00:59:39.338 --> 00:59:51.907]  We've been testing this formula for years, but this is the limited first run to the public, so please take advantage of it today, support your own health, and support the InfoWar.
[00:59:51.907 --> 00:59:54.549]  You're listening to the Alex Jones Show.
[01:00:12.890 --> 01:00:29.824]  From the Infowars.com News Center, deep behind enemy lines in occupied Texas, broadcasting worldwide, you're listening to the voice of human resistance against the technotronic technocracy takeover.
[01:00:29.824 --> 01:00:31.886]  You're listening to Alex Jones.
[01:00:35.700 --> 01:00:47.348]  Now notice for about 19 years I've had liners saying broadcasting from Occupy Texas, FEMA Region 6, different promos along those lines.
[01:00:47.348 --> 01:00:56.995]  Because the United States really has been captured to a great extent by the globalists.
[01:00:56.995 --> 01:00:59.137]  I'm going to talk more about that in a moment.
[01:01:00.404 --> 01:01:02.251]  But first off, I want to bring Owen Schroer in.
[01:01:02.251 --> 01:01:06.187]  He'll be co-hosting with me in the shower to talk about some of the big stories he's going to be breaking.
[01:01:08.015 --> 01:01:09.916]  Well, Alex, I gotta be honest with you.
[01:01:09.916 --> 01:01:20.302]  I'm getting a little angered right now by the Democrats and some of the voices on the left because they're really starting to insinuate violence and they're trying to blame it on us.
[01:01:20.302 --> 01:01:25.364]  Now, I've got a handful of news stories here to illustrate exactly what I'm talking about.
[01:01:25.364 --> 01:01:28.586]  Paul Joseph Watson filed a video and a news story.
[01:01:28.586 --> 01:01:30.007]  This is on Infowars.com.
[01:01:30.007 --> 01:01:31.227]  Left-wing journalists.
[01:01:31.227 --> 01:01:35.350]  Violence against racists to stop Trump should be tolerated.
[01:01:36.130 --> 01:01:42.375]  And this left-winger out of London, I don't even know who she is, Nazreen Malik, I've never heard of her.
[01:01:42.375 --> 01:01:47.338]  She's kind of an ugly human, to be honest, just because of the things that she's talking about.
[01:01:47.338 --> 01:01:56.425]  But she's basically insinuating that, okay, well, if you go out and you commit acts of violence against Trump supporters, well, that's just fine.
[01:01:57.105 --> 01:01:58.986]  Because Trump is a racist.
[01:01:58.986 --> 01:02:04.949]  See, Trump is a Nazi, so it's okay for you to go out and be violent against Donald Trump's supporters.
[01:02:04.949 --> 01:02:10.351]  So here you are, Nezrin Malik.
[01:02:10.351 --> 01:02:18.816]  So in London, if somebody walks out with a Make America Great Again hat on and they get socked in the face, are you going to take the blame for that?
[01:02:18.816 --> 01:02:22.337]  Are you going to be the one to stand up and apologize?
[01:02:22.337 --> 01:02:24.759]  Are you going to admit that you incited them?
[01:02:24.759 --> 01:02:25.459]  Let me go one further.
[01:02:26.397 --> 01:02:27.818]  They're going to attack the wrong person.
[01:02:27.818 --> 01:02:30.559]  They're going to pull their concealed carry and defend themselves.
[01:02:30.559 --> 01:02:33.160]  And so how are they going to feel then when she gets people killed?
[01:02:33.160 --> 01:02:38.562]  Or when a Trump supporter gets punched in the head and falls down and busts their brains out, as has already been happening.
[01:02:38.562 --> 01:02:40.883]  And then CNN defends it and goes, well, they're white.
[01:02:40.883 --> 01:02:43.364]  Look, this is George Soros trying to create race war.
[01:02:43.364 --> 01:02:45.185]  Every day you get the New York Times vice.
[01:02:46.109 --> 01:02:48.970]  Or other publications coming out saying, let's have a coup.
[01:02:48.970 --> 01:02:50.291]  Trump needs to die.
[01:02:50.291 --> 01:02:52.832]  These people really are trying to start a civil war.
[01:02:52.832 --> 01:02:54.093]  They have free speech.
[01:02:54.093 --> 01:02:56.274]  And I support the First Amendment 110%.
[01:02:56.274 --> 01:02:57.314]  A thousand percent.
[01:02:57.314 --> 01:03:00.116]  But I do not support planning insurrection.
[01:03:00.116 --> 01:03:03.797]  And the point I was making earlier, I took a gulp of water, it went down in my lungs a little bit.
[01:03:03.797 --> 01:03:04.318]  Sorry about that.
[01:03:04.318 --> 01:03:05.478]  I had a coughing fit.
[01:03:05.478 --> 01:03:06.359]  I was glad you were there, Owen.
[01:03:07.199 --> 01:03:13.701]  Was that we talk about deep behind enemy lines by admitting that America's been captured by globalists, bringing that topic up.
[01:03:13.701 --> 01:03:22.064]  Once you expose that England was under the unelected EU, that we were under this unelected NAU, that's the beginning of the end for them.
[01:03:22.064 --> 01:03:26.386]  And so now, of course, the EU says they want to bring military forces into countries that try to pull out.
[01:03:27.358 --> 01:03:28.980]  Of course they're trying to threaten the U.S.
[01:03:28.980 --> 01:03:31.041]  and say, we'll hurt your economy, we'll hurt Trump.
[01:03:31.041 --> 01:03:35.686]  Well, if they do hurt our economy now, the American people will know they did it and won't blame Trump.
[01:03:35.686 --> 01:03:42.291]  By facing the real topics and the real definitions and the real players of the real world system...
[01:03:43.032 --> 01:03:46.394]  Just people knowing how things really work, it's game over.
[01:03:46.394 --> 01:03:48.595]  And notice the public now knows this.
[01:03:48.595 --> 01:03:51.176]  They understand the forces arrayed against the West.
[01:03:51.176 --> 01:03:53.657]  They understand how the third world's being used as a tool.
[01:03:53.657 --> 01:03:55.538]  They're not the forces arrayed against us.
[01:03:55.538 --> 01:03:56.698]  And they are in panic mode.
[01:03:56.698 --> 01:04:01.561]  So yes, I want to go into this, the Budweiser commercials creating division, and so much more.
[01:04:01.561 --> 01:04:04.002]  And I want to get into an article demonizing Bannon.
[01:04:04.582 --> 01:04:09.185]  Out of USA Today and of course it's in CNN and everywhere else has similar articles.
[01:04:09.185 --> 01:04:29.936]  I want to get into all this coming up because it illustrates how they take something that's totally reasonable and then write articles making it sound crazy in an attempt to make libertarians, conservatives and others distance themselves from Bannon, who's one of the key people in the White House advising the President and one of the people really helping synergistically interface with 45.
[01:04:31.397 --> 01:04:33.618]  So that we can actually defeat the New World Order.
[01:04:33.618 --> 01:04:39.582]  Bannon is a key general in the fight, but make no mistake, so is Drudge, and so is Infowars.
[01:04:39.582 --> 01:04:53.650]  And I hate to say we're the big three up there, but it's Bannon, Drudge, and Infowars as three individuals or organizations that are the trifecta, the wise men, interfacing with the people and the world and with Trump.
[01:04:53.650 --> 01:04:58.313]  And it isn't that we tell Trump what to do, Trump hears what we say and already instinctively knows it.
[01:04:58.313 --> 01:04:58.733]  We'll be back.
[01:04:59.975 --> 01:05:02.177]  New video on InfoWars.com.
[01:05:02.177 --> 01:05:07.801]  Leftist mob chases down Trump supporters, beat and taunt them inside a Portland International Airport.
[01:05:07.801 --> 01:05:12.745]  Again, the anti-Trump people are proven to be the most wicked and violent citizens in our country.
[01:05:12.745 --> 01:05:14.406]  I went to the Women's March in D.C.
[01:05:14.406 --> 01:05:25.414]  wearing my Make America Great Again gear, and I was assaulted, spit on, yelled at, cursed at, had my family insulted, dry-humped in the street, and overall viewed as a foul person whose opinion should be silent.
[01:05:25.414 --> 01:05:29.417]  And when I asked for their opinions or why they were protesting, I got nothing productive.
[01:05:29.597 --> 01:05:38.422]  I went to the March for Life in Austin wearing my Make America Great Again gear, and I experienced zero negativity for what I was wearing or my identity as a white male.
[01:05:38.422 --> 01:05:46.027]  When I put the marchers and their signs on camera, they spoke eloquently and had no issue sharing their opinions without insulting me or using foul language.
[01:05:46.027 --> 01:05:53.131]  For those that think Trump supporters are the intolerant ones, I challenge you to take to the streets with Make America Great Again gear on.
[01:05:53.131 --> 01:05:56.172]  You will experience more hate than you ever have in your life.
[01:05:56.172 --> 01:05:58.174]  This is Owen Schroer for InfoWars.com.
[01:05:59.807 --> 01:06:05.273]  After being sold out for months, our best-selling super blue fluoride toothpaste is now back in stock at InfoWareStore.com.
[01:06:05.273 --> 01:06:07.355]  Research across the board is clear.
[01:06:07.355 --> 01:06:12.661]  When bacteria infects your gums, it can enter your bloodstream and even contribute to blood clots and heart attacks.
[01:06:12.661 --> 01:06:16.405]  That's why the last Surgeon General's report on oral health warns that
[01:06:16.505 --> 01:06:19.947]  Your oral health can have a serious impact on your entire body.
[01:06:19.947 --> 01:06:23.129]  Super Blue Fluoride Free Toothpaste is a groundbreaking new formula.
[01:06:23.129 --> 01:06:27.011]  It's loaded with good halogen iodine instead of the bad halogen fluoride.
[01:06:27.011 --> 01:06:34.175]  Super Blue contains natural oils and ingredients used since biblical times to help wipe out bad bacteria and eliminate bad breath.
[01:06:34.175 --> 01:06:39.558]  Just some of the ingredients in Super Blue chosen by our dental experts include xylitol, peppermint oil,
[01:06:39.818 --> 01:06:41.879]  Iodine, nanosilver, and more.
[01:06:41.879 --> 01:06:50.161]  Due to requests from listeners who found that Spearmint was a little bit too strong for some of their children, we have created the new Bubble Gum flavored Super Blue that is Spearmint free.
[01:06:50.161 --> 01:06:58.463]  Learn more about the new Bubble Gum flavored Super Blue toothpaste and more at InfoWarsLife.com and support the InfoWars while you support healthy gums and teeth.
[01:06:59.853 --> 01:07:02.155]  Electrify your day with Secret 12.
[01:07:02.155 --> 01:07:03.715]  It's like lightning in a bottle.
[01:07:03.715 --> 01:07:07.618]  We all have days in which we just can't seem to perform at the level we'd like to.
[01:07:07.618 --> 01:07:15.563]  InfoWars Live Secret 12 is designed to naturally energize your body and mind with two great tasting and super high quality forms of vitamin B12.
[01:07:15.563 --> 01:07:20.346]  Proper vitamin and nutrient intake is essential to keep your body functioning at optimum levels.
[01:07:20.506 --> 01:07:26.333]  The reality is, it's hard to take in the proper amount of vitamins we need each day with our modern diets.
[01:07:26.333 --> 01:07:34.123]  Secret 12 by Infowars Life is an easy way to naturally upgrade your vitamin B12 intake and support your body's natural systems.
[01:07:34.123 --> 01:07:38.549]  It pairs two forms of vitamin B12 into one explosive formula.
[01:07:38.829 --> 01:07:44.691]  Vitamin B12 supports healthy energy levels through red blood cell formation and aiding in the body's natural processes.
[01:07:44.691 --> 01:07:47.852]  But it also assists with many other functions of the body.
[01:07:47.852 --> 01:07:51.413]  Electrify your mind and body and take your health to the next level.
[01:07:51.413 --> 01:07:55.294]  Experience the power of Secret 12 at InfoWarsLife.com.
[01:07:55.294 --> 01:07:56.914]  That's InfoWarsLife.com.
[01:08:11.753 --> 01:08:22.043]  Coming to you from the former United States of America, from deep in the heart of Texas, it's Alex Jones.
[01:08:22.043 --> 01:08:23.004]  Hi.
[01:08:23.004 --> 01:08:23.664]  That's right, folks.
[01:08:23.664 --> 01:08:25.486]  We are the former United States of America.
[01:08:25.486 --> 01:08:27.928]  We've been absorbed into the North American Union.
[01:08:27.928 --> 01:08:36.557]  George W. Bush signed that back in 2005 in Texas at Baylor University with Asante Fox and Paul Martin of Canada.
[01:08:37.768 --> 01:08:47.978]  And now by admitting that we're in the former United States, just like England is in the former UK, now they're in the EU, it makes 90 plus percent of their laws they're trying to get out.
[01:08:47.978 --> 01:08:51.961]  So it sounds radical, saying, you know, coming to you from the former United States of America.
[01:08:51.961 --> 01:08:54.463]  People say, oh, what, you don't like America?
[01:08:54.463 --> 01:08:56.505]  No, no, I want America to come back.
[01:08:56.505 --> 01:08:58.247]  I want to point out what's happening.
[01:08:58.247 --> 01:09:00.789]  Now, Owen Schroer is riding shotgun with me in this hour.
[01:09:01.955 --> 01:09:06.318]  Joining us again from the Infowars Studios in Austin, Texas.
[01:09:06.318 --> 01:09:13.463]  I'm on the road to Los Angeles because I'm going to be on one of the biggest podcasts out there, 20 million or more, 18, 20 million they say, every week.
[01:09:13.463 --> 01:09:16.925]  Does it three times a week, the Joe Rogan Experience with my old friend Joe Rogan.
[01:09:16.925 --> 01:09:22.990]  Never actually, I've been on clips on the show many times, been obviously talked about almost every episode of the show.
[01:09:22.990 --> 01:09:25.551]  People keep asking, why don't you ever come out and get on the show?
[01:09:25.551 --> 01:09:28.854]  Well, Joe invited me a few months ago again and I said, this time I'll come out.
[01:09:29.830 --> 01:09:32.472]  So look forward to that, 3.30 Central Time.
[01:09:32.472 --> 01:09:48.107]  You can find out more at JoeRogan.net or YouTube.com forward slash user, forward slash, well I see a computer screen up there, I can't read the end of the URL, but you can obviously see the URL if you are a TV viewer out there.
[01:09:48.107 --> 01:09:54.553]  Again, I am on the road today, we have the new Supreme Court nominee, a great pedigree, very conservative.
[01:09:58.335 --> 01:10:09.446]  That's got to make the folks really mad that killed Scalia, that his acolyte is replacing him.
[01:10:09.446 --> 01:10:11.247]  That is certainly exciting.
[01:10:11.247 --> 01:10:20.917]  Owen Schroyer there in the studio was bringing up some really important news with how they have more and more people openly calling for attacking anyone wearing a Make America Great Again hat.
[01:10:21.954 --> 01:10:23.154]  What about Make America Free Again?
[01:10:23.154 --> 01:10:25.335]  What about Keep America Great?
[01:10:25.335 --> 01:10:28.916]  I mean, what is it about feeling like you're not part of America?
[01:10:28.916 --> 01:10:33.757]  That's the whole leftist Ford Foundation, MSNBC idea.
[01:10:33.757 --> 01:10:36.098]  Let me explain something to everybody out there.
[01:10:36.098 --> 01:10:39.279]  I don't care what color you are.
[01:10:39.279 --> 01:10:49.222]  There's different statistics, but in most areas of the Southwest, and even the Midwest, and places like Florida, half the population under the age of 20 is Hispanic.
[01:10:50.566 --> 01:10:59.134]  It's set, depending on the numbers you look at, by 2030, that something like 70% of the country will be Hispanic.
[01:10:59.134 --> 01:11:03.017]  I mean, it's just, this is America.
[01:11:03.017 --> 01:11:07.321]  And Hispanics should ask, do you want to live in Cuba, under a communist type system?
[01:11:07.321 --> 01:11:11.285]  Or Venezuela, under socialist slash communist system?
[01:11:11.285 --> 01:11:12.906]  Or do you want to live in this system?
[01:11:12.906 --> 01:11:14.908]  And we're not perfect, we're trying to be good.
[01:11:16.186 --> 01:11:18.328]  Do you want the birthright?
[01:11:18.328 --> 01:11:22.852]  And quite frankly, culturally, most Hispanics fit well with the Americana view.
[01:11:22.852 --> 01:11:25.034]  They just never got out from under colonialism.
[01:11:25.034 --> 01:11:35.422]  Colonialism left, but whether it was Brazil or Mexico, they just got one form of kingpin after another form of a kingpin and never got out of that system.
[01:11:35.422 --> 01:11:41.828]  The elites in Mexico brag that they want to keep the little people, as they call them, the peons, the peons, poor.
[01:11:43.749 --> 01:11:45.931]  That's what feudalism and serfdom is.
[01:11:45.931 --> 01:11:47.592]  Mexico didn't just invent it.
[01:11:47.592 --> 01:11:49.574]  Study serfdom in Japan.
[01:11:49.574 --> 01:11:50.434]  Study serfdom.
[01:11:50.434 --> 01:11:53.977]  You want to see serfdom, go see Silence by Scorsese.
[01:11:53.977 --> 01:11:55.298]  It's a very long film.
[01:11:55.298 --> 01:11:56.119]  It's very well done.
[01:11:56.119 --> 01:11:57.460]  It's very depressing.
[01:11:57.460 --> 01:12:03.505]  That's exactly how 95% of Japanese lived under the Japanese system.
[01:12:03.505 --> 01:12:04.265]  I love Japanese.
[01:12:04.265 --> 01:12:04.886]  They're great people.
[01:12:04.886 --> 01:12:12.152]  But the reason they basically have zero crime is because they were put through a thousand years of hardcore slavery.
