[00:00:09.483 --> 00:00:15.665]  It is July 30th, 2017 on this Sunday, live global transmission.
[00:26:49.031 --> 00:26:51.375]  And that's going to be based on the number of people.
[00:26:52.316 --> 00:27:02.728]  The services each person's using on average, the energy on average for each service, and the CO2 being put out per unit of energy.
[00:27:02.728 --> 00:27:08.194]  So let's look at each one of these and see how we can get this down to zero.
[00:27:08.194 --> 00:27:11.117]  Probably one of these numbers is going to have to get pretty near to zero.
[00:27:12.245 --> 00:27:14.687]  That's back from high school algebra.
[00:27:14.687 --> 00:27:16.889]  But let's take a look.
[00:27:16.889 --> 00:27:19.111]  First, we've got population.
[00:27:19.111 --> 00:27:21.833]  The world today has 6.8 billion people.
[00:27:21.833 --> 00:27:24.015]  That's headed up to about 9 billion.
[00:27:24.015 --> 00:27:32.281]  Now, if we do a really great job on new vaccines, health care, reproductive health services, we could lower that by perhaps 10 or 15 percent.
[00:27:33.462 --> 00:27:41.165]  The BBC reports a contraceptive computer chip that can be controlled by remote control has been developed in Massachusetts.
[00:27:41.165 --> 00:27:47.088]  The chip is implanted under a woman's skin releasing a small dose of levonorgestrel, a hormone.
[00:27:47.088 --> 00:27:53.591]  The project has been backed by Bill Gates and will be submitted for pre-clinical testing in the U.S.
[00:27:53.591 --> 00:27:56.392]  next year and possibly go on sale by 2018.
[00:27:56.392 --> 00:28:00.654]  The same technology could be used to administer other drugs
[00:28:00.914 --> 00:28:12.182]  The innovation comes at a time when governments and organizations around the world have agreed to try to bring family planning to around 120 million more women by 2020.
[00:28:12.182 --> 00:28:23.410]  USA Today reports the company, 3Square Market, is partnering with Swedish company Biohax International, which already has many chipped employees.
[00:28:23.410 --> 00:28:24.750]  Yeah, Wisconsin!
[00:28:24.750 --> 00:28:29.794]  Follow the lead from socialist replacement migration doormat of the West.
[00:28:32.817 --> 00:28:45.368]  It's all about cornering you.
[00:28:45.368 --> 00:28:46.649]  It's all about controlling you.
[00:28:46.649 --> 00:28:48.911]  It's all about taking you out of your natural environment.
[00:28:48.911 --> 00:28:51.653]  It's all about dominating you in their own words.
[00:28:51.653 --> 00:28:54.056]  We've warned you again and it's come true.
[00:28:54.056 --> 00:28:56.398]  Stay with us, we've got more breaking information.
[00:28:59.977 --> 00:29:05.801]  Today, I'm excited to announce that a new limited shipment of DNA Force has finally arrived at the M4's warehouse in Austin, Texas.
[00:29:05.801 --> 00:29:14.446]  We have thousands of listeners on the waiting list who've signed up for AutoShip to receive out-of-stock products like DNA Force, and we are now once again expected to sell out very, very soon.
[00:29:14.446 --> 00:29:22.351]  And when it comes to a formula that is such a game-changer like DNA Force, we never know when we will be able to secure an additional supply of the key ingredients.
[00:29:22.351 --> 00:29:28.495]  The secret behind DNA Force is its powerful lineup of patented ingredients like CoQ10, systematic enzymes,
[00:29:28.835 --> 00:29:31.877]  NAR Lipoic Acid, Bio PQQ and many others.
[00:29:31.877 --> 00:29:36.581]  Bio PQQ alone is backed by an unprecedented 175 clinical studies.
[00:29:36.581 --> 00:29:40.363]  And just one batch of this stuff cost us more than $30,000.
[00:29:40.363 --> 00:29:43.105]  Visit InfoWarsLife.com and read the reviews for yourself.
[00:29:43.105 --> 00:29:51.231]  Over 700 reviews have given DNA Force an unheard of 4.8 out of 5 stars through our third-party certified review agency, Power Review.
[00:29:51.231 --> 00:29:56.795]  Take advantage of this new limited shipment and get DNA Force today at InfoWarsLife.com before it sells out again.
[00:29:56.795 --> 00:29:58.216]  That's InfoWarsLife.com.
[00:30:01.354 --> 00:30:05.377]  A new shipment of BioTrue Selenium is now available at InfoWarsLife.com.
[00:30:05.377 --> 00:30:06.838]  We've been sold out for months.
[00:30:06.838 --> 00:30:11.901]  Our one-of-a-kind InfoWarsLife BioTrue Selenium formula is now back in stock at InfoWarsLife.com.
[00:30:11.901 --> 00:30:16.064]  This is the true selenium formula that has rocked the nutraceutical industry to its core.
[00:30:16.064 --> 00:30:25.711]  Nearly every other selenium supplement on the market is produced with synthetic selenium, but BioTrue Selenium is made from a source of 100% organic mustard seed.
[00:30:25.711 --> 00:30:28.353]  The effects of the essential trace mineral selenium are
[00:30:28.513 --> 00:30:41.439]  From supporting the thyroid gland and immune system to DNA production and eyesight, BioTrue Selenium is also the perfect supercharger to Survival Shield X2 nascent iodine, as both help support a healthy thyroid and many other systems.
[00:30:41.439 --> 00:30:46.341]  Visit InfoWarsLife.com to order your bottle of BioTrue Selenium before we sell it again.
[00:30:46.341 --> 00:30:54.325]  That's InfoWarsLife.com to secure your selenium and other key products that not only help yourself and your family, but also fund our operation against the globalists.
[00:30:54.325 --> 00:30:54.565]  A 360 win.
[00:30:55.385 --> 00:30:57.466]  We didn't ask for this fight, but we're in this fight.
[00:30:57.466 --> 00:30:58.967]  This is the time to support InfoWars.
[00:30:58.967 --> 00:31:01.128]  That's infowarslife.com.
[00:31:01.128 --> 00:31:05.791]  As most of you already know, I am a voracious consumer of news and information.
[00:31:05.791 --> 00:31:13.635]  And in the last four or five years, doing more and more research, I came across the fact that the elite establishment is fully aware of the fact
[00:31:13.695 --> 00:31:13.835]  I think?
[00:31:34.648 --> 00:31:35.328]  We're good.
[00:32:00.979 --> 00:32:10.090]  Alex Jones here to tell you about how you can help spread liberty worldwide, while also enjoying what I have found to be the best tasting, 100% organic coffee on the planet.
[00:32:10.090 --> 00:32:18.179]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:32:18.459 --> 00:32:23.342]  We have now managed to secure these sought-after beans in a highly customized blend.
[00:32:23.342 --> 00:32:30.146]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[00:32:30.146 --> 00:32:37.311]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[00:32:37.311 --> 00:32:44.175]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[00:32:44.335 --> 00:32:48.818]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[00:32:48.818 --> 00:32:52.201]  Available in original or with our immune support infusion blend.
[00:32:52.201 --> 00:32:58.505]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[00:32:58.505 --> 00:33:04.489]  Available at Infowarslife.com.
[00:33:04.489 --> 00:33:07.131]  You're listening to the Alex Jones Show.
[00:33:20.402 --> 00:33:25.266]  Defending the Republic from enemies, foreign and domestic.
[00:33:25.266 --> 00:33:26.887]  It's Alex Jones.
[00:33:31.411 --> 00:33:39.096]  What's happening is there's a lot of advanced technology that humans have developed, and powerful elites have decided that they're not going to let the public have that.
[00:33:39.096 --> 00:33:54.005]  They're going to keep us busy with games, entertainment, distractions, while they take full control of human development in the future and then begin to cut off resources and dumb the population down towards a mass culling that's coming in the future.
[00:33:54.005 --> 00:33:55.866]  And a lot of people say, well, there are too many poor people.
[00:33:57.068 --> 00:33:59.571]  There are now seven and a half billion people on the earth.
[00:33:59.571 --> 00:34:06.220]  That was five years ago when Bill Gates talked about reducing world population growth down to zero and doing it quote through vaccines.
[00:34:06.220 --> 00:34:07.302]  We played the clip last hour.
[00:34:08.814 --> 00:34:14.178]  You have to understand, they're targeting everybody except maybe one-tenth of 1%.
[00:34:14.178 --> 00:34:17.981]  People always think it's the 1% that owns everything.
[00:34:17.981 --> 00:34:23.926]  It is less than one-tenth of 1% that has more than half the wealth in the world.
[00:34:23.926 --> 00:34:28.309]  And they're waging war against the 2%, the 1%, the 5%.
[00:34:28.309 --> 00:34:30.091]  They don't want a upper middle class.
[00:34:30.091 --> 00:34:31.712]  They don't want a new wealthy.
[00:34:31.712 --> 00:34:34.374]  They don't want independent millionaires.
[00:34:34.374 --> 00:34:37.276]  And that's what they're establishing is a centralized
[00:34:38.832 --> 00:34:40.272]  Anti-free market system.
[00:34:40.272 --> 00:34:45.354]  Now, you have Loretta Lynch engaged in all these criminal cover-ups for Obama.
[00:34:45.354 --> 00:34:48.035]  The totally open borders outside of law.
[00:34:48.035 --> 00:34:49.735]  Lying to Congress about it.
[00:34:49.735 --> 00:34:50.976]  Funding the Arab Spring.
[00:34:50.976 --> 00:34:51.956]  Funding Al-Qaeda.
[00:34:51.956 --> 00:34:53.216]  Funding Al-Nusra.
[00:34:53.216 --> 00:34:54.216]  Funding ISIS.
[00:34:54.216 --> 00:34:56.177]  Funding the extermination of Christians.
[00:34:56.177 --> 00:34:59.178]  Not letting Christians get in as refugees.
[00:35:00.606 --> 00:35:01.607]  All of this.
[00:35:01.607 --> 00:35:15.637]  Think of the legions of crimes committed by Obama, and the big banks, and the insider deals, and Solyndra, and the energy companies, and the boondoggles, and the kickbacks, and the inside deals that are just legion upon legion.
[00:35:15.637 --> 00:35:17.818]  Legions of legions.
[00:35:17.818 --> 00:35:24.343]  And then finally, Congressman King comes out and says we need a criminal investigation
[00:35:25.313 --> 00:35:30.556]  Of Obama, Clinton, Comey, Lynch, Uma Abedin, and Wiener.
[00:35:30.556 --> 00:35:47.186]  Well, Wiener has hundreds of thousands of emails, and we knew that it was all sorts of reported sex trafficking, procuring children, ties into Jerry Epstein, but they shut it down with just him trying to pick up a 15-year-old girl, because the NYPD had gotten involved in that, and that police report was filed.
[00:35:48.769 --> 00:35:58.074]  So that's why you've had Comey covering all this up and they're using that material for blackmail and control and Trump isn't blackmailable because he doesn't have any of this in his life.
[00:35:58.074 --> 00:36:00.595]  So that's why they're coming after him so much.
[00:36:00.595 --> 00:36:04.397]  It's an army of these type of people and now Congressman King
[00:36:05.177 --> 00:36:08.199]  Has come out and said, we need criminal investigations.
[00:36:08.199 --> 00:36:11.040]  These people, absolutely, there's nothing to the Russia thing.
[00:36:11.040 --> 00:36:11.921]  That's been proven.
[00:36:11.921 --> 00:36:15.362]  What, his son meeting with somebody that claimed that they had dirt on Hillary?
[00:36:15.362 --> 00:36:17.123]  You're supposed to do that.
[00:36:17.123 --> 00:36:18.504]  That's opposition research.
[00:36:18.504 --> 00:36:29.890]  What Hillary did, getting money for uranium and $100 million for concessions when she was head of the State Department, that's called treason, taking money to sell your country out.
[00:36:31.201 --> 00:36:35.165]  Seriously, I didn't just double down a few weeks ago for Trump Jr.
[00:36:35.165 --> 00:36:37.226]  and say he deserves a medal.
[00:36:37.226 --> 00:36:38.848]  That's what he's supposed to be doing.
[00:36:38.848 --> 00:36:43.092]  His father was right back in July last year, saying, I don't care who's got our illegal emails.
[00:36:43.092 --> 00:36:44.132]  He's the one that did it.
[00:36:44.132 --> 00:36:44.993]  Russia, have you got them?
[00:36:44.993 --> 00:36:46.014]  Release them.
[00:36:46.014 --> 00:36:48.336]  Yeah, Trump didn't do all that.
[00:36:48.336 --> 00:36:49.717]  It's Hillary did that.
[00:36:49.717 --> 00:36:55.683]  I don't care if it's the Easter bunnies got it, or Timbuktu, or a one-horned, one-eyed, flying purple people eater.
[00:36:56.363 --> 00:37:01.528]  So let's go to this powerful clip of Congressman King, who's got some serious huevos.
[00:37:01.528 --> 00:37:04.190]  And you've also got Senator Paulson calling for this.
[00:37:04.190 --> 00:37:05.592]  You've got Trey Gowdy calling for it.
[00:37:05.592 --> 00:37:12.678]  So you can say Congress is now calling for criminal investigations, not just Congressman Peter King.
[00:37:12.678 --> 00:37:13.079]  Here it is.
[00:37:14.028 --> 00:37:14.568]  We're good to go.
[00:37:44.368 --> 00:38:07.926]  Take his word at the time until you examine the investigation that he conducted of Hillary Clinton all by the way it was a matter is absolutely proven by the facts that he delivered to us in the summary that day and that there is evidence for and I would go on and not only does this trail lead through Hillary Clinton and James Comey but the Loretta Lynch component of this as well when you put this in place and you look at the example of them on the tarmac and
[00:38:08.246 --> 00:38:12.788]  It's hard to imagine they sat there for 38 minutes and discussed grandchildren.
[00:38:12.788 --> 00:38:27.815]  The United States government, borrowing money from China and Saudi Arabia, had handed over somewhere at least $5 million in contracts transferred through USAID into George Soros organizations that were used to manipulate elections in the Balkans.
[00:38:27.815 --> 00:38:32.177]  And that's just particularly Macedonia, not including the neighboring countries that are there.
[00:38:32.517 --> 00:38:38.760]  It's clear that the Obama administration sent their people over to Israel to work against Prime Minister Benjamin Netanyahu.
[00:38:38.760 --> 00:38:40.201]  Pretty much openly.
[00:38:40.201 --> 00:38:43.403]  Significant dollars invested in that campaign over there.
[00:38:43.403 --> 00:38:55.049]  The President of the United States, with at least the moral support of the people that had worked for him, in the country of Israel, seeking to shift the results of the election against the seated Prime Minister, Bibi Netanyahu.
[00:38:55.049 --> 00:39:01.793]  I would say that the Obama administration is a long ways from clean on this, as far as being involved in elections in other countries.
[00:39:02.353 --> 00:39:07.378]  Not to mention little comments like the British, if you vote Brexit, you're going to have to go to the back of the queue.
[00:39:07.378 --> 00:39:10.460]  So that's the taxpayer dollars piece of this.
[00:39:10.460 --> 00:39:20.309]  And then that brings me to Alexandra Chalupa, who went off, she's a DNC contractor that went off over to Ukraine to try to gather dirt on the Trump people.
[00:39:20.309 --> 00:39:24.133]  So the trail leads, I believe, also to Barack Obama.
[00:39:24.133 --> 00:39:25.534]  We need to investigate all of this.
[00:39:27.810 --> 00:39:29.750]  By the way, that guy's my new hero.
[00:39:29.750 --> 00:39:31.411]  He's from Iowa.
[00:39:31.411 --> 00:39:35.492]  I had said Peter King, as there's obviously the Republican congressman from New York.
[00:39:35.492 --> 00:39:35.892]  Peter King.
[00:39:35.892 --> 00:39:45.634]  That is Steve King, not the writer Steve King, who's literally turned into it himself against the Constitution and the Bill of Rights with his anti-Trump garbage.
[00:39:45.634 --> 00:39:49.454]  That is Congressman Steve King of Iowa.
[00:39:49.454 --> 00:39:51.575]  Man, I'd like him to be Vice President next go-around.
[00:39:52.395 --> 00:39:56.737]  Who we need, 100% on target, forcing those issues out.
[00:39:56.737 --> 00:39:58.317]  This is how we're going to defeat these scum.
[00:39:58.317 --> 00:40:03.459]  He's pointing out that everything they say that Trump has done is what they've done.
[00:40:03.459 --> 00:40:09.722]  Now when we come back, I want to get into some really powerful clips dealing with what happened with Obamacare.
[00:40:09.722 --> 00:40:13.944]  Now they're trying to spin this that Trump is a loser because he didn't get it repealed in six months.
[00:40:13.944 --> 00:40:17.505]  They're the losers that passed it and bipartisanly blocked it.
[00:40:19.343 --> 00:40:35.379]  But we're gonna break that down and look at Chuckie Schumer about saying how great McCain was, being the key vote to kill it in the Senate, when McCain had promised when he ran for the Senate again, and said just last year and this year, that he would repeal and replace.
[00:40:35.379 --> 00:40:36.841]  That's why he's so bad.
[00:40:38.038 --> 00:40:47.482]  Because he always does the opposite of what he says, and at key times is the due sex, the guy that comes in and saves the establishment, that saves the globalists.
[00:40:47.482 --> 00:40:53.564]  He is such an anti-gun, open borders, pedophile protecting piece of crap.
[00:40:53.564 --> 00:40:55.885]  I mean, he needs to be investigated.
[00:40:55.885 --> 00:40:56.965]  We don't need to investigate him.
[00:40:56.965 --> 00:40:58.046]  We know all the crimes he's committed.
[00:40:58.046 --> 00:41:03.048]  Hell, he's been bought and paid for since he's sung like a canary in Hanoi Hilton and everything else.
[00:41:04.769 --> 00:41:18.161]  The Keating Five, I mean, this guy is an absolute monster and is in bed with Saudi Arabia, the worst elements, the globalists, the Wahhabists, funding the Arab Spring, I mean, overthrowing our allies, helping get Christians mass-murdered.
[00:41:18.161 --> 00:41:21.083]  I mean, people say pray for him and his brain tumor.
[00:41:21.083 --> 00:41:24.126]  How about you pray for the hundreds of thousands of dead Christians because of him?
[00:41:24.126 --> 00:41:26.148]  Let's pray for them first!
[00:41:26.148 --> 00:41:29.791]  And pray for everybody hurt by Obamacare and the gun control, and then we'll pray for him.
[00:41:31.078 --> 00:41:31.839]  Oh, that's mean.
[00:41:31.839 --> 00:41:34.700]  Okay, well, then he needs to pray for all the kids he killed.
[00:41:34.700 --> 00:41:36.101]  And then I'll pray for him.
[00:41:36.101 --> 00:41:37.762]  Because I wish no harm upon him.
[00:41:37.762 --> 00:41:39.163]  Believe me, he's got God to deal with.
[00:41:39.163 --> 00:41:40.944]  And you know what God's going to do?
[00:41:40.944 --> 00:41:42.405]  Sooner or later, He's going to cut you down.
[00:41:43.772 --> 00:42:01.561]  Now he's even more Skeletor-like as he stumbles around, you know, trying to exercise his power as his fingernails tenuously hold on to this plane of existence and as the great mouth of hell rises up stinking with a fetid flesh ready to swallow him into its maw.
[00:42:01.561 --> 00:42:06.784]  Now, please don't forget we're running huge specials that end on Tuesday.
[00:42:06.784 --> 00:42:08.165]  Free shipping in the month of July.
[00:42:09.225 --> 00:42:15.851]  Massive specials of really great products from Patriot Apparel, Milan Labe, CNN's Fake News T-shirts.
[00:42:15.851 --> 00:42:17.392]  Thank you all for your support.
[00:42:17.392 --> 00:42:22.937]  To super high quality products like Silver Bullet, which is going to have to end in the next few days.
[00:42:22.937 --> 00:42:25.139]  66% off the highest quality colloidal silver.
[00:42:25.579 --> 00:42:30.262]  Caveman Ultimate Bone Broth Formula in Strawberry and Chocolate, 25% off.
[00:42:30.262 --> 00:42:36.585]  Our new amazing True Whey, highest quality organic, grass-fed, beef-produced milk whey.
[00:42:36.585 --> 00:42:38.406]  That is a really good, high-quality product.
[00:42:38.406 --> 00:42:40.147]  That is 25% off.
[00:42:40.147 --> 00:42:41.487]  Out of the Gates, new product.
[00:42:41.487 --> 00:42:42.568]  Pro Pure Traveler, 30% off.
[00:42:42.568 --> 00:42:45.029]  High-quality gravity-fed systems.
[00:42:45.029 --> 00:42:48.651]  Alexa Pure Breeze, air filtration systems.
[00:42:48.651 --> 00:42:49.931]  Those are 25% off.
[00:42:49.931 --> 00:42:51.312]  VitaMineral Fusion, 35% off.
[00:42:51.312 --> 00:42:51.932]  Knockout Sleep, 80% off.
[00:42:55.174 --> 00:43:10.162]  It was Thomas Jefferson who once said that our country is now taking such steady a course as to show by what road it will pass to destruction, to wit, by consolidation of power first and then corruption its necessary consequence.
[00:43:10.342 --> 00:43:17.729]  Jefferson was warning us about the global elite, the 1% of the 1%, consolidating the world's wealth and subverting the people's voice in government.
[00:43:17.729 --> 00:43:19.711]  Unfortunately, we didn't heed his advice.
[00:43:19.711 --> 00:43:25.957]  We now live in a neo-feudalistic society in which we're treated as indentured servants who only exist to serve the needs of the establishment.
[00:43:25.957 --> 00:43:33.304]  Political office no longer represents the voice of the people, but rather the initiation process politicians go through to gain acceptance into the aristocracy.
[00:43:33.464 --> 00:43:41.269]  Simply put, we the people are responsible for civilization and culture, yet we're suppressed by a tiny elite who have organized into criminal gangs that operate governments around the world.
[00:43:41.269 --> 00:43:49.554]  We falsely believe that everything is simply black and white, one extreme against the other, conservative versus liberal, but things will change once more of us realize this truth.
[00:43:49.554 --> 00:43:56.979]  As Thomas Jefferson also said, enlighten the people generally, and tyranny and oppressions of the body and mind will vanish like evil spirits at the dawn of day.
[00:43:56.979 --> 00:43:59.341]  This is Kit Daniels with InfoWars.com
[00:44:00.165 --> 00:44:03.187]  They use their media to assassinate Real News.
[00:44:03.187 --> 00:44:07.389]  They use their schools to teach children that their president is another Hitler.
[00:44:07.389 --> 00:44:14.073]  They use their movie stars and singers and comedy shows and award shows to repeat their narrative over and over again.
[00:44:14.073 --> 00:44:17.836]  And then they use their ex-president to endorse the resistance.
[00:44:18.556 --> 00:44:38.042]  All to make them march, make them protest, make them scream racism and sexism and xenophobia and homophobia, to smash windows, burn cars, shut down interstates and airports, bully and terrorize the law-abiding, until the only option left is for the police to do their jobs and stop the madness.
[00:44:38.602 --> 00:44:42.726]  And when that happens, they'll use it as an excuse for their outrage.
[00:44:42.726 --> 00:44:53.957]  The only way we stop this, the only way we save our country and our freedom, is to fight this violence of lies with a clenched fist of truth.
[00:44:53.957 --> 00:44:59.082]  I'm the National Rifle Association of America, and I'm freedom's safest place.
[00:45:01.010 --> 00:45:09.755]  Hey, did you know that you can now preserve your own food for up to 25 years and still maintain its nutrition and flavor?
[00:45:09.755 --> 00:45:10.275]  That's right.
[00:45:10.275 --> 00:45:15.538]  Now's the time to build your own food storage with Harvest Rites freeze dryers.
[00:45:15.538 --> 00:45:21.982]  Go to infowarsstore.com to learn more and check out this innovative and smart technology that's easy to use,
[00:45:22.202 --> 00:45:29.808]  And let me tell you something, it is perfect for freeze drying fruits, vegetables, meats, dairy products, desserts, and entire meals.
[00:45:29.808 --> 00:45:30.048]  Woo!
[00:45:30.048 --> 00:45:31.089]  That's what I'm talking about.
[00:45:31.089 --> 00:45:39.816]  And when compared to traditional methods of preservation, like canning or dehydrating, you know, like what you get at the grocery store, there is no comparison.
[00:45:39.816 --> 00:45:47.882]  Harvest Right freeze dryers retain 97% of the food's taste, color, and nutritional value, and have a shelf life of up to 25 years.
[00:45:49.403 --> 00:45:52.845]  Now that's what I call the miracle of food preservation.
[00:45:52.845 --> 00:45:56.967]  Harvest Right is truly the world's best, most affordable freeze dryer.
[00:45:56.967 --> 00:45:58.027]  So what are you waiting for?
[00:45:58.027 --> 00:46:01.029]  Check it out right now at InfoWarsStore.com.
[00:46:01.029 --> 00:46:02.629]  Vitamin Mineral Fusion.
[00:46:02.629 --> 00:46:05.230]  Visit InfoWarsLife.com to secure your canister.
[00:46:05.230 --> 00:46:12.514]  We have worked for years with our chemists and scientists to create the most powerful and affordable grape-tasting multivitamin formula available.
[00:46:12.694 --> 00:46:23.361]  Vitamin Mineral Fusion Drink Mix at Infowarslife.com is loaded with a full month's supply of essential vitamins, minerals, and amino acids that your body absolutely needs.
[00:46:23.361 --> 00:46:36.609]  In the history of Infowarslife, we've brought out a lot of amazing products like Survival Shield X2, Super Mill Vitality, and so many others, with its unique delivery system and proprietary manufacturing process designed for maximized effects.
[00:46:36.949 --> 00:46:41.391]  This formula is the platinum standard of multivitamin mineral products.
[00:46:41.391 --> 00:46:43.431]  And this part is most important.
[00:46:43.431 --> 00:46:50.254]  The ingredients in vitamin mineral fusion are either plant-derived or of the highest quality lab standard.
[00:46:50.254 --> 00:46:51.694]  That means it's clean.
[00:46:51.694 --> 00:46:52.814]  That means it's pure.
[00:46:52.814 --> 00:46:55.715]  And rest secured, you're fighting the tip of the spear in the Infowar.
[00:46:55.715 --> 00:46:58.516]  That's Infowarslife.com and Vitamin Mineral Fusion.
[00:46:58.516 --> 00:47:03.458]  Take action now before we sell out.
[00:47:03.458 --> 00:47:06.059]  You're listening to the Alex Jones Show.
[00:47:37.168 --> 00:47:39.851]  Waging war on corruption.
[00:47:39.851 --> 00:47:53.525]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:47:53.525 --> 00:47:54.006]  Welcome back!
[00:47:55.643 --> 00:47:57.344]  I am your host, Alex Jones.
[00:47:57.344 --> 00:48:01.267]  We are going to broadcast right into the next hour.
[00:48:01.267 --> 00:48:04.989]  And I intend to give the toll-free number out today for first-time callers.
[00:48:04.989 --> 00:48:08.031]  And we'll start the second hour here in about 15 minutes.
[00:48:09.775 --> 00:48:17.359]  And I will give you that toll-free number as well, again, coming up when we start the next hour to talk about the North Korea situation.
[00:48:17.359 --> 00:48:18.540]  What should Trump do?
[00:48:18.540 --> 00:48:19.760]  What should we do?
[00:48:19.760 --> 00:48:22.142]  To talk about the Obamacare failure to repeal.
[00:48:22.142 --> 00:48:25.844]  Are you blaming Trump like the media is telling you to?
[00:48:25.844 --> 00:48:28.285]  What do you make of all these companies coming out?
[00:48:28.285 --> 00:48:32.147]  It's a new one I see every few weeks saying, you want to work here, you got to take a microchip.
[00:48:32.147 --> 00:48:35.349]  And it's being pushed by big multinational corporations.
[00:48:35.349 --> 00:48:37.110]  What do you make of all this?
[00:48:37.110 --> 00:48:38.511]  You know, I saw a big sickening
[00:48:39.798 --> 00:48:57.025]  Editorial today in National Review that basically draws parallels between between Glenn Leary, Glenn Ross, famous play made into a movie with Alec Baldwin and others.
[00:48:57.025 --> 00:49:08.509]  And it's a powerful film, but it has no context when you're talking about President Trump and the failure of Obamacare, the failure to repeal Obamacare.
[00:49:09.724 --> 00:49:19.268]  Because it was Obama and the bipartisan Republican and Democratic group that ran through that screwjob six and a half years ago.
[00:49:19.268 --> 00:49:25.991]  And they kept delaying its implementation because it was such a monstrous, painful fraud.
[00:49:26.820 --> 00:49:46.204]  And they wanted you to forget that they told you that your health care would be free, and then that it would be the cost of your cable bill, or that you could keep your doctor, or all the rest of it, when it was designed by big multinational corporations to make you buy a product and then drive the price up, which they indeed have done.
[00:49:46.204 --> 00:49:50.324]  So, that's the reality of what happened.
[00:49:50.324 --> 00:49:53.725]  But now the media is branding, like you're an idiot, I don't think you're an idiot,
[00:49:55.290 --> 00:50:00.336]  Obamacare is Trump's fault that they went through four different versions.
[00:50:00.336 --> 00:50:07.064]  The one thing Trump ever did that wasn't that good was go along with the first version that was better than Obamacare.
[00:50:07.064 --> 00:50:10.167]  This way it wouldn't stall the economy but was still somewhat of a screw job.
[00:50:10.167 --> 00:50:15.474]  That's one of the few bad things Trump's done in his six months and two weeks in office.
[00:50:17.042 --> 00:50:19.664]  He's gotten so much done it makes my head spin.
[00:50:19.664 --> 00:50:29.110]  Just getting elected against the media and all the foreign countries and the Pope and Mexico and the Communist Chinese and Hollywood is a huge victory.
[00:50:29.110 --> 00:50:30.390]  He's such a winner.
[00:50:30.390 --> 00:50:33.632]  Then TPP repealing that.
[00:50:33.632 --> 00:50:36.494]  I mean, what a monstrous international takeover.
[00:50:36.494 --> 00:50:45.140]  And the carbon tax, the whole world government funding system and 69% of the illegals not coming across now compared to this time last year.
[00:50:46.325 --> 00:50:48.206]  From Homeland Security's own numbers.
[00:50:48.206 --> 00:50:49.788]  Incredible!
[00:50:49.788 --> 00:50:54.151]  And it goes on and on and on, and he's trying to get the economy to un-stall.
[00:50:54.151 --> 00:50:57.413]  So here comes the Federal Reserve.
[00:50:57.413 --> 00:51:00.616]  By an act of Congress outside the President's control.
[00:51:00.616 --> 00:51:03.298]  Raising interest rates, what is it, four or five times now?
[00:51:03.298 --> 00:51:06.060]  Admittedly trying to kill the Trump recovery.
[00:51:06.060 --> 00:51:08.802]  Betting against America, the arrogance, the insolence.
[00:51:10.131 --> 00:51:30.563]  It's just too much, and then they blame Trump in the so-called Republican media, and Fox News is blaming him, because for them to be able to sell Sky Television for $40-something billion, they need to, with the regulators, not be part of any political or right-wing media worldwide.
[00:51:30.563 --> 00:51:36.087]  So that's why Fox is going completely left, is they want to sell Sky, and the Suns are taking it over.
[00:51:36.087 --> 00:51:37.708]  But it is just sick.
[00:51:38.717 --> 00:51:45.119]  To see them insulting my intelligence, your intelligence, and saying Trump's to blame?
[00:51:45.119 --> 00:51:59.602]  Finally getting a fourth version that Rand Paul said was good and would save the economy and save healthcare prices and bring back competition and bring back choice and still cover people that aren't insured with Medicare and Medicaid?
[00:51:59.602 --> 00:52:01.382]  Incredible!
[00:52:01.382 --> 00:52:04.523]  Ron Paul says, yes, this is a good plan compared to everything else.
[00:52:04.523 --> 00:52:05.743]  Good job, Trump.
[00:52:05.743 --> 00:52:07.364]  And McCain, who swore
[00:52:08.049 --> 00:52:09.773]  That he would be against it.
[00:52:09.773 --> 00:52:14.424]  That he would fight Obamacare and that he would support the repeal.
[00:52:14.424 --> 00:52:16.789]  He comes in at the last minute and votes to keep it.
[00:52:18.032 --> 00:52:21.634]  With a massive screw job and the media goes, oh, he's got the last laugh.
[00:52:21.634 --> 00:52:22.494]  He beat Trump.
[00:52:22.494 --> 00:52:23.735]  He made Trump look weak.
[00:52:23.735 --> 00:52:24.415]  Wow!
[00:52:24.415 --> 00:52:27.337]  And screwed over a bunch of consumers.
[00:52:27.337 --> 00:52:31.959]  Tens of millions of people who've seen their premiums double, triple, or more.
[00:52:31.959 --> 00:52:33.860]  And have their doctors taken away.
[00:52:33.860 --> 00:52:46.786]  And then, you have the headline, in the sickening, failed, government propped up, neocon national review, death of an effing salesman.
[00:52:48.769 --> 00:52:52.254]  Death of an Effings Talesman.
