[00:00:05.188 --> 00:00:07.212]  Important instructions will follow.
[01:10:24.301 --> 01:10:25.641]  And then they're going to be nice.
[01:10:27.708 --> 01:10:29.729]  But that's not what's happening, ladies and gentlemen.
[01:10:29.769 --> 01:10:38.955]  Pat Buchanan, in another story that's linked up on DrudgeReport.com, it's also on Infowars.com, everybody should read it, lays out the facts.
[01:10:39.056 --> 01:10:42.017]  So, let's go over some of this, then I'll get into North Korea.
[01:10:42.598 --> 01:10:46.941]  After the coup, what then?
[01:10:47.361 --> 01:10:48.682]  And that's the big question.
[01:10:50.908 --> 01:10:57.291]  For not just those of us that want to have the American system and believe in free market and believe in free open society.
[01:10:57.311 --> 01:11:00.873]  I know Soros calls his group open society, that's because it's the opposite.
[01:11:00.893 --> 01:11:03.114]  It's like the Federal Reserve is not federal.
[01:11:05.355 --> 01:11:07.236]  Patrick J. Buchanan asked the question.
[01:11:09.658 --> 01:11:13.320]  That the Trump presidency is bedeviled is undeniable.
[01:11:15.160 --> 01:11:16.901]  I don't know if I totally agree with that statement.
[01:11:16.941 --> 01:11:18.522]  Again, best of times, worst of times.
[01:11:18.862 --> 01:11:19.703]  Paradoxical.
[01:11:24.218 --> 01:11:26.159]  It's a paradox, ladies and gentlemen.
[01:11:28.361 --> 01:11:29.402]  And let's go over that.
[01:11:30.543 --> 01:11:46.034]  Because they transferred so much power into the executive that isn't supposed to be there, and because the executive already does have so much due power, he's been able to dismantle almost half of their operation.
[01:11:48.849 --> 01:11:55.039]  And you notice, it's designed to create a pick-the-winners-and-losers crony capitalist system.
[01:11:55.300 --> 01:11:57.363]  So just by signaling...
[01:11:58.399 --> 01:12:01.442]  That we're going to get out of this crony system and get back to a free market system.
[01:12:02.102 --> 01:12:09.629]  The economy is roaring back, but it's been so depressed in many areas that it's obviously not being equally distributed.
[01:12:09.689 --> 01:12:12.831]  It never is, but it's it's roaring back from the edge of oblivion.
[01:12:13.192 --> 01:12:19.697]  So they're increasing regulations where they can and he's blocking them and they're raising interest rates and he's trying to get around that.
[01:12:19.737 --> 01:12:22.620]  He's killing regulations and all the rest of it.
[01:12:23.484 --> 01:12:25.005]  So Trump gets he's in a race.
[01:12:25.665 --> 01:12:36.389]  If he's going to be successful about the whole Make America Great Again agenda and make history like nobody ever has and do the right thing and be a superhero, he's got to get that done.
[01:12:36.429 --> 01:12:39.610]  And we've got to understand what he's up against and what we're up against.
[01:12:39.670 --> 01:12:42.051]  I mean, we're under attack, but globalists hate us.
[01:12:42.711 --> 01:12:44.192]  I don't care what color you are, where you came from.
[01:12:44.212 --> 01:12:51.895]  If you want to be free market, if you want to be middle class or wealthy, if you want to be independent, if you want to be left alone, if you want to be free, they don't like you.
[01:12:52.881 --> 01:12:56.063]  They crave, Bloomberg had mentioned this, total control.
[01:12:56.443 --> 01:12:59.666]  He wants to tell you what to eat, what to wear, and where you live.
[01:12:59.706 --> 01:13:06.990]  He calls himself the ultimate technocrat, and he has Bloomberg write articles about how amazing he is, and how he knows how to run your life.
[01:13:11.413 --> 01:13:16.657]  And his wealth in those last decades gone from 13 billion to 50-something billion last time I checked.
[01:13:18.641 --> 01:13:24.983]  Off of high-frequency trading and data computers, he sold to everybody that basically just monkey everything.
[01:13:26.664 --> 01:13:29.325]  Dude, that's not called, I guess, being a real genius.
[01:13:29.385 --> 01:13:31.366]  A real genius raises all ships.
[01:13:32.566 --> 01:13:38.729]  Setting up a scam and getting other scammers to go along with you, Bloomy, and then to run around and try to take our guns away makes you a schmuck.
[01:13:40.069 --> 01:13:44.191]  Makes you a Bernie Madoff or a Ponzi schemer.
[01:13:46.380 --> 01:13:51.545]  And you know what you've done, so you want to get your slaves disarmed, because, you know, you know everything, Bloomberg!
[01:13:51.565 --> 01:13:52.645]  You're the big man!
[01:13:52.685 --> 01:13:54.927]  You're going to show us how we're supposed to live!
[01:13:55.788 --> 01:13:56.429]  Like Schmidt!
[01:13:59.772 --> 01:14:02.614]  All the other little club of you-know-whats.
[01:14:05.276 --> 01:14:08.139]  Begins with A and ends with H. Two words.
[01:14:10.240 --> 01:14:11.521]  After the coup, what then?
[01:14:12.543 --> 01:14:16.326]  That the Trump presidency is bedeviled is undeniable.
[01:14:18.407 --> 01:14:19.528]  And then it goes on from there.
[01:14:21.729 --> 01:14:22.610]  But is it bedeviled?
[01:14:22.630 --> 01:14:34.177]  He's getting one huge part of the agenda done while they encircle him and run around fitting and screaming and yelling like toddlers, calling for his death, running around saying they control reality, trying to plunge the economy.
[01:14:35.658 --> 01:14:37.339]  Yes, they've bedeviled themselves.
[01:14:37.379 --> 01:14:39.301]  Yes, they're running around hysterically.
[01:14:41.581 --> 01:14:44.544]  Like a factory full of chickens with their heads cut off.
[01:14:46.226 --> 01:14:47.367]  Does that convince us?
[01:14:48.548 --> 01:14:56.437]  Does that endless wailing get us to submit and then believe that we should be mad at Trump and all that he's already gotten done and complain?
[01:14:58.988 --> 01:15:03.049]  You know, if America falls for this, we deserve what we get.
[01:15:03.169 --> 01:15:04.730]  Except, I don't deserve it.
[01:15:04.790 --> 01:15:05.410]  You don't deserve it.
[01:15:05.470 --> 01:15:06.330]  Our children don't deserve it.
[01:15:06.590 --> 01:15:10.791]  Those of us that have been fighting hard, we're not perfect, but we don't deserve North Korea.
[01:15:11.011 --> 01:15:12.332]  We don't deserve Venezuela.
[01:15:12.552 --> 01:15:15.812]  We don't deserve to be ruled by the likes of Al Gore.
[01:15:15.832 --> 01:15:21.474]  Hypocritic, lying, charlatan, conman of the universe.
[01:15:26.237 --> 01:15:30.921]  There's just something about that big swollen candy ass con man up there.
[01:15:34.043 --> 01:15:36.325]  You can't make up with the sick stuff he's into, by the way.
[01:15:36.385 --> 01:15:37.165]  Let's just continue.
[01:15:38.006 --> 01:15:41.429]  That the Trump presidency is bedeviled is undeniable.
[01:15:42.802 --> 01:16:02.066]  As President Donald Trump flew off for August at his Jersey Club, where he can get work done and not be surveilled, there came word that special counsel, special independent counsel, his total Democrat operative Robert Mueller, the third, had impaneled a grand jury and subpoenas were going out to the Trump family.
[01:16:03.524 --> 01:16:04.724]  And campaign associates.
[01:16:04.764 --> 01:16:06.345]  Yeah, Roger Stone's gotten one.
[01:16:06.945 --> 01:16:09.406]  And it says, give us all your Russia documents.
[01:16:09.526 --> 01:16:10.586]  Okay, there are none.
[01:16:10.606 --> 01:16:15.547]  It's like, say, give me all your Martian communiques with the king of Cydonia.
[01:16:17.508 --> 01:16:19.508]  I don't have any communications with the king of Cydonia.
[01:16:22.029 --> 01:16:29.531]  The jurors will be drawn from a pool of citizens in a city Hillary Clinton swept with 91% of the vote.
[01:16:29.551 --> 01:16:29.951]  Trump got 4%.
[01:16:33.806 --> 01:16:36.407]  Whatever indictments Mueller wants, Mueller gets.
[01:16:36.487 --> 01:16:41.629]  Yes, this is like if you were divorcing your wife and she is the family court judge over the case.
[01:16:41.789 --> 01:16:44.350]  It's the ultimate recusal case, but it's not happening.
[01:16:45.490 --> 01:16:53.193]  Thanks to a media that savages him ceaselessly, Trump is down to 33% in the Quinnipiac University poll.
[01:16:53.233 --> 01:16:54.574]  I mean, give me a break.
[01:16:54.654 --> 01:16:55.714]  I've looked at all these polls.
[01:16:56.214 --> 01:16:59.556]  They are as realistic as a Buck Rogers novel from 1921.
[01:17:01.317 --> 01:17:01.978]  They ain't real.
[01:17:02.098 --> 01:17:02.819]  It's called fiction.
[01:17:03.520 --> 01:17:09.467]  Before Trump departed D.C., the Washington Post ran transcripts of his phone conversations with the leaders of Mexico and Australia.
[01:17:10.008 --> 01:17:12.430]  Even Obama administration veterans were stunned.
[01:17:14.573 --> 01:17:19.158]  So it's time to ask, if this city brings down Donald Trump, will the rest of America rejoice?
[01:17:21.073 --> 01:17:26.617]  I love how these conversations with the Australian Prime Minister and the Mexican President make him sound bad.
[01:17:26.877 --> 01:17:32.502]  It's the exact guy you see in public fighting for America and going, hey, you've got a wall on your southern border.
[01:17:33.422 --> 01:17:35.864]  You know you're sending criminals up here that get deported 20 times.
[01:17:36.184 --> 01:17:38.246]  You don't let Americans come down there and do that.
[01:17:40.047 --> 01:17:40.468]  Stop it.
[01:17:41.208 --> 01:17:44.591]  You know with remittances we send down 10 times the money you bring here.
[01:17:45.511 --> 01:17:47.693]  And look, all it's doing is driving down your wages too.
[01:17:47.913 --> 01:17:49.935]  We've looked at studies out of Canada and studies out of
[01:17:51.007 --> 01:17:53.469]  I mean, this is the real guy!
[01:17:54.530 --> 01:18:00.396]  But that's so alien to everybody that we'd actually have a president that's running things and have a president that looks at the facts.
[01:18:00.656 --> 01:18:01.878]  I mean, it's just crazy!
[01:18:02.198 --> 01:18:05.201]  I'm not in some Trump worship fest just to be contrarian!
[01:18:09.560 --> 01:18:22.288]  It'd be easy to sit here and join the people that didn't vote, the Democrats and everybody, and play like the Republican establishment and, you know, put him down and Monday morning quarterback and go along with, yeah, well, yeah, he needs to, yeah.
[01:18:24.269 --> 01:18:32.655]  What will be the reaction out there in flyover country, the land where the deplorables dwell, who produce the soldiers to fight the wars?
[01:18:34.045 --> 01:18:34.725]  Yeah, I noticed that.
[01:18:35.306 --> 01:18:38.667]  Will they toast the free press that brought down the president they elected?
[01:18:39.607 --> 01:18:41.528]  And in whom they had placed so much hope?
[01:18:43.189 --> 01:18:47.330]  My guess, the reaction will be one of bitterness, cynicism and despair.
[01:18:47.370 --> 01:18:49.031]  It won't be despair, it'll be action.
[01:18:51.212 --> 01:18:51.872]  We're winning.
[01:18:51.892 --> 01:18:53.533]  We've got beachheads so giant.
[01:18:53.873 --> 01:18:54.533]  We are winning.
[01:18:55.494 --> 01:18:57.134]  We are raging into their areas.
[01:18:57.154 --> 01:18:59.015]  We are dominating intellectually.
[01:19:00.276 --> 01:19:03.297]  If they take down Trump, they're going to try to kill the opposition.
[01:19:04.418 --> 01:19:05.299]  Oh, absolutely.
[01:19:05.339 --> 01:19:08.342]  They've got the hit teams ready with my name on it.
[01:19:08.683 --> 01:19:09.964]  But it doesn't matter.
[01:19:10.064 --> 01:19:11.605]  We're winning the intellectual war.
[01:19:11.686 --> 01:19:14.548]  Don't ever let them convince you we're not winning.
[01:19:14.629 --> 01:19:15.369]  We're winning.
[01:19:15.690 --> 01:19:17.331]  We're promoting freedom and prosperity.
[01:19:17.552 --> 01:19:19.393]  What they're promoting is a complete joke.
[01:19:20.094 --> 01:19:28.317]  And all you gotta do is stop letting the little hunchbacks up there, the intellectual hunchbacks, tell you they're the gods on CNN control your mind.
[01:19:28.617 --> 01:19:29.637]  You know they're the enemy.
[01:19:29.677 --> 01:19:30.658]  You know they're scum.
[01:19:30.838 --> 01:19:33.098]  They know, you know they hate you and your family.
[01:19:33.299 --> 01:19:34.539]  They know they're criminals.
[01:19:34.739 --> 01:19:41.081]  They know they're the scum that could be hired by multinationals and Nazi collaborators like Soros to piss all over the country.
[01:19:41.321 --> 01:19:42.642]  It's not happening anymore.
[01:19:42.942 --> 01:19:43.702]  We're rising.
[01:19:43.782 --> 01:19:44.362]  We're winning.
[01:19:44.642 --> 01:19:45.543]  We're coming together.
[01:19:45.603 --> 01:19:46.683]  We're breaking the enemy.
[01:19:47.163 --> 01:19:48.544]  I can think of no greater
[01:19:49.617 --> 01:19:54.562]  Honor than to be in the position to take on this trash and to care less what they say or do.
[01:19:55.343 --> 01:20:00.848]  Whatever it is, fill their head, maximum attack, whatever they've got it's in God's will.
[01:20:01.328 --> 01:20:02.510]  We will bring you down.
[01:20:10.731 --> 01:20:14.833]  Jones is a charismatic performer who gets charged up on a regular basis.
[01:20:14.893 --> 01:20:15.813]  They call that crazy.
[01:20:15.833 --> 01:20:16.674]  That's not crazy.
[01:20:16.874 --> 01:20:20.736]  That's my will, my human spirit saying crush those that would hurt the innocent.
[01:20:20.916 --> 01:20:22.016]  Go after the enemy.
[01:20:22.436 --> 01:20:23.577]  Build a civilization.
[01:20:23.637 --> 01:20:24.357]  Be honorable.
[01:20:25.038 --> 01:20:26.458]  Crush the snakes under your feet.
[01:20:26.698 --> 01:20:28.339]  People want legitimacy.
[01:20:28.399 --> 01:20:29.400]  They want real.
[01:20:30.433 --> 01:20:38.577]  Two-thirds of his funding reportedly comes from selling his products, which he sells on his site under his Infowars Life brand.
[01:20:38.817 --> 01:20:41.819]  Particularly, vitamins and nutraceuticals.
[01:20:42.179 --> 01:20:43.140]  A whole bunch!
[01:20:43.560 --> 01:20:45.521]  Now, let me break them down for you.
[01:20:45.581 --> 01:20:57.067]  There is a Super Male Vitality, a Super Female Vitality, Wake Up America Patriot Blend Coffee, Lung Cleanse, Brain Force Plus, something called DNA Force that costs $120 a bottle,
[01:20:58.928 --> 01:21:06.192]  And Child Ease, a herbal blend which, according to InfoWars, is designed to soothe the minds and bodies of children.
[01:21:06.952 --> 01:21:17.917]  And then there is Caveman True Paleo Formula with Bone Broth, a chocolate-flavoured drink mix made from bee pollen, stevia and the dust of chicken skeletons.
[01:21:18.558 --> 01:21:24.560]  Now, according to InfoWars, it is one of the most popular new health trends in the world today.
[01:21:25.161 --> 01:21:27.582]  And if you have never gone shopping on InfoWars,
[01:21:27.902 --> 01:21:40.332]  You are in for a treat, because there's the kind of survival gear that you would expect, alongside more surprising items like organic shampoo, body wash, and deodorants, as well as products like Combat One Tactical Bath Wipes.
[01:21:40.893 --> 01:21:45.997]  He does have a medical expert who consults on many of his supplements, Dr. Edward Groot III.
[01:21:46.217 --> 01:21:48.019]  The media makes fun of you and says that you're an idiot.
[01:21:48.519 --> 01:21:52.643]  He looks like a 50-year senior at the University of Falling Off a Surfboard.
[01:21:53.863 --> 01:21:54.243]  That's right.
[01:21:54.263 --> 01:21:56.484]  I mean, literally, they say we cannot sell coffee.
[01:21:56.544 --> 01:21:57.025]  It's a fraud.
[01:21:57.565 --> 01:21:58.405]  Wake up, America.
[01:21:58.485 --> 01:21:59.626]  Patriot blends coffee.
[01:21:59.926 --> 01:22:01.047]  Maybe you've had back pain before.
[01:22:01.067 --> 01:22:02.347]  Maybe you've had nerves that were cut off.
[01:22:03.348 --> 01:22:04.328]  This creates tingling.
[01:22:04.348 --> 01:22:06.089]  A lot of people have their feeling come back.
[01:22:06.169 --> 01:22:07.150]  I'm not going to make claims.
[01:22:07.430 --> 01:22:08.390]  This research is true.
[01:22:09.371 --> 01:22:11.192]  Organically based bio PQQ.
[01:22:11.252 --> 01:22:13.493]  And you can only find its ingredients in comets.
[01:22:14.373 --> 01:22:15.454]  Oh, and blueberries.
[01:22:20.889 --> 01:22:23.592]  His products are different than the ones you can find in stores.
[01:22:23.752 --> 01:22:27.715]  It is absolutely in the crystalline form, the strongest, you absorb it.
[01:22:28.195 --> 01:22:32.579]  So, folks, don't go out in the store and get iodine and say, one of the big chains, it'll kill you.
[01:22:33.280 --> 01:22:34.261]  Wow!
[01:22:35.341 --> 01:22:39.105]  I honestly did not know that you can imply your competition kills people.
[01:22:40.262 --> 01:22:45.223]  We sell five different brands of the very best water filtration systems out there.
[01:22:45.263 --> 01:22:45.943]  They're amazing.
[01:22:45.983 --> 01:22:51.025]  They cut out 99.99% of the glyphosate, the herbicides, the pesticides, the fluoride.
[01:22:51.165 --> 01:22:54.766]  Jones is talking about the globalists systematically feminizing us.
[01:22:54.946 --> 01:22:59.447]  Chemicals were being placed in the water to feminize society and reduce the population.
[01:22:59.547 --> 01:23:02.607]  His products are marked up just enough to keep his business going.
[01:23:02.967 --> 01:23:04.968]  Well, the money that's made is pretty much put back into things.
[01:23:05.388 --> 01:23:11.974]  In fact, as he frequently tells his audience, he needs them to buy more to keep his truth-telling crusade solvent and growing.
[01:23:12.755 --> 01:23:15.878]  We need to fund ourselves, and we fund ourselves by you buying the products.
[01:23:15.898 --> 01:23:20.202]  We're at a shortfall now because of the massive sustained economic attacks we're under.
[01:23:20.342 --> 01:23:22.143]  I could have sponsors every segment.
[01:23:22.284 --> 01:23:22.804]  I don't do it.
[01:23:23.184 --> 01:23:24.385]  I plug enough to fund things.
[01:23:25.026 --> 01:23:29.108]  It's like an NPR pledge drive for people who hate NPR.
[01:23:29.128 --> 01:23:37.751]  Why not pick up a Bill Clinton rape whistle, which, according to InfoWars, should be used to let Bill know you're in the crowd and that you know the truth.
[01:23:37.791 --> 01:23:38.692]  That truth, by the way,
[01:23:54.915 --> 01:24:03.543]  Nobody can dispute the fact that we... And by the way, our order came with a free 9-11-was-an-inside-job bumper sticker.
[01:24:14.719 --> 01:24:28.792]  So, as North Korea miniaturizes an atomic bomb and has ICBMs that can basically hit anywhere in the continental United States, that's all been confirmed, and as they threaten to preemptively nuke us, or Japan, or Seoul, South Korea,
[01:24:29.993 --> 01:24:50.342]  We have George Soros, a bizarre Nazi collaborator, who's overthrown and crashed economies of more than 100 nations, and who funds radical Islam, slaughtering Christians and other Muslims worldwide, and who in the WikiLeaks is seeking to overthrow Israel, and have Israel ethnically purged of Jews.
[01:24:51.042 --> 01:24:52.363]  You can't make this stuff up.
[01:24:54.235 --> 01:24:58.600]  And then Israel has a tepid response by their foreign minister saying, oh yeah, he's an enemy of Israel.
[01:24:59.060 --> 01:25:01.623]  And then his response is to try to overthrow the Israeli government.
[01:25:03.025 --> 01:25:05.468]  I mean, these people are incredible.
[01:25:05.488 --> 01:25:07.930]  I mean, you cannot make it up.
[01:25:08.871 --> 01:25:12.736]  And then meanwhile, Pat Buchanan has the big story, after the coup, what then?
[01:25:14.658 --> 01:25:15.399]  And it goes on.
[01:25:17.759 --> 01:25:20.622]  After they overthrow Trump, he's saying that's the plan in D.C.
[01:25:20.662 --> 01:25:20.903]  now.
[01:25:21.483 --> 01:25:22.905]  Oh, see, I was the cook for saying it.
[01:25:22.925 --> 01:25:24.266]  Now it's all confirmed exactly as I told you.
[01:25:26.515 --> 01:25:30.156]  My guess, the reaction will be one of bitterness, cynicism, despair.
[01:25:30.796 --> 01:25:41.619]  No, it's going to be focused anger and just total economic warfare, pulling out of all the globalist systems, pulling our children even more out of their systems, the military turning against the globalists completely.
[01:25:41.659 --> 01:25:43.799]  I mean, if you think what happened with Trump was anything, just get ready.
[01:25:44.699 --> 01:25:45.740]  We're going to win, peacefully.
[01:25:46.240 --> 01:25:49.961]  And then we're going to even let you stage false flags that you blame on us, but we'll expose you to it.
[01:25:49.981 --> 01:25:51.341]  I mean, we've got your number.
[01:25:53.496 --> 01:25:58.198]  Despair, a sense of the fix is in that no matter what we do, they will not let us win.
[01:25:59.158 --> 01:26:02.799]  If Trump's brought down, American democracy will take a pasting.
[01:26:03.639 --> 01:26:12.502]  It will be seen as a fraud, and the backlash will poison our politics to where only an attack from abroad will unite us.
[01:26:12.783 --> 01:26:18.584]  Yeah, and we've already been conditioned to accept attacks, like Stockholm Syndrome.
[01:26:18.604 --> 01:26:18.644]  Oh!
[01:26:19.985 --> 01:26:21.065]  You just give in to it.
[01:26:22.386 --> 01:26:23.066]  Get into it.
[01:26:27.261 --> 01:26:31.084]  But look at how ruined MSNBC and CNN and all these other people are.
[01:26:31.364 --> 01:26:32.525]  Six percent trust rates.
[01:26:32.965 --> 01:26:34.827]  It's only going to get worse and worse and worse.
[01:26:35.387 --> 01:26:38.229]  And everyone's pulling out of the fake liberal universities.
[01:26:38.269 --> 01:26:41.091]  They're collapsing as they become more mentally ill and man free speech.
[01:26:42.993 --> 01:26:46.895]  And have cultural appropriation regulations passed that are directly out of Nazi Germany.
[01:26:48.957 --> 01:26:49.978]  Got an article on that today.
[01:26:51.206 --> 01:26:58.488]  There will just be an exodus of the same people at a macro and micro level everywhere, and it's already happening.
[01:26:59.248 --> 01:27:09.592]  And then you will howl and scream and call for regulations to make us give you sucker, give you truck, bring you to our table.
[01:27:09.692 --> 01:27:10.872]  It's not going to happen.
[01:27:11.932 --> 01:27:15.593]  The exodus is accelerating in the world, but not of it.
[01:27:16.854 --> 01:27:20.795]  And I look at people that think being patted on the head by the establishment
[01:27:22.728 --> 01:27:27.369]  I mean, if they tried to give me a Nobel Prize, I would throw it in the trash can.
[01:27:29.289 --> 01:27:35.130]  And I'd take the money and give it to victims of UN-sponsored forced abortion in China.
[01:27:36.171 --> 01:27:37.231]  Or something along those lines.
[01:27:39.031 --> 01:27:40.811]  But people are like, oh my gosh, the prestige!
[01:27:41.792 --> 01:27:42.712]  I'm not just saying that.
[01:27:42.792 --> 01:27:48.773]  If they offered me a huge role in a major Hollywood movie, starring in a major movie, I would say, piss on that!
[01:27:50.913 --> 01:27:51.693]  And I have before.
[01:27:52.314 --> 01:27:53.254]  Two major roles.
[01:27:53.675 --> 01:27:56.316]  Because I don't want anything to do with any of that.
[01:27:56.616 --> 01:27:59.778]  If they offered me a Fox TV show, I'd say, no thank you.
[01:28:00.178 --> 01:28:00.739]  And I have.
[01:28:01.439 --> 01:28:05.802]  Mancow is a witness to me three times turning down my own Saturday or Sunday show.
[01:28:06.162 --> 01:28:10.164]  But I'd have to live in New York and they go, oh but we're getting you ready to be on Fox all the time.
[01:28:10.184 --> 01:28:11.125]  I don't want to.
[01:28:11.685 --> 01:28:18.092]  And then they had a Fox executive a few months later in New York Daily News saying, I wanted to be on Fox, but they turned me down.
[01:28:18.392 --> 01:28:21.756]  Because see, in their religion, they had to say, I wanted them.
[01:28:22.116 --> 01:28:24.118]  No, I don't want you!
[01:28:26.741 --> 01:28:28.703]  Just like Matt Drudge doesn't want to be on Fox.
[01:28:28.783 --> 01:28:29.524]  You're a joke!
[01:28:33.507 --> 01:28:36.148]  I turned down the establishment back when I had nothing.
[01:28:36.448 --> 01:28:38.709]  And I'm not here bragging about myself.
[01:28:38.829 --> 01:28:39.890]  I'm trying to explain.
[01:28:40.830 --> 01:28:45.772]  It might have been a little hard 20 years ago to turn down the establishment when I was on like 10 radio stations.
[01:28:49.113 --> 01:28:50.654]  Might seem hard, but it wasn't.
[01:28:50.674 --> 01:28:51.834]  Because I had vision.
[01:28:52.695 --> 01:28:53.295]  My integrity.
[01:28:53.775 --> 01:28:55.916]  But now, it's a joke, isn't it?
[01:28:56.536 --> 01:28:59.937]  Hollywood's gone from not being very cool to really being uncool, hadn't it?
[01:29:00.958 --> 01:29:01.338]  Hadn't it?
[01:29:03.276 --> 01:29:07.404]  You can't get me to Los Angeles unless it's to go on Joe Rogan's podcast.
[01:29:08.446 --> 01:29:10.671]  And then all we discuss is, why are we here?
[01:29:11.412 --> 01:29:13.437]  He's like, absolutely, we should get out of here.
[01:29:16.727 --> 01:29:17.908]  Even if you're brought up over there.
[01:29:18.128 --> 01:29:19.148]  I don't know how you can be around it.
[01:29:19.608 --> 01:29:20.429]  And so that's all I'm saying.
[01:29:20.449 --> 01:29:26.631]  The world has nothing to offer past medicine and transportation and the beautiful sights God gave us.
[01:29:26.951 --> 01:29:29.933]  And the system wants to keep you poor so you get that from them.
[01:29:30.333 --> 01:29:36.055]  Because once you get the hierarchy of needs and are successful in taking care of yourself and your family, you don't need them anymore.
[01:29:36.315 --> 01:29:38.576]  Then you realize all their culture is bondage.
[01:29:38.776 --> 01:29:39.797]  Everything they sell
[01:29:40.297 --> 01:29:52.490]  Everything they do, from MTV to CNN, is designed by psych warfare chiefs to ruin you mentally, to cripple you psychologically and spiritually, to control you and render you helpless.
[01:29:52.690 --> 01:29:53.591]  We're on the march.
[01:29:54.091 --> 01:29:55.673]  The empire's on the run.
[01:29:55.693 --> 01:29:58.376]  Alex Jones and the GCN Radio Network.
[01:29:58.396 --> 01:30:00.058]  We're gonna look at his latest deal.
[01:30:03.678 --> 01:30:09.501]  In ancient times, man roamed the earth in a constant state of hunting or being hunted.
[01:30:09.641 --> 01:30:14.803]  Introducing Caveman, where cutting-edge science meets ancient super nutrients.
[01:30:15.063 --> 01:30:18.545]  Secure your bottle right now at Infowarsstore.com.
[01:30:18.705 --> 01:30:30.770]  Since the time of Hippocrates, the father of modern western medicine, in 420 BC, the ancients have marveled at the power of whey protein from milk and cheese.
[01:30:31.010 --> 01:30:38.394]  That's why I'm so proud to announce the latest addition to the InfoWars Life family, True Whey Protein from InfoWars Life.
[01:30:38.714 --> 01:30:44.657]  It's produced right here in the United States of America under the strictest high-quality organic conditions.
[01:30:45.217 --> 01:30:48.799]  Our True Whey Protein from InfoWars Life contains a whopping
[01:30:49.599 --> 01:30:51.940]  20 grams of protein per serving.
[01:30:52.400 --> 01:30:59.601]  We went out and did massive research and found the very best company and facility to develop our whey.
[01:30:59.761 --> 01:31:12.444]  And it took us years to finally get contacts with some of the larger, most respected companies to bring you a super high quality whey protein at a very reasonable price.
[01:31:12.924 --> 01:31:14.284]  That way you get the benefits
[01:31:14.904 --> 01:31:20.508]  And the taste of high-quality whey while supporting our information warfare operation against the globalists.
[01:31:20.808 --> 01:31:23.370]  Doing our research, one thing continued to really stand out.
[01:31:23.890 --> 01:31:32.556]  It's not just that cows and their milk are associated with the best, highest quality protein, but also that those cows be grass-fed.
[01:31:32.956 --> 01:31:33.797]  That is essential.
[01:31:34.157 --> 01:31:38.440]  And all of this whey protein comes from grass-fed, happy cows.
[01:31:38.940 --> 01:31:41.363]  This is the very best way that we were able to bring to market.
[01:31:41.743 --> 01:31:43.425]  Please try it for yourself and tell us what you think.
[01:31:43.445 --> 01:31:45.186]  Again, thank you so much for all your support.
[01:31:45.727 --> 01:31:48.630]  It is true way from MFullWarsLive.com.
[01:31:49.210 --> 01:31:50.631]  After four years of research...
[01:31:51.863 --> 01:31:55.004]  The next big game-changer has arrived.
[01:31:55.784 --> 01:31:59.165]  Z-Shield, toxic metal and chemical defense support.
[01:31:59.805 --> 01:32:01.126]  It's made in the USA.
[01:32:01.666 --> 01:32:09.949]  It's filled with known compounds from nature that are absolutely associated with detoxifying the body, and it supports the Infowar.
[01:32:10.389 --> 01:32:12.329]  It is a classical 360 win.
[01:32:12.589 --> 01:32:13.570]  We're changing the world.
[01:32:14.050 --> 01:32:17.731]  Now it's time to change our bodies with Z-Shield at Infowarslife.com.
[01:32:20.608 --> 01:32:40.196]  You've got to have the will to accept the truth and buck the system and the group collective.
[01:32:41.316 --> 01:32:46.398]  Do that, and you'll earn your way to the next level.
[01:32:46.418 --> 01:32:47.539]  This is the Info War.
[01:33:13.459 --> 01:33:17.609]  Defending the republic from enemies, foreign and domestic.
[01:33:18.330 --> 01:33:19.954]  It's Alex Jones.
[01:33:45.342 --> 01:33:46.523]  Get a vaccine.
[01:33:47.783 --> 01:33:49.224]  Get a nanotech lobotomy.
[01:33:50.385 --> 01:33:52.386]  Turn over your consciousness and die.
[01:33:56.168 --> 01:33:58.729]  It'll be so easy if you just rode over and die.
[01:33:58.749 --> 01:34:01.411]  And give all the resources to Al Gore.
[01:34:02.671 --> 01:34:03.312]  Or Obama.
[01:34:05.193 --> 01:34:08.755]  Who told the Africans you can't have cars, you can't have air conditioning.
[01:34:09.690 --> 01:34:14.815]  Then I can have a carbon footprint 3,000 plus times bigger than the average Africans.
[01:34:15.897 --> 01:34:17.498]  That's Obama speaking metaphorically.
[01:34:18.179 --> 01:34:18.740]  Rhetorically.
[01:34:19.200 --> 01:34:20.001]  And that's okay.
[01:34:20.481 --> 01:34:27.649]  It's making it cool to have a giant underclass that's economically discriminated against and not given access to life travel energy.
[01:34:28.470 --> 01:34:32.053]  And it's making the idea of upward mobility somehow evil.
[01:34:33.004 --> 01:34:34.345]  And that humans are evil.
[01:34:34.546 --> 01:34:38.189]  But now, you've got the Liberals coming out and saying, kill your dog, kill your cat.
[01:34:38.569 --> 01:34:42.133]  It's not enough to have flatulence taxes and bags on the cows in Canada.
[01:34:42.153 --> 01:34:44.255]  That's right, in Canada, big bags on their rear ends.
[01:34:44.956 --> 01:34:47.278]  Taking the evil methane away, oh my gosh.
[01:34:48.479 --> 01:34:50.241]  But now, we need to kill your cat or dog.
[01:34:50.261 --> 01:34:51.482]  But don't worry, there'll be a tax.
