[00:00:00.169 --> 00:00:02.772]  Nascent Iodine is essential.
[00:58:08.555 --> 00:58:12.899]  So these things are actually good for you, and we get great reviews online.
[00:58:14.088 --> 00:58:17.551]  And the callers that call in, thank you very much.
[00:58:18.953 --> 00:58:20.354]  Hey Ben, what's your favorite handgun?
[00:58:22.536 --> 00:58:27.420]  Well, I don't want to tell everybody what I have, but my favorite one, I'll tell you one.
[00:58:27.460 --> 00:58:29.022]  I've got a Smith & Wesson .357.
[00:58:29.222 --> 00:58:30.783]  That'll work.
[00:58:30.803 --> 00:58:34.107]  So I've got a cannon, but I've got a bunch of other ones that I'm not going to tell people.
[00:58:34.147 --> 00:58:35.588]  People ask me, what kind of guns you got?
[00:58:35.628 --> 00:58:38.611]  Well, you know, I've got a shotgun, and I've got rifles, and I've got handguns.
[00:58:39.548 --> 00:58:46.096]  But, you know, I don't have to worry about the antifa around here.
[00:58:46.857 --> 00:58:52.243]  I've got my share of death threats, but, you know... That's too far for them to hit.
[00:58:52.304 --> 00:58:54.086]  There's no buses that run up there.
[00:58:54.246 --> 00:58:56.408]  There's no public transportation where you live.
[00:58:57.029 --> 00:58:57.710]  Yeah, it'll be hard.
[00:58:57.730 --> 00:58:59.692]  It'll be expensive and hard for them to find me.
[00:58:59.752 --> 00:59:03.195]  I kind of live in a mountain valley that's off the beaten path.
[00:59:03.475 --> 00:59:06.298]  Yeah, there's no Billings Antifa.
[00:59:06.378 --> 00:59:07.739]  I'm sure there's like one guy.
[00:59:07.759 --> 00:59:09.821]  Didn't Alex tell you to get the judge?
[00:59:10.281 --> 00:59:10.882]  Yeah, Alex told me.
[00:59:10.902 --> 00:59:13.384]  He came in one day, he goes, dude, why don't you get a judge?
[00:59:13.424 --> 00:59:14.105]  He pulled his out.
[00:59:14.885 --> 00:59:16.207]  I said, alright, I'll go get one.
[00:59:16.227 --> 00:59:21.011]  This one's unloaded right now, but I think Zimmerman brought it to me unloaded, which is probably smart.
[00:59:21.211 --> 00:59:22.752]  You don't want an accident to happen on the air.
[00:59:23.413 --> 00:59:26.636]  But it is loaded when it sits in my desk, ready to go at any time.
[00:59:27.316 --> 00:59:30.599]  And, you know, I keep it with a variety of different bullets.
[00:59:30.679 --> 00:59:34.582]  It shoots .410 shotgun shells and Colt .45 slugs.
[00:59:34.882 --> 00:59:36.984]  So, I like it.
[00:59:37.064 --> 00:59:41.047]  And it doesn't have a... You would think something that shot shotgun shells in a handgun form would have a lot of kick.
[00:59:41.227 --> 00:59:41.888]  It really doesn't.
[00:59:42.591 --> 00:59:43.832]  Yeah, I've heard good things about it.
[00:59:43.912 --> 00:59:47.475]  And that's the thing, is you need to get trained and learn how to use your firearm.
[00:59:48.356 --> 00:59:50.338]  And, you know, we've got good people out here.
[00:59:50.398 --> 00:59:52.900]  Texas, Central Texas Gun Works.
[00:59:53.120 --> 00:59:54.582]  Yeah, we go out and shoot with those guys.
[00:59:54.822 --> 00:59:59.286]  Hey, Kevin, thanks for protecting the Second Amendment and propagating the Second Amendment.
[00:59:59.366 --> 01:00:04.110]  Because if you're not out there exercising the Second Amendment, it's going to atrophy and they're going to take it from you.
[01:00:04.130 --> 01:00:08.434]  Thank you guys for putting me on the line and doing what y'all do.
[01:00:09.349 --> 01:00:10.329]  Alright brother, have a good one.
[01:00:10.890 --> 01:00:12.930]  Let's go to Thomas in Texas.
[01:00:13.270 --> 01:00:14.431]  I guess you met me somewhere?
[01:00:14.471 --> 01:00:15.031]  Where'd we meet?
[01:00:15.771 --> 01:00:16.271]  In Cleveland?
[01:00:18.752 --> 01:00:19.592]  Thomas, are you there?
[01:00:19.772 --> 01:00:20.493]  Yeah, go ahead.
[01:00:21.373 --> 01:00:22.273]  Yeah, we met at the RNC.
[01:00:22.433 --> 01:00:26.155]  I was a delegate for Texas over there and we met at Charles in a meet and greet.
[01:00:26.275 --> 01:00:27.195]  I was in the cowboy hat.
[01:00:27.835 --> 01:00:28.435]  Oh, that's right.
[01:00:28.535 --> 01:00:29.016]  That's right.
[01:00:29.396 --> 01:00:30.056]  Okay.
[01:00:30.476 --> 01:00:31.356]  Good to talk to you again.
[01:00:31.556 --> 01:00:33.177]  The guy from Texas.
[01:00:33.217 --> 01:00:34.657]  I didn't play in ping pong though.
[01:00:34.717 --> 01:00:36.298]  You didn't play me in ping pong that night, did you?
[01:00:37.467 --> 01:00:38.547]  No, I didn't get to play.
[01:00:39.248 --> 01:00:41.248]  I was undefeated that night.
[01:00:41.288 --> 01:00:43.689]  We had a good time.
[01:00:44.309 --> 01:00:49.851]  But kind of straight away from that last caller, I was never political before this round.
[01:00:51.371 --> 01:00:55.032]  And to be honest, you guys helped me a lot to want to get involved.
[01:00:55.092 --> 01:00:58.913]  I was always kind of worried about it and intimidated.
[01:00:59.433 --> 01:01:01.794]  But I started at the precinct, went to the county.
[01:01:02.355 --> 01:01:06.017]  Went to state, and I decided to give a speech, and I won that speech, so.
[01:01:06.277 --> 01:01:06.517]  Wow.
[01:01:06.957 --> 01:01:07.817]  Yeah, see?
[01:01:08.017 --> 01:01:09.418]  All you do is get up and get involved.
[01:01:09.458 --> 01:01:16.661]  That's, hey, that's about, I'd say, 70 to 80% of success in life is getting up and showing up.
[01:01:17.421 --> 01:01:20.142]  Because if you don't show up, you can't do anything.
[01:01:20.462 --> 01:01:22.303]  That's the, nothing else matters.
[01:01:22.323 --> 01:01:24.924]  You can have all the talent in the world, it doesn't matter unless you show up.
[01:01:25.144 --> 01:01:25.364]  Mm-hmm.
[01:01:26.685 --> 01:01:30.367]  I don't have to file above any credit, but that video of him saying, just do it.
[01:01:30.407 --> 01:01:31.087]  Just do it!
[01:01:32.586 --> 01:01:35.667]  It really rings true to everything in life.
[01:01:35.707 --> 01:01:40.949]  Just put your hands and feet to the floor and do it.
[01:01:41.029 --> 01:01:43.470]  What I wanted to talk to you guys about was that Dutch Banker.
[01:01:45.830 --> 01:01:52.233]  I know you guys barely aired it, and I've seen it floating around social media, and you guys just aired it, I think, after a couple of weeks of it floating around.
[01:01:52.253 --> 01:01:57.434]  Sorry, I've been outside walking and stuff, so I'm out of breath.
[01:01:57.454 --> 01:01:59.095]  But what I wanted to ask you about was
[01:01:59.813 --> 01:02:05.781]  He mentioned the Protocols of Zion, and I'd never heard of them before that, so I just wanted to know what you guys thought of those.
[01:02:05.862 --> 01:02:09.507]  I researched them, and it's pretty creepy stuff, but I wanted to know what you guys thought.
[01:02:11.002 --> 01:02:18.768]  Um, not really my field of expertise, but I think the protocols of Zion has to do with... Oh, I'm going to take my best stab at it.
[01:02:20.270 --> 01:02:23.192]  I think it has to do with the... You know what?
[01:02:23.272 --> 01:02:23.872]  I don't even know.
[01:02:24.173 --> 01:02:24.853]  I'm not going to lie.
[01:02:25.874 --> 01:02:27.315]  What did you find out about it?
[01:02:28.016 --> 01:02:29.597]  Maybe I can corroborate.
[01:02:29.637 --> 01:02:34.061]  I've probably lost more than I've gained since working here.
[01:02:34.081 --> 01:02:35.662]  And I've learned a lot.
[01:02:36.528 --> 01:02:38.309]  I've never heard of them prior to that.
[01:02:38.409 --> 01:02:39.910]  So it was just that Beth Banker mentioned it.
[01:02:39.970 --> 01:02:40.851]  I started researching it.
[01:02:42.032 --> 01:02:44.813]  Basically, it was published somewhere, I think, in 1905.
[01:02:45.754 --> 01:02:52.378]  Some high-level people, Henry Ford mentioned it, saying that, you know, as of now, everybody says that it's a false document.
[01:02:52.458 --> 01:02:53.039]  It was made up.
[01:02:53.779 --> 01:03:02.305]  But as far as what's in it, it kind of goes in line with what's happening all around the world and basically how financial bankers are controlling
[01:03:03.100 --> 01:03:06.324]  Yeah, it does go to most of the Jewish financiers, but I don't know.
[01:03:06.344 --> 01:03:10.330]  I had never heard of it until that Doug Banker interview.
[01:03:15.419 --> 01:03:19.845]  Henry Ford funded the printing of 500,000 copies that were distributed through the U.S.
[01:03:19.865 --> 01:03:20.686]  in the 1920s.
[01:03:21.246 --> 01:03:24.971]  The Nazis sometimes used the protocols as propaganda against the Jews.
[01:03:25.491 --> 01:03:28.254]  This is coming from Wikipedia, so take that for what it is.
[01:03:28.295 --> 01:03:29.476]  Sometimes they're a little off.
[01:03:30.137 --> 01:03:31.779]  The Times of London in 1921.
[01:03:34.682 --> 01:03:35.342]  Let's see.
[01:03:35.803 --> 01:03:45.449]  Apparently, German teachers, they said it's factual, it was written to German schoolchildren after the Nazis came to power, despite having been exposed as fraudulent by the Times of London in 1921.
[01:03:45.489 --> 01:03:49.151]  So they were saying that it's fraudulent.
[01:03:49.671 --> 01:03:53.233]  Doesn't say who wrote it, though.
[01:03:53.253 --> 01:03:53.654]  I don't know.
[01:03:54.354 --> 01:03:55.615]  Ben, do you have anything to add to this?
[01:03:57.036 --> 01:03:58.376]  I read that it was fraudulent.
[01:03:58.496 --> 01:03:59.017]  You know, when I...
[01:04:01.758 --> 01:04:02.479]  Here's the thing.
[01:04:02.539 --> 01:04:09.285]  I mean, I have several friends who are Jewish and they're libertarians and I've never detected that they wanted to take over the world.
[01:04:09.365 --> 01:04:16.452]  I mean, the Jewish people I've met in my life have all been very smart, kind, funny.
[01:04:17.345 --> 01:04:22.110]  And, you know, the thing is, we have to go after people's deeds, not their religion.
[01:04:22.410 --> 01:04:25.593]  So yeah, there are a lot of Jewish people in the banking industry in Hollywood.
[01:04:26.154 --> 01:04:36.865]  Let's go after what they're doing instead of going after their Jewishness, because that's not fair to all the good Jews that are out there who aren't engaged in nefarious activities.
[01:04:36.905 --> 01:04:40.588]  That's just a slur on a great many people who are good people.
[01:04:42.170 --> 01:04:45.135]  Yeah, I've never met a Jew that told me he wanted to take over the world.
[01:04:45.195 --> 01:04:49.241]  Most of them I've met are honest, good people, so yeah.
[01:04:49.662 --> 01:04:50.683]  I'm not saying that they're not.
[01:04:51.965 --> 01:04:53.407]  Yeah, it's interesting.
[01:04:53.487 --> 01:04:55.531]  I've never read it, so I don't know.
[01:04:56.906 --> 01:04:57.926]  Well yeah, check that out.
[01:04:57.946 --> 01:05:06.849]  Dude, one more thing I wanted to mention to you was the day after we met, we went back to our Texas delegation the next day where Ted Cruz was there doing damage control.
[01:05:06.869 --> 01:05:12.190]  Because if you remember the Wednesday that we met, he came out opposing Trump basically and saying, vote your conscience.
[01:05:12.330 --> 01:05:15.551]  Yeah, he said he was going to back out.
[01:05:15.571 --> 01:05:20.212]  It sounded like he was going to back out, but then of course we saw him campaigning for Trump at the end.
[01:05:21.038 --> 01:05:25.699]  Yeah, he did come around, but I think it was because of what happened at that Texas delegation.
[01:05:26.479 --> 01:05:30.180]  Sean, my buddy you also met, made a sign that said, Clinton Cruz 2020.
[01:05:32.160 --> 01:05:35.101]  And then I went outside, it seemed so rehearsed.
[01:05:35.121 --> 01:05:41.682]  When I went outside of the delegation, I actually walked out on Ted Cruz because all he was saying was, Trump maligned my wife and I'm upset.
[01:05:41.742 --> 01:05:45.303]  So I went outside the delegation meeting.
[01:05:45.666 --> 01:05:53.810]  And there was hundreds of cameras on this woman that was comparing what Trump was saying about Cruz's wife to a man cheating on his wife before marriage.
[01:05:54.210 --> 01:05:57.311]  So I shut her down and they didn't get to air that in the media.
[01:05:58.232 --> 01:06:00.133]  But yeah, it was really interesting.
[01:06:00.893 --> 01:06:06.696]  Well, you know, I tell you what, I was not a Ted Cruz fan during the election, but when he came out with the El Chapo Act,
[01:06:07.389 --> 01:06:13.711]  I'm like, alright, that's some ingenuity thinking right there to take the assets.
[01:06:14.051 --> 01:06:22.153]  What's interesting, this is a double lesson for people out there who want to get into drug dealing and working with the government.
[01:06:22.713 --> 01:06:32.335]  Okay, so the Justice Department and DEA were doing deals with the Sinaloa Cartel run by El Chapo from 2002 to 2010, I believe.
[01:06:35.782 --> 01:06:38.043]  Might even be... I don't know if my dates are exact.
[01:06:38.063 --> 01:06:39.443]  This is coming off the top of my head.
[01:06:40.504 --> 01:06:47.467]  And their deal was, hey man, you can bring as many drugs into the country as you want, as long as you turn in your competition.
[01:06:47.567 --> 01:06:48.727]  And we'll go after your competition.
[01:06:48.767 --> 01:06:49.828]  We'll leave you alone.
[01:06:50.088 --> 01:06:50.948]  Those are the cowboys.
[01:06:51.048 --> 01:06:52.689]  Okay, now this wasn't the 80s.
[01:06:53.089 --> 01:06:54.489]  This was no Iran-Contra.
[01:06:54.670 --> 01:06:55.290]  This was 2002, after 9-11, to 2010.
[01:06:59.557 --> 01:07:06.063]  Okay, and so now they get him in jail, they extradite him, and now they want to take all that money he made and use it to build the wall.
[01:07:06.883 --> 01:07:07.244]  I like that idea.
[01:07:07.284 --> 01:07:09.385]  And I don't feel bad for the guy at one bit.
[01:07:09.445 --> 01:07:13.108]  I mean, you want to get in bed with the federal government, you get what you deserve.
[01:07:14.029 --> 01:07:21.596]  There it is, here from San Francisco Gate, confirmed the DEA struck a deal with Mexico's most notorious drug cartel.
[01:07:22.751 --> 01:07:23.972]  Ben, do you have anything to add to that?
[01:07:24.653 --> 01:07:29.177]  They should go after the biggest money launderers, drug money launderers of them all.
[01:07:29.197 --> 01:07:30.098]  That's the central banks.
[01:07:30.158 --> 01:07:35.743]  I mean, look, HSBC was caught red-handed and the Obama DOJ did nothing.
[01:07:36.243 --> 01:07:38.845]  Because, oh, we don't want to threaten the financial system.
[01:07:38.865 --> 01:07:40.527]  No, they'll collapse the economy.
[01:07:41.047 --> 01:07:48.234]  I mean, Wachovia was a big offender and then JP Morgan bought them out after they paid a little slap on the wrist.
[01:07:48.254 --> 01:07:49.295]  So let's go after the banks.
[01:07:49.975 --> 01:07:55.456]  Let's get all the money from them, find them for money laundering, and take that and build a wall.
[01:07:55.676 --> 01:08:02.478]  Make the Federal Reserve pay us all back for the over 100 years of the tax theft.
[01:08:03.218 --> 01:08:06.259]  Pay back everybody who put in, and then end it.
[01:08:06.659 --> 01:08:07.399]  That's what I would do.
[01:08:07.419 --> 01:08:10.840]  Here it is from The Guardian, how big U.S.
[01:08:10.940 --> 01:08:15.101]  bank laundered billions from Mexico's murderous drug gangs.
[01:08:16.428 --> 01:08:26.881]  There it is, and that's Wachovia that did that, and then I think they were bought out by Wells Fargo, which I think is part of JPMorgan Chase, and then I think... Wells Fargo.
[01:08:26.901 --> 01:08:29.444]  Yeah, Wells Fargo ended up paying the fine at some point.
[01:08:30.512 --> 01:08:31.892]  I was talking to a bank manager.
[01:08:32.052 --> 01:08:33.833]  I never even heard that story.
[01:08:33.873 --> 01:08:40.835]  I said, well, you don't know that your bank just bought out Wycopia and you were caught red-handed with the money laundering?
[01:08:40.875 --> 01:08:41.915]  No, I never heard that.
[01:08:42.635 --> 01:08:47.736]  Yeah, and Wells Fargo also got $25 billion in taxpayers' money from the bailout.
[01:08:48.036 --> 01:08:52.318]  So they got that, then they got the profits from all this money laundering, and they had to pay a smidgen.
[01:08:52.358 --> 01:08:53.698]  It was like a couple hundred thousand.
[01:08:54.398 --> 01:08:55.899]  I thought it was a slap on the wrist.
[01:08:55.920 --> 01:09:02.945]  Like a $100 million fine for billions, and this is $8.1 billion in remittances that they were getting.
[01:09:03.166 --> 01:09:09.131]  And if they catch Americans using their product, they get railroaded into prison.
[01:09:09.291 --> 01:09:11.973]  And so the prison industry, the private prisons get to thrive.
[01:09:12.554 --> 01:09:13.634]  What a racket that is.
[01:09:14.435 --> 01:09:15.296]  It's totally a racket.
[01:09:15.636 --> 01:09:21.960]  But you know, you get in bed with the federal government, you can expect to get turned over, you can expect to get thrown out and left in the cold.
[01:09:22.660 --> 01:09:25.782]  You know, they're kind of doing, well, we haven't seen it yet happen to Anthony Weiner.
[01:09:25.802 --> 01:09:30.425]  I was expecting he would get thrown out at some point and they'd say, oh, you have 6,000 classified emails on your laptop.
[01:09:30.765 --> 01:09:31.925]  How does that happen, bro?
[01:09:32.266 --> 01:09:33.847]  And it's like, eh, no big deal.
[01:09:34.167 --> 01:09:39.070]  I felt nauseous that I was messing with the election, you know, that that puss boy Comey.
[01:09:39.991 --> 01:09:43.296]  I'm so disappointed in our federal justice system.
[01:09:43.476 --> 01:09:49.686]  I mean, every time something comes up, they just want to, oh, my emotions got the best of me.
[01:09:49.746 --> 01:09:51.689]  Like, just wuss talk, man.
[01:09:52.391 --> 01:09:54.113]  Total, total beta male.
[01:09:54.659 --> 01:09:55.680]  Oh, and they're not being held accountable.
[01:09:55.700 --> 01:09:56.520]  Comey is a beta male.
[01:09:56.861 --> 01:09:57.761]  Totally beta male.
[01:09:58.141 --> 01:10:01.243]  That guy couldn't fight his way out of a paper bag.
[01:10:01.724 --> 01:10:07.688]  I mean, just to go, just sit there and whine to all these senators, like, who are total criminals themselves.
[01:10:08.408 --> 01:10:09.509]  You got Lindsey Graham.
[01:10:09.889 --> 01:10:11.250]  You got Dianne Feinstein.
[01:10:11.430 --> 01:10:12.291]  These are criminals.
[01:10:12.791 --> 01:10:14.552]  And he's just like, oh, I felt bad.
[01:10:15.113 --> 01:10:17.214]  Oh, I felt my stomach hurt.
[01:10:17.554 --> 01:10:18.795]  I mean, it's disgusting.
[01:10:18.875 --> 01:10:19.856]  Senator John McCain.
[01:10:19.916 --> 01:10:22.938]  Disgusting that this guy's in charge of the FBI.
[01:10:23.618 --> 01:10:24.379]  Oh, it makes me sick.
[01:10:24.979 --> 01:10:26.020]  All right, thanks for calling, Thomas.
[01:10:26.040 --> 01:10:26.740]  You pissed me off.
[01:10:26.901 --> 01:10:27.561]  Great, good job.
[01:10:27.581 --> 01:10:29.242]  I don't think it's going to last much longer.
[01:10:30.103 --> 01:10:30.623]  Have a good one.
[01:10:30.863 --> 01:10:32.104]  Let's go to John in Wisconsin.
[01:10:32.124 --> 01:10:34.005]  He's got a question for Ben Garrison.
[01:10:34.025 --> 01:10:34.586]  Go ahead, John.
[01:10:34.606 --> 01:10:37.468]  Yeah, Ben, how are you doing tonight?
[01:10:38.809 --> 01:10:39.429]  Pretty good.
[01:10:39.449 --> 01:10:43.892]  It's been entertaining, at least to me it has.
[01:10:44.312 --> 01:10:45.413]  And you've been pretty quiet.
[01:10:46.013 --> 01:10:49.576]  Anyhow, how radical do you want to get with cartoons?
[01:10:51.857 --> 01:10:52.598]  Can you repeat that?
[01:10:53.795 --> 01:10:56.396]  I said, how radical do you want to get with Kurt Cooper?
[01:10:56.416 --> 01:10:57.816]  I've got a couple of ideas for you.
[01:10:57.856 --> 01:10:58.476]  How radical?
[01:10:58.576 --> 01:10:59.656]  He's going to give you some ideas.
[01:11:01.277 --> 01:11:07.738]  Well, I'm already kind of like pushing that Overton window wide open.
[01:11:07.778 --> 01:11:09.079]  I have no restraints.
[01:11:09.279 --> 01:11:10.379]  I can do anything, so.
[01:11:12.319 --> 01:11:18.161]  I thought as far as Antutu is concerned, you have a journalist up on a stool with a
[01:11:19.821 --> 01:11:23.562]  A basket of money thrown out over the crowd of Antiva guys.
[01:11:24.542 --> 01:11:28.323]  And the caption from the Antiva people is, this is great.
[01:11:28.363 --> 01:11:29.643]  What are we supposed to do again?
[01:11:29.663 --> 01:11:32.844]  Well, that's about sums it up, doesn't it?
[01:11:34.585 --> 01:11:35.385]  And you know what?
[01:11:35.465 --> 01:11:41.426]  It just struck me when you were talking about Hillary saying that she's back and she's part of the resistance.
[01:11:42.147 --> 01:11:44.947]  She put her in a parade with a Hillary flag.
[01:11:46.828 --> 01:11:47.388]  And, um,
[01:11:48.309 --> 01:11:52.771]  Ah, let's say a dynamite explosion thing, you know, the old key handle jobs.
[01:11:53.692 --> 01:12:02.956]  And then having the drummer and the pipe player and the guy carrying the American flag come over the bridge.
[01:12:03.277 --> 01:12:05.698]  You gotta put her, you gotta call it Hillary Guevara.
[01:12:05.978 --> 01:12:10.520]  Because she is a part of the resistance.
[01:12:10.580 --> 01:12:12.661]  She is resisting nationalism.
[01:12:13.061 --> 01:12:13.982]  The Resist-Ohms.
[01:12:15.062 --> 01:12:16.183]  I had a terrible thought.
[01:12:16.812 --> 01:12:23.017]  This afternoon, I was thinking, Hillary is the empress with no clothes, and I said, make it go away!
[01:12:23.697 --> 01:12:27.940]  Alright, I'm done.
[01:12:28.481 --> 01:12:28.921]  That's it.
[01:12:29.281 --> 01:12:30.242]  I lost my lunch.
[01:12:32.864 --> 01:12:33.544]  Oh my god.
[01:12:33.564 --> 01:12:34.485]  Hey, that was good.
[01:12:34.645 --> 01:12:35.406]  Good job, John.
[01:12:35.466 --> 01:12:36.707]  Thank you very much.
[01:12:36.987 --> 01:12:39.368]  John, let me ask you something.
[01:12:39.389 --> 01:12:40.569]  Where do you live in Wisconsin?
[01:12:40.649 --> 01:12:41.670]  I've been all over your state.
[01:12:43.411 --> 01:12:44.032]  Following Trump.
[01:12:46.089 --> 01:12:46.689]  John, you still there?
[01:12:47.630 --> 01:12:48.230]  Did we cut him off?
[01:12:49.891 --> 01:12:51.512]  Oh, the rust belt got to him.
[01:12:52.453 --> 01:12:52.993]  Oh, sorry.
[01:12:53.653 --> 01:12:54.134]  Sorry, John.
[01:12:54.174 --> 01:12:55.574]  Hey, I love... Oh, no, you're still there.
[01:12:55.614 --> 01:12:56.855]  Hey, where are you from in Wisconsin?
[01:12:58.256 --> 01:13:00.657]  Uh, southeastern Wisconsin, around Burlington.
[01:13:01.138 --> 01:13:01.518]  Okay.
[01:13:01.978 --> 01:13:02.218]  Alright.
[01:13:03.179 --> 01:13:05.240]  Hey, listen, I got a question for you, Rob.
[01:13:05.540 --> 01:13:05.780]  Sure.
[01:13:06.301 --> 01:13:10.923]  Uh, if you're going to cover Vildenburg this year, are you going to challenge, uh, Petraeus to a wide bay?
[01:13:13.052 --> 01:13:18.276]  You know, I probably can't out-jog Petraeus because I'm a fat-ass, but... You did pretty good, though.
[01:13:18.677 --> 01:13:19.417]  How far did you go?
[01:13:20.078 --> 01:13:20.858]  It wasn't that far.
[01:13:21.479 --> 01:13:24.401]  It was probably a good half block that I chased.
[01:13:24.481 --> 01:13:26.563]  It looked a lot longer when we looped it, I guess.
[01:13:26.723 --> 01:13:27.424]  Oh yeah, yeah.
[01:13:27.584 --> 01:13:29.125]  When you loop it with the chariots of fire.
[01:13:29.205 --> 01:13:38.333]  But, you know, I did have my full camera bag on that was filled, and I had a jacket, like my sport coat, because Jones likes us to look nice out there.
[01:13:39.393 --> 01:13:42.755]  I looked like a freaking derelict, you know.
[01:13:43.595 --> 01:13:44.776]  But it was amazing.
[01:13:44.816 --> 01:13:51.479]  I'm sitting there interviewing this other guy who kind of reminded me of the helicopter pilot from Mad Max Beyond, or the Road Warrior.
[01:13:51.639 --> 01:13:51.899]  Alright.
[01:13:52.299 --> 01:13:56.201]  I'm interviewing him and he was getting busted by the cops for drawing on chalk on the sidewalk.
[01:13:56.241 --> 01:13:57.762]  So I'm like, I'll just interview this.
[01:13:57.822 --> 01:14:02.864]  And suddenly, Petraeus comes jogging in and he does this look where he's trying to figure out where he's at.
[01:14:02.884 --> 01:14:04.665]  And I'm like, that's him!
[01:14:05.445 --> 01:14:08.688]  And I just say, gotta go, and I run after him, and he sees me.
[01:14:09.028 --> 01:14:10.309]  He's not, I go, Hey Rob?
[01:14:10.469 --> 01:14:10.709]  Yeah?
[01:14:12.771 --> 01:14:13.151]  You hear me?
[01:14:13.311 --> 01:14:13.511]  What?
[01:14:15.873 --> 01:14:16.514]  Did we lose him?
[01:14:18.698 --> 01:14:18.978]  Okay.
[01:14:19.478 --> 01:14:20.699]  Anyway, I'm going to finish my story.
[01:14:21.279 --> 01:14:25.620]  And I run after him, and I, you know, just one quick question, General Petraeus.
[01:14:26.180 --> 01:14:28.421]  I learned that from my buddy Tillman, who's in Germany.
[01:14:28.821 --> 01:14:30.502]  He likes to say, one quick question, please.
[01:14:30.782 --> 01:14:31.602]  One quick question.
[01:14:32.142 --> 01:14:33.903]  And he's got this very heavy German accent.
[01:14:33.943 --> 01:14:35.183]  So I always, just one quick question.
[01:14:35.203 --> 01:14:35.603]  That's all I got.
[01:14:36.284 --> 01:14:37.884]  What the hell are you talking about, Bilderberg?
[01:14:38.805 --> 01:14:39.885]  And, you know, I didn't want to, like,
[01:14:41.178 --> 01:14:43.119]  Jump on him, you know, like be right there with him.
[01:14:43.199 --> 01:14:45.059]  I probably, my legs are longer than his.
[01:14:45.099 --> 01:14:45.860]  He's a short guy.
[01:14:46.360 --> 01:14:51.962]  But, you know, I was also worried that that deadly CIA training he had, he would have done something to me, like give me a throat punch or something.
[01:14:51.982 --> 01:14:53.682]  He probably had somebody close by too.
[01:14:53.702 --> 01:14:56.723]  You know, these guys weren't, didn't, which I'm surprised.
[01:14:56.763 --> 01:14:58.284]  I'm like, how does this guy go out?
[01:14:58.344 --> 01:15:00.745]  You know, it was Dresden though, which is a very safe city.
[01:15:01.912 --> 01:15:02.972]  We're good to go.
[01:15:26.838 --> 01:15:29.920]  But yeah, I think this year they're going to be going to the United States.
[01:15:30.200 --> 01:15:30.960]  They haven't put anything.
[01:15:31.000 --> 01:15:32.081]  I checked their website today.
[01:15:32.461 --> 01:15:35.182]  They did not have where they're going to be this year.
[01:15:35.202 --> 01:15:36.723]  But I did hear they got hacked.
[01:15:36.783 --> 01:15:43.666]  I saw that, that somebody had hacked the Bilderberg website and they said you have one year to straighten up, which they're not going to do.
[01:15:43.726 --> 01:15:44.847]  They don't care about humanity.
[01:15:45.667 --> 01:15:55.732]  And one of the guys at the end, I forget his name, who's this old fellow who's a Democratic operative, we tried to go talk to him and he just cussed us out and walked into the building.
[01:15:55.772 --> 01:15:57.113]  This was after the whole thing was over.
[01:15:57.133 --> 01:15:58.593]  Just like, hey man, you want to tell us what was going on?
[01:15:59.634 --> 01:16:00.094]  F you!
[01:16:00.234 --> 01:16:01.155]  Get out of my face!
[01:16:01.535 --> 01:16:02.215]  And walked inside.
[01:16:02.235 --> 01:16:04.756]  You notice the mainstream media is covering it now, finally.
[01:16:04.816 --> 01:16:05.437]  I mean, kind of.
[01:16:05.837 --> 01:16:08.138]  I mean, at least they admit that it goes on.
[01:16:08.538 --> 01:16:09.538]  Yeah, from the outside.
[01:16:11.019 --> 01:16:12.580]  It's a very rudimentary coverage.
[01:16:12.940 --> 01:16:14.601]  Ben, what's your take on the Bilderberg Group?
[01:16:15.919 --> 01:16:17.659]  Well, I was just going to say what you said.
[01:16:17.699 --> 01:16:20.420]  I mean, before it was conspiracy theory, wasn't it?
[01:16:20.460 --> 01:16:22.421]  Now, people are starting to be aware.
[01:16:22.561 --> 01:16:31.863]  Wait a minute, here's this cabal, these private, powerful men and women, meeting in secret, and we can't know what they're doing.
[01:16:31.983 --> 01:16:33.944]  Oh, they're just having a cup of coffee and, you know.
[01:16:34.873 --> 01:16:35.854]  Having a nice chat.
[01:16:35.874 --> 01:16:38.235]  They're not doing anything nefarious or anything like that.
[01:16:38.255 --> 01:16:44.419]  And neither is the CFR or the meetings with the BIS or the trilateral.
[01:16:44.499 --> 01:16:46.921]  All that stuff that Rockefeller helped create, you know.
[01:16:47.221 --> 01:16:50.804]  They're just doing stuff to help benefit mankind.
[01:16:50.824 --> 01:16:52.525]  They're not up to anything.
[01:16:53.045 --> 01:16:54.726]  I mean, they're in the shadows, you know.
[01:16:55.047 --> 01:16:56.908]  Good things happen in the shadows, don't they?
[01:16:56.968 --> 01:16:57.708]  Well, they don't.
[01:16:57.988 --> 01:17:00.390]  That's why they're in the shadows because they're up to darkness.
[01:17:01.191 --> 01:17:04.553]  If they were doing something above board and doing something good, they'll do it in the light.
[01:17:05.373 --> 01:17:13.559]  Well, it's definitely a money-making scheme because we got the governor of Saxony, which is where Saxony is where Dresden's located.
[01:17:14.119 --> 01:17:15.600]  We got him in two different interviews.
[01:17:15.720 --> 01:17:21.404]  One, not wanting to talk to us as we were waiting for him outside of this little meeting he was having at a church.
