[00:00:00.109 --> 00:00:01.857]  Please, spread the word.
[00:50:25.810 --> 00:50:28.190]  Again, that's InfoWarsStore.com.
[00:50:28.250 --> 00:50:29.471]  I'll skip this break, but only this one today.
[00:50:30.416 --> 00:50:33.978]  Infowarsstore.com is the umbrella site.
[00:50:34.038 --> 00:50:36.159]  Infowarslife.com is the subpage.
[00:50:36.179 --> 00:50:44.462]  And listen, listeners, have you ever seen anybody except Trump under more attack than yours truly?
[00:50:44.662 --> 00:50:45.703]  Have you ever seen that?
[00:50:45.803 --> 00:50:46.423]  Why is that?
[00:50:46.983 --> 00:50:47.864]  Because I know history.
[00:50:47.924 --> 00:50:48.864]  I have great guests on.
[00:50:48.904 --> 00:50:49.765]  I have great callers.
[00:50:49.845 --> 00:50:50.865]  We know what we're talking about.
[00:50:51.285 --> 00:50:59.729]  We're promoting something that's sexy Americana that everybody knows is a hell of a lot better than totalitarianism and all of its horrible, nasty flavors.
[00:51:01.254 --> 00:51:03.135]  It's totalitarianism is like Jim Jones Kool-Aid, though.
[00:51:03.155 --> 00:51:11.121]  It may be a cherry, strawberry, coconut, grape, pina colada, peach, pear, cranberry, but it's all got cyanide in it.
[00:51:11.161 --> 00:51:24.811]  Authoritarianism, oligarchies, royalty, the monarchies, communism, fascism, socialism, it all leads towards destruction and centralized control and stagnation and non-innovation.
[00:51:25.011 --> 00:51:25.451]  We know that.
[00:51:25.471 --> 00:51:25.911]  It's a fact.
[00:51:27.312 --> 00:51:28.213]  Just look at all the examples.
[00:51:30.751 --> 00:51:34.272]  Europe's collapsing with its socialist experiment, its multiculturalism, and all the rest of it.
[00:51:34.813 --> 00:51:36.773]  Because it wasn't real multiculturalism, it was divide and conquer.
[00:51:37.294 --> 00:51:37.794]  By design.
[00:51:37.814 --> 00:51:38.594]  It hasn't failed.
[00:51:38.774 --> 00:51:39.835]  It's working as it was meant to be.
[00:51:40.315 --> 00:51:41.575]  Read the founding documents of the EU.
[00:51:41.595 --> 00:51:49.438]  It was a governing system of control that the Nazis created and then shelved when they were defeated, but brought back.
[00:51:50.639 --> 00:51:52.159]  Read the Oosterbeek-Holland-Bilderberg meeting, 1954.
[00:51:52.560 --> 00:51:55.361]  A few years later, they had the Treaty of Rome.
[00:51:55.381 --> 00:51:57.221]  Read it for yourself, it's online.
[00:51:58.182 --> 00:51:58.662]  Establishing.
[00:52:00.182 --> 00:52:00.822]  Treaty of London.
[00:52:02.243 --> 00:52:02.884]  Steel deals.
[00:52:03.924 --> 00:52:06.886]  We're here on the front lines, changing the world.
[00:52:06.946 --> 00:52:07.467]  Thank God.
[00:52:07.507 --> 00:52:08.287]  Thank you for your prayers.
[00:52:08.547 --> 00:52:09.408]  I can feel your prayers.
[00:52:09.668 --> 00:52:10.569]  I can see the providence.
[00:52:10.969 --> 00:52:11.449]  Pray for us.
[00:52:11.509 --> 00:52:12.069]  Spread the link.
[00:52:12.110 --> 00:52:12.730]  Spread the articles.
[00:52:12.750 --> 00:52:18.013]  If you're watching us on Facebook or YouTube or a local AM or FM station, send it out in your email every day.
[00:52:18.073 --> 00:52:19.134]  This is forbidden information.
[00:52:19.154 --> 00:52:19.774]  Alex Jones.
[00:52:19.814 --> 00:52:20.575]  Check out this feed.
[00:52:20.595 --> 00:52:22.316]  If you don't like him, you'll love his other hosts.
[00:52:22.716 --> 00:52:24.057]  Different strokes for different folks.
[00:52:25.898 --> 00:52:26.699]  Takes all kinds.
[00:52:27.785 --> 00:52:28.768]  I love the other hosts.
[00:52:28.788 --> 00:52:29.791]  Can't stand watching myself.
[00:52:29.812 --> 00:52:30.614]  A lot of people like me.
[00:52:30.795 --> 00:52:31.497]  Okay, whatever.
[00:52:31.918 --> 00:52:34.285]  Infowars.com forward slash show.
[00:52:34.326 --> 00:52:34.927]  Spread that link.
[00:52:36.988 --> 00:52:42.471]  Sometimes we do these live feeds and only a half million people tune in over the broadcast extra on top of the regular listeners.
[00:52:42.811 --> 00:52:44.832]  Sometimes we do it and 10, 15, 20 million tune in.
[00:52:44.852 --> 00:52:51.956]  It's all up to you sending out the links on Facebook, on Twitter, on Google, telling people about it word of mouth, telling them to spread the word.
[00:52:52.137 --> 00:52:53.257]  Hey, we're taking America back.
[00:52:53.517 --> 00:52:54.778]  This is the guy that's under attack.
[00:52:54.998 --> 00:52:56.699]  This is the organization that's under attack.
[00:52:56.879 --> 00:52:57.720]  Let's move together.
[00:52:57.880 --> 00:52:58.560]  Let's spread the word.
[00:52:58.580 --> 00:52:59.301]  Let's do our part.
[00:52:59.621 --> 00:53:00.581]  Let's buy products.
[00:53:01.362 --> 00:53:03.083]  Everybody should be getting a gravity-fed water filter.
[00:53:03.803 --> 00:53:05.547]  It leaves the good minerals in, cuts out all the garbage.
[00:53:05.587 --> 00:53:08.793]  We have three of the best brands out there with the best test.
[00:53:08.953 --> 00:53:11.237]  There are apples and oranges, some are better at this, some are better at that.
[00:53:11.578 --> 00:53:13.021]  But it's all like 99999 or total removal.
[00:53:15.914 --> 00:53:17.476]  Really, really affordable systems.
[00:53:17.636 --> 00:53:18.556]  Amazing reviews.
[00:53:18.737 --> 00:53:21.779]  Shower systems that cut out all the garbage or massively reduce it.
[00:53:22.720 --> 00:53:24.041]  Infowarsstore.com.
[00:53:24.502 --> 00:53:26.263]  Infowarslife.com is the nutraceuticals.
[00:53:26.584 --> 00:53:27.605]  And here are some of the specials.
[00:53:27.625 --> 00:53:29.686]  30% off Brain Force, our nootropic.
[00:53:30.447 --> 00:53:31.968]  20% off Secret 12 Methylcobalamin.
[00:53:32.729 --> 00:53:33.850]  Super high quality organic B12.
[00:53:33.870 --> 00:53:35.532]  20% off Knockout at $15.
[00:53:35.572 --> 00:53:36.613]  You just cannot beat Knockout.
[00:53:40.297 --> 00:53:41.698]  $15.98 or whatever.
[00:53:41.738 --> 00:53:44.419]  I mean, a bottle of melatonin of the same strength is more than that.
[00:53:44.439 --> 00:53:47.220]  And this has the L-tryptophan, the valerian root, and all the rest of it.
[00:53:47.581 --> 00:53:48.041]  So good.
[00:53:48.061 --> 00:53:51.022]  20% off Winter Sun, vitamin D3, totally organic.
[00:53:51.042 --> 00:53:52.683]  20% off Prostagard.
[00:53:53.503 --> 00:53:56.585]  They have Salt Palmetto, you hear it advertised for $40 everywhere.
[00:53:56.745 --> 00:53:58.185]  This is less than that.
[00:53:58.566 --> 00:54:01.007]  The same dose of organic Salt Palmetto that's been documented.
[00:54:01.047 --> 00:54:03.148]  Not just the prostate, but so many other glands.
[00:54:03.168 --> 00:54:05.129]  The government even lets you make claims on Salt Palmetto.
[00:54:05.189 --> 00:54:05.749]  It's so amazing.
[00:54:07.108 --> 00:54:10.812]  And then a bunch of other stuff that is known to supercharge your glands and your prostate as well.
[00:54:10.872 --> 00:54:13.695]  It's amazing what it does for your life, your comfort, your sex life.
[00:54:13.715 --> 00:54:15.116]  I think women should take it too.
[00:54:15.176 --> 00:54:17.038]  It doesn't just affect the prostate from the research I've done.
[00:54:17.058 --> 00:54:18.039]  20% off Biome Defense, $25.
[00:54:18.079 --> 00:54:18.780]  That's the great
[00:54:24.056 --> 00:54:25.157]  We keep it cool here.
[00:54:25.478 --> 00:54:26.239]  Super high quality.
[00:54:26.279 --> 00:54:28.702]  Best strains of probiotics out there.
[00:54:28.722 --> 00:54:29.322]  20% off.
[00:54:29.683 --> 00:54:30.364]  Living Defense.
[00:54:30.884 --> 00:54:32.046]  Parasite Cleanse.
[00:54:32.066 --> 00:54:32.226]  30% off.
[00:54:32.626 --> 00:54:33.968]  Pro Pure King Water Filters.
[00:54:33.988 --> 00:54:34.549]  DNA Stock.
[00:54:34.609 --> 00:54:36.030]  It's back in stock in only a day or two.
[00:54:36.291 --> 00:54:37.953]  And I went to them and I said, what's going on?
[00:54:39.070 --> 00:54:40.831]  Why are you only ordering a few thousand of these at a time?
[00:54:41.031 --> 00:54:54.095]  Then it's out for two months, and they said, it's hard to source, and then we have to test, it has to be all California standard, and then that goes on, and that drives up the price, and then you don't have enough money to buy 5,000 bottles of this with what's left.
[00:54:54.115 --> 00:54:55.235]  You've got to get above a threshold.
[00:54:55.255 --> 00:54:56.875]  I was with the accountants yesterday for like 30 minutes.
[00:54:56.895 --> 00:54:58.976]  You've got to get above this threshold of extra money.
[00:54:58.996 --> 00:55:05.318]  And like we keep telling you, to be able to buy enough of it to get over that threshold, then to always have it, and then it'll fund you.
[00:55:08.189 --> 00:55:11.714]  $35,000, $40,000 depending on the purchase of the Bio PQQ alone that goes in it.
[00:55:11.794 --> 00:55:17.862]  We're talking $45, $50 depending on the run, $60 a product in each bottle and we sell it for $130.
[00:55:20.523 --> 00:55:21.084]  Sounds like a lot.
[00:55:21.124 --> 00:55:25.408]  Most people have 300, 400, 500, 600, 700 percent markup in nutraceuticals.
[00:55:26.248 --> 00:55:28.410]  I went to what was in the German labs, U.S.
[00:55:28.450 --> 00:55:29.812]  labs that doctors prescribe.
[00:55:29.872 --> 00:55:31.714]  It's over-the-counter, but not in stores.
[00:55:31.734 --> 00:55:35.317]  Because they've learned that you only pay for the stuff if it's a doctor.
[00:55:35.377 --> 00:55:36.178]  They sell it for $300, $400, $500.
[00:55:36.338 --> 00:55:41.243]  We've gone out and made a formula better than what medical doctors are selling.
[00:55:41.283 --> 00:55:42.404]  Same stuff, but even better.
[00:55:43.385 --> 00:55:44.506]  For a third the price or less.
[00:55:45.990 --> 00:55:47.471]  Okay, that's DNA force.
[00:55:47.491 --> 00:55:49.251]  Don't even need to plug it because I can't ever keep it in.
[00:55:49.271 --> 00:55:50.492]  And I said, that's fine.
[00:55:52.853 --> 00:55:59.195]  We're going to sit there and hopefully take any backup money we get from this fundraiser, this fundraiser sale where you just purchase great stuff at discounts and we fund this.
[00:55:59.275 --> 00:56:03.056]  And I said, we're going to start ordering 5,000 bottles of this so that we can keep it in stock all the time.
[00:56:03.757 --> 00:56:12.260]  Because if I could just get this one product in stock and have everybody buy, you know, 5,000 of these every few months, we could fund so much more of the operation.
[00:56:13.655 --> 00:56:14.836]  Infowarsstore.com.
[00:56:14.956 --> 00:56:18.457]  I want to hire five or six more reporters, five or six more editors, five or six more writers.
[00:56:18.557 --> 00:56:20.518]  I want to get more administrative people.
[00:56:20.638 --> 00:56:29.423]  And I just need to grow to this next level, be able to then have sponsors on the new radio shows, TV shows I'm going to launch, so the talk show host can get paid and live.
[00:56:30.629 --> 00:56:38.718]  And not turn their shows into infomercials, and I plan to launch, and work with GCN, I didn't talk to Ted about this, but launch a whole bunch in the next few months.
[00:56:39.439 --> 00:56:45.025]  I'm hiring more board ops, more video switchers, we got a whole new crew in there, they're getting trained, they're doing an amazing job, we've been really blessed.
[00:56:46.161 --> 00:56:49.624]  And we're building a big new half-million-dollar studio.
[00:56:49.644 --> 00:56:50.424]  That sounds like a lot of money.
[00:56:50.925 --> 00:56:51.966]  TV's expensive.
[00:56:52.086 --> 00:56:55.308]  A decent switcher that doesn't constantly screw up is $50,000.
[00:56:56.169 --> 00:56:58.851]  A decent camera is $20,000.
[00:56:59.151 --> 00:57:08.318]  The wiring, the HD cables, the jumbotrons, all of this, this is a quarter-million-dollar studio without the cameras and the lights.
[00:57:09.439 --> 00:57:14.283]  I'm building a half-million-dollar studio, okay, right next to that wall in our old warehouse.
[00:57:14.883 --> 00:57:15.864]  We'll move the warehouse out of here.
[00:57:18.559 --> 00:57:21.901]  And it's not the same building or complex now.
[00:57:23.082 --> 00:57:24.163]  And we just need your support.
[00:57:25.043 --> 00:57:27.865]  And sign up for AutoShip, an additional 10% off all these specials.
[00:57:28.365 --> 00:57:34.289]  And then cancel any time, but sign up for every 15 days, every month, every two months, every three months, every six months.
[00:57:34.709 --> 00:57:36.651]  And then just cancel any time, an additional 10% off.
[00:57:36.771 --> 00:57:37.651]  You get great products.
[00:57:37.852 --> 00:57:38.852]  You save 10% off.
[00:57:39.673 --> 00:57:41.794]  And then you don't have to remember to order DNA Force.
[00:57:42.034 --> 00:57:44.296]  We hold it back, even though it sells out to folks that are on AutoShip.
[00:57:44.556 --> 00:57:45.456]  You get your knockout.
[00:57:45.817 --> 00:57:47.177]  You get your colloidal silver.
[00:57:49.073 --> 00:58:01.686]  You're X2, you get your bone broth, you get it all at Infowarslife.com or Infowarsstore.com and then it just comes in and then you're supporting us and we don't have to worry about remembering to do it every time and if you ever get in a pinch or whatever, just cancel.
[00:58:02.007 --> 00:58:07.313]  And then you can rest assured you're getting great products for your friends and family and neighbors yourself.
[00:58:08.462 --> 00:58:13.505]  And you're supporting people that are willing to be destroyed for this mission.
[00:58:13.966 --> 00:58:16.647]  And I'm not saying that because I'm some angel.
[00:58:17.208 --> 00:58:21.190]  I fundamentally want to serve my family and serve you.
[00:58:21.870 --> 00:58:24.612]  And also, I get craved, you know, like a pit bull guarding his family.
[00:58:24.672 --> 00:58:27.254]  I mean, I just, don't thank me for this.
[00:58:27.414 --> 00:58:28.395]  I'm born for this.
[00:58:28.815 --> 00:58:29.655]  I can't stop.
[00:58:30.096 --> 00:58:33.198]  They can put a gun to my head and say, deny Christ or deny liberty.
[00:58:33.258 --> 00:58:34.218]  I say, pull that trigger.
[00:58:34.619 --> 00:58:36.520]  You know, I have no fear except failure.
[00:58:37.000 --> 00:58:38.402]  So please help us win together.
[00:58:39.124 --> 00:58:40.986]  Make the commitment to support us financially today.
[00:58:41.007 --> 00:58:43.671]  Infowarsstore.com or 888-253-3139.
[00:58:43.831 --> 00:58:45.794]  We'll be back in the second hour.
[00:58:45.834 --> 00:58:46.235]  Stay with us.
[00:58:46.916 --> 00:58:49.240]  Visit GCNlive.com today.
[00:58:54.190 --> 00:58:55.911]  Electrify your day with Secret 12.
[00:58:56.491 --> 00:58:57.832]  It's like lightning in a bottle.
[00:58:58.072 --> 00:59:01.593]  We all have days in which we just can't seem to perform at the level we'd like to.
[00:59:01.953 --> 00:59:09.696]  InfoWars Live Secret 12 is designed to naturally energize your body and mind with two great tasting and super high quality forms of vitamin B12.
[00:59:09.897 --> 00:59:14.719]  Proper vitamin and nutrient intake is essential to keep your body functioning at optimum levels.
[00:59:14.859 --> 00:59:15.599]  The reality is
[00:59:15.879 --> 00:59:20.345]  It's hard to take in the proper amount of vitamins we need each day with our modern diets.
[00:59:20.686 --> 00:59:28.236]  Secret 12 by Infowars Life is an easy way to naturally upgrade your vitamin B12 intake and support your body's natural systems.
[00:59:28.477 --> 00:59:32.903]  It pairs two forms of vitamin B12 into one explosive formula.
[00:59:33.163 --> 00:59:42.006]  Vitamin B12 supports healthy energy levels through red blood cell formation and aiding in the body's natural processes, but it also assists with many other functions of the body.
[00:59:42.206 --> 00:59:45.487]  Electrify your mind and body and take your health to the next level.
[00:59:45.747 --> 00:59:49.428]  Experience the power of Secret 12 at InfoWarsLife.com.
[00:59:49.648 --> 00:59:51.729]  That's InfoWarsLife.com.
[00:59:54.730 --> 01:00:00.632]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[01:00:11.830 --> 01:00:15.733]  If you are receiving this transmission, you are the resistance.
[01:00:16.673 --> 01:00:21.557]  From the front lines of the Information War, it's Alex Jones.
[01:00:41.345 --> 01:00:47.188]  Former Navy SEAL, great researcher, expert on radical Islam and the globalist operations.
[01:00:47.268 --> 01:00:48.369]  Matt Bracken is going to join us.
[01:00:48.389 --> 01:00:52.551]  And at the bottom of the hour, I'm opening the phones up for the rest of the next couple hours here.
[01:00:52.571 --> 01:00:55.232]  We've got a bunch of other hosts that are going to be coming in.
[01:00:55.712 --> 01:01:02.836]  Radio stations don't carry us past the fourth hour, but some TV stations and now some stations do pick up pieces of these larger
[01:01:04.011 --> 01:01:08.193]  Live broadcast, especially on election night and big coverage like that.
[01:01:08.233 --> 01:01:09.774]  We're very thankful for our affiliates out there.
[01:01:09.794 --> 01:01:10.554]  Please support them.
[01:01:11.294 --> 01:01:12.935]  But I will at the bottom of the hour open the phones up.
[01:01:13.435 --> 01:01:19.858]  DrugsReport.com is linked to a Paul Joseph Watson article I mentioned.
[01:01:19.878 --> 01:01:21.779]  So let me just go ahead and cover this right now.
[01:01:22.780 --> 01:01:26.401]  First off, BuzzFeed is reportedly $100 million in debt.
[01:01:28.991 --> 01:01:31.713]  BuzzFeed, just to show how they're failing but propped up like the New York Times.
[01:01:33.113 --> 01:01:37.836]  BuzzFeed had a reporter for months.
[01:01:41.518 --> 01:01:43.860]  I even got a call from one of our old shipping department guys.
[01:01:45.313 --> 01:01:49.855]  Matt, who was a great guy, he was getting married, they wanted to move back to Maine, that's why he left.
[01:01:50.256 --> 01:01:53.778]  He said he literally got like called 20 times until he was going to file a complaint for harassment.
[01:01:54.238 --> 01:01:56.739]  How much he was getting called by BuzzFeed.
[01:01:57.540 --> 01:02:05.544]  And I read this article they wrote, and it's literally 95% total made up crap.
[01:02:08.165 --> 01:02:12.368]  So they had a guy for months doing this just to, I guess, make it look like it's real.
[01:02:12.968 --> 01:02:14.789]  And then the weird little stories in there.
[01:02:16.459 --> 01:02:21.601]  That are just totally made up, but are so complex, you know, you even think it's real.
[01:02:22.041 --> 01:02:24.602]  And I pass it around to people that have been there and said, none of this is even true.
[01:02:27.483 --> 01:02:31.145]  The only thing true in there that I saw was that I buy people steak dinners and stuff.
[01:02:34.586 --> 01:02:37.728]  And I'm always buying office lunch every week or so.
[01:02:37.768 --> 01:02:41.029]  I just like doing it, you know, get catering in, nothing fancy.
[01:02:44.124 --> 01:02:45.085]  There was just nothing there.
[01:02:45.105 --> 01:02:50.228]  It was like, I'm obsessed with Rush Limbaugh, and I hate him, and I have a fake voice.
[01:02:53.069 --> 01:02:57.072]  I mean, I've openly said, I've criticized Limbaugh before, but I've said I hope he stays on air.
[01:02:57.692 --> 01:02:59.273]  I don't want to be in a time slot up against him.
[01:02:59.293 --> 01:03:01.134]  That's what GCN made me do 19 years ago.
[01:03:01.795 --> 01:03:06.998]  And I spent money on his show, and they were boycotting him, and led a movement for people to advertise to keep him afloat.
[01:03:07.718 --> 01:03:08.719]  Never got a thank you for it.
[01:03:10.762 --> 01:03:14.685]  Limbaugh, before he went deaf, he sounds great for the implants he's got.
[01:03:15.765 --> 01:03:19.207]  Sounded a very smooth, booming, nice voice.
[01:03:19.388 --> 01:03:20.949]  I have a raspy voice.
[01:03:21.049 --> 01:03:24.971]  I've been to the eye, nose, you know, throat doctor.
[01:03:27.753 --> 01:03:31.135]  And they said, yeah, you have big lesions on your larynx from screaming.
[01:03:31.656 --> 01:03:35.078]  Back when I used to scream at rallies without bullhorns to the point I'd cough up blood.
[01:03:36.758 --> 01:03:46.483]  I didn't have a very deep voice, wasn't a high voice, but all the bullhorning and not bullhorning and screaming that I've had to go to specialists now.
[01:03:48.784 --> 01:03:50.444]  And I've had sleep studies done too.
[01:03:50.504 --> 01:03:54.586]  I have obviously really bad sleep apnea because I have a big head, big chest.
[01:03:56.087 --> 01:03:59.168]  I've lost some weight, so it's a lot better than it used to be, but I was really bad.
[01:03:59.189 --> 01:04:02.510]  I had oxygen like 64% sometimes, quit breathing quite a bit.
[01:04:06.761 --> 01:04:10.083]  You know, you know all this and you're reading where you have a fake voice.
[01:04:10.723 --> 01:04:12.465]  I mean, I may have to have surgery.
[01:04:13.785 --> 01:04:16.427]  Because my ragged, torn up voice about five years ago was kind of cool.
[01:04:17.228 --> 01:04:22.451]  Now I've lost control of range and it's getting deeper and more raspy and more torn up.
[01:04:22.511 --> 01:04:24.472]  I have like an 85 year old's larynx.
[01:04:29.795 --> 01:04:34.098]  And then it said, re-engineer the sound to make me gruffer.
[01:04:36.144 --> 01:04:36.824]  I've told them.
[01:04:37.785 --> 01:04:39.045]  CJ, get ready when we come back.
[01:04:40.046 --> 01:04:47.749]  I've told CJ, who's one of our great engineers, and Wes, over and over again, make me less rough and less raspy.
[01:04:48.790 --> 01:04:51.691]  And Nico, when he got hired, was honest and said he thinks my voice is grating.
[01:04:51.751 --> 01:04:52.591]  I've said that over and over again.
[01:04:53.032 --> 01:04:54.092]  I don't like my voice.
[01:04:55.193 --> 01:04:56.793]  Some people do, women particularly.
[01:04:57.654 --> 01:04:58.654]  But I don't like it.
[01:04:58.794 --> 01:04:59.835]  This is my voice.
[01:05:08.852 --> 01:05:09.593]  What is going on?
[01:05:09.713 --> 01:05:10.995]  We're all Russian agents.
[01:05:11.015 --> 01:05:12.456]  We're all... I mean, I support Trump.
[01:05:12.757 --> 01:05:14.459]  I get the missile attack made him look strong.
[01:05:15.019 --> 01:05:21.407]  I'm just saying I don't believe the chemical attack was facade because they've caught the rebels doing it before and they don't have any proof he did it.
[01:05:21.467 --> 01:05:22.588]  I'm not even attacking Trump.
[01:05:22.928 --> 01:05:25.772]  In fact, in a Machiavellian way, I'm saying, okay, you blew up an empty airfield and
[01:05:26.312 --> 01:05:27.633]  Shut them up about how you're a Russian agent.
[01:05:27.673 --> 01:05:28.874]  I kind of sickly support it.
[01:05:28.934 --> 01:05:29.474]  I've admitted that.
[01:05:29.494 --> 01:05:34.258]  Kind of becoming like Machiavelli, because now we've got a guy in there doing their own tricks against them.
[01:05:34.338 --> 01:05:37.240]  But I'm just saying, how do we know Assad did it?
[01:05:37.480 --> 01:05:40.302]  And now in newspapers everywhere, I am an Assad agent.
[01:05:40.943 --> 01:05:41.843]  We're together!
[01:05:42.644 --> 01:05:43.044]  Look at us!
[01:05:43.705 --> 01:05:45.166]  Gavin, are you getting orders from Assad?
[01:05:45.846 --> 01:05:47.707]  Yeah, I was just talking to him on the phone right now.
[01:05:47.747 --> 01:05:50.989]  He's actually here via Skype on the other TV.
[01:05:51.269 --> 01:05:53.931]  But my thing with that is I go, I don't care.
[01:05:53.951 --> 01:05:55.612]  I don't care if it was actors.
[01:05:55.792 --> 01:05:56.952]  I don't care if they just had kids.
[01:05:56.992 --> 01:05:57.513]  Go like that.
[01:05:58.093 --> 01:06:04.477]  The big picture is that the world saw a bad thing, so the big man has to go boom on the bad thing.
[01:06:04.857 --> 01:06:06.418]  And now women respect him.
[01:06:07.119 --> 01:06:08.821]  Here in America, they go, oh, the patriarchy is back.
[01:06:08.841 --> 01:06:11.464]  Because we know feminists deep down want the patriarchy.
[01:06:11.764 --> 01:06:16.590]  Obama's legacy is obliterated because he said he would draw a line in the sand and he got cucked.
[01:06:17.071 --> 01:06:18.032]  So that's awesome.
[01:06:18.052 --> 01:06:20.115]  He's killed, as you say, the Russian theory.
[01:06:20.395 --> 01:06:23.980]  I think the neocons even are getting too much hubris, too confident.
[01:06:24.000 --> 01:06:24.981]  They're going to be wiped out.
[01:06:26.562 --> 01:06:31.105]  And the biggest picture is these terrorists are absolute animals.
[01:06:31.425 --> 01:06:32.905]  They dismember our soldiers.
[01:06:33.125 --> 01:06:34.906]  They tear out beating hearts and eat them.
[01:06:35.166 --> 01:06:40.029]  They sell fingers and the market there for as war trophies.
[01:06:40.069 --> 01:06:44.491]  There's literally a market for body parts just as accoutrements.
[01:06:45.051 --> 01:06:46.571]  So, we don't negotiate with them.
[01:06:46.591 --> 01:06:48.252]  We don't send them democracy.
[01:06:48.492 --> 01:06:50.512]  We just scare them with huge fireworks.
[01:06:50.772 --> 01:06:54.793]  They dropped this twenty-something thousand pound bomb and it kills them all.
[01:06:54.813 --> 01:06:58.874]  I mean, that's a, finally, and then they say, oh, he wants a military dictatorship.
[01:06:58.914 --> 01:07:01.155]  He says, I've given them total authorization.
[01:07:01.495 --> 01:07:04.776]  There was this, to carry out his constitutional orders.
[01:07:05.256 --> 01:07:08.797]  This micromanaging, call Obama, and he would never answer the phone.
[01:07:09.037 --> 01:07:11.237]  Sir, we have, we have been logged in the sites.
[01:07:11.257 --> 01:07:11.777]  We can't kill him.
[01:07:12.097 --> 01:07:12.617]  Oh, you, yeah.
[01:07:12.958 --> 01:07:13.798]  I mean, this is crazy.
[01:07:13.838 --> 01:07:14.518]  Gavin, what do you make of that?
[01:07:15.118 --> 01:07:16.559]  I think we crippled our guys over there.
[01:07:16.599 --> 01:07:19.980]  I was talking to Terry Shepard recently and I said, how do we win this war?
[01:07:20.020 --> 01:07:21.741]  And he goes, let us do our job.
[01:07:22.261 --> 01:07:25.983]  I mean, right now they've got RPGs and they go, we're getting shot at from a mosque.
[01:07:26.023 --> 01:07:26.423]  What do we do?
[01:07:26.443 --> 01:07:27.464]  And they've got to call up.
[01:07:27.784 --> 01:07:35.327]  I talked to one vet who told me, he said, our guy had to pretend he misunderstood in order to save our lives because they were shooting from the mosque.
[01:07:35.347 --> 01:07:36.728]  And the guy said, don't shoot the mosque.
[01:07:36.748 --> 01:07:37.888]  He said, what was that?
[01:07:37.948 --> 01:07:38.128]  What?
[01:07:38.228 --> 01:07:39.129]  Shoot the mosque?
[01:07:39.189 --> 01:07:39.709]  Oh, what?
[01:07:40.726 --> 01:07:42.727]  And they took out the guys that were trying to kill them.
[01:07:43.088 --> 01:07:46.350]  We've got to let our dogs loose on these boys.
[01:07:46.690 --> 01:07:50.952]  I want the terrorists to be going, who, who, who, who let the dogs out?
[01:07:51.853 --> 01:07:54.415]  As we just roar through the Middle East.
[01:07:54.455 --> 01:07:55.635]  Short, sharp shock, by the way.
[01:07:55.655 --> 01:07:56.536]  I don't want to quagmire.
[01:07:56.636 --> 01:07:59.298]  I want to just get in and get out and scare the crap out of them.
[01:08:09.818 --> 01:08:11.242]  Live from Austin, TX.
[01:08:11.323 --> 01:08:12.827]  Broadcasting Worldwide.
[01:08:14.344 --> 01:08:14.805]  That's right.
[01:08:15.085 --> 01:08:15.785]  Big Brother.
[01:08:16.226 --> 01:08:17.947]  Mainstream media.
[01:08:18.027 --> 01:08:18.788]  Government cover-ups.
[01:08:19.929 --> 01:08:21.350]  You want to stop tyranny?
[01:08:21.610 --> 01:08:22.771]  Well, so does he.
[01:08:23.292 --> 01:08:29.077]  Live from the InfoWars.com studios, it's Alex Jones.
[01:08:29.117 --> 01:08:32.840]  We are into hour number 25 of the global 30-hour transmission.
[01:08:33.501 --> 01:08:39.986]  And then this morning, Nico and others pointed out, you know, we do that 3 to 5 show that's beta testing and training folks to go live on radio and TV.
[01:08:40.226 --> 01:08:41.608]  That's just Facebook and YouTube only.
[01:08:43.050 --> 01:08:44.271]  And then we got the nightly news coming up.
[01:08:44.311 --> 01:08:45.752]  Let's just go right through to 8 o'clock.
[01:08:45.792 --> 01:08:49.195]  And I said, you guys have barely slept, you guys and gals, but let's do it.
[01:08:50.216 --> 01:08:55.201]  By the way, Bill Nye, the science guy, came out last week on his show, Bill Nye Saves the World.
[01:08:55.241 --> 01:08:56.141]  Of course, he's our savior.
[01:08:56.161 --> 01:08:57.062]  Just pay him carbon taxes.
[01:08:57.563 --> 01:09:00.245]  Saying, arrest people that disagree with man-made climate change.
[01:09:00.265 --> 01:09:02.247]  Well, we don't agree if there's climate change.
[01:09:02.507 --> 01:09:03.027]  We do agree.
[01:09:03.047 --> 01:09:04.929]  We're just not saying most of it's man-made.
[01:09:05.569 --> 01:09:07.311]  Now they've edited his latest episode.
[01:09:07.351 --> 01:09:08.332]  We have clips of that coming up.
[01:09:09.568 --> 01:09:10.408]  I'll play that this hour.
[01:09:11.949 --> 01:09:13.449]  Get ready for this, ladies and gentlemen.
[01:09:14.770 --> 01:09:26.814]  Bill Nye, the science guy, edited it out in the second airing of it, and edited it on your TiVos, you can go in and do this, and on your DVRs, where they said that chromosomes determine the sex.
[01:09:28.014 --> 01:09:33.656]  So that's transphobic to say that chromosomes create sex.
[01:09:34.016 --> 01:09:35.957]  No, it's in your mind, you see.
[01:09:36.757 --> 01:09:38.378]  So it's hurtful to say this is happening.
[01:09:39.531 --> 01:09:41.553]  By the way, my mic suddenly sounds different.
[01:09:41.973 --> 01:09:45.477]  I don't normally talk about myself, but we're under such attack, we have to actually say the truth.
