[00:00:05.572 --> 00:00:17.396]  He never gives up.
[00:35:51.889 --> 00:35:53.010]  We really need your support.
[00:35:53.070 --> 00:35:54.311]  You are our army.
[00:35:54.491 --> 00:35:56.634]  We don't take fat checks from George Soros.
[00:35:56.654 --> 00:36:00.457]  We don't take giant payoffs from pharmaceutical companies.
[00:36:00.497 --> 00:36:05.202]  We don't take money from Gulf State dictatorships like fake news CNN does.
[00:36:05.582 --> 00:36:08.985]  We rely only on you getting the products at InfoWarsStore.com.
[00:36:09.346 --> 00:36:11.247]  DNA Force about to sell out.
[00:36:11.287 --> 00:36:12.288]  Get yours today.
[00:36:12.388 --> 00:36:13.409]  InfoWarsLife.com.
[00:36:15.404 --> 00:36:19.526]  Now sticking with the French news just for a couple of minutes here, then we'll move on to other news.
[00:36:20.527 --> 00:36:36.637]  What we also saw last night after Macron's victory was Syrians, Syrian migrants at his rallies, at his celebration rallies in France, waving not the Syrian flag, waving the rebel jihadist flag.
[00:36:37.077 --> 00:36:52.509]  Now let me explain the difference between the Syrian national flag and the rebel jihadist flag because there are certain journalists on Twitter who don't know the difference yet try and lecture me and claim I'm lying and claim I'm fake news for pointing out the difference.
[00:36:52.549 --> 00:36:53.951]  In fact, let's throw up that tweet.
[00:36:54.011 --> 00:36:55.412]  I sent you the tweet before the show.
[00:36:55.932 --> 00:37:01.437]  We have a journalist called Richard Chambers tweeting after I drew attention to the fact that
[00:37:02.057 --> 00:37:03.939]  Macron supporters were celebrating.
[00:37:03.959 --> 00:37:04.619]  There's his tweet.
[00:37:04.639 --> 00:37:13.306]  Now if you go and click on my original tweet there, you can see, if you click on the original tweet right there, this is the image that I posted on Twitter earlier today.
[00:37:13.346 --> 00:37:17.089]  You can see that is the rebel FSA flag.
[00:37:17.170 --> 00:37:24.936]  That is the opposition jihadist sympathising group in Syria, the ones who defected to, the ones who gave all their weapons to ISIS.
[00:37:24.976 --> 00:37:26.357]  That is their flag.
[00:37:27.952 --> 00:37:31.254]  That is at a Macron rally in the immediate aftermath of the French election.
[00:37:31.274 --> 00:37:38.698]  Now you go back to his tweet, bearing in mind that this is not the Syrian national flag, this is the FSA rebel flag.
[00:37:39.158 --> 00:37:44.401]  You go back to the journalist's tweet, if you click back on the page there you can see what he said.
[00:37:46.411 --> 00:37:48.893]  He said this is, of course, the Syrian national flag.
[00:37:49.293 --> 00:37:50.534]  Liar's gonna lie!
[00:37:51.034 --> 00:37:54.757]  Well, Richard Chambers, it's not the Syrian national flag.
[00:37:54.797 --> 00:37:58.620]  If you scroll down, I actually explain what the difference is.
[00:37:58.700 --> 00:38:01.302]  On the left you see the Syrian national flag.
[00:38:01.342 --> 00:38:05.165]  That is the flag of the Syrian government currently in control in Syria.
[00:38:05.505 --> 00:38:13.514]  The flag on the right is the FSA opposition rebel flag, not the official Syrian national flag.
[00:38:13.894 --> 00:38:18.840]  Even the United Nations on their own website says that it's not the Syrian national flag.
[00:38:19.681 --> 00:38:21.162]  So this guy is lying.
[00:38:21.483 --> 00:38:27.069]  He's literally putting out fake news while accusing me of lying and putting out fake news.
[00:38:28.809 --> 00:38:36.655]  Of course, this was retweeted by a bunch of verified liberals, as we call them on Twitter, you know, claiming they had the moral high ground.
[00:38:36.675 --> 00:38:37.096]  They're right.
[00:38:37.156 --> 00:38:46.684]  Oh my God, I've been caught red-handed putting out fake news by claiming that this flag, which is not the Syrian national flag, is not the Syrian national flag.
[00:38:47.324 --> 00:38:49.386]  I'm lying by telling the truth.
[00:38:50.687 --> 00:38:55.211]  I mean, they claimed that the Syrian national flag, that this was it.
[00:38:56.212 --> 00:39:03.280]  That this was the SNC flag, even though the SNC, the Syrian National Council, is not even based in Syria!
[00:39:03.780 --> 00:39:08.966]  It's based in Istanbul, and yet they're still claiming that this is the French national flag.
[00:39:09.066 --> 00:39:13.831]  And I point that out to him in the tweet, as did hundreds and hundreds of other people.
[00:39:14.292 --> 00:39:14.592]  But again...
[00:39:15.546 --> 00:39:16.626]  Is he going to delete the tweet?
[00:39:16.667 --> 00:39:18.147]  Is he going to issue a retraction?
[00:39:18.347 --> 00:39:18.547]  No.
[00:39:19.008 --> 00:39:22.209]  It's going to stay up there because these people are liars.
[00:39:22.269 --> 00:39:28.532]  They're putting out fake news while simultaneously accusing me of being a liar and putting out fake news.
[00:39:29.653 --> 00:39:32.395]  Well, you know, hundreds of people have probably retweeted that by now.
[00:39:32.796 --> 00:39:33.876]  They can snigger about it.
[00:39:33.936 --> 00:39:37.740]  Oh my God, I've been caught pointing out fake news when they're the ones literally doing that.
[00:39:38.280 --> 00:39:40.242]  That is not the Syrian national flag.
[00:39:40.482 --> 00:39:43.724]  The Syrian national flag is red, white and black.
[00:39:43.784 --> 00:39:45.946]  It's not green, white and black, okay?
[00:39:46.246 --> 00:39:47.347]  That's the rebel flag.
[00:39:47.407 --> 00:39:53.032]  Those are the moderates, you know, the people that behead Christians and tear out hearts and eat them on camera.
[00:39:53.252 --> 00:39:54.753]  The moderates, yeah, those people.
[00:39:54.873 --> 00:39:55.634]  That's their flag.
[00:39:55.914 --> 00:39:57.215]  Not the Syrian national flag.
[00:39:57.275 --> 00:39:59.437]  Again, it's not the Syrian national flag.
[00:39:59.757 --> 00:40:01.458]  Yet this guy is not going to retract.
[00:40:01.939 --> 00:40:03.060]  He's just going to leave it up there.
[00:40:03.380 --> 00:40:09.945]  Well, good luck to him because there are hundreds of people right now pointing out that he's the one putting out fake news.
[00:40:10.185 --> 00:40:15.169]  Absolutely incredible the lengths that they will go to to deny what's going on.
[00:40:16.910 --> 00:40:19.332]  Let's stick to some more France news before we move on now.
[00:40:19.672 --> 00:40:22.715]  One third of French voters spoil ballots or abstain.
[00:40:22.735 --> 00:40:23.735]  This is out of AFP.
[00:40:24.972 --> 00:40:29.103]  A third of French voters declined to choose between centrism and, again, centrist.
[00:40:30.885 --> 00:40:35.628]  You're not a centrist, you're literally a bureaucrat in the far-left socialist government.
[00:40:36.229 --> 00:40:41.532]  Declined to choose between Macron and far-right leader Marine Le Pen, who is not even far-right in many issues.
[00:40:41.572 --> 00:40:47.336]  She's actually left-wing, especially economically, but, you know, we don't do nuance, do we, anymore, no.
[00:40:47.616 --> 00:40:48.797]  Far-right, demonize.
[00:40:48.977 --> 00:40:50.338]  Racist, fascist, demonize.
[00:40:50.358 --> 00:40:51.479]  We don't do nuance anymore.
[00:40:51.699 --> 00:40:56.482]  We don't point out actual facts or dig an inch below the surface, because that doesn't fit our narrative.
[00:40:57.503 --> 00:41:03.629]  So, a third either abstained or spoiled their ballots, which is a record rate in nearly half a century.
[00:41:04.029 --> 00:41:11.916]  According to official results, more than 80% of votes counted, the abstention rate stood at nearly 25%, the highest since 1969.
[00:41:12.176 --> 00:41:21.765]  In addition, they reported a record number of blank and invalid ballots, accounting for 9% of all registered voters, compared to 2% in the first round.
[00:41:22.205 --> 00:41:22.606]  So almost 10%
[00:41:24.440 --> 00:41:30.704]  Of all registered voters in France, spoiled their ballots or just submitted it blank.
[00:41:31.865 --> 00:41:36.347]  So you want to try and claim that this Macron globalist has a mandate.
[00:41:36.367 --> 00:41:38.408]  10% of people who voted spoiled their ballots.
[00:41:38.989 --> 00:41:45.072]  Obviously they don't have to be Le Pen supporters to be opposed to him and his agenda, which you see today.
[00:41:45.133 --> 00:41:46.814]  They're out on the streets again.
[00:41:47.394 --> 00:41:48.635]  Not Le Pen supporters.
[00:41:49.674 --> 00:41:56.499]  Unionists, left-wingers are out on the streets, major French cities, rioting, attacking cops, burning stuff.
[00:41:57.020 --> 00:42:03.385]  As they did before the election, as they will continue to do so, because that is the new France.
[00:42:04.405 --> 00:42:10.370]  And the French people, at least enough of them, have voted for a continuation of that situation.
[00:42:11.331 --> 00:42:11.851]  Good luck.
[00:42:12.332 --> 00:42:13.092]  Good luck, France.
[00:42:13.152 --> 00:42:18.056]  I hope you're enjoying those 21 jihadist attacks in the past two and a half years.
[00:42:18.096 --> 00:42:18.737]  Good luck with that.
[00:42:20.057 --> 00:42:22.098]  Infowars.com story video.
[00:42:22.358 --> 00:42:25.579]  Italian reporter attacked by migrants on live television.
[00:42:26.159 --> 00:42:28.580]  You can go and watch the video in the article.
[00:42:28.620 --> 00:42:30.441]  It's all in Italian, so I'll describe it.
[00:42:30.921 --> 00:42:36.803]  Shock video out of Italy shows a female reporter fleeing in panic after being attacked by migrants on live television.
[00:42:37.564 --> 00:42:43.206]  So she goes down to the local train station there in Rome to give a report on the situation.
[00:42:43.246 --> 00:42:48.408]  You see migrants sleeping on mattresses in the background, as you see in many French cities now.
[00:42:49.608 --> 00:42:51.429]  She was assaulted almost immediately.
[00:42:51.469 --> 00:42:54.491]  So you hear the feed cut for the live broadcast.
[00:42:54.652 --> 00:42:55.572]  She's assaulted.
[00:42:56.313 --> 00:42:58.134]  The people in the studio begin to panic.
[00:42:58.174 --> 00:42:59.195]  They say, call the police.
[00:42:59.215 --> 00:43:03.157]  She comes back briefly and says in Italian, we were attacked.
[00:43:03.237 --> 00:43:04.018]  We were attacked.
[00:43:04.859 --> 00:43:08.501]  Then this migrant tries to attack her and her cameraman again.
[00:43:08.961 --> 00:43:10.142]  She says, what do you want?
[00:43:10.182 --> 00:43:10.923]  Are you crazy?
[00:43:12.076 --> 00:43:15.579]  She lets out a loud scream and then the footage ends.
[00:43:16.180 --> 00:43:21.164]  Oh my God, states the host of the show before again instructing his production teams to call the police.
[00:43:21.824 --> 00:43:32.313]  The migrant attempted to violently assault both Paris Ellen and her cameraman, but both were rescued by a passing taxi driver who bundled them to safety inside his car and called the police.
[00:43:33.649 --> 00:43:46.322]  They later identified the attacker as a 37-year-old from the Ivory Coast with no document or residency permit, who authorities had ordered deported back in September last year.
[00:43:47.984 --> 00:43:54.851]  Of course, he's still in the country, not deported, nothing whatsoever has happened to him, now he's free to attack and assault anyone else.
[00:43:55.973 --> 00:43:58.994]  Again, why are these migrants arriving in Italy?
[00:43:59.054 --> 00:44:12.681]  Because the EU and NGOs backed by big leftist conglomerates are literally providing a sea taxi service to go and pick up migrants 12 miles off the coast of Libya.
[00:44:13.381 --> 00:44:19.984]  They literally get into contact with criminal people smugglers who say we have a boatload of migrants ready.
[00:44:20.344 --> 00:44:20.785]  Many of them
[00:44:21.545 --> 00:44:22.526]  Not even from Libya.
[00:44:23.186 --> 00:44:26.329]  None of them from Syria, but most of them not even from Libya.
[00:44:26.349 --> 00:44:29.572]  They're from Eritrea, they're from Ivory Coast, they're from these other countries.
[00:44:30.372 --> 00:44:32.294]  None of which have a migrant crisis.
[00:44:32.814 --> 00:44:34.536]  None of which are being bombarded.
[00:44:35.296 --> 00:44:37.458]  None of whom these people are fleeing war.
[00:44:38.459 --> 00:44:41.240]  And almost none of whom are women and children.
[00:44:41.520 --> 00:44:54.145]  But they get on the phone to the criminal people smugglers, they say, we've got another boatload, the EU, the NGOs literally sail all the way out to 12 miles off the coast of Libya, pick them up, dump them in Italy.
[00:44:54.465 --> 00:44:58.167]  Nowhere for them to go, so they just sleep under the train station.
[00:44:58.667 --> 00:45:03.589]  And then it leads to situations like this, where they're physically, violently attacking women.
[00:45:04.289 --> 00:45:06.130]  The process goes on and on and on.
[00:45:07.472 --> 00:45:14.600]  Gateway Pundit reports, horror in Germany woman breaks both legs after migrant hurls her out of a window for refusing sex.
[00:45:15.921 --> 00:45:23.249]  An asylum seeker in Germany is accused of throwing a woman out of a window and breaking both her legs, that's cultural enrichment, after she refused to have sex with him.
[00:45:24.949 --> 00:45:33.835]  Dawat A allegedly drank beer and vodka out of a refugee centre in Bensheim before threatening a woman identified only as Turhat 26 with a broken bottle.
[00:45:34.775 --> 00:45:39.539]  The prosecution said he was furious because he wanted to have sex and she refused him.
[00:45:40.119 --> 00:45:40.719]  Listen to this.
[00:45:41.920 --> 00:45:47.324]  When I kept saying no, the victim said, he raised me up like a child, carried me to the window and dropped me.
[00:45:48.772 --> 00:45:53.635]  Dowett claimed he is being held for no reason and that life has been unfair.
[00:45:53.975 --> 00:45:55.176]  Oh, poor baby!
[00:45:55.736 --> 00:46:00.039]  Life has been so unfair that means you can go rape women and throw them out of windows.
[00:46:00.679 --> 00:46:01.519]  Uh, no it doesn't.
[00:46:01.639 --> 00:46:03.661]  Not in a civilised society, thank you very much.
[00:46:04.521 --> 00:46:06.862]  But life has been unfair since he came to Germany in 2014.
[00:46:06.942 --> 00:46:10.064]  He previously sexually assaulted a 17-year-old girl!
[00:46:12.560 --> 00:46:14.420]  So it's not the first time it's happened again.
[00:46:14.961 --> 00:46:19.361]  You go and watch the videos, you go and talk to those migrants in Paris, in other French cities.
[00:46:19.401 --> 00:46:23.042]  They believe they should be given apartments, jobs, welfare for life.
[00:46:23.482 --> 00:46:28.363]  They find out that's not the reality that they've been told by the people smugglers.
[00:46:29.424 --> 00:46:33.984]  And they think they have a genuine grievance that allows them to go out and rape and kill women.
[00:46:34.004 --> 00:46:35.285]  Because that's reasonable.
[00:46:35.685 --> 00:46:36.825]  That's reasonable, isn't it?
[00:46:37.505 --> 00:46:38.725]  Life has been unfair.
[00:46:39.686 --> 00:46:40.746]  Absolutely incredible.
[00:46:41.325 --> 00:46:49.888]  And again, Macron said, celebrated the policy of importing Muslim migrants six months after the Nice attacks.
[00:46:50.549 --> 00:46:51.809]  It continues to get worse.
[00:46:51.869 --> 00:46:53.830]  We see these stories every single day.
[00:46:54.210 --> 00:46:55.131]  There's no end to it.
[00:46:55.471 --> 00:46:58.892]  With the summer months coming, it's only going to continue.
[00:47:00.092 --> 00:47:08.196]  Meanwhile, in America, shock video, elderly woman attacked block boys pool party in Florida, thrown into pool with her dogs.
[00:47:09.113 --> 00:47:25.405]  And this is quite interesting because more people were concerned about the dogs who were not thrown into the pool or assaulted, but an elderly white woman was slammed to the ground, then thrown into a pool along with her dogs on Saturday after she politely asked a mob of partygoers in South Florida to lower their music.
[00:47:26.306 --> 00:47:29.148]  Now you can go to the article and watch the video.
[00:47:29.328 --> 00:47:29.848]  Here it is.
[00:47:30.729 --> 00:47:32.430]  So he picks her up to throw her in the pool.
[00:47:32.510 --> 00:47:33.290]  Oh, but he slips.
[00:47:33.690 --> 00:47:35.071]  So they said, oh, that's OK.
[00:47:35.291 --> 00:47:40.413]  The guy who picked her up to assault her and throw her in the pool didn't mean to body slam her.
[00:47:40.633 --> 00:47:41.514]  He just slipped.
[00:47:42.354 --> 00:47:43.835]  Oh, that makes it OK then.
[00:47:44.495 --> 00:47:45.175]  No, that's fine.
[00:47:46.636 --> 00:47:49.317]  That was literally the response from people on Twitter.
[00:47:50.517 --> 00:47:54.939]  So when he slipped, she cracked her head on the concrete, concussed.
[00:47:55.719 --> 00:47:56.620]  She nearly drowned.
[00:47:58.496 --> 00:48:00.497]  Again, reverse the tables.
[00:48:00.717 --> 00:48:07.178]  If this was a group of white people assaulting an elderly black woman, it would be a national news story, and rightly so.
[00:48:07.738 --> 00:48:08.098]  This?
[00:48:09.259 --> 00:48:11.339]  Barely even a news story at all.
[00:48:12.059 --> 00:48:13.380]  They haven't caught the culprit.
[00:48:14.000 --> 00:48:15.820]  It's obviously some kind of hate crime.
[00:48:16.120 --> 00:48:17.041]  It's all over Twitter.
[00:48:17.301 --> 00:48:21.522]  When it was originally on Twitter, people were celebrating it and saying how funny it was.
[00:48:23.325 --> 00:48:24.525]  And then you had the excuses.
[00:48:24.645 --> 00:48:28.126]  Oh, he didn't mean to body slam her, he just slipped and cracked her head open.
[00:48:28.426 --> 00:48:29.246]  Oh, that's fine then.
[00:48:30.126 --> 00:48:33.087]  Before dumping her in the swimming pool, nearly drowning her.
[00:48:33.167 --> 00:48:34.627]  Oh, that's perfectly okay then again.
[00:48:35.588 --> 00:48:38.048]  Roles were reversed, it would be a national news story.
[00:48:38.088 --> 00:48:40.409]  It's barely even a news story.
[00:48:42.989 --> 00:48:46.650]  Information Liberation reports, soon the White Devils will be exterminated.
[00:48:47.490 --> 00:48:50.111]  DC ISIS sympathiser arrested buying AK-47 for race war.
[00:48:52.383 --> 00:48:54.004]  We've talked about this over and over again.
[00:48:54.784 --> 00:49:00.646]  We've seen it with the individual who shot the Dallas Cops, Xavier Johnson.
[00:49:00.726 --> 00:49:02.167]  Again, he wanted a race war.
[00:49:02.187 --> 00:49:03.267]  He hated white people.
[00:49:03.327 --> 00:49:12.871]  He was radicalized by this cutesy, trendy, anti-white racism that the dominant leftist media and cultural institutions have legitimized.
[00:49:13.051 --> 00:49:20.294]  It's creating actual, fringe, violent, radical people who are now actually sympathizing with ISIS.
[00:49:20.894 --> 00:49:22.255]  Talk about it over and over again.
[00:49:22.355 --> 00:49:28.920]  ISIS training manual, ISIS propaganda manual they put out saying the left shares most of our goals.
[00:49:29.360 --> 00:49:32.982]  Why don't we just start recruiting them and turning them into violent jihadists?
[00:49:34.223 --> 00:49:35.844]  This is what's happened in this case.
[00:49:35.904 --> 00:49:47.913]  A Muslim black nationalist and ISIS sympathiser was busted by the FBI last week in Washington DC buying an AK-47 to allegedly attack white devils and start a race war.
[00:49:49.133 --> 00:49:52.355]  I wonder why the national media is ignoring this story.
[00:49:53.456 --> 00:49:59.999]  NBC Washington reports a DC resident who sympathized with ISIS bought an automatic weapon that he wanted to use to start a race war.
[00:50:00.380 --> 00:50:06.843]  Clark Galloway was arrested Thursday after he arranged to buy an AK-47 from an FBI informant, court documents say.
[00:50:08.204 --> 00:50:11.987]  He posted on Facebook, soon the great killing will commence.
[00:50:13.072 --> 00:50:15.753]  And again he targeted white people.
[00:50:16.133 --> 00:50:18.814]  That was his motivation, his hatred for white people.
[00:50:19.654 --> 00:50:26.997]  He friended several hundred Islamic State fighters and sympathizers, joined ISIS Facebook groups and posted pro-ISIS propaganda.
[00:50:29.278 --> 00:50:32.659]  He had two Facebook accounts, one related to his extremist racial views.
[00:50:33.380 --> 00:50:36.241]  Oh, he kept them separate, and one related to his pro-ISIS views.
[00:50:36.681 --> 00:50:40.803]  So this is a guy who was literally trying to be some pocket violent revolutionary.
[00:50:41.243 --> 00:50:45.945]  Again, you see that fusion between black militant groups and ISIS.
[00:50:47.466 --> 00:50:55.809]  Bearing in mind the ideological guru behind Black Lives Matter is a convicted cop killing terrorists, it all begins to make sense.
[00:50:55.869 --> 00:50:58.089]  We'll be back with the final segment of this hour.
[00:50:58.110 --> 00:50:59.450]  It's the Alex Jones Show Live.
[00:51:03.071 --> 00:51:04.531]  Vitamin Mineral Fusion.
[00:51:04.671 --> 00:51:07.092]  Visit Infowarslife.com to secure your chemistry.
[00:51:07.252 --> 00:51:14.554]  We have worked for years with our chemists and scientists to create the most powerful and affordable, great-tasting multivitamin formula available.
[00:51:14.754 --> 00:51:25.056]  Vitamin Mineral Fusion Drink Mix at Infowarslife.com is loaded with a full month's supply of essential vitamins, minerals, and amino acids that your body absolutely needs.
[00:51:25.396 --> 00:51:32.999]  In the history of InfoWars Life, we've brought out a lot of amazing products like Survival Shield X2, Super Mel Vitality, and so many others.
[00:51:33.220 --> 00:51:43.204]  With its unique delivery system and proprietary manufacturing process designed for maximized effects, this formula is the platinum standard of multivitamin mineral products.
[00:51:43.444 --> 00:51:45.365]  And this part is most important.
[00:51:45.505 --> 00:51:51.968]  The ingredients in vitamin mineral fusion are either plant-derived or of the highest quality lab standard.
[00:51:52.308 --> 00:51:53.369]  That means it's clean.
[00:51:53.749 --> 00:51:54.730]  That means it's pure.
[00:51:54.870 --> 00:51:57.693]  And rest secured, you're fighting the tip of the spear in the InfoWars.
[00:51:57.773 --> 00:52:00.375]  That's InfoWarsLive.com and Vitamin Mineral Fusion.
[00:52:00.575 --> 00:52:02.197]  Take action now before we sell out.
[00:52:03.200 --> 00:52:09.263]  Anthropogenic globalists have won the French presidential election, with Macron becoming the youngest French president ever.
[00:52:09.323 --> 00:52:13.145]  Macron won in a landslide, thanks to many simply voting against Le Pen.
[00:52:13.325 --> 00:52:15.966]  Macron was elected despite mere hours before the election.
[00:52:16.186 --> 00:52:22.909]  Leaked documents revealed Macron would cater to Islam, Antifa, the EU, as well as his own personal offshore bank accounts.
[00:52:23.089 --> 00:52:25.151]  There will be no investigating into the U.S.
[00:52:25.231 --> 00:52:29.856]  meddling in the French election, despite Barack Obama and seemingly every major U.S.
[00:52:29.916 --> 00:52:34.280]  news network endorsing Macron and labeling Le Pen racist and extremist.
[00:52:34.420 --> 00:52:41.487]  The fake corporate news continues to push Le Pen as racist, as Bernie Sanders has chimed in saying France rejected racism and xenophobia.
[00:52:41.607 --> 00:52:46.032]  But the cruelest irony of all this is the victory cries of Vive la France.
[00:52:46.312 --> 00:52:50.297]  Even though it is not refuted that Le Pen was the nationalist candidate.
[00:52:50.457 --> 00:52:51.879]  They cheer hooray for France.
[00:52:52.120 --> 00:52:53.001]  Long live France!
[00:52:53.261 --> 00:52:59.669]  As this election will likely mark the end of France and it is a victory for the globalist European Union, not France.
[00:52:59.849 --> 00:53:02.312]  For InfoWars.com, this is Owen Schroer.
[00:53:02.913 --> 00:53:11.939]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting 100% organic coffee on the planet.
[00:53:11.999 --> 00:53:20.245]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:53:20.405 --> 00:53:25.088]  We have now managed to secure the sought-after beans in a highly customized blend.
[00:53:25.288 --> 00:53:31.994]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[00:53:32.075 --> 00:53:39.161]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[00:53:39.261 --> 00:53:46.128]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[00:53:46.288 --> 00:53:50.572]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[00:53:50.752 --> 00:53:53.993]  Available in original or with our immune support infusion blend.
[00:53:54.133 --> 00:54:00.274]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[00:54:00.414 --> 00:54:02.115]  Available at Infowarslife.com.
[00:54:02.135 --> 00:54:15.118]  From deep in the heart of Texas, broadcasting worldwide.
[00:54:16.038 --> 00:54:18.882]  With our London offices and the amazing Paul Joseph Watson.
[00:54:19.442 --> 00:54:21.124]  Follow him on Twitter, at Prison Planet.
[00:54:21.925 --> 00:54:23.127]  I'm at RealAlexJones.
[00:54:23.787 --> 00:54:27.993]  I'm getting more active on Twitter, not just pushing our stories and videos out, but a lot of my original thought.
[00:54:28.013 --> 00:54:32.158]  I'm gonna start getting on Periscope more, getting it loaded on my phone today, where I can, uh...
[00:54:33.937 --> 00:54:38.681]  Interact personally, without even having a camera person there, as much as possible.
[00:54:39.061 --> 00:54:41.003]  So be sure to follow me at RealAlexJones.
[00:54:41.644 --> 00:54:46.308]  We have gotten more of the Super Blue Fluoride Free Toothpaste with Iodine and Colloidal Silver back in.
[00:54:46.928 --> 00:54:49.670]  It's available, it's concentrated at InfowarsStore.com.
[00:54:50.031 --> 00:54:51.372]  Your purchase helps fund the operation.
[00:54:51.672 --> 00:54:56.756]  DNA Force is back in stock, but for the moment in time, it's going to sell out at current sales rates today.
[00:54:57.617 --> 00:54:59.738]  Your purchase makes the broadcast possible.
[00:55:00.318 --> 00:55:03.679]  And we are also about to sell out of X2.
[00:55:04.199 --> 00:55:07.060]  And then Dr. Grubbs only got one more big run left.
[00:55:07.120 --> 00:55:10.481]  And if he doesn't get more of the Deep Earth Crystals, that will be it for X2.
[00:55:10.561 --> 00:55:12.042]  I certainly hope that's not the case.
[00:55:12.382 --> 00:55:14.382]  But X2 is going to sell out the next 48 hours.
[00:55:14.743 --> 00:55:16.623]  It'll be about two weeks till we get more in.
[00:55:17.063 --> 00:55:20.164]  Infowarsstore.com, Infowarslife.com, or AAA2533139.
[00:55:20.224 --> 00:55:22.465]  We also have 40% off the new Micro Breeze Negative Ion.
[00:55:25.626 --> 00:55:26.487]  We're good to go.
[00:55:50.632 --> 00:55:53.615]  There is massive censorship taking place globally.
[00:55:54.295 --> 00:55:56.617]  InfoWars has been picked as the case point example.
[00:55:56.938 --> 00:55:59.260]  I want Paul to finish up the next four minutes with his points.
[00:55:59.280 --> 00:56:06.466]  I want him to come back and do five more minutes with me at the start of the next hour on where he sees this battle the globalists are launching against free speech going.
[00:56:06.667 --> 00:56:08.008]  But Paul, back to the points you were making.
[00:56:09.861 --> 00:56:17.149]  Yeah, I don't know if you're aware of this, Alex, but of course we had the Homeland series recently, which was a direct attack on Info Wars.
[00:56:17.189 --> 00:56:22.575]  They literally created a character based around you, who by the way had a terrible accent and voice.
[00:56:22.636 --> 00:56:24.458]  It was a miserable failure.
[00:56:24.958 --> 00:56:33.004]  In fact, I think it's the lowest rated Homeland series ever, or it was for the first couple of episodes at least, because they had this big social justice turn.
[00:56:33.024 --> 00:56:34.285]  It actually used to be a good show.
[00:56:34.345 --> 00:56:35.826]  I used to watch it when it was actually good.
[00:56:36.146 --> 00:56:38.928]  Now they don't even have, like, Islamic terrorism.
[00:56:38.968 --> 00:56:39.889]  It's that PC.
[00:56:40.369 --> 00:56:52.979]  But this fake radio host who was based on you, the whole setup info was, they actually had a plotline where the traffic to his website was not real, and that it was all Russian bots.
[00:56:53.499 --> 00:56:54.680]  Faking traffic.
[00:56:55.160 --> 00:56:58.763]  Not just tweets, but traffic to the actual website.
[00:56:59.164 --> 00:57:01.325]  Oh, and I guess Russia failed, didn't they, Paul?
[00:57:01.706 --> 00:57:02.506]  Russia failed.
[00:57:02.566 --> 00:57:04.648]  They were supposedly going to bring Le Pen in.
[00:57:04.848 --> 00:57:06.750]  The all-powerful Russians failed.
[00:57:08.186 --> 00:57:18.848]  Well, it's funny because this radio host character turns out to be working with the CIA as well, so they've literally taken everything they could think of, thrown it, and hoped that something would stick.
[00:57:18.908 --> 00:57:20.729]  It's a complete abysmal failure.
[00:57:20.749 --> 00:57:22.989]  Again, lowest ratings for any series.
[00:57:23.389 --> 00:57:29.170]  But again, you know, if we were all backed by Russian bots, who's buying the products, Alex?
[00:57:29.611 --> 00:57:31.031]  Are we sending them all to Russia?
[00:57:32.531 --> 00:57:36.373]  We have to have a real audience if we have people buying real physical products.
[00:57:36.433 --> 00:57:41.735]  Even the Washington Post last week had a headline, religion and guns, and said we're pro-gun because of Russians.
[00:57:42.175 --> 00:57:44.776]  Did you know it's Russia that gave us the Second Amendment, Paul?
[00:57:44.956 --> 00:57:49.938]  And as you see the USA Today, women now wearing hijabs in solidarity against Trump.
[00:57:50.178 --> 00:57:52.399]  The hijab is now the new symbol of feminism.
[00:57:53.936 --> 00:58:05.399]  The very first Arab feminist groups back in Egypt in 1922 literally said the hijab is a symbol of oppression, let's cast it off, let's get rid of it.
[00:58:05.739 --> 00:58:09.440]  They were Muslim Arab women a hundred years ago.
[00:58:09.820 --> 00:58:11.521]  They were real feminists, okay?
[00:58:11.801 --> 00:58:16.702]  People wearing it now are not real feminists, they're in with the Islamist... No, that's a conspiracy theory, fake news!
[00:58:17.202 --> 00:58:22.485]  Cutting women's genitals off, keeping them as slaves, not letting them drive cars, executing them if another man rapes them.
[00:58:22.726 --> 00:58:25.607]  That is totally liberal and you're a hate-monger!
[00:58:25.908 --> 00:58:27.849]  Allah Allah Allah!
[00:58:28.089 --> 00:58:29.830]  You will be defeated infidel!
[00:58:29.890 --> 00:58:30.130]  No!
[00:58:30.491 --> 00:58:31.731]  It's genital mutilation.
[00:58:31.791 --> 00:58:33.012]  It's genital cutting.
[00:58:33.092 --> 00:58:34.473]  It's just like... Shut your mouth, pig!
[00:58:37.735 --> 00:58:39.498]  Shut your mouth, pig.
[00:58:39.738 --> 00:58:40.560]  We'll be back in 70.
[00:58:41.321 --> 00:58:42.242]  You will submit.
