[00:00:02.498 --> 00:00:03.199]  Is the U.S.
[00:50:36.010 --> 00:50:50.482]  Toothbrushes that we have, or Coil Silver, or the supplements, the multivitamin fruit mix, fruit punch, multivitamin mineral, a lot of mineral fusion, punch drink is excellent.
[00:50:50.482 --> 00:50:53.585]  All that, sign up for AutoShip and get a 10% off.
[00:50:53.585 --> 00:50:54.365]  All of it's a win-win.
[00:50:54.365 --> 00:50:58.849]  That way you don't forget to support us each month, and you don't forget to get the great products that you need.
[00:50:58.849 --> 00:51:01.011]  Alright, more teleprompter free news straight ahead.
[00:51:01.448 --> 00:51:05.414]  Mother's Day is next week, and ProFlowers is offering an amazing special.
[00:51:05.414 --> 00:51:10.622]  One dozen assorted roses, plus a free glass face for $19.99 plus shipping and handling.
[00:51:10.622 --> 00:51:15.350]  Go to proflowers.com, click on the blue microphone in the upper right corner, and enter the secret code 1616.
[00:51:16.892 --> 00:51:17.333]  But hurry!
[00:51:17.333 --> 00:51:24.320]  This incredible deal expires this Friday with fresh flowers, guaranteed delivery, and unique vases and accessories that mom will love.
[00:51:24.320 --> 00:51:28.866]  ProFlowers has everything you need to get your Mother's Day shopping done for all the moms you know.
[00:51:28.866 --> 00:51:31.429]  Order now from ProFlowers to get huge savings.
[00:51:31.869 --> 00:51:34.871]  Get the delivery date and it's guaranteed or your money back.
[00:51:34.871 --> 00:51:42.618]  One dozen assorted roses sent fresh from the fields and guaranteed to stay fresh and beautiful for at least seven days starting at $19.99.
[00:51:42.618 --> 00:51:44.499]  And we'll include a free glass vase.
[00:51:44.499 --> 00:51:48.583]  Hurry, Mother's Day is next week and this incredible special expires this Friday.
[00:51:48.583 --> 00:51:52.386]  The only way to get this amazing deal is to go to proflowers.com.
[00:51:52.386 --> 00:51:57.310]  Click on the blue microphone in the upper right corner and enter the secret code 1616.
[00:51:57.310 --> 00:51:59.212]  That's proflowers.com secret code 1616.
[00:52:01.977 --> 00:52:03.418]  Let's go to Devin in Florida.
[00:52:03.418 --> 00:52:05.701]  Devin in Florida, you're on the air.
[00:52:05.701 --> 00:52:06.201]  Great!
[00:52:06.201 --> 00:52:07.342]  Hey, thank you so much.
[00:52:07.342 --> 00:52:11.987]  Listen, I have bought your product and I gotta say they're amazing.
[00:52:11.987 --> 00:52:13.749]  Anyone who's on the fence, buy it.
[00:52:13.749 --> 00:52:21.476]  Because I've got Caveman, Superman Vitality, Secret 12, Plymouth Interfusion, I've got the Body Armor.
[00:52:21.476 --> 00:52:22.337]  Wow, thank you.
[00:52:22.337 --> 00:52:24.779]  You're the top of the list that makes it all possible.
[00:52:24.779 --> 00:52:26.441]  Which nutraceutical do you like best?
[00:52:26.681 --> 00:52:30.242]  I really like the Vitamin Mineral Fusion, to be honest.
[00:52:30.242 --> 00:52:30.662]  That's amazing.
[00:52:30.662 --> 00:52:31.562]  That's really incredible.
[00:52:31.562 --> 00:52:34.723]  I drank it in the morning and I swear to you, I felt incredible.
[00:52:34.723 --> 00:52:36.083]  Like, I haven't fallen asleep.
[00:52:36.083 --> 00:52:37.804]  My morning was fantastic.
[00:52:37.804 --> 00:52:39.084]  And I love you guys.
[00:52:39.084 --> 00:52:41.325]  I love the Info Wars crew.
[00:52:41.325 --> 00:52:48.346]  And I just want to, yeah, I want to take this opportunity to tell anybody out there who's on the fence, just buy it.
[00:52:48.346 --> 00:52:49.426]  You will love it.
[00:52:49.426 --> 00:52:51.287]  I'm telling you, I've never bought a bad product.
[00:52:51.607 --> 00:52:56.151]  What you find in our news is the same thing you find in our products at InfoWarsLife.com.
[00:52:56.151 --> 00:52:57.072]  It's a win-win.
[00:52:57.072 --> 00:52:58.073]  InfoWarsLife.com.
[00:53:00.726 --> 00:53:04.168]  Water is the single most important thing your body needs.
[00:53:04.168 --> 00:53:07.509]  So you want to be sure it's the best for you and your family.
[00:53:07.509 --> 00:53:11.771]  Since 2005, thousands have depended on Berkey Purified Water.
[00:53:11.771 --> 00:53:16.393]  The Berkey guy provides the lowest price filtration systems in every size.
[00:53:16.393 --> 00:53:21.955]  For incredibly delicious water now and in an emergency, get to GoBerkey.com or call 877-886-3653.
[00:53:21.955 --> 00:53:22.095]  877-886-3653.
[00:53:22.095 --> 00:53:22.416]  GoBerkey.com
[00:53:30.379 --> 00:53:31.740]  Are you prepared to bug out?
[00:53:31.740 --> 00:53:39.566]  Infidel Body Armor and an Army Ranger have produced a high-speed DVD and book to show you how to drive in combat, patrol, and how to survive in combat.
[00:53:39.566 --> 00:53:41.667]  Skills you'll need when it hits the fan.
[00:53:41.667 --> 00:53:43.389]  Go to DrivenDVD.com.
[00:53:43.389 --> 00:53:45.410]  DrivenDVD.com.
[00:53:45.410 --> 00:53:50.794]  Advertising your business with GCN is simple, effective, and more affordable than you might think.
[00:53:50.794 --> 00:53:54.437]  Visit Advertise.GCNLive.com for more info.
[00:53:54.437 --> 00:53:56.398]  Take your business to the next level.
[00:53:56.398 --> 00:53:59.060]  That's Advertise.GCNLive.com.
[00:54:28.784 --> 00:54:35.949]  Alright, I'm going to your phone calls and then interspersed I've got more clips of Trump speeches he's been giving talking about turning the economy back on.
[00:54:35.949 --> 00:54:44.054]  We've got breakdowns on his budget bill that would have a spending freeze for the first time in decades on the IRS.
[00:54:44.054 --> 00:54:46.156]  So there is some good news there.
[00:54:46.156 --> 00:54:48.758]  Bad news that McMaster is getting Trump to escalate.
[00:54:49.318 --> 00:55:00.969]  The Afghan war, it is a mixed bag, but we are getting better Supreme Court justices and the economy is being turned back on and NAFTA and GATT are getting renegotiated and TPP is dead.
[00:55:00.969 --> 00:55:03.552]  So how do you throw the baby out with the bathwater?
[00:55:03.552 --> 00:55:05.113]  You can't.
[00:55:05.113 --> 00:55:11.219]  You put pressure on Trump and his administration where he's wrong or where you think he's wrong and then you support
[00:55:12.039 --> 00:55:22.127]  The things he's doing that are good, but the word is the new Obamacare bill is better than the last one, but still the Freedom Caucus is not going for it, and I back them on that.
[00:55:22.127 --> 00:55:30.974]  We need to gut that monster and not give the Republican establishment some of the screw jobs they wanted that they wrote into Obamacare.
[00:55:30.974 --> 00:55:32.775]  That's what makes me so mad at liberals.
[00:55:32.775 --> 00:55:35.778]  The Republican establishment, the horrible globalist bluebloods,
[00:55:36.803 --> 00:55:41.364]  helped write Obamacare 20 years ago in Massachusetts, Mitt Romney.
[00:55:41.364 --> 00:55:46.306]  And it was written by the insurance companies to make you go into the market, make you buy it.
[00:55:46.306 --> 00:56:03.251]  And then Obama added a bunch of socialist stuff on top of it, made it even worse, so it bankrupted healthcare that Ezekiel Emanuel and Jonathan Gruber admitted on C-SPAN and Fox News was the plan to fully destroy it and have socialist single-payer
[00:56:04.451 --> 00:56:17.478]  With fascism on top, where the big banks run it, and the insurance companies run it, and shut down all the small insurers, and then really gouge you, make you buy a product with no competition.
[00:56:17.478 --> 00:56:19.759]  That's why the mega banks support centralization.
[00:56:19.759 --> 00:56:21.520]  They want monopolies.
[00:56:21.520 --> 00:56:23.021]  They want a monopoly of the media.
[00:56:23.021 --> 00:56:27.283]  They want to call all media they don't control fake, because we're not fake.
[00:56:27.283 --> 00:56:29.444]  They want to say we're Russian agents with no proof.
[00:56:31.656 --> 00:56:32.537]  In Congress!
[00:56:32.537 --> 00:56:34.298]  Because they're the globalist agents!
[00:56:34.298 --> 00:56:35.259]  They're the enemies!
[00:56:35.259 --> 00:56:38.262]  They're the people selling out America!
[00:56:38.262 --> 00:56:39.303]  They're the traitors!
[00:56:39.303 --> 00:56:40.164]  They're the plague!
[00:56:53.888 --> 00:56:54.849]  It was the best of times.
[00:56:54.849 --> 00:56:55.749]  It was the worst of times.
[00:56:55.749 --> 00:56:56.650]  It was the age of wisdom.
[00:56:56.650 --> 00:56:58.231]  It was the age of foolishness.
[00:56:58.231 --> 00:56:59.953]  It was the epoch of belief.
[00:56:59.953 --> 00:57:02.554]  It was the epoch of incredulity.
[00:57:02.554 --> 00:57:03.835]  It was the season of light.
[00:57:03.835 --> 00:57:05.457]  It was the season of darkness.
[00:57:05.457 --> 00:57:06.658]  It was the spring of hope.
[00:57:06.658 --> 00:57:09.860]  It was the winter of despair.
[00:57:09.860 --> 00:57:11.721]  The period.
[00:57:11.721 --> 00:57:13.383]  We had everything before us.
[00:57:13.383 --> 00:57:15.804]  We had nothing before us.
[00:57:15.804 --> 00:57:17.245]  We were all going direct to heaven.
[00:57:17.245 --> 00:57:19.967]  We were all going direct the other way.
[00:57:19.967 --> 00:57:20.408]  In short,
[00:57:22.841 --> 00:57:37.211]  The period was so far like the present period that some of the noisiest authorities insisted on it being received for good or for evil in the superlative degree of comparison only.
[00:57:37.211 --> 00:57:40.434]  Print me that so I'm not reading it 20 yards away, thank you.
[00:57:40.434 --> 00:57:48.920]  We're gonna come back and I promise, I promise on a stack of King James Version Bibles with a little red bookmark
[00:57:50.339 --> 00:58:01.884]  Felt, hanging between it, that we will go to Mark, Ben, Ken, Beth, Levi, and others, and the toll-free number to join us is 800-259-9231.
[00:58:01.884 --> 00:58:09.647]  You know, I don't tend to harp on the fact that we're under attack, but now that we're under such sustained, continual attack, I just want to say again, you are the resistance.
[00:58:09.647 --> 00:58:13.949]  That's not me patting you on the head so you feel powerful or you feel included.
[00:58:13.949 --> 00:58:16.810]  You are what they're scared of.
[00:58:18.166 --> 00:58:21.047]  And they're scared of any focal point where you're able to be heard.
[00:58:21.047 --> 00:58:23.428]  I suggest you be heard now more than ever.
[00:58:23.428 --> 00:58:33.752]  And I suggest you use our videos, our articles, our intel, our films that are all free online as weapons of truth against the enemy and lies.
[00:58:33.752 --> 00:58:36.693]  Have you told somebody to tune in to InfoWars today?
[00:58:36.693 --> 00:58:39.655]  It's time to get aggressive or roll over in the ditch and die.
[00:58:39.655 --> 00:58:42.036]  And we're starting to win, so let's go full power.
[00:58:42.036 --> 00:58:43.796]  That's why the enemy's fighting so hard.
[00:58:43.796 --> 00:58:45.097]  Hour 2 and T-minus 70.
[00:58:45.097 --> 00:58:46.537]  Visit GCNlive.com today.
[00:58:51.846 --> 00:58:56.590]  Men, give your body the support it needs with InfoWars Life Prostagard.
[00:58:56.590 --> 00:59:01.014]  It's time to start assisting the body in regulating proper prostate balance.
[00:59:01.014 --> 00:59:11.623]  InfoWars Life has set out to bring you formulations that are not only the highest quality out there, but formulas that you can use on a daily basis to give your body the natural herbs and extracts that our experts recommend.
[00:59:12.223 --> 00:59:20.209]  The Prostagard formula does just that, with its mixture of plant-based nutrients and antioxidants that help give your body total support.
[00:59:20.209 --> 00:59:29.557]  It's a hand-selected blend of saw palmetto, lycopene, plant sterols, zinc, vitamin D3, selenium, and copper.
[00:59:29.557 --> 00:59:39.845]  Prostagard is something that the men on the InfoWars crew take every day, and from our research, it's something that men should really be adding to their daily regimen in order to keep their body going at optimal levels.
[00:59:40.305 --> 00:59:43.748]  Now's the time to start naturally supporting your body.
[00:59:43.748 --> 00:59:48.371]  Get Prostagard on your side today exclusively at Infowarslife.com.
[00:59:48.371 --> 00:59:54.135]  That's Infowarslife.com.
[00:59:54.135 --> 00:59:56.757]  You're listening to the Alex Jones Show.
[01:00:08.976 --> 01:00:12.539]  Before America can be great again, she must be free again.
[01:00:12.539 --> 01:00:18.083]  Before America can be great again, she must be free again.
[01:00:18.083 --> 01:00:22.547]  You're listening to the Alex Jones Show.
[01:00:22.547 --> 01:00:26.190]  Our revenge is that we survive.
[01:00:26.190 --> 01:00:29.592]  Our revenge is that we make it to the future.
[01:00:29.592 --> 01:00:36.518]  The ultimate act of domination is to exterminate a culture, to exterminate an idea, to exterminate the genetics of a people.
[01:00:37.864 --> 01:00:42.147]  Why are they banning Sico de Mayo celebrations if you're not Hispanic?
[01:00:42.147 --> 01:00:46.690]  Why are they saying it's cultural appropriation if you like Jimi Hendrix music and you're not black?
[01:00:46.690 --> 01:00:51.493]  Why are they banning at colleges everywhere Mexican-themed parties and saying they're racist?
[01:00:51.493 --> 01:00:54.615]  Because they're killing real multiculturalism.
[01:00:54.615 --> 01:00:55.455]  I go eat sushi.
[01:00:55.455 --> 01:00:57.897]  It's not appropriating Japanese cuisine.
[01:00:57.897 --> 01:01:00.038]  I like some sushi.
[01:01:00.038 --> 01:01:00.759]  Some of it I don't like.
[01:01:00.759 --> 01:01:02.160]  A lot of it I love.
[01:01:02.160 --> 01:01:03.641]  I don't appropriate Chinese food.
[01:01:04.847 --> 01:01:07.888]  Because I hate Chinese, it's delicious.
[01:01:07.888 --> 01:01:12.690]  I don't appropriate Mexican food because I hate Mexicans, it's delicious.
[01:01:12.690 --> 01:01:15.611]  But frankly, I probably eat more Mexican food than anything else.
[01:01:15.611 --> 01:01:17.612]  I cook Mexican food at my house.
[01:01:17.612 --> 01:01:20.173]  I eat more peppers than most Mexicans I know.
[01:01:20.173 --> 01:01:21.573]  Is that a hatred of Mexicans?
[01:01:21.573 --> 01:01:25.675]  No, that's called going local.
[01:01:25.675 --> 01:01:26.335]  Cowboy hats!
[01:01:27.776 --> 01:01:35.823]  Came from Spain, from the cowboys, the lariats, the ropes, that all was in Mexico, all the way down to Chile.
[01:01:35.823 --> 01:01:43.130]  Is the average person in Texas who sees Mexicans walking around with cowboy hats and they go, look at those Mexicans dressed like cowboys!
[01:01:43.130 --> 01:01:46.533]  I actually heard that from ignorant people that weren't real cowboys.
[01:01:46.533 --> 01:01:48.175]  Why are those Mexicans dressed like cowboys?
[01:01:48.175 --> 01:01:49.416]  Because they invented it.
[01:01:51.564 --> 01:01:53.705]  That's what multiculturalism is.
[01:01:53.705 --> 01:01:56.166]  America is multiculturalism.
[01:01:56.166 --> 01:01:59.607]  And they're using our strength against us with their false multiculturalism.
[01:01:59.607 --> 01:02:00.928]  That's coming up with Owen Schroyer.
[01:02:00.928 --> 01:02:07.010]  But right now, I'm going to Ben next segment because he was talking about Netflix and Bill Nye, population control.
[01:02:07.010 --> 01:02:08.831]  Yeah, I saw articles about that two days ago.
[01:02:08.831 --> 01:02:09.691]  I didn't watch the video.
[01:02:09.691 --> 01:02:09.951]  I can't.
[01:02:10.211 --> 01:02:11.252]  Hi Alex, pleasure to speak with you.
[01:02:11.252 --> 01:02:11.732]  Thank you.
[01:02:11.732 --> 01:02:13.413]  Pleasure to speak with you, sir.
[01:02:38.317 --> 01:02:47.485]  Trump and his White House with the budget that they're going to put through today, or try to put through and have him sign, do you think he has them playing into his hand?
[01:02:47.485 --> 01:02:54.791]  I mean, literally with the money, he's given them $1 trillion for a few months' time.
[01:02:54.791 --> 01:02:59.596]  And I just wonder if he has the Democrats actually playing into his hand.
[01:02:59.596 --> 01:03:00.997]  What's your thoughts on that?
[01:03:02.162 --> 01:03:03.744]  Well, he wants prosperity.
[01:03:03.744 --> 01:03:05.926]  He knows the global economy's stalling.
[01:03:05.926 --> 01:03:10.652]  It was set in every major financial periodical to really start going downhill this year.
[01:03:10.652 --> 01:03:15.878]  And so he's trying globally to get the European stock market up, which finally started going up, to get ours up.
[01:03:15.878 --> 01:03:16.638]  It's been meteoric.
[01:03:17.419 --> 01:03:22.803]  Uh, to get jobs going, to get multinational investment going both ways, two-way streets.
[01:03:22.803 --> 01:03:29.548]  And so he's done an amazing global economic turnaround in just 104 days in office that's unprecedented.
[01:03:29.548 --> 01:03:33.811]  But we're not out of the proverbial forest yet.
[01:03:33.811 --> 01:03:35.892]  We're not out of the tall trees yet.
[01:03:36.833 --> 01:03:42.477]  So, we've got to really get behind Trump's economic agenda that Ron Paul said a month ago on the show.
[01:03:42.477 --> 01:03:44.819]  He is, quote, amazing.
[01:03:44.819 --> 01:03:48.562]  Say what you want about Trump and some of his issues that I disagree with greatly.
[01:03:48.562 --> 01:03:51.064]  He's doing great things for our economy.
[01:03:51.064 --> 01:04:01.231]  And so, yes, I think given the Democrats some of what they want on spending, freezing the IRS, getting border security money basically doubled, it's overall a big spending bill.
[01:04:01.231 --> 01:04:05.054]  But if the economy gets going again, we'll be able to pay off that debt.
[01:04:05.054 --> 01:04:05.615]  If we don't,
[01:04:06.255 --> 01:04:08.616]  It's going to stall out, and we're never going to pay these debts.
[01:04:08.616 --> 01:04:15.340]  So, overall, I am giving Trump cautious, cautious support at this point.
[01:04:15.340 --> 01:04:17.281]  What do you think?
[01:04:17.281 --> 01:04:32.971]  Well, I agree with you, and also earlier you had stated to stay on Trump with things that we disagree with, and I want all the info warriors out there, do not let the Susan Rice scandal and everything go down, because that's going to lead to pedogate, that's going to
[01:04:36.350 --> 01:04:37.431]  You know, I agree with you.
[01:04:37.431 --> 01:04:39.252]  Trump needs to be on the offense more.
[01:04:39.252 --> 01:04:44.356]  They heard us say he was this Russian spy and he leaked, and then they're the ones that are on the payroll of foreign governments that leaked.
[01:04:44.356 --> 01:04:45.537]  Great points, Mark.
[01:04:45.537 --> 01:04:46.577]  Thank you for calling.
[01:04:46.577 --> 01:04:47.538]  I'm going to move quick today.
[01:04:47.538 --> 01:04:49.459]  I'm going to be a good boy and go to your calls quickly.
[01:04:49.459 --> 01:04:52.622]  Ben's up next, then Ken, Beth, Levi, and many others.
[01:04:52.622 --> 01:04:53.682]  I'm Alex Jones.
[01:04:53.682 --> 01:04:57.245]  The enemy hates us for a reason, because we know how to take them down.
[01:04:57.245 --> 01:04:58.285]  InfoWars.com.
[01:05:02.844 --> 01:05:16.736]  All the perplexities, the confusion and distress in America arise not from objects in their constitution or confederation, not from want of honor or virtue, so much as from the downright ignorance of the nature of coin, credit and circulation.
[01:05:16.736 --> 01:05:21.040]  Those are the words of John Adams, the second president of the United States.
[01:05:21.040 --> 01:05:23.002]  Are you ignorant of the private Federal Reserve?
[01:05:23.562 --> 01:05:25.763]  Do you understand the nature of our fiat currency?
[01:05:25.763 --> 01:05:32.906]  Do you understand how a private corporation has the ability to create boom and bust cycles and to profit from it?
[01:05:32.906 --> 01:05:37.647]  What kind of leverage do these people in the Federal Reserve have over the American people?
[01:05:37.647 --> 01:05:41.389]  Or for that matter, what kind of leverage do the Saudis have over our money?
[01:05:41.969 --> 01:05:44.431]  Will you be a slave or will you be free?
[01:05:44.431 --> 01:05:49.435]  Adams also said, liberty cannot be preserved without general knowledge among the people.
[01:05:49.435 --> 01:05:50.776]  Join the InfoWars.
[01:05:50.776 --> 01:05:52.077]  Spread the information.
[01:05:52.077 --> 01:05:53.998]  Educate yourself and others.
[01:05:53.998 --> 01:05:55.860]  The truth shall set you free.
[01:05:55.860 --> 01:05:57.641]  For InfoWars.com, I'm David Knight.
[01:06:01.337 --> 01:06:06.741]  After being sold out for months, our best-selling Super Blue fluoride toothpaste is now back in stock at InfoWareStore.com.
[01:06:06.741 --> 01:06:09.582]  The first shipment of Super Blue sold out in one week.
[01:06:09.582 --> 01:06:11.564]  I thought it would be a six-month supply for listeners.
[01:06:11.564 --> 01:06:16.587]  And since then, people are beating down our doors, wanting to be able to resupply their Super Blue.
[01:06:16.587 --> 01:06:18.688]  Research across the board is clear.
[01:06:18.688 --> 01:06:19.969]  In fact, it's certified.
[01:06:19.969 --> 01:06:25.093]  When bacteria infects your gums, it can enter your bloodstream and even contribute to blood clots and heart attacks.
[01:06:25.093 --> 01:06:28.455]  That's why the last Surgeon General's report on oral health warrants.
[01:06:28.595 --> 01:06:31.957]  That your oral health can have a serious impact on your entire body.
[01:06:31.957 --> 01:06:34.958]  Super Blue Fluoride-Free Toothpaste is a groundbreaking new formula.
[01:06:34.958 --> 01:06:38.640]  It's loaded with good halogen iodide instead of the bad halogen fluoride.
[01:06:38.640 --> 01:06:45.564]  Super Blue contains natural oils and ingredients used since biblical times to help wipe out bad bacteria and eliminate bad breath.
[01:06:45.564 --> 01:06:53.067]  Just some of the ingredients in Super Blue chosen by our dental experts include xylitol, peppermint oil, iodine, nano silver and more.
[01:06:53.067 --> 01:06:55.989]  Learn more about InfoWars Life Super Blue Toothpaste.
[01:06:56.229 --> 01:07:01.292]  At Infowarslife.com and support the Infowar while you support healthy gums and teeth.
[01:07:01.292 --> 01:07:09.556]  Please listen carefully because I'm about to point out three things that will save you a lot of money while you get high quality products and fund the Infowar.
[01:07:09.556 --> 01:07:10.777]  A 360 win.
[01:07:10.777 --> 01:07:14.278]  Number one, when you choose auto ship before checkout, we give you 10% off.
[01:07:15.419 --> 01:07:17.340]  On your order at InfoWareStore.com.
[01:07:17.340 --> 01:07:25.265]  Number two, you're also able to get items that are out of stock when you sign up for AutoShip because we hold back a surplus for AutoShip customers.
[01:07:25.265 --> 01:07:30.348]  Number three, we're giving you free shipping on all orders above $50.
[01:07:30.348 --> 01:07:36.452]  Listeners have been requesting this for years because it's so easy to forget to reorder the products that you need each month.
[01:07:36.452 --> 01:07:38.093]  Just go to InfoWareStore.com.
[01:07:38.093 --> 01:07:39.954]  Select your favorite product or products.
[01:07:40.034 --> 01:07:40.154]  USA!
[01:07:40.154 --> 01:07:40.254]  USA!
[01:07:40.254 --> 01:07:40.514]  USA!
[01:07:40.514 --> 01:07:40.734]  USA!
[01:07:40.734 --> 01:07:40.794]  USA!
[01:08:11.488 --> 01:08:17.672]  If you let one ant stand up to us, then they all might stand up.
[01:08:17.672 --> 01:08:22.676]  Those puny little ants outnumber us a hundred to one.
[01:08:22.676 --> 01:08:27.539]  And if they ever figure that out, there goes our way of life!
[01:08:27.539 --> 01:08:29.521]  It's not about food.
[01:08:29.521 --> 01:08:32.103]  It's about keeping those ants in line.
[01:08:38.777 --> 01:08:40.939]  The Alex Jones Show.
[01:08:40.939 --> 01:08:44.721]  Because there is a war on for your mind.
[01:08:44.721 --> 01:08:49.344]  All right, I'm going right back to your calls.
[01:08:49.344 --> 01:08:55.288]  Ben and Erica and Ken and Beth and Levi, we're going to get all of you here in just a few minutes.
[01:08:55.288 --> 01:08:55.849]  First off,
[01:08:58.061 --> 01:09:01.643]  CNN calls Trump a liar, a racist.
[01:09:01.643 --> 01:09:06.546]  CNN gives the questions to Hillary Clinton in all three debates and gets caught doing it.
[01:09:06.546 --> 01:09:15.291]  CNN got caught in the WikiLeaks trying to rig the polls, sometimes giving her 30 plus points ahead of what she really had.
[01:09:15.291 --> 01:09:26.257]  So CNN, openly run by the Democratic Party and George Soros and other financial interests, banned over the weekend this ad from running that Donald Trump's
[01:09:27.381 --> 01:09:30.643]  Presidential campaign paid for.
[01:09:30.643 --> 01:09:33.926]  CNN said they didn't run it because of fake news graphic.
[01:09:33.926 --> 01:09:36.888]  So they're allowed to call everybody fake.
[01:09:36.888 --> 01:09:38.028]  Trump fake.
[01:09:38.028 --> 01:09:39.409]  Alex Jones fake.
[01:09:39.409 --> 01:09:41.151]  Infowars fake.
[01:09:41.151 --> 01:09:44.553]  Everything's fake.
[01:09:44.553 --> 01:09:51.418]  And then when the president talks about fake news, they're not going to carry an ad even though he pays for it.
[01:09:53.007 --> 01:09:55.848]  Why would Trump even want them to run his ad?
[01:09:55.848 --> 01:09:58.530]  They have almost no viewers.
[01:09:58.530 --> 01:09:59.931]  But here's the bottom line.
[01:09:59.931 --> 01:10:03.452]  This ad is about buoying national sovereignty.
[01:10:03.452 --> 01:10:05.133]  It's about believing in America.
[01:10:05.133 --> 01:10:06.914]  It's about confidence.
[01:10:06.914 --> 01:10:08.715]  We have the industry.
[01:10:08.715 --> 01:10:10.296]  We have the infrastructure.
[01:10:10.296 --> 01:10:11.356]  We have the know-how.
[01:10:11.356 --> 01:10:12.657]  We have the people.
[01:10:12.657 --> 01:10:15.138]  We can rebuild America.
[01:10:15.138 --> 01:10:19.701]  We can make it better, faster, stronger.
[01:10:19.701 --> 01:10:21.221]  Yes, that's a rip-off of the 1970s bionic man.
[01:10:23.973 --> 01:10:25.694]  We can rebuild her.
[01:10:25.694 --> 01:10:27.095]  Bigger.
[01:10:27.095 --> 01:10:28.416]  Faster.
[01:10:28.416 --> 01:10:29.577]  Stronger.
[01:10:29.577 --> 01:10:30.757]  America.
[01:10:30.757 --> 01:10:33.459]  Barely alive.
[01:10:33.459 --> 01:10:35.340]  We can rebuild her.
[01:10:35.340 --> 01:10:36.981]  We're going to do it.
[01:10:36.981 --> 01:10:46.968]  But we have to be realistic, we have to be pragmatic, and we have to move against the enemy and realize we have the light in the dark of the night.
[01:10:46.968 --> 01:10:52.471]  Then I'm going to your phone calls and Bill Nye, whose show is called Bill Nye Saves the World.
[01:10:52.471 --> 01:10:53.412]  I'm going to talk about that in a moment.
[01:10:54.360 --> 01:10:55.781]  Because here's the deal.
[01:10:55.781 --> 01:11:06.110]  I'm shooting a video and already shot part of it yesterday to debunk the new movie coming out with Al Gore, His Inconvenient Truth Part 2.
[01:11:06.110 --> 01:11:09.413]  And I was going to call it, Al Gore Saves the World.
[01:11:09.413 --> 01:11:11.695]  That was the name of the special report.
[01:11:11.695 --> 01:11:15.939]  I didn't know Bill Nye had a failed show on what, Netflix?
[01:11:15.939 --> 01:11:18.281]  I didn't know Bill Nye had three stars out of ten.
[01:11:18.281 --> 01:11:18.861]  I didn't know
[01:11:19.704 --> 01:11:28.646]  That he even said that, but that's, they've scripted it where they're saviors of the earth, you let them have full control of your life and they'll save you.
[01:11:28.646 --> 01:11:34.727]  But, I told dude, the name's gonna be, Al Gore Saves the World.
[01:11:34.727 --> 01:11:43.689]  I had no idea that was the name of Bill Nye's, but that's, I mean, I saw the ad when I went and saw The Promise, excellent movie, historical movie, about the Armenian Genocides, uh, Friday night.
[01:11:43.689 --> 01:11:46.609]  I went and saw it with my wife and son.
[01:11:46.609 --> 01:11:46.670]  And,
[01:11:50.424 --> 01:11:51.429]  I'm sitting there watching it.
[01:11:54.454 --> 01:12:09.217]  It was an amazing film, and then I thought about the ad for Inconvenient Lie, I mean, Inconvenient Fraud, Inconvenient Eugenics, Extermination Operation, I'm sorry, Inconvenient Way to Get You to Try to Kill Yourself, basically, so Al Gore can have all the resources for his pig-like self.
[01:12:09.217 --> 01:12:09.797]  I'm sorry.
[01:12:09.797 --> 01:12:14.118]  I said I'd get to the breakdown of that when we go to the next caller, Ben in Florida.
[01:12:14.118 --> 01:12:23.060]  First, let's get to the banned ad that you're not supposed to see talking about the first hundred days of Donald John Trump.
[01:12:26.516 --> 01:12:28.217]  And here it is.
[01:12:28.217 --> 01:12:32.281]  The first 100 days of Donald John Trump.
[01:12:32.281 --> 01:12:38.986]  Of Donald Trump, sworn in as president 100 days ago, America has rarely seen such success.
[01:12:38.986 --> 01:12:40.948]  A respected Supreme Court justice?
[01:12:40.948 --> 01:12:41.949]  Confirmed.
[01:12:41.949 --> 01:12:44.551]  Companies investing in American jobs again.
[01:12:44.551 --> 01:12:47.153]  America becoming more energy independent.
[01:12:47.153 --> 01:12:49.235]  Regulations that kill American jobs?
[01:12:49.235 --> 01:12:50.215]  Eliminated.
[01:12:50.215 --> 01:12:52.677]  The biggest tax cut plan in history.
[01:12:52.677 --> 01:12:54.339]  You wouldn't know it from watching the news.
[01:12:54.859 --> 01:12:59.244]  America is winning and President Trump is making America great again.
[01:12:59.244 --> 01:13:02.728]  I'm Donald Trump and I approve this message.
[01:13:02.728 --> 01:13:05.792]  Now let's go through that ad one more time and I'm gonna stop and start it.
[01:13:05.792 --> 01:13:08.455]  It's only 30 seconds long.
[01:13:08.455 --> 01:13:13.861]  Totally true, totally accurate and he shows mainstream news that's all attacked the president.
[01:13:14.841 --> 01:13:29.669]  Over and over again, and who are rooting for the country to fail, and are in major financial publications admitting that they're globally trying to kill our stock market, show that the Trump revolution stops, because they can't deal with the American system of prosperity and free market.
[01:13:29.669 --> 01:13:31.930]  Nobody can compete with it, so they want to kill it.
[01:13:31.930 --> 01:13:34.071]  So let's go to the ad one more time.
[01:13:34.071 --> 01:13:37.413]  Donald Trump, sworn in as president 100 days ago.
[01:13:37.413 --> 01:13:38.573]  Hey, pause.
[01:13:38.573 --> 01:13:39.614]  Back it up.
[01:13:39.614 --> 01:13:41.735]  Sworn in 100 days ago.
