[00:00:07.976 --> 00:00:08.336]  It's May Day.
[00:40:07.154 --> 00:40:07.815]  They could not
[00:40:10.714 --> 00:40:11.375]  Get it approved.
[00:40:12.215 --> 00:40:33.995]  Donald Rumsfeld, formerly at the Defense Department at the time, came into the Reagan administration and got Monsanto to buy Searle, and then Reagan administration, not that Reagan knew what was going on, he was a big Diet Coke fan, he didn't know, approved Aspartame, known as Equal, or NutraSweet, in the brand names.
[00:40:36.940 --> 00:40:38.441]  You can read it from even the HuffPost.
[00:40:38.481 --> 00:40:40.482]  Donald Rumsfeld, The Strange History of Aspartame.
[00:40:41.003 --> 00:40:44.986]  Now, it's an excitotoxin.
[00:40:45.006 --> 00:40:47.167]  At 89 degrees, it turns into formaldehyde.
[00:40:47.707 --> 00:40:52.591]  Formaldehyde eats holes in brain tissue, attacks the nerve tissue of the eyeballs.
[00:40:53.391 --> 00:40:54.572]  Just, I'm not a scientist.
[00:40:54.712 --> 00:40:56.854]  I've read literally hundreds of reports.
[00:40:57.114 --> 00:41:00.096]  I've had probably a hundred guests on over the years about aspartame.
[00:41:00.556 --> 00:41:01.577]  It's very addictive.
[00:41:02.177 --> 00:41:03.338]  It's an excitotoxin.
[00:41:03.378 --> 00:41:04.399]  It's a form of speed.
[00:41:07.406 --> 00:41:11.889]  Now, it also makes you fat because it's an excitotoxin and makes you hungry.
[00:41:12.410 --> 00:41:14.011]  So you end up eating more food.
[00:41:15.792 --> 00:41:22.077]  Now, I remember telling people 20 years ago, diet drinks make you fat, and I got a letter in the mail threatening from a law firm to sue me.
[00:41:22.417 --> 00:41:23.278]  I told them, go ahead.
[00:41:24.859 --> 00:41:25.920]  They did sue a lot of folks.
[00:41:26.400 --> 00:41:36.048]  Today, even CNN admits that aspartame is causing brain damage, problems in the optic nerve, you name it.
[00:41:37.560 --> 00:41:42.902]  So here it is, Forbes, why is diet soda making so bad for your brain?
[00:41:43.022 --> 00:41:44.942]  Another article, why does diet soda make you fat?
[00:41:46.743 --> 00:41:48.183]  And it goes through all these big studies.
[00:41:49.143 --> 00:41:49.743]  Here's another one.
[00:41:50.164 --> 00:41:54.065]  Now again, we told you 22 years ago, one of my first big topics.
[00:41:54.745 --> 00:41:55.465]  So I had the studies.
[00:41:56.105 --> 00:41:56.865]  And I had guests on.
[00:41:58.086 --> 00:42:00.206]  Now who do we owe for the world knowing about this?
[00:42:00.346 --> 00:42:02.167]  It was moms and pops.
[00:42:02.287 --> 00:42:03.587]  It was average activists.
[00:42:04.208 --> 00:42:05.568]  I knew people that would go stand
[00:42:07.449 --> 00:42:08.490]  On the corners.
[00:42:10.832 --> 00:42:11.813]  At the supermarkets.
[00:42:12.773 --> 00:42:14.094]  And the police would threaten to arrest him.
[00:42:14.114 --> 00:42:14.895]  I've done this myself.
[00:42:16.016 --> 00:42:19.699]  Handing out flyers with facts about aspartame.
[00:42:21.520 --> 00:42:24.222]  We've interviewed people whose wives and husbands died of it young.
[00:42:25.026 --> 00:42:25.787]  With brain tumors.
[00:42:25.827 --> 00:42:27.348]  And the doctors said, yes, the aspartame.
[00:42:27.388 --> 00:42:28.049]  It's been well known.
[00:42:28.389 --> 00:42:32.633]  And they would go lovingly warn people, because it's in children's foods.
[00:42:32.914 --> 00:42:34.235]  It's in all major gums.
[00:42:34.455 --> 00:42:39.340]  You cannot find gum at the supermarket, I dare you to, that doesn't have aspartame in it.
[00:42:39.460 --> 00:42:40.881]  It's in the non-sugar gum.
[00:42:40.921 --> 00:42:41.882]  It's in the sugar gum.
[00:42:42.183 --> 00:42:43.124]  It's in candy now.
[00:42:43.504 --> 00:42:47.348]  It's gone into tens of thousands of products from just a few, because the patent's up on it.
[00:42:47.808 --> 00:42:49.450]  And it's very addicting.
[00:42:51.132 --> 00:43:03.015]  Silicon Valley elite are flocking to an extremely high fat diet in hopes of living longer, showing it keeps your brain cells healthier and your other cells longer, as long as it's not a trans fat or as long as it's not been burned.
[00:43:03.336 --> 00:43:06.456]  And that gets into all the technical types of fat it creates that are highly toxic.
[00:43:06.697 --> 00:43:12.238]  But the healthiest thing to eat in the world is raw fat.
[00:43:13.278 --> 00:43:16.219]  If it doesn't have bio-accumulated heavy metals or toxins in it.
[00:43:17.760 --> 00:43:18.460]  And you eat that,
[00:43:20.086 --> 00:43:24.909]  With raw green leafy vegetables, and that is the longest living people in the world.
[00:43:25.289 --> 00:43:28.371]  I've had Dr. Wallach on for 20 years.
[00:43:30.472 --> 00:43:31.973]  I've had other doctors on.
[00:43:32.693 --> 00:43:39.777]  It is a known fact of the elite, and here it is in CNBC.
[00:43:39.797 --> 00:43:41.018]  20 years after we told you.
[00:43:41.518 --> 00:43:43.879]  This is just today, without me even trying.
[00:43:44.300 --> 00:43:45.921]  This is why they hate us, folks.
[00:43:47.321 --> 00:43:48.042]  You know what's happening?
[00:43:49.562 --> 00:44:08.879]  We talked about this with experts 20 years ago and about 15 years ago they began to report in mainstream news that the German elite and the British elite and the Chinese elite have their own quote clean vaccines that are made in limited allotments that don't have all the bad additives in them.
[00:44:09.440 --> 00:44:13.503]  There still could be some side effects but learned immunity is real.
[00:44:13.744 --> 00:44:14.544]  It's a real science.
[00:44:15.486 --> 00:44:17.607]  They always lie and say that I'm saying it isn't a real science.
[00:44:18.167 --> 00:44:19.207]  No, it's a real science.
[00:44:19.527 --> 00:44:22.668]  What they give us is a literal IQ reducer with steroids.
[00:44:22.888 --> 00:44:23.428]  Let's go further.
[00:44:24.969 --> 00:44:39.993]  John Rappaport links to the Psychiatric News, links to the Journal of American Medicine, and JAMA Neurology and a bunch of other studies that Selexa, Prozac, Paxil, Zoloft,
[00:44:42.426 --> 00:44:50.570]  Lexapro, Luvox, and others all cause massive increases in strokes and the risk of intracranial hemorrhages.
[00:44:53.751 --> 00:44:59.533]  Folks, what is XTC or MOLLY or the different variants of MDMA do?
[00:45:00.134 --> 00:45:02.955]  The Germans invented it in the 20s in an accident in a chemical plant.
[00:45:03.375 --> 00:45:03.835]  You can look it up.
[00:45:04.315 --> 00:45:06.236]  By the 80s it was called the love drugs.
[00:45:06.456 --> 00:45:07.957]  Psychologists were handing it out to everybody.
[00:45:08.397 --> 00:45:10.038]  It is the only known admitted treatment for
[00:45:12.108 --> 00:45:13.108]  Post-traumatic stress disorder.
[00:45:13.429 --> 00:45:20.932]  The problem is they had to ban it because if you start taking it every week over a year or so, it'll leave holes in your brain and cause massive hemorrhages.
[00:45:21.872 --> 00:45:24.313]  What class is the serotonin reuptake inhibitor?
[00:45:25.394 --> 00:45:27.715]  It's in the hallucinogen, psychotropic class.
[00:45:28.135 --> 00:45:29.736]  What class is MDMA in?
[00:45:29.776 --> 00:45:30.236]  The same thing.
[00:45:30.516 --> 00:45:31.817]  It's just a lot stronger.
[00:45:34.578 --> 00:45:39.780]  I had a girlfriend in college that sometimes would take like 10 Prozacs and she'd be bombed out of her head for a day.
[00:45:40.981 --> 00:45:41.561]  In ecstasy.
[00:45:44.150 --> 00:45:44.590]  Same thing.
[00:45:45.050 --> 00:45:46.371]  Same class of drugs.
[00:45:47.011 --> 00:45:49.251]  You take that stuff every day for a couple years?
[00:45:50.672 --> 00:45:51.712]  You take it for a decade?
[00:45:52.092 --> 00:46:06.636]  Everyone I know that's taken that stuff for more than a decade has either a skin disease where their skin's totally pale or they get tumors or they get brain tumors or they have hemorrhages and die.
[00:46:08.237 --> 00:46:09.237]  I probably have
[00:46:11.353 --> 00:46:21.635]  I have five or more friends that have died of brain hemorrhages or brain tumors that have been on Prozac-type drugs since high school.
[00:46:21.935 --> 00:46:24.556]  And they're dying in the last few years.
[00:46:24.856 --> 00:46:25.716]  I go to their funerals.
[00:46:29.257 --> 00:46:31.637]  Then I talk to their families and they go, yeah, it was the Luvox.
[00:46:34.038 --> 00:46:35.418]  I have a really good friend who went on
[00:46:36.377 --> 00:46:39.038]  Paxil, within one year, got the disease.
[00:46:39.299 --> 00:46:40.379]  Viriligo, what's it called?
[00:46:40.399 --> 00:46:42.420]  Where you turn totally white, look like a vampire?
[00:46:43.161 --> 00:46:44.081]  Start having nosebleeds?
[00:46:44.101 --> 00:46:48.124]  And he said, listen, I hate it, I hate it, but now I'm totally addicted.
[00:46:48.144 --> 00:46:49.304]  I go crazy if I don't take it.
[00:46:51.685 --> 00:46:55.528]  Here it is, SSRI, antidepressants increase risk of intercranial hemorrhage.
[00:46:55.888 --> 00:47:01.391]  Patients being treated with SSRIs had a 70% increase in risk of experiencing an intercranial hemorrhage.
[00:47:01.671 --> 00:47:04.913]  And that's just in their own study, looking at people over a year.
[00:47:06.769 --> 00:47:07.630]  Imagine a decade.
[00:47:08.170 --> 00:47:15.535]  From Healthline.com, an inner cranial hemorrhage, ICH refers to an acute bleeding inside your skull or brain.
[00:47:15.915 --> 00:47:17.816]  It's a life-threatening hemorrhage emergency.
[00:47:18.737 --> 00:47:20.878]  You should go to the emergency room right away or call 911.
[00:47:21.158 --> 00:47:21.639]  Yeah.
[00:47:22.539 --> 00:47:28.603]  The public has learned about the increased risk of suicide and violent behavior, including murder, stemming from the use of SSRI antidepressants.
[00:47:28.663 --> 00:47:29.344]  Now there's more.
[00:47:30.543 --> 00:47:43.371]  A study published Friday in JAMA Neurology has found that patients taking antidepressants that are strong inhibitors of serotonin reuptake may be at an increased risk for intercranial hemorrhage, particularly during the first month of use.
[00:47:43.791 --> 00:47:46.873]  And then over time it gets worse, but it's that first month's the really bad time.
[00:47:48.994 --> 00:47:50.475]  It goes on the Journal of Psychiatry.
[00:47:50.495 --> 00:47:53.837]  It says that it could kill you in the first seven days.
[00:47:54.238 --> 00:47:56.579]  This is just a study on the first few months of use.
[00:47:56.599 --> 00:47:57.940]  There's other ones on long-term use.
[00:47:59.719 --> 00:48:02.161]  It eats holes in your brain.
[00:48:02.742 --> 00:48:04.924]  It makes your brain do things it's not supposed to.
[00:48:05.244 --> 00:48:06.925]  Meanwhile, you know what I do when I'm down a little bit?
[00:48:07.946 --> 00:48:16.994]  I take 5-HTP, which is just a normal brain chemical you buy at the store, like 20 bucks a bottle, and I take Knockout, which has plants that have the same thing in it.
[00:48:18.435 --> 00:48:19.356]  I don't take it every night.
[00:48:21.658 --> 00:48:22.398]  By the way, Knockout's $19.95.
[00:48:22.438 --> 00:48:22.839]  L-Tryptophan,
[00:48:25.623 --> 00:48:33.907]  Serotonin from organic sources, valerian root that has the plant compounds, lemon balm, chamomile, and other known things.
[00:48:34.267 --> 00:48:42.971]  And my lawyer who wrote the Texas Family Codes, one of the top lawyers in Texas, has been on four different things, sleep studies, you name it.
[00:48:43.392 --> 00:48:44.912]  He said knockout changed his life.
[00:48:44.952 --> 00:48:50.255]  He looks 10 years younger and literally just says he wants to come on air and talk about it because
[00:48:52.159 --> 00:48:54.000]  It changed his life, ladies and gentlemen.
[00:48:54.060 --> 00:48:55.161]  It's mother nature.
[00:48:55.241 --> 00:48:56.782]  Totally natural, totally healthy.
[00:48:57.062 --> 00:48:58.122]  And it does the opposite.
[00:48:58.222 --> 00:49:01.924]  It gives your brain the chemicals that are being depleted.
[00:49:04.906 --> 00:49:09.668]  And when they get depleted, you take these chemicals that still force the brain to carry out those functions.
[00:49:09.728 --> 00:49:16.052]  It'll start dragging other chemicals through the blood-brain barrier, other than serotonin or dopamine, and cause brain damage.
[00:49:16.372 --> 00:49:17.233]  And that's in the medical literature.
[00:49:17.253 --> 00:49:19.674]  I didn't mean to go into a plug separately on knockout.
[00:49:21.099 --> 00:49:23.760]  It's just sunshine, clean water, herbs.
[00:49:24.280 --> 00:49:27.341]  That's what the apothecaries were, the old ancient doctors in every culture.
[00:49:27.361 --> 00:49:30.582]  That was one half of medicine, was plants, herbs, apothecaries.
[00:49:31.182 --> 00:49:32.123]  That's what the pharmacy is.
[00:49:32.183 --> 00:49:43.426]  It's why the pharmacy symbols a bowl with a stone mallet or stone grinder to grind the herbs, to drink them as a tea, to drink them as an oil.
[00:49:44.207 --> 00:49:47.648]  And all we've done is brought back all the best stuff that's out there, but I didn't mean to get into that.
[00:49:47.948 --> 00:49:48.468]  The point is,
[00:49:49.929 --> 00:50:02.173]  Here we are telling you SSRIs eat holes in your brain and give you all sorts of problems where you get aneurysms and intercranial bleeding and strokes and all sorts of other crap.
[00:50:02.253 --> 00:50:03.253]  That's what it does.
[00:50:03.333 --> 00:50:04.534]  It's hard core.
[00:50:06.114 --> 00:50:08.255]  It's in the hallucinogen family.
[00:50:08.535 --> 00:50:09.895]  That's what psychotropics are.
[00:50:12.076 --> 00:50:14.057]  Okay, maybe you took acid five times in college.
[00:50:14.757 --> 00:50:15.797]  Changed your world, didn't it?
[00:50:16.037 --> 00:50:17.578]  Imagine taking this stuff for five years.
[00:50:20.572 --> 00:50:23.595]  That's why you hear about people drinking on that stuff, and then they go out and kill a bunch of people?
[00:50:23.635 --> 00:50:25.537]  Because you're out of your mind, ladies and gentlemen!
[00:50:25.577 --> 00:50:26.398]  It's crazy!
[00:50:27.639 --> 00:50:30.122]  So, here's just a few articles on that today.
[00:50:30.322 --> 00:50:31.523]  Look at this article on the Daily Mail.
[00:50:31.804 --> 00:50:37.369]  How the CIA tried to turn a cat into a cyborg spy by implanting it with a microphone and an antenna.
[00:50:38.611 --> 00:50:41.534]  This was decades ago they did this, now declassified.
[00:50:42.509 --> 00:50:52.078]  I was at my press conference Friday and I brought up chimeras, human-animal hybrids, as a major threat to humanity because of the viruses that it's giving rise to and mutations.
[00:50:53.059 --> 00:50:55.241]  And the media all made fun of me and said I was crazy.
[00:50:55.481 --> 00:51:00.166]  And hundreds of newspapers, they said it didn't exist because they think you're stupid.
[00:51:00.466 --> 00:51:01.187]  We'll be right back.
[00:51:03.348 --> 00:51:04.769]  Vitamin Mineral Fusion.
[00:51:04.949 --> 00:51:07.351]  Visit Infowarslife.com to secure your canister.
[00:51:07.532 --> 00:51:14.837]  We have worked for years with our chemists and scientists to create the most powerful and affordable, great-tasting multivitamin formula available.
[00:51:15.038 --> 00:51:25.346]  Vitamin Mineral Fusion Drink Mix at Infowarslife.com is loaded with a full month's supply of essential vitamins, minerals, and amino acids that your body absolutely needs.
[00:51:25.666 --> 00:51:33.250]  In the history of InfoWars Life, we've brought out a lot of amazing products like Survival Shield X2, Super Metal Vitality, and so many others.
[00:51:33.510 --> 00:51:43.476]  With its unique delivery system and proprietary manufacturing process designed for maximized effects, this formula is the platinum standard of multivitamin mineral products.
[00:51:43.716 --> 00:51:45.637]  And this part is most important.
[00:51:45.757 --> 00:51:52.221]  The ingredients in vitamin mineral fusion are either plant-derived or of the highest quality lab standard.
[00:51:52.561 --> 00:51:53.644]  That means it's clean.
[00:51:54.005 --> 00:51:55.007]  That means it's pure.
[00:51:55.147 --> 00:51:57.953]  And rest secured, you're fighting the tip of the spear in the InfoWars.
[00:51:58.033 --> 00:52:00.699]  That's InfoWarsLive.com and Vitamin Mineral Fusion.
[00:52:00.839 --> 00:52:02.483]  Take action now before we sell out.
[00:52:03.473 --> 00:52:16.025]  Although conservative commentator Ann Coulter backed out of showing up to her already-canceled speech at Berkeley, that didn't stop freedom-loving Americans from conducting a large First Amendment rally in its place.
[00:52:16.285 --> 00:52:24.012]  Prominent social media icons such as Gavin McInnes, Lauren Southern, Based Stickman, Baked Alaska, Brittany Pennybone, and
[00:52:24.192 --> 00:52:28.557]  Faith Goldie showed up to support free speech and gave speeches.
[00:52:28.797 --> 00:52:37.688]  Reports that the Berkeley police did their job in protecting the peace have come in, and apparently a total of six Antifa protesters were arrested.
[00:52:37.928 --> 00:52:43.435]  Two for resisting arrest, one for a drug violation, and another for possessing a weapon.
[00:52:43.755 --> 00:52:52.138]  Two more arrests were made earlier in the day for possession of a knife and obstructing an officer and wearing a mask to evade police.
[00:52:52.398 --> 00:52:58.221]  Despite these arrests, the protests remained peaceful and dialogue between both sides was present.
[00:52:58.461 --> 00:53:01.602]  This is Millie Weaver reporting to you for InfoWars.com.
[00:53:03.211 --> 00:53:04.572]  Clean, pure drinking water.
[00:53:04.852 --> 00:53:06.132]  You can't survive without it.
[00:53:06.332 --> 00:53:07.233]  But where do you get it?
[00:53:07.553 --> 00:53:13.295]  Alexa Pure Pro is a brand new, groundbreaking, gravity-fed water filtration system that is like no other.
[00:53:13.535 --> 00:53:19.257]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[00:53:19.437 --> 00:53:36.304]  Pairing the unprecedented superfiltration power of an all-new Gravity Block Core with a hybrid chromatic shell, it removes up to 99.999% of impurities, including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[00:53:36.704 --> 00:53:38.826]  Filter capacity up to 5,000 gallons.
[00:53:39.186 --> 00:53:40.387]  Stainless steel construction.
[00:53:40.667 --> 00:53:41.408]  Easy assembly.
[00:53:41.688 --> 00:53:42.328]  Low maintenance.
[00:53:42.609 --> 00:53:44.430]  Replacement filters are simple to install.
[00:53:44.710 --> 00:53:51.836]  And now, as part of an exclusive limited-time introductory offer, you can save $20 off the retail price and get free shipping.
[00:53:51.976 --> 00:53:56.979]  This is a limited-time offer, so order your unit today and receive free shipping and $20 off.
[00:53:57.180 --> 00:53:59.762]  Go to InfowarsStore.com or call 888-253-3139.
[00:54:13.709 --> 00:54:18.092]  Another ragtag band declaring independence.
[00:54:21.034 --> 00:54:23.196]  They laid their bodies down in a bloody war.
[00:54:24.597 --> 00:54:27.699]  The least I can do is lay my name down.
[00:54:28.680 --> 00:54:30.141]  The least I can do is get sued.
[00:54:30.161 --> 00:54:31.322]  The least I can do is get attacked.
[00:54:31.882 --> 00:54:37.247]  The least I can do is have the media perch on top of family custody hearing and
[00:54:38.226 --> 00:54:39.447]  Partially take my kids away from me.
[00:54:39.867 --> 00:54:41.128]  And I'm sure a lot more is going to come.
[00:54:41.148 --> 00:54:42.649]  That's just the way this is.
[00:54:42.689 --> 00:54:43.450]  And I ask for it.
[00:54:43.870 --> 00:54:44.670]  I don't blame God.
[00:54:45.391 --> 00:54:47.953]  I say if it's God's will, hit me harder.
[00:54:47.993 --> 00:54:48.393]  Let's go.
[00:54:48.413 --> 00:54:50.574]  Because I'm ready to take the globalists on.
[00:54:50.594 --> 00:54:51.655]  We're going to defeat them in the end.
[00:54:53.677 --> 00:54:56.278]  Far ahead of their time!
[00:54:57.979 --> 00:55:00.961]  Without the renegades, Lord knows where we'd be.
[00:55:01.842 --> 00:55:02.763]  Without the renegades.
[00:55:04.346 --> 00:55:07.068]  When it comes to heroes, renegades are mine.
[00:55:07.708 --> 00:55:08.869]  Okay, let's get to this article.
[00:55:08.909 --> 00:55:09.569]  It's behind me.
[00:55:09.850 --> 00:55:24.419]  They've got some other really shocking graphics that are in the CIA documents that go back to the 1980s, but were declassified in 2001, but not publicly disseminated.
[00:55:24.439 --> 00:55:30.483]  So WikiLeaks released this, and this is the stuff they tried to hire my dad for back in the 1980s.
[00:55:32.645 --> 00:55:34.066]  And by the way, he wasn't that special.
[00:55:34.086 --> 00:55:41.050]  They were trying to hire most of the top implant dentists in Texas that he knew to get double the pay.
[00:55:41.150 --> 00:55:42.111]  It'd be like $500,000.
[00:55:42.931 --> 00:55:44.152]  It was $500,000 back then.
[00:55:45.473 --> 00:55:54.798]  To go work in Maryland in a black project dealing with cybernetics, implanting electronics in humans and animals.
[00:55:55.299 --> 00:55:57.160]  Now I've told you the story for 20 years on air.
[00:55:58.821 --> 00:56:00.542]  And now you notice it's in the news.
[00:56:03.186 --> 00:56:05.447]  But believe me, this stuff's been in the field for a long time.
[00:56:05.488 --> 00:56:09.550]  Not just cats, but rats, birds, insects, and humans.
[00:56:10.211 --> 00:56:16.275]  A lot of military people volunteer for this, and they literally have bionic men out there, ladies and gentlemen.
[00:56:17.155 --> 00:56:24.160]  How the CIA tried to turn a cat into a cyborg spy by implanting it with a microphone and antenna.
[00:56:25.486 --> 00:56:32.171]  The cat had a microphone antenna and battery pack electrically embedded into its skin so the feline could act as a covert recording device.
[00:56:32.651 --> 00:56:39.757]  Recently declassified documents show how the scientists responsible for the cruel research were praised by spy chiefs for their pioneering work.
[00:56:40.497 --> 00:56:45.601]  You know the big stuff's nanotech inside the body and for 50 years they've had soldiers drinking liquid.
[00:56:48.706 --> 00:56:51.609]  Liquid oxygen, basically, in a water base into the lungs.
[00:56:51.849 --> 00:56:53.230]  There's Aquaman, all of it.
[00:56:53.471 --> 00:56:56.013]  And it's all public, but the general public hears it and just laughs at you.
[00:56:56.173 --> 00:56:57.795]  They don't know any of this is actually going on.
[00:56:57.815 --> 00:56:59.776]  They just go, oh, Alex Jones is crazy.
[00:56:59.816 --> 00:57:01.478]  Ha ha, spider goats.
[00:57:01.778 --> 00:57:03.940]  25 years after spider goats were declassified by the U.S.
[00:57:04.020 --> 00:57:04.221]  Army.
[00:57:04.441 --> 00:57:07.504]  Part spider, part goat to create spider body armor out of their milk.
[00:57:08.953 --> 00:57:10.514]  They were laughing at me at a press conference.
[00:57:10.814 --> 00:57:19.137]  I said, you know, things like spider goats, chimeras, and it was all, he's crazy, he's stupid, isn't it funny, he said the sun came up.
[00:57:20.438 --> 00:57:28.081]  The strange eavesdropping technique, though never used in the field, yeah right, resurfaced this week when WikiLeaks tweeted a link to a classified CIA memo.
[00:57:28.936 --> 00:57:31.879]  The research was dubbed Project Acoustic Kitty.
[00:57:31.899 --> 00:57:33.821]  13 million dollar project over a five year development.
[00:57:34.282 --> 00:57:35.343]  In the 1960s.
[00:57:35.843 --> 00:57:36.904]  Yeah, I'm gonna be honest.
[00:57:36.964 --> 00:57:38.086]  I didn't even read the whole article.
[00:57:38.266 --> 00:57:38.987]  I just went off memory.
[00:57:39.027 --> 00:57:39.567]  I said 1980s.
[00:57:39.627 --> 00:57:40.328]  I'm sorry.
[00:57:40.408 --> 00:57:41.409]  It's 1960s.
[00:57:41.830 --> 00:57:43.571]  I read another article this weekend that didn't say that.
[00:57:43.591 --> 00:57:44.552]  It didn't say when.
[00:57:44.592 --> 00:57:46.935]  I just knew that my dad was told about it in the 1980s.
[00:57:48.717 --> 00:57:50.078]  And he said, you know, no thanks.
[00:57:50.118 --> 00:57:51.600]  I don't think I'm gonna be involved in that.
[00:57:55.387 --> 00:57:57.048]  So, there you go, ladies and gentlemen.
[00:57:58.229 --> 00:57:59.150]  Oh, it's so funny!
[00:57:59.210 --> 00:58:00.091]  Ha, ha, ha!
[00:58:00.671 --> 00:58:07.857]  What about the human-animal hybrids they've been creating in utero, implanting humanoids in cows for at least 30 years we know of?
[00:58:08.857 --> 00:58:13.679]  That was in the BBC 20 years ago that it was going on a decade before.
[00:58:14.280 --> 00:58:15.660]  We're not in Kansas anymore.
[00:58:15.980 --> 00:58:18.221]  Briefly, we're about to sell out over the next few days.
[00:58:18.582 --> 00:58:23.124]  Bone broth, turmeric, the caveman ultimate paleo formula that people love so much.
[00:58:23.544 --> 00:58:24.284]  Why am I doing 53% off?
[00:58:24.304 --> 00:58:26.305]  Because I want people that haven't tried it to try it.
[00:58:26.846 --> 00:58:27.486]  It sells out.
[00:58:27.506 --> 00:58:29.127]  It's not like it's not a great product.
[00:58:29.147 --> 00:58:30.207]  It's one of our top five sellers.
[00:58:30.567 --> 00:58:31.668]  I just want you to be able to try it.
[00:58:32.108 --> 00:58:44.594]  It's a loss a liter if you sign up for auto ship an additional 10% off and 50% off super blue our fluoride free toothpaste now back in stock and you literally stick your thumb in the globalist eye by supporting the hardcore InfoWar.
[00:58:45.315 --> 00:58:46.115]  InfoWarStore.com.
[00:58:46.916 --> 00:58:49.157]  Visit GCNlive.com today.
[00:58:49.897 --> 00:58:50.638]  Second Hour coming up.
[00:58:50.658 --> 00:58:51.218]  Your phone calls.
[00:58:53.439 --> 00:58:55.340]  Electrify your day with Secret 12.
[00:58:55.740 --> 00:58:57.081]  It's like lightning in a bottle.
[00:58:57.301 --> 00:59:00.842]  We all have days in which we just can't seem to perform at the level we'd like to.
[00:59:01.202 --> 00:59:08.966]  InfoWars Live Secret 12 is designed to naturally energize your body and mind with two great tasting and super high quality forms of vitamin B12.
[00:59:09.146 --> 00:59:13.968]  Proper vitamin and nutrient intake is essential to keep your body functioning at optimum levels.
[00:59:14.128 --> 00:59:19.590]  The reality is it's hard to take in the proper amount of vitamins we need each day with our modern diets.
[00:59:19.930 --> 00:59:27.456]  Seeker 12 by Infowars Life is an easy way to naturally upgrade your vitamin B12 intake and support your body's natural systems.
[00:59:27.716 --> 00:59:32.160]  It pairs two forms of vitamin B12 into one explosive formula.
[00:59:32.440 --> 00:59:38.165]  Vitamin B12 supports healthy energy levels through red blood cell formation and aiding in the body's natural processes.
[00:59:38.285 --> 00:59:41.267]  But it also assists with many other functions of the body.
[00:59:41.447 --> 00:59:44.750]  Electrify your mind and body and take your health to the next level.
[00:59:45.010 --> 00:59:48.713]  Experience the power of Secret 12 at Infowarslife.com.
[00:59:48.893 --> 00:59:50.995]  That's Infowarslife.com.
[00:59:53.977 --> 00:59:59.882]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[01:00:14.486 --> 01:00:18.967]  Live from the Infowars.com studios, it's Alex Jones.
[01:00:21.167 --> 01:00:22.608]  You know, this is a spiritual battle.
[01:00:22.688 --> 01:00:23.428]  It's like a movie.
[01:00:23.448 --> 01:00:30.329]  It's like the Matrix, where Agent Smith is everywhere and they can just activate through anybody he wants, and suddenly they become Agent Smith.
[01:00:30.349 --> 01:00:35.550]  I mean, I've got people literally just coming out of the woodwork to bring us down, flipping out, you name it.
[01:00:36.010 --> 01:00:36.410]  But you know what?
[01:00:36.430 --> 01:00:40.931]  People are coming out of the woodwork to also counter that, like it's Fight Club or something.
[01:00:40.991 --> 01:00:43.612]  So, people are really showing their true colors right now.
[01:00:44.625 --> 01:00:46.646]  There's a spiritual battle happening on this planet.
[01:00:47.286 --> 01:00:50.128]  Marie Le Pen is up in the polls.
[01:00:50.268 --> 01:00:57.571]  She's neck and neck in many polls despite the fact that the French government's trying to spin polls against her and has said it's the French government's job to defeat her.
[01:00:58.071 --> 01:00:58.932]  French election week.
[01:00:58.952 --> 01:01:01.953]  Le Pen closing gap with Macron in many polls.
[01:01:02.013 --> 01:01:03.514]  It's up on InfoWars.com.
[01:01:03.774 --> 01:01:05.895]  Here's a John Bowne report breaking it all down.
[01:01:06.475 --> 01:01:08.957]  Why is InfoWars under such mega attack?
[01:01:09.037 --> 01:01:09.677]  Well, we know why.
[01:01:10.916 --> 01:01:21.920]  We're promoting nationalism, free market capitalism, local sovereign control, and comparing that to unelected globalism is very easy and very popular.
[01:01:23.280 --> 01:01:31.703]  And they know we're exponentially growing, so they want to shut us down as a way to intimidate everybody else and as a way to set a precedent, as I said earlier.
[01:01:32.263 --> 01:01:37.745]  First authoritarian movements shut down the independent press that is criticizing the power structure.
[01:01:38.405 --> 01:01:43.867]  Then it begins to actually persecute and go after people claiming they're spies or involved in espionage.
[01:01:44.447 --> 01:01:50.449]  They admit in the news three months ago, congressional hearings, I'm under criminal investigation for actually being a Russian spy.
[01:01:50.589 --> 01:01:54.130]  It's been a cozy relationship from the beginning.
[01:01:54.510 --> 01:01:55.891]  I will not let you down.
[01:01:56.011 --> 01:01:58.912]  You'll be very, very impressed, I hope.
[01:01:59.492 --> 01:02:01.032]  And I think we'll be speaking a lot.
[01:02:01.092 --> 01:02:03.173]  Donald Trump and Alex Jones.
[01:02:03.353 --> 01:02:06.094]  It's also what happens when you listen to the radio host Alex Jones.
[01:02:06.254 --> 01:02:06.714]  I don't know
[01:02:22.319 --> 01:02:27.460]  What happens in somebody's mind or how dark their heart must be?
[01:02:27.800 --> 01:02:32.581]  I began to realize that she is an angel and she wants to help me!
[01:02:32.821 --> 01:02:33.281]  No!
[01:02:33.721 --> 01:02:33.961]  No!
[01:02:34.341 --> 01:02:36.062]  You've got to be sent for reprogramming!
