[00:00:03.792 --> 00:00:16.241]  He never gives up.
[00:25:36.185 --> 00:25:41.126]  All the sociopaths and arrogant people in your system are like balls and chains.
[00:25:41.726 --> 00:25:42.547]  They'll bring you down.
[00:25:43.387 --> 00:25:46.907]  The hubris of your queen, Hillary, shows us your weakness.
[00:25:48.548 --> 00:25:49.428]  And the cancer you are.
[00:25:51.092 --> 00:25:51.732]  By cancer.
[00:25:52.873 --> 00:25:59.777]  The Soviet program was all done by the globalists, the deep state, the robber barons, even before they got the National Security Act.
[00:26:01.638 --> 00:26:06.901]  Communist China, declassified, put in charge, 1949, by the CIA.
[00:26:07.481 --> 00:26:08.742]  Greatest mass murders in history.
[00:26:09.402 --> 00:26:16.666]  Everything they've done is about social engineering and total control, that once they get total control, then the communism will finally work.
[00:26:20.421 --> 00:26:22.443]  But instead, all you've created is abominations.
[00:26:25.105 --> 00:26:30.430]  And now we have Nikki Haley, a good governor you could say, but when she's up there, I've got her quotes here.
[00:26:30.450 --> 00:26:36.515]  Haley said the threats were not empty and a diplomatic process with North Korea doesn't work.
[00:26:36.575 --> 00:26:42.300]  She will, quote, be perfectly happy to send this over to Defense Secretary Mattis.
[00:26:42.701 --> 00:26:47.225]  The sycophantic way she acts like that guy is God and
[00:26:48.669 --> 00:26:51.811]  He's got a magic wand and, you know, just the power tripping.
[00:26:52.171 --> 00:26:53.512]  Just smells of failure.
[00:26:54.613 --> 00:26:58.315]  Just the arrogance always goes before a fall.
[00:27:01.838 --> 00:27:03.099]  He has plenty of military options.
[00:27:04.099 --> 00:27:11.624]  Why don't you say you would not be happy to have to send it over to Mattis for military options?
[00:27:13.125 --> 00:27:13.505]  No, no, no.
[00:27:13.946 --> 00:27:15.667]  You said you'd be perfectly happy.
[00:27:16.820 --> 00:27:19.715]  That, that, nobody, that's not good lady, okay?
[00:27:20.816 --> 00:27:27.702]  And she goes on, but I agree with her getting the part about if we have to hit North Korea, you've got to vaporize it all.
[00:27:27.842 --> 00:27:34.449]  Sorry, DMZ, all military bases, all the leadership centers, because they are an armed camp.
[00:27:34.469 --> 00:27:41.815]  They're going to cause a huge protracted war that we're going to lose hundreds of thousands of troops in, and that the globalists might want to suck us into.
[00:27:42.036 --> 00:27:45.699]  But Trump doesn't want to wait for that to happen a few years down the road, as the globals were planning.
[00:27:45.919 --> 00:27:46.920]  He wants to fix it now.
[00:27:46.940 --> 00:27:48.922]  Just to have Haley as the instrument of this.
[00:27:48.942 --> 00:27:50.583]  With her little screw up, but we all screw up.
[00:28:02.301 --> 00:28:09.883]  She says she'd be perfectly happy, this is a quote, to send this over to Defense Secretary Mattis, since he has plenty of military options.
[00:28:10.063 --> 00:28:10.483]  Oh, plenty?
[00:28:11.084 --> 00:28:11.284]  No.
[00:28:11.964 --> 00:28:14.505]  Total destruction is the only option, lady.
[00:28:15.205 --> 00:28:17.165]  Quote, it was not an empty threat.
[00:28:17.946 --> 00:28:19.806]  What we're doing is being responsible.
[00:28:20.527 --> 00:28:26.988]  Where North Korea is being irresponsible and reckless, we're being responsible by trying to use every diplomatic possibility that we can possibly do.
[00:28:27.309 --> 00:28:31.890]  We're pretty much exhausted all the things we can do at the Security Council at this point.
[00:28:34.258 --> 00:28:41.825]  So when we come back, we'll play her again saying, quote, North Korea will be destroyed if we have to hit them.
[00:28:41.885 --> 00:28:42.686]  Well, you have to.
[00:28:43.907 --> 00:28:50.373]  But we're not happy to turn that over to Mattis, like Mattis because he has the name Mad Dog.
[00:28:50.413 --> 00:28:54.437]  He'll magically fix it all with China and Russia involved.
[00:28:54.457 --> 00:28:55.899]  You see, we're not dealing with North Korea.
[00:28:56.239 --> 00:28:57.000]  It's a gambit.
[00:28:57.080 --> 00:28:59.222]  It's a pawn in the larger stratagem.
[00:29:01.807 --> 00:29:06.669]  I have promoted and sold hundreds of great products in my 22 years on air.
[00:29:07.390 --> 00:29:10.751]  But this one right here is in the top three.
[00:29:11.171 --> 00:29:12.292]  Alexa Pure Breeze.
[00:29:12.612 --> 00:29:16.074]  You can buy filters similar to this one for $500 to $600 that are three-stage.
[00:29:16.094 --> 00:29:18.775]  Alexa Pure Breeze is $200, has a four-filter system,
[00:29:28.357 --> 00:29:32.204]  Including Ion, Cluster, Charcoal and more.
[00:29:33.726 --> 00:29:39.916]  That is completely game-changing and costs less than half of leading competitors.
[00:29:40.838 --> 00:29:42.280]  And when you look at the specs,
[00:29:43.345 --> 00:29:44.246]  It's just amazing.
[00:29:44.366 --> 00:29:53.291]  When you first turn it on in a room, it's red, meaning it's picking up particulate, it's picking up pathogens, it's picking up gases, it's picking up toxins.
[00:29:53.691 --> 00:29:59.835]  And it might take 10 minutes, it might take an hour for it to turn pink and then blue when it's picking nothing up.
[00:29:59.915 --> 00:30:00.915]  And these are so strong.
[00:30:01.296 --> 00:30:04.197]  In my home, if I sneeze 20 feet away,
[00:30:05.638 --> 00:30:08.300]  In a few seconds, it goes from blue to red.
[00:30:08.660 --> 00:30:10.021]  It's picking up that particular.
[00:30:10.582 --> 00:30:19.628]  That's what's so amazing about this unit is the sensors are so strong and the four filtration systems are so compact but so powerful.
[00:30:19.768 --> 00:30:23.130]  Could you spend way more and get something that maybe has a little bit better specs?
[00:30:23.210 --> 00:30:23.411]  Yes.
[00:30:24.031 --> 00:30:29.296]  But there are a lot of filters out there that are $500, $600, $700 that aren't even as good.
[00:30:29.596 --> 00:30:33.459]  And again, these can go six months to a year depending on how dirty the environment is.
[00:30:33.919 --> 00:30:36.301]  The replacement filters are very, very inexpensive.
[00:30:36.822 --> 00:30:40.765]  Do yourself a favor and go to InfowarsStore.com today.
[00:30:41.206 --> 00:30:42.387]  Read the specs for yourself.
[00:30:42.967 --> 00:30:44.529]  And then you have nothing to lose.
[00:30:44.949 --> 00:30:45.650]  Spend $200.
[00:30:46.511 --> 00:30:49.173]  Help us make $50 to fund our operation.
[00:30:49.533 --> 00:30:51.716]  Get an amazing unit in your home.
[00:30:51.976 --> 00:30:59.603]  I'm very confident that we're going to see you come back and order several more, and then a few more for your office, and then to give them as gifts as well.
[00:30:59.883 --> 00:31:03.047]  There are studies, and listen to me carefully, all over the world
[00:31:04.033 --> 00:31:17.321]  And depending on the study, it's between 7 and 12 years that the average person loses off their life expectancy living in a big city alone because of the toxins and the particulates.
[00:31:17.601 --> 00:31:19.983]  You then add all the pollen and the rest of it.
[00:31:21.003 --> 00:31:29.188]  It is not a luxury to have the Alexa Pure Breeze that is the best filtration system out there at the lowest price.
[00:31:30.289 --> 00:31:31.790]  It is essential.
[00:31:33.246 --> 00:31:39.451]  We are doing everything we can to mitigate the toxic environment that industrial society has created.
[00:31:39.691 --> 00:31:40.912]  So support the Infowar.
[00:31:41.352 --> 00:31:49.138]  Fund folks that are fighting the globalists and having success, and get a system that purifies and cleans the air for yourself and your family.
[00:31:49.418 --> 00:31:52.000]  It's the Alexa Pure Breeze at InfowarStore.com.
[00:31:52.240 --> 00:31:57.544]  We also have their full line of amazing gravity-fed filters as well, which are a huge home run.
[00:31:57.864 --> 00:31:58.225]  But this?
[00:31:58.965 --> 00:32:01.326]  This is a grand slam.
[00:32:01.606 --> 00:32:06.008]  We have the new product at Infowarsandlife.com, BioTrue Selenium.
[00:32:06.108 --> 00:32:17.033]  We've had so many requests over the years for selenium and just recently we were able to source a certified organic bioavailable selenium from mustard seed extract.
[00:32:17.193 --> 00:32:22.136]  When you take selenium in the body, it actually benefits the detoxification systems in your body.
[00:32:22.256 --> 00:32:24.757]  It helps balance the thyroid gland.
[00:32:24.817 --> 00:32:26.318]  It helps detoxify.
[00:32:26.538 --> 00:32:29.359]  Selenium is another one of those absolute must-haves.
[00:32:29.419 --> 00:32:34.162]  The highest concentration of selenium is in the thyroid gland, but it's actually used all over the body.
[00:32:34.202 --> 00:32:38.324]  As a matter of fact, there's 25 genes in the body that are directly
[00:32:38.744 --> 00:32:45.771]  ...dependent upon selenium, so it really is a all-around nutrient that everybody really needs.
[00:32:45.871 --> 00:32:47.313]  I'm taking it now, every day.
[00:32:47.493 --> 00:32:48.234]  This is so key.
[00:32:48.474 --> 00:32:52.798]  BioTrue Selenium is the product, the best selenium that we could bring you.
[00:32:52.818 --> 00:32:54.900]  We believe it's the best out there at a very, very low price.
[00:32:55.041 --> 00:32:58.504]  Exclusively available at M4WarsLive.com or by calling toll-free 888-253-3139.
[00:33:05.403 --> 00:33:09.905]  You're listening to the Alex Jones Show.
[00:33:19.128 --> 00:33:20.328]  Valiant patriots.
[00:33:21.549 --> 00:33:25.210]  Worldwide.
[00:33:26.270 --> 00:33:30.392]  Defending the republic from enemies foreign and domestic.
[00:33:31.132 --> 00:33:32.612]  It's Alex Jones.
[00:33:33.192 --> 00:33:34.193]  Battling the cult
[00:33:35.600 --> 00:33:42.462]  Of the entitled state, whether it be the Clintons or Kim Jong-un and his degenerate family history.
[00:33:44.023 --> 00:33:45.463]  A bunch of entitled trash.
[00:33:45.483 --> 00:33:53.106]  A bunch of narcissistic, psychopathic filth that will fall and will not take America and the world.
[00:33:55.979 --> 00:33:58.081]  All right, I've got to just blitz through tons of news.
[00:33:58.501 --> 00:34:04.805]  Someone opened the phones up in the second hour, Ann-Laura Loomer, who confronted Hillary Clinton again, had the Secret Service go after her.
[00:34:05.165 --> 00:34:06.986]  Hillary was in a toilet paper aisle.
[00:34:07.687 --> 00:34:09.468]  Who would not think of the optics of that?
[00:34:10.249 --> 00:34:11.930]  It's all coming up in the second hour.
[00:34:11.950 --> 00:34:16.333]  We have a lot of HD footage Loomer sent us that she didn't stream out live, that nobody's seen.
[00:34:16.733 --> 00:34:18.934]  Rob Dew came in, put it together in an HD report.
[00:34:19.254 --> 00:34:21.136]  We're going to premiere the start of the next hour.
[00:34:22.036 --> 00:34:27.059]  It is all coming up at InfoWars.com forward slash show.
[00:34:27.479 --> 00:34:32.642]  Because remember, if you're a radio listener, you can also watch InfoWars.com forward slash show.
[00:34:34.643 --> 00:34:44.529]  Remember folks, we're the most hated, most demonized media in the United States, and also in Europe to a great extent, because we've got our finger on the pulse.
[00:34:46.273 --> 00:34:48.234]  The mainstream media reads off teleprompters.
[00:34:48.274 --> 00:34:54.159]  They get talking points from the Ford Foundation and the Rockefeller Foundation and from the State Department.
[00:34:55.781 --> 00:34:59.144]  And they're all just a bunch of pseudo-intellectuals that try to look credible.
[00:35:00.665 --> 00:35:09.152]  They don't know that if North Korea strikes South Korea or Japan, there's a total commitment to plan to hit them with about 150 tactical nuclear weapons.
[00:35:09.833 --> 00:35:10.894]  That's the only plan there is.
[00:35:10.914 --> 00:35:13.016]  I mean, you've got to kill all those armies
[00:35:15.165 --> 00:35:22.822]  We go back to 1953 when MacArthur wanted to drop atomic bombs on 3 million Chinese troops coming across the Yalu River.
[00:35:25.583 --> 00:35:29.647]  And the average trendy, even a CNN host, they don't know all that.
[00:35:29.667 --> 00:35:38.917]  They just go, conspiracy theorist, kook, weirdo, he believes there's Martian bases, never said that, because they're not historians.
[00:35:39.237 --> 00:35:43.361]  They didn't work six hours today before I went on air.
[00:35:43.922 --> 00:35:45.683]  Four hours here before I went on air.
[00:35:47.505 --> 00:35:47.986]  Researching.
[00:35:49.056 --> 00:35:52.157]  They just go, oh Alex Jones is a cool guy.
[00:35:52.517 --> 00:35:53.478]  It doesn't matter.
[00:35:53.538 --> 00:35:57.019]  Our audience is bigger than many of your networks combined and you hate it.
[00:35:57.299 --> 00:35:59.220]  And despite all your censorship, it's failing.
[00:36:00.140 --> 00:36:05.202]  Because you're so discredited while you try to censor us, but build a straw man up of who we are.
[00:36:05.462 --> 00:36:09.243]  Enough of your audience is smart enough to go, they're attacking this guy constantly.
[00:36:09.543 --> 00:36:12.064]  We ought to actually hear what he's really doing.
[00:36:15.580 --> 00:36:23.508]  I don't want to get up here and attack Nikki Haley, but she says stuff routinely that just isn't right.
[00:36:25.930 --> 00:36:34.579]  Like, we'll be happy to run out of diplomatic options and just give this to the Secretary of Defense to have a military option.
[00:36:35.300 --> 00:36:36.241]  You don't talk like that.
[00:36:37.342 --> 00:36:38.283]  Because if we've got to drop
[00:36:39.431 --> 00:36:41.272]  We don't want to be saying we were happy about that.
[00:36:41.352 --> 00:36:43.012]  Not just for optics, but for Mojo.
[00:36:43.032 --> 00:36:44.773]  You don't want to have to do this.
[00:36:44.813 --> 00:36:45.994]  You want the moral high ground.
[00:36:59.577 --> 00:37:10.750]  And you certainly don't want to have to go to nuclear war because the globalists gave North Korea nuclear weapons and thought they'd blackmail the United States into surrender to communist China through their set piece down the road.
[00:37:10.971 --> 00:37:12.773]  We're breaking with globalist policy.
[00:37:13.013 --> 00:37:13.934]  That's why Trump's real.
[00:37:14.154 --> 00:37:16.477]  But we're not happy about the whole.
[00:37:17.398 --> 00:37:20.980]  That Hillary and Bill Clinton put us in when they gave those systems to North Korea.
[00:37:21.220 --> 00:37:24.641]  It's not something we... I don't have to report you to the principal.
[00:37:25.021 --> 00:37:27.722]  I'm more than happy to send you to the principal to get licks.
[00:37:28.383 --> 00:37:32.064]  This isn't sending some student to the principal to get licks.
[00:37:32.304 --> 00:37:35.405]  We're not happy North Korea's run by a nutcase.
[00:37:35.766 --> 00:37:37.546]  We're not happy he's got nuclear weapons.
[00:37:37.746 --> 00:37:39.467]  We're not happy he's got ICBMs.
[00:37:39.647 --> 00:37:41.448]  We're not happy to go to the military option.
[00:37:41.608 --> 00:37:45.830]  But if we do, total commitment, up front, preemptive strike, destroy the country!
[00:37:46.923 --> 00:37:54.388]  And that isn't acting tough like all you wanna-be tough guys that don't do the research, that don't put the hours in!
[00:37:54.408 --> 00:37:57.510]  I'm sick of it!
[00:37:57.670 --> 00:37:58.671]  And I'm angry about it!
[00:37:58.931 --> 00:37:59.871]  I have four children!
[00:38:01.733 --> 00:38:08.457]  If China and North Korea and Russia think that the United States is gonna back off from this, they're idiots.
[00:38:10.657 --> 00:38:13.999]  But the people out there that think, oh we're just dealing with North Korea, they're idiots too.
[00:38:14.199 --> 00:38:16.441]  We're dealing with Russia and we're dealing with China.
[00:38:16.701 --> 00:38:17.481]  That's what this is about.
[00:38:17.501 --> 00:38:23.605]  And it's about breaking that deal that Harry Truman made way back then to sell us out to the UN.
[00:38:25.947 --> 00:38:27.948]  And this Frankenstein that's North Korea.
[00:38:30.629 --> 00:38:32.991]  Here's Nikki Haley on the Communist News Network.
[00:38:34.434 --> 00:38:38.437]  They wanted to be responsible and go through all diplomatic means to get their attention first.
[00:38:38.837 --> 00:38:41.199]  If that doesn't work, General Mattis will take care of it.
[00:38:41.819 --> 00:38:46.742]  Well, by saying General Mattis will take care of it, you're talking about the Pentagon and you're talking about a military option.
[00:38:46.782 --> 00:38:48.543]  Is that what fire and fury meant?
[00:38:49.364 --> 00:39:04.194]  You have to ask the President what fire and fury meant, but I think we all know that basically, if North Korea keeps on with this reckless behavior, if the United States has to defend itself or defend its allies in any way, North Korea will be destroyed.
[00:39:05.755 --> 00:39:08.877]  Yeah, that's what fire and fury, because Bash keeps asking, what's that mean?
[00:39:09.157 --> 00:39:09.757]  What's that mean?
[00:39:09.777 --> 00:39:11.258]  It's like, I'm gonna knock your lights out.
[00:39:11.318 --> 00:39:11.859]  What's that mean?
[00:39:11.879 --> 00:39:13.179]  I'm gonna knock you upside the head.
[00:39:15.181 --> 00:39:17.302]  The media will spin that I'm threatening to punch Dana Bash.
[00:39:17.862 --> 00:39:18.563]  That's not what I'm saying.
[00:39:18.583 --> 00:39:21.865]  I'm saying, I'm gonna knock your lights out means I'm gonna knock you upside the head.
[00:39:22.165 --> 00:39:22.945]  I'm gonna knock you out.
[00:39:23.606 --> 00:39:25.587]  Fire and fury means nuclear weapons.
[00:39:28.456 --> 00:39:29.557]  And they've moved them into place.
[00:39:30.438 --> 00:39:31.779]  People are asking me, how did you know?
[00:39:31.799 --> 00:39:32.799]  Were you given classified info?
[00:39:32.839 --> 00:39:39.044]  How did you know months ago that it'd be tactical nukes to the DMZ and taking out, you know, their main cities and everything?
[00:39:39.084 --> 00:39:40.085]  Because you have to!
[00:39:40.405 --> 00:39:47.010]  They're an armed camp of brainwashed psychopaths that the minute you do anything or respond, all hell's gonna break loose!
[00:39:51.014 --> 00:39:56.338]  So, things are very, very serious and we have to be very, very focused right now, obviously.
[00:39:57.754 --> 00:39:57.994]  I don't
[00:40:17.591 --> 00:40:19.391]  And then you wonder why there's terror attacks.
[00:40:19.812 --> 00:40:22.972]  You wonder why there's acid attacks every hour or so.
[00:40:23.353 --> 00:40:24.293]  Why there's stabbings.
[00:40:24.353 --> 00:40:25.613]  Why they run over people.
[00:40:26.013 --> 00:40:27.013]  Why there's bombings.
[00:40:27.354 --> 00:40:33.595]  And then they go, oh don't worry, we'll spy on everybody and take your rights and ban any criticism of Islam because that might be stirring them up.
[00:40:33.755 --> 00:40:33.915]  No.
[00:40:34.215 --> 00:40:35.956]  They kill each other in their own countries.
[00:40:36.176 --> 00:40:38.076]  They're not compatible in a civilization.
[00:40:38.356 --> 00:40:43.918]  If they're Islamists that are heretics and want to live in a free country, then I'm all about bringing them here.
[00:40:45.575 --> 00:40:46.976]  My issue isn't their brown skin.
[00:40:47.016 --> 00:40:49.658]  My issue is the ideology of their pink brain.
[00:40:50.219 --> 00:40:50.719]  It's rotten.
[00:40:52.300 --> 00:40:55.222]  So, here's May, who's declared martial law with troops on the street.
[00:40:55.462 --> 00:41:01.127]  It's like leaving your front door open and then sending guards to stand over your children and act like they're the criminals.
[00:41:01.847 --> 00:41:07.111]  They've let in the Islamic threat to then bring in a police state, and I used to think it was just for a police state.
[00:41:07.391 --> 00:41:07.572]  No!
[00:41:08.813 --> 00:41:10.374]  We're not politically involved as Christians.
[00:41:11.462 --> 00:41:12.723]  The Muslims have got all this money.
[00:41:12.923 --> 00:41:14.224]  They bought the governments off.
[00:41:14.525 --> 00:41:16.967]  This is their long-term, thousand-plus year program.
[00:41:17.227 --> 00:41:18.708]  Hell, ask folks in Turkey.
[00:41:19.008 --> 00:41:20.350]  Used to be Constantinople.
[00:41:21.350 --> 00:41:23.112]  Look at the beautiful mosque the Muslims built.
[00:41:23.372 --> 00:41:24.393]  It's the blue church.
[00:41:26.035 --> 00:41:27.356]  It's the same old war, folks.
[00:41:27.416 --> 00:41:28.036]  It's who they are.
[00:41:28.296 --> 00:41:29.197]  They know who they are.
[00:41:29.417 --> 00:41:30.298]  They have an identity.
[00:41:30.558 --> 00:41:31.079]  We don't.
[00:41:31.299 --> 00:41:33.981]  The globalists took it from us before they tried to conquer us.
[00:41:34.161 --> 00:41:36.624]  And they're using Islam as their weapon to do it.
[00:41:36.924 --> 00:41:37.945]  Here is the Prime Minister.
[00:41:39.025 --> 00:41:53.038]  The Terrorism Analysis Centre, that's the independent organisation which is responsible for setting the threat level on the basis of available intelligence, has now decided to raise the national threat level from severe to critical.
[00:41:53.939 --> 00:41:59.083]  This means that their assessment is that a further attack may be imminent.
[00:41:59.904 --> 00:42:10.654]  Following JTAC's decision, the police have asked for authorisation from the Secretary of State for Defence to enact part of the first phase of Operation Tempora.
[00:42:11.054 --> 00:42:15.318]  This is a well-established plan to provide military support to the police.
[00:42:15.819 --> 00:42:24.606]  And for this period, military personnel will replace police officers on guard duties at certain protected sites which are not accessible to the public.
[00:42:25.387 --> 00:42:32.269]  The public will see more armed police on the transport network and on our streets, providing extra protection.
[00:42:32.289 --> 00:42:44.131]  Alright, so, disarm the public, bring in a bunch of Islamists, let them kill you, totally protect them, and then put troops on the street, and then double the amount of people being arrested for criticizing Islam.
[00:42:44.411 --> 00:42:45.152]  We get your plan.
[00:42:45.372 --> 00:42:49.053]  And she's being criticized for not wanting more open borders to unvetted Muslims.
[00:42:49.593 --> 00:42:50.313]  Just like Trump is.
[00:42:51.093 --> 00:42:53.274]  She's not as good as Trump, but she's a little bit better than what they had.
[00:42:53.294 --> 00:42:57.895]  But, again, they put a weak Tory in to get the leftist in very, very soon.
[00:42:58.215 --> 00:42:58.736]  We'll be back.
[00:42:58.776 --> 00:42:59.176]  Stay with us.
[00:43:01.877 --> 00:43:05.918]  You deserve a deep, restful sleep with Knockout by InfoWars Life.
[00:43:06.558 --> 00:43:16.982]  Our organic formula is made from high-quality, natural ingredients such as valerian root extract, L-tryptophan, lemon balm leaf extract, and melatonin.
[00:43:17.882 --> 00:43:22.246]  Knockout packs a powerful punch to get you through the night and achieve proper sleep.
[00:43:22.686 --> 00:43:30.653]  Millions of people around the world experience daytime drowsiness, but with the rapid speed of life, we need to be able to keep up the pace.
[00:43:31.093 --> 00:43:38.459]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need.
[00:43:38.819 --> 00:43:40.781]  Wake up refreshed and take on the day.
[00:43:41.241 --> 00:43:48.748]  InfoWarsLife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[00:43:49.188 --> 00:43:52.571]  Get the sleep you deserve and experience the power of knockout.
[00:43:52.852 --> 00:43:56.935]  Head on over to InfoWarsLife.com and say goodbye to fatigue.
[00:43:57.236 --> 00:43:58.677]  That's InfoWarsLife.com
[00:44:00.976 --> 00:44:09.604]  Hey, did you know that you can now preserve your own food for up to 25 years and still maintain its nutrition and flavor?
[00:44:09.664 --> 00:44:10.125]  That's right.
[00:44:10.185 --> 00:44:15.210]  Now's the time to build your own food storage with Harvest Right's freeze dryers.
[00:44:15.470 --> 00:44:21.896]  Go to infowarsstore.com to learn more and check out this innovative and smart technology that's easy to use,
[00:44:22.116 --> 00:44:29.422]  And let me tell you something, it is perfect for freeze drying fruits, vegetables, meats, dairy products, desserts, and entire meals.
[00:44:29.722 --> 00:44:29.902]  Woo!
[00:44:29.962 --> 00:44:30.883]  That's what I'm talking about.
[00:44:31.003 --> 00:44:39.610]  And when compared to traditional methods of preservation, like canning or dehydrating, you know, like what you get at the grocery store, there is no comparison.
[00:44:39.730 --> 00:44:47.797]  Harvest Right freeze dryers retain 97% of the food's taste, color, and nutritional value, and have a shelf life of up to 25 years.
[00:44:49.318 --> 00:44:52.640]  Now that's what I call the miracle of food preservation.
[00:44:52.761 --> 00:44:56.723]  Harvest Right is truly the world's best, most affordable freeze dryer.
[00:44:56.883 --> 00:44:57.784]  So what are you waiting for?
[00:44:57.944 --> 00:45:00.606]  Check it out right now at InfoWarsStore.com.
[00:45:01.267 --> 00:45:05.510]  Men, give your body the support it needs with InfoWars Life Prostagard.
[00:45:05.990 --> 00:45:09.813]  It's time to start assisting the body in regulating proper prostate balance.
[00:45:10.413 --> 00:45:21.099]  InfoWars Life has set out to bring you formulations that are not only the highest quality out there, but formulas that you can use on a daily basis to give your body the natural herbs and extracts that our experts recommend.
[00:45:21.640 --> 00:45:29.404]  The Prostagard formula does just that, with its mixture of plant-based nutrients and antioxidants that help give your body total support.
[00:45:29.624 --> 00:45:34.547]  It's a hand-selected blend of saw palmetto, lycopene, plant sterols,
[00:45:34.987 --> 00:45:35.887]  I think so.
[00:46:00.737 --> 00:46:04.282]  It's Paul Joseph Watson and the t-shirt has finally arrived.
[00:46:04.743 --> 00:46:10.791]  Nothing triggers safe space snowflakes more than this slogan and my face.
[00:46:11.191 --> 00:46:13.995]  It is the new t-shirt from InfoWarsStore.com.
[00:46:14.376 --> 00:46:17.340]  Conservatism is the new counterculture.
[00:46:17.560 --> 00:46:21.003]  You've seen how much this triggers the safe space snowflakes.
[00:46:21.343 --> 00:46:23.085]  The left controls culture.
[00:46:23.125 --> 00:46:24.106]  They control arts.
[00:46:24.166 --> 00:46:25.387]  They control entertainment.
[00:46:25.687 --> 00:46:32.773]  They have the complete monopoly on culture, which is why conservatism is the new counterculture.
[00:46:32.833 --> 00:46:35.235]  We are striking back in the culture war.
[00:46:35.735 --> 00:46:39.579]  This triggers snowflakes like nothing you've ever seen in your life.
[00:46:39.639 --> 00:46:41.701]  You've seen how much they absolutely hate
[00:46:42.321 --> 00:46:47.705]  The image of my face and that particular slogan, conservatism, is the new counterculture.
[00:46:47.945 --> 00:46:54.209]  This t-shirt is not only a conversation starter, it will trigger the holy hell out of leftists.
[00:46:54.269 --> 00:46:55.970]  It will make me incredibly happy.
[00:46:56.131 --> 00:46:57.311]  It's available right now.
[00:46:57.632 --> 00:47:00.193]  Get yours at infowarsstore.com.
[00:47:05.437 --> 00:47:08.059]  You're listening to the Alex Jones Show.
[00:47:31.135 --> 00:47:32.578]  You want to stop tyranny?
[00:47:32.838 --> 00:47:33.961]  Well, so does he.
[00:47:34.482 --> 00:47:39.191]  Live from the InfoWars.com studios, it's Alex Jones.
[00:47:45.703 --> 00:47:46.744]  We are back live.
[00:47:46.844 --> 00:47:48.464]  Open phones in the second hour.
[00:47:48.484 --> 00:47:50.005]  Reporter Laura Loomer joining us.
[00:47:50.445 --> 00:47:52.226]  She confronted Hillary for the second time in a week.
[00:47:52.246 --> 00:47:54.747]  She's asking her questions about Benghazi.
[00:47:55.248 --> 00:47:56.348]  Her book's called What Happened.
[00:47:57.188 --> 00:47:58.729]  What happened to you trying to steal the election?
[00:47:58.769 --> 00:48:00.690]  What happened to you faking the polls?
[00:48:00.750 --> 00:48:03.431]  What happened to you getting the questions, the debates beforehand?
[00:48:03.491 --> 00:48:07.073]  What happened to all those witnesses to Meena Arkansas drug dealing getting killed?
[00:48:07.093 --> 00:48:09.554]  You know, just what happened to all of it?
[00:48:09.614 --> 00:48:10.715]  What happened with Anthony Weiner?
[00:48:12.145 --> 00:48:16.673]  What happened with the missile secrets and fissile material for nuclear weapons in North Korea?
[00:48:17.013 --> 00:48:18.055]  Why are you such a traitor?
[00:48:18.476 --> 00:48:21.762]  She goes there and Hillary is in the toilet paper aisle at Costco.
[00:48:23.985 --> 00:48:28.288]  We've got all that exclusive footage coming up when she joins us in the second segment of the next hour.
[00:48:28.648 --> 00:48:32.570]  And then it is your phone calls, 877-789-ALEX.
[00:48:33.010 --> 00:48:34.531]  That's 877-789-2539.
[00:48:34.591 --> 00:48:40.015]  The Sunday number for the last eight, nine years I've done this show is our own number.
[00:48:40.035 --> 00:48:41.195]  We produce it all right out of the house.
[00:48:41.596 --> 00:48:43.197]  During the week, I'm still with GCN.
[00:48:43.577 --> 00:48:44.918]  They have their little phone system up there.
[00:48:44.938 --> 00:48:47.319]  That's a different number, but ours is 877-789-A-L-E-X gets you on the air.
[00:48:53.041 --> 00:48:54.803]  So, new reports out.
[00:48:54.983 --> 00:48:58.868]  Jihadists preparing trained derailments and food poisoning in Europe.
[00:48:59.588 --> 00:49:02.372]  RT, the Associated Press and others report.
[00:49:02.392 --> 00:49:04.354]  And what ISIS says they're going to do, they're going to do.
[00:49:04.814 --> 00:49:10.080]  After Obama and Hillary and all them gave them all those weapons and gave them oil fields and gave them all that support.
[00:49:10.100 --> 00:49:11.462]  I mean, that's a fact they did that.
[00:49:11.502 --> 00:49:11.902]  That's not...
[00:49:12.583 --> 00:49:13.483]  That's not fantasy.
[00:49:13.523 --> 00:49:15.004]  Some more attacks coming, but don't worry.
[00:49:15.304 --> 00:49:20.766]  We'll just bring more Muslims in and visit mosques and have Islam appreciation in all the schools.
[00:49:21.166 --> 00:49:22.806]  That'll make the Muslims stop killing us.
[00:49:23.046 --> 00:49:23.946]  It never did before.
[00:49:24.247 --> 00:49:27.307]  They just take over already half the planet, but it's alright.
[00:49:27.508 --> 00:49:30.869]  They just throw gays off buildings and cut women's genitals off, but J.K.
[00:49:30.909 --> 00:49:32.069]  Rowling still loves them.
[00:49:33.592 --> 00:49:37.033]  But we have Operation Temperer to temper the terror attack.
[00:49:37.313 --> 00:49:40.514]  Some troops wandering around, which are really for the British people.
[00:49:40.774 --> 00:49:43.835]  Not that the troops themselves are bad, but it's all martial law training.
[00:49:44.275 --> 00:49:45.355]  Heart-stopping moment.
[00:49:45.556 --> 00:49:49.497]  Armed cops storm suspect of the Pearsons Green bomb.
