[00:00:03.707 --> 00:00:04.533]  That's Allen Railway, Chevy.
[00:55:21.099 --> 00:55:24.321]  A lot of history gone.
[00:55:24.321 --> 00:55:26.683]  History, though, is now happening right before us, isn't it?
[00:55:27.915 --> 00:55:34.819]  And it's hard to believe that we're about to end the first month of 2017 before we have a twinkle in our eye.
[00:55:34.819 --> 00:55:38.961]  It'll be 2018 and then on and on and on and on, heaven and hell.
[00:55:38.961 --> 00:55:41.063]  It goes on and on, doesn't it?
[00:55:41.063 --> 00:55:56.852]  Well, during the ABC interview with the 45th President of the United States, the snarky, sniveling reporter snaking around, in between that, we were all treated to an ad
[00:55:58.271 --> 00:56:03.587]  Where the president is assassinated promoting a show designated Survivor.
[00:56:03.587 --> 00:56:03.968]  Here it is.
[00:56:27.691 --> 00:56:35.858]  And again, it's not a very good visual for folks that are on the radio, but Kiefer Sutherland's in it.
[00:56:35.858 --> 00:56:37.599]  The president gets killed, so he has to take over.
[00:56:37.599 --> 00:56:38.920]  This is what they're running.
[00:56:38.920 --> 00:56:40.381]  You're like, oh, that's just that one thing.
[00:56:40.381 --> 00:56:41.562]  No, ABC's talked about it.
[00:56:41.562 --> 00:56:43.564]  He should be killed.
[00:56:43.564 --> 00:56:45.325]  The New York Times has, The Washington Post.
[00:56:45.325 --> 00:56:46.206]  I mean, you've seen it everywhere.
[00:56:46.206 --> 00:56:46.606]  The L.A.
[00:56:46.606 --> 00:56:51.330]  Times, Newsweek, Time Magazine have called for riots in burning cities.
[00:56:51.330 --> 00:56:53.412]  When it's time to riot, it's incredible.
[00:56:54.428 --> 00:56:59.030]  And when they riot and attack you, they just say you did something wrong.
[00:56:59.030 --> 00:57:09.516]  Meanwhile, a teacher posts video shooting Trump with squirt gun, that's up on Infowars.com, screaming die in front of the class.
[00:57:09.516 --> 00:57:14.519]  Dallas High School teacher posts video shooting Trump with squirt gun in classroom, screaming die.
[00:57:14.519 --> 00:57:17.120]  Can we get the audio of this?
[00:57:17.120 --> 00:57:18.321]  Go ahead and fade it up if you can.
[00:57:18.321 --> 00:57:18.921]  Let's play this again.
[00:57:19.758 --> 00:57:22.524]  I mean, this is what you have
[00:57:32.119 --> 00:57:42.887]  You have these elementary school students sitting there while their crazy, whacked out witch teacher screams and yells while they're projecting Trump during the inauguration being inaugurated.
[00:57:42.887 --> 00:57:46.350]  I mean, when we were kids, they'd show the inauguration or the space shuttle or whatever.
[00:57:46.350 --> 00:57:47.471]  The teacher kept their mouth shut.
[00:57:47.471 --> 00:57:52.014]  Now it's a harpy, a mental patient, screaming, die, die, die.
[00:57:52.014 --> 00:57:55.877]  And you hear the little kids in the background going, what?
[00:57:55.877 --> 00:57:57.979]  Imagine how whacked out they are.
[00:57:57.979 --> 00:58:00.181]  The child abuse of this insanity.
[00:58:01.846 --> 00:58:09.351]  If Hillary would have been elected, and I saw a conservative teacher squirt gunning saying, die, die in front of kids, I'd say fire that person.
[00:58:09.351 --> 00:58:10.452]  What a lunatic!
[00:58:10.452 --> 00:58:12.873]  What a group of crazy people!
[00:58:12.873 --> 00:58:16.836]  And then white people just walk up to Starbucks, start screaming at some black lady, Trump won!
[00:58:16.836 --> 00:58:18.057]  I deserve all this stuff!
[00:58:18.057 --> 00:58:18.897]  You're attacking me!
[00:58:18.897 --> 00:58:19.698]  Just crazy!
[00:58:21.218 --> 00:58:23.580]  Crazy white people running around calling black people racists.
[00:58:23.580 --> 00:58:24.061]  Trump won.
[00:58:24.061 --> 00:58:26.803]  I mean, just whacked out loons.
[00:58:26.803 --> 00:58:27.644]  And it gets worse.
[00:58:27.644 --> 00:58:29.586]  China officially taking over Hollywood.
[00:58:29.586 --> 00:58:30.807]  They've got movies coming out.
[00:58:30.807 --> 00:58:32.949]  I'm going to cover this when we come back.
[00:58:32.949 --> 00:58:37.493]  You know, where Trump is basically a dictator and at the end of the world and they're all calling him Hitler.
[00:58:37.493 --> 00:58:41.496]  I mean, this is a group of lunatics, but not the people controlling them.
[00:58:41.496 --> 00:58:44.059]  They know what they're doing.
[00:58:44.059 --> 00:58:45.280]  Visit GCNlive.com today.
[00:58:49.933 --> 00:58:51.534]  Vitamin Mineral Fusion.
[00:58:51.534 --> 00:58:54.135]  Visit Infowarslife.com to secure your canister.
[00:58:54.135 --> 00:59:01.618]  We have worked for years with our chemists and scientists to create the most powerful and affordable, great-tasting multivitamin formula available.
[00:59:01.618 --> 00:59:11.922]  Vitamin Mineral Fusion Drink Mix at Infowarslife.com is loaded with a full month's supply of essential vitamins, minerals, and amino acids that your body absolutely needs.
[00:59:12.262 --> 00:59:20.104]  In the history of InfoWars Live, we've brought out a lot of amazing products like Survival Shield X2, Super Mel Vitality, and so many others.
[00:59:20.104 --> 00:59:30.306]  With its unique delivery system and proprietary manufacturing process designed for maximized effects, this formula is the platinum standard of multivitamin mineral products.
[00:59:30.306 --> 00:59:32.367]  And this part is most important.
[00:59:32.367 --> 00:59:38.808]  The ingredients in vitamin mineral fusion are either plant-derived or of the highest quality lab standard.
[00:59:39.168 --> 00:59:40.610]  That means it's clean.
[00:59:40.610 --> 00:59:41.732]  That means it's pure.
[00:59:41.732 --> 00:59:44.636]  And rest secured, you're finding the tip of the spear in the Infowar.
[00:59:44.636 --> 00:59:47.440]  That's Infowarslife.com and Vitamin Mineral Fusion.
[00:59:47.440 --> 00:59:52.448]  Take action now before we sell out.
[00:59:52.448 --> 00:59:55.031]  You're listening to the Alex Jones Show.
[01:00:10.373 --> 01:00:14.440]  Resistance to tyrants is obedience to God.
[01:00:14.440 --> 01:00:16.183]  It's Alex Jones.
[01:00:25.882 --> 01:00:27.163]  All right, and I've got to correct myself.
[01:00:27.163 --> 01:00:31.425]  There was another one where they're screaming and yelling at Trump in front of an elementary school that I saw.
[01:00:31.425 --> 01:00:34.407]  This is another one where it's in a high school.
[01:00:34.407 --> 01:00:37.369]  You can hear the students in the background going, what?
[01:00:37.369 --> 01:00:45.934]  As the woman screams, die, die, die, and is sitting there spraying the projection of Trump's inauguration.
[01:00:45.934 --> 01:00:50.537]  But it's the same shrieking, freaking out craziness that is just bizarre.
[01:00:50.537 --> 01:00:52.018]  Here, let's roll it again with sound if we can.
[01:01:11.716 --> 01:01:13.357]  See, this is who you don't need having a gun.
[01:01:13.357 --> 01:01:18.818]  I love how when she does the gun, she like, does it like that, like that's what makes the bullets come out.
[01:01:18.818 --> 01:01:22.059]  But you wanna, you wanna hold it very still.
[01:01:22.059 --> 01:01:23.059]  And just pull straight back.
[01:01:25.765 --> 01:01:36.749]  By the way, I don't want to show off my marksmanship, but I haven't been shooting a lot in years, and I've been out shooting some more these days, and I think we're going to do some live Facebook mentions with some thousand yard shooting for folks.
[01:01:36.749 --> 01:01:39.510]  And we're going to bring some military guys out and see how they shoot with me.
[01:01:40.333 --> 01:01:41.274]  We're going to find out.
[01:01:41.274 --> 01:01:44.456]  But that's a whole different deal from actual combat shooting.
[01:01:44.456 --> 01:01:48.578]  Like climbing over stuff and running and swimming in a lake and then getting out and shooting.
[01:01:48.578 --> 01:01:49.479]  That's a whole different deal.
[01:01:49.479 --> 01:01:51.000]  But we're going to have a shooting contest.
[01:01:51.000 --> 01:01:56.323]  I'm going to bring some special ops guys out with me and we're going to see who can shoot better at a thousand yards.
[01:01:56.323 --> 01:01:57.844]  Obviously to show off to everyone.
[01:02:01.056 --> 01:02:02.496]  I'll get pissed.
[01:02:02.496 --> 01:02:03.437]  I'll probably get beat.
[01:02:03.437 --> 01:02:04.677]  We'll see what happens.
[01:02:04.677 --> 01:02:06.558]  But, uh, I'll do it for charity.
[01:02:06.558 --> 01:02:14.460]  I tried to get the Travis County SWAT team to want to have a competition with me because they kept coming over there and trying to keep me from giving speeches in front of the county commissioners like 20 years ago.
[01:02:14.460 --> 01:02:24.363]  And finally, we became friends, and they were about to have a shooting contest with me, and then the sheriff, who's a horrid, horrid Hillary-type person, wouldn't let them have it.
[01:02:24.363 --> 01:02:25.703]  You know, I'm really digressing right now.
[01:02:25.703 --> 01:02:26.343]  I apologize.
[01:02:26.343 --> 01:02:29.104]  Just watching that woman shoot like that was pretty ridiculous.
[01:02:30.363 --> 01:02:43.068]  So continuing here, I'm going to get to more of this coming up in the next segment because this is just too important to cover in the last minute here, but Chinese propaganda, new Hollywood movie depicts Trump like president killing the United States.
[01:02:44.042 --> 01:02:49.604]  That's right, so he's Hitler, he's killing the U.S., whereas in reality the stock market's now up $2 trillion.
[01:02:49.604 --> 01:02:56.527]  His approval rating is soaring towards 60 points at 59 from 41, and Gallup, Rasmussen, you name it, show similar numbers.
[01:02:56.527 --> 01:03:07.731]  And the elite are in panic mode as he fulfills every promise he would, except for one that I'm sure they told him, Mr. President, it's not your prerogative to be in the judicial or in the prosecutorial range.
[01:03:07.731 --> 01:03:10.592]  You're the executive, so you can't say I'm going to lock you up.
[01:03:11.312 --> 01:03:14.436]  Sir, we just have to have the prosecutors do their job.
[01:03:14.436 --> 01:03:16.018]  He's like, oh, well, yes.
[01:03:16.018 --> 01:03:16.919]  Oh, I like her.
[01:03:16.919 --> 01:03:19.702]  Yeah, let's move on a little bit.
[01:03:19.702 --> 01:03:21.083]  Oh, she tries to destroy him still.
[01:03:21.083 --> 01:03:22.485]  No, she knows what's coming.
[01:03:22.485 --> 01:03:27.230]  But verbally, he's kind of starting to break that promise a little bit.
[01:03:27.230 --> 01:03:28.812]  Let's say on degrees, one to ten.
[01:03:29.793 --> 01:03:35.759]  Totally never blocking a prosecution, which would be illegal, if he did that, would be a 10.
[01:03:35.759 --> 01:03:42.084]  And totally pushing for it to be prosecuted would be a 10 as well, because you're not supposed to do that.
[01:03:42.084 --> 01:03:45.848]  But just sitting back and letting the job be done and not getting involved, that's what he needs to do.
[01:03:45.848 --> 01:03:46.529]  That's a zero.
[01:03:46.529 --> 01:03:49.491]  That's what he's supposed to do.
[01:03:49.491 --> 01:03:51.053]  But I think right now he's on a 2 or a 3.
[01:03:51.053 --> 01:03:53.095]  He just shouldn't comment.
[01:03:53.095 --> 01:03:54.096]  He should say, I'm going to let...
[01:03:54.676 --> 01:03:58.038]  You know, the law be followed and have the investigators go into it.
[01:03:58.038 --> 01:04:02.661]  I don't want to influence things saying, I hope she doesn't get prosecuted.
[01:04:02.661 --> 01:04:03.742]  I hope this is all over.
[01:04:03.742 --> 01:04:12.668]  I think that's where I have an issue with the President, because he would do it just right if he just said, I'm going to let the people whose job that is under the Constitution
[01:04:14.045 --> 01:04:18.406]  Discharge their duty as they swore in their oath of office, just as I've done.
[01:04:18.406 --> 01:04:31.149]  But I have to tell you that the whole world knows about what happened with Hillary, and so I'm going to recuse myself, just like Senator Sessions is saying he's going to do, if confirmed.
[01:04:31.149 --> 01:04:32.149]  That's where I stand on that.
[01:04:32.149 --> 01:04:35.530]  I think that's about the best balanced angle you're going to get on that.
[01:04:35.530 --> 01:04:37.651]  But coming back, Chinese propaganda.
[01:04:37.651 --> 01:04:40.471]  New Hollywood movie depicts Trump like president killing the U.S.
[01:04:40.471 --> 01:04:42.172]  Albright's ready to convert to Islam.
[01:04:43.348 --> 01:04:46.292]  Washington Post again calls him Hitler.
[01:04:46.292 --> 01:04:47.413]  And guess what?
[01:04:47.413 --> 01:04:49.977]  More Islamists have been caught raping women.
[01:04:49.977 --> 01:04:50.898]  And it keeps turning out.
[01:04:50.898 --> 01:04:52.780]  The media tries to suppress it.
[01:04:52.780 --> 01:04:54.102]  But it's called the Rape Games.
[01:04:54.102 --> 01:04:55.344]  You've heard of the Hunger Games?
[01:04:55.344 --> 01:04:57.106]  This is more like the Rape Games.
[01:04:57.106 --> 01:04:57.927]  We'll be right back.
[01:04:57.927 --> 01:04:58.367]  Stay with us.
[01:04:59.969 --> 01:05:05.512]  Sanctuary cities across the nation are pushing back against President Trump's immigration policies.
[01:05:05.512 --> 01:05:07.673]  They're vowing to take it all the way to the courts.
[01:05:07.673 --> 01:05:18.498]  Bill de Blasio of New York is promising immediate action against Sanctuary City's order, as President Trump's executive order is said to block federal funding to sanctuary cities just like New York.
[01:05:18.498 --> 01:05:28.102]  De Blasio is saying that it's very susceptible to legal challenge, and he's promising to take it to the court immediately for an injunction to stop the order if an attempt to pull funds from the city is made.
[01:05:28.402 --> 01:05:34.724]  He goes on to say, if they make an attempt to pull that money, it would be from the NYPD, from security funding to fighting terrorism.
[01:05:34.724 --> 01:05:36.665]  Of course we know that simply isn't true.
[01:05:36.665 --> 01:05:44.167]  The President is trying to enforce the law of the land and say that these rogue cities have no right to give benefits to people that are here illegally.
[01:05:44.167 --> 01:05:54.790]  Now on Wednesday, Trump signed an order to stop federal funds from going to these cities, from New York to San Francisco, that have policies limiting cooperation with federal immigration enforcement agencies.
[01:05:54.790 --> 01:05:57.171]  I'm Margaret Hall reporting for InfoWars.com.
[01:06:00.427 --> 01:06:02.008]  This is Alex Jones.
[01:06:02.008 --> 01:06:07.910]  I want to tell you about a way to save a lot of money on one of the best new off-the-grid products of 2017.
[01:06:07.910 --> 01:06:10.451]  And seriously, I really think everyone should have one of these.
[01:06:10.451 --> 01:06:16.273]  I'm talking about the PPX solar generator system from our friends at Solutions from Science, one of our oldest sponsors.
[01:06:16.273 --> 01:06:21.975]  The PPX is so small you can put it in your pocket, but so powerful you can run some 110 appliances at your house.
[01:06:22.395 --> 01:06:25.359]  Like a small refrigerator, so you can keep food from spoiling.
[01:06:25.359 --> 01:06:30.926]  Plus, you can take it with you to jump-start cars, trucks, buses, 18-wheelers, heavy equipment, even airplanes.
[01:06:30.926 --> 01:06:37.635]  The system provides an endless supply of off-the-grid electricity, allowing you to create your own private power grid, literally anywhere in the world.
[01:06:37.935 --> 01:06:42.777]  Perfect for cabins, remote locations, anytime you need to get off the grid for a while.
[01:06:42.777 --> 01:06:46.079]  Go to privatepowergrid.com to watch this thing in action.
[01:06:46.079 --> 01:06:48.160]  That's privatepowergrid.com.
[01:06:48.160 --> 01:06:53.883]  Even better, use coupon code PRIVATE at checkout and get a second PPX energy unit for free.
[01:06:53.883 --> 01:06:56.324]  Check it out at privatepowergrid.com.
[01:06:56.324 --> 01:06:58.005]  That's privatepowergrid.com.
[01:06:59.915 --> 01:07:04.658]  Men, give your body the support it needs with InfoWars Life Prostagard.
[01:07:04.658 --> 01:07:09.081]  It's time to start assisting the body in regulating proper prostate balance.
[01:07:09.081 --> 01:07:19.709]  InfoWars Life has set out to bring you formulations that are not only the highest quality out there, but formulas that you can use on a daily basis to give your body the natural herbs and extracts that our experts recommend.
[01:07:20.309 --> 01:07:28.271]  The Prostagard formula does just that, with its mixture of plant-based nutrients and antioxidants that help give your body total support.
[01:07:28.271 --> 01:07:37.614]  It's a hand-selected blend of saw palmetto, lycopene, plant sterols, zinc, vitamin D3, selenium, and copper.
[01:07:37.614 --> 01:07:47.877]  Prostagard is something that the men on the InfoWars crew take every day, and from our research, it's something that men should really be adding to their daily regimen in order to keep their body going at optimal levels.
[01:07:48.377 --> 01:07:51.821]  Now's the time to start naturally supporting your body.
[01:07:51.821 --> 01:07:56.446]  Get Prostagard on your side today exclusively at InfoWarsLife.com.
[01:07:56.446 --> 01:07:57.588]  That's InfoWarsLife.com.
[01:08:14.569 --> 01:08:19.436]  Rallying patriots worldwide in defense of human liberty.
[01:08:19.436 --> 01:08:22.400]  You're listening to the Alex Jones Show!
[01:08:30.040 --> 01:08:33.704]  John Rappaport's coming up in the fourth hour of nomorefakenews.com.
[01:08:33.704 --> 01:08:38.489]  He coined that term 15 years ago, that the mainstream media is the fake news.
[01:08:38.489 --> 01:08:51.043]  So we need to put out an article explaining, we should do this, man who coined the term fake news and copyrighted it, I know he's got a copyright, we ought to get him to get a trademark on it right now, orders the fake news to stop using his term.
[01:08:52.958 --> 01:08:58.823]  I mean, you really couldn't do that under fair use, but you could if you were selling a product under that name.
[01:08:58.823 --> 01:09:04.268]  It's just so crazy that he had the proper name for them 15 years ago when he started his website.
[01:09:04.268 --> 01:09:15.317]  So Rappaport is coming up on the transmission today, and we will also, of course, be taking your phone calls in this hour.
[01:09:16.997 --> 01:09:39.751]  If you just joined me, you heard the different reports where they've got everybody from the Washington Post to, you name it, saying that Trump is Hitler, and calling for riots, and calling for him to die, and for the White House to be blown up like Madonna is saying, and ABC is airing pieces during the interview with Trump showing the President being murdered.
[01:09:41.579 --> 01:09:45.968]  As they prepare the public's mind for all of their different plans.
[01:09:45.968 --> 01:09:47.451]  They are not giving up.
[01:09:47.451 --> 01:09:50.637]  They are moving into high gear.
[01:09:52.574 --> 01:10:00.901]  The total free number to join us is 800-259-9231, 800-259-9231.
[01:10:00.901 --> 01:10:10.810]  And long-time callers, first-time callers, if you agree, disagree, you're welcome to call in on any subject you wish, but I am going to try to actually go to your calls and move through them quickly.
[01:10:10.810 --> 01:10:13.192]  Do you think that Trump is delivering on his promises?
[01:10:14.318 --> 01:10:19.362]  Do you think that Trump is reneging on any promises?
[01:10:19.362 --> 01:10:22.365]  What do you think of the first six days of the Trump presidency?
[01:10:22.365 --> 01:10:24.046]  800-259-9231.
[01:10:24.046 --> 01:10:29.011]  But quick questions or quick comments because I want to move to the next person.
[01:10:29.011 --> 01:10:30.372]  Let's hit a few of these stories.
[01:10:30.372 --> 01:10:31.433]  Chinese propaganda.
[01:10:31.433 --> 01:10:34.275]  This is up on DrudgeReport.com on the right hand side.
[01:10:34.275 --> 01:10:39.560]  New Hollywood movie depicts Trump-like president killing the U.S.
[01:10:39.560 --> 01:10:41.802]  It's an InfoWars story by Jamie White.
[01:10:44.878 --> 01:10:51.565]  And I keep pointing out that so many of the movies I go to see have pro-communist Chinese propaganda in them.
[01:10:51.565 --> 01:10:54.047]  It's getting more and more obvious.
[01:10:54.047 --> 01:10:57.391]  Anti-Trump chi-coms buying up Hollywood.
[01:10:57.391 --> 01:11:03.998]  Hollywood is set to begin work on Little America, a dystopian adventure movie set in the future where a Trump-like U.S.
[01:11:03.998 --> 01:11:07.921]  president has bankrupted America and China has called in its debts.
[01:11:08.482 --> 01:11:17.191]  The film set to be produced by explosion-obsessed director Michael Bay describes a future where the president has destroyed American economy.
[01:11:17.191 --> 01:11:18.452]  Again, that's what the globalists are doing.
[01:11:18.452 --> 01:11:19.854]  You cannot make this up.
[01:11:19.854 --> 01:11:20.594]  Promoting China.
[01:11:21.758 --> 01:11:29.440]  ...and prompting China to call on its debts, making it the de facto owner of the country, while many Americans immigrate to China for work.
[01:11:29.440 --> 01:11:33.341]  Oh, because China is so wonderful, for they have mobile execution vans.
[01:11:33.341 --> 01:11:39.143]  I'm going to cut a dystopian trailer for this movie, going in the future, Americans leave the hell of their republic.
[01:11:39.443 --> 01:11:47.647]  And all of their freedom to go to China, where there's mobile execution vans, and where peaceful Buddhists are kept in cages for their organs to be harvested.
[01:11:47.647 --> 01:11:54.711]  And Americans dream of visiting the Wonderland, where the rivers are so toxic they catch on fire.
[01:11:54.711 --> 01:11:56.372]  But see, China needs propaganda.
[01:11:56.372 --> 01:12:02.155]  They're not good at it, so they're buying Hollywood to produce films that are for both markets.
[01:12:02.155 --> 01:12:04.236]  Both leftist propaganda to demoralize us,
[01:12:06.343 --> 01:12:08.626]  And propaganda in China to make them feel good.
[01:12:08.626 --> 01:12:10.929]  I mean, whether you go see The Martian or whether you go see...
[01:12:12.113 --> 01:12:30.778]  The Arrival, or any of these movies, it's always, America needs help, and then the Chinese president is a good guy and saves us, and they're the ones that crack all the codes, and they're the ones that give us the boosters to get to Mars, and they're the ones that teach us how to potty when we're one year old, and they're the ones that, you know, bounce us on their knee, and just, they're so good.
[01:12:30.778 --> 01:12:32.718]  They're so loving.
[01:12:32.718 --> 01:12:38.200]  And the globalists openly say, we're looking to China to bully America into submitting to the New World Order.
[01:12:39.110 --> 01:12:45.616]  With straight faces on TV and in major newspapers, China sure is right about censoring the web.
[01:12:45.616 --> 01:12:51.382]  Boy, after Trump got elected, they've been vindicated for the great work they do knocking out fake news.
[01:12:51.382 --> 01:12:54.945]  Computer World, New York Times had those exact quotes.
[01:12:55.806 --> 01:12:58.388]  I tell you, China's really vindicated right now.
[01:12:58.388 --> 01:12:59.048]  I know!
[01:12:59.048 --> 01:13:00.829]  They sell baby parts.
[01:13:00.829 --> 01:13:04.952]  They boil it down and sell it for women to eat in pills and inject.
[01:13:04.952 --> 01:13:07.093]  God, they've got the moral high ground.
[01:13:07.093 --> 01:13:08.754]  Yeah, you heard that Mexican president.
[01:13:08.754 --> 01:13:09.934]  We don't believe in walls.
[01:13:09.934 --> 01:13:13.897]  How dare you, America, as they build a huge one.
[01:13:13.897 --> 01:13:15.798]  Already have a fence.
[01:13:15.798 --> 01:13:19.020]  I mean, it's just too much to handle.
[01:13:19.020 --> 01:13:22.342]  But again, they're targeting the dumbest people they can.
[01:13:23.496 --> 01:13:26.738]  So, with a straight face, let me just read this to you.
[01:13:26.738 --> 01:13:31.560]  Hollywood is set to begin work on Little America to make you feel small.
[01:13:31.560 --> 01:13:35.862]  And when the Chinese watch it, even though they're slaves, they'll just go, oh, America Little!
[01:13:35.862 --> 01:13:39.844]  I mean, the propaganda couldn't get any more dumbed down.
[01:13:39.844 --> 01:13:43.245]  Autobots, prepare to serve the Communist Chinese.
[01:13:43.245 --> 01:13:45.026]  Defeat America.
[01:13:45.026 --> 01:13:47.287]  In fact, imagine, I am Optimus Prime.
[01:13:47.287 --> 01:13:48.788]  There are evil Americans.
[01:13:48.788 --> 01:13:50.508]  I must take out Trump.
[01:13:50.508 --> 01:13:51.129]  Bumblebee.
[01:13:52.270 --> 01:13:54.612]  Megatron is actually disguised as Trump.
[01:13:54.612 --> 01:13:55.433]  Take him out.
[01:13:55.433 --> 01:13:59.037]  Don't let him cut the taxes and make America great again.
[01:13:59.037 --> 01:14:07.205]  And yes, we must get the other Autobots to rally against the other Decepticon, Putin.
[01:14:07.205 --> 01:14:11.810]  Yeah, there is 15 Hollywood movies that were saved by China at the box office.
[01:14:13.618 --> 01:14:15.698]  And now they're set to just take it over.
[01:14:15.698 --> 01:14:17.199]  I mean, the worst the movie is.
[01:14:17.199 --> 01:14:22.360]  They're just unwatchable, but it's all red flags and the Chinese president saving everyone.
[01:14:22.360 --> 01:14:28.121]  Who could make up the trashiness of Hollywood?
[01:14:28.121 --> 01:14:31.862]  Transformers, The Age of Extinction, pro-China propaganda.
[01:14:31.862 --> 01:14:34.882]  Yeah, even mainstream media just admits this, but they hide it in plain view.
[01:14:34.882 --> 01:14:36.943]  Okay, China's taking over everything.
[01:14:36.943 --> 01:14:38.443]  Okay, the Chinese president
[01:14:39.837 --> 01:14:44.121]  They're in Switzerland at the Davos meeting, says he'll take over, don't worry.
[01:14:44.121 --> 01:14:45.823]  He'll stop Trump!
[01:14:45.823 --> 01:14:49.646]  He's got his hands on his hips like, what have I caught you doing in the cookie jar?
[01:14:49.646 --> 01:14:52.609]  How dare you not let us have one-sided deals?
[01:14:52.609 --> 01:15:02.017]  In fact, maybe they can have one where the Chinese dictator is actually like Optimus Prime, and then Trump's head is on Megatron.
[01:15:02.017 --> 01:15:04.600]  He's like, prepare to die, Megatron.
[01:15:06.465 --> 01:15:08.786]  And it's the Chinese President.
[01:15:08.786 --> 01:15:11.086]  And then Trump's like, no, you will never defeat me!
[01:15:11.086 --> 01:15:14.687]  I'm evil!
[01:15:14.687 --> 01:15:22.170]  Or put Hitler's head on Megatron.
[01:15:22.170 --> 01:15:28.471]  I mean, the propaganda is so unwatchable, but you go in and full-grown American men sit there and go, get him!
[01:15:28.471 --> 01:15:29.372]  Yeah, get him!
[01:15:29.372 --> 01:15:30.192]  Oh, yeah, get him!
[01:15:31.823 --> 01:15:37.266]  They have the NFL coming out against the Second Amendment, and now good ol' boys are like, I like the NFL!
[01:15:37.266 --> 01:15:39.127]  It's time to turn the guns in!
[01:15:39.127 --> 01:15:42.429]  I believe in Obama now!
[01:15:42.429 --> 01:15:48.273]  I hates, I hates John Wayne!
[01:15:48.273 --> 01:15:49.213]  That's it!
[01:15:49.213 --> 01:16:00.280]  The Chinese President's head can be on Optimus Prime, and they can resurrect John Wayne, and put his head on Megatron, and have, and have... The Chinese President cut the head off John Wayne!
[01:16:02.543 --> 01:16:04.505]  I'm John Wayne.
[01:16:04.505 --> 01:16:05.946]  I'm evil.
[01:16:05.946 --> 01:16:07.167]  And then he comes back as Megatron.
[01:16:07.167 --> 01:16:10.669]  No, no, he comes back as Optimus Prime.
[01:16:10.669 --> 01:16:13.231]  I can't even believe this anymore.
[01:16:13.231 --> 01:16:16.134]  But this is how dumbed down their constituents are.
[01:16:16.134 --> 01:16:20.737]  Let me stop right there.
[01:16:20.737 --> 01:16:22.599]  Now listen to this with a straight face.
[01:16:22.599 --> 01:16:25.141]  Hollywood is set to begin work on Little America.
[01:16:26.749 --> 01:16:30.574]  How about they put out a movie like Americans have small penises?
[01:16:30.574 --> 01:16:32.136]  That'd be even better.
[01:16:32.136 --> 01:16:34.099]  Or Americans are all stupid.
[01:16:34.099 --> 01:16:35.901]  I mean, this is just to demoralize us.
[01:16:35.901 --> 01:16:42.610]  Hollywood is a complete sworn enemy of this country in their own crazy bubbles, so desperate to destroy us.
[01:16:44.042 --> 01:16:47.384]  That they have now gone even more over the top than I thought they could.
[01:16:47.384 --> 01:16:48.644]  What a joke!
[01:16:48.644 --> 01:17:01.570]  So workless, so bankrupt, so over, so despised, so bypassed, that they're in a love fest with a collapsing communist dictatorship that has a fake stock market and is already collapsing.
[01:17:01.570 --> 01:17:03.671]  China is descending into hell.
[01:17:03.671 --> 01:17:07.253]  Let me continue.
[01:17:07.253 --> 01:17:10.895]  Hollywood, I guess Chai Com would, or Trader would,
[01:17:12.805 --> 01:17:18.507]  Is set to begin work on Little America.
[01:17:18.507 --> 01:17:20.767]  Talk about the most brazen propaganda.
[01:17:20.767 --> 01:17:23.488]  I'm sorry, I can't read this with a straight face.
[01:17:23.488 --> 01:17:26.069]  Hollywood is set to begin work on Little Peepy.
[01:17:26.069 --> 01:17:26.769]  I'm sorry.
[01:17:26.769 --> 01:17:29.390]  Hollywood is set to begin work on Little Ding Dong.
[01:17:29.390 --> 01:17:31.050]  Okay, I apologize folks.
[01:17:31.050 --> 01:17:34.071]  Hollywood is set to begin work on Little America.
[01:17:34.071 --> 01:17:38.832]  A dystopian adventure movie set in the future where a Trump-like U.S.
[01:17:38.832 --> 01:17:40.493]  president has bankrupted America.
[01:17:40.493 --> 01:17:41.513]  It was The Globalist that did that.
[01:17:42.378 --> 01:17:45.061]  And China has called in its debts.
[01:17:45.061 --> 01:17:46.963]  Good, you'll totally collapse.
[01:17:46.963 --> 01:18:02.581]  The film, set to be produced by explosion-obsessed director Michael Bay, who does The Transformers, describes a future where the president has destroyed the American economy, prompting China to call in its debts, making it the de facto owner of the country, while many Americans immigrate to China for work.
[01:18:04.434 --> 01:18:07.376]  China's actually produced TV ads years ago saying just this.
[01:18:07.376 --> 01:18:11.259]  I mean, this is complete 100% communist dictatorship.
[01:18:11.259 --> 01:18:12.080]  I got a new idea.
[01:18:12.080 --> 01:18:13.341]  How about Kim Jong-un?
[01:18:13.341 --> 01:18:14.302]  He likes Hollywood.
[01:18:14.302 --> 01:18:23.989]  How about he underwrites with maybe some of the slave mines they've got, some of that money, and it can be officially underwritten by starving North Koreans, because this is the same thing.
[01:18:23.989 --> 01:18:28.473]  China does stuff just as worse or probably even worse than this.
[01:18:28.473 --> 01:18:29.534]  How about that?
[01:18:29.534 --> 01:18:30.034]  How about?
[01:18:30.034 --> 01:18:30.975]  That's a great idea.
[01:18:30.975 --> 01:18:33.297]  How about North Korea start underwriting movies?
[01:18:34.335 --> 01:18:37.176]  And in it, Kim Jong-Un can star!
[01:18:37.176 --> 01:18:38.377]  Kim Jong-Un.
[01:18:38.377 --> 01:18:41.138]  Kim Jong-Un is Optimus Prime.
