[00:00:03.197 --> 00:00:03.819]  It's Friday.
[00:43:46.786 --> 00:43:48.788]  I'm calling it InfoWars In Your Face.
[00:43:49.009 --> 00:43:55.735]  It's a navy blue shirt, really high quality, feels great, fits great, with a big red InfoWars.com right in the center.
[00:43:55.955 --> 00:44:00.219]  And on the shoulder, InfoWars.com and an American flag on a blue background.
[00:44:00.479 --> 00:44:08.081]  And remember, WikiLeaks shows that organizations like CNN are owned by foreign multinational corporations, hell-bent on enslaving this country.
[00:44:08.361 --> 00:44:17.184]  So when you expose them as fake news, you're doing your patriotic duty, and you're exercising your First Amendment in defiance of their bullying, garbage, and tyranny.
[00:44:17.604 --> 00:44:21.745]  And on the back, Infowars.com is the standard of real news.
[00:44:22.266 --> 00:44:23.346]  And of course, this classic?
[00:44:23.886 --> 00:44:24.647]  It says it all.
[00:44:24.767 --> 00:44:25.647]  Need I say more?
[00:44:26.148 --> 00:44:27.749]  You want to have a political message out there?
[00:44:27.789 --> 00:44:33.553]  You want to state the facts of Americana and stand against the horrors we've seen in Russia, China, North Korea, Venezuela?
[00:44:33.894 --> 00:44:36.976]  Then this is the shirt for you at infowarestore.com.
[00:44:37.416 --> 00:44:43.001]  Now, if you want to be a little bit more low-key, this is a brand new shirt, hot off the press, the same great fabric.
[00:44:43.721 --> 00:44:46.043]  That's Info Wars with an American flag.
[00:44:46.364 --> 00:44:54.752]  This is more stealth if you just want to basically reach out to other fellow travelers that are awake to the worldwide revolution against the globalists.
[00:44:55.032 --> 00:44:58.596]  And this shirt, in the spirit of 1776, is a great addition to do just that.
[00:44:59.416 --> 00:45:08.887]  At InfoWarsStore.com, we've got more than 15 versions of different Molon Lambe or Come and Take It in good old-fashioned English t-shirts.
[00:45:09.027 --> 00:45:11.530]  And right here on the back, the good old Don't Tread on Me.
[00:45:11.911 --> 00:45:13.532]  InfoWars.com to spread the word.
[00:45:14.273 --> 00:45:15.373]  I designed this baby.
[00:45:15.453 --> 00:45:17.874]  It's an AK-47 saying, come and take it.
[00:45:18.254 --> 00:45:22.516]  And then, the right of the people to keep and bear arms shall not be infringed.
[00:45:22.896 --> 00:45:26.717]  The Second Amendment is the type that fills up the image of the firearm.
[00:45:27.157 --> 00:45:29.878]  This shirt is the second oldest shirt in our arsenal.
[00:45:29.898 --> 00:45:31.258]  It's been around about 19 years.
[00:45:31.879 --> 00:45:35.480]  It's the classic InfoWars tyranny response team shirt.
[00:45:35.760 --> 00:45:38.801]  And of course we've seen the NFL taking a knee
[00:45:39.762 --> 00:45:43.366]  Uh, during the national anthem to basically piss on the American flag.
[00:45:44.086 --> 00:45:44.967]  That's disrespectful.
[00:45:45.007 --> 00:45:49.012]  But when you fly the American flag upside down and explain under U.S.
[00:45:49.072 --> 00:45:56.540]  code that the country is under crisis, it's a symbol of respect for the nation and the flag to point out the country is in crisis.
[00:45:56.941 --> 00:45:58.382]  Our republic is in distress.
[00:45:58.863 --> 00:45:59.323]  Ask me why.
[00:45:59.984 --> 00:46:01.907]  This baby is a classic year-round.
[00:46:02.067 --> 00:46:07.534]  Good old camouflage with the Day-Glo orange hunting, don't tread on me, Info Wars.
[00:46:08.034 --> 00:46:09.516]  Oh, and this is my birthday suit.
[00:46:09.596 --> 00:46:12.560]  Mama gave me this one, so I guess I better go out and put another shirt on.
[00:46:13.020 --> 00:46:15.203]  I call this the Patriot Rock and Roll shirt.
[00:46:15.824 --> 00:46:18.066]  I think the image tells you what it's all about.
[00:46:18.747 --> 00:46:19.527]  It's all about freedom.
[00:46:19.567 --> 00:46:20.908]  It's all about rugged individualism.
[00:46:21.428 --> 00:46:22.349]  Resist Tyranny.
[00:46:22.989 --> 00:46:23.949]  Made in America.
[00:46:23.969 --> 00:46:23.949]  1776.
[00:46:23.989 --> 00:46:27.711]  And I've been showing you the fronts of these great shirts.
[00:46:27.931 --> 00:46:28.891]  The backs are really cool.
[00:46:29.251 --> 00:46:29.912]  Look at that back.
[00:46:29.972 --> 00:46:30.872]  That is pure Americana.
[00:46:32.133 --> 00:46:37.276]  And I almost forgot, we've got dozens and dozens of great limited edition ball caps available.
[00:46:37.376 --> 00:46:38.056]  The Dayglo.
[00:46:38.576 --> 00:46:42.678]  Perfect when you're out jogging or out walking the dog, down the road.
[00:46:42.818 --> 00:46:44.459]  This is my favorite ball cap.
[00:46:44.679 --> 00:46:46.140]  We have over 20 ball caps we've put out.
[00:46:46.160 --> 00:46:47.440]  It's got the nice patch.
[00:46:47.761 --> 00:46:49.922]  Infowars.com, the Don't Tread On Me.
[00:46:50.182 --> 00:46:53.643]  This, my friends, is the ball cap that I wear when I'm out and about in town.
[00:46:54.044 --> 00:46:55.604]  The crew absolutely loves it as well.
[00:46:55.864 --> 00:47:00.707]  Thank you all for your support, and check out the amazing Liberty Apparel at InfowarsStore.com.
[00:47:04.156 --> 00:47:21.485]  You're listening to The Alex Jones Show.
[00:47:24.086 --> 00:47:30.350]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:47:40.020 --> 00:47:41.981]  You know, we're going right to your phone calls here in a moment.
[00:47:43.562 --> 00:47:53.287]  When Roger Stone's joining us with the inside baseball on the number of reported tapes there are that women have recorded of Democrat operatives and media operatives.
[00:47:53.848 --> 00:47:54.308]  Same thing.
[00:47:55.348 --> 00:47:56.369]  Globalist operatives, really.
[00:47:57.249 --> 00:48:00.051]  They just use the Democratic Party and the media as their shell grips.
[00:48:04.753 --> 00:48:05.554]  Their fronts, really.
[00:48:07.799 --> 00:48:11.223]  How many women have taped the Democrats offering them money?
[00:48:11.764 --> 00:48:26.621]  And the media just thinks that when all this starts coming out as it is, they're just gonna not cover it and still have the fake women paid off on TV saying he raped them, he slapped them, he called them whores.
[00:48:27.002 --> 00:48:28.003]  I mean, this is all the stuff.
[00:48:30.526 --> 00:48:41.553]  Like some OCD, in a good way, Patriot control freak is gonna run around raping women and then he's 71 years old before we find out about it.
[00:48:42.534 --> 00:48:43.695]  Yeah, that's gonna happen.
[00:48:44.795 --> 00:48:49.318]  And long before I hooked up the Trump wagon, I talked to folks that know him and know him well.
[00:48:49.338 --> 00:48:52.440]  Again, none of it is true.
[00:48:52.981 --> 00:48:53.361]  Zero.
[00:48:54.562 --> 00:48:54.922]  Zero.
[00:48:55.943 --> 00:48:57.664]  It's absolute BS.
[00:49:00.589 --> 00:49:02.651]  What do you have, like 15 seasons of Apprentice?
[00:49:03.271 --> 00:49:05.293]  And they get one recording behind the scenes.
[00:49:05.333 --> 00:49:08.675]  You know, little scumbags record everything, so they can edit it together and things.
[00:49:09.096 --> 00:49:10.137]  That's what Trump said, it's edited.
[00:49:10.357 --> 00:49:13.279]  He says, yeah, it's crazy, they jump on you, you can do whatever you want, it's crazy, good lord.
[00:49:13.760 --> 00:49:18.603]  He just sounds like an old fuddy-duddy there, but a good one, like, ladies, it's all over you, it's crazy, you know.
[00:49:19.144 --> 00:49:20.765]  I mean, because, you know, that's old-fashioned.
[00:49:20.785 --> 00:49:23.808]  He's like, I can't believe celebrities, women, throw themselves at you like this.
[00:49:23.828 --> 00:49:26.089]  Because back when I was just a billionaire, it wasn't like this.
[00:49:26.810 --> 00:49:28.932]  Yeah, it's like Elvis with women throwing their panties at him.
[00:49:29.858 --> 00:49:30.798]  He didn't rape those women.
[00:49:32.999 --> 00:49:34.200]  And that's what he's like.
[00:49:34.220 --> 00:49:35.721]  Yeah, they throw themselves on you.
[00:49:35.801 --> 00:49:36.361]  It's crazy.
[00:49:39.702 --> 00:49:41.463]  And that turns into he's this big criminal.
[00:49:41.703 --> 00:49:43.244]  And they're the ones recording him.
[00:49:43.424 --> 00:49:44.524]  Oh, it was accidental.
[00:49:44.785 --> 00:49:45.885]  Somebody picked it up outside.
[00:49:46.085 --> 00:49:46.405]  Boom!
[00:49:47.906 --> 00:49:50.467]  And you can hear the tape, how it's like a few words and cut, cut, cut.
[00:49:51.127 --> 00:49:53.528]  You ever seen the refrigerator games?
[00:49:54.149 --> 00:49:56.070]  Where you have the words and it's got like hundreds of words.
[00:49:56.090 --> 00:49:57.170]  You can like put them together however you want.
[00:49:57.190 --> 00:49:58.010]  It's the same deal.
[00:49:58.030 --> 00:49:58.831]  You could take the Bible.
[00:49:59.577 --> 00:50:02.318]  And edited to say, Jesus loves Satan, kill your children.
[00:50:02.638 --> 00:50:03.319]  But it's not true.
[00:50:03.439 --> 00:50:08.341]  They've taken the words, cut them out, put them in different formations.
[00:50:10.602 --> 00:50:13.123]  But with the Democrats, you've got them on pedophile airplanes.
[00:50:15.263 --> 00:50:16.904]  You've got them being pedophiles.
[00:50:16.924 --> 00:50:18.745]  You've got them defending pedophiles in court.
[00:50:18.765 --> 00:50:24.127]  You've got a train wreck of raping women, men, you name it.
[00:50:24.547 --> 00:50:28.349]  And the leftist media defends this, I've noticed, with daily articles
[00:50:30.469 --> 00:50:39.255]  Where I'll talk about how Hollywood men are raping men and that men are raping women and they'll say, Jones did his anti-homophobe, his homophobe thing.
[00:50:41.451 --> 00:50:43.472]  Uh, saying that gay men are raping men.
[00:50:43.992 --> 00:50:48.693]  If I talk about a man assaulting men, they then say I'm being anti-gay.
[00:50:49.274 --> 00:50:56.856]  Or if I talk about what's on Discovery Channel, History Channel, all these shows, where there's this big thing now of having sex with automobiles or appliances.
[00:50:56.896 --> 00:51:02.918]  And then they go, Jones gave an anti-gay rant about gay men having sex with cars.
[00:51:04.538 --> 00:51:06.019]  The very rant, I said,
[00:51:07.418 --> 00:51:11.481]  There are men that abuse men, women that abuse women, women that abuse men, men that abuse women.
[00:51:11.761 --> 00:51:16.925]  There are all sorts of things where people then want to have sex with automobiles, or they're into bondage.
[00:51:17.125 --> 00:51:26.873]  There's all these fetishes, and they're creating all these long acronyms, LBQTX5903QX43, Qbert, Liberlert, Schnibblert, I mean, you know, blah, blah, blah, blah.
[00:51:26.993 --> 00:51:30.896]  And they're teaching kids this, and they go, Jones is anti-gay!
[00:51:30.956 --> 00:51:31.957]  It's on screen right now.
[00:51:32.677 --> 00:51:34.859]  He says, gays want to have sex with your car.
[00:51:36.292 --> 00:51:55.440]  And again, the whole rant is about, if there are going to end up being a million sexual preferences, and I'm supposed to know the acronym for them, L-T-Q-Z-L-3-2-9-4-8-5-Z-Q-1-A-B-C-D-E-F-G-X-X-Y-Z-Z-Z-Z, I mean, the rant is about how crazy this is.
[00:51:56.140 --> 00:51:57.641]  That's now anti-gay, you see.
[00:51:58.547 --> 00:52:10.977]  I'm like, they got TV shows about that the guy in England's got a bunch of Volkswagen, he has sex with them every night, and his wife's a Volkswagen, and then one woman wants to be blind so she pours Drano in her eyes and taxpayers gotta pay for it.
[00:52:12.318 --> 00:52:17.582]  And then meanwhile, I've got a video coming up after we take your calls at Roger Stoneleaf's.
[00:52:17.602 --> 00:52:18.763]  It's on Infowars.com.
[00:52:19.003 --> 00:52:20.765]  I'm gonna tweet it out on Real Alex Jones.
[00:52:21.105 --> 00:52:21.846]  Yes, will you do that for me?
[00:52:21.886 --> 00:52:22.046]  Thanks.
[00:52:23.712 --> 00:52:24.773]  This is out of the Daily Wire.
[00:52:25.093 --> 00:52:26.134]  Nazi whispers.
[00:52:26.334 --> 00:52:30.516]  Dutch government official tells man with Down Syndrome how expensive he is.
[00:52:33.478 --> 00:52:40.203]  And of course we're trying to pass laws where you can't have a Down Syndrome baby in Europe and no one's had one now, you know, in years in Iceland.
[00:52:43.645 --> 00:52:47.507]  And the whole point is, now with genetic editing, it'll be any disorder they claim.
[00:52:47.527 --> 00:52:49.068]  Like being aggressive is going to be a disorder.
[00:52:49.088 --> 00:52:52.671]  I mean, that's already in the psychological profiles.
[00:52:53.795 --> 00:52:55.337]  Opposition Defiance Disorder.
[00:52:55.698 --> 00:52:58.662]  You think government needs to be kept on short leash while you're insane?
[00:52:58.682 --> 00:53:00.044]  We've got a name for that.
[00:53:01.045 --> 00:53:05.932]  So, oh, you're going to pay for somebody to put Drano in their eyes or someone to chop their genitals off?
[00:53:06.173 --> 00:53:07.214]  Chop your genitals off!
[00:53:07.354 --> 00:53:08.135]  I'm not paying for it.
[00:53:08.316 --> 00:53:09.097]  Oh, that's homophobic!
[00:53:10.455 --> 00:53:12.018]  You don't like people having sex with their cars?
[00:53:12.038 --> 00:53:13.360]  I just said they're doing it.
[00:53:13.460 --> 00:53:14.662]  I don't need to know the acronym.
[00:53:14.722 --> 00:53:15.443]  I'm not hateful.
[00:53:15.743 --> 00:53:21.433]  I don't, you know, respond to people that live as dogs, they live as children, they're dumping Drano in their eyes.
[00:53:21.853 --> 00:53:24.578]  I was reading there have been hundreds of surgeries in Europe.
[00:53:25.998 --> 00:53:31.761]  Where they remove people's corneas, or they just dump bleach in your eye, and then you go on welfare as a blind person.
[00:53:32.081 --> 00:53:32.281]  No!
[00:53:32.421 --> 00:53:33.141]  You're crazy!
[00:53:34.062 --> 00:53:36.623]  Put them in a loony bin until they don't want to put Drano in their eyes.
[00:53:36.863 --> 00:53:42.745]  But instead they got psychiatrists and psychologists at the scene, applying it to their eyeballs!
[00:53:43.866 --> 00:53:45.547]  And the neighbor's going, oh it's so great!
[00:53:46.147 --> 00:53:47.087]  Oh it's so wonderful!
[00:53:48.268 --> 00:53:48.388]  So...
[00:53:49.699 --> 00:53:58.301]  They don't even want to debate about how they're trying to scramble society because their own documents admit they're doing this and making it normal to screw people up and create mental illness.
[00:53:58.741 --> 00:54:01.381]  Let me tell you, you want to take your eyeballs out?
[00:54:01.421 --> 00:54:02.001]  You're crazy.
[00:54:03.361 --> 00:54:04.502]  You want to have sex with a car?
[00:54:04.742 --> 00:54:05.342]  You're crazy!
[00:54:05.882 --> 00:54:06.882]  Knock yourself out!
[00:54:09.323 --> 00:54:11.003]  But I don't have to know the acronym for it.
[00:54:11.063 --> 00:54:11.883]  I know the acronym.
[00:54:12.223 --> 00:54:12.903]  Mental patient.
[00:54:14.143 --> 00:54:14.884]  I know the acronym.
[00:54:14.904 --> 00:54:16.904]  Somebody wants to have sex with a rubber robot.
[00:54:18.157 --> 00:54:23.299]  Somebody that doesn't want to communicate with humans, who was on a smartphone too much growing up, that's what you are!
[00:54:24.980 --> 00:54:29.182]  You're like an animal brought up in a cage with no windows, and you don't even know what it is to be your species!
[00:54:29.222 --> 00:54:29.662]  That's what it is!
[00:54:29.862 --> 00:54:30.682]  The end of our species!
[00:54:30.722 --> 00:54:34.204]  I mean, this is how space aliens would slowly strangle us and take us out.
[00:54:35.224 --> 00:54:41.987]  This is how space aliens, if they were real, if they were here, you know, fallen angels, you know, this is how they'd do it.
[00:54:44.565 --> 00:54:48.469]  And it's funny, there's a book warning us that it was coming and they would run this exact operation.
[00:54:48.589 --> 00:54:49.169]  Boy, thanks.
[00:54:50.170 --> 00:54:51.392]  Thanks, science fiction writers.
[00:54:52.493 --> 00:54:53.874]  Because if you don't believe in God, that's all it is.
[00:54:54.234 --> 00:54:56.516]  Okay, well it's science fiction that they're using as a blueprint.
[00:54:56.777 --> 00:54:58.638]  So you still, it doesn't matter, it's manifesting.
[00:54:58.939 --> 00:54:59.459]  It's happening.
[00:54:59.679 --> 00:55:00.520]  We better get informed.
[00:55:00.540 --> 00:55:01.741]  Okay, I'm going to take your calls coming up.
[00:55:01.761 --> 00:55:08.027]  We're going to start the next hour and I'm going to go to Mark and Keane and Marcos and others, Brandon and John, everybody else we're going to go to.
[00:55:08.808 --> 00:55:09.409]  Seriously, though.
[00:55:10.566 --> 00:55:13.908]  If you spread the articles and videos, this is just something I say, this is a war.
[00:55:14.349 --> 00:55:23.175]  When you spread the articles, the videos, the reports, they're going to try to ridicule you online and try to punish you because they want to shut down the transmission that's most dangerous to them.
[00:55:23.455 --> 00:55:26.818]  They have congressional hearings, you name it, and are specifically wanting us off the air.
[00:55:26.838 --> 00:55:29.840]  Because let me tell you, I got their program.
[00:55:31.607 --> 00:55:34.028]  So, InfoWarsTore.com.
[00:55:34.048 --> 00:55:35.248]  We need funding.
[00:55:35.568 --> 00:55:37.209]  We have incredible products.
[00:55:37.369 --> 00:55:37.489]  X2.
[00:55:38.129 --> 00:55:39.369]  Learn about iodine deficiencies.
[00:55:39.589 --> 00:55:41.610]  Learn about how the other iodines aren't good for you.
[00:55:41.650 --> 00:55:44.230]  You've got to get the deep earth, clear, true, real iodine.
[00:55:45.171 --> 00:55:46.371]  Learn about IQ reduction.
[00:55:46.591 --> 00:55:47.531]  We don't have proper iodine.
[00:55:47.751 --> 00:55:53.133]  Learn about CellForce, our newest product for mitochondrial DNA, detoxing, nerve regrowth.
[00:55:54.426 --> 00:55:58.267]  Even stronger formula in some of the areas than what we put out before.
[00:55:58.587 --> 00:56:00.508]  But again, different formulas are different for other folks.
[00:56:00.528 --> 00:56:10.832]  People go, I'll take Supermail, or do I take Anthroplex, or do I take, you know, something like the different products like Alpha Power.
[00:56:10.872 --> 00:56:17.334]  Well, Alpha Power is the strongest stamina, libido, energy, brain, cholesterol, heart.
[00:56:17.354 --> 00:56:19.635]  I mean, it's got, it's on all cylinders.
[00:56:20.355 --> 00:56:23.516]  It is the strongest, but some people might not like
[00:56:24.773 --> 00:56:26.233]  The compounds that are in it.
[00:56:26.974 --> 00:56:28.574]  Infowarsstore.com.
[00:56:28.914 --> 00:56:30.955]  Infowarslife.com.
[00:56:31.755 --> 00:56:33.036]  You need to read about these yourself.
[00:56:33.056 --> 00:56:35.196]  You need to find out about these for yourself.
[00:56:35.476 --> 00:56:39.258]  You need to learn about the different things that are in each one of the different formulas.
[00:56:39.438 --> 00:56:40.378]  Because each one is different.
[00:56:41.478 --> 00:56:42.959]  And it'll work different for different people.
[00:56:42.979 --> 00:56:44.119]  So you need to try brain force.
[00:56:44.359 --> 00:56:45.720]  You need to try the real red pill.
[00:56:45.940 --> 00:56:47.020]  You need to try self force.
[00:56:47.040 --> 00:56:49.481]  You need to try alpha power.
[00:56:50.964 --> 00:56:57.591]  Because with Alpha Power, I wanted the Ferrari of ingredients at a Ford Mustang price.
[00:56:58.432 --> 00:56:59.713]  And that's what we've done.
[00:57:00.254 --> 00:57:02.116]  It's 50% off, out of the gates.
[00:57:03.518 --> 00:57:05.480]  Glass bottle, super high quality.
[00:57:05.660 --> 00:57:12.147]  And just let me tell you, if there's any product we've got where you get results in 30 minutes, it's like Rainforest for Alpha Power.
[00:57:13.168 --> 00:57:16.533]  Things like the real red pill, that takes about four, five, six days to kick in.
[00:57:17.134 --> 00:57:20.960]  That's all the stuff, you know, the precursors, the key things you need for all this other stuff to work.
[00:57:21.561 --> 00:57:26.128]  But just try it all for yourself, take advantage of these big discounts, introductory discounts, to see how great it is.
[00:57:27.318 --> 00:57:27.958]  Welcome to the War Room.
[00:57:54.508 --> 00:57:57.050]  The latest addition to InfoWars live programming.
[00:57:57.210 --> 00:57:59.632]  The War Room is live weekdays, 3 to 6 p.m.
[00:57:59.672 --> 00:58:03.275]  Central, at InfoWars.com slash show and WarRoom.show.
[00:58:03.295 --> 00:58:07.539]  You can follow us at WarRoomShow on Twitter and TheWarRoomShow on Facebook.
[00:58:07.679 --> 00:58:10.481]  And all of our content can be found on our YouTube channel.
[00:58:10.521 --> 00:58:12.403]  Subscribe for notifications.
[00:58:12.503 --> 00:58:23.952]  Owen Schroer and Roger Stone bring you the day's biggest stories, as well as the latest breaking news, with a no-holds-barred, aggressive approach and commitment to bringing you the most cutting-edge analysis and information.
[00:58:26.055 --> 00:58:29.817]  For far too long, the liberal media complex has controlled the narrative.
[00:58:30.237 --> 00:58:32.978]  For far too long, the silent majority has been muzzled.
[00:58:33.478 --> 00:58:35.719]  The silent majority is no longer silent.
[00:58:36.240 --> 00:58:37.920]  And we control the narrative now.
[00:58:39.281 --> 00:58:40.622]  This is the War Room.
[00:58:46.064 --> 00:58:49.966]  If you are receiving this translation, you are the resistance.
[00:58:52.529 --> 00:58:55.091]  Matt in Ohio, you're on the air, another Matt, go ahead.
[00:58:55.131 --> 00:59:09.821]  Yeah, hey, listen, I just wanted to say real quick, I'm a long-time listener of InfoWars, and I just wanted to say that the t-shirts that you guys are offering are absolutely fantastic, and that really is a great way to deal with this battle in the InfoWars.
[00:59:09.841 --> 00:59:17.427]  It might seem like a simple thing, but particularly these slogan t-shirts that you guys got up right now are absolutely amazing.
[00:59:17.987 --> 00:59:28.819]  My favorite new one is the Don't Tread On Me, but instead it says Won't Tread On Me, and it's a big Dayglo snake, Gadsden snake, and then it's got the American flag, Infowars.com on the right arm.
[00:59:29.200 --> 00:59:35.367]  I mean, that's a great way just to meet like-minded people and spread the word and also exercise free speech.
[00:59:35.487 --> 00:59:38.150]  And the newest one is Trigger Warning T-shirt.
[00:59:38.650 --> 00:59:45.216]  Trigger warning t-shirt, which is the symbol of a trigger, with a yield sign and then InfoWars.com on the back.
[00:59:45.556 --> 00:59:50.180]  That is the new shirt of the month, available exclusively at InfoWarsStore.com.
[00:59:53.703 --> 00:59:59.609]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[01:00:24.890 --> 01:00:28.833]  If you are receiving this transmission, you are the resistance.
[01:00:28.973 --> 01:00:31.215]  It's Alex Jones.
[01:00:31.936 --> 01:00:37.881]  Yep, I'm the madman on the Kamikaze mission to take down the globalists, and we've given them some good licks thanks to your prayers, your support.
[01:00:38.021 --> 01:00:38.742]  You are the Army.
[01:00:39.462 --> 01:00:40.283]  You are the Air Force.
[01:00:40.303 --> 01:00:41.003]  You are the Navy.
[01:00:41.043 --> 01:00:41.824]  You are the Marines.
[01:00:41.884 --> 01:00:44.006]  You are the Black Brigade.
[01:00:44.026 --> 01:00:45.908]  You're the pastors.
[01:00:46.128 --> 01:00:47.689]  You are the resistance.
[01:00:49.130 --> 01:00:49.891]  We're gonna knock them dead.
[01:00:52.739 --> 01:00:53.699]  They haven't figured it out yet.
[01:00:53.719 --> 01:00:54.620]  They're now identified.
[01:00:55.080 --> 01:00:56.581]  All their operations are getting blown.
[01:00:57.081 --> 01:00:59.042]  And they can even take me out, Trump out, anybody.
[01:00:59.062 --> 01:00:59.922]  It's not going to stop now.
[01:01:03.283 --> 01:01:04.344]  That's what a war is, folks.
[01:01:05.104 --> 01:01:06.265]  I knew it, getting into it.
[01:01:06.745 --> 01:01:09.046]  But let me tell you, it's been interesting to experience it.
[01:01:10.506 --> 01:01:19.290]  Quite frankly, I wouldn't do it any other way if I had to start it all over again.
[01:01:20.708 --> 01:01:21.829]  Because we're going to cut down the enemy.
[01:01:22.990 --> 01:01:23.610]  That's what matters.
[01:01:25.512 --> 01:01:26.953]  All right, I'm going to go through your phone calls.
[01:01:27.013 --> 01:01:34.339]  Roger's popping in briefly with the huge revelations that I'm going to get to more in the next segment about... Confirm, like we told you, these women are being paid off.
[01:01:36.000 --> 01:01:43.086]  And they're being paid, and some women are... Here's the next picture to drop, are taping people telling them, you know, say this and I'll pay you.
[01:01:44.247 --> 01:01:44.847]  They're going to spin it.
[01:01:44.867 --> 01:01:48.050]  Well, sure, pay women to come forward, sell their story.
[01:01:52.338 --> 01:01:56.900]  They're leading them, and women are recording them that haven't had any problems with Trump.
[01:01:56.960 --> 01:01:57.700]  That's the issue.
[01:01:58.080 --> 01:02:01.282]  And I know you know that, but the media is going to, again, keep changing the subject.
[01:02:01.302 --> 01:02:02.722]  But we're aware of their game now.
[01:02:03.202 --> 01:02:04.003]  We're alive.
[01:02:04.063 --> 01:02:04.723]  We're conscious.
[01:02:04.783 --> 01:02:05.423]  We're watching.
[01:02:06.404 --> 01:02:09.725]  We know everything about the globalists.
[01:02:10.445 --> 01:02:13.847]  This broadcast makes its business studying these people.
[01:02:14.107 --> 01:02:17.348]  And criminals brag in their own publications to themselves.
[01:02:17.688 --> 01:02:20.789]  You see them bragging about stealing elections, bragging how they're pedophiles.
[01:02:21.150 --> 01:02:21.670]  We have them.
[01:02:22.441 --> 01:02:22.961]  How's it going, Alex?
[01:02:50.697 --> 01:02:52.077]  We are breaking the conditioning.
[01:02:52.117 --> 01:02:53.218]  We know we're under attack.
[01:02:56.779 --> 01:02:57.739]  Your phone's breaking up a little bit.
[01:02:57.759 --> 01:02:58.059]  Go ahead.
[01:02:59.259 --> 01:02:59.699]  Can you hear me?
[01:02:59.860 --> 01:03:00.220]  Yes, I can.
[01:03:00.240 --> 01:03:00.520]  Go ahead.
[01:03:02.220 --> 01:03:12.263]  So I want to say how coincidental is it that every single, you know, allegation that we have against every single prominent figure happens to be, you know, a sexual assault case?
[01:03:13.490 --> 01:03:15.932]  And because, like, how it has the same M.O.
[01:03:16.293 --> 01:03:24.119]  and how they used the Harvey Weinstein thing at first, which was real, and then almost everything after that that followed, other than the exception of, you know, Alex Jones.
[01:03:24.179 --> 01:03:24.540]  That's right.
[01:03:24.560 --> 01:03:25.300]  Well, I predicted it.
[01:03:25.360 --> 01:03:26.361]  That was the detonator.
[01:03:27.022 --> 01:03:28.243]  Weinstein was the detonator.
[01:03:29.244 --> 01:03:29.544]  It was.
[01:03:31.305 --> 01:03:34.208]  And he's even bragged since, oh, look, I changed the world.
[01:03:34.608 --> 01:03:35.709]  I was patient zero.
[01:03:36.630 --> 01:03:37.911]  He's walking around now.
[01:03:38.051 --> 01:03:38.712]  Like, is he not?
[01:03:38.792 --> 01:03:39.933]  Is he not just walking around?
[01:03:41.195 --> 01:03:41.476]  He is.
[01:03:41.917 --> 01:03:47.648]  And that's a good point, Marcos, but what are they going to do as it comes out that they're manufacturing most of this?
[01:03:49.586 --> 01:03:51.948]  They're going to quintuple down.
[01:03:55.091 --> 01:03:58.074]  Hopefully they stand down, like you always say.
[01:03:58.714 --> 01:04:00.896]  You don't want it to go to that level.
[01:04:01.257 --> 01:04:08.063]  If they take it to another level past this, Trump's going to have to be like, look, no more games.
[01:04:08.143 --> 01:04:09.084]  I can see all of it.
[01:04:09.684 --> 01:04:12.507]  He's only playing nice because he can't just go in there and
[01:04:13.570 --> 01:04:13.851]  This is
[01:04:30.674 --> 01:04:31.294]  We're informed.
[01:04:31.334 --> 01:04:32.875]  See the Russian investigation, totally phony.
[01:04:33.455 --> 01:04:36.077]  Most of the sex stuff made up or exaggerated.
[01:04:36.337 --> 01:04:37.217]  We're like, this is stupid.
[01:04:37.237 --> 01:04:37.898]  This is so fake.
[01:04:37.938 --> 01:04:44.961]  But they're just kind of targeting people, magazine readers and kind of airheads who walk up to me on the street and literally go, you are a Russian agent.
[01:04:45.181 --> 01:04:47.702]  They're like staring at Captain America, basically.
[01:04:47.722 --> 01:04:52.625]  I mean, when it comes down to it, when it comes down to promoting America, I'm just like, oh yeah, we're really, we're the Russians.
[01:04:52.765 --> 01:04:55.506]  Yeah, right.
[01:04:55.526 --> 01:04:56.067]  God bless you.
[01:04:56.087 --> 01:04:56.847]  Great points, Marcus.
[01:04:56.867 --> 01:04:57.307]  Stay with us.
[01:04:57.347 --> 01:04:58.648]  More calls straight ahead in Rogerstown.
[01:05:02.682 --> 01:05:04.523]  Mike in Arizona, you're on the air worldwide.
[01:05:04.583 --> 01:05:04.943]  Go ahead.
[01:05:05.824 --> 01:05:07.705]  Oh, Alex, you can rant any day of the week.
[01:05:07.745 --> 01:05:18.072]  Thank you, sir, for doing what you do and being a patriot and doing your best to save America and encouraging us as fellow patriots to do that in our local areas as well.
[01:05:18.252 --> 01:05:21.614]  And as a longtime InfoWars listener, I want to say thanks.
[01:05:22.094 --> 01:05:22.354]  Absolutely.
[01:05:44.837 --> 01:05:57.807]  Because then we could all, as educated patriots, help our other countrymen and women understand that there's bigger problems going on, and if we can get our houses in order, and be good to each other and ourselves, we can take our country back.
[01:06:07.394 --> 01:06:10.937]  Resistance to tyrants is obedience to God.
[01:06:11.197 --> 01:06:13.218]  It's Alex Jones.
[01:06:14.298 --> 01:06:17.319]  You can run on for a long time.
[01:06:17.960 --> 01:06:20.201]  Run on for a long time.
