[00:00:01.877 --> 00:00:07.322]  You're listening to The Alex Jones Show.
[01:04:27.686 --> 01:04:29.607]  Literally in the first paragraph,
[01:04:30.107 --> 01:04:32.588]  They descend into Godwin's Law.
[01:04:32.588 --> 01:04:35.229]  They descend into literally Hitler.
[01:04:35.229 --> 01:04:37.630]  Compare Donald Trump to Hitler.
[01:04:37.630 --> 01:04:43.293]  Then they give you the plot that it's an assassination attempt, an Obama holdover, a militant feminist.
[01:04:44.528 --> 01:04:49.093]  Yes, the knowledge that it's going to happen in advance does absolutely nothing to stop it.
[01:04:49.093 --> 01:04:50.275]  And it's moral.
[01:04:50.275 --> 01:04:51.476]  It's legitimate.
[01:04:51.476 --> 01:04:53.098]  That is the entire thread.
[01:04:53.098 --> 01:04:59.345]  That's the narrative they've been spinning with all this assassination talk, all this assassination porn.
[01:04:59.345 --> 01:05:00.927]  Is it coming to a head?
[01:05:00.927 --> 01:05:02.569]  We'll get more into that after the break.
[01:05:02.569 --> 01:05:05.011]  This is the Alex Jones Show live in 4Wars.com.
[01:05:07.170 --> 01:05:18.235]  A staunch anti-federalist, Patrick Henry was opposed to the Constitution, fearing it would become a monster that would take over not only the sovereign states that had created it, but that it would become a tool to destroy individual liberty.
[01:05:18.235 --> 01:05:21.237]  His warnings, ignored, have now come to pass.
[01:05:21.237 --> 01:05:29.781]  He said, you're not to inquire how your trade may be increased, nor how you are to become a great and powerful people, but how your liberties can be secured.
[01:05:29.781 --> 01:05:32.462]  For liberty ought to be the direct end of your government.
[01:05:32.702 --> 01:05:40.848]  Patrick Henry warned us, the liberties of a people never were nor ever will be secure when the transactions of their rulers may be concealed from them.
[01:05:40.848 --> 01:05:45.171]  Today, everything the government does, at every level, is concealed from us.
[01:05:45.171 --> 01:05:50.094]  We have trade deals to manage our economy that not even our elected representatives are allowed to see.
[01:05:50.094 --> 01:05:56.358]  Later in life, Patrick Henry looked back and said, when the American spirit was in its youth, the language of America was different.
[01:05:56.358 --> 01:05:58.520]  Liberty, sir, was the primary object.
[01:05:58.520 --> 01:06:02.002]  Today, our primary concern is safety and comfort.
[01:06:02.162 --> 01:06:04.394]  When we should be demanding liberty.
[01:06:04.394 --> 01:06:06.404]  For Infowars.com, I'm David Knight.
[01:06:07.338 --> 01:06:12.021]  As most of you already know, I am a voracious consumer of news and information.
[01:06:12.021 --> 01:06:24.968]  And in the last four or five years, doing more and more research, I came across the fact that the elite establishment is fully aware of the fact that our ancient ancestors, in many cases, had much better nutrition than we do today.
[01:06:24.968 --> 01:06:31.532]  And our ancient ancestors sought out the bones of the animals that they were hunting, killing, and then processing.
[01:06:31.532 --> 01:06:33.993]  And so I set out to develop caveman.
[01:06:34.113 --> 01:06:34.313]  I think?
[01:06:54.585 --> 01:06:56.807]  It's not just our water we need to filter.
[01:06:56.807 --> 01:06:59.508]  It's not just our food that needs to be cleaned.
[01:06:59.508 --> 01:07:00.669]  It's the air we're breathing.
[01:07:00.669 --> 01:07:02.130]  Especially for our children.
[01:07:02.130 --> 01:07:03.211]  The artificial particulates.
[01:07:03.211 --> 01:07:03.911]  The chemicals.
[01:07:16.820 --> 01:07:20.083]  This is absolutely weighing down our immune systems.
[01:07:20.083 --> 01:07:29.270]  The same team based right here in America that brought you the Alexa Pure Groundbreaking Water Filtration Systems have now developed Alexa Pure Breeze.
[01:07:29.270 --> 01:07:36.816]  Whether it's your home or office, you owe it to yourself, your co-workers, your family, your children to do the best job you can to purify your air.
[01:07:36.816 --> 01:07:44.842]  The elite are masters at poisoning our environment while themselves doing things that mitigate or avoid most of the toxic effects for themselves.
[01:07:44.842 --> 01:07:45.803]  The general public doesn't.
[01:07:47.009 --> 01:07:50.393]  The Alexa Pure Breeze will be a steal at $300, $400, $500.
[01:07:50.393 --> 01:07:54.539]  One of these systems can keep 800 square feet incredibly clean.
[01:07:54.539 --> 01:08:01.247]  This is a system I'm personally putting in throughout my house, replacing older, more expensive filters that didn't do as good a job.
[01:08:01.247 --> 01:08:05.352]  Find out why this system is so revolutionary today at InfoWarsTore.com.
[01:08:09.372 --> 01:08:15.958]  Live from the InfoWars.com studios, you're listening to the Alex Jones Show.
[01:08:15.958 --> 01:08:17.339]  The war was lost.
[01:08:25.715 --> 01:08:31.538]  We are back on the Alex Jones Show and returning we have our guest Tommy Robinson.
[01:08:31.538 --> 01:08:34.560]  He is, of course, author of Enemy of the State.
[01:08:34.560 --> 01:08:40.243]  He has a new book out, I believe today, which is rocketing up the charts on Amazon.
[01:08:40.243 --> 01:08:42.925]  We're going to get into that later in the interview.
[01:08:42.925 --> 01:08:47.568]  Tommy, welcome back.
[01:08:47.568 --> 01:08:48.268]  Here we have Tommy.
[01:08:48.268 --> 01:08:49.449]  I don't have any audio for Tommy.
[01:08:52.383 --> 01:08:55.687]  We'll try and get Tommy's audio back, we don't appear to have it at the moment.
[01:08:55.687 --> 01:08:56.908]  Let me know when we do.
[01:08:56.908 --> 01:08:59.291]  Let's go back to the news though, I was covering before the break.
[01:08:59.291 --> 01:09:01.253]  This was out in the London Guardian.
[01:09:01.253 --> 01:09:03.976]  To kill the President by Sam Bourne.
[01:09:03.976 --> 01:09:06.599]  Does fact trump fiction?
[01:09:06.599 --> 01:09:10.403]  This is another Trump assassination fantasy.
[01:09:10.403 --> 01:09:14.948]  Remember we even had Ross Douthat out of the New York Times before the election.
[01:09:15.640 --> 01:09:23.543]  Tweet a movie where I think it was a congressional candidate was assassinated to prevent him taking office.
[01:09:23.543 --> 01:09:26.104]  He tweeted it as a joke.
[01:09:26.104 --> 01:09:33.887]  How many times have we seen New York Times writers, Financial Times writers tweet a joke about Trump's assassination.
[01:09:33.887 --> 01:09:35.148]  They're building up to this.
[01:09:35.148 --> 01:09:39.329]  They're now literally writing fantasy novels about him being assassinated.
[01:09:39.329 --> 01:09:41.170]  It's absolutely unconscionable.
[01:09:41.790 --> 01:09:56.253]  Given what's going on behind the scenes that we know, and we'll get more into that later in the show, but we do have Tommy Robinson on the line right now, author of Enemy of the State and author of a new book, which as I said is skyrocketing up the charts on Amazon.com today.
[01:09:56.253 --> 01:09:58.093]  Tommy, welcome back!
[01:09:58.093 --> 01:10:00.333]  Hello Paul, thanks for having me.
[01:10:00.333 --> 01:10:01.074]  Good to have you back.
[01:10:01.074 --> 01:10:09.115]  Now, before this unfortunate attack in Hamburg, Germany today, which we don't know the full details of, but it seems to be another Islamic terror attack,
[01:10:09.813 --> 01:10:13.157]  There was this kind of lull, at least in Europe.
[01:10:13.157 --> 01:10:19.205]  The terror attacks seemed to stop all of a sudden, at least for a period of three or four weeks.
[01:10:19.205 --> 01:10:24.472]  The terror attacks appeared to stop when Ramadan ended.
[01:10:24.472 --> 01:10:27.516]  Now, Tommy, surely there's no connection, given we know
[01:10:28.496 --> 01:10:32.402]  Islam is a religion of peace and that it has nothing to do with terrorism.
[01:10:32.402 --> 01:10:39.774]  So why did the terror attacks in Europe suddenly seem to stop when Ramadan ended, given that there's no connection?
[01:10:41.323 --> 01:10:42.563]  We see this every year.
[01:10:42.563 --> 01:10:50.866]  We see, what's it called, the Ramadan Bombathon, which you see the figures coming through daily, and they excel.
[01:10:50.866 --> 01:10:58.768]  We see most attacks, as instructed, during the holy or unholy or very violent month of Ramadan.
[01:10:58.768 --> 01:11:01.408]  But you're right, you're right, they have basically come to an end.
[01:11:01.408 --> 01:11:05.650]  But as I say in that, we have had five attacks in the last, I think, three weeks.
[01:11:05.650 --> 01:11:06.930]  We're all stopped.
[01:11:07.530 --> 01:11:10.353]  In the coming minutes, just before they were successful.
[01:11:10.353 --> 01:11:21.043]  So I don't think it's fruit one, but you are right, as far as we look at it, they've completely stopped in comparison to during Ramadan, which when we saw a wave of them, didn't we?
[01:11:21.043 --> 01:11:22.165]  Three in three months in the UK.
[01:11:23.599 --> 01:11:25.901]  Exactly, and as he said, I mean, it happens every year.
[01:11:25.901 --> 01:11:33.305]  Proving again that connection, obviously if there's a wave of them during Ramadan, there must be some kind of connection.
[01:11:33.305 --> 01:11:37.668]  Surely there was a kind of lull that seems to have ended today with what's happening in Hamburg.
[01:11:37.668 --> 01:11:39.729]  The BBC's barely reporting on it.
[01:11:39.729 --> 01:11:42.491]  Sky News wasn't even reporting on it last time I checked.
[01:11:43.051 --> 01:11:54.474]  Another thing that they seem not so keen to be reporting on, Tommy, is we had a mob rampage in Liverpool recently, which was, you know, as plain a hate crime as you will ever see.
[01:11:54.474 --> 01:11:57.094]  Numerous people attacked in the street.
[01:11:57.094 --> 01:12:03.856]  We're all supposed to be really concerned about hate crimes in the aftermath of Brexit and in the aftermath of terrorist attacks.
[01:12:04.440 --> 01:12:07.265]  But Tommy, why is the BBC not reporting on this?
[01:12:07.265 --> 01:12:14.459]  What is it about this hate crime that seems to have prompted the left and so much of the mainstream media to ignore it?
[01:12:15.319 --> 01:12:17.561]  And let's have the details as well of this crime.
[01:12:17.561 --> 01:12:20.022]  The details are young Muslim men.
[01:12:20.022 --> 01:12:21.223]  They stopped a Muslim man.
[01:12:21.223 --> 01:12:22.544]  They said to him, what religion are you?
[01:12:22.544 --> 01:12:23.605]  And he said, Muslim.
[01:12:23.605 --> 01:12:25.446]  They said, say the Muslim words.
[01:12:25.446 --> 01:12:27.607]  And he said, there is no prophet but Muhammad.
[01:12:27.607 --> 01:12:29.288]  So then they left him.
[01:12:29.288 --> 01:12:30.189]  They walked on.
[01:12:30.189 --> 01:12:31.510]  They stopped the next man.
[01:12:31.510 --> 01:12:32.471]  What religion are you?
[01:12:32.471 --> 01:12:33.311]  I'm Christian.
[01:12:33.311 --> 01:12:33.972]  Bang.
[01:12:33.972 --> 01:12:34.952]  They violently beat him.
[01:12:34.952 --> 01:12:36.373]  His girlfriend tried to stop them.
[01:12:36.373 --> 01:12:39.035]  These weren't just hate crimes where there's a group attacking a man.
[01:12:39.035 --> 01:12:42.097]  They're attacking men who are with their partners, with their girlfriends.
[01:12:42.097 --> 01:12:44.919]  One of the victims, this is where we see Stockholm Syndrome in Europe.
[01:12:45.539 --> 01:12:48.203]  One of the victims was a Labour councillor.
[01:12:48.203 --> 01:12:53.790]  Now that Labour councillor, he put out yesterday saying he's not happy with the way it's been reported.
[01:12:53.790 --> 01:12:58.557]  Because the headline read, Muslim mob attack non-Muslims for being white.
[01:13:00.262 --> 01:13:01.763]  Completely accurate headline.
[01:13:01.763 --> 01:13:02.823]  Completely accurate.
[01:13:02.823 --> 01:13:06.485]  Completely accurate when you hear the details of what's happened.
[01:13:06.485 --> 01:13:08.386]  He wasn't happy with that headline.
[01:13:08.386 --> 01:13:10.286]  He was the man that's been beaten up.
[01:13:10.286 --> 01:13:12.047]  One of the men that's been beaten up.
[01:13:12.047 --> 01:13:15.209]  But these men went through the streets attacking him, attacking, attacking.
[01:13:15.209 --> 01:13:19.751]  And thankfully, the first Muslim man that they stopped, he rang the police.
[01:13:19.751 --> 01:13:22.952]  Because in his mind, they were asking him, is he Muslim?
[01:13:22.952 --> 01:13:25.213]  Because if he wasn't, they were going to kill him.
[01:13:25.213 --> 01:13:26.253]  Which is what they went on to do.
[01:13:26.253 --> 01:13:27.234]  They went on to attack.
[01:13:27.234 --> 01:13:29.595]  And the reason why this plays a part for me is
[01:13:30.075 --> 01:13:33.637]  Liverpool, 1% of that city is Muslim.
[01:13:33.637 --> 01:13:43.283]  I get told by so many of my friends who live in Liverpool, Muslims could not get away with doing that in our city, when they talk about all the things that are happening.
[01:13:43.283 --> 01:13:43.904]  Well I found
[01:13:44.986 --> 01:13:51.469]  Shops that were being used for grooming in Liverpool, in Birkenhead, where they were raping the young girls.
[01:13:51.469 --> 01:13:53.270]  Now we see these sorts of attacks.
[01:13:53.270 --> 01:14:02.574]  Now, just imagine, which I say to people in Liverpool, Luton has a population that has 30 times more Muslims in percentage in the city than what Liverpool has.
[01:14:02.574 --> 01:14:03.894]  Look what's already happening.
[01:14:03.894 --> 01:14:05.195]  Look what's already happening.
[01:14:05.195 --> 01:14:07.916]  And you're right, this is a hate crime that no-one spoke about.
[01:14:07.916 --> 01:14:13.659]  The only hate crimes we hear about is a dirty look on a bus, or someone tweeting something offensive.
[01:14:14.319 --> 01:14:17.803]  And if that was the case, those sort of stories go completely viral.
[01:14:17.803 --> 01:14:20.406]  We all see them go viral whenever they happen.
[01:14:20.406 --> 01:14:26.293]  This, I think this has only been reported originally in the local newspaper, until people have picked up on it and it's got out now.
[01:14:27.850 --> 01:14:49.255]  Well of course we had another what they call a hate crime back a few weeks ago probably about six weeks ago after the Manchester attacks in Liverpool where it was a guy on a Facebook video threatening with words to slice Muslims ears off with a machete fair enough that's a hate crime it was reported by everyone it was reported by the BBC
[01:14:50.015 --> 01:14:51.656]  That's words, okay?
[01:14:51.656 --> 01:14:58.398]  This was an actual violent assault on several people directed against them because they're non-Muslims, because they're white.
[01:14:58.398 --> 01:15:03.899]  It's not even in the local BBC News section for Merseyside.
[01:15:03.899 --> 01:15:09.061]  I mean, this is a deli... It must be a deliberate decision to ignore this if the roles were reversed.
[01:15:09.061 --> 01:15:16.083]  If this was a bunch of white people, a bunch of far-right Christians or whoever, rampaging through the streets asking Muslims if they were
[01:15:16.343 --> 01:15:19.546]  Christian, if they said they were Muslims, attacking them viciously.
[01:15:19.546 --> 01:15:23.569]  That would be a national outrage as it is.
[01:15:23.569 --> 01:15:30.135]  The BBC hasn't even reported it in their local section and these guys, Tommy, they're going to be in jail.
[01:15:30.135 --> 01:15:32.857]  They've got sentences for about 42 weeks.
[01:15:32.857 --> 01:15:38.362]  They're probably going to be out on the streets again within months and no one will even have heard of this because they're not reporting on it.
[01:15:39.642 --> 01:15:42.344]  Well, they've gone to Jihad University as well.
[01:15:42.344 --> 01:15:44.105]  So that's where they are now.
[01:15:44.105 --> 01:15:44.765]  They're in prison.
[01:15:44.765 --> 01:15:48.347]  They're going to be getting radicalised further, more extreme.
[01:15:48.347 --> 01:15:59.973]  And actually, as you say, could you imagine, could anyone imagine the outcry if Muslim families, because it's what it is, families, men and women, were stopped walking home and asked, are you Muslim?
[01:15:59.973 --> 01:16:02.215]  And when they say yes, they're all violently beaten.
[01:16:02.215 --> 01:16:02.715]  Could you imagine?
[01:16:03.414 --> 01:16:03.894]  Imagine!
[01:16:03.894 --> 01:16:08.776]  It wouldn't just be national outrage, it would be international, it would be worldwide.
[01:16:08.776 --> 01:16:10.136]  Everyone would be talking about it.
[01:16:10.136 --> 01:16:21.959]  But again, if I draw another time, for example, what happened to myself recently at Ascot, where I was followed and I was harassed and in the end I was attacked and I defended myself.
[01:16:21.959 --> 01:16:24.160]  That story, if you look through the media,
[01:16:25.154 --> 01:16:48.549]  I mean like every single news outlet, even in Ireland, in Wales, in Scotland, from the top down, from the national newspapers to the local newspapers, to the Luton Gazette, to the Luton News, to the Dunstable to Gazette, to the Merseyside Gazette, every single newspaper run that headline with that 17 clips of footage which has just shown me in the naked portrayal.
[01:16:48.549 --> 01:16:53.693]  Yet go online, find any of the footage of Muslims instantly attacking me in unprovoked attacks.
[01:16:54.306 --> 01:16:55.607]  They're never shown anywhere.
[01:16:55.607 --> 01:17:00.810]  So again, what we know, we know ourselves and your viewers know as well, there is a complete agenda.
[01:17:00.810 --> 01:17:04.712]  There's a complete agenda to hide the truth, to lie, and that's what we're seeing.
[01:17:06.445 --> 01:17:12.587]  And going back to what you talked about with the Stockholm Syndrome, the Labour councillor was viciously attacked while he was with his girlfriend.
[01:17:12.587 --> 01:17:13.928]  As he said, he came out later.
[01:17:13.928 --> 01:17:18.990]  He decried the headline that accurately reported what happened.
[01:17:18.990 --> 01:17:26.992]  It reminds me of when a woman on a train, I think it was in Austria or Germany, back about a year ago, she was raped by migrants.
[01:17:26.992 --> 01:17:30.994]  She refused initially to even report it to the police because she said,
[01:17:31.594 --> 01:17:39.619]  Oh, they've had a difficult time getting here, therefore maybe me being raped was just, you know, part of their therapy.
[01:17:39.619 --> 01:17:45.062]  Maybe it's racist to report someone for raping you, you know, if they've got brown skin.
[01:17:45.062 --> 01:17:49.024]  That is the level of Stockholm Syndrome that we've got to right now.
[01:17:49.024 --> 01:17:54.407]  But I want to go on to talk about another story, Tommy, which came out yesterday, and this is in Birmingham.
[01:17:54.407 --> 01:17:57.189]  Sky News reports teenage rape victim raped again
[01:17:57.749 --> 01:17:59.751]  Raped again by driver she flagged down.
[01:17:59.751 --> 01:18:06.435]  So she was raped initially, she flagged a driver down for help, and she was raped again for a second time.
[01:18:06.435 --> 01:18:10.338]  Both are described as Asian men in their early 20s.
[01:18:10.338 --> 01:18:15.381]  Tommy, should we be on the lookout for Japanese people, Chinese people, South Koreans?
[01:18:15.381 --> 01:18:18.163]  I mean, what on earth does Asian mean?
[01:18:18.163 --> 01:18:20.645]  Why do they keep using that politically correct term?
[01:18:21.463 --> 01:18:26.047]  Especially your viewers in America will be so confused by this.
[01:18:26.047 --> 01:18:27.488]  They will be so confused.
[01:18:27.488 --> 01:18:34.975]  Anyone from outside the UK, obviously, we've grown up knowing the Asian they refer to as Pakistani, as Bangladeshi, that's what they're referring to.
[01:18:34.975 --> 01:18:38.678]  But for anyone else thinking, you wouldn't realise that, you wouldn't know that.
[01:18:38.678 --> 01:18:40.700]  And that's, again, that's done on purpose.
[01:18:40.700 --> 01:18:44.263]  That's done to demonise and broaden who it could be.
[01:18:44.263 --> 01:18:45.044]  We know who it is.
[01:18:45.604 --> 01:18:50.507]  I could put my life, I could put my house on the fact that both those men are Muslim men.
[01:18:50.507 --> 01:18:56.191]  Both of them, if they were described accurately, would be described as Pakistani Muslims.
[01:18:56.191 --> 01:18:57.371]  Accurately.
[01:18:57.371 --> 01:18:59.313]  They're still on the loose, Tommy.
[01:18:59.313 --> 01:19:05.977]  Not describing them accurately is helping them escape arrest after they've raped this poor 15-year-old girl.
[01:19:07.245 --> 01:19:17.160]  Anytime you read in the media four attackers and they don't give a description, that means, I know what that means, as I'm reading any story, half the time they don't even give descriptions.
[01:19:17.160 --> 01:19:20.364]  Someone's been beaten up or someone's been robbed and the four men run away.
[01:19:21.135 --> 01:19:22.656]  Okay, what do they look like?
[01:19:22.656 --> 01:19:26.119]  Why are you not telling us what they look like?
[01:19:26.119 --> 01:19:28.822]  Why are you not giving us the descriptions of who they were?
[01:19:28.822 --> 01:19:30.884]  And that's exactly the same in this situation.
[01:19:30.884 --> 01:19:32.065]  This is Birmingham.
[01:19:32.065 --> 01:19:37.409]  And so people, when you read a story like that, I was talking about it yesterday, some people think that, where did that happen?
[01:19:37.409 --> 01:19:38.470]  Baghdad?
[01:19:38.470 --> 01:19:40.412]  No, that happened in Birmingham.
[01:19:40.412 --> 01:19:41.913]  A young child was raped.
[01:19:41.913 --> 01:19:42.494]  It's like, it's like,
[01:19:45.826 --> 01:19:47.427]  Absolutely amazing, Tommy.
[01:19:47.427 --> 01:19:48.867]  We'll get back into it after the break.
[01:19:48.867 --> 01:19:52.128]  Yeah, she was raped twice within the space of, what, 30 minutes.
[01:19:52.128 --> 01:19:56.550]  After flagging someone down for help, she was raped by him as well.
[01:19:56.550 --> 01:19:59.851]  That's the situation we've got in the United Kingdom.
[01:19:59.851 --> 01:20:03.592]  They're all being protected through political correctness, as happened with Rotherham.
[01:20:03.592 --> 01:20:04.933]  We'll be back with Tommy Robinson.
[01:20:04.933 --> 01:20:05.473]  Don't go away.
[01:20:06.075 --> 01:20:08.677]  Hunters, anglers, campers and survivalists.
[01:20:08.677 --> 01:20:09.738]  Get back to nature.
[01:20:09.738 --> 01:20:16.904]  Expand your horizons with the highest quality, most versatile, unique slingshots and sling bows on the market at slingbow.com.
[01:20:16.904 --> 01:20:20.267]  Slingbow products are compact and models start from just $17.98.
[01:20:20.267 --> 01:20:23.770]  They're perfect for your bug out bag or storing in your vehicle.
[01:20:23.770 --> 01:20:27.853]  Give yourself and your loved ones the excitement and tradition of slingbow.
[01:20:27.853 --> 01:20:32.357]  A new frontier in archery and truly modern twist on this primitive survival tool.
[01:20:32.357 --> 01:20:34.959]  Feel the thrill only at slingbow.com.
[01:20:36.096 --> 01:20:37.337]  Maybe not today.
[01:20:37.337 --> 01:20:38.637]  Maybe not tomorrow.
[01:20:38.637 --> 01:20:42.378]  But soon, you'll need a plan and place to survive.
[01:20:42.378 --> 01:20:43.459]  Forget bunkers.
[01:20:43.459 --> 01:20:45.280]  You're not a live underground gopher.
[01:20:45.280 --> 01:20:47.000]  You need Survivalist Camps.
[01:20:47.000 --> 01:20:54.783]  The ultimate, fully functional, off-the-grid, mobile survival bug-out house that's well-equipped and custom-built to outlast any other RV or trailer.
[01:20:54.783 --> 01:20:55.783]  Bold statement?
[01:20:55.783 --> 01:20:56.784]  You bet.
[01:20:56.784 --> 01:20:59.265]  See them now at survivalistcamps.com.
[01:20:59.265 --> 01:21:01.486]  That's survivalistcamps.com.
[01:21:01.486 --> 01:21:04.627]  Trust your family's survival to survivalistcamps.com.
[01:21:05.687 --> 01:21:11.312]  Today, I'm excited to announce that a new limited shipment of DNA Force has finally arrived at the M4's warehouse in Austin, Texas.
[01:21:11.312 --> 01:21:19.919]  We have thousands of listeners on the waiting list who've signed up for AutoShip to receive out-of-stock products like DNA Force, and we are now once again expected to sell out very, very soon.
[01:21:19.919 --> 01:21:27.785]  And when it comes to a formula that is such a game-changer like DNA Force, we never know when we will be able to secure an additional supply of the key ingredients.
[01:21:27.785 --> 01:21:33.890]  The secret behind DNA Force is its powerful lineup of patented ingredients like CoQ10, systematic enzymes,
[01:21:34.230 --> 01:21:37.271]  NAR Lipoic Acid, Bio-PQQ and many others.
[01:21:37.271 --> 01:21:41.953]  Bio-PQQ alone is backed by an unprecedented 175 clinical studies.
[01:21:41.953 --> 01:21:45.694]  And just one batch of this stuff costs us more than $30,000.
[01:21:45.694 --> 01:21:48.395]  Visit InfoWarsLife.com and read the reviews for yourself.
[01:21:48.395 --> 01:21:56.518]  Over 700 reviews have given DNA Force an unheard of 4.8 out of 5 stars through our third-party certified review agency, Power Review.
[01:21:56.518 --> 01:22:02.039]  Take advantage of this new limited shipment and get DNA Force today at InfoWarsLife.com before it sells out again.
[01:22:02.039 --> 01:22:03.440]  That's InfoWarsLife.com.
[01:22:05.151 --> 01:22:11.575]  KD Armor has been on a mission to manufacture the most comfortable body armor on the market, and we've succeeded.
[01:22:11.575 --> 01:22:18.639]  With the release of our CQB technology, we now offer the most comfortable, concealable, rifle-threat body armor available.
[01:22:18.639 --> 01:22:22.522]  Things may look good now, but what if you need added protection?
[01:22:22.522 --> 01:22:27.765]  Get your very own concealable rifle-threat armor today at kdarmor.com.
[01:22:27.765 --> 01:22:33.328]  And for a limited time, get all plates at wholesale pricing only at katiarmor.com.
[01:22:34.790 --> 01:22:41.552]  Water is the single most important thing your body needs, so you want to be sure it's the best for you and your family.
[01:22:41.552 --> 01:22:45.834]  Since 2005, thousands have depended on Berkey Purified Water.
[01:22:45.834 --> 01:22:50.455]  The Berkey guy provides the lowest price filtration systems in every size.
[01:22:50.455 --> 01:22:55.997]  For incredibly delicious water now and in an emergency, get to GoBerkey.com or call 877-886-3653.
[01:22:55.997 --> 01:22:56.137]  877-886-3653.
[01:22:56.137 --> 01:22:56.477]  GoBerkey.com
[01:23:04.680 --> 01:23:07.243]  Are you happy washing your hands with harsh chemicals?
[01:23:07.243 --> 01:23:09.385]  Are you happy doing laundry with detergents?
[01:23:09.385 --> 01:23:11.367]  Are you happy paying high prices?
[01:23:11.367 --> 01:23:13.429]  Find your happiness with Pure Soap.
[01:23:13.429 --> 01:23:18.294]  These all-natural, earth-friendly Pure Soaps are the very best you've ever used.
[01:23:18.294 --> 01:23:19.175]  Buy in bulk.
[01:23:19.175 --> 01:23:22.098]  Get a 12-, 36-, or 48-month supply.
[01:23:22.098 --> 01:23:24.541]  Or get items individually and still save big.
[01:23:24.781 --> 01:23:28.083]  You're getting soap products twice as good as what you're using now.
[01:23:28.083 --> 01:23:30.345]  Earth-friendly and natural soaps.
[01:23:30.345 --> 01:23:32.106]  Your family deserves the best.
[01:23:32.106 --> 01:23:34.767]  Happiness is 5starsoap.com.
[01:23:34.767 --> 01:23:37.549]  Why not put your money up the drain for a change?
[01:23:37.549 --> 01:23:43.893]  See them at 5starsoap.com or call 1-800-340-7091 for a catalog.
[01:23:43.893 --> 01:23:51.098]  Cal Bend Soap Company can save you thousands of dollars and give you good old-fashioned real soaps that are triple concentrated.
[01:23:51.098 --> 01:23:53.239]  Soaps made from vegetable and coconut oils.
[01:23:53.559 --> 01:23:57.240]  See their full selection of soaps at 5starsoap.com.
[01:23:57.240 --> 01:24:00.562]  That's F-I-V-E, starsoap.com.
[01:24:00.562 --> 01:24:12.526]  Or call 1-800-340-7091 for a catalog.
[01:24:12.526 --> 01:24:18.108]  Well, I'm not the kind to kiss and tell, but I've been seen with Farrah.
[01:24:18.108 --> 01:24:22.070]  I've never been with anything less than a dime.
[01:24:22.070 --> 01:24:22.850]  So fine.
[01:24:23.819 --> 01:24:27.842]  We are live, it is the Alex Jones Show.
[01:24:27.842 --> 01:24:34.767]  We're here with Tommy Robinson, author of Enemy of the State, but he also has a new book out, which I think came out today.
[01:24:34.767 --> 01:24:38.290]  It's already skyrocketing up the charts on Amazon.
[01:24:38.290 --> 01:24:43.974]  Tommy, tell us about that new book, because it's basically an explainer on the Quran, as far as I can tell.
[01:24:43.974 --> 01:24:46.016]  Obviously, I haven't got my hands on it yet.
[01:24:46.016 --> 01:24:47.617]  But what's the new book about?
[01:24:47.617 --> 01:24:49.138]  What motivated you to write it?
[01:24:49.949 --> 01:24:53.431]  So what the book is, the book is, it is the Quran in chronological order.
[01:24:53.431 --> 01:24:57.874]  That's the chronological order that I'm giving, that Islamic scholars have given.
[01:24:57.874 --> 01:25:01.056]  So when you put it into chronological order, so it's like two books.
[01:25:01.056 --> 01:25:06.680]  It's a 10,000 word introduction which explains to us the great lie, how we've all been lied to.
[01:25:06.680 --> 01:25:11.924]  What you realise is, and what people feel so betrayed about, is that up until September 11th, the elitists
[01:25:12.737 --> 01:25:15.178]  But they told the truth for our history about Islam.
[01:25:15.178 --> 01:25:25.784]  If I quote you now, which I do in this book, if I quote you Winston Churchill, the Mohammedan religion increases the fury of intolerance propagated by the sword, the hopes of plunder and the joy of fighting.
[01:25:25.784 --> 01:25:29.266]  The religion of blood and war is face to face with that of peace.
[01:25:29.266 --> 01:25:30.847]  Luckily, the religion of peace is
[01:25:31.087 --> 01:25:32.848]  is usually the better arms.
[01:25:32.848 --> 01:25:37.652]  Now in this case, amazingly, the reason that peace means Christianity is not the lie that we've now been given.
[01:25:37.652 --> 01:25:41.014]  That was by Winston Churchill, so he's a previous world leader.
[01:25:41.014 --> 01:25:52.242]  If I give you another statement now from an American Prime Minister, who said, the precept of the Quran is perpetual war against all who deny that Muhammad is the Prophet of God.
[01:25:52.242 --> 01:25:57.226]  The command to propagate the Muslim creed by the sword is always obligatory.
[01:25:57.626 --> 01:26:03.731]  When it can be made effective, the commands of the Prophet may be performed alike by fraud or by force.
[01:26:03.731 --> 01:26:07.414]  That was John Quincy Adams, 6th Prime Minister of the United States of America.
[01:26:07.414 --> 01:26:16.120]  Now what we do in this is we bring you through an introduction and we tell you how we've been lied to and when the lie started and everyone who's told the lie.
[01:26:16.120 --> 01:26:18.302]  We refer to it as the Great Lie.
[01:26:18.302 --> 01:26:19.583]  Now when you get to the Quran,
[01:26:20.484 --> 01:26:28.769]  Due to abrogation, anyone who doesn't know about the ordinary Qur'an, when you pick up a Qur'an and you try to make sense of it, it's not in any chronological order.
[01:26:28.769 --> 01:26:38.135]  What Muhammad said one day could be next to what he said 20 years, which is what enables Muslims to give the out of context argument all the time, and this lie that Islam is a religion of peace.
[01:26:38.135 --> 01:26:49.242]  What this does, it puts it into chronological order, and because of abrogation, what Muhammad said later in his life, earlier in his life, is superseded by what he says later in his life.
