[00:00:13.151 --> 00:00:16.192]  Welcome to this live edition of the InfoWars Nightly News.
[00:25:38.076 --> 00:25:40.958]  We had Zbigniew Brzezinski with Jimmy Carter.
[00:25:41.799 --> 00:25:43.080]  They talked a lot about those people.
[00:25:43.140 --> 00:25:45.601]  They admired them because, of course, they were globalists.
[00:25:45.661 --> 00:25:49.504]  But they never used them to try to diminish the president.
[00:25:50.632 --> 00:25:54.954]  Now they're doing that with Steve Bannon, because this is the way the globalists roll.
[00:25:55.394 --> 00:26:03.817]  We even had Daily Mail say, Steve Bannon is obsessed with a book that is arguing that institutions are destroyed and rebuilt every 80 years.
[00:26:04.677 --> 00:26:09.159]  And I saw that and I thought, well that's really interesting, because I know exactly that book they're talking about, The Fourth Turning.
[00:26:09.479 --> 00:26:13.141]  One of the first reports I did when I came here to InfoWars was to talk about that book.
[00:26:13.201 --> 00:26:16.422]  It's a very interesting thesis about history.
[00:26:17.102 --> 00:26:23.744]  These two historians, Strauss and Howe, go back about 500 years over American, English, European history.
[00:26:23.784 --> 00:26:26.265]  They take a look at a generational cycle.
[00:26:26.285 --> 00:26:29.006]  You know, history doesn't repeat itself, but it really does rhyme.
[00:26:29.046 --> 00:26:31.367]  And they see a rhythm to that rhyme.
[00:26:31.427 --> 00:26:40.510]  I want to play for you this report because it's very interesting and it shows how important and what a strategic thinker Bannon is and why they want to get rid of him.
[00:26:40.570 --> 00:26:43.531]  Here's that report about this book that they're saying he's obsessed with.
[00:26:44.215 --> 00:26:50.178]  Now, this quote was written nine years before the financial crisis of 2008, but it came from a book that was written in 1990.
[00:26:50.318 --> 00:26:56.021]  It had the same ideas from the same authors, 18 years before the financial crisis.
[00:26:56.322 --> 00:27:00.804]  The fourth turning is due to begin shortly after the new millennium, midway through the 00 decade.
[00:27:01.616 --> 00:27:05.419]  About the year 2005, a sudden spark will catalyze a crisis mood.
[00:27:05.759 --> 00:27:07.821]  Remnants of the old social order will disintegrate.
[00:27:08.161 --> 00:27:10.143]  Political and economic trust will implode.
[00:27:10.443 --> 00:27:17.389]  Real hardship will beset the land with severe distress that could involve questions of class, race, nation, and empire.
[00:27:17.969 --> 00:27:20.011]  The very survival of the nation will feel at stake.
[00:27:20.925 --> 00:27:32.210]  Sometime before the year 2025, America will pass through a great gate in history commensurate with the American Revolution, Civil War, and twin emergencies of the Great Depression and World War II.
[00:27:33.130 --> 00:27:40.753]  The basis of this prediction is a cyclical view of history that Strauss and Howe discovered by going back through American and English history back to the mid-1400s.
[00:27:40.833 --> 00:27:45.975]  And they discovered that just as we have seasons of weather, we have seasons of society.
[00:27:46.827 --> 00:27:56.949]  And just as we don't know the exact date that winter is going to come, or whether it's going to be a harsh or mild winter, we do know that it's going to follow fall, and we do know the approximate time that it's going to come.
[00:27:57.229 --> 00:28:10.672]  We take a close look at the rhythms of American history, and in our book we make the following big prediction, that beginning about ten years from now, America is due to enter an era of crisis, an era of political and social upheaval,
[00:28:11.852 --> 00:28:15.033]  That will last around 20 years or so until the late 2020s.
[00:28:17.193 --> 00:28:22.975]  We call this era a fourth turning, and we think it's going to be a big threshold for the history of our nation.
[00:28:23.415 --> 00:28:35.738]  It's going to be something on par with World War II and the Great Depression, or going back the length of a human lifespan before then, the Civil War, going back the length of another human lifespan, the American Revolution.
[00:28:36.438 --> 00:28:40.603]  It could be a time of tragedy or a time of great opportunity.
[00:28:40.723 --> 00:28:46.849]  What they found was that societies will go through four phases of high, awakening, unraveling, and crisis.
[00:28:47.630 --> 00:28:49.491]  Humans go through four phases of life.
[00:28:49.712 --> 00:28:52.614]  Childhood, young adult, midlife, and elderhood.
[00:28:53.095 --> 00:28:58.080]  And they noticed generations where people have shared experiences and attitudes are spaced about 20 years apart.
[00:28:58.866 --> 00:29:03.210]  And generations are shaped by where their childhood falls within the phases of society.
[00:29:03.750 --> 00:29:11.617]  Now this got my attention because I noticed there was a repeating pattern of about 72 years between significant dates in American history as well as some other histories.
[00:29:11.897 --> 00:29:14.359]  For example, if you go from the time the U.S.
[00:29:14.399 --> 00:29:19.603]  Constitution was written in 1789 to the beginning of the Civil War 1861, that's 72 years.
[00:29:20.264 --> 00:29:26.729]  Another 72 years takes us to 1933, the beginning of the New Deal, another major transformation of American society.
[00:29:27.332 --> 00:29:34.719]  If you go another 72 years, that took us to about 2005, exactly where Strauss and Howe had predicted a major crisis and change would occur.
[00:29:35.239 --> 00:29:41.745]  And in addition, if you look at the Russian Revolution, from 1917 to 1989 was about 72 years.
[00:29:42.186 --> 00:29:44.548]  So it seemed to fit with a life cycle of humans.
[00:29:44.908 --> 00:29:51.094]  In a cycle, four generations, 20 years apart, are shaped by when their childhood falls within that cycle.
[00:29:51.684 --> 00:29:55.986]  And the names they use in their book, The Fourth Turning, come from the biblical account of Exodus.
[00:29:56.346 --> 00:29:58.768]  For example, you have one generation as a prophet generation.
[00:29:59.388 --> 00:30:02.029]  Now think of Moses calling a generation to change.
[00:30:02.409 --> 00:30:08.653]  The next generation, the nomad generation, wandering in the wilderness, a period of crisis and restlessness.
[00:30:09.493 --> 00:30:11.474]  The following generation will be a hero generation.
[00:30:11.534 --> 00:30:14.396]  Think of the Joshua generation, taking a promised land.
[00:30:14.876 --> 00:30:16.737]  That often involves a major war.
[00:30:16.757 --> 00:30:19.058]  And then finally, an artist generation.
[00:30:19.750 --> 00:30:21.452]  The generation that builds a new society.
[00:30:22.253 --> 00:30:24.956]  Well, where does Strauss and Howe think that we are in this cycle?
[00:30:25.476 --> 00:30:31.823]  The researchers see the millennial generation, those born between 1982 to 2004, as the hero generation.
[00:30:32.624 --> 00:30:42.434]  And they see our society entering a fourth turning, a crisis period where society will be fundamentally transformed as it was with the American Revolution, the Civil War, or the New Deal.
[00:30:43.228 --> 00:30:47.710]  And the last time we faced a fourth turning was the Great Depression and World War II.
[00:30:48.331 --> 00:30:51.673]  Straus and Howe's predictions of 22 years ago now look prescient.
[00:30:52.493 --> 00:30:58.996]  And we can see the storm surge coming in our society at our time, just as if a hurricane was approaching the shore.
[00:30:59.016 --> 00:31:03.719]  Now our government has been undermining the foundations of liberty for a long time.
[00:31:04.443 --> 00:31:14.305]  And the question is, will you be a sandbag to help hold up and protect liberty, or will you stand by as it gets swept away and we enter a new dark age of authoritarianism?
[00:31:15.205 --> 00:31:17.606]  I'm David Knight for the Infowars Nightly News.
[00:31:18.846 --> 00:31:23.067]  Now that's a report that I did about four years ago, and of course Steve Bannon understands what this is about.
[00:31:23.107 --> 00:31:25.408]  Do you really think that this is coming true, or do you think that's a bunch of baloney?
[00:31:25.448 --> 00:31:27.348]  Do you see the people talking about secession?
[00:31:28.007 --> 00:31:30.069]  Do you see the talk about a greater depression?
[00:31:30.649 --> 00:31:35.113]  When Elon Musk says we're going to have 50% of the people lose their job, to actually, he only said 15%.
[00:31:36.314 --> 00:31:39.476]  But Oxford and other people who have looked at this have said, conservatively, it'll be 50%.
[00:31:39.616 --> 00:31:43.239]  In China, 77% unemployment.
[00:31:43.720 --> 00:31:48.984]  During the Great Depression, we had 25% unemployment peak in the United States.
[00:31:49.004 --> 00:31:50.245]  But now we're looking at twice that.
[00:31:50.585 --> 00:31:52.247]  Three times that in China.
[00:31:52.267 --> 00:31:53.368]  You think that's going to make a change?
[00:31:53.988 --> 00:31:55.069]  You think people are upset now?
[00:31:55.590 --> 00:32:02.636]  And of course, when they're looking at this, they always talk about how there would be a grey champion that would be emerging out of the baby boom generation about this time.
[00:32:02.956 --> 00:32:05.118]  And of course, people have looked at people like Ron Paul.
[00:32:05.178 --> 00:32:05.738]  Is he the guy?
[00:32:06.179 --> 00:32:06.799]  Bernie Sanders.
[00:32:06.859 --> 00:32:07.420]  Is he the guy?
[00:32:07.840 --> 00:32:08.761]  Or is it Donald Trump?
[00:32:09.322 --> 00:32:11.524]  Are we going to have a libertarian, a socialist, a populist?
[00:32:11.584 --> 00:32:12.244]  Who's it going to be?
[00:32:12.304 --> 00:32:13.926]  Well, we're going to talk about when we come back.
[00:32:14.326 --> 00:32:16.067]  We're going to talk about the moves towards secession.
[00:32:16.447 --> 00:32:26.913]  We're even in North Carolina now, not just in California, but in North Carolina there's been a bill to allow the state's constitution to be changed to allow secession.
[00:32:27.393 --> 00:32:29.074]  This is the environment that we're living in.
[00:32:29.214 --> 00:32:33.836]  This is why it is so essential that we keep the lines of communication open.
[00:32:34.277 --> 00:32:38.299]  The mainstream media, people like Brzezinski, they want to control what you think.
[00:32:38.991 --> 00:32:40.271]  We want you to think.
[00:32:40.511 --> 00:32:42.312]  We want to give you the information to think.
[00:32:42.572 --> 00:32:51.014]  That's why it is essential for us to keep this line of communication open as Google tries to shut down our ads, tries to purge our videos, restrict our videos.
[00:32:51.254 --> 00:32:51.714]  Stay with us.
[00:32:51.914 --> 00:32:52.794]  We're going to be right back.
[00:32:57.876 --> 00:33:07.398]  Everyone knows that InfoWars funds our operation by selling high quality products that we use and that everybody needs at very competitive affordable prices.
[00:33:08.387 --> 00:33:10.268]  That's why I get questions all the time over the years.
[00:33:11.028 --> 00:33:14.369]  Why don't you sell body armor at InfoWarsTore.com?
[00:33:14.749 --> 00:33:16.989]  Or why don't you have sponsors that sell body armor?
[00:33:17.470 --> 00:33:18.130]  And it's simple.
[00:33:18.730 --> 00:33:23.811]  I will only promote, and I will only sell the very, very best out there.
[00:33:24.291 --> 00:33:25.292]  And there's a nexus point.
[00:33:25.352 --> 00:33:28.133]  There's quality versus price.
[00:33:28.193 --> 00:33:30.073]  And those two points have to come together.
[00:33:30.693 --> 00:33:36.095]  National Defense Labs, and its civilian subsidiary, Citizen Armor,
[00:33:36.955 --> 00:33:47.243]  has given InfoWars the exclusive on distributing to the American people the true next generation in body armor.
[00:33:48.004 --> 00:33:55.029]  People are always saying, it's the 21st century, where are the silver jetpacks and where's Buck Rogers and the Skycars?
[00:33:55.790 --> 00:33:58.572]  Well, the globalists have basically suppressed a lot of those developments.
[00:33:58.612 --> 00:34:01.034]  They admit they want a post-industrial world.
[00:34:01.054 --> 00:34:05.057]  They call any technology that gets around their systems of control disruptive.
[00:34:05.497 --> 00:34:06.298]  Well, believe me,
[00:34:07.401 --> 00:34:10.063]  This is Disruptive to Tyrants Worldwide.
[00:34:10.664 --> 00:34:21.673]  Basically what we're bringing to the Info Wars team is a new line of dynamic, lightweight body armor.
[00:34:21.733 --> 00:34:23.334]  It's nanotube technology.
[00:34:23.935 --> 00:34:25.456]  It's created here in Texas.
[00:34:26.097 --> 00:34:33.143]  It is lighter, more flexible, easier to wear, more comfortable, and stronger than anything else on the market.
[00:34:33.903 --> 00:34:36.245]  We've, uh, went out and did some testing.
[00:34:36.685 --> 00:34:39.046]  We originally found their claims, saw what they said.
[00:34:39.306 --> 00:34:45.530]  We were all kind of hesitant to believe that something so light, so flexible, um, could be so strong.
[00:34:45.750 --> 00:34:59.038]  So what we did is we went out, we used, um, different pistols, different calibers to test different pieces of the body armor to ensure that it was up to the high standards that we expect to carry here at the M4 War Store.
[00:34:59.438 --> 00:35:00.239]  Born in Texas.
[00:35:00.579 --> 00:35:01.520]  Made in America.
[00:35:01.740 --> 00:35:04.382]  Exclusively available at Infowarsstore.com right now.
[00:35:04.462 --> 00:35:05.243]  I mean, it's unbelievable.
[00:35:05.303 --> 00:35:06.224]  It's a quarter inch thick.
[00:35:06.604 --> 00:35:07.945]  I mean, it's got a 20-year warranty.
[00:35:07.965 --> 00:35:08.606]  It's waterproof.
[00:35:08.626 --> 00:35:09.086]  You can wear it.
[00:35:09.147 --> 00:35:09.707]  It's comfortable.
[00:35:09.767 --> 00:35:10.568]  I mean, it's not bulky.
[00:35:10.588 --> 00:35:12.910]  I mean, that's the biggest, I think, intrigue for you, Alex.
[00:35:13.370 --> 00:35:20.977]  The biggest thing for us is, unfortunately, we live in a society now where we need to be able to defend ourselves and our families at any time.
[00:35:21.657 --> 00:35:25.339]  And this is something that is so thin and so lightweight.
[00:35:25.359 --> 00:35:32.123]  You said when you talked to people that have been using this, actually testing it for years, people that currently have tested it for us, they didn't just say outstanding.
[00:35:32.184 --> 00:35:33.524]  What did they really say about this?
[00:35:33.544 --> 00:35:34.565]  No, this is through the roof.
[00:35:34.725 --> 00:35:37.547]  They want to know how do they get it, where do they find it.
[00:35:38.327 --> 00:35:42.070]  A lot of my law enforcement official buddies want to know the same thing.
[00:35:42.210 --> 00:35:46.293]  Because they're wearing these big, heavy, bulky vests that don't work as well.
[00:35:46.793 --> 00:35:51.816]  So, they're looking for something you can wear all day, 12 hours a day, in and out of a car.
[00:35:51.897 --> 00:35:59.322]  And 90, I mean you can look up the numbers, 90 plus percent of fatalities with guns when they're used in conviction of a crime, I think it's like 94, is pistols or shotguns.
[00:35:59.342 --> 00:36:00.562]  This stops that unless it's a slug.
[00:36:01.443 --> 00:36:02.143]  That's amazing.
[00:36:02.203 --> 00:36:05.404]  So they can wear this and only somebody with a rifle around is going to get through it.
[00:36:05.664 --> 00:36:06.945]  And soon, they won't have it.
[00:36:07.305 --> 00:36:08.945]  If it's available to civilians, they're not sure.
[00:36:08.965 --> 00:36:11.646]  We're going to have the stuff that's unstoppable.
[00:36:11.846 --> 00:36:15.887]  This deal is so insane, is so good, it makes my head spin.
[00:36:16.727 --> 00:36:20.048]  But I guess the first people to sell cars kind of had to give them away.
[00:36:20.068 --> 00:36:20.809]  People didn't believe it.
[00:36:21.149 --> 00:36:22.169]  Hell, I don't want that thing.
[00:36:22.229 --> 00:36:23.949]  I feed my horse hay.
[00:36:25.290 --> 00:36:27.390]  The backpack body armor is only $200.
[00:36:30.686 --> 00:36:33.168]  And we shot everything you can imagine on it.
[00:36:33.749 --> 00:36:35.470]  Again, fund The Info War.
[00:36:35.790 --> 00:36:39.714]  Get the game-changing Nanotech Tubes from Buck Rogers.
[00:36:40.194 --> 00:36:42.236]  It's a win-win.
[00:36:42.576 --> 00:36:42.236]  $200.
[00:36:42.817 --> 00:36:45.779]  Go check out all their different products at infowarrestore.com.
[00:36:45.839 --> 00:36:46.540]  It's amazing.
[00:36:53.968 --> 00:36:56.309]  Welcome back to this live edition of the Infowars Nightly News.
[00:36:56.369 --> 00:37:07.591]  I'm David Knight, and as we were talking in the last segment about Steve Bannon, about the book that he's been derided about, The Fourth Turning, looking at this moment in history that is so important.
[00:37:07.632 --> 00:37:08.452]  He understands that.
[00:37:08.572 --> 00:37:12.773]  You need to understand that we are truly at a crisis moment.
[00:37:13.573 --> 00:37:18.779]  The characters for crisis in Chinese are the combination of danger and opportunity.
[00:37:19.119 --> 00:37:20.241]  And that's precisely where we are.
[00:37:20.561 --> 00:37:28.850]  Steve Bannon said we have a point right now where if we deliver, if the Trump administration delivers, we can change society for a generation.
[00:37:29.731 --> 00:37:30.512]  Let me make it clear.
[00:37:30.552 --> 00:37:33.054]  There are major changes that are coming down the pike.
[00:37:33.074 --> 00:37:35.896]  You don't have to look at the fourth turning to understand that.
[00:37:35.936 --> 00:37:42.822]  We've had the globalists talking about all these revolutionary disruptive changes that are going to be happening between 2020 and 2030 for a long time.
[00:37:43.323 --> 00:37:47.246]  We've got the 2030 agenda for sustainability coming from the United Nations.
[00:37:47.346 --> 00:37:51.529]  We had Agenda 21, but then they put a specific time point on it, 2030.
[00:37:51.589 --> 00:37:55.012]  We've got self-driving cars that are going to take over our transportation.
[00:37:55.032 --> 00:38:00.056]  That's all part of that sustainability, that part of that Agenda 21 to try to confine us into the cities.
[00:38:00.657 --> 00:38:03.399]  They're looking at massive disruption in the employment market.
[00:38:03.699 --> 00:38:05.481]  They're looking at a universal basic income.
[00:38:05.581 --> 00:38:06.982]  This is an important time.
[00:38:07.503 --> 00:38:08.563]  This is why.
[00:38:09.284 --> 00:38:13.927]  They're now moving, cutting their own economic throat to try to deny us these ads.
[00:38:14.027 --> 00:38:15.629]  It's not in their economic interest to do this.
[00:38:15.869 --> 00:38:16.789]  They're trying to punish us.
[00:38:16.809 --> 00:38:23.214]  They're trying to take down and are taking down our videos, putting our videos on restricted release, as well as blocking our ads.
[00:38:23.274 --> 00:38:24.635]  That's why this is so important.
[00:38:24.975 --> 00:38:26.336]  That's why I talked about Steve Bannon.
[00:38:26.677 --> 00:38:27.958]  That's why it is important.
[00:38:28.638 --> 00:38:38.465]  This press conference where the media is pushing this notion to the White House Press Secretary Sean Spicer saying, can't we get rid of Steve Bannon now that we got a new security advisor?
[00:38:38.525 --> 00:38:39.385]  Can't we get rid of him now?
[00:38:39.765 --> 00:38:42.087]  See, they could get a two-for-one by getting rid of Mike Flynn.
[00:38:42.447 --> 00:38:50.473]  Mike Flynn, who blew the whistle on our government, our CIA, arming Al Qaeda and ISIS in Syria.
[00:38:51.153 --> 00:38:51.814]  That's what they want to do.
[00:38:51.834 --> 00:38:55.156]  Now they want to get rid of the guy who is there, who knew this was coming.
[00:38:55.196 --> 00:38:57.797]  And there's an interesting article that just came out last week from Vice.
[00:38:58.958 --> 00:39:01.279]  Quoting Steve Bannon, saying the world is on fire.
[00:39:01.539 --> 00:39:03.759]  And this was two years before his rise to power.
[00:39:03.799 --> 00:39:08.620]  This guy said, well, back in September 2014, I went to his house for a party.
[00:39:08.640 --> 00:39:12.301]  He was on assignment from Rolling Stone to report about Breitbart.
[00:39:12.341 --> 00:39:15.921]  And he was given an invitation to a place that was called the Breitbart Embassy.
[00:39:16.181 --> 00:39:19.742]  He said, when I went there, I asked him, why do you call this place the Embassy?
[00:39:20.282 --> 00:39:21.082]  And Bannon said, D.C.
[00:39:21.122 --> 00:39:22.003]  is like Saigon in 68.
[00:39:22.483 --> 00:39:23.803]  You don't know who your friends are.
[00:39:24.523 --> 00:39:25.744]  And who your enemies are.
[00:39:25.904 --> 00:39:29.688]  Well, it's starting to become clear, and I hope that he's got a better read on that now.
[00:39:29.728 --> 00:39:38.035]  But it's interesting, at this party, this guy said, well, I didn't recognize many people there, but there was Laura Ingraham, there was Senator Jeff Sessions, there was Nigel Farage.
[00:39:38.095 --> 00:39:39.356]  He'd never heard of this guy before.
[00:39:39.376 --> 00:39:42.619]  He said Nigel Farage got up in a typical Nigel Farage style.
[00:39:43.080 --> 00:39:47.063]  He referred to then Prime Minister David Cameron as chinless and gutless.
[00:39:48.304 --> 00:39:49.645]  That's such a great order.
[00:39:50.085 --> 00:39:51.546]  He just really nails it.
[00:39:51.826 --> 00:40:03.753]  And then he talks about his private dinner with Steve Bannon, who said there is a center-right population throughout the world that is anti-establishment, that is anti-the party of Davos.
[00:40:04.114 --> 00:40:11.018]  And just think about Ted Malik, who has now been tipped to be Donald Trump's ambassador to the European Union.
[00:40:11.778 --> 00:40:16.800]  Who wrote the book, Davos, Aspen, and Yale, My Life Behind the Elite Curtain.
[00:40:17.241 --> 00:40:27.626]  And he pointed out the fact that we very much want to have bilateral relations with countries in Europe, but we do not want to strengthen a multilateral, globalist organization.
[00:40:28.306 --> 00:40:36.528]  Like the European Union, which is a stepping stone to Brzezinski's trilateral vision of the world, which in itself is a stepping stone to a one-world government.
[00:40:36.789 --> 00:40:41.870]  Now, if you don't think that all this stuff is happening, just look at all the talk about secession.
[00:40:42.350 --> 00:40:46.271]  And of course, it has always been pooh-poohed by people on the right.
[00:40:46.291 --> 00:40:51.633]  They say, oh, this is nothing but racism, and yet we see this happening quite a bit, don't we, in California, and they're not
[00:40:52.713 --> 00:40:57.237]  Putting this down, but I want to take a look at a new article that was up on Drudge today.
[00:40:57.778 --> 00:41:03.443]  North Carolina's constitutional ban on secession could be dropped under a House bill that has been introduced.
[00:41:03.483 --> 00:41:05.305]  And I want you to hear this language.
[00:41:06.005 --> 00:41:07.987]  This is in the North Carolina Constitution.
[00:41:08.007 --> 00:41:11.250]  Of course, it was not the way the North Carolina Constitution was originally.
[00:41:11.270 --> 00:41:15.554]  That's part of the 13 states that created a federal government.
[00:41:15.934 --> 00:41:20.978]  Later on, they decided they wanted to leave the thing that they had created, just like one day we're going to leave the United Nations.
[00:41:21.018 --> 00:41:22.099]  That's going to happen, folks.
[00:41:22.779 --> 00:41:23.660]  And be prepared.
[00:41:24.121 --> 00:41:25.822]  They're going to come after us when it happens.
[00:41:26.162 --> 00:41:31.486]  They're going to call us bad things, like secessionists and rebels, which is what they called the Southerners.
[00:41:31.546 --> 00:41:32.747]  They didn't call them racist.
[00:41:32.907 --> 00:41:34.949]  No, you won't find any of that talk there.
[00:41:35.229 --> 00:41:36.310]  They didn't call them slave owners.
[00:41:36.330 --> 00:41:37.471]  They called them secesh.
[00:41:37.511 --> 00:41:38.372]  That was a thing they didn't like.
[00:41:38.412 --> 00:41:41.074]  And when they won the war, they rewrote the Constitution and put this in it.
[00:41:41.494 --> 00:41:44.856]  This state shall ever remain a member of the American Union.
[00:41:45.216 --> 00:41:46.937]  The people thereof are part of the American nation.
[00:41:46.977 --> 00:41:59.485]  There is no right on the part of this state to secede and all attempts from whatever source or upon whatever pretext to dissolve this union or to sever this nation shall be resisted with the whole power of the state.
[00:41:59.565 --> 00:42:03.448]  I want you to look at that in contrast to the Declaration of Independence.
[00:42:03.468 --> 00:42:10.032]  You understand that our country was founded on the right of self-government, on the right of secession.
[00:42:11.024 --> 00:42:12.946]  It was a Declaration of Independence, wasn't it?
[00:42:13.486 --> 00:42:21.112]  They said we hold these truths to be self-evident, that we have these rights that we get from God, that we create government to enforce those rights.
[00:42:21.252 --> 00:42:31.220]  And when that government becomes destructive of those rights, we have the right and the duty to alter or abolish that government and set up new governments that are going to respect our rights.
[00:42:32.160 --> 00:42:33.241]  That was what this was about.
[00:42:33.661 --> 00:42:34.762]  That's what the Civil War was about.
[00:42:34.802 --> 00:42:37.184]  That was what the Revolutionary War was about.
[00:42:37.204 --> 00:42:40.627]  And we had an article yesterday on Infowars from Lou Rockwell.
[00:42:41.567 --> 00:42:43.128]  And he said, let's break up the USA.
[00:42:43.888 --> 00:42:44.708]  And he made this case.
[00:42:44.748 --> 00:42:51.971]  He said, everyone takes for granted that it's normal for a country of 320 million to be dictated to by a single central authority.
[00:42:52.011 --> 00:42:58.434]  The only debate we're permitted to have is who will be selected to carry out this grotesque, inhumane function.
[00:42:58.454 --> 00:42:59.534]  Who's our dictator going to be?
[00:42:59.574 --> 00:43:01.915]  We have an election every year to decide who the dictator is going to be.
[00:43:02.175 --> 00:43:03.156]  And remember, I said that earlier.
[00:43:03.756 --> 00:43:05.857]  I said, the left is not happy now.
[00:43:06.077 --> 00:43:09.858]  We told them, we warned them when Barack Obama started acting as a dictator.
[00:43:09.898 --> 00:43:10.939]  We said, he's setting a precedent.
[00:43:11.559 --> 00:43:13.719]  Future presidents will follow that precedent.
[00:43:14.139 --> 00:43:14.880]  And now we're seeing it.
[00:43:15.060 --> 00:43:16.800]  He said, here's the debate we should be having instead.
[00:43:16.840 --> 00:43:21.321]  What if we simply abandoned the quixotic mission and went our separate ways?
[00:43:21.801 --> 00:43:23.121]  It's an idea that's gaining traction.
[00:43:23.381 --> 00:43:25.281]  Much too late to be sure, but better late than never.
[00:43:25.601 --> 00:43:29.982]  For a long time, it seemed as if the idea of secession was unlikely to take hold in modern America.
[00:43:30.302 --> 00:43:33.763]  Schoolchildren, after all, were told to associate secession with slavery and treason.
[00:43:34.283 --> 00:43:36.983]  Think about the Pledge of Allegiance, okay?
[00:43:37.003 --> 00:43:37.704]  What does it say?
[00:43:38.844 --> 00:43:39.304]  One nation.
[00:43:39.624 --> 00:43:40.184]  Indivisible.
[00:43:41.340 --> 00:43:43.182]  The Under God wasn't added until the 1950s.
[00:43:43.382 --> 00:43:45.985]  The pledge was created during Reconstruction.
[00:43:46.485 --> 00:43:49.408]  And when they did the pledge, they held their arm out in a Nazi salute.
[00:43:49.829 --> 00:43:53.312]  It was only after the Nazis started using it in the 1930s that they put their hand over their heart.
[00:43:53.953 --> 00:43:57.537]  This was a pledge to a government, not a pledge to principles.
[00:43:57.577 --> 00:44:00.219]  It was not a pledge to the Constitution or to the Bill of Rights.
[00:44:00.660 --> 00:44:02.862]  It was a pledge to an authority.
[00:44:03.683 --> 00:44:03.923]  Now he says,
[00:44:21.516 --> 00:44:26.261]  Today, about one in three Californians polled favors the Golden State secession from the Union.
[00:44:26.381 --> 00:44:27.423]  They have an organization.
[00:44:27.843 --> 00:44:29.024]  YesCalifornia.org.
[00:44:29.325 --> 00:44:33.429]  And I just want to promote that and say, what can I do to help you leave?
[00:44:33.990 --> 00:44:40.317]  Because one of the things that allows me to pursue my own self-government is if you'll leave me alone, we can do this peacefully.
[00:44:40.557 --> 00:44:42.099]  This has happened throughout Scandinavia.
[00:44:42.159 --> 00:44:46.765]  We had Norway and Sweden go their separate ways, and of course Finland was part of that at one point in time.
[00:44:46.785 --> 00:44:48.347]  They've had Denmark as part of it.
[00:44:48.387 --> 00:44:51.552]  They've decided at various times to peacefully separate and go their own way.
[00:44:51.572 --> 00:44:53.554]  You don't have to have a war.
[00:44:54.255 --> 00:44:55.537]  We saw this with Czechoslovakia.
[00:44:57.469 --> 00:44:59.570]  Broke into the Czech Republic and Slovakia.
[00:45:00.050 --> 00:45:02.352]  It can happen, but frequently it doesn't.
[00:45:02.392 --> 00:45:11.737]  If we look at Ukraine, of course, we see in Ukraine they decide they would leave Russia, but then they denied the right of secession to the Crimeans, who had always been a part of Russia as well.
[00:45:12.137 --> 00:45:17.660]  So that's the duplicity that we see with the left, even as they're now saying they want to leave as part of California.
[00:45:18.021 --> 00:45:21.603]  They say, many have adopted the creepy slogan, not my president.
[00:45:21.643 --> 00:45:23.083]  This is Lou Rockwell talking.
[00:45:23.123 --> 00:45:23.924]  He says, in other words,
[00:45:24.364 --> 00:45:34.973]  I may not want this particular person having the power to intervene in all aspects of my life and holding in his hands the ability to destroy the entire earth, but I most certainly do want someone else to have that power.
[00:45:35.653 --> 00:45:35.873]  Really?
[00:45:35.893 --> 00:45:37.074]  Do you really want that?
[00:45:37.635 --> 00:45:38.696]  Think about this for a moment.
[00:45:38.776 --> 00:45:48.583]  This is a point at which we could have the left and right come together and say, let's decide about how we're going to govern ourselves instead of fighting over who's going to be the dictator.
[00:45:49.344 --> 00:45:56.124]  And I want to take a look at the fight that is going on right now within the Trump administration just on transgender bathrooms.
[00:45:57.096 --> 00:45:58.036]  And we're going to talk about that.
[00:45:58.056 --> 00:46:01.138]  I've only got about a minute I just heard in my ear before we got to go to break.
[00:46:01.518 --> 00:46:14.383]  We're going to talk about the civil war, not only within the GOP, but the civil war within the Trump administration between Senator Sessions, who is now Attorney General, and between Betsy DeVos, who is now head of the Department of Education.
[00:46:14.703 --> 00:46:24.307]  You would think it would be a non-fight that we would say that the federal government doesn't have the authority to dictate how and where we're going to go to the bathroom, wouldn't you?
[00:46:25.165 --> 00:46:27.948]  But no, not even in the Trump administration.
[00:46:27.968 --> 00:46:36.078]  We had to get Donald Trump involved in this fight, and we're going to tell you how it turned out, and we're also going to talk about the EPA in terms of remaking society.
[00:46:36.439 --> 00:46:37.981]  Stay with us, we're going to be right back.
[00:46:38.601 --> 00:46:43.387]  Alex Jones here with a very important news update to anybody out there that wants to be prepared.
[00:46:44.068 --> 00:46:45.649]  But it goes beyond being prepared.
[00:46:46.029 --> 00:46:51.013]  Our bodies absolutely must have the good halogen iodine or we will die.
[00:46:51.373 --> 00:46:56.837]  And you look at all of the thyroid problems and all the people that don't have energy and that have all sorts of hormone problems.
[00:46:57.217 --> 00:47:03.821]  And from my research, and a lot of just mainline research, it leads back to iodine over and over and over again.
[00:47:04.462 --> 00:47:05.603]  It's as important as vitamin C.
[00:47:06.463 --> 00:47:08.404]  If you don't get iodine, you die.
[00:47:08.724 --> 00:47:11.686]  But most people are just efficient, so they're low energy, they're sick.
[00:47:12.126 --> 00:47:15.748]  You gotta have iodine in your body so that your body can produce the hormones you need.
[00:47:15.928 --> 00:47:18.489]  It is the base to so many things.
