[00:00:10.057 --> 00:00:12.118]  The Matrix is everywhere.
[01:04:24.922 --> 01:04:26.623]  Because they committed to evil.
[01:04:27.023 --> 01:04:28.684]  They committed to being rat bastards.
[01:04:28.744 --> 01:04:31.907]  They committed to being traitors, Judas Iscariots.
[01:04:32.447 --> 01:04:34.229]  And so, they accelerated.
[01:04:34.269 --> 01:04:37.972]  It's like... Things don't just sit in stasis in the universe.
[01:04:37.992 --> 01:04:38.812]  There's no vacuum.
[01:04:39.633 --> 01:04:41.835]  It's... You go good, you go bad.
[01:04:42.235 --> 01:04:43.656]  You go high, you go low.
[01:04:45.337 --> 01:04:45.878]  And you see...
[01:04:50.402 --> 01:04:56.449]  I've looked into the enemy, and I don't think anybody wants to go there.
[01:04:57.730 --> 01:05:00.413]  But hey, a lot of you have to see for yourselves.
[01:05:03.556 --> 01:05:08.361]  As most of you already know, I am a voracious consumer of news and information.
[01:05:09.506 --> 01:05:26.658]  And in the last four or five years, doing more and more research, I came across the fact that the elite, the establishment, the science community is fully aware of the fact that our ancient ancestors, in many cases, had much better nutrition than we do today.
[01:05:27.418 --> 01:05:35.302]  And our ancient ancestors sought out the bones of the animals that they were hunting, killing, and then processing.
[01:05:35.622 --> 01:05:44.826]  And that they went for the bones first, knowing that they were full of the vital essence in the marrow, but also in the bone structure itself.
[01:05:45.646 --> 01:05:51.832]  And so I set out, working with the top formulator in the country, to develop Caveman.
[01:05:52.253 --> 01:06:06.006]  But to not just have concentrated bone broth from chicken, but seven other superfood ingredients known for cleansing and supercharging the body at the same time.
[01:06:06.767 --> 01:06:17.151]  Bottom line, when you purchase Caveman at InfoWarsTore.com, you're supporting the broadcast and true independent media that's fighting for the future of this country to be a free nation.
[01:06:17.511 --> 01:06:18.331]  So it's a win-win.
[01:06:18.612 --> 01:06:24.454]  But you really should try it for yourself to see what it's done for myself and so many others.
[01:06:25.254 --> 01:06:27.556]  InfoWars isn't just fighting the globalists.
[01:06:27.636 --> 01:06:28.917]  We're getting results.
[01:06:29.337 --> 01:06:36.222]  And we're expanding in the face of the complete media assault and winning because of your support.
[01:06:36.582 --> 01:06:38.403]  Because of you praying for the broadcast.
[01:06:38.443 --> 01:06:42.306]  Because of you buying the products and financially supporting the transmissions.
[01:06:42.606 --> 01:06:47.410]  And because you spread the articles and the videos and the links and tell folks about our local affiliates.
[01:06:47.990 --> 01:06:49.772]  Caveman is back in stock.
[01:06:50.153 --> 01:06:51.454]  People absolutely love it.
[01:06:51.835 --> 01:06:57.581]  So please, secure your Caveman today at Infowarslife.com or by calling toll free 888-253-3139.
[01:07:02.921 --> 01:07:09.786]  Every morning before I start writing or shooting a video, I take two capsules of Brain Force for a sustainable burst of energy.
[01:07:10.046 --> 01:07:19.772]  This is, without question, the most powerful nootropic I've ever taken, and it comes without any of the crashes or the jitters associated with energy drinks.
[01:07:19.832 --> 01:07:22.814]  It's additive-free, nothing artificial.
[01:07:23.074 --> 01:07:24.295]  It's Brain Force Plus.
[01:07:24.716 --> 01:07:32.181]  Read thousands of five-star independent reviews right now and get your Brain Force Plus at InfoWarsLife.com.
[01:07:32.981 --> 01:07:39.025]  You've got to have the will to accept the truth and buck the system and the group collective.
[01:07:40.086 --> 01:07:43.788]  Do that, and you'll earn your way to the next level.
[01:07:45.169 --> 01:07:46.270]  This is the Infowar.
[01:08:09.446 --> 01:08:13.968]  The answer to 1984 is 1776.
[01:08:14.989 --> 01:08:17.650]  You're listening to the Alex Jones Show.
[01:08:20.251 --> 01:08:23.333]  Well, he was the founder of Vice, syndicated radio and TV host.
[01:08:23.353 --> 01:08:24.473]  Gavin McGinnis is with us.
[01:08:25.734 --> 01:08:28.075]  And, you know, I love getting him on once a month.
[01:08:28.095 --> 01:08:28.995]  We really appreciate him coming on.
[01:08:29.015 --> 01:08:29.656]  He's a busy guy.
[01:08:31.058 --> 01:08:34.719]  And I was talking to him, to my producer in the break, and I was like, what do you want to get into today?
[01:08:34.739 --> 01:08:35.839]  Because I don't even pre-talk to him.
[01:08:35.859 --> 01:08:37.139]  I know he's always interesting stuff to cover.
[01:08:37.159 --> 01:08:38.440]  And he said, globalism!
[01:08:38.520 --> 01:08:39.820]  We're being conquered by it.
[01:08:40.620 --> 01:08:51.202]  It's taking over this corporate technocracy in their own words, these billionaires that are tax-exempt, fake liberals, ending our free speech, the Google memos, all of this.
[01:08:51.322 --> 01:08:52.523]  Are we going to put up with this?
[01:08:53.823 --> 01:08:54.764]  You know, that's the thing.
[01:08:56.244 --> 01:09:00.126]  Nishi said a lot of things, but he said, stare into the abyss, be careful you don't become the abyss.
[01:09:00.166 --> 01:09:05.389]  It's kind of like, we know they're doing all this, and so we kind of just become comfortable with it.
[01:09:05.449 --> 01:09:08.170]  Like, oh, okay, well, they're starting forced inoculations.
[01:09:08.250 --> 01:09:14.113]  Or, okay, big companies are tax exempt, but they lobby for me to have higher taxes because they get corporate welfare.
[01:09:14.553 --> 01:09:16.754]  It's like, we need to stop putting up with it.
[01:09:17.515 --> 01:09:19.616]  And there's one guy in government
[01:09:20.492 --> 01:09:31.103]  Who fired all the lobbyists, boosted the stock market, got thousands of companies to come back, and they're just ignoring all that with Newsweek cover saying Trump never did anything.
[01:09:31.463 --> 01:09:32.705]  He's a total failure.
[01:09:32.725 --> 01:09:37.810]  I mean, can you imagine the elite are so delusional, drinking their own Kool-Aid?
[01:09:37.830 --> 01:09:39.411]  That's my hope.
[01:09:39.451 --> 01:09:40.132]  They are so delusional.
[01:09:42.216 --> 01:09:43.818]  We wanted Jeb or Hillary?
[01:09:43.858 --> 01:09:45.500]  That's who most of the donations went to?
[01:09:45.561 --> 01:09:47.423]  I mean, we don't want Jeb, we don't want Hillary.
[01:09:47.884 --> 01:09:50.848]  Yeah, we'll take the crazy reality star that didn't, you know, have to get America.
[01:09:50.868 --> 01:09:52.169]  He doesn't have a hard-on to screw us.
[01:09:52.690 --> 01:09:55.854]  So he's got a hard-on to, you know, get the Globals off our backs.
[01:09:55.874 --> 01:09:56.635]  So Gavin McGinnis...
[01:09:57.336 --> 01:10:12.622]  He's our guest, he's got so many shows on so many platforms I can't even go over it all, but he's compoundmedia.com, he's also working with The Rebel, Twitter at Gavin underscore McInnes, and he joins us now as he tries to represent men!
[01:10:13.595 --> 01:10:17.997]  Not that we're against women or anybody else, just that there's this idea that men are inherently bad.
[01:10:18.037 --> 01:10:24.820]  That's kind of Gavin McGinnis' main forte, but he is a Swiss Army knife of intellectual ideas.
[01:10:25.240 --> 01:10:28.322]  So let's front and center, my maestro.
[01:10:29.642 --> 01:10:32.664]  Well, here's what I understand that politicians
[01:10:33.476 --> 01:10:35.098]  Like Hillary, the DNC.
[01:10:35.438 --> 01:10:38.161]  I understand that they want to incentivize single moms.
[01:10:38.521 --> 01:10:42.745]  They want to shatter the black family so they can make more Americans dependent on them.
[01:10:43.326 --> 01:10:46.629]  I understand that Soros wants to... By the way, Margaret Sanger said that.
[01:10:46.829 --> 01:10:47.530]  They did that.
[01:10:47.690 --> 01:10:48.611]  LBJ adopted it.
[01:10:48.691 --> 01:10:49.472]  It's all public.
[01:10:49.532 --> 01:10:52.655]  I mean, yeah, that's why she's the hero on the cover of Time Magazine.
[01:10:52.675 --> 01:10:53.096]  Sorry, go ahead.
[01:10:53.796 --> 01:10:57.160]  Black families, as you know, in the 40s had less illegitimacy than whites.
[01:10:58.655 --> 01:10:58.875]  Right.
[01:10:59.656 --> 01:11:03.841]  When I see a junkie on the street pull a gun, I go, I know what's going on here.
[01:11:03.881 --> 01:11:05.904]  You want to rob me because you want money for heroin.
[01:11:05.964 --> 01:11:06.524]  That's clear.
[01:11:06.965 --> 01:11:08.126]  Soros, it's clear.
[01:11:08.186 --> 01:11:09.007]  I understand their motive.
[01:11:09.328 --> 01:11:13.653]  What I'm obsessed with these days is how eager the populace is
[01:11:18.197 --> 01:11:22.702]  Exactly!
[01:11:22.762 --> 01:11:29.029]  If you're Roman soldiers taking over a town in Brittany and burning it, you get to rape the women, you get the gold.
[01:11:29.770 --> 01:11:31.332]  They're not even getting anything.
[01:11:31.372 --> 01:11:33.414]  They're screwing their own future, but it's VR.
[01:11:33.434 --> 01:11:34.135]  It's imaginary.
[01:11:36.963 --> 01:11:37.343]  Exactly.
[01:11:37.363 --> 01:11:42.647]  They're jumping next to the Roman soldiers and marching with them, saying, let's rape and pillage my town.
[01:11:43.187 --> 01:11:44.568]  And you go, well, that was easy.
[01:11:44.688 --> 01:11:47.530]  I mean, these people were thought policing ourselves.
[01:11:48.030 --> 01:11:53.474]  So the Gestapo, the Secret Service, they don't even have to show up for work to thought police us, because we'll do it.
[01:11:53.774 --> 01:11:55.075]  Like this Google Memo thing.
[01:11:55.655 --> 01:12:01.042]  That, he was fired not just by the CEO, but by his peers, by other people.
[01:12:01.082 --> 01:12:01.883]  And let's talk about that.
[01:12:02.003 --> 01:12:08.071]  CNN, I've got the clips coming up, they then misrepresented and said, he believes women shouldn't be able to wear shoes to come out of the house.
[01:12:08.351 --> 01:12:09.513]  Didn't say any of that.
[01:12:10.643 --> 01:12:13.884]  No, Forbes called it an anti-woman screed.
[01:12:13.904 --> 01:12:18.205]  You had Salon saying it confirms your worst fears.
[01:12:18.725 --> 01:12:24.627]  And they've just taken this fake narrative that he said women don't belong in the workforce and they've exaggerated it.
[01:12:24.767 --> 01:12:27.108]  I don't think any of the media has even read it.
[01:12:27.228 --> 01:12:28.168]  It's only 3,000 words.
[01:12:28.848 --> 01:12:32.029]  And he's just saying, hey, I don't care if you're a man or a woman, I need good people.
[01:12:32.269 --> 01:12:35.990]  There's more guys in the pool and on average there's more engineers.
[01:12:36.050 --> 01:12:38.550]  We need to hire men or women.
[01:12:38.710 --> 01:12:39.431]  I don't care.
[01:12:39.791 --> 01:12:41.371]  It's just there's more men in the pool.
[01:12:42.771 --> 01:12:46.832]  So again, I mean, it's like when I hire people, are they good?
[01:12:46.872 --> 01:12:47.632]  Do they do a good job?
[01:12:47.713 --> 01:12:49.253]  I don't care what's between their legs.
[01:12:50.137 --> 01:12:50.377]  Right.
[01:12:50.938 --> 01:12:57.104]  And he was also saying he saw the future and he saw that he was about to get penalized for being male, which is illegal.
[01:12:57.565 --> 01:13:00.168]  And he was saying, hey, company, I want us all to work together.
[01:13:00.588 --> 01:13:02.670]  Women are a huge asset to the workforce.
[01:13:02.991 --> 01:13:03.992]  Sexism is bad.
[01:13:04.052 --> 01:13:04.873]  Equality is good.
[01:13:05.433 --> 01:13:14.659]  However, do we really need to demand every single aspect, every single floor, every single cubicle of this building is 50% male, 50% female?
[01:13:14.679 --> 01:13:20.903]  Do they really need to all, do the coders, which is a very rare skill, do the coders all have to be 50% female?
[01:13:20.923 --> 01:13:23.785]  Because that's forcing women into a role.
[01:13:23.845 --> 01:13:24.506]  It's slavery.
[01:13:24.726 --> 01:13:27.007]  It's forcing them into the Foxconn factory in China.
[01:13:27.167 --> 01:13:27.868]  That's really what it is.
[01:13:28.820 --> 01:13:31.101]  Let's get George Costanza into the NBA.
[01:13:31.421 --> 01:13:34.361]  Let's get some short, fat Jewish guys playing NBA.
[01:13:34.582 --> 01:13:45.724]  I was about to say, I was an okay football player, but by the time I was a sophomore and they put me on varsity in a 5A team in Dallas, and huge black guys and white guys were running me over, I said, I quit.
[01:13:45.744 --> 01:13:47.385]  I have broken ribs.
[01:13:47.525 --> 01:13:48.965]  They're like, well, you did some good tackles.
[01:13:49.005 --> 01:13:50.266]  I'm like, dude, I'm done.
[01:13:50.586 --> 01:13:53.487]  And again, it wasn't like I was mad that most of the guys running over me were black.
[01:13:53.787 --> 01:13:54.927]  It was just, that's the way it was.
[01:13:55.811 --> 01:13:57.092]  Well, that's communism, right?
[01:13:57.672 --> 01:13:59.392]  And affirmative action in schools, too.
[01:13:59.793 --> 01:14:07.716]  Forcing blacks to be at Harvard and giving them bonus scores and then penalizing Asians' test scores.
[01:14:07.736 --> 01:14:12.838]  Did you see the story where the end-end guy poses as a black guy and then he got into medical school?
[01:14:13.578 --> 01:14:14.779]  Yeah, Mindy Kaling's brother.
[01:14:15.990 --> 01:14:18.692]  He's the one who did that, that comedian from the office.
[01:14:19.372 --> 01:14:20.633]  He did it and it worked.
[01:14:20.673 --> 01:14:22.294]  Because they're being discriminatory against Indians.
[01:14:22.314 --> 01:14:25.616]  Indians on average, listen, men are super smart, hardworking, it's like brainiacs.
[01:14:25.836 --> 01:14:28.398]  They're like, gosh, we've got nothing but Indians here in our medical school.
[01:14:28.598 --> 01:14:31.020]  Well, that's who's passing the scores and doing it and doing it.
[01:14:31.280 --> 01:14:32.581]  You know, it's not their fault.
[01:14:33.641 --> 01:14:34.822]  The NBA is black.
[01:14:35.082 --> 01:14:35.563]  Sorry.
[01:14:36.163 --> 01:14:37.684]  The MLB is Hispanic.
[01:14:37.964 --> 01:14:38.404]  Sorry.
[01:14:38.645 --> 01:14:40.146]  That's just the way it is.
[01:14:40.206 --> 01:14:43.608]  And the super mathematicians are Indian and Russian and German and Japanese.
[01:14:44.787 --> 01:14:46.108]  Why do you want to change that?
[01:14:46.809 --> 01:14:51.833]  I don't understand this compulsion, and it ends up putting people in places where they're unhappy.
[01:14:52.134 --> 01:14:55.397]  Like, you make a woman be a coder, or you make a woman be violent.
[01:14:55.437 --> 01:14:59.420]  I mean, Antifa keeps putting these women on the front lines because they brainwashed them.
[01:14:59.480 --> 01:15:07.648]  Oh yeah, when I couldn't get in to see Trump speak, like all these, on January 20th this year, it was always women up front.
[01:15:07.728 --> 01:15:11.011]  And quite frankly, they would hit me and push me, so I went ahead and just ran them over.
[01:15:12.148 --> 01:15:12.448]  Yes!
[01:15:13.209 --> 01:15:20.157]  Well, we're doing a big free speech rally in Boston in a couple weeks, August 19th.
[01:15:20.777 --> 01:15:29.867]  And I know that the protesters, the most violent ones, are going to be the women on the front lines because they think they're Charlize Theron and they think they can dropkick her.
[01:15:29.907 --> 01:15:31.549]  And they're going to try to hit you in the head with a bike lock.
[01:15:33.075 --> 01:15:36.076]  And it happens all the time, and these women end up getting beat up.
[01:15:36.136 --> 01:15:36.837]  I see it everywhere.
[01:15:36.857 --> 01:15:54.505]  I remember, we just finished a movie, and there's all these female PAs, and you're watching them lift these big sandbags, and these big hundred-pound boxes, and you go... Oh, I had this, I had, like, they were, you're right, it's on video, frontline women ramming and hitting me, with big guys behind them, so I went ahead and just knocked them over, and I had a bunch of big guys with me, and they're like, I'm a woman!
[01:15:54.525 --> 01:15:55.765]  I'm like, you just hit me!
[01:15:55.865 --> 01:15:57.406]  What the hell do you think's going on here, lady?
[01:15:57.646 --> 01:16:01.248]  You're in a man's world now, I'm gonna run you over to go see the President.
[01:16:02.600 --> 01:16:15.983]  And it's the impetus behind all this feminism, making women into men, is making women to shatter the family, and making women more dependent, more, they pay more taxes, let's get them slaves into cubicles like everyone else, and they can all vote Democrat.
[01:16:16.003 --> 01:16:18.783]  And by the way, that's in all the Eugenics memos, they said that.
[01:16:19.783 --> 01:16:21.344]  And I understand that, that motive.
[01:16:21.364 --> 01:16:23.064]  I understand what evil minds do.
[01:16:23.524 --> 01:16:26.905]  I just don't understand why we are so eager to accept it.
[01:16:27.165 --> 01:16:30.846]  Why, I mean, remember at the Women's March, there was that man who put on a hijab?
[01:16:31.206 --> 01:16:31.606]  Like, he just...
[01:16:34.113 --> 01:16:36.836]  And you think, well, how did we get so eager for self-annihilation?
[01:16:37.757 --> 01:16:38.458]  We ought to pull that up.
[01:16:38.498 --> 01:16:38.998]  What do you search?
[01:16:39.018 --> 01:16:40.219]  Like, man puts on hijab.
[01:16:40.720 --> 01:16:43.823]  How is Sorcerer now the leader of women?
[01:16:44.224 --> 01:16:47.928]  And Newsweek and USA says, wear a hijab, be a Muslim.
[01:16:48.228 --> 01:16:50.350]  That's the greatest form of women's empowerment.
[01:16:50.691 --> 01:16:55.616]  It's like they're looking for Western men doing something to women, and then they're just worshipping Islam.
[01:16:56.610 --> 01:17:05.257]  And I'm glad you brought that up because there was a video recently by AJ Plus called The Face of Domestic Terrorism in America is White.
[01:17:05.477 --> 01:17:11.541]  And it was all about how Nazis are going to kill you in your sleep and everyone's Timothy McVeigh and there's no such thing as Muslim terrorism.
[01:17:11.581 --> 01:17:12.542]  It's a tiny fraction.
[01:17:12.562 --> 01:17:13.383]  It's not really a thing.
[01:17:13.723 --> 01:17:14.964]  Pulse nightclub wasn't a thing.
[01:17:15.404 --> 01:17:16.665]  San Bernardino wasn't a thing.
[01:17:16.685 --> 01:17:17.866]  9-11 never happened.
[01:17:19.367 --> 01:17:21.929]  AJ Plus is Al Jazeera.
[01:17:22.329 --> 01:17:26.452]  Al Jazeera is owned by some family that, you know, some billionaire family.
[01:17:26.472 --> 01:17:28.173]  They own basically every painting in the world.
[01:17:28.193 --> 01:17:30.955]  I forget what they're called, but they're over there in Qatar.
[01:17:31.495 --> 01:17:42.543]  And you think all these, all these Arab, all these Arab sheiks have to do is throw a little bit of money at the, at the left coast and say, go make some bullshit propaganda and make sure everyone believes it.
[01:17:42.563 --> 01:17:44.104]  And they go, okay.
[01:17:44.364 --> 01:17:44.804]  And we have all
[01:17:44.824 --> 01:17:52.192]  Well, remember CNN when it came out they were getting a half million dollars per show to put out good news for Saudi Arabia and Qatar and all this?
[01:17:52.293 --> 01:17:53.894]  I mean, this is pay to play.
[01:17:53.914 --> 01:17:57.979]  I can't figure out, is it because they don't have fathers?
[01:17:58.339 --> 01:18:00.402]  Is it because we're the first generation of divorce?
[01:18:00.762 --> 01:18:05.448]  And now we have all these guys who never had a dad around so they have no... And so all the weird feminist women...
[01:18:06.834 --> 01:18:08.196]  I don't care what they're into, whatever.
[01:18:19.865 --> 01:18:22.287]  We talked to this guy, Angry Foreigner.
[01:18:22.347 --> 01:18:24.169]  He's got a YouTube channel and he's in Sweden.
[01:18:24.589 --> 01:18:30.033]  And he said what's going on there is so sick and depraved that the Swedish feminists have castrated their men.
[01:18:30.453 --> 01:18:32.915]  So all their men are little eunuch beta boys.
[01:18:33.496 --> 01:18:35.597]  And these women go, I kind of overdid it.
[01:18:35.637 --> 01:18:36.378]  I want a real man.
[01:18:36.858 --> 01:18:43.103]  So they're taking in refugee boys who are 19, 20, 25, but they pretend they're 14.
[01:18:43.483 --> 01:18:44.444]  And then they're having sex.
[01:18:45.044 --> 01:18:46.085]  With these refugees.
[01:18:46.165 --> 01:18:49.669]  These fat, frumpy, Swedish, feminist hippies.
[01:18:50.170 --> 01:18:57.037]  So they've created this depraved jalopy of culture by getting rid of something and then trying to replace it.
[01:18:57.437 --> 01:18:59.539]  It's like if you fixed your car with duct tape.
[01:18:59.640 --> 01:19:00.621]  It's not going to last.
[01:19:02.448 --> 01:19:11.696]  Now, I want to ask you, we're going to break here in a moment, but separately, I'm seeing leftist media criticizing Trump like he caused North Korea.
[01:19:11.756 --> 01:19:12.676]  He didn't give them the nukes.
[01:19:13.057 --> 01:19:14.798]  He didn't give them the missiles like the Clintons did.
[01:19:15.258 --> 01:19:21.823]  It's Kim Jong-un toddling around, couldn't wipe his own butt, but he's like, you know, this world ruler threatening to nuke everybody.
[01:19:22.064 --> 01:19:26.087]  And in the media, CNN's like, could Congress stop Trump from bombing North Korea?
[01:19:26.467 --> 01:19:31.071]  So now it's Trump's fault, like Trump gave birth to Kim Jong-un.
[01:19:32.645 --> 01:19:42.929]  You know, the left is so in the same way they were so blindly in the tank for Obama, they are so blindly out of the tank for Trump and he can do absolutely no right.
[01:19:42.949 --> 01:19:48.551]  Did you know, like I live in New York City, I talk to these people every day, did you know they're still convinced that he's going to be out within the next few months?
[01:19:49.747 --> 01:19:58.393]  Just like he wasn't going to win the election, let's talk about the fake polls, the hoaxing, where the Trump derangement syndrome goes, the mental illness, the PTSD, what's the next level?
[01:19:58.693 --> 01:20:04.457]  Is there any point where they ever come back to reality except jobs and stock markets?
[01:20:08.200 --> 01:20:09.201]  You know what this is called?
[01:20:09.721 --> 01:20:10.522]  Megatroll!
[01:20:10.542 --> 01:20:13.944]  This will be all over the newspapers!
[01:20:16.146 --> 01:20:18.227]  Sorry, I'm done!
[01:20:24.457 --> 01:20:26.459]  Only one of these two things was actually published.
[01:20:27.040 --> 01:20:28.942]  And it wasn't the one the establishment wanted.
[01:20:28.962 --> 01:20:30.344]  No, it wasn't.
[01:20:31.651 --> 01:20:33.453]  Look at this lovely Lifetime special.
[01:20:33.513 --> 01:20:34.393]  Oh, there's Bill Clinton.
[01:20:34.473 --> 01:20:36.375]  Park Ridge to Pennsylvania Avenue.
[01:20:36.395 --> 01:20:38.736]  Oh.
[01:20:38.996 --> 01:20:42.179]  Commencing... Oh, there she is, the little CIA operative in college.
[01:20:42.259 --> 01:20:48.243]  Newsweek is charting... It's about her victory after victory, the meteoric rise of the inevitable queen!
[01:20:48.383 --> 01:20:49.584]  It's inexorable.
[01:20:49.744 --> 01:20:50.184]  Inexorable.
[01:20:50.204 --> 01:20:51.165]  It's unstoppable!
[01:20:51.245 --> 01:20:51.806]  Rise!
[01:20:51.906 --> 01:20:53.627]  Nothing could possibly... Destiny!
[01:20:53.707 --> 01:20:55.448]  Nothing could possibly have stopped it.
[01:20:57.509 --> 01:21:00.431]  Oh, and now we get to the really good stuff.
[01:21:00.631 --> 01:21:02.112]  The new war on Hillary.
[01:21:02.312 --> 01:21:03.213]  The misogyny.
[01:21:03.513 --> 01:21:05.834]  Oh, they attacked her, but she fought through!
[01:21:06.115 --> 01:21:09.417]  Oh, and there she is, looking noble and defiant.
[01:21:09.877 --> 01:21:11.398]  Noble and defiant!
[01:21:11.418 --> 01:21:18.942]  Merging from her husband's shadow to be a real, convincing and authentic personality.
[01:21:18.982 --> 01:21:20.483]  Crawling out of the mouth of hell!
[01:21:20.563 --> 01:21:21.684]  Why have you become Churchill?
[01:21:21.964 --> 01:21:23.045]  Friends with Obama!
[01:21:24.469 --> 01:21:25.950]  She's getting the job done.
[01:21:26.150 --> 01:21:27.971]  She looks like she's about to accomplish something.
[01:21:27.991 --> 01:21:30.272]  There's a lot of foreign payments coming into the foundation.
[01:21:30.292 --> 01:21:31.913]  She just raked in a few more billion.
[01:21:32.353 --> 01:21:34.254]  Put a few more dictators in charge.
[01:21:34.294 --> 01:21:39.376]  This morning I tweeted a rainbow hashtag to my gay followers to pander to them.
[01:21:39.416 --> 01:21:42.418]  The same morning as I accepted 50 million from Saudi Arabia.
[01:21:42.458 --> 01:21:42.958]  How's that?
[01:21:43.278 --> 01:21:45.459]  And Barack lets out a hearty chuckle.
[01:21:45.479 --> 01:21:46.180]  And there it is.
[01:21:47.440 --> 01:21:48.941]  Madam President!
[01:21:49.061 --> 01:21:51.181]  It's the moment we've all been waiting for.
[01:21:51.241 --> 01:21:53.382]  It is the inevitable Hillary victory.
[01:21:53.562 --> 01:21:54.062]  There we go.
[01:21:54.082 --> 01:21:56.863]  Oh, now he's gonna be the first man.
[01:21:56.883 --> 01:21:57.323]  There we go.
[01:21:57.403 --> 01:21:59.263]  Rapist in Chief back in the Oval Office.
[01:21:59.283 --> 01:22:00.164]  Remindings they're rapists.
[01:22:00.204 --> 01:22:02.804]  Bill Clinton's a rapist!
[01:22:04.265 --> 01:22:05.305]  Bill Clinton's a rapist!
[01:22:05.745 --> 01:22:10.066]  I will be exiting the building with the greatest piece of merchandise I could ever have hoped for, so thank you for my whistle.
[01:22:10.086 --> 01:22:13.367]  From the Infowars.com studio, Alex Jones.
[01:22:13.387 --> 01:22:15.888]  She's being supported by her nine-person medical team.
[01:22:17.717 --> 01:22:18.737]  Hillary's in great health!
[01:22:19.037 --> 01:22:25.919]  It's like when Pele... No, you just imagine, sort of, MSNBC host, and Hillary's literally sucking her dry.
[01:22:25.939 --> 01:22:28.539]  She's like, she's like, the president elects in great health.
[01:22:29.620 --> 01:22:30.700]  Look at the shot!
[01:22:30.780 --> 01:22:36.161]  And she's gonna spew green, green, green, green... That's the shot!
[01:22:36.181 --> 01:22:37.421]  Look, here's the face.
[01:22:37.581 --> 01:22:38.561]  Enjoy it!
[01:22:50.429 --> 01:22:51.990]  You get into it, you see, I love you.
[01:22:59.576 --> 01:23:07.441]  After the 360 revolution is complete, and immediately before the ejection of the goo, a photographer manages to catch her head in the forward position.
[01:23:07.782 --> 01:23:09.983]  There we go, and we've got, oh look, and there's her.
[01:23:10.124 --> 01:23:13.686]  There's Webster Hubble, there's Mr. Ed leading through to get a bucket of grain.
[01:23:16.383 --> 01:23:17.184]  And there she is.
[01:23:17.484 --> 01:23:20.868]  There she is, calmly explaining while he looms over her in a cynicism.
[01:23:20.888 --> 01:23:24.692]  Wasn't that great with him prowling behind her like a predator?
[01:23:24.732 --> 01:23:29.638]  He was like a lion, you know, just prowling around, just waiting to strike.
[01:23:29.698 --> 01:23:33.221]  You know, you're a liar.
[01:23:33.382 --> 01:23:34.443]  And you ought to be in prison.
[01:23:34.463 --> 01:23:35.384]  You'd be in jail.
[01:23:35.684 --> 01:23:36.425]  Oh my goodness.
[01:23:37.026 --> 01:23:38.287]  While you talk, I'm going to bow down right now.
[01:23:44.645 --> 01:23:49.369]  She's looking at some little black kid she wants to put in prison.
[01:23:49.409 --> 01:23:50.491]  That's what I meant by my joke.
[01:23:50.511 --> 01:23:52.132]  She's like, look at these super predators.
[01:23:52.172 --> 01:23:56.517]  She's back in her pearls, she's looking presidential, and she's ready to get to work.
[01:23:56.677 --> 01:24:02.984]  And wouldn't it have been wonderful if that glorious, sunny, democratic future had come to pass?
[01:24:31.030 --> 01:24:32.291]  Gavin McGinnis is our guest.
[01:24:33.032 --> 01:24:34.713]  Infowars.com is our website.
[01:24:34.753 --> 01:24:41.798]  He's going to be with us until about 40 after, then I'm going to get into the latest George Soros attacks on our operation.
[01:24:42.719 --> 01:24:45.581]  I mean, I don't try to put a positive face on this just to do it.
[01:24:45.641 --> 01:24:49.604]  I don't do fake stuff when, oh, we've had a victory, and then I act like we've had a victory.
[01:24:49.644 --> 01:24:54.288]  I mean, I only chortle and run around gleefully when it's a real victory.
[01:24:55.469 --> 01:24:58.271]  You know, like, I don't go to the sex shop and buy blow-up dolls either.
[01:24:58.291 --> 01:25:01.033]  You know, I have a real wife, I have real kids, you know, I'm into real things.
[01:25:02.494 --> 01:25:15.925]  And BuzzFeed, the same folks that put out the fake pee-pee dossier, wrote this huge hit piece and, I mean, it brought in incredible revenue since it came out yesterday.
[01:25:15.945 --> 01:25:19.668]  I just, I should pay Charlie Worzel to write these things.
[01:25:19.828 --> 01:25:23.691]  I mean, it's like, they don't understand, they're so hated
[01:25:26.718 --> 01:25:28.886]  And they're so mentally ill, in my view, that...
[01:25:30.526 --> 01:25:31.226]  Oh, it's coming up.
[01:25:31.627 --> 01:25:32.287]  I'm sorry.
[01:25:32.727 --> 01:25:33.307]  I'll get to it later.
[01:25:33.347 --> 01:25:38.710]  It's just, it's like a 15-page article and it goes, well, yes, there's nothing.
[01:25:38.770 --> 01:25:39.871]  It is California standards.
[01:25:39.891 --> 01:25:40.591]  There's no heavy metals.
[01:25:40.671 --> 01:25:44.733]  It's incredibly clean and it's all standardized and it's blah, blah, blah.
[01:25:44.753 --> 01:25:50.296]  But there's $5 zinc in it and the product's $30 because there's like seven ingredients.
[01:25:50.336 --> 01:25:51.977]  Yeah, there's $5 of zinc in it.
[01:25:52.377 --> 01:25:53.057]  Exactly.
[01:25:53.277 --> 01:25:54.958]  But they go, look, it's $30, but the zinc is $5.
[01:25:58.629 --> 01:26:00.950]  But there's a bunch of other ingredients, ding-dong!
[01:26:01.211 --> 01:26:01.971]  And they know that!
[01:26:02.291 --> 01:26:03.632]  I mean, can you imagine?
[01:26:03.812 --> 01:26:11.977]  I just gotta say, the truth is so big, so deep, so luscious, that I just am in love with it, and I can't even describe how juicy it is.
