[00:00:07.577 --> 00:00:08.577]  Paul Watson reports.
[01:10:47.372 --> 01:10:47.852]  We have that.
[01:10:47.932 --> 01:10:49.213]  Trump will win the election.
[01:10:49.233 --> 01:10:50.594]  Remember all that?
[01:10:51.134 --> 01:10:51.935]  The bots showed it.
[01:10:51.975 --> 01:11:01.340]  Now the same bots show he's as popular as ever, but the polls all say he's super unpopular as Al Gore and as
[01:11:03.106 --> 01:11:08.294]  Clapper and Brennan go on TV and say there will be a coup in the next few months.
[01:11:08.775 --> 01:11:13.363]  We're not waiting for impeachment or this stupid grand jury they've convened in the swamp.
[01:11:14.520 --> 01:11:17.742]  So joining us about 45 after is Alexander Dugin.
[01:11:18.182 --> 01:11:30.391]  He's a best-selling author, researcher, started one of the most influential political parties in Russia, and he wrote the best-selling book, The Fourth Political Theory, geopolitical.ru or 4pt.su.
[01:11:34.406 --> 01:11:35.187]  And he joins us.
[01:11:35.667 --> 01:11:45.054]  I really appreciate him joining us today to talk about all this and to understand why does Hollywood hate Russia so much and hate America?
[01:11:45.494 --> 01:11:46.715]  I've talked to top Hollywood producers.
[01:11:46.735 --> 01:11:48.416]  They say it's a hatred of Christians.
[01:11:49.617 --> 01:11:50.478]  And why?
[01:11:51.553 --> 01:12:00.681]  Naturally, do we see, as I had Steve Pchenik on a few days ago, an alliance between the United States and Russia would be common sense in the world today.
[01:12:00.721 --> 01:12:06.305]  The resources, the Christian culture, the rise, about to be 3 billion Muslims in just a decade.
[01:12:06.646 --> 01:12:08.267]  We're at 1.5 right now.
[01:12:09.548 --> 01:12:11.770]  The globalists have allied with the most radical forms.
[01:12:11.790 --> 01:12:12.751]  You can see the math.
[01:12:14.073 --> 01:12:15.073]  Of where this is going.
[01:12:15.174 --> 01:12:18.875]  So, we should naturally be allied, but that's not what they want.
[01:12:18.895 --> 01:12:20.296]  They want to make Russia the number one enemy.
[01:12:20.796 --> 01:12:33.341]  They want to paralyze the President, where if he doesn't accept all these Soros operations to destabilize and overthrow countries around Russia and in Russia, that he's a Russian agent.
[01:12:33.381 --> 01:12:37.743]  He can't even go to dinner at the G20 and sit 30 feet from Putin and wave at him.
[01:12:38.988 --> 01:12:43.232]  They go, oh my gosh, you waved at him at another secret meeting, at a G20 meeting.
[01:12:43.873 --> 01:12:44.934]  This is crazy.
[01:12:44.974 --> 01:12:46.876]  Now the public isn't buying it in polls.
[01:12:47.556 --> 01:12:48.778]  But the deep state doesn't care.
[01:12:49.118 --> 01:12:52.822]  They're using it as the excuse to prepare a COG overthrow.
[01:12:53.735 --> 01:13:04.242]  Ladies and gentlemen, this is a dangerous, dangerous time, and Trump warns this new low is dangerous for the whole planet, as we need Russia to deal with North Korea and so much more.
[01:13:04.582 --> 01:13:07.284]  So Alexander, thank you so much for joining us.
[01:13:07.324 --> 01:13:09.785]  Alexander Dugan, geopolitical.ru.
[01:13:10.326 --> 01:13:11.446]  You've got the floor, my friend.
[01:13:11.467 --> 01:13:20.993]  Let's go through who the Globalist are, what their aims are, why they hate the United States and Russia so much, and is there any way to stop them before they trigger World War III?
[01:13:22.931 --> 01:13:38.549]  Hi Alex, I'm really happy to be broadcasted in the United States because I think that your station and your channel and your heroic struggle is a unique
[01:13:39.169 --> 01:13:47.737]  Unique possibility, unique momentum to say the truth that nobody wants to hear.
[01:13:48.198 --> 01:14:00.229]  And first of all, I think that globalists need an enemy, but not the right enemy, because the right enemy of globalists are they themselves.
[01:14:01.070 --> 01:14:13.637]  Because they are going to destroy humanity, to exchange humankind by artificial intelligence, by a kind of cyborgs.
[01:14:14.452 --> 01:14:21.876]  And they try to destroy all kind of links of the humanity with its essence.
[01:14:22.237 --> 01:14:30.601]  And that is an essence that is the very, very negative, absolutely negative, satanic plan.
[01:14:31.001 --> 01:14:35.924]  And they need, in order to keep attention elsewhere, they need some enemy.
[01:14:36.424 --> 01:14:40.747]  And they have designated Russia as enemy number one.
[01:14:41.551 --> 01:14:49.957]  It helps for them to deplace attention from the real crimes they commit.
[01:14:50.778 --> 01:14:57.763]  And in the case of Trump, that is trying to reaffirm, reassert America.
[01:14:58.630 --> 01:15:18.843]  To regain its almost lost popularity and the greatness, restored greatness, they try to intimidate him by completely false accusation and hoaxes of Russian intervention in its elections.
[01:15:19.163 --> 01:15:20.844]  So they are globalists.
[01:15:21.144 --> 01:15:23.366]  They try to control everybody.
[01:15:23.446 --> 01:15:27.289]  They try, they want to divide the people and the countries.
[01:15:27.629 --> 01:15:47.144]  Not because some of countries or regimes are wrong or commit some horrible acts, but because in the agenda of globalists, they should be exposed as such, because they serve for their creation of global world government.
[01:15:47.584 --> 01:15:56.431]  And Russia plays here the role of the image of the enemy, of global enemy.
[01:15:58.353 --> 01:16:03.337]  Our president is very democratic and very reasonable, very...
[01:16:04.137 --> 01:16:06.318]  Very realistic, pragmatic leader.
[01:16:06.758 --> 01:16:10.019]  But he refuses globalization.
[01:16:10.299 --> 01:16:12.119]  He refuses world government.
[01:16:12.199 --> 01:16:22.922]  He tries to defend, to affirm, to conserve and reaffirm and strengthen Russian sovereignty.
[01:16:22.982 --> 01:16:23.522]  That's all.
[01:16:23.942 --> 01:16:28.483]  And that is why they hate us and they try to use Russia.
[01:16:28.863 --> 01:16:29.423]  I think so.
[01:16:46.010 --> 01:16:58.717]  He is obliged to say I have nothing to do with Russia, I didn't mean that thing, meeting Putin and so on and so on.
[01:16:59.037 --> 01:17:13.005]  That is an idea to deprive the American president of its freedom and liberty to create independent and sovereign politics of his own country.
[01:17:13.585 --> 01:17:14.225]  Absolutely.
[01:17:14.505 --> 01:17:16.446]  Alexander Dugin is our guest.
[01:17:16.466 --> 01:17:33.510]  He's one of the top cultural leaders with the resurgence of Russia, really to its roots, from researching, I would even say pre-Tsarist, basically Christian, European, Western slash Eastern roots coming together.
[01:17:34.290 --> 01:17:37.971]  And the globalists are absolutely, insanely hateful of Russia.
[01:17:38.011 --> 01:17:40.211]  And I've done an analysis of Putin.
[01:17:40.552 --> 01:17:41.632]  He's been reforming
[01:17:42.452 --> 01:17:51.890]  He's been cutting back the corruption, he's been arresting the oligarchs, he's been empowering programs for the family, he's been promoting Christianity, he's been promoting sovereignty, and...
[01:17:54.164 --> 01:18:08.478]  He's been exposing through national shows, not against technology, but how technology is being used to enslave people by the technocrats and has been opposing the wicked plan of Davos that is anti-American, anti-Russian, anti-human.
[01:18:09.058 --> 01:18:11.280]  And quite frankly, now we see more of this from Trump.
[01:18:11.561 --> 01:18:14.864]  But this isn't like something he got from Putin or he got from me.
[01:18:14.984 --> 01:18:15.945]  This is the truth.
[01:18:16.505 --> 01:18:17.266]  Of what we face.
[01:18:17.286 --> 01:18:21.029]  So let's talk about Vladimir Putin himself and why the globalists hate him.
[01:18:21.390 --> 01:18:22.671]  They're also obsessed with him.
[01:18:23.091 --> 01:18:27.976]  It's leaked that, I mean, Hillary's obsessed with him, basically in love with him.
[01:18:28.676 --> 01:18:30.999]  In the WikiLeaks, she was just beside herself.
[01:18:31.959 --> 01:18:36.444]  Megyn Kelly, behind the scenes, began shuddering with sexual pleasure, basically.
[01:18:37.284 --> 01:18:38.846]  I'm serious, when she talked about Putin.
[01:18:39.146 --> 01:18:41.068]  I mean, why are they so obsessed with Putin?
[01:18:42.335 --> 01:18:50.119]  So, I think that Putin, he plays the role of supporter.
[01:18:50.479 --> 01:18:59.524]  We, in Russian Christian Orthodoxy, have idea of Greek concept of supporter, in Greek, katechon.
[01:19:01.525 --> 01:19:05.067]  Some figure, symbolical figure... You're talking about an icon that's a defender?
[01:19:06.394 --> 01:19:07.195]  Yes, defender.
[01:19:07.275 --> 01:19:08.316]  Defender, exactly.
[01:19:09.017 --> 01:19:14.481]  In Greek that means exactly supporter, but defender, that is the right word.
[01:19:15.022 --> 01:19:22.889]  And this defender is the last obstacle of coming of Antichrist that doesn't let
[01:19:25.231 --> 01:19:27.894]  And by the way, I agree with you and they say
[01:19:42.771 --> 01:19:55.988]  Their technocracy, their one world government, that Putin's in the way, now Trump pops up, and the only truth to American-Russian collusion is, I sense the same spirit of humanity not wanting to be enslaved, and it's really the spirit of Christ.
[01:19:56.528 --> 01:20:00.073]  All over the world is rising up against this anti-Christ spirit.
[01:20:01.548 --> 01:20:02.849]  Exactly, exactly.
[01:20:02.889 --> 01:20:08.571]  That is a metaphysical battle, not only political manipulation.
[01:20:09.211 --> 01:20:14.033]  And Trump represents more or less the same line.
[01:20:14.213 --> 01:20:16.974]  He has no contacts with Putin.
[01:20:17.214 --> 01:20:19.395]  He has no collusions with Russia.
[01:20:19.755 --> 01:20:20.456]  More than that,
[01:20:22.116 --> 01:20:34.483]  But metaphysically, metaphysically they see the force trying to destroy and enslave and turn us over to radical Islam and so metaphysically the enemy sees them as the same because it is the same spirit.
[01:20:35.239 --> 01:20:54.365]  Yes, and that is the truth in all that, because they are more or less on the same side of the battle, but this battle is not political, that has nothing to do with short or superficial interests, national interests, and so on.
[01:20:54.665 --> 01:20:56.566]  The battle is much deeper than that.
[01:20:56.786 --> 01:21:16.748]  And Putin plays here the role of defender, defender of Christian civilization, of traditional society, the defender of human nature, because it, the globalists, try now to replay this nature, but they're... They wage war against common sense.
[01:21:17.523 --> 01:21:18.804]  Yes, yes, exactly.
[01:21:19.304 --> 01:21:30.090]  And what is important, I have got information that Russian oligarchs, they have a kind of supported financially Hillary.
[01:21:30.350 --> 01:21:37.013]  So that was completely opposite to the thing the globalists pretend.
[01:21:37.994 --> 01:21:45.318]  Russia, in material world, economically, financially... You are still infested by the same globalists we are.
[01:21:46.164 --> 01:21:47.325]  Yes, yes, exactly.
[01:21:47.525 --> 01:21:49.626]  We have as well Russian swamp.
[01:21:50.307 --> 01:21:56.190]  And this swamp has helped Hillary to win, and that was a failure.
[01:21:56.530 --> 01:22:08.778]  But on the spiritual level, on the metaphysical level, we, all of us, Russian people and our president, myself, we were on the side of Trump.
[01:22:08.938 --> 01:22:10.019]  But that was purely
[01:22:11.079 --> 01:22:19.003]  In the world of ideas, technically Russian oligarchs much more supported and subventioned Hillary.
[01:22:19.523 --> 01:22:20.563]  That is the paradox.
[01:22:20.823 --> 01:22:26.626]  They accused Trump to be manipulated by Russia in the situation
[01:22:26.946 --> 01:22:37.833]  When themselves they were supported financially by Russian oligarchs that represent the same globalist network as in the United States.
[01:22:37.893 --> 01:22:43.737]  So now I think they try to put the conflict between our great nations in order to
[01:22:45.043 --> 01:22:52.849]  To create a kind of struggle, a kind of fight against the false goal, in the false scenario.
[01:22:53.189 --> 01:23:03.137]  Now we should be united in order to fight against globalist elite that tries to manipulate Russians as well as Americans.
[01:23:04.037 --> 01:23:08.741]  Our peoples are on the same side of the front line.
[01:23:11.743 --> 01:23:21.272]  And the globalist understanding that that will signify the end for their plans that try to divide us.
[01:23:21.312 --> 01:23:28.379]  I know you started a very popular nationalist movement decades ago, but the media sometimes can twist things.
[01:23:28.959 --> 01:23:32.882]  But I remember seeing reports five, ten years ago that you were kind of a spiritual advisor to Trump.
[01:23:34.303 --> 01:23:35.443]  I mean, not to Trump, to Putin.
[01:23:36.284 --> 01:23:39.586]  That he'd read your books and thought that they were interesting.
[01:23:40.146 --> 01:23:47.551]  I just want to try to get an idea from somebody that actually knows Putin, but also lives in Russia, about the real mindset of Putin.
[01:23:47.571 --> 01:23:50.834]  Because people say, oh, he's this former KGB guy or whatever.
[01:23:51.014 --> 01:23:57.378]  But we know he was there during the reforms, kicking a lot of the globalist oligarchs out, getting your sovereignty back, the proof's in the pudding.
[01:23:57.798 --> 01:23:58.719]  Separately, I read that
[01:23:59.419 --> 01:24:08.363]  He was baptized as a child, his family was part of the large Russian movement that was crypto-christian, that kept the faith and continued on, and you judge a tree by its fruits.
[01:24:08.403 --> 01:24:21.408]  Today, he's been a huge supporter of bringing orthodoxy back to Russia and bringing the birth rate back up and proving he wants life, fighting against all the abortions, fighting against the destruction of the family.
[01:24:21.709 --> 01:24:26.491]  That's what Putin's doing, not killing babies like the globalists are pushing.
[01:24:27.691 --> 01:24:31.119]  I mean, how true is it that you're a high-level advisor to Putin?
[01:24:31.139 --> 01:24:34.245]  I know you don't want to brag about it, and specifically a spiritual advisor.
[01:24:34.526 --> 01:24:38.454]  And can you give us a view into the mindset of Vladimir Putin and his worldview?
[01:24:40.301 --> 01:24:48.964]  First of all, Vladimir Putin has his own worldview that is not so much ideological.
[01:24:49.144 --> 01:24:56.226]  It is the kind he represents more or less what Russian people think.
[01:24:56.646 --> 01:24:58.967]  He represents Russian soul.
[01:24:59.207 --> 01:25:01.788]  He is not so much ideologically.
[01:25:03.910 --> 01:25:12.460]  Following some special kind of theory, but he is inclined naturally for conservative vision.
[01:25:12.520 --> 01:25:14.403]  He is Christian.
[01:25:14.803 --> 01:25:18.848]  He is very proud of Russian history.
[01:25:19.188 --> 01:25:22.212]  He feels himself, first of all, Russian.
[01:25:22.652 --> 01:25:29.199]  That is very important because that means that he doesn't feel himself globalist.
[01:25:29.539 --> 01:25:35.706]  He doesn't feel himself a kind of cosmopolitan.
[01:25:36.226 --> 01:25:45.016]  He represents our culture, our people, and he doesn't stop these feelings, this emotion in our country.
[01:25:45.316 --> 01:25:47.437]  He is not ideological nationalist.
[01:25:48.157 --> 01:25:52.559]  He is rather realist and pragmatic in his politics.
[01:25:52.959 --> 01:25:59.502]  He is very pragmatical, very rational, I would say, rational man, but he is Russian.
[01:25:59.682 --> 01:26:02.904]  And that defines his inner and deep identity.
[01:26:03.284 --> 01:26:05.545]  And that is exactly the same way Trump is.
[01:26:05.605 --> 01:26:12.248]  So it's a return to common sense, a return to cultural nationalist with a Christian base.
[01:26:13.464 --> 01:26:18.326]  Yes, so that is the real similarity between him and Trump.
[01:26:18.686 --> 01:26:27.369]  Putin could be considered to be Russian Trump, as well as Trump could be considered American Putin.
[01:26:27.689 --> 01:26:32.550]  Not because they are accused of authoritarian rule or something like that.
[01:26:32.790 --> 01:26:37.092]  They are individually very different, but they reflect what
[01:26:38.933 --> 01:26:40.313]  They're not out to get their country.
[01:26:40.334 --> 01:26:43.495]  They have a sense of roots to the nation, to the culture.
[01:26:43.515 --> 01:26:52.560]  They're not soulless globalists who never have children, are totally about destroying anything independent, anything family, because they're satanic.
[01:26:52.840 --> 01:26:55.221]  Trump and Putin, you're saying, are not satanic.
[01:26:56.346 --> 01:26:56.866]  Absolutely.
[01:26:57.246 --> 01:27:05.048]  Because now, to be normal, to be natural, that represents a kind of challenge, that represents a kind of heroic act.
[01:27:05.428 --> 01:27:12.270]  Because globalists, they control mass media, global media, global economical corporation.
[01:27:12.330 --> 01:27:20.272]  They try to impose on the humanity, not only on Russian people or American people, on the humanity.
[01:27:20.933 --> 01:27:34.251]  They try to import their own agenda, their own values, that have nothing to do with normal Christian, traditional human values, that is completely postmodern, black.
[01:27:38.936 --> 01:27:56.814]  So, they use in that all kinds of radical movements, for example, they use not only far-left groups as Soros does, but as well radical jihadist groups.
[01:27:57.194 --> 01:28:08.802]  They try, they create the false goals, they try to oppose the people and nations, but their goal is against normality, and people and Trump.
[01:28:09.574 --> 01:28:10.795]  They are normal.
[01:28:11.155 --> 01:28:18.020]  They represent not ideological, special ideological circles or special world vision.
[01:28:18.080 --> 01:28:19.701]  They represent the peoples.
[01:28:19.882 --> 01:28:21.102]  And that's very important.
[01:28:21.403 --> 01:28:26.146]  They could be called populist, but populist in the positive way.
[01:28:26.526 --> 01:28:31.510]  Because populist is the person that reflects what the people want.
[01:28:31.850 --> 01:28:34.771]  Well, the majority of the people... Exactly.
[01:28:34.811 --> 01:28:39.772]  They're not elitists trying to change the programming of humanity, God's system, and play God.
[01:28:40.052 --> 01:28:42.132]  They are living in it and are part of it.
[01:28:42.572 --> 01:28:51.855]  And so that's why this artificial, synthetic, world government, transhumanist movement has openly declared war on men and women.
[01:28:52.155 --> 01:28:54.915]  They're teaching in America in schools, don't have men and women.
[01:28:54.975 --> 01:28:55.835]  It's hurtful to others.
[01:28:56.115 --> 01:28:57.676]  They are in open warfare.
[01:28:58.676 --> 01:29:01.278]  Saying humanity's ugly, that they're going to replace us.
[01:29:01.298 --> 01:29:02.939]  When we come back, I want to get into your book.
[01:29:03.280 --> 01:29:10.225]  I want to get into the subjects you want to cover with the American people, and also get your take on what is it like to watch what they're doing to Trump?
[01:29:10.945 --> 01:29:14.148]  Because, you know, Putin rightfully said there is a war against Trump by the deep state.
[01:29:14.528 --> 01:29:15.589]  It is going into high gear.
[01:29:15.609 --> 01:29:21.993]  They are publicly on TV saying they're getting ready to kill him, which is meaning they're normalizing it so there's not riots.
[01:29:23.455 --> 01:29:26.337]  If they do kill Trump, I mean, the sky's the limit.
[01:29:26.937 --> 01:29:28.598]  Clearly they're planning a war with Russia.
[01:29:29.359 --> 01:29:30.860]  It is just beyond psychotic.
[01:29:31.380 --> 01:29:37.885]  Meanwhile, you've got them blaming Russia for North Korea when it's the Clintons that gave the missiles and the reactors to North Korea.
[01:29:37.905 --> 01:29:44.810]  We're going to talk about it all with Alexander Dugin of geopolitical.ru, one of Putin's advisors.
[01:29:45.110 --> 01:29:48.112]  Straight ahead, I'm Alex Jones, and we are defending life.
[01:29:48.532 --> 01:29:48.953]  Stay with us.
[01:29:52.739 --> 01:29:55.725]  We're on the march, the empire's on the run.
[01:29:56.667 --> 01:29:59.332]  Alex Jones and the GCN Radio Network.
[01:30:04.386 --> 01:30:11.611]  A 44-year-old father was beat by a gang of teenagers and knocked out with a skateboard after he asked them to stop smoking marijuana on a Dallas train.
[01:30:12.212 --> 01:30:20.037]  The group of teenagers included young men and women who punched the father and threw him against the train's doors before arriving at the station near Deep Ellum in Dallas, Texas.
[01:30:20.698 --> 01:30:25.461]  In world news, 22.5% of the German population now has a migrant background.
[01:30:26.122 --> 01:30:30.225]  Migrants and their children make up an estimated 18.6 million people in Germany.
[01:30:30.985 --> 01:30:38.259]  According to the Federal Statistical Office, which attributed the shocking statistic to German Chancellor Angela Merkel and her open border policies.
[01:30:39.474 --> 01:30:46.320]  In contrast, President Trump plans to overhaul immigration laws in America as part of his wide-ranging agenda to tighten border security.
[01:30:47.080 --> 01:30:56.749]  The president is working with two senators to draft a bill to create a skills-based immigration program that gives priority to Americans by cutting down on work visa abuse, among other things.
[01:30:57.269 --> 01:31:01.332]  For more breaking news and reports, check back at InfoWars.com throughout the day.
[01:31:01.613 --> 01:31:02.794]  This is Kit Daniels reporting.
[01:31:03.823 --> 01:31:05.245]  Vitamin Mineral Fusion.
[01:31:05.405 --> 01:31:07.828]  Visit Infowarslife.com to secure your canister.
[01:31:08.008 --> 01:31:15.296]  We have worked for years with our chemists and scientists to create the most powerful and affordable, great-tasting multivitamin formula available.
[01:31:15.496 --> 01:31:25.827]  Vitamin Mineral Fusion Drink Mix at Infowarslife.com is loaded with a full month's supply of essential vitamins, minerals, and amino acids that your body absolutely needs.
[01:31:26.147 --> 01:31:33.712]  In the history of InfoWars Life, we've brought out a lot of amazing products like Survival Shield X2, Super Mel Vitality, and so many others.
[01:31:33.992 --> 01:31:43.938]  With its unique delivery system and proprietary manufacturing process designed for maximized effects, this formula is the platinum standard of multivitamin mineral products.
[01:31:44.199 --> 01:31:46.160]  And this part is most important.
[01:31:46.240 --> 01:31:52.704]  The ingredients in vitamin mineral fusion are either plant-derived or of the highest quality lab standard.
[01:31:53.044 --> 01:31:54.165]  That means it's clean.
[01:31:54.485 --> 01:31:55.525]  That means it's pure.
[01:31:55.626 --> 01:31:58.127]  And rest secured, you're fighting the tip of the spear in the InfoWars.
[01:31:58.507 --> 01:32:01.109]  That's InfoWarsLife.com and Vitamin Mineral Fusion.
[01:32:01.309 --> 01:32:02.990]  Take action now before we sell out.
[01:32:04.550 --> 01:32:08.593]  You deserve a deep restful sleep with Knockout by InfoWars Life.
[01:32:09.253 --> 01:32:19.659]  Our organic formula is made from high-quality natural ingredients such as valerian root extract, L-tryptophan, lemon balm leaf extract, and melatonin.
[01:32:20.559 --> 01:32:24.923]  Knockout packs a powerful punch to get you through the night and achieve proper sleep.
[01:32:25.364 --> 01:32:33.331]  Millions of people around the world experience daytime drowsiness, but with the rapid speed of life, we need to be able to keep up the pace.
[01:32:33.771 --> 01:32:41.118]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need.
[01:32:41.478 --> 01:32:43.440]  Wake up refreshed and take on the day.
[01:32:43.920 --> 01:32:51.404]  InfoWarsLife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[01:32:51.844 --> 01:32:55.226]  Get the sleep you deserve and experience the power of knockout.
[01:32:55.526 --> 01:32:59.608]  Head on over to InfoWarsLife.com and say goodbye to fatigue.
[01:32:59.908 --> 01:33:01.348]  That's InfoWarsLife.com.
[01:33:14.435 --> 01:33:22.618]  Coming to you from the former United States of America, from deep in the heart of Texas, it's Alex Jones.
[01:33:24.259 --> 01:33:31.162]  That's right, admitting that we've been captured by multinational offshore banks, the exact same oligarchs and groups that Russia was controlled by for 80 years.
[01:33:33.200 --> 01:33:44.184]  And major universities brag about that, admitting that globalism is a form of modern cultural and spiritual colonization by devil-worshipping pedophile ranks.
[01:33:44.504 --> 01:33:55.948]  I mean, you look at Hollywood, you look at the globalists, you look at the very same groups that run Hollywood in 1917, doing the Bolshevik Revolution, taking over Russia, murdering the Christians by the millions.
[01:33:57.088 --> 01:34:02.510]  The ugly architecture, the ugly art, the anti-family stuff, it's the very same spirit
[01:34:03.976 --> 01:34:10.519]  And Communist China, to a great degree, has been under this for 60-something years and is somewhat coming out of it.
[01:34:10.599 --> 01:34:13.120]  But it's just a nightmare scenario.
[01:34:13.421 --> 01:34:14.701]  Alexander Dugan is our guest.
[01:34:15.021 --> 01:34:26.247]  Another 15 minutes or so, then Mike Cernovich, who's hosting The Fourth Hour, is going to pop in with how right he was with his White House sources on the purge that's now evident, where Infowars has been banned and much more.
[01:34:27.767 --> 01:34:28.728]  And of course, then Trump.
[01:34:30.615 --> 01:34:33.656]  continues to be absolutely encircled by traitors.
[01:34:34.217 --> 01:34:37.258]  It is crazy, and McMaster is the ringleader.
[01:34:38.259 --> 01:34:40.440]  And it was Cernovich that first identified that.
[01:34:41.480 --> 01:34:43.201]  He's even trying to keep Don Jr.
[01:34:43.301 --> 01:34:45.022]  out of politics and defending his dad.
[01:34:45.162 --> 01:34:47.103]  Every defender of the president's being cut off.
[01:34:48.884 --> 01:34:50.264]  So, we'll go back to our guest in a moment.
[01:34:50.284 --> 01:34:59.589]  Don't forget that we have the new August special, the 1776 special, and it's on dozens and dozens of products.
[01:35:00.964 --> 01:35:06.226]  We're talking about products that are $40 and things like that being $17.76 now.
[01:35:07.487 --> 01:35:10.589]  Brain Force, our great nootropic, 55% off.
[01:35:10.689 --> 01:35:13.490]  Unprecedented Survival Shield X2, the good halogen.
[01:35:13.510 --> 01:35:15.931]  They bombard us with the fluoride, the bromine, and all the rest of it.
[01:35:16.191 --> 01:35:16.891]  It's the good halogen.
[01:35:16.911 --> 01:35:17.772]  It's $17.76, 55% off.
[01:35:17.792 --> 01:35:18.872]  Our great vitamin B12 secret, $12.55 off.
[01:35:18.892 --> 01:35:19.713]  Oil of Oregano, 40% off.
[01:35:19.733 --> 01:35:19.713]  $17.76.
[01:35:19.993 --> 01:35:20.573]  Biotruselenium, $17.76.
[01:35:28.777 --> 01:35:33.283]  So the discounts run from 11% to 55% off depending on the product.
[01:35:33.303 --> 01:35:36.988]  We're introducing the new Super Blue mouthwash with colloidal silver as well.
[01:35:37.048 --> 01:35:38.150]  Recommended by Dr. Jones.
[01:35:38.170 --> 01:35:38.771]  That's my dad.
[01:35:39.572 --> 01:35:43.517]  We have the John Oliver Challenge chocolate or strawberry bone broth flavor.
[01:35:44.400 --> 01:35:51.185]  With the turmeric, the chaga mushroom, and of course the bee pollen and more, it is the best-selling bone broth formula out there.
[01:35:51.626 --> 01:35:52.326]  It's amazing.
[01:35:52.486 --> 01:36:01.053]  It's 30% off, and we've got our new whey product that's by one of the biggest top-working manufacturers in the country from grass-fed beef that produce the milk.
[01:36:01.593 --> 01:36:05.835]  The incredible glutathione, the other amino acids, the superfood that is whey.
[01:36:05.935 --> 01:36:08.756]  We have some of the best whey out there at a very, very low price.
[01:36:09.136 --> 01:36:11.677]  Infowarslife.com, infowarsstore.com, or 888-253-3139.
[01:36:11.717 --> 01:36:13.098]  Those are the new specials.
[01:36:18.632 --> 01:36:36.578]  Now going back to our guest, and I want to invite him back up on a monthly basis if you'd like to join us, Alexander Dugin, advisor to President Putin over in Russia, best-selling author, leader of a nationalist party that's been growing the last few decades, somebody hated by MSM.
[01:36:37.378 --> 01:36:45.023]  I don't want to say he's like the Alex Jones over in Russia, but the media is always attacking Putin, kind of through him, saying, look what Alexander said.
[01:36:45.063 --> 01:36:46.463]  And then, of course, misrepresenting him.
[01:36:46.483 --> 01:36:49.085]  Look, you know, this is the crazy advisor to Putin.
[01:36:49.545 --> 01:37:02.353]  Kind of the same thing they do to Trump, just knowing that Dugin represents a big base of smart, informed Russians that know what's happening and have a nationalist global view in understanding the real threat.
[01:37:02.833 --> 01:37:05.675]  So it's not that we're plagiarizing each other, that we're saying similar things.
[01:37:05.935 --> 01:37:07.236]  He wrote a lot of this 30 years ago.
[01:37:08.677 --> 01:37:10.318]  I wasn't familiar with his work until about 10 years ago.
[01:37:11.199 --> 01:37:12.800]  It's that we're seeing the same thing.
[01:37:13.741 --> 01:37:14.841]  We're seeing the same thing.
[01:37:14.861 --> 01:37:17.383]  So, Alexander, you've got the floor for the next 10 minutes.
[01:37:17.603 --> 01:37:22.427]  Let's roll through your book, The Fourth Political Turning, that's been translated into English and many other languages.
[01:37:22.487 --> 01:37:26.910]  Any other predictions or advice for President Trump and his supporters?
[01:37:28.655 --> 01:37:40.480]  So, I think that forced political theory, it is something that is beyond liberalism, communism and fascism.
[01:37:40.500 --> 01:37:52.726]  So my idea, when I have started to develop this political theory, is precisely that liberalism, communism and fascism are not enough.
[01:37:53.526 --> 01:38:11.204]  We need to start a different approach in order to resolve the crises, in order to oppose globalism, because globalization is a kind of very special ideology that tries to
[01:38:12.185 --> 01:38:29.461]  To cut all links of human individual with collective identity, with church, with nation, with people, with ethnic, with tradition, and with gender as well.
[01:38:29.521 --> 01:38:36.267]  The gender politics is the now actual weapon of the same globalist
[01:38:37.067 --> 01:38:40.349]  Ultra-liberalist theory.
[01:38:40.849 --> 01:38:47.933]  But when we start to create, to oppose to liberalism, we are falling into the trap.
[01:38:48.474 --> 01:38:59.260]  We are either going to communism, that is false completely because it's the branch of the same roots,
[01:39:00.141 --> 01:39:05.444]  Or we are embracing the kind of nationalism or fascism.
[01:39:05.524 --> 01:39:07.725]  That is as well the wrong way.
[01:39:08.466 --> 01:39:20.953]  And globalists, they use this attitude because they accuse everybody who is against them to be either communist or nationalist or fascist or communist.
[01:39:21.373 --> 01:39:24.535]  So in order to answer to this
[01:39:25.436 --> 01:39:31.457]  Attack, ideological attack of liberals and globalists.
[01:39:32.877 --> 01:39:53.301]  I was, my friend, French philosopher Alain de Benoist, the leader of New Right, so-called New Right movement in Europe, we have elaborated fourth political theory that is against liberalism, against globalization, first of all, and that is, it is essence.
[01:39:54.021 --> 01:39:57.604]  The most important core of this fourth political theory.
[01:39:57.704 --> 01:40:07.491]  But at the same time, we refuse being qualified as communist or fascist or to be communist.
[01:40:07.511 --> 01:40:17.678]  Reading your book, isn't it traditionalist, common sense, pro-human, being what we are and transcending all the fake political labels they use to confuse people?
[01:40:19.017 --> 01:40:19.597]  More or less.
[01:40:19.737 --> 01:40:32.522]  But what is important now, the battle is between the natural human being and artificial creations of the modern Europe.
[01:40:32.602 --> 01:40:47.547]  That is exactly the devil's plan to destroy the human essence of the humanity and replace the humanity by cyborgs, by artificial intelligence and so on.
