[00:00:13.939 --> 00:00:16.163]  Welcome to the InfoWars Nily News.
[00:25:52.279 --> 00:26:03.587]  You're on the side of the snowflakes, you're on the side of the people that have no information, or they follow Maxine Waters and her James Brown wig that covers up her chrome dome that doesn't have a brain in it.
[00:26:04.608 --> 00:26:06.169]  Or maybe a brain the size of a peanut.
[00:26:06.549 --> 00:26:12.333]  I don't know, but there's Maxine Waters freaking out when I have to give the Young Turks reporter credit.
[00:26:12.653 --> 00:26:12.974]  Wow!
[00:26:13.214 --> 00:26:18.257]  For the first time in my life, I will sit here and perhaps even give the Young Turks credit.
[00:26:18.297 --> 00:26:27.263]  That reporter, he asks a fair question of Maxine Waters about Barack Obama, shows her double standard, and then she freaks out and runs away.
[00:26:27.683 --> 00:26:33.207]  Maybe that guy just got a bit of a red pill right there for Maxine Waters about the people that he's siding with.
[00:26:34.434 --> 00:26:36.355]  They can't handle the truth, folks.
[00:26:36.455 --> 00:26:40.077]  Maxine Waters literally runs away from the truth.
[00:26:40.378 --> 00:26:42.279]  So that just goes to show you that.
[00:26:42.679 --> 00:26:45.761]  Now, let's get into the truth about some of these terror attacks.
[00:26:46.101 --> 00:26:56.267]  And we're going to roll a video here, just real quick, guys, if you just want to have that video rolling while we talk about these terror attacks, just to highlight the religion of peace, just to get things moving about the religion of peace.
[00:26:56.647 --> 00:26:58.028]  Notre Dame Cathedral shooting.
[00:26:58.128 --> 00:27:03.672]  First picture of suspect who shouted, this is for Syria, before attacking police with a hammer.
[00:27:04.602 --> 00:27:09.446]  That's right, an ISIL supporter attacks police officers with a hammer.
[00:27:09.466 --> 00:27:15.071]  And of course, you've got police officers in Britain that aren't even armed with a weapon, so imagine if that happened to them.
[00:27:15.131 --> 00:27:16.052]  I hope they have good training.
[00:27:16.412 --> 00:27:24.920]  The terror trio, London Bridge attacker named as Yousef Zagba, 22, was flagged to British authorities last year after being arrested en route to Syria.
[00:27:24.960 --> 00:27:32.106]  So this is a guy who's been traveling back and forth to Syria, who's previously arrested, gets released, and then kills people.
[00:27:32.486 --> 00:27:34.826]  Way to go government trying to stop terror.
[00:27:35.127 --> 00:27:38.587]  Hostage taker in Australia had been acquitted of terror plot.
[00:27:38.647 --> 00:27:47.469]  That's right folks, the hostage taker that you saw in Australia, that terrorist, he was also known by the government and he was also let go.
[00:27:47.929 --> 00:27:49.289]  How do you like that?
[00:27:49.669 --> 00:27:56.871]  Now you've got Linda Sarsour raising $80,000 for anti-Muslim hate crime that didn't happen!
[00:27:57.871 --> 00:27:58.972]  Fake news, folks!
[00:27:59.232 --> 00:28:02.415]  Linda Sarsour gets $80,000 for fake news!
[00:28:02.635 --> 00:28:04.076]  There ought to be a lawsuit there!
[00:28:04.116 --> 00:28:05.257]  That's ridiculous!
[00:28:05.617 --> 00:28:14.283]  And then you've got the coward, the coward mayor of London, Sadiq Khan, no longer wants to talk to Donald Trump, cancels his visit.
[00:28:14.504 --> 00:28:17.266]  What a coward and a failure Sadiq Khan is.
[00:28:17.486 --> 00:28:18.687]  Here's John Bowne with more.
[00:28:24.395 --> 00:28:49.257]  London's Thames River, headquarters of the MI5, an elite security service under the authority of the Home Secretary, directed by the Joint Intelligence Committee for Intelligence Operational Priorities, an organization joined at the hip with the NSA, similarly, secretly, collecting bulk telephone records on individuals that pose no threat to Great Britain's national security since September 11, 2001.
[00:28:51.098 --> 00:29:00.080]  This monstrosity allowed the scum responsible for the murder and maiming of innocents to operate freely as potential terrorists up until the attack.
[00:29:00.320 --> 00:29:08.902]  Karam Shahzad Butt, Rashid Radwan, and Moroccan-born Youssef Zagba cowardly attacked women during the rampage in the heart of London.
[00:29:09.123 --> 00:29:15.684]  Butt was known to police and MI5 and had posed with an ISIS flag in the documentary, The Jihadis Next Door.
[00:29:15.884 --> 00:29:18.725]  Karam Butt, however, according to The Telegraph,
[00:29:18.965 --> 00:29:26.689]  ...worked for a man accused of helping to train the July 7th bombing ringleader and who was under investigation by police and MI5.
[00:29:26.969 --> 00:29:36.014]  According to the paper, Butt worked as an attendant to an all-Muslim gym in East London run by Sajil Shaheed, a member of Anjum Chowdhury's network.
[00:29:36.314 --> 00:29:40.938]  Who allegedly helped us set up weapons training in Pakistan for the 7-7 bombers.
[00:29:41.178 --> 00:29:54.490]  While Zagba, as The Guardian reports, in March 2016 when Zagba first tried to get to Syria, he was challenged by officials after he became agitated as he approached the check-in desk at Italy's Bologna airport.
[00:29:54.710 --> 00:29:56.771]  He told them, I'm going to be a terrorist.
[00:29:56.991 --> 00:30:02.954]  According to reports in the Italian press citing security sources, his passport and phone were impounded.
[00:30:03.094 --> 00:30:09.396]  Propaganda videos and religious sermons found on the phone appeared to confirm his intent to join ISIS.
[00:30:09.717 --> 00:30:12.798]  This is the left's tolerance in action.
[00:30:13.078 --> 00:30:24.301]  And with all of the estimated 422,000 CCTV cameras surveilling London, five of the victims missing in the aftermath of the London terror attack are still missing.
[00:30:24.581 --> 00:30:33.723]  Meanwhile, back in the United States, the thing that wouldn't leave has a message for its dwindling sheeple base and the ongoing Islamification of the West.
[00:30:34.023 --> 00:30:34.463]  Hillary!
[00:30:35.904 --> 00:30:39.925]  Way to stop terrorism is to understand other cultures and their food!
[00:30:40.565 --> 00:30:40.945]  Here it is.
[00:30:42.156 --> 00:30:54.042]  This is a time for us to reach out to the world, to understand more about what is happening, not just in our own country, but indeed across the globe.
[00:30:54.743 --> 00:31:05.169]  It's a time for steady, determined leadership, like we are seeing from local authorities in London, including the Mayor of London.
[00:31:05.849 --> 00:31:07.630]  And it is a time to remember.
[00:31:09.830 --> 00:31:12.170]  How important our alliances are.
[00:31:13.031 --> 00:31:14.831]  You heard from Victor.
[00:31:15.251 --> 00:31:16.571]  You heard from Maya.
[00:31:16.991 --> 00:31:18.752]  You heard from the Congressman.
[00:31:20.132 --> 00:31:21.632]  Getting to know one another.
[00:31:22.672 --> 00:31:28.773]  Learning about the experiences, the lives, the cultures, the religions, the food.
[00:31:28.793 --> 00:31:38.735]  I think we should actually import Somali pirates.
[00:31:40.083 --> 00:31:46.346]  To, say, Galveston Bay, and just let them rob and murder and kill there, too, because that's their culture.
[00:31:46.626 --> 00:31:48.187]  And all cultures are equal.
[00:31:49.008 --> 00:31:55.891]  I think we should get the time machine, bring back the Aztecs, and just let them set up in our neighborhoods, grab our kids out of backyards, and chop their hearts out.
[00:31:55.911 --> 00:31:59.933]  Of course, I'm being sarcastic, but that's how crazy this is.
[00:31:59.973 --> 00:32:01.914]  The Nazis were an evil culture.
[00:32:02.134 --> 00:32:03.275]  We don't need to accept it.
[00:32:03.775 --> 00:32:07.397]  The Aztecs were an evil culture by the time they collapsed.
[00:32:08.363 --> 00:32:13.529]  Sorry Hillary, there's a reason your own party is calling for you to please shut up.
[00:32:13.770 --> 00:32:17.234]  Because enough Americans aren't sheep, they are sheepdogs.
[00:32:17.494 --> 00:32:24.423]  And they aren't going to run, hide and tell like the poor defenceless Brits who are being told to do just that by the authorities.
[00:32:24.543 --> 00:32:25.904]  There's no light at the end of the tunnel here.
[00:32:26.585 --> 00:32:27.006]  For anyone.
[00:32:27.606 --> 00:32:32.452]  So when people get desperate like that, which is why I keep saying it's like, it's like they're forcing people down that path.
[00:32:55.862 --> 00:32:57.563]  Electrify your day with Secret 12.
[00:32:58.163 --> 00:32:59.503]  It's like lightning in a bottle.
[00:32:59.743 --> 00:33:03.264]  We all have days in which we just can't seem to perform at the level we'd like to.
[00:33:03.624 --> 00:33:11.367]  InfoWars Live Secret 12 is designed to naturally energize your body and mind with two great tasting and super high quality forms of vitamin B12.
[00:33:11.567 --> 00:33:16.388]  Proper vitamin and nutrient intake is essential to keep your body functioning at optimum levels.
[00:33:16.548 --> 00:33:22.010]  The reality is it's hard to take in the proper amount of vitamins we need each day with our modern diets.
[00:33:22.350 --> 00:33:29.897]  Seeker 12 by Infowars Life is an easy way to naturally upgrade your vitamin B12 intake and support your body's natural systems.
[00:33:30.137 --> 00:33:34.581]  It pairs two forms of vitamin B12 into one explosive formula.
[00:33:34.861 --> 00:33:43.709]  Vitamin B12 supports healthy energy levels through red blood cell formation and aiding in the body's natural processes, but it also assists with many other functions of the body.
[00:33:43.889 --> 00:33:47.112]  Electrify your mind and body and take your health to the next level.
[00:33:47.412 --> 00:33:51.142]  Experience the power of Secret 12 at InfoWarsLife.com.
[00:33:51.323 --> 00:33:52.907]  That's InfoWarsLife.com.
[00:33:55.445 --> 00:33:56.886]  Vitamin Mineral Fusion.
[00:33:56.906 --> 00:33:59.449]  Visit InfoWarsLife.com to secure your chemistry.
[00:33:59.629 --> 00:34:06.935]  We have worked for years with our chemists and scientists to create the most powerful and affordable, great-tasting multivitamin formula available.
[00:34:07.116 --> 00:34:17.445]  Vitamin Mineral Fusion Drink Mix at InfoWarsLife.com is loaded with a full month's supply of essential vitamins, minerals, and amino acids that your body absolutely needs.
[00:34:17.765 --> 00:34:25.330]  In the history of InfoWars Life, we've brought out a lot of amazing products like Survival Shield X2, Super Mel Vitality, and so many others.
[00:34:25.610 --> 00:34:35.556]  With its unique delivery system and proprietary manufacturing process designed for maximized effects, this formula is the platinum standard of multivitamin mineral products.
[00:34:35.817 --> 00:34:37.738]  And this part is most important.
[00:34:37.878 --> 00:34:44.302]  The ingredients in vitamin mineral fusion are either plant-derived or of the highest quality lab standard.
[00:34:44.662 --> 00:34:45.803]  That means it's clean.
[00:34:46.103 --> 00:34:47.003]  That means it's pure.
[00:34:47.223 --> 00:34:50.044]  And rest secured, you're fighting the tip of the spear in the InfoWars.
[00:34:50.124 --> 00:34:52.905]  That's InfoWarsLife.com and Vitamin Mineral Fusion.
[00:34:52.925 --> 00:34:54.586]  Take action now before we sell out.
[00:34:55.466 --> 00:34:59.868]  We have the new product at InfoWarsLife.com, BioTrue Selenium.
[00:34:59.948 --> 00:35:10.872]  We've had so many requests over the years for selenium, and just recently, we were able to source a certified organic, bioavailable selenium from mustard seed extract.
[00:35:11.052 --> 00:35:15.975]  When you take selenium in the body, it actually benefits the detoxification systems in your body.
[00:35:16.095 --> 00:35:18.596]  It helps balance the thyroid gland.
[00:35:18.676 --> 00:35:20.177]  It helps detoxify.
[00:35:20.377 --> 00:35:23.219]  Selenium is another one of those absolute must-haves.
[00:35:23.259 --> 00:35:28.021]  The highest concentration of selenium is in the thyroid gland, but it's actually used all over the body.
[00:35:28.041 --> 00:35:34.265]  As a matter of fact, there's 25 genes in the body that are directly dependent upon selenium.
[00:35:34.285 --> 00:35:39.607]  So it really is an all-around nutrient that everybody really needs.
[00:35:39.627 --> 00:35:40.388]  I'm taking it now.
[00:35:40.708 --> 00:35:41.569]  We're good to go.
[00:35:55.700 --> 00:36:01.882]  We're selling a product, DNA Force, that is the very best nutraceutical that we can produce.
[00:36:02.242 --> 00:36:05.144]  Dr. Group, it took years for you to develop DNA Force for us.
[00:36:05.464 --> 00:36:10.666]  It's been something that I've been working on for a long time, Alex, because I think it's very, very important.
[00:36:11.086 --> 00:36:17.048]  What the aging process is, is when the cell replicates, we lose a little bit of our telomeres.
[00:36:17.208 --> 00:36:20.329]  Telomeres are the little cups on the end of our chromosomes.
[00:36:20.489 --> 00:36:21.930]  And when it runs out, you start dying?
[00:36:22.150 --> 00:36:26.274]  We chose the PQQ because it has over 175 different clinical trials.
[00:36:26.474 --> 00:36:29.337]  It's one of the most effective substances in the world.
[00:36:29.417 --> 00:36:30.998]  It works like an antioxidant.
[00:36:31.078 --> 00:36:34.281]  It works to repair nerve growth factor.
[00:36:34.561 --> 00:36:36.884]  So this is a formula to deliver the maximum amount.
[00:36:37.164 --> 00:36:38.105]  It's in powder form.
[00:36:38.225 --> 00:36:40.927]  We have so many five-star reviews.
[00:36:41.107 --> 00:36:41.688]  I take this.
[00:36:41.808 --> 00:36:43.510]  This is the product that I take.
[00:36:43.630 --> 00:36:45.591]  Infowarslife.com and the profit we make.
[00:36:46.412 --> 00:36:47.173]  We fight the Globos.
[00:36:47.214 --> 00:36:48.055]  We fight the New World Order.
[00:36:48.375 --> 00:36:52.561]  Secure your DNA Force today at InfoWarsLive.com or call toll free 888-253-3139.
[00:37:03.305 --> 00:37:05.146]  Well, I've got it all figured out, folks.
[00:37:05.466 --> 00:37:07.928]  I've got it all figured out just by reading this story.
[00:37:08.809 --> 00:37:12.992]  This is actually pretty unbelievable, pretty despicable that this is where our culture is currently at.
[00:37:13.252 --> 00:37:14.833]  We're about to be joined by Omar Navarro.
[00:37:14.853 --> 00:37:17.695]  Before we go to him, though, I just wanted to cover this ridiculousness.
[00:37:18.135 --> 00:37:26.921]  Transgender freshman sprinter, born a male, how racist to even say that, or sexist even, wins two girls state championships.
[00:37:27.762 --> 00:37:27.922]  Hmm.
[00:37:28.963 --> 00:37:30.764]  Now, as you can see from the picture here,
[00:37:32.179 --> 00:37:34.902]  That is a man, okay?
[00:37:36.364 --> 00:37:41.971]  Claims to be a female and has now, I guess, had transgender surgery.
[00:37:42.031 --> 00:37:42.491]  I mean, I...
[00:37:43.737 --> 00:37:45.058]  I don't even know if that's the class.
[00:37:45.078 --> 00:37:46.219]  Do they even make them do that?
[00:37:46.939 --> 00:37:50.042]  Do they even make them chop it off before they can compete with the girls?
[00:37:50.182 --> 00:37:57.787]  I don't know the exact rules of that, but this is a 15-year-old, a freshman, who's born a male.
[00:37:58.628 --> 00:38:03.632]  How are you having transgender surgery before the age of, I guess, I mean, 18 at least?
[00:38:05.523 --> 00:38:06.784]  I mean, this is ridiculous!
[00:38:07.004 --> 00:38:09.766]  Folks should be scratching their heads wondering what the hell is going on.
[00:38:10.166 --> 00:38:12.047]  So then, yeah, oh wow, shocking!
[00:38:12.647 --> 00:38:13.248]  Shocking!
[00:38:13.708 --> 00:38:21.393]  A 15-year-old male that's clearly been through puberty sets a state record competing against girls?
[00:38:21.733 --> 00:38:22.273]  Shocking!
[00:38:23.274 --> 00:38:24.595]  But you know what, Andrea?
[00:38:25.395 --> 00:38:26.716]  Andrea, you know what she said?
[00:38:27.556 --> 00:38:29.978]  She says that it's the coach.
[00:38:30.958 --> 00:38:31.719]  It's the coaching.
[00:38:35.091 --> 00:38:36.152]  It's the coaching, folks.
[00:38:36.192 --> 00:38:37.212]  Yes, it's the coaching.
[00:38:37.572 --> 00:38:37.793]  Yes.
[00:38:38.013 --> 00:38:43.736]  And if I would have competed as a girl in high school, too, in one-state championships, it would have been the coaching, wouldn't it have been?
[00:38:44.736 --> 00:38:48.038]  In fact, if I was to just identify, yeah, that's a female.
[00:38:48.118 --> 00:38:49.179]  Yeah, sure, that's a female.
[00:38:49.759 --> 00:38:49.999]  Mm-hmm.
[00:38:50.320 --> 00:38:51.280]  Keep telling yourselves that.
[00:38:52.561 --> 00:38:56.303]  I'm just going to identify, in fact, I'm going to identify as a 15-year-old.
[00:38:56.423 --> 00:38:57.564]  I won't even do the female thing.
[00:38:57.884 --> 00:39:02.627]  I'll just identify as a 15-year-old male, and I'll go race against freshman track athletes.
[00:39:02.647 --> 00:39:03.127]  How about that?
[00:39:04.033 --> 00:39:05.697]  Well, I identify as... In fact, how about I'm 8?
[00:39:05.937 --> 00:39:09.004]  How about I'm in 8th grade instead?
[00:39:09.265 --> 00:39:10.187]  So it's just ridiculous.
[00:39:10.407 --> 00:39:12.131]  This transgender thing is absurd.
[00:39:14.090 --> 00:39:28.438]  Just give them, if we're really going to do this to our youth, if we're really going to do this to our culture, if we're really going to introduce more sexes that don't actually exist on the biological, on the gender scale, let's just put them all in their own class so that we're not rewriting all the record books.
[00:39:28.478 --> 00:39:41.486]  This is like, you know, people are more upset with baseball invading steroids, which actually was still a level playing field, you know, they were all practically using it, all of them pretty much could have used it, still a level playing field, all the records got broke and messed up, but
[00:39:41.866 --> 00:39:52.949]  We had a huge ordeal about that, but the transgender athletes that are sickening the minds of our youth, rewriting those records that are actually fun and innocent and a good thing for the youth to have, nope!
[00:39:53.549 --> 00:39:56.750]  We're not gonna raise an eyebrow about that, no big deal.
[00:39:56.790 --> 00:39:59.350]  In fact, we're gonna cheer it on, nothing to see here.
[00:39:59.390 --> 00:40:03.071]  So that's nice that males can now compete as females and break all the records.
[00:40:03.811 --> 00:40:06.792]  That's just normal though now, I guess, in the new world order.
[00:40:07.132 --> 00:40:09.793]  Now, let's go to my guest Omar Navarro.
[00:40:11.144 --> 00:40:21.233]  Now I was watching this video where a town hall event held by Nanette Berrigan was getting out of hand and it got invaded by Trump supporters.
[00:40:22.154 --> 00:40:24.536]  I'm watching the video and then what do you know?
[00:40:24.936 --> 00:40:25.997]  There I see Omar!
[00:40:26.578 --> 00:40:27.719]  In the thick of things!
[00:40:27.999 --> 00:40:29.100]  With his camera out!
[00:40:29.360 --> 00:40:31.482]  So I wanted to get Omar on to tell me about this.
[00:40:31.522 --> 00:40:33.924]  Now this is actually unbelievable what happened here Omar.
[00:40:34.164 --> 00:40:37.948]  You've got a representative of California who's standing up for illegal citizens.
[00:40:39.278 --> 00:40:40.819]  Yeah, and that's exactly why I was there.
[00:40:40.839 --> 00:40:43.761]  I was there to represent every legal American that is out there.
[00:40:44.141 --> 00:40:46.883]  I'm there to ask them the real questions, the hard questions.
[00:40:47.523 --> 00:40:56.029]  Of course, you know, a lot of these people don't want to go and debate with people, so the best way of actually confronting them is by going to the town halls, by asking the questions.
[00:40:56.269 --> 00:41:03.154]  If you're not asking the questions, you're not going to have any sense of awareness of who they are as individuals.
[00:41:03.474 --> 00:41:05.835]  We have to make sure we're holding these politicians accountable.
[00:41:05.855 --> 00:41:08.057]  If we're not holding them accountable, then what are we doing?
[00:41:09.147 --> 00:41:33.173]  Well, she's here having this event, she wanted to do it in secret, and you took to the streets, you got your camera out, we were just showing your video on Periscope, there were a lot of other Trump supporters out there that joined you, and you said, hey look, we're having an America First policy, how can a representative try to have a secret meeting and then try to tell non-citizens, people who are here illegally, how to beat the system?
[00:41:33.433 --> 00:41:34.413]  This is unbelievable!
[00:41:34.613 --> 00:41:37.334]  And so you guys showed up, you called her out, and she ran away!
[00:41:38.382 --> 00:41:45.467]  Yeah, I mean, the intense part is when she took off from the thing, she said, you know what, I don't have to talk to you guys anymore.
[00:41:45.747 --> 00:41:49.229]  So she started barging out of the room, taking off to another room.
[00:41:49.529 --> 00:41:57.354]  But we found out that they were going to a different room and they were letting their cronies inside, the people that were going to ask them the questions that were spoon fed to them.
[00:41:57.895 --> 00:42:01.017]  And they didn't want to have people that were actually going to ask true questions.
[00:42:01.377 --> 00:42:04.379]  I mean, they were just, this is communism.
[00:42:04.779 --> 00:42:06.942]  This is communism, fascism at its finest.
[00:42:07.422 --> 00:42:08.683]  They're censoring free speech.
[00:42:08.703 --> 00:42:09.444]  This is a town hall.
[00:42:09.484 --> 00:42:12.648]  It should be open to all citizens, all taxpayers.
[00:42:13.088 --> 00:42:13.829]  This is not open.
[00:42:14.009 --> 00:42:14.730]  This is not open.
[00:42:14.750 --> 00:42:15.791]  This is a closed meeting.
[00:42:16.111 --> 00:42:17.493]  They went and locked us all out.
[00:42:17.533 --> 00:42:21.017]  People were saying, let us in, let us in, and they weren't letting people in.
[00:42:22.498 --> 00:42:24.080]  I couldn't believe it when I was watching this.
[00:42:24.140 --> 00:42:27.663]  Again, you had these Trump supporters showing up, clearly en masse, too.
[00:42:27.703 --> 00:42:30.506]  Clearly, they're the ones that need to be represented here.
[00:42:30.546 --> 00:42:31.547]  They're the actual people.
[00:42:31.607 --> 00:42:34.449]  They're the actual constituents, not the non-citizens.
[00:42:35.030 --> 00:42:36.031]  And she runs away.
[00:42:36.051 --> 00:42:37.092]  You guys are chanting Trump.
[00:42:37.112 --> 00:42:40.155]  Like I said, when I saw you sitting there, I was like, yes, Omar getting in there.
[00:42:40.495 --> 00:42:45.160]  But it's really unbelievable that you would have a representative who would try to
[00:42:46.260 --> 00:43:01.787]  I don't know what her exact quote was, but she basically said when you guys showed up to the meeting, we don't have to listen to you.
[00:43:02.387 --> 00:43:04.448]  Isn't that the mindset of these people?
[00:43:04.968 --> 00:43:07.109]  How can she get away with saying something like that?
[00:43:08.823 --> 00:43:10.784]  Well, this is the issue with that.
[00:43:10.965 --> 00:43:15.708]  They think they can get away with what they're saying because they don't have people who are actually challenging them.
[00:43:15.968 --> 00:43:17.289]  And that's exactly what we're doing.
[00:43:17.309 --> 00:43:18.970]  We're going all over California.
[00:43:19.211 --> 00:43:21.792]  We're challenging the status quo.
[00:43:21.852 --> 00:43:25.195]  These Democrats have destroyed the state of California.
[00:43:25.675 --> 00:43:27.557]  Have gotten away with so much for so long.
[00:43:27.617 --> 00:43:29.598]  It's time for us to really hold them accountable.
[00:43:29.938 --> 00:43:32.000]  Make sure that we're putting pressure on them.
[00:43:32.400 --> 00:43:33.381]  They're feeling the pressure.
[00:43:33.401 --> 00:43:34.202]  They're feeling the heat.
[00:43:34.262 --> 00:43:35.983]  I mean, we are going out.
[00:43:36.323 --> 00:43:37.144]  We are involved.
[00:43:37.204 --> 00:43:37.885]  We are active.
[00:43:37.925 --> 00:43:39.506]  We are engaging in the community.
[00:43:40.306 --> 00:43:41.968]  You know, my district is right next door.
[00:43:42.008 --> 00:43:46.151]  I'm running against Maxine Waters in the 43rd Congressional District.
[00:43:46.451 --> 00:43:48.953]  The 44th Congressional District is right next door.
[00:43:49.353 --> 00:43:52.536]  I want to make sure that I'm holding these politicians that are around me accountable too.
[00:43:52.976 --> 00:43:59.563]  I can't just have one side, you know, we need to have a consensus on other districts too also in the state of California.
[00:43:59.784 --> 00:44:11.617]  So we have to make sure that we are holding them accountable, making sure that they are doing their jobs and they are representing the interests of all Americans and not just illegals, you know, because we need to make sure that we're putting our focus on Americans first.
[00:44:12.185 --> 00:44:16.588]  And I love seeing what's going on out there on the left coast with people getting active.
[00:44:16.648 --> 00:44:18.369]  It's also starting to happen on the east coast.
[00:44:18.929 --> 00:44:23.672]  I'll be talking with Dr. Shiva tomorrow, running against Elizabeth Warren on the Alex Jones Show.
[00:44:23.732 --> 00:44:26.093]  Obviously, Omar is running against Maxine Waters.
[00:44:26.414 --> 00:44:28.435]  And you said it, we're putting heat on them, finally.
[00:44:28.815 --> 00:44:30.616]  It's time for them to stop feeling comfortable.
[00:44:30.896 --> 00:44:35.079]  This woman should not feel comfortable holding this meeting, trying to skirt the law,
[00:44:35.379 --> 00:44:38.923]  Trying to bring in illegal people, really to win votes at the end of the day.
[00:44:38.983 --> 00:44:45.929]  That's really why they do this, because they don't believe that they can win in an actual election that is based on policy and integrity.
[00:44:46.170 --> 00:44:50.113]  So they try to cheat by bringing in these non-citizens, getting them to vote.
[00:44:50.434 --> 00:44:54.237]  That's what the Democrats have been doing for at least 20, 30 years now.
[00:44:54.578 --> 00:44:57.481]  But I want to switch gears to another topic real quick.
[00:44:58.493 --> 00:45:00.854]  Well Omar, it looks like you finally made it.
[00:45:00.914 --> 00:45:03.335]  The left is finally freaking out about your candidacy.
[00:45:03.956 --> 00:45:08.177]  You're on David Brock's hit list now, and they've put out a piece on media matters.
[00:45:08.478 --> 00:45:09.378]  You're such a bad guy!
[00:45:09.598 --> 00:45:13.260]  How dare you run against Maxine Waters, who hasn't been to her district in days!
[00:45:16.007 --> 00:45:20.371]  In 35 years, Maxine Watterson has missed 90% of the meetings in Congress.
[00:45:21.032 --> 00:45:23.754]  90% of the meetings in Congress in over 35 years.
[00:45:24.195 --> 00:45:25.977]  That's embarrassing.
[00:45:26.157 --> 00:45:29.861]  As embarrassing as a representative, you should be doing your job.
[00:45:29.881 --> 00:45:32.063]  You should be serving the people in your community.
[00:45:32.343 --> 00:45:34.185]  There are gangbangers killing kids.
[00:45:34.626 --> 00:45:36.608]  There is trash on the floor.
[00:45:37.268 --> 00:45:43.171]  There's a lot of things that are not being done in our district that she's leaving behind.
[00:45:43.491 --> 00:45:47.833]  We have to make sure that we're representing the interests of Americans in our communities.
[00:45:48.213 --> 00:45:51.735]  We're not representing our communities right now with Maxine Waters in office.
[00:45:51.975 --> 00:45:55.036]  Of course, you know, she's trying to impeach the president every single time.
[00:45:55.636 --> 00:45:57.197]  I spoke at an event just recently.
[00:45:57.217 --> 00:45:58.418]  I said, instead of saying impeach 45,
[00:45:59.318 --> 00:46:06.441]  You say support 45 because that's what we have to do in order to get the job done and represent our districts and better our community.
[00:46:06.841 --> 00:46:07.561]  We have to do that.
[00:46:07.581 --> 00:46:13.904]  If we're not doing that, then we're just going to fall by the wayside and we're just going to continue to fall apart here in the state of California.
[00:46:14.801 --> 00:46:15.842]  Omar Navarro, folks.
[00:46:16.402 --> 00:46:18.643]  He's running against Maxine Waters, trying to drain the swamp.
[00:46:18.683 --> 00:46:20.704]  A candidate that actually cares about his constituents.
[00:46:20.764 --> 00:46:29.608]  A candidate that's on the ground, actually in the muck of it, in the swamp, trying to get the truth out about the corrupt candidates in his area.
[00:46:29.648 --> 00:46:31.489]  Thank you, Omar, for joining us.
[00:46:31.509 --> 00:46:34.350]  You know, it's honestly amazing, folks, when I was watching this video.
[00:46:34.930 --> 00:46:49.621]  Just the notion that a representative would try to get away with this secret meeting for non-citizens, and then the separate notion that we have a candidate who would get right in their face with a camera and confront that disingenuous policy against the American people.
[00:46:50.002 --> 00:46:50.963]  This is the movement!
[00:46:51.283 --> 00:46:52.924]  This is how we make America great again!
[00:46:53.184 --> 00:46:54.926]  David Knight on the other side.
[00:46:55.894 --> 00:47:00.696]  Alex Jones here with a very important news update to anybody out there that wants to be prepared.
[00:47:01.356 --> 00:47:02.937]  But it goes beyond being prepared.
[00:47:03.337 --> 00:47:08.319]  Our bodies absolutely must have the good halogen iodine or we will die.
[00:47:08.680 --> 00:47:14.142]  And you look at all of the thyroid problems and all the people that don't have energy and that have all sorts of hormone problems.
[00:47:14.522 --> 00:47:21.125]  And from my research and a lot of just mainline research, it leads back to iodine over and over and over again.
[00:47:21.765 --> 00:47:22.906]  It's as important as vitamin C.
[00:47:23.766 --> 00:47:25.707]  If you don't get iodine, you die.
[00:47:26.027 --> 00:47:28.988]  But most people are just efficient, so they're low energy, they're sick.
[00:47:29.408 --> 00:47:33.029]  You've got to have iodine in your body so that your body can produce the hormones you need.
[00:47:33.229 --> 00:47:35.789]  It is the base to so many things.
[00:47:35.829 --> 00:47:48.193]  And since I got into iodine four years ago, we've helped change the entire paradigm by developing and bringing to the public deep earth crystals from 7,000 to 12,000 feet of the purest iodine available.
[00:47:48.413 --> 00:47:53.515]  Other iodine comes from the ocean or from other byproducts of chemical facilities, and it's tainted.
[00:47:53.635 --> 00:47:54.975]  It's bound.
[00:47:55.035 --> 00:47:56.256]  It's not absorbable.
[00:47:56.676 --> 00:48:01.237]  I tried it, and I had incredible effects, even with dirty iodine, because the body needs it.
[00:48:01.457 --> 00:48:06.359]  When you don't have iodine, it absorbs the chlorine, the fluoride, and all these other bad halogens.
[00:48:06.839 --> 00:48:11.741]  Do yourself and your family a favor and check out the importance of iodine for yourself.
[00:48:11.821 --> 00:48:12.981]  I think you're going to be blown away.
[00:48:13.141 --> 00:48:15.742]  And whatever you do, support the broadcast and get a bottle.
[00:48:15.882 --> 00:48:16.102]  I think.
[00:48:38.729 --> 00:48:41.351]  You've got to have vitamin C. You've got to have iodine to live.
[00:48:41.371 --> 00:48:42.412]  You've got to have water to live.
[00:48:42.732 --> 00:48:43.453]  Iodine is key.
[00:48:43.473 --> 00:48:44.094]  You must have it.
[00:48:44.454 --> 00:48:52.001]  But consult your physician first before you get powerful survival shield niacin iodine X2 at Infowarslife.com or call toll free.
[00:48:52.021 --> 00:48:52.881]  We can answer your questions.
[00:48:52.901 --> 00:48:52.941]  888-253-3139.
[00:49:01.957 --> 00:49:15.585]  Today we had news that a low-level contractor with top secret clearance, somebody in their mid-twenties, reality winner, has released some documents showing that Russians tried a spear phishing attack.
