[00:00:00.009 --> 00:00:00.329]  Tom.
[00:46:46.678 --> 00:46:49.140]  So what you see here is something that was very carefully planned.
[00:46:49.580 --> 00:46:53.904]  It was professionally executed, and it was also a measured attack.
[00:46:54.445 --> 00:47:00.650]  They could have blown up and destroyed, the people who planned this and executed this so well, they could have destroyed that entire power station.
[00:47:00.670 --> 00:47:02.892]  They could have caused a very wide outage.
[00:47:03.273 --> 00:47:08.798]  But as you mentioned before, when you have false flag attacks, you don't always target that to the public.
[00:47:09.098 --> 00:47:11.841]  Sometimes you target it to some people who are in the know.
[00:47:12.281 --> 00:47:13.822]  There have been a lot of false flags.
[00:47:13.882 --> 00:47:15.142]  Plants being blown up.
[00:47:15.622 --> 00:47:22.064]  In fact, I've been told by high-level sources there's more than 50 a year that they use to scare the cops and everybody and say, don't tell anybody.
[00:47:22.705 --> 00:47:24.745]  You're part of the group now, but we don't want to panic the public.
[00:47:24.985 --> 00:47:26.686]  And that's how they bring them into the conspiracy.
[00:47:26.946 --> 00:47:27.286]  That's right.
[00:47:27.486 --> 00:47:28.667]  So it could have been something like that.
[00:47:28.967 --> 00:47:34.729]  As you mentioned, CISPO was under consideration at the time, and CISPO was an infrastructure issue.
[00:47:35.169 --> 00:47:37.810]  So how better to emphasize that than some kind of attack like this?
[00:47:37.830 --> 00:47:43.093]  So we don't really know, but what it does look like, we can tell, that it was very carefully planned, very carefully executed.
[00:47:43.633 --> 00:47:46.715]  They took out the oil on the Transformers when they shot them.
[00:47:47.135 --> 00:47:53.218]  They drained down, it set off the alarms, the police were called, but of course they stopped shooting about a minute before the police got there.
[00:47:53.258 --> 00:47:57.740]  The police get there and it's locked, so the police just say, well I guess everything's okay.
[00:47:58.520 --> 00:47:58.921]  And leave.
[00:47:59.341 --> 00:48:01.443]  And then they put out that it was a vandalism charge.
[00:48:01.503 --> 00:48:05.187]  And so we didn't know anything about it until this broke yesterday.
[00:48:05.768 --> 00:48:09.111]  And the former chair of the F.E.R.C.
[00:48:09.131 --> 00:48:09.912]  that oversees this.
[00:48:09.952 --> 00:48:13.956]  Sure, but we were following it months ago when it happened, saying clearly this isn't vandals.
[00:48:14.116 --> 00:48:14.616]  Right, right.
[00:48:15.116 --> 00:48:18.617]  And so all this stuff is very, very suspicious that they're coming up with.
[00:48:18.737 --> 00:48:22.959]  And as I said before, it's very carefully planned, very carefully executed, but very measured.
[00:48:22.979 --> 00:48:24.719]  They could have blown up these transformers.
[00:48:24.759 --> 00:48:26.920]  They could have taken out the entire substation.
[00:48:27.020 --> 00:48:28.420]  It could have been a very public event.
[00:48:28.700 --> 00:48:35.303]  But instead, it was a pretty serious attack that showed a threat, showed the vulnerability, but then didn't alarm the public.
[00:48:35.343 --> 00:48:36.643]  And that's what's interesting about it, I think.
[00:48:37.793 --> 00:48:40.614]  Well, that's what they do a lot of times we've seen to get funding.
[00:48:42.134 --> 00:48:51.016]  And again, most of these terror attacks are kept secret, but a lot of lethal ones that go on, and they use it to say, oh, we're keeping the police and everybody on their toes.
[00:48:51.436 --> 00:48:53.857]  The truth is they're doing it to be able to take over society.
[00:48:54.157 --> 00:49:02.398]  And yeah, the cops on the ground are on their toes, and the Infra Guard and all of it, but it's keeping them on their toes for a made-up false threat.
[00:49:02.778 --> 00:49:04.379]  Now, it's true if we attack Iran,
[00:49:05.259 --> 00:49:06.540]  They're not going to need to stage attacks.
[00:49:06.560 --> 00:49:08.701]  The Iranians are going to attack the power stations.
[00:49:09.262 --> 00:49:13.244]  And they've got sleeper teams in the U.S., which is what the globalists want to begin with.
[00:49:13.705 --> 00:49:16.166]  Imagine if there's major system-wide disruptions.
[00:49:17.047 --> 00:49:21.270]  That will absolutely empower homeland security that's just lined up, ready to take over.
[00:49:21.370 --> 00:49:21.630]  Oh yeah.
[00:49:21.890 --> 00:49:26.133]  And we've talked many times about how fragile and vulnerable our power system is.
[00:49:26.173 --> 00:49:31.197]  And so this is something, whether or not you believe this is a false flag, whether or not you believe this is a terrorism event,
[00:49:31.963 --> 00:49:35.264]  The bottom line is that it shows how vulnerable our power system is.
[00:49:35.304 --> 00:49:36.564]  People need to be concerned about that.
[00:49:36.584 --> 00:49:38.065]  They need to take their own precautions.
[00:49:38.125 --> 00:49:40.105]  That's the number one takeaway out of this.
[00:49:40.185 --> 00:49:40.465]  You know what?
[00:49:40.505 --> 00:49:40.885]  Stay there.
[00:49:40.925 --> 00:49:51.128]  I want to come back in the next segment, talk more about that, and then get your take on Rand Paul and others getting hardcore against Obama and where you see all that's going, calling Clinton a sexual predator.
[00:49:51.548 --> 00:49:51.908]  We're good to go.
[00:50:21.408 --> 00:50:22.529]  Absolutely.
[00:50:22.569 --> 00:50:23.930]  We're going to end it Monday.
[00:50:24.271 --> 00:50:26.713]  We usually run it in December into February.
[00:50:26.753 --> 00:50:28.374]  We're already into February.
[00:50:28.494 --> 00:50:29.996]  We're going to end it next week.
[00:50:30.336 --> 00:50:43.708]  You can get five months off the yearly memberships for InfoWars Nightly News at InfoWarsNews.com or PrisonPlanet.tv and then you're funding the very tip of the spear in the InfoWar and our reporters, the cameras, the crew, all of it.
[00:50:44.349 --> 00:50:46.010]  We're really going to the next level right now.
[00:50:46.070 --> 00:50:46.911]  Thanks to all your support.
[00:50:46.951 --> 00:50:47.512]  God bless you.
[00:50:48.012 --> 00:50:49.834]  Please continue to be PrisonPlanet.tv members.
[00:50:50.154 --> 00:50:52.457]  If you're not a member, you can get a monthly trial membership, $5.95.
[00:50:53.598 --> 00:50:53.979]  11 people.
[00:50:54.519 --> 00:50:55.540]  Takes about a minute to sign up.
[00:50:55.620 --> 00:50:57.943]  Can use each membership simultaneously.
[00:50:57.963 --> 00:50:59.665]  So it's more like 30 or 40 can use your membership.
[00:50:59.925 --> 00:51:01.587]  Nobody's gonna usually use 11 at once.
[00:51:02.528 --> 00:51:03.469]  So that's a great system.
[00:51:03.529 --> 00:51:04.030]  PrisonPlanet.tv.
[00:51:04.050 --> 00:51:07.013]  And don't forget InfoWarsLife.com.
[00:51:07.233 --> 00:51:07.794]  We'll be right back.
[00:51:10.006 --> 00:51:11.647]  Introducing Pro-1.
[00:51:11.907 --> 00:51:15.408]  All of your filtration in one system, portable, on-the-go.
[00:51:15.548 --> 00:51:19.950]  No more do you have two or three filters to just reduce sodium fluoride.
[00:51:20.130 --> 00:51:26.072]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosilicic acid.
[00:51:26.192 --> 00:51:36.976]  Advanced manufacturing technology combines silver impregnated white ceramic with new Aquamedics advanced media for removal of fluoride and other heavy metals all in one filter element.
[00:51:37.176 --> 00:51:43.498]  It is the only one that does it and out of the gates, we have it discounted at 10% off with promo code WATER.
[00:51:43.679 --> 00:52:00.625]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[00:52:00.965 --> 00:52:06.226]  What if you could shift into a parallel universe right now and be the solution to any problem you're facing?
[00:52:06.346 --> 00:52:11.887]  I'm Matthew David Hurtado, CEO of RNA Drops and author of Misfit to Millions, based on my true life story.
[00:52:26.810 --> 00:52:31.293]  Four years ago, I was dying with PTSD, Lyme's disease, and virtually homeless.
[00:52:32.093 --> 00:52:39.097]  ION and the RNA Drops gave me a new life, new DNA, and the power to become a millionaire in just a few short years.
[00:52:39.837 --> 00:52:41.758]  I want to pay that forward to you.
[00:52:42.299 --> 00:52:49.843]  Get a copy of my book, Misfit to Millions, and I'll give you a free bottle of the RNA Drops, the product that saved my life.
[00:52:50.143 --> 00:52:56.885]  I've got $199 in free bonus gifts for the first 200 people that go to Misfit2Millions.com.
[00:52:57.165 --> 00:53:00.586]  That's M-I-S-F-I-T-T-O-Millions.com.
[00:53:00.966 --> 00:53:01.606]  Or call 888-550-8231.
[00:53:01.666 --> 00:53:01.846]  That's 888-550-8231.
[00:53:01.886 --> 00:53:02.766]  Take your power back!
[00:53:09.315 --> 00:53:12.957]  You've been hearing about the amazing benefits of Heart and Body Extract for many years.
[00:53:13.338 --> 00:53:14.659]  Now, hear from the co-founder.
[00:53:14.699 --> 00:53:18.261]  My name is Tony Knudsen and I am the co-founder of Heart and Body Extract.
[00:53:18.481 --> 00:53:20.442]  We've been in business for over 13 years now.
[00:53:20.502 --> 00:53:25.866]  With thousands of satisfied customers who have experienced the amazing benefits but never experienced a price hike.
[00:53:25.906 --> 00:53:30.749]  We've kept consistent pricing the whole entire time the company's been in business and we'll continue to do so.
[00:53:30.769 --> 00:53:33.631]  Call today for Heart and Body Extract 866-295-5305 or visit HBextract.com.
[00:53:39.124 --> 00:53:42.765]  Clean water at home, clean water at the office, clean water on the go.
[00:53:43.045 --> 00:53:48.967]  The Berkey Guy has a Berkey water filtration model for anywhere you are and one that fits any budget.
[00:53:49.287 --> 00:53:52.088]  Thousands of satisfied customers can't be wrong.
[00:53:52.448 --> 00:53:56.529]  For free shipping within the US, go to GoBerkey.com or call 877-886-3653.
[00:53:56.589 --> 00:53:56.809]  That's 877-886-3653.
[00:53:56.849 --> 00:53:58.370]  Helping thousands prepare since 2005.
[00:53:58.550 --> 00:53:58.790]  GoBerkey.com.
[00:54:21.204 --> 00:54:27.646]  I have sworn on the altar of God eternal resistance against every form of tyranny.
[00:54:28.506 --> 00:54:30.206]  I am the resistance.
[00:54:30.366 --> 00:54:31.566]  You are the resistance.
[00:54:31.586 --> 00:54:33.027]  We are Free Humanity.
[00:54:33.067 --> 00:54:40.688]  Broadcasting worldwide from occupied North America into FEMA Region 6, Austin, Texas.
[00:54:40.789 --> 00:54:42.529]  This is The Info War.
[00:54:46.792 --> 00:54:47.752]  Here's the bottom line.
[00:54:48.393 --> 00:54:58.816]  The Republican Party was basically taken over by the CIA in the 60s, and National Review and William F. Buckley were part of that, and that's been declassified.
[00:54:59.036 --> 00:55:00.536]  By the way, if you want to look that up, it's public.
[00:55:00.976 --> 00:55:02.937]  Type in National Review, CIA.
[00:55:03.997 --> 00:55:09.139]  Then the neocons, who've been the Trotskyites, literally out of Mexico, from Russia, literally.
[00:55:09.179 --> 00:55:11.319]  This is mainstream news, too, if you're a new listener, and you're like, what?
[00:55:11.560 --> 00:55:12.020]  Communists?
[00:55:12.500 --> 00:55:12.940]  Took over.
[00:55:13.905 --> 00:55:19.990]  But, their job has always been to suppress the Tea Party, has been to sub... you know, the proto-Tea Party.
[00:55:20.030 --> 00:55:23.973]  People like, with no apologies, Barry Goldwater.
[00:55:24.693 --> 00:55:27.115]  Sometimes silence isn't golden, it's yellow.
[00:55:28.396 --> 00:55:30.358]  And this is all on record if you just want to research it.
[00:55:31.219 --> 00:55:36.683]  I mean, Ronald Reagan spoke out against the CFR, the New World Order, the Trilateral Commission, the PLANDA, until they got him in a room.
[00:55:38.683 --> 00:55:39.504]  And that's all come out.
[00:55:40.366 --> 00:55:42.389]  And so the Democrats are gone.
[00:55:42.549 --> 00:55:46.796]  They are the front line, the tip of the spear of the takeover, the new demographic shift.
[00:55:47.297 --> 00:55:53.166]  The Republicans are going to be a regional group, and that's why they've got them committing suicide right now with the open borders, all the rest of it.
[00:55:53.860 --> 00:56:05.043]  We need to take over the Republican Party, not let it commit suicide, and then have inroads with kind of liberal libertarians, which are forming out there, and helping take over those areas for liberty.
[00:56:05.603 --> 00:56:07.023]  Live and let live, man, but come on.
[00:56:07.583 --> 00:56:13.285]  Don't raise taxes on middle class and tell me it's social engineering for the good when the billionaires are tax-exempt offshore.
[00:56:14.485 --> 00:56:15.125]  I'm tired of it.
[00:56:16.260 --> 00:56:18.602]  And the truth is something nobody can argue with.
[00:56:18.642 --> 00:56:20.263]  Democrat, Republican, I don't care.
[00:56:20.323 --> 00:56:22.324]  Black, white, old, young, gay, straight.
[00:56:22.685 --> 00:56:23.265]  Man, listen.
[00:56:23.725 --> 00:56:24.686]  You can have polka dots.
[00:56:24.806 --> 00:56:26.487]  As long as you love freedom, I like you.
[00:56:27.168 --> 00:56:29.650]  And the liberals are not high ground liberals.
[00:56:29.670 --> 00:56:30.590]  They're authoritarians.
[00:56:30.831 --> 00:56:32.592]  I know it's easy to buy into the corporate fraud.
[00:56:34.514 --> 00:56:36.356]  Of, oh, you're in this group or you're in that group.
[00:56:36.736 --> 00:56:38.918]  Folks, we got a real problem on our hands here.
[00:56:39.158 --> 00:56:40.599]  David Knight, do you agree with me?
[00:56:40.639 --> 00:56:41.440]  I want your take on this.
[00:56:41.480 --> 00:56:52.189]  How exciting is it to have Rand Paul calling Bill Clinton a sexual predator and a monster, and he should be the Democrats' number one campaign fundraiser, and others calling Obama a criminal and dangerous?
[00:56:52.649 --> 00:56:56.472]  This is what we need, because when people are being bad, the rhetoric has to fit it.
[00:56:56.773 --> 00:57:00.336]  We can't dial it back just because the Democrats are outrageous criminals.
[00:57:00.976 --> 00:57:02.357]  I mean, I think we've got to dial it up.
[00:57:02.377 --> 00:57:05.418]  They're always saying, back off, be nice, that's how you win.
[00:57:05.458 --> 00:57:06.579]  No, that's how we've lost.
[00:57:06.859 --> 00:57:07.940]  We need to get aggressive.
[00:57:08.240 --> 00:57:10.581]  Our forebears killed people to have freedom.
[00:57:10.601 --> 00:57:12.322]  We're just trying to turn our voices up.
[00:57:12.622 --> 00:57:13.102]  Absolutely.
[00:57:13.463 --> 00:57:18.665]  You know, Ronald Reagan, you mentioned Ronald Reagan, he was a very different candidate than he was a president.
[00:57:18.986 --> 00:57:24.949]  And of course, there were connections with William Casey and George Bush I and the Iran-Contra, all that kind of stuff was happening.
[00:57:25.692 --> 00:57:32.217]  After about six years of this, Ron Paul had enough and he wrote a very scathing resignation letter from the Republican Party.
[00:57:32.537 --> 00:57:33.598]  He spoke out about this.
[00:57:33.958 --> 00:57:35.079]  We need people like that.
[00:57:35.099 --> 00:57:36.500]  I think Rand Paul is the same way.
[00:57:36.520 --> 00:57:37.681]  I'm hoping he's the same way.
[00:57:37.921 --> 00:57:45.767]  That he will speak out against this stuff instead of just giving them a free pass in the name of being a nice guy and getting along with the system.
[00:57:46.087 --> 00:57:47.448]  I hope that he gets in their face like
[00:57:47.628 --> 00:57:48.168]  Ron Paul did.
[00:57:48.208 --> 00:57:52.131]  Ron Paul resigned, he ran as a libertarian, and he never backed down from those principles.
[00:57:52.171 --> 00:57:55.072]  So, we're hoping that Rand Paul will do the same thing.
[00:57:55.092 --> 00:57:57.494]  This is very encouraging to see him come out this way.
[00:57:57.834 --> 00:57:58.474]  Well, that's right.
[00:57:58.534 --> 00:58:00.996]  I mean, they need to turn up the heat here, and that's what's happening.
[00:58:01.416 --> 00:58:05.418]  And that's why Ted Cruz is on top now in the polls ahead of Rand Paul.
[00:58:05.738 --> 00:58:15.003]  Ted Cruz, globally, I saw a poll, I think it was Gallup two weeks ago, globally, is seen as the second most influential political person after the Pope.
[00:58:15.724 --> 00:58:15.864]  Wow.
[00:58:16.690 --> 00:58:17.290]  Worldwide.
[00:58:17.451 --> 00:58:19.652]  All because he just stood up and said we have a criminal government.
[00:58:20.313 --> 00:58:21.513]  All because he had the will.
[00:58:21.934 --> 00:58:24.375]  Just like people in Eastern Europe spoke out against the Soviets.
[00:58:24.856 --> 00:58:25.576]  Call it out.
[00:58:25.636 --> 00:58:27.197]  The power is in telling the truth.
[00:58:27.718 --> 00:58:29.199]  All you people that show up to the system.
[00:58:30.059 --> 00:58:32.221]  You think you get ahead by being milquetoast.
[00:58:32.281 --> 00:58:32.881]  No, no you don't.
[00:58:32.921 --> 00:58:33.662]  You become a slave.
[00:58:33.702 --> 00:58:33.902]  Go ahead.
[00:58:34.002 --> 00:58:34.783]  The public sees it.
[00:58:35.083 --> 00:58:42.430]  So when Ron Paul gets up and says, you've betrayed all the principles that you ran on, Ronald Reagan, when he says something like that, people have already seen it.
[00:58:42.450 --> 00:58:43.071]  It's pretty obvious.
[00:58:43.091 --> 00:58:43.351]  Back in 60.
[00:58:43.451 --> 00:58:44.672]  I want to hear more from you, David.
[00:58:44.692 --> 00:58:46.033]  We're going to give the phone number up.
[00:58:46.073 --> 00:58:47.875]  It's a ton of news in the next hour.
[00:58:47.895 --> 00:58:48.396]  Stay with us.
[00:58:50.378 --> 00:58:53.801]  Thank you for listening to GCN.
[00:58:53.821 --> 00:58:55.823]  Visit GCNlive.com today.
[00:58:59.716 --> 00:59:04.283]  Why does the United States spend the largest percentage of GDP in the world on healthcare?
[00:59:04.443 --> 00:59:07.407]  Why do we have the highest cancer rates on the planet?
[00:59:07.567 --> 00:59:12.795]  The highest rates of diabetes, autism, and every other major disease.
[00:59:13.136 --> 00:59:14.718]  It all comes down to one thing.
[00:59:15.038 --> 00:59:16.379]  We are what we eat.
[00:59:16.679 --> 00:59:21.021]  Our food is devoid of nutrition and processed with poisons and additives.
[00:59:21.341 --> 00:59:25.344]  Our water is filled with toxic poisons and big pharma runoff.
[00:59:25.584 --> 00:59:27.905]  All of this has been engineered by design.
[00:59:28.125 --> 00:59:34.048]  We can turn the tide against the eugenicist by giving ourselves the nutrients our body desperately needs.
[00:59:34.348 --> 00:59:36.650]  To learn more visit InfoWarsHealth.com
[00:59:37.310 --> 00:59:44.234]  The site is literally packed with audio and video featuring top health professionals who don't bow down to Big Pharma.
[00:59:44.374 --> 00:59:50.198]  The fight against the New World Order starts with you, and you can't stand against the machine of your sick, tired, and obese.
[00:59:50.438 --> 00:59:56.361]  When you visit InfoWarsHealth.com, be sure and check out the catalog with nearly 400 life-changing products.
[00:59:56.601 --> 00:59:59.103]  And get free shipping when you sign up for AutoShip.
[01:00:02.708 --> 01:00:04.692]  Waging war on corruption.
[01:00:05.133 --> 01:00:07.918]  Alex Jones on the GCN Radio Network.
[01:00:14.622 --> 01:00:15.263]  Big Brother.
[01:00:15.943 --> 01:00:16.964]  Mainstream media.
[01:00:17.705 --> 01:00:18.786]  Government cover-ups.
[01:00:19.467 --> 01:00:20.268]  You want answers?
[01:00:21.049 --> 01:00:21.950]  Well, so does he.
[01:00:22.590 --> 01:00:26.214]  He's Alex Jones on the GCN Radio Network.
[01:00:26.775 --> 01:00:30.839]  And now, live from Austin, Texas, Alex Jones.
[01:00:37.738 --> 01:00:47.342]  All right, David Knight has been with us talking about the other trying to ram through cyber security internet takeover on the back of some Transformers being precisionly shot.
[01:00:48.083 --> 01:00:48.783]  Precisionly.
[01:00:49.003 --> 01:00:50.684]  Shot with precision, taken out with precision.
[01:00:51.665 --> 01:01:02.310]  And we've got a ton of news in the shower that Bob Barr is going to be popping in for 30-45 minutes, running for Congress to give his take, his inside knowledge on all the things that are unfolding and where he sees the economy going.
[01:01:03.530 --> 01:01:05.971]  The censorship that's happening in the media and so much more.
[01:01:06.011 --> 01:01:11.254]  But David, other points you'd like to add about the state of politics in this country and all the things that are happening?
[01:01:11.894 --> 01:01:23.519]  Well, you were just talking about Ted Cruz and that's one of the things that makes him so powerful is that both he and Rand Paul have been going in and attacking really the front end of where all this tyranny is and that's the executive orders, the NSA.
[01:01:24.279 --> 01:01:25.619]  That's what we're really concerned about.
[01:01:27.020 --> 01:01:32.223]  Rand Paul is attacking Clinton here and he needs to do that because Hillary Clinton is going to be his opponent.
[01:01:32.604 --> 01:01:42.490]  But the things that he's done with the speaking out against drones and assassinations, the stuff that Ted Cruz has come out against, the executive orders and the dictatorship that's there.
[01:01:42.990 --> 01:01:43.911]  That's really important.
[01:01:43.951 --> 01:01:44.932]  People need to see that.
[01:01:44.952 --> 01:01:47.013]  They need to understand where that problem is.
[01:01:47.113 --> 01:01:56.840]  We need people who are going to speak to that issue and hopefully they'll do something about it because we've had a lot of people who have talked about it, even though they're in the minority, they don't really have the power to do anything about it.
[01:01:57.220 --> 01:02:01.203]  I would like to see somebody just offer a bill to impeach Clinton.
[01:02:01.323 --> 01:02:02.824]  Obama is the fourth term of the Clintons.
[01:02:06.647 --> 01:02:07.887]  That's right, that's right.
[01:02:07.907 --> 01:02:10.829]  It's hard to tell the difference even when they go from one party to the other.
[01:02:10.849 --> 01:02:15.370]  Well, I mean, Clinton is raising all the money, she's going to run again, and we cannot get rid of these people.
[01:02:15.590 --> 01:02:15.950]  That's right.
[01:02:16.511 --> 01:02:23.373]  But somebody needs to put out a bill, even if it's not going to fly, even if they can't get it through, they need to stand on the principle.
[01:02:23.433 --> 01:02:26.814]  It's the sort of thing, just like what Ted Cruz came out and he said, he's evil.
[01:02:27.114 --> 01:02:28.375]  They need to make that point.
[01:02:28.415 --> 01:02:30.055]  They need to put up a bill of impeachment.
[01:02:30.095 --> 01:02:34.177]  They need to do everything they can, even if they know that nobody else is going to support them in Congress.
[01:02:35.876 --> 01:02:37.379]  Other stuff that's on the radar.
[01:02:37.399 --> 01:02:38.561]  I know you're doing a lot of research.
[01:02:39.198 --> 01:02:46.883]  Well, just going back to this report that we had, I think it's very significant that they're now talking about this thing that happened nearly a year ago.
[01:02:46.943 --> 01:02:47.824]  They kept it quiet.
[01:02:47.904 --> 01:02:49.165]  They just used it internally.
[01:02:49.605 --> 01:02:59.272]  It clearly looks like it was, like I said before, very carefully done, very professionally executed, very carefully planned, and very, very measured, so that the public didn't know about it.
[01:02:59.312 --> 01:03:06.357]  Now we're hearing about it, and I think when you look at that, you look at the issue of the Olympics here, we are on the razor's edge here.
[01:03:06.537 --> 01:03:10.319]  Liberty is really hanging by a thread, just like our infrastructure is hanging by a thread.
[01:03:10.599 --> 01:03:20.845]  They could pull off some kind of a major event like this, whether it's a major outage of the power grid that they blame on a terrorist attack, or whether it's an actual false flag attack.
[01:03:21.105 --> 01:03:29.890]  Something really big like this, taking the power out, they could use that to further ramp up the police state use as an excuse, even if we have a terrorist attack in the Olympics.
[01:03:29.950 --> 01:03:34.433]  That's something that would be very, very dangerous for us because it would extrapolate that back to here.
[01:03:36.994 --> 01:03:39.137]  What does your gut tell you is going to happen to Obama?
[01:03:39.178 --> 01:03:46.810]  Because if we don't try to impeach him or rebuff what he's done, it's going to set the precedent that all this executive garbage is passed on to the next tyrant.
[01:03:47.324 --> 01:03:53.969]  Yeah, that's exactly why I think a lot of people in the Republican Party are letting him get away with it, because they want that power when they get into office.
[01:03:54.409 --> 01:03:56.270]  We've seen that happen over and over again.
[01:03:56.491 --> 01:03:58.012]  They'll just switch sides.
[01:03:58.132 --> 01:04:05.257]  A lot of people are criticizing him here and there on separate issues, but they really want that same power when they get into office.
[01:04:05.317 --> 01:04:06.898]  They don't really want to take that away.
[01:04:06.998 --> 01:04:08.579]  They could take it away if they wanted to.
[01:04:08.619 --> 01:04:12.342]  We've seen the abuse is so much worse than it ever was under Nixon.
[01:04:12.742 --> 01:04:15.023]  You know, the abuse of the IRS power.
[01:04:15.483 --> 01:04:19.604]  At that time, the IRS commissioner just took the enemies list and put it in his safe.
[01:04:19.724 --> 01:04:20.925]  He didn't actually execute it.
[01:04:20.945 --> 01:04:25.406]  Now we've got IRS commissioners who actually execute the enemies list and actually lie about it.
[01:04:25.426 --> 01:04:26.687]  And then don't get in trouble.
[01:04:26.907 --> 01:04:27.827]  Get caught lying.
[01:04:27.867 --> 01:04:29.668]  It's come out she lied over and over again under oath.
[01:04:29.988 --> 01:04:33.269]  And then they're still expanding the persecution.
[01:04:33.689 --> 01:04:36.830]  There's nothing worse than letting somebody get away with the crime.
[01:04:37.211 --> 01:04:41.853]  Because what the federal government is turning into is the feral government.
[01:04:42.153 --> 01:04:46.075]  This is a government that's been abroad, killing people, starting wars.
[01:04:46.135 --> 01:04:46.995]  Now they're bringing it home.
[01:04:47.015 --> 01:04:47.315]  No, you're right.
[01:04:47.335 --> 01:04:50.657]  They are a feral, rogue, mad dog government.
[01:04:51.317 --> 01:04:55.699]  And all of us are in danger, including the idiots that are in the system, letting this happen.
[01:04:55.719 --> 01:05:00.681]  You think this power is not going to bring everything down, you morons, with no checks and balances?
[01:05:00.701 --> 01:05:01.582]  This is a disaster.
[01:05:02.282 --> 01:05:06.635]  This is a disaster for stability, the world, our wealth, everything.
[01:05:06.736 --> 01:05:07.378]  Thank you, David Knight.
[01:05:07.398 --> 01:05:07.899]  We'll be right back.
[01:05:09.761 --> 01:05:12.342]  Hi folks, Alex Jones here with some important information.
[01:05:12.602 --> 01:05:17.483]  I want to tell you about Matt Redhawk and his team of Patriots over at MyPatriotSupply.
[01:05:17.743 --> 01:05:25.604]  Several years ago, Matt was sitting in his two-bedroom apartment, frustrated with the direction this country was headed and the Charlatans willing to sell us out for a quick buck.
[01:05:25.844 --> 01:05:30.165]  Deciding to take action, a company run by Patriots for Patriots was born.
[01:05:30.385 --> 01:05:34.186]  MyPatriotSupply has never taken a loan or accepted outside funding.
[01:05:34.346 --> 01:05:40.049]  They now operate two distribution facilities and employ over 50 hard-working American men and women.
[01:05:40.289 --> 01:05:43.070]  It is rare to find companies who practice what they preach.
[01:05:43.450 --> 01:05:48.672]  And that's why I stock my pantry with high-quality storable foods from My Patriot Supply.
[01:05:48.833 --> 01:05:56.376]  Go to mypatriotsupply.com forward slash alex today for special offers on emergency food storage or call their preparedness specialist.
[01:05:56.716 --> 01:06:06.724]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting 100% organic coffee on the planet for more than a decade.
[01:06:19.835 --> 01:06:26.740]  My favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[01:06:26.920 --> 01:06:31.623]  We have now managed to secure the sought-after beans in a highly customized blend.
[01:06:31.803 --> 01:06:38.467]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[01:06:38.587 --> 01:06:45.572]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[01:06:45.752 --> 01:06:52.638]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[01:06:52.778 --> 01:06:57.122]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[01:06:57.262 --> 01:07:06.790]  Available in original or with our immune support infusion blend, you will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[01:07:06.950 --> 01:07:09.152]  Available at Infowarslife.com.
[01:07:09.352 --> 01:07:19.701]  In the last 50 years, iodine has been phased out of our staple foods and replaced with the halogen bromine, a practice now banned in nations around the world.
[01:07:20.041 --> 01:07:21.903]  Guess what else is in the halogen family?
[01:07:22.103 --> 01:07:22.784]  Fluoride!
[01:07:22.984 --> 01:07:24.565]  Ladies and gentlemen, Alex Jones here.
[01:07:24.905 --> 01:07:31.211]  In 1924, the federal government did the right thing and encouraged salt producers to add iodine.
[01:07:31.451 --> 01:07:36.256]  It's the good halogen on the periodic table, and the results are on record.
[01:07:36.376 --> 01:07:42.502]  Reports documented a 15-point IQ increase in areas that had previously been deficient in iodine.
[01:07:42.702 --> 01:07:44.884]  Bottom line, iodine is important.
[01:07:45.144 --> 01:07:47.747]  Unbound, clean, in a glycerin base.
[01:07:48.067 --> 01:07:51.471]  Nascent iodine was the answer for myself and my family.
[01:07:51.571 --> 01:07:54.914]  You will find Survival Shield Nascent Iodine exclusively
[01:07:55.074 --> 01:07:56.775]  At InfoWarsLife.com.
[01:07:56.995 --> 01:08:01.798]  InfoWarsLife Survival Shield Nascent Iodine isn't just for emergencies.
[01:08:02.098 --> 01:08:03.139]  I take it every day.
[01:08:03.279 --> 01:08:04.579]  That's InfoWarsLife.com.
[01:08:04.740 --> 01:08:06.140]  Or call toll free 888-253-3139.
[01:08:14.625 --> 01:08:15.266]  Big Brother.
[01:08:15.926 --> 01:08:16.967]  Mainstream media.
[01:08:17.708 --> 01:08:18.809]  Government cover-ups.
[01:08:19.470 --> 01:08:20.270]  You want answers?
[01:08:21.051 --> 01:08:21.912]  Well, so does he.
[01:08:22.593 --> 01:08:26.236]  He's Alex Jones on the GCN Radio Network.
