[00:00:21.909 --> 00:00:28.512]  Tonight, the NYPD uses flag vandalism to justify mass spying.
[00:28:57.650 --> 00:29:01.031]  They are all complicit in this, especially if they sit at home on vacation
[00:29:01.391 --> 00:29:01.731]  I think so.
[00:29:18.129 --> 00:29:18.770]  We're good to go.
[00:29:48.132 --> 00:29:48.492]  I think so.
[00:30:06.459 --> 00:30:06.979]  Mexico.
[00:30:07.940 --> 00:30:10.502]  They're just taking advantage of this current surge.
[00:30:11.102 --> 00:30:17.486]  Agents say that people from more than 143 countries have attempted to illegally bypass the southern border.
[00:30:17.947 --> 00:30:24.051]  Over the weekend, agents apprehended immigrants from countries such as Bangladesh, Nepal and Sri Lanka.
[00:30:24.371 --> 00:30:31.896]  And of course, human trafficking is a big business and now they're trying to get people here as fast as possible to take advantage of our open borders.
[00:30:31.916 --> 00:30:35.159]  20 years ago, crossing from Central America
[00:30:36.019 --> 00:30:37.319]  To Mexico would cost about $350.
[00:30:37.659 --> 00:30:43.140]  Well today, smugglers can charge anywhere from $5,000 to $10,000.
[00:30:44.140 --> 00:30:49.361]  And if it's an unaccompanied minor, that can be double the price for that.
[00:30:49.741 --> 00:30:56.643]  So these smugglers are basically lying to the families, putting them in grave danger, promising them amnesty once they get here.
[00:30:56.663 --> 00:31:04.404]  Then they're taking all of these people's life savings, I'm sure, and then dumping them here in America where the taxpayers are going to have to take care of them.
[00:31:04.964 --> 00:31:17.567]  Now, Obama wants to go ahead and violate the law while Congress is out on vacation and grant work permits to possibly 8 million more illegal immigrants while millions of Americans are out of work.
[00:31:17.747 --> 00:31:27.229]  We have unprecedented numbers of Americans on welfare and the Congressional Budget Office just determined that if this kind of mass amnesty were to be adopted,
[00:31:28.589 --> 00:31:31.511]  American wages would fall for a decade.
[00:31:31.972 --> 00:31:40.637]  But when asked about this sweeping amnesty, some representatives are still pushing that propaganda that this will be good for the economy and good for America.
[00:31:41.118 --> 00:31:44.500]  Do you think that allowing illegal aliens to stay in the U.S.
[00:31:44.620 --> 00:31:48.843]  and putting them on a path to citizenship will help unemployed Americans?
[00:31:49.679 --> 00:31:54.141]  I think what we need to do is pass comprehensive immigration reform.
[00:31:54.181 --> 00:32:09.649]  And I just came from a hearing with the non-partisan director of the Congressional Budget Office, who testified that if you passed the Senate bipartisan bill, you will reduce the deficit and increase long-term economic growth in the United States.
[00:32:10.265 --> 00:32:13.847]  So we have people from all over the world penetrating the southern border.
[00:32:13.987 --> 00:32:17.550]  We have a DHS that's absolutely not protecting the homeland.
[00:32:17.890 --> 00:32:20.992]  We have Congress who is too afraid to stand up to Obama.
[00:32:21.012 --> 00:32:27.216]  We've got a president who's just enacting all of these laws, lackadaisical immigration enforcement.
[00:32:28.757 --> 00:32:36.564]  Now we have illegal immigrants who are just protesting right outside the White House because they know there is not going to be any repercussions for them.
[00:32:36.844 --> 00:32:41.048]  And then we've got these representatives basically telling us it's all going to be okay.
[00:32:41.068 --> 00:32:42.029]  America's going to be great.
[00:32:42.449 --> 00:32:46.313]  Now, ICE officials indicate that even if these protesters do end up getting arrested,
[00:32:46.913 --> 00:32:46.993]  Yes.
[00:33:16.733 --> 00:33:29.923]  Basically, these illegal immigrant protesters plan to demonstrate there, outside the White House, to call on any immigration groups to boycott any administration meetings until illegal immigrants are included in those talks.
[00:33:30.383 --> 00:33:39.030]  So, here we have illegal immigrants going directly to the White House, demanding to be included in talks, while others are saying that America
[00:33:39.750 --> 00:33:43.851]  Are just sitting around sheepishly and watching and allowing all of this to happen.
[00:33:44.111 --> 00:33:50.412]  So here we have illegal immigrants doing what Americans should be doing, going to the White House and demanding representation.
[00:33:50.932 --> 00:33:52.512]  What are you doing, America?
[00:33:52.912 --> 00:33:57.353]  What are you doing to stop all of this and demand representation?
[00:33:57.373 --> 00:33:59.834]  Thank you for tuning into the show tonight.
[00:34:00.014 --> 00:34:06.115]  Stick around for a special report coming up in Overdrive, and we will see you here tomorrow at 7 p.m.
[00:34:06.175 --> 00:34:06.495]  Central.
[00:34:12.455 --> 00:34:16.756]  You've experienced and heard about the benefits of Super Male Vitality.
[00:34:17.276 --> 00:34:19.756]  Now, the new formula has arrived.
[00:34:20.137 --> 00:34:24.017]  Introducing the new Super Female Vitality.
[00:34:24.297 --> 00:34:31.859]  I have specifically designed this formula to help the body naturally regulate itself without the use of artificial hormones.
[00:34:32.299 --> 00:34:35.620]  Key ingredients chosen from the highest quality sources.
[00:34:35.960 --> 00:34:42.001]  Secure your Super Female Vitality today from our limited stock at InfoWarsLife.com.
[00:34:48.886 --> 00:34:59.231]  Valley emergency management officials are concerned that the large amount of people here illegally may pose a dangerous situation in the event of a hurricane.
[00:34:59.552 --> 00:35:04.554]  The Valley's population exceeds 1.3 million people according to the U.S.
[00:35:04.574 --> 00:35:05.395]  Census Bureau.
[00:35:05.895 --> 00:35:08.776]  Add to that another 4,000 people here illegally.
[00:35:09.237 --> 00:35:13.739]  The entire Valley of detention areas will be evacuated first.
[00:35:13.919 --> 00:35:17.621]  In other words, before the public gets their mandatory evacuations.
[00:35:17.961 --> 00:35:25.227]  In a South Texas community, an initiative is in place to give illegal immigrants preference when it comes to emergency evacuation.
[00:35:25.667 --> 00:35:36.216]  I'm not suggesting that American citizens should be evacuated first, but why can't we put an effort into evacuating everyone who is in temporary housing and or dependent on public transportation?
[00:35:36.716 --> 00:35:37.117]  I don't know.
[00:35:53.737 --> 00:35:58.941]  But if the government is providing said means, why can't they be provided to all people who are in need?
[00:35:59.241 --> 00:36:08.787]  As stories like this become more and more common, residents in other parts of the country are now voicing their opinions of how they are not receiving treatment on level with illegal immigrants.
[00:36:09.027 --> 00:36:12.610]  You can find more reports at InfoWars.com
[00:36:13.254 --> 00:36:14.434]  Do something for our children.
[00:36:14.634 --> 00:36:21.956]  Have the same love for these young people like you got for the ones across the border and you want to save them.
[00:36:22.356 --> 00:36:37.399]  Here we got a mayor in our city and our president of the United States who have passed legislation and have given up funding to create opportunities for new citizens to come into the United States, ignoring people who have been born and raised here.
[00:36:43.430 --> 00:36:47.356]  You are watching the InfoWars Nightly News, which airs 7 p.m.
[00:36:47.416 --> 00:36:49.900]  Central at InfoWarsNews.com.
[00:36:50.121 --> 00:36:56.991]  Members can share their passcodes with up to 11 other people, and your support is helping us defend liberty worldwide.
