[00:00:00.109 --> 00:00:00.669]  Network.
[01:01:40.151 --> 01:01:45.035]  I mean, again, people don't... Governments think the public's too ignorant for this.
[01:01:45.115 --> 01:01:46.055]  No, they're not too ignorant.
[01:01:46.576 --> 01:01:50.379]  Russia either shows all the cards or this could start World War III.
[01:01:50.419 --> 01:01:50.979]  Don't you agree?
[01:01:51.299 --> 01:01:54.401]  Shouldn't Putin just come out and just say, look, knock it off?
[01:01:54.782 --> 01:01:55.282]  Absolutely.
[01:01:55.402 --> 01:02:00.246]  And if they trick the Russians into shooting it down, the Russians need to come out and say that.
[01:02:00.814 --> 01:02:06.296]  Well, you know, they immediately had this surface-to-air missile system, the Buk system.
[01:02:06.776 --> 01:02:13.079]  And as Watson pointed out, in 2001, October 2001, the Ukraine had already shot down a passenger airline.
[01:02:13.119 --> 01:02:15.080]  They said it was by mistake, but it was a different missile.
[01:02:15.680 --> 01:02:21.182]  And what they were pushing on CNN especially, they were saying, well, the rebels have this Buk missile system.
[01:02:21.202 --> 01:02:22.523]  They stole it from the Ukrainian government.
[01:02:22.903 --> 01:02:24.263]  So therefore, they're the ones who shot it down.
[01:02:24.303 --> 01:02:28.165]  It's like, well, if they stole it from the Ukrainian government, obviously the Ukrainian government has other ones.
[01:02:28.545 --> 01:02:31.709]  What's ridiculous is, I saw that too yesterday here around the office.
[01:02:32.009 --> 01:02:35.252]  They just kept saying, here's the missile, here's the missile, like the public's dumb.
[01:02:35.492 --> 01:02:36.393]  Look, it's a missile!
[01:02:36.594 --> 01:02:38.175]  Look, it's what did... You see it?
[01:02:38.476 --> 01:02:38.776]  See it?
[01:02:38.856 --> 01:02:39.657]  Russians have them!
[01:02:40.257 --> 01:02:44.161]  It's like saying, look, here's this photo of Alex with a gun, you know, in the shooting range.
[01:02:44.402 --> 01:02:45.523]  He might have killed people!
[01:02:46.564 --> 01:02:49.206]  That's right, and we should remember what happened last year with the sarin gas.
[01:02:49.567 --> 01:03:01.878]  What eventually turned out, we pointed out that previously, a few months earlier, the UN and the Russian government had done an investigation saying that the sarin gas, there was a form of homemade sarin gas that had been used by the rebels.
[01:03:01.958 --> 01:03:04.321]  So it wasn't something that only the Assad government had.
[01:03:04.361 --> 01:03:06.803]  It could have been done by either side, so it wasn't a smoking gun.
[01:03:07.143 --> 01:03:10.427]  And then, as that started to get coverage,
[01:03:11.027 --> 01:03:11.508]  The U.S.
[01:03:11.588 --> 01:03:14.911]  government released its own analysis and that's when it ended it.
[01:03:15.351 --> 01:03:17.373]  And that's exactly what Putin should do.
[01:03:17.533 --> 01:03:18.614]  He should release the information.
[01:03:18.634 --> 01:03:19.595]  It turned out at what stage?
[01:03:19.615 --> 01:03:20.136]  Saudi Arabia.
[01:03:20.396 --> 01:03:20.797]  Exactly.
[01:03:20.937 --> 01:03:22.078]  And then Turkey was involved.
[01:03:22.358 --> 01:03:24.140]  Alright, Paul Watson, we've got a minute and a half left.
[01:03:24.660 --> 01:03:29.045]  I know you're working on a lot of big stories right now at Infowars.com and PrisonPlanet.com.
[01:03:29.105 --> 01:03:30.386]  What else is coming up?
[01:03:31.547 --> 01:03:33.429]  Well, another major issue is the fact that
[01:03:34.005 --> 01:03:40.688]  Within an hour of this shoot-down taking place, Ukraine came out and said, we've got bombshell evidence that implicates the Russian government.
[01:03:41.088 --> 01:03:42.949]  And so people were asking, OK, what have you got?
[01:03:42.989 --> 01:03:45.070]  You know, radar recordings, satellite imagery.
[01:03:45.410 --> 01:03:56.635]  Turns out, they've got a YouTube video, which is this alleged separatist commander speaking with a leader of the Russian Armed Forces, basically admitting that they shot down the airliner.
[01:03:57.056 --> 01:04:02.138]  Problem is, the Ukrainians had already intercepted communications from the same people, allegedly,
[01:04:02.738 --> 01:04:03.880]  Over a month before.
[01:04:03.980 --> 01:04:07.203]  So they knew that the communications were intercepted.
[01:04:07.563 --> 01:04:11.227]  The Russians, the separatists, made no effort to encrypt the communications.
[01:04:11.948 --> 01:04:14.230]  And this is the same globalist, remember?
[01:04:14.711 --> 01:04:17.133]  The same globalist that had Syrian Danny.
[01:04:17.153 --> 01:04:17.714]  Remember him?
[01:04:18.769 --> 01:04:29.380]  Yeah, but the big aspect of this is you actually download the video and look at the video encode timestamp, and this is not like Facebook pages that can be created before renamed later.
[01:04:29.680 --> 01:04:34.405]  This is the actual time the video was created in the file, and it was the 16th.
[01:04:34.465 --> 01:04:37.048]  It was the day before the airline was even shut down.
[01:04:37.068 --> 01:04:39.691]  Oh, they had it all ready and prepared.
[01:04:39.791 --> 01:04:40.852]  It was all ready to roll.
[01:04:41.752 --> 01:04:43.193]  Oh, well, don't question it.
[01:04:43.833 --> 01:04:45.373]  Only do what the New York Times says.
[01:04:46.014 --> 01:04:47.014]  They say it's Putin.
[01:04:47.034 --> 01:04:48.014]  It's all his fault.
[01:04:48.074 --> 01:04:49.575]  We need nuclear war.
[01:04:49.835 --> 01:04:55.076]  Remember, they also told us Saddam had atomic bombs and a yellow cake from Niger.
[01:04:56.017 --> 01:04:59.478]  And so, of course, it was all lies, but we're not going to question it, folks.
[01:05:03.232 --> 01:05:04.273]  In the near future.
[01:05:04.573 --> 01:05:08.215]  When you realize how fake it all is, the football, the basketball.
[01:05:08.235 --> 01:05:08.735]  Security alert.
[01:05:09.076 --> 01:05:10.076]  Security alert.
[01:05:10.296 --> 01:05:12.037]  This is Homeland Security.
[01:05:12.297 --> 01:05:12.938]  Analysis.
[01:05:13.178 --> 01:05:13.838]  InfoWars.
[01:05:13.898 --> 01:05:15.980]  Building independent media operations.
[01:05:16.000 --> 01:05:20.863]  We let the worst people get controlled and tell us that we are the ones responsible.
[01:05:20.883 --> 01:05:21.803]  Crime Directive.
[01:05:21.923 --> 01:05:23.344]  Discredit Alex Jones.
[01:05:23.464 --> 01:05:26.246]  Jones is the wildly popular conspiracy theorist.
[01:05:26.306 --> 01:05:29.408]  A popular conspiracy theory talk show called InfoWars.
[01:05:29.568 --> 01:05:31.729]  Alex Jones is now in an Austin jail.
[01:05:31.869 --> 01:05:33.350]  These people are assaulting us.
[01:05:33.370 --> 01:05:35.712]  Targeting of patriots engaged.
[01:05:36.213 --> 01:05:37.894]  They are never going to stop.
[01:05:38.154 --> 01:05:42.078]  They're never going to deviate from their program until we stop them.
[01:05:42.198 --> 01:05:45.401]  Block free iPhone apps at InfoWars.com.
[01:05:45.801 --> 01:05:48.463]  Block free podcast and video feed.
[01:05:49.164 --> 01:05:49.885]  Imperative.
[01:05:50.145 --> 01:05:52.046]  Destroy President Trump.
[01:05:52.106 --> 01:05:56.570]  You gotta set your eye on the enemy, not worry about what propaganda they put out.
[01:05:56.710 --> 01:05:58.992]  Intellectually, it's begun and you can feel it.
[01:06:01.801 --> 01:06:06.544]  Man, when I get home from work, all Betty does is watch her reality TV and then she goes to sleep.
[01:06:06.764 --> 01:06:09.886]  I can take her on romantic dates, I get her flowers, you name it.
[01:06:10.127 --> 01:06:11.968]  She's just not the woman I married.
[01:06:12.248 --> 01:06:14.149]  Oh, Ralph, that's just awful.
[01:06:14.390 --> 01:06:15.850]  Does this seem familiar?
[01:06:16.031 --> 01:06:19.073]  Are the honeymoon days of your relationship long gone?
[01:06:19.353 --> 01:06:20.674]  If so, consider this.
[01:06:20.934 --> 01:06:29.860]  The abundance of chemical additives, pesticides, BPA containers, contaminated tap water, and other toxic substances found in our environment.
[01:06:30.220 --> 01:06:36.243]  Experts know our bodies are suffering and being thrown off balance, especially when it comes to your natural systems.
[01:06:36.603 --> 01:06:38.224]  Forget synthetic chemicals.
[01:06:38.644 --> 01:06:46.268]  Super Female Vitality brings forward key herbs specifically chosen for women's biology without the use of phony additives.
[01:06:46.668 --> 01:06:53.792]  Get your bottle of Super Female Vitality today at InfoWarsLife.com, InfoWarsStore.com or call 1-888-253-3139.
[01:06:53.953 --> 01:06:55.333]  InfoWarsLife.com.
[01:06:55.373 --> 01:06:56.394]  Live Life Healthy!
[01:07:01.730 --> 01:07:04.314]  Alex Jones here for InfoWars.com.
[01:07:04.534 --> 01:07:09.420]  In the month of July, we have got giant specials on everything at Madein1776.com.
[01:07:09.500 --> 01:07:11.784]  The already discounted Made in 1776 t-shirts are only $17.76.
[01:07:16.630 --> 01:07:16.790]  I think?
[01:07:36.877 --> 01:07:44.139]  Five months free right now when you get a membership at PrisonPlanet.tv for a limited time, only $39.95 a year.
[01:07:44.439 --> 01:07:47.960]  That's more than five months free off the regular price.
[01:07:48.320 --> 01:07:54.562]  Not just this July 4th weekend, but the entire month of July at MadeIn1776.com.
[01:07:54.942 --> 01:08:00.004]  Molon Labe, you can take my gun from my cold, dead hands.
[01:08:04.378 --> 01:08:06.563]  He's the T-Rex of political talk.
[01:08:07.145 --> 01:08:09.951]  Alex Jones on the GCN Radio Network.
[01:08:31.323 --> 01:08:44.810]  Coming up, starting in the next segment, we're going to look at who may have been behind the shoot-down of the ill-fated Malaysian airliner that reportedly over 300 people, now been confirmed dead.
[01:08:44.850 --> 01:08:48.852]  And now even mainstream media is asking the question we've been asking since last night.
[01:08:49.433 --> 01:08:55.556]  Why was it directed through an area where aircraft were banned by the EU and the FAA from flying through?
[01:08:57.029 --> 01:09:00.293]  And did you know the Ukraine shut down a Russian airliner back in 2001?
[01:09:00.473 --> 01:09:03.236]  They weren't on the edge of World War III.
[01:09:03.716 --> 01:09:10.163]  Because of it, this is a huge political distraction from the open borders, the dollar being in trouble, and so much more that's coming up.
[01:09:10.483 --> 01:09:11.644]  Kevin Sorbo, though...
[01:09:12.505 --> 01:09:14.146]  He's just a great guy.
[01:09:14.166 --> 01:09:18.047]  I'm a fan of some of the Christian movies he's produced and been involved in.
[01:09:18.067 --> 01:09:20.047]  The kind of stuff I can show my kids.
[01:09:21.048 --> 01:09:25.449]  And of course, everybody knows him from Hercules and a lot of other big TV shows and movies.
[01:09:25.949 --> 01:09:32.071]  And he's in a new libertarian freedom-promoting film, Alongside Night Movie dot com.
[01:09:33.288 --> 01:09:39.452]  And, of course, the author is Neil Shulman, who we're going to get on coming up in a few weeks because all the breaking news.
[01:09:39.992 --> 01:09:42.454]  We're moving him, obviously, with the Russian crisis.
[01:09:42.474 --> 01:09:49.238]  But alongside Night is the new film in theaters and many other places coming out.
[01:09:49.578 --> 01:09:52.480]  So we want this libertarian-style, freedom-based film to be successful.
[01:09:52.780 --> 01:09:54.381]  Kevin Sorbo, thanks for coming on with us.
[01:09:55.270 --> 01:09:56.071]  Hey, good to be here.
[01:09:56.112 --> 01:09:56.592]  Good to see you.
[01:09:56.853 --> 01:09:58.095]  Wow, a lot happening.
[01:09:58.556 --> 01:10:07.111]  Before we get into the film, what do you think about how crazy the world's gotten and the open borders and Obama and the anti-gun executive orders and everything else.
[01:10:07.131 --> 01:10:08.032]  What's your take on that?
[01:10:09.841 --> 01:10:11.563]  Well, the movie kind of feeds into that, actually.
[01:10:11.583 --> 01:10:26.579]  This book was written back in 1979 by Neil Schulman, and it pretty much predicted everything that's going on in the world right now with the economy, with Americans losing their independence, losing their freedom of speech, losing their freedoms as a whole, and everything.
[01:10:27.279 --> 01:10:32.104]  It's amazing how accurate this book has predicted what's going on right now.
[01:10:32.905 --> 01:10:33.625]  It's crazy.
[01:10:33.665 --> 01:10:35.666]  I mean, I don't know what's going to happen with this whole Putin thing.
[01:10:35.686 --> 01:10:37.467]  I mean, has Russia even changed, really?
[01:10:37.487 --> 01:10:41.128]  I mean, they make... KGB's just a different name, you know?
[01:10:41.148 --> 01:10:43.269]  So it's... I've been to Russia recently.
[01:10:43.309 --> 01:10:44.650]  I actually went over in January.
[01:10:45.090 --> 01:10:46.951]  And I'm telling you right now, I wouldn't move there.
[01:10:47.431 --> 01:10:50.532]  So, you know, people still... When they're in trouble, who do they come to?
[01:10:50.572 --> 01:10:51.893]  They come to America first, don't they?
[01:10:52.253 --> 01:10:57.095]  Even though they've been bashing us for the last dozen years, they still come here first whenever there's a problem.
[01:10:57.455 --> 01:11:00.278]  Well, I totally agree that America is a lot better than Russia.
[01:11:00.318 --> 01:11:06.543]  What's left, the Bill of Rights, Constitution, due process, and I don't, as Ron Paul has said, you know, say Putin's an angel.
[01:11:06.964 --> 01:11:16.052]  My issue is George Soros has been intimately involved in the whole Ukraine thing, so I think both sides are bad, manipulating the Ukrainians against each other.
[01:11:16.472 --> 01:11:20.596]  I just hope this plane shoot-down doesn't escalate some type of conflict with Russia.
[01:11:21.468 --> 01:11:23.189]  Yeah, it's pretty scary.
[01:11:23.209 --> 01:11:32.655]  It's just sad, and it's pathetic, and it's, uh... I mean, I think with all the evidence mounting already, just within 24 hours, they're going to be able to find the guy who actually pressed the button.
[01:11:32.736 --> 01:11:35.177]  So it's, um... It's pretty insane.
[01:11:35.277 --> 01:11:36.538]  I mean, look what's going on.
[01:11:36.578 --> 01:11:38.079]  I mean, you go back to Watergate.
[01:11:38.099 --> 01:11:41.301]  You go back to all the attacks on Nixon during that time.
[01:11:41.662 --> 01:11:42.222]  Good Lord!
[01:11:42.302 --> 01:11:46.405]  In the last six years, we've had far more mini-scandals that have been much, much bigger.
[01:11:46.745 --> 01:11:47.485]  But look where we are.
[01:11:47.525 --> 01:11:48.746]  We're not doing anything about them.
[01:11:48.786 --> 01:11:51.168]  It just shows you where the moral curve has gone in this country.
[01:11:51.588 --> 01:11:59.557]  In the world where everything now is everything's okay and we're such an apathetic country right now that people don't seem to care that this country is skidding down into a third world nation.
[01:12:00.253 --> 01:12:02.115]  Kevin Sorboes, Hercules is with us.
[01:12:02.495 --> 01:12:09.100]  Man, I'm familiar with Liberty Films, fiction, non-fiction, with Christian films, because that's what I let my children watch.
[01:12:09.560 --> 01:12:20.789]  You're prolific, you know, in your big niche, but for folks that I guess, you know, only tune into a lot of dominant mainstream media, you know, you're still involved with that some, but not as much as everything you're doing.
[01:12:20.849 --> 01:12:21.230]  Briefly,
[01:12:21.710 --> 01:12:23.713]  Talk about some of the projects you've been involved in.
[01:12:23.733 --> 01:12:32.143]  This project because the fact that Christian media, freedom-based media is growing so fast and supplanting the old Hollywood structure.
[01:12:32.503 --> 01:12:35.988]  I think this is one of the most important revolutions happening right now.
[01:12:37.148 --> 01:12:40.431]  Well, the independent world has really picked up in the movie making.
[01:12:40.451 --> 01:12:45.416]  We're still dependent to some degree to get the studios to pick up our movies and get them out there distribution-wise.
[01:12:45.857 --> 01:12:48.279]  But God's Not Dead went a whole different route.
[01:12:48.299 --> 01:12:49.860]  You know, I've done five movies with these guys.
[01:12:49.941 --> 01:12:54.465]  Pure Flix out of Arizona, the largest distributor of family and faith-based movies.
[01:12:54.945 --> 01:12:56.787]  And God's Not Dead was a little $2 million movie.
[01:12:56.847 --> 01:13:01.552]  And it was really, Pure Flix was very smart in getting it out to all the churches around the country.
[01:13:01.812 --> 01:13:06.758]  And promoting it and having pastors and priests look at this movie and tell their congregation to go.
[01:13:06.798 --> 01:13:12.264]  Well, this $2 million movie made $62 million and stayed in theaters for 30 months, which is unheard of.
[01:13:12.525 --> 01:13:15.048]  And it's still opening in 33 more countries around the world.
[01:13:15.909 --> 01:13:18.371]  It has a very good chance to reach $90 million, even $100 million on a $2 million budget.
[01:13:20.080 --> 01:13:25.344]  Well, I'd love to get you on for a longer period just about God's Not Dead, but that film's been launched now.
[01:13:25.885 --> 01:13:27.266]  And again, I have no stake in these films.
[01:13:27.306 --> 01:13:34.632]  I was promoting a film yesterday, you know, about the fake utopia of Obama that I'm not involved in, because this is how we're going to win the culture war.
[01:13:34.952 --> 01:13:38.175]  Tell us about the new film that's coming out soon.
[01:13:40.091 --> 01:13:41.573]  You know, I kind of touched on it a little bit already.
[01:13:41.953 --> 01:13:44.096]  It really deals with what's happening in America today.
[01:13:44.156 --> 01:13:52.468]  I play a Nobel Prize winning economist and I'm on the lam because I'm calling out the government for what they are.
[01:13:52.508 --> 01:13:54.410]  But freedom of speech has pretty much been taken away.
[01:13:54.891 --> 01:13:56.052]  The dollar is worth nothing.
[01:13:57.553 --> 01:14:01.594]  Only gold is worth something now, and you're kind of seeing that happen in real life.
[01:14:02.534 --> 01:14:10.276]  Obama has kept, I think, I tell people at the stock market, I say the stock market is like the dot-com industry back in the late 90s, where it's all a bunch of ghost money.
[01:14:10.316 --> 01:14:14.557]  We've been printing so much money over the last six years to try to keep the country afloat.
[01:14:14.577 --> 01:14:18.938]  But I mean, look how much more in debt we are since Obama took over in the last six years.
[01:14:21.938 --> 01:14:26.999]  It points to where we're losing all of our rights as Americans.
[01:14:27.079 --> 01:14:32.461]  I fake my own death, and really the movie is driven by my son in the movie.
[01:14:32.761 --> 01:14:36.902]  I'm literally only in the movie like five or six scenes, so I can't say it's my movie.
[01:14:36.922 --> 01:14:42.803]  I mean, really, it's driven by the kid playing my son that is trying to figure out a way to really get us out of the country.
[01:14:44.429 --> 01:14:44.990]  Amazing.
[01:14:45.010 --> 01:14:46.891]  Yeah, I am familiar with the novel.
[01:14:47.011 --> 01:15:05.387]  I haven't read it yet, but I know it kind of ties in just to the whole fact that we as a society will lose our freedoms and we will live in a tyranny if we're not involved, but now we're here and that's why these films are resonating with folks so much because it's not
[01:15:06.127 --> 01:15:13.169]  Alex Jones, or Matt Drudge, or WorldNet Daily warning people 20 years ago, it's now here.
[01:15:14.809 --> 01:15:18.910]  Do you think we'll turn the corner, or where does your gut, Kevin Sorbo, tell you we're going?
[01:15:19.850 --> 01:15:20.130]  I don't know.
[01:15:20.150 --> 01:15:21.411]  I'm looking to New Zealand.
[01:15:21.431 --> 01:15:23.711]  I'm telling you.
[01:15:23.751 --> 01:15:26.612]  I lived over seven years with Hercules, and it was a pretty nice country.
[01:15:26.652 --> 01:15:29.153]  For a socialist country, it's pretty capitalistic.
[01:15:29.173 --> 01:15:32.773]  I mean, this country is so large, and we've got such a large population.
[01:15:35.214 --> 01:15:37.975]  I'm all for helping people in need of help, so don't get me wrong.
[01:15:37.995 --> 01:15:39.536]  I don't want more hate mail and email.
[01:15:39.556 --> 01:15:41.136]  You're going to get those anyway from everybody.
[01:16:00.203 --> 01:16:00.544]  I don't know.
[01:16:15.740 --> 01:16:16.921]  He cracked a whip, you know.
[01:16:16.941 --> 01:16:18.882]  I call his hand soft thunder, you know.
[01:16:18.922 --> 01:16:20.323]  But he got mad, boy, he got mad.
[01:16:20.343 --> 01:16:22.984]  And he said, you learn to take care of yourself.
[01:16:23.105 --> 01:16:25.326]  And that's one thing that I'm passing on to my kids.
[01:16:25.886 --> 01:16:29.968]  And unfortunately, half this country doesn't see it that way and they don't seem to care.
[01:16:30.048 --> 01:16:30.989]  So how do we turn that boat?
[01:16:31.289 --> 01:16:33.010]  Because I feel like we're past that tipping point.
[01:16:34.991 --> 01:16:38.092]  There comes a public education, but who's controlling public education?
[01:16:38.112 --> 01:16:40.273]  Let's dive into everything the government runs.
[01:16:40.633 --> 01:16:42.554]  Post office, IRS, just a bunch of bullies.
[01:16:42.594 --> 01:16:43.955]  You got the public education.
[01:16:43.975 --> 01:16:45.195]  None of these things work.
[01:16:45.235 --> 01:16:47.076]  Everything is broken that the government puts a hand on.
[01:16:47.116 --> 01:16:49.116]  This country was built on individuals.
[01:16:49.197 --> 01:16:50.617]  It was always built on individuals.
[01:16:50.637 --> 01:16:54.298]  It was built on, you know, the Bill Gates of the world and the Fords of the world and all that.
[01:16:54.318 --> 01:16:55.419]  I mean, that's where it came from.
[01:16:55.999 --> 01:16:59.060]  Those are the guys who create true wealth and true employment.
[01:16:59.100 --> 01:17:00.041]  But unfortunately,
[01:17:01.461 --> 01:17:07.482]  I don't understand why the mass media and our government feels they can do a better job because they don't and they never have.
[01:17:08.543 --> 01:17:13.904]  Well again, it's not that this film is going to save the world or your other films will or my films will.
[01:17:14.124 --> 01:17:23.606]  All of them together will give us a shot at turning this around and that's why the collectivists, the progressives, the authoritarian left
[01:17:24.346 --> 01:17:24.486]  Yes.
[01:17:43.993 --> 01:17:49.234]  But the system is in a race to shut us down, and I think it's important to call out Obama.
[01:17:49.454 --> 01:17:58.976]  You know, Pat Buchanan, who I've known for many years and who I like, Kevin Sorbo joining us first, we just tuned in, he says don't impeach Obama, let all his bad stuff get Republicans elected.
[01:17:59.316 --> 01:18:07.037]  Well, my issue is, you've got to prosecute him, or nobody's scared in government of getting in trouble.
[01:18:08.057 --> 01:18:12.038]  I think we become aids to the evil if we don't say no to it.
[01:18:13.707 --> 01:18:14.768]  Oh, I'm in total agreement.
[01:18:14.828 --> 01:18:18.512]  And on top of that, I'm a big firm believer in term limits.
[01:18:18.612 --> 01:18:19.473]  Why can't we get that?
[01:18:19.533 --> 01:18:24.518]  Why can't we, 315 million people, say no more 40-year terms for these Congress people?
[01:18:24.538 --> 01:18:26.100]  I don't care on both sides of the political aisle.
[01:18:26.400 --> 01:18:28.022]  They get six years max, that's it.
[01:18:28.062 --> 01:18:30.605]  If a president gets eight years max, Congress gets six.
[01:18:30.625 --> 01:18:32.607]  That means they get in there, they get their job done,
[01:18:32.847 --> 01:18:42.020]  And then we've got people like Obama, when something huge happens like this, like yesterday, this crash and this huge border crisis, he's going out and just trying to raise money for the Democratic Party.
[01:18:42.060 --> 01:18:42.680]  It's pathetic.
[01:18:42.981 --> 01:18:43.962]  It's ridiculous.
[01:18:43.982 --> 01:18:47.247]  They've got to raise tens of millions of dollars for a job that pays 200 grand.
[01:18:47.267 --> 01:18:47.948]  So what's going on?
[01:18:48.388 --> 01:18:50.971]  AlongsideNightMovie.com.
[01:18:50.991 --> 01:18:53.313]  We'll tweet it out at RealAlexJones right now.
[01:18:53.373 --> 01:18:55.075]  AlongsideNightMovie.com.
[01:18:55.095 --> 01:18:56.897]  Another independent film exposing tyranny.
[01:18:57.337 --> 01:18:59.159]  Now that you can find out about theaters in your area.
[01:18:59.179 --> 01:19:02.903]  And then if people come see the first few theaters and support it, it'll spread all over the world.
[01:19:03.243 --> 01:19:07.207]  Like God's Not Dead and other films that Kevin Sorbo is involved in.
[01:19:07.488 --> 01:19:08.789]  Kevin, we got 45 seconds.
[01:19:08.829 --> 01:19:09.490]  Closing comment.
[01:19:11.233 --> 01:19:13.394]  Um, you know, people gotta wake up.
[01:19:13.454 --> 01:19:17.816]  I mean, the trouble is, so many people don't pay attention to what's going on in the world, and they don't care.
[01:19:17.836 --> 01:19:20.517]  And we need to do something to wake up that populace.
[01:19:20.537 --> 01:19:29.121]  We need to do something to change our public education, because we need people out there to teach kids in schools the way they should be taught, not being brainwashed what our government's doing to them.
[01:19:29.721 --> 01:19:33.803]  And go watch Long Side Night, and also God's Not Dead comes out August 5th on DVD.
[01:19:33.923 --> 01:19:34.403]  August 5th.
[01:19:34.483 --> 01:19:34.783]  Thank you.
[01:19:34.983 --> 01:19:35.864]  We want to have you back on.
[01:19:35.884 --> 01:19:37.004]  Thanks for spending time with us.
[01:19:37.024 --> 01:19:37.745]  Alright.
[01:19:37.865 --> 01:19:38.305]  Thanks a lot.
[01:19:38.345 --> 01:19:38.605]  You bet.
[01:19:38.625 --> 01:19:39.906]  There goes Kevin Sorbo.
[01:19:39.926 --> 01:19:41.507]  I'm your host, Alex Jones.
[01:19:41.527 --> 01:19:43.308]  We're going back into the border crisis.
[01:19:43.788 --> 01:19:47.110]  Back into the latest with Ukraine and the shot down airliner.
[01:19:47.431 --> 01:19:50.552]  Back on the latest on the NSA and so much more.
[01:19:50.953 --> 01:19:52.293]  Straight ahead, your phone calls 800-259-9231.
[01:19:52.313 --> 01:19:52.354]  800-259-9231.
[01:19:52.374 --> 01:19:53.814]  First time callers, you're up first.
[01:20:02.153 --> 01:20:06.259]  Are you happy doing your laundry with perfume detergents that irritate your skin?
[01:20:06.499 --> 01:20:10.925]  Are you happy washing your hands with stinking fragrances that gives your skin rashes?
[01:20:11.245 --> 01:20:14.650]  Are you happy paying new higher prices for smaller boxes?
[01:20:15.331 --> 01:20:16.813]  Find your happiness today with
[01:20:17.073 --> 01:20:26.544]  Take our 1 to 4 year supply of pure soaps or our 1 to 2 month sampler with bar soap, shampoo, laundry and dish soap at 5starsoap.com.
[01:20:27.184 --> 01:20:28.226]  You deserve the best.
[01:20:28.706 --> 01:20:31.049]  Happiness is 5starsoap.com.
[01:20:32.090 --> 01:20:32.230]  Call 800-686-2237
[01:21:01.041 --> 01:21:03.323]  What good is a Big Berkey Water Filter?
[01:21:03.943 --> 01:21:07.205]  We get that question a lot here at BigBerkeyWaterFilters.com.
[01:21:07.485 --> 01:21:09.267]  And in a word, the answer is protection.
[01:21:09.647 --> 01:21:18.673]  Protection from water main breaks, E. coli contamination, environmental chemical spills, pesticide runoff, chlorine taste and smell, and all forms of fluoride.
[01:21:18.953 --> 01:21:24.597]  Plus, Big Berkey Water Filters are the original gravity water filter system and most trusted on the market for a reason.
[01:21:24.937 --> 01:21:30.921]  Tested by multiple independent NSF EPA certified labs, they are the gold standard in water purification.
[01:21:31.281 --> 01:21:35.743]  At only 1.7 cents a gallon, a single set of filters can last for 5 to 10 years.
[01:21:36.123 --> 01:21:37.584]  That means big savings.
[01:21:37.904 --> 01:21:38.504]  Big Berkey.
[01:21:38.745 --> 01:21:42.086]  The one that's powerful enough to purify stagnant pond water.
[01:21:42.346 --> 01:21:45.308]  Get a Big Berkey today at BigBerkeyWaterFilters.com.
[01:21:45.568 --> 01:21:48.989]  GCN listeners receive 5% off all ceramic filter systems.
[01:21:49.289 --> 01:21:50.950]  Visit our website or call 1-877-99-BERKEY.
[01:21:50.970 --> 01:21:51.470]  That's 877-99-BERKEY.
[01:21:51.490 --> 01:21:52.291]  Big Berkey Water Filters.
[01:21:52.331 --> 01:21:53.191]  For the love of clean water.
[01:22:01.013 --> 01:22:03.577]  Alex Jones here for InfoWars.com.
[01:22:03.797 --> 01:22:08.463]  In the month of July, we have got giant specials on everything at Madein1776.com.
[01:22:08.483 --> 01:22:10.646]  The already discounted Made in 1776 t-shirts are only $17.76.
[01:22:15.933 --> 01:22:16.213]  I think?
[01:22:35.990 --> 01:22:43.235]  Five months free right now when you get a membership at PrisonPlanet.tv for a limited time, only $39.95 a year.
[01:22:43.515 --> 01:22:47.018]  That's more than five months free off the regular price.
[01:22:47.358 --> 01:22:53.582]  Not just this July 4th weekend, but the entire month of July at MadeIn1776.com.
[01:22:53.962 --> 01:22:59.006]  Molon Labe, you can take my gun from my cold, dead hands.
[01:23:00.336 --> 01:23:03.938]  Get the most important package of information you'll ever receive in your life for only $10.
[01:23:04.058 --> 01:23:14.804]  The package includes three books and seven DVD programs which cover biblical miracles and prophecy, The Shroud of Turin, The Third Secret of Fatima, What Really Happened to the Catholic Church, and more.
[01:23:14.984 --> 01:23:15.285]  Call 800-513-0029.
[01:23:15.325 --> 01:23:15.525]  That's 800-513-0029.
[01:23:15.585 --> 01:23:16.645]  Or go to VaticanCatholic.com.
[01:23:16.685 --> 01:23:17.486]  That's VaticanCatholic.com.
[01:23:17.506 --> 01:23:17.546]  800-513-0029.
[01:23:17.566 --> 01:23:17.966]  VaticanCatholic.com.
[01:23:30.313 --> 01:23:35.235]  Gentlemen, in search of a million-dollar smile that'll make them take notice, I mean really get their attention?
[01:23:35.615 --> 01:23:36.516]  Then get the mud!
[01:23:36.976 --> 01:23:37.936]  My Magic Mud!
[01:23:38.377 --> 01:23:42.899]  The fluoride-free whitener with no chemicals, additives, GMOs, or bad taste.
[01:23:43.319 --> 01:23:44.279]  And safe to swallow.
[01:23:44.740 --> 01:23:50.322]  My Magic Mud detoxifies, reduces sensitivity, cleans and strengthens your teeth while it whitens.
[01:23:50.722 --> 01:23:53.163]  Comes as a powder for pure whitening power.
[01:23:53.543 --> 01:23:55.544]  Start looking good for that special someone.
[01:23:55.925 --> 01:23:56.965]  Get the mud now!
[01:23:57.345 --> 01:23:58.506]  MyMagicMud.com
[01:24:20.895 --> 01:24:23.777]  There must be some kind of way out of here.
