[00:00:18.888 --> 00:00:21.751]  Welcome to this live edition of the InfoWars Nightly News.
[00:26:28.689 --> 00:26:32.410]  But not in the context of a non-violent protest.
[00:26:32.470 --> 00:26:42.772]  In fact, using dogs for crowd control is operationally, substantively, and from an image point of view, about the worst thing you can do.
[00:26:42.852 --> 00:26:54.555]  He said we should have learned that lesson as an institution back in the 1960s in Birmingham, Alabama, when Bull Connor unleashed his police dogs on non-violent civil rights demonstrators.
[00:26:54.955 --> 00:26:59.357]  He was essentially saying to those peaceful, protesting Americans, you are the enemy.
[00:26:59.397 --> 00:27:09.161]  We've been told that we are the enemy in a gazillion different ways, haven't we, by the Homeland Security purchases, and of course, just as we did back in April when
[00:27:10.382 --> 00:27:12.024]  Joe Biggs and I were in Virginia.
[00:27:12.084 --> 00:27:24.356]  We walked through an American town that they had built so they could practice their militarized police force or their counterinsurgency techniques by the Asymmetric Warfare Center.
[00:27:24.516 --> 00:27:26.278]  This is the Army doing this.
[00:27:26.698 --> 00:27:32.840]  Setting up this for training police as well as for training Army to tell the American people you are the enemy.
[00:27:32.940 --> 00:27:47.505]  If you can't see that you're the enemy based on all of their scenarios, all of their purchases, all of their training facilities, and now based on these actual things that they did last night, I don't know what it takes to get the American people to see this.
[00:27:47.805 --> 00:27:49.746]  Right, the terrorists are us.
[00:27:49.967 --> 00:27:57.372]  Anyone that might stand up to their tyranny is seen as the actual threat to their national interest.
[00:27:57.412 --> 00:28:00.174]  It's not our national interest anymore.
[00:28:00.354 --> 00:28:01.474]  Now it's theirs.
[00:28:02.115 --> 00:28:06.058]  And we're told, just like Obama is saying, he wants to de-escalate everything.
[00:28:06.118 --> 00:28:07.719]  So let's everybody just get along.
[00:28:07.759 --> 00:28:08.940]  We've made mistakes on both sides.
[00:28:08.960 --> 00:28:10.421]  Let's everybody just go back.
[00:28:11.001 --> 00:28:17.206]  Put your feet up, watch a ball game, have some brew or something, just calm down and don't do anything.
[00:28:17.807 --> 00:28:19.348]  I don't think that's the answer.
[00:28:20.329 --> 00:28:23.332]  When I go back and look at this, it was years ago, and I want to read this.
[00:28:23.352 --> 00:28:27.856]  This is something that we have this quote from Pastor Martin Niemoller all the time.
[00:28:27.916 --> 00:28:29.898]  He said, first I came for this group, I didn't do anything.
[00:28:30.218 --> 00:28:32.780]  And there is certainly an element, and Rand Paul made that clear.
[00:28:32.800 --> 00:28:35.622]  He said, if you don't see that this is coming after the black community,
[00:28:36.263 --> 00:28:38.845]  Disproportionately, the rest of them, you're not paying attention.
[00:28:39.145 --> 00:28:39.425]  Okay?
[00:28:39.746 --> 00:28:41.327]  So we talk about that quote all the time.
[00:28:41.367 --> 00:28:42.508]  Everybody's very familiar with that.
[00:28:42.848 --> 00:28:47.491]  You may not be familiar with the quote from the Stuttgart Declaration.
[00:28:47.992 --> 00:28:53.215]  He said, and this is what Pastor Martin Niemöller, the guy who said, first they came for that group, I didn't do anything.
[00:28:53.255 --> 00:28:55.037]  They come for that group, I didn't do anything.
[00:28:55.317 --> 00:28:57.058]  Then they came for me and there was nobody to help me.
[00:28:57.739 --> 00:29:00.421]  After the war, he got a lot of churches together and he says,
[00:29:01.201 --> 00:29:03.682]  He wrote up a confession for them to sign.
[00:29:03.722 --> 00:29:08.724]  He said, Through us, infinite wrong was brought over many peoples and countries.
[00:29:09.225 --> 00:29:14.847]  That which we often testify to in our communities, we express now in the name of the whole church.
[00:29:15.328 --> 00:29:24.232]  We did fight for long years in the name of Jesus Christ against the mentality that found its awful expression in the Nazis, in a regime of violence.
[00:29:24.352 --> 00:29:28.954]  But we accuse ourselves for not standing to our beliefs more courageously,
[00:29:29.534 --> 00:29:35.722]  For not praying more faithfully, for not believing more joyously, and for not loving more ardently.
[00:29:35.742 --> 00:29:37.504]  You know, that bothers me.
[00:29:37.805 --> 00:29:40.388]  Because that's what the church is not doing today.
[00:29:40.808 --> 00:29:44.934]  I don't see people, there shouldn't have just been black people coming out there protesting last night.
[00:29:45.234 --> 00:29:47.115]  They should have had the entire town out there.
[00:29:47.436 --> 00:29:56.241]  If we can put ourselves at risk trying to help people in Africa who are suffering from Ebola, why can't we stop this cancer in our country?
[00:29:56.302 --> 00:30:01.505]  Why can't we stand up and have the courage to get out there and do something as a church?
[00:30:02.065 --> 00:30:11.011]  The people who are the moral leaders of our community should be going out there and standing up and saying, you're not going to turn our country into a militarized hellhole.
[00:30:11.171 --> 00:30:13.513]  We're not going to let you do that to our families, to our country.
[00:30:13.533 --> 00:30:14.874]  We're not going to let you destroy this.
[00:30:15.034 --> 00:30:17.176]  Right, these are all Americans there.
[00:30:17.536 --> 00:30:28.924]  We're all Americans together and that's the divide and conquer tactic they try with this racial tension so that we won't have sympathy or empathy if we're not the same color as whoever is fighting the battle.
[00:30:29.525 --> 00:30:39.472]  You know, you can see the racial bias there when the mainstream media was reporting yesterday and they were just continuing to push this point about how Michael Brown had no criminal background.
[00:30:40.202 --> 00:30:40.402]  Yes.
[00:30:40.842 --> 00:30:47.745]  Okay, so if he had a criminal background, would that justify the police officer shooting him unarmed, allegedly?
[00:30:47.765 --> 00:30:49.406]  Yes.
[00:30:49.486 --> 00:31:04.732]  And the original versions that I saw of this in the local news, from the police standpoint, we heard a very different story from the eyewitnesses, but from the police standpoint, he tried to arrest him, there was a struggle, a shot went off, but then he ran away.
[00:31:05.592 --> 00:31:15.276]  As he's running away back to the officer with his hands in the air, and the officer shoots him multiple times, that by any rules of engagement should be murder.
[00:31:15.316 --> 00:31:20.658]  They ought to clear the decks on all of their court cases, move this to the very front,
[00:31:21.098 --> 00:31:21.959]  Accelerate this.
[00:31:22.039 --> 00:31:27.704]  I know that the officer who's there needs to have his day in court as well, but they need to start that process.
[00:31:27.744 --> 00:31:28.744]  They need to be open about it.
[00:31:29.025 --> 00:31:34.149]  They need to not be confiscating the recordings of that from eyewitnesses.
[00:31:34.229 --> 00:31:38.312]  That tells people that there's not going to be a good day, an honest day in court.
[00:31:38.332 --> 00:31:38.773]  Right.
[00:31:39.133 --> 00:31:40.534]  Now, there is some hope.
[00:31:40.834 --> 00:31:41.634]  There is some hope.
[00:31:41.674 --> 00:31:45.916]  We had a program sheriff that we have interviewed here at the Nightly News.
[00:31:46.356 --> 00:31:48.057]  We also had him on the radio program.
[00:31:48.157 --> 00:31:50.838]  This is Sheriff David Clark from Milwaukee County.
[00:31:51.238 --> 00:31:52.278]  He was running for re-election.
[00:31:52.318 --> 00:32:00.722]  Now, this is a primary in the Democrat primary, and there's no Republican in the race, so essentially the winner of this primary last night is the winner by default.
[00:32:01.741 --> 00:32:09.948]  This was a situation because he is pro-gun, because he ran a commercial, and this is one of the reasons why we had him on the radio show.
[00:32:10.448 --> 00:32:13.211]  He ran a commercial and he said, I'm Sheriff David Clark.
[00:32:13.791 --> 00:32:16.673]  I want to talk to you about something personal, your safety.
[00:32:17.214 --> 00:32:18.855]  It's no longer a spectator sport.
[00:32:19.215 --> 00:32:20.557]  I need you in the game.
[00:32:20.657 --> 00:32:21.157]  Are you ready?
[00:32:21.838 --> 00:32:27.142]  With officers laid off and furloughed, simply calling 911 and waiting is no longer your best option.
[00:32:27.162 --> 00:32:27.622]  We're good to go.
[00:32:48.334 --> 00:32:48.634]  Great.
[00:32:49.415 --> 00:32:50.756]  What happened in response to that?
[00:32:51.477 --> 00:32:56.842]  Well, Bloomberg's gun control group ran massive ads to defeat him.
[00:32:57.263 --> 00:33:03.329]  They spent half a million dollars to defeat him in a sheriff's race, in a county sheriff's race.
[00:33:03.649 --> 00:33:08.714]  They spent more money than David Clark and his opponent spent combined.
[00:33:09.475 --> 00:33:10.215]  And they lost.
[00:33:11.072 --> 00:33:12.813]  Bloomberg just doesn't get it.
[00:33:12.873 --> 00:33:24.856]  You may have seen this commercial that we played on the nightly news where the Bloomberg organization started out with a violent knock at the door and a lady on the phone trying to call 9-1-1 and the guy breaks in.
[00:33:25.136 --> 00:33:27.337]  Then he grabs the baby and a struggle starts.
[00:33:27.757 --> 00:33:31.038]  And you're looking at this and saying, 9-1-1 can't help you.
[00:33:31.078 --> 00:33:32.859]  That's what the sheriff was telling these people.
[00:33:33.459 --> 00:33:41.645]  It's good to see that we have honest sheriffs, and it's good to see that they are being supported by the people there, that they defeated Bloomberg in this.
[00:33:42.305 --> 00:33:48.249]  Absolutely, and it is always when things like this sort of bubble up to the surface, there are good things coming out of this.
[00:33:48.790 --> 00:33:57.696]  Obviously, the fact that America has an over-militarized police force has now come into the collective consciousness of America.
[00:33:57.736 --> 00:34:02.199]  We're seeing Newsweek and CNN and all of the mainstream media are all reporting on
[00:34:02.699 --> 00:34:02.899]  I don't
[00:34:18.072 --> 00:34:18.432]  We're good.
[00:34:34.686 --> 00:34:35.186]  After dark.
[00:34:35.407 --> 00:34:40.789]  And so a lot of the protesters there were asking the reporters to stay last night.
[00:34:40.869 --> 00:34:46.372]  They said, could you stay tonight because after you left is when they started firing the tear gas and everything.
[00:34:46.412 --> 00:34:48.193]  So this time the reporters stayed.
[00:34:48.673 --> 00:34:55.156]  And so it appears that that's, you know, what the police were hoping for is to just wait until their nine o'clock curfew.
[00:34:55.376 --> 00:34:56.357]  But it's not martial law.
[00:34:56.617 --> 00:34:57.778]  Nothing's been declared yet.
[00:34:57.798 --> 00:34:58.178]  Right.
[00:34:58.558 --> 00:34:59.258]  Just follow their rules.
[00:34:59.278 --> 00:34:59.558]  Semantics.
[00:34:59.799 --> 00:35:00.019]  Yeah.
[00:35:00.299 --> 00:35:00.479]  Right.
[00:35:00.859 --> 00:35:04.262]  Well, we have a report showing what happened yesterday.
[00:35:04.302 --> 00:35:15.991]  We want to show you what it looked like during the day, and we want to show you what it looked like at night, and then we're going to come back and go to our reporters who are live there tonight and talk about how things have changed in the last 24 hours.
[00:35:16.031 --> 00:35:17.251]  Here are those reports.
[00:35:19.713 --> 00:35:26.198]  Look, okay, now it looks like to me this guy is aiming a gun right at the area where Joe Biggs is at.
[00:35:27.499 --> 00:35:29.561]  Look at this guy.
[00:35:30.549 --> 00:35:32.310]  And look at this guy, too.
[00:35:32.330 --> 00:35:36.693]  Look, they follow the line of sight here.
[00:35:40.516 --> 00:35:41.277]  And this is what they do.
[00:35:44.939 --> 00:35:45.279]  Yeah.
[00:35:45.319 --> 00:35:46.821]  Oh, here they go!
[00:35:47.421 --> 00:35:49.122]  Here they go!
[00:35:49.142 --> 00:35:49.502]  Right here!
[00:35:49.522 --> 00:35:49.623]  Look!
[00:35:49.683 --> 00:35:49.903]  Look!
[00:35:49.943 --> 00:35:51.544]  Here we go!
[00:35:51.644 --> 00:35:52.565]  Here we go!
[00:35:52.765 --> 00:35:53.065]  Look!
[00:35:53.605 --> 00:35:57.088]  And I can leave my boy Joe over here by himself.
[00:35:58.008 --> 00:35:59.770]  I'm gonna get over here with him.
[00:36:02.706 --> 00:36:04.428]  As you can see they are
[00:36:25.293 --> 00:36:28.555]  Moving in numbers and starting to forcefully push people back.
[00:36:28.615 --> 00:36:31.097]  Hey Joe, why don't you tell these guys one of your military stories?
[00:36:31.297 --> 00:36:32.578]  This is sidewalk.
[00:36:32.898 --> 00:36:34.419]  I'm on the sidewalk.
[00:36:34.739 --> 00:36:35.760]  I'm on the sidewalk.
[00:36:45.083 --> 00:36:47.344]  And like I said, inch by inch, this is how you take your rights.
[00:36:47.904 --> 00:36:50.044]  First, you can protest in the daytime.
[00:36:50.064 --> 00:36:51.425]  Now you can't protest in the daytime.
[00:36:51.685 --> 00:36:52.965]  Then you can protest on the sidewalk.
[00:36:53.005 --> 00:36:54.346]  Now you can't protest on the sidewalk.
[00:36:54.626 --> 00:36:55.666]  Now you can protest over here.
[00:36:55.686 --> 00:36:56.686]  Now you can't stand over here.
[00:36:56.986 --> 00:36:58.407]  Now you gotta walk all the way down the street.
[00:37:01.207 --> 00:37:02.128]  Can I go back that way?
[00:37:03.408 --> 00:37:05.128]  Okay, so they're telling me I can't go back that way.
[00:37:05.609 --> 00:37:05.869]  Alright.
[00:37:08.789 --> 00:37:09.650]  I mean, for how long?
[00:37:09.750 --> 00:37:10.870]  When is the street gonna be open?
[00:37:12.090 --> 00:37:14.211]  I mean, when's it gonna- I mean, is it gonna be open tomorrow or what?
[00:37:20.799 --> 00:37:21.480]  What's your name, sir?
[00:37:21.520 --> 00:37:22.241]  I'll be happy to move.
[00:37:22.261 --> 00:37:22.781]  Tell me your name.
[00:37:24.503 --> 00:37:25.825]  Sir, sir, I'll be happy to leave.
[00:37:25.845 --> 00:37:26.485]  Just tell me your name.
[00:37:26.686 --> 00:37:27.547]  Just tell me your name, sir.
[00:37:29.113 --> 00:37:31.614]  Okay, so this officer is refusing to tell me his name.
[00:37:31.995 --> 00:37:34.296]  I told him I'd be happy to comply, but he won't tell me his name.
[00:37:34.736 --> 00:37:37.838]  And that's the kind of accountability that you get in Police State USA.
[00:37:38.038 --> 00:37:40.039]  Now, Joe Biggs, this officer just ordered me to move.
[00:37:40.119 --> 00:37:40.960]  I was going to be arrested.
[00:37:41.240 --> 00:37:43.361]  I said, Officer, I'd be happy to move if you only tell me your name.
[00:37:43.962 --> 00:37:44.862]  And now they won't tell me my name.
[00:37:44.882 --> 00:37:45.542]  Or tell me his name.
[00:37:45.562 --> 00:37:46.163]  My car's over there!
[00:37:54.502 --> 00:37:55.462]  My car is over there.
[00:37:55.482 --> 00:37:56.683]  Alright, hands up, don't shoot.
[00:37:57.023 --> 00:37:57.543]  Alright.
[00:37:58.003 --> 00:37:58.584]  I'm going that way.
[00:37:58.604 --> 00:37:58.944]  Alright.
[00:37:59.364 --> 00:38:00.524]  Thank you, sir, for having a cool head.
[00:38:00.544 --> 00:38:01.245]  This guy's pushing me.
[00:38:01.285 --> 00:38:02.145]  Take your hands off me, sir.
[00:38:02.405 --> 00:38:03.306]  Take your hands off me, sir.
[00:38:03.346 --> 00:38:04.446]  I'll be happy to move.
[00:38:04.466 --> 00:38:06.447]  See, why do you guys keep talking?
[00:38:06.547 --> 00:38:07.387]  I'm walking this way.
[00:38:07.447 --> 00:38:09.188]  Walk in front of the police officer.
[00:38:09.688 --> 00:38:09.968]  Hey.
[00:38:12.769 --> 00:38:13.690]  Hey, hands up, don't shoot.
[00:38:13.950 --> 00:38:14.350]  Mind up.
[00:38:14.490 --> 00:38:14.770]  Alright.
[00:38:14.850 --> 00:38:15.631]  Get back to school.
[00:38:15.971 --> 00:38:18.792]  Alright, so this is what happens.
[00:38:22.433 --> 00:38:23.194]  Where do we have to go?
[00:38:23.214 --> 00:38:23.574]  To Canada?
[00:38:24.318 --> 00:38:25.138]  Golly, man.
[00:38:26.099 --> 00:38:27.500]  I gotta walk back to Austin now?
[00:38:27.580 --> 00:38:28.380]  I mean, what's the deal?
[00:38:29.460 --> 00:38:30.141]  I'm walking!
[00:38:30.861 --> 00:38:34.883]  You guys know your kids live here too, right?
[00:38:35.463 --> 00:38:40.846]  And then if your kids come out and protest for something they care about, then there's gonna be a bunch of people marching in down the street.
[00:38:40.986 --> 00:38:42.366]  I'm walking!
[00:38:42.406 --> 00:38:43.987]  I'm looking to be seen, man!
[00:38:44.688 --> 00:38:45.488]  I'm moving right now.
[00:38:45.848 --> 00:38:46.288]  Golly.
[00:38:55.964 --> 00:38:57.484]  So you see how these guys keep bullying you?
[00:38:58.024 --> 00:38:59.025]  This is how they just keep doing it.
[00:38:59.645 --> 00:39:04.686]  And once again, I understand that not every cop is bad, not every cop endorses this type of behavior.
[00:39:05.126 --> 00:39:07.767]  But you saw these guys, they're putting their hands on me, they're pushing me around.
[00:39:08.487 --> 00:39:12.148]  They got heavy armor, I'm not even armed.
[00:39:12.628 --> 00:39:14.328]  And this is how they do it.
[00:39:14.368 --> 00:39:15.609]  We are peaceful!
[00:39:18.167 --> 00:39:21.148]  These guys are cowards.
[00:39:21.508 --> 00:39:22.288]  This is ridiculous.
[00:39:22.308 --> 00:39:23.848]  Yeah, I do agree with that 100%.
[00:39:23.888 --> 00:39:24.489]  We got some cowards.
[00:39:24.529 --> 00:39:25.809]  It's not illegal to protest.
[00:39:25.829 --> 00:39:27.389]  They're inciting a riot.
[00:39:27.409 --> 00:39:31.210]  They want to stand out here and protest and then they should live.
[00:39:43.693 --> 00:39:47.214]  Oh, so Joe, they put us back in the same choke point.
[00:39:47.314 --> 00:39:51.235]  You see, this is the choke point that they had yesterday with the barricades on both sides.
[00:39:51.916 --> 00:39:53.416]  So they got exactly what they wanted.
[00:39:53.456 --> 00:39:55.337]  This is what the plan was the entire time.
[00:39:56.417 --> 00:39:58.198]  This is what the plan was the entire time.
[00:39:59.318 --> 00:40:00.779]  You must leave the roadway.
[00:40:03.640 --> 00:40:04.560]  Take the roadway.
[00:40:05.221 --> 00:40:06.601]  It's not the proper option.
[00:40:07.561 --> 00:40:08.702]  You must leave the roadway.
[00:40:09.636 --> 00:40:10.597]  Yeah, we're out of the street.
[00:40:10.677 --> 00:40:12.019]  Yeah, we're out of the street.
[00:40:12.300 --> 00:40:18.548]  Alright, so as you can see, myself, Joe Biggs, Staff Sergeant, all on the street, all on the sidewalk, around them.
[00:40:18.768 --> 00:40:21.131]  And you see there, there they are right there.
[00:40:22.153 --> 00:40:22.793]  Right there.
[00:40:33.727 --> 00:40:38.711]  Hey, that guy's aiming a gun at me.
[00:40:38.811 --> 00:40:46.396]  I don't know if that guy's aiming a gun at me, but it definitely looks like he's pretty close there.
[00:40:53.385 --> 00:40:57.368]  Look at the peaceful protesters, the majority of which are on the sidewalk.
[00:40:57.388 --> 00:40:59.990]  You've got a few guys standing in the streets, just barely in the streets.
[00:41:00.531 --> 00:41:02.192]  Now we're back at the exact same spot.
[00:41:02.232 --> 00:41:02.332]  Yeah.
[00:41:02.352 --> 00:41:04.554]  Don't throw items of any kind.
[00:41:04.814 --> 00:41:11.119]  Throwing items may result in arrest.
[00:41:12.020 --> 00:41:12.940]  Real tough guys.
[00:41:13.000 --> 00:41:15.843]  May result in injury to unintended persons.
[00:41:15.883 --> 00:41:19.446]  Do not throw items of any kind.
[00:41:20.848 --> 00:41:22.209]  Nobody's throwing anything.
[00:41:22.249 --> 00:41:22.690]  Exactly.
[00:41:22.770 --> 00:41:23.991]  Look at the guy.
[00:41:24.752 --> 00:41:29.896]  Look at him.
[00:41:29.937 --> 00:41:31.798]  He got a good shot on him today.
[00:41:37.644 --> 00:41:39.025]  Can you stop aiming that thing, bro?
[00:41:48.351 --> 00:41:49.052]  They're good.
[00:41:49.112 --> 00:41:54.699]  They can't beat you.
[00:41:54.799 --> 00:41:58.904]  Ain't nobody better than you.
[00:41:59.064 --> 00:42:02.167]  Anybody can beat you.
[00:42:03.311 --> 00:42:04.311]  I gotta move again?
[00:42:04.532 --> 00:42:09.954]  Come on down.
[00:42:10.034 --> 00:42:12.935]  Okay, so this guy just walked up to him and said he's too close to him.
[00:42:12.975 --> 00:42:14.396]  What kind of sense does that make?
[00:42:14.876 --> 00:42:17.057]  Yo, this is a protest.
[00:42:17.197 --> 00:42:19.378]  It's not a legal protest.
[00:42:21.919 --> 00:42:23.519]  I'm not in the street.
[00:42:23.559 --> 00:42:25.360]  You shouldn't even be talking, bro.
[00:42:25.560 --> 00:42:26.801]  That ain't your job to talk.
[00:42:27.761 --> 00:42:28.761]  You shouldn't even be talking.
[00:42:28.961 --> 00:42:29.882]  You already know that.
[00:42:35.844 --> 00:42:49.150]  Alright, here we are.
[00:42:49.170 --> 00:42:51.131]  Frontlines of the Info War.
[00:42:51.951 --> 00:42:54.052]  Joe Biggs, Josh Owens is standing right behind me.
[00:42:54.092 --> 00:42:55.313]  Josh is on the other side of the street.
[00:42:55.333 --> 00:42:57.874]  I don't know if my other lights are beaming him out, but there he is over there.
[00:42:58.354 --> 00:42:59.234]  There's Joe right there.
[00:42:59.254 --> 00:43:00.175]  Frontlines.
[00:43:01.889 --> 00:43:02.609]  And here we are.
[00:43:03.010 --> 00:43:09.793]  And I don't have anything against the police, but when I see police aim snipers at peaceful protesters, I don't understand why that has to happen.
[00:43:14.335 --> 00:43:14.996]  I'm sure they do.
[00:43:16.016 --> 00:43:16.596]  I'm sure they do.
[00:43:16.616 --> 00:43:17.757]  They get to play soldier boy.
[00:43:19.358 --> 00:43:23.160]  You can walk up to a black man and shoot him in his head like that?
[00:43:23.940 --> 00:43:24.720]  That's fucked up.
[00:43:24.920 --> 00:43:25.861]  And real fucked up.
[00:43:27.182 --> 00:43:29.003]  Couldn't have been mine, though.
[00:43:29.023 --> 00:43:32.604]  Ferguson already knows Johnson don't play out here.
[00:43:32.684 --> 00:43:34.805]  Been out here since what?
[00:43:34.825 --> 00:43:35.425]  1967, goddamnit.
[00:43:35.445 --> 00:43:37.326]  Alright, more reports coming.
[00:43:37.826 --> 00:43:39.147]  InfoWars.com.
[00:43:39.807 --> 00:43:41.768]  Corey Jackson, InfoWars.com.
[00:43:42.028 --> 00:43:46.549]  Some moron decided to throw a bottle, and now the police are popping smoke.
[00:43:46.990 --> 00:43:50.431]  As you see, I had to rush to get my camera out, but this is the scene right now.
[00:43:52.807 --> 00:44:00.053]  So the police are out there popping smoke, and because, you know, just one guy, you know, you got a freaking army over here, but one guy... One guy threw a bottle.
[00:44:00.093 --> 00:44:02.095]  Yeah, and now... And now it's all hell, basically.
[00:44:02.115 --> 00:44:03.456]  Yo, you can't have a First Amendment.
[00:44:03.537 --> 00:44:07.480]  Instead of coming back here and trying to get that one guy, you know, nobody can be out here.
[00:44:08.081 --> 00:44:09.982]  So... You must disperse immediately.
[00:44:10.623 --> 00:44:12.344]  The long, hard cock of the law.
[00:44:12.544 --> 00:44:12.845]  Yeah.
[00:44:12.865 --> 00:44:14.746]  So this is the situation out here.
[00:44:15.467 --> 00:44:21.872]  Like I said, a largely peaceful crowd of 99.9% of people are peaceful.
[00:44:22.392 --> 00:44:27.556]  But because one dude decides to throw something, now they have a reason to end everybody's First Amendment.
[00:44:27.576 --> 00:44:28.937]  They haven't broke the line at least.
[00:44:29.517 --> 00:44:31.839]  They've dispersed our protest effectively now.
[00:44:32.079 --> 00:44:33.680]  With four cans of smoke.
[00:44:36.786 --> 00:44:38.047]  At least it hasn't gotten violent yet.
[00:44:38.287 --> 00:44:40.429]  That's good.
[00:44:40.469 --> 00:44:45.252]  Yeah, we had to move back, but it's a shame.
[00:44:46.413 --> 00:44:47.734]  So now they're going to put it out.
[00:44:47.854 --> 00:44:52.397]  They're going to say, well, you see, because one guy threw a bottle, that's why you can't have people peacefully protest.
[00:44:53.037 --> 00:44:54.178]  I mean, like, you got a freaking arm.
[00:44:54.278 --> 00:44:55.699]  I mean, can you get that one guy?
[00:44:55.739 --> 00:44:56.920]  I mean, if it's that big of an issue.
[00:44:56.960 --> 00:44:59.282]  That one guy, that's not my constitutional rights.
[00:44:59.362 --> 00:45:00.523]  It should be taken away.
[00:45:00.583 --> 00:45:00.783]  Yeah.
[00:45:01.944 --> 00:45:03.765]  All right, so we'll see what the vows.
[00:45:03.805 --> 00:45:05.086]  Right now they are holding the line.
[00:45:05.106 --> 00:45:06.067]  They are staying back there.
[00:45:07.037 --> 00:45:10.101]  So we'll see what develops here, coming up soon.
[00:45:10.382 --> 00:45:12.164]  More reports, InfoWars.com.
[00:45:12.945 --> 00:45:17.551]  Live from Ferguson, Missouri, getting little parts out here.
[00:45:17.571 --> 00:45:21.236]  We've been out here for a long time, but you see people have moved back.
[00:45:21.997 --> 00:45:23.237]  So stay tuned for more reports.
[00:45:23.317 --> 00:45:25.438]  You must leave the entire area.
[00:45:25.778 --> 00:45:27.778]  Oh, now I got to leave the entire area?
[00:45:27.858 --> 00:45:29.138]  Fuck you.
[00:45:29.599 --> 00:45:32.339]  The peaceful assembly is no longer peaceful.
[00:45:32.879 --> 00:45:37.480]  You must return to your vehicles or return to your homes.
[00:45:37.520 --> 00:45:39.301]  So there you go again, the curfew.
[00:45:39.361 --> 00:45:41.021]  You got to go home, right?
[00:45:41.121 --> 00:45:42.221]  Subject to arrest.
[00:45:42.561 --> 00:45:44.182]  You must leave the area.
[00:45:45.062 --> 00:45:48.442]  So, so a block away because one guy threw a bottle.
[00:45:49.023 --> 00:45:50.723]  Now we can't have a First Amendment.
[00:45:54.400 --> 00:45:55.641]  And these guys are throwing tear gas.
[00:45:56.201 --> 00:45:59.083]  You will be subject to arrest if you fail to comply.
[00:46:00.864 --> 00:46:03.985]  And you will have a constitutional case on your hands!
[00:46:04.265 --> 00:46:07.647]  I mean, how can they feel threatened when you're... Look how far we are from them.
[00:46:07.687 --> 00:46:10.429]  Look, here are my feet, here's this guy's feet I've been talking to.
[00:46:10.449 --> 00:46:11.249]  We're good 200 feet away.
[00:46:11.409 --> 00:46:15.371]  Yeah, and the guy said we walked a block away, and I mean, or a block away from these guys.
[00:46:15.712 --> 00:46:19.554]  Now this is a completely constitution-free zone because one guy threw a bottle.
[00:46:20.294 --> 00:46:20.594]  One person.
[00:46:20.814 --> 00:46:21.154]  One person.
[00:46:21.474 --> 00:46:21.835]  One person.
[00:46:22.455 --> 00:46:23.875]  And that's how it happens.
[00:46:24.395 --> 00:46:26.616]  They have a complete army back there.
[00:46:26.956 --> 00:46:28.237]  And you say, what do you mean army?
[00:46:28.417 --> 00:46:31.117]  We counted before, they have at least 70 guys in heavy armor.
[00:46:31.798 --> 00:46:34.258]  I mean, that's a pretty good invasion force.
[00:46:34.278 --> 00:46:38.360]  Some of the guys, they seem to go get Bin Laden, if you believe everything about that story, but that's a whole other issue.
[00:46:38.840 --> 00:46:40.100]  So, yeah.
[00:46:40.520 --> 00:46:41.221]  That's what happened.
[00:46:42.821 --> 00:46:44.562]  And here come some people, peaceful people.
[00:46:45.182 --> 00:46:47.683]  They're just trying to get out the Constitution Free Zone.
[00:46:52.037 --> 00:46:53.998]  Yeah, just some journalists.
[00:46:54.298 --> 00:46:55.098]  They had to get their gear.
[00:47:00.179 --> 00:47:02.340]  Yeah.
[00:47:03.060 --> 00:47:06.901]  Yeah, pretty much.
[00:47:07.321 --> 00:47:13.062]  So yeah, just like the guy said, you know, we're still here, but a lot of the media is falling even further back.
[00:47:13.342 --> 00:47:16.603]  So I would not be surprised at all if these guys start advancing at this point.
[00:47:17.441 --> 00:47:20.424]  You must return to your vehicles or return to your homes.
[00:47:20.864 --> 00:47:23.467]  You may no longer be in the area.
[00:47:23.927 --> 00:47:24.428]  Why not?
[00:47:24.448 --> 00:47:26.270]  It is no longer a peaceful protest.
[00:47:26.330 --> 00:47:27.251]  Yes it is!
[00:47:27.331 --> 00:47:28.952]  You are not peacefully assembling.
[00:47:29.132 --> 00:47:29.673]  Yes I am!
[00:47:29.853 --> 00:47:31.995]  Oh my god, any excuse bro?
[00:47:32.215 --> 00:47:32.776]  Any excuse?
[00:47:32.796 --> 00:47:34.237]  I am peacefully protesting!
[00:47:34.257 --> 00:47:37.020]  You must leave the area immediately.
[00:47:37.601 --> 00:47:39.943]  Return to your vehicles, return to your homes.
[00:47:41.044 --> 00:47:41.805]  Better to do so
[00:47:42.600 --> 00:47:44.121]  We'll subject you to arrest.
[00:47:44.601 --> 00:47:45.602]  I hope it's worth it!
[00:47:45.682 --> 00:47:48.203]  You must leave the area immediately.
[00:47:49.264 --> 00:47:51.245]  So this is pretty much, I guess, the front line now.
[00:47:51.305 --> 00:47:52.285]  Me and my guy over here.
[00:47:52.565 --> 00:47:54.106]  The Infant Wars crew is close behind.
[00:47:54.526 --> 00:47:57.188]  But yeah, we're right up here, still on the front lines.
[00:47:58.476 --> 00:48:00.679]  They're back there, the crew's back there getting a few interviews.
[00:48:01.340 --> 00:48:04.465]  But yeah, they're trying to find out what's going on, how people feel about one guy.
[00:48:04.966 --> 00:48:05.527]  Just one guy.
[00:48:05.627 --> 00:48:09.993]  I mean, you got 70 plus guys, heavy armor, snipers on the hoods.
