[00:00:19.571 --> 00:00:25.374]  Welcome to InfoWars Nightly News and this vitally important Thursday edition.
[00:28:03.187 --> 00:28:05.948]  ...and stakeholders from a broad spectrum of American society.
[00:28:05.988 --> 00:28:07.428]  That process is ongoing.
[00:28:07.788 --> 00:28:11.749]  Alarms of Ebola infiltrating the wide open and unprepared U.S.
[00:28:11.809 --> 00:28:13.509]  southern border have been numerous.
[00:28:13.529 --> 00:28:18.450]  The immediate thing that really keeps me up awake at night, and I'll tell you, it's the Ebola issue.
[00:28:21.051 --> 00:28:31.613]  By the end of the year, it's supposed to be, by the CDC and World Health and all their estimates, 1.4 million people will have been infected by Ebola.
[00:28:32.663 --> 00:28:35.628]  And probably 62% or something like that will have died.
[00:28:35.668 --> 00:28:37.090]  That's the percentage.
[00:28:37.130 --> 00:28:37.791]  That's horrific.
[00:28:38.091 --> 00:28:41.276]  There's no way, and we're already seeing it, there's no way you can keep Ebola.
[00:28:42.009 --> 00:28:49.311]  In West Africa, and as hard as we will try to deal with it and snuff it out there, it's going to run its course for some period of time.
[00:28:50.691 --> 00:28:58.994]  If it comes to the Western Hemisphere, many countries in the Western Hemisphere have about no ability to deal with an Ebola outbreak.
[00:28:59.554 --> 00:29:02.855]  So much like Western Africa, it'll rage for some period of time.
[00:29:04.475 --> 00:29:06.336]  Particularly if it gets to a place like Haiti,
[00:29:07.589 --> 00:29:15.752]  Or if it gets to Central America, there's almost no reason to stay in Guatemala, El Salvador, or Honduras.
[00:29:15.772 --> 00:29:19.073]  There's very few job opportunities, no education access.
[00:29:19.873 --> 00:29:24.015]  And if you're a parent, you have a better than even chance of burying your son or daughter.
[00:29:24.762 --> 00:29:27.583]  Long before they grow into middle age.
[00:29:27.603 --> 00:29:29.484]  So there's almost no reason to stay there.
[00:29:30.225 --> 00:29:42.690]  If Ebola breaks out in Haiti or in Central America, I think it is literally Katy bar the door in terms of the mass migration of Central Americans into the United States.
[00:29:43.290 --> 00:29:46.412]  68,000 children essentially wandered across our border this year.
[00:29:46.652 --> 00:29:51.174]  So these populations will move to either run away from Ebola
[00:29:52.388 --> 00:29:58.613]  Or if they have been, or are in the fear of having been infected to get to the United States, will it be taken care of?
[00:29:59.153 --> 00:29:59.994]  So that's one issue.
[00:30:00.374 --> 00:30:03.696]  But the larger issue from a national security point of view is this network.
[00:30:04.897 --> 00:30:15.184]  This network that runs up through my part of the world, through Mexico and into the United States, is very, very decentralized on the one hand, but very, very efficient.
[00:30:15.285 --> 00:30:17.186]  And anything can ride on the network.
[00:30:17.873 --> 00:30:24.514]  We have a lot of West Africans, of the Homeland Security folks doing their work on our southwest border.
[00:30:25.034 --> 00:30:31.856]  Of the number of people they capture, a very large percentage of them are West Africans.
[00:30:31.896 --> 00:30:37.657]  But there were five or six black guys that were there at the border waiting in line to pass into Nicaragua and then on the way north.
[00:30:38.197 --> 00:30:40.618]  And the embassy person walked over and just asked who they were.
[00:30:40.658 --> 00:30:41.998]  And they said, well, we're from Liberia.
[00:30:43.758 --> 00:30:44.719]  Been on the road about a week.
[00:30:45.859 --> 00:30:47.039]  And we're on the way to New York City.
[00:30:48.143 --> 00:30:50.004]  Illegally, so they're on the network.
[00:30:50.945 --> 00:30:56.729]  They had flown into I think Trinidad and then met up with the traffickers and now they're on the way in.
[00:30:58.150 --> 00:31:04.334]  They could have made it to New York City and still be within the incubation period of Ebola.
[00:31:05.054 --> 00:31:09.197]  So I go back to this issue and I've highlighted this this issue in Washington.
[00:31:09.952 --> 00:31:20.581]  That if it is an outbreak in the Caribbean, particularly, or in Central America, it will make the 68,000 unaccompanied children, I think, look like a small problem.
[00:31:21.121 --> 00:31:30.890]  You got the CDC saying 1.4 million cases by the middle of January for two countries, but the WHO saying 20,000 cases by middle November for three countries.
[00:31:31.150 --> 00:31:32.291]  How can you be so far off?
[00:31:33.629 --> 00:31:40.713]  Well, this is another one of those areas where hubris, and I say hubris not in an unkind way, could get us in trouble.
[00:31:41.434 --> 00:31:47.518]  My answer, which is really simple, is we're just going to be lots and lots and lots of cases and lots and lots and lots of deaths.
[00:31:47.538 --> 00:31:48.758]  We don't know what that number is going to be.
[00:31:49.579 --> 00:31:50.980]  And we just have to accept that fact.
[00:31:51.740 --> 00:31:52.961]  So nobody's right or wrong here.
[00:31:53.361 --> 00:31:54.262]  I mean, we don't know.
[00:31:54.582 --> 00:32:00.465]  The precision around these estimates are, in fact, big enough to drive an entire convoy through.
[00:32:00.486 --> 00:32:02.567]  Is this the new Black Plague?
[00:32:04.375 --> 00:32:16.244]  It's not the new Black Plague, not Ebola virus, but it's very important because it belongs to a category of diseases, a category of viruses, one of which could be the new Black Plague.
[00:32:16.945 --> 00:32:29.955]  It's a group of viruses that live in animals and spill over into humans, and some of them cause not only terrible disease, terrible suffering, the way Ebola virus does, but also
[00:32:31.356 --> 00:32:36.418]  are highly transmissible and can leap from one person to another and could travel around the world.
[00:32:36.718 --> 00:32:41.700]  Probably not Ebola this time, but the next one could be even more serious.
[00:32:42.020 --> 00:32:48.963]  We're finding biohazardous materials, we're finding medical stuff, needles along the border.
[00:32:49.103 --> 00:32:55.825]  The eugenicist propaganda of overpopulation has collided head-on into the looming Ebola crisis.
[00:32:56.526 --> 00:32:56.766]  I think
[00:32:57.722 --> 00:33:08.004]  The top leadership issue in our world today is how to deal with the continuing growing population in the world and all the resource demands and places in the world.
[00:33:08.744 --> 00:33:19.286]  And burgeoning populations in Africa and Asia that lack the resources to have a healthy, happy life.
[00:33:19.326 --> 00:33:22.567]  And I think we've got to find a way to make the world work for everyone.
[00:33:22.987 --> 00:33:45.584]  If overpopulation, Ebola, and the economy are such an administrative concern, what I've directed the CDC to do is that as soon as somebody is diagnosed with Ebola, we want a rapid response team, a SWAT team, essentially, from the CDC to be on the ground as quickly as possible, hopefully within 24 hours, so that they are
[00:33:46.929 --> 00:33:53.314]  Taking the local hospital step by step through exactly what needs to be done.
[00:33:53.435 --> 00:34:02.943]  Then why let hundreds of thousands of illegals sneak over the border quietly in the night and give them jobs unemployed Americans supposedly don't want to do?
[00:34:03.323 --> 00:34:05.625]  John Bowne for InfoWars.com
[00:34:06.823 --> 00:34:09.245]  All right, folks, that's going to do it for tonight's broadcast.
[00:34:09.265 --> 00:34:14.230]  The InfoWars Nightly News will return, Lord willing, tomorrow evening, 7 o'clock p.m.
[00:34:14.331 --> 00:34:16.733]  Central Time, Texas time, that is.
[00:34:17.053 --> 00:34:21.438]  Until then, have a great evening, and we'll see you back right here tomorrow night.
[00:34:28.959 --> 00:34:32.762]  City of Austin tap water versus filtered City of Austin tap water.
[00:34:33.182 --> 00:34:34.383]  I didn't, I taste dirt in it.
[00:34:34.443 --> 00:34:35.564]  God knows what's in this.
[00:34:35.704 --> 00:34:36.705]  This has an aftertaste.
[00:34:36.725 --> 00:34:38.306]  Tastes like Austin water?
[00:34:38.566 --> 00:34:39.367]  Yeah, it does.
[00:34:39.387 --> 00:34:39.447]  Ugh.
[00:34:39.487 --> 00:34:43.650]  These people just sampled City of Austin tap water straight from the faucet.
[00:34:43.890 --> 00:34:49.995]  Next, we had them try a sample of tap water filtered through the ProPure G2.0 filtration system.
[00:34:50.135 --> 00:34:50.975]  High quality H2O.
[00:34:50.995 --> 00:34:52.517]  That one is better.
[00:34:52.597 --> 00:34:53.577]  Tastes like nothing.
[00:34:53.858 --> 00:34:55.259]  Yep, I know what good water tastes like.
[00:34:55.319 --> 00:34:55.819]  It's good water.
[00:34:55.919 --> 00:35:04.467]  Most tap water contains added substances, like fluoride, chlorine, Monsanto's deadly pesticide, glyphosate, and many others.
[00:35:04.868 --> 00:35:12.375]  Studies prove that these substances are linked to an assortment of major health issues, including tooth decay, lower IQ, and even cancer.
[00:35:12.655 --> 00:35:15.158]  It tastes like you're drinking out of the lake when you're drinking tap water.
[00:35:15.718 --> 00:35:18.061]  Yeah, it has that processed flavor to it.
[00:35:18.402 --> 00:35:27.994]  The ProPure® G2.0 filtration system removes these deadly substances and many more, leaving only fresh tasting, deliciously clean water.
[00:35:28.494 --> 00:35:29.776]  Okay, this is very tasty.
[00:35:29.796 --> 00:35:30.497]  It's good water.
[00:35:31.169 --> 00:35:31.609]  Refreshing.
[00:35:32.070 --> 00:35:32.930]  It's good!
[00:35:32.950 --> 00:35:35.292]  Go to InfoWarsStore.com today.
[00:35:35.692 --> 00:35:39.535]  Use promo code WATER and save 10% off your Pro Pure purchase.
[00:35:40.035 --> 00:35:43.337]  Again, that's InfoWarsStore.com or call 1-888-253-3139.
[00:35:49.818 --> 00:35:53.743]  You are watching the InfoWars Nightly News, which airs 7 p.m.
[00:35:53.784 --> 00:35:56.287]  Central at InfoWarsNews.com.
[00:35:56.487 --> 00:36:03.357]  Members can share their passcodes with up to 11 other people, and your support is helping us defend liberty worldwide.
